#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ynfE//yfaE//
IscR_pos	phnJ//fabG//araB//pepD//citX//galR//dapD//katG//metI//fecD//argB//
KdgR_neg	sufC//polA//
KdpE_pos	glpA//qseC//aldA//yiaM//
LacI_neg	atoE//nrdD//cydC//
LeuO_neg	yhbE//cecR//mntH//
LeuO_pos	lpd//tehB//glpC//galR//purM//xapB//yhjX//cysI//fdnI//hdeA//ruvA//fhuD//hisJ//citG//araC//fimE//yjbH//nmpC//
LexA_neg	fliN//ssb//nuoH//nfsA//dmsA//sfsB//recB//casA//mazG//wzc//rffT//csgE//chbR//ygiZ//hybA//yidL//omrB//cysB//mepH//cysK//dcuS//kbaY//ilvC//ampC//ybfE//fliM//gntX//caiD//hyfH//trpD//chbR//fhuC//rhaS//aroM//fur//nrfC//murQ//ydeI//tomB//emrA//narL//yhdX//bluF//ccmF//rplT//lsrD//nanK//poxB//omrA//talA//ppdA//tadA//araG//fliP//hybE//torD//putA//uvrY//kbp//
LldR_neg	flu//yiaJ//mgrR//
LldR_pos	ybhR//adiC//yafN//
LrhA_neg	mntP//fdnG//
LrhA_pos	puuR//ruvA//
LsrR_neg	ybfN//nupG//ddpX//mprA//uxuA//gloA//ogt//zraP//sodB//
LysR_neg	ydeN//
LysR_pos	sufS//
MalI_neg	hypA//glcD//nagE//
MalT_pos	ascB//moaE//flgK//bioB//glcC//kbp//ftsA//polB//ydeP//fbaB//
MarA_neg	rffG//edd//flgJ//flgM//uxaC//yeiB//phnJ//
MarA_pos	ynfH//csrC//treR//osmC//allA//gatA//metL//yhdZ//hybA//iscU//ycgZ//ppsA//ynfG//spy//uxuR//gntK//uvrC//omrB//nhaR//mpaA//torR//nagA//iraM//aceB//murD//fliN//wzxE//nuoH//nemR//pgaA//inaA//
MarR_neg	cysW//ccmB//tpiA//
MatA_neg	bglJ//ubiA//flgM//dctA//citF//creB//
MatA_pos	ygdB//treB//
MazE-MazF_neg	sufA//gcl//glk//
MazE_neg	tehB//csgB//paaF//
McbR_neg	murD//
McbR_pos	gltB//yciF//murG//
MelR_neg	tisB//glpX//dkgB//
MelR_pos	artJ//dpiA//rbsA//
MetJ_neg	nfsB//waaH//cspD//dgcC//gltB//ilvY//tktB//nrdE//garL//fadD//gspH//zntA//trpE//cysB//gudD//
MetR_neg	mglB//phoQ//
MetR_pos	relB//argF//rpoE//ibaG//
MhpR_pos	hyfG//nirD//ygiZ//ptrA//puuE//lsrG//
Mlc_neg	yhdY//araG//yiaK//evgA//ulaG//purM//appB//glcC//yhjC//ebgC//
MlrA_pos	ldtD//moaB//puuE//ybjG//torA//fdnI//yecT//yagK//yjjZ//bioC//
MngR_neg	lon//nanM//napG//
MntR_neg	icd//relE//tadA//hcaD//
MntR_pos	yafN//
ModE_neg	zraP//dcuA//citC//flhA//hyaC//cysG//mdtC//exbB//lysP//gspC//flgA//gspD//yhcH//ycjX//fliO//
ModE_pos	qseC//phnD//exbD//waaH//galS//dkgB//yhcH//ccmC//metY//kdpB//ssuE//glgC//fliR//tyrP//ebgA//zraR//mhpD//cbl//moaC//mioC//fliR//ydbD//yeaR//ttdT//agaD//napC//sufC//sgrS//fdnH//citX//yciG//
MprA_neg	betI//alaS//fldA//phoP//nupG//napA//
MqsA_neg	rtcA//glnQ//ddlB//srlD//zraS//cysJ//katE//hyfG//
MraZ_neg	tdcA//ynbA//mtlD//hdeD//sbmA//yfaE//artQ//idnR//idnT//rutD//ulaA//pagP//flhB//tsgA//entS//citX//qseC//
MtlR_neg	qseB//katG//tktB//
MurR_neg	glpF//alsA//phnD//
MurR_pos	mpl//
Nac_neg	feoA//nimR//yciF//purD//dinF//rybA//xapA//appY//nimR//
Nac_pos	flhD//acrZ//napG//glgP//yaiA//entS//fecR//dnaN//asnC//ppsA//cpxP//rhaS//
NadR_neg	rbsA//chbC//yoaC//purF//
NagC_neg	trpE//pitB//moaA//deoD//gspI//hyi//flgM//mnmG//sroD//hokE//yafQ//yfbR//mhpA//ymjC//tktB//lpxD//yccA//ddpD//infC//ycjF//yafQ//yecT//tktB//obgE//entS//chbG//qseB//higB//lamB//dgkA//lpxD//sgbH//nuoM//
NagC_pos	nikE//ynfG//purL//
NanR_neg	cysC//rnlB//nagA//fliD//metR//aspA//cynT//araB//yjbF//iraP//
NanR_pos	accC//
NarL_neg	cysI//metB//pheT//rseC//hyaB//rnlB//hyfJ//cspD//fecB//creD//aslB//melA//rclA//sra//hypB//sutR//citE//psiE//mdtE//glgP//gspE//rbsC//gyrA//fadM//caiT//cueO//csrB//ydhW//bglF//paaY//mglC//yiaN//pykF//yeiL//rutG//purM//fliI//sufE//rbsA//nanE//murC//bolA//ycdZ//emrB//decR//lysC//cvpA//dinQ//galR//fiu//rarA//trpB//phnJ//yjjQ//flgD//cysE//aroG//phoQ//nrdI//allB//uvrB//nmpC//ddpD//yaiA//ygbK//sufB//ccmH//puuR//lsrB//yqhD//glcB//cpxP//ada//allS//focA//umuD//araG//carA//agaD//casE//kdpC//rybA//dsdX//iraM//arsR//ptsI//feaR//
NarL_pos	alaC//fabA//paaZ//metY//ybbW//mtlD//ulaA//napC//yccJ//flgA//cyaR//glpC//flgA//cadA//glmY//narL//gatA//csgC//sodA//cyoD//cas1//baeR//gspC//hns//dmsA//sufD//cas1//cydC//slp//agaS//mnmG//glpQ//hycC//ccmE//yiaK//phnE_1//argR//nagE//sucA//rnlA//yiaN//lpxA//ldtB//
NarP_neg	trpC//ubiA//pgi//dicC//ydcS//paaD//ompF//rhaS//flgJ//lacZ//ttdA//araH//uxaC//ybdZ//yhiD//slp//hyfF//ccmB//cusC//yiaO//slp//yccA//ndh//yhbT//bdcA//metI//dhaR//talA//tcyP//nrdA//puuR//yhjX//btuB//
NarP_pos	hypD//zwf//casD//phnG//casE//ada//flgI//fixB//yafN//hcaF//rfe//ydcV//dcuB//fepD//prpD//dmsA//dsdA//accB//bdcA//flhA//cas1//aceB//ftsA//appB//yciW//murI//tonB//garL//treC//puuA//dmsC//metJ//
NemR_neg	fecR//hyfR//appC//
NhaR_pos	rutA//alkA//mltF//mngR//flgK//pqiA//gltJ//
NikR_neg	flgI//puuE//dtpA//yafQ//glnP//gcl//
NimR_neg	yncE//nfsB//
NorR_neg	isrC//
NorR_pos	puuR//ndh//
NrdR_neg	citD//rutF//gadE//hydN//alaS//puuD//fliR//tehB//folE//
NsrR_neg	bioD//feaR//cysW//gadA//rplU//entA//rseC//cheW//cysJ//rutA//fliF//argF//fepD//srlE//hypD//artJ//ydfN//dcuS//ttdR//lexA//dinB//micF//pepA//yibQ//metE//hflD//pspG//gntK//yegH//aslB//cysH//zraP//rnlA//ycjG//sdhD//napH//kdpF//accB//aldA//trpD//garP//purF//arsB//accC//prs//ssb//fadE//galP//osmB//ccmA//crr//nrdB//htpG//phoU//mhpA//ygiA//fliH//hyaB//grcA//mlc//nagC//entE//lacZ//pdeH//csgF//dcuB//dmsC//hyaE//mepH//motA//feaB//recF//rbsK//ccmH//glgC//dctA//glyA//gspH//sulA//phnF//emrY//phnJ//flgE//
NtrC_neg	tyrA//hcaF//nanK//focB//ddlB//frdA//
NtrC_pos	yiaO//asnB//fadM//sbcC//ydeN//ldtC//rpoS//acrD//cusB//napA//dhaM//pheT//lldR//tadA//metL//lamB//dkgB//fimB//fdhF//ascB//ynbD//mhpE//ymgA//citF//melA//leuL//nagB//fabB//rstB//gor//malZ//entB//moaB//pncB//arsC//mgrB//dps//lolA//dcuA//tolC//hybC//yfiB//yhjC//gpmM//csgC//gabD//yedX//fliS//yhbE//
OmpR_neg	fliZ//tauB//flhA//recF//wzzE//sroC//bioB//rcsA//sbmC//slp//yhbE//yecT//
OmpR_pos	ada//ssuE//ompF//ddpX//frdC//guaB//pnp//iscR//fabA//yfbR//
OxyR_neg	yccT//fliL//omrB//norW//ynbB//dinQ//fimE//yjeV//dinQ//tauC//rcsA//add//
OxyR_pos	nupC//dapD//phnC//lsrB//glpQ//hyaA//narH//hypC//lysA//argC//nanE//argA//mhpE//araJ//fdnI//yoaG//hslJ//gabD//rutG//ycjF//bdm//yfiB//
PaaX_neg	fadL//prpE//lldD//murE//phnE_1//napA//gutQ//ftsI//aceK//emrB//deoA//phoA//agaS//waaZ//
PdeL_pos	modA//
PdhR_neg	fliS//gltI//fixA//sgrT//glpB//glnD//bglF//pnp//argE//nemA//gspI//yafP//agaS//lldD//gspJ//fabG//fixA//fiu//yeiL//gutM//entD//narK//citC//polB//ynbC//rffT//caiC//asnB//glpF//rclA//setA//rffC//ddpB//appX//purB//gudP//
PdhR_pos	mngA//wzb//treC//guaB//prpD//
PepA_neg	araD//dsbG//flhD//
PgrR_neg	gcvB//baeR//cysM//gltK//mdtB//cpxR//yegH//nirB//
PhoB_neg	agaI//copA//bioF//acrR//potF//dsdC//ttdA//poxB//emrA//ubiA//gatY//gltL//
PhoB_pos	entE//fumC//srlD//argO//pspC//ihfA//crr//cvpA//yeaD//fruK//yqjI//hyfI//phnC//ycjY//glnG//paaX//cysD//yiaM//waaZ//purF//exuT//gcvH//ydhX//nuoA//fiu//gabD//inaA//gatY//yfdE//lsrF//csiD//fbaB//hydN//fucI//mtlR//serA//ecpA//yafN//xapA//nuoC//ymiA//uof//cynS//recF//thrS//ascB//hdeA//torD//sutR//agaD//dicC//xylR//gltK//
PhoP_neg	ycjY//gadB//yjbE//ulaD//dinJ//kbaY//hypB//deoA//creB//pstS//rfe//
PhoP_pos	pgaB//fnr//ryhB//nrdG//cysN//emrA//glmY//gspL//murE//glpD//glnH//dapD//carB//yafN//malT//rnlA//citF//fepC//hokE//wecE//agaR//wzxE//gadE//frdA//waaZ//sgbH//manY//gatZ//leuD//appB//sodB//fdnI//bglB//moaA//relA//cusB//nuoC//hyfJ//tadA//yagK//glnB//bioB//metC//sufB//argO//gatZ//polA//ycjF//
PrpR_neg	gyrA//
PrpR_pos	modC//pstB//ydhU//yeaG//
PspF_neg	aroH//
PspF_pos	flhE//casB//rclB//napB//aldA//gspC//
PurR_neg	hflD//cyoE//bluF//ybbW//lrp//fliO//gutM//fliF//flgH//dinG//norV//motB//gcvB//cynT//flhE//cdaR//ydeI//phoP//norW//ldtC//cyaR//paaA//nuoA//adhE//pfkA//hdeD//metQ//yqjH//ybiT//phnK//thrS//
PutA_neg	trpD//napG//
PuuR_neg	cpxQ//fumB//cueO//ydhW//ybhF//psiE//phoB//
QseB_pos	oppA//araC//glnL//aroH//
RbsR_neg	xylB//murC//hisJ//mdtD//epd//gutM//ecnB//yafQ//
RbsR_pos	pdeR//
RcdA_neg	nikB//rutA//
RcdA_pos	rpoH//sbmA//fliJ//yiiS//dinB//flgC//dhaM//
RclR_pos	bioD//atoB//fliQ//
RcnR_neg	nrdH//flgF//qseC//
RcsAB_neg	phnE_1//ydbD//srlR//ascB//mhpT//metB//
RcsAB_pos	amn//fliO//deoC//wecB//puuR//leuC//rybA//dsbC//ubiC//cspE//
RcsB-BglJ_pos	nuoC//uidA//betI//uspD//trpA//nupC//tsr//mraZ//dctR//fhuE//purN//yaiW//gadE//dacC//nirB//ybhL//
RcsB_neg	ynfE//galS//
RcsB_pos	nemR//lysA//flgA//purF//dtpA//modB//nuoB//napH//creC//srlA//flu//norR//kdpC//rdoA//caiC//ybjG//artQ//narG//cysU//prs//leuL//mntP//lyxK//
RelB-RelE_neg	glnD//gatB//borD//
RelB_neg	moaD//moeA//metK//
RhaR_pos	rpsU//narI//
RhaS_pos	gcvB//yccA//uidC//dapD//sbcC//bluF//
Rob_neg	murP//
Rob_pos	appY//phnH//bglF//rcnB//bamE//fimE//degP//grxA//srlB//gspH//xylF//tdcE//ybjC//mdtD//nikB//lsrB//flgE//efeU_2//tsx//metE//dhaK//ymgA//qseB//bglF//dkgA//
RstA_neg	wza//fnr//ugpA//phoU//osmY//
RstA_pos	hisM//rpoE//fliQ//ygiB//fucA//
RtcR_pos	srlD//csgC//
RutR_neg	bluF//ynjI//srlB//narK//nrfG//mraY//paaK//sbcD//dgcZ//potH//treB//codA//cyoE//fliJ//napD//
RutR_pos	nikR//citF//
SdiA_neg	deoC//phr//lpxA//
SdiA_pos	fecB//feoA//feoA//
SgrR_neg	purB//sdhA//srlR//gadC//fepB//
SgrR_pos	appA//flgH//degP//ubiC//
SlyA_pos	ttdB//
SoxR_neg	ydfW//
SoxR_pos	fhuA//agaV//
SoxS_neg	btuB//recX//
SoxS_pos	fabH//yhdZ//araG//nemA//ftsW//emrA//arsB//mglA//sra//potH//lhgO//ompT//ybbY//ssuE//agaS//waaH//cpxQ//argR//murF//katG//ykiA//mipA//bglG//cusC//rhaR//ugpA//fadI//dgcC//potF//mepH//rplT//tonB//tktB//atoA//hipA//pnp//mazF//atoD//
StpA_neg	yfdE//araD//cueO//xylF//atoB//tktB//ada//
SutR_neg	udp//yoeB//ptsH//dsrA//ydhY//
SutR_pos	gadA//
TdcA_pos	glcB//fumC//nupC//rimP//xapB//relA//glmU//
TdcR_pos	cusB//ftsQ//ydfD//dkgB//efeU_1//malS//nadB//
TorR_neg	appA//ycjX//sodA//
TorR_pos	yeaH//thiQ//fecR//fabH//chbG//glcB//gltD//insD//fhuC//
TreR_neg	ydbK//yneM//
TrpR_neg	tisB//dps//lsrF//eno//fnr//grxA//yqjH//creA//ydhW//katG//cynR//zntA//
TyrR_neg	uxuR//higA//pstA//glcG//waaH//feoC//sucD//murE//uxaB//cysH//
TyrR_pos	ppdC//ymiA//glnD//
UhpA_pos	sgrT//
UidR_neg	aspC//mhpA//araF//fbaB//
UlaR_neg	yebE//kdpF//waaY//katE//ilvC//ubiX//ccmC//
UvrY_pos	fruA//pdeH//nimT//mpl//fadR//
UxuR_neg	yciG//fruK//rpsO//wecC//tonB//cysE//murG//xylR//wrbA//
XapR_pos	ddpA//mtlR//
XylR_neg	ftsZ//
XylR_pos	ssb//crr//casB//degP//mhpD//pnuC//
YdeO_neg	ftnA//baeR//
YdeO_pos	aceF//iscA//glgB//manX//aslB//chiP//ompN//paaD//oppC//skp//rbsR//fliA//sodB//oxc//gadY//mdtF//ppsA//araD//trpC//
YedW_neg	fabH//gor//allB//rffC//metK//
YedW_pos	rclA//potI//hyfF//appB//sbmA//cusS//alsB//
YefM-YoeB_neg	bglB//creD//
YefM_neg	fhuA//dnaA//
YehT_pos	cydC//
YeiL_pos	rbsA//
YiaJ_neg	thiP//chbG//bdm//aldA//ydeO//citC//lsrR//ydhX//inaA//pspB//
YjjQ_neg	atoA//csiD//glmS//cusB//ttdT//dgcZ//gatC//paaF//casA//fhuD//
YpdB_pos	cbl//
YqhC_pos	glgX//dgcZ//
YqjI_neg	phnO//oppA//
ZntR_pos	cyoE//
ZraR_pos	aroL//fumB//bdm//
Zur_neg	phnI//polB//gcvH//citC//spy//dgkA//
