#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hcaF//ecpA//
IdnR_neg	ybbY//asnC//
IdnR_pos	gloA//flgD//higA//yjbH//phnL//
IlvY_neg	ryhB//
IlvY_pos	yjhC//
IscR_neg	sbcC//recD//nuoA//nuoC//flhC//nohA//pgm//araH//cysW//leuA//alkA//ycgZ//csrB//allE//malX//ygiB//murP//galK//znuB//acrR//grcA//
IscR_pos	dgcZ//ada//rfe//relB//prpE//trpB//moaB//ppsA//stpA//glxK//flhC//
KdgR_neg	mipA//acnA//
KdpE_pos	talA//narG//cysU//astB//
LacI_neg	rclB//mzrA//pgi//
LeuO_neg	ynbA//ubiC//hipB//
LeuO_pos	ybjG//nrdE//caiF//yeaG//appC//ugpB//ttdR//dsbC//appX//fabD//araF//metL//malK//mhpT//ugpC//tdcB//caiE//casB//
LexA_neg	inaA//skp//ydfX//phnE_2//potG//fliI//tnaB//cusA//rtcB//hybC//metH//glpQ//cadC//yjbF//napH//mngR//ssuC//ycjY//zntA//aceK//cynR//creB//fadL//marR//recA//appY//rpoS//intQ//tadA//yeaH//cysB//tauD//ybiT//nuoC//nfo//putA//acrD//leuO//ydfN//cas1//mhpF//astE//fixA//ymjD//feaB//malY//yiaM//ascF//araC//flhC//hycH//metQ//malT//ftsI//napC//rpiB//hlyE//dacC//sufD//
LldR_neg	ydfN//lamB//ydcS//
LldR_pos	rimP//ydeN//dacC//
LrhA_neg	mdtB//tauB//
LrhA_pos	pgi//astC//
LsrR_neg	yqjA//ychF//araJ//ybdZ//hisM//accA//tauD//cysJ//dinJ//
LysR_neg	yaiA//
LysR_pos	ccmC//
MalI_neg	sucD//cysD//appX//
MalT_pos	puuE//kdpC//mgtL//aceE//ssuC//rimK//ndh//luxS//soxS//yjiY//
MarA_neg	ymjC//decR//gutM//oxc//ihfA//gadX//aroG//
MarA_pos	bhsA//bioF//murQ//hyaC//flhD//pitB//hypA//hybE//nuoA//fliN//dctR//mntP//edd//murE//malX//lamB//mraY//yhdY//ulaD//evgS//grxD//rob//yeiB//argF//exbB//tolC//ddpB//ibaG//mtlD//yidQ//oppF//
MarR_neg	hdeB//wzc//deoB//
MatA_neg	glpQ//arsR//cyaR//gspF//aceB//safA//
MatA_pos	ascB//dsbA//
MazE-MazF_neg	hybC//garD//gspG//
MazE_neg	hyfI//metA//zraS//
McbR_neg	flhD//
McbR_pos	phnG//fucA//yciG//
MelR_neg	cysB//mglB//cyoE//
MelR_pos	cpxR//tauD//napF//
MetJ_neg	ydiV//murG//glpC//aceF//pgaB//fabZ//umpH//ydjM//hmp//fucU//ulaG//mngR//nuoF//lsrC//hisJ//
MetR_neg	hokE//umuD//
MetR_pos	hyaE//recC//crp//metB//
MhpR_pos	cdaR//uvrD//ccmF//oppB//ydfW//wzb//
Mlc_neg	potH//lldP//garR//puuB//citX//ygiC//ccmG//fucP//yoeB//hyaC//
MlrA_pos	ompC//lyxK//mqsR//pepA//emrA//murG//glcA//ygiC//prs//sbcD//
MngR_neg	rimP//mnmG//hyfA//
MntR_neg	gadW//feoC//glgC//moaB//
MntR_pos	rbfA//
ModE_neg	adhE//mdtB//gltF//wecC//mzrA//envC//rhaR//ynfF//ydjM//glcA//hha//nrdB//cynS//sufS//frc//
ModE_pos	metH//micF//caiE//sufB//citG//exbB//phr//ybbW//tsgA//xylF//flgC//osmC//rutE//fucP//galE//fepA//lsrA//fucU//dhaL//dinB//ssrS//ynfK//emrY//lamB//ppiA//leuA//infC//lpxC//paaX//hyaA//yfbR//
MprA_neg	gutM//rbsK//ytfE//thrS//recF//thiQ//
MqsA_neg	gcvB//entF//pncB//ryhB//yeaR//alsC//yqhG//xylG//
MraZ_neg	iraM//gntK//garD//rffM//atoA//yhcH//ybhG//argA//ybjG//aroL//araA//sfsB//ccmE//tsx//leuL//yefM//fimE//
MtlR_neg	hokE//acrB//lldP//
MurR_neg	potI//glnB//iraP//
MurR_pos	gudD//
Nac_neg	gdhA//cadA//dps//ycjY//yjbG//recX//crr//nuoC//alkB//
Nac_pos	fabH//nagB//melR//dsdA//nrfC//yrbL//gltB//glnA//atoE//ampC//oxc//metI//
NadR_neg	fbaB//mqsA//yafO//lysC//
NagC_neg	fixC//pheM//yciE//rbsC//idnK//ada//ydhX//ftsI//citD//nrfF//rcnA//flgC//gntX//ymgA//aceB//deoA//mdtE//napB//yegZ//psiE//fucU//nrdG//glpQ//hcaR//rnlB//napB//cueO//pspA//ychF//molR_1//lpd//flgK//wzxE//
NagC_pos	allA//pspA//napG//
NanR_neg	fhuD//fliO//ynfE//nfo//tcyP//bioC//wzzE//rcnA//mgtA//fiu//
NanR_pos	rutG//
NarL_neg	betB//spy//yegH//ompC//srlA//fadI//rtcB//idnK//csgG//mraZ//yjbF//cra//bglG//csgD//gcl//pitB//dinD//glgB//metA//rybB//hyaC//phnL//kdpC//fumC//ydfW//waaZ//glmU//feoC//mhpF//frc//nuoI//gcvH//yaiW//ycdZ//xylR//fecA//metK//yiaJ//prpE//flgM//rseB//chbA//exbD//yjbF//hcaD//yeaD//malX//dinI//ygaC//glcE//melA//yafP//idnR//yhhY//ung//lpxD//narK//mgrB//nrfE//ydfN//fliA//iscR//metL//yeaH//nikR//paaC//hcaE//ptsH//tadA//paaK//garD//ygiZ//thiP//metF//insD//rpoE//artQ//ybjN//citX//bglF//psiE//sroC//pspE//artP//glnB//pyrC//fecR//
NarL_pos	ftsL//tnaB//araE//hmp//omrB//cysP//uspA//phnK//glxR//phnK//ppdA//dacC//nrfE//araG//hcaC//recF//ulaA//feoA//ydeP//fliQ//fucP//gspD//argR//fimE//alkB//chbF//argH//yhjC//yccA//rffG//evgA//tauC//glcE//astE//yeaD//gabP//dkgB//mntP//hyfG//phoA//lldD//nuoM//hybG//
NarP_neg	pstC//katE//alkA//cysB//rstB//flhD//grxA//gltK//bglF//atoA//gspF//adiC//aldA//srlR//aroH//gspO//cpxP//cysK//ibaG//alaS//yiaM//rhaD//trpC//gspG//aceF//gatA//yneM//lpxC//nfsA//ilvY//tpiA//fucR//gatB//
NarP_pos	aroG//casE//ssuA//cydA//glcA//codA//ybjG//agaI//deoB//gadW//phoA//yagK//melA//gltB//uhpT//chbB//dhaL//entA//yegZ//alsE//codA//hcr//yegZ//ccmD//dgcC//metN//nemA//araC//yiaJ//cheA//ccmG//galR//
NemR_neg	cusR//crp//yjhB//
NhaR_pos	appA//garD//hycD//xylB//btuB//fepA//rutE//
NikR_neg	gadY//ldtC//cbl//nupG//cdaR//bolA//
NimR_neg	kdpF//nemA//
NorR_neg	sbcD//
NorR_pos	gcvT//tyrR//
NrdR_neg	dsdA//ycjG//deoD//artJ//treR//pspE//ydjM//nirD//ftsZ//
NsrR_neg	aroH//ttdR//relB//casE//feoB//focB//yfiR//tauC//gnd//glnP//mqsR//metC//uxaA//edd//dsbC//tdcD//fbaB//mhpD//hybO//argA//mtlA//gspH//torC//rimK//glnB//gatA//ttdA//ppsA//safA//yafN//narK//fbaA//hycF//rutG//gadE//araF//rutE//gcl//fliR//fecB//ssuE//mglC//yeaE//frc//glpX//malT//nfo//rpiB//spy//yiaM//araH//pck//marR//ykgM//ydeN//flu//yccT//ynfE//flhB//osmC//isrC//lamB//metL//hcp//fhlA//metK//ugpE//metR//lsrD//deoC//lsrR//sdhD//lsrC//yfdV//alaS//rcnA//appY//nuoG//ymiA//potG//yccT//artI//trpL//
NtrC_neg	aldA//folE//safA//fliA//ytfE//rnpB//
NtrC_pos	csgG//ygiZ//cas2//yjeV//paaG//decR//torR//yeaR//flgH//phnO//yfbR//betI//sufE//cysJ//waaY//yoaG//ulaD//xylR//marB//nrfF//hycD//paaX//glcG//casB//nuoE//sbcC//cydC//mglC//fadR//ppdA//allC//xylR//hyi//glnG//nuoB//betI//lpxA//prpE//nlpA//chbC//uvrC//soxS//caiA//rclB//rbsB//argA//gabT//fabH//tauA//
OmpR_neg	rffC//narJ//nuoC//pykF//yeaR//rcnB//phoA//hemH//dcuD//gloA//agaA//dcuB//
OmpR_pos	entD//nupG//slp//flgL//tnaB//ygeA//dapB//torA//ydbD//tdcD//
OxyR_neg	ytfE//entD//yjiY//hcaB//argR//nuoN//lpxC//cho//setA//hokD//dkgA//folA//
OxyR_pos	fadL//aroM//hha//tauD//gspM//lsrF//putP//fumC//yhdX//dinF//ebgA//ttdA//frdD//fadJ//ilvC//paaC//metR//pyrD//ubiX//rpsU//cadC//allD//
PaaX_neg	nuoE//ykiA//aslB//sroD//yiaO//gadW//fhuC//prpD//yhiD//gntX//lsrA//cdd//napF//fau//
PdeL_pos	ybbY//
PdhR_neg	tdcE//paaK//yhhY//phnC//puuR//rbfA//yhdZ//citD//gntU//fepG//cydC//alaS//fliJ//paaF//ybhF//yhiD//ccmB//yfdE//malY//stpA//dcuA//gloA//rybA//ccmC//uidA//psiE//ssb//alsB//yrbL//polB//rimK//narL//arsR//rbsC//ydfW//ulaB//
PdhR_pos	paaF//napC//ddpB//sutR//malZ//
PepA_neg	trpL//hemL//deoD//
PgrR_neg	sufE//creD//ldtB//sufE//gfcA//ykgM//yjjQ//nagC//
PhoB_neg	dacC//sgrT//caiB//astB//pspD//ddlB//bhsA//fadB//ydcV//mgtA//ung//dmsD//
PhoB_pos	ssuD//rclB//guaB//malK//ybhF//yfdE//malM//hypD//acrA//pspC//lsrA//tehA//sroC//wzc//rcsA//relB//fixC//ybhF//hdeB//ftnB//allA//cas2//deoD//efeU_2//dsdA//polA//nanT//nuoB//tehA//fixB//astC//norV//spy//psiE//pspC//recX//yciF//entS//fliT//gspI//torA//cueO//treR//mdtC//ecpR//ulaC//hdeD//slt//dsrA//kbp//ygaC//agaC//dacC//
PhoP_neg	thiQ//nrdH//bamE//ldtD//ddpF//rpoS//leuB//accC//yccT//ynfF//frc//
PhoP_pos	hdeD//nfsA//yeaH//araB//sucC//yeaD//hyfA//yoeB//fadA//narJ//mtlR//adiA//seqA//dcuS//ydeP//phoQ//yaiA//murD//ygiZ//sgbE//hyfI//nanT//flgF//puuA//nuoH//yciW//nrfE//sdhB//prpD//uvrA//mtlR//pfkA//cynS//purM//ruvB//srlA//fucU//betA//fruB//dmsA//sroD//agaA//yhbT//sufS//fliO//caiT//gadE//ecpA//
PrpR_neg	znuA//
PrpR_pos	gntX//chbB//ykgM//ycjF//
PspF_neg	gatC//
PspF_pos	sulA//hyaD//fecB//hisJ//phnL//yaiW//
PurR_neg	hybO//flhD//artM//ygiA//fliE//slyB//malK//iraM//fucU//leuD//rpsO//exbD//bglG//pepD//pyrD//gadX//ugpB//ahpF//nimR//hyfH//cysE//tyrA//narJ//yiaJ//ydhT//xylA//phnJ//yqjA//degP//ldtB//fliN//
PutA_neg	purD//cspI//
PuuR_neg	wecC//napA//ycgZ//bluF//hdeB//hlyE//metF//
QseB_pos	yecT//ymjC//grxD//malQ//
RbsR_neg	sodA//pncB//yeaE//pdeL//gatA//exbB//aslB//rutC//
RbsR_pos	nrdI//
RcdA_neg	nrfA//ygiA//
RcdA_pos	yrbL//yhjA//allB//garR//tyrP//yiaN//emrK//
RclR_pos	pgaB//csgC//copA//
RcnR_neg	malT//lpd//rfe//
RcsAB_neg	recN//yhiD//murC//gltB//ynjI//tktB//
RcsAB_pos	adiC//crl//gabT//ygbA//manX//yefM//idnK//ruvA//srlR//tonB//
RcsB-BglJ_pos	fliN//mdtD//hcp//flgN//mhpD//gatY//wcaB//feoB//allE//ydeI//ccmB//arsB//iscR//astA//ccmE//rbfA//
RcsB_neg	glpC//murR//
RcsB_pos	dnaG//metI//torR//dicC//nlpA//mdtE//ydbD//alaC//sulA//fdnI//rutB//deoB//ldtD//metI//fhuB//ygeH//znuA//norR//murR//artQ//mlc//ymiA//dapD//
RelB-RelE_neg	murD//wzyE//csgE//
RelB_neg	glnB//yagK//hybF//
RhaR_pos	gudP//fliG//
RhaS_pos	potF//ssuE//cysJ//oppC//fliF//fabI//
Rob_neg	safA//
Rob_pos	malY//cysI//malT//uxaA//gatB//ugpB//trpE//norR//iraP//idnD//ykgO//yedX//agaB//serA//tfaQ//araD//lsrB//dsdX//argO//tdcG//frc//bioD//argI//adiC//astB//
RstA_neg	fucU//lpxA//dkgA//glnK//narH//
RstA_pos	rpsU//wzxE//yncE//ynbB//soxR//
RtcR_pos	umuD//gadF//
RutR_neg	znuC//citD//yhjC//chbF//ahpC//narH//sodA//sgrT//eno//yjjQ//fadB//yhhY//motA//trpB//tyrA//
RutR_pos	accB//ydiU//
SdiA_neg	rffT//dicC//nikR//
SdiA_pos	nanK//yqjI//ygiC//
SgrR_neg	nuoJ//rstB//nanE//napH//ompW//
SgrR_pos	bglJ//rfe//hemH//lpxA//
SlyA_pos	dgcC//
SoxR_neg	alaC//
SoxR_pos	potH//dacC//
SoxS_neg	gudD//moaE//
SoxS_pos	emrY//hycD//dhaL//murQ//yqhG//cheA//gatB//torA//prs//pstA//luxS//appY//dctA//katE//ahpF//cadA//appC//rcnB//ydcV//ccmH//rplT//ygeH//nanT//rimK//dnaA//ygiC//mglB//glgP//fecI//wzzE//yeaH//rutC//lrp//dkgB//nuoL//murE//melA//ulaB//
StpA_neg	rtcB//glpK//tyrB//asnC//narJ//narJ//guaB//
SutR_neg	agaV//rffM//gadX//fruK//sufB//
SutR_pos	phoH//
TdcA_pos	narK//csgD//alsE//malT//gadA//gpmM//glgC//
TdcR_pos	hybA//galK//feoA//rseB//ttdA//sgbE//gnd//
TorR_neg	lsrB//cynT//nrdH//
TorR_pos	cvpA//appX//paaX//moaD//dhaR//tdcC//baeS//glpB//skp//
TreR_neg	adiA//phnK//
TrpR_neg	fadR//alaC//phoB//ynfH//crp//dcuR//potI//dps//kdpB//murR//galK//hdeD//
TyrR_neg	nagE//yhjA//artM//hycA//btuB//cyoD//fliK//uxaA//sbcD//nuoI//
TyrR_pos	pspD//galE//metK//
UhpA_pos	psiF//
UidR_neg	nikB//pfkA//argG//nagA//
UlaR_neg	dcuS//prpD//nikB//rhaR//xylB//fucI//atoB//
UvrY_pos	ddpX//metR//hypD//mglC//yjhC//
UxuR_neg	phnI//glxK//malG//yjbE//gltD//cspI//murI//napD//pspE//
XapR_pos	hyaC//iscR//
XylR_neg	ydbD//
XylR_pos	metA//truB//pspF//patA//tauC//agaS//
YdeO_neg	cusF//ddpB//
YdeO_pos	fhlA//mntS//ybfN//phnN//tcyJ//gspO//pspB//pspB//cpxR//gcvB//gltK//glnH//entH//fadI//hycG//yhcH//yeiL//alsC//mntS//
YedW_neg	fixB//erpA//fliC//ecpR//exuT//
YedW_pos	glxR//tnaC//phr//ddpB//malX//rstB//dcuR//
YefM-YoeB_neg	hyfG//dmsC//
YefM_neg	ariR//envC//
YehT_pos	araA//
YeiL_pos	thiQ//
YiaJ_neg	yeaR//ydeP//artP//yegR//ilvY//cusF//fdnG//fecD//napF//kbaY//
YjjQ_neg	fhuD//phoR//napD//ecpR//ibaG//ascF//sgrR//csgA//cadB//lldR//
YpdB_pos	glcD//
YqhC_pos	aceE//yoeB//
YqjI_neg	mdtA//uvrA//
ZntR_pos	yiaN//
ZraR_pos	bglJ//fhuA//znuC//
Zur_neg	dkgB//fliD//hyfB//glxR//sulA//ssuE//
