#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hybB//gnd//
HipAB_neg	tehB//mhpC//acrA//mglC//araE//
HipB_neg	sulA//rbsC//bacA//kdpB//mtlR//paaZ//
HyfR_pos	ybhS//rseC//cysP//mglA//phnE_2//ccmD//ftnB//lexA//rffM//fliR//idnO//araD//
HypT_neg	ascB//appA//nrfB//uxaC//intQ//
HypT_pos	aceK//cynR//ydfN//nagE//tdcE//araC//rcnB//glgC//
IclR_neg	fliH//zwf//artI//hdeA//
IdnR_neg	sgrT//bolA//
IdnR_pos	bglG//ompC//ydcV//ybaT//umuD//
IlvY_neg	fpr//
IlvY_pos	cpxQ//
IscR_neg	tauC//rplU//cpxA//hypA//flgE//acnB//ecnB//infB//mhpD//kdpB//yhiD//lsrD//srlE//hypE//fadJ//artQ//trpB//yhbE//uvrC//bdcA//yefM//
IscR_pos	ssuC//trpB//fecC//glnA//mtlD//lhgO//carB//micF//htpG//melA//ydiV//
KdgR_neg	nuoH//ccmG//
KdpE_pos	osmY//yciG//csrB//ppc//
LacI_neg	casE//sgrT//bdm//
LeuO_neg	argB//udp//dhaR//
LeuO_pos	xapA//fliN//prpB//carB//eda//mazF//hyfR//hyaF//gcvA//fdhF//wzc//phnI//fliD//asnB//nikB//lsrK//manX//marA//
LexA_neg	ynfE//hybB//melA//ygiZ//yjjQ//pdhR//fimB//rutE//relA//trpL//yqjA//ubiX//hcaR//pstA//puuB//nanS//puuB//ybfE//dapD//appC//garL//hyfB//cyoC//rstA//yafP//purE//symE//zinT//nhaA//metI//pgaA//ydfE//amtB//gcl//ychF//cdd//aspC//pdeL//phr//hlyE//ryhB//nuoK//cysN//alsB//hycH//araD//znuB//melA//rbsR//lysP//flgG//hcp//ldtB//mhpT//argP//rclB//symE//paaG//ung//
LldR_neg	ibaG//puuR//fliF//
LldR_pos	lpxC//hyfF//cynS//
LrhA_neg	glcA//ybjC//
LrhA_pos	phnN//ftnB//
LsrR_neg	lyxK//ydhW//wzc//cho//fadA//crr//yiiS//nikE//soxS//
LysR_neg	safA//
LysR_pos	gor//
MalI_neg	mhpC//wza//csrC//
MalT_pos	ymjC//fliM//lpxC//ccmB//lon//napH//nuoH//yneM//yjeV//yjhB//
MarA_neg	nuoA//yfbR//gspF//acrB//mhpT//gspL//glnD//
MarA_pos	yefM//ttdA//fucR//mtr//folA//tcyJ//truB//yafQ//nanS//entH//gapA//napH//yhbE//sdhA//cpxR//fucK//glpD//flu//glnG//purL//nrdH//gpmA//gcvA//cyoC//agaD//moaB//pgi//ybhS//appB//ogt//nac//
MarR_neg	glnB//prpB//polA//
MatA_neg	ulaC//fhuA//bluF//ccmD//caiF//yhdX//
MatA_pos	fabB//cbl//
MazE-MazF_neg	dhaR//nimT//tisB//
MazE_neg	stpA//yeiB//rbfA//
McbR_neg	pstB//
McbR_pos	cra//lysO//ptsI//
MelR_neg	guaA//nrdE//fur//
MelR_pos	pitB//mipA//argO//
MetJ_neg	rbfA//skp//paaK//nagB//garP//fhuB//hycI//znuB//fbaA//truB//bglG//phnP//lysR//ugpC//ydcV//
MetR_neg	add//trpL//
MetR_pos	yidQ//wecC//lsrD//glpD//
MhpR_pos	sucC//bglB//phoU//melR//sra//rtcB//
Mlc_neg	dpiB//frc//malG//flgC//rnlA//gapA//tktB//yeaD//arsC//polA//
MlrA_pos	sroC//hyaC//hyaC//glcC//pspD//tyrR//nrfD//glcC//deoC//ryhB//
MngR_neg	fes//tdcE//ymgA//
MntR_neg	srlE//ppiD//accB//ccmE//
MntR_pos	dmsA//
ModE_neg	mgtL//cbl//dcuB//gutM//wza//frdB//chbB//aldA//hemH//alsC//hypF//nrdI//ldtB//dgcZ//yeiL//
ModE_pos	ynbB//ssuA//lsrD//ppsA//uof//gspJ//garR//ssuC//alsB//nrfD//dinG//dgcN//ddpC//malS//baeR//dnaG//ssuA//mgtA//bglG//epd//sgrR//fliD//sgrR//purC//fadM//manY//galM//ybhS//ccmG//lpd//recF//
MprA_neg	znuB//edd//lexA//sufC//csgB//srlD//
MqsA_neg	mtlD//asr//ygdB//ccmC//atoB//speB//ynbD//ydfX//
MraZ_neg	ppiA//malS//yjhB//purF//fucA//katG//bdcA//arsB//metK//acrD//gloA//tdcD//mprA//csgE//ycjX//hypE//hyfF//
MtlR_neg	cysP//bioD//cyoE//
MurR_neg	glcB//bglG//wzc//
MurR_pos	ribA//
Nac_neg	ynjI//napF//paaE//gspJ//ybjC//araA//udp//hypB//nikC//
Nac_pos	ybdZ//moaC//acrB//phnE_2//ung//murI//ychF//dtpA//prpD//uvrC//ydcU//ynbD//
NadR_neg	malK//trpD//fabG//puuP//
NagC_neg	glpC//aidB//prpE//bolA//yeaG//hypA//hdeD//nrdE//narG//argA//glnP//caiD//nuoC//ynfK//rpsU//nemA//fadB//tdcA//nrfB//mdtF//potI//acnA//aceE//potH//ydeM//rffH//tdcA//paaI//feoC//nuoK//dnaA//trpA//pnp//
NagC_pos	murE//ftsA//accD//
NanR_neg	uxuR//argB//erpA//ydeO//dcuS//mtlD//yeaE//bhsA//hyfR//murD//
NanR_pos	betT//
NarL_neg	nadB//paaZ//poxB//adiC//hybG//fliO//araD//puuR//amtB//ompN//dicB//phoA//dkgA//bluF//glnG//dnaG//gnd//rnlB//ubiX//metY//citD//marR//yrbL//ydeI//tdcD//nanM//epd//purF//rutC//rffG//fucI//fliQ//dnaG//cusA//dinQ//alaS//dcuR//fadA//hha//uidB//modB//ynbC//yegZ//nrdI//rffG//yeaR//glpT//paaJ//dsdA//mazE//cas2//zraP//sbcD//ccmD//ppsA//arsB//hyfI//rbsR//ada//malK//lolA//gltF//ubiC//ptsH//glpC//fucU//rbsC//ibaG//fabG//safA//hyfB//dctR//prs//pqiB//sroC//codA//yiaO//argA//argD//garL//gspL//glpD//fucP//stpA//ariR//sdhC//zntA//
NarL_pos	astB//dapB//hyfR//fur//napF//malX//sroC//dhaR//cysP//ybbY//fecI//pgm//flgC//glxR//truB//ftsL//ygiA//flhB//tisB//sgbU//dsbC//phnF//soxR//gatY//mdtB//hyfA//cheA//uhpT//rutC//nrfC//nrfE//pyrD//tauB//hyfE//rutE//ydfH//fabI//sra//ubiC//dcuR//torC//mglB//bioA//
NarP_neg	uof//fbaB//kdpC//pgaA//malM//rutE//bioF//phnM//fhuD//fecE//metA//ppsA//phoB//fadI//csrB//osmY//rfe//cynX//fabH//safA//cho//gabD//gudX//ybhR//uxuA//rclB//appA//hcaB//glgC//wzb//fruK//tsx//accB//
NarP_pos	paaY//chbA//tehB//argC//gatA//dnaN//mazF//mqsR//torC//pfkA//higB//nrfC//psd//fliC//glnA//nanK//fucK//relA//ybjC//mdh//nirB//phoP//ymjD//yrbL//pyrD//potH//melR//ydeP//soxS//pagP//waaZ//folA//
NemR_neg	dpiA//csrC//caiD//
NhaR_pos	dctR//yaiW//garK//mnmG//argI//cadB//lsrR//
NikR_neg	fadR//mdtA//yfdE//nrdA//fixB//gltF//
NimR_neg	feoB//cyoB//
NorR_neg	rbfA//
NorR_pos	astD//sutR//
NrdR_neg	trpL//phnE_1//ascF//soxR//rimP//wza//yjjQ//melR//efeU_1//
NsrR_neg	nuoF//dsbC//fecC//recF//rprA//ruvA//hycE//pstC//fliS//mtlD//yafN//yecT//ccmB//adhE//marB//nrdB//tdcB//yjbG//accB//feaB//tonB//murG//tam//mtr//pdeL//gyrA//narI//rutC//ybbY//kdpB//rffG//ydcU//mhpE//rcsA//rclC//rffT//ybiT//ptsH//ygbA//lsrR//allB//emrA//ttdR//ygbK//appA//araG//flgL//atoA//dcuR//fucA//fliH//rutC//yegR//manX//rclA//moeA//flhA//erpA//iclR//oxc//amn//paaH//yhiM//fadJ//bioC//malQ//narJ//aceE//ymgA//cspD//aroH//pspE//lgoR//ydhV//mdtC//rutG//stpA//trpE//gntP//glpT//nuoG//bioB//ulaE//
NtrC_neg	dkgB//lldR//galR//cecR//sroD//hemH//
NtrC_pos	fliD//exuT//uidA//adhE//ftnA//argA//fabA//argO//betB//tdcG//glcF//yeaE//ydhU//dacC//glmU//fixA//argF//ymiA//ompC//pqiA//napC//mprA//paaX//hycC//tsx//exuT//fimB//aroG//ydbK//metN//fabB//ydjM//alaC//gadX//gatA//argT//flhB//gpmA//bglB//treC//focB//ftsI//cyaR//cusF//asnA//ybjN//ykgO//ybbY//cysE//
OmpR_neg	napA//lpxD//purM//dkgA//appC//lysR//pgm//fnr//sufC//nmpC//ydfD//qseB//
OmpR_pos	ydfE//gloA//hybE//glmS//yhjC//aidB//agaC//evgA//oxyS//sutR//
OxyR_neg	sulA//zntA//gatZ//gatZ//oxyR//glcF//ygiC//flhA//deoD//appA//marB//flhB//
OxyR_pos	glnB//purD//bglF//ybjG//accD//higB//fixC//ftsA//cspE//fabB//mdtA//rpoD//csgE//cysJ//feaR//ldtD//gadE//tisB//cpxQ//fabG//astE//cyoB//
PaaX_neg	omrA//fliI//mlrA//paaZ//yhdZ//flhD//yafO//potG//fabD//gltD//yhhY//galP//ccmB//hemL//
PdeL_pos	ygdB//
PdhR_neg	gatZ//lgoR//cysA//ubiA//motB//nfuA//glgB//tehB//cpxP//cusS//gcl//phnI//ompW//mhpT//fruB//adiA//melA//lldR//phoE//gltL//aslB//ycjY//malZ//fadE//lexA//yccT//atoD//fliK//hypC//pspB//oxc//glcB//phoA//feoA//ruvB//dacC//
PdhR_pos	fliD//yiaL//ynbD//efeU_1//gltI//
PepA_neg	umuD//srlA//fadM//
PgrR_neg	dsdC//gspO//nanK//lpxA//ydcV//flhB//phoA//phoR//
PhoB_neg	rybB//mipA//flhA//dinJ//allB//aceK//dapD//ppiA//rimK//infB//gcvP//hcaR//
PhoB_pos	uidB//ydhU//paaF//idnD//cynR//cysM//gspH//pqiB//ubiC//fliT//glgB//ubiC//ndh//yjbF//lgoR//mngR//gfcA//metK//lrp//ryhB//phnE_1//mpaA//dnaN//hypD//asnB//katE//narX//rybA//oxyS//gfcA//citG//ssuC//recX//ydhT//gspM//ycjY//ydfH//aceK//trpE//cydB//mhpF//sufA//mcbA//puuE//atoA//ddpA//nuoJ//uxuR//leuA//ybhF//lacY//yfdE//hisP//
PhoP_neg	gatB//cpxR//ygiB//nrdB//nuoA//htpG//lsrD//thiQ//norV//dhaR//ygiC//
PhoP_pos	treB//murD//yhdW//purD//rbsK//tdcG//yafP//agaA//gltI//glpK//nemA//codA//rpmI//recN//aroL//qseC//caiD//uxuB//dsdA//aroL//mcbA//tfaQ//napG//hns//gcl//ddpF//napG//modA//ynbD//codA//pgm//paaG//ndh//betI//caiT//yhdZ//lpxC//ecnB//frc//pgaD//ycjG//pykF//rimP//fldB//uxuR//lsrR//gntX//nrfG//
PrpR_neg	murI//
PrpR_pos	pflB//prpB//rob//glnK//
PspF_neg	melR//
PspF_pos	rcsA//moaD//entD//dkgB//cydD//nadA//
PurR_neg	nrdF//omrB//frdA//stpA//puuP//purH//trpB//lsrD//ccmG//yafQ//lyxK//dmsD//ybjN//ydfD//garR//cspI//nuoM//murR//yiiS//metK//phnI//ydhU//nirC//tyrP//sdhB//tomB//puuA//yaiW//ruvB//glpB//narL//
PutA_neg	gcvB//hybE//
PuuR_neg	osmB//cbl//pflB//wcaA//nikC//yecR//ugpQ//
QseB_pos	srlE//allE//nanS//fepE//
RbsR_neg	deoC//fbaB//glpB//acrA//phr//creC//fliN//pdeL//
RbsR_pos	cysM//
RcdA_neg	allS//cvpA//
RcdA_pos	galP//soxR//bioC//ppiA//citG//nuoB//deoB//
RclR_pos	ftsW//yhhY//mngR//
RcnR_neg	srlA//yiaL//yiaM//
RcsAB_neg	artP//yhdX//oppB//flhD//ssuA//fdhF//
RcsAB_pos	aidB//ytfE//moaE//moeB//yaiA//csgD//molR_1//hisP//oppA//hybC//
RcsB-BglJ_pos	ybaS//ytfE//ppiD//adiA//moaC//cyoD//ddpB//hypD//mazE//glcE//aceF//osmY//zwf//gltB//pgpC//ompN//
RcsB_neg	adiC//lldP//
RcsB_pos	ynfH//marA//ulaC//ddlB//uxuA//metK//inaA//asr//norV//aspA//insK//phoU//acnA//casD//fucA//yfbR//putP//yjiY//ppiD//cysN//dinQ//mazE//iscU//
RelB-RelE_neg	pgaD//hyaE//malK//
RelB_neg	yqjI//aidB//dapB//
RhaR_pos	codB//lsrK//
RhaS_pos	xylA//hcr//fadR//ymgC//cyoE//ugpQ//
Rob_neg	ryhB//
Rob_pos	arsR//hisM//ydeN//waaZ//baeS//chbF//fliA//rybA//csgF//bioD//asnB//hcaB//idnK//cas2//deoA//pqiB//oxyR//argT//metY//entC//caiB//nhaA//pgk//hypE//rob//
RstA_neg	gntU//entH//trpB//rcsA//arsR//
RstA_pos	fepB//fpr//tadA//mdtE//ahpF//
RtcR_pos	fliS//bhsA//
RutR_neg	nrdG//gcvA//hydN//dcuB//rstB//phoQ//gspJ//gcvP//recB//lrhA//glgP//allC//yegH//manY//efeU_2//
RutR_pos	ccmH//rpsO//
SdiA_neg	ihfA//uidA//mgtA//
SdiA_pos	yhjX//pstC//yidL//
SgrR_neg	ttdB//mntS//aroH//ptrA//mltF//
SgrR_pos	marB//fruB//csgA//tnaB//
SlyA_pos	yiaN//
SoxR_neg	pqiB//
SoxR_pos	cynS//stpA//
SoxS_neg	ybfN//potF//
SoxS_pos	znuA//xylR//gcvT//gadY//cadC//dgcC//nfsB//fabB//sulA//allC//betI//wzyE//sucB//ascF//rbsK//acnB//narL//cusF//napG//nupC//gspI//sodB//frc//aldA//ydbK//modA//thrS//fliM//recF//purD//hycA//cysJ//gabD//moaB//tsx//dctR//mdtC//allE//
StpA_neg	dcuS//ygiC//appY//yhdX//glxR//lsrA//mhpB//
SutR_neg	phoH//hybG//yegZ//oxc//lysA//
SutR_pos	cpxA//
TdcA_pos	ybdN//gntU//sucD//ampC//dsdX//tadA//mglB//
TdcR_pos	dinB//wrbA//ydcU//xylF//pqiA//aceB//rcnR//
TorR_neg	galR//hypE//csgG//
TorR_pos	trpL//araB//hycF//ftnA//rutR//argT//exuR//frdA//sroD//
TreR_neg	napF//fecE//
TrpR_neg	dpiA//mdtE//yncE//lpd//ynbA//fecC//srlD//ybjC//dmsB//cynS//nfsB//modA//
TyrR_neg	allD//cysD//exbD//leuC//alsC//rbsK//uidR//gdhA//mdh//potG//
TyrR_pos	cysD//leuL//cysH//
UhpA_pos	mhpD//
UidR_neg	appY//ompW//thiQ//nuoM//
UlaR_neg	nanK//dmsC//puuC//phnH//hisP//ssuB//dsbC//
UvrY_pos	fadM//poxB//lldP//amtB//evgS//
UxuR_neg	ndh//uidB//ompC//tynA//hybG//bluF//rutR//ydfD//potH//
XapR_pos	aceF//hypA//
XylR_neg	paaY//
XylR_pos	gutQ//slp//sgrT//gutM//nirB//pnp//
YdeO_neg	dps//rbsK//
YdeO_pos	araC//iraP//paaZ//ftsZ//yfbR//yhiM//phoB//phnD//deoB//phoH//yiaM//envC//recF//yjhB//glgB//phnN//frc//psd//trpA//
YedW_neg	dapB//allC//entH//yjhB//lsrK//
YedW_pos	adhE//infB//erpA//dhaM//nagB//mscM//molR_1//
YefM-YoeB_neg	rpoD//cynX//
YefM_neg	pqiA//hyaC//
YehT_pos	moaD//
YeiL_pos	focA//
YiaJ_neg	gntK//add//ybaT//cho//cusS//yfdX//yjiY//ruvB//erpA//yneM//
YjjQ_neg	narG//sutR//codA//ryhB//ptsI//paaC//entF//astE//ynfF//accA//
YpdB_pos	ccmH//
YqhC_pos	flgB//fadR//
YqjI_neg	gatD//allS//
ZntR_pos	gspF//
ZraR_pos	nimT//mpaA//rhaT//
Zur_neg	glnB//tdcD//hyfF//cspD//fimE//dsdA//
