#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	malK//thiQ//
ChbR_neg	fadE//uvrY//mgtA//pfkA//ahpC//molR_1//
ChbR_pos	nhaA//gntX//yciE//citD//trpA//pqiB//
ComR_neg	pnuC//
CpxR_neg	edd//argT//bdcA//tdcC//yneM//oxyR//tdcC//yecT//zinT//polB//allB//thiQ//murG//grxD//fruK//ydhX//mhpD//slp//napF//aidB//murP//galS//fliH//bioA//
CpxR_pos	hycI//ydfX//norV//yhiD//yedX//agaC//entD//mazE//fepC//fucA//nagE//fepD//rbsA//narJ//hyfA//fliC//ftsQ//gltL//ykgO//fepB//hslJ//pspB//tpiA//pck//nuoK//qseB//tsr//infB//sdhC//ycgR//fecR//pheM//glgX//ynfH//polA//uspA//frc//gor//paaH//mioC//pgaC//ascF//phnE_1//speA//yfiR//nuoI//
Cra_neg	yafQ//hemL//hyfF//mdtB//grxA//moaD//pitB//waaY//malM//nikA//glpK//uxaA//nanS//sgrT//dicB//fadE//glnB//artJ//dcuS//fixX//fumB//argP//uvrC//wzyE//fliK//thiQ//rseB//citX//fecA//ygdB//ybhR//allS//ycjG//hycF//metJ//dinB//cpxA//bglG//tdcE//dnaG//infC//gatA//mepH//appC//fixC//hycB//fecD//agaA//argI//fepG//narI//aceF//mnmG//nrdG//fliO//ygaC//araF//xylH//glnK//
Cra_pos	galE//tdcF//yafP//nfuA//hybB//flhB//leuO//yhdX//entC//dhaK//nrdE//moeB//rfe//cysW//paaZ//yjjQ//lysC//tisB//ynfF//fbaA//emrK//glnQ//rutC//
CreB_neg	fixC//hcaD//relE//
CreB_pos	qseC//trpL//
CsgD_neg	yiaJ//recD//cysD//leuA//torC//uidC//fucI//yfdE//ydeM//malZ//tnaB//gadW//cysU//paaK//folA//
CsgD_pos	cpxQ//bhsA//yoeB//lsrG//caiA//napH//araJ//oxc//dsdA//entH//ilvY//mhpT//cpxA//
CsiR_neg	ydfX//gspJ//ssuA//dctR//nrdD//
CspA_pos	uspA//gltI//
CueR_neg	codA//pnuC//mgtL//ecpA//hisJ//
CueR_pos	csgE//dctR//
CusR_pos	yeaG//lgoR//treR//molR_1//fliE//dmsD//bolA//fixB//hcaC//nrfG//yjbF//adiC//
CynR_neg	moaE//
CynR_pos	rstA//pspG//soxR//
CysB_neg	sroC//nikE//sufD//waaZ//cdd//evgS//cas2//
CysB_pos	dcuS//dsbC//fbaB//phnN//hns//acrA//glk//ymiA//cynX//feaR//wzb//borD//rpsU//tcyJ//rseA//paaH//chbC//mhpA//napG//yhdW//talA//cydB//fruA//speA//oppA//
CytR_neg	ptsG//sbcC//lysP//dpiB//hcaE//gabD//hycB//gspM//rbsB//pnp//arsC//fiu//pgi//
Dan_pos	rutF//yhbS//creA//ttdR//
DcuR_pos	sroA//nuoB//hmp//paaJ//glxR//cas2//rcnR//dcuA//molR_1//
DeoR_neg	prpC//speA//agaS//exbD//agaW//fhuA//
DhaR_neg	cyoB//
DhaR_pos	sufS//ddlB//hisM//
DicA_neg	yfdX//moeA//fliI//sgbE//appC//torC//aceB//ptrA//
DinJ-YafQ_neg	pgaA//yecT//mzrA//
DnaA_neg	asnC//ptrA//mhpT//nrfD//lgoR//hslJ//malQ//nohA//phnM//micF//acrB//
DnaA_pos	ymgC//araC//sufC//paaH//phoP//tonB//mngB//
DpiA_neg	ilvY//
DpiA_pos	rbsC//ycjX//yidQ//agaC//osmY//citG//nrfC//cyoE//ymgC//cadA//
DsdC_neg	flhC//
DsdC_pos	leuB//nagB//
EbgR_neg	ptsG//accA//
EnvR_neg	ykiA//melA//
EnvY_pos	xylH//ydeN//
EvgA_pos	ompT//rtcA//purE//soxR//modB//pspE//nikR//ecpA//narH//ibaG//cynT//csiD//nagE//nlpA//malP//gcl//fdnI//gpmM//skp//
ExuR_neg	caiC//yegZ//hycG//phnJ//deoD//gntU//mazE//cueO//hybA//
FabR_neg	hslJ//glmS//
FadR_neg	cyoE//mntS//kdpA//hypC//wecC//trxC//hisJ//ftsA//aslB//malQ//ttdT//
FadR_pos	ydhW//nimT//melA//cysC//fliH//ybjG//cysN//psiF//gntT//dicB//wzc//fadJ//
FeaR_pos	rutG//nuoM//
FhlA_pos	flgA//fliF//yebG//crr//ycjX//idnD//hyaE//setA//dcuA//flgD//flgC//yecT//htpG//lldR//fhuE//dinF//yegR//sucA//allC//ydfN//sodA//dinB//slt//ydcT//slt//hycD//allD//mglA//dinJ//gntU//
FlhDC_neg	ygeH//hyi//nanE//nuoN//
FlhDC_pos	yegZ//fliK//yqaE//tcyP//fadI//dsbG//nrfC//flgH//pgaA//omrB//sroA//garR//cysP//speB//glk//gudD//ydfN//flgN//pitB//nanT//sucB//yiiS//entH//asnC//uvrY//seqA//cysJ//cysC//ygiB//tauC//leuD//pdeL//hybB//mtlD//symE//lacY//appX//chbA//citE//rpmI//argI//sodA//fabZ//rsmH//sdhC//nusA//idnT//yiaM//cysU//accB//tdcC//aroG//araJ//glnQ//argD//fucR//hisP//araE//serA//rnpB//potF//fimB//nrdG//xapA//ptsI//flhA//frdB//manY//oxc//araH//melR//ttdB//yhdW//nadB//rstB//fabB//ydcS//cytR//
FliZ_neg	atoB//emrY//znuB//deoA//acrR//hypB//ydiU//folE//gloA//ynbC//acrA//nemA//nrdA//yjeV//yqjH//phoH//fbaA//mepH//hyaA//dinQ//allA//
FucR_pos	mepH//fecB//ydfN//dinJ//gpmA//lacZ//degP//
Fur_neg	gatB//puuC//appC//yjiY//poxB//sgrR//napF//fliS//frdC//tsgA//hokE//gcvP//cheA//dpiB//ybfE//relA//sufD//cysG//xapA//yciG//nrfD//glk//ryhB//agaB//fhuD//nuoA//lsrR//wecB//evgS//patA//deoC//yoaC//lsrF//gpmM//rimP//treB//nlpA//narJ//argH//hyaF//dinF//bglB//lsrK//ydhY//ruvA//yoaC//araD//nirB//phnO//ulaC//cynS//cspE//nadB//lysP//rutC//nanC//agaV//murF//lsrA//cueO//arsB//hcaE//ttdR//mgrR//argI//soxR//sra//dsbC//purD//pheS//slyB//fadI//cysW//moaE//nhaR//lacA//dcuD//hyfC//frc//molR_1//tyrR//fabA//dinF//slp//fhlA//yiaL//arsC//frc//rtcB//mlrA//acnA//molR_1//murC//ftsQ//bglJ//fliL//gspG//mraY//galT//glpQ//exbD//phnO//napG//ssb//uxaC//dcuB//aceK//wecE//frdD//pgaC//bhsA//phnE_2//zwf//napD//idnD//
Fur_pos	fixA//rhaA//fucP//hisQ//ygiZ//cysI//fliP//artP//uxuA//moeB//dcuR//ydhT//zwf//tfaQ//napH//argF//sucB//yrbL//ftsQ//yeaE//nrfD//
GadE-RcsB_pos	gfcA//ttdR//frdA//recN//dinG//entD//fliE//ftsW//yciE//
GadE_pos	sroA//rhaT//guaB//hcaC//paaD//cra//malM//eda//purD//flgN//moeA//tpiA//frdA//ftnA//glnP//pspD//araA//hybA//oppD//yfbR//mdtB//hypC//mhpE//edd//pgi//dcuS//frdA//uspD//pgi//
GadW_neg	ycgZ//dapB//garD//gcvB//cdaR//uidR//hyfR//hydN//srlD//ybbW//cdaR//
GadW_pos	appX//murI//nrfF//gltD//patD//ddlB//gabP//psiF//sucB//chbR//psiE//
GadX_neg	sdhB//nrdH//flgA//ygeA//caiC//lpxC//
GadX_pos	ddlB//flhE//cdaR//yqjH//sgbE//nupG//creC//ssuE//umpH//gyrA//pspB//mntH//tonB//sbmC//entH//rhaR//fabH//moaA//paaZ//iclR//mdtA//rbsB//flgF//csgD//ydhT//ccmE//hns//
GalR_neg	ecpR//rutC//nanK//srlD//ydbK//narG//bglB//rcnA//narK//nuoC//
GalR_pos	yjjZ//dsdX//ubiX//rstB//
GalS_neg	hyfD//purL//yiaL//baeR//hdeD//znuA//entS//nanC//artQ//allA//
GalS_pos	ydhT//sufA//rpiB//yhjC//
GatR_neg	puuP//slyB//exbD//murG//znuC//yagK//
GcvA_neg	lysP//wecB//mraY//dcuA//
GcvA_pos	nrdF//intQ//adhE//nac//
GlcC_neg	hflD//
GlcC_pos	fbaB//hyaD//zwf//puuB//osmB//casB//
GlpR_neg	sufE//iraM//infC//yjbG//prs//rnlA//puuD//glpA//garP//
GlrR_pos	umuD//ihfA//recD//mraZ//phnG//
GntR_neg	oxyS//glpQ//ybbW//ccmF//yhbT//bdm//marB//gadX//rimK//amn//gadA//sucD//
GutM_pos	puuP//metB//agaA//zraR//agaB//hycC//ydiV//
GutR_neg	gatA//cbl//nemA//marR//ydeM//tnaC//ydcT//
HU_neg	cysJ//glpQ//fadJ//mpl//glpX//ung//yedX//carA//
HU_pos	allE//
HcaR_neg	ydfE//
HcaR_pos	pck//glgA//acnA//qseC//leuA//
HdfR_neg	ybaT//ppsA//
HdfR_pos	poxB//iscU//gspH//
HigA_neg	gcl//nlpA//
HigB-HigA_neg	caiT//glpF//
HipAB_neg	murR//oppC//relA//qseC//osmC//
HipB_neg	fadI//fecD//glpT//metH//rcnA//caiD//
HyfR_pos	zntA//lysP//glnD//ynfH//gatA//ugpA//nanS//purN//rimK//ybhF//phoA//gspK//
HypT_neg	fumB//leuL//moaE//yhjA//yqjA//
HypT_pos	speB//srlA//umuD//phoH//csrC//yqhG//rpsO//motA//
IclR_neg	feaR//sgbU//rpmI//rtcB//
IdnR_neg	ybaT//uxaC//
IdnR_pos	mdtB//yqjI//caiF//xylH//iscS//
IlvY_neg	dctA//
IlvY_pos	gntU//
IscR_neg	pspG//cytR//soxR//metJ//galK//hypA//infC//grxD//cecR//ulaF//yidQ//fadL//argD//nimR//fadI//oxyS//sulA//ycjG//napC//nfuA//metH//
IscR_pos	csgB//bolA//crl//nrfA//hisM//ddpC//argI//ssuC//cysA//dctA//cysC//
KdgR_neg	argG//ygiB//
KdpE_pos	ybhF//cysH//tauA//nuoJ//
LacI_neg	lacY//bioB//phnK//
LeuO_neg	adiC//grxA//uvrC//
LeuO_pos	ynfG//lamB//fixX//nikC//yefM//mtlD//motA//gatC//srlA//pdeH//idnD//pnp//dgcN//mdtD//ftsK//tdcB//gspO//sra//
LexA_neg	ygbK//rutF//putA//arsB//nuoN//ybfN//araD//fhlA//purK//ddpB//pnuC//ynbD//fliR//baeS//csgG//sufC//waaH//dcuB//mraY//hybG//arsR//cynS//gntT//cadC//gntT//fliO//nuoK//caiD//cytR//entE//tfaQ//wecB//entD//aceB//uspA//iraM//fldA//ygiC//dcuS//fhlA//dinF//araB//lsrB//ydcS//ydfH//motB//tyrP//ahpC//ydcT//pspF//hcaF//bamE//hyfC//sufA//yfiR//lon//oxyS//cecR//ompC//
LldR_neg	ybjG//phoU//ulaC//
LldR_pos	gspG//dinI//cusS//
LrhA_neg	appB//malT//
LrhA_pos	argG//dapB//
LsrR_neg	xylH//metA//hisP//cydC//araG//gltF//dctA//iscS//purE//
LysR_neg	fepA//
LysR_pos	bamE//
MalI_neg	fruB//rclC//epd//
MalT_pos	ugpA//ygdB//nrdA//nuoH//ydbK//tyrB//sulA//ynbB//crr//gadW//
MarA_neg	dkgB//rffH//fabD//ydbD//ycjY//yhdZ//nfo//
MarA_pos	ecnB//phnM//ubiX//lsrB//ymgA//mazG//ybhL//mqsA//rffG//iraP//dinQ//evgA//yafO//malI//kbaY//trpL//fecI//katG//ccmC//flgB//yfbR//carB//rffG//ydiV//sodA//molR_1//fliJ//creB//nuoB//murQ//rcnR//
MarR_neg	dps//treB//ftnA//
MatA_neg	ydeO//garD//gspD//cysJ//ftnA//norR//
MatA_pos	rpsO//pepA//
MazE-MazF_neg	gltK//cynR//nirD//
MazE_neg	torC//nanA//isrC//
McbR_neg	yjbF//
McbR_pos	mntS//fadI//ykgO//
MelR_neg	ldtB//mdtA//lacZ//
MelR_pos	hipB//paaD//ryhB//
MetJ_neg	gltI//dsdX//gpmM//gltJ//tyrP//evgA//purN//phoP//mprA//serA//udp//ulaE//pgpC//hycC//malY//
MetR_neg	aroG//csgC//
MetR_pos	rpmI//ugpQ//gabP//recD//
MhpR_pos	chbB//dsbC//gltI//fabD//ydcT//mltF//
Mlc_neg	ulaB//fnr//purL//exbD//rpmA//pgk//rcsA//fdnH//napD//omrA//
MlrA_pos	mazE//rcnA//sroA//rhaR//efeU_2//leuC//nuoM//xylH//rbsR//phoA//
MngR_neg	deoB//araE//codA//
MntR_neg	chbF//ymgA//casA//entB//
MntR_pos	cspD//
ModE_neg	ybfN//tauA//mdtC//moaC//moeB//glnH//garD//ugpE//iscA//fdhF//wzb//cysK//hyfE//tpiA//lsrB//
ModE_pos	fixB//malM//pyrD//xylF//appX//dnaG//cysM//ulaA//alkB//recX//nuoN//agaA//paaI//prs//gspF//fhuF//metC//murR//hyfB//psiE//astC//galR//pgaA//hcaB//aslB//amtB//folA//fiu//narL//lysP//dcuD//
MprA_neg	mntH//ydeN//ychF//araJ//cadC//nrfF//
MqsA_neg	argO//alsC//nfsB//rhaB//nusA//casE//pspE//crr//
MraZ_neg	ytfE//moaA//glcE//gcvT//ryhB//uvrD//cysD//rclB//exbB//deoB//flgK//mnmG//galP//argE//uvrA//cspD//mioC//
MtlR_neg	purM//add//fabZ//
MurR_neg	srlA//gapA//appC//
MurR_pos	creA//
Nac_neg	sdhC//lysR//yhdZ//ydeP//gabT//mhpB//ybjC//tpiA//nrdB//
Nac_pos	rpmI//xylF//yaiW//metC//rhaR//ugpB//yafO//nirC//gspG//efeU_2//yebG//dinD//
NadR_neg	pdeL//yeiB//hyaF//fumC//
NagC_neg	dinJ//pck//ulaE//citD//iscS//pnp//tnaC//casA//sroC//pagP//dmsD//gspJ//mdtC//pgaD//acrZ//ybbY//metN//speB//yegZ//trpE//fadH//ddpB//bioB//hypE//guaA//mpl//nuoG//fumB//ydhW//aroL//tomB//gltJ//rplT//
NagC_pos	hokE//ubiX//ecpR//
NanR_neg	caiB//ompN//oppD//cysG//srlD//gadC//cyoB//nikC//pfkA//tolC//
NanR_pos	cysW//
NarL_neg	ftsA//malY//flhA//ddpD//motA//eno//oppA//metJ//pspG//prpD//recC//flgN//phnG//phnO//nanC//agaI//wcaB//gadA//dmsA//torA//aroM//tdcB//fadB//tcyJ//osmB//exuT//sbcD//gltD//rhaD//amn//rplU//creC//yidQ//gspM//moeB//yiiS//gspK//fadR//sulA//hypE//dmsB//xylF//ulaG//csgA//mgrB//ygeA//metC//hycC//artM//paaF//cadB//mhpD//frc//ybjN//uxuB//fabZ//nhaA//lpxA//rcnA//araF//chbB//gcvA//ycgZ//argP//rdoA//asnB//hydN//cbl//rseC//rutF//pepD//appB//cysB//mipA//bioF//bamE//glcA//ugpB//argB//pqiB//ydhY//gatA//nanM//nohA//hyfH//mdtF//narG//
NarL_pos	cysP//yhiM//ribA//exuT//modB//yecT//lacA//trpA//chbB//icd//skp//fliK//lrhA//rhaR//ryhB//uidB//dicC//ldtB//yfiB//ldtD//rimK//gabP//evgS//sdhC//melB//katG//ssuE//lpxD//phoB//uidR//glcE//nagE//gyrA//feoB//ugpC//prpR//caiB//hyaE//insK//setA//citD//xylR//malQ//
NarP_neg	ydfX//metA//speA//hdeA//xylF//betI//fhuE//ccmA//dkgA//ynfF//rbsC//garR//nrfB//pgk//glnH//cyoC//tcyP//flgM//caiB//ccmF//fumB//hyfD//seqA//lamB//metK//yqaE//lamB//hycH//yhbS//ybiT//mazE//cynT//yqhG//
NarP_pos	paaZ//fliC//nrdB//ulaA//dpiA//hyaB//insD//hslJ//cusF//hcaD//rffT//wzxE//pspE//murG//lysA//idnO//ycgR//uof//rutF//flhC//uvrY//fabZ//hypC//gpmM//crr//dsbC//hybB//fur//phnF//ynbC//ssuC//murE//
NemR_neg	sfsB//manZ//yebG//
NhaR_pos	hyfI//yhdX//kbp//ybhL//glpT//obgE//dhaK//
NikR_neg	cydA//hisJ//galT//gadF//betI//dctR//
NimR_neg	nhaA//fdnG//
NorR_neg	fliG//
NorR_pos	glmY//sdhD//
NrdR_neg	fabA//nemA//caiA//nuoN//sfsB//dkgB//nuoE//dapD//yhjA//
NsrR_neg	cusF//nrfF//rbsD//entS//garL//putP//focA//zntA//lldP//yqjA//glnQ//malG//fliH//mtr//cysK//wzc//nemR//ydeP//sufA//exbB//malP//purN//yeiB//moaB//nac//hdeB//cspD//nanT//purA//tnaA//tolC//dkgB//dcuD//gspE//emrK//rseB//gadF//fliM//chbA//tfaQ//hcaB//lyxK//ydhV//ftsQ//ariR//appY//ulaC//phnC//glyA//iraM//leuB//purK//umuD//dkgB//allB//gspE//iraM//rpmI//gltL//betT//pgaC//recX//sufS//galE//hycI//degP//cusS//tomB//fabI//rpiR//fumB//ascF//rutG//lpd//thrS//hybA//ttdB//mscM//cadC//ppdB//cydB//ebgC//recC//
NtrC_neg	dkgA//hisP//casA//ybdN//rpmA//mdtC//
NtrC_pos	alsE//nac//argT//obgE//dhaM//truB//csgC//ecpR//ygaC//infB//flgF//paaA//hdeB//glnP//fadE//malX//appB//ssuE//yfiB//sgrS//zinT//codB//crp//marB//purK//hokD//nfo//entE//ygeA//sucB//lacY//yciG//zinT//yneM//ydfE//mdtF//pspG//fliE//gcl//nuoF//lon//dhaM//purH//hemL//ruvB//narL//manX//mpaA//copA//
OmpR_neg	fliC//dnaA//putP//uidA//gadA//carA//trpL//moaC//nirD//hyfR//tyrP//fecB//
OmpR_pos	borD//paaA//yjhB//xylG//glnD//atoA//flhC//ruvB//hdeA//galS//
OxyR_neg	yidL//citX//hydN//leuL//cyoD//yhhY//appX//yegZ//polB//obgE//dmsA//fumC//
OxyR_pos	ycjY//ydcS//gfcA//yciE//puuB//citD//tynA//baeS//nuoH//cpxQ//gfcA//aroL//dps//lysC//lamB//tauD//emrA//hycC//rutC//tnaC//feoB//glcE//
PaaX_neg	srlB//recC//yeaE//fucU//ykgO//setA//ulaB//purF//pagP//metE//rffM//citG//pgaA//glyA//
PdeL_pos	paaG//
PdhR_neg	yecT//ykgM//yfaE//hybD//garP//psiF//napF//lpd//nikR//waaZ//ftsZ//fnr//glpK//phnK//sufE//ssuA//caiF//araC//nfsB//yagK//dmsA//rhaB//chbA//hslJ//ompF//relA//torR//yiaO//zraP//dmsB//bglJ//nanM//srlB//uvrD//casE//rybA//
PdhR_pos	allC//entS//ftsL//ompN//csiD//
PepA_neg	mscM//ptsI//ulaF//
PgrR_neg	metA//glgC//mcbA//mdtB//norV//dinI//rffM//torA//
PhoB_neg	glk//gltB//nemA//tyrP//yciW//ygdB//lpd//aslB//argR//dinJ//tnaB//umuD//
PhoB_pos	ydfE//gltB//tcyJ//hyfH//nrdE//purF//trpR//spy//fucU//hdeD//ftsZ//pstB//rpsU//ybbY//fldA//gspL//agaC//nmpC//iscA//flhC//paaA//mpl//citD//csgB//motB//nikE//omrA//torA//fliD//hypB//lolA//bdcA//nanE//malS//uhpT//polA//argH//phnD//nmpC//prpR//ariR//lacA//focB//mngA//araA//lysP//caiC//fixX//metF//dpiA//kdpF//casE//fhuC//
PhoP_neg	ynfE//hypB//rutB//ydcS//prs//artI//potI//leuA//ybhG//yrbL//znuA//
PhoP_pos	acrD//grxD//wrbA//napF//rplT//sgbH//rplT//icd//sodA//trpC//nrdE//yjbH//csgC//aroP//exuR//agaB//fhuB//ydiU//ydeN//hycH//phnF//ygdB//lpxC//fhuB//polA//betB//nrdI//phoU//ssuB//rseC//cusF//rpsO//nuoB//potI//yeaE//cysH//nirC//ybjN//betI//nemA//mzrA//ilvY//yhdW//garR//flgK//slyB//murR//yciW//
PrpR_neg	cspI//
PrpR_pos	hybF//phoE//rpsU//nanC//
PspF_neg	lsrR//
PspF_pos	pgaB//hdeA//marA//yhdX//csgF//alaC//
PurR_neg	gyrA//nagE//gspM//dnaG//acrZ//araJ//ldtB//agaV//moaD//idnK//ebgA//torD//fecD//ftsK//yccT//hlyE//ychF//yoeB//glnD//alsB//argC//cusC//bluF//sroA//nrfC//modC//nhaR//torR//puuC//moaE//nikD//
PutA_neg	dinI//pykF//
PuuR_neg	tsx//entA//sra//ybfE//rffG//grxD//narJ//
QseB_pos	tauA//gor//phoE//nrdA//
RbsR_neg	citG//iclR//nemA//cysK//ymjC//fabH//murR//grcA//
RbsR_pos	iraP//
RcdA_neg	gatY//aceE//
RcdA_pos	mqsA//cysB//rclC//gapA//caiT//ptsH//flgJ//
RclR_pos	tyrR//yiiS//dsrA//
RcnR_neg	cbl//dmsB//yncE//
RcsAB_neg	ppdB//nadA//ynbC//pgi//purD//rbsA//
RcsAB_pos	lysC//phoP//hypF//phnI//rutE//trpA//murQ//phnF//uhpT//glcF//
RcsB-BglJ_pos	hybF//nagC//pspG//ttdB//flgG//metB//ychF//moeB//rhaD//crl//rhaB//hybC//ompW//yjhB//ppdC//yaiA//
RcsB_neg	mdtC//ydbD//
RcsB_pos	melR//fimE//dinB//recA//sbmC//araD//pfkA//ydhU//chbC//metQ//zinT//ydhX//ygeH//fliI//hypC//recN//gadA//nikC//leuC//ppdA//baeS//ddpA//cpxP//
RelB-RelE_neg	ptrA//kbaZ//yhjC//
RelB_neg	glmS//nrdG//tomB//
RhaR_pos	ybhR//glpQ//
RhaS_pos	phoR//idnR//tdcC//carA//ttdA//trpL//
Rob_neg	pspF//
Rob_pos	pgaC//ygeA//lysP//tdcD//norR//melR//asnC//uxaC//nupC//mdtF//mhpA//fhuB//sgbH//hokE//aroL//uxaC//ydeM//rstA//rcnA//oxyS//erpA//cynS//yafO//bglB//ahpF//
RstA_neg	cysB//cysG//aroP//yjhB//flgB//
RstA_pos	lpxC//uspD//tcyJ//lhgO//napH//
RtcR_pos	fucP//yjbH//
RutR_neg	manY//paaJ//ssuA//phnE_1//rcnB//yoeB//sutR//borD//lldD//gnd//atoD//gadB//malK//sufA//csgA//
RutR_pos	leuC//sufB//
SdiA_neg	gcvB//kdpB//ygiB//
SdiA_pos	csrB//glk//asnA//
SgrR_neg	yjbE//tdcE//alkB//nimR//sodA//
SgrR_pos	ydfE//arsR//fabH//flgB//
SlyA_pos	ubiX//
SoxR_neg	ptrA//
SoxR_pos	rnpB//idnO//
SoxS_neg	flu//pdeH//
SoxS_pos	astB//aceA//degP//fabA//lsrF//frdA//yjiY//gspE//lrhA//gor//malG//cirA//puuP//yeaE//creA//insD//pgi//chbA//glnK//yfdE//hha//napF//mhpT//exuT//hdeD//mngB//iscU//yccJ//casA//mhpB//ruvB//entC//fliL//rplT//lpxD//rffT//rimK//cadB//
StpA_neg	dpiB//hyaA//phnN//guaA//adiC//gspD//galE//
SutR_neg	dsbA//purM//recD//accD//fadB//
SutR_pos	iscU//
TdcA_pos	creC//hyfR//yfiR//mtlA//luxS//psd//ruvB//
TdcR_pos	dcuA//mngR//iraP//fepB//sodB//malP//metE//
TorR_neg	fliD//fixB//ddlB//
TorR_pos	hybF//iraP//mhpB//hyi//rcnR//relE//appC//gcvT//nuoI//
TreR_neg	edd//nfsB//
TrpR_neg	gcvT//appX//mdtA//fecD//glpQ//hybC//ahpC//dcuA//leuO//ompF//sufD//fruA//
TyrR_neg	evgA//ppiA//cysJ//ldtC//gcvT//gcvA//purH//norR//sbcD//phnM//
TyrR_pos	mhpB//dinB//rarA//
UhpA_pos	psiF//
UidR_neg	cspE//ycjX//putA//yhiM//
UlaR_neg	ydfE//ydfX//micF//kdpF//dnaN//ynbD//mhpE//
UvrY_pos	hyaA//sgbE//bglG//csgD//fliN//
UxuR_neg	csgA//betB//osmB//yjeV//dacC//metQ//mhpD//rclB//xylB//
XapR_pos	fepB//nupC//
XylR_neg	sdhC//
XylR_pos	dsrA//rpsU//rpmI//ascB//nuoG//fliS//
YdeO_neg	hycA//glxK//
YdeO_pos	cheW//fabI//hybC//yhdY//uxaB//citD//insD//nuoK//oxyS//ruvA//ygiB//araE//codB//arsB//feaR//csgC//hyi//cheA//norW//
YedW_neg	hydN//ugpB//lyxK//flgJ//fliI//
YedW_pos	ccmE//narG//gdhA//treB//torC//treB//yeiL//
YefM-YoeB_neg	folA//asnA//
YefM_neg	norV//lon//
YehT_pos	yqhD//
YeiL_pos	putP//
YiaJ_neg	cysA//tsr//ung//dtpA//trpB//flhA//tdcB//ydfE//tdcC//ymiA//
YjjQ_neg	accC//nirB//zinT//wzyE//speA//qseB//hipA//cytR//katE//flgC//
YpdB_pos	dinF//
YqhC_pos	casB//yeaH//
YqjI_neg	purH//zwf//
ZntR_pos	malZ//
ZraR_pos	cydC//ahpF//rclA//
Zur_neg	glnH//hybF//appC//ftsI//dacC//astD//
