#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	rutB//araC//
CysB_pos	rpiB//yjhC//mntP//ydbK//agaA//rbsB//flgB//oxc//purF//copA//astA//yegR//zinT//oppA//ydhY//yjbE//tehB//infC//mtlA//yjhB//flgK//fucR//mcbA//bglG//nrdF//
CytR_neg	ugpC//recD//ydcV//rutE//tam//pagP//cynT//fliC//rarA//gspE//mazF//yafQ//ccmF//
Dan_pos	umpH//creD//decR//fliG//
DcuR_pos	mdtA//yegH//mioC//metK//ssuD//csiD//hybF//cirA//gadY//
DeoR_neg	fhuD//ychF//recB//pck//betA//yefM//
DhaR_neg	mngB//
DhaR_pos	cyaR//dcuA//hipA//
DicA_neg	citG//napG//glcC//murP//fliA//paaH//lsrG//hyfD//
DinJ-YafQ_neg	rpoD//umuC//asnA//
DnaA_neg	skp//gadF//modA//sucA//rimP//bioD//csrB//yecR//pgaC//fliD//tnaA//
DnaA_pos	yiaJ//yhjX//ynfE//hypB//yfiR//nikD//agaR//
DpiA_neg	ebgC//
DpiA_pos	ybhF//hybF//recB//yegZ//aceF//yoeB//sdhC//dinJ//malM//fur//
DsdC_neg	ompW//
DsdC_pos	hypD//csgE//
EbgR_neg	ytfE//ssuC//
EnvR_neg	hisM//gcvP//
EnvY_pos	fecD//puuE//
EvgA_pos	rseC//fecD//wzc//wcaB//hyfD//hisM//relB//nagE//pspG//yjjQ//pdeR//lon//stpA//fepB//hyaE//mscM//grxD//fruA//emrK//
ExuR_neg	xapA//ydeP//idnT//yhbE//mngA//nadB//csgC//ymjD//fdhF//
FabR_neg	adiA//aceK//
FadR_neg	hyfF//chbB//dsdX//puuE//fepC//cpxP//fdnG//cydA//csgF//poxB//yhjC//
FadR_pos	pstB//sufE//yjbF//ycjF//baeS//znuA//fhuD//tdcA//nuoE//hycA//sdhD//glcE//
FeaR_pos	ynbD//oppD//
FhlA_pos	allE//uxaC//ygiA//trpC//artM//cysK//modB//artM//cpxR//tyrR//artQ//flgC//ydcV//potI//caiC//hyaC//napD//nirB//lolA//rcnA//gatB//purN//ydhY//lysR//dinB//uxaC//sufA//safA//torC//mhpE//
FlhDC_neg	tolC//ccmC//dctA//relA//
FlhDC_pos	ydeP//acrB//uxuA//sufE//sgbH//xylA//flhD//dsrA//ykgO//ybiT//sutR//creB//oppD//gcl//hmp//mqsA//trxC//rbsR//ddpA//marR//xylA//ybhS//aroH//appY//codB//nuoC//fimB//aceA//glcC//fau//cyaR//gspI//sdhD//eda//murF//lolA//hisP//waaZ//ydhY//borD//fadJ//lldR//sufB//murE//yafN//tauD//yibQ//oppF//dicB//cspD//nusA//aroG//hflD//ppdA//lsrA//cynT//xylH//paaJ//chbC//sgbE//epd//marB//nanS//cyoC//mntP//fhuD//lsrA//wza//ubiA//entA//yqjH//nikC//caiT//waaY//dsbC//tam//fadR//sucB//
FliZ_neg	gloA//frdD//mpaA//argO//caiA//rarA//uxaC//garD//borD//sucC//artP//fliD//tadA//ascB//wzb//cueO//pspB//murR//ccmC//yaiA//sgbU//
FucR_pos	pflB//dctA//rfe//nrdG//ptsH//yjbG//potI//
Fur_neg	cusR//umuD//nikE//rtcB//dhaR//nrfC//pagP//dmsC//flgA//lacA//dsbG//metE//tolC//yhdW//agaD//galS//yhbS//caiA//phnL//phnE_1//ompT//micF//fruB//nirD//potI//marR//yiaL//napB//flgG//ycjG//nuoK//acrA//sbcD//wecC//ruvA//caiB//bolA//ybhR//fliL//narK//dsdX//appA//uspA//sgrS//rutG//rimK//nusA//fliM//bhsA//torC//yjjZ//flgN//rtcA//cysJ//gatC//purF//hybE//adhE//cysP//hycC//gyrA//nikR//purF//kdpA//prpR//pstS//emrB//yjjQ//tadA//mlrA//glnA//copA//nrdE//relA//cra//frc//gltJ//leuO//hmp//mtlA//yecR//araJ//ftsK//lsrG//metK//hslJ//yhjC//rob//ppc//glpK//csgC//ftsZ//flgA//ydeP//mhpF//rffH//rclA//ybfN//melA//ulaA//micF//yeaG//purB//cusR//hybC//osmY//torA//napF//phoQ//melR//nagB//allD//dps//glpD//potI//
Fur_pos	glcE//infB//glcF//baeR//marB//cusF//kdpB//fimE//rdoA//omrB//pdeL//pdeH//sbcC//yciW//tsgA//fabH//ibaG//pspD//ydfD//mazF//rhaD//
GadE-RcsB_pos	hypD//hisP//glnL//lldD//gutQ//oppA//envC//pdeL//araC//
GadE_pos	sbcC//glcC//hipB//entE//cysM//ydhW//oxyS//ytfE//tyrP//wecE//patA//nikD//glpK//aroM//mazG//cas1//dsbC//fucR//dapD//ydjM//crr//ybfE//rtcA//nuoJ//puuB//mglB//fdhF//yebG//atoD//
GadW_neg	ydhW//rpmA//ybdZ//ybhR//iscU//phoQ//ytfE//gadB//putP//rcnB//ynfF//
GadW_pos	napB//phnO//rfe//cvpA//rimP//fdnI//yfiB//fhuD//entH//nrdA//cueO//
GadX_neg	gapA//sucB//artI//galS//tdcF//nrfG//
GadX_pos	acrR//bglF//trpR//ldtC//tsgA//rtcA//ydhU//yeaR//pheM//fucO//yhbT//prpE//chbR//nuoF//grcA//rutE//chbR//gspO//potG//ygeH//hyaF//zraR//paaF//gntX//argO//tomB//fixB//
GalR_neg	araF//ftnA//hyfD//betB//ugpA//yeiL//tfaQ//glcA//fau//cysN//
GalR_pos	nrdF//baeR//sbmC//fucO//
GalS_neg	csrB//caiC//ecpR//yafP//rffM//yjhB//hybA//asnA//dcuS//atoE//
GalS_pos	fliI//phnD//gadW//ygiZ//
GatR_neg	csgC//feaR//napC//lsrA//sucB//rpoD//
GcvA_neg	mntP//narH//yhbS//deoD//
GcvA_pos	rpiB//glcA//kdpA//ydbD//
GlcC_neg	rdoA//
GlcC_pos	glnG//hha//ydcV//rnpB//nrfG//iraP//
GlpR_neg	citF//yjjQ//srlD//moaA//ybfE//entA//yccT//glnP//add//
GlrR_pos	ftsQ//idnK//artQ//hcaD//ynbD//
GntR_neg	mntP//arsB//ndh//tpiA//fbaB//yhiD//atoD//ftsI//uidC//fecI//hybD//mpaA//
GutM_pos	allS//fabH//rpsU//oppB//chbC//ydbK//codA//
GutR_neg	fucA//csgE//rtcB//ebgC//umuC//emrA//rhaD//
HU_neg	tomB//entS//ecnB//sucD//yciX//ilvY//glnB//rnlB//
HU_pos	yecT//
HcaR_neg	gadY//
HcaR_pos	mtlR//rplT//phnF//prpC//nrfB//
HdfR_neg	gatY//gdhA//
HdfR_pos	malX//slp//atoD//
HigA_neg	creA//nanM//
HigB-HigA_neg	ycgZ//osmB//
HipAB_neg	higA//gyrA//nohA//ulaD//bioC//
HipB_neg	rffM//cydA//pspF//allB//rfe//pyrC//
HyfR_pos	galM//ihfA//modB//fiu//dicC//yfbR//hydN//yciW//cdaR//tsgA//nuoE//cpxP//
HypT_neg	gspL//flgG//puuE//puuR//ydiU//
HypT_pos	patA//hcaC//rutF//ssuC//fucR//nikC//ccmH//gspI//
IclR_neg	wecB//appC//sra//ybjG//
IdnR_neg	fecD//yqjA//
IdnR_pos	trpA//pstB//nuoC//napB//araD//
IlvY_neg	hdeA//
IlvY_pos	amn//
IscR_neg	crp//recC//torD//iscR//gltK//fliN//idnO//nhaA//chbA//psiE//waaZ//deoC//narX//ihfA//ssuE//dcuA//metI//ykgO//hycD//ftsA//modA//
IscR_pos	pgpC//fldB//cpxR//yhcH//ahpC//ldtB//fepE//mprA//zraP//rcnA//fliJ//
KdgR_neg	rhaS//nuoK//
KdpE_pos	sgrR//gabD//ccmC//acrR//
LacI_neg	paaI//artJ//purM//
LeuO_neg	gspI//agaB//bioA//
LeuO_pos	nfo//guaB//nrdI//gspL//hyaC//paaJ//gadY//mhpB//ybaT//paaK//ftsZ//fliE//argC//nfsA//rdoA//dnaA//sgbE//nikA//
LexA_neg	idnR//exuT//agaB//trpC//rffH//betB//yfaE//recB//bhsA//yjbH//ymjC//ybhR//araB//fhuF//glcF//uxaC//napH//pspB//narK//nusA//pdeH//cspI//yaiA//gspE//gspG//yiaK//ytfE//garP//csiD//cusS//flhD//yhiD//alkB//pgaD//ccmF//purR//yhiM//yiiS//ykgM//ddpB//treB//sdhA//higB//tisB//dtpA//idnK//rutD//sufB//tdcD//uxaB//fliT//gltI//yeaG//wza//metE//rnlB//sufB//rhaT//glnH//
LldR_neg	fnr//argE//hypB//
LldR_pos	tdcE//rnlB//paaX//
LrhA_neg	purR//nadA//
LrhA_pos	rutA//norV//
LsrR_neg	glmY//araG//trpL//garL//relB//malF//isrC//gudD//thrS//
LysR_neg	epd//
LysR_pos	lpxA//
MalI_neg	artJ//patA//gutM//
MalT_pos	feaR//yfiR//purL//yafN//galT//lldR//mglB//yhdY//gfcA//gadY//
MarA_neg	aroH//csgG//mcbA//recN//sucC//ada//mglB//
MarA_pos	yhbS//treC//cysW//citX//yfaE//dapB//casD//ccmG//fdnH//yccA//carB//flgB//ecnB//hha//hcaF//sbcC//cusR//entE//pyrD//fepB//galM//gadW//aceK//yibQ//phoQ//folE//ldtB//hycC//rhaR//gnd//yeaD//
MarR_neg	znuC//hyi//gor//
MatA_neg	xapB//torA//galE//ubiC//asnC//mhpE//
MatA_pos	gltL//dgcZ//
MazE-MazF_neg	flgH//pstB//uidR//
MazE_neg	ecpR//paaE//chbB//
McbR_neg	ydjM//
McbR_pos	xylH//sgbU//flu//
MelR_neg	artP//crl//cirA//
MelR_pos	phnJ//mgrB//rpoD//
MetJ_neg	astD//gnd//rstB//ccmE//dtpA//lyxK//ascF//ppdA//glnG//flgA//srlD//yciF//dinJ//hflD//dnaG//
MetR_neg	emrB//fadJ//
MetR_pos	ccmH//yhdX//ubiC//deoB//
MhpR_pos	emrA//hokD//gltL//ynfH//nemA//ydeO//
Mlc_neg	yfiB//rimK//isrC//artJ//rclA//ppiD//phoA//nimT//melB//pspA//
MlrA_pos	waaZ//efeU_2//fabZ//waaZ//ascF//bolA//glpD//oppA//phnO//puuA//
MngR_neg	cbl//xylG//dhaR//
MntR_neg	nemR//feoC//ssuB//metB//
MntR_pos	lon//
ModE_neg	aslB//paaY//cyaR//cadC//fliF//glmS//sdhB//ddpX//slt//cspE//dacC//pspD//astE//acrA//argG//
ModE_pos	hns//ascF//flgD//dsdX//nlpA//pstB//fliT//ugpA//sroC//napA//allB//nhaR//fadJ//dinQ//pstC//ppdB//ddpB//norV//hyfR//ompF//cysB//betB//betI//pstA//pgpC//relB//tynA//mnmG//yafO//tdcA//ydcT//
MprA_neg	oxyS//grcA//pspD//pykF//rybB//fucO//
MqsA_neg	phnK//fliR//fabH//nuoK//norW//tynA//garR//hybF//
MraZ_neg	torR//baeR//ugpC//ygaC//nrdA//mazF//rclB//nuoM//rdoA//uidR//purA//mlc//araB//alkB//hyaC//nrfE//ulaA//
MtlR_neg	argP//purA//yaiW//
MurR_neg	yafQ//efeU_1//feaR//
MurR_pos	fes//
Nac_neg	rffM//gatB//fliJ//gadF//envC//emrY//symE//ybfN//yidL//
Nac_pos	waaY//tyrA//garD//aceE//yccJ//baeS//cheW//mdtC//lacZ//phnM//agaS//nhaA//
NadR_neg	narG//bacA//rbsA//uxuB//
NagC_neg	tsgA//nrdF//ycgZ//ddlB//pdeL//uxuB//wza//atoE//qseC//cysU//hycC//sbmC//ssb//hlyE//grxA//rstB//malZ//nuoN//putP//pheM//phnI//tauD//purE//purR//phnK//cpxR//nuoJ//rbfA//pagP//sroA//deoC//gltI//metB//
NagC_pos	ndh//xylH//cas1//
NanR_neg	ybaS//tehB//argC//marB//ydiV//dtpA//sufD//mraY//ulaE//phnM//
NanR_pos	ssb//
NarL_neg	pstA//gatC//emrA//moaC//pagP//ycgZ//ascB//thrS//ydfW//phoR//lsrF//pgaD//envC//hcp//phnE_1//fecB//nupG//gloA//asnC//malZ//tauB//isrC//astE//frdC//araB//cirA//rffM//ytfE//sufB//carA//fau//sufB//ybjN//ydhT//ccmH//serA//ibaG//artM//flhC//mdtC//pspF//napC//omrB//rclA//tolC//tyrA//fhuC//trpB//osmC//accB//hdeD//exbB//glnH//lysP//entA//ttdA//ulaG//speB//gcvA//ebgC//iscU//efeU_1//fliM//argD//lldR//sufE//ulaE//ftsL//gloA//bioF//kbaZ//uxaB//pheT//glnK//phnG//creA//ecpA//casB//tcyP//xapA//casE//narH//fruB//yeaD//ftsL//argE//yncE//
NarL_pos	bglJ//sdhC//exuT//fliN//asnA//betT//gcvT//cysB//frdB//dsdC//gatA//cadA//sucA//mdtB//dinF//glpX//ycjF//phoH//fliM//lpd//ccmH//ldtB//agaR//rcnB//rtcA//katE//nfo//psiF//rhaD//yidL//kbaZ//glcF//infC//astE//nhaA//slyB//ynfF//argB//melR//hyaC//potF//fdnG//omrB//
NarP_neg	pgm//ruvA//paaH//codA//trpL//moeB//carB//efeU_2//sgrR//betB//yqhD//hdeB//creA//sbmC//rpiR//fliA//sufD//sfsB//rdoA//flgJ//hyfH//hybG//uxaB//fhlA//ruvA//zinT//tyrR//nrfC//cysP//zwf//ykgM//puuC//metB//
NarP_pos	yiaO//ybiT//qseB//malM//napD//rcnB//znuC//nhaR//ssrS//nemR//astD//ompT//nikA//mgtL//prpE//yhdX//cysG//infB//nrfD//yjhB//fbaA//astC//arsB//fliM//dsbC//tsr//cadA//rhaD//gutM//yhdW//murI//hybO//
NemR_neg	rffM//ynfG//sufD//
NhaR_pos	nuoJ//pdeL//mgrR//mdtF//gspM//icd//cadC//
NikR_neg	hypB//pheS//fliG//yjbH//hypF//mazF//
NimR_neg	frdC//hlyE//
NorR_neg	nanS//
NorR_pos	fliM//molR_1//
NrdR_neg	fiu//uvrA//ydiU//dinJ//yqhG//csgF//ybfN//nrfF//wecC//
NsrR_neg	nhaA//paaX//chbG//ibaG//mdh//hcaE//ompT//flhA//rbfA//nimT//moaA//cysA//wrbA//iraP//mdtD//rseA//pepA//melA//cheA//ydcU//ulaC//hybO//lpxD//uvrA//hybO//copA//gcl//dpiA//prpB//lgoR//mdtE//cdd//yjhC//ycgZ//gltK//araC//tdcF//rutR//hyfB//aroM//cydB//pgk//rffG//ompC//glnD//pgaB//phnJ//araH//rbfA//yeaR//ydeP//frc//polB//narK//grxA//yebG//hycE//nikR//asnC//yibQ//pagP//psd//fadB//mgrR//mglB//rimP//hcaF//dhaK//nanE//xylR//malG//yecT//phnE_2//phnO//fucP//entB//uspE//gpmA//wecB//pheM//wrbA//cysW//rutD//
NtrC_neg	galR//oppD//paaG//dinB//fldB//pnuC//
NtrC_pos	copA//lsrB//gutQ//hycF//zraP//mepH//xapA//hyfI//tyrB//amtB//narX//ydhU//purL//sgbU//gntT//cysU//lpxC//soxS//casC//fabD//fecC//malP//ynbD//fadD//cytR//obgE//rprA//ptrA//artM//paaH//zwf//hyfR//potF//aceF//potF//mhpE//fhuB//ybjN//ddpX//narJ//trpB//eda//argF//allA//fepE//yeiB//soxS//ygaC//lhgO//
OmpR_neg	ddpF//fiu//rseC//higB//cysH//pyrC//ykiA//hycH//nikC//accA//sufS//ecnB//
OmpR_pos	nanM//ybhG//sbcC//metR//hcp//hns//tbpA//cirA//ymiA//ycjY//
OxyR_neg	eno//fadH//hyaD//gabT//betA//nfo//wza//ribA//ybfE//nfo//ccmD//galP//
OxyR_pos	fabI//rtcB//sufA//fecD//hydN//metH//yqjI//trpL//cusF//agaA//relB//pgaD//fecA//soxR//waaH//cheA//hyfB//glgB//ccmD//iraM//nikC//flgI//
PaaX_neg	nadB//dsdX//uidC//ychF//ompT//chbG//sufB//copA//ykgO//nuoK//ccmA//tdcE//glcF//rpoS//
PdeL_pos	yciW//
PdhR_neg	thiQ//hlyE//gspJ//cheW//lsrB//ycjX//sufE//tcyJ//pdhR//gcvP//glpK//putP//ldtB//recD//cadB//uxaA//cueO//phnL//acrA//rpoD//chiP//marB//ydiV//feaB//gadX//yebE//xylA//agaD//cyoE//cusS//tdcA//sufS//yibQ//mhpA//rcnA//dpiA//
PdhR_pos	ygeA//ssb//gatY//dnaN//fabI//
PepA_neg	mhpA//glpD//yjhB//
PgrR_neg	dmsB//accA//relE//wzc//yhbT//hisP//ygiZ//sufB//
PhoB_neg	nanA//cysK//paaC//ymgC//ygiA//iscU//yafP//gadC//fucP//osmB//nfsA//phnH//
PhoB_pos	phnE_2//fadH//cusS//yqjA//pstS//mioC//uxaA//glpC//hycF//serA//recF//melA//phnC//ugpB//fucK//metA//lexA//malZ//hyfB//yqhG//caiB//ygbK//asr//slyB//ssuA//puuP//exuR//tdcF//lldP//cecR//putP//flhE//ccmD//agaV//dsrA//modA//lolA//lexA//fliM//pgpC//ccmH//mazF//gutQ//hybC//hcaR//kbp//napH//yciX//hcr//ykgM//flgN//ddpX//lldR//
PhoP_neg	osmC//hyaF//yciX//paaG//tomB//sucB//idnR//nrdA//dmsB//modC//yhdW//
PhoP_pos	xylG//metH//zwf//murQ//acnB//metQ//nuoC//dsbC//rclC//infB//dinF//nuoI//cheA//metH//xylR//allS//hyaB//rhaD//mscM//isrC//gudX//wecB//ydfX//fau//ydhT//tyrR//dmsD//gadX//dcuR//isrC//arsR//moaC//ydhY//umuC//citE//mdtF//tdcB//srlA//yiaN//kdpA//stpA//trpB//rpoH//hyfD//aroH//nirC//sufA//cysN//
PrpR_neg	pqiB//
PrpR_pos	cysG//ybaS//ygeH//entB//
PspF_neg	feaR//
PspF_pos	mhpE//frc//yiaO//gspE//nikD//yedX//
PurR_neg	fiu//pepA//thiQ//glpC//modA//cysH//fecC//gspH//epd//hcr//bluF//btuB//dcuD//rpsO//nrfG//hyi//cyoB//wrbA//purN//phnH//fecR//yciX//phnM//murF//mgrB//serA//fecB//nrfA//pstB//trpB//tdcC//
PutA_neg	dhaM//ccmG//
PuuR_neg	dapB//ptsG//dcuD//yafN//yhdX//ynfF//rpoE//
QseB_pos	argB//nfuA//osmC//tdcF//
RbsR_neg	astA//gspL//nfsA//ydcU//ftsI//yfbR//gnd//ycjG//
RbsR_pos	argO//
RcdA_neg	rbsD//yafP//
RcdA_pos	adiA//ygiC//murQ//allB//bglG//mgrB//hyfJ//
RclR_pos	purD//ahpC//argG//
RcnR_neg	srlR//slyB//pgaA//
RcsAB_neg	cpxP//dapB//nac//rutG//dinB//fucI//
RcsAB_pos	artP//fliR//pstS//hybO//malS//acrR//setA//dsbA//ybjC//fabH//
RcsB-BglJ_pos	nuoM//slp//dapD//dsbC//nrfF//feoC//nagC//fadH//folA//efeU_2//paaI//ulaB//accA//yafQ//yafQ//mgtA//
RcsB_neg	garR//purN//
RcsB_pos	pgaD//relA//cusB//deoA//yhiM//leuO//caiA//alaC//bglB//ymjD//umuC//araG//znuC//melR//ynfK//yccJ//astA//phnI//alsB//ruvA//allA//add//lsrR//
RelB-RelE_neg	flgH//fecB//argC//
RelB_neg	ydhW//fixX//lacA//
RhaR_pos	pstA//paaY//
RhaS_pos	artM//putA//grcA//baeR//ytfE//pfkA//
Rob_neg	pagP//
Rob_pos	focA//rffM//evgS//ppiD//pepA//paaD//fhuC//rnpB//yoeB//artJ//dacC//evgS//malP//mqsR//nrfF//paaG//pqiA//purF//nuoM//ybhG//rffH//lsrK//pdeH//lysC//glcF//
RstA_neg	cusA//metB//tolC//mtlA//glxK//
RstA_pos	ygiB//ddpB//flu//ldtB//narL//
RtcR_pos	manZ//csgF//
RutR_neg	frc//gltB//dhaK//hyfF//flu//gatA//agaB//safA//yhbS//paaK//csrC//rbsC//glyA//kdpF//ybdZ//
RutR_pos	ugpB//casE//
SdiA_neg	csgB//mlrA//xylR//
SdiA_pos	cra//melA//yjiY//
SgrR_neg	sufC//yhdX//yegR//ulaA//lacZ//
SgrR_pos	pgk//flgD//ydfX//yedX//
SlyA_pos	fliL//
SoxR_neg	ydcU//
SoxR_pos	fliE//tcyJ//
SoxS_neg	alsB//lysC//
SoxS_pos	rhaR//epd//gadB//gadY//sufD//aroP//puuB//ydfD//fliZ//acrD//sgbH//yhiM//srlD//cueO//pgm//nuoH//yiiS//fucU//murP//puuR//bacA//dctA//uxaA//intQ//gntU//gltJ//astA//omrA//caiA//ruvB//putP//ldtB//flgK//cynR//glcF//atoD//artQ//torC//
StpA_neg	citX//fucO//nrdD//metI//fliP//evgS//cho//
SutR_neg	alsC//nanK//yeaE//entB//asnA//
SutR_pos	gspL//
TdcA_pos	cynT//entH//ygiA//nanC//ydeM//lpxA//sbcD//
TdcR_pos	ydfH//ascB//flgL//hycA//hslJ//cynR//ddpB//
TorR_neg	psiE//yqhG//paaZ//
TorR_pos	fecC//yjbG//uspE//ygeA//mepH//ftsA//ogt//gadX//yciE//
TreR_neg	alkA//malF//
TrpR_neg	ydhT//rpmI//yjiY//caiF//gspC//artM//gutQ//hybA//mtlR//oppF//allS//ydfN//
TyrR_neg	srlE//uxuB//ccmA//nfsB//ymjC//ycgZ//uvrB//dhaM//recB//rpsU//
TyrR_pos	yeiB//gadW//ybfE//
UhpA_pos	caiE//
UidR_neg	fadH//allS//asnC//nohA//
UlaR_neg	fecE//phoQ//rutC//pspB//rbsR//wzc//glk//
UvrY_pos	lldR//agaV//speB//exuR//aroH//
UxuR_neg	bacA//ulaG//cysN//rpsU//phnC//cvpA//fliP//sroC//yfdX//
XapR_pos	dnaN//ruvB//
XylR_neg	iraP//
XylR_pos	paaK//prpB//wzzE//kdpB//ptsH//rbfA//
YdeO_neg	mhpE//araG//
YdeO_pos	pspG//ymiA//hyaB//mdtC//flhA//lysO//fliO//wzb//fecR//ybfN//agaV//ppdB//alkA//cecR//pgk//tisB//nuoA//paaG//gspJ//
YedW_neg	hcr//pstC//ydhY//ycdZ//fecE//
YedW_pos	ppc//hmp//pgaA//cydD//recX//motB//paaY//
YefM-YoeB_neg	cynT//mnmG//
YefM_neg	csgG//ariR//
YehT_pos	nac//
YeiL_pos	relA//
YiaJ_neg	frdD//garD//fdnI//tehB//atoB//ybjG//astE//wcaA//iscR//paaI//
YjjQ_neg	fliP//pheM//uspE//cynR//dnaG//cysC//nadB//ryhB//ogt//glmU//
YpdB_pos	araC//
YqhC_pos	tynA//ynbB//
YqjI_neg	ccmD//gatZ//
ZntR_pos	tdcF//
ZraR_pos	rcnB//recF//hdeD//
Zur_neg	malQ//fecB//dcuA//trpB//ydcT//gabD//
