#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	carA//metA//
CpxR_pos	phnL//tnaA//alsB//paaY//napA//treC//glpK//agaA//glpC//purN//fruB//efeU_1//higA//appC//aceK//allA//csgB//ybbY//mdtA//argE//napB//sgrR//fepG//mhpT//mraZ//mscM//hemH//bglB//trpE//psiF//mdtC//ilvY//psiE//hybD//fucK//accC//phnF//frdA//ascF//yeaR//ynfF//sbmA//gltL//agaV//paaC//lldP//
Cra_neg	gor//fiu//alaS//osmB//dhaM//recB//luxS//cynX//cspI//ascB//uvrC//bamE//hemL//paaC//hypE//fliL//yhjX//chiP//yciE//accB//iscU//hyaB//yhdZ//waaY//exuR//dcuA//hdeB//rhaR//melA//dsbC//hyaA//alsA//soxS//rtcA//amn//artJ//ybiT//csrB//pstC//hdeB//yiaL//nac//moeB//moaB//entS//gltI//napA//fruB//prpR//galM//agaC//puuP//ubiC//narH//nuoC//casA//bioF//fabZ//envC//
Cra_pos	ubiA//rbsD//hyfG//ogt//wecB//deoB//fepG//mtlD//rutB//waaY//yqjH//yhhY//artP//fliZ//tauA//wecE//decR//recB//ynfF//chbF//paaZ//metH//sroD//
CreB_neg	cirA//fadL//hipB//
CreB_pos	rplU//yqhG//
CsgD_neg	ybfN//fixB//mhpC//gcvH//phoB//rutF//ydbK//mdtE//nadB//putA//glnD//fliM//pqiA//gntT//nagC//
CsgD_pos	fhuE//ulaC//bglJ//ruvB//moeB//murR//ppdA//poxB//fliN//grcA//ahpC//mhpB//mdtC//
CsiR_neg	glpK//purH//mpaA//ccmB//setA//
CspA_pos	dinI//uof//
CueR_neg	pheM//aldA//nhaR//norV//norV//
CueR_pos	lldD//nuoN//
CusR_pos	acrB//aceE//allD//torC//ibaG//cusR//fhuB//asnC//gcvB//dacC//ulaC//nrdD//
CynR_neg	aroG//
CynR_pos	trpR//yafN//wzyE//
CysB_neg	agaC//rbsD//atoD//rutD//phnJ//pykF//flgK//
CysB_pos	argD//ydfW//nlpA//murC//bioD//araH//ycjG//ptsH//yecR//hcaR//phoQ//phnI//ybjG//betI//ydhY//uof//oppB//flgA//hyaE//ssuA//yhjA//gutM//nrdF//fumB//yjjQ//
CytR_neg	leuO//lolA//waaH//dapD//paaI//prs//hybG//yqjH//metB//fhuD//yafO//rbsC//dgkA//
Dan_pos	tdcD//rplT//ttdB//ydcT//
DcuR_pos	umuC//ddpF//guaA//paaH//emrK//mpaA//argI//yfdX//mglB//
DeoR_neg	hycG//ldtB//yqjA//paaH//acrR//gadA//
DhaR_neg	cusF//
DhaR_pos	ydfX//yciG//paaE//
DicA_neg	fepD//tyrB//fliJ//ygbK//puuB//hyaD//cadB//purD//
DinJ-YafQ_neg	ynfG//uspE//xylH//
DnaA_neg	rclB//lsrD//gltK//ssuE//wzzE//fecB//mhpT//zntA//pfkA//skp//dctR//
DnaA_pos	yidL//yiaM//yafN//fadH//pfkA//fliT//ydhY//
DpiA_neg	gadF//
DpiA_pos	agaS//rstA//fabI//epd//nanM//phnH//gltD//rffT//hyfG//mngA//
DsdC_neg	fabA//
DsdC_pos	tsx//narH//
EbgR_neg	gadC//yjbG//
EnvR_neg	edd//manY//
EnvY_pos	malK//nimR//
EvgA_pos	glpX//gcvP//casB//entD//edd//gspM//fliO//entS//torC//yiaO//rseA//astD//paaK//trpL//ompN//frdB//ccmA//bolA//gabD//
ExuR_neg	hycF//mltF//tomB//sdhB//baeR//psiE//pgm//murD//fhuF//
FabR_neg	trpL//feaB//
FadR_neg	araE//glpC//fucK//phoQ//mngB//nrdF//sfsB//katG//fruB//dapD//mzrA//
FadR_pos	rutA//hycA//ahpF//fucU//cspE//hns//ecpA//alsC//ygaC//ynbB//astB//fucU//
FeaR_pos	nrfC//lrhA//
FhlA_pos	hypF//napH//mdtD//asnC//nrfF//sbcD//pitB//mgrR//dinI//ybaT//hypB//citD//rarA//yagK//nuoG//nanA//tyrR//fliH//aldA//fau//ssuC//hypA//citC//mglC//pgm//wrbA//mglC//yegR//mepH//purM//
FlhDC_neg	ttdB//adiA//entS//dgcZ//
FlhDC_pos	dcuA//csgF//soxS//tyrA//atoE//pdeL//pgaB//tnaC//lldR//hybG//rffC//rhaS//fadI//potF//ptrA//mglC//nrdF//dps//tsr//feoB//tnaA//osmC//glpK//fhuE//dapD//cdd//hyfB//fabZ//rarA//skp//argP//yfiB//sufC//hcaF//chbA//ynbC//ycjX//cho//cadC//lpxD//uof//ygdB//fecE//cysD//mgtA//nadB//glnL//feoA//moaE//mhpC//hcaR//ycjF//pfkA//ydcV//ygdB//ubiX//arsC//pdeL//ydcU//oxc//yecT//lolA//ybhS//rbsC//nemR//torA//rcnR//fliM//glcG//pgaD//rsmH//ydfH//codB//hyaB//cpxQ//ydhV//gatY//fadE//
FliZ_neg	ldtB//ftnB//leuB//ascF//ttdR//ubiX//gadC//yebG//hdeB//cadC//gloA//udp//hyaE//sulA//recN//allE//pgm//ruvB//uspA//cadB//bioC//
FucR_pos	flgK//gadE//fadH//cho//phnF//hha//mhpD//
Fur_neg	nuoC//phnF//yhcH//citG//fadA//glpK//yccJ//yciF//glcE//cysD//gloA//ugpA//ymjC//puuA//ptsI//ftsW//polA//araG//paaA//tadA//astE//yhdX//narL//gspE//ttdT//evgA//focA//bioC//xylB//flhE//tcyP//fecA//sbmA//gatC//ydeI//ybaS//nirC//phnK//manY//fdnG//hyfI//uof//yjbF//bacA//paaY//phoQ//glpA//phnI//ybhS//yidQ//leuO//caiF//cheA//oxyR//nanM//ssuB//lldD//fadL//tehB//waaH//srlB//serA//asnB//fabB//xylG//ulaG//slyB//rpoE//astA//rstA//atoB//flgH//moaB//ompF//purL//phoP//phnN//xylG//ynfE//pgaD//yafP//entE//argF//citG//glnD//fadL//moaE//moeA//exbD//entS//casD//pnp//nrfD//yafQ//fur//glnP//cusR//pncB//srlA//ssuC//flgA//wcaB//rtcA//pgaD//sgbU//mdtD//fumB//phnP//gatA//ada//ycjX//ybhL//katG//flgH//lpxD//
Fur_pos	rpsU//nagE//fliP//aspA//nanA//cysD//entS//bdcA//phoE//ddpX//uvrC//tyrP//sucA//narK//motA//nemR//fadD//infB//ttdR//nanM//malE//
GadE-RcsB_pos	acnA//araE//tdcG//ycjG//fhuD//acrA//atoD//ptsH//eda//
GadE_pos	gudP//bhsA//wecE//gcvA//btuB//ssb//dkgB//potH//ruvA//pgaD//gadY//csiD//entE//aroP//cysK//glnL//lsrR//higB//paaI//rutD//hybO//glxK//ftsQ//glcD//asnC//sulA//flgH//gltI//norW//
GadW_neg	cynX//casE//flgN//chbB//cysG//malZ//glpK//artP//cydC//ymgA//uvrD//
GadW_pos	rnlB//katG//fliG//tdcE//aceF//ynbD//hcr//hypD//rob//speA//hyfA//
GadX_neg	artM//stpA//dcuB//phnJ//pheT//ygbK//
GadX_pos	rpiB//phnO//fpr//narH//pstB//xylB//csgF//astB//ascB//cdd//mhpC//skp//kbaZ//malY//lldP//nrdG//csgG//ftsL//fhuD//pagP//nanM//narG//pstB//skp//tdcA//gpmA//ydfW//
GalR_neg	mdh//sgrS//tauA//gspJ//iclR//ycdZ//tynA//mgtA//dsbG//gspJ//
GalR_pos	sgrR//ycjG//garL//speA//
GalS_neg	iraP//ugpB//idnR//dhaK//csrB//hisJ//nuoA//yebE//tdcF//qseC//
GalS_pos	nuoA//cyoB//tehB//ahpF//
GatR_neg	gudX//crr//cbl//codA//acnB//araH//
GcvA_neg	entH//accD//mhpD//marB//
GcvA_pos	hslJ//gatC//mdtE//cydB//
GlcC_neg	gapA//
GlcC_pos	cyoB//mngA//mazG//ddpC//soxR//gspM//
GlpR_neg	gspL//dicC//fucI//ydfH//caiD//glcA//glnH//tyrA//nuoE//
GlrR_pos	dicC//waaZ//murI//umuC//fucI//
GntR_neg	acrB//patA//flgH//pstB//ddpD//ydbD//gcvA//frdA//rpsU//fldA//yaiA//alaS//
GutM_pos	yqjI//aceK//xylG//nrdB//hipB//moaD//iscA//
GutR_neg	csiD//fepD//yeiL//yqhG//hybE//ttdA//gcvB//
HU_neg	cysJ//entC//napF//tyrR//dcuR//uvrA//ydcS//glgC//
HU_pos	dsdX//
HcaR_neg	lpxA//
HcaR_pos	rffG//sroD//rbfA//rseA//fepA//
HdfR_neg	fecE//purH//
HdfR_pos	fumC//glcG//cvpA//
HigA_neg	yqjH//casA//
HigB-HigA_neg	glpC//gatY//
HipAB_neg	rstB//norV//mtlA//xylR//creD//
HipB_neg	artP//yciX//pspE//baeS//ttdB//dmsA//
HyfR_pos	phnD//yebE//yedX//dgcZ//fliH//cysW//carB//hybC//leuO//metC//astC//phnF//
HypT_neg	pheS//dcuR//yafN//glpD//pyrC//
HypT_pos	gatC//dsrA//gltL//rnlB//murE//yjjQ//trpL//ynfH//
IclR_neg	ruvB//yafN//fadR//hslJ//
IdnR_neg	ybaS//bioC//
IdnR_pos	hyaE//ftsK//gcvP//gnd//ssuB//
IlvY_neg	manX//
IlvY_pos	garP//
IscR_neg	accC//glgC//ecnB//nohA//recN//metB//cysD//malZ//rhaR//ebgA//flgH//ulaE//yciX//wcaA//fimB//nfsB//glpB//paaI//ydeP//lysA//fhuD//
IscR_pos	bglG//dapD//appC//bacA//hycC//dgcC//osmB//prs//higB//dapD//nohA//
KdgR_neg	marR//astD//
KdpE_pos	yoaC//cydD//rpmA//efeU_1//
LacI_neg	hisQ//ebgA//mhpC//
LeuO_neg	nrdA//fepG//ydhW//
LeuO_pos	dkgA//yagK//hflD//ulaE//ydhV//emrY//gdhA//phoU//nuoA//patD//cusS//fadI//yagK//fumB//slyB//speB//slt//ugpE//
LexA_neg	gatA//hypE//ssuE//hypD//mdtC//entD//cydA//rtcA//hyaC//fliE//wecE//psiE//yafO//rbsB//oxyS//purF//srlD//ydcV//hyfF//napA//ytfE//aceB//evgA//accB//mlrA//omrB//gabD//gadY//luxS//cynX//bglB//potF//cysC//flgB//ydfW//ymgA//fhuF//nuoE//yegH//waaH//nac//yhdX//yeaH//pspA//metR//aceK//lacA//mtlA//chbA//casB//infB//fucP//rhaS//dsbC//gspH//phoA//fau//cyoD//ftsQ//
LldR_neg	tdcF//dmsB//trpC//
LldR_pos	uvrD//aldA//yjhB//
LrhA_neg	cspI//hyfE//
LrhA_pos	rcnB//nagE//
LsrR_neg	rtcB//bioA//malS//alaC//pgaB//hyaB//mprA//paaI//rutD//
LysR_neg	purR//
LysR_pos	gabT//
MalI_neg	melB//yhcH//yfdX//
MalT_pos	mprA//argF//fucU//gadF//hns//ydeN//fabI//citF//motA//melA//
MarA_neg	fruA//relB//flgM//dnaG//dctR//appB//glpC//
MarA_pos	yjbH//yiaN//fucO//trxC//ompT//tauC//ompT//rhaD//sgbH//bdm//paaA//flu//dinJ//rplU//fucO//tsr//hemH//cydA//lacA//mhpD//frc//murR//fdnH//feoC//tonB//hokE//yqaE//glgB//gspK//yiaO//symE//
MarR_neg	osmY//murD//wecC//
MatA_neg	fadR//glnK//borD//lysP//dhaM//marB//
MatA_pos	pdeR//hyaD//
MazE-MazF_neg	eda//rtcB//ydeM//
MazE_neg	leuO//frc//uxaC//
McbR_neg	paaD//
McbR_pos	rnpB//bioC//argO//
MelR_neg	ybjG//cynR//xapA//
MelR_pos	fecD//omrB//nuoJ//
MetJ_neg	uidR//torR//glgB//entE//yhbT//nupC//lpxC//leuC//fadH//epd//nrfE//ndh//nrdE//lrhA//fecA//
MetR_neg	yhdX//fes//
MetR_pos	accD//ascB//fadA//rtcA//
MhpR_pos	inaA//yhbS//metN//mglB//setA//fliZ//
Mlc_neg	carA//flgG//nanM//rimK//pspG//fau//crl//dicB//glnA//rplT//
MlrA_pos	exuR//glpX//purB//murG//casD//thiQ//pgaA//nupG//amn//oppF//
MngR_neg	yidL//mdtB//fixX//
MntR_neg	cra//dmsA//glnP//pgi//
MntR_pos	flgA//
ModE_neg	hcp//kdpA//yoaC//mngA//lysC//fliR//gadE//entC//dsdX//garK//umuC//leuB//pepD//fucK//nikE//
ModE_pos	gltD//rprA//wecE//mtlA//ydfD//napC//xylB//cpxA//sufC//ycjG//yfdV//moeB//ascF//hyaC//ecnB//btuB//sufA//sufA//nrfG//lsrA//glyA//ybaT//dapB//wrbA//zraR//fliL//phnM//poxB//hycH//glnB//glxR//
MprA_neg	sufC//nikD//sbcD//mdtD//yegH//araE//
MqsA_neg	tadA//ulaD//evgA//chbR//tdcB//fliN//exbD//glpA//
MraZ_neg	fliM//yiaN//yciF//uspA//sdhD//kbp//mdtF//napA//allD//ydfE//ydeN//trpE//fliL//entE//phoR//ihfA//ulaB//
MtlR_neg	mdtD//tyrR//recF//
MurR_neg	pyrD//rpmA//ppsA//
MurR_pos	gabD//
Nac_neg	phoP//flhD//napC//alaS//cysJ//hybO//ptsI//nrfB//pyrC//
Nac_pos	treR//pgaA//fecE//dcuS//ulaF//cysG//fadD//yafQ//mntP//yafQ//dacC//dtpA//
NadR_neg	lamB//fldA//eda//cirA//
NagC_neg	micF//glmU//yeaG//trpB//motA//phoH//puuC//galK//rbsC//nikC//agaC//argP//dgkA//polB//hycI//fruA//allE//ddpF//mazF//stpA//ydhW//caiB//hokE//tktB//focA//leuO//cdaR//ydhY//rclB//allS//hipB//hycB//eno//
NagC_pos	pheM//murC//cysP//
NanR_neg	ydiV//oppB//oxyR//bglB//pgi//sdhB//paaY//mgrR//malE//paaF//
NanR_pos	yqjA//
NarL_neg	dinQ//gatY//yafN//exuR//fruK//ecnB//paaY//lacA//casA//glnP//lsrC//cbl//polB//flgF//rcsA//ibaG//yhdZ//hycF//evgA//pstC//ugpB//hipB//cas2//napA//glcG//mtlA//stpA//ybiT//ynbA//baeS//gspM//relB//gnd//grxA//rpiB//mgtA//appY//ycdZ//pspC//malT//uxuB//ccmG//nikD//uidC//pykF//rseB//yjbF//mdh//murP//lsrC//yeiL//ulaG//ecnB//cysB//mqsA//dapB//relA//trpL//yidL//hflD//yiaJ//yeiB//ulaC//fecE//artI//ilvC//yrbL//gspO//fecR//dhaR//lsrD//rnlA//yeaR//yhdY//napB//puuC//tonB//mhpT//pgaC//borD//dgcN//kbp//yjbG//araJ//fixC//yeiL//yecT//
NarL_pos	frdD//gadF//marB//hisJ//recC//cysD//fabH//iscS//ftsL//rffT//yegZ//tauC//sgrR//mhpD//norV//dcuR//gyrA//flgG//nagA//ttdR//sutR//csgF//nikD//alkB//ftsL//nuoG//cirA//allB//phnO//treC//wrbA//glnD//erpA//fepE//fecA//nrfB//fliS//csgG//yiaK//flu//nac//yciF//rhaB//
NarP_neg	dnaA//erpA//potH//phnN//cheA//fbaA//glgC//rpmI//glcF//ydhW//sbcD//ccmC//lpxD//cpxA//ribA//fliL//nrdE//nrfA//aspA//cysC//allE//dgkA//cynS//yncE//ychF//sgbH//yiaK//oxyS//mlrA//nrfG//cvpA//ydeP//yhjA//
NarP_pos	dgkA//hycF//lysP//argH//hybO//icd//cdaR//aroG//dgcN//ilvY//yfaE//ssrS//yqaE//aceB//dcuR//puuP//higB//sroC//tauA//betA//pstB//uidC//ftnB//rtcA//metA//chbF//srlA//dcuB//ppiA//metN//flgM//dhaK//
NemR_neg	envC//mglA//sufE//
NhaR_pos	csiD//oppC//iscS//fadI//acrA//agaR//artP//
NikR_neg	nemA//pspF//dapB//aspC//yhbE//tdcG//
NimR_neg	yebG//fabA//
NorR_neg	gntP//
NorR_pos	slp//rfe//
NrdR_neg	nrdG//ompT//fbaA//paaJ//guaA//pykF//ppdB//mdtA//tynA//
NsrR_neg	fliS//trpA//yciG//nemR//pqiA//artI//mhpE//safA//yebG//araJ//aidB//nupC//gspH//fucU//chbR//aldA//paaG//nuoN//ldtC//cueO//phnF//creC//phnK//phnK//pfkA//rseB//dgcN//ugpC//phnN//pnuC//accB//ugpA//gltK//xylR//rtcA//hcaB//cynX//purM//mpl//yhbE//mprA//paaB//dsbG//ydcU//emrA//cynR//mpl//fabA//nrdB//araE//ccmF//hybG//cho//lysR//ydfE//nemR//lldP//rnpB//trpL//bglJ//glcC//nimT//lon//sroD//ppdC//allS//garL//rybB//hybG//glgC//garP//rbsC//nfuA//napF//ubiA//bglJ//sroC//glnA//dicC//nagE//gcvP//feoB//flgN//
NtrC_neg	chbB//flhD//yedX//rpoD//cysJ//appC//
NtrC_pos	wrbA//gcvP//aceF//nohA//sulA//hybO//wzzE//ybdZ//ybfN//flhE//tsr//ycjF//yhbS//purM//pspF//oppA//nohA//ybhR//rybA//murP//csgE//hipB//carA//tyrR//agaD//nuoB//fhuF//ugpQ//flgB//tonB//yfdV//ydiU//rbsK//moeB//astA//aceK//relA//argE//fldA//soxS//galT//envC//pepD//cysJ//paaD//bluF//yeiL//nrdB//puuD//
OmpR_neg	hyaD//gutQ//motB//purR//nirC//gspH//rclB//hcaC//relB//puuD//icd//ydcS//
OmpR_pos	ttdT//nirB//cvpA//uspE//ibaG//fixX//ascF//ompC//ycgZ//yecR//
OxyR_neg	srlR//ascF//aroG//rstB//ulaD//norR//astD//dsbG//cysM//skp//hypD//umpH//
OxyR_pos	potH//slt//fadI//rdoA//gadY//motB//moaD//nanS//purA//hypF//dps//fecR//ascB//hslJ//cyoA//ycjY//rbsD//gspF//nemR//entD//iscA//lrhA//
PaaX_neg	sgbU//hycF//cecR//ynfK//tadA//mdtC//gspG//ddpC//ydhY//feoC//talA//cusA//ssuD//prpB//
PdeL_pos	pspB//
PdhR_neg	dsdC//motA//gudD//metH//tnaB//cheA//appC//tyrA//mhpE//cra//fimB//glgP//pnuC//rstA//glmU//cho//tpiA//fecD//fliP//pheT//ygiA//mlc//paaY//sutR//gfcA//nemA//exuR//soxS//gcvP//pnp//gdhA//araG//yhdW//tdcF//nemR//pspF//
PdhR_pos	murI//gatZ//glmS//seqA//kbaY//
PepA_neg	tdcG//polA//baeS//
PgrR_neg	ftnB//yhiD//nuoJ//betI//ybaS//grxD//rutE//uxaB//
PhoB_neg	cusC//betA//sufD//degP//hemL//flgL//cas1//bluF//flgB//narG//gutM//wcaA//
PhoB_pos	yhdY//aroH//ydfW//mhpB//mdtC//hisJ//dkgB//nrfC//nikA//ubiA//tsx//prpR//phoE//mglB//arsB//entD//ugpA//lsrD//gadC//rutD//entB//lysA//allB//ygiZ//cysE//yeaG//dsbG//citF//xylG//ada//ybjG//fabD//glnK//fimE//yhhY//atoB//ilvC//hycE//mhpF//appA//yedX//ybjC//fepG//lysA//gltJ//flhC//sufA//isrC//ihfA//speB//nuoG//rbsK//glmS//
PhoP_neg	tisB//tdcD//caiB//nohA//dnaA//xylH//glgA//sgbU//hisJ//folA//motB//
PhoP_pos	acrB//tcyJ//hycI//zraS//efeU_2//zraR//focB//gadB//ynfG//yiaM//polA//xylA//ddpB//ygaC//citF//ydhY//fliH//cusC//dgcN//dinG//lsrR//caiF//yidQ//arsC//csrC//lrhA//hybA//yeaG//tisB//dinD//sgbU//deoA//ftnA//pfkA//argP//ymgC//napB//mtlR//higA//mcbA//gudX//feaR//appA//napD//udp//uvrA//alaS//chbR//
PrpR_neg	trpC//
PrpR_pos	acnA//grxA//potG//dapD//
PspF_neg	fliI//
PspF_pos	ftsQ//yciG//torD//rseB//insK//nikC//
PurR_neg	alsE//chbA//citE//lysA//lsrD//lsrF//sbmA//ppdA//aidB//cspD//ompW//ptrA//lldR//hcaC//safA//wzyE//fhuF//tadA//umpH//nikC//hdeA//manZ//uxaC//yhiD//cvpA//nrdD//ydcU//malK//cbl//argT//caiB//
PutA_neg	yhjA//wzyE//
PuuR_neg	rhaD//ubiX//cysN//rybA//yedX//allD//hcaC//
QseB_pos	asr//tnaA//tehB//emrA//
RbsR_neg	fliC//agaD//paaA//yqhD//flgK//bglJ//phnE_2//rsmH//
RbsR_pos	pqiB//
RcdA_neg	fepB//rsmH//
RcdA_pos	artM//ykiA//hyaE//iclR//cheW//mgrB//cysW//
RclR_pos	ybhS//nrfG//rhaT//
RcnR_neg	betI//uspE//envC//
RcsAB_neg	omrB//lamB//ccmF//adhE//allC//eda//
RcsAB_pos	tehA//csiD//dctA//mhpE//tyrR//malP//pck//tyrA//nirB//ddpB//
RcsB-BglJ_pos	paaZ//glnD//nfuA//fadD//nuoC//paaJ//grxD//malK//infB//puuA//accD//fixB//tpiA//csrC//evgS//murI//
RcsB_neg	mlc//agaS//
RcsB_pos	fhuB//hisJ//glnD//dinF//cas1//cadA//tpiA//hyfJ//hycG//xylB//nirD//rutR//yhjA//tadA//gatY//caiE//sdhB//rhaD//glcF//sgrS//potI//hypE//psiF//
RelB-RelE_neg	norW//nuoC//frdA//
RelB_neg	lrp//hypB//tdcD//
RhaR_pos	codB//puuC//
RhaS_pos	metY//nirC//metC//allB//rbfA//hyfB//
Rob_neg	citG//
Rob_pos	ptrA//idnD//nusA//fixC//chbA//acrD//pdeR//fur//rarA//moaA//wzb//fucO//flgE//nohA//entF//ybhF//yegH//nrfA//ybfN//gltL//uspE//ppiA//nrdF//glmU//lsrC//
RstA_neg	appY//rarA//hisM//symE//nuoE//
RstA_pos	ygiA//tbpA//nac//fpr//deoC//
RtcR_pos	cysN//ydeN//
RutR_neg	flgB//luxS//umuD//hlyE//tnaC//sucA//alaC//recX//ompN//yhhY//ompT//ddpF//hokD//gspI//citE//
RutR_pos	yoaG//bglG//
SdiA_neg	ygeH//aspC//rbsC//
SdiA_pos	yhdX//ecnB//mraY//
SgrR_neg	mlc//uvrD//ydhU//yjhC//recD//
SgrR_pos	mdtF//uvrB//sulA//znuA//
SlyA_pos	lsrB//
SoxR_neg	lsrC//
SoxR_pos	rstA//casC//
SoxS_neg	dapB//hdeB//
SoxS_pos	oppB//atoB//tadA//lgoR//ugpQ//dsbG//yjeV//lolA//gltB//yecR//hcaF//nirC//nuoL//csrC//sufE//uidC//rseB//rhaD//agaD//mlrA//ugpE//ttdA//puuD//skp//napH//hdeA//codA//rnlB//ptsG//rpsU//lysO//flhD//glcF//hemH//torD//motA//htpG//xylH//
StpA_neg	cysW//gspF//ydfE//wecC//hyfI//cas2//motB//
SutR_neg	xapA//phnP//mhpD//hyaD//recB//
SutR_pos	gpmM//
TdcA_pos	yiaN//soxS//csrB//dicC//hflD//iscU//flgG//
TdcR_pos	dgcZ//wcaB//aceB//rbsA//fliD//fliM//hybA//
TorR_neg	gspH//yjhC//yiiS//
TorR_pos	astE//mlrA//aslB//guaA//dicC//puuD//betI//yccJ//ybhL//
TreR_neg	lexA//carB//
TrpR_neg	yeiB//nmpC//ssb//glcC//cheA//hyaA//ugpC//icd//cadB//gcl//argH//sroD//
TyrR_neg	flgE//fecB//sgrR//ppdB//molR_1//phoU//sucA//idnR//nikR//hyfB//
TyrR_pos	cysC//oxc//chbG//
UhpA_pos	malK//
UidR_neg	bioF//uxuR//araE//hypB//
UlaR_neg	mlc//argC//flgM//gadX//ydeO//ecpR//pepA//
UvrY_pos	gapA//garR//yciW//hybE//nikB//
UxuR_neg	dacC//rpoH//hycG//tehB//nfuA//acrD//fadA//gatD//hyaB//
XapR_pos	pgaB//phoR//
XylR_neg	fucI//
XylR_pos	ybhS//gatZ//hyaC//napG//recA//alsC//
YdeO_neg	pspC//hcaD//
YdeO_pos	ynfK//flhB//tyrA//lsrB//sgrT//fadI//hmp//speB//hcaD//rffT//puuE//sufE//glk//pstB//hypE//yccA//mraZ//ptsH//argH//
YedW_neg	hybA//acrB//dcuB//yiaK//baeS//
YedW_pos	malP//aceK//leuA//thrS//yoaG//srlA//mhpA//
YefM-YoeB_neg	uxaB//mazG//
YefM_neg	yeaR//dnaA//
YehT_pos	paaE//
YeiL_pos	nagC//
YiaJ_neg	hflD//fumB//feoB//lysR//mpaA//phnH//hypA//rffM//casD//gadA//
YjjQ_neg	putP//yjiY//decR//appX//umuC//yjbG//hyfD//araC//bolA//mgrB//
YpdB_pos	lsrD//
YqhC_pos	fliQ//paaZ//
YqjI_neg	cheA//argO//
ZntR_pos	moaA//
ZraR_pos	lldR//cadA//fruB//
Zur_neg	agaS//alsE//nrfF//uxaC//gspK//rnlB//
