#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yafQ//hypC//
Cra_neg	rbfA//hybE//feoB//mtlD//ydcU//glcE//fadI//speA//agaS//caiE//iscA//rhaA//appA//csgE//yiaL//allS//creA//puuP//napF//nuoK//rclC//ddpA//wecB//rclC//allC//ybjC//ydhY//fucP//hyfI//higB//cspE//fimE//exbB//hypE//nrdB//dsdA//dsbG//flgC//srlR//fliJ//ycjY//yiaK//csrC//glxR//ygbA//gpmM//nrdD//yiaN//mgtA//yfdE//fhuB//malS//dsrA//fliG//mzrA//flgH//rybA//relA//higB//
Cra_pos	lon//iraP//lysO//oxyS//garP//leuL//malT//nfo//galT//hybA//dgkA//norV//mdtC//norR//pflB//pstB//relA//uxaC//bioB//envC//hybC//cusB//osmY//
CreB_neg	prpD//flgH//nohA//
CreB_pos	yciE//ygiZ//
CsgD_neg	glnA//flu//acrD//ybjN//dgcN//trxC//fliC//ihfA//fixA//melR//casD//hycF//trpC//tisB//gspE//
CsgD_pos	caiC//mhpD//recC//nrfG//gltF//flhA//purL//purR//ompF//chbA//ilvC//aslB//cyoB//
CsiR_neg	rcnB//fhlA//iscS//leuL//hyfA//
CspA_pos	metA//xylH//
CueR_neg	ygiB//recX//pspG//gabT//rutA//
CueR_pos	dacC//dnaA//
CusR_pos	ndh//cyaR//xylR//murQ//waaZ//citX//exbD//motA//lsrB//ygbK//aceF//pgaA//
CynR_neg	lrhA//
CynR_pos	cpxP//mhpB//lon//
CysB_neg	paaH//murD//hcaC//rffM//oxyR//cusC//tolC//
CysB_pos	gspL//allE//lpxA//uof//ompT//sfsB//nrdH//torR//yeaG//relB//cheW//hyfR//yecR//dmsA//yfdX//pspE//agaV//gadY//cspI//omrB//fucP//dsdA//asnA//araD//uidC//
CytR_neg	hypD//nuoH//rstB//soxS//wcaB//cspD//rpsU//rffG//ygiB//csrB//oppA//rpiR//mipA//
Dan_pos	gltI//hipB//norV//ygeA//
DcuR_pos	caiF//trxC//betB//yidL//prpC//mhpF//metB//tyrB//emrA//
DeoR_neg	rstA//nrdH//lhgO//rcnB//rutE//nrfE//
DhaR_neg	cusA//
DhaR_pos	uxaA//hisP//ydhW//
DicA_neg	marA//uspA//soxS//araA//waaZ//tyrP//entA//hycD//
DinJ-YafQ_neg	narL//yafN//deoD//
DnaA_neg	cueO//amn//iraP//ygeH//fucP//trpA//yhjA//mhpB//alsA//yjjQ//polB//
DnaA_pos	paaF//skp//bolA//tnaB//fabG//moaD//waaH//
DpiA_neg	rutA//
DpiA_pos	leuC//gabD//narX//fabA//emrK//putA//metB//metE//ssrS//glgC//
DsdC_neg	poxB//
DsdC_pos	agaR//astA//
EbgR_neg	aldA//mhpB//
EnvR_neg	cspI//araD//
EnvY_pos	cysB//focA//
EvgA_pos	lon//entH//uvrD//exbB//stpA//agaD//metE//purR//yhiM//cysU//psiE//purE//rcsA//gcvP//melA//ybhR//fucI//nrfG//katE//
ExuR_neg	nuoA//yiaL//mnmG//rob//ynfK//flu//betI//iscR//yidL//
FabR_neg	ynfK//hycB//
FadR_neg	hybD//mazF//paaA//feaB//wrbA//gltF//phnO//znuC//eda//cvpA//fur//
FadR_pos	narG//appY//polA//kdpB//yhiD//araA//betB//norV//malX//purE//idnD//nanT//
FeaR_pos	fdnG//casB//
FhlA_pos	mngR//yjiY//malE//ascF//tomB//ddpC//ydiV//dkgA//glmS//hlyE//ymiA//dinJ//frdB//agaW//dsbC//ompN//nmpC//ecpR//nrfE//malS//betB//pgaC//trpA//dgkA//aroH//purH//yiaK//cysH//tyrP//pqiB//
FlhDC_neg	sgbU//hycI//paaK//moaC//
FlhDC_pos	yhcH//phnP//glcA//hyfI//metK//mnmG//rplU//flgC//wecE//gspK//ymgA//flgK//astA//napG//yjjQ//casB//torA//icd//zraP//ibaG//phnL//sufD//tnaC//phoH//potH//glcG//ppc//ddlB//flgB//motA//gntK//cynT//tynA//fabB//moaE//nikR//yccA//alaC//sulA//yjbH//dicC//norW//citC//feaR//modA//grcA//ftnB//yibQ//paaF//fliS//ddpB//bglB//ycgR//moaB//manX//cysB//purB//fldB//rhaD//xylA//yedX//bioF//rseC//btuB//cpxR//murP//leuD//csgC//sroC//ttdR//ygiC//tdcC//yiaK//pgaC//ppdA//paaZ//lysO//fliO//
FliZ_neg	infB//norR//dmsA//emrK//allC//wza//fucO//relB//phoE//pheS//fadH//adhE//rpmA//dsbA//glcF//hisJ//pnp//hipB//hyfF//araJ//fliC//
FucR_pos	fabD//mazF//araF//puuC//borD//fecR//tnaA//
Fur_neg	yfiB//yagK//infB//sucA//yhjX//bioD//ugpE//qseC//aroG//ydeO//dsbG//garK//ulaA//gadB//dsbC//flgK//ddpC//cspD//lysO//insK//rffH//mgtA//ybbW//nirC//flgM//lysO//focA//phoA//pfkA//caiE//wzb//dnaN//agaS//ldtB//feaR//uhpT//cirA//ydbD//citD//truB//accA//glpT//evgA//yagK//phnF//flgF//fecB//ascB//sfsB//sutR//copA//rutD//flhD//cysH//tnaA//ybhR//cyoC//lsrF//uxaA//appB//fabB//nfo//pgm//hypE//iraP//mhpT//hcr//cusF//cadC//fhlA//glcA//exbD//ecnB//accB//mntH//ppiA//idnR//caiC//yafP//ybiT//waaZ//yhdY//xylH//lysR//lldR//ydhV//adhE//oppF//nirC//aceE//glnD//fabI//galM//moeA//fucU//metA//murR//malX//emrA//fhlA//ydfD//rseC//xapA//lsrA//idnD//umpH//sgrS//ftnA//yebG//ybhS//rseB//ydcT//wrbA//exuR//pstS//
Fur_pos	hybA//yjjQ//nfsB//narH//paaG//baeS//napC//ccmB//pflB//srlB//dsdC//metC//dinB//glcF//rclB//sdhD//glmY//hdeD//wrbA//malF//gadX//
GadE-RcsB_pos	dacC//purN//lsrF//pheT//ymgA//rpsU//argI//sufC//appC//
GadE_pos	purF//garR//emrA//fbaA//gcvP//ppdA//yefM//ulaB//lacA//chbF//paaG//fhuB//thiP//nanA//malP//malI//kdpA//artJ//fucO//mgtL//phnD//patD//gspK//lgoR//ftsZ//fliO//paaB//fucI//edd//
GadW_neg	torD//stpA//phnM//hyfA//add//ssb//fabD//tsx//glpF//ruvA//ecpR//
GadW_pos	ssuC//caiA//csgF//purE//nrfC//fabI//argI//flu//galM//murC//phoB//
GadX_neg	caiT//pdeR//dpiA//mtlD//gpmA//wza//
GadX_pos	nikR//adiA//ada//idnD//rseA//phnJ//recB//ttdT//fbaB//symE//baeS//cpxA//glk//mdtA//cadA//frc//ptsG//lldR//paaC//chbF//nuoA//galR//mazF//gspC//norW//znuB//deoA//
GalR_neg	rffC//leuD//deoD//ompC//fhuD//murI//ulaE//psiE//tyrR//yciG//
GalR_pos	galE//prpE//fabH//gspE//
GalS_neg	trpB//glcE//nanK//csrC//hyfF//glgP//fecI//manX//fliG//flgC//
GalS_pos	tdcE//nfsB//acrD//aceB//
GatR_neg	hycF//nhaR//dmsB//ulaG//fabZ//paaF//
GcvA_neg	infB//ymiA//yhbT//yqhD//
GcvA_pos	galM//cysE//carB//rutB//
GlcC_neg	trpB//
GlcC_pos	lpxC//ruvA//gspE//fdnG//acnA//murI//
GlpR_neg	tdcA//ydfX//ccmF//dhaM//paaK//allE//nirD//caiF//hybO//
GlrR_pos	araB//ldtB//purE//dgkA//yiaL//
GntR_neg	tauA//fliE//yqhD//puuA//ttdT//atoD//prpB//recC//ompC//dcuR//betT//moaC//
GutM_pos	fumB//cytR//hcaE//mscM//ydeN//yiaM//fdhF//
GutR_neg	ybhG//uspA//hyaF//sra//yhhY//rffT//melB//
HU_neg	ftnA//yncE//fliN//erpA//uidC//leuO//dinF//fruA//
HU_pos	fadM//
HcaR_neg	glnQ//
HcaR_pos	argE//ynjI//aceF//arsB//rybB//
HdfR_neg	dapD//acrB//
HdfR_pos	fixX//frdA//ydhY//
HigA_neg	hipB//lexA//
HigB-HigA_neg	ydfD//ychF//
HipAB_neg	omrA//hcaF//yhbS//thiQ//phoR//
HipB_neg	dmsD//ybjN//bioB//fliJ//aceK//hypE//
HyfR_pos	xapB//sgbH//cheA//rybB//ycdZ//kbaY//ddpF//paaB//atoD//exbB//ddpC//ccmD//
HypT_neg	yiiS//puuD//fliG//trpC//ccmH//
HypT_pos	citG//flgK//caiF//dps//fecC//nfo//frdD//fliS//
IclR_neg	cbl//puuD//rutE//ykgM//
IdnR_neg	lrp//phoP//
IdnR_pos	uxuB//trpE//lysR//amtB//betA//
IlvY_neg	fabI//
IlvY_pos	malE//
IscR_neg	sucA//metN//lon//mgrR//mgrB//mtlA//yaiW//araB//cysW//fdhF//ybfN//cysB//nupC//hyi//garD//fau//rpiR//ptsG//fepD//mqsR//yecR//
IscR_pos	xylF//rbsK//entS//yhjA//garP//bglG//hybC//fhuD//yiaN//ydhU//lsrA//
KdgR_neg	hslJ//dgkA//
KdpE_pos	creA//hlyE//agaW//nuoK//
LacI_neg	hokE//aroM//uvrA//
LeuO_neg	iscU//lysP//iscS//
LeuO_pos	yhjX//mntP//cirA//uxaA//uidC//hyaE//trpB//purD//fucR//gspD//rcsA//dcuD//gatB//uvrB//ygiB//cusR//flgG//leuL//
LexA_neg	ybiT//mtlR//osmC//ecpA//cynT//gspD//cdaR//araB//ybhG//flgG//bioD//wcaB//murQ//oxyS//tehB//argG//rbfA//puuP//seqA//gcvH//garP//csrB//fliE//gatY//hypD//dcuS//fumB//yqjI//mdtB//cysC//flgM//kbaZ//rpsU//yoeB//seqA//nohA//ecpR//cysU//dapB//borD//guaA//yafP//tdcD//phnP//ebgC//uxaC//yidQ//pgaD//norV//purR//gatD//gutQ//nlpA//frdC//moaA//ubiX//uvrA//psiE//rutD//
LldR_neg	hyfD//fldA//adhE//
LldR_pos	uvrD//ppiA//htpG//
LrhA_neg	betB//cysC//
LrhA_pos	uxaC//ampC//
LsrR_neg	edd//dgcN//fadR//gabD//glcB//trpR//ykiA//wza//leuO//
LysR_neg	grcA//
LysR_pos	uvrA//
MalI_neg	fucK//epd//exuR//
MalT_pos	idnO//yagK//hns//rpsO//fecA//tisB//glpK//gadW//frdB//nrdD//
MarA_neg	flhC//ydcV//fucA//csgE//aceB//entC//carA//
MarA_pos	ydfE//casA//ycjG//fliH//aroM//purB//dsdX//appX//ugpA//hipB//nanS//kdpC//araB//pspG//napB//fucR//pepA//ycgR//rtcB//torD//mhpE//tnaB//agaD//ptsG//gatY//purM//chbA//murE//lgoR//hyaF//polA//
MarR_neg	fliH//ebgA//ydeO//
MatA_neg	ugpE//murG//lon//fliH//sufE//purD//
MatA_pos	epd//nagA//
MazE-MazF_neg	exbB//sodB//fliA//
MazE_neg	sodB//mpl//tdcG//
McbR_neg	ydeO//
McbR_pos	citG//gcvA//ttdR//
MelR_neg	araD//ppc//gcvA//
MelR_pos	arsR//cadB//waaH//
MetJ_neg	ycgR//tcyP//argG//bamE//malI//pspG//wecE//yaiW//glpA//glpF//feaR//puuR//lsrR//entD//mazE//
MetR_neg	rybB//nac//
MetR_pos	frdA//ynbB//glgA//pepA//
MhpR_pos	recA//cysI//oppB//yiaM//qseB//alsE//
Mlc_neg	frdA//appC//agaW//allD//fecE//flgH//trpA//gcvA//glnG//cirA//
MlrA_pos	sra//atoA//glnB//ascF//gspF//prpB//ydfD//rbsC//entE//nrfC//
MngR_neg	mhpC//gltK//gpmM//
MntR_neg	tyrB//setA//astC//ftsA//
MntR_pos	cpxA//
ModE_neg	fliL//ynbA//argB//malZ//fecE//feoB//dgcZ//hdeB//chbA//purB//nhaA//ccmA//murI//phnH//glnL//
ModE_pos	metQ//rcsA//rnlB//umuD//cas2//lsrR//astC//yhjA//glpC//hyfD//dicB//gspC//tyrB//evgA//psiE//sbcD//ygiZ//cysC//prpB//malP//ybbW//hypA//rseC//iraM//xylH//mtr//ftnB//cas2//bioA//hcaC//yhdX//
MprA_neg	ribA//epd//rseC//oppB//mraY//fecI//
MqsA_neg	fimE//agaS//ybhR//tonB//adiA//prpB//trpA//pheS//
MraZ_neg	torA//fliF//ygaC//zraR//ygbA//gadF//cusR//fecE//slp//ldtB//gspO//rnlB//putA//fliT//nfsB//nhaA//fabD//
MtlR_neg	lsrB//mntH//dsbG//
MurR_neg	glmY//udp//yeaR//
MurR_pos	mgrB//
Nac_neg	sgbE//napF//lyxK//mnmG//flgJ//yfdE//rpiB//ecnB//dhaM//
Nac_pos	oppD//nrfA//dcuD//iscR//pgm//fhuA//acnA//napB//hyfD//yaiA//lacY//ynbD//
NadR_neg	ybjN//appX//nuoC//ydfX//
NagC_neg	deoC//araJ//pdhR//gspM//narX//wecC//argE//tam//nuoK//tpiA//amtB//glgA//glpX//ybaT//entS//araA//zraS//srlA//sufS//speB//narK//fliS//nupG//ahpC//fixA//betA//murC//adhE//gadB//ydeM//fldB//yaiW//prpR//
NagC_pos	rnlA//grxA//gltK//
NanR_neg	creD//aroH//mgtA//guaA//ftsI//yfiB//yidL//hycF//hycD//flu//
NanR_pos	inaA//
NarL_neg	kdpA//yciF//ydhW//nadA//malI//glmY//tonB//argI//lpd//mraY//rpoS//higA//folA//alkB//csgE//dcuA//ydeN//bglF//eda//yagK//ydfN//malG//hcr//ebgC//artQ//mdtB//sgrT//yccT//murP//metK//feaB//cusF//glnA//rffM//yecT//rarA//tyrA//yjhB//yjhB//nrdF//rpoS//arsB//glgB//paaK//ecnB//isrC//flgA//deoB//allE//csgG//fliP//sufC//cadC//phoE//guaB//cspE//waaH//tpiA//ptrA//ompC//fliM//aslB//hyfA//ycjX//pgk//glgX//glcC//paaZ//entC//iscS//fliF//hdeD//sgrT//nikR//cusR//ugpC//nemR//yfdV//astE//dacC//fliI//flhE//cpxP//infB//pncB//tehA//agaS//
NarL_pos	ddpC//pstB//sutR//yhjC//mdtC//fliG//efeU_2//phoH//trpD//luxS//flgH//puuB//ptsH//yiaJ//mhpF//allA//lpxA//rffT//sucD//ung//napB//gltK//nrdI//fruA//agaS//uof//gspO//uxaC//sucA//nfuA//rffC//gudX//phoA//fabB//cueO//mprA//edd//rplT//tomB//rpmI//lrp//ilvC//murG//
NarP_neg	hycC//ybjN//acnB//fliQ//nuoG//ahpF//folE//dmsD//pspG//yjbG//caiC//cheW//nrdB//ydhY//gutM//qseB//ung//ebgC//mgrR//dpiA//phnL//ugpB//sgbE//yhdW//murF//citX//pgi//pgaC//dsdX//srlA//fliE//feoB//chbF//
NarP_pos	glpD//yneM//emrK//fadR//lsrD//modA//tdcF//yecR//metE//wecC//yoaG//zwf//isrC//baeS//tauA//hyfA//nrfB//nuoB//sdhC//kdpC//csiD//yhjA//nupG//moaE//mscM//pepD//glpC//relE//aceA//xylF//phnG//hyaA//
NemR_neg	ddpF//nanE//ascF//
NhaR_pos	glnP//yoaG//ynbA//ulaB//ftsZ//entH//fliH//
NikR_neg	metL//lysO//manY//slp//phnO//xylR//
NimR_neg	galP//cysA//
NorR_neg	obgE//
NorR_pos	ldtD//mazG//
NrdR_neg	fucR//treB//sbmC//nikE//malX//nuoA//pdeH//alaS//tfaQ//
NsrR_neg	pdhR//hns//sdhC//sroA//dicC//murQ//hydN//kdpB//ftsK//agaB//exbB//agaB//sroC//nrfE//treR//sgbE//chbF//fbaA//creC//hyi//ydcT//rnlA//motA//lsrR//garD//cspE//psiE//ddpC//rcnA//phoU//obgE//argO//puuE//yhdY//nac//agaB//leuL//dctR//asnC//rybB//bglF//caiA//flgF//puuR//erpA//puuA//purE//cyoC//nrfE//ykgM//rutR//ydeI//pstC//mazG//agaD//ebgA//dcuB//cspE//malX//ddpC//tbpA//hipB//fabZ//uspE//safA//prs//ccmE//znuB//flgK//cspE//tnaA//caiA//nrdI//lysP//yhdW//cspD//hcaD//srlB//rarA//envC//qseC//ybjG//yfbR//
NtrC_neg	yebG//fdnI//mscM//ccmG//gudP//flgJ//
NtrC_pos	cspD//appY//mtlD//cysN//treB//feoA//metF//metH//ybhG//rpoE//fliP//fruA//xapB//metJ//mngA//purE//mqsR//intQ//uvrC//argT//hybA//mazE//chbC//yegR//yeaD//lyxK//mraZ//moaB//yjhB//higB//ompW//argR//allA//dapD//symE//umuD//ybdZ//lsrK//yeaD//rpsO//bioC//cpxA//mlrA//nirB//fhuD//glnD//ybdN//yqjH//ogt//
OmpR_neg	galT//nrdF//nhaA//hycI//fruB//pdhR//tisB//rimP//mipA//sra//astB//fdhF//
OmpR_pos	entE//tdcD//ybhF//lsrD//pgaA//ascB//uxaC//dinJ//metC//hypF//
OxyR_neg	yhcH//ldtC//fhuE//yncE//fliA//accC//agaS//nikA//cyoE//yeaG//cspD//hemL//
OxyR_pos	nuoI//agaD//rclA//hdeB//fadL//lpxC//tdcG//evgA//gltB//ymgA//prpD//dsdA//dnaG//putA//ddpC//alsB//phoQ//lamB//pfkA//safA//narL//tdcB//
PaaX_neg	rpmI//gltL//murE//pgaA//uidB//napH//argP//speB//zraR//allA//csgC//galM//hydN//yfdV//
PdeL_pos	melA//
PdhR_neg	nrdB//nuoL//paaX//ydfE//glmY//tnaC//glcA//sutR//znuC//ulaF//artJ//tdcG//sgbE//prpD//aroL//aceA//ttdA//mzrA//ygiC//polB//atoE//potI//yaiA//galM//gudP//cytR//ycjY//arsB//fruA//yidQ//yafN//tsx//bioF//ftsI//mepH//hybC//
PdhR_pos	argE//bglG//yciG//chbC//trpB//
PepA_neg	tomB//hyfH//rffT//
PgrR_neg	uof//ydeO//yeaH//gadE//cpxA//tsx//insD//bioD//
PhoB_neg	marR//xylF//hcaE//fabD//lsrF//araJ//qseB//ftsK//hcr//wzxE//yhdY//gspL//
PhoB_pos	yfdV//araJ//putA//metJ//recF//fabG//sroA//ulaG//emrY//srlA//metQ//glpX//aroF//mnmG//wzc//idnR//rarA//sgbE//ynbC//nirC//treR//fadH//glpF//hybE//hdeB//dmsA//flgM//zntA//mnmG//dcuD//flgK//mraY//cynX//fdnG//argC//crp//lsrG//iraP//casB//gabD//allS//garK//prpB//nanS//udp//argI//grxD//mdtD//ssuC//nimT//chbF//insD//ymgA//
PhoP_neg	murD//sroC//paaZ//uof//ttdT//rdoA//nuoC//purB//cspI//atoA//phnM//
PhoP_pos	dcuR//cyaR//fau//gspI//gdhA//ruvA//glpK//rstA//yncE//hyaE//ymiA//araD//ppiA//torC//rbsB//rutB//pspC//fucK//omrB//ndh//accA//yqhG//ybhL//recN//micF//yfiR//znuA//tauB//ccmD//dicB//nanA//rhaB//hycD//araF//cysK//yjbF//dinF//purN//kdpA//yiaO//gntP//aceB//nrdB//rplU//ulaF//purB//rbsB//uxaA//
PrpR_neg	rffC//
PrpR_pos	rnlA//yjbE//ddpC//asnB//
PspF_neg	yjjZ//
PspF_pos	ihfA//fabD//lldD//relE//glpK//pgk//
PurR_neg	iraM//malF//nusA//allS//galM//cas2//galS//hisQ//pheM//nrfD//cirA//cheA//relA//nfuA//nanM//uvrC//yhbT//hflD//guaB//yncE//citC//gatB//feaB//paaZ//ftnB//rseB//pdeR//dmsA//umpH//pck//citG//
PutA_neg	betB//insK//
PuuR_neg	fliF//dsdC//mdtA//gnd//idnT//metN//gcl//
QseB_pos	psd//trpC//yjbF//wecE//
RbsR_neg	yibQ//alsB//allA//rffM//safA//rseB//ptsH//paaY//
RbsR_pos	cas2//
RcdA_neg	potI//fixX//
RcdA_pos	rarA//ydeI//ygeA//yhiD//rpoE//tsgA//yafN//
RclR_pos	ompC//ndh//malF//
RcnR_neg	rffH//yafO//rpoS//
RcsAB_neg	hyfI//dhaK//ygiC//thiP//phnC//ccmG//
RcsAB_pos	lsrF//pheT//malZ//dinB//sodA//ygeH//flgB//nirC//wzxE//galM//
RcsB-BglJ_pos	dacC//gudD//yncE//tauC//pstB//cyoD//argH//yciF//mhpA//yiaO//bhsA//wecB//lysP//argH//lpxD//caiE//
RcsB_neg	yhbT//glcG//
RcsB_pos	gdhA//fhuA//phnG//frdC//casD//cyaR//metB//ybbW//ynfH//ydcU//uidA//bioF//udp//chbA//ssrS//potF//tcyJ//flgF//tfaQ//lacZ//fliL//gspJ//mqsA//
RelB-RelE_neg	ynfH//emrA//ddpC//
RelB_neg	rnlB//xylG//fixX//
RhaR_pos	yfbR//lrp//
RhaS_pos	hybC//ddpX//pepA//uxaA//phnL//tdcD//
Rob_neg	lsrB//
Rob_pos	agaD//uxuA//phoB//nrdB//caiC//flgH//pspC//mdh//modA//eno//arsB//focA//nuoC//ymjC//ptsG//rbsA//soxR//nrfF//ulaE//ybaS//caiC//aldA//murG//phoB//ydfD//
RstA_neg	moaD//fucI//sucD//lysR//tdcF//
RstA_pos	chbA//crl//mtlR//malI//fucR//
RtcR_pos	ynbC//rclA//
RutR_neg	mtr//gutM//hybE//paaY//nac//ycdZ//iscR//relB//phoH//gltI//fliQ//yfiR//citG//micF//pdeL//
RutR_pos	moaB//crl//
SdiA_neg	nrfB//uvrB//yfbR//
SdiA_pos	cvpA//mhpC//aroF//
SgrR_neg	citG//fliK//ppdA//uxuR//tbpA//
SgrR_pos	ptrA//grxD//entA//hcaE//
SlyA_pos	yfbR//
SoxR_neg	ecpA//
SoxR_pos	gadY//glcD//
SoxS_neg	flhC//pykF//
SoxS_pos	bioF//ybjG//dnaN//flhA//yhdZ//fhuD//wcaB//arsB//fliI//hybD//hcaB//fliH//tynA//ascB//nuoN//wzb//flgE//gspD//sucC//cysA//dapD//yagK//argT//rseB//fepA//ydhV//dinG//nupG//pspF//nemA//malE//pspG//argP//paaX//argI//ampC//ydfH//frdD//
StpA_neg	mngR//glgC//caiC//dsbA//astD//rpsU//fixB//
SutR_neg	murQ//xylB//phoB//adiC//phr//
SutR_pos	deoB//
TdcA_pos	napG//ruvB//ybiT//rseB//artP//ecnB//ahpF//
TdcR_pos	pspC//pqiB//malE//argO//melR//pck//grxD//
TorR_neg	metI//cusB//rpsU//
TorR_pos	pgaC//galR//ribA//mgrR//flgI//hemH//puuE//idnT//gudX//
TreR_neg	frdA//rhaT//
TrpR_neg	ybbW//ycgR//wcaB//xylB//flgC//mntH//leuA//narG//aldA//mtlR//insK//casE//
TyrR_neg	ydcT//gpmM//gspO//dsbG//pspC//nuoA//nagC//tdcF//gspK//uxuB//
TyrR_pos	glpC//tadA//metK//
UhpA_pos	caiT//
UidR_neg	srlE//hypD//hha//fumC//
UlaR_neg	phnJ//chbF//lysC//ulaF//yhbE//ttdR//fliH//
UvrY_pos	sroD//lacY//metN//ycjY//tauD//
UxuR_neg	paaI//fliH//bacA//waaH//glcB//yhdZ//fucI//mepH//ydhY//
XapR_pos	astA//yncE//
XylR_neg	ydbD//
XylR_pos	ygiB//narG//waaH//prpC//araE//gloA//
YdeO_neg	fumB//rplT//
YdeO_pos	mhpD//ppsA//feoB//evgA//flgG//fecE//citF//serA//yebG//cysH//pnuC//sutR//casE//pgaA//sroC//recF//fadB//obgE//yhdZ//
YedW_neg	ydbD//tsr//cysK//pspE//csgC//
YedW_pos	gloA//hemH//tam//waaY//mazE//glnP//mazG//
YefM-YoeB_neg	fhuF//chbC//
YefM_neg	ttdT//glmY//
YehT_pos	nfsA//
YeiL_pos	codA//
YiaJ_neg	fliI//garL//glnL//phnL//yccJ//hcp//fumC//paaY//fruA//fliZ//
YjjQ_neg	emrK//idnD//nmpC//potF//rffG//nrfE//galP//ybdN//metC//hydN//
YpdB_pos	ydcV//
YqhC_pos	kbaY//psiE//
YqjI_neg	nuoG//lsrG//
ZntR_pos	aidB//
ZraR_pos	agaS//lldP//ddlB//
Zur_neg	fliQ//pspD//nuoA//uidC//ldtD//ttdR//
