#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yfdE//lolA//
HyfR_pos	araJ//mzrA//dnaA//cysH//gatD//fabA//phoA//hyaC//fau//rsmH//hcaC//lacA//
HypT_neg	dpiA//rnpB//pstC//nikC//potI//
HypT_pos	bolA//ybhL//slyB//fucA//chbC//yecT//nrdB//rimP//
IclR_neg	potH//cusC//entC//ugpQ//
IdnR_neg	paaC//wrbA//
IdnR_pos	dinI//stpA//wecB//evgA//allD//
IlvY_neg	yciX//
IlvY_pos	dinI//
IscR_neg	mhpC//trxC//lpxA//puuC//ybjG//allC//metQ//fliT//moeA//torA//ybfN//malS//nimT//hybB//rplU//pqiA//phnL//nanS//pstB//recX//allS//
IscR_pos	fhuC//aslB//fecA//ldtB//yqjH//acnB//gltD//pstA//add//cpxR//ygiC//
KdgR_neg	fliI//cynS//
KdpE_pos	flgH//dsrA//phoH//ldtD//
LacI_neg	crr//trpB//hcaR//
LeuO_neg	argF//gadY//ccmC//
LeuO_pos	hycI//dinF//sgrS//mraY//ynfH//mraZ//exbD//dctR//yibQ//lpxA//glgP//insD//pheM//qseB//yccA//wecC//ttdB//guaB//
LexA_neg	fixB//ykgO//tdcG//gadY//aroH//murI//erpA//ydjM//gspF//sroC//cpxQ//metN//cusS//nrdB//yecR//hdeD//ebgC//acrD//gadW//pstB//cyoD//hcaE//hmp//nanT//bioB//cas1//pepA//safA//leuB//nikD//srlE//yccJ//dgcZ//entS//ftsK//fliF//nfsA//fbaA//pepD//pgpC//slyB//astB//csiD//ygeA//acnB//cusA//narH//nrdI//cheW//creA//fliZ//bdcA//dgcZ//purD//entS//slyB//glcD//hcp//higA//
LldR_neg	ybdZ//evgA//serA//
LldR_pos	luxS//frdD//efeU_2//
LrhA_neg	rutC//ybbW//
LrhA_pos	mdtF//tcyP//
LsrR_neg	csgB//oxc//zwf//dnaN//artI//malQ//ybhF//yiaN//yhjC//
LysR_neg	gadA//
LysR_pos	glxR//
MalI_neg	yeaG//fliT//crp//
MalT_pos	pyrD//garL//csgF//tcyP//fliQ//flgH//rstA//fabH//aceB//uvrB//
MarA_neg	nhaR//exuR//dcuS//hycE//add//ssuE//glnQ//
MarA_pos	fepD//emrA//nanM//yhiM//malP//glnD//purM//mipA//galP//rclB//cysM//znuC//dgcZ//yfbR//flgJ//aslB//hyfG//fdnG//modC//yjiY//sufB//fau//purH//osmY//gloA//trpB//gadB//ppdC//yqjI//soxS//fepE//
MarR_neg	yncE//aroH//iscR//
MatA_neg	add//omrB//ccmG//ynbC//glcE//nanA//
MatA_pos	fliO//sutR//
MazE-MazF_neg	allE//cas1//carA//
MazE_neg	narH//sucC//ygiA//
McbR_neg	tauB//
McbR_pos	dhaM//ydiU//mraZ//
MelR_neg	gspG//cusR//dmsD//
MelR_pos	stpA//ugpC//mgtL//
MetJ_neg	xapB//nfsB//cysE//glmU//uxaB//murI//ada//pdhR//dinI//chbB//nusA//leuC//ecpR//pgk//grxA//
MetR_neg	gltL//paaE//
MetR_pos	rpoE//lysC//ppiA//ompC//
MhpR_pos	moeB//arsC//fliT//malM//aspC//flhC//
Mlc_neg	dps//tomB//oxyR//dnaG//potF//metE//cecR//ugpE//tcyP//mgrR//
MlrA_pos	ynfG//dsbC//feoA//dapD//dsdX//mgtL//ihfA//sdhB//napB//fliG//
MngR_neg	ssuE//ttdB//rclA//
MntR_neg	xylF//marR//metA//ybjG//
MntR_pos	tonB//
ModE_neg	aroM//ampC//gutM//mhpT//yeaG//rffM//ycgZ//ydiV//chbB//nikB//agaB//znuC//flgM//glpA//yhhY//
ModE_pos	thiQ//dnaA//kdpB//hypE//ldtD//mgrR//ycjG//lysO//hycH//glpQ//cirA//rplU//rsmH//uvrB//grxA//yiaM//srlD//murD//frdC//norW//leuD//exbD//mazE//paaY//tbpA//argC//cvpA//nagA//qseC//fau//rutR//
MprA_neg	lsrR//yhbS//cheW//iraM//rybB//fruK//
MqsA_neg	nagA//alsC//cheA//nuoJ//eno//yegH//hyfE//mdtF//
MraZ_neg	trpB//wecB//yqjH//pepD//ybiT//murG//acrB//yoeB//hycD//uhpT//trpL//ygeA//aidB//ynfK//aroP//cpxP//cueO//
MtlR_neg	purN//fbaA//nagE//
MurR_neg	baeR//polA//exbB//
MurR_pos	znuB//
Nac_neg	gspE//ftsQ//pgaB//nanT//glmY//pspC//pspD//qseC//yeaD//
Nac_pos	metE//fliM//ompT//qseB//rnlB//agaR//ssuD//dsdA//ebgA//nagC//nikC//dpiA//
NadR_neg	treR//idnO//mlrA//katG//
NagC_neg	hyaD//dgcC//betA//argD//entE//ampC//crl//marB//hcaD//argT//fliG//ubiC//lhgO//nrfD//infB//ddlB//mlc//relE//ccmG//tomB//ftsK//ydeM//hybA//allD//ilvY//ybhG//murC//cysE//frdB//kbaY//dhaK//qseC//zraR//
NagC_pos	lgoR//yjbG//sgbH//
NanR_neg	dicC//garL//casA//gspF//gspJ//carA//betT//ugpA//yecR//ycdZ//
NanR_pos	lldP//
NarL_neg	glpD//yrbL//flgC//yccA//hflD//pspD//nmpC//gadF//ydfW//tadA//ftsI//dhaL//ynfG//appY//rffM//lldR//bluF//pspE//paaX//cysI//cusF//casE//feaB//melB//fliD//nfsA//murR//murF//yafQ//hha//ulaE//modB//yhhY//dnaA//flgB//eda//dpiA//cadC//rbfA//nuoM//nac//uvrB//phoH//wzb//waaZ//malP//hybO//yciX//umuC//dacC//mngA//oxyR//flhD//cyoB//ada//ymgA//fliP//nanT//add//yjjQ//glpD//uxaC//fes//caiC//yeaH//marA//pnuC//tdcE//borD//yjjZ//gntU//modB//mhpB//accC//narL//ydfH//nagB//hflD//ftsW//pyrD//mdtF//garR//sufC//fliT//alaC//malY//yafO//
NarL_pos	rplT//ppdA//uspE//fadI//astA//polA//obgE//fliJ//lgoR//inaA//ynbC//gltK//aceE//pstS//cynT//melA//cyoD//yfiR//gapA//tdcD//nrdI//nanM//talA//mnmG//cecR//lrhA//gatD//yhhY//uvrY//btuB//fes//argT//oxyS//yhdZ//uxaB//lamB//feoA//ugpE//xylB//paaI//recA//caiA//modA//
NarP_neg	uxuR//cspI//deoD//yeaR//srlD//dcuA//ftsZ//hybA//ribA//allA//mhpC//gpmA//nirC//ydfD//fucU//phnL//ppdA//hybE//gudX//agaV//ydhX//nanM//fadJ//idnO//trpA//degP//mazF//recA//rpsU//glpQ//melB//ycjG//metJ//
NarP_pos	leuO//pqiA//fliL//fadM//ssuE//ydfX//yoeB//yeaR//tauA//bdcA//hyfG//yiaO//fecI//soxR//phoA//fucO//acnB//nrdF//trxC//tehA//fruA//agaA//csgA//yhdX//paaG//ilvC//spy//argE//ygiC//ccmE//alaC//nikA//
NemR_neg	nikB//flgC//zraS//
NhaR_pos	atoE//gspD//ybdN//dkgB//pgi//fliH//ymjC//
NikR_neg	gatD//nrdB//paaJ//trpA//nuoI//dsbC//
NimR_neg	sucC//nrdF//
NorR_neg	pflB//
NorR_pos	recX//rhaB//
NrdR_neg	malZ//grcA//fadM//hyfC//glnH//glnD//flgM//fruB//glcA//
NsrR_neg	fliR//aceF//dsdC//sulA//focB//ydbD//ompW//glyA//glpD//hyfH//sufB//gcvB//relA//allA//obgE//lpxD//rarA//dcuA//cusS//ydeM//nrdE//ompT//bglG//araH//yjbH//rpsU//pspG//ariR//prpB//alaC//yeaR//uvrD//caiB//yciG//gltL//sufS//nikD//guaA//ssuB//fliD//hisP//yjhB//ydcT//phnF//ymjC//yebE//fixC//bdcA//ydhV//yjhC//waaZ//sufB//lexA//nagB//ribA//zraS//betA//acrB//pqiA//mlrA//flhB//nfsB//paaD//mioC//melA//rpiB//ptrA//feaB//napB//entH//xylA//metR//glgA//uspD//ccmH//hyfR//yjhB//mazF//ybbW//deoB//napB//glyA//wrbA//
NtrC_neg	gabD//asnC//nanM//ftsZ//yfaE//xylH//
NtrC_pos	gntP//yccA//yhbE//ygiZ//mngB//moaA//lldP//sucB//hdeA//uvrB//kdpB//creA//dkgB//waaY//rbsD//yjjQ//ybhS//mqsR//cysP//dcuD//cusB//flgJ//ompN//polA//ssrS//torD//citG//inaA//gabP//hypC//rpoD//chbC//ddpA//emrB//agaB//yhjC//pstS//casD//yidL//leuB//lpxA//tnaB//agaA//tehA//fadB//agaC//glnD//napF//srlB//
OmpR_neg	mazE//prpD//ydcS//ompF//cheW//uspD//yhcH//epd//argD//cdd//dkgB//ssuC//
OmpR_pos	fliS//safA//skp//entF//omrB//hyfH//trpL//fabZ//flgB//garP//
OxyR_neg	phnL//argT//fliZ//wecB//ydhY//pgaD//cpxQ//narI//qseC//metK//crl//ymgA//
OxyR_pos	murQ//nuoB//csrB//tsr//creD//sroD//add//malY//gadA//glpK//malQ//yeiL//pflB//focA//psiF//hybA//lacY//yqjI//katE//mqsA//fabZ//uidB//
PaaX_neg	pstB//oppA//gnd//fhuC//cydC//psiF//nhaR//recX//mazG//nrdH//purM//yjbE//argE//sufE//
PdeL_pos	tyrP//
PdhR_neg	dhaK//ydjM//acrD//fabD//pstC//fhuF//hyfB//ubiX//fliL//glpX//setA//malF//trpE//puuR//tsgA//flgE//wzc//aidB//lacY//phnP//cpxA//deoA//thrS//csgE//cueO//gadF//pspC//paaG//fhuE//ydfX//glgA//dgkA//citF//cdaR//bhsA//gntX//
PdhR_pos	mglA//grxD//ppdA//paaJ//speB//
PepA_neg	glgP//pstC//tnaC//
PgrR_neg	fliT//phoR//lolA//exuR//ulaG//cpxR//cysJ//ompF//
PhoB_neg	fliT//nanM//nrdD//tsr//moaC//rbsA//phr//gltD//rcsA//alsC//ycjF//yeaR//
PhoB_pos	pspE//rtcB//insD//fadA//yjbH//gspE//tdcD//dinG//waaZ//oxyS//nfuA//fabG//fixC//glnQ//fucR//gntU//micF//aslB//phoP//dpiB//ydhX//rhaS//lhgO//xylB//rpoH//exuT//bacA//mdtB//insD//tolC//yafP//ddpF//gcl//gcvH//yjbF//phnI//tauD//iraM//tam//nanA//treB//gloA//ydeO//galK//cysB//purB//hyfR//bioD//ibaG//mglB//mipA//ddpF//gatY//
PhoP_neg	appA//araE//trpA//fucK//glgC//yjiY//idnR//talA//yjiY//argH//fhuD//
PhoP_pos	mtlD//umpH//sgbH//paaD//nemA//ykgM//pgaB//gudD//ompN//ttdB//lolA//mntP//ydhY//marB//truB//hyaC//idnO//agaB//yccT//tsx//mltF//sulA//truB//potG//cpxP//hcaC//gdhA//idnK//gcvP//ddpA//metE//oxc//pstA//fhuC//purF//yncE//flgF//nagB//fliP//htpG//rcnA//fliP//fdnH//rbsD//oppF//bluF//dhaK//ompT//
PrpR_neg	citC//
PrpR_pos	mraY//lsrF//uxuR//glgA//
PspF_neg	yhbS//
PspF_pos	fliL//creD//agaV//phnP//oppF//slt//
PurR_neg	glpB//rhaR//obgE//kdpB//paaH//sulA//hokD//bglF//nuoJ//rclA//yfbR//wcaB//kdpF//xylB//lhgO//entH//emrK//nfsA//fecE//ccmE//rprA//rob//dnaA//phnF//csgB//ybaT//cas2//rclC//cysM//caiD//alsB//
PutA_neg	fadR//osmC//
PuuR_neg	yhiD//cydA//efeU_2//pspG//kbaY//waaY//argR//
QseB_pos	csrB//hyfH//phnD//waaZ//
RbsR_neg	cadB//kdpA//sroC//nrfC//insD//frdA//rutD//cysM//
RbsR_pos	dsrA//
RcdA_neg	chbA//asr//
RcdA_pos	bioF//bioB//dcuR//paaE//fadJ//alsE//hypB//
RclR_pos	ydhY//nikC//ryhB//
RcnR_neg	fabI//lysR//ung//
RcsAB_neg	hycB//lldP//appC//narX//gspM//fliP//
RcsAB_pos	mhpF//yfiR//tsx//pnuC//gudX//allE//dgcZ//ybjC//nrfE//paaI//
RcsB-BglJ_pos	nuoJ//nanS//yccA//cbl//sgrS//glxR//sgbH//ybdZ//tauD//lldP//tauB//osmB//trpB//araA//narK//ddpF//
RcsB_neg	yrbL//yfaE//
RcsB_pos	nrdH//tehA//setA//tdcE//rutB//nagB//yhbE//rpoS//yjiY//pfkA//nimR//waaZ//yhhY//moeA//seqA//ynbA//chiP//zwf//ygiC//tyrR//hycE//nrfG//dkgA//
RelB-RelE_neg	sbmA//yfiR//yfiB//
RelB_neg	ubiA//motA//ptrA//
RhaR_pos	uspE//cysN//
RhaS_pos	nrfB//aroP//malP//lsrC//nhaR//metQ//
Rob_neg	prpR//
Rob_pos	dhaM//dkgA//hycE//gatB//uidB//rstB//ccmG//ykiA//fecI//glpB//emrA//mglC//mzrA//ulaD//ydcT//gatY//agaV//acrD//rutE//nuoI//trxC//tauB//rbsK//dinQ//hlyE//
RstA_neg	lldR//waaY//phoR//srlB//iscU//
RstA_pos	yjbF//murR//dpiA//bhsA//rutG//
RtcR_pos	phoU//yjbE//
RutR_neg	ssrS//tcyP//pheT//flgD//casA//paaE//fliA//adhE//dicB//efeU_1//ydfD//tdcF//aroG//agaI//gatD//
RutR_pos	phoR//ydeP//
SdiA_neg	yccJ//ttdA//tolC//
SdiA_pos	pstS//zraP//lsrA//
SgrR_neg	mdtD//hdeA//dnaG//ccmC//hyfG//
SgrR_pos	yqhG//ybjN//cadB//fliL//
SlyA_pos	gcvT//
SoxR_neg	atoB//
SoxR_pos	cysC//dinJ//
SoxS_neg	dgcC//polB//
SoxS_pos	inaA//sgrS//rob//mcbA//ulaE//asnA//aroH//cysD//ung//cas2//bioC//hyfF//uidC//aroG//aroH//sgbU//efeU_1//rutG//ruvA//puuP//agaS//ycjF//ddpD//aslB//entC//tauB//hcaD//lysO//lrp//yqjI//nagA//pstB//cysD//ccmH//csgE//yqjA//pheS//pflB//
StpA_neg	mioC//paaA//fliH//uxuR//paaZ//symE//lhgO//
SutR_neg	glcC//rclA//ttdB//ynbB//aroG//
SutR_pos	iraM//
TdcA_pos	trpD//torC//pncB//hybO//pgpC//evgA//glcD//
TdcR_pos	cysD//fliI//alsE//srlA//yeaG//nikA//cdaR//
TorR_neg	nrdD//tyrB//recA//
TorR_pos	borD//truB//bglJ//mcbA//znuB//fliT//htpG//fadJ//kbaZ//
TreR_neg	rffH//cusA//
TrpR_neg	modC//uvrA//nuoK//glnH//dinB//pheT//lysP//uxuB//ascB//mazF//nrfA//ycjF//
TyrR_neg	tdcF//nrfC//yeaE//lamB//ymgA//ugpC//sfsB//mazF//yjjQ//fliZ//
TyrR_pos	gspK//srlB//yfdX//
UhpA_pos	gspI//
UidR_neg	tfaQ//dicB//uidA//nusA//
UlaR_neg	napD//hlyE//ynfG//glnH//cysB//osmB//pgi//
UvrY_pos	modC//pyrD//ompC//murE//ruvA//
UxuR_neg	ydhW//amtB//iraP//ribA//bacA//acrR//purE//ynfH//citE//
XapR_pos	ecnB//gpmA//
XylR_neg	tdcD//
XylR_pos	truB//mdh//uspE//ttdB//sfsB//lsrK//
YdeO_neg	wzzE//ulaF//
YdeO_pos	malX//fliJ//fecA//glxR//wzzE//pepA//argP//mdtD//cysW//waaY//rutG//infB//rcnB//mngB//ybdN//srlA//rtcA//napB//cynR//
YedW_neg	lexA//tisB//decR//slyB//pitB//
YedW_pos	oxyS//aroF//treR//ydjM//yiaK//alsC//tyrR//
YefM-YoeB_neg	ybjG//adiA//
YefM_neg	umpH//tdcF//
YehT_pos	trpE//
YeiL_pos	nrdD//
YiaJ_neg	mtlR//mqsA//omrB//rsmH//lon//ppiD//nrfF//mngA//acrR//thiQ//
YjjQ_neg	yedX//phnO//xylG//crp//cysG//tyrP//rybB//omrA//ccmD//citF//
YpdB_pos	spy//
YqhC_pos	psiE//ptsI//
YqjI_neg	poxB//yqhG//
ZntR_pos	hyfE//
ZraR_pos	araG//gfcA//chbF//
Zur_neg	rcsA//malY//ecpR//hflD//ynbC//dtpA//
