#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	leuA//ydeI//
MarA_pos	cysG//nanA//yiaL//flgD//ydhY//flgF//rbsR//purL//argT//puuD//rhaA//glcE//cyoD//flgH//ynjI//narL//xapA//glcG//yjjZ//fucR//xapA//tcyJ//putP//argA//nrdB//polB//cysC//potG//symE//pgaC//waaY//
MarR_neg	ssuD//rffT//molR_1//
MatA_neg	nemA//purA//ompN//fdnG//exbB//ssuA//
MatA_pos	fixA//mqsA//
MazE-MazF_neg	uidA//hypA//cheA//
MazE_neg	mqsR//stpA//fdnH//
McbR_neg	eda//
McbR_pos	amn//nuoH//cas1//
MelR_neg	cas1//uidB//gudX//
MelR_pos	wecE//nac//casC//
MetJ_neg	moaB//betA//dhaM//dapB//deoA//idnR//fliP//evgA//csgE//nemR//fecB//mngR//trpE//glpQ//ndh//
MetR_neg	ydeI//murG//
MetR_pos	purC//purC//hycD//cusB//
MhpR_pos	yeaR//ulaB//acnA//dmsB//ppiA//argC//
Mlc_neg	sroC//hemH//ddpB//fruK//efeU_2//fabG//rpmI//fucR//lexA//epd//
MlrA_pos	bglG//fixX//nikC//gltF//lacA//glnH//manZ//rclA//murE//hybB//
MngR_neg	yecT//tdcA//talA//
MntR_neg	feaR//uof//araH//ibaG//
MntR_pos	yhdX//
ModE_neg	gudD//ftsL//ddpC//narK//hybF//rhaA//cyoD//ydfH//rdoA//nrfD//nlpA//ldtD//gltF//garL//hdeD//
ModE_pos	yjjZ//fur//creD//ruvA//mnmG//ascF//ftsA//paaH//ydhU//sdhB//infC//luxS//nanC//gatY//pspD//yeaH//rffC//gnd//ahpF//entF//obgE//ftsQ//amtB//moaB//argD//ssrS//flgB//yjhC//cdd//emrA//aceF//
MprA_neg	ydiU//aroM//relE//nadB//napD//murG//
MqsA_neg	phnN//fepC//fepC//fecE//ccmA//nusA//gpmA//yfaE//
MraZ_neg	phnE_2//nuoI//efeU_1//mntH//prpR//bioC//gnd//fhuD//phoE//gudX//mioC//gltL//yefM//nanE//murP//mgrR//yegZ//
MtlR_neg	agaB//fruA//metQ//
MurR_neg	tsgA//acrA//rutA//
MurR_pos	hycH//
Nac_neg	sra//evgS//dhaM//narK//yedX//chiP//gatD//metK//emrA//
Nac_pos	cysA//recD//cysW//yafO//rbsD//fecE//hyaE//nrdF//fadB//aceA//yegH//paaE//
NadR_neg	ybdZ//casD//metQ//gspG//
NagC_neg	cysC//gspG//citD//rtcA//cyaR//rbsB//rutG//yhhY//cirA//moaE//pgaB//argT//hypC//ndh//insK//aceF//ccmC//ybaT//pdeL//mpaA//eda//mnmG//idnT//ybhR//mprA//cho//cusR//gloA//mgtA//recX//mltF//hdeB//sbcC//
NagC_pos	ydeO//nimT//cspE//
NanR_neg	gltB//gltK//purB//xapA//kbaZ//glnQ//malM//ptrA//fruK//ynfK//
NanR_pos	pstC//
NarL_neg	ppdC//hybO//napB//xylR//entE//ascB//argA//fbaB//ahpC//csrB//glgC//pdeR//purN//narI//accA//ykgM//ydcV//gabT//aroH//treR//caiF//uof//bdcA//sufD//emrA//ompW//mraY//osmC//trpC//ecpA//bdm//rutA//ulaB//mnmG//gutM//ugpQ//nrfC//puuA//lexA//uvrY//umpH//pheM//hyfR//mcbA//lldD//puuE//htpG//truB//ydeO//hokD//treR//nagC//phnE_2//lyxK//pspD//glk//yhhY//ilvC//phnE_2//dsbG//agaB//aldA//caiA//gltL//ydiV//malG//pnp//flhD//srlR//flhD//napH//rbsK//lldR//atoD//sgrS//asnA//rcsA//speB//trxC//malI//fhuA//cysB//ddpB//tyrR//dapD//ryhB//ppdC//
NarL_pos	znuC//mntP//yjeV//ynbD//glyA//ybhS//pspC//ydfN//dpiB//chbF//paaX//xapA//dcuR//rpmI//sutR//iscU//fimE//mzrA//sgbE//xapB//ydfX//murC//wzb//carB//malY//hslJ//sdhA//gutM//ddpC//dicC//rbsD//prpB//agaW//ynbC//astC//sbmC//mdtE//acrB//lsrB//nlpA//mraY//lsrF//kdpC//
NarP_neg	mdtF//ccmG//sgrT//exbD//lacY//ybbW//nfsB//psiF//ompN//srlD//nemA//aldA//bhsA//araF//osmB//frdD//cysM//glnG//ybfN//ygiZ//fecR//ompN//galE//ygbK//yedX//phr//malY//glpB//caiB//adhE//glcB//gspE//pyrD//
NarP_pos	idnT//putA//hdeD//nrfF//rfe//fruB//alkA//flgL//thiQ//focA//cynT//lysC//dctR//aroH//nuoJ//ubiX//mgrR//metC//dsdC//ybfE//hycC//kbaY//hlyE//purA//xylR//hycC//metC//pgaD//omrB//dsdC//galP//purD//
NemR_neg	ssrS//speA//ompT//
NhaR_pos	ftnB//ygbA//aroH//tonB//mraY//ddpB//ycjY//
NikR_neg	rnlB//ada//sufE//pgaD//gltD//nrdH//
NimR_neg	epd//appY//
NorR_neg	gspD//
NorR_pos	cysW//ydcT//
NrdR_neg	caiE//flgA//ymjC//hns//safA//yegR//ydhX//appY//entA//
NsrR_neg	rcnB//kdpF//dctA//rseA//nikR//ulaC//yegH//manX//yfbR//inaA//yoeB//mglB//gfcA//betI//rbfA//gabT//hipB//prpE//metI//mazE//metF//lsrA//dgcC//prpD//cusR//yibQ//emrY//ugpQ//flhC//nanS//gntP//lpxD//ugpA//dinD//polB//moaB//hyaA//chbB//fdnH//puuP//deoA//nrdH//ulaD//aceE//rarA//phr//hybB//murE//malK//fadI//soxR//ygiZ//caiE//aroL//gutM//ydeI//hns//fur//nrdG//artQ//ygiB//murF//rhaT//crl//glcB//dtpA//gudX//yciW//bolA//ybiT//ribA//dhaM//ndh//mtr//flgC//cysC//zraR//rnlB//rstA//aroH//gspF//bdm//napA//
NtrC_neg	yneM//envC//ldtB//hyaE//hypF//srlE//
NtrC_pos	hycC//acrB//acnB//chbF//deoB//citE//wcaA//ybiT//uidA//cysN//dinD//wzyE//wecC//kbp//ybhG//creB//kdpA//gatA//hybF//hypF//nanS//paaC//fadM//arsR//ugpE//ydfN//narG//hyaB//entD//yccA//potI//fhuE//znuC//araB//napF//ydeI//glcD//crl//ydfN//phoE//bglB//yecR//dhaM//ydhX//dnaG//phnE_1//mdtA//nuoF//dapB//
OmpR_neg	lsrF//ecpR//glcD//isrC//argT//rffC//ymiA//cdaR//borD//ebgC//frdA//flu//
OmpR_pos	ugpA//guaA//lsrD//gatD//xylA//osmB//puuD//dkgB//kbaZ//ttdT//
OxyR_neg	ftsA//fecA//gatY//yiaN//yecR//hipA//fepG//fur//yhdX//fadA//wzzE//nimR//
OxyR_pos	recB//murR//sdhB//agaD//murD//fucA//stpA//trpC//ccmG//fliH//cusB//codB//ecpR//malQ//nrfF//mtlR//rtcA//narJ//lldR//yhdX//phoU//adiC//
PaaX_neg	dctA//pheM//sucD//dcuB//exuT//ugpQ//paaE//ynbB//hisM//fucA//sutR//trxC//ompF//nrfB//
PdeL_pos	ampC//
PdhR_neg	phr//slp//cbl//dnaG//rpsU//flgI//ccmF//tsr//nhaR//ccmD//fbaB//fliO//yjhB//fnr//mhpA//flhB//gspD//fhuB//uxaB//entD//hycA//torR//oxc//araJ//psd//galE//rimK//yjjQ//ruvB//ymjD//idnD//frdA//ccmD//tauD//gspK//lysA//
PdhR_pos	dkgA//rclC//isrC//ymjD//ribA//
PepA_neg	psiE//dcuA//ygbK//
PgrR_neg	uspD//nimT//rseC//cysN//bioB//hyi//garP//inaA//
PhoB_neg	glnQ//hycD//appY//ydfE//flhC//phnE_1//tpiA//glcC//phoE//gatB//tauB//hns//
PhoB_pos	narH//hypD//glgP//argD//mpl//glnH//ribA//ydeI//paaC//yiaO//nikB//zraS//hydN//fliA//yneM//sucC//gor//dhaL//yecT//mhpC//aroH//ldtD//dsdA//dkgA//csgA//ulaA//rhaA//fliT//aroH//degP//acnB//rutE//ftsA//ykgM//oxyR//ppdA//ompN//phnN//phnL//yhjA//fadH//malY//zraS//pfkA//gntK//cysB//rseC//fliZ//yebG//trpD//acrD//rstA//hemL//
PhoP_neg	norV//pepA//dcuB//csgG//yafN//rsmH//mdtD//thiQ//ulaA//glnB//bglG//
PhoP_pos	cysK//dnaG//idnD//agaV//lrhA//fabH//alsA//mtlR//nrdB//flgA//fldB//nanS//glmU//flgJ//bglF//gor//ompF//hyfD//modB//fucK//ccmC//uidR//appC//tsr//astB//casE//fabG//isrC//dpiB//uspD//ptsH//rstA//ariR//fur//truB//idnR//fepG//ttdB//qseC//wecE//yegR//lldD//ruvA//umuC//tyrB//rutE//alkA//accA//
PrpR_neg	lldR//
PrpR_pos	nanT//uspA//glcG//acrR//
PspF_neg	dinJ//
PspF_pos	ddpF//rutR//cspE//ykgO//ydbD//nrdE//
PurR_neg	fliQ//iscS//metI//xapB//fixC//gspD//ycgR//dctR//wzc//araJ//putA//metN//gadC//umpH//polB//dsbG//norW//lysP//yibQ//rimP//mhpF//rnlB//insK//appB//dmsC//wzc//nrdH//cirA//putP//kdpA//ynbC//
PutA_neg	hyi//ddpC//
PuuR_neg	malK//folA//murD//degP//frdA//ymjD//yafP//
QseB_pos	dapD//fliJ//yeaH//cysJ//
RbsR_neg	ygiA//yaiA//hyfI//recD//cysN//rffC//gltB//asnB//
RbsR_pos	artQ//
RcdA_neg	puuP//flgK//
RcdA_pos	ybhF//lamB//yhjC//melA//cirA//ssuC//ilvC//
RclR_pos	pflB//ybfN//znuC//
RcnR_neg	nikR//mdtC//phnE_1//
RcsAB_neg	sroA//yhbS//nrfC//purA//yeaR//tehA//
RcsAB_pos	dsbG//phnE_2//ompN//dhaR//fliA//gspF//hyfA//fepC//idnD//norW//
RcsB-BglJ_pos	ugpE//ygiB//patA//ydfH//ahpF//csgG//purK//skp//ybdN//yeaR//rbsA//glcA//bglG//tyrR//sgrR//pstA//
RcsB_neg	metC//bamE//
RcsB_pos	ychF//dcuA//tam//ccmF//gspO//rpsU//xylG//ariR//hokE//metC//tcyP//fabB//tbpA//fliC//nikC//gspG//cysU//nrfA//rseA//umuC//xapB//paaJ//evgS//
RelB-RelE_neg	srlB//btuB//cysB//
RelB_neg	obgE//hdeA//artP//
RhaR_pos	rbsR//phnJ//
RhaS_pos	feoC//pgaA//caiD//tdcE//nrfD//flhA//
Rob_neg	ydhY//
Rob_pos	iscA//purM//flgG//phoR//higA//ppdC//hybC//fadJ//paaK//codA//ybaT//ftsQ//crp//creB//wecC//moaA//nanM//lpxC//envC//fecE//glgB//glpK//metB//rcnA//yiiS//
RstA_neg	phoH//ttdT//cadB//ugpE//ydiU//
RstA_pos	glgX//cdaR//hyfI//rimP//leuL//
RtcR_pos	ppdB//dcuD//
RutR_neg	murC//lhgO//oppA//nikR//rnlA//yagK//metC//yhdZ//glmU//hycD//sdhB//dinG//metB//entC//yeiB//
RutR_pos	pheS//yeaH//
SdiA_neg	ybhL//narG//fabI//
SdiA_pos	purC//rcsA//gspJ//
SgrR_neg	nac//hipA//nimT//fadA//phnO//
SgrR_pos	cueO//nac//entS//yciX//
SlyA_pos	ddpB//
SoxR_neg	glnK//
SoxR_pos	fliZ//csgG//
SoxS_neg	nrdA//mntH//
SoxS_pos	gltB//qseB//flhE//glnG//araE//exuR//torR//glnP//gyrA//ihfA//osmY//appC//efeU_2//mpl//ydhV//aroF//mepH//gabP//mqsA//glcD//uxaB//gcvH//flgD//murC//glnH//fldB//fliZ//trpA//gspF//gltB//glpB//tktB//nemR//cysD//lexA//yecR//casC//cydD//
StpA_neg	dnaG//guaA//murR//mhpB//hypF//dnaA//metI//
SutR_neg	creD//melR//modB//fabB//ndh//
SutR_pos	ecpR//
TdcA_pos	ycjG//kdpB//ydfD//sbmA//dinJ//pgaD//rbsD//
TdcR_pos	garR//mtlR//ydiV//torR//lpxD//galS//yqjA//
TorR_neg	yqaE//chbR//araC//
TorR_pos	phnH//gntK//napG//phnJ//hns//uidC//flgJ//appY//mhpD//
TreR_neg	hypB//cysI//
TrpR_neg	carB//ybaT//yiaO//tehA//gcvB//ccmA//hcaB//gatZ//yjbH//yhjC//argD//tnaC//
TyrR_neg	relB//ybhF//decR//deoB//norR//flhC//insK//kbaZ//atoA//uspD//
TyrR_pos	ynfK//sucA//araD//
UhpA_pos	ydfD//
UidR_neg	marR//ydhU//nirB//dicB//
UlaR_neg	rutC//flhA//glcG//ppsA//mglA//puuA//astC//
UvrY_pos	cysB//nadA//fixB//ptsG//manZ//
UxuR_neg	ampC//wzzE//cynX//mdtE//nuoJ//tdcF//mhpC//mdh//grxA//
XapR_pos	mtlA//araH//
XylR_neg	ydfW//
XylR_pos	glmY//glcF//osmB//fruK//efeU_1//mazG//
YdeO_neg	fdnI//nrfA//
YdeO_pos	pspF//xapB//hypE//nikD//aroF//prpE//caiD//leuD//yiaO//aslB//arsC//napC//cytR//leuA//srlR//murR//pnp//glgA//citD//
YedW_neg	fucA//fecE//citF//norW//hipA//
YedW_pos	astC//cysG//ydfH//mdtB//gfcA//pflB//nrdI//
YefM-YoeB_neg	pspA//kdpC//
YefM_neg	mhpA//ssuD//
YehT_pos	pstB//
YeiL_pos	fucP//
YiaJ_neg	entH//rcnA//motB//ecpR//ydhX//gpmM//copA//fdnI//chbB//cydC//
YjjQ_neg	sbmC//nirC//lldR//dcuB//mltF//nadA//cyoA//nanC//mngR//lacY//
YpdB_pos	dcuB//
YqhC_pos	glmY//tauC//
YqjI_neg	pitB//uvrY//
ZntR_pos	rclB//
ZraR_pos	ddpF//acnB//oppC//
Zur_neg	lacY//nuoL//ydfE//ftsZ//pstB//fumC//
