#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	wzxE//recB//
CecR_neg	fecA//ydiV//ftnA//fucO//ybfE//
ChbR_neg	dacC//ftsK//phoR//glyA//gcvA//adiC//
ChbR_pos	ygiC//nuoK//lrhA//phnG//cynS//pheM//
ComR_neg	yciG//
CpxR_neg	sucA//deoC//molR_1//fliH//metE//fliT//exbB//sgrS//yfdE//paaD//ompC//rcnA//mngR//rhaB//ssuC//hcaR//gltD//rseB//ykgM//appX//tsr//ftsL//fadD//hokE//
CpxR_pos	zraR//infB//gloA//umpH//yhbT//yebG//paaA//nagC//micF//sdhC//nuoL//gltF//garL//phoQ//argB//codA//fliR//ccmB//alkB//fiu//luxS//acnB//napH//ugpC//purM//relE//acrR//cadB//alsB//malG//crr//dinB//appA//flgA//argE//ycjF//rbsK//yoaC//carA//glcG//ulaA//ynbB//phnF//napG//rutF//ydfN//
Cra_neg	fhuC//mtlD//araH//glnQ//creC//ptsH//yidL//aroM//guaB//emrY//metA//dhaM//lpd//yfdX//arsR//uxuB//yiaK//rffM//ptrA//rstA//ymgA//srlR//cysJ//sufC//hcr//dmsA//sgrR//nirB//nfuA//adiA//argC//csrB//gadX//appC//fbaB//paaB//mazE//nikC//aroM//yjbF//yhbS//uidB//fabB//pspC//cadC//thiQ//yhdX//lsrA//rpoS//mqsA//fabI//entA//galT//ftsK//metA//nemR//ftsZ//cra//allB//
Cra_pos	yfdX//tauD//phoB//argR//fhuB//mntP//araG//gabP//mglA//putP//metE//yhbT//rclB//ddpF//murD//trpB//umuD//fabB//uvrB//leuO//icd//cusS//nanE//
CreB_neg	rtcB//iscR//ahpC//
CreB_pos	mngR//ryhB//
CsgD_neg	dsdX//napF//puuC//dmsA//argA//aspC//lon//ybjG//lacA//hycD//napA//paaH//codA//uxuR//cysA//
CsgD_pos	cytR//yefM//glk//fliE//accD//hipA//lolA//alaC//rstB//tomB//tnaB//higA//treB//
CsiR_neg	ilvY//metL//mprA//hslJ//fhuC//
CspA_pos	hypC//idnR//
CueR_neg	wecC//mpaA//slp//cysI//flhE//
CueR_pos	efeU_2//asnC//
CusR_pos	yhjC//hybC//gspD//rpiR//nrdD//ada//ydhY//agaV//rpiB//bioD//cydD//yhhY//
CynR_neg	zwf//
CynR_pos	ecnB//pgi//ulaE//
CysB_neg	hokD//rarA//flhC//napB//tfaQ//ydfD//uvrD//
CysB_pos	yhdX//nuoI//aslB//cysP//rtcB//cusF//speB//ptsI//mdtF//hycI//glcG//tsx//araB//fur//uxaA//sbcC//ddpC//flhB//glcC//patD//hyaE//yfdE//leuO//srlR//fepA//
CytR_neg	kdpB//htpG//pstS//mntH//fruB//lldR//paaG//dgcZ//sgrR//argD//hyfR//ybjC//tdcA//
Dan_pos	acrB//mdtB//mdtC//mhpB//
DcuR_pos	ppiA//tauA//fliM//lsrK//ygbK//gadA//mdtE//lysA//murF//
DeoR_neg	rplT//lrp//frc//melA//prpE//ndh//
DhaR_neg	csgG//
DhaR_pos	citE//mqsR//aroH//
DicA_neg	flgH//paaC//paaC//nuoN//yhhY//fruA//efeU_2//fecB//
DinJ-YafQ_neg	evgS//evgS//cadA//
DnaA_neg	kdpA//fucR//melR//thiP//ftsK//hipA//ydcU//ddpX//glpT//rcnA//ykgO//
DnaA_pos	sodA//ccmD//ydbD//mltF//phoQ//sufA//betA//
DpiA_neg	ygaC//
DpiA_pos	gntT//cynX//fdhF//cydD//gspL//ppdB//dmsD//ydeN//dps//purB//
DsdC_neg	cydC//
DsdC_pos	allD//obgE//
EbgR_neg	hyfJ//frc//
EnvR_neg	tdcG//aidB//
EnvY_pos	tfaQ//rtcA//
EvgA_pos	ycjG//pck//znuB//malZ//fepG//gatB//mtlR//iscS//flhB//leuL//bdm//nanC//chbA//pspE//ppsA//safA//mhpF//pspA//ygeA//
ExuR_neg	dcuB//narJ//sra//wzzE//ssuB//aceA//ihfA//gspM//mgtL//
FabR_neg	cas2//ccmH//
FadR_neg	lysR//malF//kdpC//crp//yegZ//cspD//phnE_1//purM//nuoJ//chbR//emrK//
FadR_pos	glnP//lhgO//fepD//ulaD//idnR//rutD//ssuA//leuA//lsrK//ydcV//rbsA//nrfC//
FeaR_pos	fabH//mqsA//
FhlA_pos	cysE//fucK//pheM//dsbC//metE//uvrB//flgC//yfiR//mepH//rstB//araJ//glpC//agaW//feoB//torC//gspL//putP//cas2//ycjG//yrbL//nuoB//deoA//rhaB//artI//lrhA//kdpF//pgm//glnG//fabZ//cheW//
FlhDC_neg	glnH//metE//metE//artJ//
FlhDC_pos	hcaC//symE//ccmH//phnC//iscA//purD//glpT//trpC//purM//ycjY//frc//sgbH//adiC//iscA//osmB//rtcB//astB//puuB//hyi//yjbH//malT//tdcA//dkgB//fau//lpxD//cpxR//pspC//hns//metF//caiE//asnB//metC//hybO//cpxR//glpC//rfe//gntX//mcbA//ddpA//mglC//gspE//lacA//yhbE//napF//dnaG//wzc//ptsG//pspB//nlpA//pheS//yccT//frdA//cra//fdnH//bioF//spy//kdpA//wcaA//efeU_2//yhbE//malQ//pqiB//lysR//mdtF//cysD//acnB//ydhW//xylH//entH//hyaD//fliE//paaB//fliO//agaR//citC//mhpT//alsC//narX//
FliZ_neg	acnA//dsdC//dinQ//yjbE//norR//mcbA//norW//lpxC//gltD//dnaA//purD//phnO//tauA//rclC//yfdE//ugpA//patD//idnK//yjjZ//tauA//yjhC//
FucR_pos	glgX//gcvP//malX//csrC//waaZ//lsrD//pitB//
Fur_neg	lsrG//araH//yciW//ycgZ//ssb//astE//lpxA//nuoN//hcaF//sgrS//astB//nanK//mgtL//bioB//dicC//cbl//gpmM//purH//serA//cysI//dpiA//ycgZ//zntA//lsrB//sbmA//metA//murG//emrK//symE//cysM//rimP//dkgB//betB//grxD//sdhC//dpiB//gpmM//betT//yeaD//rutD//garR//gatA//fliR//hisJ//yfdE//caiE//ppiA//cysH//hyfE//recX//prpC//mdtF//mqsR//ebgC//hypE//fliC//hypF//yhdY//fepB//ydhW//ugpC//lpd//rutF//yeaR//psiE//ssrS//pdhR//ydhT//feaR//mnmG//caiA//nfo//uidC//gudP//agaS//rpmA//lyxK//sroA//paaD//uvrD//nirB//fhuE//idnR//bioA//cpxP//fabZ//bioF//murE//bioF//rcnB//ddpA//dmsD//yjbE//zwf//hyfI//ttdT//phnM//acrD//nrdF//hflD//nrfE//fixA//entF//yebE//fdnH//nanS//aceE//lysC//ftsK//cyoA//ecpA//phoE//sbcD//paaX//paaC//
Fur_pos	ecnB//ccmB//glyA//dsbC//lolA//iraP//pspF//nuoI//nfsA//pqiB//hyfD//fepB//cysW//envC//hyaE//ydeI//mazE//hcaR//rarA//appC//nuoC//
GadE-RcsB_pos	narH//dsbC//folA//trpC//dinG//bluF//purL//flgI//gcvP//
GadE_pos	ubiX//tyrA//pheT//ygeA//rprA//ygiC//malM//ygiC//ynjI//yiiS//pncB//trpB//aceF//znuC//tdcG//trpL//ndh//phoU//sfsB//argB//ulaB//moaA//asnB//bioC//manX//ssrS//glxK//mgtL//pdhR//
GadW_neg	galS//chiP//cysA//zinT//pheS//amtB//tnaC//ubiX//tbpA//hokD//chiP//
GadW_pos	hisJ//rclC//tnaA//cysU//crr//ompF//bolA//nanT//agaB//araE//lacY//
GadX_neg	gltL//micF//wzc//fecA//norV//gloA//
GadX_pos	tsr//frdB//fliR//nikR//ruvB//puuP//fabH//lhgO//casA//nanE//allD//atoD//tehA//pspE//ulaD//ydiU//glpD//gltF//fecB//ydhY//gcvA//fliT//fbaA//metI//grcA//yaiA//hyfG//
GalR_neg	xylB//ygdB//fabA//deoB//sbcC//ftsK//ssrS//fadJ//yjbH//ccmD//
GalR_pos	fadE//nirD//yegR//ssuD//
GalS_neg	yaiW//mdtB//lsrD//cytR//sucC//fliJ//citF//pheM//pgi//mcbA//
GalS_pos	idnT//hemL//sucD//ybfE//
GatR_neg	ddpC//ugpE//nuoM//fhuC//gor//ybiT//
GcvA_neg	hycA//fliQ//motA//gspD//
GcvA_pos	fiu//ymgA//ppiA//recA//
GlcC_neg	fabB//
GlcC_pos	dnaN//ccmE//marB//mntH//malX//pspA//
GlpR_neg	bluF//metR//fhlA//fdhF//yeaH//fruK//puuA//glgC//pdeR//
GlrR_pos	fixB//wecB//hycC//dsbA//obgE//
GntR_neg	gspF//tdcA//glpA//bdm//moaD//yafN//glnD//yhdY//ldtB//gltL//ydhU//ung//
GutM_pos	pgaB//xylH//csgA//ddpA//fliF//sbmC//narJ//
GutR_neg	ydbK//ssuC//ulaG//dctA//cvpA//csgG//puuP//
HU_neg	rhaT//ada//ynfH//hypD//crl//dinI//gadE//fldB//
HU_pos	murR//
HcaR_neg	rbsB//
HcaR_pos	cydB//xylA//ybdN//mntP//ttdR//
HdfR_neg	pheT//norW//
HdfR_pos	fepB//fliR//ascF//
HigA_neg	mpl//flgD//
HigB-HigA_neg	fliM//modB//
HipAB_neg	nrfC//sdhB//astA//srlD//fruA//
HipB_neg	sufB//galP//fadD//dmsA//ybfN//fhuF//
HyfR_pos	copA//nuoM//pncB//ccmF//xylG//pheS//glpD//ttdA//lldR//ftnA//cheW//ubiA//
HypT_neg	phnH//appB//ygaC//srlR//ykgM//
HypT_pos	pheS//cpxQ//glnA//oppF//yhcH//uidR//recN//speA//
IclR_neg	ubiA//yhiM//yoaC//paaB//
IdnR_neg	phoH//rutB//
IdnR_pos	fliO//omrB//yhiD//leuL//cysI//
IlvY_neg	lrhA//
IlvY_pos	araJ//
IscR_neg	betA//manY//atoE//pfkA//hycC//rcnB//ssuC//phnE_2//puuC//bioD//srlA//cusB//waaY//entD//astE//mngR//exbD//narH//ygiZ//sroA//hokE//
IscR_pos	narL//hycF//glnH//narX//chbR//rnpB//bdcA//udp//dmsC//yjiY//cydB//
KdgR_neg	metY//tomB//
KdpE_pos	caiA//murP//ascB//tdcG//
LacI_neg	glyA//lrp//trpB//
LeuO_neg	malM//murF//ykgM//
LeuO_pos	nrdE//molR_1//ampC//lsrC//cydC//potG//fldA//astB//mdtE//puuC//ugpB//nrfC//polB//manZ//gadB//mipA//srlA//rplT//
LexA_neg	yiaN//lsrC//appB//purR//rpoD//znuC//dnaG//phnK//sgrS//sucB//rpsO//cusR//uxaC//ydbD//sbcD//chbA//ccmG//phnI//allC//wcaB//mazF//rutA//uxaC//ubiX//gatA//pgaD//fliL//paaI//nfsB//ynfK//betI//nagA//tomB//uxaC//pqiA//phnJ//metE//pdeH//tadA//dacC//insD//casC//umuD//gadB//yegH//tyrB//rutG//fucI//accD//atoA//nrdB//hipB//dkgA//carB//yfdX//amtB//uxaA//nac//guaB//
LldR_neg	nrfG//cysD//ssb//
LldR_pos	sufS//napC//galK//
LrhA_neg	mgtL//cysK//
LrhA_pos	fixB//dsdC//
LsrR_neg	rpsU//metQ//purF//asr//fadJ//appB//feaR//yedX//entC//
LysR_neg	flgL//
LysR_pos	rplU//
MalI_neg	stpA//lhgO//cbl//
MalT_pos	yjeV//xylA//napD//fecE//bhsA//ompF//agaD//glnB//ftsK//ybjG//
MarA_neg	ybiT//yeiB//torA//ssb//cysH//yiaN//appY//
MarA_pos	ynbB//flgM//yhjC//yidL//lpxD//nmpC//rob//sufD//malX//fliD//metL//fabD//fes//araG//glnQ//paaC//bglG//yoeB//phoA//pck//alaS//qseC//ymjC//ppiA//umuD//ftnB//exuR//yhjC//flhA//fadD//poxB//
MarR_neg	argT//cdd//nuoE//
MatA_neg	gspC//yiaO//cynR//fepE//hyfI//fiu//
MatA_pos	napD//oppD//
MazE-MazF_neg	yncE//ibaG//ycgZ//
MazE_neg	ftsI//bhsA//gadY//
McbR_neg	yciG//
McbR_pos	uvrD//entF//hisP//
MelR_neg	dsbG//hyfH//lysP//
MelR_pos	fadB//hns//caiT//
MetJ_neg	phnE_1//chbC//flhE//glmY//hyfI//phnK//dpiA//glgX//casA//csgC//nrdA//ogt//safA//artP//narX//
MetR_neg	omrA//cyaR//
MetR_pos	uspA//focA//purA//infB//
MhpR_pos	rutE//nanM//ydfH//entH//flgF//mlrA//
Mlc_neg	argF//ygiZ//marA//phoQ//fepE//napG//caiB//alsA//dgcZ//uidA//
MlrA_pos	fliN//intQ//hypC//truB//motB//tdcF//sbmA//yeaG//glnK//mngA//
MngR_neg	cspD//malZ//fadR//
MntR_neg	potG//ybdZ//rcnR//lysR//
MntR_pos	rpoH//
ModE_neg	nanK//pdeL//rutB//hybO//qseB//rutA//araB//yfdX//metL//nuoE//ddpF//gspJ//fecI//rnlA//stpA//
ModE_pos	exuT//hycB//znuB//tehB//dsbC//arsB//codB//nuoJ//dcuB//hybC//purR//hycF//pstC//ydcV//caiC//gspC//ftsI//gcl//sroD//flgN//uof//phnJ//fliL//htpG//phoP//hdeB//pgm//hypB//pgaC//cysA//yidL//
MprA_neg	dsrA//napA//gspM//malI//metQ//hyaD//
MqsA_neg	napF//ynfH//mgtA//gadW//paaX//ogt//aroM//torC//
MraZ_neg	ttdB//hycE//agaI//rpiR//csiD//dmsA//yhbE//hcaF//ygdB//ulaE//gspF//rcnR//motA//leuB//norW//micF//galT//
MtlR_neg	mscM//rffT//moaE//
MurR_neg	aroL//ydcT//udp//
MurR_pos	accC//
Nac_neg	fepD//argG//nuoB//yhbT//betI//agaA//ynfF//srlB//mazF//
Nac_pos	tsr//truB//gspI//fhlA//speB//uxuB//cysH//fliZ//garL//rcnR//modB//gfcA//
NadR_neg	srlR//rhaT//asnC//yiaO//
NagC_neg	rffT//glnQ//asnA//gatZ//nfuA//uidA//ycjX//ygdB//nupC//ompW//nagB//luxS//hyi//fimB//hlyE//mhpB//hyfJ//frdD//fhlA//fucA//dmsC//fabZ//cyoC//hns//pflB//glgA//gltF//pspE//fadR//nrdE//flgE//fepB//lysP//
NagC_pos	aspA//recD//nrfG//
NanR_neg	znuB//pflB//norV//tsr//sgbU//hcaD//hycH//yeaE//metL//paaD//
NanR_pos	fliL//
NarL_neg	leuC//marB//rutA//fabZ//tnaA//ftnA//bioA//ruvA//argP//frdB//glxR//rstB//phnL//phoP//nagA//ihfA//fadE//uxuA//dicC//nuoE//dpiA//tehA//nrdD//sucA//sucC//lldD//wzxE//ccmG//alkA//hyfB//glpA//gltJ//lexA//recD//ttdR//phnM//fecI//aroP//treC//gcvH//cyoE//cysD//sdhB//malT//phoE//creB//exuT//ynjI//norV//allE//phoH//dnaN//gcvP//yoaG//iraP//pflB//bolA//moaB//wrbA//glpA//katE//purK//cheW//purM//cheA//nuoB//fpr//cusA//infC//yjbF//hyfC//glxK//gutQ//ssuE//leuB//uhpT//hcaF//sbcC//cysH//lysP//xylR//yebG//tauD//phnH//uspD//sfsB//moeA//
NarL_pos	cas1//metH//sgrS//cpxQ//yeaH//nanS//glk//nupC//xylF//mgrR//paaB//rpmI//dinI//rbsB//yfbR//xylF//ppdC//intQ//artM//ytfE//bhsA//torR//hyfD//fliP//alaC//atoE//fepC//lsrG//mdtD//ung//srlD//hypC//rdoA//chbA//dps//tyrP//hybF//bluF//dgcZ//dgcZ//csgC//ugpA//melR//
NarP_neg	purN//pdeR//btuB//lacY//hokD//pepD//fliO//nagE//yhdZ//argP//glcB//ppdC//fliC//folE//sroD//hdeD//murP//cas1//flgF//gcl//dmsD//speB//rpsO//mglA//nagE//chbA//ubiC//atoD//yjjQ//dmsB//yidL//tpiA//fucK//
NarP_pos	lsrD//malI//rseA//ymjC//ydhX//ttdT//gloA//oppF//hypA//cysK//yeaR//nfsB//ygiA//fruB//gspI//pgi//bioD//pheS//nhaR//bolA//gadF//murF//hycA//oxc//tcyP//fabZ//hypC//fldA//phnK//potI//citE//bioF//
NemR_neg	argE//aceE//degP//
NhaR_pos	mhpC//ulaC//cydC//argP//artP//ybjG//rcnR//
NikR_neg	ytfE//glgB//tdcE//rffM//flgB//nuoN//
NimR_neg	bioD//cysI//
NorR_neg	fadJ//
NorR_pos	rclB//hycF//
NrdR_neg	gcvH//yhbS//yccJ//ymgC//hybD//allE//rbsA//ygiZ//betA//
NsrR_neg	cyoE//fucP//argG//evgS//gutQ//fliF//csgF//dgcZ//lysO//mzrA//paaI//yjbH//tdcF//malK//cysE//ydhW//hisM//talA//csgC//garP//yfaE//fau//xylR//symE//rpoD//narK//agaC//dmsD//nikD//fucA//edd//pqiA//metQ//agaI//yfiR//phnJ//caiC//chbF//nagA//uspA//yfaE//allC//mngR//artQ//zwf//yhiD//ybjG//hyfJ//nrdD//recD//alkB//ssb//aroF//alsC//lexA//pgm//oxyS//fabB//phr//ytfE//moeB//hyfF//pgaD//ybbW//ydhT//uidA//ddpA//ptsH//borD//sufE//yefM//glpA//gcvB//dsdX//moaD//malX//hyaB//ybaT//fhuF//feoA//gutM//kbaZ//bdm//
NtrC_neg	cynS//hcaD//potI//hyaE//nemR//gatC//
NtrC_pos	iscA//fabD//rhaR//nanM//glgC//mnmG//rbsD//nuoG//ycjF//sgrT//ydbD//iclR//hslJ//yhbE//mpl//rutF//ryhB//casC//nanC//allD//tktB//entB//ybfN//aceE//feaR//adhE//nrdF//hcaB//glgC//ruvB//dhaR//araF//hdeD//gspO//treC//fliC//uvrY//flgB//casC//argP//xapB//flgN//argI//tdcC//ppdB//bdm//ydfX//cadC//yhjA//
OmpR_neg	pheS//mazG//rnpB//malX//pspA//dpiB//stpA//yhbT//glcC//ftsL//emrA//flhD//
OmpR_pos	focA//phnI//fimB//mcbA//tonB//yecR//ynbC//dinJ//fucP//nrdB//
OxyR_neg	bdcA//cpxA//ygeH//fhuC//nuoI//malI//yegH//nadB//sgrS//araD//yjhC//cheA//
OxyR_pos	mglB//dsbG//rffG//yhbT//creA//mdtD//caiA//ppsA//hcaR//mlc//lldP//yqhG//nfsA//narK//yhbT//phnL//yafP//cbl//psiE//ydeO//yjeV//pagP//
PaaX_neg	tcyJ//appY//hypB//hslJ//spy//zinT//lexA//gpmA//nadB//pepA//rpmI//mntP//rpsO//pck//
PdeL_pos	sgbU//
PdhR_neg	hdeA//xapB//marR//fliZ//argT//kdpC//ihfA//gcvA//infC//tktB//ldtB//phoE//sroA//iscA//fucK//rimP//sdhC//yncE//uof//norW//manY//fliL//gcvT//yafO//argA//yegH//narL//yoaC//bioB//cysH//rutA//infC//tnaB//yqjI//qseB//sbcC//
PdhR_pos	paaA//tauB//cadA//recC//hemH//
PepA_neg	pdeR//argO//hcaD//
PgrR_neg	rbfA//ttdA//yhiD//dmsA//artP//cueO//rhaT//creC//
PhoB_neg	yrbL//oxc//glpT//malK//yiaO//ftsQ//ugpC//crp//cysI//argO//rpoD//nuoK//
PhoB_pos	nusA//murG//focB//appA//flgN//yciF//yiaO//glnK//mntH//manX//narH//ugpC//gatD//fadI//entS//dsbA//mioC//ccmG//flgM//flhB//yiaL//agaB//glnQ//yeaD//dctA//mtlD//dmsB//ynfK//ybiT//melB//araH//sucC//prs//trpD//idnR//sgrT//betT//hydN//add//potI//bdm//malP//hslJ//luxS//fliJ//yhiD//fepE//yhbT//glnL//feoB//tynA//metF//phnF//
PhoP_neg	asr//paaY//pdeH//glxR//hisJ//fliS//yoaC//hycA//ygiB//sgrR//ybdN//
PhoP_pos	ssb//treC//nrdG//galS//narL//uvrC//mhpD//glnH//yciF//nohA//cyoA//fliM//flgB//ppc//mhpT//purL//entC//gadX//ydfE//polB//mgrR//osmC//artP//gatB//nrdI//ebgA//ndh//cpxA//ycjG//fadH//ompW//yfdV//ydjM//ulaD//hyaC//modA//fpr//phnE_2//trxC//zraP//intQ//alsC//nikE//lyxK//mipA//hypC//nuoB//qseB//
PrpR_neg	cueO//
PrpR_pos	gadC//malT//gspO//omrA//
PspF_neg	ompW//
PspF_pos	frc//tisB//modA//tehA//rutD//metH//
PurR_neg	hisQ//entF//pspD//paaZ//rutA//tdcF//ftsZ//gatZ//aceE//mdtA//glcG//napD//psiF//yhbT//borD//cadA//mgtL//rclC//purR//tsr//hcaE//puuA//ccmC//lysR//serA//dmsC//acrZ//entC//cyoC//bioC//idnR//
PutA_neg	pfkA//cusA//
PuuR_neg	glpT//purD//iclR//treR//glnK//prpE//napF//
QseB_pos	ldtB//ssuE//appB//mdtF//
RbsR_neg	phoE//rplU//purL//deoD//nrfF//aceB//yfiR//ydfD//
RbsR_pos	ybbW//
RcdA_neg	pspG//ftnB//
RcdA_pos	ymjC//glcF//qseC//dnaN//rstA//bglG//ilvY//
RclR_pos	waaY//ydeI//agaW//
RcnR_neg	fixB//modA//argE//
RcsAB_neg	caiF//pqiB//phnI//slyB//ybjC//nuoI//
RcsAB_pos	gadX//umpH//hcaF//cyoD//yqhD//sufB//fliP//nusA//leuO//lyxK//
RcsB-BglJ_pos	agaB//tyrR//yeaG//nimT//rtcA//phnE_2//ttdB//rnpB//uof//soxR//xylR//mdtE//flgK//pgaB//prpE//gudP//
RcsB_neg	dctA//rhaS//
RcsB_pos	hdeD//nagA//ibaG//csgF//wcaB//ccmF//caiT//seqA//bioD//acrR//ybhF//paaG//fadJ//tauC//sfsB//rpoD//hflD//rstB//rbsC//rclA//waaZ//yiaM//ymjD//
RelB-RelE_neg	psiF//purF//ada//
RelB_neg	psd//citG//arsB//
RhaR_pos	lrp//malE//
RhaS_pos	modB//cdd//hydN//ydcT//rffH//accB//
Rob_neg	astB//
Rob_pos	waaY//nanM//relA//folE//citF//pitB//rutG//glnD//cyoE//ynbD//csgF//moeA//fldB//nuoK//ygeH//fliF//cyoC//yeiB//cysU//betI//yebE//fliQ//torA//argG//pstS//
RstA_neg	mgrB//baeR//fliT//tsx//araG//
RstA_pos	aidB//metI//ldtB//umpH//uvrD//
RtcR_pos	emrY//patD//
RutR_neg	patA//rstA//fumB//gadB//gutM//feaR//nupC//ydiU//tisB//uvrY//phoQ//caiT//narJ//prpD//fliA//
RutR_pos	nrdE//sroC//
SdiA_neg	fabD//ptsG//narK//
SdiA_pos	glxK//trpB//cyoD//
SgrR_neg	deoD//hokE//phnN//mgtL//dicC//
SgrR_pos	carA//sgrR//artI//ccmE//
SlyA_pos	puuA//
SoxR_neg	ompN//
SoxR_pos	ybhR//sra//
SoxS_neg	fixA//cbl//
SoxS_pos	wzxE//eno//yibQ//dsbA//dhaK//gntX//dps//ybhL//tsx//folA//agaR//phnE_2//hlyE//efeU_1//malG//gatZ//tyrR//cynS//fhuF//btuB//waaZ//napF//rseC//ubiC//fimE//nikE//ruvB//yciG//nrdA//yedX//malK//ybjC//gatC//glgB//tfaQ//ydhV//insK//rybB//
StpA_neg	lsrK//nohA//hmp//gadW//citE//dhaM//kdpA//
SutR_neg	cas1//ccmE//ydeI//gspM//glnG//
SutR_pos	iscA//
TdcA_pos	leuL//marA//ybhR//yfdE//nikB//bolA//yjhB//
TdcR_pos	nikB//nupC//gadF//rseC//hcaC//metN//sbcC//
TorR_neg	argH//lpxD//potI//
TorR_pos	rbsA//flgM//bglG//gspI//cra//gspG//ppsA//phoU//yiaO//
TreR_neg	tyrA//csgG//
TrpR_neg	glcF//yhdX//sroC//dgcZ//rtcB//lpd//zraR//dctA//csgE//flgN//tktB//spy//
TyrR_neg	malP//pepD//leuC//fbaA//relA//ydcV//marB//sroC//nrfD//fadL//
TyrR_pos	ydbK//hypD//paaY//
UhpA_pos	dinB//
UidR_neg	srlE//nuoA//ydhW//ccmH//
UlaR_neg	srlD//ubiC//artM//ascB//ppiA//grxA//yecR//
UvrY_pos	kdpC//ascB//ycjY//dinG//cyoB//
UxuR_neg	yhjX//cyoD//pfkA//exuR//trpR//garL//hdeA//manX//murI//
XapR_pos	cueO//cynX//
XylR_neg	ompN//
XylR_pos	hypD//dinD//prpD//cas2//asnC//oppB//
YdeO_neg	nirD//paaC//
YdeO_pos	ddpD//mhpT//flgN//sbcD//cirA//fhuA//cvpA//hyfI//yoeB//rclC//higB//efeU_2//ydhY//napH//yrbL//dsdX//gntP//znuA//wecE//
YedW_neg	focA//rhaR//ybaS//moaA//ybdZ//
YedW_pos	araE//mhpA//cysC//ftnA//murR//modC//bglF//
YefM-YoeB_neg	gltB//nrfD//
YefM_neg	frdD//melA//
YehT_pos	rutC//
YeiL_pos	uspA//
YiaJ_neg	yhdX//purF//citE//acnB//baeS//sdhD//uof//cadB//betT//cysW//
YjjQ_neg	lsrK//flgJ//ugpQ//pyrD//ynbA//ppdC//lsrA//citX//galE//tbpA//
YpdB_pos	ppdB//
YqhC_pos	artQ//codB//
YqjI_neg	yeiB//hypD//
ZntR_pos	mgrR//
ZraR_pos	dcuD//rbsR//ppdB//
Zur_neg	uvrB//lsrC//trpE//acnA//nanM//dkgB//
