#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	uidR//arsR//
CpxR_pos	mdtB//ybdZ//gdhA//yhjA//udp//murD//tauD//pstA//sbmC//paaA//modB//mhpE//spy//tdcF//dsdX//dinQ//zraP//hydN//sdhC//ddpB//pflB//puuP//wza//aroG//manZ//fabG//prpB//ilvY//ruvA//nikB//ecnB//cspI//pstS//ampC//glgX//alsE//rcsA//crp//cra//wcaB//fepE//ydiU//tolC//puuA//uxaA//yncE//
Cra_neg	rpoS//qseC//emrY//wzyE//dicB//dcuR//gspH//cyoC//puuB//mazF//acrB//dmsB//ybhL//mhpD//tpiA//fabI//astE//yhiM//malE//fadA//gcvH//serA//aidB//flgM//cspI//gabP//adhE//pepA//pgm//flhE//mhpF//manZ//pdeL//nuoN//wzb//citD//ihfA//sufE//icd//thiQ//yecT//dkgB//yhhY//ppdA//lpxC//rbsD//citC//feoC//fepB//melB//dnaA//aceB//mhpA//pheS//napB//pyrD//ubiC//sra//ftsQ//
Cra_pos	garD//ccmF//flgA//cdaR//fhlA//nrfA//omrB//rutA//gntK//malY//puuE//casE//dhaR//acrZ//wzzE//acnA//ddpX//fliO//phoQ//stpA//fixA//ygbK//tnaA//
CreB_neg	dgcC//ymgC//tfaQ//
CreB_pos	pepD//cysH//
CsgD_neg	agaS//nac//rybB//nupC//phoA//deoD//hyaD//fabD//uidB//artJ//add//kdpF//udp//sufA//mnmG//
CsgD_pos	dinQ//aslB//xylR//leuL//rutC//uvrY//aroG//betT//cynS//ccmG//slyB//paaY//yjjQ//
CsiR_neg	pck//spy//tyrR//mraY//ada//
CspA_pos	nrfE//purM//
CueR_neg	norR//hypB//bacA//gudX//melR//
CueR_pos	hycF//mhpE//
CusR_pos	osmC//cdaR//fepB//murE//phoR//sgrT//ptrA//mtr//lolA//dsdC//tdcD//ppiA//
CynR_neg	uxaB//
CynR_pos	chiP//gcl//decR//
CysB_neg	ycjY//metQ//patA//glcG//casC//betI//ompW//
CysB_pos	xylA//fabI//yiiS//sodA//dpiB//betI//ytfE//lacZ//dsdC//rffH//adiA//nupG//tynA//epd//dicC//garP//potF//recD//ydhU//yebE//galT//psiE//ymiA//fliM//ddpX//
CytR_neg	gspC//mdtC//feaR//dnaA//hycD//cusR//citD//focB//phnE_2//arsC//cusS//argP//tehB//
Dan_pos	adhE//ydcT//aceF//ccmD//
DcuR_pos	narJ//flgI//fimE//glpQ//cysP//tsx//pstS//galR//mlc//
DeoR_neg	pspA//flgC//uvrC//cysI//caiE//argF//
DhaR_neg	ftsW//
DhaR_pos	phnG//tsr//lacA//
DicA_neg	ydhU//ompF//fbaB//rnlB//ydfW//rstA//phnP//hypB//
DinJ-YafQ_neg	nrfD//nadB//flgE//
DnaA_neg	uidR//exuR//nac//hybO//uspD//napF//gatY//ttdB//hypC//ldtD//recN//
DnaA_pos	nhaA//cysW//glnD//ygaC//sroA//pgpC//yjhC//
DpiA_neg	cysI//
DpiA_pos	uspD//dpiA//pgaB//hycG//ygeH//infB//acrZ//paaK//hypE//fadE//
DsdC_neg	hydN//
DsdC_pos	waaY//rhaA//
EbgR_neg	gutM//flgI//
EnvR_neg	purH//yjeV//
EnvY_pos	phoE//rffT//
EvgA_pos	rseC//agaB//znuB//ulaE//wcaA//uxaB//patD//sucD//yegH//fucU//araJ//yoaG//yqhD//lsrC//paaA//nikC//gpmA//higA//pspG//
ExuR_neg	tadA//symE//hemH//ugpC//dsdA//yjbF//cspE//yciE//melR//
FabR_neg	hybB//ydhU//
FadR_neg	cpxP//phoU//inaA//isrC//dmsA//hybG//hslJ//gatC//fhuC//accC//hybC//
FadR_pos	manZ//yafQ//manY//ulaA//accD//torD//pgpC//purR//carB//phnH//oxyR//leuL//
FeaR_pos	ahpF//dcuS//
FhlA_pos	deoD//phnI//argO//bioF//mntS//pepA//ydeO//fliL//hypC//marA//chiP//chbR//creC//purD//znuB//malP//pyrC//dsrA//yrbL//glnL//gudX//ynbA//mdtC//tnaC//ynfK//nuoC//dsbG//ariR//ecpA//hyfI//
FlhDC_neg	yccJ//guaB//fliR//fepC//
FlhDC_pos	sgbE//nuoB//flgN//mhpT//hydN//feoB//mgrR//ddpF//fruB//acrB//cysB//yqjI//erpA//rcnR//pdeR//yjbF//gpmA//gspM//ecnB//setA//gspJ//betB//araB//gntT//patA//nhaR//gatB//sgbU//hyaA//mhpE//mhpF//pgaD//ssuD//treR//fadL//lysC//fucP//metQ//potG//cynT//araF//yhbE//ybjN//ftsQ//gadX//dsdX//gyrA//nikB//yqaE//cusR//glnP//murI//bioF//frdA//hycH//yhhY//yhbS//fhuD//kbaZ//oppA//xapB//serA//agaA//gcvH//bdm//fecC//ybaT//hypD//murR//ulaB//ccmD//paaJ//wzzE//ulaF//rffG//hycG//mioC//mioC//
FliZ_neg	acnA//fdnI//hcaF//ftsQ//fixC//araG//ptsI//potF//kdpC//ftnB//fabH//rbfA//creD//metY//uvrC//nuoJ//paaK//nuoE//yjiY//nrdF//borD//
FucR_pos	glxK//wza//ribA//oppF//gntU//mlc//lpd//
Fur_neg	dctR//hokE//focB//yhbT//dgcN//leuO//rutA//fecC//hdeB//araC//nanM//ppdC//mdh//araE//creC//entF//idnD//narJ//cheA//ygiB//flgN//feaB//fecC//hokD//nuoL//cusR//glnQ//mraY//nlpA//argP//ccmH//gltB//ynbB//narK//csgF//tauB//caiT//fadR//dhaL//dhaK//degP//cysM//cusS//araC//nrfG//glcE//cyoE//speA//yqaE//bhsA//srlR//ecpA//adiC//yedX//hcp//rseB//hcaC//argD//uxaC//hypF//treC//mgtL//dctR//yqjH//pheT//agaI//modB//skp//pgi//xylR//uvrB//pspE//fabI//recD//hybB//bamE//agaD//alsC//flgI//moaE//tfaQ//pyrD//trpL//uxuB//gltK//rffH//ydhX//rpsO//fadE//fliZ//pqiB//fau//gudP//argT//potF//mntH//phnK//ydeP//ebgA//tyrP//uvrY//gabP//cynX//srlD//paaA//napH//metA//ybaS//trpA//alkB//prpD//hcp//gspD//caiB//nimR//
Fur_pos	cecR//fhuD//rstA//pgi//gspI//glmU//malI//nrfA//fabH//rhaD//ydcV//modA//ruvA//ftsI//fdnG//ynfE//yegZ//ybhS//fixC//malZ//xylA//
GadE-RcsB_pos	sufB//mtlA//cysI//dmsD//nrfD//mglB//malZ//cusF//phnO//
GadE_pos	gadE//mioC//sodA//narX//glcE//phnF//nemR//wecC//nrdE//mgrR//gspM//hyaD//cysU//glmS//modC//uvrC//phnL//dgcN//artI//xapA//fixB//nlpA//ddpF//sroA//rimK//ldtC//nirC//yqjI//lolA//
GadW_neg	ddlB//glnG//glgA//dinB//xapA//flgG//caiC//ssuB//arsB//puuC//purD//
GadW_pos	hycE//argF//pepA//pstS//ldtB//fdhF//hcaF//yciE//gcvA//dmsB//hmp//
GadX_neg	dgkA//mdtD//speB//amn//pspA//wecB//
GadX_pos	rsmH//ung//psd//pdeR//pspB//napG//aspA//mipA//ybjG//ilvC//prpC//agaV//accC//uvrY//gloA//lexA//erpA//appA//fixA//cysI//phoH//zraR//deoA//manZ//nirC//fruK//yhjX//
GalR_neg	flgN//hyfF//phoU//chbF//folE//slyB//srlR//trpA//moaE//tehA//
GalR_pos	ompC//yjiY//ykiA//cadB//
GalS_neg	tsx//malI//gcvA//allA//nuoF//lhgO//ybdZ//ulaA//cvpA//tomB//
GalS_pos	iscA//tyrR//gatD//iscU//
GatR_neg	cyoD//mpaA//carB//napD//rimK//xylF//
GcvA_neg	tfaQ//hycG//nimT//glmU//
GcvA_pos	cheW//yrbL//hybA//wza//
GlcC_neg	sucB//
GlcC_pos	wzb//garL//iraP//rpoS//hycH//yidQ//
GlpR_neg	potF//ynfE//nikA//rbsB//fadM//fucP//araE//tktB//metN//
GlrR_pos	dmsC//dnaG//rbsA//hyfA//galE//
GntR_neg	creD//slyB//pagP//mqsA//cyoB//yafP//dmsD//fucK//acrD//nusA//dhaK//hcaF//
GutM_pos	gcvP//yjhC//gspH//luxS//uidC//pitB//murG//
GutR_neg	garL//hokD//baeS//agaS//fucR//glmS//glpA//
HU_neg	ygdB//dmsA//ribA//cysB//fucO//mngB//fliR//fadE//
HU_pos	rcnB//
HcaR_neg	fecC//
HcaR_pos	uxaC//glpF//dpiB//ecpR//yfdV//
HdfR_neg	ugpE//flgD//
HdfR_pos	ebgC//galE//ugpE//
HigA_neg	ulaE//dpiB//
HigB-HigA_neg	manZ//csgA//
HipAB_neg	yeaD//kdpA//ymjD//lamB//cvpA//
HipB_neg	araE//dmsD//hisQ//gltI//aroF//moaC//
HyfR_pos	entS//moaC//sbmC//alsC//puuC//yeiL//rplU//focA//srlR//tomB//puuE//hemH//
HypT_neg	tnaC//narG//nadA//baeS//ptrA//
HypT_pos	mcbA//alsA//glpT//gor//trpR//hycE//dhaR//rbsK//
IclR_neg	galT//fecC//exuR//leuD//
IdnR_neg	fadB//nagA//
IdnR_pos	hcaC//murR//ynfF//pspB//bioF//
IlvY_neg	glmS//
IlvY_pos	aldA//
IscR_neg	paaD//nuoN//micF//rplU//dcuS//yhjA//citG//melR//hyfE//aldA//cbl//lpxC//lyxK//fdnG//xylR//rdoA//accA//glnD//glnH//glnH//gadA//
IscR_pos	fliO//agaV//nadB//ydfH//sucC//dicC//kdpA//rpsU//ykgM//rybA//mqsR//
KdgR_neg	glgB//ubiA//
KdpE_pos	yoeB//malF//deoA//lysP//
LacI_neg	codA//puuR//katG//
LeuO_neg	sufS//ygbK//fliD//
LeuO_pos	fnr//cysK//uspA//putA//folA//pnuC//insK//ydeN//cpxA//pspD//uidR//hybG//ttdB//cadB//molR_1//yqaE//ynfE//gspM//
LexA_neg	citD//gspC//puuC//bglB//srlA//lldR//ydfW//ygeH//dcuR//fecI//nirB//hypE//zraR//ppsA//gadE//yibQ//ygiC//lhgO//pepA//ulaG//xylH//btuB//ynbC//sgrS//fau//gadC//ldtD//yccJ//omrA//ybaS//trxC//edd//yfiR//isrC//casE//phnM//cysM//fdhF//glpF//sroC//ddpD//ydeI//exbD//kbaZ//wcaA//puuP//sucB//hdeD//codA//pspD//bioD//cspI//entS//betB//nagC//ydeI//hydN//allB//ydhT//
LldR_neg	yfdV//narH//omrA//
LldR_pos	ynjI//lon//rutB//
LrhA_neg	caiE//cas2//
LrhA_pos	ascF//rffG//
LsrR_neg	flgL//hyfG//oppD//cysA//caiB//hypF//paaZ//accD//hybG//
LysR_neg	yqjH//
LysR_pos	dicC//
MalI_neg	nusA//mdtC//codB//
MalT_pos	chiP//citE//uxaB//glnA//cvpA//hyfC//lldD//crr//nrfF//micF//
MarA_neg	pheM//ppc//mhpT//dsrA//talA//hypB//dcuD//
MarA_pos	ydfE//paaG//uof//hyaE//garP//flgH//fabI//chbG//pykF//yafQ//ydhY//phnO//nrfB//idnK//aspC//emrK//modA//fruK//cspD//mnmG//hyaE//dsbG//yefM//torC//alaC//galS//fliA//glnQ//nikE//fecD//fecD//
MarR_neg	gudD//citD//psiF//
MatA_neg	rdoA//prpB//ybfE//betI//psd//relE//
MatA_pos	sfsB//thiP//
MazE-MazF_neg	rutR//ygeA//hdeA//
MazE_neg	rffG//ydfN//rhaD//
McbR_neg	gdhA//
McbR_pos	allD//cysP//cueO//
MelR_neg	waaZ//tnaC//gadF//
MelR_pos	yeiB//trpD//rarA//
MetJ_neg	cysW//dps//wcaA//leuD//aroL//mntH//modC//cysB//mraZ//adiC//insK//rclC//dinF//rpoH//trpD//
MetR_neg	gspH//uvrB//
MetR_pos	agaC//narL//ppiD//aldA//
MhpR_pos	tcyP//creD//carA//glgP//carA//phnJ//
Mlc_neg	hycE//gltF//nrdA//treB//lyxK//norV//araE//hyfA//entA//ecpR//
MlrA_pos	ygeH//narL//glmS//flgL//yhdX//sdhA//motB//lsrA//ycjG//feoA//
MngR_neg	efeU_1//modA//ilvY//
MntR_neg	ydeN//ugpA//glmS//rhaD//
MntR_pos	hyfB//
ModE_neg	yjbG//pgaA//kdpC//glpQ//focA//fliF//hipA//bglF//hycE//flgM//galR//gutM//ldtD//rob//hypF//
ModE_pos	hflD//rprA//treB//asnA//aslB//recC//csgB//sdhB//araC//lysO//uvrB//acnA//slyB//fucK//nadA//slp//gudX//lsrF//phnH//gspL//rhaD//yqhD//feaB//infB//hisJ//tyrR//ybjN//mqsA//hlyE//artM//hypC//
MprA_neg	gpmM//leuO//yqjH//casE//puuC//nanA//
MqsA_neg	dsbC//hokD//ahpF//manZ//lpxC//ydeN//atoA//tehB//
MraZ_neg	pstB//nagE//moaE//ccmH//nemR//atoD//mhpT//frc//nmpC//baeS//dmsC//hycE//hycF//pgaB//hypC//entE//hybO//
MtlR_neg	mazF//yeaR//paaI//
MurR_neg	dnaA//carB//add//
MurR_pos	ppdC//
Nac_neg	manY//ssuE//astA//pnuC//sulA//nanE//dcuD//entC//ugpQ//
Nac_pos	yfbR//fadA//cysN//phnP//cadB//patA//evgS//pgaC//pepD//phoH//ebgC//ybiT//
NadR_neg	sgrT//casA//glnH//zinT//
NagC_neg	fdnG//nrfG//ynfE//polA//mdtF//mpaA//yecT//ppdB//iraM//fur//glnH//ynbB//lrhA//ydcS//chbG//mntH//sdhB//flhE//galS//nanT//casA//purA//cirA//pspG//puuP//ccmA//dcuS//wzc//dnaA//rseB//nohA//wzc//rnpB//
NagC_pos	fliQ//hyfB//lsrF//
NanR_neg	alaS//gpmA//cysU//nrfF//mscM//asnA//casA//uidA//flhB//ybdZ//
NanR_pos	hyfF//
NarL_neg	yiaN//znuC//rutD//hyaC//yfdX//xylH//rcnA//argD//argT//mdtB//lpd//ompF//trpE//fecD//gadA//luxS//rstB//rcsA//ybhS//tonB//cbl//puuC//marR//yhdW//accC//fixC//hybC//rclC//purK//fhuB//lacA//murG//paaK//cynS//araA//lamB//iscA//cusB//hypC//mhpF//katE//nrfD//dinG//csrC//metJ//ynfF//cyoC//polA//glcG//codB//sdhD//gltF//atoB//rutB//kbaZ//astC//ptsG//acrZ//zntA//aroF//soxS//zraR//fdnH//kdpC//potG//phnN//tsgA//argR//astD//bglF//caiC//putP//entD//ykgM//cysH//gcvT//gatD//cirA//dsbC//chbA//pncB//gadX//dnaA//arsC//tnaB//yhjC//ydcU//
NarL_pos	ptsG//ccmD//dmsA//ymjC//ybiT//aroF//iscA//sdhA//flhA//fliH//bamE//rplU//rhaA//ulaB//ilvC//argG//trpD//zinT//flhC//phoU//ssuA//nanE//ybiT//sdhC//leuC//nanT//ryhB//allS//fabB//pgaD//efeU_2//recX//fepE//mgrR//tsr//dnaA//isrC//phnN//ppiA//atoB//fes//trpB//yciF//
NarP_neg	psd//ybhG//icd//cysK//metH//rhaR//purD//bamE//cysM//rpmI//fbaA//chbF//umpH//emrK//sdhC//znuA//fepD//entF//argB//cysI//ynbD//ubiA//fliE//kbaY//bacA//fecC//dpiA//dgcN//arsR//rdoA//gntP//gdhA//gatZ//
NarP_pos	gspM//malY//mhpD//gutM//purK//cysJ//glnK//moeA//ptsH//cspE//yoeB//ccmC//yjbH//modC//casA//pdeR//tsr//ompC//nrdF//umuD//hybD//nuoB//ddpA//fepD//aidB//nupG//fucI//wcaA//obgE//argB//paaD//lacZ//
NemR_neg	gcvT//flgD//nuoM//
NhaR_pos	ydhT//mraZ//nrfB//codB//oppD//guaA//yeaR//
NikR_neg	ybdN//nuoK//icd//srlD//yqjA//oppC//
NimR_neg	yidL//pstS//
NorR_neg	fdnI//
NorR_pos	cyoA//yjiY//
NrdR_neg	flgI//gcvT//bglJ//ssb//sucB//flgJ//hflD//tauC//accD//
NsrR_neg	tam//artJ//yccA//fadI//cpxA//mscM//deoA//chbC//nirC//hyaC//hycC//glpT//pdeR//ssuE//cecR//ihfA//lldD//tktB//osmC//yfdV//rbsK//nrdE//mglC//gatD//iscU//lon//galM//nuoK//mhpB//rob//pgm//rprA//feaR//grxD//gudP//glpF//phoQ//deoC//yciE//malF//patA//ruvB//yeiB//prpB//ccmG//eda//sfsB//ebgC//glmY//tnaA//idnD//sucB//recN//paaA//nupG//btuB//atoE//marR//fabH//rcnB//hybO//nrdD//ccmF//cueO//kdpB//mhpC//pgi//tauA//nrfA//uxaB//trpC//napD//thiQ//prs//rffG//moaA//higA//citX//phoP//malX//decR//yeaD//flgC//
NtrC_neg	ttdB//pspF//chbA//fliH//nohA//dicC//
NtrC_pos	nac//mqsR//hyi//purC//nrdF//rpmI//cheW//ugpQ//mglB//gyrA//hemL//citX//ybbW//fadA//mscM//dinB//fliI//motA//cysJ//ssuC//lacA//slyB//pfkA//cyoA//carA//flgH//obgE//oppB//recF//mhpA//ppdA//fucK//yecR//araF//ygeH//ppdA//tdcD//cysP//glpQ//gltI//malZ//gudX//aceE//yagK//allS//galK//metA//purK//cysB//
OmpR_neg	ynbD//cusS//baeR//gcvP//chiP//dsbA//dpiB//gabT//yidL//glyA//ilvC//gudP//
OmpR_pos	paaD//purF//metL//gltF//ada//mglC//prs//tauA//frdB//yccT//
OxyR_neg	ariR//tadA//csiD//rutD//rffH//ecpA//argI//glpX//omrA//bioC//mraY//hyfG//
OxyR_pos	ubiX//srlA//nagE//ttdA//zraP//murP//ppiA//appY//dnaG//argH//erpA//hybC//ydeN//yiiS//fadL//glnD//cdd//glxK//pspD//yhdZ//mipA//trpD//
PaaX_neg	edd//soxS//treB//decR//dsbA//cusC//phnO//nuoC//yhjA//hipA//malM//add//ccmA//lyxK//
PdeL_pos	fadJ//
PdhR_neg	aspA//stpA//hslJ//zinT//sgrT//pspC//ddlB//yiaL//yiiS//slp//polA//purM//sbmA//fucR//hybC//mngB//sbcD//mdh//cusR//oppA//rhaT//pgaB//entH//rdoA//gspJ//araD//fruB//gcvP//ygiC//yjbF//alkA//feoA//ybhS//rffC//oxyS//fixC//
PdhR_pos	casA//ompT//sbmC//rpiB//hypA//
PepA_neg	araC//yeaH//icd//
PgrR_neg	agaI//rnlA//fecC//fdnG//nfsB//ubiA//ydeP//ppc//
PhoB_neg	frdD//fliA//ybaT//yjhB//nanT//sucB//hybA//gutQ//marB//oxyR//mazE//flhD//
PhoB_pos	phoA//luxS//artP//zraS//hyaE//acrD//focB//dctR//gutQ//deoB//pspC//sufA//dinJ//glgP//hyfD//fliA//pheM//yhdW//manX//yfiB//intQ//hyfB//alsA//lacZ//pyrD//ycgR//ynfG//crp//yccJ//yafO//efeU_2//ahpC//zntA//trpC//fumB//fabZ//agaD//paaG//hcr//casC//cvpA//motA//napC//tauD//accA//rbsK//yfdX//ssrS//csgA//glpQ//purE//hypE//yaiW//
PhoP_neg	pspF//glpF//deoD//lon//glnH//rbsR//leuB//fucA//ddlB//yhjA//mraY//
PhoP_pos	murE//crp//malI//paaH//glmS//creD//moaE//fabG//ddlB//hycD//envC//psiF//mprA//nimR//yoeB//bhsA//csiD//pgaA//fliR//ompF//cytR//ybhG//ulaC//gnd//betT//ydfX//sucA//moaD//torC//glnD//mnmG//hyaC//moeB//cysU//ompF//rstB//carA//lysR//isrC//pstA//arsR//cyoA//idnT//nagB//uxuR//gfcA//gutQ//nanT//
PrpR_neg	dinQ//
PrpR_pos	wzc//yhbS//oxc//slp//
PspF_neg	fadR//
PspF_pos	idnT//zwf//ppdB//gcvA//relA//ttdT//
PurR_neg	pdeH//ttdA//ppiD//potF//sroD//cyaR//astB//ompN//aroF//lsrG//icd//hdeD//dcuA//phnD//ybiT//atoA//gabT//agaS//rplU//phnE_1//gltI//gntT//wecB//csgG//mdtA//acrZ//uof//agaA//yiaK//hcr//umuD//
PutA_neg	gatZ//pdeH//
PuuR_neg	slyB//pstB//purB//yccJ//uxaC//ddpD//ydiU//
QseB_pos	ldtC//hyfF//metH//ahpF//
RbsR_neg	phoU//metQ//kdpB//lsrB//metA//dapB//wcaB//lysC//
RbsR_pos	ruvB//
RcdA_neg	ugpB//ppiA//
RcdA_pos	glnA//melR//ddpD//acrR//yqaE//yiaN//yiaN//
RclR_pos	grcA//dhaR//soxS//
RcnR_neg	gspC//lysC//yafO//
RcsAB_neg	aroL//ruvA//phnE_1//pagP//fecA//cydB//
RcsAB_pos	ygbK//phnK//mglB//torA//napH//tsx//decR//rnlB//rnpB//betI//
RcsB-BglJ_pos	ddpF//csrB//fepE//wzzE//yeaH//garR//ybdN//trxC//torD//ung//gnd//gadA//acrR//purA//nanA//lysP//
RcsB_neg	dpiA//rutA//
RcsB_pos	nemA//trxC//dsdX//bdm//yegH//adiC//sucC//mdtE//hycI//ydhX//ynbB//kdpC//fliA//entB//casC//fiu//hyfF//nrdG//ddlB//araH//tdcF//yhjC//ydeI//
RelB-RelE_neg	flhE//sgbE//ymgA//
RelB_neg	hcaR//rnpB//hypE//
RhaR_pos	speA//yjhB//
RhaS_pos	narH//deoB//cdd//yhiM//feaB//rybB//
Rob_neg	yefM//
Rob_pos	tynA//napA//glgP//leuD//gcvB//yqjA//nuoM//fabB//trpB//malQ//symE//sgbE//yeaG//leuL//ftsW//frc//ddpA//hybD//nirD//gudP//mtr//casC//ompT//nuoB//hyi//
RstA_neg	argA//cpxP//glpK//zraR//tehA//
RstA_pos	wzyE//iraP//ruvB//tcyP//serA//
RtcR_pos	galE//hyfE//
RutR_neg	puuC//wrbA//argE//purN//purD//yegZ//metC//araH//melB//aslB//ttdR//trpL//murC//mhpT//glpC//
RutR_pos	leuA//hyaA//
SdiA_neg	moeB//ycjY//napF//
SdiA_pos	chbF//seqA//phoR//
SgrR_neg	araA//purA//acrA//oppA//hemL//
SgrR_pos	appY//yrbL//ppiD//ynfH//
SlyA_pos	mhpF//
SoxR_neg	sutR//
SoxR_pos	mtr//pstS//
SoxS_neg	cysM//fhuB//
SoxS_pos	napD//cpxR//casC//gatY//paaH//hslJ//phoH//dnaN//mhpF//nanA//mipA//betT//lsrR//ygiC//yecR//ppdA//cusR//cusB//pgi//allD//rstA//psiE//nuoL//hypB//yciF//yidL//cho//rcnR//ydfE//exuT//glmU//rfe//obgE//agaS//phnF//ptsG//leuB//relA//
StpA_neg	glpK//sbcC//napA//purE//gpmM//yciE//phoA//
SutR_neg	nfsB//fliT//dps//fliI//entD//
SutR_pos	glpB//
TdcA_pos	dnaG//nadA//malE//yqjA//yqaE//sdhA//citC//
TdcR_pos	lpxA//cysM//dnaN//malP//pstC//cydB//recD//
TorR_neg	ompC//rpiB//fepC//
TorR_pos	araC//fucA//gpmM//artP//edd//yneM//caiA//yfbR//nohA//
TreR_neg	fadA//ybdZ//
TrpR_neg	cyoD//purF//yhdY//cspD//purM//putP//pgaA//nrfF//agaB//ynbD//yhcH//rhaS//
TyrR_neg	uxuR//pqiB//caiB//rbsA//entA//mscM//fliC//fabH//wecC//fadI//
TyrR_pos	mngR//glxK//ssuA//
UhpA_pos	bioA//
UidR_neg	emrY//csrC//glgA//uxuR//
UlaR_neg	allE//rob//metN//potG//nirD//fliH//flgD//
UvrY_pos	cysU//zntA//folE//idnR//ttdR//
UxuR_neg	insD//paaA//gutM//galT//frdB//aceF//cysB//sgrS//infC//
XapR_pos	fliI//ahpF//
XylR_neg	ndh//
XylR_pos	recD//lsrK//torD//xylF//csgB//umuC//
YdeO_neg	purK//mdtF//
YdeO_pos	gcl//rffC//cydA//gcl//znuC//appA//bhsA//agaC//phnC//galE//purK//hyfI//hyaE//dctA//fliE//uvrB//yoeB//recF//ttdT//
YedW_neg	baeS//phnE_2//nac//ydhT//yiaK//
YedW_pos	nuoH//dkgA//uvrC//metQ//pspA//tdcD//rpoH//
YefM-YoeB_neg	chbB//fbaA//
YefM_neg	fadB//fucO//
YehT_pos	sodB//
YeiL_pos	dnaA//
YiaJ_neg	soxR//erpA//treR//frc//ycjG//artP//hypB//glgP//lysO//fliQ//
YjjQ_neg	ompF//mdtB//uidC//fadR//gcvH//trpC//higA//gatB//yiaL//nikR//
YpdB_pos	yhbT//
YqhC_pos	alaS//aceB//
YqjI_neg	nagE//cyaR//
ZntR_pos	fumB//
ZraR_pos	fucO//stpA//fecE//
Zur_neg	phoU//cydD//ftnA//paaY//sufD//zraS//
