#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	bioA//lsrR//
IscR_neg	ybjN//rutF//motA//dinQ//rpoH//higA//nanS//mcbA//yhbS//dhaK//glyA//ddlB//yaiW//lrp//ttdR//galR//glpF//gatY//atoE//ssuD//nrdH//
IscR_pos	pheT//ompN//dnaA//torD//lsrB//zraR//srlD//nikA//yhdX//sdhB//gatA//
KdgR_neg	rdoA//dgkA//
KdpE_pos	tadA//dinG//sbcD//yciW//
LacI_neg	rffG//relE//ddlB//
LeuO_neg	hyfC//dtpA//crp//
LeuO_pos	rclC//malX//kbp//ugpQ//purA//sufS//ompF//phoH//pagP//gspG//sufA//fecE//purE//norW//glnG//melR//csgC//guaA//
LexA_neg	rutF//ulaA//cvpA//yjhC//hcr//glnQ//creC//chbB//cydA//seqA//murD//yhjC//nikE//gspE//hypA//mdtD//ulaD//narK//ykiA//paaF//hlyE//kdpA//rpmI//fliK//rutG//acrR//nadB//cusS//emrB//yqhD//higB//hcaB//iscR//mtlR//flgA//tdcB//deoD//gspC//fliJ//torA//thiP//iscR//psd//ugpE//rtcA//mraY//dmsB//purK//cysH//rimK//hcaE//ybbW//yciX//yoaG//gcvB//tcyP//fruA//rtcA//ydcT//
LldR_neg	ugpQ//fucR//astA//
LldR_pos	grxA//pepA//leuO//
LrhA_neg	adhE//speB//
LrhA_pos	moeB//nuoC//
LsrR_neg	glnB//fhuB//citC//yjbF//dicC//mtlD//yhdY//oppC//ytfE//
LysR_neg	ubiA//
LysR_pos	mraY//
MalI_neg	uidB//argA//nuoM//
MalT_pos	hyfF//dinJ//ydeN//gltJ//glnK//metA//purF//waaH//hcaE//tnaC//
MarA_neg	ariR//nanE//pitB//moaE//dpiB//narI//slt//
MarA_pos	hcaD//argE//degP//asnC//arsB//talA//cysC//artI//amn//zraP//rbsC//rbsC//hcr//rutF//ascF//ldtB//cadA//paaD//nimR//hyfB//ampC//btuB//ygbA//tyrP//fdhF//yhiM//hemL//yjbG//ccmG//ompW//infB//
MarR_neg	fliI//arsB//malG//
MatA_neg	glgP//purL//ldtB//yefM//ydfW//araE//
MatA_pos	cysH//ydeM//
MazE-MazF_neg	betI//gadW//paaK//
MazE_neg	srlA//aceE//fur//
McbR_neg	yeiL//
McbR_pos	gltK//glk//oppF//
MelR_neg	modC//hyfH//pgk//
MelR_pos	uxuA//mdh//hydN//
MetJ_neg	malF//nirC//hypF//tdcE//emrY//fecD//kdpF//garP//mtlD//pyrC//cspE//caiA//sutR//bglF//marA//
MetR_neg	pgaB//feoB//
MetR_pos	uxuR//exbB//mqsA//yfdX//
MhpR_pos	gpmA//gcvH//evgS//fbaA//safA//trpD//
Mlc_neg	murF//tdcA//yecR//argE//leuC//modB//ybhL//fabG//nirD//mgtL//
MlrA_pos	hemH//hypB//flgF//nadA//fhlA//gltK//ybjC//fecB//bglJ//ftsI//
MngR_neg	fruK//murC//lacY//
MntR_neg	relE//fliO//araE//lacY//
MntR_pos	flgG//
ModE_neg	dsrA//adiC//gadA//xapA//psd//malF//hyaB//csrC//fixC//uxuR//allC//araC//csiD//moaD//gadA//
ModE_pos	malP//cspI//cadC//fixC//nlpA//fdhF//ddpB//appA//ppdB//cpxP//mpaA//cadB//wzc//zntA//ompN//iraP//oxc//nfo//bglF//hokD//dicC//feaB//fliP//sfsB//dctA//glgX//gadY//glmS//ddpD//oppF//yqaE//
MprA_neg	murR//uidR//feaR//ompF//sbcC//rutE//
MqsA_neg	ydhT//sufC//rtcB//putP//dgkA//rbsK//nimR//fadA//
MraZ_neg	garL//garD//iscA//puuA//purF//mglC//lldD//csgB//hyaD//treR//mhpA//molR_1//cydD//mazF//dhaL//fliL//yeaG//
MtlR_neg	yecT//hlyE//ftsL//
MurR_neg	ccmA//pgk//gcvT//
MurR_pos	cysI//
Nac_neg	aroL//purR//lysP//aidB//ddpF//nikR//hmp//hycH//rhaR//
Nac_pos	creB//flgF//psd//cydA//yeaH//gltF//gntK//artJ//yeaE//mqsR//pspC//bolA//
NadR_neg	wecE//frdD//nagE//nohA//
NagC_neg	aceE//hyfB//araC//sufD//emrB//rstB//pgaD//dgcZ//gadY//paaK//yqjI//accB//symE//pstA//uvrD//cpxP//rcnA//tauA//cirA//idnD//rybB//nhaR//dinB//cueO//mhpD//mhpC//pagP//aroF//thiQ//puuB//zraR//oppA//ldtB//
NagC_pos	lrp//borD//fliL//
NanR_neg	allC//sgrR//phoU//dctA//gatD//ccmF//psd//dinG//hypA//ydfH//
NanR_pos	frc//
NarL_neg	mhpT//nfo//nirD//ydbK//tehA//dsbA//araA//mazG//rbsK//hypC//ydcV//rutD//ompC//flhC//mntS//psiF//cusA//ycjX//tauD//sgbU//sucD//ebgA//paaB//fnr//dtpA//ygbA//argR//sgrT//fucA//nimT//nhaA//yjbF//fecE//agaW//cyoA//evgS//gspD//dctR//osmB//ccmH//rffG//pheM//agaV//gspC//norV//tyrB//phnD//iraM//oppA//ung//rffT//symE//aroH//fliO//caiC//cytR//flgB//rclB//fliJ//ddpD//ybdZ//yfdX//narK//accB//dmsD//nikR//rpiR//sroA//nanT//casE//gatD//ydbK//fliM//crr//evgA//fecB//agaS//yjjZ//sufD//cspI//hycI//yqjH//mhpA//bglB//fliZ//purB//wzyE//
NarL_pos	hemL//dhaM//flhC//rbfA//hybO//hokD//ybaT//malF//malQ//wecC//phr//katG//dcuB//hybE//ppdA//ftsA//alkA//arsR//metE//yidQ//xylG//astA//ubiX//cadC//dgcC//ynfG//tyrB//caiT//nrfG//gabP//metL//deoB//putA//nanE//gabP//rcnA//entH//rutA//cspD//pepA//glpA//agaS//rutD//
NarP_neg	gcvP//aidB//evgA//oppD//nikA//yhbT//moaC//murD//paaE//yegR//yaiA//gabT//sdhB//gspJ//yfdX//chbC//cytR//paaC//pdeR//leuB//purH//torC//psd//ada//treC//exbD//pdeR//cdaR//rbsC//lpxD//sgbE//paaY//umpH//
NarP_pos	guaB//tyrR//ybaS//yjbH//ddpX//dacC//argG//fucO//pgaC//fhuF//cheW//atoA//yeaE//rutA//iscS//asnB//sufS//ssuD//malT//cysG//sucA//sbcD//yhdZ//tomB//grxD//rpoS//sgbE//sufB//hyaD//mltF//ynfF//dinD//
NemR_neg	hycI//ldtB//yfiB//
NhaR_pos	agaR//cyoC//mhpE//tcyJ//yfiR//ptsG//cspE//
NikR_neg	ydeM//borD//mtlR//ydiU//puuE//argE//
NimR_neg	cyoC//manZ//
NorR_neg	glxK//
NorR_pos	melA//paaD//
NrdR_neg	oppC//mdtB//ynbC//tsgA//napC//dsdX//ddpC//hybE//mazF//
NsrR_neg	mntH//torC//idnK//ftsQ//gcvB//yagK//bacA//nrfG//malQ//fadA//sodA//fabH//glpB//dctA//frc//rutC//hdeB//ydfW//ybbY//cadA//ybhL//hyfB//nrdH//dicC//gudP//patA//inaA//sbcD//hflD//hycD//ygeH//ubiC//gadY//uxuB//gcvB//fepD//thrS//ymjD//rdoA//lyxK//alkB//sroD//yecR//ppc//fliN//yfdE//yhdX//csrB//gadY//ogt//hyaF//wzb//moaE//crr//glmY//flgE//rutB//fhuD//evgA//cpxR//codB//nuoK//tdcF//rhaA//gadF//fepG//paaI//marA//ssrS//cadB//pspB//kdpB//kbaY//ygbA//ybjC//pspB//prpC//cydC//nikA//glnK//malI//hdeD//fliL//
NtrC_neg	ruvA//gudX//fdnI//entD//gspO//ftsI//
NtrC_pos	fliS//sucA//yaiW//allB//nrdE//phnC//gnd//ydiV//hisQ//potG//yefM//fliS//fadJ//fadA//ygaC//tktB//lsrD//gadA//lyxK//nrdA//ompT//ygeA//cusS//moeB//manX//acnB//aceE//pheM//rhaR//rcnA//gcvT//ybbW//yhhY//ybbY//phnE_2//argG//gntK//glcF//nuoE//ycdZ//mqsR//allC//luxS//dicC//ftsI//aceB//cbl//deoA//fabB//
OmpR_neg	hipB//safA//nikD//agaS//fliZ//potI//emrA//wzb//hyfE//murR//pstC//ulaB//
OmpR_pos	leuD//pfkA//molR_1//hycA//csgA//yccJ//ykgM//dtpA//yafP//frdC//
OxyR_neg	dicB//ahpF//rnpB//mtlD//tdcG//fecE//phnP//agaS//lhgO//trpA//glnQ//iraP//
OxyR_pos	ftsA//iscS//icd//caiE//nrdE//lsrA//symE//znuB//gapA//mglB//rseA//nmpC//ykgO//phnM//nemR//csgE//narG//ftsZ//citE//nirB//ymgA//fimB//
PaaX_neg	cyoC//ilvY//dmsD//idnT//bhsA//pstS//codB//hypC//trpC//dcuD//ymgC//bluF//lysC//hypA//
PdeL_pos	pspB//
PdhR_neg	agaA//alaC//gadB//yhdX//ygiC//uvrA//gcvH//metB//ybaT//tauB//dsdA//fliA//bglB//aroH//lacA//rstA//pstC//potG//lysC//fliP//flgC//ybjC//lysO//cbl//nuoJ//ddpD//yoaC//osmY//nupG//mqsA//nupC//lacA//ynfH//yoeB//idnT//wzzE//
PdhR_pos	feoA//melR//aceF//asr//moaE//
PepA_neg	ulaA//mazG//rprA//
PgrR_neg	malI//iraP//yiaM//ymjD//fliK//uspD//ugpB//glcA//
PhoB_neg	ascB//puuP//tpiA//ymjC//glpC//luxS//emrK//ybjG//gatB//cirA//nanC//yegH//
PhoB_pos	metK//lysO//hyfF//mhpB//tehB//cpxR//ydhW//fucR//uvrY//sulA//dpiA//sbmC//fabD//adhE//fucO//paaA//nuoB//rpsO//mraY//fliK//yjeV//uhpT//wzc//frdB//phnF//ssuE//nanK//nagA//ydeO//ubiC//kdpB//ycdZ//talA//putP//cydA//ada//glxR//potH//metN//gspM//galT//phnH//purE//entH//atoE//feoA//csgA//adiA//ppiA//uidA//higB//ulaD//glpB//
PhoP_neg	alkB//chiP//ftnB//bglJ//glxK//yjbE//cysC//cpxQ//csgA//ygiZ//rdoA//
PhoP_pos	trpL//rybA//hyaD//ybaS//flgE//tdcA//leuB//rpoD//agaB//metB//tomB//hdeB//codA//argE//phnE_1//ydbK//yiaK//yciG//fadJ//phoU//nupC//envC//inaA//hyaD//ascF//tauC//ompN//creB//galT//paaX//gatD//melB//glmY//polA//rpoS//hdeB//prpB//hcaE//uidB//ilvC//glcE//nuoE//caiB//fliQ//yaiA//tehA//yaiW//fixC//
PrpR_neg	sbmA//
PrpR_pos	cusB//rpiR//agaI//dcuA//
PspF_neg	ubiC//
PspF_pos	hcaR//manZ//ccmB//ynfE//hycC//astA//
PurR_neg	ydeP//hyfE//fliA//ugpE//eno//fadH//sgrT//lysR//galK//rstA//cusS//fhuB//csgB//ssuD//sufA//prpC//folE//entA//ynfH//betB//yidL//mngR//rhaS//glmU//nuoI//glk//pitB//hcr//glmS//htpG//arsB//
PutA_neg	hyaB//umuC//
PuuR_neg	sbcD//nuoK//dctA//argB//cas1//zwf//relA//
QseB_pos	zraP//moeB//murC//cheA//
RbsR_neg	hyi//oppF//puuB//hycC//gatD//ugpA//phnC//cyoE//
RbsR_pos	yhjC//
RcdA_neg	nanA//glpF//
RcdA_pos	nrfA//ybfE//gcvA//udp//ydbK//cysA//rseC//
RclR_pos	gcl//tyrA//ascB//
RcnR_neg	rbsB//nuoL//mtlR//
RcsAB_neg	wecC//flhE//mscM//baeR//casD//paaA//
RcsAB_pos	napF//oppB//hyaD//yhiM//fepE//phnH//nrdA//malI//cysB//rhaT//
RcsB-BglJ_pos	mioC//allC//crr//asnB//agaA//mnmG//phnN//cecR//flgK//cysE//glxR//yafO//ldtB//cvpA//leuL//motB//
RcsB_neg	ahpC//nfsB//
RcsB_pos	rpoH//trpC//dgcZ//napF//yidQ//fliE//yciG//entC//gyrA//gntX//ulaG//pgaB//nuoE//mltF//ascB//asnC//flgN//dicC//gatZ//nanT//sutR//hybG//hyfA//
RelB-RelE_neg	murI//tadA//leuB//
RelB_neg	araG//osmB//ppiA//
RhaR_pos	ybiT//pgi//
RhaS_pos	cra//rpoD//paaZ//paaE//sra//purF//
Rob_neg	uof//
Rob_pos	yhdY//ompN//paaB//purF//efeU_2//speA//tehB//cysN//ydeO//rutD//yaiW//nuoJ//citD//csrC//sufB//ydfH//mgrR//moaD//wzzE//fepA//rbsC//yeiL//lacY//tfaQ//xylA//
RstA_neg	aroG//yjbG//norW//alaC//dnaA//
RstA_pos	mhpF//ugpE//cpxA//fecD//mdtC//
RtcR_pos	wcaB//xylH//
RutR_neg	ynbA//manX//gudP//creC//ttdT//focA//nrfE//fadJ//uxuR//metB//flgI//edd//fabD//hyaF//fliJ//
RutR_pos	rclC//tnaC//
SdiA_neg	mnmG//glnB//patD//
SdiA_pos	cyoE//psd//tehA//
SgrR_neg	hyfR//tyrR//torC//metB//leuC//
SgrR_pos	fabG//sucC//gcvB//yhdZ//
SlyA_pos	uxaC//
SoxR_neg	ompF//
SoxR_pos	hyfJ//mgtL//
SoxS_neg	artI//gloA//
SoxS_pos	dinJ//sgrS//grxD//fepE//kbaZ//fliJ//rpiB//purA//puuB//ydeM//caiA//araF//rprA//lsrD//tyrR//gspL//csgE//ppdA//cusA//malE//csrB//nfsB//sutR//moeA//ttdR//ydiU//citD//ydfX//hyfH//purA//yneM//flgF//rclB//tdcG//fliN//gntU//hcaB//xylA//
StpA_neg	focB//hslJ//narK//hybB//fhuE//glnG//kdpC//
SutR_neg	dgcZ//cynX//moaC//nfuA//ulaA//
SutR_pos	rbsB//
TdcA_pos	srlA//yccA//truB//ebgC//hdeB//narL//manY//
TdcR_pos	casD//lacY//ynfH//leuB//fpr//fadD//fabB//
TorR_neg	fumC//yciW//cpxR//
TorR_pos	putP//fadM//rbsK//asnC//fecA//rbsC//grcA//focA//wrbA//
TreR_neg	pgaB//chbA//
TrpR_neg	hyfI//ycgZ//phnI//gatY//casD//psd//crl//napA//caiE//patD//yiaK//yiaO//
TyrR_neg	glcB//prpR//yebE//cra//glnH//nusA//yjbF//feoB//fabD//malI//
TyrR_pos	fhuA//ybhF//mltF//
UhpA_pos	marB//
UidR_neg	mhpC//fliA//araE//hybO//
UlaR_neg	mtlD//lpxA//frc//cpxR//gabT//nuoN//entH//
UvrY_pos	recA//fixX//rstA//ssrS//ynfK//
UxuR_neg	dinG//napB//hyfH//hdeD//gudX//fes//yagK//potF//eda//
XapR_pos	glyA//sfsB//
XylR_neg	glmU//
XylR_pos	mscM//higB//hypE//mtlD//gudP//mdtB//
YdeO_neg	speA//pgaD//
YdeO_pos	lsrD//cydD//glpX//tyrR//idnO//ebgA//leuL//amtB//hycB//yidL//rstB//gatC//purC//yfiR//fhlA//yegR//yebG//ykiA//yebG//
YedW_neg	caiB//rutA//nanE//lldD//fbaA//
YedW_pos	leuD//tauD//srlE//metL//sroD//ftsI//fadD//
YefM-YoeB_neg	btuB//dpiB//
YefM_neg	rffM//mntH//
YehT_pos	flgD//
YeiL_pos	micF//
YiaJ_neg	motB//fhuF//chbA//ompW//agaI//kdpF//ahpF//bacA//sgbE//btuB//
YjjQ_neg	sbcC//gatB//soxS//patA//rutD//idnO//gntP//oxyR//paaI//ydfD//
YpdB_pos	yhdY//
YqhC_pos	puuR//ydhT//
YqjI_neg	ogt//arsC//
ZntR_pos	yjbE//
ZraR_pos	fepB//fliQ//citC//
Zur_neg	dsrA//sgrR//lldP//fhuB//fumC//adiC//
