#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	metQ//pspA//
Cra_neg	yecR//xylH//acrD//fdnH//acrR//narG//fabH//caiD//citX//nfo//zraR//ybdN//gdhA//paaE//ttdA//ydfX//yhdZ//fhuF//flgF//torA//gabT//oxyS//cheW//metI//mtr//fumB//alsC//uspA//emrA//uspD//xylG//dtpA//focA//wrbA//cysK//gltI//malQ//paaK//yneM//mhpA//metH//sufS//artI//oppB//lpxC//ydcU//phoP//treB//ttdR//dpiA//narG//nuoB//fixB//gntK//mdtF//yafQ//tadA//csgD//betI//
Cra_pos	yiaJ//crl//nrfG//ymiA//mgrB//gatA//yqjH//nohA//narL//gudD//ydhU//dapB//ssuB//zntA//glnD//mraZ//astE//cvpA//mipA//cho//cpxA//hcaD//aspC//
CreB_neg	mzrA//sufD//malX//
CreB_pos	psiE//paaB//
CsgD_neg	nuoL//udp//paaB//cysJ//cysP//marB//pgaD//ybhF//ydfD//gatD//fliK//grxD//hcaB//asnC//rpoD//
CsgD_pos	gltB//lsrG//epd//evgS//glpA//ydfH//trpC//exbD//paaI//frc//marB//cyoE//creB//
CsiR_neg	hcr//nemA//tktB//hokE//tdcE//
CspA_pos	glnG//citF//
CueR_neg	bdcA//flgA//mngR//chbF//ppsA//
CueR_pos	artP//nikR//
CusR_pos	xylH//yhjA//uxaA//ung//tdcF//nikA//csgC//focA//rpsU//ppiA//argC//ybaT//
CynR_neg	metH//
CynR_pos	treC//narX//fecR//
CysB_neg	yibQ//yegH//uspE//bdm//znuA//galR//nirC//
CysB_pos	csiD//yciF//nimT//argE//nrdD//puuE//csgB//cadB//araD//tktB//ydjM//waaH//htpG//lysC//ccmE//malM//ugpQ//rseC//aroL//yoaG//aceE//flhD//ftsA//hyfH//pyrD//
CytR_neg	malS//deoB//argE//fliS//acrZ//ybhS//cusC//lon//lyxK//nhaA//sgbH//phr//phnC//
Dan_pos	yfdV//kbp//accA//prpE//
DcuR_pos	ftsW//sroC//rbsK//mtlD//hyi//ugpE//dacC//nlpA//pykF//
DeoR_neg	aslB//arsB//tcyP//mdtE//hcp//hipB//
DhaR_neg	glpC//
DhaR_pos	yfdV//mdtE//yjeV//
DicA_neg	cas1//thiQ//fixC//yjjQ//hdeB//rhaT//glmY//add//
DinJ-YafQ_neg	yhiM//malP//nfuA//
DnaA_neg	bioF//malM//ulaB//lacY//fhlA//norV//pnuC//ydeI//yjiY//nrdA//speB//
DnaA_pos	srlE//rbfA//entB//sdhD//torD//aceB//mglA//
DpiA_neg	rbsR//
DpiA_pos	fldB//glcF//crp//ynjI//ppsA//ulaD//ygbK//hypB//zraS//phoE//
DsdC_neg	fucK//
DsdC_pos	nanS//tbpA//
EbgR_neg	mscM//gspG//
EnvR_neg	phnG//chbA//
EnvY_pos	motB//ariR//
EvgA_pos	cspI//galT//chbB//tyrA//metL//fbaA//araF//phnN//araG//dcuA//galS//paaE//hipA//bglB//sdhC//lrhA//ccmD//ydfN//fliR//
ExuR_neg	wcaA//nuoG//tauA//ccmB//yiaO//ydeN//torA//ybfE//xapB//
FabR_neg	hypE//fur//
FadR_neg	fepD//glpC//artI//puuP//aceA//appB//cusB//fliM//pheT//rutF//rprA//
FadR_pos	purD//accB//ydhV//prpC//nlpA//tsx//yoaC//paaF//ariR//ydeO//gltK//purM//
FeaR_pos	fecA//fliR//
FhlA_pos	emrY//ribA//ung//tehA//caiD//yibQ//ccmD//exbD//yagK//entH//glcE//dsbC//argR//ynjI//safA//napG//metQ//bamE//bioB//frdB//phnH//chbR//htpG//sucC//ulaD//mdtE//treR//moeB//pspD//murF//
FlhDC_neg	gadC//ompC//hdeB//mltF//
FlhDC_pos	rhaR//purE//nfuA//malI//yneM//polB//cueO//alsC//aroM//aroH//feoC//skp//mcbA//ydhY//wzb//rffH//yhiD//rhaR//ulaE//nmpC//amn//csrC//pheS//fruB//nemA//yjeV//trpB//flgB//ygiC//nuoE//argO//idnR//entS//fepD//fabH//nrdA//pheM//ibaG//ilvY//paaY//glcG//caiC//phoR//fucO//caiD//asnB//csgE//oppD//rutE//lacZ//ydfN//lpd//araB//xylF//yneM//ruvA//paaH//lyxK//rbsK//hyfG//moaC//nuoN//yjbH//tyrP//ynbA//trpR//ptsH//fiu//narH//ribA//yfaE//artP//yciX//xylH//hns//hycA//nrdG//frdA//
FliZ_neg	hisQ//puuP//ompT//yhjC//entF//hyfI//acrB//hycD//ycjX//malQ//gspH//nanA//bioB//ccmB//cysP//bioD//oppD//paaG//mpaA//rbsB//mhpB//
FucR_pos	yccA//gltL//ydhW//dcuB//sgbH//fumC//csgA//
Fur_neg	pheS//metQ//fliF//ptrA//astD//flgF//fepD//glgA//astD//metJ//lysA//ptrA//yecR//adiA//tktB//murP//sufD//pnuC//tnaA//yneM//ttdB//fecR//hyfF//yjbG//dcuR//dmsC//obgE//bglJ//galR//araG//ptsG//ynfF//dinB//ydhV//gspD//ttdB//flgD//astA//cusR//rseA//narJ//rpoD//iscS//tdcF//oppA//malI//fiu//flhA//phnL//phr//cytR//murC//slt//ruvA//acrD//argO//lsrG//cysH//sulA//fadH//fepB//ptsI//tauD//ykiA//yecT//uxuA//pykF//flgM//cspI//hyfJ//slp//metB//fimB//alsB//malT//gloA//ppiA//aceB//glmU//atoE//tdcG//pspC//atoE//hycF//ddpA//fldB//rimP//xylG//treC//leuO//sodB//glgA//wecC//gcvP//bglJ//fumC//yiiS//narJ//garK//chbR//ydcS//uxaC//rbsR//recF//fliS//hyfC//hyfF//cysU//rcnB//glgC//hslJ//chbG//ssuB//napA//gntK//
Fur_pos	yqhD//flgC//fhuE//cysB//glmS//hycI//lamB//yeaE//serA//glnG//ybaS//ybhG//pheT//ynbD//garK//dmsA//patA//pspC//metR//wecE//araD//
GadE-RcsB_pos	torC//yqhG//phnE_2//pnuC//lsrB//rbsA//hha//bioA//ttdB//
GadE_pos	emrK//hns//xapA//ompT//nanE//acnB//nimT//nanS//thiP//flhE//rseA//nirB//hisJ//yneM//mdtB//garD//uvrY//phoU//cyoB//flu//casA//cysB//ssuB//yeaE//hyaB//ydcV//nrdF//gfcA//talA//
GadW_neg	ssuB//cho//chbG//ttdA//ompC//rprA//alkB//ompC//fimE//yfbR//hisM//
GadW_pos	ynbB//yeiB//hybB//znuC//cynR//malF//ydhV//garR//hycA//yncE//mdh//
GadX_neg	ftnB//dsdA//bhsA//rutD//yncE//nagC//
GadX_pos	rpsU//zwf//ycjY//yeiL//hdeD//ugpA//glxK//narK//moaE//rbsK//cydB//appA//ecpR//ppdA//argC//fdnG//ulaC//ygiZ//moaB//glpX//tdcG//phnJ//metF//napH//hybG//fecA//fbaB//
GalR_neg	ydcT//lacY//oxyS//speA//ftsW//ybdZ//csrC//yegR//cdaR//paaF//
GalR_pos	gnd//fdnG//pheS//fliI//
GalS_neg	hybB//lpxA//htpG//lysC//relA//mhpE//sgbH//entC//araE//aroH//
GalS_pos	rarA//pdeH//purB//mraZ//
GatR_neg	hdeA//pdhR//allC//rfe//gspK//gspI//
GcvA_neg	ppiA//phnD//deoA//phnD//
GcvA_pos	sodB//rpoE//cyoE//flgB//
GlcC_neg	melR//
GlcC_pos	ykiA//paaF//prs//seqA//ydcS//fpr//
GlpR_neg	artJ//wzzE//bolA//purC//cbl//araF//ykiA//dpiB//glmS//
GlrR_pos	fbaB//gadW//metA//yegH//narI//
GntR_neg	yhdX//yegH//murD//tsgA//garP//ycgZ//crr//nuoM//lsrK//tyrP//yecR//fliE//
GutM_pos	folE//luxS//glxK//ugpA//cusR//yhiD//nupG//
GutR_neg	tfaQ//dsdA//puuD//oppF//yjbF//pdeH//asnC//
HU_neg	higB//cyoA//phoH//creC//mhpD//artI//pstA//napC//
HU_pos	ygiA//
HcaR_neg	rnlA//
HcaR_pos	metK//gatC//ddpB//tnaB//amn//
HdfR_neg	lpxD//yhjC//
HdfR_pos	hypA//ycgR//dsdX//
HigA_neg	grcA//ygbK//
HigB-HigA_neg	ulaG//pfkA//
HipAB_neg	nuoM//moaB//ppdA//ynfK//tcyJ//
HipB_neg	sucA//yedX//hisP//ruvB//envC//poxB//
HyfR_pos	dsrA//add//cirA//phnM//astE//prpR//cadA//bglJ//fecD//ynfF//phr//dsbC//
HypT_neg	pspE//purK//xylA//fadE//recB//
HypT_pos	aceE//fecD//rarA//lsrC//rffH//crl//yoaG//fliJ//
IclR_neg	ynfF//sodB//creC//gntX//
IdnR_neg	dsbC//fdnG//
IdnR_pos	yidQ//fruK//deoD//ydfH//fliO//
IlvY_neg	ccmE//
IlvY_pos	alaS//
IscR_neg	gfcA//fhuF//waaY//cysJ//mqsA//motB//fadJ//tdcB//hypE//glpT//alkB//hyfC//yeaD//glgX//hcaE//nadB//ulaC//fixX//sufE//pgaC//ybjC//
IscR_pos	nrfD//csgD//ynfK//tdcC//sucB//dgcN//mdtF//metR//ydfE//ccmA//leuA//
KdgR_neg	yjbF//chbG//
KdpE_pos	paaG//alaC//katE//tdcD//
LacI_neg	bhsA//dinG//tdcD//
LeuO_neg	gudX//metC//mngA//
LeuO_pos	pnp//glgC//flgJ//ftsI//lhgO//poxB//rutE//rarA//fdhF//hcaE//artQ//nadB//pncB//galE//marB//citX//glcB//efeU_2//
LexA_neg	sbmA//pstB//malX//yjhB//fliH//ugpB//wecC//cytR//ugpA//ccmH//nuoM//kbaY//narK//gltL//dnaN//tyrP//leuA//metB//fdnG//gltJ//wzyE//mntP//ccmH//wcaA//cysP//aroM//prpE//grcA//murD//rclC//hycH//znuC//gspF//sutR//ynbD//dcuA//borD//zntA//feaR//pstA//csiD//znuA//allA//yiaL//adiC//rob//flgG//flgA//lacY//sra//treB//ccmH//xylR//ygeA//carB//sucB//yqaE//xylH//cho//
LldR_neg	aceF//nuoH//tdcD//
LldR_pos	ddpF//norR//zraR//
LrhA_neg	araB//hflD//
LrhA_pos	ftsW//rcsA//
LsrR_neg	astC//ycdZ//glyA//fdhF//ybhR//dctA//hycG//potF//malQ//
LysR_neg	ynfK//
LysR_pos	sroD//
MalI_neg	glk//icd//cysJ//
MalT_pos	sroC//manZ//ompC//sgbE//caiA//znuB//mgrR//hypA//ruvA//gdhA//
MarA_neg	ssrS//puuR//gudX//ddpX//tsx//poxB//idnT//
MarA_pos	hdeA//hdeD//mqsR//ugpA//nuoH//gatC//hyaC//purF//pspE//fixC//galR//trpC//phnO//narI//nagC//ybaT//lpxA//iscU//ydeP//atoA//araJ//rpoE//ruvB//ydcU//gspH//pstC//alaS//adiA//rhaT//fabA//guaA//
MarR_neg	edd//dcuR//fadM//
MatA_neg	metH//flgK//mcbA//rclA//nupC//gutQ//
MatA_pos	crr//ssuA//
MazE-MazF_neg	pspB//fabA//ydiV//
MazE_neg	pspF//glxR//agaC//
McbR_neg	gspD//
McbR_pos	moaC//dhaK//nadB//
MelR_neg	dinB//malK//betT//
MelR_pos	allD//ldtC//tktB//
MetJ_neg	fes//araB//paaZ//murD//nanS//emrY//yneM//gcvH//dhaM//sodB//tyrB//mtlA//csgF//yciX//acrD//
MetR_neg	trpA//feoC//
MetR_pos	pstB//glgC//cynS//fliC//
MhpR_pos	dhaM//yiiS//recX//dkgB//hyfE//pitB//
Mlc_neg	ddlB//uidB//xylG//flgE//rcsA//rnpB//nuoJ//citF//tpiA//exbD//
MlrA_pos	metY//casC//phnO//sodA//modA//yidL//pdeL//hipB//phnP//gspM//
MngR_neg	gltI//gudD//frdC//
MntR_neg	gutM//sulA//oppF//codA//
MntR_pos	ariR//
ModE_neg	nikC//zntA//ynfF//aceE//treB//galM//norW//rbsB//yqaE//yhdW//fumB//cueO//fepD//soxS//napC//
ModE_pos	cynR//tauD//cysB//stpA//gfcA//ppiD//entB//ftnA//cysI//hha//ybaS//glcB//nrfC//ulaG//sufA//mhpA//cysP//puuE//yqhD//yiaO//feoB//entC//lrp//slp//nanK//metC//hybG//trxC//flu//argB//spy//
MprA_neg	phnE_2//yhiD//srlD//mdtE//rcnB//psd//
MqsA_neg	gltB//yfiB//setA//yneM//lpxD//ppiD//tam//fabD//
MraZ_neg	idnD//lrp//pdhR//purK//ycgR//ulaB//hypB//fhuA//fixC//ebgA//glmS//degP//puuD//yfdV//srlR//argR//fliA//
MtlR_neg	tynA//slt//lsrA//
MurR_neg	appC//omrB//kbaZ//
MurR_pos	gatB//
Nac_neg	mdtC//galR//entA//ulaD//dgkA//fepC//gltB//argR//paaE//
Nac_pos	trpR//asr//murQ//rbfA//creC//rstB//soxS//artP//metC//yccT//torR//tsgA//
NadR_neg	yqjI//rpoE//ftsI//nhaA//
NagC_neg	gntK//pheS//yhjX//narI//tdcD//sgbH//codA//cydD//marR//tolC//sucB//ygeH//ydeN//paaH//ykiA//yfaE//gutQ//potF//ugpA//napD//nupG//deoA//exuR//aceE//dhaK//galR//waaY//pqiA//fau//norR//mglB//sufC//gltL//
NagC_pos	cysD//ccmA//slp//
NanR_neg	nikD//aceA//ulaG//dinI//fucR//hybB//rbsC//yjhC//yqjA//ydiV//
NanR_pos	flgD//
NarL_neg	fdnI//feaB//gatZ//yefM//fecR//tauA//mgtL//chbB//mltF//galR//frdA//eno//dhaR//ymiA//csgC//wecB//dctA//uxuA//ompT//nrdH//cho//mtlR//codB//rffC//nuoL//glcB//manX//mhpE//accD//gadY//gapA//ccmH//napC//aroF//phnO//sodB//garL//mgtA//pyrC//torC//stpA//ygiC//metN//yiaO//mhpA//adhE//ydhV//glcD//glgA//sbcC//cysN//tdcA//argE//purE//evgA//gor//mtlR//malG//yoeB//inaA//idnD//rnlA//fhuA//bioF//gcvH//phnO//aspA//napG//ddpB//ynbC//hcaE//manY//rbsB//mtlA//metJ//hypE//umpH//betB//sdhB//nrdD//tfaQ//tnaC//gatZ//uxuA//ascB//fruB//wecB//
NarL_pos	paaH//mazF//ppsA//uxaA//flgG//pheM//recA//thiQ//tktB//fepC//gadB//malF//rpsO//csgA//alsB//nimR//pepD//aidB//fliZ//tyrB//paaX//fabZ//folA//glnH//torD//iraP//rhaT//ycgZ//hybB//phr//glpQ//amn//uxuR//rplT//fliD//argC//hcp//cas2//gatB//fbaA//prpE//fumC//mngA//
NarP_neg	mhpD//pstA//ykiA//asnA//glxK//ccmC//ydcV//deoB//pqiA//cysG//ybdN//nuoJ//ygiB//deoC//icd//cysI//katG//malK//dicC//rhaA//lpd//ssb//tehB//treR//fadR//ytfE//atoD//phnO//ttdA//pyrD//gltI//gspH//emrK//
NarP_pos	yjiY//acrB//yhjC//creC//ydcU//citG//idnT//gntU//nfsB//dapB//mglC//trpR//dpiA//ampC//yafN//argD//osmC//cysM//malQ//ygbA//ftsA//nupC//galK//agaI//pqiA//motA//leuB//nikC//fumB//dmsC//guaA//fbaB//
NemR_neg	hyaF//tnaB//citE//
NhaR_pos	norW//erpA//gspH//mglC//mcbA//ulaB//recN//
NikR_neg	hycD//mhpT//nrfE//yoaG//fecD//lgoR//
NimR_neg	waaY//fabA//
NorR_neg	paaD//
NorR_pos	hipB//gudP//
NrdR_neg	nuoI//kdpA//atoD//manY//fdnG//fhuB//fadR//fadJ//tdcB//
NsrR_neg	dsbG//lolA//metB//csgE//mgrR//nanK//znuB//gcvB//yoaG//casD//envC//lpxA//citD//cecR//epd//hcaB//paaJ//nlpA//cusF//yibQ//yafP//rsmH//glpQ//gpmM//xylF//cho//ynfK//melB//hisQ//idnO//malG//atoA//pspB//hybE//rnlB//pykF//ykgO//dpiB//mdh//aidB//fadR//rhaD//flgN//prpD//cbl//nusA//ynfE//nimR//dsbG//glnK//fliS//lldD//manY//srlE//katG//yegH//artQ//casC//ariR//iclR//fhuB//hybD//dsdA//nrdH//motA//ascB//caiA//gspG//gspL//appX//atoA//purB//ryhB//metQ//pspA//fhlA//malX//araC//icd//pncB//slp//serA//phoU//
NtrC_neg	srlA//tnaC//bglB//borD//csgB//lpxC//
NtrC_pos	phoP//cas2//entF//rimP//ygeH//osmY//ubiX//gntP//rcnB//rbsK//mdtC//lysO//ptsG//ydeM//flgF//bioC//lacY//gadX//betB//oxyR//asnB//mpaA//narG//mlrA//purD//kdpB//uvrC//phoQ//sfsB//frc//pstA//cydB//argG//galR//mngR//mazE//mnmG//argG//fhuA//ccmD//ihfA//ada//cusB//cysA//ogt//ycdZ//gyrA//mepH//qseC//
OmpR_neg	yoeB//waaY//ccmF//fadI//ugpC//ydcS//ada//garP//iraP//betA//malX//rpsO//
OmpR_pos	gabD//trpA//wzxE//narX//mglB//ydhY//yciG//frc//mhpA//ubiX//
OxyR_neg	iraP//chbC//mgtL//ykgM//uxaA//mqsR//adiA//cyoB//napH//chiP//mpl//relA//
OxyR_pos	gadF//fucA//trpR//uidA//rbsC//gcvT//mngA//ydfH//yncE//nuoG//trpC//fixA//nrdD//rsmH//fur//hyfH//rbsA//gltF//prpR//galE//folE//ddpD//
PaaX_neg	gspE//higA//artP//frc//emrK//galP//torC//murE//ompC//focB//rstB//sulA//nuoH//cspD//
PdeL_pos	glxR//
PdhR_neg	yoaG//hcaR//glcC//glnK//uvrA//leuD//malM//mglC//puuE//pgaD//ftnA//hybC//glxK//ftsL//tdcD//fliL//iclR//yaiW//isrC//entD//argR//cheW//lysO//feoC//pgi//narI//gpmA//ssuE//cysG//cadB//dhaK//treB//frdD//slyB//ybaS//recN//
PdhR_pos	nusA//sucC//gabP//ydfN//ulaC//
PepA_neg	cueO//bioD//gltL//
PgrR_neg	hyfG//nuoN//codB//folE//prpR//nfsB//fabB//glnQ//
PhoB_neg	ycjY//ybjC//lsrC//asr//fadH//torD//hdeA//csgF//idnR//glpF//yqjA//casA//
PhoB_pos	norR//fabH//ydcV//wzzE//araB//purA//recD//treC//yfiR//hypD//cusR//folE//malZ//flhC//accA//lrhA//hycB//moaA//potG//ycjY//yhdZ//nrfF//oxyR//murQ//modA//flhA//rtcA//modB//yeaD//glgA//yfdE//nhaR//tomB//hycC//phr//agaS//gspC//ubiC//yhcH//agaC//mioC//metI//cusB//purB//slp//dhaL//araD//rutD//fabA//malG//ydiV//paaY//nuoI//
PhoP_neg	soxR//tdcD//yccA//folA//lgoR//dicC//lysP//cecR//crl//ygbA//mepH//
PhoP_pos	omrA//wzb//omrB//gudX//atoA//nlpA//ydfE//ycjX//molR_1//atoB//rutB//hyaD//sbcD//grxD//rhaA//hypD//ydhX//tnaC//ftsZ//narI//ygbA//phoA//ruvA//rnlB//phoP//malT//atoD//nfsB//flgD//hokE//ydeO//nuoB//yidQ//nrdD//prpD//rfe//xylG//yhhY//epd//oxyR//ybdZ//mraY//fabD//ldtD//kbaZ//fepB//metF//ugpB//
PrpR_neg	atoE//
PrpR_pos	aroM//ycjF//hemL//dinI//
PspF_neg	hycI//
PspF_pos	agaS//cysI//purB//add//prpE//uvrB//
PurR_neg	sroA//glcA//tpiA//fliL//hflD//hlyE//phoA//lysA//glnD//ynfG//lysR//cusF//allB//artJ//sufC//agaS//sroC//mdtA//pepD//gspM//cysJ//acnA//napF//nikA//glpD//polB//paaJ//yeiL//glpB//phnC//paaD//
PutA_neg	ymgA//nupC//
PuuR_neg	dnaA//rfe//lysR//argP//galP//efeU_2//ebgC//
QseB_pos	fliR//ariR//paaG//lpd//
RbsR_neg	hybF//fucA//dsbA//glnD//ydiV//tktB//bolA//hyaB//
RbsR_pos	rbsD//
RcdA_neg	lsrG//pheT//
RcdA_pos	tehA//ulaD//lgoR//mgrR//uspA//isrC//soxS//
RclR_pos	wzxE//flhA//ftnB//
RcnR_neg	glpB//ompT//rpmI//
RcsAB_neg	phr//phnE_1//yafO//asnB//fliS//yhdZ//
RcsAB_pos	zraS//yeaE//sgrS//nanM//yiaO//flgN//casE//ynbA//marR//psd//
RcsB-BglJ_pos	putA//nohA//fadJ//yhbS//rclB//argR//gutQ//tsr//ariR//trpR//nfuA//fdhF//yneM//mglA//rhaR//gltI//
RcsB_neg	tnaA//csrB//
RcsB_pos	hisQ//aroM//mcbA//idnD//mgrB//yfdX//tdcA//uspE//pspA//yeaR//dps//bglJ//waaY//rimK//adhE//flgF//flgD//cpxA//fau//mhpD//glpF//cynX//sgbE//
RelB-RelE_neg	uvrD//pheT//pflB//
RelB_neg	fliO//hyaD//obgE//
RhaR_pos	dhaR//glpK//
RhaS_pos	nuoF//mhpD//fucA//fepA//sfsB//ruvA//
Rob_neg	nuoF//
Rob_pos	bacA//cysH//gatZ//pgaD//ascB//yhhY//gcl//iscU//dcuR//ycjG//idnR//hypF//nrfE//yiaL//caiB//yeaD//wzzE//gspE//soxS//mscM//mngB//yafO//hybB//phnH//flu//
RstA_neg	dnaN//ompC//cytR//nrfB//iscA//
RstA_pos	slp//metH//gcvA//ugpB//ynjI//
RtcR_pos	entH//gntX//
RutR_neg	ydhT//fliZ//araC//dcuS//fliQ//hyfG//appA//hisJ//csgA//srlB//phoA//fliT//mepH//hycD//gltD//
RutR_pos	hypB//murC//
SdiA_neg	infB//metC//fur//
SdiA_pos	ulaD//pflB//ygiA//
SgrR_neg	fucP//hycC//infB//dpiB//ubiC//
SgrR_pos	mhpF//dsdC//nupG//acnA//
SlyA_pos	mltF//
SoxR_neg	napG//
SoxR_pos	dicB//iclR//
SoxS_neg	glcE//wecB//
SoxS_pos	accD//dkgB//carB//cyaR//rstB//betB//glnG//tcyP//fadA//purE//waaZ//fruA//hyfJ//dgcZ//gspJ//glnH//sbcC//mdtE//fadD//cusB//norR//lacA//dinQ//fliJ//cytR//rbsD//yafO//insD//uxaB//fruB//putA//rimP//hyfC//lldR//safA//purN//garD//gltD//
StpA_neg	mhpF//fliA//flhD//leuB//fadM//rbsB//malY//
SutR_neg	ppdC//fdhF//uvrC//fadB//mdtB//
SutR_pos	dpiB//
TdcA_pos	uof//nrdD//argA//gspD//yibQ//galS//yedX//
TdcR_pos	dmsD//leuB//rstB//phnE_2//nrdI//casC//pgaC//
TorR_neg	hokE//sgbU//leuB//
TorR_pos	allE//trpA//omrA//nlpA//micF//stpA//ydhU//recF//asr//
TreR_neg	aroG//acrA//
TrpR_neg	lpxC//mhpF//tisB//ygdB//rpoS//cusS//metE//higA//epd//garL//paaY//pfkA//
TyrR_neg	yqhD//lolA//lsrG//fliC//idnT//glpD//motA//phnD//nlpA//sufE//
TyrR_pos	alsA//tyrB//hypD//
UhpA_pos	pspE//
UidR_neg	ymiA//phnE_1//nrfE//caiC//
UlaR_neg	rseA//cysI//ubiX//tsx//rimP//cysE//mazE//
UvrY_pos	oxc//chbF//gspG//argG//kbaZ//
UxuR_neg	appX//acnA//katE//rhaD//wza//torR//tolC//wrbA//mazE//
XapR_pos	atoA//ulaF//
XylR_neg	hcaE//
XylR_pos	ygdB//feoB//sbcD//prpD//fdnH//paaG//
YdeO_neg	yeaH//ybdZ//
YdeO_pos	allE//nemR//rbsK//rbsA//hdeB//mtlA//citD//yeaH//oppF//fecI//yoaG//glnG//potH//purD//caiT//add//yeiL//gadW//uof//
YedW_neg	paaI//alaC//ddpX//ruvA//manY//
YedW_pos	gntX//norV//purE//chbR//casC//puuA//pspD//
YefM-YoeB_neg	ybhF//rseC//
YefM_neg	xylF//asnC//
YehT_pos	aroF//
YeiL_pos	rutB//
YiaJ_neg	oxyR//ftsQ//marA//sufE//aceK//nanS//glnK//dpiB//frdA//ldtD//
YjjQ_neg	glnQ//gadB//oppD//nikR//ppsA//gatY//agaI//phr//copA//fabA//
YpdB_pos	malF//
YqhC_pos	argH//pepA//
YqjI_neg	ruvB//hybF//
ZntR_pos	motB//
ZraR_pos	dctA//flgG//rhaR//
Zur_neg	pstS//dnaN//yaiA//puuE//dacC//nrdG//
