#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ycjG//argP//
CytR_neg	chbA//recC//malP//mlc//adiA//yqhD//dcuB//ydcV//sdhB//csiD//decR//citD//rclA//
Dan_pos	mazE//dinQ//malY//envC//
DcuR_pos	fpr//ynfE//narI//tisB//yfiR//rybB//araH//zraS//katE//
DeoR_neg	epd//fabZ//fhuA//yhbT//mpaA//dsbA//
DhaR_neg	tauB//
DhaR_pos	pyrD//cheA//mazF//
DicA_neg	araH//gadX//rplU//ubiX//rutA//appA//yiaL//acrB//
DinJ-YafQ_neg	cysA//fliD//ygbA//
DnaA_neg	ydfW//flgB//cyoD//yhdX//ccmF//casC//lldR//nadB//pnp//nanT//katG//
DnaA_pos	citE//argD//ygbK//ftsL//murF//ftsI//yhdZ//
DpiA_neg	cho//
DpiA_pos	ddpA//hyfC//nikC//nuoI//phoH//gudP//ygiA//rffT//xapA//nirC//
DsdC_neg	napF//
DsdC_pos	tsx//ydeI//
EbgR_neg	yqjA//fabA//
EnvR_neg	sodB//yhbS//
EnvY_pos	btuB//dsbA//
EvgA_pos	uxuR//glpA//rutG//hcaC//dsbA//hycA//rutC//csgC//rffG//modB//hybA//hflD//citF//caiF//nanM//dcuB//wza//lacA//ssuD//
ExuR_neg	ybiT//gspI//hyaF//mraY//amtB//tonB//yidL//fhlA//cynR//
FabR_neg	argG//btuB//
FadR_neg	malS//ybjG//yafN//ssuE//mepH//cusC//frdA//hokD//ung//prpR//fliQ//
FadR_pos	csrB//glgX//dhaR//ybhL//grxD//marB//cadA//nagC//evgA//puuP//dcuD//rpsU//
FeaR_pos	tisB//wzb//
FhlA_pos	ygeH//bacA//paaD//cydC//ccmC//fixA//nuoB//ydhW//phoA//yjbG//fucP//bioA//rhaT//artQ//lsrB//manZ//rcsA//frdB//yjbE//phoU//dkgA//iscR//cysI//fbaB//sdhC//ygbA//feoA//sgrR//psiF//rhaR//
FlhDC_neg	yoeB//nimT//phoB//mzrA//
FlhDC_pos	rtcA//ybhR//hcaB//ulaG//purL//hisP//hha//ccmG//mdtC//nuoJ//waaY//gudX//paaX//agaS//leuL//ssb//lysR//gatZ//osmB//entE//ugpQ//yebE//glpF//gspO//alsA//cyoD//fecR//phnD//pyrD//metN//cyoA//allC//ymjC//yjjZ//mngR//yibQ//ygdB//rseA//wzxE//iraP//hyfI//fliZ//dcuA//fecA//malT//nirB//chbB//rob//mazG//deoB//xylG//deoA//dgcN//betT//evgA//paaA//iscR//phnE_2//malZ//fdnG//bdm//moaB//sdhC//caiF//hyfJ//torA//stpA//truB//nimR//fdhF//uxuB//bglF//fruK//aroF//rtcA//nikD//hcp//paaD//
FliZ_neg	entS//rpiB//fumC//ybhF//ydfH//paaI//araD//ulaG//rutB//moaD//iraP//nadB//ccmC//hybG//ydcS//metN//uidB//lgoR//ddlB//glgX//tdcE//
FucR_pos	ydeN//tyrP//cysI//yhbS//potF//cadB//sgbU//
Fur_neg	ygiA//emrY//cyoB//trpE//paaD//malQ//ybjN//gdhA//ihfA//puuR//aroH//phnD//yoaG//mhpA//xylR//norW//btuB//baeS//alsB//mntP//murQ//yeaG//glmY//napC//ymgA//murE//hyaC//efeU_2//fhuE//xylA//adhE//cusC//ebgC//hyfE//slp//dkgB//fliM//hipA//yqjI//pspB//yqaE//hybE//hokE//napD//hemH//nanK//caiB//hyfH//ubiC//hyfH//rnlB//nuoB//rutB//mngA//xapA//dicC//murF//kdpC//rpiB//uxaB//ygiA//cpxA//dsbC//malK//nuoF//alsC//adiC//speA//ebgA//puuR//rsmH//pspF//ftsQ//fliZ//torC//mtlR//appY//tam//yqjH//tyrR//leuD//caiA//nrfB//fliI//gadC//yjhC//leuA//phnE_1//galP//ygiZ//add//xylH//cspI//iscU//psiE//phnE_1//hyfD//nuoA//fadB//zntA//purK//cysG//tbpA//psd//hycG//zraS//mqsA//mntH//qseC//polB//atoA//rseC//phnG//aceB//rybB//
Fur_pos	ddpB//trpC//exuR//gnd//nmpC//dicC//cydB//cydC//sodA//phnE_2//flu//infB//yfiR//hcaD//tisB//ogt//ecpR//narJ//mtlD//csgG//fur//
GadE-RcsB_pos	ynbB//csgE//phoB//chbB//yhiD//yjbG//phnE_1//ydhX//xylH//
GadE_pos	tnaC//nuoL//nagC//mhpE//dctA//uidC//nrfC//katE//mazE//dsdX//argA//umpH//ycgZ//dctA//fliT//ulaD//pdeL//tdcE//mpl//nirC//lrp//ulaA//ccmE//yidL//gpmM//yncE//glgC//ygiC//hipB//
GadW_neg	sulA//pgaC//dsdX//fadA//oppC//pitB//osmY//yciX//envC//fepE//garP//
GadW_pos	uidC//crr//ydhX//nagA//yfbR//metQ//narH//pflB//xylR//fes//pqiB//
GadX_neg	accC//ssrS//tsr//nrfE//lon//aldA//
GadX_pos	dgcC//lpxA//gcvH//ptrA//sgrS//dctR//cadB//fliS//mhpF//purC//nagA//murP//ttdT//narJ//mtlA//ftsA//cusS//lexA//nadB//hokE//rpoD//casC//entS//nuoC//galP//ompC//mhpC//
GalR_neg	yjiY//nfuA//guaA//leuA//recX//lysA//nuoA//bioC//ccmC//purH//
GalR_pos	rimP//narI//uspD//rstA//
GalS_neg	nrdE//ydfH//cyoA//citE//fadI//csgA//tsx//araB//yegR//putA//
GalS_pos	fecB//accC//glgX//soxR//
GatR_neg	argR//pspB//umpH//hyfB//aroM//dapD//
GcvA_neg	htpG//lysC//dinB//degP//
GcvA_pos	cynT//allD//patA//moeB//
GlcC_neg	flgA//
GlcC_pos	entF//rffM//cspD//agaV//mazE//lpxD//
GlpR_neg	purH//hycB//fabB//ygiA//potH//hcp//dhaL//phnE_2//omrA//
GlrR_pos	narJ//envC//aceA//casE//tdcD//
GntR_neg	fhuD//prpE//sdhD//hisP//envC//carA//allS//slp//zntA//rffH//rpsU//trpL//
GutM_pos	ompN//metH//mdtA//yiaN//chbC//narH//metY//
GutR_neg	polA//pgm//degP//dsdC//leuB//garP//hyaF//
HU_neg	chbR//gspJ//mhpD//cysG//nrfG//cadB//appY//yneM//
HU_pos	wzb//
HcaR_neg	argR//
HcaR_pos	dnaG//phoP//yiaJ//fadL//idnK//
HdfR_neg	caiD//hypE//
HdfR_pos	ssuB//phnO//narI//
HigA_neg	tisB//cydB//
HigB-HigA_neg	gspM//lysR//
HipAB_neg	appY//cyoB//allD//lgoR//fiu//
HipB_neg	fimB//waaH//nirB//ydhV//dhaL//sdhA//
HyfR_pos	gspD//speA//fdnH//gor//feaR//yfdE//napG//phoU//ydcS//insD//creC//ybhS//
HypT_neg	focB//trpD//cyaR//malT//astD//
HypT_pos	fadL//uvrB//fadR//hyi//gspK//ybiT//hlyE//dgcC//
IclR_neg	glgC//gadW//arsR//betI//
IdnR_neg	ydhY//mhpB//
IdnR_pos	rffG//paaI//aroP//uvrC//rstA//
IlvY_neg	eda//
IlvY_pos	ccmH//
IscR_neg	rhaS//purD//yfbR//malS//alaC//omrB//tdcD//gspJ//sucC//creC//moaE//cbl//hybE//hisQ//agaC//appC//cytR//moaA//rffH//modC//add//
IscR_pos	phr//dnaA//ybbY//yhjC//rutC//infC//rbsD//rpiB//focB//aslB//torC//
KdgR_neg	truB//trpA//
KdpE_pos	entC//fhuE//rclC//moaE//
LacI_neg	yjeV//hlyE//ycdZ//
LeuO_neg	carB//ybiT//hokD//
LeuO_pos	mraY//tadA//hyfE//potF//metF//rseC//rob//puuD//gloA//rplT//truB//sgbE//betT//ymiA//bacA//mdtF//gadA//ygaC//
LexA_neg	dicC//gudP//agaB//cyoD//envC//phnE_1//metE//pgm//spy//argR//crl//mqsR//cusF//betT//pgpC//cirA//recF//purR//tauB//sucC//yaiW//ykgM//garP//fliH//tdcC//marR//purE//gltF//pgaC//hybC//ccmC//purR//ydfH//fhuF//appX//rybB//flu//phnP//betA//hybC//phoE//yidQ//wzzE//hyi//malZ//fliQ//ybhR//ccmE//frdD//yhcH//casB//sufD//yrbL//paaH//phoQ//argD//aroF//flu//entE//
LldR_neg	sroA//uvrB//rcsA//
LldR_pos	nikD//cysU//iclR//
LrhA_neg	ulaD//bioD//
LrhA_pos	gpmA//argH//
LsrR_neg	yciW//yhdW//fruA//nagA//relA//manY//pqiB//ftsQ//gatY//
LysR_neg	chbR//
LysR_pos	fucU//
MalI_neg	gcvB//phnC//paaA//
MalT_pos	hisP//rbfA//moeA//pspF//hipA//dinI//yhjC//flgA//cdd//yfdE//
MarA_neg	purA//ccmE//puuB//guaA//yegZ//phnL//narG//
MarA_pos	mipA//ybaT//bdcA//chiP//paaC//potH//paaA//cadB//iscU//gntX//cpxR//ppiA//yhhY//hyfG//deoB//lsrF//bacA//galE//infC//zraP//fabA//grcA//yegZ//dhaM//marR//entC//cysN//ttdA//leuB//ybhS//fliO//
MarR_neg	cra//carA//cysD//
MatA_neg	nemR//sufB//cynX//appA//ptsG//araC//
MatA_pos	ycgZ//sufS//
MazE-MazF_neg	lexA//fepC//rplU//
MazE_neg	fepE//guaB//yegR//
McbR_neg	ugpE//
McbR_pos	glk//hisP//ftsK//
MelR_neg	tnaC//rutF//glcB//
MelR_pos	bhsA//ascB//sgbE//
MetJ_neg	erpA//napA//galM//hyfF//manX//yhjC//zinT//gntX//recN//grxA//gatA//gspJ//argO//rutC//hlyE//
MetR_neg	yhcH//add//
MetR_pos	hyfA//ynfG//umpH//puuB//
MhpR_pos	murC//murP//aceK//yafO//tpiA//ndh//
Mlc_neg	ccmG//gcvT//metC//entS//prs//acrA//ldtB//rdoA//nhaA//spy//
MlrA_pos	nac//mzrA//mltF//mazG//mqsR//gspF//ppiA//atoB//leuL//flgD//
MngR_neg	yhdW//hydN//phoB//
MntR_neg	caiB//aspA//torA//tdcG//
MntR_pos	galE//
ModE_neg	omrB//cydB//dsbC//hyaF//cysK//wzxE//crp//ryhB//rbsA//flhE//yidL//rpoD//fucR//hybG//phoU//
ModE_pos	lsrA//yebE//ydfD//lldD//araG//astC//napA//csgA//argI//gcvH//glnB//fldB//caiB//ydfN//murR//dnaA//icd//tauB//sucA//gatY//wecC//ppsA//fldB//hybA//fliJ//araH//accB//focB//mdtD//yoaG//nuoE//
MprA_neg	lolA//gspO//phnL//fldA//idnK//yeaE//
MqsA_neg	glcA//ccmG//lldD//yhjA//paaX//citE//ung//cspD//
MraZ_neg	osmB//pgaC//hyaC//phnI//paaC//ydfE//asnC//zwf//ddpD//aspA//mpl//pdeR//lsrR//rhaB//rffM//mdtC//adiC//
MtlR_neg	sbmC//gcvP//nanE//
MurR_neg	rybB//csgB//murD//
MurR_pos	glpX//
Nac_neg	glnA//treC//ppsA//ydfX//znuC//idnT//flgC//mipA//caiB//
Nac_pos	insD//emrA//tyrP//glnL//yafN//cbl//rpmA//tdcE//dinB//leuA//gabD//recA//
NadR_neg	fixA//cusF//rseB//gatD//
NagC_neg	tdcB//uof//yjhB//tdcC//cusA//purC//yfdX//dsdA//yqhG//hyfC//uxaB//dcuS//nuoI//zwf//inaA//mgtL//thiQ//hybF//fliC//pspC//murC//entF//crr//puuD//fdnI//nrdG//melB//yncE//sdhA//fliK//casB//rstA//rnpB//
NagC_pos	atoD//ulaF//bioD//
NanR_neg	nrfE//sfsB//grcA//tpiA//glpA//hipB//cusS//dgkA//mhpE//cysK//
NanR_pos	prpC//
NarL_neg	hcaE//nuoH//galR//ftsW//gloA//yjiY//nfuA//gcvA//focA//fhlA//mngB//flgK//rbfA//ynfG//tyrP//napA//mzrA//ppiA//nanM//nuoN//cysH//trpC//sufE//fepG//cdaR//dgcC//wcaB//mpl//gspG//ruvA//metI//mpl//cysI//kdpB//hyi//cheW//ilvY//gltL//napA//sdhB//phnJ//melR//cysW//yrbL//nikD//iscS//nanM//ttdB//slt//wcaA//glpB//ddlB//nuoM//flgN//tcyP//mscM//flgH//folA//hemH//feoC//cspE//pdeH//fdnI//gabP//hokD//recN//nanK//ycjX//gudP//ygbK//yciF//murQ//yoaG//betT//yfdE//yhdW//fadB//moaE//fliE//cpxQ//iraM//micF//wecB//yiaO//omrB//nikR//murD//
NarL_pos	relB//yjbE//moaA//mlrA//fucK//ydcU//wzzE//artP//fes//appC//cyoE//napD//malX//sgbH//gspD//mhpT//rutB//folA//bamE//grxA//tisB//sgrS//ssb//araD//argB//dgcN//motB//purB//frc//hokD//torR//thiP//fucR//phnK//flgK//sfsB//ssuB//fliS//ynbB//nuoN//hyaB//nrdD//sdhA//
NarP_neg	mprA//cra//molR_1//amn//nfsA//adhE//mlrA//yfdX//gloA//ssuE//ugpC//cheW//hcp//rpoE//norW//fliN//paaJ//nikC//feoB//fixC//nuoK//ebgA//agaW//qseB//bglJ//ulaA//ybbY//tcyP//dcuB//rybA//tnaB//aceF//umuD//
NarP_pos	fecI//ykiA//focB//gatB//tolC//zinT//caiD//srlB//yafP//cirA//wzb//yebG//nikE//tynA//ccmF//aceB//kbaZ//dcuD//pspF//lsrG//yiaK//rbsK//eda//marB//xylH//ybbW//melB//lolA//ycjY//fhuD//fliT//yccJ//
NemR_neg	fliI//seqA//phnD//
NhaR_pos	tam//yjiY//kdpF//argP//ygeH//hcaF//glpX//
NikR_neg	ppdA//murP//gpmA//hcaC//torD//rhaD//
NimR_neg	ydfX//murP//
NorR_neg	flgB//
NorR_pos	chbR//ugpA//
NrdR_neg	malI//rnlB//atoA//torC//hipA//phnH//hns//phnP//nimT//
NsrR_neg	htpG//kdpB//bioD//bamE//speA//pspG//allS//gabD//yeiB//yeiB//gpmA//omrB//zraS//fliD//metL//glxK//mnmG//ubiX//glpT//csgB//phnD//tauC//artJ//mhpA//pstC//alsA//dacC//hha//emrB//glcA//glcF//malE//murF//yfdV//focA//adiA//rseC//napG//ssuE//ppdA//ilvC//glcA//fliI//pgaB//nanE//yjbE//bglG//astD//bglF//norW//ykgM//sroA//dgcC//fliN//feaB//dnaG//yqhG//manX//puuR//rclA//crp//gadA//creB//lsrR//lsrK//asnC//dapB//fadA//puuC//fliL//ung//ccmB//chbB//hisM//rpiR//nemA//alsC//phnD//bacA//tnaC//exbB//dhaK//paaC//
NtrC_neg	aroP//nadA//mhpF//emrB//nfsB//flgM//
NtrC_pos	phnG//gspE//wecC//acnB//lacZ//glnG//caiE//malP//glmU//rybB//recD//lgoR//nanT//dinD//gudP//ppsA//hns//ubiA//phnH//metC//pdeL//rybA//melB//melB//hyfA//cydA//wecB//add//dmsC//gudX//pheS//allA//tyrB//murI//xylR//agaR//yjbF//ompC//rseA//pheM//yiaO//alsA//entE//nrdB//tcyP//hyaD//ydfE//erpA//cynT//
OmpR_neg	xylF//pncB//entC//hycH//entD//csrC//idnO//phoE//zntA//betT//fliS//murD//
OmpR_pos	eda//ascF//metI//phnI//bioB//psd//hns//add//narX//yhbS//
OxyR_neg	sgrS//hydN//yebE//mhpE//ppdA//ychF//sgbU//ddpA//safA//ftsA//oppD//acnB//
OxyR_pos	metY//ulaC//ptsG//rob//ftsZ//uxaA//ydiV//phoH//wzzE//ttdR//btuB//nuoC//malG//argG//pgaB//rnlA//lolA//cdaR//trpC//nuoB//tauD//gspH//
PaaX_neg	ompF//borD//isrC//trpD//sgrT//ycjG//ymgC//sroC//dinB//dsbA//fimB//potI//glnG//fldB//
PdeL_pos	gcl//
PdhR_neg	mcbA//nanK//umpH//potI//yciF//oxyS//ftsQ//fepD//sgrT//fhlA//tnaA//hycE//tpiA//recD//sutR//recF//rpmA//melR//malI//fucU//glcE//ychF//ydhY//pgm//phnP//yrbL//relB//araJ//manY//yciG//gloA//yebG//cusC//fucI//frdB//fliT//
PdhR_pos	lsrF//hdeB//nuoJ//flgL//nuoL//
PepA_neg	flgG//sucC//inaA//
PgrR_neg	casD//malY//allS//ymgC//lsrC//yeaD//dhaK//astB//
PhoB_neg	pck//pspF//hcaC//deoD//atoB//gspO//modC//flgL//relA//gspJ//hyaC//ydfH//
PhoB_pos	nrdG//evgA//cadC//inaA//yccJ//sgbH//gatZ//phnC//rseA//oppC//glpT//ytfE//fadH//sroD//pyrC//citX//motA//allE//pnuC//ppiD//araJ//sufS//ymjC//agaB//nadB//pitB//hslJ//yccT//cysW//aceE//ydcU//mngB//yccA//mscM//ryhB//fruB//purF//citE//hemH//garP//csrC//fabB//crr//nikD//mazG//nrfE//gspD//dgcN//yhiD//garD//murR//alsB//nuoK//
PhoP_neg	ppdB//wcaB//metY//bglJ//rpiR//pgk//lacY//galT//cusR//mdtA//fecB//
PhoP_pos	mhpD//fimB//hlyE//artJ//znuB//yhbS//dgcZ//hyfE//idnD//oppA//gfcA//gspH//gltK//dctA//rhaB//gspE//frdA//copA//molR_1//dgkA//aroL//fdhF//relE//ampC//ftsW//uspA//ampC//aroG//paaX//dctA//pnuC//degP//tynA//glyA//ssuC//rclB//aspC//ptsG//alkA//ompT//mdtA//rarA//murC//nupC//araD//glnD//tsr//fimB//
PrpR_neg	entE//
PrpR_pos	hyfD//nuoI//fabI//yoeB//
PspF_neg	mprA//
PspF_pos	fumB//sra//agaS//mdtF//tcyJ//dinF//
PurR_neg	asnC//torA//cusF//paaG//ftsA//glnB//cyoB//htpG//fliO//yegH//bacA//paaJ//oxyR//hcaF//ygdB//araF//ygaC//flgL//rhaR//xapB//rnpB//eno//fdnI//norR//rseB//ccmD//ydfD//allS//lldD//argT//glpA//
PutA_neg	pspD//puuP//
PuuR_neg	ttdR//fes//epd//rhaD//ppdB//hmp//torD//
QseB_pos	phnK//casA//csgC//recC//
RbsR_neg	nikR//nupC//frdB//nhaR//ydcV//ddpC//dicB//hycB//
RbsR_pos	flgI//
RcdA_neg	rcnB//deoD//
RcdA_pos	nikA//pnp//araB//ynbA//appC//metH//fadE//
RclR_pos	rbsK//ydbK//hypF//
RcnR_neg	gadA//ssuC//yqjA//
RcsAB_neg	frc//purM//rseC//glpF//nuoH//csgD//
RcsAB_pos	glgP//ddlB//fabB//nfsA//flgI//sufD//ygbK//ibaG//aspA//rhaS//
RcsB-BglJ_pos	recB//amn//pstC//pykF//ymiA//infB//uxuR//hycG//ymiA//leuA//cusA//ldtC//ygiA//ydcT//uxuR//ulaG//
RcsB_neg	katE//ompW//
RcsB_pos	ulaC//cpxP//glnP//moaB//oxyR//tehA//hycI//fliC//yagK//tauA//grxD//glnH//fecE//nadB//manY//zraP//ftnA//garL//potI//relE//qseB//atoD//yhdZ//
RelB-RelE_neg	treR//nanC//ddpA//
RelB_neg	citD//ihfA//mgtL//
RhaR_pos	nfsA//cra//
RhaS_pos	icd//hybG//rpoE//rpoD//fliN//hyaA//
Rob_neg	glnA//
Rob_pos	paaK//sdhD//putP//cyoB//sufC//gudP//manY//hemL//modA//yhbS//yciF//dcuB//yedX//ompC//nirB//efeU_1//aspA//torA//fliN//aceB//omrB//ftnB//sra//malT//yiaK//
RstA_neg	zntA//ldtD//dkgB//iraP//rpmI//
RstA_pos	pspA//tcyJ//tsx//nhaR//ompN//
RtcR_pos	garK//cspE//
RutR_neg	stpA//rutD//atoB//gapA//omrA//lsrK//hycG//ldtC//mdtF//ybfN//moaC//malI//argF//gltB//nikR//
RutR_pos	astD//metE//
SdiA_neg	ybaT//flgE//casA//
SdiA_pos	oppB//sodB//gspJ//
SgrR_neg	yfdE//fliA//leuA//envC//yhdY//
SgrR_pos	tnaB//rseC//hyaF//stpA//
SlyA_pos	trxC//
SoxR_neg	oppD//
SoxR_pos	yjbE//waaY//
SoxS_neg	leuB//hyfH//
SoxS_pos	feoC//ttdB//yhjC//lsrC//higB//citD//hybB//mdtA//csgB//ompF//sgbU//osmB//hypD//zraR//nanE//argO//dmsA//mnmG//ppiA//argO//udp//phnE_2//guaA//ttdB//mraZ//tdcA//fliP//rcnR//nusA//yfaE//mdtE//melR//arsB//ybbW//garL//moaD//tsr//fucU//
StpA_neg	hcaC//puuE//yeaD//recN//kdpA//ybdN//mntS//
SutR_neg	yeaH//fucK//rstA//norW//pgaD//
SutR_pos	ycgR//
TdcA_pos	phoB//ykgM//nuoK//codB//sufE//kdpB//tdcD//
TdcR_pos	moaB//sufS//pnp//betT//hns//guaA//cytR//
TorR_neg	icd//aidB//ynfH//
TorR_pos	cadC//nrdF//relE//garL//luxS//yidQ//mprA//rutE//mprA//
TreR_neg	paaE//glk//
TrpR_neg	ccmD//wcaA//ynjI//ccmD//folA//fliC//nadA//hybC//atoE//rprA//setA//evgA//
TyrR_neg	nuoF//mhpB//fhuE//uxuB//metH//paaB//purR//speB//malS//gspF//
TyrR_pos	rffG//paaE//aceF//
UhpA_pos	bdm//
UidR_neg	fimB//flgF//ycgZ//cusB//
UlaR_neg	araC//sucA//hcaC//ydeN//yebG//yhdZ//fliP//
UvrY_pos	nfsB//hyfI//glpF//nanA//ynfE//
UxuR_neg	ompN//recF//yqjH//paaG//csiD//patA//yhjC//nlpA//nohA//
XapR_pos	fruA//bhsA//
XylR_neg	yqjI//
XylR_pos	yeaE//erpA//cpxR//pyrC//pdeH//gor//
YdeO_neg	rplT//hyfG//
YdeO_pos	yjiY//rstA//cydD//mazG//cdaR//gabD//folA//mlrA//cadA//cheA//ybjG//malP//yciE//srlE//fruB//rutE//manY//add//rcnR//
YedW_neg	ybjN//yhjA//ppdC//mngB//htpG//
YedW_pos	fadD//modB//ibaG//mscM//pspD//bamE//phnN//
YefM-YoeB_neg	ftsL//gnd//
YefM_neg	znuB//caiC//
YehT_pos	yhdZ//
YeiL_pos	frdC//
YiaJ_neg	argP//phnE_2//feoC//slyB//prpE//baeR//yeaH//ccmE//gltF//dcuB//
YjjQ_neg	hemL//srlD//pspF//cspD//purR//casB//nuoJ//hyaA//agaR//pnp//
YpdB_pos	ydfX//
YqhC_pos	ygdB//moeB//
YqjI_neg	adiC//idnD//
ZntR_pos	ddlB//
ZraR_pos	tnaC//tehA//hyaD//
Zur_neg	ccmH//narH//dpiA//gdhA//yafO//lpxC//
