#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	prpD//pdeL//
FhlA_pos	htpG//oppB//paaF//oppB//gltI//artM//pspG//mepH//folA//gspH//bglF//tcyJ//pheM//accA//dmsB//mtlD//ydhT//gyrA//fecB//ycjX//ftsA//flhE//galK//phnO//nupG//ybfN//glxK//cydD//rffG//nrfF//
FlhDC_neg	mlrA//phnF//sbcD//mhpC//
FlhDC_pos	ydcU//cpxA//fecA//arsB//icd//phoE//sfsB//yiaO//paaG//dgcN//ampC//bacA//xapB//ddpD//arsB//envC//lysO//dgcC//pdhR//hycD//phnO//hybC//rhaS//uvrY//nfuA//gspK//phoA//dcuS//cra//hisM//argO//fliJ//mtlR//malG//bioC//fepD//ygeH//bamE//galM//hcp//torD//rpoH//pgaD//rffM//napH//wzxE//pqiA//ygbK//gadW//ecpA//pgaB//mraZ//nikE//dnaA//hisM//phnN//bhsA//aceE//ibaG//narL//aroM//mgrR//agaB//glcD//fabD//ydfW//ptrA//ilvY//trpD//nikR//emrA//folA//yecT//mtlD//fixA//recF//nimR//gspL//
FliZ_neg	srlA//nuoF//ftsK//gutQ//ptsG//metQ//gcvT//qseB//mtlD//metL//flgA//ecnB//rybB//rpoD//aspA//ihfA//malQ//flhB//zraP//nimR//zraP//
FucR_pos	yjbE//arsB//hybE//astC//prpB//mprA//pnuC//
Fur_neg	rdoA//fucI//codA//cspD//intQ//erpA//murI//dgcC//btuB//appC//sufA//fbaB//fliC//tauD//ftsA//nrfF//cysW//pspF//pitB//cynT//dnaA//cynT//arsB//bioF//norW//hyfI//rbfA//yhjC//mhpT//guaA//zinT//ydhU//fabD//fimB//dapB//yeiL//speA//narJ//hokD//phnJ//nikE//csgB//gspL//csgC//cysI//katG//glnD//torA//lldR//hyfB//torA//oppD//fliS//ampC//fliP//csgD//paaY//exuR//lsrD//guaB//nmpC//alkA//ppc//mngR//skp//hybA//citC//yoaG//lacZ//paaG//fliQ//dcuR//dacC//rpsU//hcaD//nmpC//yhiM//hipA//ompN//ugpB//efeU_2//nemA//mltF//araB//aroH//modC//uxuB//fliI//flgJ//chbA//dnaG//ttdA//kbaZ//hybA//xylR//dgcC//prpD//phoQ//treB//molR_1//murF//aceK//nanS//yjhB//rpoS//glmY//ftnB//nfsB//nrdI//paaF//glnA//cyoC//dcuS//appA//gltB//
Fur_pos	caiA//nrfD//tdcE//gabT//fliQ//tcyJ//ompN//putP//nagA//nadA//paaC//ycgR//setA//chbA//moeB//gatY//dnaN//gntP//phnL//dinF//glnH//
GadE-RcsB_pos	caiD//mzrA//gltK//phnH//gcl//pgi//dps//pqiB//mhpE//
GadE_pos	allC//pflB//mhpE//nhaR//dpiA//nadB//pstA//dcuB//metY//nrfE//chbB//puuB//cpxR//sufA//nuoH//rclC//ddpB//cysJ//ssuC//flgH//ykgO//hycH//nfo//lrp//dsdA//ftsZ//napF//prpC//melR//
GadW_neg	narX//gdhA//sucA//lyxK//glcC//glxR//yhcH//uvrA//appA//yhdZ//phoP//
GadW_pos	ppsA//lamB//potG//fbaB//mdtC//dhaL//ldtC//ecpR//nrfC//hyi//yqhG//
GadX_neg	fur//murC//nadA//lysO//hisP//ung//
GadX_pos	prs//gudP//alsC//ybfN//dmsD//bglF//cydC//flgC//puuP//glnH//fadH//ccmD//mazF//araG//entB//yebG//nuoM//rstB//paaA//nanM//kdpB//malY//fecA//hyaB//csgC//sgrS//ugpE//
GalR_neg	gltD//sdhA//ynfF//glgC//creD//rseB//pdhR//phnD//purE//glpF//
GalR_pos	fliT//dinB//ftsQ//srlE//
GalS_neg	soxR//yaiA//insK//phnJ//yciW//zwf//moeA//phoQ//malI//yhcH//
GalS_pos	fecA//modC//hlyE//tcyP//
GatR_neg	aroL//entS//cusB//hybB//nrdF//ydfH//
GcvA_neg	pqiA//glpT//bhsA//tomB//
GcvA_pos	iraM//nanS//rpoD//citC//
GlcC_neg	hyfF//
GlcC_pos	treC//accC//uspA//flgJ//csgA//yiaO//
GlpR_neg	fdnI//cysB//csgG//uspA//nuoN//yfiB//metY//yfdX//osmC//
GlrR_pos	yjbG//bdm//glk//codA//gatA//
GntR_neg	yeaH//mraY//puuR//ebgC//lgoR//oxyR//creC//emrY//ydfD//uxaB//moeB//narX//
GutM_pos	rnlA//glcD//ycgZ//hyfG//uvrB//pspF//rimK//
GutR_neg	yiaK//nikB//glpQ//hokD//tauC//yebG//ybhF//
HU_neg	sucC//fliS//galM//fecR//leuO//cysH//rutR//gntK//
HU_pos	sucA//
HcaR_neg	casE//
HcaR_pos	gspG//puuD//fixX//narH//gntP//
HdfR_neg	atoD//zwf//
HdfR_pos	murD//rpmA//tyrR//
HigA_neg	nanS//emrY//
HigB-HigA_neg	recC//alkB//
HipAB_neg	katE//yfbR//argO//sgrR//gudP//
HipB_neg	hipA//hyaD//hyaB//yhiD//fliZ//napB//
HyfR_pos	wzb//pstA//araB//yaiW//phr//rffM//yhjA//cyoB//bhsA//ugpC//moaE//kbaZ//
HypT_neg	focA//prs//malK//rpiB//hyfD//
HypT_pos	casE//oppC//htpG//fepG//cyoC//gspL//paaZ//ssuE//
IclR_neg	uxuR//kdpA//ydhT//yeaE//
IdnR_neg	skp//agaB//
IdnR_pos	deoA//fdnG//nanK//nanM//cspD//
IlvY_neg	yidL//
IlvY_pos	xapA//
IscR_neg	molR_1//mtr//metK//deoA//mntP//codB//purL//malX//pheM//nikE//lldR//gntP//ugpE//phoB//gadC//phnM//cusC//nanT//fhuE//speB//gatY//
IscR_pos	glnG//gntX//paaA//guaA//cirA//manZ//degP//metN//xylF//fliI//glnH//
KdgR_neg	flgN//yidQ//
KdpE_pos	nrdH//nagC//ynjI//puuB//
LacI_neg	yhiD//nadB//tyrR//
LeuO_neg	cyoA//rbfA//treC//
LeuO_pos	mazE//osmY//glpD//aroM//yeiL//yegR//ynbD//waaY//trpR//hypD//tdcD//glpA//purA//ybbW//araG//ydiU//sgrS//guaB//
LexA_neg	dmsB//rcnR//dinD//metF//caiD//tonB//nadB//hyaE//ccmC//idnR//gcvT//fepD//malK//ahpC//phoE//yfiR//dgcZ//zinT//fnr//paaI//bioF//lysR//cheW//gspI//infC//iscU//sulA//hcr//leuD//gpmM//metY//recF//cas2//gspE//csgE//nuoM//envC//gcvH//alsC//degP//tehA//gspF//ssuE//evgA//slt//yfaE//chbR//oxc//emrY//aspA//isrC//qseC//glnL//ruvB//fucP//argP//creC//rffG//idnK//
LldR_neg	aroF//cpxA//potF//
LldR_pos	glxK//flhB//motB//
LrhA_neg	hisJ//metC//
LrhA_pos	ybhL//recB//
LsrR_neg	pgaD//gcvT//decR//fepA//hisJ//leuB//prpE//rutF//ftsI//
LysR_neg	sgbU//
LysR_pos	ddpC//
MalI_neg	prpE//csrB//phnE_2//
MalT_pos	sroC//wcaB//nikE//dsbC//nrdI//cynR//fliD//ugpB//phnJ//hybB//
MarA_neg	pheS//glpQ//umuC//tbpA//hypA//yrbL//lsrF//
MarA_pos	argO//ddlB//phnM//hokD//cysJ//codA//lsrA//focA//baeS//citE//oppA//fecA//sgrS//lpxD//yjiY//pdeL//metN//ttdT//rclA//fliT//gltL//fhuE//nuoA//artI//ftsK//feoA//sutR//srlR//gspF//glxK//umuC//
MarR_neg	gcvB//murP//sulA//
MatA_neg	rstB//betB//recB//glnG//fldA//casC//
MatA_pos	yhhY//astC//
MazE-MazF_neg	truB//recF//cydC//
MazE_neg	cyoD//glpA//oppA//
McbR_neg	ttdB//
McbR_pos	csrB//rsmH//murQ//
MelR_neg	fabD//ariR//lldD//
MelR_pos	ycjG//iraM//dgcC//
MetJ_neg	ybbW//fruB//mtlD//nanA//bglG//xapA//soxS//melR//hyfF//gcvA//agaV//cysC//dinB//gor//cysN//
MetR_neg	ydbK//hycE//
MetR_pos	sgbU//malP//yiaO//tehB//
MhpR_pos	recN//rclA//pgpC//pdhR//fruK//chbG//
Mlc_neg	spy//glcF//ydbD//rprA//yfdX//ygdB//ydeM//yebG//yiaK//yrbL//
MlrA_pos	gadE//waaH//sgrS//psd//ybjC//sroD//ybaT//ydbD//fecR//tyrB//
MngR_neg	sroD//potF//lrhA//
MntR_neg	fecA//pstA//gudX//yiaL//
MntR_pos	paaX//
ModE_neg	ynfH//ugpC//galP//fucO//aidB//hcp//evgA//borD//lgoR//mgrB//gabT//hycB//yhcH//lsrK//deoD//
ModE_pos	murQ//putP//phnO//cysK//ulaC//emrY//fepG//ugpQ//garP//thrS//gudD//malZ//ahpC//folE//gabT//astB//glcF//murP//osmC//wecC//hemH//napC//tsx//trpA//agaB//ybfN//murD//glgP//frdC//fabG//bdm//
MprA_neg	purC//chiP//gspF//ddpF//ygiA//entS//
MqsA_neg	glyA//trxC//ascF//ssrS//gudD//fadE//asr//kdpA//
MraZ_neg	glpA//fadB//pgk//yciX//dsdX//yecT//metH//rprA//phnI//lon//chbF//ibaG//rbsA//gloA//kbaZ//flhD//deoD//
MtlR_neg	nuoG//betB//cusS//
MurR_neg	polB//cusA//dicB//
MurR_pos	lamB//
Nac_neg	appB//glpC//mhpB//yjbF//aceA//rffC//bhsA//bglG//thrS//
Nac_pos	fucU//phnL//purN//gor//potF//yqjI//ydcV//fliN//asnA//mdtD//glcD//potH//
NadR_neg	alaS//glnG//puuA//ddpD//
NagC_neg	zntA//rcsA//appX//xylF//cysJ//yhcH//udp//fepB//cpxP//ubiC//entB//rutF//agaC//moeB//malX//malG//malQ//focB//gcvB//malY//fhuC//flgF//sbmC//fliT//zraR//cpxP//ybhL//fliH//phnN//pnp//mhpB//glpA//yiaJ//
NagC_pos	xapA//wzzE//fliM//
NanR_neg	glpT//gutM//bioC//katG//ccmE//hypF//agaD//nfsA//ygaC//moaA//
NanR_pos	tcyJ//
NarL_neg	aldA//ygaC//wecE//argC//rpmI//marR//dacC//iscR//recA//mdtD//sroC//yagK//yeiL//ybbY//prs//agaW//hybO//metI//hycH//hypC//ybhS//lacY//deoD//dapB//murF//ssuC//ydfE//ynbD//mtlR//dgkA//pspD//malG//znuB//gspG//feaR//dinG//nemR//napG//dcuD//ybhS//mgtL//gcvB//evgS//betA//ugpQ//rpoH//ydeN//rutE//purE//glpA//frdB//ytfE//fliP//mdtC//gudD//murD//flgF//paaZ//tdcD//nusA//ilvY//malZ//hisJ//wecB//caiB//wzb//rybB//nuoM//gadB//folA//tauB//aroF//efeU_1//pagP//dctR//yjbG//dctA//ftsK//ulaG//araJ//pspD//citF//rhaS//acrR//yiaL//codB//baeS//
NarL_pos	ttdT//flgL//ulaE//symE//ulaC//lacA//yedX//ppsA//sodB//pheS//pspC//ddpB//fruA//btuB//aroF//lpxA//fruB//dinF//rnlB//gutM//gspM//cytR//phnC//hcaB//glgA//ycjG//norV//appX//aroF//yhiD//fadJ//agaD//nirB//asnC//wrbA//dnaN//adiC//glcA//ydeN//purB//idnR//yciW//flhD//
NarP_neg	yeaE//ompW//metB//pepA//ada//ulaG//yqhG//eda//fadH//yegH//moaC//gspH//entH//hyaB//ryhB//fliM//ryhB//artQ//accD//feoC//dinF//kbaZ//oppD//uidC//malK//ygiB//yafP//uvrA//metN//sufA//pncB//aspC//malQ//
NarP_pos	argR//hyfC//erpA//htpG//dnaA//ompW//leuD//nuoK//asnB//araB//tauA//ydeP//yafP//gatB//allB//yeiB//nhaR//fnr//mngR//entD//aceA//carA//ydiV//hycC//mgtL//fliJ//ygiC//dicB//gcvA//hemL//cydB//tdcE//
NemR_neg	cyoB//citD//nfo//
NhaR_pos	hdeB//oxyS//nrfB//sroA//gltJ//atoD//hyaE//
NikR_neg	cspI//phoP//alkB//araF//tyrA//tehA//
NimR_neg	hyfA//hypA//
NorR_neg	torA//
NorR_pos	fliQ//rhaD//
NrdR_neg	gspJ//pgaD//phnG//malS//glpX//pheM//symE//prs//lldD//
NsrR_neg	yccJ//grxA//gntX//leuA//yegH//efeU_2//hflD//fucO//higA//uidC//napG//cusC//yfiR//puuA//ygaC//ttdB//metQ//glnG//zraR//rpoD//leuD//atoB//pepA//marA//ssrS//nimT//polB//ppiA//rutG//ybjC//sucB//yqhG//yhbT//ycgZ//mltF//molR_1//cynT//oppC//phoA//tpiA//feoA//dcuD//pck//dsrA//sdhD//tdcC//ybbY//rutG//tsr//ugpC//aldA//alsC//rseB//bioD//puuP//kdpF//citE//metN//fadB//rpoH//metR//paaB//ychF//hyfF//xylH//ppsA//ybdN//appC//mgrR//relA//yeaE//thiP//hycD//uxuB//idnD//yjhC//yhdW//hcaC//fpr//entA//mngA//relB//chbR//
NtrC_neg	tauC//ydfD//ldtD//rimP//nfsB//yccJ//
NtrC_pos	tehA//pspE//cueO//fabH//amtB//ybhG//bolA//astE//rhaA//ydhT//relE//xapB//glcF//flgC//fimE//phnI//relA//ribA//sdhB//nrfF//lsrF//rffM//gspD//cydB//hycH//metH//glnQ//metH//pgaA//cusB//fabD//cynS//murQ//srlB//dsbA//ssuB//epd//ydeO//fliL//cspD//kbaZ//pheM//fabG//treB//xapA//mdh//sufA//ahpF//hyfB//
OmpR_neg	ybaS//fliK//glgC//rbsB//xylH//sbmA//agaC//feaB//galK//sdhD//recF//gloA//
OmpR_pos	folA//hokD//flhC//fau//yhjC//pstA//moaC//yhjX//mhpE//ulaE//
OxyR_neg	purK//nirD//cysE//mhpB//aroP//fliN//argB//yhhY//lrhA//nupC//fecC//fliO//
OxyR_pos	rcsA//dhaK//cho//bdm//ydfN//uspA//galR//dhaL//hflD//glmS//nuoJ//citE//flgB//artJ//wzzE//mtlD//xylF//rtcA//flgD//aidB//rffG//hyi//
PaaX_neg	uvrD//ybhF//glgP//fumC//cydB//ada//murQ//torD//phoQ//rprA//mtr//csgF//lpxC//artJ//
PdeL_pos	ymgC//
PdhR_neg	mglC//kdpC//pnuC//yccJ//ppiD//pitB//cysJ//thiQ//flhB//napA//flgI//cadC//nanC//mpaA//aroP//aceK//rfe//feoB//fldB//metH//lsrB//citG//ptsH//gadB//glpX//idnK//argD//uvrA//ppiD//fucI//hflD//fdhF//ydeI//cirA//purD//ynfF//
PdhR_pos	uhpT//pqiA//glpA//mglA//gltF//
PepA_neg	pgaD//oppC//stpA//
PgrR_neg	sroA//fabH//citG//tomB//uxuA//trpL//rnlA//rutG//
PhoB_neg	astB//fabB//pfkA//fadJ//tynA//lldD//gcvT//ftsZ//wza//umuD//ynbB//udp//
PhoB_pos	lysP//dkgB//malX//gcl//ssuE//narH//acrA//hyaA//gspD//ribA//nrfF//sodA//rpiR//cyoB//kbaZ//yhjC//caiE//fhlA//ssuE//flgG//kbp//glnP//tdcF//nuoA//flgK//manZ//malT//entS//yhdX//dnaN//nusA//yiaK//kbaZ//rhaT//znuA//ynfG//thiQ//fhuD//manY//yncE//sufD//metK//dsbA//fixX//alsB//malK//napC//ccmC//rpoS//hyaE//treC//entF//fhuA//
PhoP_neg	hyaA//lsrA//aldA//yqjA//cynR//dcuR//oxyS//speB//cadB//tam//acrA//
PhoP_pos	yfdE//yeiL//cysN//rutA//stpA//bioA//dpiA//glk//relE//fabZ//ssuD//glnA//yhjC//psiF//codB//nhaR//rcnR//poxB//lgoR//baeS//ybhF//leuB//sgbE//osmY//rpmA//srlB//patA//agaI//pheM//hns//baeS//aroH//trpD//polA//ugpC//yegH//mtlA//carB//gatC//csgG//insD//gltB//dsbG//dctR//idnD//rutF//argO//nagB//
PrpR_neg	fadI//
PrpR_pos	garP//rbsK//melB//kdpF//
PspF_neg	metB//
PspF_pos	iclR//ariR//hokE//flgM//murD//ycjX//
PurR_neg	mngB//hypE//ascF//fur//hisJ//agaB//tyrP//astC//wzzE//manZ//ykgO//nuoL//gspL//adiA//pflB//tdcE//yafQ//dsdX//phoE//cyoB//ariR//crp//gcl//narH//fliH//nusA//sroC//hyaA//trpC//marA//higB//
PutA_neg	dinQ//fepB//
PuuR_neg	uxaC//bglJ//hcaR//ydbD//nuoM//aroG//slyB//
QseB_pos	chbA//fliT//fruB//gatC//
RbsR_neg	pagP//moeB//nrdA//cheW//ilvC//flgL//fhuF//prpR//
RbsR_pos	purR//
RcdA_neg	ydeO//ssuA//
RcdA_pos	ascF//mraY//idnT//uxaC//bluF//fliC//iscA//
RclR_pos	cysG//kdpF//cyaR//
RcnR_neg	ppdB//asnA//fes//
RcsAB_neg	phnH//cheA//tsgA//adhE//araB//ydiV//
RcsAB_pos	entE//treR//entC//fixA//treC//zraS//rbfA//hyaF//alaC//gltD//
RcsB-BglJ_pos	wzb//bglB//paaD//osmB//pqiA//kdpC//fimB//nohA//bhsA//ssrS//lsrD//treR//nrdA//mhpD//sfsB//allE//
RcsB_neg	entD//ybhG//
RcsB_pos	nagC//nhaA//tktB//nfsA//insD//potF//rpsO//cadA//fucO//patA//iclR//fhuB//gutM//chiP//melA//ydhX//hcaD//mglB//hycE//trpC//malE//omrA//caiC//
RelB-RelE_neg	xylF//yiiS//dgcC//
RelB_neg	gatC//rseC//yegR//
RhaR_pos	tynA//yafO//
RhaS_pos	aspC//glpB//gspM//symE//fabA//yiaK//
Rob_neg	cusR//
Rob_pos	dps//trpD//arsC//fruB//crp//argT//mipA//moeA//cadB//speB//ybhR//rpiR//rybB//ydhW//allS//sufS//pdeR//napA//kdpA//nrfA//glpX//bdm//cysG//hypF//argR//
RstA_neg	paaJ//dnaG//nrfG//nirC//ebgA//
RstA_pos	citX//flgH//dicC//srlD//nanK//
RtcR_pos	cspD//malM//
RutR_neg	rclC//lldR//nusA//glpT//dinF//ilvY//chbB//glmU//fruA//hcaB//ompC//dcuD//nuoM//bioD//paaJ//
RutR_pos	dapD//nrfF//
SdiA_neg	zwf//chbB//iclR//
SdiA_pos	argI//fliO//ppdA//
SgrR_neg	malM//htpG//astA//aspA//malG//
SgrR_pos	hybC//lsrC//gatD//csiD//
SlyA_pos	araA//
SoxR_neg	ftnA//
SoxR_pos	ykgM//dtpA//
SoxS_neg	fepA//pheT//
SoxS_pos	adiC//hyfG//tdcD//metJ//ydbK//flgN//uxaA//csiD//malT//deoD//pdeR//bioC//yciF//ubiX//dcuA//rpmA//carB//garL//ybaS//hyfE//puuR//agaR//creD//moaE//fliS//araF//nrfB//casD//sbcC//treB//paaK//tsr//galE//cynS//pgaC//ugpQ//fecE//tsr//
StpA_neg	amn//cysE//lyxK//nuoB//ybiT//ykiA//fldA//
SutR_neg	ilvY//ddpD//rfe//cusB//ygiC//
SutR_pos	appX//
TdcA_pos	gspF//tdcB//epd//murF//nuoJ//srlE//manY//
TdcR_pos	phnE_1//iscU//paaB//mglC//cusC//caiC//glcG//
TorR_neg	kdpA//phnM//fabG//
TorR_pos	nrfB//phnI//tauB//paaF//rutF//sbmC//lrhA//astC//relE//
TreR_neg	qseB//idnO//
TrpR_neg	glgC//gltD//fliT//mdh//purL//ompF//phnG//yfbR//adhE//psiE//arsR//tolC//
TyrR_neg	mqsR//araB//alsE//tyrR//ygiZ//mntP//acrD//spy//tauA//rseB//
TyrR_pos	moaE//ampC//inaA//
UhpA_pos	appA//
UidR_neg	evgS//fliF//puuA//melA//
UlaR_neg	nanT//hybE//dicC//ssuC//tcyP//torR//cysP//
UvrY_pos	paaK//ccmD//fadM//fepA//metL//
UxuR_neg	higA//nuoB//fecR//cheW//ydhU//melR//metK//isrC//cyoB//
XapR_pos	entH//oppB//
XylR_neg	uidR//
XylR_pos	mpl//mpaA//agaD//yfiR//rhaS//araG//
YdeO_neg	ynjI//flgB//
YdeO_pos	amtB//nikA//betA//cysW//ubiC//guaB//astE//fliS//argC//dapB//glpX//flgI//fpr//nagC//speB//glnB//murF//gspD//ulaF//
YedW_neg	sucB//trpR//dicC//hokE//motB//
YedW_pos	nikE//agaD//gspG//pgaD//aroM//agaS//btuB//
YefM-YoeB_neg	yjiY//hcaB//
YefM_neg	gatB//hisJ//
YehT_pos	rffG//
YeiL_pos	kdpA//
YiaJ_neg	yecT//allC//hycI//nuoL//argH//flgD//lhgO//ftsZ//tisB//tonB//
YjjQ_neg	ppc//cirA//baeR//pykF//fliM//aroP//nrfG//nuoG//trpB//fepC//
YpdB_pos	hycA//
YqhC_pos	prpB//gfcA//
YqjI_neg	gudD//nuoJ//
ZntR_pos	rimK//
ZraR_pos	mlrA//rffC//sufD//
Zur_neg	caiA//glgA//fliR//yiiS//malM//trpE//
