#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fecC//fecC//
CysB_neg	yoaC//mtlD//hyaD//tsgA//zntA//flgI//yafO//
CysB_pos	mgrB//fepB//recA//uidR//hns//codB//amtB//sufS//idnD//cysK//leuL//rstA//nirB//rob//purA//ulaG//mtr//nhaR//glpK//glnA//phnD//hybA//pgm//cysM//garR//
CytR_neg	ppiD//umuC//ariR//flhE//fixB//tauA//sulA//rpsO//spy//fes//napB//artQ//cydA//
Dan_pos	lexA//dinI//agaI//nikB//
DcuR_pos	ulaE//ykiA//recA//gatY//zraP//gntT//galR//rtcB//lysC//
DeoR_neg	btuB//yeaH//rplU//nadB//osmC//garR//
DhaR_neg	ihfA//
DhaR_pos	wzb//ygiC//phnF//
DicA_neg	trpR//yqhD//nfuA//hyfE//ydhX//ddpC//yccT//cysG//
DinJ-YafQ_neg	ompF//qseB//pagP//
DnaA_neg	eda//mipA//appX//fhuA//gadY//flhE//murF//nrfC//lacY//ydhV//sbmA//
DnaA_pos	cpxQ//gadX//sutR//artI//ynfK//lldP//sdhA//
DpiA_neg	ygaC//
DpiA_pos	yhdW//patA//phnF//tsgA//murD//nimT//rpoH//yoaG//nimT//glnK//
DsdC_neg	ydfD//
DsdC_pos	ykgO//nanT//
EbgR_neg	hyaA//umpH//
EnvR_neg	rpiB//fucA//
EnvY_pos	hybG//ugpE//
EvgA_pos	phnE_2//gatY//ydhT//hybB//purC//fliK//gatD//flhA//pitB//trxC//iraM//lldR//pspF//bdm//gspM//tyrP//moaE//lpxC//atoE//
ExuR_neg	feoA//glpK//gspG//yfbR//sra//dsdA//metI//glnL//csgC//
FabR_neg	rbsC//trpD//
FadR_neg	oppC//yaiA//pspC//ubiX//phnJ//tauD//trpD//zwf//yciG//gyrA//marR//
FadR_pos	glgB//nohA//moaB//ydeN//phoE//puuB//paaG//gadF//flgA//ycjY//hyaB//fliK//
FeaR_pos	citE//betI//
FhlA_pos	wzzE//ldtD//oxyR//sroD//uof//nuoG//argT//gspE//mdtD//ynbB//rcnA//ydfN//relE//nrfF//nuoE//xylA//fadA//ulaB//hycB//hslJ//tynA//yidL//ydhU//ccmG//casC//fes//cysK//hycA//glgP//aceE//
FlhDC_neg	hybG//ybiT//ldtC//pnuC//
FlhDC_pos	nanM//nusA//ydhV//fliM//nanA//baeS//malF//dsbG//hypB//aroF//puuP//yfdE//gpmM//agaD//ppdB//ahpF//malI//yjbF//casD//xylG//speB//nagC//nuoN//fadM//bdcA//rpoS//ydhT//yqaE//fadB//fbaA//ahpF//ruvA//phnC//rplT//katG//deoD//fliN//leuB//mhpD//gspK//zinT//ybiT//frdA//nuoL//alsE//cysM//oppB//phoQ//yebE//hydN//moaC//dtpA//mazE//dsdC//umuD//gltL//sgbH//speA//tbpA//pheS//casE//fliS//soxS//ycgZ//alsC//bioD//nuoA//chiP//hybF//ddpA//prpR//torD//accA//yafN//napH//yoaG//hns//modA//
FliZ_neg	fliP//ulaB//hcaC//ompF//araD//glcD//malS//cysC//fliH//accC//pspF//argP//nanA//tdcD//nuoJ//ygdB//srlA//agaB//waaY//sdhD//fliI//
FucR_pos	mprA//dhaM//ybfE//pyrC//ihfA//galP//hlyE//
Fur_neg	ftsZ//ydfW//paaD//mdtA//potH//ybdN//rpsU//gltD//dmsB//glcA//ulaG//rhaT//srlE//insD//crp//cyoC//ybbW//ccmG//ygbK//argA//ybbY//csgF//nuoG//tpiA//guaA//dgcN//purN//dapD//putP//caiT//gspG//astD//znuC//yciX//mgrB//yhdX//fimB//uvrC//dinB//rutF//ygiB//fdnI//yeiL//icd//potG//araG//fixC//cyoA//tnaC//talA//pepD//ygiB//ycjY//fixB//idnR//tsx//pncB//lsrD//rcnA//yefM//pncB//fhuC//gutM//tyrP//yefM//cysM//dicB//purB//idnD//srlB//nikE//tcyJ//iclR//pstB//dcuD//ybjN//alkB//flgC//osmC//fliE//pepA//hyfA//uvrY//pspB//ugpB//treC//sgbE//gspM//entA//nohA//glmU//umpH//dhaM//ompF//fadI//ugpE//hybA//mntP//moeA//hyaE//ydeO//ttdT//frdC//glpT//dinD//tisB//fliI//zraP//recF//nikE//appA//erpA//amtB//arsR//yfiR//
Fur_pos	hyfE//prpD//yhbT//grcA//citD//ompC//umpH//gspC//ulaD//glnA//gspO//nimR//fliQ//prpC//nusA//yeaG//csgG//prs//leuB//ydjM//fruK//
GadE-RcsB_pos	caiB//marB//iscR//tsgA//malM//pspG//entA//hcp//btuB//
GadE_pos	nrfA//speA//mtr//gcvH//nanM//waaZ//hybE//yjjQ//fucA//nrdB//kdpC//putP//crr//hemH//ftnB//hisJ//flhB//torR//cyoD//omrA//casB//yhbE//fliH//lsrR//rybA//yegZ//yqjI//yhjA//gabP//
GadW_neg	rutB//purL//gfcA//bglJ//rarA//aroF//ymjC//malK//dnaN//amn//dhaR//
GadW_pos	melB//wza//purK//hycC//ssb//tdcG//araD//slt//cysW//prpE//moaC//
GadX_neg	acrR//appA//ung//aidB//uspE//phnD//
GadX_pos	yebE//yhbS//gpmA//tadA//feaB//ynfH//dsrA//acrZ//paaK//pstA//nrdA//ydfH//pspD//gltB//hyaD//ecpR//caiB//ygeA//gltL//rtcB//uvrC//mhpA//paaD//agaD//dinI//melA//prpD//
GalR_neg	cusB//phoA//yjbE//malK//ryhB//oppC//ftsQ//atoD//trpD//csgA//
GalR_pos	ybiT//trpD//flgD//yfdV//
GalS_neg	aroF//nagB//rbsB//relB//yaiW//ybfE//ssuE//ynbB//mdh//yfdX//
GalS_pos	rstB//dcuR//malE//deoD//
GatR_neg	wzb//torR//speB//nanE//allA//mcbA//
GcvA_neg	aroM//agaC//yafP//yhjA//
GcvA_pos	tdcC//cyaR//ycjX//mdtA//
GlcC_neg	nrfG//
GlcC_pos	emrA//alsA//ymgC//gadA//yegH//fabZ//
GlpR_neg	tam//purK//gutM//gspC//xylB//agaW//phoA//yjhB//sufB//
GlrR_pos	nanS//ubiX//feaR//murD//psd//
GntR_neg	ydhV//folE//nirD//rutF//hypF//lolA//ydbK//purB//dnaN//gadW//gspI//chbG//
GutM_pos	slp//mraY//cysM//mdtE//artQ//dhaM//mhpF//
GutR_neg	gatA//sucD//ddpA//citE//dinD//fliZ//yhdY//
HU_neg	ycjX//glgC//argD//ybhG//thiP//serA//rffM//metJ//
HU_pos	casB//
HcaR_neg	polA//
HcaR_pos	ldtB//dkgB//mngA//dicB//cytR//
HdfR_neg	grxA//fadA//
HdfR_pos	galP//wzc//hyfJ//
HigA_neg	tolC//borD//
HigB-HigA_neg	fhuE//dhaM//
HipAB_neg	glpD//lsrF//dhaK//folA//tauD//
HipB_neg	glpC//wrbA//yoaG//puuD//emrA//aroM//
HyfR_pos	tauB//dkgB//ccmF//bglB//uvrC//yeaE//sbcC//sutR//rpsU//cysI//aroL//yebE//
HypT_neg	recC//wecE//yjjQ//entS//acrZ//
HypT_pos	recB//rutC//lldP//alsA//ybbY//ugpQ//deoB//ppdA//
IclR_neg	ulaE//wzxE//argT//tdcG//
IdnR_neg	glcC//nanE//
IdnR_pos	yeaG//agaA//flgC//betT//bioA//
IlvY_neg	carB//
IlvY_pos	fixC//
IscR_neg	csrB//creD//dpiA//ftnA//ybfE//grxA//dmsA//ykgO//mngA//caiD//accA//mdtE//acrB//recC//hisM//cpxQ//bacA//phoQ//dinB//caiC//nac//
IscR_pos	nuoJ//hyfI//rimP//bolA//lamB//ecnB//rffM//chbA//rtcA//nagE//ydfN//
KdgR_neg	flgI//gspI//
KdpE_pos	ybdN//entF//creC//treC//
LacI_neg	chbA//metC//agaB//
LeuO_neg	mntP//gcvB//cysA//
LeuO_pos	xapA//dinB//trpR//rffC//yhbS//ecnB//gcvA//cysJ//flgM//srlD//yeaE//lhgO//nrdB//sbcD//ydcU//yhjA//sufD//trpA//
LexA_neg	frdB//ftsL//nikD//sucD//yqjH//gatD//tehB//hybA//lysA//rplU//fliD//rbsB//ubiC//hybG//amn//rffG//exbB//hslJ//tsx//arsR//lsrB//cheW//hmp//epd//ddpA//speA//betB//gatA//metR//norV//gntT//araE//narL//bglB//malK//nanK//argT//sgbH//sucA//baeS//hycI//phoU//entF//ydhY//ydeI//wzb//fnr//lysO//nrdF//metQ//sdhD//modC//prs//sgrS//agaD//glmS//umuD//yiaN//nfsB//
LldR_neg	appY//ftnA//exuT//
LldR_pos	xapB//hlyE//dnaG//
LrhA_neg	yjbG//nuoJ//
LrhA_pos	metR//ccmF//
LsrR_neg	lacA//cysU//gatA//intQ//rutR//nfuA//ybjC//csiD//feoA//
LysR_neg	yjhB//
LysR_pos	cdaR//
MalI_neg	pspB//rtcB//fliK//
MalT_pos	fliC//nrdB//recF//nac//stpA//glgX//cadA//purM//dnaN//ftsL//
MarA_neg	lldP//ulaB//nrdB//gyrA//purA//slt//trpE//
MarA_pos	mgtL//fadI//hisP//ulaE//cusC//srlB//fadD//citC//pspE//pspD//isrC//yjeV//ftsA//nikR//pstS//nirD//crl//ebgC//lsrR//ydhY//ydeM//rutD//nuoN//hybE//mngR//ssuA//gadC//appY//insK//wcaA//hemH//
MarR_neg	bacA//ugpA//wzb//
MatA_neg	nagE//rffC//nuoJ//lsrD//ryhB//yiiS//
MatA_pos	allS//araD//
MazE-MazF_neg	fadH//dinF//fabZ//
MazE_neg	trpB//carA//rstA//
McbR_neg	uxuR//
McbR_pos	hyfE//qseC//tdcD//
MelR_neg	yciW//gutM//carA//
MelR_pos	dsrA//pdeH//csgC//
MetJ_neg	wcaA//idnO//ruvA//yhcH//manY//ybdZ//ulaE//yncE//lpxA//lysO//sufC//mazF//purA//fliC//yiaL//
MetR_neg	ycjY//cusC//
MetR_pos	nimR//ppdB//yjbH//napB//
MhpR_pos	gntP//oxyR//chbB//murR//phoU//ydhV//
Mlc_neg	ybjC//hyaD//ymgA//ompW//chbB//cydA//dhaL//yafP//serA//speB//
MlrA_pos	potG//hcr//nagC//flhB//ppsA//pepA//yhjA//cpxP//ulaA//trpL//
MngR_neg	aroH//fiu//yfbR//
MntR_neg	caiD//dtpA//uspE//phnH//
MntR_pos	leuC//
ModE_neg	ftsQ//galM//hyfG//yeaR//entC//znuC//rhaB//manZ//fepG//yjeV//uxuA//zntA//dinF//fliN//appA//
ModE_pos	oppA//hipB//sgbU//lsrF//hflD//efeU_1//gatC//gutM//entS//ugpE//dsbG//cysA//flhC//pnuC//yciX//ada//sodA//moaC//acrZ//envC//yhdW//uidC//ydhU//caiF//ymgA//ihfA//deoD//glnD//gcvB//paaE//ftsI//
MprA_neg	hycG//rdoA//ybaT//pheS//uvrA//mgtA//
MqsA_neg	ybaS//omrB//phnP//serA//hyfB//dctR//dhaK//ompC//
MraZ_neg	aceE//rprA//rpoS//glpF//yfiB//malF//gudP//pagP//chbB//ydcU//glmS//cdaR//rcnR//artJ//rimK//hmp//cyoB//
MtlR_neg	pflB//omrA//higA//
MurR_neg	umuD//skp//metH//
MurR_pos	flgD//
Nac_neg	garL//alsB//mdtD//wecB//allE//fhuF//astA//hybG//casA//
Nac_pos	cysG//hyaF//motB//flgN//csgE//yoaC//yciG//xylH//gadC//glpB//yncE//nemA//
NadR_neg	sufD//erpA//paaF//recD//
NagC_neg	ydeI//ybhF//rtcB//malX//mhpF//metR//fepG//exbB//astB//pnp//zntA//ppiA//gspD//gadB//rstA//sroC//agaS//ahpF//hipA//nrfA//paaH//thiP//ytfE//cusF//ygiC//ybjG//yncE//yccJ//modC//yfbR//agaD//rdoA//ilvY//
NagC_pos	gltJ//uxaC//ybjG//
NanR_neg	ccmD//galP//tonB//nrfA//safA//entC//ssuB//cpxP//udp//fbaB//
NanR_pos	znuB//
NarL_neg	ugpA//moeA//malT//aroH//fliZ//hslJ//dhaL//rpoS//fliL//treB//codB//purB//rybA//mazF//argB//xylG//glpT//phoP//ydfH//agaI//hipA//hypC//mngB//tnaB//rfe//dapD//yebG//ppiA//yneM//ydbD//lacY//pstS//ubiA//hyfD//glmS//galT//rpoE//ccmG//cvpA//mgrB//xylB//yagK//araG//ndh//ftsZ//pstC//fliD//paaY//bglF//fruK//aroP//atoE//yrbL//dcuB//galK//yjjZ//rclB//ptsI//mglC//rpoS//ynfK//rhaS//rhaD//dmsA//cydC//dinI//fixC//adiA//fliT//cysH//rbsR//yqhD//fau//yfiB//gntT//ydfW//yhhY//argG//yjjQ//yoaC//glcB//cspE//mgrR//ydcS//malK//gcvA//deoD//
NarL_pos	lsrC//malP//nmpC//paaG//manY//tyrA//ybfE//hypB//mtlR//fabG//grcA//hha//dinQ//mdtC//malY//rseA//yaiA//rimP//nikC//bioD//lyxK//leuO//speB//entA//uxuR//manX//moaA//wzb//rpiB//gadB//fadL//moeA//cysM//nuoK//sodB//ybdZ//bolA//oppC//acrR//nmpC//melR//potF//cysU//
NarP_neg	casC//eda//nmpC//ddpD//srlE//exbD//efeU_2//isrC//recD//yfaE//garK//ttdA//fumB//nuoA//lsrD//ybhG//flgN//fepC//hycC//mraZ//uidB//gatC//yhjX//astB//lexA//ydfN//fimE//umuD//citX//ybhS//ynfF//emrB//flhC//
NarP_pos	hyfC//purL//ugpQ//oxyR//nfo//ptsH//speB//malP//glnB//cysG//malZ//rstB//nuoK//yoaG//rstB//asnC//hyaC//fadH//rnpB//mhpT//fepB//rpsU//yccT//rstA//acrZ//csrB//pheM//garL//fliT//malK//ssuB//oppD//
NemR_neg	glpD//yjhC//rsmH//
NhaR_pos	glcF//murD//cydC//bluF//trpD//hdeA//cysH//
NikR_neg	citG//gspF//sgrT//melA//pspB//yiaN//
NimR_neg	acrA//folA//
NorR_neg	lysC//
NorR_pos	nfsA//mioC//
NrdR_neg	cvpA//fepE//hdeA//hokE//ruvA//ftsQ//infB//nrdB//prs//
NsrR_neg	metR//rtcA//ompC//tnaA//agaS//adhE//hycE//tauA//gloA//araF//ydeM//pyrD//cusR//motB//ydeO//fliL//kdpA//rtcA//cusR//argH//hyfD//ykiA//citC//murR//wcaA//dinF//mprA//mtr//ymjC//dps//gspL//tdcF//rclB//iraP//rnpB//cydD//cvpA//metF//ygbK//rutD//pitB//aceK//emrK//mdtA//pitB//deoD//dgcN//hycD//degP//rhaR//gadA//sulA//xylG//fruA//cysI//ruvB//cyaR//bioF//aceK//ddpD//yiaM//emrK//lyxK//mdtA//dcuB//nfuA//cysE//yedX//ubiX//nhaR//hyfF//rutC//moaB//ftsL//znuB//yhjC//dmsB//insD//nirC//nanC//zraR//glpA//yhhY//
NtrC_neg	csgC//galS//bglG//tdcE//rhaA//acnB//
NtrC_pos	phnO//leuO//yqaE//citE//ydjM//rtcB//ydhX//ybdZ//fixA//nrdA//ptrA//aroM//ssuB//psiE//ybfE//purA//fliC//gabT//micF//uvrY//poxB//tauA//sodA//phoB//phnE_2//yqjH//ydfE//mhpT//lsrB//aceE//fdnG//nmpC//sbcC//argO//ccmA//yqjH//ykgM//pyrC//yqhD//atoA//ynjI//purF//cas1//metB//araD//fimB//ndh//cysM//ubiX//
OmpR_neg	casE//ttdT//aceB//napF//nupG//yfdV//fecR//agaS//paaI//rcnB//moaB//recB//
OmpR_pos	codA//ompF//gatD//emrB//artJ//ptrA//nagA//higB//rpoH//fhuB//
OxyR_neg	ada//ribA//ygiA//napH//hybG//yciW//fecE//hokD//rhaA//rhaS//srlR//trpA//
OxyR_pos	icd//caiC//phoU//nuoG//eno//melB//nanC//hydN//casE//gpmA//argG//fimB//ttdB//srlA//insD//astD//tam//fliK//fdnH//fadB//exbB//dgkA//
PaaX_neg	omrB//ybbY//ompW//icd//astE//pqiA//tolC//ydeO//katE//glcD//mpl//gspO//pfkA//pfkA//
PdeL_pos	argA//
PdhR_neg	hyfD//adhE//hycI//hyaA//dsbA//yjeV//tyrR//yciG//lrhA//fadE//rbsB//aroM//pyrC//fliZ//fadH//gspC//umpH//yhdW//mlc//caiA//pspB//bioC//yhdW//wcaA//nadB//sbcD//iscR//allA//cusA//fdnH//fucA//ssrS//degP//truB//fecC//tauC//
PdhR_pos	fucO//aceF//sufE//nemR//yccJ//
PepA_neg	gspJ//xapA//fdnG//
PgrR_neg	ompF//wecE//ychF//mlc//nemR//purR//citG//hycA//
PhoB_neg	fadJ//idnR//cynT//yjiY//hslJ//purK//tauB//cysK//artM//ybiT//cdd//fliJ//
PhoB_pos	umpH//tyrB//lsrC//citD//nanK//asnB//argD//accC//fumB//betB//glnP//galK//ybbW//nrdI//malP//fumC//nrdH//talA//nuoG//mgrR//setA//ygeH//relE//lsrB//uxuA//edd//gspK//rpsU//tonB//mdtF//glnH//yaiA//betI//hyfD//lldD//garD//mazG//rpoE//wecC//ykiA//entE//pdeL//cpxR//phoE//nfo//hisQ//sodB//ynbB//mzrA//ycjY//oxyR//marA//ygbK//
PhoP_neg	uspA//tnaA//caiB//rob//mscM//molR_1//mtr//yhdX//fliI//fabI//nrdI//
PhoP_pos	ymiA//nohA//adhE//yhbE//sroA//ttdB//creB//mraY//yciF//hcaB//acrZ//norW//pheT//pgk//csgG//argI//ymgC//rplU//cspI//phoU//ccmC//yrbL//fruB//rffM//ecnB//argB//fhuC//moeB//prpE//gspK//dapB//fadB//evgS//fadR//xylF//malI//ybjC//sroA//dcuB//yhdX//pspB//glcE//nanK//ybhL//fliI//rffC//tdcE//ybbW//
PrpR_neg	hdeD//
PrpR_pos	feoA//hcaF//xapB//rimP//
PspF_neg	glnB//
PspF_pos	nuoL//torC//nanS//ugpE//rbsA//kdpA//
PurR_neg	uxuB//araF//ydeP//yebE//fecA//katE//pepA//cdd//argO//fdnI//cueO//nemA//phoB//treB//arsC//galS//fliM//narJ//rffG//metK//xylR//ssuA//lpxA//fldA//ulaA//ftsI//lamB//tauB//aidB//fliG//entH//
PutA_neg	bglG//ugpQ//
PuuR_neg	gabD//rsmH//mlrA//rhaR//gatC//sroC//fliG//
QseB_pos	rbsA//malT//hflD//glnL//
RbsR_neg	mdtA//ybdN//agaW//nfsB//nuoI//nfsB//atoE//dinG//
RbsR_pos	yeaH//
RcdA_neg	idnD//ulaF//
RcdA_pos	dnaG//gatB//phnL//purF//adiC//leuB//lsrF//
RclR_pos	lamB//treB//ascF//
RcnR_neg	ftnA//kdpA//glcD//
RcsAB_neg	rclC//nuoA//fhuA//psiE//metY//accC//
RcsAB_pos	nimT//puuB//glcF//hyfC//alsC//malQ//evgA//prpE//fecD//fdnH//
RcsB-BglJ_pos	rclB//cyaR//fhuD//dmsD//cynR//wza//trpD//marB//rimP//ynbA//rbfA//rimK//csrC//tdcC//ampC//yjhB//
RcsB_neg	norW//rplU//
RcsB_pos	slp//flgE//fiu//idnR//hyfH//lsrB//glcA//ccmH//yccA//lyxK//ccmG//rcsA//ydhV//glnH//ydeN//aceK//hypA//phnD//acnA//ssuC//cysJ//pykF//hypB//
RelB-RelE_neg	yagK//napF//flu//
RelB_neg	recC//malE//tauC//
RhaR_pos	trpA//fucA//
RhaS_pos	obgE//cusB//pyrD//lysO//xapB//malZ//
Rob_neg	sbcC//
Rob_pos	hycB//dapD//entE//nrfA//phr//rprA//betB//nrfD//ybfN//rutR//ybdN//infC//tdcF//nikA//dinI//glpQ//dmsD//metE//yjjQ//sodB//waaZ//katE//yfiR//fucR//rpoD//
RstA_neg	lsrR//ymjC//mraZ//rffH//bamE//
RstA_pos	dinJ//lsrA//fabA//crl//ryhB//
RtcR_pos	gapA//ycjF//
RutR_neg	ygaC//phnJ//uspD//lsrB//gspJ//fucI//fadH//pepA//ppiA//argA//narG//glgP//ppc//alsA//allB//
RutR_pos	nohA//flhC//
SdiA_neg	purC//glcC//focA//
SdiA_pos	trpA//fixA//yiaN//
SgrR_neg	rclB//tdcC//gadX//sgrT//folE//
SgrR_pos	galR//lamB//glcC//mgrB//
SlyA_pos	oppC//
SoxR_neg	ssuC//
SoxR_pos	ndh//rffG//
SoxS_neg	creC//yfdX//
SoxS_pos	cysA//nikB//wecE//sbmA//tdcE//thiP//hmp//gnd//insK//purD//cysN//fliN//betB//cysD//bioD//nrdA//ftsI//hcaB//rarA//appX//gatY//feoA//cho//dnaA//grxA//waaZ//ygbA//yedX//oxyS//narH//argE//cbl//hybO//trpR//lysO//rpiR//fabA//paaB//
StpA_neg	hyaE//nagE//hycA//cpxA//modC//dinD//flhB//
SutR_neg	putP//gadA//nuoI//narH//gfcA//
SutR_pos	ymgA//
TdcA_pos	purK//nhaR//flgG//wzc//znuA//araJ//fhuA//
TdcR_pos	argE//ugpQ//nfsB//rpmA//dcuS//rpiB//ftsI//
TorR_neg	rffM//sdhD//rutA//
TorR_pos	nuoL//psiE//aceE//dsbC//tyrR//moaA//hyaC//wecB//gadB//
TreR_neg	fiu//dsdC//
TrpR_neg	fadR//araC//gspC//sgrT//yfdE//chbA//tktB//hyfH//fecC//creA//tauB//citG//
TyrR_neg	ccmF//hisJ//ddpD//glgB//rhaB//sbmC//dctR//glpQ//fdnI//fhuC//
TyrR_pos	hycD//phnG//nmpC//
UhpA_pos	paaZ//
UidR_neg	astA//leuB//borD//chbA//
UlaR_neg	efeU_2//cyoE//appX//icd//murP//oxyS//mdtB//
UvrY_pos	mazF//tehA//nuoG//ddpC//hycC//
UxuR_neg	alsA//ydcV//garD//torA//insK//iscA//citF//cusA//tbpA//
XapR_pos	ugpE//ssuA//
XylR_neg	moaA//
XylR_pos	araE//relA//yhcH//hybF//glpB//fliI//
YdeO_neg	gltJ//yjeV//
YdeO_pos	yhdY//dinD//ybdZ//ptsI//pck//uspA//tnaA//fabZ//ompF//bioF//ompC//ccmE//gspC//dctA//hcaF//fliS//agaV//speB//phr//
YedW_neg	wzb//sroA//hcp//rbsB//uxuA//
YedW_pos	galE//glmS//iscR//tfaQ//glxR//phnF//acnA//
YefM-YoeB_neg	rutE//lsrR//
YefM_neg	galK//accA//
YehT_pos	mpl//
YeiL_pos	accB//
YiaJ_neg	cusC//fepB//yeaD//nimR//nusA//narH//dcuS//purL//cusA//kbaY//
YjjQ_neg	polA//ydfD//kdpB//intQ//metA//cusS//ygbA//fliK//manZ//glcF//
YpdB_pos	ddpF//
YqhC_pos	creC//tyrB//
YqjI_neg	rcnA//ycjY//
ZntR_pos	soxR//
ZraR_pos	sodA//cusB//ftsQ//
Zur_neg	nfuA//decR//ulaF//phoA//moaD//mglB//
