#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	astD//mdtF//
BirA_neg	rimP//flgL//ahpC//argE//lysR//
BluR_neg	pagP//metN//sutR//mdtC//
BolA_neg	glmU//gntP//
BolA_pos	tauB//ydcS//
CadC_pos	yefM//rbsD//luxS//
CaiF_pos	agaI//astD//allE//cyoB//gcvB//ppiD//rffH//fepD//cspD//rpoS//
Cbl_pos	tpiA//murR//ftsA//ycjF//pstA//chiP//dsdC//ogt//tehA//
CdaR_pos	gutQ//acnB//napF//recC//rseA//cysH//dcuS//grxA//kbp//uidR//
CecR_neg	speA//ppc//pstC//aceA//mlrA//
ChbR_neg	yefM//lacZ//malX//obgE//ssuC//ada//
ChbR_pos	ybjG//gltK//glpB//gntU//glmS//cusF//
ComR_neg	ldtC//
CpxR_neg	wza//dgcN//hybF//araC//cysA//chiP//glcG//ascB//napG//pgi//argD//wecE//ycjY//glxK//cusS//pheT//xylH//fadR//ygiZ//wecC//ssuD//flgG//ruvA//agaD//
CpxR_pos	cdd//tauD//ybjN//hcaE//pheS//glcA//hcaC//murI//yjjZ//acnB//eno//rpoS//rybB//cusF//ycjX//gntP//nmpC//glmU//ulaD//mcbA//lsrR//hcaE//fabD//lolA//waaZ//pstA//pgaA//bdm//paaI//envC//sbcC//mhpA//nanS//xylG//lsrF//fhlA//mazG//glcE//nrdD//appB//glpQ//nupG//sgrR//ydfD//tfaQ//norW//
Cra_neg	ldtD//yfdE//fepA//lolA//qseB//bioD//paaY//rpsO//ygaC//yeaH//flgD//tisB//xapB//ygeA//galR//dinJ//fbaA//paaE//yoaG//hdeD//phoU//fdnI//uidB//ssuC//dcuA//mtr//artM//rclB//dtpA//phnM//flgK//tdcB//garD//bamE//fliP//yccT//cusF//waaY//argO//dinD//mioC//fadD//glgB//flhB//paaX//oppB//isrC//pspC//nuoC//flgC//phnO//nrfE//fiu//fliG//casC//sbcC//ychF//tauB//cpxP//
Cra_pos	ubiC//gatC//polA//ytfE//mtlA//ccmH//ybhS//glnD//ydhU//ndh//ybhL//ascF//hflD//ydfD//dinD//ydfH//ecpA//yhbE//hypF//sfsB//yccT//wecC//mscM//
CreB_neg	yfiR//moaA//tauB//
CreB_pos	ddpD//flu//
CsgD_neg	trpC//fbaA//hypA//cydD//slyB//citE//pagP//puuE//srlD//glmS//fabG//gatB//mazE//purD//ybjC//
CsgD_pos	hcr//rffH//malX//sufS//paaZ//mhpF//fau//relE//codB//ldtD//moaB//dctA//cyoC//
CsiR_neg	hcaD//relE//metK//galM//trpE//
CspA_pos	kbp//relA//
CueR_neg	napB//glcE//rarA//flhB//mgtL//
CueR_pos	hypF//symE//
CusR_pos	rstA//envC//yciW//ybjG//marR//ddpD//cytR//rhaS//moaD//deoA//motB//galK//
CynR_neg	nanM//
CynR_pos	cspE//fliL//dmsA//
CysB_neg	nrdF//cynT//fruB//hyaB//murR//garP//thiP//
CysB_pos	glpQ//yafP//phoB//lldD//dsdX//tauC//slyB//metB//setA//nfsB//purL//metE//yaiW//yjbF//metR//hcaF//purD//tauC//aceA//metJ//fepA//flgM//gfcA//yqhG//ecpA//
CytR_neg	dsbA//flgB//fabG//pyrD//flgD//gltK//glnB//allC//flgG//yafP//gspF//pgi//ygbK//
Dan_pos	tomB//dhaK//ydfH//cynR//
DcuR_pos	rbsA//yidL//lgoR//yiaJ//dcuR//bglB//nrfD//polB//aroG//
DeoR_neg	allE//thiP//ftsK//prs//phr//murR//
DhaR_neg	ynjI//
DhaR_pos	appY//umpH//galM//
DicA_neg	paaA//yegR//yhdX//potI//napC//sulA//katG//hyaD//
DinJ-YafQ_neg	csgG//truB//yhbT//
DnaA_neg	fhuB//tnaA//rimK//obgE//exbB//uhpT//slp//glpQ//recF//ssuC//napD//
DnaA_pos	casE//lacY//nac//slp//dicC//dgcZ//ssuB//
DpiA_neg	hybA//
DpiA_pos	fabD//cas2//flgF//tynA//gntK//aceF//ssuA//rpiB//ybjC//agaD//
DsdC_neg	hyfG//
DsdC_pos	hycE//tsr//
EbgR_neg	mhpF//argT//
EnvR_neg	flgM//betT//
EnvY_pos	uvrA//sra//
EvgA_pos	oxc//ilvY//lldP//phnO//aroL//aidB//caiE//chiP//lpxC//cysU//thrS//eno//hybG//purL//dhaK//iclR//cadA//isrC//ymjD//
ExuR_neg	rhaR//fadH//astE//feaB//purC//galM//glnG//cheA//dkgB//
FabR_neg	ymiA//metB//
FadR_neg	glcE//fliL//gltB//fliE//iclR//gspH//kbaZ//fliM//rprA//yebE//fadR//
FadR_pos	ssrS//dcuB//mntH//mngR//mhpF//potH//srlD//purE//tbpA//oxyR//tdcC//icd//
FeaR_pos	bglB//iscU//
FhlA_pos	pagP//asr//paaY//cysE//gadA//bioD//purA//fucU//narI//cysU//rcnA//yjeV//tnaA//deoD//argD//borD//dsrA//citD//metJ//paaB//yebG//hyaC//ldtC//fliE//yciX//copA//fruK//hdeA//fadB//pagP//
FlhDC_neg	araA//arsC//ydcU//appA//
FlhDC_pos	add//emrK//aslB//mpaA//glpC//tyrP//nirC//alaC//nrdA//gyrA//tcyJ//nanK//ssuB//alaS//rpsU//sdhB//dhaM//carB//araE//gadE//entC//pspE//glgA//pgm//pspE//ebgA//ybhG//entS//kdpB//flgD//spy//rffH//wzyE//yhjX//glpA//ycjX//astB//yeaH//frdD//gspK//mhpF//hyfI//yhjX//pspC//entS//flhE//nohA//ppsA//rffM//yciX//lsrB//hypF//araH//ubiX//ulaD//dhaR//wecC//gntU//spy//rhaT//nuoN//yiaO//tadA//fadI//pgaA//higA//lysR//yeaD//purN//bdcA//ydcT//ybjN//arsR//sucC//hypE//mpaA//glmU//galE//
FliZ_neg	pstS//tdcA//add//bglF//yhbT//gudX//ppdC//uxuR//narG//higB//ppiD//gspM//pdeR//nuoI//tdcD//flgD//artM//tyrR//ygeH//glpC//yhbE//
FucR_pos	katG//tyrA//rcnA//kdpC//uspA//ldtC//frdC//
Fur_neg	ccmH//cra//wzzE//cusF//astD//gspC//fbaA//hyfJ//nagC//mioC//garP//ttdT//dtpA//fliM//pqiA//hybE//lsrK//yegH//yidL//fdnH//hcaF//hflD//manX//purH//hycE//ftsI//cysN//ybjN//gapA//puuE//ariR//nimT//lysA//phnE_2//glpD//xylB//dgcC//ppdC//dgcN//metF//galR//yaiW//fadH//nuoI//yfdV//ydeP//cusS//fabI//ccmH//gntK//cusB//metE//phnM//gadW//agaD//purR//aceE//narI//ptsI//ynfG//relB//yhjX//mhpE//yibQ//paaG//dsbA//ddlB//rcnA//argA//rpoS//adiA//ydiU//tnaC//ppdB//fruA//yjeV//seqA//leuD//fucI//ybhS//accA//safA//fecB//sfsB//glpD//bioC//mntH//rutF//gntX//crp//bluF//aslB//alaS//artP//fabH//hmp//srlR//gcvT//rcnR//hybG//alsA//exbB//ybjC//ptsG//gudD//hcaC//prs//melR//guaB//wecE//nuoK//tehB//gspJ//ugpE//ddpC//
Fur_pos	ppiD//ymgC//prpR//rplU//yhdY//hdeB//trpE//ppdC//crr//hcp//mdtA//lsrC//fliH//glpD//hybO//sgrR//gntX//hybF//gutQ//flgG//lysC//
GadE-RcsB_pos	aroP//yafO//acrD//casA//ynbC//yegZ//rutR//btuB//focB//
GadE_pos	ygeH//gadA//psd//alsE//narX//gspL//garR//nirB//oxyS//cpxQ//mazG//gspH//fucK//ybhR//hycG//uspA//rcnB//atoA//ygiB//ydeI//fepC//tauB//tadA//hypB//kbaZ//oxc//nuoM//ftsQ//srlB//
GadW_neg	betT//higB//entF//ymjC//mqsA//hdeD//hcaB//cysJ//fes//yhdX//alsC//
GadW_pos	yeaE//hypC//garR//glyA//higA//ycgZ//tauD//lrhA//sbcC//mhpF//mntH//
GadX_neg	hemL//cynX//gpmA//paaX//metF//entF//
GadX_pos	ecpA//hypF//xapA//fldA//nuoG//yfiR//icd//yjbG//rdoA//flgB//zinT//deoB//paaG//hyi//csgG//kbaY//araG//gcl//cspD//ydeN//dinB//cspI//ascB//pspE//copA//fepG//pspA//
GalR_neg	yqjI//hyfE//rybB//dmsB//osmB//nuoN//ydiU//purB//murR//norW//
GalR_pos	hisQ//glgP//gcvT//mlrA//
GalS_neg	hyfA//nikA//moaD//araJ//lsrD//sufB//ydcT//acrZ//entE//trpB//
GalS_pos	creD//cyoD//mhpE//citX//
GatR_neg	rpsO//ymjC//araH//nuoI//yccT//fucI//
GcvA_neg	efeU_2//erpA//cytR//fhuE//
GcvA_pos	tdcF//araC//cadA//lysO//
GlcC_neg	phnL//
GlcC_pos	rutB//gltK//alsB//fimE//hcaR//lpxA//
GlpR_neg	dapD//hmp//gltF//trpE//malE//tpiA//codA//oppD//lysO//
GlrR_pos	tyrP//yciW//rbsK//narX//oxyR//
GntR_neg	dhaL//betT//glcC//artI//fau//fixC//cusR//fadJ//asnC//fliI//znuB//fliE//
GutM_pos	ynfH//ppsA//glpQ//gcvT//tadA//dinD//pqiB//
GutR_neg	nanA//yebE//thiQ//lgoR//yjeV//ulaD//kdpF//
HU_neg	lysA//sutR//cdaR//ssb//iraM//metI//araC//dsdX//
HU_pos	nhaR//
HcaR_neg	ydfD//
HcaR_pos	sbcD//nrfF//cyaR//dinQ//fliJ//
HdfR_neg	flgG//ubiC//
HdfR_pos	nuoF//ydfH//cas1//
HigA_neg	mprA//gltD//
HigB-HigA_neg	gutQ//leuL//
HipAB_neg	rseA//uxaB//gpmA//ubiC//yjhC//
HipB_neg	atoA//treR//modC//hisJ//putA//fadH//
HyfR_pos	glgA//cadB//fnr//tadA//kdpC//gspM//dhaR//acrZ//ybfN//ydbK//galR//fabH//
HypT_neg	pgaB//glnH//creB//nrfC//ydfD//
HypT_pos	lysA//mhpB//fhlA//fepB//rutR//ulaA//creB//ptrA//
IclR_neg	nrfC//ruvB//dhaK//rcnR//
IdnR_neg	phoE//gutM//
IdnR_pos	dcuS//napA//csgG//alsC//osmY//
IlvY_neg	phnC//
IlvY_pos	gspH//
IscR_neg	fldB//creC//rpoS//ycjY//tdcA//fimE//dgcN//aldA//nhaR//erpA//mscM//mntS//rstA//feaR//dpiB//hyfG//carA//malZ//metJ//mqsR//ttdB//
IscR_pos	gntU//ung//ruvA//mlc//accD//ddpC//nrdA//ftsA//napC//tsr//yhbS//
KdgR_neg	fliZ//bolA//
KdpE_pos	murC//malP//fadM//gdhA//
LacI_neg	nfuA//ttdA//ftsL//
LeuO_neg	frdC//ugpQ//nrfD//
LeuO_pos	chiP//prpC//glpK//rnlA//fdnG//metL//katG//fhlA//fabB//dkgA//araD//narK//fabB//glnG//baeS//grxD//tam//acrZ//
LexA_neg	fliC//hycH//cysP//dicB//gcvP//yqjI//uvrC//aspA//mdtF//mpaA//purR//bhsA//yeaR//sulA//agaV//dkgA//gltK//recN//yciG//ftsI//torR//higB//ilvY//rtcA//rseA//zraP//ccmC//glgC//ygbA//baeR//allA//gudP//ahpF//aspC//pspC//glgB//dinB//folA//yhdZ//hypA//fucK//cusF//deoC//frdB//ftsA//ndh//katG//pspC//prpE//rimP//metQ//ybhG//mdtC//hflD//fepA//dpiA//nrdA//yhiD//fhuC//
LldR_neg	mtlD//cpxP//metY//
LldR_pos	asnA//patD//glgA//
LrhA_neg	chiP//lysA//
LrhA_pos	napG//argF//
LsrR_neg	cynT//fepA//guaB//nuoC//lsrF//caiF//garR//alsB//mlc//
LysR_neg	nrfA//
LysR_pos	rpiR//
MalI_neg	galK//napC//yciW//
MalT_pos	murQ//rutA//hdeA//pheT//oxyR//galM//ascF//uspD//tdcA//malZ//
MarA_neg	psiE//frdB//lldD//srlD//cusA//waaH//guaB//
MarA_pos	araB//nupC//lsrG//xylA//grcA//glnG//nrdF//hyfR//ppiD//phnI//oppF//gatZ//gapA//cspD//cysI//gabP//fepC//wecC//isrC//melA//citC//puuB//narG//yiaJ//hyfF//lyxK//idnO//fadB//uidR//nfuA//iclR//
MarR_neg	pstA//ptsH//phnN//
MatA_neg	phnD//cynX//ugpQ//mhpE//sbmA//nupC//
MatA_pos	fucA//poxB//
MazE-MazF_neg	puuA//qseC//mlc//
MazE_neg	sra//ada//ppiA//
McbR_neg	tnaA//
McbR_pos	citC//citE//kdpB//
MelR_neg	yhjC//zntA//dsbC//
MelR_pos	ymjC//hokD//paaX//
MetJ_neg	thrS//ytfE//fadM//ugpC//glxK//gntT//slt//aslB//metJ//bioF//lrhA//uspA//ygaC//htpG//leuA//
MetR_neg	fabI//hisP//
MetR_pos	flgA//hycI//mdtD//slyB//
MhpR_pos	gspE//galT//ynbA//nagA//trpA//yeiB//
Mlc_neg	fabG//mtlA//crp//yfiR//htpG//glcF//ydhY//metY//gadF//sulA//
MlrA_pos	melB//citF//ftnA//glnL//accB//lpd//lhgO//yfiB//yiaJ//argA//
MngR_neg	hisQ//flgC//ydfW//
MntR_neg	recB//fhuE//eda//cas2//
MntR_pos	aspA//
ModE_neg	rutC//ruvA//rpiR//yhdW//flhA//dpiB//feoB//sufD//ydcS//chbC//flgC//cho//poxB//nfuA//ttdA//
ModE_pos	slyB//tbpA//aceB//yfdV//tomB//argR//cyoE//rbsK//recX//argO//fecR//aroH//accD//lysA//narJ//ruvB//hyaF//gutM//uidA//phnD//fhuF//cas2//hybC//phoQ//hybA//bioB//hmp//phnN//lysR//betB//gltD//
MprA_neg	bacA//galK//flgF//yebE//metY//galP//
MqsA_neg	hyaB//nuoM//fpr//kbaZ//nuoH//cysP//udp//mhpE//
MraZ_neg	nanS//fhuE//lysO//glnH//metI//entF//bhsA//citC//ydfN//mngA//ccmB//cydC//bdm//sucB//ccmH//hemH//gltL//
MtlR_neg	fimE//katE//aroL//
MurR_neg	sufE//erpA//hybO//
MurR_pos	phnK//
Nac_neg	ssuE//fadH//csgC//pepA//ppc//ybfE//yjjQ//ygaC//ugpB//
Nac_pos	mipA//dinD//bioC//argO//araE//hyaA//rsmH//malQ//araD//dcuA//ydbK//rstB//
NadR_neg	atoB//araC//phnM//umuC//
NagC_neg	mnmG//galR//feoC//gyrA//hyfD//citG//ydcV//glcE//phnE_2//fliQ//xapB//cheA//gudD//thrS//iraM//aroP//rplU//ugpC//hipB//fepA//pgpC//bolA//tdcB//rtcB//appB//puuD//lsrR//nlpA//hypD//pdeR//cysG//purM//bamE//
NagC_pos	ygdB//lysA//potI//
NanR_neg	tktB//rhaS//feoC//cysU//metK//allE//zntA//pdhR//chbC//nrfG//
NanR_pos	appC//
NarL_neg	flgE//ttdR//ydfE//wcaA//narH//tnaB//gfcA//rseB//rnpB//phoA//prpR//ariR//garP//sutR//dkgA//garL//hycD//flgM//frdC//gadF//nrdE//ftsA//yeaH//fruK//tktB//narL//ymgC//crr//dkgA//hybB//yhbS//lsrD//ybfN//acrD//fbaB//lhgO//ulaE//glgB//oppF//paaA//oxyR//rutG//agaD//artQ//gspK//lhgO//ykgO//hycG//gadE//ybaT//rhaB//ugpQ//dsrA//glcG//alaS//gspJ//lysP//hycI//recD//fecC//nohA//aceE//ung//manY//pheS//prs//astC//argP//glnP//lpxD//manY//truB//ydcV//fliZ//hyaC//nuoL//hyaC//ruvB//yccJ//gatD//yiaK//asnC//argA//bluF//yfiR//moaC//nadA//
NarL_pos	fucO//bluF//nanK//glcB//fabG//ppsA//yjiY//entC//yoaG//sutR//dcuB//nfuA//ybaS//phoH//hyfE//iscU//ymjD//fliT//potI//ynbD//ybaS//amtB//araB//nmpC//gspC//ycgZ//rstA//yhiM//dcuA//gltL//recC//nhaA//mngB//dcuS//chbG//oxc//garR//paaI//cysA//hha//mhpC//purA//mdtD//
NarP_neg	tnaB//casC//hyi//mlc//entD//gadC//nirD//sdhD//uxaA//ttdR//flgL//mipA//prpE//trpR//ydhU//paaX//fadB//appC//ybhL//gapA//rfe//prpR//tsr//fabA//rseA//frdC//nohA//symE//glgB//znuB//glyA//csrC//gspF//
NarP_pos	yfiB//gadY//gabP//csrB//ydeM//gspC//ccmG//flu//nrfA//dmsA//fucK//napG//asnC//ecpA//yhdZ//ymgA//bolA//uxaA//lysP//nadA//gabP//torC//kbaZ//fumB//putP//osmY//ymgA//fabD//rstA//nuoN//efeU_2//purN//
NemR_neg	bioC//fimE//fumB//
NhaR_pos	ynbB//phnE_2//prs//fabH//waaY//mraZ//mdh//
NikR_neg	torR//lrp//napH//sufC//yfdX//fecB//
NimR_neg	yeaE//argA//
NorR_neg	ptsH//
NorR_pos	pgaA//yaiW//
NrdR_neg	hyaF//ssuE//rimP//tyrB//flgG//sufB//ptsH//fadI//focA//
NsrR_neg	gatC//feoB//lsrD//fliZ//gadW//yjbH//eno//artI//erpA//xylA//ssuD//tdcG//hns//ascF//ydeN//chbB//fabH//mqsR//accC//hmp//ybjN//yhdX//argD//phnC//fucI//araG//creA//creD//hns//cyoD//araH//napF//cpxQ//araF//setA//citC//cusR//phoQ//pgaB//murR//dhaK//acrZ//nrdA//araF//entD//glgX//gatC//rutG//isrC//cynX//glnL//ybjC//rnlB//zraP//hycA//tisB//dmsA//glnA//pnuC//cbl//cysG//tsx//fliA//ybaT//nanK//araE//ydfN//fadA//mtlD//ydeN//cysG//fepD//mqsR//ydiV//atoB//dicC//fixA//hcaB//gntU//mzrA//yhjX//glxK//phnE_1//
NtrC_neg	rimK//asnC//rseA//mazG//yjhC//aroP//
NtrC_pos	ynfF//ygiZ//exbB//glnA//rutA//ykgO//yhdY//cusF//bamE//gspC//osmC//ruvB//cyoD//hypF//paaG//ulaB//gspO//polB//pgm//sucA//soxS//rutF//fadB//phnM//aceA//chbB//bioA//oppC//yciW//citC//paaI//ldtC//tynA//dtpA//aspA//ygeA//fadA//dmsC//fbaA//acrR//ddpF//chbB//hyfH//oppF//potF//mqsR//slp//aspC//ygiZ//
OmpR_neg	rutB//yciF//fliF//mpaA//malM//safA//fadH//asnC//cysK//uidR//cyoA//iscR//
OmpR_pos	rutD//yciX//feaR//flgJ//soxS//pstS//asnB//pdeL//entC//mzrA//
OxyR_neg	malY//ymjD//rbsB//araJ//ynfK//sroC//gltK//flhB//glgC//dinD//flhD//ygaC//
OxyR_pos	tonB//dinG//iscS//hybF//nikC//ydbK//phoR//appC//mtlA//mdtF//paaF//iscR//yfbR//prs//hokD//nrfA//eda//ibaG//amn//truB//manX//ycgR//
PaaX_neg	qseC//mdtA//hyfR//norR//murG//gnd//gadB//cheW//rybA//argR//rybB//nuoA//ilvC//fliS//
PdeL_pos	qseC//
PdhR_neg	psiF//metC//glnB//ccmA//nrfF//yfiB//intQ//acrA//aceK//ompN//agaB//narH//potG//flgN//hycI//rpiB//gnd//yeiB//waaZ//gspD//yqjA//hypB//appB//pdhR//ydhV//pdeH//mpl//hycE//rbsD//tadA//uidR//hydN//fixB//dnaN//recX//cysH//
PdhR_pos	efeU_2//acrZ//manZ//qseC//ybiT//
PepA_neg	entE//glpT//acrR//
PgrR_neg	fucI//creD//nadB//tauD//rplT//fadL//nrfC//hydN//
PhoB_neg	ulaB//spy//potI//pstA//fruB//pyrD//aspC//nadA//glxR//uvrC//ugpE//crp//
PhoB_pos	nikA//caiT//hyaD//osmY//rdoA//narX//znuB//dsbC//gspH//intQ//caiT//glyA//gadE//ybjG//codB//fucO//argG//allE//leuC//fadE//copA//ccmE//mhpC//ssuE//marA//hycF//mdtC//phnE_1//ydcT//aceK//gatA//argT//agaC//rpsU//nanE//purH//poxB//sgbH//uvrC//hypC//waaZ//chbR//cyoB//astE//aldA//hlyE//yfbR//bglB//gspF//kbaY//hypB//guaB//adhE//
PhoP_neg	fepA//lpd//lldD//phnG//rhaS//paaH//artI//puuC//qseC//oppC//citF//
PhoP_pos	cydA//yciE//ppdA//metB//yjiY//cueO//efeU_1//accD//ulaB//ppsA//flgI//gatC//glnQ//rutE//kbp//thiP//phoH//fimE//malT//fabH//csiD//allA//galM//murG//deoD//phoP//glcE//rclA//bglF//aceK//ulaF//yfbR//ygbK//yibQ//nrfC//napG//ydhY//entB//gspK//yhjA//wzyE//leuC//fucU//rbsD//srlR//ebgA//gpmM//rhaT//
PrpR_neg	malI//
PrpR_pos	yfdX//fbaA//isrC//aceF//
PspF_neg	deoC//
PspF_pos	yciG//ppdB//phnF//prs//citF//ygiA//
PurR_neg	cpxA//pspG//ynbD//yjbG//csiD//cysC//tdcC//waaZ//cpxQ//soxR//hdeA//ycjX//csgA//hyfD//deoA//argP//uidR//xylG//hipA//recD//phnG//argH//galK//fliD//nirB//fbaB//ompF//ulaB//tsx//uvrY//sroC//
PutA_neg	ada//umuD//
PuuR_neg	flu//phoE//sgrS//atoA//cpxA//ogt//caiA//
QseB_pos	puuP//atoB//frc//glpA//
RbsR_neg	hcaE//ydfW//mdtA//chbA//omrB//fadA//pdeH//cadC//
RbsR_pos	soxS//
RcdA_neg	dnaN//aceK//
RcdA_pos	malG//umuC//paaY//ydcV//dcuR//mdtE//nagA//
RclR_pos	nimR//araD//nemA//
RcnR_neg	chbG//hybO//mdtC//
RcsAB_neg	glpQ//rcnB//napA//efeU_2//sdhD//lsrA//
RcsAB_pos	fucK//pspG//phnE_2//ulaA//betA//leuA//manX//fhuD//agaV//caiA//
RcsB-BglJ_pos	osmY//aroP//fhlA//aroF//relA//waaY//aroF//pspF//lsrF//fecI//hipB//focA//rclA//fiu//ttdA//mhpC//
RcsB_neg	yhjX//pspD//
RcsB_pos	mhpD//hycD//lpxA//dinG//dsrA//pspG//dmsB//zraS//ycdZ//recN//rplU//sulA//exuR//hha//mioC//napC//sgbE//napG//ompW//lysO//fixC//acrB//yneM//
RelB-RelE_neg	phnL//agaB//wzzE//
RelB_neg	tehA//add//fdnG//
RhaR_pos	feoC//qseB//
RhaS_pos	fepC//cysK//glnD//ydjM//gltB//hisM//
Rob_neg	gpmA//
Rob_pos	ddpD//paaF//zinT//yhbT//melB//ftnA//paaI//bioD//cra//ompC//yjjZ//gabT//gspG//icd//moeB//chbR//dgcZ//fur//feoB//ahpF//gadW//allB//araJ//aspC//nikR//
RstA_neg	aidB//ompF//wzzE//entF//dmsA//
RstA_pos	ymiA//accC//ompC//idnK//fepD//
RtcR_pos	phnO//flgB//
RutR_neg	seqA//cydD//ygbK//nhaR//dsbG//glmS//sgrR//purM//eno//accD//cheA//entB//ycjX//molR_1//psiE//
RutR_pos	phnM//gcvP//
SdiA_neg	patA//hypB//tam//
SdiA_pos	yciG//mgrB//cynX//
SgrR_neg	gfcA//purM//cysE//paaD//gntX//
SgrR_pos	cadA//aspC//epd//trxC//
SlyA_pos	hdeA//
SoxR_neg	idnR//
SoxR_pos	atoA//ydhY//
SoxS_neg	mdh//fliG//
SoxS_pos	hlyE//ilvY//relA//mpaA//yfiR//ydhX//cusB//gltL//aceK//hyaA//agaI//tynA//phnE_1//cyaR//nirB//ompT//paaG//exuR//metB//fliC//gntT//araB//caiC//rfe//rimK//iraP//cra//arsB//citE//ldtC//dgcN//manZ//lgoR//recX//nhaA//hybF//motB//purC//
StpA_neg	melR//phr//trpR//yciF//exbB//purE//yccJ//
SutR_neg	fliZ//pitB//mntS//melA//feaB//
SutR_pos	oppD//
TdcA_pos	ydeI//tyrB//torA//hypB//phnJ//entF//yidL//
TdcR_pos	cyoB//fecA//cysJ//fliE//recC//gspO//rpoE//
TorR_neg	gatD//ssrS//dsdC//
TorR_pos	spy//hypB//rpmI//paaK//ydbD//tisB//pepA//artP//ftsK//
TreR_neg	purA//gadY//
TrpR_neg	moaE//paaB//pflB//nupC//glcB//metJ//ygiC//lysR//sufD//fabB//cspE//garK//
TyrR_neg	hcaE//soxR//yfdX//efeU_2//higB//asr//prpD//spy//ssuE//sufS//
TyrR_pos	gltL//tauC//micF//
UhpA_pos	gspM//
UidR_neg	dicC//mzrA//aslB//hyaE//
UlaR_neg	ynfH//ymiA//csrB//modB//gspI//fecR//csgG//
UvrY_pos	dmsB//pfkA//puuA//nrdD//rimP//
UxuR_neg	agaA//sfsB//metC//nuoK//trpA//torR//creD//ddpX//fabI//
XapR_pos	cusR//nrfD//
XylR_neg	aroH//
XylR_pos	rcnR//manZ//yibQ//mltF//focB//csrC//
YdeO_neg	ytfE//mazF//
YdeO_pos	cysU//xylA//napD//gntU//napC//narL//entC//csgF//dgkA//gadY//gcvP//nrfB//murD//puuC//relE//rprA//eda//galK//ybhR//
YedW_neg	trpR//envC//murR//ycjX//glmU//
YedW_pos	mngA//fecD//tdcF//tisB//dgcC//yafO//thiP//
YefM-YoeB_neg	astA//nuoN//
YefM_neg	caiC//patD//
YehT_pos	flhA//
YeiL_pos	fliK//
YiaJ_neg	pdeR//ahpF//srlB//rimK//nhaR//flgL//malY//malG//evgS//pagP//
YjjQ_neg	aroP//sdhC//flgJ//fliQ//nrdI//alaC//napC//murQ//bglB//caiB//
YpdB_pos	csrB//
YqhC_pos	fabH//phnN//
YqjI_neg	aceF//mazF//
ZntR_pos	nfo//
ZraR_pos	metB//ydfH//mdtE//
Zur_neg	tfaQ//dpiA//sufS//sdhA//ykgM//bamE//
