#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	cyoC//norV//
BasR_pos	hyfH//rpoE//nrdH//oppB//nhaA//ydcS//ynjI//deoB//ugpQ//rnpB//glpX//
BetI_neg	phnD//iraM//mprA//appX//
BirA_neg	tnaB//nuoL//bglF//ygiZ//phnE_1//
BluR_neg	ydhV//wecB//alsE//dinI//
BolA_neg	wzxE//eno//
BolA_pos	potH//pnp//
CadC_pos	rybB//srlB//edd//
CaiF_pos	casB//dmsA//fumC//uidA//prpC//lacZ//relE//nrfB//ogt//ccmB//
Cbl_pos	rpoS//ihfA//tehA//potH//fliE//nrdE//narI//idnD//uvrC//
CdaR_pos	gspJ//metK//sroD//glpF//sucA//nagB//ycjF//yhjC//rutG//fldB//
CecR_neg	ssuB//nfo//gspI//fecA//glpD//
ChbR_neg	ftsZ//srlB//wzyE//ihfA//lysC//cyaR//
ChbR_pos	alkB//potH//idnR//ykgO//hyaF//ftnA//
ComR_neg	ydhU//
CpxR_neg	fucA//focB//gpmA//feoA//malF//nrfE//nrfC//cysJ//wzxE//ydhY//glyA//fhuE//fliA//nikC//amtB//fpr//fixC//alsE//ybbY//infB//recN//nanS//nusA//cyoA//
CpxR_pos	appB//galM//carB//talA//phnM//hypD//purC//ppsA//alaC//ytfE//galM//hdeD//puuP//frc//yefM//hipB//inaA//fliF//tcyJ//hyfI//tfaQ//yfdV//hybE//entS//dkgB//zraP//nuoC//cusB//ccmH//malG//ompT//paaZ//hyfC//atoB//feoA//hyfB//rutR//pgaD//mazG//caiD//alsB//chbG//cas2//tauD//flhB//paaX//
Cra_neg	tdcB//yebG//fhuC//glnG//rclA//pgaA//stpA//gcvP//nanS//gspH//ydjM//sfsB//metB//yibQ//dcuS//malX//eno//yhiM//moaE//oxyR//wecB//yafN//ydbK//bglF//trpC//aceB//fbaA//edd//zntA//glnB//kdpF//mqsA//yeiB//murQ//gadF//ydhT//emrY//ccmD//allB//frdB//feoB//rob//puuP//uxuA//pgi//rnlB//cpxQ//purM//omrA//caiE//paaD//fadM//speA//cysA//ruvB//chbC//ygaC//sgbH//hybB//
Cra_pos	uxuB//agaA//rclB//sdhC//caiD//ydcS//yccT//fixA//xylA//phnC//fbaB//deoD//metH//pitB//hypA//hybA//deoB//ybiT//flhC//lrhA//araJ//safA//uidA//
CreB_neg	ttdB//citE//adhE//
CreB_pos	gspE//artP//
CsgD_neg	ynbC//dtpA//murP//gadW//baeS//ybhL//psiF//tdcD//ycjG//grxD//patD//lpxD//gcl//malM//arsR//
CsgD_pos	nuoE//hokD//srlB//fabD//kbaZ//ynfF//oxc//dctR//adhE//flgA//mioC//ryhB//evgA//
CsiR_neg	luxS//fliG//prpR//ybfE//uvrA//
CspA_pos	cspE//cvpA//
CueR_neg	csgE//modA//yccT//ydcT//malY//
CueR_pos	dnaN//pfkA//
CusR_pos	flhE//lon//flgE//ybdZ//bglG//ugpA//appY//ddpF//nrfF//oppA//iscU//norW//
CynR_neg	ddlB//
CynR_pos	umpH//pnp//tehB//
CysB_neg	potI//hyfA//hycD//tyrB//malM//gltJ//lldD//
CysB_pos	iscS//glcB//hmp//phnK//rsmH//amn//ydfE//zraS//artQ//flgB//nimT//sulA//rpoS//entD//folE//yhdZ//argA//pnp//yciW//cpxA//yciX//paaG//rob//sroA//sfsB//
CytR_neg	aspC//recC//dapD//tyrP//lysO//gadW//csiD//exuT//soxR//pheS//cspD//dpiB//csgF//
Dan_pos	hybA//pdhR//ybjC//nrfD//
DcuR_pos	agaV//nemR//glpF//sroC//dnaN//uxaC//gatZ//chbR//hokE//
DeoR_neg	glxK//hyaD//bacA//mqsR//umuC//yhdZ//
DhaR_neg	yecR//
DhaR_pos	hemL//uvrY//thrS//
DicA_neg	wzzE//chbC//rutG//ydfE//entA//narK//ugpA//fimE//
DinJ-YafQ_neg	ccmB//pck//pepD//
DnaA_neg	ykgM//flgM//fbaB//rhaA//csgA//aceK//purD//copA//cvpA//nirD//aroM//
DnaA_pos	phnJ//ybhR//micF//inaA//acnA//fecD//pgaC//
DpiA_neg	nikE//
DpiA_pos	nuoE//flgL//aceK//ldtD//fes//caiF//flgK//ribA//sfsB//araJ//
DsdC_neg	fepB//
DsdC_pos	cueO//mhpT//
EbgR_neg	idnD//phnE_2//
EnvR_neg	fadA//yhdX//
EnvY_pos	grxA//gadB//
EvgA_pos	molR_1//recF//rplU//nirC//rstA//dinQ//fabB//znuC//ygiB//ccmF//mraY//hybE//aceB//ascB//fdnI//prpC//adhE//allS//paaY//
ExuR_neg	fepA//hemL//nanT//asnA//seqA//phoU//lysA//cbl//truB//
FabR_neg	gspL//glcF//
FadR_neg	cynX//tisB//ibaG//qseC//trpE//nagA//flhC//rhaT//galR//yfdX//rnlB//
FadR_pos	ddpD//pqiA//borD//ybbW//ycjF//cpxQ//yhdX//malX//ndh//fliJ//flgF//gatA//
FeaR_pos	bdm//ybfE//
FhlA_pos	mipA//hns//recN//moeB//hyfJ//kbp//yeaE//yrbL//csgG//glnB//seqA//ybaS//aspC//dpiA//yiaL//fadB//nuoE//waaZ//gspH//higA//aroL//cysM//potI//poxB//omrB//nrfG//kdpC//stpA//nfuA//cysB//
FlhDC_neg	higB//flgH//pspG//yqjH//
FlhDC_pos	malI//argI//fur//mngA//ybhR//argD//marB//rbsK//fecE//lacZ//gcvT//speA//nanK//guaA//ydeI//cspI//cysD//fliF//yecT//rpiR//gabD//hybA//ada//metY//hipB//cysD//caiE//adhE//grxD//tfaQ//frdA//ydhT//pqiB//nohA//sufC//adiA//ybiT//atoB//nmpC//hycF//dmsA//rimK//fucO//ppdA//malE//nrfD//pstB//ymjD//sbmC//puuA//mioC//astB//yagK//torR//ynbC//ndh//bolA//ycjG//bioF//sucD//narI//ppc//mzrA//xapB//ompW//nanK//modA//phr//yjbH//hisM//fadE//ydeO//lysO//nuoH//citC//mglC//zraR//nuoB//
FliZ_neg	uxaC//ydeO//glcC//xylG//borD//gadA//lacZ//mdtC//glnD//dsrA//ydhW//dsbG//mtlD//efeU_2//cheW//galK//recD//umuC//thiQ//nikR//codA//
FucR_pos	cusR//feaB//nimR//flgE//nemR//rnlA//yhhY//
Fur_neg	pgm//pgpC//hypA//garR//wzyE//aspC//fes//aldA//nikD//cheA//mdtE//nuoC//yfaE//mntP//tyrB//dctR//bdm//cvpA//hokD//nrdA//gcvB//creC//araC//hmp//rstA//hyaB//artP//sdhA//cpxQ//pdhR//ndh//gabD//lacY//leuC//tdcD//fimE//gabT//zraP//cydB//cpxR//sdhB//ygiB//grxA//tdcC//citC//wcaA//fliL//hisQ//lysA//exuR//ulaG//ahpC//malZ//galR//pdhR//ydhW//zraR//gudD//ada//gadW//ddpD//argP//phnO//nirC//ygiC//casA//nikB//hokD//tadA//tam//intQ//ydfN//nupG//ldtD//gadE//fepC//srlB//nuoG//ppdA//fepC//sutR//ycjY//spy//ubiX//purA//yrbL//moaC//torC//hypE//katG//nirC//tbpA//sbcC//entC//rtcA//fadI//osmY//hisQ//ycjX//fliL//metY//ugpC//nrdE//wzxE//phnO//rbsA//nanE//phoH//katE//ynbA//lacZ//yeiL//fecI//flgB//trpC//
Fur_pos	tam//flgE//tnaB//tnaC//argF//recD//norW//ppsA//tauA//ugpB//dctR//flgE//recD//emrY//idnD//yoaG//yaiA//crp//fruA//dctA//acrR//
GadE-RcsB_pos	ykgM//pspF//tynA//metY//fdnI//yfiR//kdpA//lsrG//rutR//
GadE_pos	tfaQ//ynfK//fliJ//ydhU//sgbU//argE//fliK//sfsB//puuB//ccmB//ygiA//yqjI//deoA//ung//dgcZ//nrfE//putA//frdD//nrdI//zraR//phnF//zraS//rpoS//yhdZ//rhaT//gltF//tehB//sucC//rbsK//
GadW_neg	bglF//wecC//idnT//rpoH//fecB//fabZ//agaW//rutD//mdtB//paaK//motA//
GadW_pos	nikR//yfdX//yidL//yafO//sbmA//oppD//fadM//lysC//fliL//tnaC//yhcH//
GadX_neg	nuoC//yedX//dctA//rprA//atoD//ftnB//
GadX_pos	dacC//gltL//yjjQ//metL//hybD//lsrK//phoQ//nfsA//garR//glgP//narJ//napA//csgG//citE//tnaB//flgF//glpD//hemL//ydhT//focB//fabB//hypC//modC//ydjM//pdeH//recN//asr//
GalR_neg	wzb//moaB//tsr//cyaR//creA//puuC//casC//rutR//rdoA//ybiT//
GalR_pos	ybhS//casC//chbR//feaR//
GalS_neg	hokD//sufB//yaiA//argC//lsrR//ihfA//hypD//mltF//uidR//oxyS//
GalS_pos	ulaC//phnH//ydeM//agaR//
GatR_neg	yafN//metJ//moeB//malT//dnaG//ykgM//
GcvA_neg	creC//fepD//kdpA//glcD//
GcvA_pos	yaiA//ftnA//sulA//ybbY//
GlcC_neg	ppdC//
GlcC_pos	feoB//purN//ycgZ//ihfA//murG//yedX//
GlpR_neg	ssuB//phnE_2//agaW//yciG//dkgB//ulaE//narH//yegR//hemH//
GlrR_pos	evgA//feaB//ynfF//alsB//waaY//
GntR_neg	ynfH//yeaR//fadR//rpsO//hha//mnmG//cysW//rpoD//potH//pspD//fbaB//yciF//
GutM_pos	ada//cysG//mdtC//ugpQ//sdhC//recC//putP//
GutR_neg	murP//guaB//hycG//adiA//dtpA//gspI//poxB//
HU_neg	udp//nohA//caiA//rbsC//tcyJ//infB//uvrA//treB//
HU_pos	hyfC//
HcaR_neg	dkgB//
HcaR_pos	accC//pstC//lsrG//tauD//ssb//
HdfR_neg	agaW//yoaG//
HdfR_pos	gudX//narX//alsE//
HigA_neg	melR//glpK//
HigB-HigA_neg	cysA//mgrB//
HipAB_neg	hcr//cra//cynX//ribA//rplT//
HipB_neg	hcr//dsdX//ddpF//entS//fnr//flgJ//
HyfR_pos	feoC//umuC//yagK//paaJ//hisM//kdpB//hemL//wzyE//yqjA//caiD//cyoD//asr//
HypT_neg	dinJ//ecnB//gnd//rimK//rpiB//
HypT_pos	betA//dmsB//yhjX//ybhF//dsbG//narK//csgB//btuB//
IclR_neg	fixB//csiD//murP//ydhY//
IdnR_neg	tdcF//fadR//
IdnR_pos	putA//phnC//flgF//ccmD//fadH//
IlvY_neg	moaB//
IlvY_pos	dgcZ//
IscR_neg	gpmM//rffC//seqA//alsA//rffH//yeaD//ybiT//tyrB//tsgA//pnuC//ftsQ//mlc//eda//cvpA//fixA//codB//bdcA//agaA//lysC//phoE//moaD//
IscR_pos	deoB//aidB//speB//cynS//casE//cdd//ldtD//ybdN//pstA//caiE//acnB//
KdgR_neg	fliT//yeaG//
KdpE_pos	sgrS//ykgM//cheW//uvrY//
LacI_neg	ydeO//lldR//gutQ//
LeuO_neg	mngR//uspD//ppsA//
LeuO_pos	insD//oppC//araC//emrK//yjbE//nadA//yebE//mgtL//ccmB//lysC//moaA//cusS//fucK//ampC//cas2//amtB//ydcT//casB//
LexA_neg	paaK//nupC//ydhU//hypF//phr//fecD//ydhU//pitB//dcuB//rybB//trpB//insD//nimR//dapB//dkgB//hycG//ssuD//fadJ//flhB//fliN//nanM//cadA//cysE//yciX//rtcA//argI//polB//ebgA//crl//inaA//wecC//aroL//gatZ//phoR//argH//alsA//araD//dkgA//fliA//deoD//zraP//bolA//aceF//glmY//cysH//phnJ//nanE//chbB//waaZ//sbcD//flhE//arsR//frdB//ygeH//qseC//nusA//yibQ//amtB//rhaA//
LldR_neg	dps//treB//nuoK//
LldR_pos	psiE//mngR//efeU_2//
LrhA_neg	narL//bioB//
LrhA_pos	cho//hcr//
LsrR_neg	glpQ//fbaB//fadH//pncB//gpmM//ydfH//rpoS//gltL//lysP//
LysR_neg	pdhR//
LysR_pos	yqhG//
MalI_neg	dgcC//pspG//dcuS//
MalT_pos	astA//flhA//feoC//fixX//rutF//fliD//nrdG//hemL//alkB//ugpE//
MarA_neg	bioB//aceB//acrA//agaW//argE//bacA//bglB//
MarA_pos	melA//sucD//relA//purB//yqaE//artJ//yjhC//fadD//aroL//flhD//ppiA//ygiC//pspF//yecR//mepH//gltB//rpsO//fadJ//btuB//sucB//csrB//focA//bioF//borD//gadB//ydhV//yjbE//ecpA//gatY//appX//napH//
MarR_neg	allD//nrfE//feoB//
MatA_neg	phnN//flhB//cysN//mhpE//fhuE//dgcC//
MatA_pos	dps//yeaH//
MazE-MazF_neg	znuA//sodB//frdD//
MazE_neg	cysK//chbF//entS//
McbR_neg	gspJ//
McbR_pos	glnK//yoeB//ydeM//
MelR_neg	narX//gatB//murP//
MelR_pos	zwf//lsrR//ynbA//
MetJ_neg	hcaC//lpxD//yjbH//mnmG//cysD//mhpA//bioF//xapA//galR//glpD//hyaD//fliG//dnaN//caiE//entD//
MetR_neg	cydB//lysA//
MetR_pos	umpH//mngB//phnK//ulaB//
MhpR_pos	speB//srlB//paaK//hisJ//erpA//ruvA//
Mlc_neg	cpxA//gltI//frdA//ftsK//slyB//bhsA//cadB//hcp//polA//nfo//
MlrA_pos	ydfH//fau//nhaA//lsrD//glgA//nusA//mgtL//ddpC//hyaC//patD//
MngR_neg	gcvH//cdd//sucC//
MntR_neg	allC//ychF//srlD//yfaE//
MntR_pos	hisM//
ModE_neg	yafO//pflB//cysA//hyfF//pgaC//hybB//cpxQ//ssuB//cysC//ribA//narG//cpxR//gcvA//artJ//accC//
ModE_pos	mntH//ydiV//fadM//entS//fadR//cusS//codA//fepG//sbcC//narL//asnC//fdhF//glcG//gadY//ydhW//fecD//hycH//yiaM//rnlA//yhiM//sufC//uidB//glnD//sroD//gntT//potF//hypD//emrK//lsrC//umuD//pdeH//
MprA_neg	ycjF//dhaR//murQ//araG//fldA//ydjM//
MqsA_neg	yiiS//luxS//fdnG//purK//ydeO//lsrD//gntX//ydiV//
MraZ_neg	ykgO//xylA//paaD//kbp//yjbH//nikE//argD//dinB//nagE//yoaC//rpoH//glcF//norV//emrA//pgaC//yqaE//tyrB//
MtlR_neg	recD//omrB//uvrY//
MurR_neg	paaC//oxyR//pgaC//
MurR_pos	cyoC//
Nac_neg	inaA//mpl//hslJ//ppdC//idnD//phr//gltB//nikC//phnD//
Nac_pos	nfsB//hha//pdeH//fadJ//dps//phnM//fucU//fadH//yfiR//tehA//acrZ//ryhB//
NadR_neg	prpB//xylA//artQ//nfuA//
NagC_neg	dnaA//prs//hyaE//fadB//glmY//glcE//asnC//ynjI//rprA//dsdX//phnE_2//tdcC//agaC//fumC//phnH//tehB//sufE//purC//mglC//mgrB//glnA//yqjA//ynbD//oppB//hybG//ydcT//yaiA//cho//atoD//prs//puuP//fixC//sufS//
NagC_pos	ulaG//metQ//rbsD//
NanR_neg	moaE//pnuC//ynbB//alkA//flgG//nanA//ompW//ccmC//sutR//adhE//
NanR_pos	nuoI//
NarL_neg	csgC//norV//csgB//uvrY//mngR//slt//recA//gltB//flgI//tolC//phnM//fepD//gatB//emrK//phnE_1//nrfC//gatB//ttdT//wzc//iscR//rbfA//aroL//leuB//nanE//rhaT//hyfH//fecC//ugpE//fliG//ydhT//glnH//sgrS//glgA//ykgM//ccmA//betI//ttdT//mdh//pflB//deoD//nuoG//yhdW//casC//ada//gspC//sulA//bacA//ydfX//mioC//argF//phnM//paaX//allA//metQ//dhaK//dhaK//umuC//phoA//aceF//crr//galT//murC//artJ//pqiA//ybdZ//uidB//rpmA//focB//obgE//zwf//moaA//lysA//mepH//zwf//mhpF//acrA//nuoK//cydC//sgbH//rpmI//dctR//nfuA//gadE//hyaE//galP//crl//oxyS//
NarL_pos	galP//fabI//puuA//hyaE//ulaF//bacA//dctR//fdhF//flhE//napF//leuC//pstA//pdeR//tnaC//murI//ydfX//torA//rclB//higB//phnI//nrfG//ygiB//puuD//araJ//rplT//insD//ybjC//citD//ccmG//mhpB//lysR//lysR//araH//cynT//zwf//fabI//pspD//ygiA//tcyP//cas2//flgN//appY//pdhR//
NarP_neg	relE//iclR//yiaK//tehA//ssb//recN//hyfE//eno//creC//cysI//ygaC//moaE//mgtA//inaA//crr//hycD//melA//ulaF//fliI//uvrC//fhuB//recC//nusA//allD//tnaA//ygbA//gspJ//evgA//ygiZ//pdeR//trpL//nrfD//ftnA//
NarP_pos	astA//iscR//mdtB//ftsI//nanS//fadR//pspF//malQ//wecC//purR//ftsI//ynfK//sufS//rcnB//aceK//yecR//ycjX//hyfI//ygeA//nanA//modB//fliM//metI//mhpD//tcyP//ccmC//yafO//galT//aceK//yccA//cbl//ygaC//
NemR_neg	emrY//flgB//tdcD//
NhaR_pos	flgH//flhB//mraZ//hipB//artP//rnpB//pspB//
NikR_neg	cysG//pepA//qseB//yhbT//entH//fepB//
NimR_neg	dinJ//ybjG//
NorR_neg	cbl//
NorR_pos	thiP//nimT//
NrdR_neg	ygeA//murF//nuoL//hipB//sufE//paaH//yafQ//ecpR//nrdE//
NsrR_neg	ymgC//treR//fixA//fadJ//lysA//yhiM//yccT//fhuB//mhpE//gyrA//aroP//aldA//bdm//uxaA//phnC//waaZ//rutB//caiB//ecpR//pyrC//gntP//ugpQ//osmB//fliT//chiP//amn//phnF//lamB//sucC//phoA//torD//tdcC//eno//alaS//uxuA//ygiC//nohA//gntP//accB//gltK//ydjM//cysD//tktB//hyfF//ccmG//ilvC//sutR//rimP//rbsK//srlA//ydfE//rffT//fliA//tnaB//psiF//ybaT//rpoS//katG//cspD//ycgZ//trpE//prpC//treR//garP//sroA//hybF//dctA//lsrC//glpD//cysM//yciX//phoE//ddpX//lysO//mhpE//pitB//wzxE//aroG//flgN//modA//fdnI//mpaA//iscA//
NtrC_neg	grcA//glcD//exuT//nupC//phoA//hypA//
NtrC_pos	gudX//yhbE//ulaB//bioB//metN//sufD//cspD//hypF//nadB//ssrS//fadJ//ldtB//metB//galR//ulaC//pgm//tauC//cysK//norW//ada//intQ//lgoR//entH//mgtL//cdd//tadA//fliO//ibaG//recN//ydjM//flgG//bglJ//sbcD//nac//rseB//patD//frdA//wzb//asnB//flgG//patA//mdtB//napC//fldA//pdhR//appA//cysU//hns//ppc//
OmpR_neg	yafN//osmY//ykiA//paaE//ybbW//serA//glcE//yciF//metA//cspE//gatD//pykF//
OmpR_pos	phoU//xylB//focB//mgrR//cydC//aslB//borD//ygeA//uxuB//rtcA//
OxyR_neg	sdhC//pfkA//yaiW//ydbD//casB//entC//fabZ//hypC//slyB//phnH//moeB//hemL//
OxyR_pos	cydA//cspD//betI//copA//sroD//tdcG//serA//uvrA//rclA//cas1//argR//phnN//spy//sgbU//nhaR//fes//flgJ//kbaZ//gcvT//gnd//kbaZ//dmsD//
PaaX_neg	cspE//nirB//fixA//ecpR//yefM//rhaB//fhuF//mraZ//glgA//paaF//wzb//yhhY//acrZ//hisJ//
PdeL_pos	hyaC//
PdhR_neg	sdhC//xapA//rutA//ygiZ//fdnG//srlA//fixC//sra//phoA//carA//melA//agaB//gspG//iscS//rcnR//oppC//paaY//lamB//glmS//uspE//napF//hyaB//fucA//nrdD//yciE//relE//insD//envC//csgF//fecA//adiA//galM//csgG//betI//xapB//sufD//
PdhR_pos	mdtB//cysU//rhaA//agaS//ybfN//
PepA_neg	pspA//tdcF//cysH//
PgrR_neg	potF//purB//accC//hycE//csrB//rhaB//hyaB//purC//
PhoB_neg	yhdZ//yhdZ//mioC//treC//cysB//yoeB//mepH//rimK//hisM//rbsR//lsrA//murI//
PhoB_pos	pflB//malF//glgB//malZ//feaB//pgk//hyfD//alkB//torR//fliG//cpxR//nadA//melR//cadA//cynR//paaA//lysO//cyoD//ybfN//alsE//creA//hns//nikE//yqjI//kdpC//leuA//pspG//pspB//uxaA//gatZ//gspO//argC//pepA//rybB//rbsB//yeiB//rutA//uxuA//rpmA//ydfW//cytR//mqsR//nrdI//fadE//gcvT//ftsW//erpA//glnB//tyrR//ttdB//phoU//glk//lon//
PhoP_neg	nrfG//lsrG//ydcT//nirB//ssuC//gltD//rpoE//hyfJ//srlR//rarA//tcyP//
PhoP_pos	nrdG//fliF//uvrY//fadI//ymjD//glgC//glpQ//nlpA//tonB//wcaB//mprA//zraP//narI//ybhS//caiC//bioA//exbD//putP//yhjA//ppdB//flgI//fecI//yeaG//nimR//puuC//rseB//rbsC//argD//yaiW//ybjG//glyA//yhjX//asnC//borD//chbC//pagP//fumC//hyfH//purR//nanS//accB//agaC//yjiY//dkgB//yegR//cysD//yefM//treC//
PrpR_neg	ugpA//
PrpR_pos	nikC//frdC//cusB//cysK//
PspF_neg	aceB//
PspF_pos	kbaZ//yegH//hycI//frdB//nrdD//araJ//
PurR_neg	fliM//tynA//fliP//cbl//edd//malS//rffC//tehB//ssuC//tdcB//phnJ//treR//yhcH//argC//puuD//lsrB//patA//ulaG//putA//cysD//alsE//wecE//degP//hybB//prs//chbG//aroL//nuoJ//rplU//srlE//ruvA//
PutA_neg	paaH//accC//
PuuR_neg	fliS//yaiA//ugpC//malK//yeaE//atoE//umuD//
QseB_pos	sucA//iclR//znuB//glcA//
RbsR_neg	cyoB//iclR//mdtD//mcbA//tehB//lpd//baeS//rfe//
RbsR_pos	fldA//
RcdA_neg	fucP//pitB//
RcdA_pos	agaI//cysK//soxR//gabT//mepH//ydfD//yjbH//
RclR_pos	ilvC//sbcC//ptsH//
RcnR_neg	galR//lldD//nrfD//
RcsAB_neg	hcaB//malS//uof//mraZ//hyaE//argH//
RcsAB_pos	allS//narJ//lysO//garL//tbpA//ugpE//cysE//murQ//rpoE//ytfE//
RcsB-BglJ_pos	sgrR//uxaA//pstC//fliH//mdh//malQ//cheW//hisJ//gcvT//nuoN//ygeH//lgoR//zinT//narI//yhdZ//moeB//
RcsB_neg	artM//rcsA//
RcsB_pos	phnL//potH//ccmA//pgk//atoE//hcaD//glgP//nuoN//metQ//citE//argG//yegZ//aceA//mazF//yegZ//nanS//yqhG//cueO//sfsB//fhuF//purM//tktB//ybhL//
RelB-RelE_neg	glcB//cusA//ycjF//
RelB_neg	ubiX//narJ//cysP//
RhaR_pos	mhpF//murF//
RhaS_pos	slyB//xylB//alsB//fldB//dinD//galP//
Rob_neg	lolA//
Rob_pos	cydD//gcl//gspG//argT//ldtC//lpd//dtpA//guaB//agaS//nagB//hypB//artQ//fecI//mglC//citD//modC//mgtL//ung//focA//pitB//tehA//hyfJ//csiD//carB//cysN//
RstA_neg	aceB//aceK//insD//lsrB//gntX//
RstA_pos	yqhD//bdm//mazG//spy//hdeB//
RtcR_pos	ssrS//sgbH//
RutR_neg	puuD//murE//motA//bacA//yhjX//rcnA//paaH//lsrC//cysN//fixA//cysJ//malG//cheA//fecR//cyaR//
RutR_pos	acrR//ytfE//
SdiA_neg	ymgA//dinQ//modC//
SdiA_pos	hyfB//narK//argD//
SgrR_neg	ydfH//rpsU//hyi//aroP//accC//
SgrR_pos	mraY//lsrK//fixB//citD//
SlyA_pos	oppC//
SoxR_neg	gspJ//
SoxR_pos	flhA//rutA//
SoxS_neg	pgk//fbaA//
SoxS_pos	cysG//galR//csrC//phnE_2//paaC//gadC//lldP//csiD//gcvP//hydN//hdeD//polB//hycE//truB//glgB//uspE//lgoR//rplU//aroL//purR//gcvT//accB//aidB//narX//uxuR//ubiX//hcp//kbaY//dicC//sgbU//prpB//pgaD//kdpA//gfcA//ssrS//yfbR//nirD//bioA//
StpA_neg	dapB//yneM//glnA//seqA//flgM//murE//rybB//
SutR_neg	copA//xylG//lacA//appX//cydB//
SutR_pos	lgoR//
TdcA_pos	ychF//asnA//dgkA//osmY//focB//yebE//yeaE//
TdcR_pos	cysC//frc//pgaD//wcaB//astC//hycE//flhC//
TorR_neg	rpoE//hdeD//ppiD//
TorR_pos	lgoR//fecR//wecB//zntA//fecA//yegH//rhaA//flhA//tauB//
TreR_neg	tnaC//rbsD//
TrpR_neg	nirD//rpmA//phoR//cadB//malK//fliG//flgE//wrbA//yfiR//acnA//intQ//alaC//
TyrR_neg	idnO//nanA//ulaE//ybjN//patD//pdhR//cysC//ybhF//ahpF//mqsA//
TyrR_pos	ftsK//yfiR//atoB//
UhpA_pos	ftsL//
UidR_neg	yciW//cysW//cirA//hisQ//
UlaR_neg	gltJ//yebE//leuD//tisB//galE//yjjZ//cspE//
UvrY_pos	entF//caiD//emrK//molR_1//setA//
UxuR_neg	exbB//garD//fimE//puuB//grxA//ahpC//pyrC//ompF//mltF//
XapR_pos	atoD//wrbA//
XylR_neg	csgE//
XylR_pos	emrB//rbsK//hyaC//glcF//tsx//tpiA//
YdeO_neg	glcF//rcnR//
YdeO_pos	nrfF//agaA//ydbK//narL//ftsL//glpB//napF//yjeV//rutR//kdpB//pgi//hflD//wzyE//ompT//nanE//gadA//carA//fecD//dnaA//
YedW_neg	cysK//ydcV//entF//motA//pspA//
YedW_pos	tnaB//micF//lamB//hslJ//gfcA//agaB//paaJ//
YefM-YoeB_neg	dinD//gspL//
YefM_neg	gabD//ompF//
YehT_pos	uxaB//
YeiL_pos	asr//
YiaJ_neg	hypD//artI//yeaH//oppC//fimE//bioA//rutF//ybfE//ykgM//mdtA//
YjjQ_neg	recC//gntU//gspJ//hisQ//pitB//sodA//yidQ//ychF//dmsD//glgC//
YpdB_pos	creA//
YqhC_pos	hcr//fucO//
YqjI_neg	nuoA//tnaC//
ZntR_pos	ttdT//
ZraR_pos	ymiA//mdh//purH//
Zur_neg	znuA//uof//ptsH//dapB//fepB//nohA//
