#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	sdhB//icd//
GcvA_neg	sucB//infC//thiP//adhE//
GcvA_pos	prpE//adiA//pgi//cysA//
GlcC_neg	xylH//
GlcC_pos	aldA//xylR//ccmC//oppF//entB//rffM//
GlpR_neg	mtr//cytR//dps//ppiD//appY//dgcN//hisP//pncB//galT//
GlrR_pos	kdpF//phoQ//yegZ//phnE_2//dhaR//
GntR_neg	moaA//argH//fucK//pstA//bglF//hokD//ccmE//agaI//sroA//polB//potG//ddpX//
GutM_pos	recD//hemL//malQ//prs//aroM//rffM//prpE//
GutR_neg	potH//csgD//pspF//ydfW//garP//fliH//malY//
HU_neg	ybaT//yqjA//entB//rutR//sufD//fepA//uidR//ykgO//
HU_pos	gadW//
HcaR_neg	ssuA//
HcaR_pos	nirB//cadB//hycA//erpA//sgbU//
HdfR_neg	yhjA//cusR//
HdfR_pos	fruK//hyi//glcE//
HigA_neg	oppC//dapB//
HigB-HigA_neg	argI//dhaK//
HipAB_neg	baeR//glcA//uxaB//katE//glgB//
HipB_neg	atoA//flhD//znuC//cyoB//fbaA//osmB//
HyfR_pos	nrdA//ykgM//phoB//potF//ccmD//ada//arsR//sbmA//frdC//fdnH//nrdD//pspE//
HypT_neg	csgE//yafN//cyaR//iscR//lysC//
HypT_pos	sbcD//ydeO//dnaG//rprA//cysA//iscS//hypF//iraM//
IclR_neg	ilvY//cadB//ibaG//dmsD//
IdnR_neg	gabD//ung//
IdnR_pos	ycgR//fruK//yqaE//fepB//mscM//
IlvY_neg	casB//
IlvY_pos	gabP//
IscR_neg	dsbC//nikB//epd//moeB//uspA//psiF//cspE//glnD//mioC//melA//rimK//lacY//rnlB//btuB//ybfE//glcG//metL//ygbK//folA//atoD//hyfR//
IscR_pos	pyrC//nagC//cysP//dpiB//yneM//cysM//exbD//ugpE//marA//yegR//ilvC//
KdgR_neg	galR//nrfB//
KdpE_pos	fucK//ybiT//phoE//arsB//
LacI_neg	leuA//xapA//ybbW//
LeuO_neg	glpK//fdnG//dkgA//
LeuO_pos	tdcD//hyfB//yqjI//gabP//glcG//cpxQ//cusF//dinG//ftsI//dkgB//gadY//aceB//fliT//ycjX//argA//yfiR//add//entH//
LexA_neg	hycF//ybjN//ybjC//cysW//fau//galK//ybdN//hisM//napH//ykiA//cydC//nagE//sucB//mngA//lsrC//pspB//argB//casC//lsrF//tehA//pncB//mgrR//ulaB//ygeA//pyrC//yeiL//hlyE//waaY//hycB//murI//nrfA//cynX//narL//hcr//nuoC//tnaA//ulaF//ybaS//baeR//feoB//wzyE//rcnA//sulA//znuC//gatD//tdcD//gspO//yiaN//pqiA//araJ//sroD//glyA//tdcF//fliC//hyfA//fliG//agaI//grcA//rpmA//
LldR_neg	infB//metN//cspD//
LldR_pos	casB//sufB//nrdG//
LrhA_neg	fpr//lhgO//
LrhA_pos	mhpA//nrdG//
LsrR_neg	umuC//ttdA//cusS//ymiA//chbF//ychF//tsgA//gpmM//rplU//
LysR_neg	hypD//
LysR_pos	osmC//
MalI_neg	evgS//nfo//garD//
MalT_pos	hlyE//fhuF//ygiA//pflB//cysB//cusR//purR//malE//ftsW//melB//
MarA_neg	qseC//oppB//hyfG//yjjZ//gpmM//ampC//ccmD//
MarA_pos	hypD//cho//csgC//nanS//agaB//yagK//citC//narL//fadA//asnC//garP//cho//lsrB//tauA//glgB//phnE_1//fhuD//gfcA//malI//poxB//hflD//zwf//prpC//recF//mhpD//argG//citD//hyfR//gudD//ompF//caiE//
MarR_neg	ebgA//flgB//mgrR//
MatA_neg	lysR//rstB//codA//fadI//nohA//isrC//
MatA_pos	kdpC//gloA//
MazE-MazF_neg	idnD//gpmA//ydfH//
MazE_neg	fliC//pgi//ompN//
McbR_neg	wza//
McbR_pos	codB//gltI//hokE//
MelR_neg	fucP//sucC//psd//
MelR_pos	dicB//treC//aceA//
MetJ_neg	arsC//rclA//agaD//nrfF//mraZ//ykgO//folA//hdeD//fiu//tisB//crr//phnE_1//phr//efeU_1//dsdA//
MetR_neg	bioB//mlc//
MetR_pos	garR//rbsC//gntT//tauB//
MhpR_pos	rybA//cecR//xapB//paaD//cysP//chbF//
Mlc_neg	astE//hycB//feoC//alsE//allS//hyfB//flgB//ydhU//yaiA//gutQ//
MlrA_pos	paaD//frdB//creB//norW//thrS//mhpA//hyfA//rplU//pflB//ldtB//
MngR_neg	dsbG//astE//ebgC//
MntR_neg	dgcZ//trpD//ddpX//paaH//
MntR_pos	hyfC//
ModE_neg	dicB//nikE//feoC//alaC//bglJ//glnL//fecE//gcl//flgH//lgoR//ybhR//gntU//lpxA//idnT//puuB//
ModE_pos	bdm//dhaM//wrbA//bioC//fucR//rcnB//udp//sufB//phoQ//tolC//tauC//phnE_2//omrB//lexA//aspA//prpD//artJ//sroA//zinT//mntP//idnD//aroM//nrfC//rutD//paaY//pagP//ubiX//nuoM//tdcB//mlrA//udp//
MprA_neg	artI//fepA//glnG//glnQ//hycE//gspL//
MqsA_neg	allS//iscR//bioA//dctA//yegR//mdtD//flgK//glcE//
MraZ_neg	glnD//fepB//pitB//hha//norR//bglB//exbB//mcbA//yrbL//bluF//paaJ//metK//decR//acrZ//rutD//torR//gspD//
MtlR_neg	ybaS//chbC//fnr//
MurR_neg	iclR//acnB//trpE//
MurR_pos	mdtE//
Nac_neg	htpG//moaA//pspC//cysB//nikB//betT//allD//yhjC//yiaO//
Nac_pos	waaH//rcnB//mdtD//phr//relA//paaB//prpD//nac//dpiB//hyaD//purC//yqaE//
NadR_neg	purM//nupG//aroF//puuE//
NagC_neg	frdB//nrdE//lysO//cspI//purH//guaA//tisB//pspC//kbaY//hyfE//agaW//hcaF//hycD//fixC//ymjD//dps//hycC//seqA//ynfG//rcsA//icd//hyaA//cysD//ugpE//yjjZ//gabT//grcA//yeaD//hycE//cpxR//mngR//hmp//gltF//
NagC_pos	fepC//puuB//hyaB//
NanR_neg	amtB//mglA//sroC//carB//araE//nanA//glgB//icd//glnP//yegR//
NanR_pos	ddpX//
NarL_neg	mazG//phnI//dtpA//paaG//thiP//hyaA//mipA//hyaE//ydeP//rcsA//pstB//treR//tomB//ynfG//flhA//hemH//fdhF//ychF//yjjZ//trpD//exuT//sufS//yeaG//gspI//idnR//aspA//cspI//rutB//potI//araJ//mgrR//narI//mdtB//paaI//cysN//gpmM//nikB//yoaC//malT//nirB//malX//tnaB//yciG//purD//yaiA//manX//acrB//tsx//pgaC//phnC//yafP//puuE//gadX//astA//ppdA//iclR//nrdE//purL//prs//hydN//rplT//xylR//phnF//thrS//grcA//sdhA//fhuE//glcE//xapA//fadH//phoP//bhsA//mazF//cysE//yhjX//xapB//emrB//mipA//ymgC//gspG//psiF//emrY//citC//mgrB//gadX//fecB//yafP//
NarL_pos	yoeB//hyaB//lacZ//trpE//gadE//aceK//casA//rutD//hybF//fliF//hyaD//ychF//sutR//umuC//yciX//fadI//phnM//garR//aroG//thiP//ftsA//ugpE//yebE//entB//flgL//creB//argO//fadI//glpX//lpxC//aroL//paaK//yaiW//wrbA//gltL//phnN//rclA//mngB//caiF//fucA//mglA//potF//exuR//
NarP_neg	qseC//yiaM//fadJ//gadX//appA//arsR//fliP//gspK//agaA//aslB//mhpA//fadL//emrY//frdD//cysH//sodB//agaW//gloA//metJ//aceE//tsgA//rutF//yfiB//fabD//umuC//hemH//ppiA//ompF//ycgR//ftsQ//insK//fucA//nemA//
NarP_pos	lysO//inaA//recX//nimT//hyfA//nirB//cadA//metJ//aceA//yjbH//aspC//pgm//fepE//ebgC//qseC//pstC//chbG//ycjX//relB//rutR//allS//phoB//uxaC//alkA//emrA//gspL//glxK//hcaB//eno//hns//mdtD//idnD//
NemR_neg	hyaA//malY//ydfN//
NhaR_pos	guaB//ompW//atoB//feaR//rnlB//truB//sufE//
NikR_neg	insD//aceE//rhaD//pheT//gcvB//glcC//
NimR_neg	hflD//yecT//
NorR_neg	cbl//
NorR_pos	gabP//nrfA//
NrdR_neg	agaB//ykiA//paaD//pstA//fliK//dacC//puuP//gadC//cas2//
NsrR_neg	psd//rclC//chbC//nuoC//mtlD//efeU_2//ppiD//phnC//frdA//rhaR//pykF//torA//recB//hyaF//atoA//hyfC//tyrB//trpL//nuoL//nuoJ//rpoE//fixX//cysA//rseB//bioB//argE//ptsG//cbl//hypA//oxc//artI//phnN//rpmI//hybA//fecE//uxaA//yqhD//glpK//alkA//mtlA//cusB//motA//lpxD//ugpB//fdnI//lpxD//fumB//ulaG//glmY//melB//uvrC//puuA//fecE//ppdA//lyxK//nagB//rffM//rseB//mhpE//malT//csgA//ugpQ//fliH//asnB//rcsA//insD//rstA//flgH//flgJ//ascB//nhaA//nuoG//tam//ariR//aroL//hcp//nlpA//ulaA//napH//uvrA//fliN//metA//chbA//
NtrC_neg	ydeO//iscS//ssuA//rpoS//lsrD//rpsU//
NtrC_pos	accA//puuB//yegH//baeS//ugpQ//ydhX//mgtA//ldtC//tcyP//yoaG//ydcS//relA//ddpB//hycG//lpxA//dgcZ//dsdA//codA//mltF//ybhS//garP//efeU_2//aroH//waaH//rhaR//ecnB//hybE//purH//cho//gltJ//ydhY//rplU//mqsR//uvrB//ppdC//betT//ddpC//flgL//gcvH//hybB//cydC//puuA//hokE//rffG//srlE//leuL//araD//mhpT//yfdV//
OmpR_neg	fecI//osmB//tbpA//dinB//gadY//ahpF//ydjM//fabD//xylG//rbsK//efeU_1//gspJ//
OmpR_pos	potF//cyoE//yegH//putA//lgoR//pgaB//cyoC//sdhB//mhpD//chbG//
OxyR_neg	mtlD//decR//hyfD//yoeB//paaA//caiA//garP//nuoF//deoC//gpmM//flgE//hycD//
OxyR_pos	ynfF//hyfD//yncE//yeaE//hyfF//marB//csgF//glgA//katE//torA//fliA//araD//glpX//rbfA//fliI//tyrB//ompF//ecpR//yhcH//wcaB//fliN//appC//
PaaX_neg	nrfF//yhjA//prpB//rybA//ndh//narG//polA//fhuE//hokE//patA//hyfJ//yeiB//rarA//ssuE//
PdeL_pos	fabB//
PdhR_neg	pstA//ycgR//fecR//hflD//mdh//casC//agaA//rhaT//ilvY//gltB//fadB//degP//caiE//lsrF//pstC//rnpB//mltF//ycjF//tcyP//gltJ//ybbY//fadM//ccmH//torC//ecpR//recC//metR//cysJ//fadR//mhpA//hybF//ptsG//cusC//gadY//cueO//glcF//
PdhR_pos	ykgM//gadF//osmY//folE//mazF//
PepA_neg	fucI//prpD//cirA//
PgrR_neg	thiQ//focA//ybfE//tauC//malP//potF//ubiX//dctR//
PhoB_neg	fucI//nanA//caiF//gutQ//nuoE//pdeH//mlrA//higB//xapA//dicB//rhaR//yjjZ//
PhoB_pos	csgD//prpB//nanM//flgB//glnB//frdB//cynS//ydhX//fadH//garL//csgG//fadE//pspC//idnO//chbF//sroD//fixC//malT//folA//purN//tbpA//yhdW//araH//nrfG//lysA//ymgC//ybhG//nuoK//uspA//hybG//yqaE//trpL//speB//paaI//ybhL//dgkA//uxaB//puuC//ydfD//mntP//rpiB//rhaA//cynR//ugpE//yeiB//purA//setA//dinF//rpmI//idnR//aspA//degP//ecpA//
PhoP_neg	ccmG//idnD//ftsK//fiu//mdtF//nanE//cysU//uxuB//fldB//sroD//tdcG//
PhoP_pos	pgi//frdA//ftsZ//fruB//rybA//tsgA//crl//flhC//alsC//argA//ddpF//mhpT//bluF//bioD//mcbA//murC//ftnB//hyaB//narH//ccmF//pgm//dnaN//xylG//higA//dsdA//murP//dps//ykgM//bglB//murI//gspL//hycA//poxB//gcvA//treR//nrfF//yaiW//tfaQ//ftsK//gspM//puuE//dcuS//aceB//appA//nrfF//rob//modB//ruvA//
PrpR_neg	ftsA//
PrpR_pos	ompT//ynbC//hyfG//evgS//
PspF_neg	oxyS//
PspF_pos	gspE//fliD//dsbC//yjbG//yjiY//nikA//
PurR_neg	fimB//flgI//citX//recF//pstB//hyfD//ruvA//ftsA//allB//cydA//paaE//glnG//nrfG//emrK//tehA//feoC//fucI//citG//allD//rutC//fadE//phoA//argT//glmY//fliZ//gudX//gabT//purN//acrZ//dmsB//citD//
PutA_neg	fliZ//tcyP//
PuuR_neg	bolA//sufA//serA//cdaR//rseC//bdm//mdtD//
QseB_pos	nhaA//ymjC//yhdW//ulaC//
RbsR_neg	fliM//nhaR//feoC//phnG//cusA//wzyE//emrA//udp//
RbsR_pos	bioB//
RcdA_neg	uxuR//gltL//
RcdA_pos	purH//dpiB//ftnB//ynfK//paaG//lrhA//cysU//
RclR_pos	dmsA//yiaN//pheT//
RcnR_neg	glxK//malX//modB//
RcsAB_neg	citD//dapD//pgk//chiP//lldR//gcvH//
RcsAB_pos	borD//araH//cynS//frc//dgcC//pheT//nrfA//nrdB//amn//gabT//
RcsB-BglJ_pos	cueO//mgrR//bacA//trpC//cysN//psd//ybhS//iraM//cusS//gntX//hypE//wzyE//rimP//waaY//allA//ydeM//
RcsB_neg	purC//yjhC//
RcsB_pos	dapB//insD//rnlB//ybhR//citC//yhjC//adhE//yccA//ccmD//kbp//moeB//srlE//ydfX//yqaE//murE//csrC//yidL//ccmD//yhdZ//napH//yhdW//chbG//wecE//
RelB-RelE_neg	kbaY//dcuR//mlrA//
RelB_neg	narK//ppdC//nimR//
RhaR_pos	hycA//yebE//
RhaS_pos	glpX//dsbG//napG//rnlA//ygiA//fruA//
Rob_neg	nagC//
Rob_pos	ftsK//phoQ//gapA//eno//evgA//garP//ynfE//ynjI//wza//cspI//astE//pdeL//mtr//nemA//rpmI//tdcA//ybfN//murQ//ibaG//hybF//cynX//mglC//yebE//hyfC//aspC//
RstA_neg	pgk//nuoG//prpB//trpL//mtlD//
RstA_pos	mhpB//ydfE//accB//rclB//gspF//
RtcR_pos	mhpF//accC//
RutR_neg	hycA//rbsB//pgaB//manY//rutE//katG//wzyE//cusC//alkB//phr//hemL//rbsA//phnP//fimE//paaJ//
RutR_pos	fepG//flhE//
SdiA_neg	yjhB//dinF//feoA//
SdiA_pos	appC//fliF//nanA//
SgrR_neg	rcnB//rtcA//fadD//carB//ulaD//
SgrR_pos	caiD//yegR//nikR//phnK//
SlyA_pos	fiu//
SoxR_neg	glmU//
SoxR_pos	fepG//tomB//
SoxS_neg	gatA//mpaA//
SoxS_pos	paaZ//rffG//betA//cysM//fepA//lsrF//purN//gspG//yhdW//lolA//cyaR//fimB//moaE//yjjQ//aslB//hyfJ//mntS//agaB//inaA//uidA//leuC//uxuB//narI//cydD//phnE_2//paaF//fhuA//moaE//bolA//mgtL//hyfF//nrdF//rpoE//pgaA//rbsA//polA//fliG//ugpE//
StpA_neg	napD//hycG//fecR//nanA//nemR//cusF//paaD//
SutR_neg	rclC//atoD//fadE//glxK//nuoN//
SutR_pos	cysB//
TdcA_pos	pgaD//yeaR//potI//sufA//yaiA//yhdX//cysP//
TdcR_pos	gloA//idnD//glgB//glmS//glpD//ydbD//ompN//
TorR_neg	bdcA//ompC//glpX//
TorR_pos	fpr//appY//ygiC//norR//pgaD//ynbA//metQ//hyfE//zwf//
TreR_neg	argP//nagE//
TrpR_neg	ttdB//fecE//phnG//ugpB//nupG//mtr//ydeN//xapB//cydD//puuR//xylH//rarA//
TyrR_neg	gatZ//rplT//rpoE//baeS//yqhG//garR//chiP//paaK//ybfN//glpQ//
TyrR_pos	higA//yfdV//puuA//
UhpA_pos	gcvB//
UidR_neg	mlrA//dsrA//creD//phoB//
UlaR_neg	guaB//rfe//kbaY//acnA//tauD//mazG//hns//
UvrY_pos	yjhB//galR//xapA//yhcH//lacY//
UxuR_neg	iraM//ascB//leuO//ybjG//rutD//luxS//fabD//mgrR//phnI//
XapR_pos	qseC//gcvB//
XylR_neg	ykiA//
XylR_pos	ppiD//tnaC//waaH//glcB//hha//rob//
YdeO_neg	ynjI//mtlA//
YdeO_pos	osmY//exbD//atoD//hybA//cysG//artQ//setA//pspG//hycA//hyfC//yhjC//borD//dsbC//metR//uidB//nrdI//ybbY//marR//wzxE//
YedW_neg	pdeL//mdtD//nirD//cysM//yjhC//
YedW_pos	marR//nadA//fdnH//ydeM//deoA//adiC//accC//
YefM-YoeB_neg	mgtA//crl//
YefM_neg	acnA//hycD//
YehT_pos	sdhA//
YeiL_pos	rtcA//
YiaJ_neg	wza//pykF//trpB//ynbC//hybO//cyoB//hlyE//dinD//fabG//rhaS//
YjjQ_neg	higB//hybE//gatA//malF//appX//pfkA//glpT//yoeB//bioA//murP//
YpdB_pos	accB//
YqhC_pos	fldB//rffC//
YqjI_neg	fhuB//hslJ//
ZntR_pos	crr//
ZraR_pos	osmB//argA//flgM//
Zur_neg	prpR//ybjC//sgbU//tktB//isrC//mglC//
