#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	sdhD//ydhY//
ChbR_neg	ftsZ//umuD//ompC//ynfH//rbsD//poxB//
ChbR_pos	ydfE//fucU//napC//trpB//nlpA//hyaA//
ComR_neg	modC//
CpxR_neg	yfdE//yaiA//iscU//yaiA//pspE//oxc//yeaH//gntK//hycI//fliC//seqA//ugpC//dhaM//hcaR//pgm//mgrB//lysP//wecB//degP//sucA//oppC//yeiB//osmY//rcnB//
CpxR_pos	ahpF//rcnR//mdtB//recC//zraP//araC//lsrK//sdhB//dicB//uspA//copA//gatB//kbaZ//gudD//ssb//flgD//hyfR//moaD//yjjQ//recC//intQ//ykgM//glmS//metN//gfcA//cysC//hybD//mngR//flgN//dnaA//moaD//sulA//fucU//nadA//ydeO//ygiZ//nanK//agaA//rnpB//purA//pflB//nrdE//ynbA//phoE//ddpA//rtcB//
Cra_neg	sbmC//ydiU//tdcA//tpiA//garK//symE//kdpA//fliE//amtB//ogt//mngB//atoE//rbfA//rpoE//gatY//rimP//nfsA//hyaB//gntT//rhaT//agaA//mhpC//ydfE//ydeN//flgL//tdcF//ulaC//rybA//cydB//csrC//betA//bamE//aceF//ascF//alkB//aroH//fabZ//chbF//alsA//garP//tdcE//accB//paaX//hisJ//cbl//murD//lpxC//glcB//melB//ybjN//citG//ycgR//yaiW//asnA//psiF//ycjF//nrdI//fecE//moaC//
Cra_pos	dnaG//srlA//phoU//yafQ//sufC//phoE//hcaF//fdnH//yhdW//iraP//soxR//mgrB//casC//tyrB//gspD//tpiA//glmS//guaB//gadW//malM//hypA//ynfH//ydjM//
CreB_neg	sufC//recB//lsrG//
CreB_pos	nirC//metE//
CsgD_neg	phoP//aspC//ubiA//accC//oppF//flgB//hybD//pagP//ydfX//cueO//gadF//fumC//puuP//acrB//cueO//
CsgD_pos	cynX//zraP//gfcA//fliQ//yhbS//frdC//ytfE//recB//ebgA//lldP//ynbC//paaB//pepA//
CsiR_neg	casE//metK//rclA//dsbA//flgG//
CspA_pos	napH//aceK//
CueR_neg	allA//ymgA//nupG//metC//csrC//
CueR_pos	dsbC//yefM//
CusR_pos	yhhY//rbsC//acrZ//pgaB//rarA//ygiC//kbaY//uspD//ihfA//uxuB//ftsW//lldP//
CynR_neg	glcD//
CynR_pos	glnQ//gadE//bioC//
CysB_neg	caiD//marR//lysA//sgrT//ulaE//rutE//lsrR//
CysB_pos	allA//yoeB//bluF//leuC//prpE//fixC//moeB//cysW//chbR//emrA//hypD//ynjI//hydN//artQ//ydeI//casE//ahpC//zwf//hyaD//osmC//ulaA//fliH//glxK//yfiB//amn//
CytR_neg	ykiA//wzb//ymgA//ychF//fdnH//safA//xapA//ybfN//gltB//ugpQ//phnI//gntP//higB//
Dan_pos	purD//dhaK//ppdB//phnJ//
DcuR_pos	codB//pdhR//metB//dsdC//yncE//phnL//uxaC//fixC//creB//
DeoR_neg	napG//nrfB//skp//artI//tam//crr//
DhaR_neg	paaK//
DhaR_pos	metL//rpiR//folA//
DicA_neg	fucU//hyfA//ccmA//tauB//bioA//pagP//ybhF//ynfG//
DinJ-YafQ_neg	tam//malQ//hycC//
DnaA_neg	asnA//mgtL//ugpB//hycA//cynS//hycC//rffM//rbsK//sutR//gatC//hflD//
DnaA_pos	rnlB//tynA//mtlR//ttdT//ribA//norR//cyaR//
DpiA_neg	sutR//
DpiA_pos	wzyE//ybhF//malE//sdhC//leuB//hydN//ydeP//glk//hcaR//wzb//
DsdC_neg	hycG//
DsdC_pos	fhlA//uof//
EbgR_neg	rarA//fruB//
EnvR_neg	ugpQ//mdtD//
EnvY_pos	oppB//argF//
EvgA_pos	mhpC//bglB//paaZ//cytR//umpH//ddpF//ymgA//bioD//carB//lysP//cynX//dpiB//dinD//fhuC//yiaL//hyaA//ugpE//tolC//rffT//
ExuR_neg	mhpT//rpmI//codA//seqA//polA//trpD//mltF//phoH//ilvY//
FabR_neg	uvrB//kdpC//
FadR_neg	dinB//pitB//glnA//wzyE//caiT//hslJ//purC//pck//yeiL//glcD//melA//
FadR_pos	cysM//galM//yhiD//dnaN//yecR//umuC//tfaQ//ftsL//epd//ftsL//nanS//fliI//
FeaR_pos	aroL//pheM//
FhlA_pos	gatC//rpsO//ubiC//ccmC//fecI//lsrG//aceB//ompT//rhaT//lysP//dctR//yciE//phnE_2//nrfE//ppiA//rtcB//ogt//glk//mhpB//aroH//ydcS//nrdF//gor//mioC//ampC//higB//gltI//rbsR//ygiA//ppiA//
FlhDC_neg	gatY//caiC//exbB//gltL//
FlhDC_pos	lsrC//qseC//fadR//metB//flgB//ariR//rpoE//ycjF//mngB//cysI//ompN//pheS//betB//phnE_2//relA//lysC//ddpC//kbaY//gspJ//yegZ//fumC//dctA//sgbU//glnA//bamE//nuoB//glmY//oppD//mdtF//rhaS//mraZ//norR//emrA//ascB//hycC//trpB//kbaZ//argR//paaE//flgC//gadF//crr//flu//agaR//ydcV//paaJ//yjjQ//fdnH//nrfG//fur//yqjA//ydcU//edd//umuD//metR//yfdX//tdcC//tyrP//hybC//ompN//omrA//dpiA//potH//sgrR//creA//mntP//higB//ycjX//rutF//zinT//folA//rnpB//cusB//metI//csrC//entH//hflD//ycjG//
FliZ_neg	narL//ptsG//nrdG//higB//ykgO//mnmG//yjiY//mdtA//rhaS//gdhA//aceF//mngB//rutB//rpiB//rutE//alaC//hyaF//purR//gudD//rcnR//cydB//
FucR_pos	nrdI//potF//yjiY//gor//hisM//rbfA//hyi//
Fur_neg	mprA//allD//nupG//mgtL//caiT//nuoG//gltB//mlrA//pyrC//gadY//srlR//trpD//nrfA//yjhC//fimB//metC//fldB//ymjC//mhpC//xylG//pheM//nagE//gntU//aidB//yidQ//cysK//rutR//baeS//hybO//dsbA//mqsR//csgC//mpl//aceE//fliQ//mhpC//ftsK//uxuB//ccmH//fhuC//purE//rdoA//ybhS//grcA//agaI//mglA//gadF//aroH//agaR//nanT//glcE//lrp//cydB//bdcA//fimB//lon//molR_1//emrK//srlR//ybaT//caiB//dsdC//fdnG//glnK//ccmB//lgoR//dhaK//cynT//mzrA//frdC//bioA//tdcG//sufA//hycH//potH//fucP//flhB//gpmM//yhjX//fliL//yciG//yeaG//manX//cyoE//rutR//oxc//idnD//glgX//lsrK//paaX//aspA//cysJ//fliK//sgrR//alkA//ascF//gadE//hybG//uspD//modA//malQ//hha//frc//ftsA//moaD//dnaA//phoR//ttdA//prpD//fepE//idnK//znuA//marR//iraM//casB//
Fur_pos	srlR//ykgM//ydcT//potF//cdd//aceB//lsrA//ykgO//cspE//dcuA//potF//phnM//araH//pepD//copA//yciF//nfo//rpiR//pepD//dhaL//relB//
GadE-RcsB_pos	sufB//cytR//pnuC//ppdC//citG//glpT//aceK//ptsG//gadC//
GadE_pos	nrdG//pstB//agaC//argT//uspD//yhjA//tnaB//tehA//ynbB//xylB//waaH//fixA//mipA//icd//acnA//aslB//deoB//ycdZ//argI//ybhR//galS//wcaB//hokE//fucO//nrdH//thiP//appA//mtlD//tcyP//
GadW_neg	ybhS//lsrK//yidL//nikR//citX//phnO//cysM//agaI//truB//lsrG//epd//
GadW_pos	feaB//yiaK//nrfC//tdcC//fliZ//rbsA//hcaE//mcbA//fucA//waaH//nrfD//
GadX_neg	gcvH//trxC//sbmC//dnaA//metB//cusA//
GadX_pos	fadH//glnH//glcF//phoR//agaD//osmY//bacA//mhpC//fadE//potF//asnA//nhaR//recF//tdcB//gudP//pstS//appB//ecpR//guaB//fliF//exuR//fepC//tbpA//ung//ynfK//gutQ//prpD//
GalR_neg	pgi//araF//puuD//glgX//metI//dcuD//nirD//nrdG//ynfG//bolA//
GalR_pos	trpD//norR//moaE//allS//
GalS_neg	dinB//ulaE//appY//rseA//soxR//mzrA//lexA//ygbK//gadY//flgB//
GalS_pos	ccmB//dsbC//nagA//feoA//
GatR_neg	fadB//caiA//nhaR//pheS//paaH//tyrR//
GcvA_neg	pspG//wzc//frdD//soxS//
GcvA_pos	wza//nimR//allE//ldtB//
GlcC_neg	hisP//
GlcC_pos	flgJ//leuL//sgbH//sgrT//pdeR//lhgO//
GlpR_neg	gutQ//ynbC//yeaD//dinQ//purL//bglB//araJ//purN//nrdA//
GlrR_pos	fhuF//yafN//ubiX//rbsD//narX//
GntR_neg	dsbC//mqsR//yqhG//entF//glpF//fabG//asnA//adhE//luxS//fliC//gltI//csgE//
GutM_pos	pstB//zraP//isrC//ydhY//yegZ//paaA//mtlD//
GutR_neg	leuB//ybbW//crl//rbsR//citX//carA//deoA//
HU_neg	argO//mntP//rpoH//malI//ubiA//ydeM//uxaC//osmB//
HU_pos	oppF//
HcaR_neg	ompF//
HcaR_pos	gltB//acnB//yeiL//ymiA//nfuA//
HdfR_neg	gapA//nusA//
HdfR_pos	hyfE//fliS//yccJ//
HigA_neg	carB//ybhL//
HigB-HigA_neg	ycdZ//metL//
HipAB_neg	ygaC//sroD//yegH//puuD//moaA//
HipB_neg	gspF//cynX//fadR//cysD//frdD//ydbD//
HyfR_pos	mgrB//pstB//fabG//putA//ydfH//dsdX//mraZ//aroM//nanC//waaY//mhpT//dctA//
HypT_neg	norR//rclB//fabA//yhbT//rob//
HypT_pos	sgbU//trpB//wzb//ydhW//paaY//idnT//fliZ//ftsW//
IclR_neg	gfcA//ompT//yeiB//oxyR//
IdnR_neg	ddpD//melB//
IdnR_pos	mhpT//mzrA//narX//gcvP//metE//
IlvY_neg	ssrS//
IlvY_pos	fliA//
IscR_neg	ykiA//nuoI//srlR//dtpA//sgrT//lpxC//ilvC//cspD//tdcE//dinF//leuL//uof//crr//purN//yiaL//garK//mntP//pstS//xylR//malE//symE//
IscR_pos	fliZ//tdcA//metQ//melB//ymjC//rplT//mqsR//trpE//galM//gadA//cusC//
KdgR_neg	zraS//nrdB//
KdpE_pos	torA//qseB//sutR//artI//
LacI_neg	katE//argO//lysA//
LeuO_neg	yhiD//nirD//hmp//
LeuO_pos	puuE//wecB//trxC//pgaB//potI//betB//gspD//nanM//appA//ybiT//ddpD//slt//uidA//csgD//chbC//hipA//tauD//glcA//
LexA_neg	yhbS//ttdR//malQ//betT//flgG//ygbA//yeaE//manX//gadF//asnA//metC//ybdN//hcaB//bglJ//tpiA//fecR//purE//csgA//pspA//cra//pdeR//patA//ynfE//paaD//aroM//purB//nanC//ybjN//pqiA//gntP//bamE//fhuB//polA//alsA//appA//atoB//cpxP//rpoE//ftnA//narK//tcyP//casB//sgbU//rtcA//flgH//ldtC//dcuR//ygeH//ftnA//yidQ//phnG//pgk//idnK//adhE//entD//yeaD//motB//hns//purD//
LldR_neg	nrfF//phnM//hcaD//
LldR_pos	rclA//hypB//allD//
LrhA_neg	cusR//ynbD//
LrhA_pos	ftsL//agaS//
LsrR_neg	manZ//rhaR//pgpC//erpA//ydhU//rffT//ybjG//melR//fabB//
LysR_neg	adiA//
LysR_pos	tdcE//
MalI_neg	dinG//argI//ryhB//
MalT_pos	uxaC//carA//caiE//paaB//xapB//znuA//rhaR//yibQ//entF//nagE//
MarA_neg	aidB//gltI//ulaE//sdhB//nuoE//dkgB//motA//
MarA_pos	skp//fliN//kbp//yhdX//aspC//glpD//citE//lon//hha//dmsA//bglG//fadD//yhdX//cyoE//argP//caiA//malZ//fucK//amn//rbsB//ulaC//rbsD//emrY//serA//malS//murG//norR//lyxK//fabZ//glnG//cysK//
MarR_neg	purM//fucI//lysO//
MatA_neg	hcaC//fabZ//puuP//gltB//rclA//aceK//
MatA_pos	codA//alaC//
MazE-MazF_neg	tauB//yagK//relE//
MazE_neg	nfsB//ydbD//aceF//
McbR_neg	yiaM//
McbR_pos	xylB//ptsI//hypC//
MelR_neg	gadY//hyfG//accA//
MelR_pos	feoA//lsrG//yhjX//
MetJ_neg	ulaE//paaZ//argF//nrfD//sra//phoH//ymiA//nagC//phnE_2//lysC//tktB//pgpC//polB//ompC//chiP//
MetR_neg	artP//yjeV//
MetR_pos	oxc//sbcC//fliL//glgB//
MhpR_pos	ybhL//yiaO//gpmA//dnaA//gntK//gspI//
Mlc_neg	ydeM//aldA//norW//lysP//murF//csiD//entB//wzc//murC//hypE//
MlrA_pos	uidA//grxA//ybbW//agaS//gltL//ybjG//purM//lgoR//caiA//argG//
MngR_neg	fliI//pqiA//zraP//
MntR_neg	atoE//yafQ//hokD//flgL//
MntR_pos	lgoR//
ModE_neg	nanE//yhjC//argI//cynS//iscA//paaI//yagK//yeiB//glpD//yciX//phoR//wecE//hns//phnE_1//dsdA//
ModE_pos	feaB//frc//dinF//mngR//uxuR//ydfE//ykgO//garD//dcuA//lsrR//hyfI//zntA//yfdX//ftsW//cpxR//lacA//yeaD//hycF//hycD//umuC//fnr//pnp//gabD//trpB//nanM//ddpX//phnH//rutC//ygiZ//mglB//recC//
MprA_neg	ycjF//dkgA//ybdN//ptsG//ydfN//nemA//
MqsA_neg	pspC//cydD//gltF//gltK//lpxC//fdnG//wza//fnr//
MraZ_neg	hybD//dgcC//nupC//dgcC//casE//ftsL//lpd//ddpD//mglC//hyfF//idnO//intQ//ubiA//qseB//wzc//ihfA//fixC//
MtlR_neg	ydjM//cra//tam//
MurR_neg	yfaE//nemR//ygeA//
MurR_pos	ttdB//
Nac_neg	ydfN//sroA//icd//grcA//araH//garP//nupC//glpF//fhuA//
Nac_pos	ftnA//grxA//agaR//trxC//lacZ//casA//melA//carA//aceA//nuoH//nadA//ugpE//
NadR_neg	trpE//garR//araD//hybF//
NagC_neg	nrdB//yccA//phnM//hslJ//rpsO//dsbA//gabP//mgtL//wza//ampC//dmsD//evgS//entD//malY//yiaK//hycF//yefM//symE//sucD//nemA//tsr//ecpR//lamB//zraR//mdh//fecR//fbaA//csgA//dinG//nrfF//agaD//lsrC//fliZ//
NagC_pos	pspA//ddpD//ymgC//
NanR_neg	hdeB//cysI//gapA//ftsW//tnaA//rnlB//nfuA//puuB//glxK//araG//
NanR_pos	nrdB//
NarL_neg	ycjF//cysI//hycE//tauA//ccmG//phoA//cueO//tnaC//rimP//cysD//fabA//gapA//ftsL//deoB//ahpC//wza//rtcB//ydhX//pagP//nuoI//pdeH//ybjN//pspE//rbsK//gspI//icd//creD//ttdB//cytR//nuoB//tynA//allB//malF//ompT//rhaD//pspE//fixB//ynfE//gadW//yhbE//lacZ//xylA//srlE//gadX//mdtD//cysP//aspC//fliI//cyaR//agaR//casC//ygiB//araF//rpmI//alsA//yqjH//srlA//mzrA//kbaY//gadB//yfdE//cspI//sbcD//moaA//aroG//ulaE//yegH//fepB//rhaS//gntK//gadA//fadD//ssb//nadA//exuT//mtlA//rybB//psiF//fadE//cspE//ynbD//argB//cusS//ycjX//yqhD//gor//ddpC//
NarL_pos	asnA//narI//fhuF//wzzE//uxuR//cydC//napC//pgm//lhgO//oppB//mlc//micF//glnD//uidB//ybfN//exbD//srlA//feoC//ubiA//tcyP//phnO//aceF//mtlA//dgcC//relE//uxuA//soxR//dinI//ppsA//ccmA//araJ//alsC//tadA//fixX//nikC//dhaM//nuoG//citF//uxaA//borD//flgL//metH//metH//
NarP_neg	manY//ribA//micF//deoB//metL//rutR//motA//phoP//lldD//ytfE//oppB//znuC//sodA//dicC//nirC//feoB//mdtA//waaY//glcE//flgN//gfcA//gatD//fliD//hybF//napC//tdcE//cspE//iraP//ydbD//rutD//ada//yciX//gcvB//
NarP_pos	cysD//pnuC//wzxE//lysO//norR//ppiA//argB//potI//lpxD//nimR//melR//uspD//ydhU//bglG//ldtC//nusA//slp//phoU//fhuD//dcuD//yefM//cydD//glnA//nuoA//phnG//ycgR//allC//pnuC//hycH//csrB//appX//aceB//
NemR_neg	mhpC//argF//ariR//
NhaR_pos	glk//obgE//bacA//ymiA//nikR//rcnA//fixX//
NikR_neg	ykgM//nrdE//phr//paaA//artP//slp//
NimR_neg	phnI//gudD//
NorR_neg	yecT//
NorR_pos	mgtL//carB//
NrdR_neg	efeU_2//sodA//dinG//dsbA//lrhA//ndh//pqiA//yhiD//paaZ//
NsrR_neg	ahpF//flgJ//ydeI//nimT//argB//tolC//purB//ybjG//mlc//gltI//nrfC//hyaE//omrA//ydhW//asr//ygiA//malQ//lgoR//fruA//tnaA//glgP//purM//yjjQ//artP//ppiD//flgI//glnK//cydD//ycjX//alsE//moaE//grxD//gcvP//caiF//ppsA//gapA//fumC//relA//fumC//aroM//gspL//asnB//tynA//bglB//fhuC//tdcF//leuB//relE//mraZ//norR//oppD//dcuS//ybaS//entS//ydeN//srlR//csiD//pgaC//znuC//chbC//gltL//nagA//ampC//fepC//bioD//aroG//rutR//acrA//rplT//rutD//garR//glpX//ybfE//hipB//truB//gfcA//glpF//aroM//chbB//ybaS//rpmI//gatD//umpH//
NtrC_neg	qseC//narL//luxS//nikD//pyrD//recB//
NtrC_pos	ydhW//dcuR//feoA//phnD//acnB//rseC//yqhD//sgrR//polA//rpiR//agaW//nuoI//nikE//fliJ//pgk//acrD//entD//nuoC//ryhB//nmpC//metN//ttdT//yneM//amtB//accA//fabI//deoA//hycC//rutG//hcaB//lpd//tyrR//pspF//glnG//tdcG//fbaA//yidQ//nrdB//ydcT//exbD//lldP//torA//sbmA//glyA//nuoH//alaS//metY//murD//yafN//
OmpR_neg	emrY//ftsA//ddpB//dinF//melA//garR//ybfN//paaI//nfo//hypE//tsr//fucO//
OmpR_pos	hyfR//ribA//cvpA//rbsR//skp//tauA//mdtA//nohA//codB//torD//
OxyR_neg	flgC//ccmF//dpiA//lysP//dapB//tcyP//phnF//codA//gcvA//yhbS//nikC//dsbC//
OxyR_pos	uvrD//purK//yqhG//malM//mipA//sufC//ytfE//paaA//ftsA//ldtB//prpR//motA//ilvC//tsr//evgA//fabZ//glnH//ycgZ//pnp//yhdW//dkgA//ugpQ//
PaaX_neg	ybaT//nfsA//casE//uxuB//hyfA//cvpA//sucD//araH//oppB//melB//yhjX//nikA//casD//nirD//
PdeL_pos	yjeV//
PdhR_neg	malP//rybB//deoA//bdm//hyaB//cyoC//yiaO//cydB//araB//ybbY//aslB//gudX//rutE//flgH//omrB//symE//rybA//malP//ygeH//frdD//agaD//ygdB//chbF//lpxD//pdhR//glgP//astE//murG//ydeO//sodB//yiaO//pspB//fixX//ycgZ//cdd//sucB//
PdhR_pos	ybhF//fecR//cyoA//nuoG//uof//
PepA_neg	dmsB//inaA//yfdE//
PgrR_neg	phoA//slp//putP//metL//mhpE//marR//flhD//yedX//
PhoB_neg	moaB//rimK//ybaS//malI//umuD//flhC//astB//envC//fliK//bioF//glmY//ftsW//
PhoB_pos	dinB//prpE//ppiA//citX//amn//gcvT//cytR//galR//zraR//yqjI//nikC//hisP//dsdA//ykgM//melR//motB//gpmA//ruvB//ybbY//paaI//yjiY//yjbE//katG//gltK//tomB//katG//tam//sgbE//dcuA//yhjC//gdhA//trpE//narH//nrfG//allA//exbB//glpT//uxaA//yjbE//dps//murF//rseA//nfo//nuoA//patA//lysR//fadL//hemH//araD//cas1//betA//lrp//efeU_1//
PhoP_neg	entC//ydiU//mdtE//mtlR//fbaB//uvrY//ldtB//gatY//yfiR//gspF//ebgC//
PhoP_pos	eda//fumC//moeB//moaB//eno//sodA//ytfE//puuR//wza//glpQ//tauD//glgP//ygbA//trxC//entA//agaC//fur//glnB//fadA//ascF//fhuF//dkgB//cysN//fdnG//fiu//artJ//dsbA//gutQ//purA//srlB//pfkA//fecD//thiQ//glpA//agaW//hdeB//malX//yhjX//uspE//arsB//cyoB//ybhL//ydcT//hyfD//pfkA//yaiA//guaA//mdtB//
PrpR_neg	lamB//
PrpR_pos	glpK//malY//dsdX//carB//
PspF_neg	omrA//
PspF_pos	malF//deoA//narL//sdhC//gudD//yidL//
PurR_neg	efeU_1//hcaF//hcaC//qseB//gutQ//ogt//fliL//srlB//mqsA//cspD//cyoB//lsrK//artI//nrdB//glgP//lacA//caiD//gutM//slt//bdm//cysJ//accD//zwf//frdA//fucK//lpxD//chbA//pqiB//alaC//nrdD//ccmC//
PutA_neg	motB//astB//
PuuR_neg	metJ//caiT//fbaB//rimP//metC//nrfA//cecR//
QseB_pos	psd//nemR//gcl//cysN//
RbsR_neg	iraM//lolA//fruA//purH//bhsA//katG//dpiA//aspA//
RbsR_pos	soxS//
RcdA_neg	hcaR//efeU_2//
RcdA_pos	mdtA//waaH//appC//arsC//rbfA//modC//yafO//
RclR_pos	pstB//idnK//argG//
RcnR_neg	nfuA//ada//fepA//
RcsAB_neg	ycjF//gcvP//cpxA//polB//purE//hyaF//
RcsAB_pos	recA//lpxC//mhpA//glpD//yqhD//rutD//ulaA//rbsC//mglA//astC//
RcsB-BglJ_pos	norV//cvpA//rhaA//tpiA//trpL//oppF//potH//acrZ//rplT//tdcG//gdhA//fucR//idnK//exbD//argR//ompF//
RcsB_neg	fadE//marR//
RcsB_pos	zntA//fadA//fliQ//creB//fecC//lsrR//rpmI//ecpA//rybB//nanT//fhuC//appB//yoaG//flgM//rpoE//yagK//agaW//yhbS//dinF//sdhA//ulaC//ygiA//ybfN//
RelB-RelE_neg	dmsC//citF//norV//
RelB_neg	serA//fliZ//atoB//
RhaR_pos	bhsA//flhA//
RhaS_pos	napH//sgbU//dps//flgI//ftsZ//nrfF//
Rob_neg	gloA//
Rob_pos	yjhB//rpiR//dtpA//nanT//cysM//agaR//tynA//yqjA//flgD//paaJ//mraZ//yhcH//ssuE//gntP//dhaR//cspE//mntS//lacZ//yhdX//treR//metB//mepH//hypD//xylG//yhdZ//
RstA_neg	deoC//tdcE//hypC//cynT//paaG//
RstA_pos	fumB//polB//yjiY//yhdX//mngA//
RtcR_pos	nadB//yaiA//
RutR_neg	ymjD//fixB//casC//yhbE//gor//nikR//allC//fixA//nanE//malF//dsdA//focB//edd//waaY//ydiV//
RutR_pos	ubiC//nanA//
SdiA_neg	ymjD//gutM//yhjA//
SdiA_pos	ynfK//lysO//gspF//
SgrR_neg	accD//metE//ftsZ//paaC//fecD//
SgrR_pos	creD//gspE//dctR//dhaL//
SlyA_pos	grcA//
SoxR_neg	purH//
SoxR_pos	glpA//hns//
SoxS_neg	yiaO//cysM//
SoxS_pos	accC//ada//yhdY//lsrC//ygdB//mipA//ogt//crp//hybO//nrdD//btuB//gyrA//purF//hyfI//napA//yebE//glgC//ddlB//fliZ//glgA//yhbT//araA//ssuE//fimB//sgbH//rstB//insD//fucP//gor//glcD//idnK//yagK//uvrD//motB//aslB//fimB//appX//prpE//
StpA_neg	oppB//lamB//yecT//nadA//nrfG//glpB//puuR//
SutR_neg	glcA//ccmE//ahpC//tyrP//pyrC//
SutR_pos	potI//
TdcA_pos	yhcH//gadW//melB//hisP//ccmF//cusS//nuoC//
TdcR_pos	yqhD//zinT//cydD//flgB//casC//yefM//nikR//
TorR_neg	nagA//metR//nfsA//
TorR_pos	fucR//bolA//ychF//fliH//gatY//dicB//accA//tnaB//yfiR//
TreR_neg	cysI//ascB//
TrpR_neg	deoA//cyoA//fliZ//ycgZ//aceK//fecB//leuD//pdhR//alkA//nhaA//gcvT//gadX//
TyrR_neg	rpmA//fdnH//gspD//wzb//fucK//narL//paaK//tdcC//ynjI//cusS//
TyrR_pos	artI//argE//fliZ//
UhpA_pos	yjbE//
UidR_neg	kbp//sdhA//flgE//oppF//
UlaR_neg	yaiW//rhaT//astE//amn//tnaB//tolC//ycjF//
UvrY_pos	sulA//fumB//nhaR//wzxE//yoaG//
UxuR_neg	fucR//ddpX//yhdW//fliT//tdcF//flgH//fimB//flhE//ompF//
XapR_pos	ydfN//astC//
XylR_neg	hha//
XylR_pos	rob//yhjA//flhC//flgB//higA//araB//
YdeO_neg	talA//napG//
YdeO_pos	tsr//glnP//hycC//hisQ//prpE//slt//creC//ssuB//fucP//allD//ttdB//puuA//waaH//ssuC//nikC//napA//artM//phnO//nfo//
YedW_neg	flgA//umpH//hybC//ddpC//mhpT//
YedW_pos	garD//lolA//fdnG//cysK//mdtA//treR//nuoI//
YefM-YoeB_neg	torA//araF//
YefM_neg	rcnB//ugpQ//
YehT_pos	iscR//
YeiL_pos	deoA//
YiaJ_neg	aspC//fabG//araC//hycF//purE//osmY//murC//ogt//ygiC//tdcA//
YjjQ_neg	malI//ycjX//copA//pepA//rtcA//ftsL//ulaB//ascF//phnJ//ampC//
YpdB_pos	metB//
YqhC_pos	safA//fliN//
YqjI_neg	gabD//gcvH//
ZntR_pos	yhiM//
ZraR_pos	fimE//guaB//hypF//
Zur_neg	caiT//argI//fadD//nohA//yciG//ompT//
