#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	narL//yfiB//
DnaA_neg	gspD//lsrK//ddpA//citE//tomB//ttdB//lrhA//rhaA//pgk//mtr//gabP//
DnaA_pos	gadX//leuD//fruK//entH//rsmH//ccmF//cecR//
DpiA_neg	nrfE//
DpiA_pos	flhB//moaA//tyrP//ygaC//galR//add//moeB//baeS//yhbT//nrfB//
DsdC_neg	ftsW//
DsdC_pos	hyaB//hyaA//
EbgR_neg	nadA//murG//
EnvR_neg	ybhG//rplU//
EnvY_pos	alsB//puuE//
EvgA_pos	argI//oppF//glcC//uspA//mgtL//pyrC//carA//uvrD//recF//agaI//ynbA//yafP//gcvA//cbl//glnL//rbsK//galT//glnA//znuA//
ExuR_neg	mhpE//murF//infB//asnA//dmsA//yafQ//ccmD//nuoH//astC//
FabR_neg	uof//cysE//
FadR_neg	rstB//gudX//yecR//ampC//envC//sroA//pgk//dsrA//cspI//lhgO//lsrF//
FadR_pos	murD//artP//emrA//oppD//efeU_2//gatZ//malI//argO//idnO//ydhV//nuoI//mdtB//
FeaR_pos	yqhG//gcvA//
FhlA_pos	nfuA//hcr//appB//nirD//katE//feaR//lsrR//citX//gcvP//fdnI//ttdR//ugpQ//ascF//araA//feaB//ugpE//uspD//ruvB//tfaQ//ndh//ddlB//nupC//mhpT//bamE//rutF//ybjC//fecR//ubiC//yiaJ//ftnB//
FlhDC_neg	ftsW//fau//rclB//yccA//
FlhDC_pos	lysA//hycE//appY//gudP//tsx//mntH//pstB//pncB//rprA//cynR//phnK//sbmA//gcvB//rbsC//osmC//wecB//puuB//iscR//uidA//hcaB//mazF//gfcA//pstC//acrB//argD//rpoE//citC//hycB//ycjX//bglG//tcyJ//narI//nadA//fruA//cynR//yncE//appX//mdtE//xylG//fbaA//hyaB//zinT//yqhG//lldR//hcaC//manX//dcuR//feoC//pqiB//agaS//emrY//oppA//fliL//ydfW//caiB//dctR//caiA//fabG//murG//srlR//ybhL//mgrR//metK//nrdH//wecB//gcvP//chbG//ccmD//modC//ydhY//ddpF//sra//agaW//fepD//araH//nfsB//ftsQ//ogt//
FliZ_neg	nanS//csgG//uxaB//modC//alsC//efeU_1//nuoA//tbpA//znuC//gspO//cydC//flgD//mhpB//ddpA//kbaY//ugpC//yebE//gutM//mngA//paaI//mhpE//
FucR_pos	yiaO//fliM//rffH//galT//ulaE//lysP//nrdH//
Fur_neg	fruA//glnD//gatD//ulaC//gspK//hcaB//ugpE//cusF//flhB//yciG//rybB//yfiR//narL//flgI//ubiX//aceA//thrS//yjhB//nuoB//isrC//yaiW//galE//malG//rpiB//gudD//osmC//murQ//nrfD//zwf//mdtD//dcuS//uxuB//cadC//tehA//mlrA//csrB//fliQ//nuoA//tomB//narX//napF//fucI//prpB//allS//glgC//napG//puuB//rclC//xylB//malE//rclA//ldtD//kbaZ//htpG//bolA//alaC//aceB//bamE//adiC//fliM//phoR//dgcZ//fepA//bglB//rpoS//fliF//pgaD//paaI//yciE//hypD//ybfN//gntX//fadL//rnlA//pdhR//oppD//dctR//metI//ydeO//ahpC//ydhU//dsdC//skp//ynfH//relE//uidC//focB//pflB//citF//aslB//exuR//wzb//cueO//glnP//gatC//dsdA//fadI//fliC//sfsB//frdD//yeaG//galM//uof//yiiS//frdC//hemH//glcE//hyaF//glcG//zraS//puuC//deoA//yfiR//wecB//nuoK//
Fur_pos	lyxK//umuC//frdB//caiA//nanK//cysP//phnE_1//alsB//dcuR//atoE//ygdB//manZ//nuoL//malM//nuoF//yiiS//cheW//frdA//gntT//decR//yegZ//
GadE-RcsB_pos	sbmC//hflD//ydiV//hydN//moeA//rcnA//cysA//guaA//malP//
GadE_pos	cecR//dgcC//napA//oxyS//flgK//ftsI//amn//mhpC//acrD//ynjI//rbsR//rfe//bioA//puuE//tadA//appA//sbmA//rutD//rcnR//paaE//yhiD//astE//pgaA//phoP//phnC//yfbR//cueO//acrA//mqsR//
GadW_neg	oxyR//nikB//ubiX//fepC//ribA//hyfH//lldR//fau//ompN//efeU_1//lsrC//
GadW_pos	norV//metA//ydhU//ydfE//puuE//skp//gltB//safA//qseC//glcD//nfuA//
GadX_neg	ompF//ppiA//rseB//fabG//rutA//yhbT//
GadX_pos	tsr//moaA//yciW//fadM//bglG//csgE//lsrB//phnL//srlE//csgA//dmsA//bioA//fliE//hyfE//psiF//efeU_1//pgi//nikB//fabA//rnpB//sufD//metY//lyxK//purB//rtcA//ugpC//gspG//
GalR_neg	pspC//hdeB//nrdD//caiA//hyfI//gspD//allE//ilvY//glxK//hokE//
GalR_pos	ldtB//fhuE//aidB//nuoF//
GalS_neg	nfo//rstA//metI//caiB//tdcD//cysH//ynjI//phnC//gspK//nuoL//
GalS_pos	fliG//modA//flhE//recF//
GatR_neg	fliD//artP//iscR//fabA//guaA//cspI//
GcvA_neg	dhaL//gltL//rffH//metB//
GcvA_pos	rpiR//cheW//phnE_1//dps//
GlcC_neg	folA//
GlcC_pos	creB//sbmA//phnE_2//flgK//mhpB//ymiA//
GlpR_neg	envC//argP//purC//umuD//glcB//tnaA//dsdC//ubiA//poxB//
GlrR_pos	zwf//dhaM//dctA//glnD//sucC//
GntR_neg	cysA//poxB//ung//ygiC//pgi//uspA//emrA//osmC//cynR//srlE//ulaB//cyaR//
GutM_pos	creA//aceF//hyfA//ebgA//dicB//wzc//alsB//
GutR_neg	ttdT//rutB//znuA//yciE//flu//yiaN//fadJ//
HU_neg	torC//ugpB//ppdB//ppiD//lsrB//efeU_2//rpoD//katE//
HU_pos	cynX//
HcaR_neg	ompT//
HcaR_pos	ybfN//lpxA//rutD//gfcA//fixC//
HdfR_neg	yafP//norW//
HdfR_pos	dnaG//nupC//tnaC//
HigA_neg	rutG//cirA//
HigB-HigA_neg	hisQ//grxD//
HipAB_neg	tauA//glnH//nrfA//katE//xapB//
HipB_neg	cysJ//hyaD//trpA//hisJ//cspD//torD//
HyfR_pos	dapD//leuB//nikB//nuoB//alaS//cysN//asnA//glgP//prpD//aceF//norR//ydfE//
HypT_neg	ybhG//rsmH//ybfN//dmsA//lhgO//
HypT_pos	sgrT//pspE//rutF//ybbW//lsrB//ddpB//allS//tbpA//
IclR_neg	dicC//tisB//fes//hyfH//
IdnR_neg	astD//sufA//
IdnR_pos	gadF//amn//ibaG//tauC//frdA//
IlvY_neg	paaG//
IlvY_pos	uidB//
IscR_neg	dps//yhjC//argP//yafQ//acnA//bolA//rcnA//hipA//yiaM//dinB//hcaR//aceE//skp//deoD//lsrD//fadD//flhD//yidQ//evgA//gadY//motA//
IscR_pos	hcr//hypA//rtcB//nimR//ptsG//envC//hycH//rnlB//baeS//chbC//kdpA//
KdgR_neg	waaY//murI//
KdpE_pos	rprA//ygeH//nanA//ssuA//
LacI_neg	gspI//manZ//araC//
LeuO_neg	putA//mazG//infC//
LeuO_pos	ompF//fixB//alaS//entB//kdpF//allB//dsdA//dinI//hycH//ydfW//wzxE//mdh//slp//ydfX//ruvA//pitB//ldtD//ftsQ//
LexA_neg	dmsA//rutF//ygaC//yciE//yjjQ//phoU//fucR//citX//insD//mngA//cadA//garK//nohA//phnJ//arsR//ddpX//ebgA//mdtE//amtB//yiaM//ihfA//sufS//yhdZ//phnM//dinI//ada//dgcN//hycC//gspM//caiD//acrR//yfaE//dgkA//zinT//phnK//malG//wzc//ddpX//pspE//caiF//rbsA//ttdR//uvrC//tisB//gabT//phnO//zraP//artI//ompN//uof//mgrR//gadB//nikA//slyB//ftsW//mntS//oxyR//purB//rimK//
LldR_neg	yeaG//flhB//ydhT//
LldR_pos	narI//fpr//yhiM//
LrhA_neg	chbA//ybiT//
LrhA_pos	ilvC//uidC//
LsrR_neg	ulaF//emrK//ubiX//fucK//tdcA//ugpC//yciG//ppsA//cheA//
LysR_neg	cusB//
LysR_pos	mqsA//
MalI_neg	aceF//nfo//hyfH//
MalT_pos	frdD//hypB//glgA//fliP//fadE//fliQ//phnC//metI//malY//nusA//
MarA_neg	ygbK//creC//rcnR//glpK//rffG//sroD//yhdZ//
MarA_pos	ydeP//ynbD//cydC//rstA//nanT//napA//nuoC//pepA//yafP//ynbA//bioD//ycjY//malX//ppdC//murP//exuT//flgF//narH//mdtD//feaR//mngR//gatD//marB//csgA//mnmG//nupG//frdA//glnB//fadR//yeiB//ydjM//
MarR_neg	hns//glpK//ycjX//
MatA_neg	cho//aroP//garP//paaJ//ddpA//uhpT//
MatA_pos	astD//nanK//
MazE-MazF_neg	uxuR//galS//yqjH//
MazE_neg	yrbL//yefM//wzb//
McbR_neg	mazF//
McbR_pos	paaG//pspF//purN//
MelR_neg	yfiB//phnD//mqsA//
MelR_pos	norW//ccmD//prpE//
MetJ_neg	prpE//uspA//dhaR//fadA//dapB//murE//mazG//ccmC//cysM//exbB//cysP//fau//uxaA//ryhB//fliK//
MetR_neg	ydcU//fucR//
MetR_pos	fliG//paaX//flgB//flgM//
MhpR_pos	hycA//nrdD//fliJ//murD//dpiB//hybG//
Mlc_neg	rimP//wzb//garP//mprA//alsE//ariR//dhaK//lldP//lolA//yebE//
MlrA_pos	pgaA//cysI//ddpF//ilvY//rtcB//lacA//dicB//idnD//pnp//gspE//
MngR_neg	glxK//yhbT//kbaY//
MntR_neg	sroD//citF//speB//codB//
MntR_pos	mhpF//
ModE_neg	ascF//ydiU//ytfE//cytR//murE//yafP//katE//artJ//bdcA//cysG//setA//ybfE//nanS//gatA//osmC//
ModE_pos	yccA//moaE//oxyR//paaG//puuP//paaG//hypD//fadA//tadA//efeU_1//infC//fbaB//cpxP//mngA//znuB//tomB//wecC//thiQ//metQ//fabB//yiaJ//ada//hisM//glpF//pgm//symE//trpC//atoE//gcvT//csrC//aceB//
MprA_neg	yiaM//phnJ//tpiA//iscA//higA//ulaF//
MqsA_neg	pspG//fliN//ydiU//znuC//flgB//nikB//cynS//ruvA//
MraZ_neg	ydhU//cynR//soxR//paaC//ydeI//rbsB//hycD//rpiB//carB//hyaF//yqjI//mdtF//gcvP//flu//yegH//ftsI//kdpF//
MtlR_neg	trpA//potH//gyrA//
MurR_neg	wrbA//glcB//adhE//
MurR_pos	mnmG//
Nac_neg	ycdZ//arsC//uxaB//rhaA//uxaB//ybaS//dcuD//phr//gspI//
Nac_pos	fhuF//gspK//phoA//hyi//phnL//ariR//srlA//cyoC//ddpD//napA//dsdX//tyrB//
NadR_neg	moaE//dinB//ydfX//galR//
NagC_neg	leuL//htpG//flgH//hisM//lsrF//flgJ//lrhA//hycA//pepA//rffT//fliI//ebgA//nrfD//hyfC//recF//crp//trxC//phr//mdtC//gadE//phnH//ybfE//fabZ//fucK//frdC//rimK//hybA//gyrA//gspD//mhpA//waaH//flgC//pspB//
NagC_pos	paaD//fldA//putP//
NanR_neg	dkgA//accB//yciE//nuoC//artP//arsB//yeaD//uxuR//bioF//rcnA//
NanR_pos	cra//
NarL_neg	mraY//dsrA//gspI//crl//fruA//tauA//gnd//fixX//hns//aspA//rpoE//fdhF//dsbG//tauD//ptsI//purL//sra//sroD//amn//pyrD//ydbD//xylG//metL//mdtC//ycdZ//paaZ//hybE//ydiV//ftsW//xylB//purD//mdtE//sufC//fabB//gabP//ptsH//potH//ccmE//ydeN//ruvB//gudX//codA//ccmF//hycI//rhaD//ygiA//aspC//glgP//cynR//nupC//ssuE//ftsQ//mpl//flhB//exuT//nfuA//fucR//nikB//cyoD//nrfA//ybfN//yfdE//nuoG//pnuC//csiD//sbmA//mntH//carB//paaX//yibQ//sucC//wrbA//yeiL//fbaB//rpmI//gabT//malP//argP//moaB//mhpB//casE//glpX//feaB//cpxQ//yhcH//tauB//malM//
NarL_pos	tyrA//recC//ahpC//yiaM//nrfF//fucP//atoB//gcvH//metF//astA//xylR//ung//hypD//leuO//mraZ//cusA//yebG//artM//cysW//nikE//yjeV//mhpF//yjhC//pck//cydA//rhaR//fabD//ybjC//mntS//fliT//mazF//frdB//hyaB//flgA//marR//fadJ//caiF//araG//patA//dsdX//yiaJ//malG//hlyE//
NarP_neg	dsbC//wzb//nupC//fliP//csgB//hypE//fhuB//yjbF//nrfA//fhuE//fliC//trpD//aceB//ompN//pspF//dcuD//seqA//yhjA//malS//melA//rbsC//phnF//emrK//prpD//waaY//nrdG//fliF//ftsI//norR//nusA//nrdG//chbB//cyoD//
NarP_pos	nanT//ydcV//ttdR//ppiD//hybB//sucA//caiE//citX//rhaB//yjiY//ygbA//csgE//fabA//rutR//hypB//glxK//yaiA//ybaT//nrdB//ogt//wcaA//phnD//agaI//ynbA//citD//mtlR//caiF//phoQ//chbC//chbC//potH//glgB//
NemR_neg	potI//artP//gadC//
NhaR_pos	exbB//purM//yebE//psiF//hyaA//gatZ//nuoC//
NikR_neg	uidA//murG//agaB//rffH//gspE//fepE//
NimR_neg	alsB//yjjZ//
NorR_neg	ccmG//
NorR_pos	tonB//alsB//
NrdR_neg	mdh//lldP//metN//kbp//cysM//wrbA//sbmA//ymgC//aceE//
NsrR_neg	ompT//ymjC//pspB//cydA//dsbG//gcvP//hyfD//nrdH//prs//rseB//modC//phnO//alaC//fliL//ynfG//mazE//malI//hyfC//frdA//ybhG//nanA//moaE//dnaG//fliR//folE//ftsW//mgtL//atoA//tpiA//gntK//pgaB//aceB//ybaT//nrdH//gcvB//gatY//nanC//galK//tdcG//fliH//hydN//nuoL//caiA//aspC//baeS//phoU//oxyR//artJ//udp//pitB//nuoJ//fliR//cusA//wza//bioC//nanT//mraY//wecC//aceE//nuoJ//nanS//tdcG//seqA//ulaE//gntK//nirB//entE//yhbE//tfaQ//astB//murP//nrdH//zraS//rplU//sufB//nikB//nfuA//lysC//folA//grxD//dmsA//ygdB//aceK//
NtrC_neg	creD//rseB//casD//hyfD//creA//glxK//
NtrC_pos	agaI//yciE//gspK//glgB//rsmH//fepC//yiaO//ndh//nikC//ugpA//asnA//tsx//paaB//casB//ftsL//puuD//cpxQ//fliQ//ydhU//uxaC//cusF//lacY//melR//glmU//ydfE//mcbA//pnuC//gdhA//crr//ycgR//nuoA//safA//hyfE//pgaD//yjhB//lysC//nrdF//ydfX//bamE//agaR//agaS//dnaN//oxyR//uxaB//hycA//edd//hyfC//galP//tnaB//
OmpR_neg	hcaC//kdpF//hycG//nagC//uhpT//aroF//pgaC//pspE//fliF//bioA//glk//marA//
OmpR_pos	galS//wzzE//accB//wzyE//appB//hisQ//agaS//yeiL//sufA//tehA//
OxyR_neg	paaZ//pfkA//cra//fecD//napA//uidB//nimT//atoE//mgtL//citX//caiC//gspJ//
OxyR_pos	lacA//mntS//ygeA//gspH//phr//purH//lpxA//pdeL//gltJ//amtB//glcC//fepC//gspD//paaC//lolA//ribA//gspG//zntA//sodB//aceA//rpoH//ybfN//
PaaX_neg	pykF//feaR//phnF//gudP//feaR//fliS//fau//acrR//tnaC//rffC//ydfD//yafQ//ulaD//cspI//
PdeL_pos	hcaR//
PdhR_neg	ybbW//hdeD//yqjI//pheT//recC//lldD//pdeL//glcD//nuoC//yebG//mhpT//argR//ttdA//pnuC//artJ//flhB//rtcB//ygiC//nemA//oppC//pspC//nanS//emrA//fliL//caiF//hycB//ftnA//yfiB//nikA//fadL//garR//slp//ydeP//cusA//hdeB//yfiR//
PdhR_pos	ycdZ//sgrS//gyrA//flhD//glcF//
PepA_neg	nfsB//ompT//dicB//
PgrR_neg	yfiR//fdnI//ppdB//ptsH//yhdZ//frdA//rcnA//wcaA//
PhoB_neg	csgG//phr//mcbA//ftnB//hyfB//malM//cydC//fhuC//purF//uvrB//ccmC//sufS//
PhoB_pos	flgB//gadF//idnD//cusS//rutR//torA//ddpD//ttdR//purC//higA//nimR//arsB//rffH//metI//artJ//glnP//mltF//ssrS//fabD//atoA//sgbH//tnaC//talA//fur//rbsD//argE//gatZ//alaC//paaC//alsA//ydhX//ttdA//sucC//frdC//rbsC//treR//yjiY//ecnB//slyB//fepC//metE//csiD//astE//potF//frdA//bdcA//yhiM//ruvB//sgbU//glgC//paaI//lsrB//astA//
PhoP_neg	uidC//yfdE//spy//tyrB//nuoB//argG//fixX//betI//torR//znuC//phoQ//
PhoP_pos	htpG//yncE//potG//astD//pyrD//gatY//ybhL//zraS//deoD//aceA//yoeB//yfdE//glnL//allA//glnL//nikA//hycH//purL//hlyE//trpD//rimP//frc//galR//gadX//edd//csgA//copA//phoA//yqhD//fhuE//ycdZ//fixC//pspD//cvpA//ulaA//paaD//fpr//setA//yqaE//rbsA//gcvH//hisJ//melA//pspF//zwf//ptsG//bglB//feaR//
PrpR_neg	rseA//
PrpR_pos	allE//agaS//rclA//fliQ//
PspF_neg	ydjM//
PspF_pos	acrZ//fliP//ygbK//murQ//acrB//patD//
PurR_neg	ydhV//adiA//sra//fecE//tdcD//sgrS//ppiA//metL//nirD//ykiA//mgtA//feoB//melR//emrA//tomB//dmsA//ygdB//caiC//moeA//xylG//yiaK//emrA//rutD//nuoL//creB//mngB//exbD//paaX//glcF//sroA//mioC//
PutA_neg	ynjI//idnO//
PuuR_neg	dnaA//cpxR//marR//alsC//ydeP//hyfR//hyfG//
QseB_pos	fucU//lysC//flgA//gabP//
RbsR_neg	ftsK//xylB//rsmH//ydcV//ybfE//lsrD//gltF//fliR//
RbsR_pos	ycjG//
RcdA_neg	hypC//chbC//
RcdA_pos	aroH//puuE//artJ//phoR//hypD//ydiU//speB//
RclR_pos	fepE//caiB//araA//
RcnR_neg	srlD//ydfE//yccA//
RcsAB_neg	flhA//aceK//ptsI//tauA//folA//yciE//
RcsAB_pos	metI//yafP//hflD//lacZ//phoR//dgcN//lolA//moaE//gntX//rpsO//
RcsB-BglJ_pos	bdm//metF//pgaB//gltD//frdD//puuR//hybD//aceF//hisJ//asnB//motB//yidL//rbsR//micF//cra//fhuB//
RcsB_neg	iscU//recN//
RcsB_pos	fliP//appC//ydcU//hcaF//xylF//yiaJ//sgbH//cyoE//paaG//umuD//xapB//flgE//tdcD//nupC//tnaB//ydbK//purA//hcaR//ssrS//cusC//yhdX//ydfX//allD//
RelB-RelE_neg	araC//norW//ftsA//
RelB_neg	symE//waaZ//glpF//
RhaR_pos	ydeP//ydhW//
RhaS_pos	araJ//wzc//ydhW//phnD//mgtA//fucR//
Rob_neg	yfbR//
Rob_pos	acrZ//mipA//lsrA//ppiA//putP//yjhB//pdhR//lysC//evgS//thrS//glpB//mgtA//nfsA//yebG//dkgA//kdpA//ptsI//ccmD//ascB//gcl//mioC//ftsL//ptsG//csgD//ydfD//
RstA_neg	fucP//ymiA//tauC//argT//glnH//
RstA_pos	rarA//nuoE//ydhU//caiC//dmsB//
RtcR_pos	zntA//nrdG//
RutR_neg	fhuF//fpr//fecC//rybA//lpxC//dkgA//mlrA//rhaS//rbfA//rpoH//sucB//cydB//ttdB//edd//yneM//
RutR_pos	kbaZ//gadB//
SdiA_neg	garD//leuO//fdhF//
SdiA_pos	nadB//entA//ssb//
SgrR_neg	iclR//katG//yeaG//add//araD//
SgrR_pos	metR//ung//yafO//flhA//
SlyA_pos	tnaA//
SoxR_neg	sgbH//
SoxR_pos	hypC//hisP//
SoxS_neg	argE//soxR//
SoxS_pos	metH//purF//psiF//ttdB//ssuC//nrdG//nrdA//betT//cheW//ryhB//murG//glnG//wzxE//tnaB//osmY//potH//ymgC//argI//yhbT//flgI//entB//sutR//mglA//rhaA//aceB//sgbH//uidC//cysP//rhaS//deoA//modA//rsmH//gudD//argR//crr//cadB//modC//pepA//
StpA_neg	cirA//yhdW//yecT//modC//yegR//glgB//hycB//
SutR_neg	hyaB//ftsW//fruA//gudD//feoB//
SutR_pos	rplU//
TdcA_pos	ymiA//rseA//uvrC//dnaA//tauC//glgB//asnA//
TdcR_pos	ccmG//cysD//wrbA//yciG//murR//ogt//rclC//
TorR_neg	gltD//araD//htpG//
TorR_pos	entA//fliD//ccmF//nuoF//cynS//pfkA//nuoJ//metI//gspD//
TreR_neg	yoeB//bioF//
TrpR_neg	dinF//cdaR//znuB//osmY//mtr//mntH//hcaB//thiQ//murQ//cyoB//nuoM//gatA//
TyrR_neg	deoB//leuC//asnC//dmsD//lldD//purB//yhcH//pdeL//higB//phoU//
TyrR_pos	sbcC//accB//acnA//
UhpA_pos	potI//
UidR_neg	murP//safA//fdnI//zwf//
UlaR_neg	entF//nanA//cyoD//moaA//caiA//rclA//sufS//
UvrY_pos	allB//iscA//mpl//phnE_1//gatZ//
UxuR_neg	cysU//crr//hyi//csgC//ybfE//nimT//dinG//prpE//rutE//
XapR_pos	bamE//glcD//
XylR_neg	ydjM//
XylR_pos	crl//malQ//oppB//fecE//chbF//cyoC//
YdeO_neg	gspO//nac//
YdeO_pos	betT//dmsA//fliC//ftsK//murQ//gntT//agaD//mhpB//accC//idnK//flgB//phnC//ydhV//paaH//sdhD//yccT//gspM//gspD//ycgZ//
YedW_neg	lgoR//recA//fliT//hyaC//fliS//
YedW_pos	acrA//bglJ//yiiS//purD//wecC//decR//cdd//
YefM-YoeB_neg	cysU//iclR//
YefM_neg	acrB//sucC//
YehT_pos	nirD//
YeiL_pos	pstB//
YiaJ_neg	guaB//cydB//waaH//alsB//hypB//lrhA//rffH//trpD//narG//bioC//
YjjQ_neg	gudX//btuB//tcyP//hdeA//nrfE//paaZ//dinD//ykiA//caiB//paaI//
YpdB_pos	soxR//
YqhC_pos	pgpC//murI//
YqjI_neg	bglB//recN//
ZntR_pos	ptsI//
ZraR_pos	evgS//csgE//ybhF//
Zur_neg	lacZ//gudX//hyfC//pstA//ccmG//gabP//
