#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fepE//nadA//
CpxR_pos	rpoH//mgtL//cyoC//bdm//hycF//dgcZ//ydfX//napB//carB//accB//poxB//galT//gpmA//znuB//rprA//fepA//psd//motB//dsdX//ccmD//dpiA//cra//ydeI//fadH//motB//lacA//gyrA//fliK//phnG//purM//fabA//ccmD//wcaB//yhbS//glnH//yegR//dnaN//sgrR//allE//nemA//nanE//idnO//dpiB//citG//manZ//napH//
Cra_neg	hmp//ttdT//fucU//pstS//flgH//ttdA//dinQ//mqsA//ydiU//fabD//betB//gloA//hypF//gloA//ecnB//mlrA//ibaG//appC//sfsB//appA//araB//rnlB//lyxK//ftsW//dacC//lsrR//nohA//ybjG//phnJ//fixX//pyrD//nusA//garR//glnK//yeaD//btuB//umuC//purE//ybfE//nikA//zntA//lysA//yegZ//moaD//crp//araD//mntH//gabD//gadA//ccmF//purR//phnE_1//obgE//galM//mazF//gadX//citE//csgF//fiu//
Cra_pos	tehB//osmC//ecpA//ada//kbaZ//cspD//galK//nrdG//csgG//narG//treC//mepH//setA//yecT//yiaM//qseC//cadC//purE//dgkA//focA//hyaD//marA//pdeL//
CreB_neg	pqiB//phnG//cspD//
CreB_pos	fliL//rbsB//
CsgD_neg	nuoB//galR//fliE//symE//flgN//feaR//recD//polB//flgA//fdnG//leuD//phnJ//metF//lsrB//agaD//
CsgD_pos	lysA//araA//fliP//yjhC//efeU_2//ogt//flgM//ccmE//murG//patA//pgm//cysI//dmsC//
CsiR_neg	dcuD//napG//pgpC//oxc//pgm//
CspA_pos	iscU//ccmG//
CueR_neg	hlyE//ydcS//cueO//bhsA//treR//
CueR_pos	envC//malK//
CusR_pos	fecD//ptsI//fadI//lsrF//argE//sufA//galT//pepD//ahpF//glcA//zraS//hybA//
CynR_neg	murD//
CynR_pos	phnE_1//nanK//aroH//
CysB_neg	wzc//cbl//arsC//alsE//arsR//glxR//ycgR//
CysB_pos	lrp//allC//lgoR//ynfG//citC//nrdB//uxuR//malE//gltF//gltL//omrB//sufD//lacA//puuC//tdcB//ldtC//ugpQ//glnK//aroF//dctR//gspG//hyaF//glpD//phoA//treB//
CytR_neg	mraY//rhaR//cadB//glpB//murD//psiE//exuR//cheW//allE//paaK//fepC//cadB//phnE_2//
Dan_pos	fadL//pfkA//narK//napA//
DcuR_pos	pheM//hyaD//oxyR//ppdC//lyxK//cueO//ymgA//flhD//alkB//
DeoR_neg	metR//ydeO//moeA//ygaC//nhaR//entC//
DhaR_neg	murE//
DhaR_pos	fabI//mtr//fecE//
DicA_neg	paaC//glcE//xapA//hisJ//hycI//argH//yhbT//moaE//
DinJ-YafQ_neg	rybA//relB//purR//
DnaA_neg	glcF//yfdV//fruA//prpR//nikB//puuP//gutM//fepC//dicB//yoaG//astD//
DnaA_pos	efeU_1//nrfA//sufB//psd//atoE//araE//yfiR//
DpiA_neg	kbp//
DpiA_pos	oxc//nuoF//sdhB//cysD//torC//yafP//hdeD//uxuR//murC//murR//
DsdC_neg	entS//
DsdC_pos	ssuD//ebgC//
EbgR_neg	hycB//gltF//
EnvR_neg	codB//fdhF//
EnvY_pos	sbcD//fur//
EvgA_pos	tyrB//zntA//lsrG//cas2//lsrR//creA//yhdZ//citG//cysJ//fadA//flhC//cysK//aspC//malE//napA//malG//pstB//lysO//recD//
ExuR_neg	sgbE//katG//pspG//narI//pck//ygeH//sgbU//folA//glcG//
FabR_neg	chiP//cyoE//
FadR_neg	yegR//gadF//lldD//narI//flu//creB//fecA//appY//citE//ldtB//frdC//
FadR_pos	flgL//osmY//alsB//tdcD//rpsU//ftsK//nuoM//cysH//ftsW//cyoB//argD//murQ//
FeaR_pos	yeaH//hybD//
FhlA_pos	dcuA//yhiM//hipA//arsR//fucA//glnK//ycgR//mlc//sdhC//borD//malX//mqsR//dsdA//fabD//ydiU//sgbU//ygbK//flgG//aroH//ogt//gatA//fadM//hycH//fucP//ptsG//gadX//tnaC//phoU//gabT//fucP//
FlhDC_neg	mdtD//nimR//aidB//phr//
FlhDC_pos	lsrC//fliG//yjbH//ung//nrdB//iscU//sufS//tnaB//phoU//asnA//zraP//torC//glgP//entD//dtpA//iclR//lpxA//lacA//osmY//kbp//wza//gadB//nfsA//gntU//rnpB//potF//csgD//pdeR//cysM//leuA//eno//accB//exbB//casC//cheW//hybO//malZ//tauA//uidB//epd//ssuD//hyfR//cysW//sra//ybbY//phnE_2//recF//yhbE//mtr//sufA//rclC//yagK//uhpT//ahpF//sdhC//gspK//entE//gltI//hemH//hybF//rybA//arsB//qseC//ulaC//wzxE//mgrR//cydC//mhpB//allC//idnD//lon//katE//dhaK//bdm//ppiD//gspO//hyaD//pyrD//
FliZ_neg	fnr//yciG//hipB//dnaG//hycB//mtlR//artI//gspH//phnG//bioF//polA//srlA//treR//nuoC//prpE//grcA//oppC//focA//galE//garP//rseA//
FucR_pos	purA//yqjA//nrfB//rffM//entE//glcF//rpoE//
Fur_neg	eda//mhpA//yedX//csrC//lrp//artJ//dnaN//pdhR//lysR//appC//gatB//murF//leuC//fumB//fliT//yfbR//add//nikC//tyrA//accD//ydcT//rprA//yhdZ//treB//yoaC//dgcC//idnT//adiA//lon//argG//ybjC//lpxD//hipA//rfe//yoaC//cyoB//cynX//nuoH//fliF//allS//fecA//ybdN//fldA//nuoG//fimE//nrdE//sbcD//cpxQ//tauA//nohA//rffT//pqiB//hdeA//ybdZ//flgI//fhlA//fepD//ycjG//alsA//deoC//argO//agaB//ftsI//hha//dcuB//torA//ytfE//metI//fecA//phnE_1//dkgA//sufA//serA//ynbC//recN//talA//symE//entE//astE//ydjM//rhaD//rbsC//tsgA//fldA//kdpB//ygbK//rstA//mngR//hypD//phoQ//hybD//ttdB//uidA//truB//yhbE//uxaB//rstA//dmsD//ldtC//talA//hcaB//hyi//hcaC//uspE//argC//hycH//ibaG//phoA//sucD//ecnB//galM//chiP//ybfN//osmY//rutE//
Fur_pos	prpB//iraM//infB//rffC//rybA//ulaA//carA//folE//hycA//acnB//ddpF//ulaE//paaY//yafO//ybbY//rclB//ugpE//cynR//fhuB//treB//mgtL//
GadE-RcsB_pos	lpxC//flgG//glpQ//ecnB//astA//purL//glgA//katG//tisB//
GadE_pos	phnO//hyfC//hyaE//speA//katG//yafO//galE//pgi//prpB//evgS//paaD//eno//glcG//xapA//uvrA//fadI//ndh//phnE_2//dpiA//sbmA//paaI//artP//flgD//ydiU//sbmA//aroM//csgD//cheW//nuoN//
GadW_neg	yhdX//idnT//fecI//trpL//rprA//rpoH//mdh//purM//yafN//oppB//citE//
GadW_pos	rseC//sgbH//puuC//ftsI//gatZ//ttdT//ynfK//dgcC//cecR//efeU_1//lamB//
GadX_neg	fucA//nac//dkgB//dapB//sbmA//dinF//
GadX_pos	garK//dmsA//glgX//ariR//iscU//infC//fepA//napF//allB//pncB//gcvH//fhuD//ycjG//rutB//lsrK//bhsA//gltD//ppc//sulA//treC//tnaC//pfkA//cysK//ddpD//cusA//rpmA//yeiL//
GalR_neg	glpK//gltJ//dsbC//oppF//ydjM//uxuR//purF//cho//galP//yhiD//
GalR_pos	nagE//gatC//phnC//cheA//
GalS_neg	srlA//dmsA//gloA//leuA//hycE//pnp//casC//lsrR//rpoE//nfsB//
GalS_pos	baeR//iraP//caiC//wzzE//
GatR_neg	ecpR//rcnB//rarA//motA//yibQ//fecE//
GcvA_neg	fucU//mhpC//agaA//mioC//
GcvA_pos	inaA//prpR//gadW//yjiY//
GlcC_neg	luxS//
GlcC_pos	phnM//gspM//crp//ydfX//cspD//deoD//
GlpR_neg	fabB//gadA//nirB//yafQ//mtlA//inaA//ppdC//rseC//exuR//
GlrR_pos	hyaB//ilvY//codA//ygdB//rbsB//
GntR_neg	ycdZ//ynfE//ldtC//hypC//fadB//hybB//uspD//malF//ssuB//moaC//ynfH//arsB//
GutM_pos	tnaC//ubiA//uxuB//pyrC//qseC//yaiA//focA//
GutR_neg	citD//malZ//mtlR//astB//fucU//leuC//dhaR//
HU_neg	fhuD//phnL//cheW//yhhY//caiC//tauC//rsmH//ddpF//
HU_pos	phoA//
HcaR_neg	aceF//
HcaR_pos	tam//yiiS//metL//uvrD//hcaB//
HdfR_neg	dkgA//hypD//
HdfR_pos	malZ//grcA//putA//
HigA_neg	fhlA//metN//
HigB-HigA_neg	yciX//yciG//
HipAB_neg	potG//aroM//rutA//deoB//fucR//
HipB_neg	malQ//paaY//uidC//xylF//potF//paaC//
HyfR_pos	yefM//ppc//frdA//citF//hyfR//gntU//tpiA//fbaB//hybA//nikR//rpsO//rbsD//
HypT_neg	citX//ydcS//omrA//mhpT//nikA//
HypT_pos	narI//dgkA//tktB//entE//mraY//talA//narK//uspA//
IclR_neg	fabH//alaC//aroM//paaE//
IdnR_neg	phoE//nrdA//
IdnR_pos	srlD//yeiB//cusR//ydjM//lsrD//
IlvY_neg	glpD//
IlvY_pos	gcl//
IscR_neg	flgH//lamB//gltF//accB//dcuA//hybO//ttdR//purM//araC//fbaB//ydhU//dmsC//ddpF//ugpB//dgcZ//nrfC//polB//gpmM//ccmF//mqsA//ompC//
IscR_pos	phnO//yiaN//uidC//mngB//glxK//uxaC//yebG//rnlB//flgE//modC//paaD//
KdgR_neg	sbmC//oxc//
KdpE_pos	putP//leuC//ddpF//malF//
LacI_neg	flgM//asnC//gntK//
LeuO_neg	artI//hns//hycD//
LeuO_pos	yciF//epd//ybhR//yebE//betT//yciG//pflB//fecI//ogt//cadC//hyfA//cpxP//aceK//casC//pstA//fucU//rutR//cusB//
LexA_neg	cpxQ//puuA//fldA//iraM//nirC//ygeH//lldP//murI//csgF//uidB//phnJ//ttdB//deoA//rhaB//pyrC//sgbH//citE//hypE//rclB//ygaC//casB//mlc//fliD//glnH//cydC//melR//hcaE//nikB//rbsR//fabI//entE//galR//glnP//pspB//fpr//rhaT//caiD//nrdH//mlc//prpE//aroH//ttdR//mlrA//kbaZ//yhiD//lldR//acrZ//uspA//slyB//ynjI//tam//argP//fliM//uof//nikR//waaH//tktB//dicC//pgaD//
LldR_neg	ompF//gltK//modA//
LldR_pos	yhdZ//fliS//tyrB//
LrhA_neg	gpmM//cysD//
LrhA_pos	osmB//fabA//
LsrR_neg	dctA//recX//ygiC//hybF//glgA//ftnB//yhbT//cspI//casA//
LysR_neg	nuoC//
LysR_pos	ascB//
MalI_neg	metB//hlyE//cpxA//
MalT_pos	eda//xapB//glpC//ubiA//nikB//rclC//ygiB//recX//paaE//fixB//
MarA_neg	htpG//hcaB//cyoE//fhuD//uidR//ubiC//znuA//
MarA_pos	sbcD//wzc//iclR//rarA//wecC//glcF//dctR//napH//ydeM//phoH//fliA//phoQ//bdm//tpiA//fbaA//cusA//nrdA//pdhR//nrdD//ebgC//pstS//glcF//iscU//mipA//symE//ftsW//ftsK//gyrA//acrD//feaB//cyoD//
MarR_neg	ygiZ//oppA//rhaA//
MatA_neg	yecR//flu//casE//nuoI//qseC//sufE//
MatA_pos	fecA//cirA//
MazE-MazF_neg	sgbH//xylH//ybjG//
MazE_neg	cysH//spy//malP//
McbR_neg	mngA//
McbR_pos	ycgZ//ybiT//hycH//
MelR_neg	fixB//phr//araH//
MelR_pos	hybG//cpxR//yfiB//
MetJ_neg	dsbA//fabB//dnaG//fadJ//phoR//agaB//nfsA//pspD//ulaA//aroL//dhaR//recD//dkgB//nirD//cusC//
MetR_neg	aroG//modC//
MetR_pos	narI//marR//mzrA//phnN//
MhpR_pos	puuP//sroA//artI//ccmA//ppsA//ppiD//
Mlc_neg	narL//glpA//mdtE//ycjY//murF//phnE_1//recD//rplU//glcG//casE//
MlrA_pos	murG//napF//agaS//spy//phoH//hokE//fhuC//dicB//yjbF//yjbH//
MngR_neg	ydhT//gcvH//ssb//
MntR_neg	yhiM//cdaR//cusC//nhaR//
MntR_pos	ybjG//
ModE_neg	araH//nadA//caiD//wzzE//treR//hycG//frdA//lpxD//ycjF//dsbA//nmpC//frdA//pspG//agaC//dsrA//
ModE_pos	dps//ynfH//gltL//ftsQ//dcuA//lsrA//fhuD//qseC//hisP//alkA//ahpC//ampC//wza//lsrG//lldR//glpA//rbsK//galR//putA//fliE//aceB//ttdR//truB//hemL//fliI//argP//ybfE//lolA//fruK//ymgC//hycI//
MprA_neg	cspE//ygeA//nrfC//argO//nfo//borD//
MqsA_neg	rclA//mraZ//gltL//cdaR//fliZ//astA//hycC//pstS//
MraZ_neg	yeaE//ybaS//marB//micF//bhsA//waaH//fnr//nagE//gatA//narX//dcuS//caiA//arsB//uvrC//fau//zraP//cysG//
MtlR_neg	fabD//chbB//hydN//
MurR_neg	glcF//bacA//nrfF//
MurR_pos	creB//
Nac_neg	appY//glcA//hcaC//znuB//caiD//ddlB//relE//metH//pgaA//
Nac_pos	araC//ygeH//hydN//mazE//stpA//yqhD//ascF//marA//ssuD//ptsG//ptrA//cyoC//
NadR_neg	ydeO//agaW//aldA//ompW//
NagC_neg	sgrS//bioB//gabD//hyaE//fadM//malS//araB//glpT//paaJ//ybbY//tdcF//yjiY//flhB//yccJ//tdcB//kbaY//hybF//uidR//cysM//erpA//truB//ulaG//ddpB//hha//ybhR//ddpA//lrhA//wecB//ahpF//pfkA//fucA//phoR//alsE//
NagC_pos	fliF//leuC//lsrF//
NanR_neg	casB//tonB//btuB//asnB//mhpA//glpX//glnK//emrY//nrdA//glgB//
NanR_pos	nirC//
NarL_neg	gudD//rutD//mioC//ppc//fixB//ryhB//fadB//pstB//higA//hyfD//yciG//yegR//oppB//iscS//lysP//ynbB//mtlA//lrp//csgA//hyaC//exbD//creC//gabP//yqjH//nuoJ//mhpF//argB//fliZ//iscA//ubiC//yjhC//betA//hypA//artI//sufE//osmC//hdeB//yiaM//kbaZ//hyaF//fliH//uxuB//cysI//dhaL//sucC//malQ//ldtC//ydfX//aroG//gadF//phoR//yagK//katG//nikA//umuC//codA//yciG//fucI//phnE_2//phoR//fbaA//yjbF//speA//gspO//argE//pqiB//phoR//napH//nrdB//ulaC//guaA//patA//hyfG//lsrK//hns//hycG//pspA//bglB//cysI//citX//fabA//napF//torC//hyfE//yncE//glgC//recD//
NarL_pos	prpR//crr//rpmI//ddlB//sulA//mglB//iscA//yiaO//fliN//fur//efeU_1//flgA//speA//fliA//feaB//lsrB//nfsA//tsx//yoaC//dgcC//cysM//entA//araC//glxR//lon//feaB//nagC//alkB//osmB//hycH//higA//leuO//deoA//relB//csgF//flgK//putP//ascB//yafP//narK//zraR//gntP//nrfD//
NarP_neg	asnC//pfkA//flgD//rhaB//idnK//nfsA//ldtB//yoaC//yaiA//hlyE//ynfF//yhjA//ydcT//ugpQ//acrR//dmsB//sulA//csgE//tomB//cysA//rhaT//bioB//mdtF//betB//moeB//yiaN//caiB//tonB//tehA//leuO//yciW//pheM//ytfE//
NarP_pos	hycG//rbsK//mqsA//ilvY//aroL//ycjG//gspD//setA//cyoC//idnD//hycG//amtB//trpR//ppiA//ddlB//srlE//ykiA//caiF//manX//gspE//hycG//ptsG//cysD//cpxR//cpxQ//melA//nagB//artM//glk//ecpR//tsr//rcnR//
NemR_neg	ftnB//tehB//ttdA//
NhaR_pos	phoR//cspI//fliQ//nagE//nikR//yeaH//higA//
NikR_neg	rhaR//ompF//treB//umuC//insD//melA//
NimR_neg	znuC//paaB//
NorR_neg	mzrA//
NorR_pos	crr//moaE//
NrdR_neg	fliL//kbp//gutM//mraY//ecpA//galM//truB//napA//dgcZ//
NsrR_neg	uspA//napH//ybaT//fhuF//dmsA//adiA//uspE//uvrY//casE//treR//astB//ydeP//uxuA//feoB//malP//bdcA//rpoD//leuD//evgS//cpxA//lsrA//yjiY//fadM//gltD//kbaZ//alsC//caiB//bioF//stpA//yrbL//yhjX//ilvY//nuoM//hypC//tdcF//aroH//araG//psiF//cyoC//hydN//crl//fecD//uidB//lpxD//lpd//rutG//hslJ//ariR//agaW//tsgA//gspD//csgC//xapB//ydcT//rutA//soxR//metB//puuA//nuoF//uidC//symE//agaA//artP//napB//pnuC//rutF//cecR//phoR//rbsR//moaE//infB//yqhG//flgJ//fliQ//fliD//aroL//hycF//flu//gltL//focA//fixA//astC//mdtE//
NtrC_neg	nuoJ//pdhR//fldB//ygbK//prpB//sroD//
NtrC_pos	dpiA//fbaA//chbR//hycA//mtr//csgB//ygiC//yjbF//ycjY//evgS//citG//ynbA//cydA//galT//insD//araH//casA//murF//phoE//tsx//metB//cheA//dinJ//cspD//astC//glpQ//uvrC//hybD//gspJ//gadE//uxaC//cheA//rutG//ttdT//cysN//ssuE//paaF//betT//rarA//allA//bglJ//pgaC//yhdX//sdhD//astD//nuoI//leuA//flhB//fumC//
OmpR_neg	fliS//ynfK//nuoK//soxR//waaH//uidA//casB//wza//hyaD//fliC//aldA//leuD//
OmpR_pos	lsrG//gltI//ndh//mlrA//cheW//rutC//nfsB//hcaF//cusF//tdcB//
OxyR_neg	sodB//flgC//accD//flgG//fixB//rimK//oppF//cpxQ//chbB//rpoS//crl//yedX//
OxyR_pos	sucA//accD//dnaA//fliK//glgB//fepE//hyfG//polA//gltD//fabZ//lldD//yhdX//flgA//gadC//phoH//ftsW//narL//dtpA//acrA//alaS//uidB//hycC//
PaaX_neg	ynbC//ulaE//modC//phnF//murI//gatZ//metI//aidB//relB//potG//pykF//ssb//rffC//dctR//
PdeL_pos	leuD//
PdhR_neg	eno//ftsW//sulA//ygdB//fixX//yjiY//artJ//insK//yaiA//glmY//ybhS//purM//gadF//prpC//lyxK//wecC//idnO//hybE//lrhA//tfaQ//ppdB//iscR//nimT//xylB//flgN//ydhU//rhaT//fruA//rutE//ygbA//ampC//rffH//glpK//fliP//gltK//efeU_1//
PdhR_pos	hybF//yiaM//nrdE//mpaA//ulaD//
PepA_neg	phoB//yqhG//recA//
PgrR_neg	gspI//glgB//mhpA//exbD//nrdF//ycjG//nuoH//dcuS//
PhoB_neg	dmsB//sgbE//phoA//fadB//nikE//pspA//patA//ppdA//dapD//pfkA//thiP//mglC//
PhoB_pos	csgF//fecR//ychF//fruA//fixC//cynR//ppsA//oppD//pgaD//ldtB//mdtC//cusF//napA//flhB//gatB//pspC//yiaN//yhjA//alsE//ssuE//luxS//artI//feoA//paaI//yiaM//ybiT//phnD//cdaR//znuA//mgrR//ymgA//higB//pspG//phnJ//fabH//higB//ung//nmpC//hdeA//tyrB//cra//hypB//lamB//sufA//zwf//napB//sgrT//atoD//murE//dicB//citD//narH//ydcS//
PhoP_neg	hycB//mnmG//sufA//mntH//tdcD//lgoR//murQ//gspJ//nrfG//kbaZ//cysM//
PhoP_pos	gadY//ydfH//creB//fepG//fnr//appB//hycE//yecR//rplU//purA//torC//ybjC//icd//yjiY//yegH//ugpE//pfkA//sgrS//sroD//mraY//chbR//slyB//ymjD//hypE//xylA//cysB//ompN//gltJ//nuoE//metJ//carA//sgrS//metK//fliN//fumB//nimR//nimT//idnD//gspC//fhuA//iraP//pitB//ycgR//paaZ//fecI//rhaR//nrfB//yafQ//
PrpR_neg	uxuA//
PrpR_pos	cyoA//ccmB//add//baeR//
PspF_neg	glnH//
PspF_pos	argE//appX//fabA//fliQ//treC//nac//
PurR_neg	hisJ//recX//appY//pnp//uxuB//motA//argB//glgC//nuoE//mhpC//gadF//gltD//entD//wcaB//gudX//dnaN//rtcB//recF//cusR//hyaC//yqaE//kdpA//pdhR//ubiA//feoB//relA//kdpA//acrZ//gspE//ydfW//lacZ//
PutA_neg	mglA//purK//
PuuR_neg	lpxD//bioA//yciX//fixA//idnD//yhdW//yiaO//
QseB_pos	yibQ//nuoA//ppdA//flgF//
RbsR_neg	rutC//dnaN//ryhB//wzb//alkA//tyrA//ssuE//bioD//
RbsR_pos	ycjG//
RcdA_neg	hcp//ascB//
RcdA_pos	hyaF//napF//sgrT//ppsA//mntP//cra//galE//
RclR_pos	hcr//agaR//gspH//
RcnR_neg	tktB//rplT//alsC//
RcsAB_neg	galE//metC//narG//garD//nanE//casE//
RcsAB_pos	phnN//fdhF//yaiA//cas1//glnK//rhaT//ccmE//hipB//sdhD//deoA//
RcsB-BglJ_pos	metJ//pgaA//gspE//rffH//iraP//galS//feaB//hycA//rutB//fliF//ibaG//allE//ydhU//xylA//nrfB//glmY//
RcsB_neg	pgi//relA//
RcsB_pos	pyrD//hycB//agaA//tomB//wza//fdnH//folA//tpiA//garL//napD//lsrA//nrfG//lysC//nagC//pqiA//yoaG//hycC//murE//fliO//ygbK//fadD//sucB//agaW//
RelB-RelE_neg	artM//fucU//mraY//
RelB_neg	puuA//yjhB//osmC//
RhaR_pos	xylB//ycdZ//
RhaS_pos	glnG//yhjC//rob//fliG//lpxC//rclA//
Rob_neg	ndh//
Rob_pos	lsrK//gspG//ssb//chbC//cusB//moaE//melA//tyrP//zraR//garR//yncE//ulaD//oppD//codB//mzrA//mngA//rtcA//araE//agaS//ybbW//fliA//prpE//glnG//rhaB//recF//
RstA_neg	murI//iclR//epd//alsE//fadH//
RstA_pos	kbaY//metI//ydcT//nuoE//rprA//
RtcR_pos	tsx//hcaF//
RutR_neg	torD//gudX//phr//gspM//rhaB//sgbU//recC//ulaB//glnG//yecT//yoaG//ilvC//nrdE//ydhX//motB//
RutR_pos	yoaG//bluF//
SdiA_neg	potI//fadM//bluF//
SdiA_pos	fruB//metE//rtcA//
SgrR_neg	uvrB//aroH//ycjF//evgA//polA//
SgrR_pos	iscA//aroF//ssuD//yoeB//
SlyA_pos	gltF//
SoxR_neg	hipB//
SoxR_pos	tdcF//hyfR//
SoxS_neg	hyaF//codB//
SoxS_pos	arsB//yidQ//rbfA//dsdC//allA//hokD//rhaB//yncE//caiD//yfiB//rseB//gdhA//dpiB//tdcD//cpxQ//hslJ//fabZ//mipA//gatB//garK//recD//chiP//gntX//rprA//aceF//citD//aceF//dkgA//entC//nmpC//rpiB//garR//adiA//uof//napC//cas1//polB//ynfF//
StpA_neg	leuD//cynR//paaX//acrD//fixB//yncE//ynbD//
SutR_neg	iraM//glnG//mngR//sucD//glpA//
SutR_pos	zwf//
TdcA_pos	glcE//sufD//cusB//paaX//tktB//dsrA//flgD//
TdcR_pos	poxB//fliR//yjbH//agaR//entB//uxuB//aceF//
TorR_neg	yebG//rprA//baeR//
TorR_pos	ttdR//deoD//sufE//metK//tisB//borD//yhiM//pspG//ruvA//
TreR_neg	yhbS//potF//
TrpR_neg	nemA//metJ//ydiU//araC//sufB//fucI//yeiB//acrD//evgA//nrfA//rpsU//phnE_2//
TyrR_neg	trxC//hyfJ//yjeV//mazE//yibQ//marA//fecI//metI//sgrT//tsr//
TyrR_pos	ydfW//wrbA//mglA//
UhpA_pos	pspA//
UidR_neg	fixB//malT//gdhA//ttdT//
UlaR_neg	yafP//appY//lpd//lacA//oppB//nemA//tsgA//
UvrY_pos	higA//paaK//potF//ryhB//napH//
UxuR_neg	hemH//ydiU//ompN//ydhT//tdcB//ycjG//metN//glpD//hyfD//
XapR_pos	paaJ//nikD//
XylR_neg	fruB//
XylR_pos	ydeI//norV//paaY//malX//fhlA//sodA//
YdeO_neg	katE//hyfC//
YdeO_pos	hcr//tomB//aroG//nupC//frdD//uvrC//casB//dsdA//ulaB//nemR//cpxP//ydfH//ybbW//fucU//sgbH//oppB//nadA//paaH//nrdH//
YedW_neg	gfcA//agaA//waaH//fdhF//rbsD//
YedW_pos	nrdG//dps//ddpA//trpR//pgaB//xylR//ccmF//
YefM-YoeB_neg	rpoH//xylA//
YefM_neg	nrdB//fadL//
YehT_pos	frdA//
YeiL_pos	yjbF//
YiaJ_neg	asnA//mazG//uidC//glpK//rplT//potG//caiF//gabD//tehB//csgG//
YjjQ_neg	creB//rffT//ddpB//uvrY//iscU//dacC//sufA//stpA//asnA//borD//
YpdB_pos	ydcU//
YqhC_pos	entH//caiB//
YqjI_neg	mpaA//metR//
ZntR_pos	sbmC//
ZraR_pos	yafN//malQ//atoD//
Zur_neg	accB//kbaY//cysP//hyaF//paaI//trpC//
