#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pdeL//napA//
Dan_pos	lgoR//yhdY//fabI//paaB//
DcuR_pos	nuoB//ccmA//hdeD//yecT//yeaE//malS//cynX//ftnA//ybhL//
DeoR_neg	cdaR//napG//fliZ//yhdW//rffM//citX//
DhaR_neg	ygiZ//
DhaR_pos	paaY//znuC//pitB//
DicA_neg	araA//flgD//trpD//nagB//ynfK//lysA//chbA//melR//
DinJ-YafQ_neg	ydfE//fhuD//appX//
DnaA_neg	feaR//rnlB//cysP//cysC//crl//malK//ldtD//nanK//hisP//xylF//sbmA//
DnaA_pos	gspI//rpmI//kdpB//ftsK//fhuA//recD//flgK//
DpiA_neg	grxA//
DpiA_pos	rffM//cadB//ryhB//entA//ybhG//galS//rpoH//yjjZ//qseC//entD//
DsdC_neg	yebG//
DsdC_pos	ugpE//manY//
EbgR_neg	yegR//flgI//
EnvR_neg	exuT//lldD//
EnvY_pos	modC//phnF//
EvgA_pos	zraR//entD//allE//lrp//tnaA//phoE//purE//creA//ssuB//gor//ugpE//feaR//tnaC//melR//csgF//ptsG//osmY//garP//edd//
ExuR_neg	infB//bioD//yqaE//hybC//dkgB//tdcC//bolA//flgN//purR//
FabR_neg	hybG//cydD//
FadR_neg	guaA//mhpD//ccmA//speB//zinT//sbmA//xylB//gspM//nirD//metC//metI//
FadR_pos	cadB//ydjM//modA//yefM//zntA//mhpA//recF//hybF//patD//yqhD//cas2//yecR//
FeaR_pos	murI//lsrK//
FhlA_pos	arsR//lacA//ascF//cbl//fadJ//uxaA//tehA//melR//ubiC//rpsU//ddpD//hisM//prpR//thiP//citF//yafQ//gntP//fabI//cyoE//kdpC//dcuB//asnC//alsC//mdtF//gatY//aspC//rcnB//yegZ//araD//ssrS//
FlhDC_neg	kbaY//gatD//truB//chiP//
FlhDC_pos	gltB//tyrR//phnC//cysE//truB//dacC//hypF//hycH//manZ//ugpC//ubiC//kbaZ//polB//cas2//wzzE//psd//nikB//argG//bglF//glnH//ugpQ//uxaB//cysH//nuoB//recC//cynR//mioC//xylG//ycjX//hokD//bglG//nagE//cusB//ubiA//phoB//udp//ydjM//dsbC//nuoJ//metI//mdtF//ruvB//gloA//wzb//araH//nrdE//cadB//fliS//dicC//srlB//rimP//mglB//glcD//atoB//dsdX//nanS//dctR//nadA//hycH//agaR//eno//melR//gadB//rpiB//glcF//ttdT//bacA//tdcG//bamE//moaD//oppB//dinB//ebgA//oppB//napF//csgE//pstS//pck//
FliZ_neg	iscU//patA//ynfF//deoA//agaB//fucR//cysG//cpxR//murF//cpxA//pheT//yfiB//yfaE//yeiL//mdtB//argT//rclA//galM//appX//ttdR//yagK//
FucR_pos	gpmM//fadB//hycG//pdeL//rnlB//recN//phoR//
Fur_neg	ahpC//ompT//yfdE//oppC//hokD//recC//tsx//degP//gnd//bglJ//mngB//iscA//putA//grxD//astB//tynA//ycgZ//mhpT//ompW//ydfH//gspH//lrp//mngR//pstA//yaiW//fixX//pgk//tauD//glxK//paaD//yneM//entF//hybC//qseB//galR//sucC//flgB//gatB//gyrA//glpT//yhhY//fbaB//dinB//ptsI//cadB//dhaM//bhsA//folE//fecI//sufS//copA//pyrC//gutM//gntT//glcA//rpsU//yhbE//ddpA//uxuA//acnB//fhlA//ycgZ//garK//lsrR//cheW//trpE//pheM//spy//gspG//fabA//intQ//relA//agaA//appB//mtlA//rcnB//hisM//udp//uvrB//fliP//malG//ampC//allC//potH//gspG//yhbT//oppF//slt//nlpA//fecI//ybhF//cspI//aceE//flhE//alsB//yhbT//mtlR//napB//ssuD//gatY//lsrC//pheM//exuT//ydcU//treR//rhaT//ygiB//iraM//ydhX//flgM//icd//mdtD//hisJ//hisP//mgtL//
Fur_pos	ddpA//fliD//yfiR//citD//icd//fadM//csgF//hybC//mioC//yfiB//copA//hybD//ftnA//aroM//mcbA//higB//yhdY//setA//glgB//tsx//casB//
GadE-RcsB_pos	moaD//dinG//fliZ//frdD//nac//tfaQ//casC//ychF//pck//
GadE_pos	hyaC//ompF//lamB//accA//fliS//tdcD//fecR//rffG//atoA//cspE//galT//ydeM//fecB//dpiB//recA//creA//ssuB//zwf//moaB//yhdY//alsA//nrdH//phoB//mnmG//yjeV//mdh//sdhB//ygeH//mgrR//
GadW_neg	hcaD//exbD//bioC//csgA//uof//acrR//pstA//mgrR//garL//srlB//lsrK//
GadW_pos	gadW//csrC//creD//lsrB//udp//gcvB//recD//ompF//recX//mglA//ryhB//
GadX_neg	dinD//uidC//norV//gspC//nanK//inaA//
GadX_pos	ompC//hybG//metY//gpmA//ssuB//fruK//bioC//ssuA//flgM//phoH//kdpB//frdA//hycA//rhaA//lldD//garP//hycH//pykF//fadI//lamB//uidA//xapB//ldtD//fabA//moeB//flgE//cas1//
GalR_neg	rimP//hypE//malS//flhD//chiP//tdcA//yhjA//evgA//decR//dcuA//
GalR_pos	psd//ttdB//rhaA//ilvY//
GalS_neg	yecT//qseB//ybaT//osmY//mnmG//lsrA//gcl//yagK//bdm//flgA//
GalS_pos	nuoN//dinD//argC//pqiA//
GatR_neg	purC//crl//phnJ//rnpB//fadH//uxuR//
GcvA_neg	flhD//hisM//cas1//ssuE//
GcvA_pos	moaA//gspD//slp//nagA//
GlcC_neg	phoE//
GlcC_pos	ygiC//ulaC//ssuE//qseB//tpiA//nadB//
GlpR_neg	nemR//csrC//ddpF//phnD//pgk//fliA//codB//hybG//ccmD//
GlrR_pos	paaF//skp//argG//yjbH//setA//
GntR_neg	yjhC//bglB//gcl//mglA//ndh//uxaA//luxS//fdnG//yiaJ//ymgA//gcvH//dctA//
GutM_pos	sbmA//arsR//pgk//fixC//fabB//cusC//argC//
GutR_neg	udp//tyrA//rffM//dkgA//ybhL//cysK//dsdA//
HU_neg	gutM//gltD//flgE//trxC//yeaH//fadI//argF//uvrA//
HU_pos	ung//
HcaR_neg	rutR//
HcaR_pos	aceK//aceA//ftsI//ydbK//mglA//
HdfR_neg	rstB//rffC//
HdfR_pos	osmC//xylG//hyaA//
HigA_neg	ldtC//mazF//
HigB-HigA_neg	ymiA//aidB//
HipAB_neg	cynS//cynS//paaF//ung//dgkA//
HipB_neg	nanC//nemR//yhiD//purF//phnN//ryhB//
HyfR_pos	allS//dsdX//citE//rimK//ydfW//nuoE//nanK//xylF//fepC//potG//yeiL//fnr//
HypT_neg	flgL//norW//nrfF//yjiY//gltD//
HypT_pos	znuB//hyaA//ccmB//speA//modB//dcuA//tktB//glcE//
IclR_neg	kbaY//nupG//lrhA//recA//
IdnR_neg	rhaD//inaA//
IdnR_pos	micF//yhbS//mepH//appC//lexA//
IlvY_neg	fabI//
IlvY_pos	ftsW//
IscR_neg	patD//hmp//prpC//rob//cysI//udp//uidA//ynfH//flgN//metA//omrB//murC//flgH//flhD//phnF//ygbK//lsrK//rpoS//phnE_1//yjbE//ycjY//
IscR_pos	evgA//aroF//fliS//hyfR//potF//rplT//puuB//casD//nikR//gcl//flhA//
KdgR_neg	yneM//rcnB//
KdpE_pos	fliO//zntA//gudX//metE//
LacI_neg	fadL//malP//agaW//
LeuO_neg	nupG//tsgA//mdtD//
LeuO_pos	citG//fepE//yafO//citD//recC//bluF//ydhU//araC//asnA//ygaC//nadB//lyxK//dgcZ//deoD//csiD//lsrB//entH//glk//
LexA_neg	narI//sufC//cvpA//mgtL//ruvA//ssuD//pspB//higB//uspD//yfiR//gabP//rseC//ryhB//insD//fliT//udp//ybaT//yciF//lldD//inaA//znuC//sbmC//skp//lon//yhiM//ynfG//aceK//dhaR//dsdX//treR//marR//chbF//hyfI//mdtB//metA//purM//allB//ychF//fliH//araA//insK//mpl//napG//yciX//leuC//tdcA//phoE//allC//lamB//glpC//rhaD//hypD//modC//nuoK//cusC//nikR//ulaF//gatA//phnM//
LldR_neg	paaI//purD//uidR//
LldR_pos	ygeA//rpoS//gspI//
LrhA_neg	narX//rhaT//
LrhA_pos	araC//cynT//
LsrR_neg	metK//ynbA//aceK//iraM//galR//hyaB//dgcC//caiE//sucC//
LysR_neg	hokE//
LysR_pos	ascF//
MalI_neg	lldD//lyxK//ariR//
MalT_pos	recN//yhdW//chbF//dacC//yafP//oxyR//talA//sufC//osmY//setA//
MarA_neg	dinG//fnr//feaB//ttdA//gntK//gor//paaC//
MarA_pos	yhdX//rseC//glmY//sufD//yccA//znuA//ygeH//sufD//cysJ//ahpF//nfo//pgaB//allS//mhpE//aroM//citX//nikD//fhuA//yhdZ//aceE//grxD//malF//pgi//deoC//yoaG//lsrC//ybbY//xapA//yhdW//fnr//tktB//
MarR_neg	ydeM//treC//yjjQ//
MatA_neg	yncE//xapB//relA//guaB//yqhG//hyfC//
MatA_pos	fadD//ydjM//
MazE-MazF_neg	ybdN//lysO//galM//
MazE_neg	micF//yqjA//nrdB//
McbR_neg	rseC//
McbR_pos	flgG//sroC//ycgZ//
MelR_neg	betA//gspI//motA//
MelR_pos	yafN//yqjA//uhpT//
MetJ_neg	galT//glmY//nrdH//yaiA//hcaD//glnH//mntS//nikD//flgE//tnaC//pheS//lpxA//tauC//puuD//pheS//
MetR_neg	nadA//sdhC//
MetR_pos	rstA//mngA//fliK//narX//
MhpR_pos	lsrD//flgH//treR//atoB//fhuE//ahpF//
Mlc_neg	dcuR//mdtF//uvrD//pdeH//malT//tfaQ//hybD//cyaR//rcnB//purK//
MlrA_pos	napF//fruB//moaC//fixA//garR//galP//fepD//metI//frdA//fdnI//
MngR_neg	mgrR//pstC//stpA//
MntR_neg	pqiB//lldR//dtpA//dmsB//
MntR_pos	cyoC//
ModE_neg	aceB//nrfF//csrB//sucB//hycI//folE//ccmG//motA//ydfN//agaR//mdtB//higB//idnR//ttdB//zntA//
ModE_pos	yeaR//hyi//malE//talA//ccmD//rcnB//paaE//mtlA//rbsA//ptsG//leuB//wza//fadR//fixA//cysI//yagK//ldtD//seqA//katE//gltB//mngR//tyrP//dctA//hyaA//kdpA//cho//trpD//yjeV//dcuD//accA//metY//
MprA_neg	mngA//fumB//xapA//ppsA//glnD//hyaB//
MqsA_neg	fumB//leuB//motB//pgaC//narI//yjhB//cadC//ydjM//
MraZ_neg	glpQ//mazG//add//purC//dmsC//polA//symE//cspI//nikE//potH//psiE//ppdC//fecE//fadB//flgB//yhdY//chiP//
MtlR_neg	uspD//omrA//ybjN//
MurR_neg	tnaA//lrhA//cueO//
MurR_pos	gspG//
Nac_neg	fadM//fruA//hokE//asnA//trpB//hdeD//ycgR//flgG//cyoC//
Nac_pos	flhC//cysN//astA//hybF//putA//ykgO//cusA//uxuB//recX//nusA//sdhC//srlD//
NadR_neg	paaZ//napD//osmC//copA//
NagC_neg	ebgA//kbaZ//nanS//lsrB//pyrC//purM//lgoR//cysK//ccmD//ssuC//bhsA//ompN//cynT//yjbE//trxC//rutD//arsC//norR//higA//cyoC//nlpA//arsR//ilvC//micF//cysI//phoP//rutC//leuL//tdcG//ulaD//wzzE//ftsZ//atoE//
NagC_pos	tomB//astD//ynjI//
NanR_neg	xylG//pqiA//leuL//fabB//gadY//agaD//ebgC//argA//cyoB//dnaN//
NanR_pos	crp//
NarL_neg	fliN//fecC//tdcD//fliR//exbD//cvpA//gadF//yegR//dgcC//dnaN//rutA//ydiV//motA//fepG//garR//nohA//znuA//agaS//rclB//seqA//ada//sodA//yebE//ompW//ftnA//sufA//moaD//udp//rnpB//yiaM//rimP//iscU//metJ//glxK//mqsA//udp//srlA//sulA//yeiL//flgM//gspL//ycjX//nuoA//ydhY//seqA//narH//rseC//srlD//nuoG//dcuD//wecB//yjbF//tcyJ//uxaC//uvrD//polB//ompW//rpmI//chbC//uxaC//yafN//uvrC//nimR//narJ//recA//malF//phnK//ogt//mgtA//pspG//qseC//argO//gatB//fdnG//dsdX//gutQ//trpL//cbl//lon//fucI//pspE//glpX//aceA//lpd//ribA//uidR//ftsK//
NarL_pos	lsrK//mtlR//gspO//yiaJ//yecR//puuE//rplT//hypB//yhbT//narX//lrhA//hipB//carA//ilvY//ydfH//rimP//yqjI//tehA//dinG//dcuB//add//uvrC//nirB//hcr//osmY//pnp//tdcC//cysB//araF//caiE//rhaA//caiT//hydN//pstA//mtlD//moaC//grxD//rseC//cynS//nupG//xylB//yiaM//melA//
NarP_neg	nikR//trpD//polA//tdcG//adhE//ccmG//mntP//cspE//phnM//chiP//hyfJ//emrY//asr//trpL//fldB//lpxA//amtB//fliL//lamB//purF//phoB//chbF//citX//tfaQ//fabD//mprA//dctA//puuB//lgoR//dicB//fdnI//ybiT//ymgC//
NarP_pos	ybbW//flhE//nfo//yhjC//glpD//ssb//ygbK//nuoI//rffH//glpQ//uidA//yecR//ldtC//fdhF//treC//rutG//pgaB//sucC//mgtA//tsgA//ybhS//cysN//ydcU//phnN//rutA//mhpT//mhpE//metL//appY//nuoK//rplT//ftnA//
NemR_neg	gcvT//slp//rnpB//
NhaR_pos	glyA//glpC//ecpR//yhiM//infB//flgG//guaA//
NikR_neg	mngA//nupG//torA//qseC//ttdT//dctR//
NimR_neg	nrdD//narX//
NorR_neg	aldA//
NorR_pos	ppdB//tauC//
NrdR_neg	dcuB//rutE//tomB//ygiC//dinB//citC//xylR//hybA//citE//
NsrR_neg	yegZ//pncB//zwf//ssuA//codB//baeR//hycG//glpA//trpD//flhC//trpD//yaiW//malP//qseB//ugpA//napB//rpsU//ftnB//phnE_1//cyoA//bamE//rclB//ddpF//ytfE//yjjQ//malF//fliA//purN//argT//moeB//ygiB//ascF//aroF//ddpB//hypB//kdpB//dsrA//csgD//pspE//oppA//ugpA//acnB//metK//fliR//sra//wzb//manX//tomB//udp//hyfF//prpB//creA//mhpF//dtpA//phnH//ybbW//accB//seqA//rhaS//ybaT//flhB//pnuC//phnG//pheM//ttdA//ibaG//fabA//yqhG//pheM//malP//ynfF//inaA//hycH//lgoR//marA//manZ//gabT//dgcC//xylG//osmY//fucP//gspD//malP//
NtrC_neg	fucU//bdcA//kbaZ//napA//ycgZ//puuE//
NtrC_pos	tsr//murE//ydfN//aroF//rimP//alkB//nikD//safA//nuoG//ybbY//trpC//fepG//betB//ygiB//treR//isrC//omrB//rffT//nuoC//araA//tsgA//ptsH//hlyE//moeA//dmsB//metN//argH//lolA//skp//nirD//narG//mhpT//nrdD//dsbG//metY//oppB//rnlB//mgrB//ttdR//yjbE//lsrD//gatB//phoU//ymjD//wrbA//recX//phoH//htpG//nanT//
OmpR_neg	phnH//yfdE//nrfA//mngA//rybA//cysW//fliQ//ygiC//mdtA//betB//ascB//dkgA//
OmpR_pos	casE//ydfE//oxc//nuoF//torR//rpoE//pgaA//sucD//yjbE//tdcF//
OxyR_neg	ddpD//nmpC//mgrB//bhsA//nupG//carB//aroP//nfo//fliH//hypF//mcbA//rhaB//
OxyR_pos	casA//mgtA//norR//phoQ//pspA//ydiV//rseA//mdtF//nuoK//casC//yqaE//glcC//fepG//nanS//arsC//paaA//sutR//manY//narX//nuoI//acrA//tdcD//
PaaX_neg	flhA//aceA//glnP//trpC//glcE//phoE//hyfF//nirD//rffT//ugpE//nfuA//puuA//nrfE//ptrA//
PdeL_pos	sucA//
PdhR_neg	ldtB//paaC//mipA//gloA//slt//prpE//allA//ulaA//rimK//alaC//yjiY//glnH//lyxK//phoE//tolC//yqhD//yhbE//ssuD//dhaM//yegH//fadB//flgG//adiA//gudP//dctR//gntT//trpC//leuB//creC//yiaN//lhgO//alaS//ahpC//yiaO//fixX//nuoK//
PdhR_pos	ygiA//lysR//slt//srlA//yneM//
PepA_neg	rffM//pgaA//araG//
PgrR_neg	cecR//modC//murC//ihfA//wzc//purH//napC//nrfG//
PhoB_neg	slyB//hyaE//hdeA//soxS//aslB//flgL//sroD//fadH//ycjF//dtpA//nikD//ttdB//
PhoB_pos	murE//hybE//ulaA//nagB//slt//xylR//rhaT//fepA//cpxR//yccT//bhsA//ddpX//ppsA//skp//dhaL//ptsG//bglJ//accB//grxD//bglJ//tynA//tpiA//atoA//lgoR//sufS//ytfE//baeS//rhaR//gltF//ubiA//cadB//gspL//erpA//glcF//tyrB//pheT//sufS//fadM//ftsL//ubiC//fliI//yfiR//agaR//ygeH//gadB//ybhR//znuB//htpG//lexA//dps//gntU//argF//mdtA//
PhoP_neg	sgrR//phnO//trpA//alkA//nanT//murI//cadC//umpH//speB//intQ//relB//
PhoP_pos	paaZ//tpiA//gcvA//bdcA//tdcD//tcyJ//appA//cyoA//ulaF//phoH//pgpC//agaI//patD//yqjH//tisB//ydeO//yccA//nuoF//malX//gatC//glnB//yqhG//atoB//fliE//ulaC//tsx//phr//fdnG//yncE//yjbE//entD//hyfB//pheT//umpH//pagP//flu//sfsB//aspA//fucI//tdcD//lacY//sufA//rcnB//fabH//uof//symE//yncE//ydfH//
PrpR_neg	dgcZ//
PrpR_pos	hyfH//cyaR//yafP//fliA//
PspF_neg	phoE//
PspF_pos	rcnB//purR//narI//pheS//phnD//tynA//
PurR_neg	cadA//tsr//inaA//gapA//gpmA//alsA//ibaG//dkgB//nemA//sbcC//entB//ytfE//crr//nmpC//dpiB//mntS//gudX//ydiV//ybhR//pyrD//fbaA//garL//pqiB//micF//rpsU//ydhW//phnH//flhA//ynfH//metR//casC//
PutA_neg	gatB//ydhW//
PuuR_neg	fhuE//trpA//moaD//fliI//yqjH//nuoM//aroF//
QseB_pos	tktB//citX//yjiY//mltF//
RbsR_neg	cirA//pgaD//flhB//purA//yfaE//sufS//fliZ//frc//
RbsR_pos	prpE//
RcdA_neg	grxD//mlrA//
RcdA_pos	rseA//rarA//glnD//uspD//araB//kbaZ//nikE//
RclR_pos	rpiR//yafQ//umuD//
RcnR_neg	marA//asnB//arsC//
RcsAB_neg	srlB//aroM//yqhG//pgaA//ascF//astC//
RcsAB_pos	fixX//glpX//accD//cecR//sufD//hdeD//fecB//gltL//puuD//fepD//
RcsB-BglJ_pos	narI//dapD//murD//ilvY//pheM//grcA//kdpA//ygiZ//lysC//potH//nuoA//dhaR//trpR//fhuF//fiu//csgF//
RcsB_neg	mprA//cysA//
RcsB_pos	nikR//acnA//hycE//thiQ//nrdF//fldB//fabB//fixX//ppiD//agaW//cyoE//ycjX//rhaS//bioD//oxc//murE//rnpB//feoA//argC//nupG//sbmA//agaW//rpsU//
RelB-RelE_neg	caiE//hcaD//yciG//
RelB_neg	cas2//hycB//idnD//
RhaR_pos	paaG//lexA//
RhaS_pos	mhpT//ftsW//cdaR//cysH//ugpA//ihfA//
Rob_neg	gabD//
Rob_pos	yfdV//carA//nrdD//fliG//cadA//ygiZ//flu//tyrR//bglB//uidA//ilvC//polB//prpR//fruB//pnuC//tauD//ybjC//sdhC//flgM//yiaJ//aroM//yiaL//galM//hdeB//emrA//
RstA_neg	lsrC//hyfD//wza//iraM//alsB//
RstA_pos	kdpB//gutQ//leuO//ubiA//cyoB//
RtcR_pos	ydfN//garP//
RutR_neg	ydhX//talA//yqjI//gadE//cyoC//phoR//omrB//nuoK//phnN//entS//sufA//phnE_2//rtcA//fruA//bioB//
RutR_pos	betI//hyi//
SdiA_neg	ftsK//fabB//glgX//
SdiA_pos	ydiU//mazF//phnM//
SgrR_neg	aroP//mhpC//edd//caiF//puuD//
SgrR_pos	pgm//ychF//gudX//flgG//
SlyA_pos	mngB//
SoxR_neg	rbsD//
SoxR_pos	rffM//creB//
SoxS_neg	folE//nuoK//
SoxS_pos	aroH//creD//puuP//moaA//pheS//ddpA//dinB//mazG//potH//casD//hyfE//kbaZ//metN//ybfN//hns//guaA//argG//ddpC//mltF//pgaD//sucD//fliS//hokD//glgB//pncB//xylF//dsdX//rseA//hyfJ//ompT//ddpX//mpl//yjbH//malM//ccmE//citX//add//yeaG//
StpA_neg	umuC//gspC//yhbE//oppC//nrfE//phnP//malZ//
SutR_neg	astC//ddpC//mlrA//codA//nuoJ//
SutR_pos	purL//
TdcA_pos	rprA//yjhB//sulA//melA//pepD//cydC//trxC//
TdcR_pos	hydN//kbaZ//metI//nrfB//rutE//mnmG//yhiD//
TorR_neg	nikB//gatA//recN//
TorR_pos	galE//nuoE//gcvT//fau//gatB//sucA//pheM//ybdZ//nrdF//
TreR_neg	bglB//ulaC//
TrpR_neg	hypF//fadB//phnG//srlA//tehA//malZ//uxuB//ung//hisM//dicB//fecR//murQ//
TyrR_neg	lgoR//srlB//murD//hycH//phnJ//zraS//metL//infB//fumC//nagA//
TyrR_pos	uvrC//melB//yncE//
UhpA_pos	nrdA//
UidR_neg	trpA//kdpC//pgaA//glcF//
UlaR_neg	malF//cyoD//ydhU//murI//lpxC//evgA//phnP//
UvrY_pos	fecD//rnpB//tbpA//cusC//ybiT//
UxuR_neg	dcuR//moaD//flgG//mdtB//hcr//gntU//entA//uidA//isrC//
XapR_pos	ydfN//gntX//
XylR_neg	appY//
XylR_pos	rplU//tyrR//fhuF//ymjC//aceK//recX//
YdeO_neg	nfo//cysW//
YdeO_pos	napH//glcA//hybG//lhgO//iscA//fadJ//csgA//ibaG//nuoB//fucR//glgC//iscR//pitB//fliK//ecpA//ftnA//hyaB//ydeN//ppdC//
YedW_neg	ftsQ//nrfD//znuC//nuoB//nuoI//
YedW_pos	ydiV//pspB//tolC//fliI//fepA//cusR//ybhG//
YefM-YoeB_neg	asnC//sucB//
YefM_neg	tdcE//fadM//
YehT_pos	zwf//
YeiL_pos	pgaD//
YiaJ_neg	dctR//fucA//iscR//dgcC//mhpB//patD//add//frdB//caiT//wecB//
YjjQ_neg	sgrT//nac//phnI//rutD//yfaE//mnmG//ccmC//tbpA//gntK//kdpB//
YpdB_pos	ulaD//
YqhC_pos	rbsC//ulaB//
YqjI_neg	yeaH//citG//
ZntR_pos	hyfD//
ZraR_pos	fhuA//glk//galT//
Zur_neg	fdnH//cysN//dgkA//idnD//nhaR//mtlA//
