#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ompF//allS//
CdaR_pos	ydhX//bhsA//hyfH//uspD//hipB//ssuD//umpH//nfsB//tnaC//rpmI//
CecR_neg	dicC//ahpF//trpD//fbaB//exuT//
ChbR_neg	pspA//gspK//tbpA//recD//asnA//hemL//
ChbR_pos	yhbE//sroA//ycjY//recF//asnB//flhD//
ComR_neg	rstB//
CpxR_neg	fhuF//ompF//yiaL//ydfD//murI//tdcA//dnaN//dsdC//yjiY//dgcZ//csgD//trpR//gloA//mqsA//garL//waaH//yagK//modB//glnQ//citX//mtlD//sufE//eda//csgE//
CpxR_pos	argB//rhaB//dhaL//dmsC//agaD//ydhY//ftsL//cpxR//uidB//glnD//mhpC//asnC//tyrR//artM//cynX//lsrC//pspB//sdhB//yhbE//tehB//cpxP//gpmA//hycH//cusA//yfdX//fliG//yibQ//lon//ymgC//tyrR//ygbA//appX//flgK//cpxQ//cysD//pgm//potH//rbsD//rseC//tsgA//gudX//ecpR//yhdY//pstA//nanC//mntS//
Cra_neg	ulaB//ydfD//rcnA//gadE//hcaR//ygiC//hyfF//ompF//malI//yqjI//mraZ//serA//yafN//betT//ddpA//fucA//ogt//fepD//agaR//ugpA//cdaR//glpT//fucR//potI//yjjQ//deoA//fruA//lolA//uxuR//cheA//ybdZ//potI//rsmH//frdA//fabD//casC//csgA//nrfB//dsbA//hemL//lamB//safA//wzc//puuP//nirC//potF//galM//bdm//infC//alsA//alaC//ybjC//ccmD//cpxA//fadA//aroP//tisB//nac//yegR//
Cra_pos	fhuF//ybaT//agaI//ybfE//psiE//ptsG//accB//ybdN//cysW//glcE//tonB//ybdZ//amtB//yccA//agaW//yhdY//fliD//creC//fadR//garR//dsbC//cysC//dkgA//
CreB_neg	galS//moeA//paaA//
CreB_pos	focA//cysN//
CsgD_neg	motA//rbfA//casC//rutR//galS//rplU//nuoN//murI//sgbH//cheA//citG//luxS//pgaB//grcA//sroC//
CsgD_pos	ydfN//yccT//epd//nagA//cyoD//ubiX//nrdA//ompN//sgrR//araC//lrhA//rpoD//mglB//
CsiR_neg	arsC//citD//potH//recX//crl//
CspA_pos	ygaC//dcuB//
CueR_neg	fhuD//yneM//pspF//mgtA//gyrA//
CueR_pos	cusA//pgaB//
CusR_pos	prs//hdeA//yfdV//edd//gntK//mdtD//cadC//gdhA//trpR//yiaL//talA//hypD//
CynR_neg	mipA//
CynR_pos	cspE//dsrA//araF//
CysB_neg	gltF//sulA//fadI//mgrB//lacY//entH//yccT//
CysB_pos	hcr//rplT//ecnB//glpK//yccJ//nupG//paaC//hcaE//hcaB//yjhB//dnaG//hycF//hyi//rseA//allD//murG//fimE//nuoC//mtlD//yeiL//napD//galK//rseB//cysC//uidB//
CytR_neg	ibaG//gspM//ymgA//cvpA//appA//yiaO//pitB//aroH//nuoJ//glnD//fecE//mhpB//dhaK//
Dan_pos	sodA//napF//galK//pyrD//
DcuR_pos	appB//wecE//mngR//lexA//glnP//flu//appX//rtcA//treC//
DeoR_neg	casD//nuoJ//ftsA//artJ//fruA//relB//
DhaR_neg	nirD//
DhaR_pos	exuT//yhjC//mraY//
DicA_neg	yiaN//yciE//rffC//rstB//mngB//dicB//mepH//phnE_2//
DinJ-YafQ_neg	garP//gspD//glcG//
DnaA_neg	wzxE//dgcZ//ppiD//fecB//argH//yqaE//lrhA//uxaB//yccA//recD//recF//
DnaA_pos	alsC//wza//ynbA//phoH//bdcA//dsbG//sgrT//
DpiA_neg	napH//
DpiA_pos	argT//bglJ//mgtA//ddpA//gpmA//argO//yhcH//agaC//hyaC//psd//
DsdC_neg	poxB//
DsdC_pos	rseA//cysW//
EbgR_neg	paaG//artI//
EnvR_neg	intQ//tsr//
EnvY_pos	appC//nikC//
EvgA_pos	tpiA//patD//bolA//glyA//yqjH//fadL//rtcB//gcl//lamB//nmpC//argD//pspE//dinG//zinT//creA//alsA//ompW//fabD//pstA//
ExuR_neg	paaA//rpoS//rutR//poxB//araJ//mazE//potF//ugpQ//cadB//
FabR_neg	tcyJ//ddpX//
FadR_neg	yfdE//arsR//fecE//xapA//ydbK//hyaC//mgrR//gutM//phnJ//pagP//ynfK//
FadR_pos	rsmH//nuoH//alsC//ung//wcaA//obgE//paaC//ssuE//rpiR//cpxQ//yccT//uvrD//
FeaR_pos	paaJ//rclC//
FhlA_pos	argH//wecC//dapD//iclR//argP//pspE//galK//psiF//yeaH//relB//mraZ//nuoB//tehB//wzxE//sra//allS//hcaE//araH//ccmA//gutM//fliO//nhaR//leuD//uvrC//yrbL//gcvH//sufS//dctA//ldtD//mazE//
FlhDC_neg	glpF//relA//edd//hyaB//
FlhDC_pos	xylF//mazG//ulaC//ppiD//mpaA//rprA//lsrK//yfbR//sgrR//nikE//cadA//gadB//phnF//yhiD//gntX//tbpA//umpH//cynX//fliH//xylH//yaiW//exuT//yfaE//moaC//ybfN//dcuS//fliC//mtr//acrA//hypD//oppD//csgF//sdhB//yoaC//dcuS//nemA//ompW//hyi//tbpA//garP//nirD//nanC//paaB//ynfF//paaK//ppc//rtcA//glxR//yhjA//sodA//xapA//deoB//insK//eno//dacC//uof//glpF//ccmE//ygiC//rutR//feoC//purD//tdcD//hybC//malE//soxR//yccJ//gspI//rclB//atoB//moaA//trpB//gspF//ulaC//ydeP//ecpR//malZ//tauC//
FliZ_neg	tsr//gntX//ynbA//lsrR//glxR//sufC//flu//bdm//umuD//glnH//nfuA//fabB//borD//envC//lldD//nuoI//rtcA//arsR//pspD//phnN//aroG//
FucR_pos	qseB//ndh//nrfG//ebgC//pstB//sufS//paaD//
Fur_neg	glgC//osmY//ulaC//ssb//srlB//rtcB//idnT//dtpA//alaS//lolA//exuR//gutM//ybaT//ycjX//trpD//gatZ//aroG//tauD//murE//ptsG//yfiB//mlrA//cysH//tdcD//hisP//mdtA//emrY//qseB//tauD//bioB//nuoA//sufC//xylH//rpsO//acrZ//ugpQ//araE//ulaA//cadC//ugpC//yjhC//oxc//ydcS//idnO//sgrS//prpD//oppF//purH//intQ//wzzE//rimP//phoP//galK//nuoI//trpC//hycH//skp//dnaG//idnD//ydeP//intQ//dcuB//rplU//acnB//murG//hyaF//kdpC//rpsU//dhaL//malG//csgD//flgM//rseC//puuB//ydeP//lpxA//fabB//hyfB//ybfN//csgC//ppdC//seqA//grcA//fadD//puuD//cysW//qseB//relB//acrA//artM//zntA//argG//lldP//marA//tdcF//csrB//mlc//nupC//ptsI//glgC//mazE//nfsA//arsB//gspK//hisP//lamB//yjbF//fabA//metR//ulaD//puuD//gutQ//hypA//fadM//artQ//
Fur_pos	rsmH//infB//pheS//glpX//stpA//yjbF//mhpD//ttdA//fumB//waaY//glnK//cysP//hyfG//yiiS//trpD//appY//sufD//ydiU//patA//umuD//nuoF//
GadE-RcsB_pos	modB//rcnB//dinJ//ariR//dsbC//cysG//obgE//htpG//add//
GadE_pos	napA//rstA//mglA//fadI//sgrT//focA//cydC//nuoG//glyA//yiaJ//ldtD//kdpC//mioC//nac//phnC//hlyE//tomB//manZ//melR//ompC//agaI//sulA//argH//dapD//treR//aceF//rnpB//gutQ//nrdH//
GadW_neg	nagC//ugpQ//mdtE//citC//ygiZ//sufS//ccmB//nuoE//aspC//dcuR//napB//
GadW_pos	yiaL//ybhG//potG//dsdC//aroP//pspD//deoC//trxC//rpoS//hyaC//udp//
GadX_neg	mprA//cadC//purF//soxS//tcyP//malX//
GadX_pos	hyfB//sroC//garR//mazF//mgrR//mioC//lldR//efeU_1//uxuA//rarA//lpxD//araC//gutQ//ulaG//fucP//murQ//fepE//ycdZ//ppdB//hcaB//ppdA//uspA//rbfA//hycG//acrR//uof//sgrT//
GalR_neg	sufE//slp//tcyJ//gudD//modC//zwf//yciX//csgA//putA//pheS//
GalR_pos	pspA//yfbR//glpQ//mngB//
GalS_neg	cysB//appB//hybG//yhbS//fliC//nac//cadB//ccmF//purD//mglC//
GalS_pos	lysO//znuA//argB//fliI//
GatR_neg	relA//napH//sufD//napH//ycjG//argD//
GcvA_neg	cecR//feoA//flgA//metN//
GcvA_pos	iraP//mngB//grxA//nrfC//
GlcC_neg	pnuC//
GlcC_pos	yccA//flgF//pfkA//mhpF//lsrA//infB//
GlpR_neg	fliH//nanM//mipA//talA//gntX//manX//ecpR//tyrR//oppB//
GlrR_pos	glyA//entH//sgbH//argP//fumC//
GntR_neg	cysH//codB//bglF//mltF//moaD//nagE//nrfC//hipA//fepA//tktB//hdeA//fliR//
GutM_pos	alaS//micF//ubiC//ruvA//creC//nirD//hyfE//
GutR_neg	poxB//rpmA//ycjG//gspE//glnQ//ilvY//fabG//
HU_neg	ompC//glnD//acrZ//artP//nanM//torD//csgA//fruB//
HU_pos	hemH//
HcaR_neg	ygiB//
HcaR_pos	sulA//fliK//pgm//cysP//appC//
HdfR_neg	carB//nupC//
HdfR_pos	fadM//ompF//glcB//
HigA_neg	casB//waaY//
HigB-HigA_neg	rpoS//hcaB//
HipAB_neg	hipA//phnD//pflB//paaX//tdcA//
HipB_neg	leuC//uxaA//fliA//cysB//cyoA//dacC//
HyfR_pos	sfsB//napH//alsE//motB//hisP//sdhA//baeR//cueO//entE//gudD//waaZ//ynjI//
HypT_neg	dnaG//ydjM//dcuB//ppiD//fliO//
HypT_pos	mhpE//glnA//dgcZ//ftsW//fixC//crr//ryhB//pspG//
IclR_neg	cas1//cyoC//sucD//thrS//
IdnR_neg	entD//aroF//
IdnR_pos	caiB//pstC//caiE//argP//yhdZ//
IlvY_neg	lsrD//
IlvY_pos	yafQ//
IscR_neg	nuoL//ygeH//efeU_1//appC//uof//yiaM//omrB//fruB//yhbS//fliI//rcnR//fdhF//ldtD//ydcU//potI//casB//nagB//gudD//sbcC//hydN//norR//
IscR_pos	fdnH//galK//dcuD//wcaB//hha//erpA//tauA//nuoK//rcsA//exuT//oppB//
KdgR_neg	yjbF//atoD//
KdpE_pos	aceF//glcF//cyoA//cusA//
LacI_neg	fecE//kdpC//paaG//
LeuO_neg	nanS//rhaD//fabZ//
LeuO_pos	wecE//araD//napF//dkgB//galR//murQ//metB//dsdX//hybO//tauD//asr//leuA//ydhU//aidB//sgrS//feaR//rffC//yafP//
LexA_neg	yhjC//rpoE//hybE//nimR//gatD//torR//tnaA//ung//pck//rpiB//lrhA//ygeA//fruA//tfaQ//agaC//allS//puuD//paaA//rffC//nagC//srlD//ldtB//fliF//torR//flgH//ssuD//hybE//baeR//potG//narX//tonB//yjiY//katE//pfkA//ddpD//deoA//hyaD//rutG//btuB//pagP//lexA//iclR//fliN//cpxA//kdpC//yhhY//kbaY//hemL//lacY//icd//phr//sucB//znuB//bioC//gltK//yjhC//ytfE//carB//phoU//
LldR_neg	tehB//ompC//cra//
LldR_pos	hslJ//rnpB//torC//
LrhA_neg	malS//acnB//
LrhA_pos	ybjN//metC//
LsrR_neg	yciE//yecT//rimP//cysI//yqjI//hisJ//csgD//nikD//wecE//
LysR_neg	setA//
LysR_pos	yciX//
MalI_neg	nrfB//mhpF//pgpC//
MalT_pos	add//gpmM//paaC//ddpD//fliR//pstC//higB//mprA//ydfD//ykgM//
MarA_neg	nikA//thiQ//erpA//dsdC//pagP//hcaE//nirB//
MarA_pos	acrZ//yccA//asnC//napD//allS//cysW//nfo//mioC//intQ//atoE//cpxR//cyoB//glmY//hisJ//rcnR//nrfD//fabG//mdtD//ydeM//cas1//yciW//garL//yfdX//glpD//moeA//aroP//norV//sroD//glxK//hdeB//grcA//
MarR_neg	dmsB//cysU//ydfH//
MatA_neg	mdtB//hypB//rpsU//purB//hycI//nadA//
MatA_pos	rseC//tktB//
MazE-MazF_neg	deoD//tyrR//cysM//
MazE_neg	ydcU//uof//cyoE//
McbR_neg	fabH//
McbR_pos	ssrS//recB//sulA//
MelR_neg	cysW//frdC//yfdE//
MelR_pos	ascF//hycG//xylR//
MetJ_neg	folA//rplT//agaS//tdcC//gatZ//ymiA//murI//malY//yafP//gspH//cysB//bioD//entD//lpxC//rbsB//
MetR_neg	flgG//gntP//
MetR_pos	fruK//fecI//csgD//tdcG//
MhpR_pos	glnL//alkA//gltK//mhpF//allE//wza//
Mlc_neg	ftsK//pnp//purK//soxS//glnQ//ydiV//glgP//yefM//gspH//oppD//
MlrA_pos	ulaG//katE//yhdZ//fhuA//csrC//feaB//paaG//adiA//rutB//ydhV//
MngR_neg	kdpA//fixA//fucI//
MntR_neg	yoaC//hypA//hypC//gapA//
MntR_pos	artM//
ModE_neg	gspH//csrC//hybA//dcuR//feaB//metE//dkgA//dhaK//micF//ubiC//gatA//ccmG//citC//cysW//hflD//
ModE_pos	ung//flgE//icd//ariR//nuoB//garP//ddlB//gor//dnaG//citE//garL//rutC//yfdV//bacA//rtcB//fabG//erpA//trpL//fucP//tehA//ydeN//lysO//hyaB//chbR//emrB//napF//erpA//pheM//hisP//ssuB//relE//
MprA_neg	fur//ompC//argP//rbsB//agaB//degP//
MqsA_neg	ybhG//argG//obgE//ddlB//glmY//hdeD//serA//osmC//
MraZ_neg	yjhB//glpF//dnaG//hipB//tbpA//glpC//dsdA//galT//araG//nuoK//ugpB//prpB//fliK//xylR//puuP//agaA//malI//
MtlR_neg	ddlB//crl//tdcG//
MurR_neg	rbsC//purL//spy//
MurR_pos	cydC//
Nac_neg	ppdB//glpC//fabG//mngR//dicB//glpD//ssrS//acrB//yaiA//
Nac_pos	cdaR//mtlR//yqjI//recN//tonB//iraM//cynR//glnL//leuL//xapB//yqaE//sfsB//
NadR_neg	gspK//oppA//sdhC//ydbD//
NagC_neg	marA//nuoC//hha//ynfG//dcuB//acrD//nrfB//ftsW//nrfF//hyfF//glcD//gor//pfkA//nagC//dgkA//relA//lsrF//fadD//fucA//bglF//narJ//srlR//uxuR//umpH//purN//aroG//fau//narX//ddpX//accA//astC//flgC//inaA//
NagC_pos	yqhG//chiP//prpE//
NanR_neg	glgX//rpiB//aceA//malM//purM//ydhW//nanT//fhuE//fepD//nikR//
NanR_pos	fadR//
NarL_neg	zraS//cysI//agaC//ynfK//nikD//betI//pyrD//accB//paaC//murD//alsC//envC//nrdH//lsrD//nuoL//artP//rclA//araG//kdpC//gapA//agaD//chbR//creA//cirA//aceA//sbcC//infC//paaG//phoP//ydbD//hipA//gadA//hisM//uvrD//lacA//mepH//paaH//dmsD//mngB//hyfH//soxS//leuO//lacA//hybG//cyoE//garL//evgA//uspE//napB//pck//mgrB//nrdA//ndh//narG//umuD//ssb//fadB//recF//rtcB//fixX//nanT//uspE//ybbY//wecC//decR//sufB//gudX//gadY//tktB//csrB//lpxA//nrdD//ubiC//dpiA//yaiA//metB//ruvB//artJ//tsx//glpD//yqhG//fliE//fucU//hyfH//nrdI//hdeB//tam//
NarL_pos	chbF//nrfE//folE//rclA//hipA//nagA//sbmA//pdhR//accA//waaH//paaC//yidL//wzb//cysM//nrdG//putP//cydB//aspA//ssuA//yjhB//phnJ//ulaE//glyA//appA//malS//fepD//purD//grxA//nrfC//gntX//soxR//sgrT//hlyE//ldtB//ynbD//mtlD//sgbU//acrA//fliE//tonB//ybfN//moaD//agaI//
NarP_neg	ebgA//uidR//ynfH//fadL//dcuD//rnlB//nrdB//mtlD//pstS//puuC//yagK//fhuC//ibaG//araC//xylA//atoD//cynX//dpiB//znuB//paaK//emrA//alsC//recX//hyaC//gudP//ccmE//allA//yciW//gspE//ycgR//yeiB//aceB//ttdR//
NarP_pos	narX//gltJ//tomB//atoB//lysR//purK//glgX//nlpA//hha//cirA//phnG//phoH//aspA//pstA//cusC//nuoL//gadC//gspF//umuD//nirB//ppdC//kbaZ//symE//ugpB//ttdA//argD//hipB//prpD//mltF//nuoN//zraR//malM//
NemR_neg	rffT//manZ//rtcB//
NhaR_pos	sufE//gatY//cysI//wzb//citD//yjbG//allE//
NikR_neg	gcvA//aceE//glpD//malY//metF//gabP//
NimR_neg	serA//yhbS//
NorR_neg	phnL//
NorR_pos	hns//phnE_2//
NrdR_neg	gspH//hisP//yjhB//asr//mgtA//entE//feoA//pnuC//trxC//
NsrR_neg	yqhD//ddpX//fliN//omrB//atoA//ftsW//srlE//srlR//ymgA//ascB//sdhC//ybhS//ftsI//uxaB//ftnB//lldP//trpB//fdnH//ymjD//ddpF//fliJ//sdhD//cirA//csgG//ynfH//lysR//alkB//gatC//cynR//ndh//gltJ//nmpC//rimP//yqjH//narK//deoD//uxuA//rprA//phnE_2//yeiL//fbaA//yqhD//metY//sgrS//oppD//recC//ssrS//yoaC//paaZ//nanM//pheM//argG//nrfF//mraZ//intQ//lldR//asnC//hmp//hydN//rtcB//fumC//nemA//znuB//gloA//tbpA//mtlR//aceK//exuR//hcaR//hyaC//tdcF//fadB//fliK//flgI//mdtF//relB//garK//lldP//lsrK//murQ//fadR//cusB//cynS//
NtrC_neg	fepG//phoA//malK//exbB//nikB//leuA//
NtrC_pos	nupC//gudX//dgkA//ada//nrfF//ecnB//hyfC//hyaF//narH//fabH//ecpA//metF//mcbA//cynS//mdtE//fliC//glnB//puuP//rimK//dsbA//fruA//potI//mhpF//ydiU//ldtD//lrp//focA//ompN//entA//focA//uvrD//argR//grxA//baeR//nimT//rutR//yecT//napC//ttdR//nmpC//fpr//truB//psiF//phnE_1//gpmA//icd//flgD//aldA//bioB//
OmpR_neg	thiQ//gloA//cpxR//degP//mngR//metY//ubiX//cyaR//hyaC//murF//nohA//hyaF//
OmpR_pos	csrB//edd//cysJ//prpC//tdcC//gudP//nagB//bamE//amtB//mlc//
OxyR_neg	rimK//htpG//uspD//hemL//paaI//acrD//casA//lamB//murG//moaB//fepA//gspD//
OxyR_pos	insK//murD//kdpA//rutC//ccmD//yidL//acrR//hycE//ssuE//nrdD//glcG//cpxR//mraY//ddpB//flu//gor//mgrR//betT//dinB//ydhU//fnr//yfbR//
PaaX_neg	fliJ//cydC//lysP//uxaB//phoQ//nikE//mhpA//cynX//ascF//metC//carB//rbsC//fliA//rhaT//
PdeL_pos	ydhX//
PdhR_neg	yciW//marR//ascF//nadB//fliH//ybhF//gatZ//gadB//nuoH//paaA//lolA//ptrA//glgB//nuoC//entF//slt//ynfG//ybhS//aroF//tdcA//ybaS//rimP//uxuR//dnaA//ruvA//mngR//yaiW//hmp//ulaD//hemL//ruvA//uspA//entA//metB//yegH//cpxR//
PdhR_pos	fliM//hmp//sufD//mgtL//ung//
PepA_neg	ttdA//grxD//sdhD//
PgrR_neg	dctA//glgC//fliE//lysP//malM//mgtA//hypF//kdpF//
PhoB_neg	deoC//mazG//zntA//garR//gapA//nfsB//murG//gapA//malM//nagB//rhaB//phnL//
PhoB_pos	motB//fadB//uspA//pspG//lon//molR_1//nanS//lexA//exuR//ydhU//creC//yebE//fliP//acnB//yibQ//purF//cynR//sodB//ydfE//feoB//pstC//csgE//malG//mhpE//yqhG//puuA//cysD//argF//marB//gspJ//betA//ybbW//mipA//dhaK//rimK//hypD//ymjC//pstC//uidC//puuC//gapA//infB//astD//csgE//rcnB//serA//nadB//yncE//glcA//ydcV//ydjM//ilvC//mdh//
PhoP_neg	bdm//deoA//aldA//lsrB//yafN//pagP//mepH//guaB//rutG//yjbH//yfdX//
PhoP_pos	uvrB//moaE//sroD//hycD//puuD//cadB//ilvY//sbcC//xapA//feoA//hcaR//higA//pspG//sgbU//csgD//ssuB//tnaB//phnM//glcG//agaS//yidL//yneM//acrB//pspE//entE//malI//metH//glcG//phr//yeiL//nuoH//purL//moaB//uvrD//moeA//hdeA//rffM//tauA//dicB//atoE//fruK//rutB//hydN//cusR//purL//norW//ssuA//agaS//
PrpR_neg	argC//
PrpR_pos	talA//fiu//bdcA//cra//
PspF_neg	entF//
PspF_pos	artJ//tdcD//allD//pdeL//chbC//argC//
PurR_neg	slyB//adhE//casB//emrA//glgA//mhpF//cbl//metB//hybE//mglC//yiaK//ftnA//fucP//rsmH//sgrS//lysP//dgcZ//nadA//mntS//yebE//hcaD//glxK//gspD//araJ//chbA//phnC//chbF//zraP//entB//hipA//phnC//
PutA_neg	fucA//icd//
PuuR_neg	mdtB//pnp//hycF//narG//rhaR//pqiB//phnM//
QseB_pos	ilvY//relE//seqA//putA//
RbsR_neg	tdcE//yqhD//mioC//ymgA//uxaB//bhsA//spy//rbsD//
RbsR_pos	agaI//
RcdA_neg	caiA//glnK//
RcdA_pos	yiaL//evgS//fepE//acrR//mglA//agaA//dsdX//
RclR_pos	hyaC//rbfA//xylB//
RcnR_neg	rpmI//puuR//pdeL//
RcsAB_neg	moaC//yiaK//glpB//agaV//mdtA//glxR//
RcsAB_pos	aceA//ecpA//hybG//garD//tsgA//ppdB//rhaB//ttdR//metB//fabG//
RcsB-BglJ_pos	purA//yrbL//tyrA//crl//purF//waaH//mazG//entF//gloA//fumB//zraR//frdC//ygbA//cysU//gatZ//flhE//
RcsB_neg	citX//argB//
RcsB_pos	artJ//aceE//yhjA//zinT//hyaE//entE//nagA//nrdH//yoeB//rybA//casB//rtcA//csiD//flgG//hybE//prpE//ugpC//hybD//treC//yeiB//chbC//hokE//ldtB//
RelB-RelE_neg	emrY//flgN//hypA//
RelB_neg	idnR//rarA//aroL//
RhaR_pos	nohA//paaJ//
RhaS_pos	gntT//yjhC//purH//cpxQ//hycG//agaI//
Rob_neg	trpB//
Rob_pos	mhpD//srlR//sgrR//alaS//glcC//grxA//puuC//gspF//ptsG//sgbE//glpX//pdeH//yqjA//pepA//artM//nikC//waaZ//nrfA//galT//tyrB//ahpC//bioB//dpiB//napG//agaR//
RstA_neg	astD//rpoE//cusF//pspA//pfkA//
RstA_pos	fepG//entA//pgpC//dicC//pspA//
RtcR_pos	melB//trpA//
RutR_neg	ybjG//alsA//alaS//mnmG//fumB//mgtA//hyfH//nadA//melR//entE//rpmI//leuD//fabZ//caiF//recF//
RutR_pos	prpR//cysE//
SdiA_neg	iscS//bioB//fhuD//
SdiA_pos	manX//pyrC//cusF//
SgrR_neg	ydiV//cdd//yegH//malK//recC//
SgrR_pos	focB//phoQ//fhlA//tauC//
SlyA_pos	napG//
SoxR_neg	trpC//
SoxR_pos	hyfI//wcaA//
SoxS_neg	gyrA//glnD//
SoxS_pos	cysC//hdeA//mhpE//pepA//osmB//aroG//citC//fucA//ibaG//mdtE//tehA//cyoA//caiC//hyaF//ihfA//ydcS//cusS//fliZ//astA//hycI//acnA//trpL//tdcG//paaE//yhjC//cysM//erpA//cysI//feaB//pspE//cpxP//cysH//narX//puuP//ftsZ//creA//glcG//rcsA//
StpA_neg	oppA//psiE//betB//glpC//trxC//mzrA//cadA//
SutR_neg	ryhB//hmp//phnF//fadM//cspD//
SutR_pos	ddpX//
TdcA_pos	flgE//narH//marR//allC//melR//copA//yidL//
TdcR_pos	wrbA//ymjC//tsx//ssuB//glyA//hyfI//pgk//
TorR_neg	manY//ptsH//torD//
TorR_pos	aidB//mcbA//bioC//osmB//ydiV//hypF//ldtB//rclC//mdtC//
TreR_neg	mhpC//kbaY//
TrpR_neg	aroL//lpxA//gltB//srlB//puuP//xylG//caiD//kdpB//pdeR//norW//flgM//nanC//
TyrR_neg	mtlR//agaR//potF//xylG//rutF//dmsC//envC//degP//pflB//purE//
TyrR_pos	fimE//moaD//hmp//
UhpA_pos	waaY//
UidR_neg	lsrC//fbaA//sgrR//cdd//
UlaR_neg	ribA//ppiA//puuC//murI//glnD//kdpB//yhhY//
UvrY_pos	xylB//yeaG//ulaD//mdtD//speB//
UxuR_neg	ugpQ//murR//puuA//yjbG//ykgO//ssuE//ftnA//fhuE//pyrD//
XapR_pos	csrB//nirB//
XylR_neg	hyfJ//
XylR_pos	folA//narJ//dcuD//dkgB//sutR//rtcA//
YdeO_neg	nanA//arsB//
YdeO_pos	glgA//hcaE//rpoD//pheM//cyaR//hyfA//patA//allD//narJ//phnJ//ydeI//moaE//ftsZ//yiiS//pspB//appA//ftsZ//nrdF//citX//
YedW_neg	iscR//gadX//gadE//allD//deoB//
YedW_pos	hcaB//ascF//bhsA//udp//tbpA//glcF//hcp//
YefM-YoeB_neg	puuR//mntS//
YefM_neg	mipA//katG//
YehT_pos	znuA//
YeiL_pos	cynS//
YiaJ_neg	mcbA//ycjX//lsrK//tyrR//nrdI//ftsL//qseC//murR//ogt//mntP//
YjjQ_neg	ompT//uvrD//rpoE//napA//moaA//gadF//betB//norW//flgK//aldA//
YpdB_pos	rnlA//
YqhC_pos	aidB//flhC//
YqjI_neg	ppc//rplU//
ZntR_pos	gadB//
ZraR_pos	napF//ybjG//nrdD//
Zur_neg	fdnH//codB//ruvB//ygaC//mhpF//malE//
