#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ydbK//ygiZ//
MalT_pos	tehA//guaB//astD//ycjF//feoC//allS//sgrT//puuE//metE//phnN//
MarA_neg	mlrA//lsrC//fabB//sgbU//citG//cytR//eno//
MarA_pos	csgG//ygiB//nrdD//cvpA//phoU//fimE//polB//flu//caiF//cheW//uspA//lldR//yiaN//fepA//yidL//mprA//acrB//fliJ//sbmC//yjbG//metJ//cspI//nuoB//nagA//xylR//rpmA//napC//malF//csgF//betT//mazE//
MarR_neg	rpsU//paaH//sgbU//
MatA_neg	pitB//dcuR//ycjG//psiE//asnB//tsr//
MatA_pos	ssb//nrdB//
MazE-MazF_neg	nanS//ycjY//ddpB//
MazE_neg	ruvB//rffH//csgB//
McbR_neg	mdh//
McbR_pos	rclC//hypE//pck//
MelR_neg	nikE//emrK//kdpA//
MelR_pos	yciG//ttdR//yegZ//
MetJ_neg	phnF//nanS//phnC//cpxA//hyaE//nikB//gltF//mltF//argR//fepE//dhaR//gltJ//nrfF//astE//cusR//
MetR_neg	guaA//araG//
MetR_pos	dgcN//accC//ihfA//hyfR//
MhpR_pos	asnA//ybfE//srlA//zwf//gatB//fruB//
Mlc_neg	fadJ//moaA//nikR//hycF//flgA//dgcN//metL//dapB//mepH//emrA//
MlrA_pos	acrD//ybbW//fucU//yafP//yegH//rutA//cheA//rclB//gntK//tauC//
MngR_neg	seqA//yciW//zraP//
MntR_neg	torA//gnd//yhcH//torD//
MntR_pos	soxR//
ModE_neg	tsx//rob//fliH//trpL//qseB//gspK//ydfE//lolA//fucO//dapD//zinT//csrB//ybbW//inaA//atoA//
ModE_pos	lgoR//frdA//cpxR//manZ//fabI//hyfA//fliD//yhbS//argO//osmC//pspF//mhpT//ilvY//ychF//creA//argH//dsdC//ccmD//yaiW//yccJ//bioC//wzc//tehA//uidC//rpoS//zraP//yegR//psiF//ppiD//argT//lysR//
MprA_neg	pheM//gspJ//ruvA//glgP//glpX//mhpE//
MqsA_neg	paaB//ftsW//yciF//nrfC//sdhD//argD//uspE//paaF//
MraZ_neg	sufC//ttdB//bioB//fadD//argR//yccA//ldtB//ddpC//fecC//safA//mlc//tauD//hypD//ybhL//hdeD//glpX//argB//
MtlR_neg	caiT//sucB//mhpD//
MurR_neg	rstB//rffT//cytR//
MurR_pos	ybhR//
Nac_neg	luxS//tauD//potI//appY//cyoC//iscA//gspF//ydhW//ybhS//
Nac_pos	potG//fliD//astD//ygbK//cysD//phnP//purC//phoH//psd//tehB//purE//tisB//
NadR_neg	xylH//appY//rcnA//rhaR//
NagC_neg	tnaA//bglG//cysU//zraP//caiB//gatB//wzc//htpG//caiF//gspG//metI//nrdA//chbA//rffH//hycG//pgi//appY//astD//yccA//srlE//amn//codA//recF//erpA//rffC//oxc//yhhY//argH//ymiA//rprA//wzb//erpA//glgA//
NagC_pos	aceB//omrB//cyoE//
NanR_neg	rffC//flgM//hybE//waaY//srlD//glcE//tynA//ampC//rbsB//norR//
NanR_pos	ppiD//
NarL_neg	ydfW//dinF//deoD//hycB//ynfE//wzzE//entB//acrR//zraP//mhpT//tomB//aroH//dacC//sutR//pdeL//higB//gatZ//hyfB//fdhF//napA//aceK//pspG//pspB//kdpB//ccmC//btuB//zinT//ppdB//csgD//aslB//cysP//nrfF//inaA//glnK//metQ//spy//aroL//glpF//pstS//ybjG//sroC//fbaB//gapA//phnF//ndh//hybO//srlE//ogt//phoA//rcnA//nrdG//fepC//citC//metN//mnmG//srlE//pgaC//bioB//yegR//dinJ//purA//gatD//argH//iscS//gfcA//stpA//pqiA//lsrK//narL//dhaR//stpA//metL//ydiV//pykF//waaZ//sdhC//uspD//glpD//phnE_2//hycB//dcuB//lysO//gatC//yhbT//mraY//phnJ//uof//
NarL_pos	znuA//flgM//flhD//nirD//cyoD//yccJ//dmsB//fruB//ymiA//ttdB//phoU//fes//flgN//fucU//gspK//sdhA//yqjI//atoD//pspG//isrC//yhbS//malF//gspJ//rhaB//yafP//malT//gltK//yedX//cysU//phoH//ddpB//nuoE//aroG//sroD//pdeR//hcaD//pyrC//ydcS//fdnH//oppB//hcr//yhdZ//artI//
NarP_neg	melB//yfdE//sroD//mtr//gspH//cynT//hyaE//ubiC//pdeH//entC//ymjD//yfiB//ydfE//mqsA//ynfE//moaA//metR//appA//yqaE//dhaR//flgD//pqiB//cyoD//crp//setA//ybhS//xylA//glxK//nrdA//glxK//gadA//mdtB//crr//
NarP_pos	ppiA//astA//adiC//amtB//tnaA//dps//entB//hcaB//hypB//napF//kbaZ//iscS//ybjC//ulaB//ssrS//fdnH//yiaM//cusC//grxD//psiF//yeaG//flgK//glcA//safA//pdeL//prs//gspK//phnD//hyaA//pgaB//argG//narH//
NemR_neg	yebE//napA//uspD//
NhaR_pos	nrfD//purL//lpxD//ruvA//mpl//narG//fliT//
NikR_neg	purE//hyfF//rnlB//gltK//gdhA//allD//
NimR_neg	guaA//nanT//
NorR_neg	leuC//
NorR_pos	hisQ//glpA//
NrdR_neg	entD//uxuB//kdpB//flgJ//aceK//yqhD//fliH//ttdB//codB//
NsrR_neg	artI//bioD//glnH//argP//ccmB//hyfI//polB//tdcE//nanA//nrdG//yciW//paaC//accA//ccmF//moaD//ycjF//mhpA//crp//lrp//ydeN//waaZ//fadA//yoeB//hcaE//rhaD//yncE//fliZ//dtpA//gadX//bioD//fecI//hydN//ycdZ//gltK//nrfD//astD//narH//garR//alsC//glgA//nupG//lysC//rpoS//hybC//norR//deoD//xylG//pstB//araJ//ycgR//glcE//nanM//nuoB//katG//edd//yjeV//yqhG//pspC//marR//moeA//yafQ//lhgO//yegH//glnK//gcvT//fliI//ydhU//rbsK//citC//pspC//uxuA//ybfE//uxaB//phnJ//metE//evgA//trpA//cas2//cynR//slyB//bglB//safA//bioB//
NtrC_neg	cueO//rffH//flgL//astB//ybbW//sulA//
NtrC_pos	araG//emrY//agaI//xylR//hcp//gudP//cydC//waaH//moaB//argP//gspK//gudD//lon//fbaA//iraP//ubiX//nfsB//casE//aslB//rcnA//cpxR//hypE//uidC//appA//glcA//kdpB//tdcA//uxuA//fadJ//cspI//dpiA//hyi//fliQ//slyB//murE//metF//ccmH//ftsK//creC//dsrA//galP//narI//flgF//ynbC//yccT//mtlR//puuR//accD//pitB//
OmpR_neg	uspE//ykgM//sra//alsA//hybC//yhjC//ymjD//dapD//frdC//rffT//torR//moaC//
OmpR_pos	treC//cysB//glcD//ebgA//hyfD//dmsD//cysC//ssuB//sdhA//ttdB//
OxyR_neg	lyxK//fliG//pgk//paaA//ydeM//aceB//garK//gatZ//araH//dnaA//gspM//leuB//
OxyR_pos	lysO//paaC//yeaE//grcA//rutB//fumB//leuL//purE//mglB//pdeH//fliG//hmp//yaiW//iclR//deoA//dgcZ//malT//gadB//arsR//glk//phoH//paaF//
PaaX_neg	ppc//caiF//argD//uvrB//yjhC//ssuE//rhaA//hyaE//lhgO//paaG//bglB//nrfE//glpA//dpiB//
PdeL_pos	umpH//
PdhR_neg	ogt//araH//ddpX//nirB//xapB//citX//malT//sbcD//glcF//wcaA//ssrS//cbl//cas2//feoB//exbB//recN//fhuB//slp//cadA//narH//hdeB//gspL//phnM//hyfF//casD//acrZ//pheS//ppdC//rclC//frc//yjbE//hyaB//ftsI//yiaO//norR//ptsI//
PdhR_pos	phnI//ydfH//yefM//ycdZ//ttdR//
PepA_neg	yhbT//mipA//leuC//
PgrR_neg	cysN//flgH//osmY//tomB//ydeM//eda//glnD//araC//
PhoB_neg	argA//fumC//ccmF//sra//ygiZ//fbaA//yhcH//csiD//creD//dsdC//malZ//flgN//
PhoB_pos	recA//yncE//mhpT//frdD//aldA//atoD//moaB//intQ//fliO//ydhU//dsrA//fepB//argO//symE//nanM//citX//wrbA//tdcG//nanA//osmC//gutM//rutG//tonB//degP//cysD//relE//leuO//gdhA//luxS//dcuR//efeU_1//dmsB//glcA//uxaC//mhpB//fepA//paaD//nagB//srlA//torC//nupG//cysJ//znuB//yhiM//hdeD//yrbL//tfaQ//lgoR//dinG//hipB//asnA//kdpF//mlc//
PhoP_neg	ydcV//relA//baeR//aspA//fecE//ccmB//osmB//ppdB//gcvH//araA//paaJ//
PhoP_pos	flgA//accA//purF//dinI//cysD//fbaB//modC//pgaD//fdhF//yiaO//uvrC//hypF//sra//mdtE//argG//dhaL//hha//bioC//hcaE//gfcA//tonB//csrB//epd//ulaD//casB//entA//ruvB//fliD//rcnB//ygeH//phoQ//fliJ//srlD//trpB//garD//yqjA//poxB//trpC//yjjZ//aceA//mtr//araJ//gspO//sroC//cysK//sufB//ccmA//pyrC//
PrpR_neg	dapB//
PrpR_pos	mhpT//cpxA//metK//relE//
PspF_neg	fadH//
PspF_pos	mqsA//rnlB//srlD//feoA//ssuE//deoA//
PurR_neg	bacA//cydA//molR_1//hisP//trpD//rnlA//artJ//yoeB//ftsI//cyaR//pdeH//dhaR//epd//creD//fadA//aceE//rseC//aspC//sbcC//nrfD//rhaD//hha//glmS//ssuA//csgG//ribA//lrhA//sbmC//nikA//idnO//citF//
PutA_neg	ykgM//purK//
PuuR_neg	stpA//ydhT//wrbA//fbaA//torA//yegH//hcaE//
QseB_pos	wecB//speA//truB//ugpC//
RbsR_neg	nrfG//xylR//dsrA//dinD//paaG//bglJ//sgbE//zraP//
RbsR_pos	phnG//
RcdA_neg	aceA//yegZ//
RcdA_pos	mdtB//sufC//dpiA//gcl//paaF//bioA//manZ//
RclR_pos	agaR//cho//gatZ//
RcnR_neg	narX//insK//fpr//
RcsAB_neg	ssrS//astE//borD//marR//aceB//efeU_1//
RcsAB_pos	narH//dmsA//purL//araD//argR//csgG//dps//ung//bluF//slyB//
RcsB-BglJ_pos	trpE//dnaG//pspE//srlB//exbD//hisQ//ygdB//torC//ubiX//nikC//ssuD//lsrA//nirD//purH//emrB//tcyJ//
RcsB_neg	fiu//galR//
RcsB_pos	cpxR//hflD//pyrD//iscU//tnaA//frdA//hycE//pstS//mqsA//rcnA//truB//hipA//rsmH//ssuE//nrfC//ynbB//idnK//yciE//mhpF//pagP//rdoA//puuA//tdcF//
RelB-RelE_neg	galP//sdhD//yfdX//
RelB_neg	acrB//creA//hipA//
RhaR_pos	atoA//rhaB//
RhaS_pos	pstB//efeU_2//csgB//zraR//hyfD//rffG//
Rob_neg	araC//
Rob_pos	poxB//dpiB//frdB//yjbH//lgoR//udp//aceF//ftsW//rprA//fdhF//agaI//cbl//deoD//fadJ//norR//cho//yecR//ampC//tehB//dmsC//modB//rffT//mzrA//bolA//argA//
RstA_neg	entE//ycjG//pheT//fliS//fdnG//
RstA_pos	moaE//mtlA//glcE//caiC//rbsB//
RtcR_pos	osmY//appY//
RutR_neg	fbaA//baeR//gspD//araE//fliQ//sroC//pstA//purC//metR//narL//tsr//gadW//flgD//codB//yhjA//
RutR_pos	pfkA//dnaG//
SdiA_neg	yafQ//gspF//motA//
SdiA_pos	nagA//ddpF//ydjM//
SgrR_neg	tam//nfuA//rplU//glmS//galK//
SgrR_pos	casB//tpiA//phoH//wzxE//
SlyA_pos	cra//
SoxR_neg	malS//
SoxR_pos	aidB//hisJ//
SoxS_neg	yecT//yeaG//
SoxS_pos	allE//evgA//nrdH//katE//marA//phnM//araD//metF//lacZ//nrfG//uvrD//metN//wcaA//fixB//uxuR//citF//yecT//hyfI//agaI//bdcA//nrfD//rffT//frdA//rutB//tfaQ//hybF//fixB//lacZ//araF//hns//gpmA//dctR//ulaD//cysG//nemR//appX//hisJ//napC//
StpA_neg	dsbA//uvrC//ycjG//yoeB//sufD//torA//fliR//
SutR_neg	rob//hcaB//ynfH//mhpE//prpR//
SutR_pos	yjeV//
TdcA_pos	cheA//oppC//malI//dmsC//yciX//flgK//phnI//
TdcR_pos	yfdX//citF//ruvA//napC//phoE//arsB//exbD//
TorR_neg	ydfN//sbmA//glcA//
TorR_pos	tdcF//tfaQ//oxyS//deoC//rhaB//truB//gatB//ecnB//torD//
TreR_neg	aspC//astA//
TrpR_neg	patD//ndh//yccJ//rutR//narK//dtpA//rplT//ptsG//yjhC//gapA//betT//alsE//
TyrR_neg	zraR//yjbE//mgtA//fliA//entA//rpiR//ptsI//rclB//yegH//evgS//
TyrR_pos	ygiZ//fabH//ymjD//
UhpA_pos	ybaS//
UidR_neg	fnr//appY//ompF//ydfX//
UlaR_neg	yjhC//rbsA//rclA//ulaG//ddpA//cspD//yeaH//
UvrY_pos	leuA//phoA//trpD//omrB//pgk//
UxuR_neg	cynS//leuA//leuC//sucA//ddpA//rutC//sbmA//katE//tauC//
XapR_pos	sgbU//cysU//
XylR_neg	yjjZ//
XylR_pos	flgA//phnN//xylF//gabD//srlB//decR//
YdeO_neg	potF//aceB//
YdeO_pos	wcaB//pgpC//sfsB//degP//nirD//iraM//pstA//murG//metF//paaG//pspF//yebG//gadA//rimK//hemH//treR//yhiD//xylA//dps//
YedW_neg	dinF//bioB//ybbY//hyfB//fumB//
YedW_pos	napD//treB//nrdH//agaA//bioB//uidA//fadL//
YefM-YoeB_neg	modC//recF//
YefM_neg	srlD//ybhS//
YehT_pos	trpL//
YeiL_pos	caiC//
YiaJ_neg	pspB//yhdY//ftsW//ttdR//stpA//fdnG//sdhB//argD//pflB//yfdV//
YjjQ_neg	dgcC//rnlA//wcaA//yegH//garR//ugpB//ubiX//tcyP//cpxA//argD//
YpdB_pos	cydC//
YqhC_pos	crp//entD//
YqjI_neg	gcvP//fdnH//
ZntR_pos	rutE//
ZraR_pos	fpr//leuL//sgbE//
Zur_neg	cydA//tdcG//pspC//nuoM//uspE//gntX//
