#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	guaA//yafP//
FlhDC_pos	torR//astB//uvrD//gabT//csgG//yiiS//recB//metQ//nanK//tyrB//fadA//csgC//efeU_2//paaC//garL//mdh//ynbB//murQ//soxS//melA//paaZ//gadE//fdnH//efeU_1//kbp//pgpC//rhaA//cysU//modB//serA//rnlB//intQ//add//ssrS//frdC//sulA//recF//ydeM//ssrS//cyoB//ompT//uxuA//gltL//chbR//norW//hycE//cytR//narL//ykgO//ascB//nikR//gdhA//astD//nadB//fliS//rstB//atoE//cusR//ygiZ//hisM//purK//oppB//yoaC//cyaR//cpxA//lsrG//rhaT//iscR//moaC//hypD//gntU//pnp//malS//exbD//moaA//cspD//csgB//chbF//
FliZ_neg	ruvB//gloA//lpxD//ygiZ//hcaE//pgpC//icd//sroD//oppD//wecB//ldtD//ptrA//fucO//ybhS//evgA//recN//mhpE//metB//nagC//glnH//cynX//
FucR_pos	fadI//ynbB//dmsA//garD//yhdZ//metJ//adiC//
Fur_neg	arsR//rpoD//argT//leuC//agaR//tdcF//mgtL//gadC//znuC//ahpC//nagC//grcA//sgrS//gpmA//tsx//yiaK//ldtB//gudD//rseC//ygbA//nrdF//dapB//malK//xapB//acnA//ynbD//yhjA//accC//recF//feoA//yfdV//gspO//glnB//hdeD//yjeV//garL//alaC//hisQ//cysU//xapA//wecE//sodA//ydfE//creB//mdtF//paaD//kdpA//ydcT//ahpF//ada//astE//rffM//infC//hypC//lysO//phnC//ldtB//cirA//ccmG//caiF//focA//yafN//fimE//yjhC//insD//paaY//fliA//caiC//phnE_2//btuB//ygiZ//potH//ppdB//creB//yoeB//narK//fliE//phoE//nrfE//ydjM//argG//ccmH//galS//yciE//rpoH//hflD//oxyR//dinF//hcaR//poxB//napD//appA//tauC//ynbC//pnp//uvrD//pspG//tonB//pyrD//ppiD//nikA//araG//metA//yecT//sgbU//paaA//zinT//fecR//phnC//gatC//phnM//alaS//ihfA//pdeH//cysD//
Fur_pos	fadB//tpiA//melB//safA//rhaD//fliZ//glyA//rplT//gatY//glcA//cysE//rtcA//melA//patA//hybF//paaC//intQ//paaK//nhaA//ecpR//gcvB//
GadE-RcsB_pos	fiu//yccA//yfdE//sgbU//rnlA//gfcA//citX//ugpE//ruvA//
GadE_pos	gcvT//nupG//mdtA//garD//bioD//aidB//sodB//ydcS//gadC//araG//glnB//pspA//araB//cyoC//znuC//betI//mscM//puuE//tbpA//dinB//nrdI//torR//fadB//glnL//btuB//omrB//hipA//sucA//feoB//
GadW_neg	uhpT//ppdC//phnH//hybO//pheM//yebG//cynR//ttdT//moeA//aidB//yhdZ//
GadW_pos	rcsA//phoA//gcvP//psiF//nohA//arsR//ftsK//hyfH//rseA//rpsO//hcp//
GadX_neg	citD//putA//aceE//rhaT//sdhD//casE//
GadX_pos	napB//ygiA//mprA//ung//hyi//ykiA//ptsH//moeB//relE//yjjZ//yfbR//exbB//ykgM//flgE//fliG//ydfE//hyaF//ung//rcnB//hybE//frc//pgaD//mqsR//gltL//yefM//ymiA//yhdW//
GalR_neg	agaA//fadE//gapA//metE//omrA//rnlB//lsrR//nhaR//pitB//ygeH//
GalR_pos	metC//fepC//fabD//fbaA//
GalS_neg	sdhA//moaA//gutM//leuD//bdm//phnK//rtcB//ubiX//ynfG//ulaE//
GalS_pos	fdhF//metK//envC//caiB//
GatR_neg	srlB//arsC//ubiA//flgA//yoaG//emrA//
GcvA_neg	yiaO//psiE//cysK//casB//
GcvA_pos	torD//hokD//betI//dmsD//
GlcC_neg	nimR//
GlcC_pos	alaC//ygeA//cusB//cpxP//rhaA//gpmM//
GlpR_neg	gltB//malG//hybC//borD//yeaD//xylA//hyaA//hemH//ulaB//
GlrR_pos	gatZ//umuC//mglA//allE//aroF//
GntR_neg	lsrB//trpE//osmY//fliL//yegH//cysN//bioA//ykiA//yiaK//fadB//hycF//nrfG//
GutM_pos	tdcD//glmY//luxS//ydeP//nemR//ydfN//agaV//
GutR_neg	sucB//srlA//ugpB//uvrC//argI//mipA//mpl//
HU_neg	hisJ//cusA//bioB//glgX//tsgA//recX//oppF//fruB//
HU_pos	kdpB//
HcaR_neg	hha//
HcaR_pos	metR//paaB//yciW//trpE//fecE//
HdfR_neg	moaC//hyaB//
HdfR_pos	cytR//ompT//gyrA//
HigA_neg	purB//cyoD//
HigB-HigA_neg	nanT//cpxR//
HipAB_neg	entS//cysH//yhhY//lysA//bdm//
HipB_neg	malM//asnC//gltB//nagE//cspI//wecB//
HyfR_pos	accD//trpL//gspC//flgA//ttdT//kdpC//lacZ//purR//fliS//fdnH//fdnI//prs//
HypT_neg	pncB//casB//fliA//fucA//sgbU//
HypT_pos	rybB//cadA//gapA//ycgZ//yiaM//araD//entC//mscM//
IclR_neg	evgA//torA//metH//purK//
IdnR_neg	dkgA//mgtL//
IdnR_pos	modB//araE//motA//puuB//phoR//
IlvY_neg	sucA//
IlvY_pos	ydfX//
IscR_neg	rcnR//cyoE//mpl//recX//yoaC//znuA//araJ//yecT//yiaL//hyfB//fimE//ydhX//ftsW//pepA//infB//gatC//ndh//mdtB//yciG//lrp//rplU//
IscR_pos	molR_1//exuT//mntP//prs//csgC//gspF//glnA//ynfH//glxR//pheT//pgaD//
KdgR_neg	yagK//phoE//
KdpE_pos	tauB//mhpC//narL//ydbD//
LacI_neg	psiF//metI//ydfW//
LeuO_neg	lsrG//gadB//ygdB//
LeuO_pos	cirA//yjbG//treR//ptrA//nikE//ygdB//mprA//arsB//cbl//dgcZ//rutD//yhjC//gspJ//napB//ompW//hyfA//yibQ//gapA//
LexA_neg	marB//ppdA//ydfW//sbmC//gltI//lysR//insK//dcuR//ppiA//nrfC//mdtB//dicB//idnR//gyrA//atoB//inaA//gadB//yjbF//ycjX//malK//gor//ebgA//gdhA//cspI//phnO//yncE//alkB//zinT//cdaR//zinT//sutR//yafQ//metE//oppF//dkgB//dtpA//fruA//rpoD//gspH//glpK//srlD//rpsU//flgG//dnaG//lsrC//nfsB//cysI//ycjF//fabH//ybdZ//ebgA//argC//alsA//ecpA//idnT//thiP//fliO//phnD//ycjG//
LldR_neg	yciG//glnG//dicB//
LldR_pos	yeaD//gspJ//betT//
LrhA_neg	ydhT//astD//
LrhA_pos	garL//casC//
LsrR_neg	katE//uspE//fliE//nrfC//tdcE//pspE//zntA//glcF//fadR//
LysR_neg	paaE//
LysR_pos	fabI//
MalI_neg	casE//rpmA//betB//
MalT_pos	pspD//argB//yfdV//cysI//yedX//nikC//hycA//nrfF//sdhC//glgA//
MarA_neg	pitB//uvrA//rutD//bdcA//kbaZ//cas1//gltD//
MarA_pos	fepD//dsrA//potH//ebgC//napH//rbsA//ulaF//casC//purC//gntU//ccmF//ulaG//lsrB//iraP//lrp//ydeI//wzc//fpr//yiiS//gspH//araF//rutE//dcuR//lacZ//phnH//pspB//lsrG//codB//hipB//qseB//cusS//
MarR_neg	flgF//caiC//cysN//
MatA_neg	nuoF//adiA//yeiB//uidB//yiaN//eda//
MatA_pos	hycH//uvrD//
MazE-MazF_neg	ygiA//pspC//nupC//
MazE_neg	aroH//nagB//ftnB//
McbR_neg	mntP//
McbR_pos	paaC//pspE//lsrD//
MelR_neg	nrfF//creB//mgrB//
MelR_pos	paaI//mntS//qseB//
MetJ_neg	narI//sbmC//lsrB//lsrR//spy//torA//truB//hokE//fruA//trpR//ygbA//yegR//argG//carB//znuA//
MetR_neg	metA//cadC//
MetR_pos	flgB//gatY//fhlA//hyi//
MhpR_pos	glgX//astC//flgM//ygeA//malT//mgtL//
Mlc_neg	mraY//paaH//pykF//ampC//wcaB//zntA//nfsB//accA//hdeA//dnaA//
MlrA_pos	trpL//gadX//guaB//fecR//hypF//fliK//metQ//ybhS//gdhA//fepB//
MngR_neg	ftsA//exbD//cyoE//
MntR_neg	tomB//flhB//emrB//ygiA//
MntR_pos	norW//
ModE_neg	ruvB//waaZ//cysB//ulaA//ydbK//aspA//infB//glcB//cho//metB//ahpC//hisP//ugpB//fixA//fhuB//
ModE_pos	gudX//yqhD//prpR//gltK//pitB//tsgA//ftnB//gspG//mazF//fliN//fes//cynR//recF//gatY//ftsK//cydB//hyaB//gltI//glnG//fbaA//nanK//rnpB//astB//oppB//rhaT//cynS//fecR//fecD//ygiA//dgcZ//yciW//
MprA_neg	srlE//mdtF//ecpA//dcuD//dpiA//fucK//
MqsA_neg	ybdZ//mazE//lpxC//ydhT//leuD//tonB//metJ//ynfF//
MraZ_neg	nagC//citX//allB//yeaD//yhjC//rseB//nanC//rseA//nemA//fliM//folA//oxyS//purE//relB//alkB//pqiA//acrB//
MtlR_neg	ydfE//ilvY//ydeN//
MurR_neg	yqjH//gudX//tyrP//
MurR_pos	fepD//
Nac_neg	gcvP//cas1//hycD//cusR//malP//entC//ppiD//bamE//glgP//
Nac_pos	dicB//fadA//hflD//focB//cvpA//metQ//rdoA//mgtL//acrZ//fucA//tauA//ptsG//
NadR_neg	cusR//nrdE//yhjC//iscR//
NagC_neg	patA//pstA//mdh//yqjA//csgF//pqiA//citD//mdtE//fbaA//ttdR//hemH//patD//sufC//dps//crr//sroC//hyaB//rutR//mzrA//yhiM//ybfN//tdcA//baeR//rbsA//emrY//ubiX//ftnB//tsgA//phnN//ttdR//sroD//argB//glxR//
NagC_pos	araE//zraP//casA//
NanR_neg	fpr//srlD//glgB//hcaF//sodA//ynbB//rhaR//hypD//fadE//ttdB//
NanR_pos	melA//
NarL_neg	bioF//rplT//ygbK//mngA//thrS//gntX//ydfD//moaA//dhaK//betA//prpR//srlD//osmY//appX//gutM//dicC//lpd//astB//cyaR//nfsB//dmsA//leuB//araC//ppsA//ariR//ygeA//fixB//fecA//kdpA//hyfF//pspA//ydbD//atoA//tbpA//yjjZ//bglG//ddpX//mzrA//bioF//sgrR//fucP//waaZ//sgrT//fabH//dgkA//araC//iscU//ecpR//casD//cysI//katG//hcaC//lldR//cysM//yfbR//nanS//cpxQ//cytR//udp//malY//garP//prpC//gutQ//cpxQ//alkA//rpoE//pncB//metJ//idnO//dinB//ompT//trpC//yiaL//ftsW//tdcA//cpxQ//osmB//asr//cho//ydfD//paaI//yqjI//mtlR//pspE//ccmH//rstA//hyaE//
NarL_pos	yhdW//creC//argH//nanT//nrfE//feoC//pdeH//yjhB//mcbA//yhbE//yciW//nuoA//mraY//ychF//paaB//cueO//malE//dpiB//feaB//ybbW//dinJ//ydfX//chbA//astA//metK//ddpB//yegH//ykgO//mlrA//tfaQ//lsrC//paaI//gutQ//cysW//mraZ//adiA//csgC//murP//gutM//oppF//araG//yhdZ//paaZ//
NarP_neg	rpiB//cyoC//ccmH//lsrC//pgi//glgB//rbsK//nrdH//phoQ//ygbA//nrfG//caiA//metQ//fabB//nikB//gpmA//nuoF//fabH//pnp//rsmH//ydhW//paaI//yhbT//oxyS//focB//argE//mcbA//oppD//yccT//hycB//lexA//pdeL//pspC//
NarP_pos	pdeR//nrdA//araH//psd//zwf//ydeN//csgE//appY//leuA//puuR//crr//gcvP//gudD//lldP//rbsC//mprA//cysI//ugpE//rimK//bglB//norR//yeaD//nirB//isrC//torD//modA//rhaR//yjhC//glpC//napA//ttdB//yhcH//
NemR_neg	leuD//seqA//cheA//
NhaR_pos	pspB//pspE//ecpA//yjbF//alsB//yhiM//csgD//
NikR_neg	sdhB//narH//tcyP//hcaE//dsdA//ccmA//
NimR_neg	borD//fliA//
NorR_neg	xylB//
NorR_pos	torC//mdtC//
NrdR_neg	nfo//pstC//yjiY//ymjD//ydhV//caiT//yegZ//relA//carA//
NsrR_neg	hisQ//torD//chiP//gadE//torC//tehB//yeaR//napA//hdeB//dicC//oppC//nupG//yoaC//katG//glmS//fbaB//phnJ//sufC//treC//ilvC//manX//rclC//ccmA//glnP//cirA//yagK//purC//dhaK//argH//dpiB//psiE//tdcB//ykiA//sucA//ycdZ//tnaA//ttdT//yafP//ribA//ybaT//atoA//yecR//gyrA//umuC//uxaA//sroD//nadA//rbfA//yfdX//purA//gatY//hokD//hcaF//waaY//yhiD//fabI//pstS//prpE//entB//uxaB//cysN//uspA//gutM//phoP//rhaB//ddpA//srlD//entD//fucA//fepA//rffC//mioC//ybbW//flgH//nuoM//relE//fliL//fucR//amn//ydhW//fliI//rtcA//uxuR//
NtrC_neg	fumB//garD//ulaD//norW//ydeO//fruB//
NtrC_pos	argI//gntX//sbmA//trpA//cheW//casD//ynjI//waaZ//ddlB//ubiC//mgtA//dnaG//glpK//idnK//rutD//paaJ//gadW//nrfC//bioC//flhC//rseC//gadE//nrfA//yccT//csgD//nrfB//tbpA//dinB//bdcA//rseC//yjeV//mhpT//lolA//sufB//flgA//tynA//nrdF//tfaQ//paaG//emrA//exbB//ppc//manZ//malY//mntP//gntK//flgD//dps//yiaM//
OmpR_neg	oxyS//ygeH//mazF//dicB//phnG//tehB//gntK//flgI//phnN//pheS//flgK//yafN//
OmpR_pos	wcaB//deoB//fadI//flu//flgD//ldtD//pgi//hycA//exuT//chbF//
OxyR_neg	fhlA//leuA//mscM//ahpC//qseC//flgE//flgE//lon//araD//dmsC//potH//hyaB//
OxyR_pos	tktB//glgA//thiP//wrbA//grcA//uvrB//csgE//rplU//puuA//fliK//agaC//murP//ykgO//nrdA//malX//gabT//molR_1//alaC//mglA//pstB//cusC//bluF//
PaaX_neg	yafN//aceE//casC//yjbE//ynfK//umuC//hisP//gadC//nrdD//leuA//nikC//fabH//ftnB//accD//
PdeL_pos	araA//
PdhR_neg	exuT//yccT//fepG//fdnH//nrdH//paaB//nanK//htpG//emrA//glnA//metJ//rtcA//mhpA//dsdX//phoA//yeaH//ybaS//yebE//stpA//narX//rpoD//ybaS//fimB//rclA//malF//malM//yhhY//lrhA//mtlD//fliN//pepD//gloA//thiQ//bioD//hyfH//tsr//
PdhR_pos	ldtC//chbC//gdhA//fixX//garL//
PepA_neg	frdD//glk//cusR//
PgrR_neg	dmsB//astE//nuoC//yiaO//sufB//yegR//ftsA//tdcE//
PhoB_neg	ybdZ//tehB//ygeH//rybB//ygiB//mdtF//accC//rstB//nadB//cysN//deoD//bioC//
PhoB_pos	nrfF//focA//sdhB//bluF//ydbK//lacA//hmp//yafN//ybfE//flgB//aroG//cysJ//murR//dnaA//ebgA//ydhY//cynX//fhlA//feoB//ldtD//yhcH//tdcG//folE//mqsA//sucA//araH//flgH//hokD//purE//tnaB//rcsA//sucA//rseC//murR//yibQ//rpsO//pstA//potH//nuoF//fadA//nanA//fumB//malY//skp//hcaE//ftsA//nikA//napD//aroG//idnT//ydfW//soxS//yhjC//
PhoP_neg	ppiD//entS//tyrB//yhhY//inaA//nrfB//puuA//pgk//cyoB//kbaY//treR//
PhoP_pos	nagB//ulaE//gatC//yeiL//sbmA//hipA//nanM//ebgA//fliM//yecR//sdhA//yfiR//paaD//tfaQ//puuP//yhdX//fecA//yqjI//guaA//purH//tnaA//mscM//yoaC//sufD//fhuB//hypB//aroF//lon//glnG//tadA//hokD//iscR//glgC//fdhF//fadD//lysR//araH//sodB//yhbS//malP//mglA//hcaB//puuR//rutG//ibaG//purM//yidQ//fecE//
PrpR_neg	phoR//
PrpR_pos	oppF//ydhV//lacA//mglC//
PspF_neg	cpxP//
PspF_pos	ynfE//napH//gadF//soxS//nfo//rffG//
PurR_neg	glnP//ascB//polA//iclR//hyaD//gadA//tomB//tbpA//flgH//srlD//ybiT//rplU//fadI//rhaA//gltI//hyfE//mcbA//dsrA//tpiA//lysO//ccmD//uof//infC//ccmF//slp//hyaE//ubiX//flhA//rtcA//ugpQ//pstB//
PutA_neg	nuoA//alsE//
PuuR_neg	hycI//ydcV//kdpF//nikE//recD//nhaA//tdcA//
QseB_pos	ydeM//cecR//nanE//malS//
RbsR_neg	araG//argO//fadD//metL//yccT//leuB//yhhY//pncB//
RbsR_pos	mdh//
RcdA_neg	dmsA//yhbE//
RcdA_pos	flgE//dinD//yfdV//yccA//nhaA//pgaD//srlR//
RclR_pos	purL//hisM//glnA//
RcnR_neg	sucD//ykgO//wcaA//
RcsAB_neg	yfdV//sdhC//sufD//crl//csgD//wcaB//
RcsAB_pos	ccmD//uxuA//arsB//ssuD//pstC//rpiR//degP//emrB//allE//tnaB//
RcsB-BglJ_pos	potI//gabD//csgA//fhuA//csgE//rpmA//rbsK//sdhA//nuoH//yecT//garL//yhdX//prpB//araG//ybfN//folA//
RcsB_neg	kdpB//fdnH//
RcsB_pos	sroA//fldA//caiT//paaX//ompC//lysP//fabB//potF//aroM//idnO//agaB//cueO//yccA//borD//pspC//nrdB//rhaT//ydcS//isrC//fecB//allB//fnr//yciF//
RelB-RelE_neg	ynfF//flgK//flgM//
RelB_neg	amtB//dapB//accD//
RhaR_pos	paaA//kdpF//
RhaS_pos	ydbK//gcl//pstC//hypA//dpiA//luxS//
Rob_neg	adiC//
Rob_pos	araF//adiC//hha//yhjA//cysP//osmY//lysA//nagB//xylR//dicB//mhpF//casC//malF//gspJ//thiQ//emrB//idnR//ccmB//nrfE//rcnR//yciE//cysB//dinJ//malZ//csrB//
RstA_neg	ynfK//yciF//modA//rpiR//uhpT//
RstA_pos	ftsK//lacZ//purN//nuoM//glpD//
RtcR_pos	entC//rhaS//
RutR_neg	hokD//hipB//casE//hycB//dgcZ//znuB//oppF//mlrA//pgaB//caiF//hycI//asnC//fixB//napB//yiaJ//
RutR_pos	arsB//phnG//
SdiA_neg	galR//rclC//yhiM//
SdiA_pos	wzb//hybA//nfo//
SgrR_neg	rstA//ygeH//murI//glpB//nirC//
SgrR_pos	nikR//rpsO//sgbE//gutQ//
SlyA_pos	oxc//
SoxR_neg	ftsQ//
SoxR_pos	ydiU//xapB//
SoxS_neg	purD//lysP//
SoxS_pos	gadB//yciF//hcaE//rutE//metR//ftsA//pepA//hlyE//cydA//xapB//metR//ybhL//treC//omrB//araA//guaB//nimT//aroP//yfiR//mgtA//hlyE//ychF//yqhG//tdcA//yidL//potG//dpiB//chbC//fliO//acnA//rffM//flgJ//ilvC//cynX//yegZ//fabG//ykiA//sufA//
StpA_neg	cra//ndh//ssrS//aspC//nuoM//yciF//fumC//
SutR_neg	mipA//galE//gntP//napD//pstB//
SutR_pos	dinD//
TdcA_pos	polA//phnN//isrC//leuB//tisB//wza//cysM//
TdcR_pos	dsdC//ydcS//ahpC//marB//cpxR//yhiD//gspO//
TorR_neg	iscA//rpmA//ugpE//
TorR_pos	yfaE//glcC//arsB//garK//tdcC//ybfE//nrfE//lsrA//puuA//
TreR_neg	phoB//leuD//
TrpR_neg	emrB//metN//hyfJ//gntT//bolA//flhA//gutQ//alsA//bluF//copA//yqjA//hyfE//
TyrR_neg	lexA//araD//pgaB//xylH//araH//purK//dcuA//hyfE//soxS//cusB//
TyrR_pos	mntP//soxS//mpl//
UhpA_pos	katE//
UidR_neg	wecE//astC//gntP//glgA//
UlaR_neg	yoaG//yiaJ//mtlD//ydeP//tauA//nuoL//cspE//
UvrY_pos	cadB//yciX//glyA//ycgR//artI//
UxuR_neg	degP//cydD//glcB//yqaE//umpH//hlyE//ssrS//betT//feoA//
XapR_pos	ssb//tyrP//
XylR_neg	nikA//
XylR_pos	narJ//ttdT//purH//dnaA//dhaR//wrbA//
YdeO_neg	nrfB//cysN//
YdeO_pos	garR//cydB//ydfD//trxC//hisM//aspC//yeiL//yjeV//murI//ydcU//bolA//araD//ulaF//cysG//osmY//yaiA//kdpA//hns//phnC//
YedW_neg	rutC//potF//udp//fecB//galT//
YedW_pos	leuA//cydD//fbaB//glpA//appC//pqiA//fimE//
YefM-YoeB_neg	cysU//gor//
YefM_neg	bamE//fecA//
YehT_pos	hyaD//
YeiL_pos	yegH//
YiaJ_neg	umuD//hypE//flgL//rstB//potI//glxK//ebgC//mhpA//glpC//chbR//
YjjQ_neg	nagA//cusB//csrB//paaB//deoA//nrdH//gadE//yhdY//nanK//yedX//
YpdB_pos	rhaS//
YqhC_pos	pgaD//cvpA//
YqjI_neg	phoA//cysP//
ZntR_pos	nemA//
ZraR_pos	hha//tdcA//mtr//
Zur_neg	pspA//yqjA//cheW//ddpF//asnA//ygeA//
