#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	asnB//moaD//
Cra_neg	ybaS//csrB//lysR//mcbA//nimT//relA//nuoL//yecT//nirD//aspA//metC//dinJ//nac//wzyE//guaB//aspC//rutB//betA//ascF//flgL//rplU//ddpA//speA//fhuB//idnK//sufA//galT//metA//metJ//napA//xylH//symE//mlrA//oppD//sgrT//fecA//gspC//ydhT//ymjD//hybA//ydbK//rseC//ybbY//gatB//glgB//sgbE//yefM//ybaS//polA//pncB//casE//glcG//metQ//yiaO//puuR//ydhU//araE//csgG//ruvB//
Cra_pos	hybA//yjbE//garL//sgrS//mpl//asr//fliT//caiE//glnK//fadR//purL//paaC//lsrB//dcuA//phnI//glnB//fumB//rnlA//nfo//tyrB//ebgC//nanS//hcaE//
CreB_neg	dmsD//idnK//argH//
CreB_pos	moaD//lsrF//
CsgD_neg	ynfG//ybhL//murE//ynjI//znuA//fhuA//bdcA//entA//hyfF//ftnB//glpQ//phr//nuoF//gadW//aidB//
CsgD_pos	iraP//fliA//aroF//hybD//malF//leuA//evgA//rcsA//creA//sodB//rutE//hcr//dpiA//
CsiR_neg	cpxA//yoaC//acrR//fliH//slyB//
CspA_pos	nhaR//aceE//
CueR_neg	luxS//potF//dgcC//fliG//fepE//
CueR_pos	fliZ//xylA//
CusR_pos	csgB//emrY//mngA//ycjG//mgtL//agaB//ygeA//nfo//yoaC//hycD//nlpA//ccmE//
CynR_neg	fimB//
CynR_pos	aldA//dapD//srlA//
CysB_neg	ampC//aidB//ompN//recB//bioB//fliL//pitB//
CysB_pos	sufS//hyaB//malE//fldB//paaJ//nrfE//allB//gltF//argI//uof//asnB//pspA//lamB//sufE//yccJ//bglG//tcyJ//nagA//fadD//xylH//mntH//flhB//fhlA//ygbA//napB//
CytR_neg	lysP//oppD//mlrA//hslJ//yeiL//tdcG//pfkA//acnA//gatA//ppsA//metL//yafN//iscS//
Dan_pos	rpoD//rseC//pgaB//pepD//
DcuR_pos	dcuA//hns//ftsL//rfe//lon//yccT//fliQ//allD//srlR//
DeoR_neg	cas1//paaF//rcnA//caiD//slp//phoH//
DhaR_neg	hdeB//
DhaR_pos	ftsZ//fepD//leuD//
DicA_neg	ydcS//fadR//pgaB//rffH//lolA//cysN//gspL//potI//
DinJ-YafQ_neg	acrD//skp//fucA//
DnaA_neg	fecD//fdnI//nanE//fliR//grcA//fepA//tdcE//phnE_2//uxaA//norV//yqaE//
DnaA_pos	fimB//flgJ//cusB//phoB//fixB//ssuE//dhaL//
DpiA_neg	ulaA//
DpiA_pos	focA//argE//casE//paaE//aceA//kdpB//ybjC//lrhA//artI//yqjI//
DsdC_neg	fliS//
DsdC_pos	rstA//hybE//
EbgR_neg	nuoG//ydhU//
EnvR_neg	psiF//spy//
EnvY_pos	cadC//ymjD//
EvgA_pos	yefM//cysU//ybfE//tfaQ//ilvY//csgF//mqsA//csgF//gyrA//borD//ptsG//ydfN//dsdC//hdeA//phoH//nanA//hcaF//uxaA//mgrB//
ExuR_neg	tdcC//mtlD//flhA//glcA//zraP//oxc//fepG//zntA//fecI//
FabR_neg	adiA//casE//
FadR_neg	malF//rstB//recN//nfsA//araE//garP//cydA//sgrS//fliI//gudX//nanA//
FadR_pos	allA//fadI//sroC//frdD//deoB//gatA//fes//cysU//hcaC//cyoA//fliM//serA//
FeaR_pos	ybfN//fixA//
FhlA_pos	entB//cecR//betT//ybbY//glcD//torR//zraP//gutM//dinQ//atoE//hycD//pstC//nupG//nimT//lexA//alkB//fadJ//ymgA//nikB//ycjY//yoeB//uidC//fliH//yfdE//acrB//ycjY//hypB//rpoS//fbaB//caiC//
FlhDC_neg	phnI//recX//dmsA//lpxD//
FlhDC_pos	murG//oxyR//ftsL//treB//puuP//entH//ahpF//ydfD//yhjC//rffG//hybD//relB//csgE//gor//pnp//gcvB//mqsR//nikA//ygeH//nanC//yafQ//gpmA//nagB//glcB//hisP//sgrT//dapB//ddlB//hypF//phoQ//alsB//malZ//gspI//yecR//nikA//puuA//bioC//acnA//phnN//rpoS//hyfI//glcG//pheT//cadA//ydiU//tnaA//hybF//glk//ygiZ//ydjM//creA//nuoK//lexA//yjbE//pqiB//metB//gatA//marB//lrp//cpxQ//yjjQ//bioA//ppdA//fiu//phnH//hycE//nuoE//puuC//glnK//rybB//wecB//tfaQ//osmB//dmsD//symE//uxuB//cusB//idnR//
FliZ_neg	phnJ//agaD//rdoA//uspD//hypD//uvrC//wcaB//dnaA//bglJ//caiC//agaS//ydbD//nuoJ//phnE_2//dkgA//gntT//cadA//prs//phnC//nanA//yhbT//
FucR_pos	alsE//yrbL//phoU//hmp//rnpB//rseB//ddpB//
Fur_neg	katE//csgC//bdm//nmpC//fabG//ugpA//fucR//ygdB//yjbH//moaB//xylB//iscU//nrdH//recX//cadB//ppc//ulaB//sutR//wecE//ygaC//asnC//rbfA//malQ//modB//sdhA//sbmC//dicB//alkB//flgI//fecD//fepG//paaJ//skp//ydfH//adiA//iraP//rplU//mntH//galR//nrdE//yciF//yjbH//xylB//kbaZ//malE//glmU//lysC//zraS//mdtB//glcF//nrdI//guaB//argB//ampC//mhpB//entH//phoQ//ybhL//cydC//nfuA//exbB//cecR//ulaC//mdtC//asr//nemA//mhpF//phoU//yiiS//rhaD//ydfH//fadR//metK//yeaH//cynS//yqhG//ung//pspF//bioA//glcA//osmC//kdpA//acrB//puuR//slp//phnI//ykgO//araA//tam//cirA//gltJ//tdcG//xylF//ddlB//uidR//yccT//yiaL//ycjF//iscA//hycE//feoC//murC//ycgR//ynfK//fumC//cysW//sodA//gapA//phoQ//ptsI//mgtA//pspA//norW//ygbK//dtpA//
Fur_pos	fecE//betT//nuoC//mepH//yneM//paaH//ycgZ//argC//caiF//dsbA//lsrD//sodA//xylR//purK//cusS//ymjD//dinF//cirA//htpG//nfuA//xylF//
GadE-RcsB_pos	bglB//fepB//moaA//pqiA//yqhG//phnO//araG//malX//murR//
GadE_pos	tbpA//pflB//gatB//flu//rimK//artP//allC//fecE//ydhX//cynR//phoP//tdcC//araD//tomB//hypA//araH//pncB//galM//prs//hipA//malY//purB//fepA//rcnB//lldP//uxaA//recN//cspD//uxuA//
GadW_neg	dinJ//mepH//galP//pstS//yhiM//ybbW//rpoS//cra//cas2//ybdZ//phoU//
GadW_pos	ccmB//lacY//malZ//fhuB//fumC//znuC//ulaC//metB//rplT//recA//rpmA//
GadX_neg	bioF//fdnG//ytfE//hcp//ydhW//gltI//
GadX_pos	ytfE//cusF//flgG//lolA//phnI//mlc//soxS//ubiX//agaS//ybdZ//cusA//fliK//acnB//wzyE//fnr//cusB//mpl//ebgA//oxyR//gspM//nimT//dctA//fur//ynjI//aroH//hokD//ccmA//
GalR_neg	acrD//iraM//emrK//alkA//uvrA//ymjD//tktB//accB//ogt//tnaC//
GalR_pos	cysJ//cysH//gatZ//cheA//
GalS_neg	add//evgA//nagC//cynS//dcuR//pyrD//potG//gltL//fabI//hyaB//
GalS_pos	lsrR//yiaM//gcvH//nrfF//
GatR_neg	puuC//cyoE//uidC//infB//hybA//hycE//
GcvA_neg	nuoN//torR//araD//symE//
GcvA_pos	allA//ahpF//modA//icd//
GlcC_neg	nimR//
GlcC_pos	nikE//fadM//phoP//ugpB//xylB//trxC//
GlpR_neg	araG//fucK//citX//sucC//csgC//malT//moeB//lsrC//cirA//
GlrR_pos	cysI//hycD//cyoC//ppdB//oppA//
GntR_neg	yiaK//sbmA//gcvA//alsE//nagE//mscM//gadA//slyB//skp//trxC//hyaE//phnG//
GutM_pos	wcaB//aroG//purM//fruA//gudP//cysP//sucD//
GutR_neg	yebE//dnaN//baeS//emrY//phnO//glcG//argF//
HU_neg	fadL//atoA//dmsB//uhpT//nhaR//mtlA//murQ//dmsD//
HU_pos	nrdA//
HcaR_neg	ydeI//
HcaR_pos	gatC//moaB//ahpC//fhuD//kbp//
HdfR_neg	ycjY//exbB//
HdfR_pos	ygiB//hyfF//agaS//
HigA_neg	relA//dpiB//
HigB-HigA_neg	flgN//napH//
HipAB_neg	hslJ//xapA//fliR//phr//allC//
HipB_neg	glxR//lldD//kdpB//nikE//hdeD//yeaE//
HyfR_pos	phnK//metQ//cusS//uxaB//melR//luxS//yciG//rnlB//yhdZ//yoaG//galR//ndh//
HypT_neg	allD//ychF//hns//putP//aroG//
HypT_pos	paaC//nhaR//ppiD//purK//ycjF//dcuB//glcA//marA//
IclR_neg	rprA//lldP//ibaG//malE//
IdnR_neg	nuoI//rpiR//
IdnR_pos	rhaR//mqsA//wecC//pgi//rseB//
IlvY_neg	cadB//
IlvY_pos	metH//
IscR_neg	mpl//phoQ//bglJ//nrdA//dicC//gadB//feaR//rbsD//yqhG//pflB//yfiR//gadF//dinI//garR//nikA//gspK//frdC//flgC//yecT//mtlA//ldtC//
IscR_pos	ubiC//pgaB//truB//nohA//dkgA//paaA//fucO//ddpF//yjbH//lsrA//yhbE//
KdgR_neg	hcaD//amtB//
KdpE_pos	ymiA//flgM//nanE//iscU//
LacI_neg	crl//hslJ//rpiR//
LeuO_neg	ychF//galK//malE//
LeuO_pos	purN//glgB//paaE//cysJ//narX//fliM//rpmA//borD//ymjC//ybdZ//fixX//hisM//iscA//baeS//mipA//waaZ//amn//gspL//
LexA_neg	chiP//rfe//pspF//dmsB//rhaT//malF//agaC//iraP//agaC//puuC//lysC//mdtA//metI//entA//citF//tktB//ugpC//thiQ//ttdB//nuoK//grxD//sufS//polA//sucB//gor//ybfN//bluF//argC//purE//ecpA//flhB//yciE//hcaB//yhdW//envC//mhpC//rybB//fucP//fepA//agaR//astD//phoH//zraR//phnI//pepA//glpD//rplU//nusA//ddpD//flgC//metI//hyfD//garP//nirC//rtcB//yrbL//bglB//sufS//ssuE//
LldR_neg	ulaG//idnT//tnaA//
LldR_pos	dmsB//ibaG//mglB//
LrhA_neg	dapD//dgkA//
LrhA_pos	tauB//nuoI//
LsrR_neg	fliL//rstB//pspB//cspE//pgaD//pqiB//fliD//betT//glnQ//
LysR_neg	guaB//
LysR_pos	phnK//
MalI_neg	exbD//hypD//flgJ//
MalT_pos	argA//hydN//ahpC//nrfC//waaY//nanS//polA//dsbG//mgtA//napB//
MarA_neg	hycF//paaZ//puuB//fadJ//phnM//cdd//pqiA//
MarA_pos	accC//flgI//moeB//yafO//omrA//ccmF//ykgM//dcuR//yeaD//cysE//dgkA//marA//recN//entF//mnmG//cspI//feaB//ykgM//srlD//nagC//fadI//hisQ//murP//patA//yjbG//hslJ//nikD//gcvH//galS//pdeR//ccmG//
MarR_neg	focA//stpA//rcnA//
MatA_neg	dsrA//dhaK//tbpA//cynS//phnJ//gspI//
MatA_pos	ruvA//purN//
MazE-MazF_neg	nfo//entF//cytR//
MazE_neg	flgJ//kdpB//rcsA//
McbR_neg	nuoL//
McbR_pos	mlc//fecB//rutC//
MelR_neg	aroP//fruB//deoA//
MelR_pos	purK//pepD//csgE//
MetJ_neg	exuT//speB//yafN//xylH//mioC//cysJ//agaB//csiD//fdnH//yjjQ//fucO//fepG//bglG//wzyE//potH//
MetR_neg	yhdY//nrdH//
MetR_pos	tyrR//pgpC//ybhL//ubiA//
MhpR_pos	dsdX//dmsB//codA//csiD//tfaQ//malE//
Mlc_neg	phoP//phnK//hybB//recC//dmsC//mlrA//flgA//hcp//malF//appY//
MlrA_pos	rimP//sgrR//cysW//ygeH//yjjQ//feaR//nusA//mgtL//bacA//lldR//
MngR_neg	nrfA//nusA//mntH//
MntR_neg	araE//galE//pgaC//torC//
MntR_pos	modA//
ModE_neg	recC//nuoG//uxuR//aceF//yidL//metN//yfdV//yjhC//hlyE//yciW//puuA//acrA//cydB//nuoE//cusS//
ModE_pos	ecpA//mglC//nuoA//motA//hyfR//csgF//iclR//csgE//fadL//ytfE//metH//yjiY//pnp//ulaE//narJ//argH//hns//glpC//phr//nuoE//mgrB//glcA//rpoD//yibQ//fadI//phnO//yiiS//ftnA//mipA//glcC//appX//
MprA_neg	potI//gcvB//ygeH//nlpA//osmB//rutE//
MqsA_neg	hyaC//hypF//dmsB//yjjZ//ptsG//nagE//dinB//paaA//
MraZ_neg	kbaY//astA//ilvC//moaD//gspM//sroA//fixA//nuoE//iscS//ynfG//cusR//nrdH//dsbG//aroL//srlE//gdhA//chbR//
MtlR_neg	oppA//agaR//nikR//
MurR_neg	rbsA//kdpC//pepD//
MurR_pos	purA//
Nac_neg	znuC//argF//napH//argR//fhlA//gcvA//mhpE//recC//pspB//
Nac_pos	narH//glcC//leuO//rbsD//glpB//hybC//ycjF//yeiB//leuC//sufA//paaE//ycgZ//
NadR_neg	ssuB//speB//crp//ompF//
NagC_neg	gatB//sgbH//mpaA//tdcA//glgB//intQ//ugpA//cbl//gutQ//ssrS//nrdA//marB//hybC//betA//iscA//lsrF//aroL//csgB//ydhV//amtB//modA//cusR//mzrA//potH//caiF//lysC//glk//codA//ydiU//rob//astD//iscU//idnK//
NagC_pos	rtcA//mngA//ompT//
NanR_neg	crr//cpxQ//gspH//ynfG//ssuD//yfiR//rbsD//hokD//recN//astD//
NanR_pos	creD//
NarL_neg	artQ//nikE//ulaF//fliH//ptrA//mtlR//phoE//mdtA//mhpT//mngR//casE//araD//ydfN//xylA//nimR//xylA//emrK//ydeI//fixC//nhaR//htpG//dps//ulaE//rpmA//pgaC//nrdD//ogt//cysW//fruB//uxaC//nuoE//setA//creD//rbfA//alsA//rffT//symE//paaA//nupC//hybC//pspB//argB//marR//tyrR//yjjQ//deoD//znuC//nuoA//edd//hcaB//tauA//ddlB//skp//bglG//hyaF//ybjG//hycA//fliI//purM//dhaM//fepB//rbfA//ydiV//dapD//yidL//betT//katE//flu//frc//chbF//gltB//intQ//accD//glyA//nhaR//ddpB//rplT//yjbH//argD//recF//agaB//ppdA//phnK//mlrA//lsrB//exbD//pepD//
NarL_pos	metF//nuoJ//pck//glxR//mhpF//dhaR//carA//mtlR//caiF//rffC//uvrY//rtcB//dsdX//yqaE//cas1//ydcU//iscA//chbB//napA//hyfC//efeU_1//fecD//acrA//cydA//dcuB//bluF//frc//tnaC//tisB//moaA//fixB//nfsA//malK//lamB//infC//aceB//degP//nikC//oppF//puuE//ybdN//gspC//pnp//
NarP_neg	ymiA//dgcZ//sroD//gcvH//fumB//oppB//gabD//ddpA//emrY//osmC//purC//dpiA//yqjI//ilvC//hcr//garP//fabA//malP//yhiM//hdeA//ydhU//rbfA//sbcD//gntX//fpr//cysB//garR//ppc//adiA//lon//sbmA//osmB//uxaA//
NarP_pos	dicB//dcuB//icd//gspJ//glnG//ppc//fnr//infC//ycjG//uxaB//ppiA//puuD//ydbK//waaH//hyfF//lldR//fliN//hcaF//ymjC//yhcH//fiu//oppC//bglG//ycdZ//potG//gutM//dhaL//gutM//yhjX//glgC//ssuC//ftsK//
NemR_neg	yiaN//ftsA//intQ//
NhaR_pos	yjbG//murE//fucA//appB//fadM//sgbU//iclR//
NikR_neg	purN//ssuA//lsrK//nagC//cysP//dicC//
NimR_neg	torC//ribA//
NorR_neg	fabB//
NorR_pos	rpsO//rpsU//
NrdR_neg	ycjF//dpiB//ddpD//sbcC//yfdX//paaE//fau//aslB//ampC//
NsrR_neg	xylH//nrfA//csgD//cvpA//phnI//rpsO//hycH//ddlB//dpiA//exbD//htpG//evgS//thiP//nrfC//xylG//mazE//dgkA//murE//iraP//yqjA//nusA//ybhL//fabZ//rhaR//cyoD//hybG//bglF//yecT//napH//yidL//cysI//glxK//yciF//hycE//treB//fhuA//ybhF//nuoN//yhiD//hcaR//dgkA//rplT//metF//phnE_2//nirC//ynfE//yjhC//dsdX//pspG//aroH//chbG//prpD//symE//prs//ruvA//nrdH//relB//ftsQ//tyrP//rcsA//ygdB//flgI//ccmF//csgF//dpiA//ybhG//chiP//napG//metA//yecT//rutR//zinT//metH//malG//malS//crp//mpaA//fliN//phnD//trpA//glxR//waaZ//gudP//
NtrC_neg	manY//astC//fliP//ptsH//yqjI//lpxD//
NtrC_pos	yjeV//lhgO//kdpB//atoB//ilvC//gutM//fabB//araH//moeA//cydD//cspI//pyrD//yhdW//gltL//ompT//yccJ//hycD//trpE//evgA//nohA//phnK//ilvY//cbl//dapB//rstA//lldP//nagA//mazF//purL//gltK//cysI//nrdA//tcyJ//cusB//metF//fdnG//accC//napC//yiaM//hyi//cyaR//cydC//lldR//ddpX//entC//mdh//rpoS//sucB//frdB//
OmpR_neg	aslB//dmsD//rhaD//phnM//moaD//trpB//nuoH//rffG//sucD//phoP//ptsG//cysC//
OmpR_pos	yrbL//evgA//nuoM//fliT//metY//dsbA//csgE//iclR//glgB//dapD//
OxyR_neg	hisQ//asnC//ung//nupC//asr//ahpF//isrC//arsC//ycjX//rclA//hdeA//yeiB//
OxyR_pos	rutR//malE//garD//hycB//csgB//casC//napG//rbsD//nuoH//yhbT//ulaF//iraP//efeU_1//ttdB//phnK//glpQ//appB//glpX//dmsB//aroH//ybfN//pgaC//
PaaX_neg	pgaD//ydhT//malI//yafO//hybC//yiaN//fruB//focB//yhdW//gcvT//ycjY//arsB//dhaR//hypC//
PdeL_pos	torR//
PdhR_neg	ydfH//fiu//phnD//hyfG//csrB//btuB//glpB//srlA//nrfE//dcuD//ptrA//fldA//phnJ//tam//csgC//nikA//ycjF//rffC//marB//agaS//hcaE//gltF//mhpF//dicC//nanK//atoB//bioF//moaD//fixA//flgI//bdcA//yccJ//phoU//pitB//inaA//sgrR//
PdhR_pos	pspD//lamB//mntP//csgD//xylA//
PepA_neg	evgA//gcvP//mntH//
PgrR_neg	dhaM//allC//malY//yagK//tauD//ycjX//norR//paaZ//
PhoB_neg	csrC//ompC//fabH//thiP//gabT//tdcE//dsbG//bioF//nagA//rprA//caiF//btuB//
PhoB_pos	pdhR//ynbA//accC//melB//oppD//carB//rpmI//glnH//nikA//ymgC//hyaC//aceF//torC//rpmI//lysA//fhlA//relA//ddpA//fadA//metR//asnB//glmS//nhaR//rpsU//ppiD//fur//rhaS//gadE//cueO//rbsC//rhaS//dsdX//entH//cspE//hybG//ydhY//lysP//hflD//rpiR//idnD//ompT//cysG//kbp//hcaF//recF//gspL//pepD//rbsK//ynbC//ompW//rhaB//uidR//fadH//
PhoP_neg	nagB//ymgC//oxc//borD//ftsQ//fliL//araH//pgaA//yjiY//cpxR//puuA//
PhoP_pos	ytfE//hipB//metE//slp//rcsA//hybO//pstB//pgpC//yhdX//hybB//ccmF//glnA//fabI//ppiD//galR//waaZ//purE//lldD//cysC//soxR//frdA//yeaR//pdeL//hyaB//nrdI//kbaZ//flgN//hybE//ydeN//dpiB//hyaE//trxC//cyoB//artI//flgF//ebgA//lrp//mglB//phnL//fliA//nrdE//phnI//rseC//yqaE//yciG//dinB//astC//fabI//
PrpR_neg	deoB//
PrpR_pos	nimT//betI//ung//cyoD//
PspF_neg	gspO//
PspF_pos	fbaA//ahpC//yfdE//rclB//dcuB//tyrP//
PurR_neg	ykgO//accD//xylH//sulA//araB//ddpA//creB//cusB//ppdC//nac//astE//ygbK//srlE//gcvT//aroG//nrdA//fhuF//narI//spy//ndh//sgrR//gntP//guaA//pyrD//rybA//argI//hyi//fabZ//ycjX//moeA//ygeA//
PutA_neg	entF//galE//
PuuR_neg	glpF//cysD//prpB//rpoE//yqjA//speA//fucP//
QseB_pos	ynfF//yhdX//ydhU//purM//
RbsR_neg	nuoH//malI//mtlA//araC//ykgO//puuC//trpC//fadD//
RbsR_pos	crr//
RcdA_neg	leuB//glgX//
RcdA_pos	ddlB//pspG//dmsB//katE//rcnA//paaE//oxyS//
RclR_pos	tynA//metA//nrfA//
RcnR_neg	inaA//ftsQ//yiaL//
RcsAB_neg	glgB//fabB//phnL//hycB//focB//trpR//
RcsAB_pos	yccA//yebG//allB//rstB//xylG//trpA//nanK//citF//cysU//cysJ//
RcsB-BglJ_pos	ychF//ldtC//fhuF//trpB//puuA//xylR//flgA//yhiM//phoA//htpG//galM//fepB//ydcV//malZ//ihfA//hycE//
RcsB_neg	paaE//xylF//
RcsB_pos	ycgZ//tcyJ//tolC//emrK//nrdF//allS//rpoD//ymgA//lpxD//nusA//cvpA//yidQ//cydD//csgG//agaW//deoD//chiP//sfsB//metI//paaF//ycjG//psiF//rffT//
RelB-RelE_neg	fecE//lldR//sgbH//
RelB_neg	rstB//purK//gadE//
RhaR_pos	ebgA//caiE//
RhaS_pos	narG//rutF//mipA//araG//potF//pflB//
Rob_neg	purK//
Rob_pos	uvrD//pykF//napA//dhaK//rutF//argC//pagP//hycF//csrB//ariR//nupC//motA//mgrR//metK//hybG//molR_1//nuoG//uspD//gntT//csgD//cas2//metE//yafP//hyi//paaX//
RstA_neg	ybhS//hcaR//oxyR//dgcZ//psd//
RstA_pos	mlc//fadL//rseB//yqjI//rpoS//
RtcR_pos	fes//phoQ//
RutR_neg	atoE//tsgA//fadA//entB//envC//ygaC//rplU//deoB//uxaA//artQ//lhgO//mipA//ariR//ompW//stpA//
RutR_pos	sdhA//sgbE//
SdiA_neg	yiaO//treB//sbmA//
SdiA_pos	recF//ftsK//crr//
SgrR_neg	mntS//gloA//argI//yagK//yiaN//
SgrR_pos	srlE//hyfA//adiA//fucA//
SlyA_pos	yiaN//
SoxR_neg	nac//
SoxR_pos	cyoD//fliA//
SoxS_neg	lrp//malF//
SoxS_pos	gcvA//mnmG//evgS//fliO//inaA//yciE//fucK//argC//torD//glcC//wzzE//metK//dsdX//hyfE//dpiA//nuoI//yecT//yagK//rimP//aroH//glpF//fucO//ygiC//narI//ymgC//cysK//mdtA//acnB//fecD//hypA//lpxC//nrfD//rtcA//rimP//yfiR//ydfN//cho//yjhB//
StpA_neg	ttdR//purC//hcp//sufE//malY//nrdF//idnO//
SutR_neg	sgbE//folA//phnG//osmC//tnaA//
SutR_pos	melR//
TdcA_pos	caiA//gspD//rbsK//phoE//bdcA//flu//flgJ//
TdcR_pos	glpF//fliF//nrdD//phnG//fucP//gatC//ybdZ//
TorR_neg	dnaA//malK//symE//
TorR_pos	yjeV//argE//pgaC//mhpC//entA//casD//hypC//phnO//pgi//
TreR_neg	cysU//efeU_1//
TrpR_neg	rbsK//osmB//ldtC//yccJ//csgC//ydeI//katE//phnI//rpoD//mlc//yccT//hycD//
TyrR_neg	csgE//sucD//araB//flu//nirB//cecR//dmsA//caiT//torD//phoH//
TyrR_pos	sdhA//fhuE//feaR//
UhpA_pos	dinI//
UidR_neg	yciX//napA//prpC//recD//
UlaR_neg	glnH//fliP//waaH//cvpA//bolA//puuD//mdtC//
UvrY_pos	ppsA//fadA//ydhV//csiD//nanM//
UxuR_neg	uvrA//rarA//talA//malY//putP//ompN//fliJ//dapB//gntT//
XapR_pos	galS//astB//
XylR_neg	katE//
XylR_pos	rbsA//fepC//ydcU//pdeL//cytR//cysM//
YdeO_neg	recA//flhC//
YdeO_pos	casA//feoC//rob//phoQ//fldB//cysG//hokE//xylG//malE//rnlA//gltL//hybD//uidC//puuB//fadI//ybfN//ynbD//fbaB//malG//
YedW_neg	tauA//hybF//purN//yecR//sufD//
YedW_pos	paaK//inaA//alaC//ydiV//ccmB//yqaE//tonB//
YefM-YoeB_neg	gspE//csgC//
YefM_neg	xylF//ydjM//
YehT_pos	csgG//
YeiL_pos	dhaL//
YiaJ_neg	glcD//rffC//pspC//moaC//hybC//yhdZ//cysM//nrdA//caiD//glcB//
YjjQ_neg	dinQ//zraS//ugpE//iclR//zntA//carB//psiE//glpQ//psd//metA//
YpdB_pos	fliK//
YqhC_pos	ugpE//nemA//
YqjI_neg	oxyR//nadB//
ZntR_pos	glnL//
ZraR_pos	hyaA//umpH//gspF//
Zur_neg	mtlA//argF//yhjX//iscR//gspC//glk//
