#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	phoE//hyfB//
FlhDC_pos	yhbT//mglB//garD//ydeI//cusR//waaZ//cadA//paaY//nrdI//inaA//nuoB//gspC//feoB//rclC//ftsQ//glpQ//ynfG//rtcA//fecR//agaC//yfiR//ppsA//recC//nikD//fadA//yjhC//nanM//grxD//accC//cadB//artP//fdnI//dnaA//hisP//sbmC//hyaF//gspE//btuB//cydB//asnC//creB//rutG//yeiL//hlyE//entD//yjbG//cas1//rpoS//pdeL//decR//astD//pgi//ynbD//puuB//csgB//lacY//tauB//accC//ldtB//gspH//ydjM//omrB//gltL//nhaA//fepA//yeaD//cusC//hycB//cueO//ycjY//zraP//dcuA//accA//tbpA//ybdN//caiE//mglB//mdtA//
FliZ_neg	glpB//feoB//aslB//tdcF//cra//hcaD//dsdC//tsgA//pdeL//phnG//atoA//gntK//fruB//tauC//phnE_1//purF//prs//betB//fabZ//betT//ldtB//
FucR_pos	yciG//cyaR//pheT//aroL//gspH//torD//pdhR//
Fur_neg	gor//oppA//ycjG//pagP//gltF//xapB//ydiV//cusS//tdcC//artM//yccJ//guaA//aceB//narJ//nfsA//patA//chbR//ybjN//hybO//yeaE//ccmB//lpd//yjiY//fdnH//fhuF//nagB//bdcA//yqjH//metN//gloA//fliF//aroL//hybD//nirB//mdtF//yjbG//ymgC//acrD//fadA//fucU//eda//gspI//glpF//cysN//yhiM//tehA//gspF//malZ//fliS//aspC//ibaG//rplU//flhA//rybA//fliH//grxD//ybhG//fruB//fliT//creD//wza//osmC//rfe//fliD//galK//sbmA//phnK//fdnG//putA//metY//rhaB//araC//moaD//cho//cynS//malI//ynbC//ung//pfkA//ynbB//soxR//yeaD//ygiC//murG//phnC//mlrA//hslJ//yeaG//idnO//gltB//gltD//wecC//omrA//caiC//thiP//phoH//glnK//agaR//mhpB//sdhD//ddpD//alsB//lsrF//nanK//purD//purN//pspD//betB//focA//artQ//purH//lsrK//iraP//yccA//rbsB//
Fur_pos	napB//baeR//ydhY//glnQ//paaX//deoC//lacY//ykgM//fruB//tdcA//astE//yafQ//ynbA//ydcU//hdeA//galR//malZ//uvrY//mzrA//ddpD//yciW//
GadE-RcsB_pos	psd//gspM//rtcB//hcr//kdpB//acrR//nrdE//galM//allB//
GadE_pos	ccmC//iclR//nikD//pyrC//trpB//flgL//infB//pqiB//hns//ddpD//safA//hycE//katG//garP//accA//isrC//ugpA//yccT//fhuA//lpxC//motA//ybfE//lysP//nrfB//ydiV//baeS//ppc//dnaN//hdeB//
GadW_neg	yiaM//phnL//emrY//ppc//lpxD//yegZ//hypE//rclC//fdnI//nagE//dicB//
GadW_pos	artI//skp//gudX//nimT//gcvH//dmsD//appB//hypE//chiP//fixB//gfcA//
GadX_neg	glnD//pheM//chbB//rpoD//hha//gadY//
GadX_pos	ubiC//ecpR//htpG//fadB//pepD//paaH//seqA//lyxK//gspL//yneM//ppsA//agaI//flgG//thiQ//recN//fecB//hns//pspC//pncB//omrA//sroC//fixA//ynbD//rffC//uidR//gadE//nupC//
GalR_neg	ychF//insK//glcA//cydC//codA//mzrA//flhE//csiD//qseB//asnA//
GalR_pos	ecpR//bglG//katG//putP//
GalS_neg	asnA//cadA//cysB//ygiZ//argT//yoeB//cynX//guaA//gltD//rclB//
GalS_pos	ssuC//fur//yiaO//ompT//
GatR_neg	yhcH//fadI//sufD//rbsA//dicB//nfsA//
GcvA_neg	ycgR//glpX//gspI//ugpC//
GcvA_pos	creA//agaD//galR//flhE//
GlcC_neg	narH//
GlcC_pos	araD//modC//ccmB//hypF//efeU_1//aidB//
GlpR_neg	ydcU//ybfE//hslJ//glpT//rffM//fpr//htpG//nupG//insK//
GlrR_pos	hycD//phoR//gutM//mscM//marR//
GntR_neg	flgH//puuR//nuoL//dnaG//ynfH//ssuC//acrD//lhgO//casD//ssrS//poxB//cysK//
GutM_pos	glnB//gltK//ydhT//metK//ykiA//spy//ptrA//
GutR_neg	metB//umuD//metQ//fhlA//ptrA//hyfB//alaC//
HU_neg	znuA//kdpA//ldtD//rybB//yjeV//tcyP//fimB//cusA//
HU_pos	yeaG//
HcaR_neg	tdcG//
HcaR_pos	waaH//fliQ//oppC//xapB//xylA//
HdfR_neg	malF//ddlB//
HdfR_pos	cysP//recB//glcD//
HigA_neg	aslB//cdd//
HigB-HigA_neg	gntP//fucA//
HipAB_neg	ydfD//rfe//lysA//osmY//nikE//
HipB_neg	agaA//ynbB//betA//caiC//glpD//aslB//
HyfR_pos	omrB//hisP//uidA//argB//metQ//dhaL//sulA//accC//glnB//rbfA//hyfC//yciF//
HypT_neg	dmsD//mhpC//ompW//dmsC//mngB//
HypT_pos	trpA//ydhX//nanE//hyfJ//edd//sdhB//cadC//ygdB//
IclR_neg	malE//ydhW//adhE//araB//
IdnR_neg	nikE//rutR//
IdnR_pos	yafQ//metR//nikR//yeiL//metH//
IlvY_neg	ddpC//
IlvY_pos	poxB//
IscR_neg	tdcD//oxyR//lexA//phnH//accA//ulaB//pyrC//dhaM//treB//yoaC//ccmE//ybhL//nirC//paaA//fliI//ddpF//rhaA//adiC//ulaF//ybaT//phr//
IscR_pos	rseC//rseA//glnL//ugpE//allD//glcA//ihfA//hyfA//ddpF//idnT//lacY//
KdgR_neg	srlB//ubiC//
KdpE_pos	trpD//fliA//asnA//paaG//
LacI_neg	argD//mgrB//sbmC//
LeuO_neg	lsrR//ybhF//borD//
LeuO_pos	cysH//treR//slyB//lsrA//mraY//waaY//polB//gcvB//ydeO//gspH//rffG//prpE//allD//lacZ//acrD//yecT//citC//emrB//
LexA_neg	ydeN//borD//glcD//yhdZ//paaJ//putP//metB//glnQ//ssuD//prpR//yfdX//purR//yneM//fhlA//bioF//manY//mazE//casB//nlpA//glyA//argO//agaR//pepA//fadL//casD//fecB//sbcD//casE//trpL//fliT//ydbK//betA//tyrB//pgaA//metY//pspG//dcuR//bglB//fumC//pgi//dsdC//cadA//mprA//fdnG//yaiA//gabT//rstB//rhaB//fepB//aslB//yciW//rbsK//fadE//slt//ampC//yafN//yhdY//marR//hemH//
LldR_neg	waaY//yhcH//moeB//
LldR_pos	emrB//dps//hypF//
LrhA_neg	cysK//fecD//
LrhA_pos	glgA//araA//
LsrR_neg	fepG//gntP//ftsL//relB//yaiW//dpiA//nfo//znuB//slt//
LysR_neg	glpF//
LysR_pos	mltF//
MalI_neg	ccmC//glyA//metK//
MalT_pos	ryhB//trpD//rffC//malY//ygbK//flgI//nimR//ompN//norR//sdhD//
MarA_neg	nanS//grxD//allS//idnR//prpE//dps//safA//
MarA_pos	slt//fadA//nanS//lsrR//fdnG//lrp//ebgC//manZ//atoA//asr//sdhB//yjiY//gcvP//fadI//manY//nac//fliP//icd//gabD//pck//galT//xylA//rtcB//rplU//paaG//cysK//gspH//pspG//dcuA//fliO//acrD//
MarR_neg	ompC//hslJ//hycH//
MatA_neg	glgX//agaA//ssuB//dinG//puuE//alkB//
MatA_pos	gcvP//pepA//
MazE-MazF_neg	appB//ynfE//hycA//
MazE_neg	citF//cydD//ycgZ//
McbR_neg	btuB//
McbR_pos	fliA//nanE//rimK//
MelR_neg	napC//aceF//fecI//
MelR_pos	flgA//lsrR//focB//
MetJ_neg	ttdA//deoC//gatA//rtcB//csrC//xylB//sbmA//nrdH//ftnB//ykgM//hyfR//pdeR//treB//lacZ//yeaG//
MetR_neg	kdpA//cysB//
MetR_pos	dtpA//hipB//thrS//waaH//
MhpR_pos	agaS//tbpA//ccmE//pstB//hyfI//gcvH//
Mlc_neg	mpaA//tyrP//patA//yhdW//alkA//leuA//hyfI//fadJ//astA//ldtD//
MlrA_pos	flhD//tsgA//agaC//hflD//paaI//napB//malT//nadA//wza//yidL//
MngR_neg	fliD//cysG//melA//
MntR_neg	yoaC//ppdC//ftsA//uidA//
MntR_pos	entS//
ModE_neg	citG//fabB//nfo//purC//atoB//zwf//cvpA//ymiA//mhpB//glpX//ssuC//mngA//glnD//glcC//narJ//
ModE_pos	feaB//tauA//argA//nrdA//iscU//ynjI//yqjA//xylB//caiF//hokD//sbcC//fhuD//entE//allA//metJ//nusA//rseA//ykiA//ykiA//metR//fruB//cpxP//ydjM//ulaA//hyfR//hypF//fabZ//fadR//ygbA//phnH//ldtD//
MprA_neg	tsgA//cydC//hns//bioD//aslB//ybbY//
MqsA_neg	fadL//yjjQ//ilvC//ydfE//mraY//glxK//hybB//hyfD//
MraZ_neg	leuD//nuoC//glpB//hcp//allD//dsbA//phoE//putA//waaZ//hcaD//srlA//dicB//nikD//yafP//csgE//nfsB//focA//
MtlR_neg	yneM//ariR//flgJ//
MurR_neg	ddpC//fepD//rhaS//
MurR_pos	gatZ//
Nac_neg	murD//emrB//paaE//hyfF//hyfF//sroC//infB//xylG//mdtE//
Nac_pos	yegH//recB//ydeN//mhpA//hyfA//fadD//ecpR//rffM//cysK//lsrK//idnR//gadB//
NadR_neg	pnp//tdcC//gadE//wcaB//
NagC_neg	higB//nirD//fimB//gspJ//yjbE//hyfI//phnP//recA//nagC//xylG//evgS//rbsB//iraP//mraY//ppsA//mdtC//murD//ydhV//creA//ryhB//glnB//hycC//cpxA//ttdA//ydbK//yccJ//phoB//flhB//caiD//fucO//yeiB//feoA//sfsB//
NagC_pos	nagE//tyrP//fadB//
NanR_neg	purE//cheA//sufD//ppdB//ydeI//fepA//nagA//tyrR//ybjC//pgaA//
NanR_pos	aldA//
NarL_neg	yfdX//idnR//ugpB//nrdD//ycjF//icd//casE//asnC//ygiA//nmpC//fhuC//malX//tcyP//ddpC//fruA//nfsA//deoC//ygiC//oppA//lsrF//ugpE//cyaR//rstA//phnD//yafP//hydN//mgtL//cynR//ahpC//phnO//chbC//nanA//stpA//dinB//relE//bglF//dmsB//ariR//fliF//recD//xylB//adhE//yegZ//ttdR//nirB//yiaO//rutR//trpD//paaB//pgpC//araE//yhcH//cra//ulaC//rybB//tadA//caiB//zraP//csgE//asnC//yhbS//recX//ytfE//uvrD//rclA//dsbC//tyrA//sufB//hycG//cysP//pqiA//gspO//mglA//asnB//gpmM//gltK//ygiA//narK//sbcD//glnG//chbG//moaB//omrB//fdnI//dinG//yjbH//alsA//
NarL_pos	gadX//dgcC//lsrB//gspD//rybA//csgE//idnD//bglB//fabI//ydhU//yhhY//polA//fes//sra//hyaA//mlrA//appA//hycI//phoE//glpT//flgE//wcaA//tdcC//glyA//dmsD//pnp//glpB//casE//appA//idnK//entC//srlA//caiT//accA//citC//paaI//gadA//metC//cvpA//ibaG//sutR//ppdB//mgrR//
NarP_neg	murC//norV//sufD//prpD//ppdC//glcF//ptrA//glgA//bolA//frdB//argP//rhaB//rffM//uof//entD//recC//yjbG//dmsD//acrR//malE//infC//purR//wza//yafN//nrfD//tyrR//entB//nimT//pspE//recN//melB//sgbH//znuA//
NarP_pos	gatB//mhpD//astD//kbaZ//phnC//fbaA//hyfD//mntP//flgD//yeiB//rutB//caiB//paaG//tcyJ//allC//aceB//casB//cytR//pspD//wcaA//ulaD//ddpB//rutB//cpxP//yfdE//fldA//yafP//paaI//ynfG//dcuR//flgF//evgA//
NemR_neg	umuC//aroG//norR//
NhaR_pos	phoA//narL//hybF//bamE//efeU_1//uxaA//leuB//
NikR_neg	kbp//yjbE//csgA//cpxA//sutR//mepH//
NimR_neg	ompN//nikE//
NorR_neg	rcsA//
NorR_pos	ahpF//argE//
NrdR_neg	zraS//patA//hisM//uxuA//fucA//ftsW//ftsK//soxR//sufA//
NsrR_neg	purM//yibQ//prpC//rutR//hycG//phnM//phoE//trpA//flgI//efeU_1//glgP//cusB//umuD//fixX//phnI//argD//aceB//pspF//ydbD//fliA//paaY//mhpD//stpA//malY//phoH//waaH//yjbG//isrC//agaI//puuD//alsC//rhaA//arsR//tam//yrbL//yeaD//uvrB//nuoF//gabT//idnR//acnB//ruvA//hcaD//sufC//ynbA//argC//rtcB//ybjC//torA//phoB//uxuR//yiaK//yegZ//kbaY//folE//nupG//entB//ahpC//araA//fixB//mngB//prpR//tnaA//glgC//csgG//allC//osmB//galT//phoE//agaB//gltJ//fhlA//pnuC//bioF//phnK//yciF//dmsC//ampC//ynfF//fucP//yccJ//aroL//aspA//
NtrC_neg	ompW//ibaG//nirB//hybC//wzyE//wzxE//
NtrC_pos	wzc//hha//ugpB//csgG//lolA//allE//wecC//ybdZ//mdtB//yafQ//frc//glcE//nhaA//cynR//pepD//isrC//paaB//yeiB//alsA//ttdT//gspJ//fiu//dcuS//astA//ung//fliP//flgA//glcE//glnK//fliK//yiiS//ptsI//recN//entE//mtlD//glpT//phnE_2//glyA//gnd//nuoI//ndh//ulaC//emrB//hemH//gabD//dsbG//dps//yegR//sbcC//
OmpR_neg	dhaR//argC//yqjH//yeaR//emrB//ulaC//deoC//nohA//pqiB//gntP//tisB//flhC//
OmpR_pos	ydbD//fpr//marA//slp//dcuA//yiaL//mraZ//agaW//nuoN//mnmG//
OxyR_neg	gspL//allA//cusC//nlpA//sgrT//recF//hycF//sbcC//hha//ybhL//ebgA//mhpA//
OxyR_pos	nrfG//argC//rbsD//nikC//sodA//allB//yjbE//yafP//oppC//waaY//bioC//fadA//amtB//ygaC//slt//pitB//torA//marB//uspA//frdD//dkgB//rimP//
PaaX_neg	wrbA//yegZ//phoA//kdpA//btuB//ybhR//casB//agaC//fepE//fecD//tbpA//hycG//hycA//fecR//
PdeL_pos	ada//
PdhR_neg	phnJ//pyrC//chbG//uvrD//phnF//hycI//kdpF//xylA//argG//accC//ydcT//ruvB//bacA//gspC//yfdX//fldA//hycE//ynfK//mcbA//trpA//murC//paaC//ecpR//mhpE//dcuS//fadL//tcyP//phoB//chbB//seqA//dcuA//hflD//fecC//pncB//aspC//csgB//
PdhR_pos	htpG//gutQ//paaC//aroM//ydfN//
PepA_neg	serA//cydD//uspD//
PgrR_neg	sucD//wzyE//cbl//fliZ//yaiW//purF//argR//fruB//
PhoB_neg	nac//hybB//cusA//leuB//allS//tauD//aroG//glmU//fecC//fixC//dsbA//melR//
PhoB_pos	murF//aroM//rcsA//rclC//bacA//gabT//pgaD//hyfI//aceE//argG//pgk//trpB//tdcC//omrB//malQ//agaR//aceE//lldD//norR//cyoB//fabH//phoQ//dcuR//fliH//galS//znuA//nrfC//fdnG//rclB//lldP//inaA//paaC//fliS//murQ//cirA//frdD//oppF//gspH//truB//potF//creC//cydD//epd//tpiA//ftsQ//dsdA//fecD//metI//tynA//cysB//tpiA//crp//ptsI//
PhoP_neg	rhaT//metE//wecC//fadB//dctR//yqhG//wzxE//caiE//waaZ//fhlA//appY//
PhoP_pos	sgrR//cysH//rsmH//rbsC//nhaA//crl//dmsC//ynfE//putA//flgB//rprA//ddpC//uvrB//hyfB//rffH//ydeM//rarA//rseA//casE//ybhR//gudD//mpaA//cydC//prpD//creD//frc//dinI//entE//ccmD//pheS//lon//argC//rhaB//fecC//rseB//paaB//rutG//yhjA//mhpD//nrfD//sucA//exuT//dsbG//ynbA//ddpC//caiA//mntP//nuoB//
PrpR_neg	gatA//
PrpR_pos	murI//tauD//asr//grxA//
PspF_neg	melR//
PspF_pos	pfkA//dkgA//hyfI//oppC//ppc//gadB//
PurR_neg	idnR//cusB//cysW//agaD//emrA//bluF//tauD//ygeH//bolA//gdhA//ilvC//tadA//rutF//hybA//fadJ//polB//hmp//yibQ//modC//ybhS//mntS//nupG//nrdH//focA//nuoE//aspA//xapB//tdcC//yqaE//hyfD//sdhC//
PutA_neg	gntP//rcnR//
PuuR_neg	garR//zraP//rpiB//astB//slp//gutQ//metJ//
QseB_pos	iraP//gspF//fucI//ddpB//
RbsR_neg	glnQ//fnr//nemA//rybA//glpD//cra//araB//luxS//
RbsR_pos	mglC//
RcdA_neg	ynfK//iscU//
RcdA_pos	ydfX//hyaA//iraP//cysW//garL//fliD//yjbG//
RclR_pos	nrfF//dsbC//sbcD//
RcnR_neg	hyfJ//bamE//ddpX//
RcsAB_neg	fixX//ybjG//nanS//hycB//emrB//hipA//
RcsAB_pos	fliG//ydfX//metC//lgoR//phoR//malE//rpoE//ascF//ccmF//mgrB//
RcsB-BglJ_pos	gcvH//pfkA//cydC//yecT//fecA//ychF//hdeD//nupG//yjiY//fliG//cydC//slyB//bolA//pstC//kdpA//flgF//
RcsB_neg	ibaG//pykF//
RcsB_pos	agaD//marB//rcnB//safA//rpiR//yjiY//fliZ//recF//creB//aceF//entS//ynfH//dmsA//ccmF//nanC//tdcG//mazG//cyoA//agaV//pgaC//melR//gadW//pstB//
RelB-RelE_neg	accB//ykgO//hyaA//
RelB_neg	lysR//sutR//fruK//
RhaR_pos	hycI//gudX//
RhaS_pos	hcaD//argA//ilvY//safA//mglC//gspI//
Rob_neg	isrC//
Rob_pos	agaC//ftnB//gntK//dctA//gcvH//glnD//sroC//yhdW//cirA//fliK//gspO//treB//ybjG//nemR//fecB//ulaG//lhgO//mepH//ydeO//rseB//entF//ttdB//caiE//ahpF//hybC//
RstA_neg	pgk//insK//flgJ//gltF//intQ//
RstA_pos	phoE//glk//srlE//garD//alkA//
RtcR_pos	dapD//tdcC//
RutR_neg	nuoM//mgtL//alaC//araE//gadC//hemL//hcaB//dnaA//yjbF//dicB//amn//agaC//intQ//pflB//pqiB//
RutR_pos	rplU//fabZ//
SdiA_neg	yqjA//hemH//zntA//
SdiA_pos	ykiA//rdoA//fixX//
SgrR_neg	znuA//betT//rhaT//dpiA//uxaB//
SgrR_pos	bioA//fucR//metQ//dinD//
SlyA_pos	yccT//
SoxR_neg	tam//
SoxR_pos	torD//cyaR//
SoxS_neg	mdtE//flgA//
SoxS_pos	mnmG//fdnG//betI//focB//thrS//hdeA//nrdG//metE//icd//rhaA//uxuA//yhbS//yjbH//trpB//fadJ//pheS//glk//rhaB//napH//kbaY//ugpA//ung//hypD//glpQ//uhpT//caiT//glyA//ompC//sdhB//xapB//yqaE//fucA//bioF//srlB//lexA//dsbC//cysU//lpd//
StpA_neg	sufE//tynA//gspM//glgP//mepH//dcuR//srlR//
SutR_neg	wecC//cysH//cadB//yebE//yfiR//
SutR_pos	flgL//
TdcA_pos	yhdW//csgB//agaD//malI//yjeV//cheW//ydhV//
TdcR_pos	pstB//mntS//fepA//baeS//nuoF//yafQ//oppA//
TorR_neg	ccmB//marR//aceE//
TorR_pos	tktB//znuB//napH//soxS//csgC//cusA//gspG//iraM//sutR//
TreR_neg	hha//yeiB//
TrpR_neg	metH//tehA//fliG//fpr//iscA//puuR//tauB//phnO//lysP//argE//betB//ygeA//
TyrR_neg	dsdC//ynfF//atoD//fadH//uvrB//rpiR//mpaA//caiE//hcaC//csgC//
TyrR_pos	dsbC//micF//mlc//
UhpA_pos	hycG//
UidR_neg	ttdB//pncB//nanS//tehA//
UlaR_neg	yafN//uspD//bamE//tsgA//rstB//cynX//ompC//
UvrY_pos	sgbE//ftsA//pspD//yqjI//paaE//
UxuR_neg	nrdG//nikR//hemH//murR//glgX//rffT//patA//yncE//osmC//
XapR_pos	astD//fliM//
XylR_neg	chbG//
XylR_pos	creC//astC//feoA//dicC//ydeI//gntU//
YdeO_neg	idnD//fruK//
YdeO_pos	lysR//napG//yhjA//cysA//gltK//murG//marB//creB//mglB//pdeL//ppiA//ubiC//pgaD//envC//cysB//fhuD//puuB//fdnI//mraY//
YedW_neg	pepA//fecE//cysJ//ftnB//ydjM//
YedW_pos	kdpB//csrB//ilvC//napA//mglB//phr//ribA//
YefM-YoeB_neg	chbA//gntK//
YefM_neg	rutA//flgH//
YehT_pos	phnK//
YeiL_pos	argE//
YiaJ_neg	qseB//deoA//gcvP//wzzE//galE//mhpA//gnd//galS//alkB//araF//
YjjQ_neg	ogt//oxyR//murD//fixC//grxD//ubiX//dmsC//dhaK//wzc//dinG//
YpdB_pos	paaB//
YqhC_pos	idnK//uxaA//
YqjI_neg	ascB//ugpE//
ZntR_pos	cysN//
ZraR_pos	ydfD//lpxA//ttdR//
Zur_neg	poxB//dgcN//chbF//tauD//mntP//ibaG//
