#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	psiF//flgB//
DnaA_neg	emrB//iscS//mzrA//flgM//cpxA//metL//dsbC//inaA//fabB//mntP//murI//
DnaA_pos	gatB//yebE//ppdC//rpoD//yjjQ//ynbB//narL//
DpiA_neg	dmsC//
DpiA_pos	ymgC//rclB//ompW//fecB//mioC//nanM//acrA//gltF//hlyE//ascB//
DsdC_neg	frc//
DsdC_pos	lldD//yebG//
EbgR_neg	fadH//yeiB//
EnvR_neg	ydeO//yfiB//
EnvY_pos	torD//wzzE//
EvgA_pos	exuT//ssuB//yiaM//mhpA//ybjC//mgrB//ygiA//tsx//dinD//csgF//flgD//gloA//mltF//hipA//asnC//acrA//rclC//yebG//gntU//
ExuR_neg	fadI//ycjG//paaJ//cpxR//yaiA//prpC//ydcS//flu//ubiX//
FabR_neg	paaJ//cvpA//
FadR_neg	dhaR//gadF//nikA//umuC//nhaA//sufC//rybA//ddlB//dinQ//cusA//hcaB//
FadR_pos	yccT//ybaS//nuoI//malG//glpX//csgE//cyoB//moaC//nrdA//purC//narL//sufC//
FeaR_pos	cecR//ymgA//
FhlA_pos	rffM//cysU//rpoD//polB//bglB//malF//tauD//acrB//glyA//lolA//ilvY//agaW//paaY//gpmM//hmp//ubiC//ccmE//yiaL//fliI//flgJ//phoA//ynbD//bolA//murE//putP//rnlB//prpD//ybaS//ulaE//malF//
FlhDC_neg	lldD//nmpC//lrhA//tsx//
FlhDC_pos	marA//tnaB//tcyJ//skp//bacA//yncE//aroP//hipA//erpA//omrA//adiA//ybdN//nuoI//hyfF//rnpB//tonB//yhbT//fliM//ygbK//gspM//yhdY//araF//phnN//galK//nimT//kbp//xylR//rstA//polB//sbcD//recX//narJ//sroC//ftsQ//mntS//argO//nupG//bhsA//nuoG//glnH//yidL//cpxR//moaB//cysM//dsdA//slt//mtlR//xapA//nuoG//ttdT//gltB//fecI//moaD//hns//pqiA//ftnA//nikD//cynT//cysG//seqA//ydeN//osmB//degP//araB//gpmM//cyoE//pspB//uidA//wzyE//glmS//caiD//sufA//psd//rffT//cbl//fabH//bhsA//ydiU//
FliZ_neg	wcaB//lexA//pitB//yjbG//ldtB//paaZ//mtr//uxuB//baeR//ompC//puuR//zraR//ugpB//iraM//sufB//kdpF//rutF//bglJ//agaI//soxS//lsrB//
FucR_pos	fucA//cyoC//prs//yfdV//rstB//phnE_2//lysC//
Fur_neg	nrdI//deoB//cyaR//ydhY//purD//allD//dhaR//ccmE//casD//rseA//putP//ydbK//entF//tehA//rimP//pnuC//lgoR//gyrA//gapA//lysA//pspD//ybjG//pgm//dcuD//mntP//fadE//ppdC//skp//sufD//mpaA//ccmF//phnG//pgaD//glnD//emrY//infB//fliH//lamB//nlpA//tauB//fecC//relB//dsrA//ymjD//rpsU//gspJ//feaR//fadH//nanC//betT//fumC//ccmB//gdhA//puuA//ibaG//ydiU//moaB//uspE//atoB//glpD//fhuF//cyoD//fabD//kdpF//fabA//chiP//casA//paaA//dinQ//uvrC//fdnH//ydcT//xapA//pqiA//dicC//kdpB//creA//glgC//ptsI//yegZ//nrfF//dicC//purE//torC//mtlR//cysE//torC//argB//cho//flgL//cusF//hycH//murI//moaE//sodA//nusA//metJ//zraS//cyoC//nohA//fdnG//entS//yafN//gabP//ompF//glpK//ompN//fabD//agaW//malS//arsC//garR//yhdZ//csrB//tpiA//
Fur_pos	tyrP//glnK//ftsA//safA//sra//emrB//ybaS//nadA//insD//pgm//oppD//ccmF//wecC//evgA//mzrA//glnP//glk//kdpA//phoQ//hcr//ccmH//
GadE-RcsB_pos	fabG//isrC//bioF//cueO//dsdC//hycH//slp//mdtA//fucP//
GadE_pos	hyfR//hcaF//dapB//paaB//cirA//flgM//gltF//ccmD//dsrA//tnaB//creC//dsdA//ybfN//rpiB//alsB//nadA//hisQ//artI//ydfN//sbmA//manY//seqA//csrC//relE//phnF//araF//uxuR//tcyP//nemA//
GadW_neg	seqA//yncE//gabD//lsrF//ybjN//emrK//baeS//yfdV//murC//ppdC//acnA//
GadW_pos	prpB//bioD//rhaS//galM//mepH//entA//sgrS//leuL//puuR//ttdA//mzrA//
GadX_neg	exuT//lpxD//flgI//tdcD//glnK//hcaF//
GadX_pos	dcuD//dsbG//soxR//ydeI//phoQ//cysW//bluF//agaD//argP//hyfC//gpmM//gspC//mcbA//gspJ//purN//ruvB//moaC//argP//yjbE//srlD//trpE//ulaE//caiE//lrp//rpsO//cusR//agaI//
GalR_neg	dicC//narK//uspE//ybhG//uvrB//aceB//bglB//galE//agaR//glxK//
GalR_pos	csgA//xylB//ydiV//ptsH//
GalS_neg	pheS//dps//ldtB//mcbA//hyfB//ebgA//fucR//alaS//malI//ycjF//
GalS_pos	mdtE//rpiR//pgaB//ttdT//
GatR_neg	hyaB//zwf//dcuA//decR//sufA//gspG//
GcvA_neg	zntA//moeA//nirD//sucA//
GcvA_pos	motB//gspE//ubiA//fdnH//
GlcC_neg	sgrS//
GlcC_pos	cyoC//ompF//glgX//tnaC//hycH//fliM//
GlpR_neg	hdeD//gpmM//cynR//yoaC//pstB//ydcU//cbl//yjjQ//rbsA//
GlrR_pos	phoP//gcl//hcaF//paaI//mngA//
GntR_neg	gpmA//yciX//glpD//agaV//rutB//kdpA//crr//ruvB//yfdE//nrdE//cytR//tdcE//
GutM_pos	tdcG//mhpE//allC//folE//hslJ//hybO//rpiB//
GutR_neg	aceA//ynfH//lon//gloA//bioD//astE//csgB//
HU_neg	oppC//alsB//aroF//relB//rhaD//nemA//pgaB//hokE//
HU_pos	moaC//
HcaR_neg	araA//
HcaR_pos	dicC//astE//lsrC//aspA//relB//
HdfR_neg	rob//garD//
HdfR_pos	ydcU//ssuB//insD//
HigA_neg	ubiA//ydhY//
HigB-HigA_neg	fucR//pgaB//
HipAB_neg	oppD//pdhR//fliK//aroM//ppdC//
HipB_neg	ppdB//gspE//entS//araE//gadE//ssuB//
HyfR_pos	metB//purL//sodA//hyfR//iscU//argP//feoB//yafP//hyfR//hybE//tdcF//tktB//
HypT_neg	ssuB//dapD//glcB//puuA//malX//
HypT_pos	araJ//rbsD//qseC//chbG//pdhR//rcnB//dtpA//napC//
IclR_neg	narG//agaR//narX//phnD//
IdnR_neg	araE//cspD//
IdnR_pos	uof//dnaG//ymjD//dps//gadX//
IlvY_neg	glnQ//
IlvY_pos	mioC//
IscR_neg	araG//gspI//casB//artQ//metN//bdm//hydN//bioF//seqA//sbmC//modB//nanT//recB//fliG//rbsA//ugpQ//ybfE//gntK//fldA//spy//asnB//
IscR_pos	ydhX//allS//gutQ//recF//metH//betT//lldD//eno//flhE//galP//melB//
KdgR_neg	paaZ//poxB//
KdpE_pos	hipB//ttdA//fecA//polB//
LacI_neg	eno//yhbT//aroG//
LeuO_neg	glpK//fliG//fucP//
LeuO_pos	mtlR//metA//yhdZ//astE//ebgA//hycH//grxD//eda//dapB//fliC//fucP//phoH//ftnB//obgE//dgkA//hyaF//ydfN//gatA//
LexA_neg	osmC//araG//tsgA//csgG//yoaC//udp//eda//cdaR//udp//thrS//flgI//mlrA//yjjZ//intQ//ygiA//dinF//puuR//yjbE//cecR//uidR//grxA//narX//ugpC//mhpD//fecE//fixB//tauB//phnL//yiaJ//emrY//ybfN//chbC//cydC//zinT//atoB//lsrA//cusS//napD//mdtC//puuR//gspE//fecR//ybbW//xapB//argD//nagE//mltF//ihfA//dctR//paaF//tsr//ribA//creD//rhaB//tyrR//pfkA//oppF//gntP//zraR//
LldR_neg	umuC//pstB//ccmH//
LldR_pos	dgcC//yefM//iscS//
LrhA_neg	hycC//zraP//
LrhA_pos	gdhA//gltB//
LsrR_neg	nuoG//dhaK//nemA//torA//garL//casE//nimT//guaB//caiF//
LysR_neg	wecC//
LysR_pos	fruA//
MalI_neg	phnH//argA//gntP//
MalT_pos	guaA//zraP//lamB//fimE//flgN//glpA//casC//ynbB//gadC//ftsL//
MarA_neg	kbp//nuoJ//cysP//asnC//ynfE//cadA//gspC//
MarA_pos	yefM//gcvP//lacY//sra//fixB//csiD//yefM//yfiB//ygbK//mnmG//kdpC//phnO//yaiA//folE//mpl//napG//umuD//dsbC//argP//pspB//accA//entC//xapA//ssb//ycjG//wcaA//cas1//phnI//gspF//hcaD//moaC//
MarR_neg	cysB//ydbK//tsr//
MatA_neg	narG//tktB//gatD//murC//fadI//icd//
MatA_pos	fabG//xylH//
MazE-MazF_neg	gatY//gspI//glcF//
MazE_neg	ydhY//umpH//ftnB//
McbR_neg	fpr//
McbR_pos	yaiW//isrC//rybA//
MelR_neg	sbmC//cpxR//ccmD//
MelR_pos	yaiA//ykgM//rutE//
MetJ_neg	bioA//rpoH//nrfC//nhaR//argI//agaB//acrZ//ybfE//mqsA//dcuR//cirA//oxc//yeaH//recA//thiP//
MetR_neg	gcvH//xylF//
MetR_pos	rcsA//argG//araH//ccmF//
MhpR_pos	fepA//rutF//rbsC//ptsH//caiT//gadY//
Mlc_neg	nfsB//ydcV//dmsD//idnR//ampC//emrB//phoR//ssuC//artP//ygdB//
MlrA_pos	yfiB//psiE//allE//nimT//manY//skp//hyfF//rclC//hdeA//hyfR//
MngR_neg	zraS//ydfE//fucI//
MntR_neg	xylB//yiiS//tdcF//ulaF//
MntR_pos	rpmA//
ModE_neg	yhjA//galE//atoD//intQ//sra//flgC//fliH//ebgA//murG//ascB//rprA//dinG//rutF//fadB//dinB//
ModE_pos	yjbG//hha//pspE//cusF//fadD//fldB//znuA//dcuR//yjhB//sgbH//deoA//ynbC//xapB//prpD//napD//rclB//fucP//tam//dinQ//mntP//potH//napC//yiaO//accA//betT//artP//rbsD//hisJ//yidQ//focB//glpF//
MprA_neg	rfe//paaC//flgN//ynbC//nrdF//ftsI//
MqsA_neg	gatZ//fhuF//ymjC//qseC//murF//ftsW//wza//rutC//
MraZ_neg	uspE//dmsB//nrdH//napH//crp//tehA//sroC//hha//fadE//infC//cbl//ung//pgi//fadH//pspD//moaA//acrZ//
MtlR_neg	rpiB//rsmH//phnH//
MurR_neg	lacZ//tsr//yqjI//
MurR_pos	lolA//
Nac_neg	dinJ//bglJ//dsdA//ruvA//cadC//ddpB//omrB//yjbH//bioD//
Nac_pos	ssuE//rpsU//flgF//entB//umpH//nrfD//prpC//obgE//ynfH//frdC//gadF//cysK//
NadR_neg	dkgA//yhbS//rclA//torR//
NagC_neg	uvrB//oppA//hyfE//nikE//pgaD//waaH//fliF//fbaA//guaA//nanT//nrfB//csiD//paaC//rimP//btuB//hybF//xapA//rcnA//frdB//idnR//rutE//paaI//hypC//mhpC//gor//flgE//asnB//napG//nadA//bluF//dapB//ydbK//lpxC//
NagC_pos	cyoB//bdm//alsB//
NanR_neg	gspJ//hcp//ydhV//mhpB//paaJ//ybdZ//pspD//puuC//ydhT//stpA//
NanR_pos	mngR//
NarL_neg	phr//gspK//putP//aidB//phnJ//psiE//hybC//ppsA//bamE//lysO//rutR//umuD//gadB//ycjY//gadA//aceA//leuC//fadH//fdhF//hybD//deoA//evgS//dinD//agaB//rhaB//uof//hcr//wza//chiP//pspG//mcbA//allB//cra//dgcC//chbF//fadJ//rffT//rcnA//galP//rseB//recC//fabZ//mdtA//gspJ//mlrA//flhB//yrbL//pspA//metY//gadY//tauD//micF//fliF//appB//moaA//accA//wzyE//rpoE//nuoB//gudX//tadA//putA//napD//glcA//ybjC//rcnB//ptrA//ftsQ//rffC//safA//araJ//cpxA//manX//lldP//xylG//yciX//astE//pgaD//gudX//fadB//sufA//metY//fepC//cirA//tauD//rhaB//lpd//
NarL_pos	lacY//rplU//dinG//arsR//metI//hcr//puuB//yneM//pspD//hcp//rffM//phnC//cheA//glgB//gntX//uxuB//fdhF//nac//csiD//yhjA//ychF//hyfG//ymjD//murQ//pspG//gspK//fixA//mglC//rpmI//cusR//cysH//dsrA//aceB//rnpB//gatZ//hyaB//nac//yhhY//exuT//pgaA//fbaB//purK//alsE//
NarP_neg	napH//tdcF//torC//hha//melR//atoE//pheT//hemL//glnQ//bioC//sgrR//oppD//flgA//cusR//metC//yafO//acrZ//rpoE//yhbE//ddpC//oppF//cyoC//dsbA//wzc//fliS//phnJ//yegR//nfsB//fruA//yncE//gcvB//mdtA//spy//
NarP_pos	cyoC//kbaY//gutM//dinF//galS//ynfF//ubiC//aspC//prs//nrdF//yfiB//mtlA//nrdG//uvrB//ynfK//fhuB//mglA//rbfA//puuA//pqiB//hyfC//prpB//hypF//aspA//cspE//yjbE//ccmH//baeS//ynfF//aroM//deoB//fliF//
NemR_neg	dinD//gudD//leuB//
NhaR_pos	truB//tyrA//rutF//tcyJ//dps//hypE//lsrC//
NikR_neg	pgpC//artP//ppiD//astD//dmsD//fadM//
NimR_neg	dsrA//fadJ//
NorR_neg	baeS//
NorR_pos	yneM//csgB//
NrdR_neg	accB//carB//lldR//araG//yoaG//rstA//nrfA//relB//fpr//
NsrR_neg	dmsA//pfkA//tfaQ//bioC//ymiA//acrR//uof//nemR//ebgA//sra//tcyP//fliR//hyaD//fdnI//ribA//allA//crl//marA//malX//moaA//flgL//rhaR//artP//ccmE//sutR//cysW//ruvB//araB//nanE//amtB//cbl//dicC//higA//malG//galP//decR//dicC//hyaF//sbcD//yfdV//cysG//flgF//cynR//narK//yneM//cusB//rutA//phnP//fiu//astD//casA//sbmA//arsR//bioD//fliR//gapA//prpB//glpC//infC//paaA//argT//ulaE//lysA//hyi//yoaG//entA//soxR//moaB//add//btuB//zinT//ycjF//rimK//araJ//ydhV//nrdB//xylB//accD//rclB//chbG//atoD//rseB//skp//
NtrC_neg	ubiX//fadD//mtlD//ascB//yedX//lamB//
NtrC_pos	nanA//sroC//galK//argE//erpA//xylB//ybbY//gspO//yjeV//srlE//tsr//cas2//idnT//rhaS//dgcZ//pagP//flgN//nuoB//citE//fucK//lexA//dsbG//ihfA//yegZ//rarA//ssuD//torC//motB//napC//rimK//aceE//hyi//fliO//zntA//fadA//cysG//rarA//borD//metB//cusC//omrB//lacZ//flgL//nadA//yhiM//rtcA//gnd//malI//phoH//
OmpR_neg	fixC//cysK//hypC//dhaL//pyrD//rutD//leuC//yhcH//hcaC//yhbS//znuC//ycgZ//
OmpR_pos	ygeH//phr//degP//sucD//ulaB//yhdX//lpxC//casE//ddpB//oppB//
OxyR_neg	lon//cyoC//fepG//recN//ppiA//flgG//nrdB//xylH//aroF//cyoA//fixB//malS//
OxyR_pos	garP//ulaA//mntS//speA//dsbC//flgA//oppA//tehB//gudX//tktB//fadA//aceF//bdm//mraZ//ppc//dmsD//napG//ybiT//rpiR//nrfA//mhpA//hisM//
PaaX_neg	metJ//emrB//nuoK//recC//nirC//gspE//argA//ddpF//lpxC//sulA//rhaR//sucA//alkB//moaA//
PdeL_pos	metE//
PdhR_neg	asr//entA//yafQ//entB//mgrR//wzxE//gatD//caiE//lysA//hycA//nfuA//nanT//glgP//cpxP//sbmA//ddpA//cpxQ//yhcH//prpB//skp//safA//yjhC//purD//osmB//cusR//hycE//infB//hycH//ttdB//fixC//araG//betI//ihfA//csgF//ftnA//sufB//
PdhR_pos	pgaC//allE//relB//mcbA//lysA//
PepA_neg	fliG//adiA//grxA//
PgrR_neg	ynfF//hypE//ddpF//kbp//yfbR//napA//tam//hybF//
PhoB_neg	cusC//cyoA//modA//mscM//allA//csrB//manZ//ccmH//molR_1//hcr//malI//dnaA//
PhoB_pos	bdcA//tynA//arsB//yneM//flhC//glcC//flgK//sdhD//marR//rffG//lgoR//atoD//mdtC//ynbA//iscU//rpoH//hisJ//dcuD//modB//glxK//phoE//ptsH//yjhC//trpE//aroG//chbA//yaiA//casE//micF//insK//leuO//fixX//nupC//nanT//ahpF//gspH//yjbG//casB//ssrS//symE//nanC//ssuE//obgE//umuC//uvrC//fliJ//iscU//soxR//tsgA//cysE//glmU//emrB//norW//
PhoP_neg	zinT//yhjA//ldtB//yafQ//rffM//pstS//cusF//caiB//malF//lamB//prs//
PhoP_pos	dapD//spy//rpsU//fecE//wecB//sucA//kdpF//nagC//glnH//argA//flhC//nuoI//tfaQ//cadB//gspJ//gadC//hyaC//stpA//narL//fhuF//rseA//gspM//trxC//rffM//folA//bglJ//rpiB//dicC//focB//ymjD//bdm//folA//yagK//nimT//torC//ulaG//lsrR//ssuD//osmY//ybaT//fiu//rpoS//hcaF//fruB//grxA//yhbE//ecpA//atoA//
PrpR_neg	cynS//
PrpR_pos	rstB//fadJ//fbaB//idnR//
PspF_neg	sroD//
PspF_pos	dicB//glnD//rnlB//csiD//uxuB//rpsO//
PurR_neg	ttdT//glgC//symE//gadE//ssuA//ahpF//tbpA//dinJ//kdpB//hypE//ilvC//fumC//metA//sufB//xylB//rpmI//tam//hdeA//atoB//torR//pncB//hemL//ubiA//asnB//pncB//fecR//fucA//yoeB//hisM//fliM//treC//
PutA_neg	mzrA//entB//
PuuR_neg	sufE//argF//yeaE//dsbC//ugpQ//lsrF//dps//
QseB_pos	fliD//ulaE//aspC//lon//
RbsR_neg	metH//ssuA//gcvH//uvrY//caiE//fldA//trxC//wcaB//
RbsR_pos	pstC//
RcdA_neg	nikA//nanS//
RcdA_pos	acnA//ynbB//nrdF//gltD//fliE//dgcN//wecB//
RclR_pos	ynbA//pepA//acrZ//
RcnR_neg	exbD//wzc//cheW//
RcsAB_neg	gadC//aroG//pepA//caiB//nuoB//mdh//
RcsAB_pos	fixC//aidB//ydhT//speA//stpA//rob//cytR//mhpB//yiaO//tyrR//
RcsB-BglJ_pos	dsdA//casE//prpR//gutM//pgaB//yecR//hdeD//fliE//folA//metI//glpT//ybiT//gltF//oxc//srlB//nrfE//
RcsB_neg	grxA//allE//
RcsB_pos	araB//ihfA//phoQ//yjbG//mglA//araA//grxA//argG//ydfW//yqaE//rybA//ccmD//bacA//garD//cysJ//ydfD//rseB//gspO//phnO//paaJ//purF//rpmA//ygdB//
RelB-RelE_neg	gntT//yebE//phoB//
RelB_neg	ygiC//purR//hemH//
RhaR_pos	tcyJ//entD//
RhaS_pos	gpmA//ynbA//bglG//hlyE//lsrF//murR//
Rob_neg	araG//
Rob_pos	yiaM//hyaB//hcaE//nlpA//ybfN//fabH//dctA//dnaG//tpiA//sulA//yoeB//flu//alsC//fimE//prpD//ydjM//hisP//treB//dpiA//fliJ//rhaT//folA//feaB//emrA//rutR//
RstA_neg	gcvT//chbG//emrA//fepD//pqiA//
RstA_pos	ynfK//copA//bolA//fes//uxaA//
RtcR_pos	ssuC//garK//
RutR_neg	yqjA//ymjC//kdpB//xapA//hyfF//hyfA//entC//mlc//wzxE//citX//metJ//lsrC//glpF//purL//ftnB//
RutR_pos	paaY//treC//
SdiA_neg	fadA//rutC//lacA//
SdiA_pos	fabH//cysK//argD//
SgrR_neg	cdd//lsrF//osmB//ydfN//hydN//
SgrR_pos	sra//sfsB//hyfB//nuoG//
SlyA_pos	borD//
SoxR_neg	ompC//
SoxR_pos	hyfH//ldtC//
SoxS_neg	arsR//malT//
SoxS_pos	pqiA//crp//manZ//uvrC//cynS//mtlA//borD//ynfF//adhE//ahpC//rybA//mhpB//araD//uvrA//dsdX//ompW//gntT//aroP//cynX//hyaD//cysC//napB//pflB//yjbH//fecB//malF//fdhF//pncB//tsgA//recX//lysO//fhlA//gadC//uvrD//dcuR//paaH//sra//csgB//
StpA_neg	sulA//napH//rarA//manX//dmsB//csgA//nanK//
SutR_neg	evgS//mioC//dgcN//ulaF//trpE//
SutR_pos	cheW//
TdcA_pos	phoR//gspE//uidC//nac//appX//cysU//yciE//
TdcR_pos	gspC//malP//emrA//ycgZ//dmsB//creB//ydeN//
TorR_neg	gntT//flgC//deoD//
TorR_pos	glnA//uof//hypA//kdpF//yciX//gpmM//sdhD//csgB//patD//
TreR_neg	obgE//caiT//
TrpR_neg	rnlA//sroC//napG//uspA//dps//yjbG//yegH//allS//xylA//rhaS//murC//lacA//
TyrR_neg	agaR//dmsA//decR//phnH//grxD//purN//frdD//argP//lrhA//potI//
TyrR_pos	hdeD//mzrA//ydhU//
UhpA_pos	uxuR//
UidR_neg	treB//rhaS//sdhD//mdtA//
UlaR_neg	tsr//znuC//dmsC//lgoR//oppB//paaD//acnA//
UvrY_pos	glnG//ydfN//sufE//pflB//metE//
UxuR_neg	murP//accB//yjbG//sfsB//acrB//rstB//umuC//hyi//cirA//
XapR_pos	umuC//mlrA//
XylR_neg	gntU//
XylR_pos	yedX//dhaK//yafO//treR//pgaB//puuE//
YdeO_neg	nrfF//cspD//
YdeO_pos	znuC//trpC//nrdH//malI//sdhC//frdD//infB//flgF//oppF//atoD//flgH//bioB//astC//tdcB//fliD//uxaB//sbmC//gltJ//argG//
YedW_neg	dsbA//ryhB//nuoI//ybhS//gadC//
YedW_pos	borD//tyrP//ftsZ//nirD//rbsR//gcl//lacY//
YefM-YoeB_neg	ubiC//nlpA//
YefM_neg	talA//yeiB//
YehT_pos	hlyE//
YeiL_pos	rimK//
YiaJ_neg	wecC//araF//hslJ//iscR//rplT//metF//lamB//paaG//ydhX//rutG//
YjjQ_neg	rhaT//ybjN//csgC//entF//fimB//metE//tdcC//yiaK//tadA//cyoC//
YpdB_pos	cas2//
YqhC_pos	ymgA//cusS//
YqjI_neg	mdtC//sucC//
ZntR_pos	ybaS//
ZraR_pos	ygbK//gcvB//nanC//
Zur_neg	ycjX//csrB//rpmA//ycdZ//rimP//relA//
