#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fecD//puuD//
FlhDC_pos	dsbG//cspE//nrfB//rutR//glpA//gspI//phoQ//murC//paaJ//fabB//talA//putA//ybiT//lpd//aceF//glk//pgpC//sutR//flgN//fpr//ybjG//cadA//fecC//paaY//ssuD//cyoA//metH//wecB//glcC//mdtF//cysK//ybhL//tam//gnd//sgbE//puuB//uxuB//ttdT//nimT//ttdA//prpB//gudX//phoQ//dcuA//yedX//napA//manY//ftsA//xylH//cyoE//yjbE//wzyE//fliJ//metA//fliF//pstA//pdhR//ftsL//gltK//eda//cydC//ynbD//metQ//ydhU//trpA//gntU//lon//yeiB//cpxA//trpL//mglA//yjjZ//gadC//pck//ttdR//prpC//gltJ//gcvB//
FliZ_neg	evgS//feoA//fliM//lgoR//nrdH//yafN//puuC//tpiA//puuB//araG//ugpB//phoP//ydeN//qseB//gapA//xylH//ddpF//mgrR//mglB//prpE//ppdA//
FucR_pos	flgM//mgrB//pheT//fbaA//cysM//oxyS//srlE//
Fur_neg	acrA//wecB//entE//dsdX//sulA//malZ//nfuA//ompW//ddpA//carB//trpB//baeS//oxc//argO//recX//phoQ//asnC//astD//yjbG//gntU//dpiA//sbcD//hybF//zraR//torC//cydA//ygiB//entE//nfsB//araB//agaC//malF//rybB//feaB//ecpA//pdeR//nikE//infC//rbsD//paaG//fhuD//fadH//recF//bdcA//tehA//yiaK//fliM//artJ//agaV//feaB//prs//gutQ//iscA//yjbG//dcuD//rbsD//phnJ//fucI//rnpB//moaE//omrB//tdcE//sufB//htpG//ygeA//dnaN//relB//arsB//ynjI//glk//pheS//cpxP//gcvT//narX//mazF//yrbL//gcl//nuoA//yciF//cpxP//mngR//gatC//nikR//melB//fliP//allS//lhgO//mngB//yegH//chbB//mlrA//hisJ//wzxE//rbsD//molR_1//exuT//fliA//iscR//ppdC//moeA//artP//uvrC//recN//norR//ynfG//yafP//mzrA//polA//malE//cadB//astE//ccmG//nrfA//casE//lrp//
Fur_pos	sufC//glcF//ymgA//cyoA//rplT//galT//yiaK//hslJ//cpxR//torA//hyfD//ftnB//dgcZ//oppD//gltB//srlD//pspG//csgG//rdoA//sgrS//hypC//
GadE-RcsB_pos	icd//cpxR//feoB//gadE//cvpA//cbl//malF//malZ//uspD//
GadE_pos	xylF//pqiA//mdtF//araE//sdhC//ycjX//gnd//ycjF//murC//phnG//alsE//lpxD//wzb//hmp//crl//csgG//nuoK//potG//nuoG//hyfA//baeR//cspE//gadB//fadA//rcnB//rbsA//tdcA//glnP//mzrA//
GadW_neg	ecnB//agaA//araB//pyrC//nanE//gspD//mntH//torC//exuR//glnG//slp//
GadW_pos	mngB//icd//ygeH//malY//fimB//mglC//ariR//uxaB//cysA//safA//cbl//
GadX_neg	ydeI//hydN//nagE//mtlR//hybO//rpoD//
GadX_pos	entA//aldA//mhpT//yegZ//hypB//uxuA//ycjF//pck//murQ//uvrD//sroA//pykF//citE//ycjF//pepA//bioA//pgpC//fabD//mhpD//uvrY//ahpF//umuD//creC//purN//rpoE//rnpB//rseA//
GalR_neg	cysM//motA//bioB//rbsA//ydhU//ulaD//idnT//lrp//creD//yoaC//
GalR_pos	gspO//uxuR//fadR//mhpD//
GalS_neg	flhD//ampC//cecR//gcvB//csiD//gcl//yjjQ//cspI//ydeM//fliI//
GalS_pos	recB//fabD//ygbA//appC//
GatR_neg	feaR//bglJ//rutD//sra//ada//gloA//
GcvA_neg	cysU//guaB//argE//malK//
GcvA_pos	modA//tbpA//agaW//emrB//
GlcC_neg	araC//
GlcC_pos	astC//folA//argR//truB//cusA//gadF//
GlpR_neg	dgcC//relA//lpxC//ydhX//ruvA//dgcC//fur//rutA//trxC//
GlrR_pos	lsrD//malY//sgbE//fixA//mraY//
GntR_neg	tdcA//paaC//yafP//hcaR//tauA//nagB//mhpB//dcuS//ppiD//mtr//aslB//allC//
GutM_pos	ebgC//nac//putP//znuC//rpsU//dinD//mglC//
GutR_neg	aceF//rutB//paaA//ssuC//gspG//ulaC//ybjN//
HU_neg	accB//dinD//glmS//alkA//ugpQ//paaE//focB//mraZ//
HU_pos	flgL//
HcaR_neg	wecB//
HcaR_pos	norR//mqsR//ssuE//rpoE//ppiA//
HdfR_neg	phnE_2//ydhX//
HdfR_pos	rpiR//hyfG//nikE//
HigA_neg	mipA//wcaA//
HigB-HigA_neg	ppc//yiaN//
HipAB_neg	ftsQ//ydhU//tauB//pagP//fpr//
HipB_neg	fhuF//molR_1//dcuA//aroP//ribA//bolA//
HyfR_pos	yjjQ//glmY//dctA//kdpC//ddpC//ugpE//rstB//fhuC//ynbD//rprA//aroP//rutR//
HypT_neg	gcvP//ybfN//fliQ//cysE//yeaH//
HypT_pos	betI//aceK//fnr//nikA//norV//pgk//ybjG//rpoE//
IclR_neg	gatA//dapD//fliN//metH//
IdnR_neg	accB//emrY//
IdnR_pos	rpiB//gatA//recA//yccJ//prpC//
IlvY_neg	ycjX//
IlvY_pos	phoB//
IscR_neg	argF//fliJ//ydfH//gspL//tcyJ//wzzE//tisB//pncB//flhE//pykF//casB//nanM//yhjX//rutD//cydA//phnK//narJ//ttdR//nrdA//grcA//galE//
IscR_pos	frdD//wzzE//astE//yhdZ//kbaY//glpB//phoQ//yqjH//gspI//flgD//ymjD//
KdgR_neg	hypE//moaD//
KdpE_pos	adiC//idnK//pepA//ftsZ//
LacI_neg	trpR//argO//argO//
LeuO_neg	lacA//nanA//cysH//
LeuO_pos	metK//galM//ydjM//fliG//ybiT//pstB//flgN//hycG//uidR//ynfF//pflB//mngA//puuE//leuA//entA//atoD//fecI//nrdG//
LexA_neg	hyfJ//pflB//melA//idnO//ttdR//nagE//carA//lacZ//fpr//lrp//rpoH//cusA//agaV//fecE//fbaA//phnP//glgB//ydiU//fliP//metB//setA//lsrC//inaA//dmsA//arsC//glgA//nirB//dgkA//nhaR//rhaA//ydiU//moaC//exuT//ydeP//nuoN//agaW//ddpF//gor//alsC//betB//gfcA//lacZ//glgB//dsrA//rutD//motA//hyfC//garD//hcaB//modA//fecB//rbsB//isrC//tehB//marB//mdh//cspI//ybbW//cra//
LldR_neg	cyoD//paaJ//rbsD//
LldR_pos	chbB//glmS//fliH//
LrhA_neg	nfo//ttdA//
LrhA_pos	tisB//yeaH//
LsrR_neg	argA//nuoJ//ynfH//fabD//cbl//waaH//lrp//gltD//hcaC//
LysR_neg	ugpQ//
LysR_pos	creB//
MalI_neg	mhpD//hns//ymgA//
MalT_pos	hyaF//hokD//pflB//dcuB//narJ//glnG//bioB//casB//yhdW//ybhL//
MarA_neg	ybhF//murQ//lysO//soxS//hycC//tnaA//phnI//
MarA_pos	paaK//ugpB//folE//metR//nusA//purD//aroL//trpA//waaH//pstB//tyrR//citD//rybB//nrfC//cpxQ//murC//rffM//lldP//dnaG//uvrD//creB//yjbH//fhuF//rimK//iraM//fliC//gspD//cytR//entE//gabP//glmY//
MarR_neg	yncE//dcuB//cynS//
MatA_neg	garR//ariR//wzb//dhaR//ihfA//gadY//
MatA_pos	nagE//leuD//
MazE-MazF_neg	oppA//exuT//wrbA//
MazE_neg	moeB//sodB//dcuS//
McbR_neg	yoaG//
McbR_pos	flgC//ybjC//leuC//
MelR_neg	sdhB//xapA//aroL//
MelR_pos	tolC//ecnB//glgP//
MetJ_neg	fdhF//puuA//mdtF//araE//ydfH//glgP//cysP//wcaA//entD//mlrA//allA//modA//ttdA//glyA//fepA//
MetR_neg	fadB//mngB//
MetR_pos	rhaR//mglA//aspC//ssuE//
MhpR_pos	dinD//glk//flgF//ykiA//fliC//zraS//
Mlc_neg	ycjX//appC//grcA//acrR//napB//ydeP//flhE//yhiM//ascB//gspK//
MlrA_pos	ttdR//kdpC//purN//xapB//csgC//lpxC//cyoE//flu//tnaA//higA//
MngR_neg	fumB//adiA//argC//
MntR_neg	ychF//cirA//iscS//paaB//
MntR_pos	betB//
ModE_neg	torC//skp//ulaC//dhaR//purA//moaD//gatZ//sucB//hipB//cspE//kdpF//ulaA//phnD//sufA//rpoH//
ModE_pos	waaH//mgrB//ogt//lgoR//lexA//znuC//feaB//agaR//gspI//caiE//yjbF//yqjA//treB//paaH//trpA//ccmA//glnQ//potG//aidB//gadB//recC//recA//modC//creC//edd//oppB//hha//gspI//yqjH//yoaC//fadI//
MprA_neg	fliG//gadF//gntT//glcG//yqhG//cusA//
MqsA_neg	polA//citC//cas1//fliO//rpsO//fliP//gspJ//lon//
MraZ_neg	gnd//fepE//sdhD//umuC//ygeH//dcuB//putA//ynfH//flhB//nrdG//ulaE//sgrS//relB//sdhB//ulaC//mgtL//argA//
MtlR_neg	mlc//flgI//focB//
MurR_neg	casB//evgS//fucO//
MurR_pos	phnE_2//
Nac_neg	htpG//tynA//galK//ynfK//bluF//idnD//tnaB//yjbH//intQ//
Nac_pos	htpG//cdd//metK//yibQ//ccmB//znuA//lacY//yhdZ//evgA//fadR//pck//flgL//
NadR_neg	fhuB//rbsK//tauD//fliD//
NagC_neg	dinQ//tdcF//leuC//ydfN//dkgA//argA//malF//hcaF//yhhY//pgm//rcnA//baeR//ydhY//hcaE//atoA//ydfX//fldB//crl//napC//hemH//gntK//ybiT//fixB//nuoM//gltB//yfdX//bioD//rutB//yaiA//pspD//yeiB//znuC//idnO//
NagC_pos	ydfW//hycA//leuB//
NanR_neg	ykgM//inaA//appX//fadB//fliZ//guaB//mcbA//malM//glcD//ydbD//
NanR_pos	omrB//
NarL_neg	nrdD//cecR//hisM//agaA//modB//norV//tisB//gntX//ddpD//metN//chbR//aceK//flgL//atoE//agaI//glnP//yiaM//cysK//hcaF//uvrB//tyrP//lacA//yefM//mepH//crl//zraS//agaC//metC//ydfW//sucD//treC//nimT//fabI//glmS//entC//bamE//cadC//recB//leuA//glnA//ppiA//srlB//creB//creA//pqiB//chbF//yhbT//dtpA//mioC//ccmB//thiP//tnaC//fldA//ldtD//yeaH//artI//frdD//tdcE//ygdB//aceB//baeS//znuB//ssb//exuR//allC//gcvT//osmY//rcnR//phnE_1//cspI//fadA//cusA//ruvA//rbsD//gadA//csgE//hyfR//yidQ//mazG//arsB//yciW//pgi//wzzE//entH//rpoH//infC//fliK//
NarL_pos	oppC//paaG//glpC//cysH//araF//wza//uspA//guaA//dinD//fdnG//ttdA//rpiB//arsB//amtB//feoA//ompC//dmsB//glgX//wzzE//ddpB//prpD//nrdI//entH//wza//paaA//yedX//glk//higA//lpxC//flgN//glnB//gltK//recD//hycI//phnN//ycjG//artJ//ptsI//mhpD//phnP//hisQ//zraS//glmU//
NarP_neg	dcuA//astD//nrdG//torR//nfsA//mhpT//iraM//yhbS//treR//omrB//puuR//ddpB//fadB//galT//ydcT//ymgA//hdeA//fucR//tbpA//kdpF//entH//yjeV//ruvA//glcG//mglA//phnN//moaD//ydfN//ydcS//dinQ//poxB//xylH//argG//
NarP_pos	csgG//pspA//cas1//allA//deoB//cadB//tyrA//gcvH//bolA//rcnA//ynbB//garL//manX//aroP//nanA//ygiC//ybhS//fldB//argO//leuO//phoA//hypC//betB//inaA//thiQ//ulaA//sgbH//fecB//relA//fecB//moeB//rpoS//
NemR_neg	cysJ//fixB//uspE//
NhaR_pos	uvrA//glgX//yhiD//fucP//yiaL//cdd//yiaM//
NikR_neg	stpA//fhuA//yafQ//cydD//fadL//asr//
NimR_neg	rpmA//bhsA//
NorR_neg	yhbE//
NorR_pos	araB//hyaC//
NrdR_neg	ybjN//artI//paaZ//purM//cpxA//mhpC//mazF//ccmF//atoB//
NsrR_neg	tadA//ydhX//folE//glnA//fixC//pheM//htpG//grxA//yciW//lacZ//dicC//rffT//pncB//flgN//hyaD//nuoB//sra//hyfJ//cynS//osmB//modA//tyrA//ydhW//aceA//phnI//citE//murE//garK//yjbG//metE//nfo//ariR//chbA//mdtB//baeR//hyfF//pfkA//ynbB//mgrR//uidC//yhjA//fdnH//cspD//gspF//feoB//znuB//rseB//sroD//kbp//rarA//nuoH//lacY//folA//murR//hcr//tktB//srlD//puuD//psiF//pnuC//nuoN//yefM//ldtC//leuL//tdcC//envC//sodB//flgH//idnT//yfdV//phnO//ftsL//ftsW//prpR//dnaA//flgD//ytfE//lsrC//hyaF//hdeD//flgG//nhaA//yncE//
NtrC_neg	ppsA//nagE//hns//yciG//cpxQ//caiE//
NtrC_pos	hycC//glnK//waaZ//ldtD//kbaZ//fdnI//aroF//fldA//glmU//yjjQ//glpA//moeB//argI//emrY//rcnR//purE//sdhA//galT//glgX//betA//glgB//purK//acrA//appA//yegZ//ulaF//rybB//hyfF//glnA//rhaR//prpB//adhE//yiaM//fadL//dnaA//gpmA//flu//insK//cheW//flhE//dgcZ//galS//yhbT//napB//hemH//lldD//purL//hyfA//fabD//
OmpR_neg	yebG//idnR//ygbK//galE//gcvH//feaB//glcD//caiF//ldtD//motA//fliL//gpmA//
OmpR_pos	hyaB//murG//thiP//glmY//yhjA//nuoN//norW//uxuB//gfcA//napG//
OxyR_neg	fepG//cysW//flgN//cpxP//malI//cynR//norV//dmsB//sgbE//cheA//ldtC//slt//
OxyR_pos	entD//rpsU//hybB//xylA//aspA//aceA//aceK//narX//iraP//narK//lsrG//rplT//agaI//csgF//nfuA//cueO//pheM//treB//agaR//focB//hyfJ//cadA//
PaaX_neg	sroC//pspD//trpL//cydB//ycgZ//ugpC//exuT//ccmH//uhpT//dsbC//ldtD//malF//glnP//mprA//
PdeL_pos	tyrB//
PdhR_neg	leuL//fadI//fepD//argP//glmS//infB//dtpA//ulaE//prs//rffG//pdeL//ydeI//amn//malZ//dnaN//cpxA//fixA//fucO//lacZ//relA//lsrG//cynR//astB//grxD//csgG//uxuB//feaB//sufA//ampC//ddpF//hyfD//astA//nupG//uvrC//paaG//ptsG//
PdhR_pos	purH//sbmC//glpQ//nrfE//fbaA//
PepA_neg	mdtD//gpmM//hycG//
PgrR_neg	recD//sodB//cheW//leuD//wecE//yjbH//murQ//flgJ//
PhoB_neg	dinD//fhuD//recD//ydiV//rseC//lsrA//rbsC//idnO//uxuA//yhdZ//yeaG//obgE//
PhoB_pos	bioB//yaiW//ebgA//talA//gutM//metQ//patA//ynfK//tdcD//ydhW//pstA//rhaR//gapA//cpxA//tfaQ//dinI//tbpA//tnaB//argP//lldR//mtlA//yfiR//dsbC//flhC//lsrB//fucO//cra//cspD//ymjC//bglJ//epd//allB//xylR//pspE//gabP//ybhR//uof//tdcD//gspG//glnG//bglF//ibaG//dcuA//yfiB//metR//rpoD//efeU_1//recB//citC//garP//ybhR//agaB//frdA//
PhoP_neg	gatZ//appX//nrfD//nupC//feoB//tdcC//srlB//tauA//potI//gltF//sucD//
PhoP_pos	yfdE//hyaB//cysH//mhpT//murP//rbsK//torR//sufS//ppdB//yhdW//yjjZ//adhE//argG//nuoG//flhE//gabP//lldD//ybaT//rdoA//infC//htpG//entB//lysA//sucD//oppC//ssuD//lldD//sodA//mntS//xylF//moaB//nrfD//mhpA//purH//ccmG//mhpB//yeaE//pepD//glnK//cra//nikD//tsx//nrfB//sulA//yqjI//cysN//chbR//bioF//
PrpR_neg	dinB//
PrpR_pos	relA//cydC//glgA//dcuR//
PspF_neg	wzc//
PspF_pos	hyfE//paaY//ydhU//rbsC//yjiY//gspC//
PurR_neg	ppdC//nrdG//ttdA//mhpE//mdtA//narX//kbaY//prpE//ftsL//gapA//nfsB//rutG//mhpE//aceK//yqhG//rybB//ogt//pepD//glpX//phnM//srlB//ptrA//xapA//fadM//nikB//entB//araD//malX//gntU//yidL//mhpF//
PutA_neg	luxS//metJ//
PuuR_neg	uhpT//betI//paaC//treR//gcvB//cysJ//glnQ//
QseB_pos	malT//murF//oppB//ydfH//
RbsR_neg	fhuC//ydiV//higA//metB//hybA//gspK//pdeH//isrC//
RbsR_pos	allE//
RcdA_neg	phoE//relE//
RcdA_pos	yiiS//ftsA//bioA//potH//aroM//argA//ybfE//
RclR_pos	gltF//nrdF//amn//
RcnR_neg	purF//cydA//erpA//
RcsAB_neg	iscU//pstA//appA//rsmH//gudX//gadY//
RcsAB_pos	ruvA//uidA//yebG//tfaQ//rffG//mgtA//pgaB//ftsW//narG//emrA//
RcsB-BglJ_pos	borD//entA//prpR//feoB//artP//pnp//hyaC//zwf//napF//nikR//rtcB//fadD//yqhG//rpoD//lsrD//yncE//
RcsB_neg	ydcU//sodB//
RcsB_pos	araA//rnlB//carA//pck//arsC//tpiA//mraY//hycD//tauD//nadA//napH//pgaB//alsE//pdeR//phoP//kbaY//lsrD//metA//ycjY//astD//dmsA//bioD//fhuD//
RelB-RelE_neg	yhcH//ascF//pqiB//
RelB_neg	sufD//fucO//polA//
RhaR_pos	tynA//gltF//
RhaS_pos	potF//sbmC//fliM//tbpA//rob//tsx//
Rob_neg	tsgA//
Rob_pos	metE//bdm//ydcU//tauA//torD//nrfE//agaS//lldR//hypB//mqsR//mhpE//tolC//rdoA//sufB//modC//tdcG//fliQ//ugpE//cusF//glyA//ssuB//aroM//decR//garR//ykiA//
RstA_neg	murI//gntX//leuC//cspI//potI//
RstA_pos	hcaB//ttdA//entD//rffH//prpD//
RtcR_pos	nrdD//ygiZ//
RutR_neg	ldtB//infC//hycG//betA//qseB//evgS//nupC//ydfE//argI//yoeB//gltD//thiP//higB//puuE//purM//
RutR_pos	yhiM//glmY//
SdiA_neg	fabH//mepH//yaiW//
SdiA_pos	lpd//oxyS//araE//
SgrR_neg	rutD//ydfN//chbC//puuE//lpxA//
SgrR_pos	prpC//pstS//flgE//rpmA//
SlyA_pos	gntP//
SoxR_neg	ftsQ//
SoxR_pos	nrfD//lysP//
SoxS_neg	hycG//lsrA//
SoxS_pos	malS//dsbC//yccJ//fucO//fliN//fecI//glpT//dhaM//exuT//borD//micF//casD//grxD//hisJ//marB//fucR//yjbE//ccmD//gspK//yiaM//tdcF//rimP//narL//allE//zraS//ccmG//rbsK//emrA//yiaO//yjbF//dhaM//dsdA//ascB//phoU//yegH//flgE//appA//ydeM//
StpA_neg	ulaG//nrdE//amtB//flgB//paaY//mraY//purE//
SutR_neg	galE//uvrY//dctA//ynfH//yoeB//
SutR_pos	ybfN//
TdcA_pos	ftsL//folE//fadM//ybiT//galM//flgD//marR//
TdcR_pos	glpD//purA//rpmA//gadC//bamE//nemA//kbaY//
TorR_neg	rsmH//appY//ebgA//
TorR_pos	dnaG//modC//fdhF//rhaS//malS//napF//dkgA//glgP//dcuB//
TreR_neg	malP//idnD//
TrpR_neg	paaE//ulaC//acrR//flgE//molR_1//ribA//wcaA//pagP//yhdW//cynT//lldR//tomB//
TyrR_neg	atoA//ssb//nikE//hisM//katE//ilvY//yhcH//gpmA//phnP//ydbK//
TyrR_pos	gltD//zraP//gadA//
UhpA_pos	glk//
UidR_neg	folA//ftsW//tdcC//torR//
UlaR_neg	ilvC//chbA//bglB//dsdA//zraP//nuoH//fliS//
UvrY_pos	deoB//glk//fumC//prpC//ubiC//
UxuR_neg	rutD//fliS//mazF//recX//fabH//appY//nanK//citE//atoE//
XapR_pos	ybfN//paaF//
XylR_neg	fldA//
XylR_pos	ybaS//sgrS//glcB//degP//nuoF//gor//
YdeO_neg	gcvB//pstB//
YdeO_pos	ccmA//fepE//yiaN//hybG//ccmF//evgA//amtB//yhcH//zraR//mngR//efeU_2//prpC//caiB//rbsA//gudD//lacY//mhpA//hemL//yhjX//
YedW_neg	phr//rpsU//ygeH//sgrR//hyfH//
YedW_pos	hypD//uof//hflD//glcC//uof//oxyS//ebgA//
YefM-YoeB_neg	dcuD//dacC//
YefM_neg	carA//gntU//
YehT_pos	chbB//
YeiL_pos	purH//
YiaJ_neg	yebE//pgaA//patD//purE//yjbH//hyfA//pheS//narJ//mngR//ybhR//
YjjQ_neg	paaY//argF//ynbD//uidR//dsrA//cdd//gpmM//ykgO//pstB//evgA//
YpdB_pos	yedX//
YqhC_pos	dmsD//xylG//
YqjI_neg	ycjG//araE//
ZntR_pos	torR//
ZraR_pos	astA//mtlD//citG//
Zur_neg	cheW//yeaH//pgaC//yqjH//nfsA//rnlA//
