#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ebgC//envC//
FlhDC_pos	purR//ptrA//dsdC//mipA//rnlA//murP//purC//rseC//fliR//yjbH//sgrR//astE//wzc//ydbK//lsrK//fhuE//pykF//xylH//malI//phoE//sra//metI//rutR//lysO//gpmA//yhjA//sufC//ybhG//fhuE//glgB//lldP//ppc//sulA//hyfC//gapA//phoQ//cpxQ//pdeR//uidB//umpH//yafN//kdpC//accB//rutR//yeaE//fucO//ymgC//cadB//sdhC//dsrA//yhjA//crp//zwf//csgB//agaS//omrA//sufB//fdhF//crp//lsrB//ftnB//yoaG//tsx//fecD//fabD//rfe//idnK//yidL//citX//fes//ribA//rcnA//ompT//baeR//caiE//ydfN//bacA//entA//
FliZ_neg	phnJ//dicC//recF//flgJ//tadA//mtr//hybB//ilvY//tauB//purL//ydfX//narK//norR//dcuA//hokD//isrC//allC//nrdD//fdnI//cirA//araB//
FucR_pos	fixC//ugpQ//nuoA//glpT//yedX//uvrD//hisJ//
Fur_neg	zinT//moeA//araJ//yqjA//tauD//pepA//luxS//entS//sgbU//nrdE//srlE//trpL//fumB//sdhB//fhuA//yeaD//gspC//ydfW//dsbG//rcnB//erpA//rclC//aroF//lsrF//sgrT//gltD//hyaF//tauD//oxc//uxaA//ydcS//ydfD//phnE_1//epd//dinJ//folA//yoeB//argE//aidB//murR//purC//dkgB//ygiZ//nrfF//yiaK//uidC//osmY//cadA//fliL//pheS//nuoM//paaH//rbsA//rhaA//yfiR//gatC//yciW//rob//degP//rutR//mngA//cysN//hdeD//gcvT//eno//yidL//ecnB//fadD//atoD//deoA//tdcD//yegH//znuB//mngB//malY//rybA//fdnG//yaiW//dcuA//rprA//ccmC//sbcC//yqhD//phoR//dapB//gcvB//yfaE//pgi//fbaB//edd//flgI//crl//rpiB//phnK//metC//ydhY//yhjX//acrR//mdtA//tnaA//dacC//flgB//tdcG//mngR//ykgM//paaF//purA//ttdB//tktB//lysP//melB//napB//manX//feoC//yeaR//
Fur_pos	pepD//glpT//puuD//gcl//puuA//appY//nusA//tauB//ccmG//nagB//phnI//murD//spy//cpxA//sodB//cysG//fecD//insK//dhaL//ribA//exbD//
GadE-RcsB_pos	rbfA//yfdV//araA//argO//lpxA//ymgA//alsC//ycgR//pstC//
GadE_pos	fepG//hybE//hybE//yoaG//lyxK//rcsA//ddlB//ygaC//ubiA//cysJ//yeaE//znuB//rffT//ssuE//wzc//sgrS//rffH//ynjI//hydN//pck//rtcA//rutG//yhdW//fpr//tolC//mgtA//nrfC//leuC//malZ//
GadW_neg	exbB//rhaB//caiE//ddpA//dsdC//glnB//ybhS//nagE//rimP//acrA//fldB//
GadW_pos	yciF//wzxE//hycG//pagP//glxK//glnP//fucO//ycdZ//dgcN//iraM//fliK//
GadX_neg	cho//ulaG//hypF//aceF//ybhF//dhaM//
GadX_pos	mdtC//ydhU//yjeV//mscM//glxR//potF//sgbH//yqjH//sufC//nimT//ssuD//polB//purR//eda//fadH//nuoG//dhaL//yccA//fnr//metY//ynbB//zwf//lolA//flgA//mhpD//ynbB//narI//
GalR_neg	acrD//ydeP//paaD//fur//allA//rutA//glcA//gntT//treC//ompC//
GalR_pos	rutB//ygdB//norV//rcnB//
GalS_neg	ybjN//ugpC//mhpF//metF//cpxA//glpK//pgk//rutD//nikA//intQ//
GalS_pos	rdoA//glpA//gapA//wzc//
GatR_neg	rutR//yfbR//ygbK//feoB//malM//entE//
GcvA_neg	cra//cynX//htpG//galK//
GcvA_pos	glnA//yqjA//sdhB//ybhL//
GlcC_neg	appX//
GlcC_pos	feoB//glgC//paaY//alsA//accC//casC//
GlpR_neg	purC//yqjH//yeaD//yafQ//rpiB//fabA//paaE//focA//pnuC//
GlrR_pos	narG//yfdV//glpF//agaV//tomB//
GntR_neg	fucP//dctA//hyi//yqjI//paaZ//yhcH//caiD//yjiY//cueO//mqsA//alsA//gntX//
GutM_pos	fliK//wcaB//ygiZ//rffC//fepD//csgF//uxuB//
GutR_neg	aidB//lacY//xylF//aroH//narL//argT//ydiU//
HU_neg	hybD//prpE//rarA//fbaA//gntP//phnG//csgC//torR//
HU_pos	flhD//
HcaR_neg	amtB//
HcaR_pos	dcuD//nrfB//pyrD//glcD//sra//
HdfR_neg	yeiL//rplT//
HdfR_pos	mngR//rpsO//wecB//
HigA_neg	fabA//gltD//
HigB-HigA_neg	idnT//dinG//
HipAB_neg	dhaL//fadE//dinD//csgD//flgJ//
HipB_neg	sdhA//tehB//cho//glmU//agaA//gatA//
HyfR_pos	oxc//rprA//kbaZ//prpD//hokD//gudX//nuoM//putA//wzc//yefM//ftsK//ydfX//
HypT_neg	fliH//csgC//galT//mlc//hmp//
HypT_pos	paaJ//mglC//dsbC//lrp//baeS//fliD//cydA//ebgC//
IclR_neg	flgN//dgcC//rutB//nanA//
IdnR_neg	yccJ//rimK//
IdnR_pos	mtr//atoB//narL//fumB//borD//
IlvY_neg	nemA//
IlvY_pos	fixX//
IscR_neg	acnB//cynS//glpT//flgI//nmpC//galT//pdhR//pgaB//fucI//nanM//citC//cydB//asnC//gltI//mpaA//argP//fliS//cynR//recA//uhpT//pgk//
IscR_pos	yhdZ//fhuF//gabT//ygiA//dps//pheS//gadC//gadF//baeR//rhaR//fliC//
KdgR_neg	nrfG//araH//
KdpE_pos	moaD//pheM//ydeM//ydhX//
LacI_neg	ulaB//flhE//insD//
LeuO_neg	nagB//atoE//rbsK//
LeuO_pos	hypF//bglJ//glcB//glmU//ybfN//fucR//uof//gspF//waaZ//xapA//hybB//ybbW//pgi//asr//ppdC//carA//yhcH//ebgA//
LexA_neg	srlR//yeaR//dapD//gadE//ompC//argB//yjjQ//manZ//rffM//hypD//puuP//fhuB//ftsL//fliF//emrK//fldA//ulaD//phnK//gyrA//yhcH//paaF//appC//murD//nusA//metC//ldtB//ompC//galM//dcuS//garP//ydeP//mhpE//flgI//ttdR//ykiA//galS//fdnI//pck//ydjM//yqaE//phr//leuD//purH//gcvT//crp//tauC//pheS//waaY//napD//xylR//aroP//omrB//gatD//gatD//gyrA//mntS//moaC//manX//dpiA//
LldR_neg	ptsH//paaC//citG//
LldR_pos	ybfN//nohA//ugpB//
LrhA_neg	mhpC//artI//
LrhA_pos	glnA//nuoE//
LsrR_neg	rpoS//deoC//moeA//glpT//cysG//gadY//lsrA//dinI//uhpT//
LysR_neg	treC//
LysR_pos	iscR//
MalI_neg	ppsA//wcaB//tdcE//
MalT_pos	prpB//astB//rprA//frdD//allC//ptsI//gyrA//truB//rpoS//modB//
MarA_neg	ilvY//metI//nuoN//fdnG//leuB//dctR//rnlB//
MarA_pos	murG//hyfJ//flhE//umuC//ynjI//glnP//chbA//nikR//poxB//gspJ//yccJ//argG//tauC//tpiA//gatB//lyxK//flgE//xylR//ugpB//acrR//glcC//astA//fliO//cyoB//safA//metI//lsrK//rseB//flgB//purC//murI//
MarR_neg	oppF//gntK//udp//
MatA_neg	carA//lolA//sdhB//ydeI//iscS//mglC//
MatA_pos	mglC//fliR//
MazE-MazF_neg	citE//fabZ//caiF//
MazE_neg	hcr//hycC//sufS//
McbR_neg	pspC//
McbR_pos	yebE//pqiB//baeR//
MelR_neg	rbsD//fixA//cysW//
MelR_pos	ppiD//pspA//cydA//
MetJ_neg	higB//wzc//tsgA//sufD//rnlB//entH//ybdZ//ygdB//nemA//zraP//leuL//ygaC//ascB//mcbA//fhlA//
MetR_neg	ftsW//fhuF//
MetR_pos	glpT//lldR//iscU//lldD//
MhpR_pos	mhpB//aceA//gcvA//atoA//yciE//nemR//
Mlc_neg	wzxE//flgH//hyaC//rclA//rffH//bhsA//gntK//yhdW//lyxK//hyfB//
MlrA_pos	arsR//nrfA//gpmM//idnR//glnD//rclC//hycF//deoA//phoQ//allA//
MngR_neg	iscS//zntA//creC//
MntR_neg	paaE//yiaM//paaD//borD//
MntR_pos	ydeI//
ModE_neg	alkB//uvrC//rnlA//yoaG//citF//ulaD//degP//mdtA//trpE//pspB//deoA//sgbE//tcyP//flgB//cspE//
ModE_pos	ygiZ//ynfH//rcnA//mglC//dgcZ//treC//fau//rutF//amn//ytfE//ttdR//evgA//hdeA//wzyE//ygiC//mngB//mazE//tcyJ//kbaY//gadW//ftsK//zinT//xylB//mqsA//rimP//fabA//dtpA//yiiS//cyoA//entB//betB//
MprA_neg	lrp//tcyP//csiD//fucK//cusR//hyfG//
MqsA_neg	yafO//rbsA//fliZ//nuoN//mepH//trpD//cspD//mazE//
MraZ_neg	fhuF//fabH//fucI//phnK//sgrS//ilvY//lrhA//garR//yncE//yiaJ//flu//fecR//bioB//yjhC//kdpC//cusS//fldB//
MtlR_neg	gnd//ydcV//flgK//
MurR_neg	ydfE//atoD//yhiM//
MurR_pos	rstA//
Nac_neg	fbaB//patA//hcaB//uvrA//uidR//cysW//argF//kdpC//cbl//
Nac_pos	caiB//rbfA//ttdT//ascF//rcsA//malE//aroP//emrY//argI//nfsB//ttdB//allE//
NadR_neg	hyfR//fadI//tyrA//chbG//
NagC_neg	malI//ftsL//fhuB//yncE//glnB//araJ//pepD//eno//gpmA//cbl//frdD//paaK//ariR//chbC//xylR//uhpT//dmsA//rpsU//gspF//lolA//srlD//higA//fdhF//puuR//bamE//katG//glnP//nagB//casA//cbl//dsdC//wzzE//rffH//
NagC_pos	rfe//phnO//mngA//
NanR_neg	speA//fbaB//thrS//dgkA//exuT//rstB//lysC//caiD//yiiS//mtr//
NanR_pos	atoB//
NarL_neg	pspD//inaA//hyaE//xylR//galE//gltJ//phoH//alkA//gnd//hokE//frdD//garL//rbsC//glnH//ptrA//hemL//torA//flgF//arsC//casB//pheM//yqaE//tolC//aceF//astD//phnO//glpF//agaA//yqhG//gltI//fadH//cysG//nupC//murD//exuR//nanT//dnaN//nhaR//ompT//yeaG//wrbA//ppiA//paaZ//nanC//flgC//glyA//puuC//rnpB//rbfA//lexA//ymgC//garP//fadJ//nanE//agaB//wzc//murF//phoR//flgH//bioC//purA//putP//metF//fliE//chbA//dapB//chiP//dapD//chbC//bhsA//cirA//kbaZ//ugpB//aroH//xapB//mntP//sufS//garP//pspE//caiF//rpmI//rhaB//rplU//cvpA//sodB//rfe//ybdZ//
NarL_pos	ybbW//lon//yciG//mdtA//cheW//citE//araD//mscM//creC//dctR//fabZ//frc//ccmD//csgE//gadC//mhpA//astB//dsdC//prpD//murR//pdhR//glpF//rhaS//yafP//tyrB//hypF//argI//ttdA//dmsA//murD//yegH//astB//yciW//cysD//rutD//focB//tomB//yeiB//tolC//pgi//gltD//entC//rffT//
NarP_neg	fliN//lsrD//hdeD//tdcD//nikC//flgD//relE//ymjD//yeaG//ptsH//ilvY//nimT//cysU//pgaB//ulaC//manX//feaB//fdnH//tam//dapB//metL//thiP//moaA//crr//yoaG//yhdY//cheW//gspE//pgi//lacZ//rhaT//ybaT//glpT//
NarP_pos	napH//xylA//cydA//yjbF//puuR//agaV//xylG//treR//ybbW//iclR//purA//katE//gatB//emrK//murR//uxuA//sulA//xapA//relB//rclA//allE//focA//hcaB//lpd//ttdA//dmsA//rutC//ascF//gspI//yqhD//pdeR//cysB//
NemR_neg	murR//mtlR//nrdE//
NhaR_pos	hybC//nfsA//malI//cas2//ybbW//ynfF//cydA//
NikR_neg	lamB//puuE//hyaC//borD//fliD//fabG//
NimR_neg	wecE//rseB//
NorR_neg	hyaC//
NorR_pos	nemR//omrB//
NrdR_neg	sgbE//purR//dkgB//sdhB//uvrA//murG//csgD//gntK//ycgR//
NsrR_neg	htpG//hcaD//betB//focA//yhbS//uhpT//nikE//metR//cusB//fau//tdcG//yfiR//flgK//glpX//rstA//uvrC//fabI//yqjA//rclA//fliS//chbB//csiD//yqjH//glcB//gutQ//degP//purL//ymjD//rbsR//sucA//aspC//yciW//dctR//metQ//prpR//rhaS//napC//phnE_1//hcp//gltK//yaiA//leuD//yebG//bioB//artJ//glmS//fliI//fliG//xylG//gntP//purH//citX//gltK//rseA//mscM//tolC//znuC//tynA//creC//paaD//mglC//ccmH//trpA//ppsA//baeR//murC//hlyE//nirC//hyfB//bacA//yiiS//creA//flgA//slt//fepD//fliD//purB//cas1//agaV//metI//isrC//sufS//mdtC//
NtrC_neg	cspI//betB//pspC//mhpE//fixB//pfkA//
NtrC_pos	mnmG//hybG//waaH//potF//ftsA//malM//chiP//rffH//purN//yjbH//dinF//mraZ//pck//wza//ugpB//ygiC//pdeH//murP//bdm//flgG//tehA//metI//casC//flgN//fadJ//nhaR//lacA//dinQ//idnT//paaG//paaF//argG//cpxR//deoA//yfaE//sra//gspC//ydfH//aroM//manZ//iscU//degP//recB//psiF//nadB//ymjC//recC//dinI//argD//
OmpR_neg	fepE//asr//metB//fabG//lldR//rseA//yciW//pgaB//acnA//dctR//allB//pspA//
OmpR_pos	tsgA//moaC//oxyS//ogt//nirD//ynjI//ldtD//mcbA//nikB//gspD//
OxyR_neg	cysN//umuD//idnK//fes//nusA//flgG//napH//rffG//yjbH//hdeD//umuC//ynjI//
OxyR_pos	hycD//ecpA//waaZ//nfsA//fabG//cho//ygiB//oppF//cynR//fliO//ycjX//flgN//yegZ//aspC//rseB//ymjD//ssb//agaB//gcvT//ydeP//cra//nrfE//
PaaX_neg	phnG//baeR//garK//hyfE//nrdD//higB//trxC//narX//dhaK//recB//agaC//citD//wza//glcB//
PdeL_pos	appB//
PdhR_neg	flgH//ybaS//isrC//rpoD//malS//hyfD//amtB//nfo//dcuA//citG//ugpE//mltF//phnK//dcuB//prpE//yeaD//fabG//malS//citF//uidR//narG//cysH//sufB//sdhB//ilvY//yecT//acrR//cvpA//acnA//phoH//rffG//lgoR//oxyR//hdeD//dpiB//oppB//
PdhR_pos	glpK//glnA//dsdX//fecC//yeaE//
PepA_neg	yegZ//pspE//leuD//
PgrR_neg	ydhU//aldA//gspL//sfsB//infB//frc//ahpF//yecR//
PhoB_neg	ptrA//flgC//rutC//fucP//rffG//manX//purK//cysU//oppA//lacY//dinQ//baeS//
PhoB_pos	cspI//ybhL//ydbD//fdnI//ada//puuB//cdaR//yiaN//hypB//hyfC//exbB//hyfD//prs//icd//rseB//fldB//nrdD//glpK//lysC//nuoH//wzb//murG//lysO//ndh//oppA//fimB//yegR//argE//htpG//efeU_2//fadD//fau//hyi//pheS//cysG//insD//leuC//qseC//psiE//fliN//lamB//fruB//nuoC//nrdG//luxS//ebgC//nikA//allC//sroA//mcbA//mhpA//uxuR//ttdT//
PhoP_neg	hisM//codB//artJ//hybC//pdeR//malF//ulaA//frdC//tnaA//ygeH//chbG//
PhoP_pos	bglG//mdtB//ompT//yhdW//ddlB//rcnA//hha//iscA//pdeH//mqsR//phnE_1//kbp//phr//torC//cyoC//fliL//cbl//paaA//grxD//nrfB//sufC//nikB//cpxR//hycA//rutF//hybA//cspI//phoQ//fpr//ycgR//cas2//rstB//ybjC//relA//phnE_1//dinQ//yiaN//glmY//hlyE//alsB//guaA//iraM//chbC//mhpE//nrdE//napB//cydA//ybhG//
PrpR_neg	narJ//
PrpR_pos	fliQ//sutR//fepD//araE//
PspF_neg	rstB//
PspF_pos	hisP//nemA//pnuC//tomB//lldR//nfuA//
PurR_neg	ugpC//galE//argG//napD//gudD//fumC//rbsR//gltL//evgS//metJ//araC//narK//ttdB//yfdV//csgB//ulaC//ygbK//mcbA//cas2//uxaA//ytfE//yedX//sufB//fliA//nrdG//fhuC//ybjG//ariR//frdC//malS//cysG//
PutA_neg	lacZ//ecnB//
PuuR_neg	dgcZ//gltD//znuA//ykiA//ccmC//rdoA//casB//
QseB_pos	dinI//sucB//betI//fliF//
RbsR_neg	agaS//symE//gatC//flgF//ulaD//ygeH//glyA//erpA//
RbsR_pos	moaE//
RcdA_neg	hemL//rbsB//
RcdA_pos	dhaM//entA//aceA//yqhD//uidC//fliE//fliR//
RclR_pos	ndh//fecR//srlR//
RcnR_neg	nac//ebgA//phnN//
RcsAB_neg	rhaB//rcsA//rpmA//icd//argF//hlyE//
RcsAB_pos	tcyJ//wzc//mhpE//zraP//garK//bglF//ndh//tauC//ycjY//rcsA//
RcsB-BglJ_pos	malQ//glpT//fhlA//citX//relB//ung//cysC//paaH//iraM//relE//gltB//oppC//sgrS//wrbA//ydeP//fadR//
RcsB_neg	galT//mzrA//
RcsB_pos	nupG//tfaQ//cspD//glgP//ydhW//puuB//caiD//agaV//frdA//hcaF//ygiC//nuoJ//gabP//gabD//osmB//rpoS//katE//ddpX//acnB//gudD//cysD//dgcZ//fabH//
RelB-RelE_neg	dicB//hisQ//uspE//
RelB_neg	nfuA//gntP//araE//
RhaR_pos	ygiZ//gadF//
RhaS_pos	nfsB//alkB//pdeR//zntA//cydA//mgtL//
Rob_neg	osmB//
Rob_pos	wecB//nhaR//tisB//dcuA//hdeA//kbaZ//ydcS//rpmI//rutC//oppA//yqhG//galP//uidA//yciF//bolA//norW//uvrY//dtpA//lacY//hypA//dsbC//tdcC//ydeP//rutR//ftsZ//
RstA_neg	malZ//dps//mgrR//yhbT//fecI//
RstA_pos	lldD//yneM//insD//ynbB//phnG//
RtcR_pos	phnL//csgE//
RutR_neg	fur//dhaK//pspC//mprA//mlrA//ymiA//ynjI//paaD//cusR//yeaE//ibaG//narI//rffM//ptsG//bglF//
RutR_pos	sucD//yhjA//
SdiA_neg	yefM//ybhF//ydhU//
SdiA_pos	hcaC//rybB//flgD//
SgrR_neg	pgaB//xylA//mqsR//glcA//fliI//
SgrR_pos	sdhB//argF//relB//flhD//
SlyA_pos	torA//
SoxR_neg	ygiC//
SoxR_pos	malP//phnJ//
SoxS_neg	codA//deoD//
SoxS_pos	glnP//insK//nikR//glcD//hslJ//rhaT//fruA//hslJ//narX//ddpD//uxaC//fhuE//carB//cadB//yccA//ycjG//ynfF//tauC//iscU//glnQ//astB//lsrG//araE//yqhD//glpQ//hisM//cyoA//leuD//appY//tpiA//soxR//metK//gspC//glcE//fdnG//hdeA//acrA//bluF//
StpA_neg	bglB//gadE//iscS//fliE//ydiV//zraS//fruB//
SutR_neg	gadA//rarA//fadH//artJ//norR//
SutR_pos	lacA//
TdcA_pos	hyfA//prpB//rpiB//glnQ//cusB//garD//fepC//
TdcR_pos	flgJ//wzzE//astD//pqiA//gntT//yhdX//yhdZ//
TorR_neg	ydeO//fhuC//oxc//
TorR_pos	sgrR//yfiR//hcp//glpT//napF//purR//artM//garL//cusS//
TreR_neg	puuB//nikR//
TrpR_neg	lysC//nikR//yeaE//nrfF//alsB//caiB//sdhA//dmsB//nikC//casA//hyfR//lysA//
TyrR_neg	yfaE//cusF//carA//aroL//yccT//ada//iraM//frdB//fadH//gutM//
TyrR_pos	entH//aceK//rhaT//
UhpA_pos	ynjI//
UidR_neg	recA//rnlA//ugpC//uspD//
UlaR_neg	astC//ydeI//sutR//mhpE//dnaG//uxaA//fadL//
UvrY_pos	entS//cydC//obgE//gspE//chbC//
UxuR_neg	yiaL//fadE//cysD//atoD//yjiY//cysN//ttdR//ycgR//creC//
XapR_pos	cusA//cysE//
XylR_neg	treC//
XylR_pos	feoA//ychF//ndh//adiC//ulaD//prpD//
YdeO_neg	motA//tdcE//
YdeO_pos	mglB//paaK//ssuB//hybE//glpF//crp//artJ//flgN//mazF//fucU//intQ//purL//mdtD//zwf//uxuR//pflB//purN//cadC//cirA//
YedW_neg	csgF//nikB//uxuR//qseB//bioC//
YedW_pos	flgG//ydiV//glnB//cynX//citG//psd//dinG//
YefM-YoeB_neg	sroC//cyoB//
YefM_neg	phnD//zinT//
YehT_pos	emrB//
YeiL_pos	gltJ//
YiaJ_neg	fecI//gabT//malX//pqiA//phnO//torR//umpH//deoC//citD//csgF//
YjjQ_neg	sgbU//fepG//hyi//purD//fadH//pgpC//phnG//ppdB//fldB//yhbT//
YpdB_pos	uvrB//
YqhC_pos	phnN//hycF//
YqjI_neg	cynX//hyfR//
ZntR_pos	asnB//
ZraR_pos	argH//yebG//mprA//
Zur_neg	araG//purB//yecR//fhuA//hmp//hyaB//
