#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hcr//cysC//
CysB_pos	cdd//fadJ//cysC//oppF//obgE//lyxK//hycI//pstA//cdaR//citE//ccmE//phnH//gapA//pspB//yaiA//chbF//hybA//flgG//ssuB//nfuA//fixA//ybbY//flhE//prpC//srlA//
CytR_neg	ccmB//fepB//chiP//rutR//yjbG//citE//napC//stpA//hyfH//folE//hyaA//yfiB//relA//
Dan_pos	trpE//cyoD//hdeB//ydcV//
DcuR_pos	ftsI//rimP//yagK//glpD//mglA//gspM//cspE//tdcD//murR//
DeoR_neg	glcE//ydfE//gspC//cysJ//molR_1//wecE//
DhaR_neg	exbD//
DhaR_pos	cysD//yafP//creB//
DicA_neg	serA//poxB//metK//sdhB//argI//tyrA//ugpA//grxA//
DinJ-YafQ_neg	srlE//wzc//ihfA//
DnaA_neg	trpE//ugpA//fruB//yciX//narK//dmsC//nagB//rprA//fixA//cysP//napC//
DnaA_pos	lrhA//mtlR//kbp//gudP//lolA//moaA//betT//
DpiA_neg	murD//
DpiA_pos	omrA//recF//hyaA//yeiL//recD//nupC//gcvB//ubiA//xylF//ecpR//
DsdC_neg	chbA//
DsdC_pos	fliM//dtpA//
EbgR_neg	paaY//yoaG//
EnvR_neg	fnr//narX//
EnvY_pos	gcvH//yegR//
EvgA_pos	puuP//narX//sbmA//cyoC//fliJ//arsC//bhsA//nrfF//ompN//dinQ//fabI//fadE//fadL//alsB//ydcS//ompN//lolA//sufE//fau//
ExuR_neg	ymgA//ygiA//iraP//fhuF//cysW//hipB//wecC//exuT//fnr//
FabR_neg	exuT//xylR//
FadR_neg	entF//mipA//yeaH//dinQ//ydhT//pheT//ymiA//bglF//fumC//purK//nupG//
FadR_pos	agaW//ycjX//araC//bglJ//ydcT//mtlD//micF//lhgO//tdcB//aidB//prpR//allC//
FeaR_pos	ydfH//araD//
FhlA_pos	lrp//patD//tcyJ//napD//acrZ//sucC//cysA//recX//ydfX//guaB//nirC//fdnI//mgrB//gspM//ada//tdcD//iraP//cspD//nfsB//mglA//rffM//hyaD//amtB//agaB//nac//nimT//fabI//dtpA//leuA//fliH//
FlhDC_neg	nuoM//yjjQ//puuC//feaB//
FlhDC_pos	fadD//nrdF//sufA//nuoJ//fliP//hipA//cusR//pykF//wzzE//hypC//purA//araF//ftsI//hydN//kbp//tyrB//potF//tam//ppc//glgB//ydbK//rhaR//ompW//carB//trpA//yjiY//prpD//glgC//gspJ//ydhV//cra//csgB//rnlB//phoP//fnr//truB//ompW//metI//pdhR//metE//yhbS//oppF//pstA//lsrF//mazF//glnA//envC//leuB//hyfJ//betB//dsbG//rcnB//ftsW//prpD//casD//ihfA//ppiA//metB//hipB//pgi//aceB//gutM//cbl//ddpD//bglG//ulaC//glcF//rpsO//tehB//yhhY//torA//accA//folA//fucK//bioF//moaC//ygeH//csrC//
FliZ_neg	paaG//iraM//slyB//sbmC//astD//pykF//phoQ//nirB//mglA//dsbC//cynR//csgA//nuoB//dinQ//kdpC//aceF//oxc//gadB//entD//nrfC//uidA//
FucR_pos	gltB//fhlA//oppC//hlyE//cysP//tadA//mdtC//
Fur_neg	motA//hybO//ycjF//ssuC//yfdE//aroG//nhaA//mtlD//molR_1//mdtB//ygeA//hcr//ftsL//hokD//bluF//alsC//aceA//leuD//yiaO//appX//lysR//yeiB//fadA//rybA//oxyR//moaC//zntA//lysR//allA//fbaA//gspJ//tyrP//nanT//rpmI//pdeL//fur//hyfB//glnK//ibaG//fliN//pspG//malF//deoB//deoC//wzc//hcaF//dnaN//trpC//mlrA//csgD//dsrA//dinF//garD//omrB//mlrA//yidQ//hcaC//alsB//ldtC//waaH//ybjG//yccA//astD//fpr//casC//glxK//nuoF//galK//moaC//tsx//asnB//hyfD//fecC//alaC//entF//artM//glpA//glcE//leuD//deoC//nuoJ//ndh//lacZ//fadL//galK//hns//fadD//leuO//flgH//kdpA//rbsK//recX//yjbH//dhaM//putP//yafN//frdD//flgA//crl//ydbK//codB//garL//decR//yafN//ptsI//xylH//trpA//umuD//wza//inaA//frdB//leuA//zinT//srlB//putP//
Fur_pos	ruvB//nikE//pgm//modA//csiD//flgL//gspH//melR//speB//gspH//metK//flgM//mcbA//mhpF//prpE//nuoB//mqsA//gltL//rpoD//gatY//moaD//
GadE-RcsB_pos	hns//paaZ//sgrR//yjbE//dkgB//mhpF//pspC//putP//purE//
GadE_pos	paaD//yaiW//rplU//ecpR//glcE//pqiA//flhB//envC//glgC//leuB//alsC//flhE//yccT//pagP//srlR//nikB//caiA//lolA//lysC//ccmC//erpA//chbF//potI//flgJ//psiE//dinJ//pdeH//ygbA//glgP//
GadW_neg	yqhD//ibaG//sufD//tnaA//ygiB//uidR//flgE//dicC//fabH//xapA//ybbW//
GadW_pos	entF//fucR//rcnA//phnG//mioC//omrA//umpH//fdnG//glcA//mdtA//uvrA//
GadX_neg	ygaC//mtlA//alaS//nuoF//ycjX//nanS//
GadX_pos	glnP//hyfB//omrA//cynT//tauB//ybiT//nupC//ogt//glcC//zinT//tdcB//murI//paaZ//hycC//cydA//yafN//bioF//fau//ahpF//treB//allA//ygdB//ybbY//cysJ//araG//pspE//dnaG//
GalR_neg	hybA//agaC//murR//artP//ppc//galS//tyrA//metJ//mdtA//mngR//
GalR_pos	galS//mgtL//srlE//dctA//
GalS_neg	hisQ//lacA//fadI//rcnA//nmpC//trpC//aceF//gcvA//malE//agaB//
GalS_pos	ygeH//ompF//yncE//rutF//
GatR_neg	nanM//nirD//tisB//deoD//gpmM//tnaB//
GcvA_neg	appY//trpE//lacY//bioA//
GcvA_pos	ecpR//galR//mdh//rffG//
GlcC_neg	dtpA//
GlcC_pos	trpR//trpB//atoA//rseA//purA//ulaF//
GlpR_neg	tdcC//ydcV//cyoB//argI//rhaD//ftsI//mipA//cra//glcE//
GlrR_pos	dapB//idnD//ybhL//ftsA//crp//
GntR_neg	prpE//hha//hyfR//leuO//rnpB//entA//mraZ//cydD//lldP//ompF//sbmC//glnG//
GutM_pos	mhpD//ydfD//caiE//fdnI//appA//casC//purC//
GutR_neg	nrdF//hyfG//ompC//puuP//mlc//citF//ydfH//
HU_neg	wecC//marB//galM//glpQ//rpsU//entF//gutQ//oxyR//
HU_pos	malK//
HcaR_neg	fliO//
HcaR_pos	flgK//agaV//fixB//fau//aceB//
HdfR_neg	rbsC//flhC//
HdfR_pos	cysA//galM//intQ//
HigA_neg	zinT//ugpQ//
HigB-HigA_neg	isrC//fnr//
HipAB_neg	bglJ//fadD//hdeA//gadC//yibQ//
HipB_neg	purD//narH//galM//glxK//mtlA//yiaJ//
HyfR_pos	infC//stpA//dcuA//hyaF//alsB//dkgB//fepC//nanS//potF//decR//ybhS//rybB//
HypT_neg	emrK//ldtB//polA//idnD//icd//
HypT_pos	yhbE//ecnB//yeaG//mdtB//fbaB//ttdT//ybhF//lsrD//
IclR_neg	glgA//paaX//ccmB//hyfH//
IdnR_neg	dcuD//nrfF//
IdnR_pos	pitB//purE//paaX//nlpA//fucI//
IlvY_neg	asnC//
IlvY_pos	gltB//
IscR_neg	sbcC//asnC//citG//psiE//lgoR//cyoA//cusB//ftsW//nagB//agaC//creA//trpE//aspC//ydfD//moeA//yciX//agaA//fruK//flhB//pgaB//yjbH//
IscR_pos	rhaS//entB//aspA//rclA//hyaE//allC//tomB//iscA//fliD//ulaB//ssuC//
KdgR_neg	ptsI//ssuC//
KdpE_pos	rbsC//ftnA//srlR//ydcU//
LacI_neg	ydfD//guaA//leuO//
LeuO_neg	sdhC//glk//prpR//
LeuO_pos	mhpA//rseA//dtpA//fadM//add//puuC//ulaD//uvrY//trpC//pqiA//fabA//dsbA//cusA//frdA//lysC//hyfJ//yfbR//yhiD//
LexA_neg	fliZ//rstA//murF//ssuA//lrhA//paaK//speB//phoU//uxaC//lamB//ruvB//bhsA//norW//ppdC//cynS//trpC//argB//hypA//nikC//fucR//hdeA//mraZ//puuE//araG//speA//glpA//ftsI//citF//yhbE//yjhB//glyA//gspF//appB//fliH//garP//aspC//insK//garD//kdpB//hycH//yjbF//fnr//ydeN//purC//hipA//kdpB//metQ//leuL//garK//murR//ubiX//cpxQ//dnaN//mngR//ulaC//tsx//fadD//nagE//eno//
LldR_neg	puuR//leuB//znuA//
LldR_pos	ybbY//dinB//kbaZ//
LrhA_neg	phnL//skp//
LrhA_pos	hcaF//nrdB//
LsrR_neg	astD//gor//fhuC//sufC//grxD//sgrR//rclA//yhjA//folA//
LysR_neg	csgD//
LysR_pos	nirD//
MalI_neg	ugpB//sbmC//lsrC//
MalT_pos	hflD//sucD//lysR//recD//nuoL//rplT//pqiB//casB//fliZ//grxA//
MarA_neg	skp//uvrC//lldP//mntP//metK//nupC//mntH//
MarA_pos	chbC//qseB//tauC//phnJ//rpsU//cyoB//hycA//napH//idnO//rpoH//pyrD//glnB//appA//ptsI//murQ//pdeR//fepG//pagP//metY//ruvB//cysB//entH//ldtD//napA//yqjA//fhuE//yfaE//phoH//bolA//pepA//feoC//
MarR_neg	yccA//yhdW//fbaA//
MatA_neg	dtpA//trpC//nanE//fldB//moaC//trxC//
MatA_pos	aceK//amn//
MazE-MazF_neg	araB//appC//yfbR//
MazE_neg	sufE//rutB//iraP//
McbR_neg	acrR//
McbR_pos	mdtF//acnB//ycjG//
MelR_neg	hybA//nrdB//phr//
MelR_pos	yiaK//ulaG//pgpC//
MetJ_neg	ybhL//mngB//creC//melA//rybB//idnD//prpE//glgP//puuA//ybaS//napA//glgC//ydcU//pspD//yqjI//
MetR_neg	nikA//ycdZ//
MetR_pos	rtcA//murE//zntA//rutR//
MhpR_pos	gcvA//treR//mazG//hycC//rhaS//yhbT//
Mlc_neg	iraP//mdtB//metF//cspE//ydhU//glxK//aslB//nrdA//ppiD//purN//
MlrA_pos	tolC//bioC//hypC//ftnA//norW//hcaC//hypA//ynbC//fnr//rtcB//
MngR_neg	mdtB//rybB//murD//
MntR_neg	sufA//aslB//nmpC//ybhF//
MntR_pos	ymiA//
ModE_neg	ydcS//guaA//cysK//gntP//gpmA//fepA//ugpB//obgE//mltF//asnC//argC//kdpB//gadY//glgB//napC//
ModE_pos	fadR//cbl//cusF//fecR//hypD//narL//fucI//exuR//dnaA//nuoJ//omrB//ydcT//dpiB//gpmA//ccmD//yafP//wzxE//gcvT//lexA//asnB//hisJ//fruA//yeaE//fhuB//mhpB//casA//yhdY//creA//hyaF//hybF//appC//
MprA_neg	hyaA//gadB//moaD//agaA//rutR//artJ//
MqsA_neg	iraM//mipA//nrfC//cvpA//fliC//sufB//kbaY//deoB//
MraZ_neg	hyaE//purM//nuoK//yebE//nlpA//sdhA//ybbY//dgcN//rarA//rbsD//lysC//truB//cpxQ//malE//acnA//lpxA//nuoH//
MtlR_neg	mraY//nagC//safA//
MurR_neg	bioF//dgcN//appA//
MurR_pos	cspD//
Nac_neg	folA//cusB//cecR//yhbT//gapA//agaV//mhpE//gpmA//gcvA//
Nac_pos	fadL//ydhT//grxD//entF//ppsA//hybB//sgbE//rffH//mhpB//ybiT//acrD//accA//
NadR_neg	zraS//katG//oppD//glcB//
NagC_neg	frc//fabG//yfdV//narL//paaZ//nimR//cusB//fabI//emrK//gcvB//pgk//phnF//csgD//pspD//sucC//nemA//yccJ//nuoC//eda//hcaE//cheA//melB//ygeA//ybhG//csrB//fliP//ecpA//yqhG//fucP//nemA//rclC//yccT//soxS//
NagC_pos	araA//ybdN//ybjC//
NanR_neg	thiQ//cysN//glcE//entD//norV//argT//fucP//ycjG//fabD//caiE//
NanR_pos	fnr//
NarL_neg	kdpB//alsE//mngR//ydhT//moaB//pspE//rcnB//fabB//dctR//nrdE//hemL//uxaA//phnI//rstA//ampC//glpA//hyaE//rffG//uidB//nrdB//allD//nrfF//fhuB//melR//purH//fecI//hyfJ//mepH//baeR//wzzE//yiaL//frdC//mtr//mglB//feaB//fucK//yiaM//tehA//exuR//casB//csiD//sfsB//hlyE//ftsL//melB//sbcC//ompT//yebG//purN//cpxP//fliS//agaW//ydhY//cynS//deoA//lpxC//gadY//glmY//yqhG//pnp//gntT//trpC//copA//dhaL//glmY//bhsA//aldA//gspH//glpD//nfsA//ppdB//hcaD//metI//rclC//yjjQ//yhdW//agaB//gspJ//dinD//flgC//murI//ftsZ//glgX//metF//isrC//wzzE//melB//
NarL_pos	dgcN//tsgA//gatA//glpQ//gadE//fadI//nrdE//torA//ddpA//amn//fliA//lldP//mnmG//purB//trpD//nanK//oppB//lysA//lpxD//gabP//artJ//gatY//yfdX//rob//osmB//yjbH//hypD//purD//allC//tolC//fliO//cysD//yfdE//rbsC//znuB//uspA//dgcN//mazF//hisM//aslB//malQ//phnL//mlc//
NarP_neg	nrdG//gutQ//pncB//fhuA//sodA//bamE//metB//ebgC//gadY//lyxK//ygaC//bioA//yhdZ//glcF//hycE//ompN//ycjF//potI//fabA//sgrR//cpxR//ykiA//purE//chiP//mdtC//prpB//yafO//mcbA//tauB//rcsA//murI//ycjX//nrdI//
NarP_pos	leuO//cheW//uidC//glyA//ydhV//trpL//sufD//hflD//ymiA//ndh//ilvY//nuoL//ugpB//lsrA//gspJ//aroP//nuoA//narI//degP//flgD//rbsA//yoaG//tcyP//astA//lysR//flhC//prpE//insK//sutR//glgA//ynbB//moeB//
NemR_neg	chbA//entH//sufB//
NhaR_pos	rbsB//glnD//rpoH//ddpF//hycH//gabT//glpA//
NikR_neg	galT//prpR//hybO//yeaE//atoE//psiE//
NimR_neg	glnD//flgI//
NorR_neg	metJ//
NorR_pos	kbaZ//lysA//
NrdR_neg	aroM//sdhB//ybjC//osmC//gntP//psiF//uvrB//modC//alaC//
NsrR_neg	ccmB//flgF//ftsQ//creC//metN//ymjC//ppdC//gadB//cusF//fadB//fliT//yiaO//dcuB//sdhD//agaW//atoD//xapB//csiD//agaV//rnlA//hdeA//tfaQ//mdtA//glnG//fucA//yoeB//ydfD//ariR//gutM//ynbC//deoA//osmB//fliD//idnR//hyfE//crp//exbB//ydfH//tcyP//yoaC//cecR//narG//nanA//fecA//dsbA//ilvY//tsx//hslJ//murC//yafP//yebG//ftsZ//ycjG//lpxA//gabD//glcA//gatC//nanC//ftnA//yefM//carB//paaX//uxaA//slyB//yebE//sroC//yhcH//hyi//pstC//mdtD//ynfH//gspL//wzxE//phoP//yneM//argA//yhbS//feoB//nrdH//dpiB//hyaB//hdeD//fucP//
NtrC_neg	ppc//rtcB//add//deoB//glpC//glpD//
NtrC_pos	pck//srlB//gabD//mglC//phoQ//fecE//dacC//exbB//nanA//rybA//nuoF//agaI//yafQ//agaW//dsdA//pstB//glcF//speB//ycjG//sutR//pheT//hyaF//symE//lyxK//flgM//fucP//xapA//lacY//argO//fucU//fldB//hyfA//potG//ldtC//sgrS//alkB//cusF//cydA//glnG//lldD//cyaR//ulaG//ycjY//dsbC//hipB//cytR//gfcA//treC//ydcU//
OmpR_neg	glmS//ybaS//tyrR//trpL//dcuB//hycE//gspF//epd//entC//pgk//ybfE//ydiU//
OmpR_pos	malM//erpA//kbaZ//lsrC//gcvA//sbcC//rbfA//flhD//argA//gadB//
OxyR_neg	obgE//argT//insK//cysU//nadB//rpoH//intQ//ytfE//argA//csgD//uvrD//cpxR//
OxyR_pos	lysC//uhpT//ibaG//rob//ilvY//nfsA//rpmI//grxA//adiC//yciX//tcyJ//allS//tam//pagP//yccJ//gspL//thrS//entA//osmY//glcC//caiB//cspI//
PaaX_neg	purA//idnT//pgaA//aceF//ftsL//pgaB//glnD//aroM//rhaS//fliD//allD//sroC//fdhF//chiP//
PdeL_pos	glcB//
PdhR_neg	garD//yidL//tbpA//mntS//gspF//zraS//marB//idnR//dsdA//bioB//ygeA//glnP//lon//glcB//puuB//ydhX//citD//tam//leuD//arsC//alkB//fabH//gabT//chiP//fixB//purE//gutQ//pheT//lysR//pstS//fdnG//tsgA//nuoJ//pncB//ruvA//sgrS//
PdhR_pos	sucD//artJ//oxyR//srlB//alaS//
PepA_neg	ydcT//glpD//cysW//
PgrR_neg	ogt//hypB//agaS//leuD//chbB//talA//agaD//gadW//
PhoB_neg	yaiW//chbR//xylG//paaZ//cusC//flhD//fdnI//gabT//murR//hycE//aceK//slp//
PhoB_pos	yjjQ//dhaL//cvpA//truB//cecR//fimE//marR//phnD//allS//flgK//fliS//molR_1//manX//glcC//rhaR//ssuC//ytfE//ydcU//oppD//pdhR//ykiA//mngA//dsdC//efeU_1//carA//cyoE//sdhC//uidR//gatB//caiF//waaH//ptsH//yhbT//malF//borD//ulaC//cho//atoA//yjhC//tdcG//tolC//micF//creA//fumB//ogt//cpxQ//accD//mtlA//csgA//sufD//bhsA//nhaA//yoaC//
PhoP_neg	rbsD//sgbH//ydfW//speB//lsrK//nagB//ascB//iraM//yiaO//ydeO//efeU_1//
PhoP_pos	paaB//rarA//argE//yiaN//lysA//folE//nrfC//ttdA//sodB//cho//relB//frdC//sroA//tauD//lpd//fepD//gntT//cueO//bhsA//insD//iscS//fiu//tfaQ//frdC//nfo//wecB//ycjX//mepH//fecB//glxK//putA//ybaT//ydhT//hdeB//gadB//cusC//hipA//fabD//add//thrS//yiaJ//ybjC//cbl//yhhY//xapA//ybfN//nanC//fdhF//
PrpR_neg	pck//
PrpR_pos	rbsA//aroM//waaY//artM//
PspF_neg	ptsG//
PspF_pos	agaR//rhaR//hycG//rimK//lacA//hypD//
PurR_neg	flgE//sucA//phnH//lsrR//recC//ssuE//gabT//casD//glnA//wzb//rcnR//ccmE//sulA//asnA//hybE//purE//tyrR//ssuA//uidA//mhpC//dctR//hyfA//rcnR//rutF//ybaS//yjiY//polA//ygiA//yhbT//entS//zwf//
PutA_neg	cra//yqhG//
PuuR_neg	garR//mscM//paaC//ftsZ//srlD//phnE_1//glpT//
QseB_pos	phr//kbp//malZ//ptsI//
RbsR_neg	trpL//cusR//fecC//aceA//purD//cdaR//mntP//wcaB//
RbsR_pos	relB//
RcdA_neg	hemH//sdhA//
RcdA_pos	idnD//garD//rpsU//cusF//exbB//malE//hisQ//
RclR_pos	ubiA//rclA//narJ//
RcnR_neg	cho//nadB//ttdT//
RcsAB_neg	flgG//rhaB//pstS//nrfC//rffG//nrdF//
RcsAB_pos	katE//infC//metQ//fecD//sdhD//tadA//ruvB//rprA//uxaA//codB//
RcsB-BglJ_pos	hybB//srlA//gcvH//ybjN//aceB//truB//srlA//ycjY//dtpA//hyaF//gabT//uidR//artQ//nanE//fucP//paaC//
RcsB_neg	ydhT//ydhX//
RcsB_pos	uidR//mltF//kbaZ//gntX//rfe//aroG//yhdZ//ssb//ydhV//cysD//srlA//casB//hydN//nohA//mngR//ruvA//ykgO//glk//metR//bglJ//pfkA//paaK//cyoE//
RelB-RelE_neg	hyfE//murG//oxyS//
RelB_neg	ydfH//slp//gntT//
RhaR_pos	srlD//prpD//
RhaS_pos	fhuF//acnB//pspC//atoE//cpxR//tcyP//
Rob_neg	phnE_2//
Rob_pos	metA//ttdB//acrB//ariR//lysR//lon//rpoH//yiaN//casA//ynfG//entD//hypC//osmC//yqhD//dinJ//mpaA//glnP//glnQ//aceK//purR//yjbH//gntT//hns//gatB//lacZ//
RstA_neg	purF//rpoE//ndh//inaA//wecB//
RstA_pos	mlc//paaE//ydiU//hybE//mazE//
RtcR_pos	ptsH//cysW//
RutR_neg	araA//uxuB//uvrB//astB//ftnA//ybhG//rprA//rpoD//alsE//yeiB//fimB//efeU_1//omrB//ydeO//cysE//
RutR_pos	frdD//rhaB//
SdiA_neg	yciF//sodA//flhA//
SdiA_pos	hslJ//artQ//xylA//
SgrR_neg	ogt//phnH//nusA//creA//setA//
SgrR_pos	ymiA//eda//kdpA//phnO//
SlyA_pos	glnA//
SoxR_neg	csgB//
SoxR_pos	ddpC//leuO//
SoxS_neg	ydeI//yccJ//
SoxS_pos	rtcB//fliI//rclC//nuoC//carA//ccmA//puuB//yhdZ//rutA//yegZ//casA//caiF//ybjG//pdeH//yqjI//dsbA//fadB//nuoM//aspC//metA//rbsD//phoH//pgaC//nuoL//mtlA//rstB//mglB//nfsA//dhaM//nikR//iscR//znuB//norR//copA//metE//dsdC//fdhF//ugpA//
StpA_neg	fadA//ymjD//mzrA//ydeM//higB//potG//crr//
SutR_neg	ung//ssb//acrR//gatC//glgP//
SutR_pos	rbsD//
TdcA_pos	aspA//gspI//spy//rseC//sfsB//paaE//nrfC//
TdcR_pos	flgM//dinF//ssuD//yhdX//hyfB//flhC//sufC//
TorR_neg	agaD//pdeL//yegR//
TorR_pos	manY//glnP//rpsU//ilvC//citX//tyrB//hipB//exbB//alaC//
TreR_neg	psiE//uxaC//
TrpR_neg	exuT//sroD//dsbG//lldD//nrdG//pqiB//adhE//ilvC//pdeL//yhbS//ptsH//tyrR//
TyrR_neg	kdpB//pepA//fucP//hycA//acrZ//glgC//ulaA//cadC//ygiA//prpD//
TyrR_pos	wzxE//appB//dkgA//
UhpA_pos	ynfE//
UidR_neg	eno//nupG//hypA//lacY//
UlaR_neg	prpD//infC//fucA//fbaA//gcvT//lon//csgA//
UvrY_pos	leuD//frdD//yeaH//rbsR//hcaD//
UxuR_neg	nmpC//ydbD//adiC//pspB//lpd//ynfG//dpiA//dnaN//dcuA//
XapR_pos	speA//nrdE//
XylR_neg	pck//
XylR_pos	prpB//hybE//bdcA//purD//pspB//puuA//
YdeO_neg	pstB//glpD//
YdeO_pos	malE//srlA//lsrB//marB//gcvA//metK//yhdZ//cho//xapA//moaC//hypE//csgE//nagE//yfaE//rnlA//carB//gdhA//cynR//caiA//
YedW_neg	hns//yedX//creD//caiC//lacY//
YedW_pos	crl//gadF//dhaM//patD//idnT//uidA//hcaD//
YefM-YoeB_neg	ytfE//deoC//
YefM_neg	yciE//ybbY//
YehT_pos	yafO//
YeiL_pos	gatC//
YiaJ_neg	emrA//artJ//argD//metR//rtcA//rhaS//higA//araC//phnJ//hslJ//
YjjQ_neg	nadA//puuP//artM//hha//cyoE//envC//pyrD//glgX//mngR//nemR//
YpdB_pos	fabH//
YqhC_pos	edd//nemR//
YqjI_neg	prpB//dtpA//
ZntR_pos	rpoE//
ZraR_pos	mhpB//argE//betI//
Zur_neg	pheT//glpQ//mngR//appC//wzyE//rybB//
