#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nanT//rutE//
CpxR_pos	motA//gspM//infB//yibQ//hlyE//ydfH//hcaB//idnT//ldtB//malQ//ulaE//dsdA//gntK//dcuD//nrfG//ygiA//iraM//galK//hybC//lrhA//mhpE//accC//dsdA//ydcS//gabT//sufD//rarA//hypA//hcaD//mltF//tauC//gyrA//metQ//guaA//dmsC//nrdF//hlyE//ccmB//gutM//sfsB//marB//fumB//ycgZ//yhjC//lsrR//ulaF//
Cra_neg	moeA//glpD//hns//lpxA//murQ//tsgA//allB//ytfE//treR//hflD//dinG//lldP//argG//nfsA//cusF//codB//casE//fabA//allB//iscA//ybaT//yidL//pspA//uxaA//recA//yccJ//tyrR//yhhY//ubiX//paaK//cvpA//phoQ//wzb//ariR//nac//nrfC//ybfE//appA//hisM//sulA//cdaR//dsdA//rcnR//yeaR//yjbE//bglB//ymjD//hyfJ//prpR//rnpB//arsC//dpiB//gspL//uvrB//luxS//malQ//mgtL//folA//citD//
Cra_pos	gspD//bioA//yciX//molR_1//yjjZ//cysH//moaB//murE//chbB//murG//accA//fliL//appB//patD//uxuR//ycjF//motB//fucI//btuB//rsmH//rcnR//gatB//phnO//
CreB_neg	mepH//glnQ//narK//
CreB_pos	malK//fbaA//
CsgD_neg	gatC//tam//flu//aidB//nuoG//caiC//caiE//mipA//rclC//speB//pspA//lsrB//araG//ydfW//deoD//
CsgD_pos	uidA//ybbW//nrfB//dnaN//evgS//kdpF//mngB//ygeH//puuB//rtcB//wecE//fliE//nrdA//
CsiR_neg	dcuB//psiF//ybdN//narL//yiaM//
CspA_pos	cdd//treB//
CueR_neg	fixA//alsE//mqsA//phnC//iscR//
CueR_pos	yhjX//cyaR//
CusR_pos	hcaD//malE//gabP//gltJ//mhpB//rcsA//hycG//nanS//hcaC//iscA//wzzE//efeU_2//
CynR_neg	gltD//
CynR_pos	hybE//iraM//focB//
CysB_neg	lsrA//glxK//infB//nrdE//phoP//torR//fadA//
CysB_pos	nfsB//ssuD//gadB//cyoA//uxuR//yhiM//hycE//dgcZ//yibQ//gltB//ydhT//yqhD//ygeA//purB//znuB//kdpC//icd//kdpF//degP//gntK//cysH//udp//evgA//paaB//speA//
CytR_neg	xylR//nrdB//metA//rffC//fucU//rcsA//znuC//ydfX//lsrK//fdnI//agaB//kdpA//flgC//
Dan_pos	tsr//rplT//sdhC//gntK//
DcuR_pos	rutA//oppF//phnE_1//araC//lexA//leuD//uvrD//rarA//ydcS//
DeoR_neg	mhpA//ymgC//araC//yaiA//tyrP//rcnB//
DhaR_neg	gltI//
DhaR_pos	hcp//frdA//dinQ//
DicA_neg	malP//xylB//gadF//araG//rprA//citD//glmS//atoA//
DinJ-YafQ_neg	mraY//fabG//fhlA//
DnaA_neg	mdtD//flgI//ompC//ascF//cusC//yfaE//dmsA//caiD//fecD//mgtA//aceF//
DnaA_pos	rsmH//chbG//rdoA//cysC//murR//lacY//tadA//
DpiA_neg	flgC//
DpiA_pos	dnaG//asnC//chbF//ugpB//ahpC//dpiB//emrB//gntK//recD//sroA//
DsdC_neg	moaD//
DsdC_pos	fepG//codA//
EbgR_neg	chbF//bioD//
EnvR_neg	entB//gapA//
EnvY_pos	glcB//araB//
EvgA_pos	hycA//lacZ//rpiR//polB//serA//trxC//nrfD//molR_1//yoaG//paaC//gspC//malI//ilvY//trpA//ptsH//mhpB//cadA//phoQ//rpoD//
ExuR_neg	eda//nrdF//ymgA//yfaE//ynfH//nrdG//nrfC//bamE//cusB//
FabR_neg	lsrF//aceE//
FadR_neg	tynA//pgk//yncE//entH//malE//sgrS//mhpA//adhE//dapB//nupG//gntK//
FadR_pos	purF//cpxR//melA//pagP//nrfD//csgD//yhdW//xylB//yfdE//entD//accB//ompT//
FeaR_pos	argD//folE//
FhlA_pos	norV//rsmH//nagE//nanS//ydhY//pspF//flgD//fliQ//yhdZ//entF//rpoS//yagK//fadI//glnH//tauA//argB//oppD//guaB//pdeH//ftsI//asnA//kbp//ulaG//allA//cusB//zraR//xapB//allA//ccmA//yeiL//
FlhDC_neg	gcvT//yfiR//mnmG//cpxP//
FlhDC_pos	paaE//emrA//dmsA//purD//relB//hybB//yciE//psd//znuB//cra//argF//gspL//caiF//hyfC//argC//borD//isrC//cyoC//grxD//crp//leuA//codA//dsbG//nrfD//ptrA//tfaQ//ynbD//ydeI//hyi//ybbY//nrfC//mraY//tsr//uspD//gntX//yqhG//sucD//paaG//dsdC//rutG//dgcC//tdcC//paaX//ydeN//mlc//dinG//mntP//hns//rcnB//mioC//ppdA//galK//nrfG//purH//ftsI//dcuR//yhbE//sgrR//mhpB//dhaR//patA//casD//betB//chiP//araB//chbA//aceK//oppC//lldR//entE//araD//luxS//dps//leuO//artQ//fucU//cecR//wecB//
FliZ_neg	argO//lolA//cas1//yeiB//ygbA//sufC//rcnB//rhaT//sucC//csgE//fliO//ppdA//dcuD//waaZ//gadE//rhaA//purN//acrR//pdeL//asr//gntP//
FucR_pos	purM//ptsH//flhC//nuoA//thiQ//sgbH//crl//
Fur_neg	tsgA//tynA//cheW//metN//nrdB//recA//nrdG//gntU//mpaA//phoR//ppdB//nikC//aceB//phnG//dmsC//gcvB//torA//mepH//flgH//yedX//murR//pgaD//fliJ//artP//folA//purD//deoB//baeR//argE//fliD//aceB//phnJ//dps//lldD//psd//dicC//dicC//yagK//yoeB//pfkA//gudD//acrD//ycjX//aceB//tsr//mtlD//tauC//gatY//thiQ//ruvA//chbB//bamE//araH//umpH//gudP//ompF//fes//eno//ribA//malM//flgJ//fliC//narH//fdnH//yhdY//treB//aspA//glcA//dgkA//glnQ//phnD//rutG//mioC//trxC//yegH//exuT//psd//mntP//fucU//sgrR//tsr//hcp//ybfE//uxuR//ymjC//hypC//hcr//glpC//cyoA//ychF//purE//gltI//fecR//rplU//mgrR//ykgO//csiD//flgC//evgA//nohA//torD//bacA//nrdG//murE//leuL//napC//gspD//znuA//rarA//mhpE//ybbY//nuoI//carB//rpoS//rffM//
Fur_pos	fliA//hcaC//aroP//ydcU//cra//malK//ybjN//dhaM//lacY//zntA//yciG//nagA//codB//rhaR//narX//atoA//metQ//yciE//sroC//mdtF//fbaB//
GadE-RcsB_pos	manY//araB//bhsA//rplT//gabT//cyaR//torA//mazG//galK//
GadE_pos	cynT//narL//hyfJ//tehB//sucC//hcp//mhpD//ttdA//allC//sroC//ariR//prs//cas1//tyrP//rnpB//uvrD//idnO//yhiM//yjbF//ynbB//nupC//xylH//glpT//hycB//gntX//glgC//fliZ//rclA//glcE//
GadW_neg	rutD//ulaC//fucU//tdcE//ulaF//hcaF//xapA//yiaL//cysI//safA//relA//
GadW_pos	uvrD//evgA//rffH//pqiA//mgrR//caiB//cirA//glcE//fliF//pdeL//ydeO//
GadX_neg	fliM//pgi//hypD//zntA//speA//cusS//
GadX_pos	ybaT//nfuA//metN//talA//ychF//ygiB//gntU//hyfE//rpsO//glcC//glgP//ybbY//fucU//ddlB//accD//yiaM//gspH//bglF//purE//obgE//ygeA//fhuA//malZ//pykF//alkA//deoA//lsrB//
GalR_neg	deoA//murG//fliT//hyfG//symE//poxB//fabD//rffM//fau//polA//
GalR_pos	hdeB//ftsI//fliA//mgrR//
GalS_neg	dps//phnE_2//gatB//exuR//micF//fucR//glcF//wcaA//glcD//ygiB//
GalS_pos	katG//citC//mhpB//gcvH//
GatR_neg	hycE//oxyS//arsR//rimP//lysC//moaB//
GcvA_neg	dkgA//yagK//fhuA//mzrA//
GcvA_pos	ydiV//yncE//wzc//casD//
GlcC_neg	sdhC//
GlcC_pos	ebgA//gltI//modC//gdhA//hycA//rpiR//
GlpR_neg	cysH//grxD//lsrC//wcaB//zntA//fliS//ydeO//entA//argE//
GlrR_pos	alsE//patA//pspB//ybiT//hyfC//
GntR_neg	mgtL//hyfR//hcr//trpA//ulaF//hyfJ//rcsA//flgG//pgi//ompT//paaK//mglB//
GutM_pos	ygaC//gnd//potF//fdnH//csgG//ryhB//trpA//
GutR_neg	ssuA//ruvA//tcyP//pstA//purC//fimE//nuoN//
HU_neg	lysR//narK//polA//atoA//idnD//pspF//ydcT//phnG//
HU_pos	melA//
HcaR_neg	cydB//
HcaR_pos	gudP//purC//chbC//nuoF//gspG//
HdfR_neg	frdA//fhlA//
HdfR_pos	tisB//ddpC//ynbC//
HigA_neg	artJ//gntX//
HigB-HigA_neg	bioA//cyoB//
HipAB_neg	rbsC//melB//ssb//aceE//idnT//
HipB_neg	mraZ//nirD//purH//ynfE//lpd//norW//
HyfR_pos	glgC//prpR//lpxA//agaS//cyoC//cynS//fldB//umuD//cysD//oxyR//nrdD//tyrR//
HypT_neg	polA//ytfE//sgrR//pstS//dmsB//
HypT_pos	fpr//fnr//puuD//rpiB//paaX//hyaB//rutB//purC//
IclR_neg	dhaL//pgpC//ydcS//glcC//
IdnR_neg	asnC//appC//
IdnR_pos	purD//speA//frdB//leuL//fabZ//
IlvY_neg	lldD//
IlvY_pos	yjeV//
IscR_neg	rpmA//malP//cydC//cysP//dcuR//appB//ptsI//nanK//cusS//accD//cyoC//fecE//dkgB//bolA//ynbC//atoD//moaD//sbcD//ybdN//rhaR//dcuB//
IscR_pos	ada//nirC//fldA//pheT//ddpF//nikR//emrB//mngA//ydhW//cirA//moaE//
KdgR_neg	ariR//gspI//
KdpE_pos	fabH//glnD//gabD//gspD//
LacI_neg	sdhA//rpsO//putA//
LeuO_neg	dinD//lyxK//uidA//
LeuO_pos	pnuC//phoU//yfdX//fliC//acrR//glcC//rdoA//pstS//phnI//potH//recC//ykgM//gatB//glmU//yidL//hypD//folA//purA//
LexA_neg	hyfB//ruvA//flgL//kdpC//gutM//glnQ//phnI//acrZ//hypA//ybhS//gspM//garR//yafP//rfe//yafP//nanM//argG//gltK//fdhF//lacY//copA//trpA//mntS//ybfE//flgB//prpE//yciE//rcnR//ykiA//mqsR//oppD//mhpC//cusF//murI//ulaA//napA//glyA//nrfA//sgbH//agaB//ppdB//cusS//garP//gcvB//tomB//amtB//arsB//mhpC//treB//mglA//emrY//cheW//nanE//pspF//yfiB//entB//fabB//rhaB//gutQ//
LldR_neg	bacA//murI//rnpB//
LldR_pos	nuoN//amtB//hyaA//
LrhA_neg	fucK//chbR//
LrhA_pos	ddpX//flgG//
LsrR_neg	aroG//rcnA//cysK//pstC//nhaR//hcaD//nrfE//glmS//yrbL//
LysR_neg	yebG//
LysR_pos	appA//
MalI_neg	hyaC//ppsA//fliL//
MalT_pos	deoD//lsrK//nrfB//ptsG//fabZ//cysN//tauA//ygbK//ydfN//lrhA//
MarA_neg	yeiL//mhpA//pnp//gfcA//purN//sucA//pstB//
MarA_pos	yjbG//fepC//exbD//hisQ//murP//nuoA//sufB//lacZ//appC//alaC//moeB//garL//leuB//pgpC//focA//flgH//cysE//ynbA//gadA//hcaR//hybA//gltK//cynX//lolA//nuoF//manX//yhbE//sucC//ttdA//cysW//ygiB//
MarR_neg	glcB//gadC//sfsB//
MatA_neg	hycA//cadB//cysJ//phoA//nfuA//dpiA//
MatA_pos	hcaF//bhsA//
MazE-MazF_neg	ulaF//flgA//tfaQ//
MazE_neg	gadY//entE//ulaF//
McbR_neg	malT//
McbR_pos	murR//mglC//rutE//
MelR_neg	manZ//cysP//lexA//
MelR_pos	rffT//phnP//rtcB//
MetJ_neg	cysJ//prpC//sdhD//argC//yciF//ycdZ//pheT//gltK//metN//mhpC//marA//narL//tnaA//zraP//idnT//
MetR_neg	nemA//fnr//
MetR_pos	ydiU//tolC//argO//gudD//
MhpR_pos	lrhA//yhdY//sdhA//ydbK//ariR//ynbD//
Mlc_neg	recB//aroG//narL//xylB//pstB//aroP//paaB//galS//creD//nimT//
MlrA_pos	hydN//hslJ//mntP//glcG//stpA//cynX//osmY//yhjX//feoB//yeaH//
MngR_neg	hypB//yciX//nanS//
MntR_neg	appA//ccmF//dinF//yqjA//
MntR_pos	oppF//
ModE_neg	tyrA//fadB//ybfE//fiu//obgE//nagE//aroM//ydeM//cysE//ycjF//rutR//hyaA//murG//glpA//paaD//
ModE_pos	murE//ybhL//glmY//yhbS//fabG//cynS//hydN//mhpF//ydhV//napG//glgC//malF//fixA//codB//gcvA//dpiA//feoA//yhiD//lgoR//ecnB//degP//pspA//dcuR//ydfE//tomB//aceA//ybjN//hybC//ugpA//puuP//tcyP//
MprA_neg	rsmH//nanA//yjbE//hycA//betA//caiF//
MqsA_neg	pqiA//acrB//nrdI//dpiB//glmS//cirA//sutR//waaH//
MraZ_neg	fecR//hmp//idnR//slt//argG//artM//hyaC//dgcZ//tyrB//nhaA//sbcC//metN//ugpC//dcuA//fadA//fnr//argF//
MtlR_neg	marB//yiaJ//ydiU//
MurR_neg	pfkA//argT//yhbE//
MurR_pos	yecT//
Nac_neg	nuoB//phoE//nuoB//frdA//ygbA//ftnB//hybD//ydfN//dinQ//
Nac_pos	mglA//dicC//hyfD//yjhC//appY//pyrC//nac//aceB//cusA//casC//fucP//nimR//
NadR_neg	nusA//crr//accA//hycB//
NagC_neg	dmsC//ccmE//hdeD//malF//paaA//relB//gapA//gyrA//folE//fucO//hyfI//cyoA//gadX//ilvY//appA//rbfA//phoQ//tdcF//appY//entE//ftnA//glpK//metK//fadE//gntP//exbB//rpiB//hycI//gcvH//fbaA//nikD//paaD//artJ//
NagC_pos	yqjA//iraM//yeaH//
NanR_neg	rffT//ybjG//sbcC//hyfG//dcuS//ybaT//malE//xylF//alsE//soxS//
NanR_pos	gloA//
NarL_neg	argF//pyrD//nanK//phnH//mcbA//glpD//ygbA//cvpA//tdcG//acrR//moeA//citX//idnR//iraP//tauD//pspE//glgC//nrdF//iscR//gnd//yciG//hyfF//napD//fhuB//trpR//sfsB//fixX//ynbA//ompT//nrfF//recN//infC//dinG//ompN//galR//sulA//dcuB//gor//yfiB//cbl//isrC//evgS//dmsA//fadM//fabA//hyfB//fliK//cysE//fliA//rpsO//fliK//fabD//ugpB//fdhF//waaH//ydeI//yiiS//sra//emrB//mdtB//potF//entB//gyrA//hybO//creA//rutC//mcbA//sgbU//tehA//cas1//hyfH//fadR//gudD//yidQ//purF//yjbF//nrdI//yecR//wzyE//cysM//pnuC//hyaB//yjjZ//tyrA//casD//flhB//dgcZ//
NarL_pos	yeiL//chbG//ssuD//nrdF//rbsK//dinQ//mtlD//marR//ttdB//ddpX//lon//mipA//yhiD//rbfA//gutM//bacA//rybA//nagA//aspA//mtlD//fabD//dsbG//ydhT//hypC//ada//trpL//cytR//cusA//ahpF//mqsR//bglG//phnE_1//ynjI//glpX//yqjA//uidC//artI//entS//yfiR//gntX//cysD//glcD//flgC//
NarP_neg	fadH//htpG//yciW//fepG//yhbS//dmsC//sutR//rbsR//rcnB//ydfN//emrA//caiB//cysD//hyaE//creB//fliD//slyB//tdcB//ftnB//ycdZ//srlD//zinT//tdcG//moaB//rffT//ryhB//flgC//dsdA//ybbW//moaD//fiu//fecC//ptsH//
NarP_pos	nrdG//wzb//idnK//casC//flgN//add//ftsW//ybbY//nrdF//leuD//dsbC//fecR//phnI//ampC//zraP//tadA//gatY//aceF//gspL//flgH//glnH//gspE//phnE_1//efeU_1//ydiU//cynR//ydfW//entC//ygiC//ygiZ//argO//ssuD//
NemR_neg	rpsU//yjjZ//fliT//
NhaR_pos	nfsB//moaB//malI//carA//hns//ndh//ydcT//
NikR_neg	leuL//ydeM//phnC//nanK//ppiD//acrA//
NimR_neg	pepA//trpR//
NorR_neg	leuA//
NorR_pos	hyfI//spy//
NrdR_neg	ulaD//malE//fliQ//nusA//leuL//deoC//yegH//gspH//rimK//
NsrR_neg	glpA//malK//nmpC//ldtC//lexA//ybbW//ttdA//gspF//hyfD//lysA//sufS//malM//uvrD//ynfF//glgC//gatA//ydeI//casC//fdnG//yhiD//tauA//oppC//pheM//cysN//glpT//nrdI//arsB//fliZ//ppdB//mhpE//aroL//fepD//creA//fau//rutE//lysA//aidB//ydhX//recF//garL//flhB//potH//agaV//ahpC//ycdZ//nhaA//yhdX//phnE_2//nikE//mraY//gadF//ydhX//dkgB//nrdG//glgP//gspF//napH//gspI//ttdB//fliQ//ynbC//umpH//accA//gabP//iscS//rpiR//sufS//nikA//ycjX//yagK//gfcA//bhsA//torD//fbaB//fadH//sroA//nuoF//idnT//fepD//dinG//fadA//sufS//dcuA//
NtrC_neg	garD//pgaA//fau//lysP//ppiD//thrS//
NtrC_pos	exbB//nrfC//infB//trpL//hyfE//yoeB//deoB//mngA//malE//yiaN//metR//uidA//wecB//nmpC//accB//pitB//sbcC//ynfG//edd//tyrP//csgB//nuoN//truB//sgrS//tktB//cspD//araE//ydeO//frdC//gudP//csgC//fucA//aceB//ubiX//trpA//gadC//flhC//gcl//ybhF//gadC//zinT//umuC//narL//murR//argP//hdeB//yjbG//phoP//citX//
OmpR_neg	ddpB//ygbA//borD//ykgM//znuA//sodA//glcA//fliH//mngA//napA//inaA//fumB//
OmpR_pos	polB//treB//mprA//cueO//hyfR//asnB//osmC//ynfE//patA//yqhG//
OxyR_neg	ddpB//fbaB//cirA//exuT//galT//bglG//galS//rseB//dhaK//alsC//nikR//gspE//
OxyR_pos	appB//yegH//cra//creB//nanS//rybA//aceE//motB//lacY//mdh//manZ//ygiZ//csiD//mzrA//rffM//flgC//pepA//fecB//rffH//gabD//ebgA//ycgZ//
PaaX_neg	ryhB//recC//bluF//aroM//argI//potH//lpd//ecpA//spy//paaX//rffH//citG//nikA//fecI//
PdeL_pos	aroL//
PdhR_neg	yiaN//wzc//nrdA//gntX//copA//casE//emrK//argG//yjbF//hcaC//codB//ubiX//gspF//bglF//ptsI//sgbE//ruvA//tktB//nupC//mhpC//flgI//hybF//lsrD//glpX//dtpA//exuT//argP//gadX//dnaG//cpxP//murG//citG//hycE//ebgC//modB//lysO//
PdhR_pos	nimT//ulaB//rseB//potH//accA//
PepA_neg	mlc//araJ//dhaM//
PgrR_neg	trpC//ydfE//agaD//cecR//gfcA//modA//yfbR//gadE//
PhoB_neg	sdhD//rcnR//hyfD//caiA//glnD//xylA//ariR//cyoC//leuO//cysK//potH//lldR//
PhoB_pos	feoB//cysA//purR//gspF//ompC//wzb//trpD//pncB//fadM//yhcH//dcuR//rimP//aroM//leuO//insD//ddpC//pgm//cynT//trpA//yafN//hyaE//flgC//fdhF//paaZ//ydhT//feoC//ssuC//atoE//ydhX//araA//xapA//aroP//rutB//cyoB//ycdZ//tnaB//speB//ugpB//dgcC//gpmM//ygiC//recF//cysD//kbaY//hns//dgcC//yhjC//yfaE//yebG//yedX//phnM//ptrA//uxaB//
PhoP_neg	cas2//dcuR//ynfK//ydjM//tynA//acnB//mtlA//galT//seqA//chbF//idnK//
PhoP_pos	wzzE//ssuC//recD//lpxA//cysI//betA//ydbK//yeiL//fliE//ydhV//slyB//gcl//malP//waaY//murP//insK//yafP//ymjC//fepG//sgbU//gudX//creB//glcA//ynbA//ulaB//yneM//moaC//pgpC//chbF//yiaK//dcuS//leuC//cyaR//tyrB//ftsL//melR//hisQ//betI//mdtA//phnL//artP//rpmI//ppc//rffM//hypB//asnC//gyrA//mdh//
PrpR_neg	melB//
PrpR_pos	nrdE//yfiB//yafP//hydN//
PspF_neg	puuP//
PspF_pos	trpE//gatB//dgcC//relE//ddpF//nagC//
PurR_neg	yiaL//srlA//purH//zraS//omrB//paaJ//deoA//yjbH//araF//ubiX//dapD//zraR//hflD//dcuS//narJ//sfsB//frdD//ompW//ygeH//ynbB//fdnH//thrS//uidC//metR//katE//hyaA//gatD//ymjC//feaB//malF//ydhX//
PutA_neg	fliQ//pspE//
PuuR_neg	glnH//hisP//napC//srlA//oppB//metL//kbaZ//
QseB_pos	aceA//glcG//pck//rdoA//
RbsR_neg	dps//pgaC//yoaC//fixX//rutD//thiP//ycdZ//emrB//
RbsR_pos	metK//
RcdA_neg	puuP//glgB//
RcdA_pos	yjbF//paaF//symE//paaC//skp//malF//yhbT//
RclR_pos	idnK//acrR//malT//
RcnR_neg	fhuD//rhaR//xylA//
RcsAB_neg	osmB//ccmD//ccmF//pstB//fabA//sroD//
RcsAB_pos	frc//nusA//atoB//mltF//waaY//hemL//nac//kbp//manZ//ttdR//
RcsB-BglJ_pos	dpiA//fadJ//flgI//seqA//dcuD//nusA//rffC//hemL//mazG//paaY//rbsA//rcnR//mepH//mlrA//flgA//purK//
RcsB_neg	add//csrC//
RcsB_pos	gcvT//moaB//fabA//motB//fixC//yoaG//hcaF//nemA//waaY//zraS//yciW//frdD//ydhV//guaB//fixC//dkgA//cheA//ybbW//glnP//tcyJ//pqiA//pheS//gudD//
RelB-RelE_neg	ebgC//guaB//mlrA//
RelB_neg	malF//acnB//purR//
RhaR_pos	yoeB//trxC//
RhaS_pos	flhC//ogt//gntP//evgS//hdeA//ariR//
Rob_neg	tpiA//
Rob_pos	appA//flgH//fucK//fhuF//zinT//ttdA//deoB//cyoC//mgrB//agaB//putA//tdcB//nuoK//rpsO//hyfH//mdtF//yaiA//rpmA//fadD//amn//infB//decR//purB//fepD//glk//
RstA_neg	phnI//alsB//yciG//csrB//casB//
RstA_pos	torC//pgk//sodA//mpaA//mazE//
RtcR_pos	polB//xylA//
RutR_neg	prpE//recF//sroC//atoE//hycA//ddpF//purA//pepA//flhB//metJ//pspD//phnO//dmsA//rarA//rbsB//
RutR_pos	gntU//murC//
SdiA_neg	appX//narG//rffT//
SdiA_pos	focB//yccA//yhjX//
SgrR_neg	ebgA//melB//nuoE//patD//lsrF//
SgrR_pos	glpA//murC//araE//rclC//
SlyA_pos	dpiB//
SoxR_neg	tauB//
SoxR_pos	agaS//recD//
SoxS_neg	flgA//fucO//
SoxS_pos	accA//polA//casD//dacC//purD//nikC//sgrR//ynfH//flu//sgbU//infB//marB//inaA//rffT//tyrP//hyaA//yaiA//marB//cpxR//patD//tdcB//nusA//fabB//gntK//rcsA//metY//ynbD//ftsA//cecR//omrB//gcvP//slyB//fucP//fixX//fabA//truB//purD//dsbA//
StpA_neg	molR_1//metB//phnE_2//pykF//glpD//sufC//chbF//
SutR_neg	murP//fdhF//zntA//wecE//sucB//
SutR_pos	nlpA//
TdcA_pos	phnJ//phoP//ydeN//gadF//yeaD//casB//cysU//
TdcR_pos	truB//gadW//ycgR//evgA//sufE//ydeM//hcaD//
TorR_neg	hypF//ymjC//gnd//
TorR_pos	phoR//yjhC//nuoG//recB//fbaB//narH//glgB//uidA//pyrC//
TreR_neg	symE//wzxE//
TrpR_neg	hmp//lsrR//marB//prpE//ubiA//gabP//yqjA//gudP//atoE//ldtD//srlR//entD//
TyrR_neg	deoA//dhaK//hyfC//uvrA//asnA//glnG//mdh//csgG//grxA//fdnH//
TyrR_pos	yiaL//tdcB//glnK//
UhpA_pos	cytR//
UidR_neg	purK//flu//dhaM//cpxP//
UlaR_neg	lysR//citX//sgrT//envC//entD//appB//phnN//
UvrY_pos	flgB//agaB//yagK//gudD//norR//
UxuR_neg	tsr//yccT//araD//wcaA//hokD//osmY//gspG//uvrC//aceA//
XapR_pos	fadE//cysN//
XylR_neg	gadW//
XylR_pos	glnK//iclR//cusS//rhaT//phoR//yedX//
YdeO_neg	lsrF//yegZ//
YdeO_pos	mhpT//ymiA//gatZ//fhuE//srlE//rimK//gatC//pagP//rffH//yiaJ//argI//phnK//gltI//fixA//patA//purE//fucR//cusS//lsrD//
YedW_neg	mdtB//gcl//ymgC//puuR//osmC//
YedW_pos	yhjC//fnr//nikB//trpA//purN//ccmE//ychF//
YefM-YoeB_neg	yagK//fabB//
YefM_neg	srlE//cueO//
YehT_pos	aspA//
YeiL_pos	gltJ//
YiaJ_neg	lexA//rbsK//glpK//mzrA//pspA//ydhY//rffC//rbsA//fepG//betA//
YjjQ_neg	ssuE//yhbE//fepB//flu//ytfE//mntS//ssuB//epd//astE//yqjI//
YpdB_pos	pfkA//
YqhC_pos	argF//cysE//
YqjI_neg	nikB//dcuD//
ZntR_pos	dicB//
ZraR_pos	uxaA//casB//mtlD//
Zur_neg	gadC//ycgZ//frdD//hcaB//sufE//bglB//
