#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	oppC//ryhB//
CdaR_pos	yqaE//ampC//hipB//cydB//adiA//ycjX//fur//oppB//lgoR//fdnG//
CecR_neg	galS//yhjX//fliK//rcnA//leuL//
ChbR_neg	fadB//mltF//uxaA//hns//envC//thiQ//
ChbR_pos	leuA//omrA//hisJ//omrB//cysJ//melR//
ComR_neg	sufC//
CpxR_neg	ccmG//murG//allA//ycjX//paaD//prpD//nac//treR//dps//ada//rutB//pspC//yciX//phnI//mlrA//malP//hemH//higB//dgcC//araJ//gltI//nimT//patA//cusB//
CpxR_pos	mngA//ymiA//fimB//aceK//isrC//ybhR//nhaR//ulaB//narX//luxS//casD//mhpB//dps//gapA//hybD//sdhC//trpE//fixA//fliK//glnA//zntA//gspE//aroF//trpC//puuD//ynfF//potG//fimB//yhhY//yneM//tadA//glpA//lsrC//gntX//metR//ihfA//kbaY//glnQ//fepC//ulaC//tisB//csgE//nimR//aidB//aceE//aslB//
Cra_neg	betI//fecD//yfaE//crl//envC//acrZ//nuoG//slyB//csgA//rbsC//infC//waaZ//relB//fepD//sufS//tsr//recC//csgC//astB//hycH//ydhU//aroF//hokE//cysD//rplU//rpoD//gcvT//ogt//cra//ibaG//ddpC//narJ//nuoJ//cheW//cyoE//phnG//hypC//baeR//feoA//moaB//chiP//nupG//potF//malE//motA//insD//gabD//pyrD//norV//astA//crr//pheT//relB//appA//purB//bdm//dsbA//ydjM//phnK//
Cra_pos	putP//codA//insK//rstA//yebE//oppA//wecC//pstS//yjjQ//rbsB//caiD//lysR//nrdE//folA//rpsU//dpiB//ccmD//rtcB//murE//mgtL//tauC//hycA//umuD//
CreB_neg	yaiW//pepD//hydN//
CreB_pos	envC//frdB//
CsgD_neg	metN//ompW//yoaC//glcG//bamE//murR//metB//nanE//ulaB//aceB//uspE//yiaL//hyi//pspB//rtcB//
CsgD_pos	pyrD//tnaB//ppdA//argO//treB//hokE//entD//rutG//ygbA//nrdA//hns//nuoC//ttdA//
CsiR_neg	dsdA//lldP//hyaA//ftnA//exbB//
CspA_pos	ihfA//uspE//
CueR_neg	mtlR//caiA//dgcN//ecpR//tsgA//
CueR_pos	sgrR//hemH//
CusR_pos	murP//ulaA//pdeR//ykiA//paaA//cusR//leuB//yiaN//glpK//gltI//borD//obgE//
CynR_neg	galK//
CynR_pos	araG//tauC//cusB//
CysB_neg	fixX//rarA//sulA//hyaE//galP//mntP//hslJ//
CysB_pos	ribA//ccmE//treR//acrZ//fliG//mprA//rdoA//gspD//phnI//purL//casD//glcC//yhdX//cusR//nikE//garD//malY//citE//dapB//leuD//metE//caiC//yeiL//gspD//mtlR//
CytR_neg	rtcA//sufB//nuoJ//puuB//mipA//aidB//argD//gltD//pnp//phnN//ybjN//polB//rplT//
Dan_pos	hyaC//hyfG//dcuB//ssuD//
DcuR_pos	murI//gltD//emrY//mepH//ubiC//rbsK//sdhA//ldtB//cdd//
DeoR_neg	ung//bdm//dkgA//wzb//patA//lpd//
DhaR_neg	hybG//
DhaR_pos	phnC//thiP//pspD//
DicA_neg	ybhR//ychF//fixB//adiA//osmY//bioF//purL//bglB//
DinJ-YafQ_neg	fhlA//hycB//gspH//
DnaA_neg	fepB//udp//malE//ydcV//cadC//acrB//hemL//yiaO//fucU//fliG//csrC//
DnaA_pos	ssuB//napB//yafP//lrhA//aroM//gcvP//cysD//
DpiA_neg	yqhG//
DpiA_pos	recB//yqjI//yjjZ//rbsR//hyaB//fhuB//micF//uspE//mdh//putA//
DsdC_neg	kbaY//
DsdC_pos	betB//alsE//
EbgR_neg	soxS//modA//
EnvR_neg	rpsO//truB//
EnvY_pos	phnC//hybO//
EvgA_pos	gntT//mhpT//pnuC//uspD//ymgC//degP//aidB//yhjC//alsE//manX//argI//ada//rhaA//nrfC//ftnA//hha//nupC//ycdZ//frc//
ExuR_neg	yebE//lsrG//cueO//ldtC//phnJ//glmY//feoA//cspI//ygeA//
FabR_neg	atoB//caiD//
FadR_neg	nuoE//fixB//lsrD//hyfR//ilvY//tdcD//hycI//emrK//aroH//pncB//cydC//
FadR_pos	fhuD//adiC//hokE//sbmA//ydeI//yhjX//hipB//hemL//slyB//nrdE//motA//xylR//
FeaR_pos	mazE//ompC//
FhlA_pos	potH//nikB//citD//lysC//purD//leuD//mdtF//flgB//ftnA//bacA//idnT//ycjX//cydC//casA//chbR//ftsI//glnQ//ccmC//glgB//symE//entE//rpoS//udp//bacA//hcaE//yhhY//emrB//astA//tolC//hyfF//
FlhDC_neg	lexA//mqsR//citF//infC//
FlhDC_pos	gadX//araJ//cspE//murQ//gatA//dinJ//murD//modC//manY//phnG//slt//trpL//cusS//fliG//relE//mhpD//yqaE//tyrR//yhiD//ugpE//ynfK//alaS//pdeH//rutB//yaiW//cspD//purD//waaY//csgF//csgB//alsB//yneM//phnD//gltL//pspA//hypC//argG//gdhA//purH//hslJ//ftsL//manY//aldA//rutD//agaW//zntA//glpK//fhuA//mdtA//fliH//paaI//trpC//gspO//kbp//torR//lldR//ynfF//ddpX//fliQ//leuL//paaA//pck//fhlA//rcsA//ymiA//nrdF//fliE//purC//insD//mlc//yoaG//cheW//yfiB//mprA//gatZ//rpoH//ulaA//modC//
FliZ_neg	hypD//araH//tauC//puuB//ydhW//cvpA//pheM//nfsA//phoR//ribA//csgA//fabI//ygiZ//yqaE//chbB//flhE//dmsB//ynbD//ccmG//zraS//cysW//
FucR_pos	nagE//galM//paaY//tbpA//cysC//fadM//lsrB//
Fur_neg	pdeH//mngA//adhE//ybfE//torR//ydhU//hmp//ddpC//flgD//rpoS//alsC//purE//nikC//araH//hdeB//alsE//flgA//napF//ptsH//gatY//ynbA//yiaO//citG//lamB//metH//gspK//ftsL//hcaD//amn//wza//gadX//gadE//nfsB//kdpB//moeB//yqaE//idnK//hisP//nanT//betB//gudX//phnD//appB//speA//fruK//ydbK//mlrA//nuoK//nirC//yafN//yciW//allC//argD//lysA//sucB//mltF//yfiR//zraS//chiP//ybhS//nanT//fucI//ftnA//fepC//eno//sdhC//ybaS//ycgZ//pykF//casE//gapA//wrbA//ftnB//cas2//fruB//rplT//yeaG//ygeH//hypB//gcl//ubiA//gloA//lldD//hycG//phoP//tbpA//prpE//dctA//rnpB//hybE//glgA//yhbT//marB//rdoA//hyaD//pstB//flgE//ydiU//murD//astC//yiaJ//yhcH//oppC//idnT//hns//appB//tfaQ//ydfW//fbaB//ygaC//moaD//cspD//yqjA//adiA//yhiM//
Fur_pos	fruK//hmp//ptsH//dmsA//phoE//mdtE//alaS//guaA//hypF//agaV//yagK//glnK//cydC//ppiA//accD//fecR//mngR//prpD//ykiA//rplU//csrB//
GadE-RcsB_pos	nirD//aldA//purF//rcsA//phnK//cvpA//phnL//puuB//xylB//
GadE_pos	bioC//edd//nadA//slp//yhdW//zntA//exbD//fixA//fumC//baeS//ybhF//paaH//wzyE//infC//mioC//eda//flgK//seqA//glpC//isrC//nirD//yfdV//rhaA//garR//gcl//hcr//cbl//pqiA//fadR//
GadW_neg	cadA//waaY//nhaA//yafP//ebgC//torD//yneM//alaS//rffH//spy//glnA//
GadW_pos	rpsU//hycA//kbp//fhuE//caiF//dcuA//dapD//sufC//insD//pspD//aceE//
GadX_neg	focB//bacA//cusS//infB//sra//gntX//
GadX_pos	bioB//cusR//fepC//ubiC//ynbB//rstB//cysN//ymjD//yafN//hyaB//cadA//ampC//prpB//dinF//yaiW//ccmC//kbaY//pspE//pdeR//fadI//rnpB//entC//ppdA//ynfH//yhdY//gspG//idnR//
GalR_neg	gntP//ompN//mdtC//hycG//glnQ//gapA//katG//iscA//hyaE//sroA//
GalR_pos	yciW//ruvB//flhC//kbaY//
GalS_neg	glnH//citE//ftsI//hyaB//psd//asnA//yefM//pgk//hlyE//murF//
GalS_pos	yqjI//hyaC//ybaT//feoB//
GatR_neg	norR//gutM//glxK//gspI//uidB//asnB//
GcvA_neg	ydcU//ynfE//hemH//accD//
GcvA_pos	tehA//hycE//malY//yjjQ//
GlcC_neg	cpxA//
GlcC_pos	leuC//lysR//chbB//mglC//erpA//ccmH//
GlpR_neg	rcsA//araC//nanC//hcaD//paaC//creD//malZ//ubiC//flgI//
GlrR_pos	deoD//ydhY//udp//ssuE//ybaT//
GntR_neg	agaC//crr//cusB//pepD//argF//ydcV//yedX//nrfD//csgA//araH//phnG//gcvB//
GutM_pos	fecD//betT//amtB//ulaB//purK//csrC//phoB//
GutR_neg	galM//phnF//nuoJ//fepB//csgA//sodB//cynX//
HU_neg	tdcD//pstA//murQ//polB//ydeO//ssuD//flgK//leuC//
HU_pos	fimE//
HcaR_neg	yccA//
HcaR_pos	lysC//ydhW//epd//ftnA//copA//
HdfR_neg	glgB//glcG//
HdfR_pos	bdcA//puuA//pgaC//
HigA_neg	sucD//recB//
HigB-HigA_neg	rfe//mioC//
HipAB_neg	glgA//ssuE//gudP//rsmH//citX//
HipB_neg	hybO//mpl//prpD//dnaA//alsC//pstB//
HyfR_pos	emrA//cas2//glyA//fucI//emrB//ompW//ydbK//grxA//yafN//murR//tsgA//mnmG//
HypT_neg	folA//ssb//hybB//sucA//hflD//
HypT_pos	idnK//lrp//nemA//cydC//cyoE//recC//cdaR//torR//
IclR_neg	nrfD//ccmD//omrA//rpoE//
IdnR_neg	mcbA//adhE//
IdnR_pos	yeiL//mdh//ybbY//fadJ//wecE//
IlvY_neg	tnaC//
IlvY_pos	pagP//
IscR_neg	codA//paaA//yjbG//mhpC//pspF//gnd//metN//purR//yciX//kdpA//pyrD//hypE//focB//napA//xylH//prs//ygiZ//yqhG//fliC//ytfE//ptsH//
IscR_pos	galE//fumC//uxaB//nuoL//feaR//sulA//malI//putA//rseC//efeU_2//rimP//
KdgR_neg	yecR//mnmG//
KdpE_pos	fliL//oppF//cheW//fumB//
LacI_neg	mhpB//gudP//phnH//
LeuO_neg	caiC//isrC//yhjA//
LeuO_pos	yiaN//obgE//citG//wcaB//entA//dgcN//ilvC//serA//ddlB//hisJ//srlB//deoA//yhbT//icd//ftsI//yhdW//araB//rffG//
LexA_neg	recD//ygeH//hokD//rsmH//yhiM//gudX//fes//slp//ynbD//frdD//evgS//rybA//dhaK//thiP//napF//nanK//yjjQ//acrD//paaE//yfiR//kdpF//pepD//mltF//feaB//rseB//wzxE//mlrA//mprA//ompW//tehA//intQ//hyaE//hemL//fliA//fabA//glyA//fabG//sdhA//mglC//moaC//gcvP//ybfN//tbpA//fepA//ykiA//yebG//malM//garD//gspK//torA//phoP//micF//fixB//gntU//ogt//acrA//pnp//xylB//hycH//
LldR_neg	nrdF//glgP//appB//
LldR_pos	tnaB//nadA//artP//
LrhA_neg	hyaB//yefM//
LrhA_pos	fliH//melA//
LsrR_neg	yagK//nagA//bioB//lexA//csrB//ygbK//mltF//lolA//fau//
LysR_neg	metA//
LysR_pos	hypA//
MalI_neg	ydhT//yefM//appA//
MalT_pos	murQ//flgH//cynR//ydeN//csgB//rprA//mhpA//creC//napD//araC//
MarA_neg	norV//yiaM//pgm//hyfD//ung//glnA//gltI//
MarA_pos	appY//cysW//umpH//fliR//ppiD//bolA//zraP//ydbK//dcuB//cvpA//rutF//rhaB//fumC//fliR//metY//tnaC//uspE//hcaE//mlrA//nfsA//ugpQ//dinQ//mipA//obgE//pagP//bioC//ybjC//yhbE//ppiD//relE//allE//
MarR_neg	hycE//phoB//zraS//
MatA_neg	tdcA//cyoD//asnB//pheT//narG//cysD//
MatA_pos	ndh//uidB//
MazE-MazF_neg	zntA//hisQ//betI//
MazE_neg	artJ//araJ//luxS//
McbR_neg	soxR//
McbR_pos	gspL//betB//rclA//
MelR_neg	murF//fucI//idnR//
MelR_pos	potF//speA//metK//
MetJ_neg	mglC//srlD//flhE//lsrD//malI//yegH//ydfN//fepC//hypA//dsbA//dkgA//entA//fabD//cysH//guaA//
MetR_neg	ydiU//flhB//
MetR_pos	recB//yegZ//alkB//dcuA//
MhpR_pos	uspD//citG//ppiD//nmpC//yfdV//yfiB//
Mlc_neg	cysK//pagP//ssuE//sfsB//sroA//qseB//hybA//aroP//chbR//phnF//
MlrA_pos	nikA//bglJ//znuA//yebG//marB//tauC//serA//ompF//yaiW//phoB//
MngR_neg	torC//hha//lrhA//
MntR_neg	motA//cirA//ygbA//glpF//
MntR_pos	glnL//
ModE_neg	rybB//tauA//flgK//phnP//rplU//fixB//araH//pepA//nrdH//sbcC//fabG//tnaB//entA//hisJ//feaB//
ModE_pos	flhC//cspE//gspI//ydhY//hyaC//yeaG//nuoN//ybjC//deoC//nrdA//mazG//znuC//glcA//lyxK//gudX//flgN//recX//gntK//ccmH//yjbE//pheM//mgrR//dkgA//fadI//dicB//gabP//nusA//dpiA//creC//citG//agaA//
MprA_neg	galK//chbC//ulaB//nrdG//bluF//mglC//
MqsA_neg	aceB//ynbD//leuB//nikR//osmC//fucA//ulaF//hypD//
MraZ_neg	chbF//cpxR//mhpB//gcvH//creD//dmsA//flgN//wzxE//glxR//aroF//yhdX//casC//ftnB//gpmA//carB//fruB//tnaB//
MtlR_neg	fhuE//mhpA//lsrD//
MurR_neg	ygeA//oppC//ptsH//
MurR_pos	srlR//
Nac_neg	fumB//ycjF//purN//yecR//allS//fecR//hybO//nrfD//garK//
Nac_pos	fldB//glmY//fucU//aceK//ugpQ//prpR//nuoN//lldR//ftnB//yecR//melR//rpiB//
NadR_neg	amn//alsE//galE//yebG//
NagC_neg	glxK//tdcE//citG//mqsR//flhE//pspE//hycC//mdtB//ygeA//cusF//yeaH//wecB//cysI//gcvA//fliS//nagC//agaS//recB//agaD//ompF//glpK//evgS//mtlR//gloA//aroG//aroF//recA//ftsI//gadX//degP//gatZ//chbF//agaB//
NagC_pos	ulaF//speB//dcuS//
NanR_neg	hyaF//phnH//cpxQ//xapA//ymjC//rimK//ppc//mtlA//pnp//btuB//
NanR_pos	gspK//
NarL_neg	lysP//lysP//fliJ//yafQ//dcuD//fnr//paaA//flgI//alaC//iscS//betA//katE//cysG//ynfK//yjjZ//ybjG//araA//folE//yiaO//glgA//thrS//creD//ddpB//gntT//garK//pdhR//prpE//nagA//cysD//rpmA//agaR//ccmD//flgD//hycI//nmpC//ibaG//ppsA//fruA//fhlA//truB//tonB//yiaL//cynX//glcC//degP//fepE//yhbE//hyfB//mprA//uidC//dsbC//yefM//yhdZ//setA//fecB//potF//uxuR//sdhB//ygbA//frdB//galR//feaB//rutR//galS//pdeR//betB//rstA//acrZ//fixX//galP//casA//flgB//ubiC//gabD//leuO//trpA//pqiB//argD//galP//fliA//molR_1//ulaE//trpC//fhlA//nagA//ogt//yhcH//
NarL_pos	pyrC//fliJ//pgaB//rprA//nrdF//eda//relE//ydhT//fliG//agaW//ptsI//alsB//nemR//purH//pspG//aroF//yagK//safA//ariR//betI//uvrD//recN//fhuE//garL//flgA//flgD//copA//slt//mraZ//glcE//glnB//efeU_2//yfdV//tdcB//rffG//efeU_1//ygbK//paaA//csrB//sufD//nuoH//kbaZ//cpxP//
NarP_neg	yecT//glcA//cueO//dgcZ//cysA//modB//paaE//argD//osmY//yjhC//dgcC//isrC//fdhF//hypE//lsrB//rutG//folA//infB//cynX//phnF//ybbW//cbl//ycjF//ccmB//hns//pstA//glnG//fucI//betT//cadB//uvrA//hemH//flhA//
NarP_pos	gatD//glnD//glgC//accB//flhA//tauB//ccmG//mpaA//sufA//sfsB//araC//gfcA//argF//rhaD//polA//hipB//mraY//chbR//sucB//fdnH//nusA//uxaC//ppiA//ybhF//oppF//marB//ymjD//mglA//patD//glnA//metK//yedX//
NemR_neg	metI//phnD//ymgA//
NhaR_pos	gapA//mcbA//gadY//bhsA//fabB//caiA//torA//
NikR_neg	prpB//mhpT//gspF//cysN//rhaR//casA//
NimR_neg	tdcF//yjbE//
NorR_neg	lhgO//
NorR_pos	hcaC//rfe//
NrdR_neg	tauA//hybE//metA//pgaC//marA//fecB//rhaT//fiu//ybiT//
NsrR_neg	ppiD//cysJ//sucB//putA//hyfR//appC//flgN//fliQ//psiE//slt//gltL//astD//uspA//eno//yfaE//ubiA//dapD//glxK//htpG//hns//ycjX//gltK//focA//lldP//citE//mgrR//hyaB//spy//lldR//accB//wzb//ccmC//hycG//cysN//oppC//tsr//bioD//ddpF//dmsB//fucP//mtr//ydhX//malF//gltD//dicC//fabH//udp//cysI//ynjI//uspE//fliO//mngR//ssuA//melR//araF//yedX//mtlR//cspD//tomB//hycB//gspG//ccmE//nanE//tyrB//insK//nikC//ddpF//yaiA//malX//fecE//rpiB//ftsK//rybB//gdhA//glnP//gspI//torA//add//ompW//gcl//tcyP//rffC//rprA//
NtrC_neg	phnF//astE//sdhD//tyrA//tpiA//glnB//
NtrC_pos	metN//codB//gutM//yebG//guaA//uspE//allA//flgK//ydcU//ytfE//nanA//rdoA//guaA//ygeH//chbR//ygaC//ecnB//nimT//metF//mhpE//znuC//pepD//dsbA//hyaA//mzrA//accA//mdtB//purM//dinQ//fruB//fixB//ugpQ//nagB//ddpX//ndh//carB//moaD//cydB//hybO//yqjA//argR//ahpC//psiE//creC//phnJ//fruK//cheW//recD//agaC//
OmpR_neg	dcuD//allC//osmY//rffC//glcD//dpiB//oppA//pspD//motB//flgL//molR_1//glxK//
OmpR_pos	dinJ//galR//ulaA//hypF//yciG//polB//murE//argP//sroA//hypC//
OxyR_neg	rpoE//uof//htpG//ftsK//lsrD//hycE//uidB//ybdN//hyfB//fliQ//mltF//gcvA//
OxyR_pos	uidA//yhbE//hyaA//chbG//xylG//ydhT//feoC//agaI//fhuD//cueO//dcuS//yegR//tdcG//ydeP//moaB//lsrK//glgB//fliR//glyA//prs//ydjM//yafO//
PaaX_neg	fepC//phnM//caiC//dinJ//lyxK//cbl//treB//acnB//fdnI//efeU_2//paaF//gadF//sdhA//lgoR//
PdeL_pos	cra//
PdhR_neg	tomB//astE//amtB//rseB//nrdB//lpd//zraR//ybaT//ddpB//safA//yjjZ//argP//qseB//glpA//gyrA//lysC//ahpF//tyrB//potH//hyaB//phoA//ykiA//creD//hyfH//flgC//fixX//dcuR//fabG//yhbT//yjbG//dnaG//artQ//katE//ycdZ//napF//purB//
PdhR_pos	glmU//hyi//malZ//glyA//malI//
PepA_neg	glnP//yaiW//ynjI//
PgrR_neg	ptrA//add//fecC//dctA//betI//exbB//casE//arsB//
PhoB_neg	cysA//galR//asr//tsx//hcaE//galR//hdeA//phnI//yecT//garR//rutA//cusF//
PhoB_pos	sgrR//yjbE//nupG//mngA//rybA//aceF//nagC//phnK//cyoD//gspK//yncE//gutM//glpQ//hycI//fabD//ynbB//dhaM//rpoS//glcA//nanS//ygaC//rstB//appX//thiP//citX//bglF//phoB//puuR//hyfD//yfiR//lrp//omrA//evgS//cysA//flhD//paaC//lon//fabD//sucA//xapB//znuA//ssb//yafQ//ftsA//ygiB//ulaF//sucD//gadC//rtcA//emrK//cysP//yqhD//grxA//
PhoP_neg	molR_1//nikB//thiP//cirA//nuoN//dmsC//aroP//ddpB//dcuA//hycG//fruA//
PhoP_pos	gspL//frdD//rybA//hycG//lsrD//dpiB//tisB//paaI//osmC//tam//dctR//yjeV//cusR//nuoE//copA//fecA//rffH//flgH//hybD//cysG//ompF//cadA//marR//phnL//adhE//leuL//sucA//pspE//yiaM//ykgO//hyaE//pyrC//ynbD//ymjD//glcF//phnM//mcbA//cysW//nuoE//dhaK//nmpC//yhbT//znuB//nfsA//uxaC//glnK//infB//mntP//
PrpR_neg	ynfH//
PrpR_pos	hypE//hlyE//paaD//nuoH//
PspF_neg	ccmF//
PspF_pos	sucD//nuoA//yafP//yciG//tynA//ykiA//
PurR_neg	relE//udp//umuC//fdnI//treC//talA//motB//ydcT//argA//fliJ//ybdZ//nuoL//pgm//gcvT//yfaE//ascB//ydhV//putA//alsA//rcnR//potH//ecnB//mngB//nagA//rclA//yjbH//dhaK//rffH//ddpD//ulaA//gntT//
PutA_neg	hypA//ebgC//
PuuR_neg	ydcU//sufA//glxK//entH//baeR//thiQ//pdeH//
QseB_pos	hycG//zntA//ybdZ//yeaG//
RbsR_neg	bioB//sucC//rseC//evgA//gabP//nrfF//ybjN//yiaM//
RbsR_pos	yrbL//
RcdA_neg	uvrD//dhaM//
RcdA_pos	dsbC//araF//tauA//bdm//trpR//baeS//mpl//
RclR_pos	uspA//epd//cueO//
RcnR_neg	srlD//fhuC//srlA//
RcsAB_neg	fliF//leuO//ydfN//bdm//manY//sufB//
RcsAB_pos	rcnR//ybbW//uvrY//yqjI//ycjG//sra//tam//truB//glk//setA//
RcsB-BglJ_pos	yaiA//deoA//ldtC//hisJ//ycjY//hybA//nohA//bacA//leuO//nfsA//feoA//feoB//araJ//gadC//sgrT//infB//
RcsB_neg	fadE//talA//
RcsB_pos	uvrB//rutB//yiiS//gatB//nupC//nirC//ynfE//hipB//fadH//glgX//rpsO//cusR//phnO//hemL//yiaM//citX//cadB//yhcH//rseA//betA//rprA//ubiA//galE//
RelB-RelE_neg	nanM//flhE//pdeR//
RelB_neg	znuB//sgrT//allD//
RhaR_pos	gspG//pspF//
RhaS_pos	flgI//fepC//fepE//copA//glnA//entE//
Rob_neg	ybhL//
Rob_pos	dpiA//phnF//dpiA//gloA//citD//idnK//wzzE//ydbK//rhaR//ulaD//ygbA//nanC//yccA//allS//lsrB//yefM//carB//purA//yiaL//yafN//gltB//pstS//yhjX//xapB//gpmA//
RstA_neg	osmC//psd//ybbY//dacC//spy//
RstA_pos	narG//hcaD//ada//yhiM//insK//
RtcR_pos	glnQ//uof//
RutR_neg	ilvC//lpd//mtr//codB//torA//udp//paaK//hipB//nanE//glnA//ydhV//hycG//cysM//fadB//ynbC//
RutR_pos	hisJ//ygiB//
SdiA_neg	pgm//entD//ynbC//
SdiA_pos	pstS//ybhL//rutA//
SgrR_neg	ldtB//mltF//caiE//dhaM//talA//
SgrR_pos	yqhD//moaB//zraP//paaX//
SlyA_pos	uidA//
SoxR_neg	wecE//
SoxR_pos	gabT//flgF//
SoxS_neg	baeS//tauA//
SoxS_pos	mglC//csgD//yegR//yoaC//tdcF//nuoH//aroL//caiD//yebG//artI//sulA//hmp//ynfG//flhB//pgm//leuO//yhdW//trpB//lpxD//cdd//fecI//marA//fhlA//gspC//fumB//decR//dcuA//csgF//glmY//appA//wzzE//pepA//hyaC//amtB//yjjQ//dicB//qseC//leuA//
StpA_neg	flhA//metK//rhaS//uidR//dgcC//hybF//ssuA//
SutR_neg	rhaD//metL//casE//ydeN//hyfJ//
SutR_pos	hmp//
TdcA_pos	asr//purL//mglC//hybA//waaH//acrD//nuoL//
TdcR_pos	rpoE//metH//moaD//psiF//sdhA//yqhG//higA//
TorR_neg	hcr//sufS//trpR//
TorR_pos	sutR//atoD//srlD//nac//cytR//yegR//mhpF//argT//nmpC//
TreR_neg	ycjG//hybG//
TrpR_neg	trpA//ykgM//ung//mscM//fepE//cysP//pspG//yneM//citD//ftsQ//xylF//mcbA//
TyrR_neg	sufB//dsbC//fhuA//bolA//cysB//gutM//feoA//napG//mtr//phnI//
TyrR_pos	tyrP//ampC//tsr//
UhpA_pos	yaiW//
UidR_neg	metK//sgbU//ugpQ//caiB//
UlaR_neg	napC//idnT//cynX//nanK//gcvB//glpC//ssuE//
UvrY_pos	uhpT//ebgA//melR//flgG//ddpA//
UxuR_neg	flgI//deoC//hypF//yfiR//glxK//oppC//feaR//baeR//pgaB//
XapR_pos	ihfA//sufA//
XylR_neg	ybaT//
XylR_pos	tauA//paaD//ssuD//wzxE//ssuA//ulaC//
YdeO_neg	hyaA//ftsL//
YdeO_pos	ddpC//hypA//adiC//rpsO//ycgR//mazF//trpD//alaC//rpoE//rstA//crr//metB//moaB//yneM//adiC//uof//rclC//caiD//agaA//
YedW_neg	wrbA//allA//nuoJ//gspK//glpB//
YedW_pos	rdoA//dapD//entB//tyrA//gspL//lldR//fucK//
YefM-YoeB_neg	phoU//nikD//
YefM_neg	dsdX//aceB//
YehT_pos	malP//
YeiL_pos	fruB//
YiaJ_neg	argR//argO//grxA//gntU//ugpB//lolA//melR//murE//nrdD//ilvC//
YjjQ_neg	ybdZ//dsdX//gltJ//bioB//phoB//osmB//nfsA//ecpR//fixX//pck//
YpdB_pos	phoP//
YqhC_pos	arsR//gltI//
YqjI_neg	hisM//iscS//
ZntR_pos	entE//
ZraR_pos	flgC//flhA//nrdB//
Zur_neg	udp//fhuC//lacY//araA//nagE//gspK//
