#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nikA//yhiM//
Cra_neg	csgF//entE//murC//uidB//gcvT//ftsQ//melB//uvrD//ilvY//gcvP//mqsA//hybA//lacA//exbB//glnH//kdpA//yafN//cecR//oppC//ndh//trpB//cynR//iraP//glnB//rclA//lrhA//yoaC//higB//glgB//fecB//emrA//malM//relB//dapB//alkA//cyoC//yjbG//rob//rnpB//flu//ddlB//uxuR//yhiM//exuR//ldtB//ydfE//lldP//ydhV//paaJ//poxB//yiaK//mglC//artQ//kbp//glnP//manY//appB//acnA//rpiR//
Cra_pos	gabP//nikA//rybB//dnaA//nadB//ribA//napA//rhaD//higA//gloA//rclC//ynbC//mprA//idnT//ydcV//hyi//ynbD//paaA//metF//manZ//uspA//ariR//aroG//
CreB_neg	tdcG//uidC//wecC//
CreB_pos	trpD//hybB//
CsgD_neg	gudD//gltJ//hipB//yfiR//phnK//paaZ//oppB//gabT//flgJ//polB//flgK//nirB//cueO//pspG//bioD//
CsgD_pos	yqhD//fiu//znuA//flgC//bdcA//fhuD//caiE//nrfA//fixB//ydhY//rsmH//hns//puuE//
CsiR_neg	yhdY//aroG//stpA//fabA//allS//
CspA_pos	dctR//carB//
CueR_neg	fabH//tsx//caiA//moaE//frdB//
CueR_pos	sra//cysE//
CusR_pos	yeaG//cho//idnT//uvrY//yeiL//treB//ydeM//luxS//ompW//murI//ompN//gadC//
CynR_neg	glcC//
CynR_pos	rpiR//sdhB//tdcG//
CysB_neg	ydiV//yncE//sucC//appA//ahpF//ycjG//recD//
CysB_pos	phoR//gfcA//phoU//ybjN//paaK//fecB//agaR//fur//creD//flgF//ybiT//yiaJ//gspD//nuoL//cydD//srlR//gatD//ssuB//nanE//moaA//uxuB//purR//sucB//nfsB//yhjC//
CytR_neg	frdD//katE//csrC//isrC//ftsZ//dkgB//qseB//flgG//uxuB//puuP//ppdB//hypA//mgtL//
Dan_pos	allD//fliS//argH//glpD//
DcuR_pos	ymiA//oxyR//rutD//gadA//gntK//cas2//srlA//sufD//garP//
DeoR_neg	nuoF//atoE//trpE//fabB//ycdZ//pstB//
DhaR_neg	flgI//
DhaR_pos	aroL//ftsA//bglG//
DicA_neg	malZ//nuoB//ibaG//mepH//tdcG//ygdB//rutE//bioD//
DinJ-YafQ_neg	metJ//norV//ydbD//
DnaA_neg	fhuC//agaC//rclA//slp//mazE//narL//nrdF//polA//cysU//yagK//ybhG//
DnaA_pos	icd//tdcD//creC//dsbA//deoC//marA//mngB//
DpiA_neg	ada//
DpiA_pos	puuR//ybjG//murQ//appC//aroP//carA//fhuE//galS//entS//pspA//
DsdC_neg	dmsC//
DsdC_pos	idnK//tdcC//
EbgR_neg	mltF//sulA//
EnvR_neg	rutR//qseB//
EnvY_pos	idnR//rbfA//
EvgA_pos	putP//murG//srlE//casE//gspK//nemR//yfiB//gabD//deoD//yqjA//mgrB//chbG//mhpA//tnaC//tadA//argR//aceE//fumC//hyfC//
ExuR_neg	aceF//gspD//phnK//nemA//pagP//dicC//ydcS//uxaA//ygaC//
FabR_neg	dhaR//fabG//
FadR_neg	appC//fliF//hipB//ribA//acrB//yeaD//edd//citF//rpoE//feaB//fiu//
FadR_pos	fliR//fecD//hybO//ddpA//flhE//glcA//hcaC//dctA//isrC//ynbB//astE//kdpF//
FeaR_pos	lysR//leuC//
FhlA_pos	bioF//fdnG//yfaE//pnuC//nrdA//cpxR//gatB//potH//hycD//paaX//rsmH//dsbG//cheW//murI//nagC//nuoH//gspH//marA//fadL//rtcA//yedX//fdnH//flgF//galM//ttdR//ebgA//nikB//gspJ//yiaO//zraR//
FlhDC_neg	torR//gdhA//slp//tdcC//
FlhDC_pos	polA//exbB//sgbH//hcaB//hcaF//yjbF//yqjI//glpT//puuR//tyrR//rpsO//treR//napA//yiaL//ugpA//allE//glcB//oppD//cadC//purK//rhaS//emrY//ycjG//glmY//agaB//betI//deoD//bdm//copA//uxuR//fimB//nmpC//flgH//hyaE//ydhW//yiaJ//polA//appB//nfsB//alsE//pstC//cbl//ilvC//wzb//ubiC//trpC//glpT//sbmC//ycdZ//hmp//puuA//recF//ybhF//ygaC//gabP//fepE//acrB//moaA//gcvA//dinI//nuoG//ddpA//caiT//amn//pqiA//ybfE//hcr//fepG//entB//aceB//gadE//ydcS//ygaC//wzb//dkgA//pgaC//fepD//citE//
FliZ_neg	omrB//ydiU//feoC//xapB//pqiB//mdtB//ydeN//tnaB//nikE//oxc//tfaQ//lrhA//nusA//csiD//glpA//modC//hyfA//nrfE//manX//fucA//fabB//
FucR_pos	creD//hemH//dsdC//yiaM//paaB//phnD//nuoI//
Fur_neg	caiF//cysA//prpC//astC//puuP//rutA//hflD//pck//gatA//ptsG//pdeL//citG//sgbE//trxC//yiaK//katG//fadI//nadB//ybhR//dinF//gspL//yafP//manX//umuC//ascF//flgN//aroH//tehA//caiT//nac//allE//hycI//nuoF//seqA//emrY//nrdI//rbfA//qseB//ycjG//glnG//dinQ//tdcF//casD//yjhB//caiT//atoA//uhpT//ptrA//nrfA//yecT//glmS//ssb//lamB//metC//glgC//higB//ydeO//citF//ynbA//fdnI//malX//bdm//yhcH//yafQ//cecR//motA//hdeB//cusS//xylF//purB//iscS//flgI//idnR//ccmA//tdcG//zntA//focA//mtr//ssuA//dinQ//astD//mngA//yjeV//folA//higB//rpoH//bioC//gatY//gltL//fucP//fabH//ydcU//purA//yeaD//ynfH//phnD//paaH//allD//dsrA//tnaC//murF//htpG//yhdX//katG//marA//ada//paaH//puuD//ycgR//ynbA//zntA//fhuE//psiE//nrdA//hcr//
Fur_pos	lsrC//inaA//napA//ybaT//flgH//ccmB//rsmH//tnaA//rtcB//fliE//tdcD//ssuB//flgA//icd//fliH//mazG//entC//ppdA//recF//fdhF//rbsB//
GadE-RcsB_pos	sgrS//phnE_1//hydN//cirA//murC//tehB//rpsU//psiF//rpoD//
GadE_pos	sbcC//ibaG//soxR//polB//melB//hyfA//recN//tisB//melR//fepD//folA//fau//ybaT//hybE//insK//hokD//metL//rtcB//cueO//ydhT//lsrR//lacY//flgE//hha//cirA//frc//purL//frdD//sdhC//
GadW_neg	dsbC//btuB//patA//xylA//cusR//ppc//mdtA//fpr//murD//yrbL//moeB//
GadW_pos	fpr//wecB//nuoM//emrK//astA//gadW//cynX//yaiA//dapD//dsbA//appB//
GadX_neg	flgN//rplU//uidC//paaE//narJ//flgA//
GadX_pos	allD//lgoR//purB//yafP//cpxQ//galS//tpiA//fucI//hyaE//alsC//glnH//umuC//tomB//murQ//appB//hyaB//flhE//ybiT//dapD//tdcA//lsrD//gatB//gutM//bdm//fadM//yiaK//malK//
GalR_neg	rhaB//potI//caiD//hyfI//phnN//hyfB//gspM//caiD//nuoK//hybC//
GalR_pos	nanK//katE//dps//marR//
GalS_neg	fliF//ompN//pstS//allS//uidR//caiE//nrfD//yhjC//hcaD//hybE//
GalS_pos	garP//deoD//fliS//fixX//
GatR_neg	csgF//mngB//rnlB//cysN//modC//ddpF//
GcvA_neg	mltF//yrbL//potF//cysW//
GcvA_pos	rseB//allD//rcsA//gltJ//
GlcC_neg	yeaH//
GlcC_pos	paaI//yciX//tyrP//artI//gspO//lacZ//
GlpR_neg	argO//cheW//xylA//mqsR//bglJ//hycB//lysC//bamE//sbmC//
GlrR_pos	truB//purK//cydB//tdcB//sra//
GntR_neg	inaA//lolA//hyi//sucC//yibQ//nfuA//tyrR//araE//paaG//ugpA//gltL//nirD//
GutM_pos	fepD//truB//nikD//ada//gcl//flgM//csrC//
GutR_neg	hisQ//mhpC//flhD//phoE//csrB//bioC//hycC//
HU_neg	argP//yqjA//mtr//phr//moaE//umuC//ydiV//yeaH//
HU_pos	sufD//
HcaR_neg	nuoJ//
HcaR_pos	fimE//focB//hyfD//atoA//hemH//
HdfR_neg	yiaN//metB//
HdfR_pos	glxR//nagE//iraM//
HigA_neg	allC//sroA//
HigB-HigA_neg	rutC//nrfG//
HipAB_neg	ecpR//glgX//rhaT//rutD//cysE//
HipB_neg	norV//nrfD//gcvA//glpK//rseA//feoA//
HyfR_pos	hyi//tsr//yiaO//flgF//gutM//glcE//waaY//accB//kdpB//sufC//glcB//casB//
HypT_neg	nfsB//trpR//sufD//phoE//sbcD//
HypT_pos	paaF//dkgB//paaZ//idnO//galR//ymgA//gspC//cydB//
IclR_neg	paaK//ynbC//rprA//paaX//
IdnR_neg	ykiA//dcuD//
IdnR_pos	ydcV//inaA//lrhA//nrdE//paaE//
IlvY_neg	purC//
IlvY_pos	phoE//
IscR_neg	sfsB//motB//cas1//ydeP//mhpD//dcuB//ssb//ubiC//hypA//nrdI//argH//astA//marB//agaS//cydA//entB//bglG//ecpR//znuC//fbaA//mdtD//
IscR_pos	gatA//umuC//pheS//rseA//tdcC//fecI//nuoA//treC//moaB//yegH//yhiD//
KdgR_neg	decR//hycB//
KdpE_pos	ompT//pitB//gdhA//yhdX//
LacI_neg	rclC//malI//mntS//
LeuO_neg	hybA//prpC//cusR//
LeuO_pos	ftsK//mgtL//dapB//trpL//dinJ//hyfJ//yoaG//ycgZ//ccmC//gutM//ybbW//ycgZ//pitB//nikD//glmU//hypD//atoA//hycB//
LexA_neg	phnI//exuR//btuB//hha//fpr//yjbF//cheA//atoB//xylA//gloA//ydbK//metA//glnB//iraM//fliZ//flhA//treB//betA//kbp//osmB//pnp//pgpC//fadL//rhaS//flgK//glnH//arsR//yjhB//evgS//dsbC//aceE//casD//cysK//htpG//phnP//mlc//sdhB//ydhX//malK//cynR//bdcA//mdtD//gspK//ugpC//caiF//melA//ygaC//ynfE//artQ//dgkA//caiC//galE//dpiA//citX//rhaD//cusS//rffH//sgbE//envC//
LldR_neg	speA//fbaA//torD//
LldR_pos	phnG//uxuR//tdcA//
LrhA_neg	cas1//glnQ//
LrhA_pos	nikD//aceB//
LsrR_neg	wzb//cadC//yhjA//atoA//pnuC//flhA//fliP//ydbK//hisQ//
LysR_neg	agaR//
LysR_pos	aceE//
MalI_neg	adiC//hyfC//carA//
MalT_pos	mlc//ybhF//slp//rtcA//mzrA//modA//iscR//yjbG//cbl//nuoA//
MarA_neg	soxR//rimK//cspD//lpxD//ygeH//truB//ydeI//
MarA_pos	hybC//zraS//sucC//fadA//yccJ//hybE//prpD//exbB//argO//ebgC//trxC//ecnB//aroF//nanM//sgrS//gspM//yibQ//paaF//cysJ//fdhF//ydfX//agaD//dcuR//gadY//pgaB//pspC//artP//aceA//nuoM//murP//rffT//
MarR_neg	puuC//fucI//caiT//
MatA_neg	dgcZ//dpiB//ldtC//gudD//hcaF//yegR//
MatA_pos	umuC//nuoM//
MazE-MazF_neg	xylF//rbsB//cdaR//
MazE_neg	mltF//yciX//phoH//
McbR_neg	ybhR//
McbR_pos	malG//mprA//metF//
MelR_neg	purN//ygiA//hycC//
MelR_pos	fliE//aroP//nikE//
MetJ_neg	rpiR//tehB//yciG//rseA//araD//aceK//glpF//ddpB//metY//ydjM//araJ//torD//fepB//btuB//uhpT//
MetR_neg	ccmB//hcaC//
MetR_pos	srlB//gapA//entA//lsrR//
MhpR_pos	hcaE//evgA//frdA//ulaB//hns//rbfA//
Mlc_neg	cspE//citX//baeS//ynjI//nrdI//ydfH//gntX//rbfA//sucD//iscA//
MlrA_pos	yjbE//nrfC//tcyJ//rnlB//cdaR//dpiB//metE//glnP//ccmE//glpK//
MngR_neg	oxyS//caiF//galR//
MntR_neg	yiaM//hypA//dgkA//gcvB//
MntR_pos	rbsR//
ModE_neg	nikR//nuoC//flhB//metF//ldtD//aroL//hycE//citX//mprA//glpQ//cheW//sdhD//lldD//evgS//nrfF//
ModE_pos	srlA//entS//flu//ybhR//yhbS//mipA//hcaD//ryhB//wrbA//yefM//malF//mglB//dinJ//nrdB//gapA//uspD//nhaR//znuB//phoR//glnP//wcaA//ydeI//cadC//pnp//slyB//uvrD//yidL//ubiC//hemL//umpH//asr//
MprA_neg	phnC//dpiB//purA//sucC//gspE//uxuR//
MqsA_neg	ugpC//thiQ//yiaN//ftnB//rpiB//dcuS//seqA//pnuC//
MraZ_neg	emrY//frdA//sufA//norW//poxB//norR//ppiD//dps//pstA//pheM//fes//fdhF//putA//gatD//purH//allE//sbmA//
MtlR_neg	glcA//manZ//hdeA//
MurR_neg	iscA//cysD//gloA//
MurR_pos	alsB//
Nac_neg	hemH//lpxA//trpL//ssuD//leuO//malY//caiE//ccmD//dcuB//
Nac_pos	sutR//fliF//wcaA//allC//ulaA//yaiW//bioD//malF//yebE//cysE//nrfE//thiP//
NadR_neg	hokD//agaA//garP//gadB//
NagC_neg	rbsD//oppC//ebgA//gspO//kdpF//alkA//gatY//metA//hipA//narH//cra//fliT//yidL//ldtB//garL//cusA//hokE//hypF//uidR//allC//csgF//metN//cpxP//aroH//wecE//gntT//ygeA//xylH//bacA//lsrC//nuoB//appX//malQ//
NagC_pos	gcvT//ldtB//nagA//
NanR_neg	mhpF//hha//phnI//appA//cbl//codA//xylR//ubiA//ygiC//ybhR//
NanR_pos	tbpA//
NarL_neg	emrK//ogt//agaA//hycB//yeaR//ccmD//glcC//srlE//pnp//fecA//mprA//pgaB//metA//yoeB//yfiR//alaS//sroD//luxS//pitB//glcE//hcr//mdtC//pgaA//mngB//rbsK//rutC//add//sufS//nikD//yidL//pepD//tehA//murC//gabT//psiE//icd//tdcE//dgcZ//dpiB//kdpC//grxA//garP//pitB//evgS//yccA//tauB//ulaD//hyaF//prpR//lysA//dpiB//hns//alaS//nrfG//intQ//alsA//fliI//exuR//ydhY//ccmA//hypF//intQ//evgA//ccmH//casC//entA//astC//cydC//tbpA//tdcB//hybF//aroP//exuT//wrbA//ppdC//dicC//rnlB//deoC//yiaJ//gntK//glpK//fadR//moaE//oppD//phnK//pnp//ppsA//
NarL_pos	lacZ//ompW//aceF//add//mgrB//aceA//paaY//purK//nrdI//ycgR//hcaC//moaA//ccmH//ftsW//tdcA//nagA//ynbD//dhaM//melR//cysE//tam//modA//deoA//tauC//polB//nuoN//dcuB//dapB//argO//sgbE//fixC//lldR//zraP//nfsA//infB//putP//mdtE//rplT//caiC//gadE//rob//ompN//fabA//
NarP_neg	cysC//ompW//exuT//pncB//iscU//xylA//gpmM//fixC//metF//katG//crl//cpxP//nemA//ynfE//osmB//gudP//hybF//acrR//recA//hybO//hcaC//uspA//ynfG//tsgA//rseC//rffC//ynbB//ybfN//mqsR//rprA//sucD//ccmG//paaA//
NarP_pos	htpG//dsrA//arsC//nuoJ//amtB//treB//ariR//cysH//ydiU//nuoB//ydbD//chbB//ftnA//cysE//malY//hyaF//molR_1//araJ//sgbH//entH//ydiV//frc//lpxA//yqjI//csiD//yhcH//ydcU//yedX//ccmG//ybdZ//csgD//zraS//
NemR_neg	ubiA//dpiB//nadA//
NhaR_pos	agaC//pqiB//araE//gcvH//bdm//yhiD//alsC//
NikR_neg	gabT//frdC//wecC//dsrA//oxyR//tnaC//
NimR_neg	rplT//nikD//
NorR_neg	ttdA//
NorR_pos	yiaJ//ugpA//
NrdR_neg	flgA//gabD//ydhV//ppsA//fimB//fixC//hybA//gltF//ariR//
NsrR_neg	narK//ykiA//fepA//fliT//pheM//marA//yoeB//treC//tam//flgA//pykF//hydN//ptsH//exbD//hyfE//lacZ//ybhF//napF//trpA//idnD//ynfF//ttdB//ybhG//nlpA//kdpF//gudD//glcE//accC//oppB//efeU_1//dsbC//alsA//acrD//malM//araB//idnD//gntT//citC//purM//sucC//rffC//prpB//ppc//pgaA//creA//phoQ//galT//flgN//adhE//acrD//flhC//katG//iscR//argP//emrB//yjbH//tehA//oxc//yrbL//xylH//fabB//lsrB//fiu//fhuD//ydcS//nanC//ulaB//cysH//nrfA//casB//bglF//cyoA//yciW//gspL//dsbC//sroD//sulA//hycD//cysP//gadY//fruA//fadI//accC//
NtrC_neg	chbG//speB//sodA//ompW//moeB//yqjA//
NtrC_pos	trxC//yhhY//rpoD//phnP//metJ//pstC//glpB//amtB//ddpA//glcF//paaC//ydcU//hcaB//ttdT//hyaF//hyfJ//wzxE//gspL//yqaE//nanT//dinJ//fiu//hycB//dmsA//chbC//purA//cyoC//rhaB//bglJ//gltB//iraP//nac//phnF//uxuB//evgS//hybB//idnD//yccJ//phoP//recD//aroF//appX//argB//sodA//mtlA//dapB//fliJ//dsdA//ahpC//
OmpR_neg	mglC//malP//acnA//metN//phnE_1//tonB//sulA//iscS//ssuE//mngA//nrfG//leuB//
OmpR_pos	dhaK//fadI//tdcD//garP//galS//rffC//alkA//ttdT//glcA//ldtD//
OxyR_neg	norV//ecpR//cyoC//ssuA//ynbC//tsx//puuD//ynbA//gabD//ugpA//malS//ppc//
OxyR_pos	ddpD//rutA//patA//deoB//gspF//hyfD//uidA//fruA//aceE//phnO//entS//nirD//yebG//ybaS//hycB//yeiB//flgJ//dapB//arsC//fucR//entH//polB//
PaaX_neg	ssuA//crp//allE//flgL//aroL//oppA//dmsB//rcnA//fabI//prpD//yciW//aroP//yeaG//hcp//
PdeL_pos	dkgB//
PdhR_neg	amn//gadX//casE//argF//ugpB//dapB//dgcC//rutE//thiQ//sufE//hyfG//recX//recB//csgE//feoC//fbaB//ssb//hdeA//glpF//fruK//hycH//lysO//mhpC//ugpE//intQ//bluF//fruB//metB//mpl//torC//lysO//sucD//cysI//hcaE//phnJ//hyfR//
PdhR_pos	entS//yccT//ydfN//sufB//leuB//
PepA_neg	fruK//paaB//paaJ//
PgrR_neg	yhhY//ascB//hyfJ//ttdR//gor//ybbW//rstA//pdeL//
PhoB_neg	argC//rcnA//ebgA//mgrB//cusF//dsdC//ftnB//ompC//ebgA//ssuE//gltD//murF//
PhoB_pos	cpxR//alsB//uvrB//yccT//fldB//dapD//ybfN//phnD//paaK//dsdX//norV//ulaE//entC//tadA//yjhC//ycgZ//nuoK//paaZ//sufC//yiaJ//sbmC//yiaL//rffH//phr//waaY//fucA//ssuD//fadE//pstS//feoC//wecB//ycdZ//insK//purB//gspM//slt//araJ//sulA//ykiA//cpxR//pncB//mazF//guaB//puuB//sucD//fumC//ascB//mdtA//entS//eda//yafQ//gfcA//ftnB//
PhoP_neg	narL//ssuE//wecE//ssrS//oppA//dgcC//fruB//nfsA//gltD//paaK//malI//
PhoP_pos	agaD//pspA//cyoE//ldtB//leuA//cysU//folA//ybiT//metY//manX//ruvB//decR//rseA//sroC//gspG//phnO//flu//torR//mscM//yfbR//leuD//cpxQ//nikD//rtcB//citX//iclR//trpR//narX//fixX//polA//hmp//rpiR//rpoD//hyfB//hyfA//creC//cyoA//dsdA//rbsB//soxS//aidB//bglJ//nanA//nrdI//phoH//ynfH//tolC//sufA//
PrpR_neg	gcvP//
PrpR_pos	fliI//rutR//yfbR//pyrC//
PspF_neg	gcvA//
PspF_pos	ssuE//mdtA//yjbF//fhuF//sdhB//cysW//
PurR_neg	mngR//malS//fhuC//yeiL//aroG//nrfG//hyfE//chbG//paaE//ydeN//crr//phoE//ykiA//murP//arsC//malM//gabP//yecT//aceE//metR//rdoA//decR//rpoE//flgH//adiC//nuoM//ykgM//grxA//yagK//ynfH//rtcA//
PutA_neg	flgK//rpoH//
PuuR_neg	bluF//ynbA//ung//dsdX//oxc//entS//ppiD//
QseB_pos	focB//nuoK//hdeB//ycjF//
RbsR_neg	hypB//ptsG//mngB//entS//deoD//gntT//dgkA//uxuB//
RbsR_pos	araC//
RcdA_neg	rseC//pgaC//
RcdA_pos	pyrD//nagC//ydhT//norV//hybE//araB//nfuA//
RclR_pos	glcC//norW//cusS//
RcnR_neg	yibQ//narI//hybO//
RcsAB_neg	lsrA//ydhV//katG//hyaB//trpL//ppdB//
RcsAB_pos	glcC//gpmM//ddpB//nrdG//flgA//cspI//glgX//hipA//hisQ//higB//
RcsB-BglJ_pos	treB//yibQ//yiiS//ybjG//gcvA//hybF//napH//tbpA//pgaB//rarA//phnI//paaC//narL//allC//oppF//paaX//
RcsB_neg	potG//malT//
RcsB_pos	cadB//gspD//aceF//pgk//grcA//bacA//mtlR//uxuR//hyaD//nanC//argG//lsrG//gcvB//wcaA//fhuF//gapA//frdA//fadB//fruA//ulaA//appY//gyrA//pdeR//
RelB-RelE_neg	feoC//fumC//idnD//
RelB_neg	recN//ygaC//gspK//
RhaR_pos	agaR//dnaN//
RhaS_pos	cyaR//csgG//ttdR//gltD//malK//nrdB//
Rob_neg	idnR//
Rob_pos	edd//ccmA//dsdA//cysM//ruvA//yoaC//tdcF//hyfB//srlD//oxyS//paaX//nuoJ//gspO//gfcA//ptrA//gudP//purK//ykgO//pspD//aidB//lexA//gfcA//rutE//frdD//yecR//
RstA_neg	bacA//insK//nikE//feoA//gcl//
RstA_pos	nuoF//lsrA//ompN//hyfH//caiE//
RtcR_pos	glcB//agaV//
RutR_neg	flgD//mpaA//deoA//baeS//ycjF//hypF//ybiT//citD//nrdB//leuA//gatD//dinJ//zinT//psd//dcuD//
RutR_pos	metB//hdeB//
SdiA_neg	dcuD//accD//moaE//
SdiA_pos	flgJ//cyoD//ilvC//
SgrR_neg	fliA//thiQ//leuD//emrY//iclR//
SgrR_pos	rarA//argD//ynbB//ygiZ//
SlyA_pos	thrS//
SoxR_neg	citG//
SoxR_pos	rutE//rffT//
SoxS_neg	deoD//idnO//
SoxS_pos	dtpA//bioD//tadA//yjjQ//glpC//csiD//manY//citC//nupC//aroL//ygbA//ihfA//glpA//tsr//phoH//idnO//malZ//rutB//gatB//agaD//mcbA//rbsR//fecE//hyfG//znuB//hisQ//glpD//rhaR//argR//rclB//acrB//gspE//gntU//pflB//glpT//fimB//fecR//uvrA//
StpA_neg	sgrT//csgE//crl//rpoH//trpR//yhbE//tnaB//
SutR_neg	paaH//fur//insD//ddpF//argD//
SutR_pos	ygiA//
TdcA_pos	ariR//rclB//yfdX//dctA//lsrC//malZ//manZ//
TdcR_pos	pgaA//pdhR//yeaR//ccmG//agaR//fliQ//csrC//
TorR_neg	phnJ//csgE//fepD//
TorR_pos	yfaE//recX//rpmA//agaV//ugpC//evgA//csgE//glgB//trpL//
TreR_neg	glpC//dacC//
TrpR_neg	sucD//waaY//fucU//nrdH//hdeA//csgF//yecR//wcaA//gatZ//cpxQ//srlR//marB//
TyrR_neg	ybhG//galM//murF//lacY//fhuC//yfdV//hyfA//lsrF//cyoD//pqiB//
TyrR_pos	fabB//uidB//gltD//
UhpA_pos	ynbB//
UidR_neg	purM//nirC//nfuA//pagP//
UlaR_neg	gadB//purA//glnH//acnA//evgS//acrZ//tehA//
UvrY_pos	gnd//ubiC//lysC//hflD//bacA//
UxuR_neg	cusS//degP//araC//trpB//leuD//cusS//gspO//kbp//glpD//
XapR_pos	glpA//phoB//
XylR_neg	atoD//
XylR_pos	glpA//phnC//dacC//ybhL//dkgA//glnD//
YdeO_neg	waaY//entH//
YdeO_pos	hycB//galP//znuB//crr//fucI//hybD//infB//melR//prpR//agaV//recX//yjhC//cusB//rybA//gntT//iraM//rybB//cysE//aldA//
YedW_neg	recF//glgX//crp//dtpA//dgcZ//
YedW_pos	ebgC//fruA//tauA//argH//sufS//ulaB//nanC//
YefM-YoeB_neg	dpiA//paaJ//
YefM_neg	nagC//ssuA//
YehT_pos	cynR//
YeiL_pos	nuoG//
YiaJ_neg	wrbA//lsrD//tdcG//norW//sroC//iscS//dinJ//mhpB//flhC//ygbA//
YjjQ_neg	bglF//dinI//garL//purF//glnQ//gspD//yfbR//yefM//ycjF//fliA//
YpdB_pos	ygaC//
YqhC_pos	nfuA//ascF//
YqjI_neg	leuO//yhdY//
ZntR_pos	kdpF//
ZraR_pos	lyxK//rhaA//yoaG//
Zur_neg	appX//ccmA//oppA//tdcB//metB//nikB//
