#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	phoB//ariR//
CreB_pos	ybaT//yiaJ//
CsgD_neg	recB//yoeB//ppdB//dsbC//glmS//bglB//galE//gadB//cysG//nemR//udp//purA//csrB//glk//gspK//
CsgD_pos	yjbH//dctA//ydhX//argC//fur//mglA//fecR//alaC//metR//flhE//agaC//katE//dctR//
CsiR_neg	gspE//mazE//gatB//fadD//mgrB//
CspA_pos	rpsU//phnE_2//
CueR_neg	cysI//yjeV//trpE//gnd//entF//
CueR_pos	dicC//gatZ//
CusR_pos	caiA//copA//paaH//ydcT//gadX//fecE//sdhA//ydbK//mngB//melR//sgbH//yhdY//
CynR_neg	gspC//
CynR_pos	yafO//amn//yeaH//
CysB_neg	gudP//nohA//ybhR//murD//gnd//gspE//idnD//
CysB_pos	cusS//gcvT//lpxD//tolC//phoH//accC//ssb//wrbA//sodA//cusR//rhaS//ymjC//pck//chiP//artM//ryhB//hyfI//dinQ//sroC//flgB//fur//uvrC//fbaA//pstC//lysA//
CytR_neg	uidR//nuoB//aroL//oxyR//trpD//fecD//dsdX//ftsK//ugpB//yhdX//nrdE//glgA//ybiT//
Dan_pos	glcB//feoB//allD//ompC//
DcuR_pos	gudX//chbA//malZ//pykF//glcB//hcp//yidQ//ccmA//moaB//
DeoR_neg	gltD//torC//ada//frdC//grxD//fepD//
DhaR_neg	paaZ//
DhaR_pos	ebgC//gcvH//fdnG//
DicA_neg	safA//rffT//iclR//ruvB//nuoA//tsgA//cysI//rffT//
DinJ-YafQ_neg	nrfC//ydfD//malM//
DnaA_neg	malE//hycD//yjbG//waaH//pspE//ygiA//sbcD//recX//rstA//hyfE//fdnI//
DnaA_pos	yqjH//rffT//aroH//ihfA//leuB//wzzE//ybaT//
DpiA_neg	lsrB//
DpiA_pos	kbp//gltL//ptsI//appB//ssuC//sroD//ddpD//garK//inaA//murP//
DsdC_neg	metY//
DsdC_pos	znuC//pstA//
EbgR_neg	fumC//sroD//
EnvR_neg	nrfD//lpxC//
EnvY_pos	lsrK//rpsU//
EvgA_pos	dtpA//hyfR//cheW//murG//recC//ycjG//cusB//lsrC//malT//prpR//metC//moaE//lsrR//rseB//hcp//glgA//ilvY//moeB//nrdG//
ExuR_neg	hcr//phnJ//relE//cyoE//sufD//codA//idnK//fliQ//fepG//
FabR_neg	cyoB//fecB//
FadR_neg	yciG//pspB//mhpA//patA//nrfF//hybC//tbpA//rffH//yccJ//uxuR//hisQ//
FadR_pos	tdcA//fepD//malK//nagA//ygeH//iscR//emrY//emrA//mhpB//wecB//mioC//bglG//
FeaR_pos	glk//dgcC//
FhlA_pos	ynbB//cho//gcvB//hycI//gspM//qseB//gdhA//qseC//yibQ//rutD//nrfG//lacY//rbfA//bioD//citF//phoP//araE//torA//nrdE//codB//tam//cysB//sbcC//lldR//oxc//ygbA//fixC//cyoD//accB//gfcA//
FlhDC_neg	ynbB//ddpD//bioD//dhaL//
FlhDC_pos	emrA//pepA//prpR//sdhA//mipA//trpL//relA//agaA//rclA//fliH//fruK//bolA//tdcA//caiB//fdhF//rbsK//fliI//hemL//uxuA//ftsA//yidQ//ulaG//rseC//ttdR//pspA//ykgO//ldtB//gspL//phoU//mtlD//lon//glpF//trpC//metJ//metJ//mlc//dinG//dnaA//ybhG//tonB//ecnB//arsC//narG//bglF//fhuC//alkB//modB//bacA//ymiA//gadA//fhuB//ung//dcuA//hycE//ssuB//yfbR//fadJ//purN//fliN//entS//yafP//pgaB//ompN//purA//trpR//sodA//pagP//tonB//glcC//mglC//yiaJ//tyrR//fadI//nagC//ydeI//frdA//fadI//lhgO//
FliZ_neg	ynbA//artM//rseC//psiF//dapB//tnaC//patA//feoA//ybdZ//waaZ//yhdY//allD//fucP//betA//hcaD//tdcE//fixA//ugpC//rimK//pspB//sulA//
FucR_pos	dsbC//modA//rseA//ccmD//rybB//umuD//rclA//
Fur_neg	glgB//ydcT//chbA//phoU//cysK//hlyE//uxuR//trpB//bolA//alsB//galK//casD//hyfB//yafQ//chbA//tnaA//garD//ytfE//hyaA//tynA//lsrD//icd//rbsK//rbsC//ymjD//pyrD//dcuD//ygiZ//ompW//allB//fucR//yecT//ecpR//treB//degP//lysR//ydcU//wza//ycdZ//ykgM//ulaE//leuC//pncB//nuoF//sroC//hypF//betB//putA//guaB//argI//tdcA//obgE//glnK//ydfE//puuD//flgE//fabA//gspL//dnaA//sucC//rffG//glcA//nagA//tisB//waaY//glgA//ssb//pncB//nikB//ccmB//cusF//rybB//yjhB//ubiA//allD//rarA//ydeP//purR//soxS//lsrB//yiiS//purN//pqiB//bhsA//sucA//paaZ//betA//iscS//glpC//aceA//dicB//acrA//fepC//trpR//fabA//leuC//fliS//pepA//rhaT//glcE//dnaN//atoE//hyfH//mntH//osmY//citX//cydB//rseC//ydjM//fiu//fliK//idnR//phnH//rtcA//dkgA//
Fur_pos	leuC//dhaM//csgB//bolA//nadB//nikC//yqhG//cynT//ccmC//ybhG//fumC//kbaY//prpE//gloA//cusA//aslB//aroF//accB//allB//napH//yegH//
GadE-RcsB_pos	oxc//ygiA//ecpR//nikA//focB//sutR//flu//cyoD//malQ//
GadE_pos	btuB//hyi//galS//ada//moaB//glgB//hycD//trxC//rhaD//ymgA//yqjI//ymiA//phoH//umuC//tsx//lpxA//paaG//cysG//betT//yagK//lpxA//dcuS//crl//malG//erpA//fecE//casD//fliI//cirA//
GadW_neg	gspI//yhiM//gntX//lon//nrdA//ydiV//phoU//ccmF//speB//tsx//cecR//
GadW_pos	purK//guaA//ulaB//garD//nikA//tpiA//ygiC//hyfD//ecpA//cydC//hypC//
GadX_neg	dmsA//nmpC//putP//gatD//sroA//phnH//
GadX_pos	ydfE//fucO//bacA//fliJ//fepD//folA//rbsB//narL//hycB//iscA//umpH//dgcC//cysP//glnH//cusF//purA//srlE//lsrD//mlc//borD//gspD//yedX//narL//tdcC//mioC//kdpB//hydN//
GalR_neg	creA//tnaC//paaJ//yegR//hyaC//mltF//prpB//iscA//gutQ//hdeA//
GalR_pos	ldtD//cydC//insD//ykgM//
GalS_neg	hycE//argE//yeaG//yhhY//srlR//gntT//agaI//fepE//aceB//argI//
GalS_pos	yafP//hyaD//rtcA//ogt//
GatR_neg	norW//mgtL//dmsB//fruB//glnG//hdeB//
GcvA_neg	allA//pflB//yjhC//fhuC//
GcvA_pos	ugpQ//rclC//ccmH//sroA//
GlcC_neg	tyrA//
GlcC_pos	trpC//cas2//kbp//metQ//yhjA//fhuD//
GlpR_neg	yfiR//marB//argH//rfe//srlB//mqsR//fucR//accD//hisJ//
GlrR_pos	flgG//sufD//cyoC//fliQ//mhpF//
GntR_neg	hyaE//edd//zwf//glyA//uvrD//yeaG//aspC//fruK//ynbD//glgP//fecD//gadX//
GutM_pos	tdcE//gcl//alsA//dcuD//htpG//feoB//aroF//
GutR_neg	gspC//lacY//emrA//phoH//argT//ompN//mtlR//
HU_neg	glk//artM//degP//yhjX//yafO//puuR//gadX//ybjG//
HU_pos	lacY//
HcaR_neg	rffG//
HcaR_pos	metB//nuoN//csrC//sufC//pheS//
HdfR_neg	accC//bglF//
HdfR_pos	gspL//slt//glcC//
HigA_neg	pgpC//potF//
HigB-HigA_neg	mazF//pyrD//
HipAB_neg	nikA//rplU//yccA//tsgA//fliR//
HipB_neg	cysH//ldtC//yjbF//osmB//mgrB//putA//
HyfR_pos	tktB//treC//truB//nimR//phnG//gspL//sgbE//focB//glgX//hyfE//uxaC//glcC//
HypT_neg	ybhF//glcC//flhE//yciF//glyA//
HypT_pos	glnH//yjbG//mtlA//cspE//araA//ruvA//fdnH//accB//
IclR_neg	pdhR//wecC//nuoC//sgbU//
IdnR_neg	flgJ//appX//
IdnR_pos	manZ//ddlB//cysJ//uspA//dgcN//
IlvY_neg	casD//
IlvY_pos	narX//
IscR_neg	citG//yqjA//torA//phnE_2//ydcV//puuA//gpmM//flgD//fliL//uidB//psiE//pepD//ddpF//nrdH//higA//gspJ//tcyJ//araJ//sgbE//nuoE//rbfA//
IscR_pos	glcC//cdd//symE//astA//yegZ//atoA//cytR//yccT//argA//tynA//purK//
KdgR_neg	wzxE//fhlA//
KdpE_pos	ddpB//emrY//yhjA//melB//
LacI_neg	ydhV//dhaK//sodA//
LeuO_neg	dctA//baeR//hcaF//
LeuO_pos	fabB//gor//mtlD//betI//ynfE//hisP//hyfE//purN//relB//garP//moaD//yeaE//glcE//metK//fucK//glmS//tyrP//pdhR//
LexA_neg	ccmC//entF//gfcA//rstA//tdcD//purN//rseA//fpr//hycI//mnmG//uxaB//paaJ//pncB//moaC//moeA//yhcH//argT//xylA//glyA//ynfE//uspD//wecC//hdeB//nohA//ycgR//trpA//fnr//cas1//narJ//cysA//fepD//acnA//intQ//gadC//fumC//mdtC//tauB//rcnB//mlrA//uspA//csgG//rybA//csrC//kbaZ//ulaA//mhpA//uspA//nikB//skp//iscR//hyfG//nhaA//cysG//fadM//mcbA//leuO//flgH//potH//slp//
LldR_neg	fur//uxuA//grxD//
LldR_pos	recX//metQ//xylB//
LrhA_neg	agaI//gadB//
LrhA_pos	paaI//fepD//
LsrR_neg	fucU//pspD//aroH//gspE//nadA//skp//astB//flgF//ydiU//
LysR_neg	gatA//
LysR_pos	leuL//
MalI_neg	argC//pitB//gltI//
MalT_pos	hipA//molR_1//cadB//rbsD//tsr//acrR//yneM//slp//crp//fliQ//
MarA_neg	motB//fucI//trxC//araE//oppD//phnD//yegZ//
MarA_pos	lysO//putP//aceE//hcaE//ascB//tcyJ//csgB//pstB//cydA//rpmA//mhpC//argB//gatB//moaC//accC//xylH//paaZ//uvrY//modC//metK//dinF//fruK//mdtA//iscU//yiaO//cysI//sodB//fecE//nupC//tyrA//lysA//
MarR_neg	rffG//yedX//creA//
MatA_neg	nrfE//pepD//fepC//mtlD//ybaT//yfbR//
MatA_pos	ydfE//lsrK//
MazE-MazF_neg	tauC//bioF//frdC//
MazE_neg	fliO//nupG//melR//
McbR_neg	hflD//
McbR_pos	aroF//yfiR//zinT//
MelR_neg	caiA//fliJ//nrdE//
MelR_pos	nikC//fabH//folA//
MetJ_neg	polB//lpd//glgC//nuoE//chbB//fucO//icd//mraY//recD//gatZ//prpR//psd//fur//cysE//ygiA//
MetR_neg	ychF//ccmG//
MetR_pos	treC//sucD//fliG//cadB//
MhpR_pos	fucR//pqiB//amtB//nuoF//fadB//uvrB//
Mlc_neg	lexA//ydjM//creB//garL//ppdC//bioF//ttdR//phoQ//fepB//udp//
MlrA_pos	seqA//yqjA//rnlA//sufD//recN//appC//appY//glnG//nanE//caiB//
MngR_neg	gspC//aroP//ftsI//
MntR_neg	phoP//dctA//pflB//tomB//
MntR_pos	moaB//
ModE_neg	rtcA//mqsR//argD//cbl//fliF//fliE//yeiL//pspC//csrB//hycG//nemA//oppA//frc//nrdB//dinI//
ModE_pos	lsrB//acrD//ygiC//decR//ydiV//nrfB//dctA//ybhS//waaZ//ynbD//fdnI//fliH//napH//rseB//flgE//phnL//frc//puuB//alsB//argR//thrS//ycjY//skp//efeU_1//phnC//mgrB//araF//hyaD//insD//malK//cho//
MprA_neg	mtlR//fecA//ubiX//tyrP//yciX//entA//
MqsA_neg	yjhB//pheT//acrD//lpxD//cyoD//pqiA//narI//nagA//
MraZ_neg	ptsG//dsrA//gatC//recX//norV//yhjX//pheM//ulaA//ulaC//cysM//rybA//ddpC//hisQ//rcnR//patA//aceK//atoD//
MtlR_neg	rseC//purK//narI//
MurR_neg	ygeA//fucK//dsbC//
MurR_pos	mgrB//
Nac_neg	iscU//nikC//yqjA//dicB//phoB//cydC//cysP//yegH//glxR//
Nac_pos	uhpT//phnI//waaZ//ecpR//erpA//hns//nikB//glmS//chbF//rhaT//purC//ygeH//
NadR_neg	chiP//rpoE//moaC//bacA//
NagC_neg	edd//hyfA//rstA//argG//htpG//ynbB//rffG//ykgM//entA//purC//pfkA//uxaB//hcaD//yibQ//yecT//rutD//sbmA//sfsB//lexA//entH//sucD//allS//galR//srlD//phoB//yefM//purH//sbmA//galS//phnN//ptrA//kdpB//efeU_1//
NagC_pos	yccA//modA//narK//
NanR_neg	hdeD//agaW//mpaA//narK//asr//hcaD//tdcF//glnL//ilvC//sucD//
NanR_pos	lysR//
NarL_neg	exbB//yqjH//emrY//ykgO//paaX//rimP//gltB//glpC//glnQ//fadJ//uhpT//xapA//melA//dnaG//norR//hcp//ldtB//tauA//rpoH//ymjD//entE//ygeH//yjhC//paaC//entH//pdhR//guaB//alsE//garD//sucD//sodB//asnB//fliF//malS//nanM//ptrA//malE//atoD//purF//sdhD//nrfA//idnT//dcuD//yidL//narK//gcvT//hdeA//dsbC//nrfD//asnB//fadB//allA//fixB//hcp//ydfX//yaiA//ariR//purB//umpH//rbsR//borD//chiP//ihfA//ybaS//iraM//fadE//ynfG//mhpB//prs//tyrP//fliR//rhaT//fecR//nohA//ftsI//feoA//waaY//cpxP//pepD//rbfA//focB//glmY//fliN//gadB//uxaB//cysJ//nemA//
NarL_pos	sdhD//putP//rcnA//hlyE//ccmC//tnaA//tdcA//ydfD//thrS//phnJ//hslJ//cspI//srlB//moaD//ydeM//ydhY//sdhB//yafP//lsrK//phoP//hemL//micF//dsdX//ahpF//pnp//metE//relE//guaA//araG//uvrA//tisB//purA//ynbA//fepG//rcnR//murQ//yfdE//cysK//luxS//paaE//nirD//dnaN//appX//
NarP_neg	yhiD//mipA//tdcG//yeaD//citF//ybdZ//csgF//carA//argA//flgL//ymgC//pstC//araH//gspC//glpX//yjbG//efeU_2//sucD//fadE//pstB//flu//leuB//araF//dsbG//galE//nirB//putP//pspA//xylG//metA//sroD//ychF//hcaF//
NarP_pos	ybaT//waaZ//metY//glgA//pqiA//cusR//rsmH//ybbW//yafN//hokE//metB//murC//exbB//ftsI//cysN//hisP//rutG//rseB//putA//fliH//alkA//recD//rbfA//crp//yqhG//artI//bglF//cysA//accD//aroH//xylA//ccmE//
NemR_neg	cynS//ruvA//lysP//
NhaR_pos	uxaC//fur//aroP//soxS//udp//gntX//bioB//
NikR_neg	hycF//efeU_1//cspD//paaE//betB//kbp//
NimR_neg	sufC//ppc//
NorR_neg	ddlB//
NorR_pos	dinJ//ybhF//
NrdR_neg	yaiA//ftnA//phnE_1//thrS//ugpA//dmsB//fdnG//ytfE//frc//
NsrR_neg	pflB//galS//ssuE//allD//lpxA//rybA//rtcA//nanA//nrdH//mdtE//paaY//ariR//ptsI//zraP//ugpA//malK//rbsA//mqsA//add//zraS//nrfD//gspO//rclB//exbB//luxS//tonB//carA//araH//bglF//mazE//fadM//glcC//ruvB//acnA//mdtE//nrdA//ebgC//napH//yfdV//fecA//dgkA//fdhF//ssrS//pnuC//phr//hypE//nohA//caiB//hyaD//tnaB//flgG//ryhB//garK//fadB//dpiB//dmsB//phoH//trpD//yjjQ//csrC//entF//gspJ//cyoB//pspG//sra//malK//aspC//oxc//uvrD//gntX//fliT//yiaM//gltL//rbsC//appC//nemA//rclC//fliK//cynS//agaI//ydhT//mdtC//yhdY//
NtrC_neg	pstC//artJ//araB//idnR//znuA//modA//
NtrC_pos	truB//hns//cytR//fliL//nirC//gntT//yeaE//qseC//treB//nirC//mazG//rbsB//ptsH//poxB//flgI//yidQ//ssrS//yegR//crr//ccmG//lpxA//yhiD//metJ//lysA//ydbD//dtpA//gltL//yebE//fecD//feoC//deoB//rdoA//dhaL//glyA//galR//cecR//marR//iscR//glnK//gabP//nuoA//pheS//tauB//pykF//glpT//phnF//ruvB//uvrY//yjbH//
OmpR_neg	fliC//malY//borD//phnK//nagC//polA//infC//aroG//uspD//gapA//nanT//citD//
OmpR_pos	phnE_2//glxR//fepA//sgrS//mlc//hyfD//leuC//oppA//fepD//yfaE//
OxyR_neg	ydfH//phnO//fliR//rtcA//ygiC//purF//omrA//mntH//hdeD//metN//yiaM//rimP//
OxyR_pos	napA//cas1//rclA//phnG//gor//nrdB//yecR//mntS//atoD//ccmH//astC//htpG//fliA//sdhD//glmU//nfuA//ilvC//leuO//paaK//yjbH//appA//ddpX//
PaaX_neg	ydfN//yhhY//fbaB//melA//caiA//ftsI//ccmB//atoD//yciG//ycgR//bamE//tdcA//glyA//chbC//
PdeL_pos	betI//
PdhR_neg	malY//nagE//dapD//flgE//hypF//pstB//glmY//rprA//cysD//nirB//aidB//aroP//garD//znuC//carA//waaY//gyrA//chbR//nhaA//yeaE//tbpA//fhuB//yeaR//sulA//metJ//moaA//rutG//dcuB//ddlB//psd//artQ//pncB//ycjG//ompT//glpK//lacZ//
PdhR_pos	yjjZ//manZ//ribA//rbfA//dsdA//
PepA_neg	emrY//metN//agaA//
PgrR_neg	csrB//hyfA//gabT//caiF//ydfE//wecE//bhsA//pflB//
PhoB_neg	tonB//narJ//gadY//glnA//srlD//dps//rutG//accC//purA//glpQ//glcC//csgB//
PhoB_pos	rpiR//dacC//cysA//thiQ//yeaE//ymgA//narX//galP//cysI//ccmD//gloA//entE//nrfG//rpoH//murD//napA//lamB//cpxQ//fbaA//cas1//tktB//gspJ//rcnA//murI//infC//sodA//nikC//pdeL//bglG//ssuB//purE//rcnB//sufB//yncE//phoE//yegH//znuB//nikE//gspH//acrR//srlA//yidQ//zinT//moaD//tdcA//ebgC//amn//flgC//metR//xylA//rhaD//paaI//ynbB//
PhoP_neg	mzrA//paaZ//accB//yciE//tdcB//hyfC//glxR//ptrA//qseB//nimR//ssuA//
PhoP_pos	uidC//rybA//ydcU//acrD//potG//norW//cusC//araJ//kdpF//hyaD//asnA//sufS//mgtL//yfdE//lpxC//allB//melB//lsrB//ytfE//tadA//ryhB//glnA//asr//ugpB//ssrS//yiiS//ttdA//grxD//umuC//iraM//ybjN//sufC//nuoB//frdA//phnO//gfcA//cpxA//paaG//citG//narG//ybaT//pgm//creB//fhlA//rpoH//putA//ssuC//yegR//
PrpR_neg	cysP//
PrpR_pos	hns//gadE//cspI//nemR//
PspF_neg	marB//
PspF_pos	tynA//mngB//rarA//rpiR//puuE//ulaF//
PurR_neg	fadL//zraS//flhD//flgL//hybO//yoeB//recA//murI//asnA//melB//dpiB//ybhR//pgi//araJ//nlpA//uxaA//htpG//flhC//ycdZ//pspG//alsE//ybfE//cpxR//metC//dsbG//dinG//fabD//agaV//nirD//hycG//leuB//
PutA_neg	fliD//phoE//
PuuR_neg	ygbA//deoD//rffC//yibQ//uvrC//agaS//argA//
QseB_pos	tyrB//dcuA//yneM//hemL//
RbsR_neg	hyfF//nagB//cysD//potI//glcE//hlyE//fruA//ycdZ//
RbsR_pos	agaR//
RcdA_neg	tdcD//ompC//
RcdA_pos	paaI//oxyS//yrbL//araG//dkgB//idnT//sufS//
RclR_pos	glcC//safA//hybO//
RcnR_neg	cra//codA//yiaN//
RcsAB_neg	cysC//gudX//speB//yqhD//tolC//exbB//
RcsAB_pos	fecB//hdeA//ccmE//rimP//atoA//hybA//yoaG//leuL//deoA//cysH//
RcsB-BglJ_pos	hypF//yhbS//fucI//hyfB//mipA//fdhF//fau//galT//ybhG//gyrA//ssuB//ccmB//phnG//bioD//fadI//ompC//
RcsB_neg	cueO//hisQ//
RcsB_pos	ecpA//gutM//lysA//yhdY//ygaC//kdpB//yefM//galP//napA//spy//flgH//cusB//yqjI//fadI//gcl//nuoE//fldA//mhpE//lhgO//gatZ//ydcU//add//lysR//
RelB-RelE_neg	mtlD//tisB//hybB//
RelB_neg	tnaC//ftsI//pgk//
RhaR_pos	malK//cysE//
RhaS_pos	mdtD//malZ//wrbA//ydeP//appA//iscA//
Rob_neg	prpC//
Rob_pos	srlR//flgD//ddpC//rffT//ybaS//yfaE//dctA//glnD//sucD//nanK//cho//gutQ//gutQ//trpR//lsrF//wecB//lgoR//rpoE//tadA//gadY//yaiA//chbR//fliE//xylA//yjbH//
RstA_neg	emrY//xylB//fepE//hemL//ybjC//
RstA_pos	glpD//gspI//malT//modC//lsrA//
RtcR_pos	btuB//nimR//
RutR_neg	paaE//garK//bolA//casD//insK//iraM//glnA//mpaA//yidL//ubiA//zinT//glpB//trpB//prpB//ygdB//
RutR_pos	fliE//casD//
SdiA_neg	yjhC//fes//slyB//
SdiA_pos	tauB//cynT//dsbG//
SgrR_neg	hycA//hipB//bhsA//tadA//nimT//
SgrR_pos	leuB//thrS//tcyP//purL//
SlyA_pos	dinQ//
SoxR_neg	kbp//
SoxR_pos	csgB//sodB//
SoxS_neg	cpxR//gnd//
SoxS_pos	metQ//araE//safA//nanK//hipB//fliC//yiaN//ada//nupC//nhaA//kbaY//acrA//paaJ//fldB//nrfC//puuR//gpmA//folA//paaG//feoA//mhpA//hlyE//isrC//grcA//atoE//xylB//leuB//gudD//yiaO//casD//torD//araJ//ybdZ//yjjZ//trpC//ygiA//pstS//paaK//
StpA_neg	idnD//uidC//dkgB//flgN//gutQ//fau//srlE//
SutR_neg	gatZ//pdeL//fliT//nuoN//fecR//
SutR_pos	nanK//
TdcA_pos	ymgA//flgE//ydhU//csiD//nusA//ygeH//gspH//
TdcR_pos	agaW//wrbA//ydcS//dsdX//citD//citC//poxB//
TorR_neg	uidA//aslB//caiD//
TorR_pos	rcsA//fhuA//glmU//xapA//ccmA//yeiL//gspM//rpoE//caiD//
TreR_neg	fepE//fabB//
TrpR_neg	hybB//cadB//gadA//ecpR//yhbT//fixX//ccmH//malY//metY//yhbE//alsA//melB//
TyrR_neg	phnK//aroG//ygbK//gatA//sbmA//araB//cspD//hns//hha//mhpE//
TyrR_pos	galE//ddlB//yhbT//
UhpA_pos	mtr//
UidR_neg	gpmA//prs//argI//cyoE//
UlaR_neg	ompF//argE//lysA//pstC//murD//nuoM//idnD//
UvrY_pos	phoQ//xylR//cysC//sroD//tsx//
UxuR_neg	dicB//phnE_2//carB//nrdD//fadE//pspE//aceF//recB//phoR//
XapR_pos	ydeP//fecC//
XylR_neg	yfaE//
XylR_pos	mlrA//atoB//yeiB//lsrA//garP//nuoF//
YdeO_neg	ddpX//gspC//
YdeO_pos	yhdX//stpA//ydcT//entS//cadA//yaiA//artJ//fucR//csgG//narX//cysM//bdm//hyfB//ydcT//pspE//gloA//ybhR//iscA//kdpC//
YedW_neg	rtcB//prpC//yhdZ//speB//nagA//
YedW_pos	araJ//frdC//gcvP//rnlB//citX//treB//fur//
YefM-YoeB_neg	hemH//fepB//
YefM_neg	flgB//phnG//
YehT_pos	hyfE//
YeiL_pos	yfaE//
YiaJ_neg	lldR//nrdB//zraS//phnO//melR//gltJ//murQ//ycjY//tpiA//cyaR//
YjjQ_neg	sufC//recA//dgcZ//moaB//nrdH//pdeR//cheA//artI//nagE//ykiA//
YpdB_pos	lysP//
YqhC_pos	epd//entD//
YqjI_neg	nuoH//sdhD//
ZntR_pos	bdcA//
ZraR_pos	tsgA//tam//ompN//
Zur_neg	rhaD//dpiB//chbB//alaS//rcnB//sufE//
