#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	narX//cusB//
DnaA_pos	gatY//bacA//asnC//araB//tdcC//dhaL//moeB//
DpiA_neg	leuO//
DpiA_pos	yoeB//napA//aroM//creB//fhuE//tpiA//qseC//cdd//glpK//emrY//
DsdC_neg	ada//
DsdC_pos	fliA//ydeM//
EbgR_neg	fucA//cysH//
EnvR_neg	gatB//dapD//
EnvY_pos	idnD//tauC//
EvgA_pos	agaS//hisQ//creC//nanA//rutA//yeaH//copA//ygiB//yhjX//fliP//allE//acrB//carB//acnB//ttdR//pstS//gltB//tauB//bolA//
ExuR_neg	rhaS//ubiX//evgA//folA//fliR//modC//yagK//nuoF//pncB//
FabR_neg	glpD//iscA//
FadR_neg	torD//galP//agaS//ynjI//ydfD//pyrC//ddpX//lon//recX//tomB//artI//
FadR_pos	hybF//ftsA//yaiA//yrbL//tpiA//sufS//lpxA//rseC//metH//sgbH//glgP//murE//
FeaR_pos	rpsO//rcnB//
FhlA_pos	citG//rcnR//hybO//slp//ygbA//tyrA//nagE//nanA//tcyJ//purN//omrB//aceB//fau//sucA//chbG//yeaG//tauB//nemA//murP//cysK//glgP//focA//galP//pepA//ccmA//dcuB//setA//mhpE//dpiA//nikD//
FlhDC_neg	xapA//ycdZ//accC//rseB//
FlhDC_pos	uspA//putP//gntU//crr//gatB//motB//ymjD//hemH//purH//sfsB//fucA//gatA//hybE//dinF//carA//wrbA//efeU_1//murP//ykgM//oppB//melA//hycI//bolA//ascF//murR//gnd//tadA//nhaR//inaA//phoH//cysD//argR//acrZ//hipA//fixC//rhaT//guaA//accA//entC//agaV//ftsW//malM//trpA//paaA//accA//iscR//mdtD//cynR//yhdW//osmB//uof//mngB//hflD//ynfF//tyrA//uxuR//bamE//htpG//gadX//argI//rpmI//ptsH//allC//flgM//cbl//fabB//agaW//alaS//isrC//hybC//yeiB//fliR//ydfH//rnlA//deoB//gspE//flgE//cyaR//
FliZ_neg	araD//ycgZ//fucU//recD//ybfN//glcE//ydcS//feoA//paaI//pgk//aceF//ymgC//fnr//cyaR//mprA//pspG//gatY//paaJ//yeiB//aroM//bacA//
FucR_pos	evgS//oppC//fadJ//ddpA//asr//garK//nanT//
Fur_neg	gcl//pepA//fruK//lyxK//paaH//phnN//paaD//dsbC//oppB//cspD//fhuD//ynfF//hyfJ//flgE//pnuC//dapD//cpxP//purL//bglJ//napB//rhaT//gspK//yhjA//ppc//mglC//ynfH//ahpC//accA//ftsI//glpD//hycH//fhuA//yefM//yiaK//allB//citC//flgL//iscA//metL//fliR//feoA//lldP//fdnI//yeaD//flgE//aceF//hypF//ddpF//rpoD//argO//agaW//mdtB//emrB//fdnI//adhE//fadE//nfsA//nikD//pagP//ybhL//yaiW//yhiD//alkA//ynfH//ycjX//mhpC//ubiA//deoA//rcsA//gnd//artP//feaR//ada//rplU//amtB//leuL//yfbR//lysO//caiD//sra//argR//torR//glpT//chiP//sgrR//yccA//purK//fhuA//hypC//cadB//nanM//accB//araH//dacC//cpxA//ariR//bglF//pgm//mcbA//cydB//tauC//nuoL//hycF//gltK//zwf//dtpA//symE//patA//gntU//hybC//ynbC//trpB//fhuB//yjbG//allA//
Fur_pos	grxD//phoU//creC//hypA//tehB//asnC//gltI//ccmG//cysG//exuR//mhpC//yafQ//ydbD//torC//agaI//thiP//pgaA//acrB//gspL//fliC//metK//
GadE-RcsB_pos	nrfG//fecI//dgkA//rseA//fepG//galT//mdtE//dinJ//wecB//
GadE_pos	metK//lsrA//creB//yeaE//dapD//yeaR//prpR//narI//mgrR//sufD//casD//gspM//rbsK//yiaK//rutD//hisJ//tam//dhaR//crr//rutC//trpE//dgcN//lsrR//ptrA//ddpC//gatD//casB//rstB//tcyJ//
GadW_neg	marR//iscU//ymjD//alkB//ulaD//hyaB//narH//treB//uxaB//nirB//mngR//
GadW_pos	nadA//rsmH//cysB//putP//acrZ//aldA//tisB//allS//sgrS//glcD//ascB//
GadX_neg	glmS//glnB//hyfG//mtlD//safA//gspM//
GadX_pos	ymiA//ulaG//trpB//flhB//pstC//murC//gntP//ynfH//exuT//ebgA//recA//mdtB//umpH//argI//allS//glpQ//yqhD//ttdR//cyoC//ynfK//nagA//paaI//allS//lsrD//codB//gcvB//stpA//
GalR_neg	purN//stpA//murE//melB//lrp//narK//entC//kdpB//chiP//srlE//
GalR_pos	ddpB//idnO//purF//fecI//
GalS_neg	nikA//yagK//yqhG//gabT//ompF//ibaG//yhjA//accA//mhpD//hcaE//
GalS_pos	hycD//gudD//betI//yfdX//
GatR_neg	hypB//gdhA//sgrT//hycF//rpoD//fliZ//
GcvA_neg	agaD//trxC//gutQ//uidB//
GcvA_pos	treC//fbaB//cspD//fucK//
GlcC_neg	hybB//
GlcC_pos	nikR//sgbE//ybjC//mraY//cueO//araF//
GlpR_neg	murC//cspI//lpxA//fucI//ttdR//fimB//nohA//ymjC//nrfG//
GlrR_pos	argF//allS//lysR//srlD//hyfD//
GntR_neg	ymiA//artM//casC//sgbU//artP//ygdB//glmS//ygeA//sgrT//garR//ompN//purH//
GutM_pos	fepG//iscR//rbsA//fruK//pspG//fadA//ldtC//
GutR_neg	rnlB//napC//csgC//mtlR//glcG//rtcB//tolC//
HU_neg	malK//caiT//umpH//frdD//aroG//treC//tonB//rutC//
HU_pos	slp//
HcaR_neg	betB//
HcaR_pos	feaB//hlyE//glcC//mgrB//lolA//
HdfR_neg	ydeI//flhD//
HdfR_pos	folE//gudX//metE//
HigA_neg	cadB//fur//
HigB-HigA_neg	gapA//fliK//
HipAB_neg	paaG//fadJ//metJ//dsbC//sucB//
HipB_neg	sfsB//iscS//fucP//phnE_1//rbfA//flu//
HyfR_pos	gudP//nhaR//nuoJ//marA//rimP//aspA//mdtE//paaB//hycD//ydfW//cpxR//ydhW//
HypT_neg	galT//cspI//paaB//pheM//gntT//
HypT_pos	bolA//waaY//phoR//wzxE//amtB//yqhD//chbA//hyfF//
IclR_neg	allC//acrR//fadA//pflB//
IdnR_neg	galM//garL//
IdnR_pos	nrdF//iscU//ompF//ymgC//cusC//
IlvY_neg	nanT//
IlvY_pos	torR//
IscR_neg	purB//sufA//aceF//yaiA//bolA//crp//nikE//sgbH//pgk//napH//ddpD//alsA//ftsA//betA//artJ//malY//tehB//purH//oxyR//entH//ydhW//
IscR_pos	hycA//mgrR//mntP//purB//puuA//ydfH//dsdC//fimB//mntH//amn//bacA//
KdgR_neg	hycE//hipA//
KdpE_pos	infC//nuoA//moaD//glpB//
LacI_neg	lacZ//accD//aspC//
LeuO_neg	flhD//metR//glnB//
LeuO_pos	paaZ//puuP//fadH//puuE//fbaB//appY//yqhG//ygaC//gltJ//yebE//ubiX//modA//ugpA//dhaM//dmsC//uxuR//allA//lon//
LexA_neg	nadA//nirC//phnG//gadF//pdeL//ydcV//acnB//uvrY//csgC//fucK//evgS//araB//ymjD//tomB//sbcD//agaS//waaY//astB//hybD//allE//hmp//obgE//galP//nuoI//mdtC//ybiT//hycA//yafQ//nrdG//ymiA//rclC//hycF//omrB//nuoE//phoP//casC//uxaB//glnK//yjhC//uvrC//yjeV//dsbC//rhaA//citG//hyfF//prpC//potF//oppD//cydD//lsrB//cysP//fadR//phnP//nuoL//srlE//dinF//yhdY//ulaC//cusC//
LldR_neg	fabB//pspF//ahpC//
LldR_pos	setA//accC//psiE//
LrhA_neg	ppdC//flgC//
LrhA_pos	flhE//hcaD//
LsrR_neg	tyrR//uhpT//hyfC//yiaJ//glnP//cysW//gspE//puuC//rpoH//
LysR_neg	lacZ//
LysR_pos	ugpC//
MalI_neg	csrB//aceA//talA//
MalT_pos	cyoD//glpT//nfuA//malF//fecC//aroL//patA//slt//dmsA//uof//
MarA_neg	prpR//metJ//tdcF//fepD//ybhS//dsdA//gspH//
MarA_pos	yebG//paaY//inaA//rseA//accC//znuB//lolA//nrdI//ugpQ//agaS//napF//dhaK//nimT//araB//nagA//rutB//hycF//hyaB//flu//artM//tdcE//glcG//yjbH//htpG//malG//ydhV//fliD//uidA//ppsA//lrhA//zraS//
MarR_neg	dicB//zinT//ybiT//
MatA_neg	cadA//agaI//paaH//hyfJ//efeU_1//mlrA//
MatA_pos	fldB//tsx//
MazE-MazF_neg	metH//fhlA//nagB//
MazE_neg	fhuD//glcG//napF//
McbR_neg	yegH//
McbR_pos	dkgA//napG//gspF//
MelR_neg	flgI//sulA//cas1//
MelR_pos	fliC//nuoI//cynR//
MetJ_neg	aroG//ynfH//hns//sucA//ydhY//ugpC//ybdZ//dsbA//galK//yhbE//yncE//bdcA//puuE//pagP//csgF//
MetR_neg	argD//add//
MetR_pos	rffT//nirC//nadA//ybhF//
MhpR_pos	yegZ//mgrB//flgK//arsB//dapD//phnC//
Mlc_neg	mngB//ruvA//allA//sgrR//dhaM//bioF//katE//insK//fadI//feoB//
MlrA_pos	hyfA//ftsW//bglG//ydfX//umuD//ecpA//malP//puuD//uxuR//galM//
MngR_neg	fepB//uxaB//mprA//
MntR_neg	folA//rclB//aceA//motB//
MntR_pos	dtpA//
ModE_neg	yhdX//slp//aroF//appY//rhaB//tbpA//modB//pheT//cra//zraR//deoA//znuB//glpA//ykgO//ybjC//
ModE_pos	dpiB//nagC//yegZ//araG//feaR//nuoM//ahpF//ynbC//potI//mgtA//wrbA//glnQ//phoE//aceK//yqjH//nemA//ygiB//nfsA//ompC//ydbK//glpQ//prpE//ynfE//entF//rnlB//rpsO//gntP//leuO//codB//araG//safA//
MprA_neg	caiA//rclA//ydcT//sgbE//glnH//dnaA//
MqsA_neg	puuE//rhaT//pykF//dsrA//yjhC//astB//malY//ptrA//
MraZ_neg	citF//dmsB//psiE//codB//gnd//gatZ//ynbC//seqA//fliS//hybF//phnJ//galT//hyfA//hyfR//moaA//fecC//ydcS//
MtlR_neg	ddlB//nrdB//glyA//
MurR_neg	recD//tdcA//yjbF//
MurR_pos	hyfJ//
Nac_neg	yhjA//dicB//borD//gspO//dsbC//cysD//murC//oppB//gltD//
Nac_pos	folE//ftsW//yedX//iraP//flgI//rffG//glpT//codB//rcnA//yfdX//gudP//artJ//
NadR_neg	tnaB//yeiL//hybF//metE//
NagC_neg	chbF//nadB//arsC//hypE//alsE//ccmG//nagE//dcuR//glnB//tdcF//gadE//ilvY//ompT//lsrA//sbmC//ydiV//yoaC//yegZ//galK//pdhR//relE//fumB//gspL//flhB//purH//relA//idnO//tbpA//flhE//bglG//moaA//nagC//rbsB//
NagC_pos	rffH//gltJ//asnA//
NanR_neg	nrfE//nfsB//yfiR//dhaL//polB//gspD//puuC//ptsI//qseC//iraM//
NanR_pos	tdcA//
NarL_neg	cspE//araH//nhaA//glpC//gatC//aceK//flgL//leuO//ycdZ//ftnA//mgrB//iscU//nfuA//gcvA//hcaB//napC//relA//ydeM//efeU_2//rsmH//yfiB//ydbD//glmU//metQ//bdcA//acrB//ecpA//gcvH//fldB//fecC//flhB//fliJ//putA//erpA//nirB//mlrA//gapA//cysP//dmsD//paaD//murP//nac//recX//putA//dcuD//gadY//oxyS//hcaC//flgD//murG//entF//acrZ//citF//garD//fepE//xylA//hdeA//fdnG//glcF//mdtC//tauC//ulaC//mzrA//flgC//srlA//gutM//dcuS//agaC//artQ//bolA//dcuB//yeiB//cbl//cynS//rstB//ygeH//dhaK//emrA//flgJ//accD//leuO//pncB//pyrD//csgC//slp//nupG//aldA//
NarL_pos	chiP//ymjC//fixX//kdpF//ompT//lysC//araD//rob//dsbA//accB//fliF//ybaS//yjeV//ptsI//ssuE//recB//lyxK//frdA//ddpF//cyoD//yciE//treC//metC//ydfW//sdhB//ycjY//pheT//cvpA//ugpQ//mdtC//uvrB//gcvT//sroD//ydcV//rstB//borD//ptsH//glnB//bolA//oppA//psd//fabG//mtlD//
NarP_neg	borD//rbsD//hcaB//glk//fpr//metR//edd//flhD//argI//hcr//tauB//argI//cusF//ygiA//allE//wrbA//rbsB//umpH//yeaR//feaR//mngA//phoH//hslJ//pepA//ssuD//nrfA//ccmH//rhaS//yjeV//aspC//rbsK//gspD//nemA//
NarP_pos	puuB//fepC//ccmA//hcaR//argR//ugpQ//srlB//melA//phnK//hisM//leuB//arsR//murG//trpA//ahpF//mtlA//fabH//ytfE//dgcN//betB//yeaE//oppD//uvrB//kbp//dcuS//paaC//dsbC//galP//moaE//oxyR//qseC//amtB//
NemR_neg	hns//lpd//dmsD//
NhaR_pos	ytfE//mnmG//ppdA//hybO//melA//phnD//artJ//
NikR_neg	ecnB//acrZ//creA//ftnA//agaB//srlB//
NimR_neg	yiaK//eda//
NorR_neg	ydhV//
NorR_pos	wzxE//torC//
NrdR_neg	mscM//narH//appA//argI//garL//fruK//nusA//dsbA//gspD//
NsrR_neg	rutE//relE//phoP//phnE_2//glcG//pgaA//uidA//lsrG//yjhB//fucP//cytR//putA//fhuB//bluF//yhbE//lysO//phnO//flgI//ssb//trpR//feoA//caiC//tyrP//metE//nadB//cpxA//glcA//caiF//nrfG//hypF//baeS//qseC//gspD//xylF//symE//asnC//pspA//gpmM//nagC//ybhG//osmY//flgK//glnH//atoB//uxaC//zwf//mzrA//rclA//glpQ//fixB//rutF//gatD//yqhD//yjiY//hybF//cheA//spy//cynX//pepD//argR//ydfN//gltD//dinI//nuoC//recF//prpE//dpiA//baeS//ydeP//lsrF//tnaB//obgE//hycB//gudX//hydN//ugpQ//rhaD//manZ//hyfJ//ydeO//pck//fdnH//alaC//
NtrC_neg	cpxP//ybhL//cas1//hybD//ssuE//yhbT//
NtrC_pos	uvrY//adhE//rprA//recD//glgB//ddpX//fixC//phnP//flhB//glnP//garL//yqaE//glcG//dmsD//hydN//ybiT//ugpB//psd//cydD//rutB//grxA//flgM//ttdR//cysB//atoE//asnB//xylB//kbp//xylR//bamE//hcaB//rnlA//ykiA//frdA//ygeA//focB//mngR//fhuF//yjjZ//ddpB//nupG//hisQ//accA//ydhV//moaA//malG//aceB//casA//borD//
OmpR_neg	ymiA//ydbK//gpmM//torD//kbaZ//mzrA//hemL//ftsW//deoB//waaZ//deoC//ssrS//
OmpR_pos	dinD//gltK//malS//ascF//araD//yecR//cusF//hybC//casC//rybB//
OxyR_neg	rsmH//yibQ//caiT//mltF//yecT//fecC//ugpQ//lldD//purH//yhbT//focB//srlD//
OxyR_pos	glcC//cysN//ubiA//emrA//ydiU//lacY//fecI//dinD//yhbT//cydA//ybbY//gpmM//wrbA//malG//rplU//hmp//gspF//tyrA//fecD//caiB//glpC//fadR//
PaaX_neg	phnM//moaD//serA//ybhF//yeaR//dmsA//hyfA//artM//fabG//lpxD//rutE//nuoE//rutG//flu//
PdeL_pos	cusB//
PdhR_neg	fliI//murR//nrdD//gadA//fbaA//fiu//bglF//wecB//uxuR//ddpD//ftsI//dnaG//citC//ydiU//rtcB//mntS//yeaD//alsC//asnA//pnuC//ugpQ//ttdT//glgX//rimP//fepD//fecC//zwf//betT//fhuA//csgD//gspL//hyfD//hcaR//metF//acrD//leuA//
PdhR_pos	cyoD//rbsC//purB//srlB//casC//
PepA_neg	omrB//mhpF//grcA//
PgrR_neg	iscR//entB//relA//yedX//bdm//hcaR//hipB//ftsK//
PhoB_neg	wcaB//aceB//chbF//rcsA//nanK//yjeV//ryhB//rfe//yqhD//arsR//bhsA//lgoR//
PhoB_pos	bacA//fhuE//ssrS//allC//ybaS//hyfG//sucA//ygiB//gatB//csgC//evgA//nagA//pgm//hycF//yafO//mgtA//emrB//malE//yedX//fabH//yhiD//acrD//metI//nikC//yhjA//yebG//murP//ddpB//astC//metF//phnO//rbfA//mltF//ybfE//ddpF//rffC//ybbY//ccmC//metR//hemH//paaC//fliF//hycG//rybB//kbaY//fepE//ynfK//yidL//ynfK//fabH//bglF//fiu//nrdF//
PhoP_neg	fumB//torD//ygeA//tolC//nikB//hipB//cusF//ddpC//flgD//gspH//micF//
PhoP_pos	fliS//dmsC//entE//ampC//mdh//putA//glnG//melB//phnK//agaW//garP//hflD//aroG//ecpA//ymgC//exbD//prpD//molR_1//argO//ddlB//puuR//rhaT//gntU//gadA//emrB//cyoD//argA//lgoR//dgcZ//hybB//luxS//hyaF//hflD//rob//sodB//ydeP//fliD//flgA//dtpA//zntA//murQ//iclR//argT//mgrR//hycI//dnaA//dcuS//metC//
PrpR_neg	hycF//
PrpR_pos	galS//mazG//tktB//xylH//
PspF_neg	entD//
PspF_pos	caiC//mgrB//nusA//hydN//sra//purB//
PurR_neg	artJ//ubiC//kdpB//cusS//gspI//bacA//ttdB//nagB//glnB//grxA//tdcD//fimB//ynbD//malQ//appA//yfdX//bolA//sdhB//pepD//eno//hypE//flhA//eno//tonB//deoC//fepC//argH//sroA//malM//zinT//glpK//
PutA_neg	marA//nikB//
PuuR_neg	cueO//chbF//pspD//yafO//yafP//mscM//zraS//
QseB_pos	mngR//putA//uspD//ycgR//
RbsR_neg	nuoA//nrdF//fhuF//fabH//ybfE//deoA//efeU_2//ecpR//
RbsR_pos	hyaB//
RcdA_neg	yhjA//yjhC//
RcdA_pos	phnJ//ruvB//phnE_2//fruA//ulaE//araC//inaA//
RclR_pos	dpiB//rutA//yciE//
RcnR_neg	entD//metY//cpxP//
RcsAB_neg	rseC//fnr//ftsI//efeU_1//obgE//uidR//
RcsAB_pos	glk//pstB//pfkA//glpF//lsrB//trxC//slp//pheM//hybE//manY//
RcsB-BglJ_pos	ybfE//dcuA//melR//cspI//gadF//yhdW//glpK//feaR//metC//pck//fadA//sroA//glpC//micF//ybjC//fruK//
RcsB_neg	dmsC//argE//
RcsB_pos	phnN//trpR//melA//garD//wzxE//gudX//aroM//trpB//sgrS//dinJ//acrR//rpoD//gabD//ycjY//argI//rybB//sgrT//ydhU//ccmD//gabT//codB//cynR//codA//
RelB-RelE_neg	ttdB//flgI//dsbA//
RelB_neg	rcnR//yhjC//rplT//
RhaR_pos	sulA//ydhW//
RhaS_pos	cyoA//ftnA//csgD//malT//sbmA//acrA//
Rob_neg	purN//
Rob_pos	caiE//pgaD//oxyS//dcuA//fliR//glpT//aldA//cheA//tdcE//moaC//hyfG//ftsL//dhaL//yfdV//trpB//yhiM//gspD//dcuB//glyA//aroG//recB//paaK//fixX//yhdZ//grxD//
RstA_neg	fliR//ppdA//lamB//serA//fimB//
RstA_pos	hyaA//hcaD//ribA//modA//metB//
RtcR_pos	fliQ//uidC//
RutR_neg	dhaL//uspE//obgE//katE//lacA//mhpT//recX//fliR//ydfX//wcaB//decR//ynfE//cusS//appC//yoaC//
RutR_pos	flgH//hipB//
SdiA_neg	yjjQ//gadB//fhuD//
SdiA_pos	nikR//lsrF//hybG//
SgrR_neg	yeiB//glk//ulaD//phnL//soxS//
SgrR_pos	torC//murE//paaJ//mpl//
SlyA_pos	ssrS//
SoxR_neg	metN//
SoxR_pos	wzc//gadX//
SoxS_neg	uvrY//fepB//
SoxS_pos	aceA//alsB//aldA//ydfH//tauB//yhdX//paaJ//yrbL//fhuB//dcuB//sgrS//hdeB//argT//sroC//gltJ//phnF//srlR//hydN//yjjQ//insK//flhD//agaW//cheW//argI//hyaE//borD//gspJ//aroL//araC//tehA//flgA//gltL//tauB//ydfN//umuC//yqjA//iclR//hisQ//
StpA_neg	murE//fdnH//yefM//ydeI//ydcT//marR//rfe//
SutR_neg	hycF//hcr//fucI//rhaR//cusB//
SutR_pos	pstB//
TdcA_pos	bioB//gcvA//norW//mdtA//fliT//ybdN//argP//
TdcR_pos	gudP//ymgA//fdnI//osmB//nfsA//garD//hyfG//
TorR_neg	aslB//artJ//ftnB//
TorR_pos	evgA//mipA//fau//evgA//malK//dacC//gatZ//cyoE//mgrB//
TreR_neg	ydcV//yjbH//
TrpR_neg	efeU_2//fliQ//ttdR//trpC//modB//yafP//cytR//nuoC//rhaD//emrK//uidB//paaX//
TyrR_neg	insK//yidQ//nemR//rpiB//yiaN//araD//yefM//fecR//rutC//gadX//
TyrR_pos	dcuR//wzyE//aroG//
UhpA_pos	artM//
UidR_neg	ygaC//hyaC//betI//nuoH//
UlaR_neg	tolC//ygdB//yciE//nanM//sufE//dtpA//creD//
UvrY_pos	gspG//nikB//aslB//ugpB//caiB//
UxuR_neg	rbsB//oppC//fhuA//nikC//hcaB//codA//ytfE//oppB//leuL//
XapR_pos	ygaC//ykgM//
XylR_neg	yqjI//
XylR_pos	phr//metQ//add//gpmM//rutA//nagB//
YdeO_neg	aceA//agaI//
YdeO_pos	adiA//yfdE//asr//ychF//cusB//fliR//gatB//fldB//dhaL//yhdY//puuE//puuA//cas1//nrdE//efeU_1//allE//rpoH//trpD//evgA//
YedW_neg	trpD//cysD//infB//napA//gltL//
YedW_pos	baeR//aroH//uxuB//phnO//dnaN//modC//allE//
YefM-YoeB_neg	ydcV//gltJ//
YefM_neg	nanK//tam//
YehT_pos	allB//
YeiL_pos	trpC//
YiaJ_neg	ydfE//nuoN//uvrA//fadE//srlA//casE//yhdZ//arsR//phnP//mazF//
YjjQ_neg	aidB//murF//tauC//nanS//yjbG//mdtA//purB//ugpE//fliA//sgbE//
YpdB_pos	mcbA//
YqhC_pos	yqjA//grxD//
YqjI_neg	ydeN//qseB//
ZntR_pos	tomB//
ZraR_pos	dps//aceA//ompN//
Zur_neg	wecC//ygiC//ygiB//ynfH//hcaC//hycG//
