#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	caiA//rstB//
CsgD_pos	rtcB//hyfH//dnaN//phnO//csiD//garD//nrfA//dctA//ycjX//acrD//glcC//malS//tpiA//
CsiR_neg	frc//uidB//hypB//ada//icd//
CspA_pos	entF//dhaM//
CueR_neg	caiC//ynfF//aslB//appA//galK//
CueR_pos	ychF//yeaG//
CusR_pos	glcG//phnE_1//murC//gudP//pncB//metA//casD//ydeN//paaG//sgbU//hyfR//paaG//
CynR_neg	agaD//
CynR_pos	gadF//phoE//guaB//
CysB_neg	pnp//gcvB//ssuE//dapD//araD//pgi//malS//
CysB_pos	cysK//serA//gcvB//btuB//cysD//rcnR//cyoE//rbsC//tauC//rsmH//dsrA//dgkA//mglA//phoA//fabZ//mcbA//fucO//bolA//tcyJ//fliZ//yfdV//mcbA//hokE//aroM//sra//
CytR_neg	oppD//hyaC//dsrA//caiE//fdnI//pgm//ompC//dinG//lamB//prpE//lsrK//acrD//citF//
Dan_pos	ptrA//ttdT//ppiD//rimP//
DcuR_pos	nuoE//obgE//codA//pgpC//ynfK//ompT//aceB//marB//micF//
DeoR_neg	sdhC//gadA//narK//lamB//entD//kdpC//
DhaR_neg	creD//
DhaR_pos	fliF//yecR//ycjY//
DicA_neg	fruB//wza//ynjI//ppdA//dinQ//moeB//fecD//hyfE//
DinJ-YafQ_neg	ydeN//araE//lysR//
DnaA_neg	purM//amtB//purR//acrD//hyfR//ygiC//dnaG//glpD//yhbT//puuP//acnB//
DnaA_pos	ilvC//xylA//malF//hflD//ymjC//rffG//ybaT//
DpiA_neg	fliO//
DpiA_pos	artQ//leuO//insD//uxaB//ycjY//ddpC//pqiB//rbsK//hdeB//psiF//
DsdC_neg	chbR//
DsdC_pos	nirB//cusB//
EbgR_neg	yjbF//yccT//
EnvR_neg	sufE//ccmG//
EnvY_pos	tauC//ddpF//
EvgA_pos	aroH//seqA//ycgR//casE//csgD//malF//rnlA//ynfK//glpB//ynfF//qseB//rclA//rbsA//uxuA//zinT//ygiZ//argC//soxR//asnA//
ExuR_neg	gabT//sdhD//feoA//ppdA//decR//hypF//caiD//oppB//nikR//
FabR_neg	dnaN//ccmA//
FadR_neg	acrB//fixC//cytR//sbmA//relE//agaV//glnG//glnB//flhE//prpB//dmsD//
FadR_pos	ddpA//asnA//grxA//fau//dinQ//lsrF//mraZ//rutC//fhuE//yfdX//pspA//metB//
FeaR_pos	metQ//ybhS//
FhlA_pos	csgA//oppF//nmpC//rplT//caiE//hyfD//fliF//eda//hisJ//relA//glcB//flgF//fepB//gatY//focB//ppsA//gpmM//glgB//dhaR//agaW//feoC//hyfD//araH//glmU//gspM//hokE//rybA//nrfF//murG//fldB//
FlhDC_neg	ebgA//ydjM//gspD//casA//
FlhDC_pos	skp//malK//galM//ydeN//kdpF//hybB//dapD//rpoS//nirC//nlpA//fliC//gcvH//rpoD//lysO//fiu//arsB//argT//csgD//torR//hisJ//cyoC//fecD//ftsW//exuR//putP//uhpT//gudP//yiaM//lldR//deoC//yeaE//fixC//argH//bioC//metA//nikC//mngR//tktB//alsE//znuA//hycA//flhC//dsdA//yncE//pagP//glgC//aroG//hycD//yciF//flgE//codA//hcaR//gnd//ttdT//trpL//yoaC//yfdX//ynbC//rbsR//fucO//emrB//ssuB//mprA//caiE//sufD//acrZ//exuR//sucC//alsE//ppsA//oppC//kdpB//purA//nikE//ygiC//hdeB//nadB//norV//
FliZ_neg	nrdA//murI//ppiD//appY//pitB//rclA//adiA//metF//malT//nuoG//melA//fadM//ybhL//thiP//cysN//citG//idnR//caiA//araB//paaA//phnD//
FucR_pos	tnaC//paaG//ykiA//glpD//stpA//rnlB//flgF//
Fur_neg	ygbA//waaY//purB//lgoR//rbsB//ruvA//yjhB//tdcB//phoU//dpiA//yfdV//rpsO//ykgO//frdA//napF//tolC//agaB//hyfJ//tauB//yjjQ//ssuE//araB//sutR//yqjI//glpX//yccT//sdhD//ugpA//tam//ygeA//glcB//napA//fadE//agaA//fabH//fucK//fucO//purD//hyfA//polA//sroD//sucA//csgE//bioB//nhaA//ybhR//yhdY//garK//fabB//yedX//sbcC//gspC//ttdA//yiiS//cysA//hcaE//gadW//ulaD//edd//pagP//nuoF//aceE//sutR//nirC//tyrP//flu//amtB//bacA//malF//manZ//hyaE//slt//folA//wzc//betT//yibQ//yccT//cusF//ybjN//fliI//nuoM//betI//ydiV//mhpA//hcaB//csgD//codB//ung//baeS//hyfR//garD//nfsA//ulaC//asnA//cydC//epd//frdB//trxC//mtlA//hisQ//ydiV//argA//deoC//pheT//nfsA//higA//pspA//gyrA//narX//fecE//ubiX//idnD//paaI//yefM//galM//
Fur_pos	fliR//ulaB//nirC//rclA//cusC//kbaY//bglJ//uxuA//hlyE//yqjA//cysK//hcaF//gspH//trpL//ybhR//ppdA//hybB//yciG//pepD//metK//yiaN//
GadE-RcsB_pos	yneM//hcaF//amtB//fadE//allE//lysR//cspI//tauD//pgpC//
GadE_pos	cusS//hemH//pykF//acrA//hypB//galM//astB//yhiM//srlA//fruK//sdhA//ygbA//hycC//dsdA//murG//lpd//ddpA//cyoC//yhiM//ryhB//cho//trxC//mipA//relE//caiC//mngA//exuT//ycjG//ydjM//
GadW_neg	hybD//modB//modA//trpC//phnK//dnaA//pnuC//ydiU//hyfB//pgm//gltD//
GadW_pos	cadA//yiaO//accA//galP//oppA//flhD//fumB//pyrD//rcsA//cydA//ubiX//
GadX_neg	rpmI//atoD//yfiR//manY//deoA//sucC//
GadX_pos	sfsB//yhjC//nagE//recX//cytR//moaD//dnaN//arsR//thiQ//oxc//potH//gltI//yhjC//hdeA//galR//hipB//aroG//phnL//stpA//fliC//ptrA//sufD//trpR//isrC//garR//hdeD//yjhC//
GalR_neg	dgcN//fliK//betT//hybE//fiu//ybfE//recB//gyrA//slt//gutM//
GalR_pos	fadA//gcvA//gntP//paaG//
GalS_neg	mioC//ptsG//moaE//ibaG//znuA//exuR//flgG//hypE//cra//csgD//
GalS_pos	flu//citD//argP//glpA//
GatR_neg	betI//purE//oppA//dpiA//yjbG//aceK//
GcvA_neg	flgN//mqsA//mntH//mgtL//
GcvA_pos	fldA//ulaD//ygiC//ldtC//
GlcC_neg	grxA//
GlcC_pos	murI//yfbR//yhdZ//nanK//glyA//waaH//
GlpR_neg	paaA//galS//purB//arsB//ssuA//deoC//symE//acrB//flgI//
GlrR_pos	tadA//glcB//skp//wecB//gcl//
GntR_neg	purN//polB//argT//nuoB//ulaD//ariR//dmsC//cusF//pstB//ydcS//sbmC//ccmA//
GutM_pos	rpoH//cadB//fabB//soxR//ompC//yccJ//ppiA//
GutR_neg	tnaC//rbfA//lldD//ppiA//ygiB//nfuA//ugpB//
HU_neg	aroM//gadC//pspB//uidR//tyrR//tam//omrB//cysI//
HU_pos	ydhX//
HcaR_neg	crl//
HcaR_pos	ccmE//ppdC//glxK//nfsB//ydfH//
HdfR_neg	accA//ompT//
HdfR_pos	ycjG//chbF//envC//
HigA_neg	umpH//omrB//
HigB-HigA_neg	paaK//paaZ//
HipAB_neg	argA//prpD//argA//mzrA//paaJ//
HipB_neg	bolA//mglA//ppsA//nohA//crl//gntT//
HyfR_pos	relB//waaZ//wcaA//aspA//flgI//cusB//yhjC//fadI//fliQ//ccmD//glpA//lolA//
HypT_neg	gltB//phnH//tdcF//dinQ//lrhA//
HypT_pos	cspE//cysD//ybfE//nuoF//fhuC//carB//deoD//mlc//
IclR_neg	atoB//glnK//dgcZ//psiE//
IdnR_neg	gltB//recC//
IdnR_pos	chbB//recX//wecB//tfaQ//frc//
IlvY_neg	ydiV//
IlvY_pos	fiu//
IscR_neg	recN//glpC//nuoI//hyfC//dpiA//frc//bioB//umuC//pyrC//skp//yeaH//phnF//hemH//lhgO//fdhF//arsC//nagE//trpL//sgbE//gcvT//entC//
IscR_pos	cysH//sufD//uidR//metK//glpA//hdeA//nusA//paaY//fbaA//srlR//cydA//
KdgR_neg	arsB//glpT//
KdpE_pos	micF//gudD//tyrB//hycB//
LacI_neg	sucD//atoD//gapA//
LeuO_neg	nikA//tdcC//potF//
LeuO_pos	emrY//ybfN//cusS//relE//rpiR//iclR//nikD//trpB//rcnA//chbA//gatZ//uvrB//ygbA//dnaG//nuoJ//ygiZ//mntP//rbsK//
LexA_neg	norW//fixA//ybiT//yegR//fucU//ydhY//nanE//atoA//ytfE//asnC//rpoD//atoA//idnT//cecR//mgrB//sodB//kbaY//paaI//purA//waaH//sgbE//nimT//chbC//pdeL//nagB//tomB//acrZ//patA//malS//hybB//nanA//uvrC//rffT//uidB//dicC//phnD//chbF//tonB//mdtD//argC//ompC//betT//nrdD//ynbD//ssb//zinT//uxuB//rstA//pagP//umuD//nuoI//sfsB//adiA//ynbD//dnaG//fixB//yccT//mhpC//nuoL//
LldR_neg	araB//rhaR//nfsB//
LldR_pos	cusF//phnL//mazE//
LrhA_neg	murR//rhaB//
LrhA_pos	ecpR//rhaB//
LsrR_neg	osmY//entF//rseC//fadD//alaS//glyA//ppdB//wzc//garP//
LysR_neg	crl//
LysR_pos	intQ//
MalI_neg	ldtD//yjhC//yebG//
MalT_pos	mhpC//nemA//pitB//mhpB//mraY//mntH//hydN//malY//poxB//nanC//
MarA_neg	napH//casC//ppiD//potI//dhaM//ftsA//mdtD//
MarA_pos	nrdB//appB//pgaB//oppC//yqjH//gcl//agaC//mglC//sroC//argI//hisM//flgE//alkA//recD//yoaG//yfbR//fdnG//puuP//pspB//phnN//prpB//flhB//ppdC//ddpX//purL//gadB//ftnA//lsrA//hcp//fes//malI//
MarR_neg	mazG//glnK//mepH//
MatA_neg	nrfD//gatA//chbR//rbsR//glgA//fdnH//
MatA_pos	nrdI//bioF//
MazE-MazF_neg	xylR//caiB//agaD//
MazE_neg	dkgA//fdnH//gcvP//
McbR_neg	ynjI//
McbR_pos	acrD//pspG//ydhW//
MelR_neg	rcnR//rfe//rsmH//
MelR_pos	bglB//ybbW//entE//
MetJ_neg	mntS//xylH//phnO//frdB//feoB//alaC//galR//pdeL//cysM//ftsZ//yncE//alsB//copA//wzc//yecR//
MetR_neg	nirD//rimK//
MetR_pos	leuO//csgG//yafP//nikD//
MhpR_pos	hybE//casD//hyfF//hypF//micF//hycB//
Mlc_neg	dhaR//paaB//cspE//hyfB//entE//tdcD//lamB//phoH//focA//yiaL//
MlrA_pos	cysB//artQ//hha//baeR//dnaA//gcvH//gyrA//allA//sgrR//rpiB//
MngR_neg	allC//gatD//yhiM//
MntR_neg	ssuE//yoaC//feoA//rseC//
MntR_pos	luxS//
ModE_neg	cyoD//yafP//hyaD//betA//gloA//recD//phnP//motA//ccmG//yiaO//nusA//yjeV//gltI//arsB//fucO//
ModE_pos	rpsO//adiC//purK//srlA//pspG//lexA//fhuE//acrR//argC//alkB//waaY//purR//ydcU//ihfA//accD//yjjQ//uvrC//trxC//rseA//sgbH//gabP//nikB//ascF//sdhB//thiP//soxR//focA//chbR//agaW//flgC//adhE//
MprA_neg	cusS//ydfN//sufA//ugpE//pgk//nhaR//
MqsA_neg	metA//hyaB//gltL//stpA//glpD//ybdN//umpH//entD//
MraZ_neg	citF//uhpT//ugpE//deoB//safA//wecE//lsrB//edd//araC//gntT//nuoJ//dsrA//nuoH//cusR//ubiX//galK//yafN//
MtlR_neg	glk//dctA//hyfE//
MurR_neg	asnB//ubiC//dinQ//
MurR_pos	araJ//
Nac_neg	galK//purF//ariR//relA//iscR//dinG//glnQ//seqA//murD//
Nac_pos	fliF//cynX//ddlB//argI//cysN//gyrA//mazG//phoA//ulaF//yrbL//dmsA//fabB//
NadR_neg	dhaM//yidL//spy//malM//
NagC_neg	qseC//flhE//fecI//patA//ugpE//sgbU//narK//ldtB//hisJ//ygiZ//lsrF//hyfD//modB//bglJ//prpB//mtr//nimR//yaiW//rbfA//idnK//mlrA//lysP//glpC//fucP//lldR//yhdW//puuA//norR//hyaB//bolA//nanC//rutE//yiaM//
NagC_pos	fliS//efeU_2//iscR//
NanR_neg	wcaB//galM//cueO//tyrP//ydhX//nanS//lldR//ydeM//nuoK//dcuA//
NanR_pos	galM//
NarL_neg	fucK//leuO//atoA//pgk//murF//ulaB//fdnH//yjbF//murE//glgB//recN//xylF//fau//argI//cpxR//flhD//ynbA//polB//chbG//zntA//paaH//dsbC//idnD//cusS//atoD//cytR//crr//ruvA//moeA//pfkA//ompF//pdeL//betA//argF//talA//fhuC//cyoD//osmC//hyfC//bglJ//yafQ//ppdC//pyrC//wzc//glnH//gcvB//dinB//hyaF//yhhY//fecC//allA//astA//fucA//argG//yagK//ydhV//ynbB//dmsB//oppF//ydhX//gatZ//ydjM//pykF//bioA//fadD//kdpA//pqiA//melB//arsC//glgB//flgA//argA//wzb//aspA//hycD//gltI//metI//srlA//appB//potF//sgbU//psiF//dapB//nimR//yegH//galP//ompC//
NarL_pos	ptsI//yjhB//gpmM//soxR//pgi//pepA//rimP//sdhB//potG//ycgR//bhsA//hyfR//flgN//katE//mhpD//nimR//metB//thiQ//allB//rbsC//purC//sdhA//cpxQ//ydcV//gyrA//yjhB//wzyE//astB//yccA//nuoM//gspH//argE//yfbR//ydeP//zinT//cirA//nuoE//hyaE//sodB//tyrP//rffM//glxK//hyfB//
NarP_neg	glpC//leuC//galS//hyaC//allB//recC//creA//tnaC//aceK//dsbG//argR//fimE//agaS//srlD//gyrA//ddpD//ddlB//glgX//ccmD//glnG//mcbA//hyfC//lsrF//pgk//hybB//fur//lysP//ydiV//rhaB//ybhF//ompW//moaB//flhC//
NarP_pos	lsrR//paaA//omrA//sucB//phnF//phnJ//waaY//carA//borD//dcuA//gadC//nuoM//xylG//udp//deoA//hisJ//allD//ygiB//ygiZ//cyoE//fecC//fabA//fepB//fepA//yfdE//fumC//lysC//fadB//glxR//ttdT//ydbD//phnD//
NemR_neg	allS//ascF//fliN//
NhaR_pos	fliI//cpxP//hcaR//galE//gudX//artJ//eda//
NikR_neg	glnA//mipA//lsrK//ilvY//sucA//ulaG//
NimR_neg	fbaA//ndh//
NorR_neg	moaE//
NorR_pos	ssb//fadE//
NrdR_neg	pyrC//insK//ychF//frdA//fruK//araB//torC//gnd//flgJ//
NsrR_neg	hycI//frdD//yiaK//cysA//fliE//malT//ymjC//exuT//thiP//accA//glmU//malT//gloA//soxR//pgaA//nanT//nuoG//ttdB//bhsA//yjjZ//mngR//seqA//agaR//glnL//deoA//slp//ygbA//thiQ//carA//umuC//gadC//csgD//iscU//glnK//pnuC//sulA//hemL//ybhR//slt//agaA//nagE//mepH//phnF//ybdN//gntK//aroF//guaA//fadA//garP//ahpC//iscS//soxR//cspI//gspE//manX//citE//fruB//glpQ//gcvH//dgcC//araF//cysA//fabH//tyrB//murE//mgrR//sroD//ycjG//ugpB//fabI//glmS//fliD//nagA//pheT//bdcA//xylG//znuA//thiQ//allE//puuC//rffM//flgA//metI//
NtrC_neg	hcaD//hdeA//fliQ//murQ//entF//ynfH//
NtrC_pos	flhC//metH//ycjF//adiC//lpxC//nohA//fadA//xylH//ykiA//nac//ftsQ//potH//gntU//csgG//pheT//mngR//dinB//focB//nanC//ddpB//ompW//gadC//hypC//nuoM//glmS//yciE//norR//speB//glnD//fiu//astC//waaZ//fucR//tsr//norW//hokE//mdtF//araH//cusS//tdcG//uidR//ibaG//oppF//phr//pgaD//ccmH//yjhB//dnaN//recD//
OmpR_neg	gfcA//dinQ//chbF//qseC//deoB//ycjX//dgcN//fucP//nrdH//ygbK//nanS//metJ//
OmpR_pos	metR//phnG//nrdE//dsbG//paaJ//rpsO//hyfF//hisQ//rhaT//ynbC//
OxyR_neg	csiD//leuL//phoU//soxS//nuoA//yciW//ppdB//uxaB//tehA//yiaO//fucI//nimT//
OxyR_pos	galR//ogt//astD//rpoH//cysN//chbF//ebgA//flhD//artJ//ygiZ//csgA//kbp//ftsQ//rcnR//glgB//fixC//nuoK//bioC//appY//glk//mraY//moeB//
PaaX_neg	yiaN//treB//rpsO//galM//nrfF//cirA//fliG//puuE//cysH//dpiB//nanK//aceK//yciX//uvrD//
PdeL_pos	paaE//
PdhR_neg	treR//pnuC//ampC//ybbY//murP//rclC//fepA//uof//fabH//murP//malY//aidB//ynfG//cheW//yhdY//narX//nemA//ybhR//cas2//nikC//cysN//cspI//hokD//nuoC//nrfG//ydiV//tauC//yjjZ//appA//cysJ//fliG//cysP//mazG//leuO//dcuA//motA//
PdhR_pos	udp//sgrR//citE//glpX//acrB//
PepA_neg	trpR//ftnB//eno//
PgrR_neg	gpmM//garL//fpr//insK//rcsA//dicC//yegH//agaW//
PhoB_neg	yoeB//fadM//fbaB//ynfF//sbcD//allC//ecnB//ycjX//nagA//gudP//ascB//fliN//
PhoB_pos	umuC//uspA//uspD//phnE_2//yeaR//nusA//poxB//moaD//fliZ//zraR//fucP//glnP//rpoS//csgD//cynS//aceF//leuC//glgC//recD//nadB//ftsK//fhuE//phnJ//eda//nirC//mdtD//metQ//rsmH//ynjI//tauD//artP//citE//pspF//fabD//wecB//garD//ddpD//mhpB//lsrD//argT//ydhX//nrdH//rffC//hybG//fdnH//dinJ//ibaG//gapA//fhuE//mdtD//cirA//patD//yqaE//
PhoP_neg	ptsH//sucA//uvrD//iraM//asnB//waaH//kdpB//alaC//fecC//carA//lhgO//
PhoP_pos	serA//nuoA//idnD//ebgC//cdd//entA//phoB//ptsI//glpA//hdeA//nrdI//ugpA//hydN//moeB//katE//rhaA//tcyP//omrA//casC//purD//tsr//flgE//carA//atoD//flhB//wzzE//phoH//cspD//mdh//cpxQ//slyB//yfdX//ebgA//ptrA//pgk//nirD//mgrR//cirA//appB//motB//stpA//mnmG//wzyE//malP//citG//ulaB//fliF//tcyJ//
PrpR_neg	cyoD//
PrpR_pos	galP//acrD//rcsA//moaC//
PspF_neg	hisQ//
PspF_pos	rpoE//hflD//ada//cynT//uspA//tdcG//
PurR_neg	fbaA//rseA//narL//uidC//ygeA//fadE//lamB//nikE//ulaD//glnB//carA//ydcU//hcaF//yiiS//rfe//cydC//citX//allS//atoB//phnL//melB//yhdW//glk//hha//araH//ybjC//psiF//hyaA//galT//fadR//ttdB//
PutA_neg	tdcE//add//
PuuR_neg	rnlA//osmY//cysE//hycH//napG//flgB//galM//
QseB_pos	lsrD//gltD//srlR//deoA//
RbsR_neg	lsrG//ugpB//ydhV//ynbB//pstB//fecR//yjbG//cadB//
RbsR_pos	nanE//
RcdA_neg	agaC//wza//
RcdA_pos	nuoM//purB//soxS//fbaB//citE//hydN//add//
RclR_pos	gadC//ftsL//ttdB//
RcnR_neg	lpxA//gabP//hcaB//
RcsAB_neg	deoD//osmB//mhpB//exuT//ahpC//asnA//
RcsAB_pos	nfo//hycE//argO//ymiA//cadA//sufC//fliQ//hybF//uxuB//malX//
RcsB-BglJ_pos	malI//narI//paaX//glcB//metC//betI//yegZ//glk//lsrG//uvrY//sucB//ppsA//ampC//nanM//mqsR//glyA//
RcsB_neg	lpxA//evgS//
RcsB_pos	hybB//tolC//higB//ascB//cysD//yefM//nrfD//yeaD//metQ//ccmC//thiQ//ydfH//malG//hybD//idnK//grxD//qseB//flgD//cydC//sroA//idnK//ccmF//pfkA//
RelB-RelE_neg	folA//csgA//deoB//
RelB_neg	lysC//appC//hyfH//
RhaR_pos	glk//manY//
RhaS_pos	dkgA//entD//lsrG//dicC//oxyS//recD//
Rob_neg	yeaR//
Rob_pos	cynS//fruK//yiaJ//ugpE//wrbA//mpl//malZ//pdeL//csgE//hybE//fhuD//asnA//pgk//paaJ//trpE//tolC//hycD//aceB//gspK//tyrP//ygiA//fruA//pspE//hipA//fumB//
RstA_neg	hypD//yciW//sgbE//cyoA//glyA//
RstA_pos	argP//ldtC//putP//sdhC//ddpD//
RtcR_pos	srlE//gntK//
RutR_neg	pncB//allD//tehA//rutB//nanC//caiD//phr//fucU//rcsA//kdpC//yeaE//fhuB//hybD//hemH//uxuB//
RutR_pos	yecR//sufB//
SdiA_neg	arsB//betA//kbp//
SdiA_pos	treR//hyaD//pepD//
SgrR_neg	znuC//yhjX//sgbE//tauC//accA//
SgrR_pos	pnuC//prpR//napG//narX//
SlyA_pos	gntU//
SoxR_neg	metH//
SoxR_pos	fliG//rbsR//
SoxS_neg	dctA//pagP//
SoxS_pos	puuD//rcnR//micF//soxS//fruA//hokD//hybD//spy//sucC//manX//fadJ//gntT//yhdW//grxA//yidL//fhuA//dgcZ//allD//modC//moaD//atoD//accB//focB//wcaB//lhgO//astD//sulA//chiP//higB//asnA//dinB//fdnH//wcaB//phnK//ccmE//safA//isrC//yrbL//
StpA_neg	yecR//pdeH//ynfF//sucA//rcsA//yciF//guaB//
SutR_neg	leuD//arsR//galM//citG//ompT//
SutR_pos	astB//
TdcA_pos	fucP//sbmC//kdpA//glcE//cspE//glmY//dkgB//
TdcR_pos	argG//tadA//yefM//yccA//citE//eno//mdtB//
TorR_neg	hypD//pdeH//ddpB//
TorR_pos	xylB//sbmA//cysC//glcE//fhlA//tdcE//wcaA//treR//argR//
TreR_neg	ruvA//sufA//
TrpR_neg	nuoA//puuA//icd//ycjF//potF//napH//yjhC//dpiA//yjhC//acrA//puuB//ydiV//
TyrR_neg	ldtB//sbmC//hyfI//ilvY//xylF//pspD//yedX//hybG//fdnG//fruB//
TyrR_pos	xapB//uspE//phnD//
UhpA_pos	fliA//
UidR_neg	ykgM//fdnG//hokE//gloA//
UlaR_neg	fhlA//sbmC//malS//puuE//yeiB//rsmH//tehA//
UvrY_pos	pspF//rcnR//glgA//ugpC//ndh//
UxuR_neg	waaZ//aroH//nrfD//pgpC//artP//folA//lysR//hybD//hyfI//
XapR_pos	sucD//ebgA//
XylR_neg	flgN//
XylR_pos	fau//recD//nfuA//glmS//fadH//cspE//
YdeO_neg	aspC//fdhF//
YdeO_pos	icd//manY//norR//ydeP//cydB//mqsA//cysC//dsrA//uvrB//lldD//bdm//chbR//hyfI//hyaF//evgA//ybfE//kbaZ//add//sucB//
YedW_neg	csgC//cysA//malM//ftnB//rstA//
YedW_pos	flgE//yhhY//yqaE//cysP//potF//wzc//hypD//
YefM-YoeB_neg	recB//yfiB//
YefM_neg	glcC//hypE//
YehT_pos	gabT//
YeiL_pos	puuA//
YiaJ_neg	glnH//creA//murQ//cbl//leuD//ycjY//ubiA//agaI//allA//cspE//
YjjQ_neg	trpE//eda//sbmA//leuA//glyA//fabD//tauA//nikA//cusR//yeaD//
YpdB_pos	glxR//
YqhC_pos	yfaE//uidC//
YqjI_neg	gutM//fecC//
ZntR_pos	flhC//
ZraR_pos	bioF//eno//nrdA//
Zur_neg	dsdA//moaA//flgI//cysN//acrA//dpiA//
