#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	bluF//napF//
CaiF_pos	dhaM//ydhV//sulA//ydeP//uspD//fliF//sroC//gatY//nlpA//argP//
Cbl_pos	puuE//fur//argO//yoaG//yccJ//ccmB//rseB//hybC//osmY//
CdaR_pos	napC//emrB//aroM//pstS//iclR//dkgB//metL//gabD//pqiB//tadA//
CecR_neg	acrA//rclA//patA//rhaD//prpD//
ChbR_neg	yhhY//narH//lldP//sgrR//fliH//sroD//
ChbR_pos	phnD//nadB//nhaR//malM//modB//psd//
ComR_neg	srlA//
CpxR_neg	rimK//fabI//citG//aroG//speB//paaK//dicB//hypC//hemL//modC//nikA//srlB//ydhW//mglA//dsbA//sufC//ybhG//nohA//frc//pflB//yiaJ//yibQ//creD//fadJ//
CpxR_pos	sgbE//baeR//ymgC//srlD//adiC//yiiS//ybfN//wrbA//fpr//mhpD//gudX//citG//ftsA//wecC//ccmA//putP//hyaC//decR//mqsR//fabD//hybB//uvrB//dinB//yiaN//csgF//rhaS//nuoB//ygeA//ygiA//glxR//ompW//deoB//nlpA//hypE//wecE//gabP//xylH//glmY//puuC//yafP//aceE//ahpF//rutB//pdhR//ftnA//metE//
Cra_neg	codB//ryhB//idnT//glpD//hybC//pstC//paaE//paaA//cspD//ydhT//dhaM//wza//tsgA//cusC//cho//safA//yfbR//epd//pgaB//mepH//ilvC//casB//mazG//icd//znuB//mnmG//flgI//agaS//flgB//bamE//dkgA//garR//recB//caiB//feaB//soxR//mhpB//dicC//rdoA//gabD//mtlA//glnA//nikA//focB//nuoJ//polA//tpiA//qseC//cytR//malQ//ppiD//deoD//ydeI//cynX//ydiU//argC//ybaT//mhpD//udp//
Cra_pos	malI//glpX//deoB//hycB//ddlB//omrA//ihfA//fliA//fecR//qseB//yhhY//yneM//ymjD//phnG//dsdC//flgA//rpoH//uspA//aroP//yjjQ//araF//uspD//amtB//
CreB_neg	sdhD//rpmI//tam//
CreB_pos	deoD//talA//
CsgD_neg	tomB//fliI//lpxC//lpxC//dmsC//yjjQ//agaI//araD//hycB//ydiU//sdhC//mhpC//cysU//glgX//efeU_2//
CsgD_pos	malP//sbmC//tehB//thrS//leuL//efeU_1//fur//ydhV//glnA//rbsA//fhuF//dcuD//yegZ//
CsiR_neg	uidB//ddpB//mngB//fecE//flgK//
CspA_pos	norV//hcaF//
CueR_neg	araC//udp//deoC//aceK//fixA//
CueR_pos	fliA//yebG//
CusR_pos	hybF//norW//sutR//srlR//garD//ilvY//fdnG//yhdZ//norV//fepD//mntS//entB//
CynR_neg	ycjX//
CynR_pos	mngR//csgC//gyrA//
CysB_neg	crr//nanK//cyoB//wcaA//hha//glcD//cspD//
CysB_pos	wzb//dcuS//iraM//ytfE//ptsI//pdeR//fecE//cydD//mdtB//sgrR//aroL//cra//fdnI//efeU_1//wzxE//csiD//polA//cueO//glmU//nuoC//sgrR//uvrA//mdtE//emrB//iscS//
CytR_neg	sulA//ebgA//hyfH//iscR//cusB//frdA//envC//napC//sgrT//garR//oxyR//dhaM//manZ//
Dan_pos	yhbS//hyfF//decR//fadI//
DcuR_pos	flgK//carB//thiP//rutC//grxA//dhaM//metC//dpiA//micF//
DeoR_neg	ddpX//oxyS//aceF//hybA//pheT//ttdT//
DhaR_neg	gspG//
DhaR_pos	nrfD//hcaF//hyfE//
DicA_neg	cysP//phoP//cueO//dhaK//yeaG//gpmA//nrfG//rpoS//
DinJ-YafQ_neg	mnmG//iscS//ompT//
DnaA_neg	fliO//fliA//accD//folE//malX//phoP//caiF//rclB//ybhL//acnA//hdeD//
DnaA_pos	betB//gapA//rclA//allC//asnC//pagP//cpxA//
DpiA_neg	ybhS//
DpiA_pos	glmS//cvpA//ynfG//cysB//nrdA//ycgZ//nirB//hcaE//rimK//cdd//
DsdC_neg	ruvA//
DsdC_pos	safA//gudX//
EbgR_neg	ybhF//nanK//
EnvR_neg	paaH//oppD//
EnvY_pos	yqjI//aroF//
EvgA_pos	ycjX//tisB//ruvB//dhaL//ulaF//gltK//paaF//cvpA//paaF//luxS//yciE//acrZ//agaI//csgG//pgaD//pgaD//ruvB//cyoE//fliA//
ExuR_neg	lsrR//ycjY//cysA//yneM//ygeH//gabT//ybhR//phnC//idnD//
FabR_neg	tdcE//motB//
FadR_neg	nikA//rdoA//araB//patA//hslJ//glxR//ubiC//puuR//cynS//fimB//nuoA//
FadR_pos	ynbD//fabI//nanE//dctR//aceF//gspL//creA//mglC//dacC//cusA//betT//fadB//
FeaR_pos	qseB//fabZ//
FhlA_pos	rnpB//add//qseC//wzc//yidQ//intQ//dpiA//murP//mlc//hypA//nuoI//glgP//uvrC//recC//cynR//dicB//znuB//entS//hdeD//mdtF//malP//udp//srlA//glnG//uspD//ptsH//cytR//gspH//ccmE//argH//
FlhDC_neg	araF//uvrY//recB//phnE_1//
FlhDC_pos	rpoS//yciX//yhbS//dinB//nfsA//ampC//dhaR//bamE//infC//idnR//fecB//ydhY//phoH//murE//metL//ftsZ//argD//cysC//ftsW//caiA//oxc//tdcG//flu//iraP//fucA//nikR//ymjD//narK//hybC//accB//hyfF//tonB//evgS//wrbA//envC//entD//cyoD//ydeP//rutA//decR//tdcC//flgM//chbC//ydfH//tdcA//tktB//glyA//rstA//mntP//rplU//arsC//fixB//hybE//hybE//rutB//bioD//hyaB//gadE//recC//fliM//ebgC//yegH//torC//glpF//ycjG//deoC//phoH//cysJ//acnA//bglF//cydB//fliL//nrdG//phoA//zwf//metC//decR//ppdA//
FliZ_neg	metY//glnK//rnlA//ccmC//lpd//znuB//gltK//agaB//phnN//mtlD//malM//paaY//pheT//ydfN//nuoG//creA//norR//ygaC//uidC//ygiB//purB//
FucR_pos	gspH//napA//feaR//dgkA//ykiA//accB//nfo//
Fur_neg	prpR//nrfF//cyoB//nikB//hcaR//potF//napG//glnQ//acnB//cpxQ//mhpB//cysG//ddpX//mioC//pitB//uidC//asnC//fadH//csrC//caiC//wzzE//dgcC//fucI//fecE//rbsB//phoU//leuD//fucU//acrB//moaB//glpF//csgE//ampC//napD//ybhF//ulaD//fhlA//yneM//gspF//cusF//yhbT//arsC//rclB//csgE//malQ//nuoG//rstB//yqjH//fabB//truB//acnB//gfcA//yccT//phnO//cheW//zntA//sdhA//hyfI//fepD//ymgA//agaC//ygaC//alaS//ygiB//moaD//ttdB//rnpB//ulaC//gatY//malY//nagB//hha//yebG//dhaM//astE//fumB//fdnG//puuC//grxD//garP//dapB//hlyE//hcaC//pdhR//leuA//higA//ygeH//tsx//rutD//cheA//uof//ydeI//fucA//gcvA//lacY//glnG//uvrA//znuA//glcC//hyfC//wzb//rcnB//bioB//ymgA//rpsU//nrfD//yhbT//rseC//nagA//hyfA//purF//betB//yciW//rbsR//citX//
Fur_pos	uxuR//poxB//paaZ//fucA//argE//iscA//infC//umuC//emrY//chbA//mgtA//allC//nlpA//sufE//mdtD//mglB//fadB//gntP//rpoS//uof//sbmA//
GadE-RcsB_pos	focB//adhE//rpiR//oppA//mdtF//fliZ//mhpD//pgaA//dctR//
GadE_pos	csgA//sdhB//nrfG//fnr//nikA//aceA//ydbK//srlB//pgaD//mpl//bglF//rseC//cvpA//ytfE//uidB//pstA//idnO//hyfJ//phnN//cho//uspD//fixB//gltL//ydeI//metN//hyaB//betT//potG//lyxK//
GadW_neg	tam//ydfD//waaZ//yciE//argG//atoD//sbcD//ynbD//ynbB//nikR//insK//
GadW_pos	mtlA//yibQ//dsbG//kbaY//argE//thrS//hypA//pyrD//glxR//osmY//malG//
GadX_neg	lon//fliT//dinB//ynbC//glyA//phoR//
GadX_pos	rpoH//kbaZ//fucA//yhdW//hcaR//rpoH//mdtB//adiC//paaB//rybA//metI//astB//glgB//nrdA//pgaD//uvrY//cadA//flgM//yccT//gor//nirC//mlrA//mltF//nrdB//dnaA//recD//puuE//
GalR_neg	lpxD//accD//hypE//yhbS//uvrY//dmsA//iraP//nrdD//fliM//narI//
GalR_pos	yhiD//glpT//ryhB//lsrR//
GalS_neg	omrA//argA//bioD//pitB//yhdX//cysH//nrdG//yeaG//cra//cyoE//
GalS_pos	pnuC//dinQ//iscS//dnaG//
GatR_neg	nirB//gabP//cysG//hyfD//fliS//deoC//
GcvA_neg	hcaC//dgcC//zraR//gntU//
GcvA_pos	mdtB//decR//hybE//casA//
GlcC_neg	aceF//
GlcC_pos	yhjA//gatY//rimK//ebgC//gntK//yhbS//
GlpR_neg	bluF//gor//citD//kbp//napA//yhbT//metA//paaE//hybG//
GlrR_pos	araE//yeaE//yafO//stpA//ulaD//
GntR_neg	mqsR//zraP//rpsU//wecE//nuoE//tdcF//ybiT//hyaD//glxR//nrdA//mltF//cpxQ//
GutM_pos	mdtA//alaC//hipB//purF//spy//nrfD//artQ//
GutR_neg	nuoF//yefM//gudX//cysA//glpA//hydN//oxyS//
HU_neg	pykF//dhaK//paaB//allA//mtlA//fliC//paaX//ulaF//
HU_pos	ccmB//
HcaR_neg	wzxE//
HcaR_pos	yhiD//wecB//malI//dinG//rybA//
HdfR_neg	yqaE//ybfN//
HdfR_pos	gltL//gdhA//artJ//
HigA_neg	glpX//pstB//
HigB-HigA_neg	hyaC//pdeL//
HipAB_neg	fdnI//cydB//gudP//fepB//purK//
HipB_neg	mhpB//slp//ribA//mpaA//pgaB//glxK//
HyfR_pos	mscM//hemH//ugpC//marR//galM//yegZ//mazG//eda//tisB//mnmG//flgB//patD//
HypT_neg	tsr//yafO//moaE//hdeB//atoA//
HypT_pos	rbfA//paaA//patA//ybfN//dtpA//ycjY//hcaF//cysI//
IclR_neg	tdcE//rffH//uvrA//fliK//
IdnR_neg	bhsA//modA//
IdnR_pos	bioF//flgD//ydhT//gltF//tfaQ//
IlvY_neg	gadF//
IlvY_pos	fepC//
IscR_neg	fbaA//fixC//hemL//tyrP//norW//lldD//lsrB//hypC//narL//leuD//yjiY//bioD//uxuB//araD//spy//oxc//yqhG//cysN//relA//iclR//fliG//
IscR_pos	folA//skp//ssuA//uxaC//ompW//argT//cydD//pgm//napD//mdtF//iraP//
KdgR_neg	hyfJ//phoA//
KdpE_pos	qseB//fliN//alsA//hyfH//
LacI_neg	artI//astA//skp//
LeuO_neg	cydB//mprA//rutA//
LeuO_pos	pyrC//flgI//acnB//mipA//amn//ulaE//ydhV//grxA//osmC//dmsD//alsA//ybhG//feaR//acrR//glpB//cheA//kbaY//ecnB//
LexA_neg	mraY//znuC//ampC//cyoC//ssuB//srlE//yhhY//fepC//accB//fldB//yneM//ybdZ//ftnB//creB//chbG//lpxA//ytfE//ulaF//melA//oppF//hypB//fepB//glcE//sroD//yccT//flgG//erpA//astE//gadC//xylA//rbsB//puuC//nagC//murF//nanM//ycgR//malE//feoA//ftsW//tonB//dkgA//glnL//allD//emrK//treB//pyrC//csgF//dsbG//nuoE//cyaR//cydC//isrC//yjiY//erpA//yiaN//flgM//bglG//cyoB//pepD//
LldR_neg	nanT//hipA//hipA//
LldR_pos	lldP//nimT//fdnH//
LrhA_neg	rpoD//rbsA//
LrhA_pos	xapA//rpsO//
LsrR_neg	hybB//trpD//rbsB//entD//cusC//yecR//acrB//thiP//ldtB//
LysR_neg	napD//
LysR_pos	ulaG//
MalI_neg	ydhY//gatZ//wzb//
MalT_pos	pheS//flgD//hcaR//yegZ//aldA//lpxC//sufE//araG//yeaE//mhpT//
MarA_neg	rpmA//rffM//citX//fliQ//agaR//tdcD//fixX//
MarA_pos	ydcU//tpiA//phr//cbl//kdpA//phnM//nupG//cyoD//kbp//ydeN//atoA//mngA//gutM//mglB//yqhD//fpr//phoR//flhD//uspD//soxS//pagP//ygiA//dsrA//waaH//csgE//hcaC//csgG//casE//marA//ftsK//hycI//
MarR_neg	pfkA//alsC//fadH//
MatA_neg	ykiA//fliZ//ycjF//gcvP//katG//rstA//
MatA_pos	ldtC//nikD//
MazE-MazF_neg	rffT//prs//gltF//
MazE_neg	pyrC//ybfE//gltB//
McbR_neg	ycgR//
McbR_pos	manY//rffT//fliC//
MelR_neg	gloA//ybjG//ndh//
MelR_pos	agaD//recX//lolA//
MetJ_neg	gcvA//gdhA//glpA//creB//acrB//yoeB//hflD//mtr//tynA//fepB//rplT//wecE//speA//flhE//guaA//
MetR_neg	rutC//sroC//
MetR_pos	exuR//cynT//hyfI//ydfW//
MhpR_pos	glnB//gltK//ccmG//dctA//pqiA//narJ//
Mlc_neg	tomB//hypC//hcaR//ydcU//alkB//ccmB//uidC//fabG//motA//paaF//
MlrA_pos	kdpB//agaR//crp//nemA//ulaF//ftsA//tam//seqA//ftsA//argD//
MngR_neg	agaD//alaS//ydbD//
MntR_neg	ygiZ//putA//ydhV//rpmA//
MntR_pos	cysE//
ModE_neg	malP//yidQ//rnlA//nrfG//rfe//malX//dsdX//ydhT//rclB//glnH//fecB//torA//rarA//glxR//galE//
ModE_pos	fliS//zwf//fecD//garP//ppiA//malG//cas2//fepC//metE//fdnH//thiP//pqiB//fliL//ssuB//cysC//qseC//dicB//paaK//metY//hycA//ydeI//rutF//dapB//paaH//creB//relB//ecpR//galR//lon//putP//ftsL//
MprA_neg	ydfW//cpxP//yhbT//casD//yeaR//accC//
MqsA_neg	yfdX//lpxD//luxS//yqaE//nirC//mlc//narH//malI//
MraZ_neg	fabZ//napB//recD//hipB//napB//ompW//wzzE//nuoE//yeiB//fepE//fecB//glpX//mgrR//yafN//idnT//puuE//truB//
MtlR_neg	nrfE//alkB//casE//
MurR_neg	malM//hypA//cynR//
MurR_pos	napC//
Nac_neg	argI//rseB//betA//yhdZ//ibaG//cyoA//rstA//mhpT//patD//
Nac_pos	ubiC//hcaF//lpd//dgcN//glmY//pgpC//paaE//glcF//pspD//mhpF//malX//yegR//
NadR_neg	umuD//ftnB//dcuD//glcC//
NagC_neg	eno//yafN//ygbK//entS//ybjC//lsrF//cadB//fecR//fliA//osmB//gspK//phnD//galS//phnJ//hyaA//malT//ulaA//sgrR//ybhS//eda//nanA//fadM//ydhV//entD//entE//entA//fliN//alsE//tehB//yjhB//efeU_1//recF//cysW//
NagC_pos	purE//hybG//cspD//
NanR_neg	metR//fixX//yaiW//dpiB//norW//aceK//pykF//mglA//malS//pgpC//
NanR_pos	metE//
NarL_neg	yfaE//zraS//thiP//fabH//fabD//lysO//flgC//dsdC//yhdY//udp//ptrA//aceB//malY//emrA//potH//paaF//rnpB//manZ//ccmB//araE//entB//agaS//codB//ymgA//gcvA//hyfD//skp//lacZ//gutQ//nuoN//borD//recA//sdhD//frdC//araC//entD//yiaL//add//lysP//rutA//gcvB//hflD//gadX//micF//wcaA//argT//ttdR//recF//ugpC//asnA//gadA//ygiA//glnH//dmsD//ymjC//dsrA//xylG//cydB//bamE//nrfG//malS//cdd//flhB//torC//ddpD//hokD//yafN//sfsB//hycA//znuC//rpmA//mqsA//nanK//glgX//cydB//gadW//glpT//glgB//mgrB//puuD//lacZ//gcvT//hyfB//araA//flhC//sutR//malM//
NarL_pos	tauA//glnL//xapA//ulaB//psiE//tehB//flgL//rcnA//dcuA//prpB//gspJ//carA//rnlA//oppF//gntT//rpoH//ssb//gpmM//idnT//fucP//kbp//folE//xylR//nirC//fabD//asnA//trpA//ymjC//citC//tehA//dpiA//ydhU//ftsW//yccJ//cadC//cysI//ompN//malM//yoeB//yfiR//tsr//narK//hcp//
NarP_neg	rnlB//xylF//sucD//mazG//umuC//trpE//citD//fecC//ydfE//tpiA//nikE//erpA//fadD//lysA//ppsA//nrfF//wrbA//fliO//fiu//nuoF//murC//evgA//phoU//tbpA//gutM//deoD//hyfD//fucO//pnp//pgk//sufB//rutF//malS//
NarP_pos	hyfC//paaI//gspE//rbsB//ynbA//ydbD//hipA//cysJ//nanM//psd//frdB//udp//mdtE//ppiD//nuoI//slt//lrhA//phr//gadW//ccmD//malE//hyfC//cysC//gudP//lacA//citX//hcp//fes//alsB//pgk//glmY//nlpA//
NemR_neg	nikB//ycdZ//degP//
NhaR_pos	rutF//lysR//ycjF//gspM//torC//uvrB//mraY//
NikR_neg	nanE//dgcZ//ybhR//rprA//puuE//caiE//
NimR_neg	add//manX//
NorR_neg	aldA//
NorR_pos	rutE//ftsQ//
NrdR_neg	lldD//sgrT//yhiD//acnA//ygdB//rpiR//sdhB//metQ//yhjA//
NsrR_neg	lysP//pdhR//pck//rimK//yhhY//gspE//glgA//rbsB//rffC//serA//ytfE//hyi//argT//ynfF//yjeV//garP//caiT//fbaB//csiD//glcA//glgC//phoB//rffH//citX//ttdA//fadJ//glnL//guaB//mraZ//yncE//sodA//rplT//hdeA//lsrG//pheT//argA//psiE//mngB//gpmM//csgD//mdtD//sdhB//entS//pspG//mhpF//fhuC//purF//narJ//tolC//cynX//ppsA//ubiA//ybaS//cadA//wzb//yfdX//hyfB//tyrA//rutD//fiu//metJ//purR//metH//phnN//rpsO//ygiC//chbR//lpxC//flgA//trpC//melA//melA//yhhY//phoH//guaB//rpsO//umpH//infC//napD//uof//nrdH//nuoH//mqsA//
NtrC_neg	iscR//betI//dpiB//envC//artP//nadA//
NtrC_pos	caiT//uhpT//cadC//rplU//hyfA//fucO//csrC//decR//yecT//ssrS//cytR//iscA//hipB//nlpA//soxS//recD//insD//gcvH//fixA//gapA//purD//cas2//napB//hycH//hisQ//phnP//lolA//ynfF//srlD//pheT//yqhD//ynbC//napC//puuP//focB//iscA//nuoC//guaA//pnp//ahpF//cyoA//puuR//ccmD//rutE//qseC//purK//argB//artI//mdtE//
OmpR_neg	glpT//nanE//paaY//gcl//ppdA//treC//gatZ//csgF//cydB//hyaB//dicB//purR//
OmpR_pos	metQ//erpA//srlE//truB//frdC//grxA//torC//iraP//xylF//rutR//
OxyR_neg	rffM//mprA//agaV//yafN//gspK//rpmI//gfcA//cirA//ldtD//tadA//gpmM//puuE//
OxyR_pos	cueO//rhaB//gntX//gltL//agaV//yhbT//betB//hycB//cyoE//cadB//ompF//tdcD//pspG//ada//sufB//exuT//glnK//sufS//casA//yqaE//tomB//qseC//
PaaX_neg	yeaD//hyfE//ynbA//hypB//crr//mhpT//cysD//mscM//ybaT//nupC//nupG//idnK//fucP//hdeA//
PdeL_pos	argO//
PdhR_neg	aroH//gadC//argH//phnH//gpmM//flhB//hns//nirD//feoB//sdhB//luxS//ybhL//atoB//yhdW//gatY//copA//ascB//flgM//potH//pncB//pncB//trpC//creD//rclC//fdnG//yqhD//idnT//cyaR//fucR//aceA//napG//nrfD//ilvY//hisJ//artJ//ppsA//
PdhR_pos	deoC//fliO//pdeH//phnK//argH//
PepA_neg	cyaR//dps//allA//
PgrR_neg	prpE//cdaR//gntP//dcuS//flgL//ihfA//acnA//lysO//
PhoB_neg	narX//gatZ//betT//narX//pstA//gntP//phnC//cysU//araC//cyoA//cynS//leuB//
PhoB_pos	ccmC//garK//bglJ//ompN//ilvY//gatD//hipA//yoeB//norW//ftsL//codB//gntU//fadI//galP//entA//argG//amn//exuT//putA//znuC//dpiB//yhdZ//yqjA//agaB//napF//yhjC//yhbE//tomB//betB//trpE//caiC//cyoB//luxS//argF//nrfG//hdeB//metF//creC//pgaB//purN//bioD//rclB//purD//emrA//rseB//phoQ//chbA//ulaC//rclA//gntX//murR//appC//yibQ//
PhoP_neg	yeaD//nikC//fecB//cas2//purF//cueO//moaB//uvrY//rbsB//murF//sufB//
PhoP_pos	dinB//hyfR//yeaR//fecA//citX//paaY//rarA//rseC//hyaC//sgbH//phnK//glpK//csgD//fadR//mdtF//tcyP//cadA//csgF//ymgA//ftsK//flgB//dinQ//purB//nfuA//paaC//rutA//astA//efeU_2//guaA//rcnA//nuoF//tehB//allA//sucA//fpr//slyB//gabD//ygdB//hisQ//araG//dapB//fucA//qseC//nuoF//decR//bluF//rhaD//ddpA//
PrpR_neg	cyoD//
PrpR_pos	rhaA//creD//ddpD//ykgM//
PspF_neg	purF//
PspF_pos	agaV//malS//atoD//agaV//hcaF//napD//
PurR_neg	ung//csiD//paaE//rhaR//nrfB//tolC//torR//hyaE//sbcD//psiE//talA//polB//oppF//accA//cueO//ptsG//feoB//rbfA//trpL//ygeA//gcvH//gyrA//csrB//focB//mnmG//asnA//melB//glnP//ybdZ//feaR//wecC//
PutA_neg	purB//norW//
PuuR_neg	aspA//fepC//gcvH//luxS//lexA//trpB//hyaC//
QseB_pos	ftsZ//entE//fimB//emrY//
RbsR_neg	ulaG//rdoA//slp//pheT//ssuD//ygbA//dinQ//ybbW//
RbsR_pos	fabZ//
RcdA_neg	gatZ//gntP//
RcdA_pos	aceB//entE//qseC//csrB//uspE//ydfE//casD//
RclR_pos	gatY//rbsA//treB//
RcnR_neg	mglB//pdeH//tauC//
RcsAB_neg	cytR//hcr//hypA//mlc//ydeN//rsmH//
RcsAB_pos	argA//ybjN//sroD//folE//cheA//fliP//sufE//mgrB//glk//aroH//
RcsB-BglJ_pos	betB//ydfH//ampC//rarA//wzyE//cheA//oxc//hyfF//hyi//rbfA//dhaK//trpA//pstA//glpC//phnJ//trxC//
RcsB_neg	glgB//artJ//
RcsB_pos	glxR//gcvT//ssrS//galR//nuoH//hipA//ydeP//casE//metJ//norR//efeU_2//ilvC//cysD//paaA//uxuB//recA//dicB//rutB//gspM//pgi//betA//cysJ//baeR//
RelB-RelE_neg	appC//gcl//agaB//
RelB_neg	ppiD//bamE//dmsB//
RhaR_pos	cspI//fliF//
RhaS_pos	aroL//oxyR//artM//mhpE//paaG//nrdG//
Rob_neg	yafN//
Rob_pos	dsdA//fadB//araJ//pspD//rutB//gatZ//glcF//paaX//caiT//exuR//ssuA//nikB//dsbC//fabD//evgS//yjhC//feoC//dnaN//mipA//oppF//alaC//metH//gltL//wzxE//tyrB//
RstA_neg	sbcD//dpiB//rutR//pspA//agaV//
RstA_pos	sutR//cysM//idnD//ssb//ruvB//
RtcR_pos	glnA//yiaM//
RutR_neg	caiB//hyfH//cspI//cyaR//fliI//malK//mhpE//yiaM//rob//yciG//sufC//lrp//infB//ompC//idnO//
RutR_pos	ugpQ//qseC//
SdiA_neg	fepA//alkA//ruvB//
SdiA_pos	hemL//rfe//gltL//
SgrR_neg	dmsD//rpsU//fliS//nhaR//gcvP//
SgrR_pos	metH//hyfR//fliH//xapB//
SlyA_pos	rffH//
SoxR_neg	fhuC//
SoxR_pos	rutD//flhD//
SoxS_neg	cyoB//zinT//
SoxS_pos	dctA//pstA//mlrA//pgaB//cadA//yeaR//argR//cynX//fucA//mngA//phnM//glpC//fhuF//gspM//galT//nanT//yeaD//glnD//tdcD//cydA//mdtB//ilvC//prpD//cysJ//nikB//mdtA//yecT//ydeP//uspA//allE//uxaB//trpA//sfsB//ygiC//ppsA//fbaB//cspE//hyfR//
StpA_neg	napB//fecD//ychF//moeA//hyi//ynfK//mprA//
SutR_neg	astA//rhaB//ccmC//nhaR//mazF//
SutR_pos	ydcT//
TdcA_pos	dgcN//baeS//hyaA//osmY//argO//casE//tehA//
TdcR_pos	asnC//yiaK//gspH//rtcB//trpA//rcnB//ftsL//
TorR_neg	pqiB//fixX//mhpF//
TorR_pos	agaS//ytfE//aroF//acnA//oppF//umuD//purB//glnP//mhpE//
TreR_neg	nadA//prpE//
TrpR_neg	ugpE//malS//dcuA//fliP//relE//metE//malQ//ttdA//caiD//potG//fliJ//phnP//
TyrR_neg	xylF//pheT//rbsA//trpD//nrfD//cysM//cueO//bluF//yciF//nuoK//
TyrR_pos	insK//kbp//tauB//
UhpA_pos	cysA//
UidR_neg	ttdT//csgE//galR//creD//
UlaR_neg	pgaB//dmsA//hybC//nuoF//glxK//pgpC//yhiD//
UvrY_pos	hyaC//aspA//ecnB//mlc//appA//
UxuR_neg	allS//atoB//alsB//fepB//leuA//creD//ydfX//exuR//deoA//
XapR_pos	rpiB//fruB//
XylR_neg	glpT//
XylR_pos	uxaA//leuC//leuC//htpG//ycjY//dicB//
YdeO_neg	mdtD//exbD//
YdeO_pos	intQ//sodA//fbaA//yecT//fdhF//stpA//rpoD//gatZ//betT//codB//dcuS//recC//fecC//ygiZ//yfiB//ddpA//treB//galE//gltI//
YedW_neg	focB//sbmA//pdeL//hybA//flgK//
YedW_pos	nanA//glgA//ycjG//sufD//sgbE//ddpF//ubiX//
YefM-YoeB_neg	murC//marR//
YefM_neg	ftsK//pdhR//
YehT_pos	araD//
YeiL_pos	gadB//
YiaJ_neg	nikE//dhaR//argG//torR//sulA//mgrB//fdnG//patD//paaE//aroF//
YjjQ_neg	relB//aspC//entC//exuR//ydhT//trpD//cpxA//edd//uxaB//tsgA//
YpdB_pos	rffM//
YqhC_pos	glmU//gspE//
YqjI_neg	potI//dinI//
ZntR_pos	insD//
ZraR_pos	rbsR//zinT//treC//
Zur_neg	moaE//sdhA//yjhC//ebgA//hycE//fruA//
