#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	nirB//yefM//
CpxR_neg	ydiU//sufE//flhB//ttdA//yhcH//cyoC//tktB//paaZ//aceA//tdcC//casD//hipB//ybdN//speA//bglB//accB//mazG//uvrA//paaH//cyoE//nimR//ybhL//pfkA//mepH//
CpxR_pos	sufC//ymgA//hypD//agaI//lysA//malX//adiA//ybjC//cusC//nrdH//accD//ptsG//sulA//ttdB//dgcN//phnN//gapA//ttdA//lhgO//gutM//fhuD//ydhW//rnpB//malP//bglF//hisQ//uidA//ppc//fecR//trxC//epd//atoD//flhD//trpB//hflD//ssuD//ybdN//gatD//yrbL//idnK//sufE//yccJ//fliD//mlc//hcaC//mgtL//
Cra_neg	leuO//melR//ydfH//hycH//rutA//fliT//fliI//micF//nmpC//btuB//btuB//agaA//stpA//glcC//lyxK//nagB//fucP//dapD//ruvB//phnD//yneM//hns//hyaD//grcA//nanK//rarA//casC//fadM//ugpC//fau//araD//wzc//hyaE//hybC//gcvT//asnC//yoaC//paaK//phoR//rnpB//phoH//seqA//poxB//ymiA//sufA//potH//carB//yqjI//uidA//casD//fliD//leuA//adiA//sufB//gspH//bioC//hha//ihfA//fiu//
Cra_pos	ulaA//artM//metR//nrfD//iclR//lrp//xylF//tdcF//gspO//accD//acrD//malK//hybC//bglG//gcvB//rpoE//moaE//xylG//aceB//ruvA//dinG//mepH//bioC//
CreB_neg	iscU//yhhY//entA//
CreB_pos	caiC//ydhX//
CsgD_neg	sutR//hyaD//alkA//speB//dhaK//qseB//rstA//cvpA//aceB//nirB//ygiZ//xylH//sdhC//uof//paaX//
CsgD_pos	hyfD//yfdX//ygiZ//gatD//lsrB//nimR//nagA//srlD//add//nmpC//yafQ//gcvA//gcvA//
CsiR_neg	flgM//wzzE//ydcV//metK//mtr//
CspA_pos	ftnA//fdnI//
CueR_neg	flgL//gcl//yciE//accB//nimR//
CueR_pos	deoC//trpD//
CusR_pos	cyoB//lpd//kdpF//ppiA//ddpF//yhjA//argT//glnP//hypB//leuA//napG//napB//
CynR_neg	cydB//
CynR_pos	leuA//yhiM//sulA//
CysB_neg	flu//crp//osmB//srlR//glmS//artM//ytfE//
CysB_pos	dsdX//mtlR//nanA//ygeH//fucI//ydeN//tauB//tpiA//flhB//cas1//ccmD//ynfK//cynS//fucP//glpQ//yegZ//rhaS//aslB//ibaG//gadX//dctR//yccA//araB//nanS//tbpA//
CytR_neg	aldA//tsgA//mglC//mtlR//yebG//pagP//citE//nikA//ynfE//sdhA//rdoA//norR//hycF//
Dan_pos	glpC//mngR//prpE//rhaD//
DcuR_pos	nuoG//gspC//sucD//oppD//tsr//araJ//feoA//acnA//galP//
DeoR_neg	phnE_2//fhlA//ddpD//fadR//pitB//phnN//
DhaR_neg	yjhC//
DhaR_pos	pgi//fhuD//uidR//
DicA_neg	ygiA//hcr//metK//iscU//mioC//casC//ulaA//flgI//
DinJ-YafQ_neg	glpF//ydbK//rybB//
DnaA_neg	yhhY//lysR//metK//glnQ//torD//atoB//glnA//ycgR//ydhW//nrfF//trpD//
DnaA_pos	hyfB//nhaA//yoaG//cyoD//yccT//cadB//artQ//
DpiA_neg	gatA//
DpiA_pos	rutR//glpC//fadM//yccJ//nuoE//idnO//ydiV//pck//fhlA//hyfE//
DsdC_neg	dcuD//
DsdC_pos	moaE//cecR//
EbgR_neg	hcaC//nfsA//
EnvR_neg	bioC//accB//
EnvY_pos	hyfD//dmsB//
EvgA_pos	yjjQ//caiA//rnlA//hcaE//fruA//fliF//ulaD//nrfD//sroC//purA//prpR//nrdD//pspC//dcuA//hyfB//xapA//hycI//ldtB//appA//
ExuR_neg	accA//treC//grcA//prpC//yagK//ubiC//seqA//nrdA//ppsA//
FabR_neg	amn//kdpC//
FadR_neg	fucA//yqaE//treB//gyrA//baeR//yhbS//lacY//hcaB//fes//yjhC//nagA//
FadR_pos	glgC//ybhR//gatB//hyaB//yhdZ//lpxC//flhD//ydbD//fixB//malZ//xylR//mdtA//
FeaR_pos	murQ//accC//
FhlA_pos	wcaA//nrdA//tktB//mgtL//napH//yiaN//fixA//nrdB//fecA//fliZ//hypC//gspL//gadX//trpB//rnlA//rarA//iraP//asnB//allB//wzzE//nuoH//yoaG//manZ//dnaN//pfkA//wcaA//alaS//napA//lhgO//nac//
FlhDC_neg	malQ//cysE//xylG//iscR//
FlhDC_pos	pdeR//atoA//ybaS//napA//arsB//cysA//malS//cysN//accA//pqiA//tauD//infB//lacY//nanK//ydcT//asnA//ynbA//cirA//pstA//yjiY//uxuA//mtr//agaI//metA//yqhG//rybB//higB//ssuE//ybdN//purC//gapA//nikD//psiF//fepC//citG//ydcU//nrdD//pgaD//pdeH//setA//napF//gpmM//lamB//fecE//mazF//mntH//fruK//ycgR//feaR//hybD//rbsB//crr//wrbA//napB//accB//csgE//ampC//entF//znuB//ulaC//casE//lolA//xylG//dgcC//cynX//yjbH//nrdI//uidC//uvrB//yjbH//dkgA//ynfK//gyrA//eda//yebG//gltK//yfdE//aroF//
FliZ_neg	paaI//entE//hyi//dps//yegH//pstA//ssuD//uxaC//flhE//ftnB//galE//flgF//sroD//malE//insD//ftnA//hcaC//lysR//ppdA//infB//cysE//
FucR_pos	pheT//flgM//araG//nuoM//prpB//gspE//bolA//
Fur_neg	nrdF//glnD//flhA//dtpA//yhjX//treC//deoB//wzyE//relE//flhC//ycgZ//rstB//thiP//phnE_1//flgC//norR//narJ//betT//glgP//yfiB//zinT//ycjX//glnA//phnG//arsR//omrA//baeS//ycjY//purL//osmY//yjbE//fucO//fliK//motA//argC//moeA//gutQ//paaH//uxuR//zinT//malY//accD//uspA//cdd//ttdB//araH//fnr//rfe//pspE//nuoC//nuoE//fruB//accD//fepE//ariR//norV//gudD//murR//betA//prpE//rtcB//cvpA//allD//pheT//fes//phoQ//hdeB//cynR//glpA//ddpB//patD//rffH//glgC//fepA//mdtF//garR//fadA//efeU_1//puuA//motA//yidL//codA//polA//fadL//argB//glpF//ppiD//glk//mazF//entE//sufD//csgD//tdcF//uspA//ygiA//ykgM//entA//purB//garR//ribA//nemR//malG//hyfA//fadD//hycF//ahpC//sbmA//atoB//cyoC//dapB//rplT//lacA//yegH//argB//patA//
Fur_pos	fruB//glpA//fadI//caiT//malX//sodB//tdcG//ynbD//araJ//ygiC//appB//dhaK//cusC//ftsW//ibaG//phoA//galM//tfaQ//yciG//argI//mpl//
GadE-RcsB_pos	gabD//hypE//pgm//iraM//sucA//gpmM//fliA//cysG//nanE//
GadE_pos	flgH//cysC//rffM//ppdC//wzb//garL//argD//ydcU//cysM//napA//ybhL//moaC//glcF//pheT//uxaA//cydD//ydbK//pgk//yeiL//manX//hycG//carA//mdtD//gudX//crl//agaR//dsdC//mhpT//argA//
GadW_neg	hemL//fucI//mglC//dkgA//rutA//cytR//isrC//malT//srlA//dcuA//ssuD//
GadW_pos	fucI//rutC//phnH//hypF//fur//cusC//galS//hns//glgX//mpl//ogt//
GadX_neg	nikR//mzrA//yjhB//ssuE//pgpC//agaC//
GadX_pos	phnM//cpxQ//nagC//gspG//lrp//zraR//caiD//galT//rnlA//asnA//yneM//agaI//fimE//mglA//flgB//emrB//ynbA//allE//cdd//glpQ//skp//pnuC//pyrC//araJ//cvpA//rtcA//nac//
GalR_neg	guaA//araH//lldR//ybiT//entF//tyrB//cusC//glcG//rutR//yafP//
GalR_pos	ppiD//gdhA//ybjG//pqiA//
GalS_neg	lsrF//fliA//argC//polA//dapB//ynbA//guaB//alsA//trxC//trpL//
GalS_pos	cas2//betA//glnG//qseC//
GatR_neg	phnC//paaA//rbsA//ygiC//lacA//deoD//
GcvA_neg	mgrB//ugpA//patA//cyoC//
GcvA_pos	ndh//yaiW//ydjM//znuB//
GlcC_neg	arsB//
GlcC_pos	yeaG//dcuD//paaB//dctA//oxyS//uxuB//
GlpR_neg	mglB//allB//srlB//tbpA//napB//glnG//malI//flgH//hyfH//
GlrR_pos	glcC//uxuB//symE//seqA//codA//
GntR_neg	rbsB//betB//hokD//ftsZ//astB//nadA//fliO//betT//gcl//tnaA//fliA//entH//
GutM_pos	yeaG//pagP//xylF//ydfX//garK//cpxQ//acrA//
GutR_neg	emrA//nuoB//srlA//yjbH//efeU_2//aroF//flgM//
HU_neg	astE//hyaA//gatC//pfkA//casA//ybdZ//spy//flu//
HU_pos	mhpB//
HcaR_neg	hdeB//
HcaR_pos	nfuA//ompC//citC//malX//torR//
HdfR_neg	glnQ//adiA//
HdfR_pos	evgS//nrdA//ygiC//
HigA_neg	nfo//uxuR//
HigB-HigA_neg	ybhG//recB//
HipAB_neg	purL//borD//dmsD//bioC//yhjC//
HipB_neg	tdcC//bdcA//ychF//cpxP//pepD//iscR//
HyfR_pos	cdaR//hyaA//exuR//astE//ahpC//dmsD//hipB//astC//cynR//lldR//relE//cusC//
HypT_neg	accC//chbG//ydhV//rhaD//moeA//
HypT_pos	bhsA//ppdC//ygaC//efeU_2//sroC//dhaM//flhC//yiaK//
IclR_neg	glk//fepE//aslB//yafO//
IdnR_neg	nuoK//baeS//
IdnR_pos	hdeD//flgD//sucA//gatB//mdtA//
IlvY_neg	adiA//
IlvY_pos	cueO//
IscR_neg	gadF//ycjX//cvpA//uspD//chbG//narK//sufE//bioF//ptsG//ygeH//tomB//ftnA//ccmE//fepG//psiF//rstA//nadA//efeU_1//metL//rnpB//gatB//
IscR_pos	dgcN//kbaZ//ynfK//sroA//phnE_1//trpD//sra//purN//mgrB//rpiR//seqA//
KdgR_neg	cynR//kbp//
KdpE_pos	dkgB//cydA//chbR//yjiY//
LacI_neg	ybjC//glmY//yhiD//
LeuO_neg	fecB//yfiR//hyfG//
LeuO_pos	flgF//mprA//fliJ//umpH//wza//sufB//edd//waaZ//gcvH//glcF//araJ//uspD//recF//nlpA//lacA//tauC//flgF//modC//
LexA_neg	hyaE//bioA//tehA//nanE//ydbK//ccmE//dsdC//evgA//asnA//ompT//metF//ygeH//dps//oppC//fepB//rutE//ycjX//csgD//mraZ//bioC//torA//uvrC//murE//rseC//rbsB//fepE//argA//yqjH//cusC//deoD//dmsC//dapD//nanA//yiaO//emrA//fabG//pspC//nlpA//molR_1//gfcA//aspA//yqjI//yjiY//ulaD//ybhG//entA//mhpE//lsrF//symE//ydfD//bamE//fhuE//rfe//yjjQ//cusF//sbmC//ymgA//nrdG//gadX//
LldR_neg	mepH//amtB//ftsZ//
LldR_pos	nrdE//malF//relA//
LrhA_neg	gadB//chbF//
LrhA_pos	rbsD//appC//
LsrR_neg	ddpB//dgcC//lyxK//cyoD//glcC//yjbG//trpD//lrhA//paaH//
LysR_neg	deoA//
LysR_pos	copA//
MalI_neg	sdhB//mraY//rhaA//
MalT_pos	bluF//malX//fliE//fabB//mhpA//acnA//dcuR//mglB//mhpB//ykiA//
MarA_neg	nrfC//ybaS//waaH//yfaE//zraR//aroF//flgG//
MarA_pos	rpoH//ptsH//mhpE//fepE//csrC//mdtF//slt//wecB//mazF//obgE//codA//icd//gdhA//ulaF//nuoC//ptsI//sbcC//pstB//araG//lsrG//bdcA//purC//gntU//malP//yiaJ//yjbG//glcE//acrZ//nrfD//tsr//fabZ//
MarR_neg	obgE//ycgR//recD//
MatA_neg	dkgB//phoE//artQ//baeR//entS//tehB//
MatA_pos	hyfF//tyrA//
MazE-MazF_neg	cpxA//murR//fldB//
MazE_neg	guaA//moaC//cas1//
McbR_neg	hns//
McbR_pos	fadR//hycB//glnA//
MelR_neg	fliS//caiF//csgF//
MelR_pos	fliP//hyfJ//nagB//
MetJ_neg	katG//napA//rob//bdm//waaY//nirD//pgaC//agaD//ribA//metF//moaD//pitB//metH//motB//argR//
MetR_neg	prpB//mpaA//
MetR_pos	sbmC//glgX//trpA//wzc//
MhpR_pos	fixA//guaB//hycA//ybfE//hycE//nlpA//
Mlc_neg	wcaA//garK//fecB//yjhB//ulaA//intQ//fabD//bioD//ssuB//yoeB//
MlrA_pos	hyfB//deoB//fldA//ymgC//moeB//galK//cspI//borD//galS//ftnA//
MngR_neg	wza//iscR//glnP//
MntR_neg	gspI//asr//tadA//ydfX//
MntR_pos	pheM//
ModE_neg	araG//appY//xylG//znuA//yebE//tdcC//thrS//hyaD//alsC//flgN//poxB//pagP//eda//pheM//putP//
ModE_pos	feaB//rdoA//gudD//citF//nuoF//prpD//dhaL//pflB//nrfB//nuoM//hemL//pflB//dps//ftsK//uidB//mntH//kdpF//yidQ//ftsZ//dnaN//hybC//dmsD//dinB//btuB//hycH//recD//frc//nikE//ydcS//ugpB//nuoG//
MprA_neg	ssuE//caiE//acrB//puuB//glnQ//glk//
MqsA_neg	yefM//bdm//mgtA//fabB//mhpF//tam//cynS//argC//
MraZ_neg	casC//dnaA//yfdE//puuE//yafN//micF//sgrR//uxuA//flgH//yidL//purR//cysI//dmsB//spy//allC//yefM//gspM//
MtlR_neg	rbsB//hypB//nfo//
MurR_neg	phnK//pgaC//nikC//
MurR_pos	malP//
Nac_neg	artP//hcaF//accA//ykgM//rclB//murD//ydeM//murF//lpxD//
Nac_pos	gltJ//fabA//ccmF//murG//glpF//seqA//chbG//yfbR//gutQ//nrfD//alsA//mzrA//
NadR_neg	tdcB//rhaS//pykF//glgA//
NagC_neg	iscR//hyi//modB//fbaA//aceK//pykF//fixX//polB//yjjQ//phnK//hyfH//rcnA//putA//dcuB//entE//lsrR//creC//ulaD//mhpE//phnD//nrfB//ydfW//xylG//putP//pstC//nrdF//phnO//ccmD//dnaN//ynbB//pyrD//fadI//caiE//
NagC_pos	slyB//yaiW//dsrA//
NanR_neg	speB//ydfW//agaR//casB//treB//yeaR//nuoA//ccmD//cusR//puuD//
NanR_pos	mntS//
NarL_neg	htpG//mipA//fadM//molR_1//nuoF//dcuD//fepC//sroA//fliJ//ada//nrfE//ogt//katE//alsB//fliM//yjjQ//sra//nadA//glpA//atoA//mngA//nlpA//ynfE//rbsC//nuoC//mgrR//ruvB//ynfG//motB//yedX//wzb//feaR//allD//guaB//sucA//ubiC//yhiM//entC//appB//uvrY//yhjA//galR//sufS//sucD//astA//ybaS//rpoE//lacZ//phnM//casC//alkB//fbaA//fpr//lysR//xapB//feoC//gadW//fliT//aceK//gntU//nrfB//sodA//hydN//puuB//acrZ//nanS//yebG//ynbD//creB//purN//lacZ//mhpT//ompT//pgk//dmsD//fepG//fabH//gloA//fhuA//cpxA//galK//ppc//ampC//yfdV//idnR//thiP//artJ//
NarL_pos	decR//dgcN//lrhA//rbsB//erpA//mhpB//glnP//agaV//yhjX//sroC//ccmG//waaH//rhaD//lsrG//lldR//kbaZ//paaJ//ydfE//fliQ//hybC//asnA//ycjX//ttdA//srlD//rpoH//skp//ykgO//mepH//motA//agaB//bioC//ynbB//glgP//flgH//rffC//ccmH//agaB//cysE//yjjQ//puuP//rseC//paaA//creA//
NarP_neg	mhpB//cytR//nirC//malM//phnO//lhgO//malM//ompT//ybhS//yaiA//argO//murE//appX//ygiC//creA//malM//lpxD//mgtA//cytR//gnd//cdaR//alkB//hybD//lpxD//uspA//dhaM//yfdV//flgI//asnA//oxyR//fpr//ttdT//nohA//
NarP_pos	allC//fadH//rclC//nrdH//focA//tolC//borD//fdnH//mqsA//nrdE//fruK//phnN//glpF//tehA//aroH//bioF//fliN//puuP//eda//yefM//metE//csgA//oxyR//pitB//metK//lyxK//nagE//citG//efeU_1//cysK//nikE//mlrA//
NemR_neg	kdpC//cysK//hyfF//
NhaR_pos	flgE//rnlA//appC//bamE//ubiA//adiA//osmB//
NikR_neg	thiQ//rhaS//purK//fadD//mglA//ydeM//
NimR_neg	psiE//hycH//
NorR_neg	ymgA//
NorR_pos	yafO//spy//
NrdR_neg	psiF//ydiU//rffM//ygbA//yccA//hyfG//ulaG//ybbW//nikB//
NsrR_neg	nrdG//puuA//yfdX//agaR//murF//galT//pspC//mgrR//gltK//sbmC//nanS//dsdA//fliP//nimT//galS//hybF//glmS//glpF//atoA//mdtC//csgA//yhcH//ygeA//yfdE//csgF//pncB//carA//hslJ//hyaF//metQ//trpL//araE//fabZ//nirC//uvrD//ibaG//leuA//hypC//ulaE//gudX//ulaE//norV//cydC//torD//casB//omrA//bamE//prpR//yeiB//evgS//phoU//ydhW//tdcA//iscA//yidQ//exbB//dapB//gatD//asnA//dhaK//gspF//srlE//hyfH//copA//rutR//sufD//mscM//tnaC//fecR//gadE//ompC//hycF//ebgA//micF//prpB//sufA//ddpF//zntA//tktB//glnA//qseC//alsB//metJ//
NtrC_neg	dcuB//uidA//rtcA//glpQ//ybhR//sfsB//
NtrC_pos	fimB//putA//gcvP//rplT//hybE//yegR//fucA//rbsA//feaB//codA//hcp//rfe//htpG//cspE//ycjX//ogt//dinI//mdtF//ptsH//melR//yiiS//emrY//xylB//ecnB//tyrP//psiF//trpL//crr//fadR//ppdA//zraR//uspD//flgI//rseC//gspJ//napD//glpQ//nikA//metI//rcnA//nagA//wecE//galK//yegH//rbsR//gadF//nirB//ygiA//flgM//
OmpR_neg	dhaK//hdeB//rcnR//wza//allC//uxaB//paaX//ygeH//rclC//yiaL//gspJ//sgbU//
OmpR_pos	dtpA//yjiY//nrdI//dkgB//intQ//uidR//citC//tsr//iscR//dsdA//
OxyR_neg	dsdA//hcaC//idnR//phnE_2//gor//ddpB//nohA//yecR//higB//wrbA//galT//ybjN//
OxyR_pos	fdhF//ygeH//mngB//cysM//mazE//ftsW//lolA//polB//nikE//uxuR//cynR//nrfD//cysI//csrB//sfsB//nuoE//serA//sbcC//csgG//polA//ynjI//treR//
PaaX_neg	flgG//fadI//nadB//rdoA//ygaC//rpsU//ygbK//flgN//argR//dkgA//hybF//metH//wza//phnN//
PdeL_pos	glmS//
PdhR_neg	accB//ycjY//deoC//dgcC//yecT//ymjC//phnP//evgA//fruA//fliI//frc//asnB//accC//uxuA//lsrG//gspE//cpxA//uspD//lsrR//lolA//allS//pstA//sufS//chbF//cas2//thrS//yfdE//yjhC//bioD//lacY//marR//tolC//acrR//galM//ccmH//ruvB//
PdhR_pos	recA//polA//napG//garL//nikA//
PepA_neg	osmB//cadC//yegH//
PgrR_neg	exuT//narH//manY//mhpC//add//gfcA//torC//frdC//
PhoB_neg	cusF//creC//ykgO//frdC//hybC//argG//gspK//aslB//fhuA//cysJ//znuC//exbB//
PhoB_pos	ftsW//ydiU//artJ//aceF//hybG//glnQ//galE//cadA//deoB//phnN//gspE//uidR//galT//yhdZ//chbA//psiE//recX//hdeD//ppdB//carA//yegR//crp//rimK//phnO//znuB//rseB//hcaE//dinJ//yjjQ//tyrA//ydhY//phoP//pgm//yciW//fdnI//narH//aslB//idnD//manX//ynfF//mhpE//tam//uhpT//fabA//malZ//tsgA//mhpD//sbcD//hycD//ydhV//hyaD//gltI//nfo//
PhoP_neg	ppiD//cspD//yjbE//nagA//nusA//atoA//patD//lsrF//nuoE//nrfF//hslJ//
PhoP_pos	sbmC//puuB//bioC//mntP//lolA//pncB//kdpB//yefM//fliL//ytfE//flgD//puuA//phnD//rhaB//fliQ//yecR//idnT//malP//cyoC//metR//yiaN//hokE//lacY//lsrD//yccA//ccmF//metN//rutA//malK//sucD//glpF//caiA//hydN//pqiB//glk//cpxQ//gadF//puuP//glnD//aceA//yiaL//mtlA//malZ//pdhR//cusB//entC//nlpA//purK//
PrpR_neg	paaA//
PrpR_pos	ycjX//dnaA//ydfW//glnA//
PspF_neg	glnL//
PspF_pos	nrfB//yciW//ppdA//xylG//nuoE//sdhB//
PurR_neg	feoB//tdcB//fdhF//galS//uxuR//cbl//araG//uvrY//glpQ//rcnR//fliS//rsmH//ahpC//lexA//yiaK//murG//cysI//sbmA//ubiX//rybB//speA//ydhT//ynjI//araJ//speB//hyfG//pstB//wecC//fbaB//lpd//nuoG//
PutA_neg	fucA//murE//
PuuR_neg	glpQ//evgA//alaS//gadX//citE//uidA//insD//
QseB_pos	yefM//mtr//ybbW//nrfE//
RbsR_neg	nanM//nanK//malM//manX//csgA//ydfN//hyfG//artM//
RbsR_pos	cysI//
RcdA_neg	ynfH//hisJ//
RcdA_pos	nrdF//agaR//trxC//nadB//purF//dsbG//xylG//
RclR_pos	rpmA//sgbU//ydfX//
RcnR_neg	betI//dnaA//ulaB//
RcsAB_neg	mglB//ahpC//gcl//fucI//yafQ//sufB//
RcsAB_pos	ydfH//flgJ//nanS//fbaA//nrfE//ykgM//hyfH//gutQ//betA//ldtB//
RcsB-BglJ_pos	nuoF//uspA//araC//rclA//alkB//aceF//dhaR//purC//tisB//zraR//dhaL//flgH//fliR//hemL//yiaK//napD//
RcsB_neg	glpC//amtB//
RcsB_pos	yciE//narJ//trpA//argD//borD//ubiC//rcsA//astB//cysG//ptsG//flhA//cbl//hyaA//ynbC//nohA//uvrD//acrB//fixB//paaG//fecA//allC//malF//oppC//
RelB-RelE_neg	carA//tyrA//yoaG//
RelB_neg	ydhV//manX//accB//
RhaR_pos	ddpA//asnC//
RhaS_pos	rpoS//puuE//ftsK//ycgZ//lyxK//lrp//
Rob_neg	fucA//
Rob_pos	gadW//sucA//folA//srlE//xylG//hycB//treB//glcE//paaI//hybD//tehB//tdcB//tfaQ//betB//napF//oxc//lsrA//phr//hypF//dcuA//dcuS//sbmC//hcaC//wzyE//fecI//
RstA_neg	ptsG//cydD//yiiS//hcaR//cydB//
RstA_pos	mazG//nagA//yccJ//fau//recA//
RtcR_pos	uidC//asnC//
RutR_neg	glnH//agaD//iclR//pqiB//fliC//dinJ//ftsW//uidB//nuoH//cdd//agaS//csgC//thrS//garL//ryhB//
RutR_pos	argG//phnN//
SdiA_neg	hipA//mngR//entS//
SdiA_pos	tam//ccmC//btuB//
SgrR_neg	nirC//mtlR//cheW//dcuS//dsdC//
SgrR_pos	kdpF//gcl//rbsD//pepD//
SlyA_pos	hypD//
SoxR_neg	aspC//
SoxR_pos	ecpA//psd//
SoxS_neg	alsB//hcaB//
SoxS_pos	xylH//crl//isrC//trpR//glcA//nrfG//argO//metK//patA//asnB//gltB//mhpC//gdhA//argI//adhE//casA//kdpC//ydhV//phoP//putP//yhhY//hmp//entE//leuA//pagP//focA//zwf//araB//mtr//fabA//ftsQ//nemR//ssuE//fabD//csgB//uvrA//ydeI//rbsB//
StpA_neg	mdtD//cydB//nrdG//skp//cynT//tdcF//recX//
SutR_neg	icd//asnA//ftsI//puuE//ugpE//
SutR_pos	mazG//
TdcA_pos	creD//ybjN//gutQ//treR//cysC//recC//cysC//
TdcR_pos	pgaC//napC//flhE//hcaE//bioA//leuB//betT//
TorR_neg	ydfN//ompC//gspI//
TorR_pos	mnmG//fnr//phnH//gspI//ldtC//aspA//marA//yhcH//rnlB//
TreR_neg	relE//ulaD//
TrpR_neg	rffH//rutF//paaC//mhpF//mscM//chbB//ydhW//hyfE//moeA//hisP//ugpQ//hisM//
TyrR_neg	yciG//hycA//ykiA//mepH//wecE//argR//hha//bglF//narG//agaI//
TyrR_pos	higA//flgF//motB//
UhpA_pos	symE//
UidR_neg	ilvY//ugpE//narX//dapD//
UlaR_neg	tnaC//ascF//ydeI//seqA//fadR//ascB//decR//
UvrY_pos	dinQ//glgP//yeaD//hcaR//rybA//
UxuR_neg	potI//malE//cynX//ebgA//yciE//citF//nirC//metL//tauB//
XapR_pos	adhE//waaH//
XylR_neg	moaB//
XylR_pos	bioF//tyrP//astA//mntH//pflB//fadL//
YdeO_neg	aroF//ygbK//
YdeO_pos	ppdB//argI//uidB//flgL//nagC//dkgB//aldA//bioC//puuA//dmsB//rbsB//dcuA//yhdZ//trpC//tisB//pnuC//araH//purH//cysU//
YedW_neg	amtB//yciW//wza//cysJ//rcnB//
YedW_pos	metY//kdpB//yhbT//idnD//fadD//mazE//aroL//
YefM-YoeB_neg	alsB//thiP//
YefM_neg	nac//ynfK//
YehT_pos	dmsD//
YeiL_pos	mntP//
YiaJ_neg	casB//rhaD//cysG//paaZ//hyaD//feoB//acnA//wecE//narH//paaZ//
YjjQ_neg	flgM//prpR//tyrB//yecT//ftnB//cheA//flhD//ftsI//ynfF//flgM//
YpdB_pos	deoB//
YqhC_pos	recN//tauD//
YqjI_neg	waaZ//hypC//
ZntR_pos	mtlD//
ZraR_pos	ldtD//cysP//hydN//
Zur_neg	aslB//umpH//nfsB//aroF//spy//fliQ//
