#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fhlA//gadF//
CaiF_pos	cpxA//fliR//dcuA//sdhB//ybjN//dhaK//gspD//yiaK//ymjC//ybjC//
Cbl_pos	fadD//slp//yaiA//fliS//flhB//fucO//dcuB//dgkA//motA//
CdaR_pos	dcuB//srlB//melA//hyfE//murP//nikR//casA//torC//mqsA//yfdV//
CecR_neg	rseC//hyfA//frdB//oxyS//csgE//
ChbR_neg	osmY//nrfE//gadC//rhaB//idnK//hyfJ//
ChbR_pos	cysC//qseB//deoD//narI//fliA//nikA//
ComR_neg	ygaC//
CpxR_neg	tdcA//fnr//pdhR//fliT//garP//nrdE//metQ//fecD//frdA//yhjC//oxyS//argT//yneM//leuA//gnd//mntH//uxaB//napD//zwf//cpxA//araE//paaF//pspC//glnA//
CpxR_pos	rbsR//umuC//cysA//hyfG//flgD//nuoH//yccT//fliZ//relE//fabI//ppdC//glgB//cysC//dsbG//sgbU//sgrR//putA//inaA//ugpE//decR//purK//mpaA//glnA//bluF//gspF//purC//grxD//hcaB//nupG//ogt//trpR//ydeN//sucC//mqsA//glmU//aroP//sufC//fepD//gcvB//fiu//ppdC//rpiB//phoA//crr//nfuA//flgD//
Cra_neg	flhB//hcp//hflD//fruB//narX//nrdE//tdcF//glnB//csgF//fliL//dpiA//argE//betI//paaZ//tbpA//amtB//nuoK//dapB//chbC//fliZ//fhuF//gadW//gadB//tnaB//nemR//ung//nanC//nuoK//dsdX//yoeB//flgD//dps//yncE//uvrD//purR//dhaL//leuO//ybdN//lon//agaS//ascF//phoA//potI//trxC//lsrG//insK//accD//nanC//yhdW//leuL//nrfC//folE//rdoA//rutC//hybG//lon//mazG//ulaF//nuoB//
Cra_pos	bioA//hycG//puuB//ruvA//ptsG//citX//yqhD//marA//glpX//araE//tyrR//mzrA//ssrS//metY//ccmD//soxR//lsrB//acnB//glpK//hisM//hflD//cusC//thrS//
CreB_neg	paaJ//fliZ//spy//
CreB_pos	ynbB//rffC//
CsgD_neg	rbsR//zraP//pstC//torD//fpr//gspM//dctA//yibQ//fadJ//glpA//pspB//araC//ung//tdcC//yafP//
CsgD_pos	ptsG//phoP//caiB//guaB//uvrY//zinT//agaC//creB//osmY//gspL//pck//mngA//sdhC//
CsiR_neg	norV//torA//mipA//yhiD//srlA//
CspA_pos	fabI//paaJ//
CueR_neg	tisB//wrbA//pdhR//ftsA//creB//
CueR_pos	mioC//kdpC//
CusR_pos	ykiA//ndh//rutA//acrA//hyfG//pheT//cysD//uvrD//trpC//araE//hyfE//puuD//
CynR_neg	argE//
CynR_pos	nuoL//sgbE//glmS//
CysB_neg	uvrD//rdoA//malM//obgE//rpmI//csgA//citD//
CysB_pos	rpmI//hybF//feoB//rbsC//cheW//gatA//copA//nemA//ynfE//focA//creA//rutB//nirC//yfiB//feoB//hyaB//arsC//ebgA//dicC//sufS//yrbL//srlA//pdhR//ugpE//qseC//
CytR_neg	lsrA//efeU_2//nagC//hokD//ftnB//flhA//yccT//wzzE//hypF//lsrR//nuoG//gor//phnI//
Dan_pos	caiA//cynR//gntP//casD//
DcuR_pos	napF//aroM//omrB//mqsR//zinT//glk//dcuR//rsmH//argE//
DeoR_neg	feaR//sdhA//argG//malI//yeaH//fixB//
DhaR_neg	flhB//
DhaR_pos	yoeB//yjhC//gadY//
DicA_neg	cysH//hypF//xylR//deoB//rpiR//purC//kbp//lamB//
DinJ-YafQ_neg	lsrA//citG//araB//
DnaA_neg	arsR//psd//hybG//cytR//tauC//mdtB//ynfG//adhE//ybdN//nikE//ybaS//
DnaA_pos	rplU//sufD//talA//garR//frdC//moaA//mgtA//
DpiA_neg	ulaC//
DpiA_pos	cpxR//codA//pdeR//yeaG//codA//ybbY//kbp//csiD//glpX//ycjY//
DsdC_neg	yiaN//
DsdC_pos	nlpA//gltK//
EbgR_neg	artM//rstB//
EnvR_neg	cydD//yegH//
EnvY_pos	hokD//pqiA//
EvgA_pos	uvrA//malG//fliM//ydcU//pnuC//ugpB//atoE//ycjG//paaE//creD//glnL//cysK//ycjF//cheW//csiD//uidB//caiT//appA//cusC//
ExuR_neg	cspE//ttdA//putA//ibaG//folE//ompN//betT//mscM//tdcE//
FabR_neg	nrdD//gltD//
FadR_neg	rpiR//oppA//potF//rutG//lhgO//fliQ//mdtD//glyA//fruK//nrdI//yiaL//
FadR_pos	ribA//dicC//fucA//yagK//tyrP//gutQ//dnaG//ddpA//ycjX//mngR//idnD//alkB//
FeaR_pos	exuT//ykgM//
FhlA_pos	narJ//ulaG//hisP//evgS//pyrC//fhuF//frdC//fur//rnlB//yhjC//hlyE//napA//lpxC//norW//prpE//slt//paaA//nanT//rplT//puuB//glpX//accD//yiaK//potI//glpC//flgF//hycD//lpxC//pdeL//tisB//
FlhDC_neg	glpC//rybB//pgaB//yqjI//
FlhDC_pos	napA//potG//yhbT//ynjI//prpE//fimB//kbaY//gspC//feoA//ydcS//gadA//tehA//deoD//pepA//mdtB//phnO//nfsA//hycI//garK//frdB//gntT//pgaA//leuL//ssuB//mazE//fecI//wcaB//hdeA//higB//mglA//fdnI//fliG//ygiZ//mazF//flhA//pspD//narH//patA//mtr//bioD//tnaA//cusC//ydcS//artJ//prpE//asnC//slp//hycG//ppiA//dgcN//ulaB//casB//flgJ//agaA//cysE//ung//ccmH//lamB//puuR//gadY//cpxA//cysB//dctA//uidC//intQ//ygdB//rprA//caiE//sdhA//nikB//hisQ//chbF//fdnG//trpD//focA//appC//soxS//dnaN//
FliZ_neg	sufA//dcuS//gadC//glpD//acrZ//lysP//napC//rarA//dmsC//metE//yeaH//glpC//uidA//nlpA//alkB//dcuA//ihfA//sucB//xylR//chbR//lsrC//
FucR_pos	pspC//agaD//yafO//metR//purL//alaC//narX//
Fur_neg	melB//glcF//agaA//ydfH//sbcC//lhgO//yhcH//dapB//xylB//oxc//nanS//cusR//nuoE//pykF//mlrA//rbsR//appY//argI//tam//rprA//dkgB//cas2//rstB//decR//yafP//pheS//aroH//srlR//pdhR//mltF//nanM//csgF//tonB//glcF//ldtB//cusB//kbaZ//hcaR//yhdW//citF//flhE//araF//sufD//ccmF//trpD//metL//accC//ybhS//cusC//ttdT//polA//deoA//thiQ//iscA//yqhD//yhbT//ecnB//recD//tauB//wzyE//dinJ//cueO//bglB//tdcG//nhaA//nuoC//cysA//dpiB//speA//dinF//hcaE//rpoH//metR//yqjI//fabG//rbsB//ygeH//hyaC//ymiA//phoP//nuoA//acnA//mscM//mglA//nikC//narL//torA//uvrC//gabD//rdoA//fes//dgcN//aceA//dicC//pykF//ssuD//argA//paaD//caiT//hcaB//pstA//btuB//flgB//adhE//ycgR//flgK//mtlR//envC//yibQ//nrfE//nuoN//dcuS//yjiY//rcnA//ftsA//
Fur_pos	ygeH//fliZ//nanM//mpaA//potG//gabT//trxC//garK//ompT//ftnB//hyaD//fabA//tauC//ybbW//ygiA//purC//fadJ//iscU//oppB//phoP//slyB//
GadE-RcsB_pos	uvrY//rffG//rclA//malE//udp//fpr//yafO//metK//hyfG//
GadE_pos	bioB//ytfE//hyfG//glcB//hyfR//cusF//rimK//hcaB//csgG//napB//cpxA//bamE//ppdB//cysJ//ecnB//wecC//agaB//sulA//gutQ//bamE//appY//leuB//lamB//flgH//cvpA//fadH//slt//phnM//sgbE//
GadW_neg	ynjI//metY//accC//acrR//pgpC//lysR//yhbS//mepH//yaiA//rpmA//gcvH//
GadW_pos	micF//dhaL//garP//patA//fliI//dinD//dcuA//lsrG//metE//feoA//pncB//
GadX_neg	bluF//alsE//arsC//mhpD//glxR//citG//
GadX_pos	fabD//fliJ//argT//ytfE//gudD//nanS//cynR//flhA//ycjG//pgaA//gspO//rybB//fixC//gor//sroA//oppD//yidL//decR//codA//cyaR//dinJ//pgaA//speA//fecB//psiF//argG//bioA//
GalR_neg	ymiA//leuC//bioF//emrK//gntX//cyoE//yhdZ//nagA//tktB//rffH//
GalR_pos	xapB//mscM//citG//glgC//
GalS_neg	yegZ//acrZ//ecpR//fadM//gcvA//nuoG//frdB//dinB//phoA//hyfC//
GalS_pos	argE//asnB//dsbC//kdpA//
GatR_neg	pspE//purB//tnaC//bacA//fucO//agaV//
GcvA_neg	glnG//bhsA//ttdR//fucI//
GcvA_pos	ldtC//relB//gltD//yfiR//
GlcC_neg	leuL//
GlcC_pos	hdeD//gltD//uxuA//aroG//glmS//yjjQ//
GlpR_neg	manX//efeU_1//yjhC//rutD//ssuA//metC//hdeD//hipB//pstA//
GlrR_pos	sbcD//cyoB//dicB//glnQ//rclC//
GntR_neg	galS//dhaR//pyrC//tyrA//ydhV//phoB//dnaA//ybhR//ugpE//nadA//prpC//nuoK//
GutM_pos	artJ//allE//cusF//phoR//mepH//purR//chbB//
GutR_neg	gspD//cusF//nimR//tolC//speB//yjbE//manX//
HU_neg	metJ//recD//ubiX//entS//fliQ//gpmM//nirB//argA//
HU_pos	murC//
HcaR_neg	mhpA//
HcaR_pos	aidB//ydeO//nemA//purA//kdpA//
HdfR_neg	metJ//fpr//
HdfR_pos	srlE//ftsQ//mepH//
HigA_neg	efeU_1//lsrG//
HigB-HigA_neg	nadA//flhD//
HipAB_neg	yidQ//galP//cysD//paaY//ecpR//
HipB_neg	hypF//cadB//ulaD//fixA//yeiB//malK//
HyfR_pos	sufB//fabA//waaY//cysM//slyB//hipA//dinF//aceA//hisJ//flgA//frc//fadI//
HypT_neg	dmsB//bolA//gspE//nrdA//nanK//
HypT_pos	decR//gudX//nagE//stpA//tdcG//sufB//purH//dgkA//
IclR_neg	xylF//nirB//lsrG//deoC//
IdnR_neg	ldtD//gntU//
IdnR_pos	rprA//psiE//ddpX//exuR//idnT//
IlvY_neg	yccT//
IlvY_pos	yeaG//
IscR_neg	yegZ//rseA//mdtA//gltF//erpA//emrY//casC//sucB//trxC//uvrY//tdcA//flgF//ymjC//mdtD//phoH//wzzE//ptsG//yqjA//oppB//ldtC//rclC//
IscR_pos	thiQ//araF//purA//fucI//ynbC//lldR//alsE//murE//uvrC//nhaA//speA//
KdgR_neg	mhpD//tnaB//
KdpE_pos	ygbK//astA//katG//garP//
LacI_neg	feaR//dcuA//puuD//
LeuO_neg	sroD//lysA//fhuA//
LeuO_pos	paaJ//iscA//accA//xylF//tcyJ//yebE//cysN//fhuA//cusC//rimP//yqjA//glnD//flgA//cadB//paaX//glnQ//metL//yhdY//
LexA_neg	phoU//nuoL//gspD//bioB//asnB//ygiB//napB//argI//pspE//hycD//ssuD//mglB//gutQ//betB//purD//tfaQ//luxS//ybjN//mngB//folE//emrA//argI//sucA//glpA//ybbW//potF//yagK//modA//dmsD//nagB//gntT//rbsK//alsB//paaH//hemL//gapA//gcvB//ynbC//ymgA//rpsO//znuC//gntP//cadA//nuoG//tdcE//tonB//napF//modB//dpiB//yciE//fixX//yiaJ//ahpF//fecI//casE//ydiU//agaV//glpD//idnT//
LldR_neg	ftnB//accC//polB//
LldR_pos	lysA//flgI//ybdN//
LrhA_neg	rutA//flgM//
LrhA_pos	ycjY//ydeO//
LsrR_neg	nupG//gspL//gspG//flgA//hha//acrR//ydfX//ybdN//bhsA//
LysR_neg	ygbA//
LysR_pos	waaH//
MalI_neg	lon//kbaY//asnA//
MalT_pos	focB//fadH//mdtC//cysB//mtlR//eno//mglC//arsB//mlc//uvrY//
MarA_neg	araF//nirD//cadA//guaB//hipB//feoB//srlE//
MarA_pos	yfbR//hcaD//hyfC//dinD//rnlB//chiP//nuoB//pepA//alaS//ldtD//wzzE//malE//phnF//frdA//phoQ//envC//aspA//glgB//creA//gadB//fucP//glcF//fabG//putA//setA//manX//fepG//ybjN//erpA//amtB//argD//
MarR_neg	fliN//cysP//murR//
MatA_neg	motB//malP//srlA//dctR//dnaA//gntX//
MatA_pos	phoE//ftsA//
MazE-MazF_neg	gloA//trpD//mprA//
MazE_neg	ompF//mraZ//leuL//
McbR_neg	fliN//
McbR_pos	fepG//moaB//garD//
MelR_neg	sutR//narJ//ppdB//
MelR_pos	yeaR//murC//nrdA//
MetJ_neg	rfe//rutD//hns//cspE//yefM//evgS//rnpB//acrZ//ygaC//mazF//motA//hcaF//wzxE//purA//appX//
MetR_neg	ygbA//glpQ//
MetR_pos	argF//hyfJ//pgaA//nrfD//
MhpR_pos	tauB//kdpB//araJ//sdhB//aslB//cspE//
Mlc_neg	yjbE//ugpA//tyrB//glxR//iscR//dnaA//katE//hybF//hycC//cysP//
MlrA_pos	araH//ycjY//dapB//rutE//paaA//yecT//uspD//argC//dctR//fhuC//
MngR_neg	dcuS//aroM//patD//
MntR_neg	entE//puuC//malI//nrdA//
MntR_pos	uspD//
ModE_neg	deoD//csgC//patD//mntH//flhB//yfdE//nimR//uspE//sgbH//chbG//ybhL//yciG//nrdH//caiE//ttdA//
ModE_pos	rnlB//pgpC//soxS//nrfG//cspE//putA//appX//sucB//cyoA//allB//ulaA//wcaB//ebgC//bdcA//ecnB//yhdZ//ccmF//feoB//hyaE//fhuC//lyxK//srlR//gltD//cas1//yncE//yiiS//purF//fruB//ppdB//nuoL//tdcF//
MprA_neg	yhiD//ygaC//symE//yjbG//ibaG//prpE//
MqsA_neg	frdD//mdtB//ydhT//rffC//yhbS//baeS//purR//caiD//
MraZ_neg	putP//oppB//ada//tam//moaC//idnD//uvrY//yqaE//dinQ//gpmA//cheA//dgcC//rutD//dgkA//zwf//fliJ//sgbU//
MtlR_neg	gltI//entC//ftnA//
MurR_neg	mngB//tnaB//nadB//
MurR_pos	ydcU//
Nac_neg	rybB//spy//modB//rybB//yeiL//phnP//ycgR//crp//argO//
Nac_pos	rbsD//higB//nuoL//hypC//glnP//chbB//glpD//talA//psiE//xapA//prpC//wzc//
NadR_neg	ssuC//emrA//focB//pspD//
NagC_neg	ulaB//ccmC//rutG//phoR//rpiB//pstS//lldR//yccJ//rutF//ihfA//mzrA//bglB//nuoM//lamB//wecE//yrbL//nrdF//gcvB//gabD//ccmE//feaR//adiC//gcvH//ydhV//ebgC//srlE//znuC//relA//nhaA//flgK//yqaE//xylR//cspD//
NagC_pos	appA//cheW//garL//
NanR_neg	ssuE//emrA//narH//hyaF//cirA//mcbA//evgS//idnO//pspG//potG//
NanR_pos	ibaG//
NarL_neg	yafQ//fdnI//rpmA//eda//trpC//dhaM//fhlA//agaI//entC//oppF//hypB//nrfA//fadM//sgbH//glgA//dinF//napF//tauD//ynfE//glgB//tyrP//recA//casB//hypC//nhaA//hflD//mipA//dsbG//pflB//gltL//murP//fruB//mhpC//lysO//uhpT//hcaE//uvrC//lldP//sbcD//malQ//modA//zraS//flhA//cydD//ftsW//gntU//artM//modA//recD//mlc//atoD//hisQ//rbsD//malI//araG//hycF//ryhB//yegR//tdcE//gltD//pagP//ssrS//metH//fliC//mqsR//fecI//hemL//carA//hha//ydcU//lsrK//ydhV//recX//nuoA//nanT//fhuA//glpF//yqaE//cyoD//aceE//ybaT//yafO//ydeO//kdpA//galK//hcaF//gadE//
NarL_pos	ygiA//rutB//argP//rbfA//casA//alsA//idnK//hyaE//hycB//garK//sucB//phnI//feoA//treR//argI//dkgB//cysJ//atoB//nfo//nfsB//lhgO//rpmA//uvrD//gapA//tomB//lon//ada//oxyR//dsbA//malX//garD//cysJ//yhiM//mglA//ihfA//carB//malZ//moaD//evgS//hcaR//sufD//araG//adiA//
NarP_neg	dgcZ//ascF//mprA//artM//dapD//tyrA//citX//fruK//cecR//ddlB//malF//fhuE//efeU_2//arsC//flgK//yccJ//gapA//yegR//xapB//bamE//torC//iraP//yafP//gadF//purA//folE//ugpB//degP//gspE//araC//zinT//yciW//nuoL//
NarP_pos	adiA//citE//fixB//narH//rpoS//entC//pfkA//mdtC//nfuA//fucU//rhaT//eda//isrC//lsrF//bioF//folE//cadA//yjbE//hyaD//trpC//dcuR//yeaR//alaC//nrfD//ybjN//sufA//glxK//intQ//appX//rpsO//ebgA//ygiB//
NemR_neg	mpl//sufC//nimT//
NhaR_pos	leuA//phoU//yegZ//baeS//mhpT//csgG//yjhC//
NikR_neg	hybB//nhaA//glpB//molR_1//rffG//hcaC//
NimR_neg	gatB//hyaB//
NorR_neg	chbA//
NorR_pos	ybfE//gudP//
NrdR_neg	polB//metK//pitB//aroG//recB//appX//nuoH//gspH//pheT//
NsrR_neg	tsr//gltD//iraM//rffG//leuO//yciE//spy//nanT//glnK//gudX//hcaC//pgaA//yidL//stpA//flgB//pdeR//xylR//yjbH//nikC//fadH//ldtC//alsC//gloA//rseC//rhaB//glnP//phnE_2//srlD//yafN//hisM//ybdZ//yoaG//rbsR//relA//nrfG//ybjC//motA//aidB//idnO//cysJ//araJ//omrB//fadH//metK//pspG//cyoE//astC//rbsD//ssuC//allS//acrR//fliI//katG//malZ//ccmD//folA//rutG//ftsL//tehA//rimP//yhdZ//uxuB//umuC//nuoN//ftsL//mgtL//cysP//hyfI//aldA//puuR//focB//gspE//nrdI//yegH//accC//rybA//hcaC//folA//rseB//rpiB//ribA//ddpB//araE//
NtrC_neg	nuoA//ykgO//glgA//fur//gspJ//metI//
NtrC_pos	flgL//malQ//acrD//ndh//moaC//tynA//ybhL//nrfB//paaK//cusB//xapA//fliH//rseC//ung//gspC//purL//wzzE//gatZ//alsC//alaC//oxc//hisM//metR//torC//fliR//treC//iraP//malK//hyfJ//ygiA//astA//rbsA//baeR//amtB//yfbR//mhpC//uxuA//recN//glnH//edd//ydiU//lysC//cysA//cytR//norW//entB//infC//gadF//pflB//
OmpR_neg	ygeH//creB//kdpF//sucB//sgrT//ybjN//argB//glnG//gadB//ftnB//bdcA//cyoA//
OmpR_pos	rpsO//ynbB//guaB//fecA//glgB//galR//gudP//chbF//accB//frdA//
OxyR_neg	citG//glnD//glnA//flgC//fadR//fucO//galE//leuD//nrdA//galM//amtB//patD//
OxyR_pos	ssuC//asnA//nuoJ//torR//ulaB//mgtL//recD//astE//ssuB//fldB//cdaR//patA//ibaG//polB//srlA//cynT//trpL//ftsL//dgkA//rclB//fliK//waaY//
PaaX_neg	ynfH//ynbD//dnaN//efeU_1//ydeO//gspH//glnP//talA//paaA//spy//zraR//ulaD//idnT//appB//
PdeL_pos	ddpA//
PdhR_neg	cyoD//artP//ddpD//hyfR//sfsB//aceE//rplU//ssuE//uhpT//sdhA//tsx//yedX//malF//ssuC//rseC//trpR//recX//fhuB//ftnA//focA//phnE_2//mscM//ddpF//hisQ//dcuD//phr//ddpB//dapB//uvrC//fliK//osmY//paaC//csrC//slp//cysN//rutE//
PdhR_pos	nupG//pstA//gatC//nrdG//rclB//
PepA_neg	fliS//pheM//ybjG//
PgrR_neg	gntP//pck//pepA//fabD//xylA//qseB//araE//glmS//
PhoB_neg	tolC//ydhT//ybjC//phnM//phnO//feoC//ftsK//asnC//emrA//truB//ydeP//cpxR//
PhoB_pos	tyrB//degP//nagE//rplT//leuO//mazG//malF//nuoC//oxyS//fliD//gabD//iscS//umpH//recB//add//gapA//lysP//cpxR//sgrR//tyrR//trpA//micF//napC//csgE//mgrB//thiQ//mdtF//nuoB//ybiT//ubiA//lamB//qseB//cpxR//ldtD//astD//infC//murR//yoaG//glpQ//seqA//ybhG//fucK//tdcD//glnP//polA//asr//csiD//yiiS//sbcD//purB//malK//ydcS//ydeN//
PhoP_neg	glgC//ymgA//talA//wcaA//ndh//argG//pgaB//yjbF//tcyP//tynA//pstC//
PhoP_pos	murR//yiiS//hypB//napD//galP//feoC//dcuD//flgG//betT//uvrC//ymgA//nemR//gadW//uidA//fucR//speA//gspO//cyoC//arsB//eno//fucK//ssuD//bioA//astD//norV//phnC//manZ//yqjI//hyfF//ygeH//pheS//nrfG//exuT//allB//prpE//lolA//gspG//ftnB//hisJ//uidA//ybaS//thiQ//hybO//manX//entD//nikE//asnB//tonB//
PrpR_neg	lldP//
PrpR_pos	add//oppD//katG//kbaY//
PspF_neg	recC//
PspF_pos	fadJ//cysC//ptsH//insK//carB//lpxA//
PurR_neg	rffT//arsB//hisQ//yhbT//ybhF//mipA//lolA//csgE//sgrS//ung//wzzE//ycjF//ssrS//fepD//cpxP//srlB//fbaA//nohA//idnK//lsrC//hyfG//entA//rhaR//fliE//obgE//katG//fldA//ugpB//tdcB//gpmA//skp//
PutA_neg	ptsI//oxyR//
PuuR_neg	lysO//bioC//gltI//mqsR//rutR//fepC//yhdX//
QseB_pos	ugpB//mglC//puuE//metK//
RbsR_neg	cusA//csgD//fabA//rimK//purR//chbA//fdhF//tdcF//
RbsR_pos	nrdI//
RcdA_neg	iraP//phnI//
RcdA_pos	metQ//slt//hyfR//yfdX//fadR//pyrC//oppC//
RclR_pos	yrbL//rhaB//crr//
RcnR_neg	gltJ//mprA//gltK//
RcsAB_neg	yrbL//purC//agaA//fepG//hisM//csrC//
RcsAB_pos	htpG//ybaT//rsmH//pspG//tdcE//puuE//idnO//nimT//trpB//qseB//
RcsB-BglJ_pos	yeaR//torA//ybjN//gutM//ygiZ//cysA//paaK//lsrB//ulaC//arsB//kbp//alsC//fau//yhjX//fecR//mglC//
RcsB_neg	fldB//ung//
RcsB_pos	umpH//rbsR//ihfA//pgm//sroA//xylA//nirB//dkgA//nuoG//uxaB//creA//fbaB//ydjM//nrdI//rbsR//caiD//galT//nuoH//nfo//garP//tonB//yneM//glnQ//
RelB-RelE_neg	hcr//murF//tdcC//
RelB_neg	ydhY//pspB//ddlB//
RhaR_pos	gspJ//fliS//
RhaS_pos	mglB//yjhB//nemA//pflB//ddpC//hipA//
Rob_neg	entB//
Rob_pos	caiC//pgpC//metA//ccmE//fucK//hemH//ribA//yiaO//ygbA//caiB//allA//metH//dicB//dgcZ//rbsR//wcaA//molR_1//aroH//lacZ//lsrC//nuoC//oppF//tyrR//tdcG//phoB//
RstA_neg	rutC//narL//paaB//ccmF//paaB//
RstA_pos	flgC//xapB//pgm//ccmD//dgcC//
RtcR_pos	acrR//fliM//
RutR_neg	fdnH//focB//ttdB//fliN//nrdA//fabI//ybaS//paaK//flgF//nhaR//fruK//mglA//nhaR//xylR//stpA//
RutR_pos	hyaA//ptsH//
SdiA_neg	setA//asnA//rnlA//
SdiA_pos	mqsR//metN//hdeB//
SgrR_neg	hyaF//narX//artI//fecC//rbfA//
SgrR_pos	hipA//mqsA//cspE//fbaB//
SlyA_pos	slyB//
SoxR_neg	argF//
SoxR_pos	xylR//artQ//
SoxS_neg	bdcA//decR//
SoxS_pos	hycB//ddlB//fliQ//hycC//pgpC//ymgC//pgpC//fadA//cueO//fes//betT//fhuC//torA//rcnB//mepH//nadB//grcA//ung//uvrA//lrhA//yhcH//mprA//hdeA//fliI//ybfN//nanK//srlB//prs//atoB//yjjZ//dinF//ykgO//yjbE//lamB//alaC//rutR//fixX//ydhU//
StpA_neg	creD//ydfD//fliT//purH//ydbD//srlB//sra//
SutR_neg	rutA//malF//ilvC//mtlD//paaD//
SutR_pos	pgi//
TdcA_pos	flgN//yiaL//idnR//hypB//copA//ugpA//malM//
TdcR_pos	nfo//fnr//yqjI//purN//soxS//higB//caiB//
TorR_neg	malX//yegH//hybO//
TorR_pos	fecE//intQ//cydB//ssuE//hcaC//umuC//ung//feaR//mazF//
TreR_neg	rob//gatD//
TrpR_neg	nimT//tauA//fepA//metH//glxR//cysB//wzc//araB//csrB//uspD//ssb//nfsA//
TyrR_neg	nrfF//rutG//caiT//ampC//gudP//cadB//narH//ybbY//rutC//arsB//
TyrR_pos	frdA//yebE//pdeR//
UhpA_pos	fadM//
UidR_neg	trpA//csgD//ymgA//dacC//
UlaR_neg	lacA//nuoG//manZ//rdoA//entS//putA//murE//
UvrY_pos	yhdY//fliJ//argE//sgbH//nikC//
UxuR_neg	gspG//flgJ//mntH//nrdI//metE//znuB//tdcC//caiB//agaS//
XapR_pos	argP//cbl//
XylR_neg	malT//
XylR_pos	sroA//phnM//flhE//lldR//prpE//yhdW//
YdeO_neg	amtB//flgN//
YdeO_pos	phnI//ygiC//nikA//pheS//nfsA//uvrD//dsrA//ygiA//yegR//tauD//ccmA//dgcZ//rseB//fliQ//phoP//murP//dgcN//yhbS//ftsK//
YedW_neg	nrdH//fruA//fadH//trpB//yeaG//
YedW_pos	mraZ//manY//ybaT//ydcU//hyfD//ompW//hybF//
YefM-YoeB_neg	atoD//rplT//
YefM_neg	gabT//ygaC//
YehT_pos	ddpX//
YeiL_pos	prpC//
YiaJ_neg	kdpA//narG//mazE//erpA//mlc//nuoM//accD//ydhW//ydfN//wzzE//
YjjQ_neg	cydB//iraM//glxK//norR//mdtC//mazG//pagP//htpG//cysU//aspC//
YpdB_pos	phnI//
YqhC_pos	nhaR//ibaG//
YqjI_neg	cvpA//fliO//
ZntR_pos	mraZ//
ZraR_pos	fliS//phoE//nagE//
Zur_neg	potH//aceE//puuE//norV//setA//hmp//
