#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ygdB//argD//
Cra_pos	tauD//ydfW//dinB//napG//nanT//hyfF//metL//mhpC//yedX//ydhT//trpA//accA//napB//ykgM//rpoD//gcvT//hybD//leuD//ccmD//napB//cysM//oppD//ybhR//
CreB_neg	rseC//ruvB//sroA//
CreB_pos	amn//grxD//
CsgD_neg	paaY//bglB//csgC//uof//mdtF//ynfG//mgtA//rhaR//dnaN//fadR//fpr//modB//fecE//tisB//wzxE//
CsgD_pos	nadA//agaW//agaA//dhaK//molR_1//ubiC//oxyR//ccmF//nikR//gloA//chbB//lhgO//dapD//
CsiR_neg	phnF//recD//glnA//rfe//accC//
CspA_pos	paaZ//xylG//
CueR_neg	gntK//hyfB//yebG//phoB//rpoE//
CueR_pos	fliJ//ybjN//
CusR_pos	purR//idnK//rffT//melB//dpiB//gfcA//envC//ndh//speB//fepC//caiE//nirD//
CynR_neg	gntP//
CynR_pos	accD//ftsA//ssuA//
CysB_neg	narK//gspF//glnK//aroG//napD//cas2//hybB//
CysB_pos	csrC//arsR//yjhB//yhbT//yqhD//gcvA//mepH//nrdH//argA//ecpR//cysD//ynbC//rbsR//uidC//ptsG//ygiZ//glnH//torC//glyA//yeaG//sgrR//gor//gcvT//yibQ//ruvB//
CytR_neg	allB//nirC//umpH//hybG//idnK//kbp//motB//fes//sdhD//pspC//marR//waaH//yjbE//
Dan_pos	gltD//sdhD//srlA//idnT//
DcuR_pos	dcuD//aldA//fixA//nrfA//hycH//lgoR//nanE//yidQ//fiu//
DeoR_neg	putA//ybfE//pncB//fldA//kbaZ//sgbU//
DhaR_neg	fhuC//
DhaR_pos	mazE//nac//iraM//
DicA_neg	dsrA//recC//ybbY//yidL//rbsA//fliL//ynfF//zraR//
DinJ-YafQ_neg	allS//mqsA//idnR//
DnaA_neg	paaG//nagE//fldB//mtlA//grxD//gspK//hcaE//flgI//bglB//bglJ//yidL//
DnaA_pos	nrfE//wcaA//argR//grxA//ycdZ//rstB//napH//
DpiA_neg	rstB//
DpiA_pos	prpB//ppdC//pgi//exbD//fruK//yjbE//tehA//exbB//galM//pdeL//
DsdC_neg	ssuD//
DsdC_pos	ascB//glnA//
EbgR_neg	feoB//betI//
EnvR_neg	ydeP//slp//
EnvY_pos	dsbA//murF//
EvgA_pos	skp//mgrR//malP//fliR//purH//metF//katG//ycgZ//glcF//uxaA//argE//sroA//soxS//glgX//cho//narJ//feoA//yeiB//lrhA//
ExuR_neg	caiE//baeS//nadA//umuC//murP//hyfR//uspA//setA//yhbT//
FabR_neg	lpd//rybB//
FadR_neg	yecR//accA//tnaC//purC//hybB//icd//galP//ftsI//ruvB//ybhG//fdnG//
FadR_pos	atoA//potF//hyfG//ynfK//ahpC//fhuF//srlA//amn//hemH//gatA//yhdZ//astC//
FeaR_pos	puuC//dmsD//
FhlA_pos	araF//trxC//ynfH//uxaB//exuT//zraS//gatA//fadD//gadA//cdd//sgrR//hycA//sucD//malS//phoA//yciX//ulaB//bhsA//ugpB//yqjI//glcE//rpoE//purE//yegR//ybjC//rstA//wzyE//dnaN//nanT//argB//
FlhDC_neg	symE//agaD//evgS//ynfE//
FlhDC_pos	ccmH//rpoD//poxB//sroA//aroP//cyoC//waaY//moeB//caiB//cydB//appX//citG//malS//udp//dicC//dicB//nfsA//intQ//pgaC//flgM//gudD//treB//yeiB//yjbH//fhuF//pheT//pncB//purD//napD//caiC//alaC//rpiB//fliC//psiF//dicC//fliK//rbsB//motB//wzb//aroL//mnmG//yiaJ//symE//ulaF//uidA//frc//ydcS//rhaT//flgF//infB//glcD//hns//argF//flgE//yiaN//gnd//argB//gutQ//yfdV//casE//nrdA//exbB//edd//fbaB//rarA//rffT//cydA//chiP//yiaN//yjhC//yoaG//purL//hycC//fabH//nusA//exuT//recC//nuoH//
FliZ_neg	sroD//nrdD//feoA//fruA//creC//feoC//rhaT//ulaF//safA//ppiA//hyfI//rybB//nlpA//chbB//tsgA//ybaS//fiu//ldtC//ccmH//evgS//iraP//
FucR_pos	hlyE//mdtD//icd//asnA//insD//fhuF//pfkA//
Fur_neg	fecB//mpaA//yiaL//artQ//oxyR//cydA//prpE//sufC//araE//metJ//ybhF//tyrA//ptrA//gatB//nirC//citC//hypE//mpl//tauC//puuD//higA//accD//rybB//fliO//hyaB//napA//iraP//rpsU//nohA//entH//phoQ//oxyR//ccmF//iscA//tnaB//nimT//aspA//fixX//aspA//entE//argA//patD//zntA//rplT//nagC//pspF//alaS//phoH//gntP//creB//metH//yhjX//pgpC//add//hyfB//wcaA//yhiD//hybB//lsrC//yoeB//zinT//lsrR//yoaG//wcaB//glnA//hybO//sfsB//rnpB//rpsO//ompT//yciG//ygdB//gltI//lyxK//purF//mdtA//phoH//ebgA//napA//glpD//fucI//sra//asnA//leuC//grxD//tomB//zwf//kbp//spy//fecB//ynfG//malS//metR//cysG//hypF//lsrC//gltK//idnR//lacZ//bhsA//fliF//cyoC//yjeV//aidB//fixC//csgF//ascF//gntX//ykgO//nuoN//tdcG//murE//caiA//garD//lpxC//
Fur_pos	prpR//yidQ//mazG//galE//flgN//lsrG//cynT//gltF//ptsG//manX//hemH//ydcT//rutD//hcaF//fadI//sufE//rob//leuL//asnA//hyaE//fdnG//
GadE-RcsB_pos	narG//lldD//tpiA//waaZ//yecR//paaB//pck//gadW//dcuA//
GadE_pos	fepC//nuoI//rcnR//dmsC//phr//manX//cas1//dinF//rutF//hycG//ccmA//ptrA//mqsA//codA//norR//garR//mntP//yecR//hemL//sgbE//nuoL//pstA//entB//gutQ//fliE//gatZ//ppdC//sdhC//cbl//
GadW_neg	dicC//glcF//rutE//yfiB//tnaB//caiD//pykF//tcyP//ynfE//caiT//nimT//
GadW_pos	aidB//tdcF//nrfG//cirA//ybbW//rtcB//mazF//prpB//tyrB//focB//ibaG//
GadX_neg	murR//fabG//hybD//hns//galR//malS//
GadX_pos	moeB//ydhY//artI//astB//uspD//creB//agaV//napF//luxS//cyaR//cusC//rutB//dkgA//cynT//ygbA//hybF//pspG//cydD//pdhR//ftsI//rutR//lexA//ychF//dicC//allA//creA//dpiA//
GalR_neg	artJ//tadA//gntX//ydiV//casD//leuL//recD//mhpE//ugpA//zinT//
GalR_pos	casA//adhE//glk//metK//
GalS_neg	ynfE//hlyE//ydiU//cysJ//creA//rimK//tadA//iscS//ampC//dicB//
GalS_pos	cusB//ydhX//narX//ttdA//
GatR_neg	hyfA//phnH//sucD//yncE//tdcB//yjbH//
GcvA_neg	soxS//hycC//osmC//rbsA//
GcvA_pos	cysP//pspC//hyfG//tam//
GlcC_neg	ynfK//
GlcC_pos	gadB//fhuA//ygbA//bolA//yafN//tdcC//
GlpR_neg	ompN//dnaA//hcaF//lsrG//gutQ//dinD//soxR//mtlA//ydeI//
GlrR_pos	nuoJ//phnI//lysA//nuoG//aroL//
GntR_neg	agaA//sufB//edd//deoD//yoaC//manZ//fecA//nagE//ftsA//fliO//dcuB//erpA//
GutM_pos	tsr//astE//ppdB//xylF//fliF//skp//nagA//
GutR_neg	nhaR//ssuC//lysA//gspG//caiD//yibQ//cas1//
HU_neg	frdB//lpxA//appY//mazF//decR//aspA//yhdZ//cyoD//
HU_pos	sdhC//
HcaR_neg	allS//
HcaR_pos	ttdR//purN//ryhB//tdcG//atoD//
HdfR_neg	glxK//ppdC//
HdfR_pos	gspO//glcE//accC//
HigA_neg	gntP//ybdN//
HigB-HigA_neg	sdhD//rstB//
HipAB_neg	citX//rclB//cysA//ptsI//nlpA//
HipB_neg	caiA//trxC//nrdD//yfbR//fruB//pstA//
HyfR_pos	gntP//fecI//lsrG//osmY//mglA//oppD//ppdC//ccmD//mntH//efeU_2//trpA//crl//
HypT_neg	fruA//fliG//aroM//gspL//ssrS//
HypT_pos	hybA//phoA//tauC//gudX//ygiC//icd//ycjX//tdcC//
IclR_neg	lsrF//sbcD//codA//flgL//
IdnR_neg	hyfJ//cadC//
IdnR_pos	ppc//murF//ecnB//frdA//araD//
IlvY_neg	mraY//
IlvY_pos	nirD//
IscR_neg	iscU//talA//aslB//hcaR//moaA//mscM//flgE//ynbC//cusR//yhcH//nemA//glnD//ydfW//degP//rnlB//fecB//nagC//hybF//argH//rnpB//metR//
IscR_pos	hycG//yciW//cspD//ulaE//talA//mntH//dkgB//fiu//yhdY//ascB//sdhB//
KdgR_neg	rhaS//codA//
KdpE_pos	rffT//ybjG//cadB//grcA//
LacI_neg	narI//oxyR//crr//
LeuO_neg	mglA//citC//nanK//
LeuO_pos	csgC//paaA//betA//fucR//hcaE//seqA//flgK//aspA//flgG//moeB//hyaF//fliI//fecB//dmsC//gabT//pstC//hemL//fecB//
LexA_neg	glnP//polA//galK//ung//hycC//yiaO//nanS//zinT//rbsC//hns//glpB//nikB//ydhY//cysK//agaW//nadB//adiC//rpiR//zinT//flgM//ydjM//flhD//prpD//ompF//entS//leuB//araD//acrR//znuC//ppdA//fabB//rarA//yjbE//pspC//torR//cynR//rseC//fecR//gor//rpmA//csrB//hipB//aroL//dinD//mgrB//acrB//acnB//hyfA//araD//hokE//dsdA//dgcN//nrdG//ryhB//paaA//ddpD//waaY//rpsU//kbp//
LldR_neg	rseA//rffC//chbB//
LldR_pos	acrB//araC//mdtA//
LrhA_neg	hycA//isrC//
LrhA_pos	fadR//mtlD//
LsrR_neg	chiP//paaK//ahpF//malK//lacZ//rbfA//higA//paaJ//oxyS//
LysR_neg	mipA//
LysR_pos	lysO//
MalI_neg	mtlR//narJ//fliJ//
MalT_pos	decR//murP//wzzE//uxaA//ykgO//tdcA//citG//fliF//argT//fecE//
MarA_neg	ybjN//nrfD//adiC//intQ//ubiX//fhuD//ttdT//
MarA_pos	caiB//ccmA//iraP//idnT//rdoA//recC//cysK//fliI//purK//dgcC//ptsG//qseC//yqhD//dctA//artP//ssb//glpF//marA//frdA//sutR//nuoM//gltK//trpL//ulaB//trpD//ybbW//creC//rnlA//umpH//phnD//hycA//
MarR_neg	argC//cueO//ynjI//
MatA_neg	udp//murE//lhgO//kdpF//purL//aroG//
MatA_pos	casD//glnP//
MazE-MazF_neg	oxc//allB//appC//
MazE_neg	hycD//hybC//focB//
McbR_neg	yjbE//
McbR_pos	metB//cysW//dinD//
MelR_neg	yhiM//allB//mhpF//
MelR_pos	gapA//lysO//rcsA//
MetJ_neg	nanE//cynS//glmS//nrdI//lysR//hcaB//aroG//fliK//metL//recN//argI//purK//hyfG//paaD//dicC//
MetR_neg	gfcA//focA//
MetR_pos	puuR//dmsD//hipB//ykiA//
MhpR_pos	ecpR//atoE//hycC//argE//ydcV//nikB//
Mlc_neg	nfsA//ybhS//gntX//trpE//ttdR//phoB//rhaT//hcaD//allA//ynfE//
MlrA_pos	mdtA//paaC//hyfR//tyrA//fadH//ugpA//cynT//cpxP//nirB//citG//
MngR_neg	nagC//deoA//appY//
MntR_neg	tdcA//fadM//arsC//cynR//
MntR_pos	gcvT//
ModE_neg	lgoR//flgH//narG//wzb//degP//hisJ//tadA//appC//tehA//alsA//cvpA//nrdE//cueO//citE//astB//
ModE_pos	ecpA//rbfA//ppc//tolC//rplT//frdD//nrfB//nuoK//dsdX//cydC//moaA//glcF//tauA//hycF//accA//glnH//wecB//iscR//pspD//yeaR//lysP//citX//serA//bamE//lldD//znuA//tcyJ//glpX//pstB//yciE//yafO//
MprA_neg	ycjG//amn//mglB//nemR//moaE//mhpC//
MqsA_neg	xylG//hyfJ//deoC//ygeH//ppc//fhuB//narI//purR//
MraZ_neg	slp//agaD//hyaF//lsrK//rnlB//uxaC//artQ//csgE//nfsB//trxC//tauB//cyoC//rpmI//metI//csgB//nagB//nrfB//
MtlR_neg	flgL//dapB//nrdH//
MurR_neg	pnuC//cpxP//higA//
MurR_pos	adiA//
Nac_neg	yjbH//cheA//cirA//entF//hokD//glxR//glgA//hyaF//agaS//
Nac_pos	betA//fadM//dtpA//glnP//epd//fucP//gatD//add//chbR//rhaD//hcaC//marB//
NadR_neg	yefM//fadJ//ptrA//mhpF//
NagC_neg	baeS//rcnA//tbpA//ybhS//mglA//gadF//leuO//frdB//znuA//entS//hypF//gntT//hyfJ//ugpB//gspC//fadI//treB//hyfC//ybhL//fabA//ftsA//flgM//bioC//murC//entC//dacC//nrdE//sbcC//cecR//mpaA//nuoL//fliH//malK//
NagC_pos	cusB//flgB//uof//
NanR_neg	insD//mglC//frdB//yjbH//fepE//sucD//nanC//hokE//paaZ//ryhB//
NanR_pos	dacC//
NarL_neg	rhaD//uspE//pdeH//ldtB//tonB//entD//nimT//wzzE//agaS//creC//tcyJ//mntS//tnaB//nrdF//glgP//ytfE//rpoH//modA//ddlB//fliE//tauD//ftsL//potH//dtpA//putA//hyaB//gatC//malY//ydeM//nanM//yhjC//ulaG//putA//rffC//lsrG//fecB//ppiD//mdh//creD//malS//ahpF//tfaQ//uxuA//hypB//omrB//cynX//ybdN//ndh//cbl//csgD//ymjC//htpG//bioA//manX//iscU//feoB//glk//purH//alkA//asr//zntA//sdhC//ygdB//napD//flhE//alsE//rpsU//agaW//aroG//glcF//flhE//tbpA//tauD//gspE//ygaC//nrdB//gcvA//ygaC//creD//gdhA//gpmA//phoQ//pepA//yaiW//yibQ//metY//lsrA//
NarL_pos	hycB//ulaB//nimT//prs//yiaN//acrZ//hyfB//ttdB//murP//evgS//fldA//rhaD//rplT//xylB//aroG//puuD//dinI//nohA//aspC//uidB//fliD//dsbG//araG//nikE//cusR//argC//lolA//csgG//sufB//narH//tdcC//glgC//glpC//luxS//fruK//fdnG//araD//puuR//eda//evgS//rbsC//dhaK//hycE//
NarP_neg	amn//glpD//metC//dgcZ//ptrA//ptrA//hycE//rseA//yfdE//citG//gcl//phoP//bdcA//malX//katG//ybaT//fliA//tsr//iraP//yebG//metJ//fbaA//cusA//focA//iscS//tyrP//hydN//rpmA//ribA//entB//lpxD//ampC//purD//
NarP_pos	ndh//glnH//hisJ//argT//ndh//tsr//torA//rhaB//araJ//agaD//allD//napB//chbG//araG//glpF//sodB//uxuA//metE//pgaD//yccA//leuA//fixX//atoA//malK//flhA//polB//flhC//galK//hyfR//insD//narK//fliO//
NemR_neg	tsr//nuoI//pgaB//
NhaR_pos	lpxD//ychF//ynfK//gspF//ytfE//argR//ttdA//
NikR_neg	fimB//fixX//napB//phoB//glnD//hybF//
NimR_neg	napG//nagE//
NorR_neg	yiaL//
NorR_pos	fliP//fadH//
NrdR_neg	modA//glpT//fliZ//glnK//cyoD//fecR//lon//acnB//ftsW//
NsrR_neg	sbmC//citE//argR//napD//purE//ygdB//eda//sucC//rpoH//rseB//hslJ//aroG//ymgA//lolA//glnA//entE//puuA//trpL//narG//argH//cysC//galS//agaB//hcr//gcvB//yhdY//setA//rpoH//fhuB//fliS//nrfC//cas2//lamB//gspF//hybE//ddpC//yccT//fbaB//ogt//gntX//astD//yhdX//yeiL//infC//puuE//cspI//carB//gabD//ccmD//tonB//fliJ//nirD//sufC//purR//galM//yhdZ//treR//nrfE//yjbH//ycjF//ppdA//sufC//ydfE//yiaJ//rpoH//gntK//oppC//gntT//tehA//cysU//yciF//aceF//torC//cbl//alaS//sdhD//narX//omrB//lolA//dsdX//ybhL//yhjC//csrC//
NtrC_neg	ftsK//yjbH//ymgC//mlrA//tisB//fliA//
NtrC_pos	fes//malE//tsgA//cysK//fliE//ytfE//cyoB//rcnA//fepA//glpB//gutQ//motA//caiC//paaY//rbsR//relB//arsC//ybbW//hydN//lpd//moeB//uvrC//ddpB//borD//pgaD//hns//fliN//astD//pheT//tbpA//astE//ykiA//dctA//fumB//glnH//fbaB//pfkA//bioA//gntK//yhjC//alsA//ygiB//pitB//baeR//torC//pgaC//yhjX//manZ//paaF//
OmpR_neg	chbR//phnK//pepD//gspK//carA//cysU//ddlB//lysC//glnD//ldtD//kbp//yjjZ//
OmpR_pos	fadM//ssrS//aspC//zntA//galP//rbsK//moaC//feoC//fadJ//rsmH//
OxyR_neg	rffG//nimT//moaB//lsrD//prpB//purE//yfiR//hdeB//ydhY//cytR//gspJ//idnR//
OxyR_pos	frdA//ybdZ//sgbH//bluF//ymjD//ykgO//glgC//symE//ynfK//hmp//hokE//glpT//rutE//caiA//ddpF//frdD//malP//tfaQ//hyaC//oxyR//lrp//ccmC//
PaaX_neg	fhuF//gntK//lysA//puuR//gapA//erpA//hycG//ftsA//yeiB//napH//glcB//osmY//gpmA//hyfA//
PdeL_pos	ftnB//
PdhR_neg	ompN//yciW//lacZ//manZ//nupC//yqaE//malF//safA//tehB//fadD//kbaZ//ppdA//ynbC//appB//hcr//rpmI//rbsK//ygiB//nupC//araF//yfaE//lsrG//frdD//gspI//cadB//cadC//motB//nhaA//yjeV//crl//wcaA//fimB//gspH//astC//ndh//leuA//
PdhR_pos	araG//hemL//yhjX//potG//ppdA//
PepA_neg	artM//entS//borD//
PgrR_neg	nrfF//metK//ydcU//iclR//hydN//dkgA//casD//mglC//
PhoB_neg	dinI//rseB//glnL//ugpQ//soxS//gatD//prpR//artP//ebgC//yhhY//flgD//phnI//
PhoB_pos	fixX//speA//cysD//inaA//nemA//nrfB//ycgR//deoC//arsC//rpiB//lsrC//phoE//kdpB//dapD//ybbW//nuoF//iscR//wzxE//wecE//mntH//leuD//dicC//sucB//psiF//dsdC//yccT//dinQ//ycjX//hslJ//nikD//potH//gfcA//lyxK//lysC//ytfE//oxyR//rclC//hcr//ybbW//pgpC//cysJ//gabT//fucP//gatA//cbl//dinF//ycjF//flgB//tyrR//ycjG//fecI//alkB//hyfD//
PhoP_neg	fepE//lysO//ftsI//dmsD//rhaS//dgkA//ccmD//lgoR//rutB//hyaF//nanA//
PhoP_pos	ulaC//gudD//wcaB//deoD//nupG//fliL//leuA//ccmD//murP//potF//yafP//lysA//tpiA//dpiB//folE//fepA//hycD//ygiA//fdnI//dgcC//rbsA//dinB//sgbU//cusA//malI//norV//hipA//entS//yfdE//hyaC//malT//skp//ydhV//fpr//feoA//yhcH//tyrB//patD//yhcH//degP//hycB//csgD//lyxK//hipA//decR//mpl//pnp//hyfI//
PrpR_neg	entA//
PrpR_pos	hlyE//cysW//yeaG//pfkA//
PspF_neg	fucP//
PspF_pos	nrfF//mhpD//wza//hyaF//dmsA//norR//
PurR_neg	cysK//uidB//fadM//paaG//ssrS//hyfE//mtr//murG//bioB//phoE//tauA//ssuE//glnQ//fiu//isrC//purM//psiE//glnH//marA//gadB//rprA//murI//glmY//cynR//xapA//ydfW//fadB//lacZ//ycjG//frdB//pagP//
PutA_neg	uidA//fhuB//
PuuR_neg	ddpX//gor//cspD//codA//malZ//ymgA//iscA//
QseB_pos	osmB//glpT//fliP//fabH//
RbsR_neg	yfdV//tauB//glnP//aroF//paaF//phoB//gpmA//paaK//
RbsR_pos	wcaA//
RcdA_neg	nanT//cydA//
RcdA_pos	napG//bdcA//dnaA//nagA//frdC//gntU//ahpF//
RclR_pos	infB//baeR//pspE//
RcnR_neg	arsC//gadA//bglJ//
RcsAB_neg	phnL//cydC//ynjI//pck//gntU//ppdA//
RcsAB_pos	argH//sdhC//lysC//manZ//cydA//gabP//rcsA//uvrA//glyA//metN//
RcsB-BglJ_pos	patD//yccA//rybB//mlrA//trpD//flgK//trpC//cspE//prs//nrfA//nrfA//feaR//hemL//appB//ymjC//ybdN//
RcsB_neg	fliA//fruA//
RcsB_pos	nuoK//appA//mhpB//yhdZ//fruK//cysN//ydhX//hisP//rseC//speA//gspG//glgP//ynbD//potH//marB//galR//cysW//fadB//gadC//fecC//ptsH//frdB//betT//
RelB-RelE_neg	envC//nanM//ynjI//
RelB_neg	araD//dsbA//metE//
RhaR_pos	cas1//aroH//
RhaS_pos	appY//asnC//argE//umuC//fecB//garK//
Rob_neg	rybA//
Rob_pos	adhE//grcA//waaZ//fadD//fimE//lsrG//psiF//hypC//emrK//pgaB//waaH//citE//ldtC//aceE//dinJ//hyfR//treC//bioB//cysN//putP//efeU_2//allS//galE//leuA//nikR//
RstA_neg	wecC//setA//araG//wzxE//pdeH//
RstA_pos	hyaC//ydfN//hflD//ppdB//lgoR//
RtcR_pos	tyrR//leuA//
RutR_neg	mngR//ymiA//mngA//yhdY//casE//norV//sbmC//mlrA//cusR//cho//cvpA//tdcA//xapA//gspL//acnB//
RutR_pos	mtlR//casB//
SdiA_neg	bglG//trpB//lacZ//
SdiA_pos	gudX//astA//feoC//
SgrR_neg	cbl//iscS//fhlA//ftsA//nikC//
SgrR_pos	cra//malQ//paaK//udp//
SlyA_pos	putP//
SoxR_neg	hyaD//
SoxR_pos	lpxC//rnlA//
SoxS_neg	fepE//nuoF//
SoxS_pos	yjhB//nagC//pstC//nfsB//waaH//ygiB//gapA//wcaA//hybA//mqsR//gabP//ynbD//fpr//ydiU//cysP//gadW//crl//hha//ompN//zraP//rhaB//fliN//nlpA//fabI//ycjX//malY//narJ//betT//yjhB//rhaA//marR//nanC//ydhW//fliK//glpD//ycgR//tyrB//rimK//
StpA_neg	appB//mpl//adiA//ecnB//xylB//mioC//yidQ//
SutR_neg	isrC//rimP//phnN//ddlB//sfsB//
SutR_pos	pspF//
TdcA_pos	speA//bdcA//baeS//pykF//pgpC//rutG//flhE//
TdcR_pos	guaA//mngA//iscS//sucD//fadJ//dgcC//rutC//
TorR_neg	glxK//ccmG//rutB//
TorR_pos	slyB//pstA//cueO//dgcN//gcvH//gatB//lsrC//cynT//dhaK//
TreR_neg	leuO//fliH//
TrpR_neg	flgI//argB//pfkA//pdeR//lysA//osmY//rseC//aceE//cysW//cusA//alkB//ccmH//
TyrR_neg	caiB//dinG//atoA//rnpB//rfe//rbsB//rob//gntP//cpxP//yqjH//
TyrR_pos	gatZ//treB//artI//
UhpA_pos	treR//
UidR_neg	creA//fldA//prpE//allA//
UlaR_neg	ddpA//yfiR//fadM//cysW//aceK//phoA//yhcH//
UvrY_pos	mdtB//gyrA//rffT//nikE//qseC//
UxuR_neg	fabI//dgcZ//exuT//waaY//napC//hypB//murR//phoE//flhA//
XapR_pos	recX//yjhB//
XylR_neg	accC//
XylR_pos	leuD//psd//ydhT//ompN//insD//frdD//
YdeO_neg	tehA//ygbA//
YdeO_pos	wza//gatY//ssuA//fecB//glcB//agaR//cydD//xylR//fadE//flgK//ssuD//paaX//malZ//nikD//yqhD//rhaS//slyB//ydiV//lacZ//
YedW_neg	pncB//cysP//modC//nagB//aroH//
YedW_pos	narJ//fliQ//phoB//puuC//phnD//entB//rstA//
YefM-YoeB_neg	cadA//casC//
YefM_neg	purH//mscM//
YehT_pos	psiE//
YeiL_pos	fliL//
YiaJ_neg	glcF//hyaF//glnA//hcaR//ynbA//uspA//adiA//malX//nrfG//relB//
YjjQ_neg	glcA//napH//xylG//ydbD//fecA//xapB//hyfD//nuoM//gspE//rfe//
YpdB_pos	lpxC//
YqhC_pos	nrfG//nadA//
YqjI_neg	prpC//ampC//
ZntR_pos	recC//
ZraR_pos	ptsH//relA//alsC//
Zur_neg	paaC//ydiU//mntP//lysC//yebE//nrdI//
