#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	yciX//purA//
GatR_neg	garL//wzb//cadA//casA//norW//hyfI//
GcvA_neg	oppB//gudP//yiaM//hflD//
GcvA_pos	phnP//yhhY//higA//puuR//
GlcC_neg	ebgA//
GlcC_pos	hokE//murD//phnJ//ttdT//atoB//gspL//
GlpR_neg	acrB//mhpC//lsrD//fimB//fadB//napC//gabP//moaA//ppiA//
GlrR_pos	katG//moaB//flgC//yaiA//metK//
GntR_neg	yjbH//omrA//nrfD//galT//nikB//rhaS//fadA//citG//tcyJ//fepB//ccmA//atoB//
GutM_pos	feoC//pstB//puuD//pspC//pqiB//rimP//gadA//
GutR_neg	rutD//katG//sodA//nrfB//hypC//glcG//yciW//
HU_neg	garR//flgC//codB//dmsD//gdhA//ptsH//mepH//ompT//
HU_pos	ssuB//
HcaR_neg	recB//
HcaR_pos	pspG//nirD//hycF//alsB//fruK//
HdfR_neg	lpxA//argT//
HdfR_pos	putA//aroP//kbaY//
HigA_neg	gcl//lrhA//
HigB-HigA_neg	ulaG//citD//
HipAB_neg	ftsW//ccmB//citG//paaF//ubiC//
HipB_neg	dgcN//hemL//oxyR//fecD//ahpC//rpmI//
HyfR_pos	fliC//argO//hokD//pstA//cysA//bioB//hycE//ydeO//add//ynfF//yoeB//ygeH//
HypT_neg	fixB//pfkA//paaK//ptrA//glnA//
HypT_pos	hyfB//ygiA//sucD//sgbE//flgF//oxc//nuoJ//caiE//
IclR_neg	cyoD//srlA//casE//yfaE//
IdnR_neg	rpiR//efeU_2//
IdnR_pos	sra//hyaA//ribA//yafQ//yiiS//
IlvY_neg	torA//
IlvY_pos	deoD//
IscR_neg	fadA//tsgA//gpmA//fhuD//cas2//hipB//acrD//tehB//eno//pspD//leuC//lrhA//csiD//hslJ//lexA//gspM//purH//yeiB//ptrA//glcF//idnO//
IscR_pos	napG//gatB//frc//nhaR//ybiT//aspC//nadB//yhbS//paaZ//idnD//ybaS//
KdgR_neg	acrZ//pqiB//
KdpE_pos	rbfA//ychF//gntT//yibQ//
LacI_neg	cho//gltF//garP//
LeuO_neg	csgB//ftsQ//lsrF//
LeuO_pos	fhuD//aceA//glmY//yciE//ybaS//folE//gadY//betI//trpE//dps//glnH//zraP//malS//adhE//fhuF//dcuD//infC//folE//
LexA_neg	torA//grxA//appA//purB//focB//alsE//ytfE//ynbB//fixB//rcnR//dhaL//glpF//ldtD//gadA//fliI//murD//pncB//gntU//ulaG//rutD//flgK//feoC//casC//znuB//dcuS//xapB//ascB//rhaS//lldP//rbsC//gltK//ddpD//uspD//slt//feaB//rhaB//ydhW//phnJ//nrdB//uvrB//astC//fucI//csiD//yjbF//uidA//gyrA//mhpE//metN//araG//citD//paaD//argI//nrdF//serA//micF//accD//hha//rcnB//xylR//
LldR_neg	sucD//casD//cusA//
LldR_pos	gltK//tpiA//tsx//
LrhA_neg	caiB//oxyS//
LrhA_pos	cysW//fldA//
LsrR_neg	hyfI//hemH//yfbR//phnM//deoC//narL//gltD//tktB//wecB//
LysR_neg	murP//
LysR_pos	envC//
MalI_neg	cusB//ydhX//hycB//
MalT_pos	cspD//ddpX//lsrF//hycA//hyfE//yhbS//yafQ//rcsA//uxaA//gadB//
MarA_neg	dcuA//rpoE//pdhR//ftsA//uvrA//fes//fepD//
MarA_pos	yhjX//pheS//hycD//narI//cadA//fhuB//sucD//ssuA//nagB//gntX//napH//mngR//tnaB//uvrY//fucI//ymjC//bglG//hyaB//ygaC//dtpA//dcuS//cspE//mngB//lysP//yiaK//cydC//dctR//ecnB//soxR//betA//phnD//
MarR_neg	putA//mhpC//malK//
MatA_neg	glpK//ulaA//gltJ//ebgA//puuR//gadA//
MatA_pos	accC//cysB//
MazE-MazF_neg	glnD//ugpA//pspE//
MazE_neg	lsrA//argR//nrfG//
McbR_neg	chbG//
McbR_pos	cho//cvpA//ndh//
MelR_neg	gor//hokD//fruA//
MelR_pos	purR//phoA//gcl//
MetJ_neg	gudD//tnaB//tyrP//phnH//purK//gatD//mhpA//nanC//lrhA//chbF//chbB//infB//exuR//lolA//yidL//
MetR_neg	marA//zraR//
MetR_pos	pagP//fepD//tyrR//fumC//
MhpR_pos	nuoC//skp//motB//ulaD//speB//gcvB//
Mlc_neg	flgJ//torR//torR//motA//glxR//mntH//arsB//hybA//dpiB//allS//
MlrA_pos	pepD//hokE//gadY//nrfA//glcC//malX//mgtL//mdh//gutQ//ynfF//
MngR_neg	relE//fabI//araJ//
MntR_neg	dhaK//ampC//gntP//decR//
MntR_pos	rdoA//
ModE_neg	hyaD//pdeR//allD//dinQ//betI//hybG//umuD//fldB//yeiL//nagA//infB//udp//paaZ//bioA//lysO//
ModE_pos	rstB//yhiD//mtlA//nanC//pagP//fadB//phoQ//sgrS//truB//mgrB//cysK//nikR//uxaB//cynS//yciE//nemR//ftnA//ppc//osmC//chbR//ybiT//acnB//rtcB//mhpC//nrdG//prpB//malP//rseC//garL//ihfA//ppdC//
MprA_neg	dcuS//fhuC//rpmI//puuE//lacA//allS//
MqsA_neg	chbR//gntP//puuB//nikE//fixB//allB//gspK//gltL//
MraZ_neg	kdpF//ldtD//ugpB//zraR//csgF//sbmC//purN//udp//gltB//prpB//cho//argR//ddpC//malE//paaZ//acnA//agaI//
MtlR_neg	fhuB//fabH//sufB//
MurR_neg	acrZ//argE//modA//
MurR_pos	higA//
Nac_neg	cysI//galM//fecC//dhaK//malI//lysO//slp//tisB//psiF//
Nac_pos	nrdE//feaB//pheM//ybbW//hipB//lsrK//dkgA//rutE//yafO//phoP//hyfH//tauC//
NadR_neg	ugpE//nhaR//sucD//cas1//
NagC_neg	nirC//lsrD//micF//ompT//ycjY//fadD//pspG//uof//metC//ecpA//rutC//phnG//ydhV//lacA//cirA//gspC//tolC//hyaE//ydfH//tdcE//umuC//allA//potH//hybO//flgM//flgG//mazG//tbpA//yafP//paaA//ascF//phnE_2//agaV//
NagC_pos	purF//lysR//ftsW//
NanR_neg	rseA//yiaO//cspI//folE//ada//sucA//argI//sbmA//pdeR//recD//
NanR_pos	yhbT//
NarL_neg	rpiB//ybfE//nikR//ssuC//mazE//ptsG//isrC//ybfE//fruK//yhcH//tpiA//gabT//lexA//aroH//hlyE//chbB//betI//tomB//flgI//ompT//ulaB//ttdT//yjbG//paaH//ydcV//zraP//acrZ//ydhV//adiC//sgrS//ilvC//ppsA//mhpT//fadD//rob//paaY//rprA//hycA//iraM//norW//murI//yidQ//sufD//napD//uspD//flgE//tisB//napF//gspO//fabD//ygbK//yfdX//fucP//recC//codB//hypB//ccmE//tktB//hyaD//hyfE//pspF//cadA//pepD//ybhS//dmsC//yedX//bhsA//cyoC//gabD//deoC//asnC//uidA//hemH//cyoC//yciG//ppsA//fruK//znuA//glcA//rcnA//paaY//cysN//hcaR//nuoM//rbsR//pgaD//fixX//
NarL_pos	flgE//mdtC//csgA//sdhB//caiC//flhD//rutE//gadY//bioA//iclR//pgi//uxaC//agaC//nuoI//argB//nupC//pstC//norW//ybfN//hypE//yoaC//ttdT//malK//modB//leuC//nanM//bluF//ssuC//ygeH//pheM//hha//ppc//narJ//ykiA//iraM//sbmA//dcuB//paaK//tsgA//csgA//aroH//omrB//gntK//
NarP_neg	glgA//gadY//metH//gudD//fliO//fhuA//glyA//aceA//sroD//glxR//potG//ygbA//ompT//bioB//srlD//fliT//hybB//ybhL//agaC//malK//murI//modB//ttdB//gabP//gadW//ybfN//gltL//trpB//ynfH//ccmA//ecpA//htpG//slp//
NarP_pos	dgcC//melA//hyaE//tyrA//gor//fliJ//hmp//luxS//malF//hyfH//hyfF//rutB//flgK//phnM//dmsD//nikC//yfiR//yecT//bhsA//nanK//yqjA//rcsA//ldtC//rybB//yebE//purF//gspJ//gspL//ampC//yhdW//araG//patA//
NemR_neg	adhE//dinQ//entS//
NhaR_pos	trpB//gspJ//argT//lon//cysB//ulaE//hyfA//
NikR_neg	aceE//nagC//envC//hns//cas2//cusA//
NimR_neg	nanC//uidR//
NorR_neg	flgF//
NorR_pos	casC//araH//
NrdR_neg	yhiD//lysR//csiD//pheS//yidL//focB//tfaQ//caiE//mngB//
NsrR_neg	hmp//ydfN//frdD//zraP//lrp//uspD//ldtD//oxyS//galR//pgaD//artI//nanT//hipB//araG//caiT//ulaD//artM//pdeR//efeU_1//ddpF//mtlD//dhaK//glnL//oxyR//eno//flhA//ddpA//araC//garK//yafP//trpL//idnT//pqiA//cadA//rffH//garP//tyrP//fucU//araD//pyrC//fabA//grcA//ptsG//fliP//sgrS//hyaC//bglG//bolA//ugpA//poxB//mprA//gloA//rffC//fdnI//nrdI//cas2//wcaB//arsB//uvrA//phoA//recB//gcl//marR//rseA//yiaK//yneM//gloA//cyoE//nanT//yqjA//ydeM//gcvT//fiu//nfsA//osmC//hns//fabB//uspA//slyB//ompF//infB//mprA//bglB//
NtrC_neg	purE//deoA//inaA//galK//lsrK//sdhB//
NtrC_pos	mdtB//galT//yjhB//rimP//inaA//rhaA//evgA//uvrB//kdpB//bolA//puuA//nuoL//iscS//mhpE//yafP//sbcD//ynbA//adiC//cyoC//rbsA//lysA//pgpC//gor//ttdT//bluF//yeaD//nrfA//yegZ//hcaC//ybhS//gutQ//fliK//argR//idnD//alaS//grxA//degP//icd//cusB//dsrA//fecA//puuR//ibaG//nagB//glgB//galK//yhbE//tdcB//deoD//
OmpR_neg	argC//asr//yjjQ//galE//ybjN//yciW//tdcG//ssrS//fruA//ccmE//idnR//nuoL//
OmpR_pos	accC//ygeA//yeaH//adiA//ldtB//dnaA//pspB//lldD//cysD//zinT//
OxyR_neg	ssrS//fdnH//moaA//rutA//ftsI//tbpA//motA//cysW//napG//purL//fliE//nanA//
OxyR_pos	yhcH//sgbH//pspG//cadC//marB//ariR//tdcG//ccmF//tdcB//pspG//yafN//chbF//ldtD//yidL//rbsD//ruvB//guaB//oxyR//trpD//rpsO//garR//gudX//
PaaX_neg	idnT//casE//hisJ//ugpC//hycI//mdtC//fliD//gspH//mqsR//nrfC//gntX//betB//dkgB//mazF//
PdeL_pos	efeU_1//
PdhR_neg	lgoR//appX//aidB//ycjY//gntX//rbsC//cynR//asnC//csiD//ybhS//glpC//gabT//purN//malQ//malG//xylH//yebG//hns//ydcU//dgcN//gltL//ybdN//oxc//baeR//emrB//bglG//ebgC//pspA//osmB//tauD//glcE//narG//leuO//yhjX//kbaZ//rpiB//
PdhR_pos	micF//zraR//ftnA//yciX//dgcZ//
PepA_neg	lexA//yecT//emrY//
PgrR_neg	dmsA//hokD//cysK//cysI//galS//wecB//yfdV//gltI//
PhoB_neg	ymjD//isrC//nrfB//chbA//nrdB//ugpE//hybG//purN//fruB//aroG//betI//srlA//
PhoB_pos	ydfD//ycjY//araA//murE//iclR//flgC//glnA//phnN//pspE//pspD//umpH//phnC//fucU//rcnB//bglB//puuA//yagK//lysO//malS//ilvC//nuoI//malK//ogt//feaB//rcnA//ynbD//ahpC//infC//uidR//dcuR//ftsA//fecE//glcB//yibQ//ssb//speA//gatA//hdeD//araE//glpD//tdcD//leuO//iscR//cydC//gadW//hypE//fabI//torR//glgX//creC//fhuE//araD//flgC//
PhoP_neg	oxyS//fixX//oppF//gadX//ygiB//ydbK//trpB//aspC//accC//kdpF//hokD//
PhoP_pos	ulaG//gspE//ydhY//cheA//fabZ//cho//ddpB//phoH//qseC//hemL//fabB//yidL//gatB//citD//puuC//caiT//dinD//tomB//pspD//flgA//fliS//uidC//dgcC//sdhA//gntX//cysI//ppc//ftsI//metK//metR//csgD//dsbA//cusF//ptsG//potI//oppB//torC//argG//gcvP//ttdT//ydcS//mepH//focA//yfiR//tam//cysI//leuB//codB//
PrpR_neg	bglF//
PrpR_pos	psiE//uvrY//gspF//htpG//
PspF_neg	metJ//
PspF_pos	aceK//erpA//paaC//uvrA//aceA//evgA//
PurR_neg	fecB//evgA//fliG//uxuA//lhgO//idnO//puuC//fadM//csrB//kdpA//accA//alkB//gudD//glnQ//sdhC//srlR//araC//artP//hybG//araE//purN//kdpC//fabH//phoE//glnH//metQ//znuB//cbl//pgaA//ubiA//dapD//
PutA_neg	yebE//ynjI//
PuuR_neg	rbsD//ptrA//allS//ygiC//hcaE//trpA//bolA//
QseB_pos	ldtD//aroH//lyxK//hcaR//
RbsR_neg	allB//nikE//dicB//emrB//hypB//nuoK//eda//yafN//
RbsR_pos	cecR//
RcdA_neg	artI//rdoA//
RcdA_pos	erpA//nupG//ftsZ//envC//norR//sroC//rhaS//
RclR_pos	fecE//nuoI//ssuE//
RcnR_neg	yhdY//gltL//purD//
RcsAB_neg	fucA//nanK//ydbK//deoA//uspE//sodB//
RcsAB_pos	ampC//nhaR//recC//purK//glcA//lolA//nirD//cysP//dsdC//glcE//
RcsB-BglJ_pos	gltK//flgC//glnQ//pspF//pdhR//paaE//nuoJ//glmS//lsrA//flgH//dsrA//gcvH//dinG//potG//adiA//oxyS//
RcsB_neg	ynfF//yfdE//
RcsB_pos	caiA//tdcB//entH//fabB//pgaB//hyfJ//rutA//rhaD//trpE//uxuA//ychF//nuoJ//purL//umuD//tdcG//tyrP//sufC//torA//norW//hyaC//rutB//ssrS//nuoM//
RelB-RelE_neg	grcA//exbD//intQ//
RelB_neg	kdpF//appC//pspD//
RhaR_pos	yeaH//yiiS//
RhaS_pos	mgrB//feaR//kbaZ//casC//phnG//dnaN//
Rob_neg	gadC//
Rob_pos	nimR//gntP//fucI//pitB//malZ//ybfN//appB//gatB//ftnA//astD//grxD//mdtF//aidB//dinQ//cysC//hybG//fucU//umuC//puuR//casE//iscU//flgD//cho//pykF//ccmD//
RstA_neg	sufB//cspE//osmB//grcA//lrp//
RstA_pos	ldtB//nanS//mqsA//talA//betT//
RtcR_pos	fepG//ccmF//
RutR_neg	aceK//polA//argT//fes//hyfJ//yhcH//cynX//wzyE//tnaA//fhuD//fadM//paaC//ulaG//uspE//alkB//
RutR_pos	cysA//sufB//
SdiA_neg	recD//relE//phoB//
SdiA_pos	yebG//glcC//yccA//
SgrR_neg	cysW//pykF//puuE//icd//casC//
SgrR_pos	mpaA//iscA//alkA//gspL//
SlyA_pos	yciE//
SoxR_neg	cysA//
SoxR_pos	yedX//rpoD//
SoxS_neg	mngB//yhcH//
SoxS_pos	ugpQ//gatB//frc//lysR//mdtA//fadJ//ydhX//cyoC//cysU//lsrG//rob//patD//rclB//gspI//glgX//glgX//mzrA//sucC//asnA//flgL//arsB//pstS//alaS//asnA//gor//dhaK//lysC//dsbC//uvrB//hyaF//rseC//phnM//ubiC//cra//nemA//cydC//hycB//fucI//
StpA_neg	dcuS//manZ//ascB//fecD//glnQ//rpsU//fliF//
SutR_neg	entE//yciF//xylH//phnM//mepH//
SutR_pos	marB//
TdcA_pos	ydhW//ftsI//yhbS//ydfW//dsdA//prpE//pqiB//
TdcR_pos	puuB//ahpC//purK//pepD//ydfW//murD//ssuD//
TorR_neg	hisM//allC//oxyS//
TorR_pos	dcuA//intQ//yiaJ//yagK//cvpA//flgC//ybbW//cysJ//hycD//
TreR_neg	rdoA//yecT//
TrpR_neg	yiaM//dinF//symE//fixC//tfaQ//aldA//allD//envC//fliF//murC//ulaE//tomB//
TyrR_neg	cydB//aceF//rimK//exbD//purH//flgB//gadC//fruK//eda//csgB//
TyrR_pos	tadA//omrA//mhpB//
UhpA_pos	fliG//
UidR_neg	allD//xylG//ycjF//csiD//
UlaR_neg	cynS//moaC//allB//moaD//evgS//paaY//gudD//
UvrY_pos	metC//puuP//prpR//osmC//gspF//
UxuR_neg	puuD//yiaL//hyfF//dinD//ybfN//cbl//mtr//argI//serA//
XapR_pos	rbsR//narL//
XylR_neg	cytR//
XylR_pos	agaW//entD//mazG//nikD//fdnI//ihfA//
YdeO_neg	guaB//ddpB//
YdeO_pos	puuA//hyaB//cysW//dkgA//metJ//flgA//yaiW//oxc//ygeA//flgB//nanT//yjbE//creC//rybB//rutA//ycgR//oppC//cysM//ybjG//
YedW_neg	phnD//ftnA//sgbU//hydN//araJ//
YedW_pos	glnP//zntA//flgD//zntA//ascB//ugpB//thrS//
YefM-YoeB_neg	ascF//znuC//
YefM_neg	talA//rsmH//
YehT_pos	yfiR//
YeiL_pos	flgA//
YiaJ_neg	bdm//rutR//nikB//alsC//trpD//amtB//nikA//yqjA//mqsA//ariR//
YjjQ_neg	flhA//fucR//adhE//ddpA//oxyS//metH//astB//mnmG//ttdB//mhpE//
YpdB_pos	entS//
YqhC_pos	cdd//flhA//
YqjI_neg	aroG//rutR//
ZntR_pos	gltF//
ZraR_pos	flgE//phoB//tsr//
Zur_neg	ybiT//yhbT//patD//bhsA//cyaR//fnr//
