#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ibaG//paaK//
CaiF_pos	araD//rnlB//cysE//btuB//rffM//ftsQ//lpxD//zraR//chbG//nirB//
Cbl_pos	flgG//ftsI//omrB//isrC//nagA//alsC//atoB//moaC//serA//
CdaR_pos	efeU_1//zraR//mhpA//malG//nupC//gadX//hokE//puuA//hyfR//trpD//
CecR_neg	nanE//yiaO//trpL//trpC//araD//
ChbR_neg	thiP//mqsR//gatY//rcsA//creC//nohA//
ChbR_pos	fecE//csgA//insD//tyrR//lldR//dacC//
ComR_neg	fruA//
CpxR_neg	ssuC//mdtC//dsdC//yecT//glnK//eda//aceE//lpxA//relA//napH//uxaC//wzxE//trpR//efeU_1//hyfB//nfo//ytfE//dinB//gutQ//pgi//rseC//dhaK//hcaR//glpT//
CpxR_pos	nupC//phr//rffH//gntP//nuoJ//cydD//feoA//mgtL//nrdB//galS//narJ//garD//uspE//iscR//yeaD//moeA//yoaG//lsrB//fadJ//hypF//polB//ubiX//ybjC//cysD//glk//fdhF//phnN//ppdA//ppiA//purA//yncE//dps//fabH//ogt//acrZ//atoE//phnL//gcvT//rprA//ybaS//ymjC//purL//insD//gspC//rseC//modB//
Cra_neg	eno//alsE//hcaB//crp//rbsB//moaE//ppiD//hyfH//recX//hybC//rpoD//exuT//cspE//acrB//uxaB//rhaD//pdeR//trpR//dhaM//purL//cynX//mqsA//hipB//mdh//gntP//tolC//efeU_2//rpiB//fixB//slt//ynfF//flgL//mtlR//modA//ulaA//evgA//sbcD//chbB//argR//glcF//xapA//rseB//yeiL//yhjC//thrS//nrfA//pgm//stpA//moaB//csiD//nrdB//fbaB//infB//araH//argH//recD//hokE//garL//dnaN//
Cra_pos	isrC//lpxA//aroG//ompT//sbmA//rpoD//recF//stpA//artP//rbsB//znuC//casA//nimT//phnO//fliL//ynfE//lrp//oppB//psiE//tpiA//cysG//nanT//mscM//
CreB_neg	nfsA//metK//cynR//
CreB_pos	dapB//evgS//
CsgD_neg	safA//yiaM//tcyJ//ampC//lldD//yjbH//yeaD//mraY//omrB//ykgM//manY//yjbH//phoQ//ydbK//kbaY//
CsgD_pos	moaC//sroC//nhaA//phnD//nrfD//bamE//phnE_2//narL//cusA//caiF//ppdB//cynX//ytfE//
CsiR_neg	nupC//leuO//pykF//tsr//thiQ//
CspA_pos	focA//waaY//
CueR_neg	acrB//paaK//ftnB//agaD//ftsI//
CueR_pos	fadR//ibaG//
CusR_pos	paaZ//uvrY//puuP//sucD//frc//ydfD//ybhF//yhbE//rplT//ryhB//nanM//arsB//
CynR_neg	ugpC//
CynR_pos	phr//phnE_2//pck//
CysB_neg	rffT//mhpA//creC//aceE//ygdB//paaD//mgrB//
CysB_pos	recX//cheA//flgM//ecpA//cydA//nanS//ydiV//glpB//rprA//ftnB//flgJ//ppdB//gntP//wecB//ftnA//yebE//rhaD//gabD//rffH//gadF//leuC//ssuB//yhiM//malS//cysD//
CytR_neg	betA//nrdI//yeaE//crr//napH//sbmA//glnB//zraS//hha//patD//argE//rclB//ndh//
Dan_pos	trpC//fiu//araC//rstB//
DcuR_pos	melA//cadB//agaA//yhjX//ddpF//pgaB//metF//rob//soxR//
DeoR_neg	yebG//murG//puuE//exbB//fucA//qseC//
DhaR_neg	aroM//
DhaR_pos	idnT//glnH//xapB//
DicA_neg	fliE//agaS//ascF//phnE_2//xapA//araC//hcaE//sgbH//
DinJ-YafQ_neg	ydjM//dmsC//ptsG//
DnaA_neg	btuB//rnlB//grcA//norW//slp//cpxQ//erpA//ynfG//ubiX//ycgZ//moaD//
DnaA_pos	mazE//narH//frdD//nanA//artQ//fepD//fimB//
DpiA_neg	narK//
DpiA_pos	aslB//pfkA//gspL//fixA//astC//astB//purF//puuD//pnp//iscR//
DsdC_neg	acnB//
DsdC_pos	fliQ//acrB//
EbgR_neg	hcaD//ydcT//
EnvR_neg	trpR//allD//
EnvY_pos	fliG//galP//
EvgA_pos	glgB//fucU//rprA//pspF//emrK//acnB//ytfE//flhB//bioB//nrdE//obgE//cysC//cho//chbA//gpmA//exuT//dsdC//cbl//gutM//
ExuR_neg	ssuD//inaA//moaE//rcnR//cysD//ydcU//pfkA//alkB//nagE//
FabR_neg	hycD//arsB//
FadR_neg	glpK//epd//argB//ychF//yiiS//wzxE//mlc//cynR//gcvB//astD//entH//
FadR_pos	nimR//rnpB//phnK//gadA//ebgC//fixA//kbaY//caiB//paaE//alkA//lgoR//uxuA//
FeaR_pos	metY//astD//
FhlA_pos	fecI//arsC//treC//yafN//artM//crr//insD//yciG//fecB//glcD//sufS//yjjZ//flgL//thiQ//fdnI//pheS//gspI//glpT//phnK//nuoH//artJ//yjbH//caiD//hycB//tdcG//cusF//ybhG//ecpR//rbsC//katE//
FlhDC_neg	ygbA//ppiD//rutD//fliM//
FlhDC_pos	allS//glgP//rnpB//nupG//pyrC//gudX//ftnB//aceK//manY//caiA//citF//cadB//dmsA//allE//accA//fucU//yeiL//metH//yidL//entS//carA//intQ//uxuB//iscU//fepD//umuD//flhA//flgL//ubiC//phnN//pgm//pspD//paaG//appA//dapD//lacA//paaC//paaD//cysN//rutG//allS//glmU//sodA//gntX//rbsR//rbsK//hycI//argG//lolA//hycE//rffT//phoU//entD//ssb//tauB//nfo//xylG//hokE//fepC//feoC//ykiA//ung//cysN//cspD//lsrC//borD//flgJ//appA//melR//nrfA//arsB//hycG//metE//mlc//fliC//sufC//fabH//hcp//
FliZ_neg	allB//csrB//yhbT//chbA//ruvA//feoC//ada//yhjX//gpmA//stpA//agaW//yjiY//iraP//lrhA//accC//molR_1//rplT//ytfE//cbl//grcA//ddlB//
FucR_pos	hypC//nemA//znuC//cysB//hybE//sodA//glnL//
Fur_neg	ttdT//ubiA//relB//fumC//nanS//nadA//pstC//tdcD//folA//ygiZ//paaY//yegZ//hyaD//chbA//puuR//cecR//efeU_2//yafP//mgtL//pstC//malF//flgH//citX//leuL//hyfI//narX//feaB//mtlD//ccmF//uvrY//pgpC//creA//garK//cynS//gyrA//baeS//accB//acrZ//katE//agaC//napC//rffC//frdB//hycG//yciF//molR_1//mdtE//ilvC//prpC//psiF//fabD//artP//astD//gadY//chbC//casC//pagP//yoeB//gntX//ybhL//gltD//ldtC//glcG//fliA//tehA//pdeL//adiA//torR//pgpC//thrS//ccmH//araD//srlA//garR//glgP//gatZ//hipA//cynX//csgD//uvrY//nagC//cynS//ubiC//ydiV//flgL//ftsQ//nikC//rffG//fepC//puuC//glnL//garD//uspD//astE//ftsL//glcD//lldP//zraP//umpH//ddpD//rffG//yeaD//pheT//dinJ//hcaC//dgkA//hycI//xylH//speA//wecB//baeS//sucD//nrdG//pfkA//ybfN//
Fur_pos	aslB//moaA//creD//gcvB//nikE//ydfE//rtcB//folE//fabG//hdeD//lysO//pyrD//metQ//ygeA//gspL//uidR//uidB//marR//gatD//pgaD//tfaQ//
GadE-RcsB_pos	zntA//waaY//arsB//paaA//xylR//ychF//omrA//ycjG//araA//
GadE_pos	gabT//pstC//paaH//ldtC//agaC//sufA//fur//cynR//hslJ//fliJ//idnD//bdcA//mgtL//rhaA//mdtA//mprA//argG//soxS//nfo//ygiC//malT//phnJ//rbsA//kbp//agaS//appA//gcvP//bioC//purR//
GadW_neg	symE//pdhR//dnaA//yrbL//phoH//chiP//fucR//yccT//rbsA//nirD//nrdD//
GadW_pos	fadM//yjhC//galM//pck//sgrT//yqjI//agaB//fliQ//wzb//ribA//ykgM//
GadX_neg	fecE//ydiV//aroP//hokE//sufS//gspI//
GadX_pos	deoC//hypD//gspH//artJ//pepD//arsB//dpiB//cdaR//ugpC//ymjD//osmC//ydcT//mhpA//atoE//yhiM//feaR//intQ//slt//nemA//ygbK//yaiW//yjbF//dhaM//hyaA//moaA//sgrT//acrZ//
GalR_neg	phnN//argG//nadB//hmp//tdcA//ugpC//fhuE//yqjA//rstB//galP//
GalR_pos	dmsB//tnaA//katE//napG//
GalS_neg	uvrA//yncE//fepB//citE//uxuB//rimP//betI//gadB//rpiB//hybC//
GalS_pos	glpX//nimR//mgtA//cysG//
GatR_neg	feoA//hybG//purR//malI//cysA//purA//
GcvA_neg	ariR//yegH//napH//tdcE//
GcvA_pos	moaD//paaA//deoC//allE//
GlcC_neg	cusB//
GlcC_pos	ycjG//ssuA//xylF//gltL//glcE//creD//
GlpR_neg	tdcG//flgA//dpiB//baeS//mscM//hypB//yjhB//emrA//accA//
GlrR_pos	galK//purD//hcaR//hipB//fliL//
GntR_neg	manZ//dinD//bolA//bioC//fecA//ynbD//pspE//puuB//fixX//fliN//cas1//adiC//
GutM_pos	ydeI//ydcS//phoQ//dicB//malZ//csrB//cusA//
GutR_neg	glcD//ybfE//cdd//pstB//erpA//sodB//oppB//
HU_neg	ybhS//isrC//ruvA//cueO//phnP//ccmD//evgS//ttdT//
HU_pos	glcD//
HcaR_neg	waaZ//
HcaR_pos	argT//yeiB//hmp//fecB//yiaO//
HdfR_neg	narK//ccmG//
HdfR_pos	nikC//hyfE//speA//
HigA_neg	yjjQ//yfbR//
HigB-HigA_neg	fldA//flgM//
HipAB_neg	ycgZ//idnR//fabH//metC//phnN//
HipB_neg	glnA//agaB//yhhY//tdcF//phnN//nrfD//
HyfR_pos	sbmA//sdhD//glcD//sufS//rimP//pspF//glnK//sucD//chbG//ubiX//trpR//rpiB//
HypT_neg	yecT//hycI//yjhB//prpD//ygiC//
HypT_pos	feoB//tauA//marR//degP//zwf//nanA//cysM//dgcZ//
IclR_neg	fadI//galR//astD//modC//
IdnR_neg	hyfA//hyaD//
IdnR_pos	dsbC//nac//cueO//mglA//fabH//
IlvY_neg	cysD//
IlvY_pos	hyfI//
IscR_neg	tsgA//fliC//wzc//narX//ung//lysC//hslJ//hyaF//tcyJ//pgaD//ycjG//trxC//luxS//relA//nuoJ//fliE//fnr//ycgR//glcG//ygdB//tnaB//
IscR_pos	rhaR//cyaR//fhuC//ymgA//hlyE//uvrD//putA//feaR//sgbH//nanA//metK//
KdgR_neg	paaX//glnK//
KdpE_pos	phnI//oxc//yeaH//allD//
LacI_neg	sbmA//fadJ//ykgO//
LeuO_neg	pstA//flgI//mngB//
LeuO_pos	aceA//gspF//adiC//ugpA//uxuR//cpxA//hslJ//tcyP//gspK//glpB//hemL//dkgB//frdA//yecR//rfe//uidC//yccA//ttdT//
LexA_neg	hcaD//phoU//wrbA//recA//ccmF//iclR//araJ//yaiA//allC//pgaD//phoP//uof//dnaG//hydN//gnd//casB//ppsA//aceK//ydhT//dkgA//hypA//moaD//lpxA//gspG//mprA//manY//cirA//erpA//efeU_1//dhaK//nimT//ada//ydcS//ydfX//malK//hycB//cyoB//tfaQ//galE//dinB//gadE//melA//agaR//hisP//recF//csiD//rpmA//ompN//ycgR//cusF//hycB//ssuE//cydA//agaS//argI//ptsH//gcvT//pspB//glnA//
LldR_neg	chiP//dmsA//ptsI//
LldR_pos	nuoH//mpaA//ynbA//
LrhA_neg	pgaD//mglB//
LrhA_pos	rbsD//infB//
LsrR_neg	frdC//pagP//glgP//dapD//intQ//gcvB//ccmA//sgrR//ybhR//
LysR_neg	gltI//
LysR_pos	motB//
MalI_neg	rclA//crl//marB//
MalT_pos	rprA//lsrD//yaiA//ymgA//bioA//cysD//cysU//flgK//yaiA//allC//
MarA_neg	napC//mhpA//ppc//relA//dsdX//relA//truB//
MarA_pos	lhgO//sdhC//ahpF//uidB//sgrR//mzrA//paaB//soxS//yeaG//efeU_1//yrbL//lolA//pheT//cysE//bacA//ydfW//rbsA//gudX//ccmH//nikD//ydfH//ynfE//fecA//frdD//glnQ//fixX//exbD//yfaE//puuD//fhuB//nagC//
MarR_neg	torA//nuoL//puuR//
MatA_neg	fur//glcF//aspC//oxc//dctR//yagK//
MatA_pos	ugpE//caiA//
MazE-MazF_neg	argG//argD//hypF//
MazE_neg	flhD//paaX//yhjA//
McbR_neg	yafQ//
McbR_pos	rbsC//idnR//citF//
MelR_neg	erpA//feaB//araE//
MelR_pos	gltK//nhaR//lamB//
MetJ_neg	ssuA//entF//codB//pfkA//torD//aslB//grcA//yhbS//malZ//narX//infB//fliK//ycjF//dctA//gspI//
MetR_neg	mhpT//rnlB//
MetR_pos	sgrS//ydhU//hyaB//betA//
MhpR_pos	hyaA//rbsK//uxuA//csgB//cysC//yfbR//
Mlc_neg	bglF//tonB//lpxA//nirC//recC//norR//bioA//borD//xylF//ydeI//
MlrA_pos	cysE//lolA//lysC//dhaL//uvrY//nupG//glnQ//glnQ//fadJ//fhuD//
MngR_neg	puuB//mioC//ldtC//
MntR_neg	tcyJ//mpaA//uvrY//feaR//
MntR_pos	nikD//
ModE_neg	uspA//xylG//rimP//hipB//nfo//ybhR//frdD//moeA//yfiB//prs//ykgM//ycjF//thrS//fimE//truB//
ModE_pos	cadC//dkgA//phoA//hyaE//thiQ//bioB//dinB//puuA//ydhX//hybD//paaE//gudP//ryhB//torR//ssrS//treC//tbpA//trpA//nikE//mhpF//dkgB//ssuC//argH//yaiW//mglC//borD//cyaR//rffH//dnaG//pdeR//fnr//
MprA_neg	rclB//osmB//hybD//ykgO//cecR//yafQ//
MqsA_neg	fur//ydiU//mngA//fecA//hypA//gadE//leuA//prpR//
MraZ_neg	lsrC//accB//zinT//rplU//malY//potH//dsbG//fliQ//psiE//yhbS//phoH//mraY//metC//dicB//cusR//wzb//uxuR//
MtlR_neg	micF//citE//emrB//
MurR_neg	fixA//ygbK//ahpF//
MurR_pos	uidR//
Nac_neg	nfo//nupG//yhbT//argC//rdoA//glxR//ydeM//nrdI//artP//
Nac_pos	aceA//flgL//fecR//rfe//yoaC//fadL//flgH//iscS//gspK//fliE//ytfE//yneM//
NadR_neg	nrdD//leuO//lyxK//fliQ//
NagC_neg	rclB//purR//fecC//yhiM//mlc//ybbY//yeiB//uxuR//cyaR//ilvY//lacZ//ydfH//sufB//kbaZ//caiF//tyrR//dsrA//gntU//oppB//nikR//tnaB//pdhR//safA//hipB//mhpD//ttdR//bdcA//uhpT//glpK//hycG//glmS//guaB//ilvC//
NagC_pos	yfdX//alsA//mngB//
NanR_neg	nuoG//feoA//fliM//ydeP//ydcV//fixB//fadL//dinB//guaA//ydcV//
NanR_pos	ybhS//
NarL_neg	fixA//nagE//yqhG//mipA//cdaR//fes//cysW//uspD//fadM//ppiA//puuE//relA//purC//yegR//hycE//ybaT//yqjA//nagC//adiC//higA//truB//pstB//mdtC//omrB//ppdA//iscU//idnT//rimP//pdeH//kdpB//eda//torC//ppsA//flgH//nrfD//phnD//ttdT//nrdF//alkA//mgrB//narL//pykF//csgF//tyrP//ygeH//nikR//tynA//erpA//ahpF//ydcU//bioC//aroH//creB//pyrD//ycjF//yebG//ulaA//mlc//mioC//tbpA//psd//citG//glcD//rob//ptrA//yciF//dsbG//yjbF//mazF//folA//pheT//icd//glxK//nhaR//yoaG//cysU//xylG//nanA//bglG//fabI//hybA//hcaB//ugpQ//yhbS//bioC//yidQ//sfsB//
NarL_pos	mhpE//dctR//dinG//fhuE//malZ//guaA//alsE//yhiD//idnD//guaB//dinG//ung//ftsA//ydbK//ftnA//oxc//copA//rseA//deoB//mqsA//treC//leuL//uspA//betT//gfcA//adiA//nuoL//pspB//phoQ//napA//ybdZ//metR//ada//ybbW//nikD//ybhS//puuE//nuoJ//focB//hyfR//fadD//lldD//puuC//
NarP_neg	yncE//prs//zraS//mzrA//yjbF//rpsU//sfsB//rpmI//dsrA//cydB//norR//gspC//fucA//argI//pgaC//yfdE//fecC//guaB//ydiU//gcl//nimR//ybhF//pyrD//fepB//ddpX//trxC//pdeL//fdhF//hokE//fadJ//lacY//alkB//ydfD//
NarP_pos	fliO//xylB//fliO//fliD//allS//pstC//ydbD//moaC//gltI//mdh//fepB//tyrP//insK//pstS//gadA//ybbY//yqjH//mlc//mepH//casB//rpiB//cdd//hycG//nimT//rcnB//recN//flgF//iscS//thrS//argP//lacA//arsR//
NemR_neg	relB//tauD//galR//
NhaR_pos	yjhC//metK//dsrA//fliI//puuD//hybE//deoC//
NikR_neg	bhsA//ykgO//dpiA//guaB//chbR//rhaR//
NimR_neg	pgpC//rdoA//
NorR_neg	nikE//
NorR_pos	nanT//dkgA//
NrdR_neg	fdnH//yaiW//sbmC//ftnA//argC//yccT//fixA//lysP//csgA//
NsrR_neg	insK//aceB//csgC//cydC//fecI//tdcA//phnO//lldD//hycH//oxyS//fliD//yegZ//ynfK//dnaA//manX//trxC//ycjX//codB//bluF//cysC//ompC//citC//yoeB//malF//alaC//trpE//lysR//ssuE//metE//phr//rpmI//yjbE//fadA//ompC//glnA//metC//phnO//iscR//mhpF//tisB//mprA//dacC//metB//modB//gspI//pgaD//flgM//uvrB//umpH//rhaT//hipA//hha//hokD//aldA//appX//puuA//entE//melB//prpE//ydeN//hslJ//rpoH//psiE//sgbH//mlrA//motB//hyfD//rpoS//rffC//ugpA//gspJ//psd//sdhC//codB//araC//hcaR//ykgO//zraP//tehA//phoQ//cusA//ydbD//ydeN//
NtrC_neg	hypA//leuO//argT//ydhV//hypB//deoA//
NtrC_pos	oxc//nrfD//fecR//gspC//narL//iraP//hisM//glnQ//amtB//gadA//recC//poxB//putA//glgX//grcA//yhdY//csrB//fixB//slp//dinQ//yjbH//agaB//recD//gcvB//copA//ydeI//pheM//wzzE//ygiA//mglB//yjjQ//mscM//lsrA//rbsD//efeU_2//fliA//relB//hyfC//mlc//feoA//pck//glnP//astC//ecpR//fabH//fliQ//dacC//atoE//phnP//
OmpR_neg	hdeA//yciX//nrdI//phnM//malG//csgG//metJ//paaH//metL//lsrG//mgrR//napC//
OmpR_pos	nadA//umpH//nrdA//hycE//fixX//bioD//dgcN//hypB//narH//ygaC//
OxyR_neg	uspD//erpA//pykF//casB//ccmB//torR//yeaG//citE//gatZ//sgbH//cspD//wcaB//
OxyR_pos	aspC//ftnB//ybhG//hybD//bluF//glmS//flgI//lrhA//fnr//accD//glgC//hycE//emrK//gltJ//ydhX//gatA//lsrK//gudD//cbl//yciW//rffG//lpxC//
PaaX_neg	oppD//glcA//nupC//yfdV//gatD//gspL//yfiB//malF//ariR//ulaF//fabZ//marR//ppiD//prpR//
PdeL_pos	yiaM//
PdhR_neg	csgD//leuA//fhlA//sufC//garP//gdhA//yhiD//ybjG//torD//paaD//malK//mlrA//yiaN//hisQ//ynfK//glpQ//feoA//ascB//yfiB//rnpB//leuB//ecpR//gntU//asr//malP//murF//nfuA//nrfD//tsr//hybA//purD//yefM//yqjI//nrfB//uidC//aspA//
PdhR_pos	mngA//betA//citE//cynX//uvrC//
PepA_neg	yebE//ahpC//frdD//
PgrR_neg	ogt//ydhW//ptrA//ydiV//paaG//napB//creA//cadA//
PhoB_neg	nfuA//nhaA//hflD//cynT//tisB//speA//agaD//gadY//gadW//ulaE//srlB//rhaA//
PhoB_pos	safA//phnN//hybF//pspE//thiQ//fliC//hisJ//murF//napH//rbsB//pspF//ung//relE//rpoD//gpmM//glcA//dsrA//ynfG//phnF//nirD//gatA//pfkA//envC//glmS//hipA//creA//rnlA//nfsB//narJ//focB//spy//fucA//cadC//gcvB//molR_1//ybaS//poxB//potF//phoH//eno//ftsW//tdcA//malE//nuoJ//rstA//uidA//entB//crr//mpl//csiD//malF//hcaR//glcC//
PhoP_neg	fiu//crl//relA//ompN//uxaA//yiaL//polB//ycjX//emrA//araA//flgI//
PhoP_pos	ptsI//osmB//yiaO//hdeB//mdh//galS//ydjM//fldA//yhdX//lysC//wza//gspD//cadA//nanC//nrfA//ychF//ecnB//yhiM//pyrD//argO//gutM//pheS//rutE//phnH//yfdE//mntS//yaiW//prpB//wza//fepB//yhdY//flhD//hyaD//wzc//wza//araE//yciW//ddpD//malP//lysP//psd//uidB//srlE//tnaA//betT//mlc//nirD//cynS//
PrpR_neg	ykiA//
PrpR_pos	potG//sbcC//setA//glnD//
PspF_neg	trpL//
PspF_pos	cyoB//sbmA//creB//metE//metC//flgC//
PurR_neg	fepA//nagA//idnD//feaR//iscR//gspL//gor//ccmE//ihfA//cyaR//ppdA//yciF//mdtB//ydfE//rhaD//uvrY//ydeM//murP//obgE//sbmC//lyxK//nemR//cho//ascF//ugpB//exuT//tonB//cynX//pyrC//symE//modC//
PutA_neg	cheW//oppB//
PuuR_neg	ugpA//caiC//hipB//skp//glpF//argI//tauD//
QseB_pos	hcp//ymjD//srlA//cusB//
RbsR_neg	fecI//copA//gpmM//caiE//dcuB//rpiR//yefM//ssrS//
RbsR_pos	fiu//
RcdA_neg	yjbF//gadC//
RcdA_pos	dcuD//cusR//ugpE//dacC//acrR//purC//gntU//
RclR_pos	torR//malX//pstB//
RcnR_neg	phoP//btuB//mqsA//
RcsAB_neg	entF//pck//phoP//recC//allC//gcvH//
RcsAB_pos	mzrA//wcaB//ttdA//argB//ygiC//malI//malF//ycjF//edd//sulA//
RcsB-BglJ_pos	fucP//paaK//paaE//oxyR//nuoF//nohA//araG//rbsB//marA//hypD//metL//codB//cusF//rnlB//modB//astE//
RcsB_neg	wrbA//gcvB//
RcsB_pos	pheM//yfiR//gyrA//mlc//glnH//asnA//lsrD//codB//lysP//fliQ//prpR//rbsC//phnG//uidR//fimB//deoC//ptrA//gcl//metY//ddpA//gatB//glnL//gadA//
RelB-RelE_neg	idnD//uxuR//yafN//
RelB_neg	slt//glcB//fruA//
RhaR_pos	paaI//acrA//
RhaS_pos	hybE//creC//pnp//sroA//fimB//cysJ//
Rob_neg	flgJ//
Rob_pos	pstS//ugpQ//ygiZ//mprA//glnK//rprA//malI//pstA//mipA//yiaM//ydeO//artJ//lgoR//omrB//yhdY//idnT//higA//adhE//flgG//sufD//gadA//moaB//yiaO//rpmA//fruA//
RstA_neg	fruB//entE//ynfE//lsrF//hyi//
RstA_pos	znuC//nrfE//moaC//putP//agaS//
RtcR_pos	yccJ//nrdI//
RutR_neg	ybfE//hisP//oppF//rtcA//garK//casC//ybiT//murQ//ycjF//lacA//fadD//ibaG//yciW//hdeB//wecE//
RutR_pos	norR//phr//
SdiA_neg	nuoH//pdeH//borD//
SdiA_pos	polB//dapD//fliE//
SgrR_neg	trpB//relA//cysK//fruA//ynfG//
SgrR_pos	pykF//ulaG//paaI//ydeM//
SlyA_pos	dcuD//
SoxR_neg	murG//
SoxR_pos	glpX//bglJ//
SoxS_neg	fliO//csrC//
SoxS_pos	yeaG//hydN//flu//argC//astD//xapB//tynA//patA//dinI//fucO//tnaA//prpC//psd//udp//chiP//pyrD//glgB//pflB//rcnR//gatA//rprA//fliM//gabD//accB//hipA//napB//yjhB//hcaB//malF//fliA//entA//ldtC//oxyR//tyrB//hipA//sucC//glnD//ygeH//
StpA_neg	mdtC//dgcZ//sgbU//entH//argA//paaX//accA//
SutR_neg	fucU//ybdZ//yiaO//nirB//gloA//
SutR_pos	entH//
TdcA_pos	hisJ//gspC//pspD//dps//yjeV//yfdX//phnC//
TdcR_pos	xylF//hcaF//fadJ//rybA//mgtL//ccmE//cspI//
TorR_neg	gspL//gntK//mtlD//
TorR_pos	cynS//cra//kbp//wrbA//lrhA//pgaA//hcaR//ynbD//treB//
TreR_neg	ydfD//guaB//
TrpR_neg	yafN//dnaG//pheS//nirD//flgF//lhgO//yqhG//rtcB//yfaE//acrZ//paaD//fliN//
TyrR_neg	dhaL//nuoE//nanT//aroG//torC//ulaA//yqhD//ydiU//gspH//bglJ//
TyrR_pos	atoD//ftnB//murE//
UhpA_pos	argR//
UidR_neg	rhaB//yeaG//acnA//lexA//
UlaR_neg	fpr//cueO//udp//umpH//nanT//malS//fliC//
UvrY_pos	eda//rybA//soxS//yciF//malS//
UxuR_neg	fhlA//nrfG//hisP//melA//gloA//cpxQ//ydcU//gspJ//paaC//
XapR_pos	creD//yegH//
XylR_neg	moaC//
XylR_pos	yiaK//gutQ//pgi//torR//yjhC//rcnA//
YdeO_neg	gspD//ptsG//
YdeO_pos	mgtA//mgrB//modB//cyaR//feoB//dinB//entB//uvrY//cynR//caiA//dmsC//ssuE//ymiA//phnE_2//napA//ymjD//feoB//fixB//uvrD//
YedW_neg	rhaT//argT//oppB//hisP//flgJ//
YedW_pos	nrfA//glpQ//fixX//xapB//hcaB//uspD//sucB//
YefM-YoeB_neg	nuoG//fadB//
YefM_neg	feoA//creB//
YehT_pos	relB//
YeiL_pos	murC//
YiaJ_neg	lsrG//nuoE//dinG//purF//cysI//phoR//hcaD//yedX//fliR//accC//
YjjQ_neg	betT//ompN//ycjF//dcuB//tam//rhaR//flgE//allD//sgbU//gapA//
YpdB_pos	glgC//
YqhC_pos	purD//ynbA//
YqjI_neg	gloA//torD//
ZntR_pos	argT//
ZraR_pos	ytfE//srlE//waaY//
Zur_neg	ppdC//ompW//ogt//yhhY//pgaB//metB//
