#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	patD//pdeL//
Fur_neg	gatZ//hha//metJ//hisJ//cydA//yedX//yiaK//chbG//garR//recA//dnaA//yeiB//rarA//chbF//ibaG//tomB//gspJ//gutQ//relB//emrA//ycgR//cysN//folE//entB//alsA//nagC//phr//dhaL//slyB//lpd//iraP//araC//idnT//fecC//pncB//paaJ//ydhW//pyrC//acrD//phnJ//mtlR//fadH//sroA//garK//efeU_1//fumB//lldR//mazF//purC//yfiR//rtcB//garK//acrD//uxaB//appC//trpR//slyB//aroM//kdpC//ykiA//cho//fliI//fadJ//wecE//bioB//fixC//ydcS//lldP//csgA//ydcU//tsr//yjeV//fliS//ompW//bdcA//csiD//hybE//pstB//fabB//murR//phoB//purN//lhgO//ddpF//cdaR//potF//manX//nikC//flhE//pstB//hyfG//artI//ynbD//tfaQ//malP//fadB//hlyE//argT//flgN//bluF//hokD//napD//ydhU//sufC//idnD//trpC//relA//tpiA//paaE//dctA//hslJ//casB//mhpF//fadE//uspE//
Fur_pos	dapD//rnlA//symE//nikE//tdcG//ssuC//polA//yjbH//zntA//yjbE//caiC//nadA//appA//poxB//glcC//dmsC//yiaL//xapA//uxuB//pstB//gatZ//
GadE-RcsB_pos	nanE//hyfC//fepB//ubiC//paaC//amn//gspH//mntH//fliQ//
GadE_pos	araD//bdm//lsrA//metL//gntK//tyrR//ftsZ//gadY//lysC//pstB//fliN//mglA//ttdT//tadA//rpoE//aroH//flu//napB//cas1//hyaA//gudX//adhE//gutM//yjjZ//fliN//relB//deoA//qseB//citE//
GadW_neg	rpiR//entC//flgE//murD//yciF//katE//srlE//zraP//agaA//nanS//symE//
GadW_pos	gltI//garK//flgB//fliT//gadA//emrA//gadF//glmU//ftsQ//wecB//paaX//
GadX_neg	purE//mtr//sroD//ycjY//norW//carB//
GadX_pos	sgrS//baeS//metE//sodB//amtB//argD//sbmC//melA//rcnA//yhbT//ascB//hyaA//fruB//metN//ydbD//lysA//mdh//nuoF//ryhB//metN//rutA//argI//melR//fepG//mntS//feaB//lon//
GalR_neg	acrB//hybB//osmB//pstB//dsbG//purD//safA//ihfA//trpA//sdhD//
GalR_pos	fecC//katE//phoE//fecA//
GalS_neg	ydhW//flhD//bioB//mglC//flhD//cydC//nlpA//agaV//zinT//ilvC//
GalS_pos	araG//cydA//osmC//pgpC//
GatR_neg	yfiR//cynS//dhaK//casD//pqiA//ttdB//
GcvA_neg	uvrB//fliJ//dmsB//gpmA//
GcvA_pos	puuB//marA//tbpA//ulaC//
GlcC_neg	argO//
GlcC_pos	tcyP//deoB//isrC//yqaE//ygiZ//phnJ//
GlpR_neg	csgE//tbpA//ydfD//entS//emrA//pdhR//ydjM//ssrS//mntP//
GlrR_pos	mgtA//ydfN//ydiU//bglF//recX//
GntR_neg	tyrA//icd//lpd//alsB//sufC//hisP//cueO//mepH//glpA//paaK//yqjI//spy//
GutM_pos	potI//fadD//yoaC//cusA//ulaD//nikB//gntK//
GutR_neg	ycgR//fliJ//tnaA//lysR//ftsQ//ynfE//sdhD//
HU_neg	narG//icd//adiA//gor//argD//csgE//pyrD//galP//
HU_pos	acrZ//
HcaR_neg	zraP//
HcaR_pos	tsr//gspK//uspE//sufS//hycH//
HdfR_neg	sgbH//ulaA//
HdfR_pos	feaB//fabZ//melA//
HigA_neg	nrdF//aroF//
HigB-HigA_neg	mglA//glnH//
HipAB_neg	araH//metC//hyfD//glpC//ihfA//
HipB_neg	torD//yfiB//melA//malM//araJ//pgm//
HyfR_pos	intQ//acrB//mepH//fabH//appB//dicB//stpA//znuB//paaZ//gcvT//pgaA//umuD//
HypT_neg	hyaF//ygbA//ftsA//hycF//cysI//
HypT_pos	paaJ//pck//feaB//mhpF//fecC//rpoE//fepA//speB//
IclR_neg	ftsQ//glpD//csgF//rprA//
IdnR_neg	hypA//asnC//
IdnR_pos	wzxE//aspC//lsrF//gutM//idnR//
IlvY_neg	ompF//
IlvY_pos	frdB//
IscR_neg	dkgB//marA//hcaB//nuoA//narI//aspA//folE//kbaY//allC//yhjA//pck//fumB//fadI//norV//fadB//fecB//garK//prpB//fdnG//csiD//zraS//
IscR_pos	sbcD//mdtC//galM//glpC//ykgM//melB//yhiM//narK//moeB//insK//nagE//
KdgR_neg	casB//ygdB//
KdpE_pos	rpsU//dsbC//chiP//nfsA//
LacI_neg	fabI//paaF//ttdB//
LeuO_neg	acrB//allE//yciF//
LeuO_pos	yjbF//yiaM//ugpQ//manY//ccmA//hyfB//tynA//uidB//hslJ//tktB//ompF//fecR//ydfX//iscA//tnaC//ygdB//hybO//pdeR//
LexA_neg	ddpD//rbsC//arsR//pitB//hyaC//sutR//narX//tehB//exbB//yiaL//fucP//cysN//paaH//ebgC//paaJ//xylA//pqiB//ybaT//flgD//malF//fliZ//gyrA//ynfG//puuR//fepC//nadA//ompT//cas2//rpsO//pnuC//pyrD//fucA//efeU_2//ftsI//ddpD//intQ//aldA//nanE//chiP//ybdN//fepE//yciF//ydeP//ydbD//deoB//ydcT//cysJ//cusS//atoD//wzb//fabH//ulaC//yefM//cysN//rutE//ppsA//fadI//nanA//mgrB//
LldR_neg	rhaA//hypE//uhpT//
LldR_pos	psiF//uxaC//gatD//
LrhA_neg	uxuB//gpmA//
LrhA_pos	tyrP//ykgO//
LsrR_neg	napC//decR//ompN//mlc//hisJ//yedX//cecR//yciX//metC//
LysR_neg	udp//
LysR_pos	mdtB//
MalI_neg	ygiA//fumB//insK//
MalT_pos	cyoE//dps//pdeH//mntH//hyfD//prpE//pgpC//flgL//omrB//serA//
MarA_neg	hyfH//aroP//caiE//iraP//gntK//fldA//tdcA//
MarA_pos	fepC//slp//mdtA//fliN//mnmG//ssrS//mdtB//hyaD//ptsI//tyrA//ruvA//treB//pyrC//uxaA//frdD//moaA//ybfN//udp//hyi//tdcB//creC//mntH//glmU//rseC//psiE//tbpA//fimB//yiaK//wzzE//dnaG//phnJ//
MarR_neg	mdtE//idnK//cydA//
MatA_neg	psiE//fepG//dmsD//murC//yagK//chbC//
MatA_pos	fdnG//potH//
MazE-MazF_neg	recC//pitB//ampC//
MazE_neg	lrhA//fliO//hypF//
McbR_neg	katE//
McbR_pos	rarA//phnK//trpR//
MelR_neg	nfo//idnO//ecpA//
MelR_pos	ompN//gspL//ugpC//
MetJ_neg	cusS//fliN//araC//yciW//micF//cadB//mazE//paaX//argD//yedX//lsrC//malY//tcyJ//ubiC//tauD//
MetR_neg	ilvY//insD//
MetR_pos	fabG//fliP//fabG//pspE//
MhpR_pos	ybhG//lsrB//alsB//guaB//gatA//allB//
Mlc_neg	moaD//hyaD//araF//ybiT//rseB//iclR//frdD//caiA//ygiC//yjhC//
MlrA_pos	csgF//mgtL//agaC//pspF//pstB//citD//paaE//hyfA//dsdX//atoA//
MngR_neg	modC//sbcC//sdhC//
MntR_neg	ttdT//yegZ//malP//bdcA//
MntR_pos	gpmM//
ModE_neg	insK//mngR//galT//chbG//ttdT//cbl//sucC//sdhC//mnmG//yaiA//hyfE//guaA//pspD//trpR//lldP//
ModE_pos	tehA//mtlA//gor//lysP//modC//hycI//gabD//arsC//hcaD//gcl//polA//mtlR//gutQ//molR_1//feaR//poxB//paaF//cpxQ//nupG//pyrD//ybhL//asnA//yfiB//moaD//gor//glgC//dpiB//dhaR//aroH//ynfE//araG//
MprA_neg	hyfE//uvrD//malF//hyaA//cynT//yhbE//
MqsA_neg	yfdV//ynjI//rutR//caiF//dinJ//ddpF//nrdE//hyi//
MraZ_neg	kbp//trpR//phoQ//sra//gutQ//ydcT//casD//fadL//hisQ//lexA//ynbB//puuR//fucA//tktB//rpoE//cysD//pgaB//
MtlR_neg	yneM//ybdZ//cysN//
MurR_neg	creB//tcyP//tomB//
MurR_pos	tyrP//
Nac_neg	glpD//puuA//lysP//chbR//ydfX//flgC//yiaO//entB//sufB//
Nac_pos	ruvA//gor//malK//ygiC//tehB//ybjC//lpxC//yqjI//gapA//nuoC//fepC//ydhU//
NadR_neg	fliJ//spy//nuoA//fliO//
NagC_neg	nlpA//uxuA//ompC//glmS//fliM//nfo//ttdA//marR//thrS//wcaB//phnD//purK//symE//tauA//wzb//hcr//agaD//dicB//soxR//hyaA//tdcD//gapA//envC//rffC//pspC//csgB//rpoD//yqhD//rnlA//phnN//ybhF//uvrY//puuE//
NagC_pos	yhjX//uidA//ihfA//
NanR_neg	dcuS//cysJ//ydfX//yeiL//agaI//ilvY//yciF//prpD//citC//acnB//
NanR_pos	ppsA//
NarL_neg	csgA//argT//aceK//lysC//glcC//argB//feaB//accD//dnaG//pgaB//ybfN//sra//citD//ymgA//betT//infB//fliF//nupG//oppC//pgpC//cysC//ascF//fimB//tcyP//fhuA//hcaR//oxc//lrhA//uspA//fimB//gatY//murP//rutA//purK//flhE//aspC//yhiM//paaJ//crl//yhcH//dinF//puuC//fepA//cysG//rbsB//phoA//nemA//fhlA//uvrC//metY//flgK//sodB//flgC//nrdB//fadE//luxS//pyrD//purM//kdpF//ycgZ//mqsA//polB//ymgA//moaD//entC//sroD//norR//gspH//gor//argP//chbB//arsC//ugpB//ykgO//fnr//ykiA//mprA//ompF//allB//waaZ//yhdX//lsrB//rutA//recX//yhdZ//gatC//feaB//
NarL_pos	setA//dpiB//ftnB//tnaC//dgcZ//aroM//bglF//narK//yjeV//nagC//pgm//ftsK//mgtA//katG//accC//gspE//oppC//galK//mazG//yfaE//feaB//codB//hyaB//mtlR//pyrD//ydfD//osmB//cas1//rbsK//cirA//melA//creC//alaS//iclR//phnF//gnd//uidB//acrB//gatZ//mscM//sbmA//nagB//cysK//
NarP_neg	caiA//ynbA//malP//accB//higA//fepA//adiC//motA//mngB//uidC//puuC//yiaO//fliJ//dinJ//rtcB//infC//yqjH//rsmH//xylR//gntP//phoB//mqsA//flgH//qseC//puuR//metK//manX//mltF//pheS//ynfG//caiT//narX//alsC//
NarP_pos	fecE//murP//sbmC//pgm//cysC//gadB//fdnI//flgM//ldtC//ahpF//rffC//gspI//artP//pgk//rpsU//glnA//cueO//soxR//ydjM//crl//ydhV//fdhF//modB//gatB//srlD//ynbC//hyfD//mscM//sutR//caiB//betB//hycE//
NemR_neg	ugpE//murQ//sbmA//
NhaR_pos	wecE//casE//gspF//glcF//nrdA//recN//pagP//
NikR_neg	appA//gatA//yoeB//ldtB//prpE//hisJ//
NimR_neg	flgI//hisP//
NorR_neg	feoA//
NorR_pos	fecC//dicB//
NrdR_neg	adiA//nusA//hslJ//creC//yccA//ymjC//fldA//katG//nuoA//
NsrR_neg	speB//bioA//hflD//dctR//aroF//appY//dkgA//flhA//chbB//dsbA//malX//aroF//hemL//rbsR//deoD//focA//cusB//ulaE//nanK//hemH//micF//rybA//ftnB//higA//rob//hyaC//zntA//lrp//dhaM//ssuB//csrB//pgi//mdtE//frdB//ccmF//ruvA//ldtC//entE//fepC//fepE//hcr//cynX//appC//yhdZ//gadC//talA//argR//inaA//malE//lolA//pflB//ykgM//galR//tisB//ompW//rstA//hybO//yhdW//oxyS//mhpD//hypD//insD//ybhL//norR//asnC//eno//ynbA//paaD//hyaA//umpH//oxyR//gltK//citE//pepD//nanK//xylA//yegR//pfkA//yncE//artM//osmY//murF//cdd//
NtrC_neg	pfkA//bglB//cpxR//cheA//tktB//skp//
NtrC_pos	malS//ydiV//fliS//flgI//ykgM//sufB//galS//glnB//metL//yfdV//srlE//ydhY//btuB//polB//symE//rhaD//pspG//tsr//fadD//sbmA//hybC//recA//rseB//fliC//gspF//caiE//ygiA//ubiX//uidB//lrhA//ychF//hokE//hyfG//flgA//cydC//hyi//dinB//entF//ssuC//yecT//tsgA//nuoN//alsC//pspB//araJ//emrA//fliA//marB//fadI//
OmpR_neg	ptsH//rstA//aroL//napC//pspC//ftsA//atoD//hyfA//yecR//kbp//pspD//ssb//
OmpR_pos	csgG//sucC//fliS//feaB//argC//yiaJ//argT//gadE//rcsA//melB//
OxyR_neg	yebG//uxuB//flgH//sroA//wcaA//malM//glcG//gspM//dkgA//gspJ//nuoI//nirD//
OxyR_pos	yqjI//pstB//ecpR//focA//ppdB//dtpA//tdcA//fepD//phoQ//chbF//pgm//fucI//relB//pncB//ydjM//yafN//bioA//gadF//metJ//pnp//ybjC//ahpF//
PaaX_neg	hyi//metF//agaB//dcuD//flgB//cysE//pstC//ynjI//flgM//nuoE//flgK//atoE//asnC//uxuA//
PdeL_pos	glyA//
PdhR_neg	rutB//dgcC//creC//fadL//nrfF//ygbA//rseB//malZ//hypA//malY//fruA//murD//yiaL//xylH//fecE//trxC//thrS//cecR//yciG//fumB//cadA//hycE//ybhR//kdpC//bdm//fixA//nemA//efeU_2//fecA//bglG//hycD//ydcT//yhiD//araG//dinD//rbsA//
PdhR_pos	prpD//gloA//alaS//fepA//aroH//
PepA_neg	dinD//nadA//rcnR//
PgrR_neg	entB//gspF//tdcF//malE//sufE//nrfG//hybC//gabP//
PhoB_neg	ptsI//mscM//gcvT//purR//putP//alkB//yfdX//hypC//oppD//mgrR//hyaD//yidL//
PhoB_pos	metH//malS//ubiX//nrdD//fumC//glcE//rpoE//dinG//lhgO//metJ//puuR//rpmA//mcbA//rpoH//uof//allE//sgrT//bioC//ydfX//nrfD//yfiR//cysI//zraR//ygdB//murD//cynT//ydcS//emrA//umuC//qseB//rybA//lolA//prpB//fucP//wecC//tcyJ//araG//wcaB//mtr//sucC//fecR//paaE//aslB//ygbK//ydcV//fdnI//symE//degP//relB//rutE//cysH//hisJ//nadB//
PhoP_neg	ubiA//ulaF//zwf//rarA//ulaC//nusA//uidR//allD//glnL//pspB//phnM//
PhoP_pos	fbaB//yidL//lpxC//artP//ydhX//napD//argI//glpX//tadA//metJ//cpxA//argE//ydiV//fliL//metB//flgJ//nikD//pnp//mnmG//flgC//ssuB//pqiA//tyrP//tnaA//tsx//ebgA//mglC//metC//fliF//moeB//ydeO//uxuR//rcsA//slyB//yiiS//tyrR//nuoC//ugpQ//cysU//kdpF//ogt//fliT//casB//yiaO//tauB//pdeH//napB//srlB//
PrpR_neg	nfsB//
PrpR_pos	ychF//napH//flgJ//asnC//
PspF_neg	fixB//
PspF_pos	narH//caiB//dcuR//phnO//waaH//sodA//
PurR_neg	ydeO//ppiA//fixC//mipA//fliF//uspD//glpA//puuB//wcaA//gltJ//gntX//lsrB//ttdR//csgB//ydcU//ydfN//paaC//citE//nrdI//puuC//flgG//astE//nohA//cpxP//prs//dmsD//metF//lpd//sucC//rbsD//moaB//
PutA_neg	cysI//fepE//
PuuR_neg	ecnB//ybaT//evgS//argR//fnr//nuoM//tdcC//
QseB_pos	rnlB//fadR//narH//chiP//
RbsR_neg	glpF//hybG//napA//fabB//gudD//torA//yaiW//napB//
RbsR_pos	lldR//
RcdA_neg	alsC//fiu//
RcdA_pos	hypA//hcaD//pgi//ybjG//hycA//leuC//malQ//
RclR_pos	bacA//lrhA//gspK//
RcnR_neg	marR//fhuF//glcD//
RcsAB_neg	folA//ruvA//yiaO//recN//entA//oxc//
RcsAB_pos	gadB//exuT//ygdB//degP//dhaM//wzyE//mtlR//hybB//dgcC//fadA//
RcsB-BglJ_pos	icd//nusA//pgk//pdeL//frc//hdeD//ccmC//wzyE//glyA//fadD//murI//ykiA//gspD//tauD//hemH//recN//
RcsB_neg	recA//yiiS//
RcsB_pos	entS//melR//yeaE//glgX//ftsL//zraS//nagB//asnC//flgL//yhjA//deoD//ydeP//fliD//hycC//napH//torR//rhaB//phoU//murR//dtpA//pspF//grcA//cspD//
RelB-RelE_neg	efeU_2//puuR//glxR//
RelB_neg	gadB//zwf//dnaG//
RhaR_pos	yeiB//srlB//
RhaS_pos	sodB//cyoB//cspD//ldtD//aldA//rhaA//
Rob_neg	ccmD//
Rob_pos	idnO//mraZ//purL//murC//sbcC//metJ//edd//ddpB//fdnG//ygbA//sodB//deoC//nupG//speA//fhuB//fucI//creA//purL//recF//gudD//yeaH//casC//frdC//casD//hdeA//
RstA_neg	fur//aceK//ynbB//erpA//uvrY//
RstA_pos	ygiZ//bacA//stpA//kdpA//lrhA//
RtcR_pos	recC//yjiY//
RutR_neg	marA//cirA//ccmA//malP//fliE//icd//potI//tauD//hycC//gntX//ynfK//sdhA//flgK//recC//metR//
RutR_pos	manX//pyrC//
SdiA_neg	fadA//yagK//glmS//
SdiA_pos	pgaA//putA//ftsK//
SgrR_neg	rbsD//glxR//dacC//hybA//ydfN//
SgrR_pos	fliF//mtlD//bioA//luxS//
SlyA_pos	ygiA//
SoxR_neg	ppsA//
SoxR_pos	ulaE//oppC//
SoxS_neg	allB//katE//
SoxS_pos	gspL//entD//mtlA//entD//spy//ynfE//casE//paaC//gor//purR//hybO//lacA//metH//fecC//insD//hyfB//gdhA//paaZ//hypC//yciW//phoE//putP//norW//nfuA//yciE//slt//artQ//fabA//gspM//argB//flgN//ftsA//glcB//yhjA//hybB//grcA//leuO//phnE_2//
StpA_neg	garL//hypB//yjbF//katE//yeaD//nuoH//appX//
SutR_neg	ybfN//grxA//hybF//sroD//pgm//
SutR_pos	pstC//
TdcA_pos	fhuF//puuE//yhbT//astD//rffG//fecI//yoaG//
TdcR_pos	motA//murR//umpH//araG//ydiV//yjbF//malF//
TorR_neg	spy//fepG//uvrD//
TorR_pos	rutE//ybhR//rybA//hha//garP//nanE//dinJ//flhD//guaA//
TreR_neg	fadM//sbcD//
TrpR_neg	xapA//creC//tisB//hypD//rpiR//tonB//glpQ//entH//kbaZ//gcvB//ydcU//appB//
TyrR_neg	phnC//cecR//dinG//paaD//amtB//gabP//acrR//mtlA//moaE//purD//
TyrR_pos	gntT//fucO//mtr//
UhpA_pos	ydeM//
UidR_neg	glnA//symE//paaH//fiu//
UlaR_neg	puuR//nuoK//araC//fliT//mltF//gcvT//nrdE//
UvrY_pos	sufA//araF//rbsC//argR//cbl//
UxuR_neg	yjbH//phnH//agaV//rcnA//lysR//ttdA//alaC//astB//idnD//
XapR_pos	frdD//ldtB//
XylR_neg	wzyE//
XylR_pos	yegZ//tyrB//yfdX//ydbD//eda//cecR//
YdeO_neg	cysI//pgm//
YdeO_pos	pstC//tdcB//gltI//hcaR//yjjZ//ugpA//mhpA//deoC//nirC//mtlR//tolC//rbsB//gudD//ynbA//aroP//dinI//fhuE//dmsA//gspG//
YedW_neg	dcuD//deoD//ccmH//purB//gltI//
YedW_pos	ibaG//lpxC//hyfE//lrp//lsrG//yhjA//ydfH//
YefM-YoeB_neg	nemA//ftnB//
YefM_neg	pnuC//cysG//
YehT_pos	setA//
YeiL_pos	srlB//
YiaJ_neg	yeaH//ihfA//pstB//potF//ygiA//rprA//gspD//ulaC//yhdX//gspO//
YjjQ_neg	wzc//cysB//bhsA//fliK//marB//fliD//ynfG//rseB//norR//rpiR//
YpdB_pos	fecB//
YqhC_pos	ydeO//artI//
YqjI_neg	srlA//leuC//
ZntR_pos	dinQ//
ZraR_pos	hcaE//yidQ//hflD//
Zur_neg	sutR//paaZ//mlc//flgE//uxaC//deoB//
