#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	tdcG//pnuC//
CusR_pos	ftsK//fliL//grxA//yjeV//araB//mntH//ftsK//fliZ//appY//hyfG//hflD//adhE//
CynR_neg	feoB//
CynR_pos	gfcA//srlA//aroG//
CysB_neg	ydhV//nikB//dmsA//ttdB//guaB//hslJ//ariR//
CysB_pos	kdpC//bglF//ygiA//sufS//btuB//allS//slyB//nrdD//wzzE//cysE//appY//garD//aceA//citF//deoA//flgF//folA//dinB//oxyS//fruA//dps//wzzE//purC//pgaC//obgE//
CytR_neg	oppC//deoA//sulA//argI//tpiA//appA//yhdY//cbl//pspB//fabH//ssrS//phoR//exbD//
Dan_pos	feaB//fimB//mraY//tam//
DcuR_pos	nupC//malG//yfdV//fau//argH//fhuC//osmY//grcA//yccT//
DeoR_neg	metB//lpxD//xapB//sgbE//exbD//moaD//
DhaR_neg	yoaG//
DhaR_pos	soxR//hisP//tcyP//
DicA_neg	pepA//crp//pgk//marB//ydhT//malZ//aceF//rbsK//
DinJ-YafQ_neg	cysM//hisQ//napC//
DnaA_neg	ppdA//creA//srlE//lsrD//ubiX//glpA//marA//betA//ymgC//fes//atoD//
DnaA_pos	cysG//torC//puuR//prpD//oxyS//mgtL//pspF//
DpiA_neg	cysA//
DpiA_pos	treB//paaH//ssb//qseB//wzyE//fbaA//tam//rhaA//cyoB//micF//
DsdC_neg	ubiC//
DsdC_pos	dctR//mdtC//
EbgR_neg	yjiY//aceF//
EnvR_neg	nanA//malZ//
EnvY_pos	rimP//oppC//
EvgA_pos	dsbG//casD//citD//tdcD//nlpA//ompN//flhD//nuoN//mipA//bioD//purA//dhaR//phnJ//sucB//ulaC//sroC//recC//patD//nagA//
ExuR_neg	btuB//yegZ//fecI//flgG//garR//alsB//tnaC//fimE//ompW//
FabR_neg	yiaK//yegH//
FadR_neg	marR//uxuR//rhaR//cas1//glnD//metK//fadR//yhdX//garP//rimP//fucO//
FadR_pos	fhlA//ybjG//metC//lpxD//yjbH//cheW//cho//osmY//mdtA//flu//fepB//yfaE//
FeaR_pos	hycI//gspC//
FhlA_pos	citD//iscS//phoE//aceA//glcD//argT//galK//truB//rcsA//sdhB//amn//znuC//fepA//napH//mdtD//wza//kbaZ//phnH//alsB//ahpF//dctA//glgA//rbfA//sufS//ogt//purC//manX//atoE//uof//evgA//
FlhDC_neg	waaZ//fnr//nlpA//pspF//
FlhDC_pos	paaE//argO//baeR//caiD//creC//gntT//gcvA//murE//yiaN//yagK//yjbF//astC//prpB//sulA//cadC//fixC//mpl//fadH//sucB//pitB//narK//pepA//gor//cyoE//aspA//lpxC//glpA//sufE//hcaD//phnO//garL//agaB//ydcU//hemL//nemA//kdpF//purN//dicB//fdnG//purB//paaC//lsrC//ybhS//ptsI//malI//hmp//cysB//icd//gspL//napD//flgB//ygaC//paaA//gcvB//envC//sucB//nagC//polB//acrA//hycG//ssuD//hybD//ydfD//yhjC//aidB//pgaD//napF//mscM//mntP//metA//nfsA//ascF//astD//mzrA//ycgR//galM//casE//hyaA//
FliZ_neg	purE//ddpD//glcE//fliS//ymjD//allC//csgA//pyrD//cysU//pspB//metR//hlyE//modA//ydiV//hypE//fadE//eno//rstB//fur//hyfI//rpmA//
FucR_pos	fecR//napC//aroM//rbsB//nrdF//cho//metL//
Fur_neg	chbR//srlD//entB//nuoA//yciW//cysD//umuC//nrdA//hcaB//yjhB//purE//hisQ//csgD//tauB//zraS//gntP//sdhB//sucD//araF//xylG//lrp//fliF//cydB//agaI//deoA//patA//artM//rimP//qseC//guaA//hypA//metE//ynfE//uof//ppc//slp//accB//potF//acnA//ccmG//ccmH//waaY//rffG//ygdB//ddpX//nuoN//chbC//agaI//malK//paaF//metC//fdnH//fhuE//ldtD//mraY//fliF//rpoD//araJ//paaK//pdeL//cusC//wzxE//ynfK//nrfC//cbl//potF//dcuR//xylR//malM//fnr//ulaD//dmsB//sufA//sdhA//nrfD//ygiA//sucD//nusA//insK//yafQ//potI//prpD//phoH//cecR//lsrK//yhiD//znuB//lysA//paaD//cyoD//dgcZ//yafP//yqaE//paaD//ariR//hybA//gcvA//nagC//manY//argD//yjhC//hydN//yiiS//nagC//ykgM//mglB//nac//hybE//umuD//fixX//pepA//galK//gltB//yoaC//flgC//
Fur_pos	citG//casC//agaB//uvrY//ccmC//cecR//waaZ//yhiD//tktB//ygiC//ribA//glcD//ybfE//folA//hyfF//ugpA//cueO//cysN//gor//gspG//glgP//
GadE-RcsB_pos	treC//waaZ//oxc//fecE//flhD//iscR//mngA//glnL//betI//
GadE_pos	nanA//frdD//bioC//galK//sodA//nanM//xylR//ybhS//fucU//napA//hcp//bacA//fhuF//fliF//fliG//glpQ//glcG//putA//ybbW//ssb//ydbK//yebG//cvpA//ccmB//leuB//lsrK//tnaA//wcaA//nikB//
GadW_neg	xylF//malI//csgE//betB//gutM//gadA//ybdZ//erpA//hypC//aldA//borD//
GadW_pos	gspL//astC//appC//phnK//ydfN//cydB//fecC//gor//malS//fnr//galR//
GadX_neg	oppD//uvrY//allD//eda//xylF//rbsB//
GadX_pos	nirD//hisJ//entE//ybfN//fucP//tdcG//iscR//garL//uxuA//infC//hslJ//bioF//phnD//narH//entC//tehB//agaD//artQ//yqhD//nfsB//dpiA//hycB//ulaG//puuE//alsA//astB//alkB//
GalR_neg	cysP//araC//gntT//wecE//sufD//fliA//gltD//alsB//sgrT//tauB//
GalR_pos	hemL//csrC//ftnA//sdhB//
GalS_neg	yhdW//casB//ccmG//fepG//qseB//codB//nikC//fadB//cyoD//ppdA//
GalS_pos	ptsI//cyaR//ymgA//ompC//
GatR_neg	ftsI//ycgR//fldB//phnO//yciW//rybA//
GcvA_neg	ydcS//ldtC//nhaA//cusC//
GcvA_pos	acnA//flgC//feoC//tsgA//
GlcC_neg	purE//
GlcC_pos	caiB//narJ//malP//flgH//mhpT//galK//
GlpR_neg	infB//pitB//serA//paaB//psd//entC//metH//cpxR//dcuA//
GlrR_pos	gnd//yhdW//bioF//melA//yagK//
GntR_neg	ydcT//ycdZ//yoaG//ftsA//decR//nanM//sgbE//gatD//oppB//nrdG//rutC//mzrA//
GutM_pos	sbmC//tcyJ//ftsW//bglG//rclA//yfiB//nirC//
GutR_neg	murI//rarA//tnaC//sbcC//cysG//dmsC//asr//
HU_neg	ilvY//rprA//crl//lpxA//ugpQ//rnlA//fliI//edd//
HU_pos	kdpF//
HcaR_neg	fabA//
HcaR_pos	paaH//pgaD//argC//moaB//yaiW//
HdfR_neg	moaD//gdhA//
HdfR_pos	rhaB//rutE//yecR//
HigA_neg	ykiA//flgM//
HigB-HigA_neg	fliO//yiaK//
HipAB_neg	ilvC//sgrS//cusC//yhiD//ndh//
HipB_neg	wecC//fliH//puuE//nrdH//puuP//dgkA//
HyfR_pos	hypF//gatB//tisB//ldtD//allC//ydfE//tbpA//ydfN//mgtA//allA//alsA//kbaZ//
HypT_neg	katG//glyA//ulaD//deoB//iraM//
HypT_pos	atoB//btuB//yedX//treR//cusS//yciE//aidB//trpD//
IclR_neg	cysD//hipB//citD//oppA//
IdnR_neg	recC//csgG//
IdnR_pos	ascB//marA//nac//hyfI//fucU//
IlvY_neg	murI//
IlvY_pos	fadB//
IscR_neg	zntA//mscM//ftsL//nrdH//hisJ//gadC//nfuA//lrp//sufB//stpA//flu//uspD//mhpT//cysW//cynT//lysP//guaA//yjbG//csgA//gnd//bamE//
IscR_pos	ecnB//rhaB//glpK//ydhT//mepH//pykF//modC//ddpB//flgB//ybaT//puuR//
KdgR_neg	dctA//wcaA//
KdpE_pos	yhjC//ptsI//fliI//phnL//
LacI_neg	ydeP//murR//malQ//
LeuO_neg	agaV//arsR//glnQ//
LeuO_pos	yefM//yhhY//rbsA//araE//hmp//astA//nuoA//rutC//rclA//lacZ//hycC//ydbK//nupG//hyfH//rbsR//yebE//mdtE//decR//
LexA_neg	chbA//ldtC//manX//sbmA//metK//agaS//narL//mprA//feoB//chbB//dmsA//zwf//fabZ//kdpA//ecpR//wza//fliJ//ugpE//grcA//recD//carA//gcvH//polA//ygiZ//kbp//aldA//ytfE//nirC//yagK//dhaK//norW//mpaA//bglG//garK//argA//hcr//nikR//phnN//yfaE//oxyR//hyfE//wcaA//pstS//yjjQ//yiaJ//sufS//ydfD//cirA//yjbF//metA//acrZ//murG//rpsO//motB//marB//garK//xylH//hdeD//tcyJ//
LldR_neg	tsx//phoH//ldtD//
LldR_pos	lysP//hemL//xylB//
LrhA_neg	isrC//aldA//
LrhA_pos	metN//phnL//
LsrR_neg	purN//flgM//ftnA//ydiU//ddpX//nuoH//fucI//nuoN//gspI//
LysR_neg	pfkA//
LysR_pos	umuC//
MalI_neg	fucP//ymgA//xylG//
MalT_pos	nrfG//dkgA//sufB//argI//isrC//nlpA//alsE//tktB//qseC//dinI//
MarA_neg	fhuF//csgF//gudX//fecI//csgF//appY//eda//
MarA_pos	ybbW//setA//ynbA//tdcF//norR//yafP//manZ//lysA//entB//soxR//ybjC//paaE//fepB//fecD//chiP//evgS//exbB//higA//recD//cadB//yiaK//moeA//flgG//uidR//rplU//cusC//infB//hycG//fbaB//mhpA//phoH//
MarR_neg	malT//torR//zraR//
MatA_neg	hlyE//fecI//artI//malS//glnH//tcyP//
MatA_pos	rnlB//glpQ//
MazE-MazF_neg	sodB//yegH//chbB//
MazE_neg	norV//feoB//omrB//
McbR_neg	cysN//
McbR_pos	sfsB//rpmA//tsr//
MelR_neg	nanS//cysW//creA//
MelR_pos	trpB//ynbC//hybD//
MetJ_neg	ydiV//cysB//malP//hybD//efeU_2//argO//ydhX//oppB//flu//ydhV//iraP//dmsB//fadR//uvrD//wecE//
MetR_neg	ilvY//insK//
MetR_pos	fucI//tcyP//yhcH//prpE//
MhpR_pos	oxyR//pnuC//lexA//recF//gabP//hycI//
Mlc_neg	nanT//atoA//marR//molR_1//gabT//araD//yccA//accA//ecnB//nirC//
MlrA_pos	cheW//gntT//torR//dicB//ddpB//dhaM//yjbF//kdpA//cspE//yncE//
MngR_neg	aceA//inaA//tdcE//
MntR_neg	recN//dgcC//mngA//emrK//
MntR_pos	puuC//
ModE_neg	safA//glcB//lon//yccJ//feaR//chbA//bioC//glcD//fecR//astC//rfe//ahpC//yeaH//phnF//cusC//
ModE_pos	phoE//nrdF//fdnH//xylR//bdcA//ccmH//dsrA//fdhF//icd//gutQ//ybhG//malE//malG//hcaB//rhaT//phnL//mprA//manZ//mntS//murI//ymjD//ybjN//evgS//rffM//bdm//uxaA//phnN//gcvP//erpA//nrfF//nanS//
MprA_neg	alaS//ymiA//gnd//gpmA//pgaD//dinQ//
MqsA_neg	mglC//ydfX//rstB//gspC//metK//nagC//hcaC//rsmH//
MraZ_neg	mngR//cynT//mscM//ydiV//betA//ddpX//cbl//fhlA//lgoR//ada//argA//ydeO//fliP//citG//hcaC//ydeN//phoQ//
MtlR_neg	ygeH//modC//carA//
MurR_neg	aroF//ynfG//nrfE//
MurR_pos	lacZ//
Nac_neg	hcaB//tauB//rbsK//tktB//rcnR//accA//oppC//pdeL//flgN//
Nac_pos	glxK//phnP//glnK//ymjC//recC//caiA//gcvH//thiQ//recD//phnO//astC//hycB//
NadR_neg	pgi//tyrB//metK//mhpF//
NagC_neg	tonB//rpiB//yjbH//fadH//patA//bglF//amtB//mglC//evgA//ssb//glcG//gutQ//yeiB//rffM//argP//hyaE//fliO//napG//sucA//nuoJ//hns//fucR//psd//glmS//galE//ttdB//argD//kdpC//dnaN//yjbF//molR_1//rpsU//oppD//
NagC_pos	hydN//cysD//xapB//
NanR_neg	hcaD//hdeB//nirD//fumC//hcaF//nuoF//dsdX//cysA//gadC//ulaG//
NanR_pos	ynjI//
NarL_neg	grcA//cydD//gpmA//yegZ//dcuD//lsrR//isrC//kdpF//pykF//csgB//srlR//betB//codB//lon//higA//iclR//csgE//mglA//yneM//hybE//grxA//pspE//mdtA//kbaZ//nanC//fucA//hha//yjeV//rpoS//oxyS//murP//citC//bioD//metL//slt//cbl//focB//ygiC//ydhX//ppiD//ndh//citX//sgrT//gor//ompC//ccmG//grxD//tonB//gatC//yjjZ//moeB//tnaC//phnK//napB//mglC//rhaA//tehB//mgtL//paaX//paaB//modB//fadH//bdcA//mpaA//rbsA//rbsK//paaB//glcC//rffC//folE//oppD//kdpA//tsr//ydhV//yhjC//yfdE//fiu//ydeI//dgcN//glgP//fadJ//bglF//betA//motB//eda//yedX//infB//
NarL_pos	sucA//kbaZ//marB//asnA//hslJ//rpoD//yccA//ssuE//puuC//yafO//ydfX//cyaR//hyaC//grxD//fliM//prpD//fhuD//fhuA//envC//mgtL//dsdC//glcG//tyrB//uspA//hycF//gudD//flhC//malM//sdhD//uspD//wecB//atoE//pagP//acrR//asnC//allE//betI//hyfA//rseA//uxaA//kdpB//pncB//pgi//
NarP_neg	yhbE//xylA//cheW//hyaD//ttdB//yidQ//glxR//ugpA//fadM//mraZ//psd//idnK//torD//rseA//rimK//ada//creB//recD//hydN//appX//prs//hycG//cecR//insK//iraP//tsr//puuP//mngB//napA//mdtF//rfe//xylH//creB//
NarP_pos	dsbA//glpF//gabP//dmsC//astE//cadA//ogt//cas1//ydhX//nrdD//fhuD//gadB//xylH//ppsA//thrS//sufS//deoB//ybbY//manZ//aceA//mntP//gspG//tehA//uidR//zraP//yjhC//folE//xapA//rplU//fadM//argB//yciF//
NemR_neg	prpD//uof//ydeI//
NhaR_pos	xylF//yqjI//pnp//glpF//erpA//recA//mtlA//
NikR_neg	yciX//carA//cysK//cra//mtlD//yafP//
NimR_neg	cysM//arsR//
NorR_neg	fucK//
NorR_pos	ccmG//aroG//
NrdR_neg	hokD//fbaB//tauD//prpE//infB//ydeM//pfkA//yjiY//ugpB//
NsrR_neg	astC//intQ//ftnA//ccmC//puuR//sgrS//yedX//nimR//malY//cho//crp//cspE//fhlA//ycjY//yhjA//mzrA//flgD//yhiM//xylH//csgF//pgpC//cusC//glmS//nupG//lysO//nuoH//yiaN//astA//hypD//osmC//ddpF//decR//purE//mhpA//hyfF//envC//napD//gadC//argT//entH//hisP//gspE//dps//fepA//pstC//aroL//tehA//malI//malE//yhcH//casA//narG//frc//yafO//nanE//mhpF//ygiC//dsrA//sufD//yiaL//fucR//ruvB//erpA//ibaG//yjjQ//ascF//flgH//glcF//hyaA//tbpA//casA//sgrT//ssuB//yjhC//codB//manZ//pykF//pepD//nmpC//dkgA//rbsA//oppB//hycG//
NtrC_neg	yciX//agaD//glcA//mntP//uxaA//nanA//
NtrC_pos	fruA//phnF//hha//metY//ycgR//eda//lon//glnL//sgbU//gatZ//sdhB//lsrC//hybD//acrB//yjiY//fucA//ynfK//csgC//manY//aroP//wzb//pykF//sufD//glxR//phoB//nikA//leuB//gnd//melR//recX//purC//yafP//napG//fldB//hemL//malG//cadC//metJ//nadB//potF//yrbL//fhuA//flhB//hyaD//flhC//agaA//ddpX//metK//paaK//
OmpR_neg	recF//flhC//argA//nagB//rbfA//gnd//nrdD//treR//uvrB//rclB//gltK//alsC//
OmpR_pos	rsmH//yhdX//betI//cysE//tsgA//lacA//potI//fadD//rhaT//ulaD//
OxyR_neg	add//lpxC//crl//recN//ccmC//entH//cusR//fliI//lysR//malE//fldA//paaE//
OxyR_pos	cysA//yafO//argO//exuR//oxyR//betT//glcD//ynbA//fliH//trpC//hyfC//ftsQ//accB//rhaD//hyfI//torC//qseB//artM//cysW//sgbH//recX//patA//
PaaX_neg	efeU_2//envC//ynbB//ppiA//mtlR//psd//fliD//argC//fliJ//cynR//luxS//agaW//yciF//nuoC//
PdeL_pos	mpaA//
PdhR_neg	ygiC//hyfI//glcD//hyfF//uhpT//yhbS//sdhB//cysB//higB//murG//idnT//flgM//tsr//fldB//gntU//sdhA//uxaC//eda//marR//ydeO//deoC//fdnG//alsC//rutF//malY//folE//flgN//gspF//pagP//paaE//hemL//tsgA//agaS//pspA//dinJ//yoaC//
PdhR_pos	caiC//pqiA//garR//cysI//glgB//
PepA_neg	cho//nanS//bglB//
PgrR_neg	tauD//yagK//ada//ompN//ddpA//cysP//tyrB//bioB//
PhoB_neg	hycH//hyaA//cusF//sdhD//purN//fimB//dctR//pgaC//mgtL//uvrC//bglF//pdhR//
PhoB_pos	flgA//gltK//lldP//rclB//gdhA//yjeV//trpC//nac//murG//fixC//yebG//fliA//flgE//rclB//agaC//hcp//rbsA//ldtC//betT//ftsQ//dinB//ihfA//leuB//atoE//skp//fecB//sodA//garD//rclA//yhbT//nirC//gadC//ygiB//lgoR//hemL//pepD//mlrA//aceF//hybB//puuC//nanC//mgtA//envC//wcaB//mhpA//speA//acrA//pnp//wzb//gadB//dcuS//gspI//malG//
PhoP_neg	rybA//nrdH//yecR//galE//treB//wzxE//lpxD//metN//creA//ymjD//galP//
PhoP_pos	csrC//lldD//gltJ//nanE//nikB//rbsK//nrfG//ddpF//nfsB//hycB//kdpA//insK//srlR//nlpA//ubiX//gcvT//pspG//rimP//gltB//yidL//oppA//manY//fpr//hokD//guaB//malM//wza//ddpD//paaE//yoaG//yeaG//hcp//dinQ//crp//napB//sucB//gutQ//gspF//glcC//cpxA//ynfG//hyfH//yiaJ//ssuB//metB//uvrA//citF//mdtC//
PrpR_neg	astA//
PrpR_pos	hyfH//feoB//srlA//rhaT//
PspF_neg	gltI//
PspF_pos	glgX//waaY//napC//fadE//napD//lhgO//
PurR_neg	glcE//cusR//norV//ygaC//ydeI//pnuC//mntP//fliC//phnF//sroC//feaB//dapB//pheS//zraP//gpmM//fliT//fadH//rutE//hcaD//rcnR//intQ//purE//uvrC//inaA//nimT//cusF//tsx//ydeO//gatA//mpl//ompN//
PutA_neg	fhuA//ldtD//
PuuR_neg	waaH//pgm//borD//uspE//cynS//yhcH//tcyP//
QseB_pos	fixX//pgaD//ugpQ//yneM//
RbsR_neg	dicC//flgG//fadH//gabD//hcaF//rpoH//frdB//yqjI//
RbsR_pos	phnE_2//
RcdA_neg	astC//cynR//
RcdA_pos	epd//ftsK//sucA//rob//atoA//aroH//tnaA//
RclR_pos	cysM//mipA//tauD//
RcnR_neg	iraM//rcnR//pstA//
RcsAB_neg	sufS//nikC//rnlB//cysN//rpoD//purB//
RcsAB_pos	fixX//feaB//dctR//ubiA//yfdX//ydfH//nfuA//norR//yegH//glxR//
RcsB-BglJ_pos	ycjY//oppC//cspE//ldtC//lacY//cysN//puuD//rbsK//fliF//fecI//rcsA//murE//ccmH//phnN//fdnG//luxS//
RcsB_neg	uvrD//mprA//
RcsB_pos	chbG//cysM//ygbK//fixB//mtlR//ytfE//xylA//bluF//flu//ccmC//flgL//dcuB//phoP//xylG//agaV//frdC//znuC//mdtF//cdd//pnuC//uidR//murP//astD//
RelB-RelE_neg	nadA//tdcB//nrfB//
RelB_neg	recD//gabP//fucA//
RhaR_pos	exbB//wecB//
RhaS_pos	atoD//hycA//ttdA//cheW//paaB//purK//
Rob_neg	rclC//
Rob_pos	gcl//pdeL//gudP//pdhR//gltL//ygeA//ptsH//tolC//fecI//ruvA//ompF//gadC//purE//cirA//paaZ//argA//ihfA//bamE//glcD//yidL//ftsW//rclB//hyfB//accA//ppdC//
RstA_neg	rbsD//dinB//betA//yeaD//zraS//
RstA_pos	inaA//pspE//potI//dgcN//acrZ//
RtcR_pos	spy//rhaA//
RutR_neg	rseA//hycF//fucK//mdtC//cynX//uof//yfiR//fadB//nuoH//dcuR//frdC//htpG//ygaC//yiaM//pdeH//
RutR_pos	higB//nrfB//
SdiA_neg	gltD//sroD//mioC//
SdiA_pos	purA//fabG//gudD//
SgrR_neg	mtlD//yeaH//fhuE//deoB//trpR//
SgrR_pos	nikE//dcuR//pspD//aceB//
SlyA_pos	csrB//
SoxR_neg	hlyE//
SoxR_pos	csgA//ynbD//
SoxS_neg	nagA//gcvB//
SoxS_pos	yiaK//flgL//astE//cusB//chbG//tyrP//dpiB//amn//lsrC//ftnA//dps//ybhS//ugpC//ccmA//rpsO//truB//marR//zraS//ssuC//sutR//yafO//ppc//ubiA//puuP//purF//mntP//ruvB//yidQ//gcvH//ydcT//ccmF//ykiA//dsdC//tyrR//setA//cytR//hypA//ulaA//
StpA_neg	mazF//nanS//nagA//mprA//frdC//cirA//argP//
SutR_neg	hyfB//sodB//hyfC//ulaE//nrfB//
SutR_pos	astD//
TdcA_pos	ydeP//hyfR//gcvT//polA//murP//phnI//norW//
TdcR_pos	yeiL//lpd//ykgM//flgB//yafQ//glpQ//caiF//
TorR_neg	glcD//ompC//znuC//
TorR_pos	evgA//malI//dapD//rbsA//epd//mhpD//lhgO//lsrF//mltF//
TreR_neg	metY//umpH//
TrpR_neg	umuD//atoA//metB//fecD//hybD//nohA//hyfJ//lysA//adhE//nanS//yegZ//iclR//
TyrR_neg	pspG//leuO//yiiS//acnB//tnaA//fdnI//rcsA//ompN//glpQ//pdhR//
TyrR_pos	hcaF//casB//allB//
UhpA_pos	nmpC//
UidR_neg	dctR//napF//idnO//lrhA//
UlaR_neg	fliD//fliC//hybF//pykF//ygeH//melB//moeA//
UvrY_pos	hslJ//ydhU//ecpR//dgcC//evgA//
UxuR_neg	yqjH//araC//cysM//degP//hisQ//allE//pstA//manX//appB//
XapR_pos	aroG//sroD//
XylR_neg	fadH//
XylR_pos	nohA//guaB//psiE//yebG//sgrR//prpD//
YdeO_neg	lldD//trpL//
YdeO_pos	leuL//trpL//umuD//pheS//fabI//gltJ//sutR//hyaB//hyfC//lsrK//atoB//hycC//uvrC//trpR//yiaO//efeU_1//metF//norW//ynfF//
YedW_neg	mzrA//cusF//ddpF//nuoE//mhpD//
YedW_pos	emrK//yjbG//omrA//artM//fucU//ebgC//moeA//
YefM-YoeB_neg	glxK//hcr//
YefM_neg	nuoH//lsrK//
YehT_pos	pyrD//
YeiL_pos	ompC//
YiaJ_neg	hyaD//ykgM//lsrG//exuT//dkgA//malY//yebG//dsbC//recF//gadC//
YjjQ_neg	tisB//glnA//cynR//entS//glcA//ccmC//fliS//oppB//nirB//gnd//
YpdB_pos	ulaA//
YqhC_pos	nrdE//uidB//
YqjI_neg	allC//frdB//
ZntR_pos	hycH//
ZraR_pos	mlrA//yfdV//fhuE//
Zur_neg	metQ//ecnB//yaiA//hypB//betA//hyfJ//
