#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ybbW//ydhW//
Cra_neg	torD//hycA//fdnG//lsrD//znuC//pstS//ibaG//paaX//gltB//ygeH//fabI//tnaB//artI//fhuA//ycjF//zraR//napF//tpiA//gatB//prpE//wzb//rpoH//iscU//zwf//ecnB//norV//cynR//pfkA//slp//appA//chbG//tsx//gspI//argR//degP//yebG//ydhY//flhB//fliK//lpxD//ytfE//gabT//asnA//nanK//gspD//mtlA//mntP//stpA//marB//pitB//hybE//dhaL//yhcH//fixX//lldD//yjbF//mgrR//uidC//puuB//
Cra_pos	dmsA//kdpA//nuoI//fixX//hydN//uxuB//mgrR//mdtD//cusC//araD//fliD//ibaG//lrp//fliH//yciX//trpB//moaC//napD//creD//asnB//nikB//atoE//creA//
CreB_neg	prpE//putA//gadA//
CreB_pos	malE//yhcH//
CsgD_neg	cyaR//entF//metE//fecB//adhE//asnB//rybB//cydC//grxD//treR//ftsZ//nuoE//flgN//lysA//ulaG//
CsgD_pos	malT//epd//aceE//purD//tbpA//citF//tsgA//gltD//nrfC//fecI//ycjG//gspL//wza//
CsiR_neg	fliG//alsB//pyrD//mgrB//ygiC//
CspA_pos	mlrA//fruK//
CueR_neg	gor//ygeH//yciG//aceB//cadC//
CueR_pos	artQ//casA//
CusR_pos	argT//recC//yegZ//cyoE//araG//borD//ilvC//tam//csgB//betI//xapB//ydhW//
CynR_neg	nhaA//
CynR_pos	mcbA//emrY//yjbE//
CysB_neg	mtlD//fabZ//fbaA//ydhY//iscS//rffH//yiiS//
CysB_pos	focA//yiaL//rutG//efeU_2//nrdB//ydeO//uxaA//iscS//nagA//mdh//hyfB//paaC//hybE//crr//phnO//cpxQ//cdaR//alsE//crr//cusR//bioD//rybB//norR//mipA//lysO//
CytR_neg	ftsL//efeU_1//hypB//slt//nagE//mhpF//glgC//ykiA//sucD//mraZ//pfkA//aldA//rcsA//
Dan_pos	galM//appY//wzzE//aroL//
DcuR_pos	glxR//ykgM//uxaA//ydfW//gabD//puuC//fumC//creC//fliT//
DeoR_neg	ydhY//yhdX//mprA//dkgA//waaH//crp//
DhaR_neg	mhpT//
DhaR_pos	gabD//fadA//emrK//
DicA_neg	pheT//narJ//hybA//ugpQ//yqhG//lsrR//tolC//fes//
DinJ-YafQ_neg	yccA//ibaG//stpA//
DnaA_neg	ilvC//argE//argF//hyfE//feoC//idnT//araE//argP//ydfW//hyaB//narJ//
DnaA_pos	nrdF//nuoB//nuoN//csrB//ppsA//idnR//crr//
DpiA_neg	ydeO//
DpiA_pos	truB//yiaO//gspG//deoD//yciF//nuoI//gadX//fliF//soxS//lsrD//
DsdC_neg	ddpX//
DsdC_pos	dcuS//ddpF//
EbgR_neg	rhaS//uspA//
EnvR_neg	nuoL//fadR//
EnvY_pos	yqhG//ygeH//
EvgA_pos	ydiU//modA//potG//ccmD//gspI//yhcH//rpiB//bioB//hybB//entS//aceB//nfo//nagC//argA//tdcG//rffH//mraZ//paaK//srlD//
ExuR_neg	iscS//phnK//thrS//dapD//prpC//betB//psiE//leuA//phnF//
FabR_neg	lsrG//speA//
FadR_neg	glmY//cra//rhaS//hisQ//rpsO//hokD//narJ//feaB//fliJ//ppiA//malK//
FadR_pos	ybhL//fur//seqA//metI//mazF//mdtC//metR//yhjX//safA//alkB//phnO//yagK//
FeaR_pos	higB//hybD//
FhlA_pos	argT//nuoL//recX//yafP//cpxQ//rimP//frdB//phnK//ynfE//cysM//btuB//folE//fdnH//sutR//phnD//tdcD//ulaG//nrfF//lldD//nanM//dsdA//dcuB//kdpC//marB//idnT//pstC//crl//yjhC//hycA//yecR//
FlhDC_neg	dacC//caiC//mntS//ahpF//
FlhDC_pos	carA//acrR//araJ//hycI//cysG//entC//allA//purH//uvrY//tonB//arsB//hyfE//lsrG//srlR//pgm//fadM//dps//rybA//sdhA//kdpA//caiC//cdaR//flhA//ycjY//sodB//fabB//casE//nrfB//ftsZ//entH//bhsA//entB//yhbT//ydcV//allS//fadH//bioD//ybaT//ccmA//uvrD//mlrA//lpd//htpG//fhuD//xapA//ruvA//uspA//rclA//sbcC//nemR//nikA//nrdB//flu//glcE//exbB//nagE//fixC//galT//phnL//fumB//yafN//fliA//potG//nanA//hycD//rffC//gutM//fliC//napF//sufS//glpD//cusC//hyfF//gspH//garK//fadD//betA//galP//
FliZ_neg	hyfC//fecE//hcaE//yoaC//ompC//uxaA//iscS//lacZ//mglA//phnO//polA//ascB//nuoJ//yjbF//fecI//accA//ttdA//sgbH//norR//paaZ//fliH//
FucR_pos	iscU//rutA//ybfN//tolC//csgE//ftsZ//fdnH//
Fur_neg	xylH//bioC//yqjH//yhjX//ddpB//aspA//ydeP//nimT//puuD//gltK//ribA//flgJ//nuoB//ydfX//acnB//sgrS//yeaG//metH//entC//citG//nuoH//ddpA//dinI//yneM//nuoH//phoB//kdpB//lysC//gudP//galM//tsgA//umuC//atoE//acrA//yeaH//phoH//entB//hisM//napH//rhaS//rplT//fecA//paaB//phnL//ydhX//yjjQ//crl//ygiC//phoP//phnI//guaA//ydiV//purH//flgA//wzb//recN//truB//sodB//nuoK//csgE//citG//rclC//glpC//acrA//arsR//fhuA//fruB//uxuR//umpH//tsgA//rutA//emrA//dmsB//metK//hycC//purB//yafP//araB//yhiM//cynX//ecnB//yoaG//tktB//narI//guaB//yjhC//uspE//mngA//tyrB//hyfJ//mlrA//recB//flhD//fhuE//ybjC//paaK//galM//kdpA//purN//cdaR//fau//metL//nuoJ//argT//gntU//fdhF//rimK//dcuA//gatB//murG//pgaC//fruK//nlpA//chbA//rybB//
Fur_pos	casB//idnK//narH//cusS//nanC//ulaB//paaD//ybbW//wrbA//gatA//malI//yjjZ//argG//nikC//cytR//ytfE//ybhF//nohA//idnK//omrA//rclA//
GadE-RcsB_pos	ftsZ//hyaF//yhiM//yfdE//gcvB//ydhX//carA//purB//glpF//
GadE_pos	inaA//yoaG//hlyE//cyoA//moeB//mntP//sdhA//metQ//thiQ//obgE//fliG//dsdC//hyi//wzb//prpR//yhdZ//yjbF//fadL//purK//fes//ydhX//recN//frdD//alkA//gdhA//narH//fabA//yaiA//tnaB//
GadW_neg	argH//rseB//phnG//sdhB//gcvH//cysG//srlD//flhA//nirB//modA//mngB//
GadW_pos	ynbD//pstB//tdcG//polA//glnG//araD//dctR//hha//ydfX//phnF//hha//
GadX_neg	tdcD//znuA//sucB//citE//purE//metQ//
GadX_pos	mntS//caiE//betB//lpxC//ldtB//gloA//recC//nuoE//recX//dhaK//fau//idnK//yhbT//sucA//argP//dinD//lsrR//artM//polA//ftnB//sroA//srlE//flgN//ydeI//glnD//kdpA//dnaG//
GalR_neg	marA//wecE//emrA//idnO//betI//purC//ttdT//malF//tonB//tyrB//
GalR_pos	sra//ompN//yhbS//ebgC//
GalS_neg	oppA//phoU//pspF//dsdX//lsrB//qseB//baeS//yoeB//caiA//rpoH//
GalS_pos	oxc//malI//aroF//ynbB//
GatR_neg	caiB//tyrB//glyA//zinT//fucA//dpiB//
GcvA_neg	obgE//hyfB//ybhL//rtcB//
GcvA_pos	ubiX//xapB//argF//murQ//
GlcC_neg	asnB//
GlcC_pos	insD//acrA//cydA//gntX//caiT//yeaD//
GlpR_neg	gltI//nrdG//gcvB//frdA//flhC//fdnI//rcnB//galM//dgcC//
GlrR_pos	sufC//uvrD//yccJ//yjhB//ptsI//
GntR_neg	garK//glpB//efeU_1//napD//fadA//malF//dicC//ymgC//entE//ebgA//nikD//fliA//
GutM_pos	ddpF//nikE//fhuB//idnT//cusB//gcvT//lpxC//
GutR_neg	nikE//nadA//malM//hybA//marB//moaB//ecnB//
HU_neg	gspG//alsB//nanE//paaK//mcbA//lysA//hyfA//tauD//
HU_pos	asnB//
HcaR_neg	mdtD//
HcaR_pos	yiaK//ppc//ahpC//yhbS//uvrA//
HdfR_neg	garR//envC//
HdfR_pos	fucK//infB//alsB//
HigA_neg	rbsR//ppdA//
HigB-HigA_neg	araC//flgL//
HipAB_neg	phoP//entA//yqjI//accD//dacC//
HipB_neg	fdnH//yqjH//fliF//caiF//ydeN//gltJ//
HyfR_pos	nrfA//hycE//trpA//recX//nhaR//gspK//caiC//hyaE//metN//ddpX//xylH//fpr//
HypT_neg	fadL//cyoE//alaS//ccmG//phoU//
HypT_pos	yqaE//galT//agaB//atoE//symE//cyoE//psiE//malZ//
IclR_neg	galR//rcnR//ygiC//phnJ//
IdnR_neg	gadY//gatY//
IdnR_pos	hha//dhaR//yecT//yhdX//pyrC//
IlvY_neg	bioC//
IlvY_pos	fumC//
IscR_neg	qseB//garP//puuD//fecR//motB//oppD//ydcV//pnuC//yhhY//pspA//hha//rcnA//idnK//rutD//insD//feoB//ynfK//hcaC//nfo//tam//dpiA//
IscR_pos	fimE//nuoK//pepD//acrZ//ygbA//ybaT//fixB//artI//dmsD//hyaD//ptrA//
KdgR_neg	ydfE//arsR//
KdpE_pos	ccmA//gspJ//ygdB//infB//
LacI_neg	bacA//fes//ebgC//
LeuO_neg	sgrR//fliR//luxS//
LeuO_pos	borD//lysR//ppiD//asr//ccmB//fabH//garD//entS//malF//pdeR//ycjX//ytfE//nadB//pnp//yecR//ddpC//cytR//lsrF//
LexA_neg	dsbA//frdD//exuT//fecB//cynT//lacA//araC//icd//pspE//tdcE//yhbT//dinD//purR//gor//phoH//hdeD//glyA//glgC//nuoK//nrdE//ccmB//paaE//hcp//yegZ//yhdZ//gcvH//cspD//ydhU//ddpC//codA//puuP//fliL//uspE//araD//baeS//pspC//ykgM//entD//alsA//gatB//nrfD//ykgM//flgK//edd//fabG//kbp//oxc//murP//dmsD//malM//yciW//phnF//paaI//cysN//hypF//argI//chbB//flgA//wecC//
LldR_neg	xylA//hflD//cyoC//
LldR_pos	yhbS//dpiA//rutB//
LrhA_neg	rpoE//prpE//
LrhA_pos	flgL//tyrR//
LsrR_neg	fepD//nrdH//hycH//csgB//hisQ//dpiB//dsbC//rutD//sufB//
LysR_neg	malS//
LysR_pos	flgL//
MalI_neg	dinI//glpQ//potF//
MalT_pos	dcuR//rutE//yqhG//hdeD//nagA//nuoL//lrp//cyoE//puuC//mnmG//
MarA_neg	mhpF//fliI//yhjX//hypB//ymjC//emrK//csiD//
MarA_pos	aroP//nagA//zraP//galK//yeiB//ynbC//sbcD//gadY//dsdC//nuoA//glpC//bioF//murE//yncE//glpF//ulaG//cas1//iscU//recC//hisP//cusC//ydfE//mngB//gspO//citC//sroA//marR//melR//acrB//nfsA//rutB//
MarR_neg	prpC//yhdY//gspK//
MatA_neg	crr//lysO//folE//fucR//mltF//narJ//
MatA_pos	phnD//gltB//
MazE-MazF_neg	dmsD//tehA//relB//
MazE_neg	creB//hybE//metE//
McbR_neg	rob//
McbR_pos	yaiA//rffM//hcaR//
MelR_neg	pyrD//ecnB//ygaC//
MelR_pos	napB//feoB//malZ//
MetJ_neg	htpG//cyoA//recC//galR//alaC//yfbR//ydfW//seqA//ptsI//bioF//glnK//ung//mepH//srlA//puuR//
MetR_neg	lsrK//hokE//
MetR_pos	wecE//mdtF//nikB//bglG//
MhpR_pos	mtlR//chbR//fliL//gcvP//murC//phnE_1//
Mlc_neg	modB//paaC//tyrP//dsbG//ybaT//dgcN//nanM//emrB//ompF//psiF//
MlrA_pos	nanE//dnaA//dmsA//fliR//luxS//galS//nanE//fadH//xapB//allS//
MngR_neg	fes//sucD//atoE//
MntR_neg	cadA//rcnR//dinF//ptrA//
MntR_pos	creA//
ModE_neg	pck//glgC//tonB//sulA//hcp//cydB//murF//gudP//wza//ung//copA//artQ//putP//ynfE//purM//
ModE_pos	lsrF//mazG//nlpA//phnG//envC//purC//paaY//ssuC//alaS//ascB//garK//ybaT//yiaL//marR//ptsI//wecC//ybjN//modA//fepD//thrS//yeaD//lacY//bglF//recN//lysR//glpX//nirB//rpoD//fdnH//mpaA//gspL//
MprA_neg	dmsD//astB//gyrA//glgP//rseA//rbsD//
MqsA_neg	tauB//casC//ompT//ddpC//ydcS//soxR//malZ//hybG//
MraZ_neg	ogt//tam//folA//potG//lyxK//lrhA//flhD//ccmH//hipB//astD//ppdC//rplT//nuoA//ydcV//xylF//ftsZ//srlB//
MtlR_neg	ydiU//nuoL//yjjQ//
MurR_neg	ydfX//phnP//exuT//
MurR_pos	nanM//
Nac_neg	fecR//gpmM//hcr//asr//ubiC//csiD//fadE//pstC//mngA//
Nac_pos	ydfE//nanC//adhE//cdd//grxA//gltD//fpr//yjeV//sufC//aceE//ycjG//yfdX//
NadR_neg	gyrA//argE//deoA//hycA//
NagC_neg	lysC//dsrA//wcaB//rarA//appA//hcp//rybA//srlA//hyfB//rffC//hyfR//ugpB//glcG//ynfE//mhpC//pheT//ybbY//ssuE//ykiA//metI//dgcZ//yaiW//nrfC//sroC//katG//fucP//yqhD//citD//dgcZ//casC//focB//dgcN//cspD//
NagC_pos	lysR//gspI//betI//
NanR_neg	nanT//hdeA//poxB//fliE//htpG//yfiR//feaR//napG//nanS//gadY//
NanR_pos	hyfR//
NarL_neg	tsr//hyaF//cytR//rcnA//phnM//paaH//iscA//ptsG//iscS//fucR//sulA//zwf//uspE//pfkA//flhC//ldtC//rutD//pgaA//fpr//glpD//hypF//acrR//tdcB//cusA//gatB//narK//malG//ynfH//dhaL//fecC//aceE//citG//citD//grxA//gatY//ftsK//kdpF//fecC//metQ//yccJ//caiC//btuB//murQ//tdcF//agaA//uidB//yqhD//oppD//puuP//polB//lsrA//lsrD//yeaR//fecD//yecR//tdcG//phnM//cysG//rutD//ydcS//pncB//leuC//leuD//tadA//malM//lrp//ynfF//rfe//lpxA//artM//asr//gltI//pdeR//dmsA//sfsB//xylF//hypF//nimR//hydN//yhjX//tisB//sutR//hokD//ydhV//omrB//flgL//nrfA//
NarL_pos	sgbE//aceE//agaC//rpoD//ccmG//marA//ccmG//spy//csgG//dnaG//trpL//glnB//murP//tdcF//rutD//fbaA//lsrR//gloA//ulaG//mzrA//torR//nikB//cra//relB//uidA//ddpX//ecpA//yiaM//lysO//envC//sbmC//hybE//ulaA//arsB//yhbT//mzrA//gspE//arsC//cirA//hcaF//astE//hdeA//yfiB//
NarP_neg	rimP//csgD//malS//glnA//flgA//asnC//hlyE//sgrS//cspI//gspG//hcr//galT//malE//ydcS//rutR//fabZ//deoA//dctA//ymiA//galE//gdhA//mqsA//yciX//yhbE//nimT//ygdB//ydcV//ubiX//csgD//cpxQ//murF//mgtA//sucB//
NarP_pos	uidR//ybdZ//rbsB//hcr//bdcA//putA//wcaA//rbsD//fabH//dmsA//phoA//hokD//rutE//artM//fepB//yafN//metC//dnaA//phnG//sbcD//qseC//nanK//fecC//ada//moeB//hycI//moaA//leuL//grxA//ccmE//rutE//nuoJ//
NemR_neg	ynjI//ptsG//uvrC//
NhaR_pos	prpD//tauD//kdpC//ycjG//ribA//fucP//deoC//
NikR_neg	agaV//glnG//ftsA//ydfD//nuoG//entC//
NimR_neg	tisB//galR//
NorR_neg	ompN//
NorR_pos	hypF//argB//
NrdR_neg	ycdZ//mdtB//inaA//mipA//agaS//accA//narX//gspD//pstS//
NsrR_neg	malT//htpG//yjbH//cyoB//sdhA//metF//napG//phnP//waaZ//acrD//zwf//omrB//casE//cusF//fadH//ynfK//yecT//ahpC//trpR//wzb//pncB//argT//pqiA//fliN//chbA//araC//rclA//tnaC//yfiB//lysR//fhuA//trpD//yoeB//ydeI//ascB//cusC//rnpB//dsbC//mhpT//phnJ//phnD//ynfH//infC//emrK//sodA//casC//fhlA//wecC//gyrA//gatY//sufS//entH//emrA//nohA//ccmA//sodB//guaA//tcyP//dinQ//isrC//dinB//agaD//prpR//pdeH//hypB//leuB//rnlB//csrB//sroC//napD//ompW//ydjM//oppF//cysB//fur//rpmA//mlrA//guaA//cecR//appX//pdeH//nemR//chbC//
NtrC_neg	metR//gadC//cdd//nuoC//fixX//iscS//
NtrC_pos	betB//mzrA//cyoC//ftsW//garK//rhaA//iclR//fucA//nrdF//hipA//hdeD//osmC//nemR//rtcB//metC//paaA//moaC//lsrG//ebgA//moaB//fucO//thiQ//pqiA//yciF//rffG//yhhY//nemR//gntX//nrdD//puuC//ycdZ//iscS//zraP//casD//erpA//aroH//cysG//prs//osmY//rclB//rhaB//ebgC//dinQ//ptsI//yqaE//copA//amn//yhiD//motB//
OmpR_neg	bioC//fucP//bglG//nrdH//ynjI//argI//nlpA//fliS//frdB//cynS//deoB//ynfE//
OmpR_pos	fliF//nagB//nanA//nrfG//yqjA//yfdV//murF//argI//pdeR//tam//
OxyR_neg	osmC//bdm//murF//ykiA//phnH//potH//iscS//fadJ//flgM//glnH//nuoI//ssuE//
OxyR_pos	zraS//cas2//citF//molR_1//wecB//chbC//allB//puuE//glcC//ynbD//ydiU//hmp//ogt//acnB//yhdW//malT//grxA//lacZ//adiA//gfcA//agaS//tadA//
PaaX_neg	betI//cynR//yjeV//citC//infC//mglA//btuB//uidA//hycB//moeB//agaA//uof//cadA//nanA//
PdeL_pos	yidL//
PdhR_neg	ssb//ydhU//gspM//ykgO//asr//lolA//alkA//ompT//astE//ruvA//symE//yhjA//flgH//ugpA//gntU//purB//yedX//nemR//trpA//ddpB//phnN//nadA//cysN//cysC//mcbA//tomB//ftsA//lexA//mioC//torC//glcB//phoU//hybC//ydeN//trpB//mlrA//
PdhR_pos	pspB//aceA//srlD//tsx//dmsD//
PepA_neg	malG//pqiB//slt//
PgrR_neg	sdhB//inaA//nanK//glpX//putP//araD//napF//mprA//
PhoB_neg	ftsZ//alsC//ygiZ//kdpF//glcE//gltL//grxD//gadC//ptsG//ydeP//fliZ//fecB//
PhoB_pos	tsx//phnF//uxuB//glgC//fadA//paaJ//metC//glpT//cyoA//rpmA//aroF//mhpA//ybaT//moaB//poxB//entA//ybjN//mdtA//ugpQ//malT//tcyP//fdhF//carB//trpC//nikC//ydjM//fabG//zraR//rpsU//gltF//mtr//csgG//dcuD//fucU//slyB//cyoB//hcaC//ihfA//dnaN//malX//add//rnlA//glpQ//ydeN//ppdC//caiB//glpX//relB//glcD//narX//dhaL//metC//phnC//
PhoP_neg	rimK//uidA//napD//ybaT//wrbA//garK//pspA//mlrA//yfiB//fucR//pnp//
PhoP_pos	napB//fucI//ugpB//fimE//nanA//melR//uvrA//araH//moaD//cpxA//rob//fucU//pykF//glcF//ppsA//paaB//glgA//dapB//rpiR//ccmB//ttdT//rplT//dmsB//glnA//hybG//gspC//ynfF//yfiB//mdtB//alsB//phnL//marB//ulaE//ycdZ//csrB//glnP//accC//alsA//hisM//nrfF//fliS//oppC//hcp//dhaK//purF//cynR//recD//trpC//
PrpR_neg	fliE//
PrpR_pos	accB//hdeA//oxyR//dapD//
PspF_neg	tam//
PspF_pos	argC//phr//cyoA//hycG//puuR//appX//
PurR_neg	ybbW//cadC//entH//potF//paaE//cyoA//ydfD//asnA//entE//lsrR//ppdC//gspL//fdnG//fbaB//marA//yfdE//ycjG//rhaA//metA//chbB//pnp//focA//glcC//ybdZ//lpd//ydeO//tyrP//ruvA//paaK//chbG//rhaB//
PutA_neg	chbC//yccJ//
PuuR_neg	prpR//ftnB//gpmM//moaB//mdtA//higB//gspM//
QseB_pos	crl//bglB//ldtC//fimE//
RbsR_neg	argH//ddpC//idnR//fimE//gutQ//accA//lsrR//pgaD//
RbsR_pos	glpK//
RcdA_neg	appY//ycjG//
RcdA_pos	lpxD//ascF//insK//chbB//trpR//fecI//acrR//
RclR_pos	btuB//manZ//ssuB//
RcnR_neg	malE//mscM//nrfE//
RcsAB_neg	pgk//nikE//nuoM//yqaE//cynX//norW//
RcsAB_pos	mhpE//mazE//yoaG//phnD//citX//cusF//fadD//asnC//yhcH//fixC//
RcsB-BglJ_pos	aroG//hyaC//ynbB//micF//yebE//fadD//asnB//hokE//rutB//fimE//cysK//rutA//yccA//ftnB//hyfA//lsrF//
RcsB_neg	hycE//phnJ//
RcsB_pos	sgbU//hycI//ttdR//ydbK//paaE//tauB//fliR//hslJ//yeaH//purM//ccmH//srlD//appC//dpiB//borD//hipA//carB//emrA//narI//fliL//astA//fumB//iscS//
RelB-RelE_neg	rbsR//wcaB//alsA//
RelB_neg	nuoM//hisQ//hyfH//
RhaR_pos	cueO//agaI//
RhaS_pos	ada//sdhB//phnK//rstB//nrfD//ftsI//
Rob_neg	purE//
Rob_pos	omrA//gcl//yccT//puuB//dcuR//glcE//paaF//fhuF//fabH//gspK//torR//trpL//cvpA//ygeA//ydeM//argR//ydeN//nohA//metC//dmsA//fadI//appB//zntA//ariR//aslB//
RstA_neg	hslJ//ydfD//nhaA//ybhR//pstS//
RstA_pos	purF//marB//glgA//hybO//hyaF//
RtcR_pos	infB//accC//
RutR_neg	bioB//ugpB//ynbC//ulaB//ccmG//entE//bdcA//cueO//yecR//nrfE//flgG//aspC//fabA//alaC//nhaR//
RutR_pos	metF//insK//
SdiA_neg	fdnI//rpsO//nanT//
SdiA_pos	grxA//zraR//gspL//
SgrR_neg	yafQ//acnA//hcaB//tauB//alsB//
SgrR_pos	fiu//tfaQ//icd//patD//
SlyA_pos	yqjA//
SoxR_neg	uhpT//
SoxR_pos	asnB//glpX//
SoxS_neg	gadF//garR//
SoxS_pos	fliQ//zraP//thrS//ydeP//ynfK//yfdV//malF//mqsR//uspE//nrdI//rhaR//dkgB//ykgM//nuoB//pdeR//creC//puuC//ygeA//citF//yjbE//motB//ecnB//fliA//ycgR//ulaA//ymiA//cueO//cyoC//ulaC//leuB//tsgA//dinF//idnT//fimE//guaA//dhaM//nadB//waaH//
StpA_neg	cdd//glpQ//ydbK//malS//relB//rplT//nhaR//
SutR_neg	fabH//fhlA//tonB//sufD//lon//
SutR_pos	fliT//
TdcA_pos	entA//lldD//tsx//fruA//appC//arsB//wzzE//
TdcR_pos	glnG//sufE//paaE//hyaA//mzrA//pstC//glpT//
TorR_neg	rfe//envC//micF//
TorR_pos	paaK//tnaA//lamB//phnM//pgaD//fliL//alaC//rimK//rpsO//
TreR_neg	betB//nanK//
TrpR_neg	sgrT//slyB//rpmI//yciF//gatC//sucD//garP//pgpC//norR//metQ//patA//lsrD//
TyrR_neg	dinI//narL//deoC//artP//baeS//nimR//gspM//sbmA//treR//ada//
TyrR_pos	narI//mprA//treB//
UhpA_pos	rffC//
UidR_neg	flgD//yafN//pepD//alsC//
UlaR_neg	artM//argE//rbfA//rbsA//mgtL//astA//phnP//
UvrY_pos	chbR//ybjC//nuoG//dgcN//argC//
UxuR_neg	mdtF//csgE//feaB//nanC//mntS//patA//yiiS//yjbH//mazF//
XapR_pos	gcl//mhpF//
XylR_neg	yebG//
XylR_pos	aroF//lamB//norV//guaA//rutR//rutR//
YdeO_neg	rutG//frdB//
YdeO_pos	dkgA//tyrR//fepE//fnr//mntH//ubiX//rbsC//yidL//bolA//rybB//dsbG//qseB//ydeN//cdaR//hcaE//cas2//bioC//ugpA//fliP//
YedW_neg	gspJ//glnQ//frdA//fdnG//hcaC//
YedW_pos	torD//lysC//oppC//umuD//dmsC//ptsH//pgi//
YefM-YoeB_neg	ycgR//cydA//
YefM_neg	ybdZ//yqhD//
YehT_pos	sbmC//
YeiL_pos	degP//
YiaJ_neg	pfkA//sucA//pqiB//nimT//srlD//xylB//pspC//mpl//appY//tauA//
YjjQ_neg	fliL//xylR//mgrR//emrB//zwf//pgpC//rutC//copA//purL//ugpE//
YpdB_pos	gadX//
YqhC_pos	fruA//lpd//
YqjI_neg	psd//bioA//
ZntR_pos	frdA//
ZraR_pos	cvpA//chbB//lpxA//
Zur_neg	dpiA//wzyE//wcaB//nohA//pgpC//allS//
