#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	hcaF//nfsB//
FlhDC_pos	glk//caiT//fadL//pspG//nikD//uvrD//nuoL//dsdC//hyaF//yhdX//nagC//lyxK//hslJ//yhiM//argO//cysU//hypF//appC//ybjN//sufS//cecR//paaE//rffG//appY//mhpB//patD//mdtF//nfo//tsr//lhgO//hyfE//ompT//alsA//sgbU//bioD//ccmH//garD//fliL//aidB//fucO//nmpC//paaD//speA//lacY//mdtA//flgH//decR//waaZ//cyoB//rnpB//galT//cdd//pqiB//fepA//fepD//gutM//ycjY//hmp//prpR//yqjH//fecR//ydfH//nrdI//ybbW//alaC//phoQ//cysC//bamE//tdcD//zraS//yqhG//galE//ynfF//flgC//hybA//frdB//ygbA//nrfB//
FliZ_neg	ppsA//cusB//yjeV//recF//phoE//srlD//fhuF//alsB//fruA//dkgB//skp//oppA//glgC//umuC//ynfE//manZ//lhgO//glxR//garR//gspI//pqiB//
FucR_pos	dinI//nanS//ddpA//mhpB//ccmB//yhdY//yrbL//
Fur_neg	mhpD//fepB//mngR//argI//cysU//oppD//nuoM//uxuB//yecR//cyoD//ybjG//yafN//yafP//gspG//pspG//potH//fldA//moaA//ykgO//hokD//gltJ//ung//agaI//wzyE//napB//creA//ung//gadA//umuD//ccmF//nirC//mpaA//ompW//xapA//modC//rplU//nmpC//aroH//mazE//pnuC//uxaC//appC//cspE//oppF//rpoD//rffH//pspC//caiT//cra//lrhA//nuoN//ugpB//exbB//ppc//dsbC//glmY//galT//sdhC//yciX//yccT//gpmM//fadR//argP//recD//bamE//astD//hycF//dsbC//argI//alkA//infC//paaZ//ulaD//moaA//wrbA//yeiL//intQ//idnD//fucI//fadI//hdeB//rpsU//fpr//ugpC//ogt//yoaC//yhbS//hisJ//pnuC//umpH//ybiT//zraR//yjjZ//cra//yqjA//garK//cpxQ//lon//yciE//rpsU//pgi//fecI//degP//evgS//ybhG//cyoC//ybiT//rtcA//cydC//gcvB//yciW//trpR//relE//cecR//ygiA//
Fur_pos	lpxD//napH//gadB//fabH//fumC//nuoG//glpC//dgkA//rbsC//napC//eno//accC//purK//glcE//ccmC//fepC//rplT//cpxR//nuoN//flgG//ldtD//
GadE-RcsB_pos	ulaA//flgJ//flgC//gatY//nfo//yhdY//nanS//phnE_2//ariR//
GadE_pos	hycD//fadR//fadI//glgB//fliN//tcyP//dcuS//ugpQ//ybhR//yegR//ulaA//creA//hycD//nirB//dcuA//gudD//paaH//yefM//chbF//cyoB//thiQ//ydiU//ygbA//gutQ//fixB//rbsD//yidQ//dgcC//lsrC//
GadW_neg	hslJ//adiC//sdhA//casE//efeU_1//rutB//uidB//yegR//zntA//napG//cueO//
GadW_pos	garD//dinQ//phnE_1//nikC//gatA//mscM//rcnR//aceF//nagB//yneM//uvrB//
GadX_neg	exbB//sroC//cadC//cspE//ybjC//cho//
GadX_pos	gltD//gadF//nrdD//tehB//inaA//hipB//nupC//znuA//frdB//dinF//waaY//fepG//csrC//yaiW//yncE//ygeA//zwf//ydcV//xylR//agaA//aslB//leuB//rbsA//soxS//trxC//phnM//pspD//
GalR_neg	hypE//mngA//hha//ychF//mprA//putP//betA//nikE//iclR//ydfE//
GalR_pos	ccmD//flgK//recN//rcnA//
GalS_neg	fliN//ldtC//leuL//polB//paaY//yhbT//yciE//glnD//psd//flhD//
GalS_pos	aroM//sbmA//gudP//rffM//
GatR_neg	pstC//znuA//artQ//tcyJ//glpK//fdnG//
GcvA_neg	yagK//fepB//cysP//mtlA//
GcvA_pos	gadF//idnD//cydD//fldB//
GlcC_neg	ftsI//
GlcC_pos	paaK//amn//zntA//garK//norR//exuR//
GlpR_neg	asr//ssuA//guaA//serA//rhaR//lyxK//sbmC//osmC//ulaE//
GlrR_pos	bhsA//rpoH//patD//dapB//ftnA//
GntR_neg	sodA//serA//yjhC//puuE//ubiC//nanT//dinD//hslJ//yhdW//melA//hyi//hcp//
GutM_pos	cpxQ//frc//acrR//fliJ//ccmF//fixA//melB//
GutR_neg	rffG//aroG//rcnR//rcnA//casC//sufC//ddpC//
HU_neg	tisB//sbmA//uspD//purE//gspK//decR//cysH//rclB//
HU_pos	yciX//
HcaR_neg	ddlB//
HcaR_pos	leuC//slt//mgtL//gspK//phnO//
HdfR_neg	fecE//spy//
HdfR_pos	cynS//yjhB//araB//
HigA_neg	gcl//lamB//
HigB-HigA_neg	hycA//hokE//
HipAB_neg	bhsA//feoC//ynfE//phnI//phoU//
HipB_neg	modB//uxuB//casC//nagE//fabI//fbaB//
HyfR_pos	dmsB//rpiR//mgrB//icd//entH//pspE//astC//fucO//tnaA//betA//ugpB//soxS//
HypT_neg	wza//ada//rcnA//tsx//yqjH//
HypT_pos	ygiB//paaC//yfdX//zinT//sufB//dps//folE//sgrR//
IclR_neg	dhaK//aroG//mdtD//araJ//
IdnR_neg	glcC//talA//
IdnR_pos	gcvH//evgA//rhaD//napD//fliP//
IlvY_neg	fliO//
IlvY_pos	hypB//
IscR_neg	yjbF//casA//tktB//fabA//metK//ynbB//sbmA//nuoE//fepC//trpL//yjjZ//ygaC//ynbD//feaR//atoB//lacA//phr//entE//yoeB//agaC//ygbK//
IscR_pos	znuC//ecnB//ybhR//ybjC//araD//galR//dcuD//puuC//ompN//yqhG//fabD//
KdgR_neg	metE//nirD//
KdpE_pos	ihfA//relB//artQ//hycB//
LacI_neg	uof//phnM//ilvY//
LeuO_neg	hyaB//sdhB//ydiV//
LeuO_pos	mdtF//yhdX//metK//argE//metA//ybhS//csiD//torA//deoD//gltK//dcuR//dtpA//fliC//copA//mioC//prpD//rutC//lpxA//
LexA_neg	tauD//wcaA//dgkA//galE//rhaR//tdcD//nfuA//pgi//potH//nirD//rbsB//acrZ//uidB//yqhD//xylB//cydB//acrR//nagE//cdaR//yhcH//gspL//tadA//tdcC//ygeH//fliA//hcr//nuoJ//ftsA//glpT//leuD//ybhR//aceK//ubiX//rpoH//mlc//hybA//gutM//purE//rhaD//mlc//galE//gntX//acrZ//hybO//fdnI//puuB//pdeH//yafQ//leuB//glnK//hycF//galS//nuoG//rybA//ascB//pheM//pgaC//ppdA//glpF//
LldR_neg	metL//fadL//malY//
LldR_pos	bglF//argP//ilvY//
LrhA_neg	puuA//lhgO//
LrhA_pos	moaD//wecB//
LsrR_neg	araA//asr//cas2//ybiT//hyfR//yjbF//glcB//ariR//narX//
LysR_neg	cpxP//
LysR_pos	insD//
MalI_neg	accB//cusR//fbaA//
MalT_pos	trpB//ompC//aldA//nrfC//nuoC//ydfH//ydjM//ppdA//yjhC//rcnA//
MarA_neg	ybiT//nfuA//yhbE//tynA//acrR//flgC//ahpC//
MarA_pos	yiaM//yccT//tdcD//ssuE//ynjI//malI//wzxE//napA//metB//puuE//dsdA//nimT//hyfR//pflB//ttdT//ppdA//sroD//ulaC//sdhD//deoD//ptrA//fucA//yeiL//gcvT//osmB//ybhF//wzyE//pgpC//bioD//psiE//pgaA//
MarR_neg	ugpQ//tcyP//rffC//
MatA_neg	ssuB//phnO//acrB//dinJ//rybA//ada//
MatA_pos	ycgZ//glcC//
MazE-MazF_neg	rhaB//cysH//yjbH//
MazE_neg	ulaE//rseC//torA//
McbR_neg	lysR//
McbR_pos	glpX//fepC//ppdB//
MelR_neg	recC//hokE//cdaR//
MelR_pos	hslJ//gcl//yoeB//
MetJ_neg	hslJ//caiA//mdh//glgB//phnJ//patD//metA//dcuD//flgC//rimK//csgE//csgB//ppdA//dmsA//cysJ//
MetR_neg	yidQ//uof//
MetR_pos	evgA//wzyE//cysD//zinT//
MhpR_pos	tam//hha//fecD//rfe//pflB//glcB//
Mlc_neg	phnE_2//fecA//xylB//ogt//yegR//gntT//hipB//yjjZ//nuoA//cysW//
MlrA_pos	yncE//relB//hcaB//malE//accD//yecR//phnE_1//gadA//hipB//lldR//
MngR_neg	creB//gltJ//gntP//
MntR_neg	araF//phnF//exbD//asnA//
MntR_pos	seqA//
ModE_neg	glpB//flhC//malQ//dacC//glcF//emrB//hcaB//znuC//yebE//ccmG//agaA//fruA//appC//hyfA//umuD//
ModE_pos	murR//cas2//entB//guaA//moaD//dctA//hyfF//potG//uidA//gatY//ydcU//lsrR//modB//yjbH//gltD//lpxD//betB//talA//fabZ//mraZ//iscU//yhbT//yfaE//yegR//uspE//zraS//micF//yqhD//prs//alaS//gatC//
MprA_neg	ppsA//tehB//ykgO//malF//lhgO//cheA//
MqsA_neg	mhpC//icd//fucR//fadA//gltJ//xylA//pnp//yciX//
MraZ_neg	narX//fabZ//crr//nagB//btuB//gspG//dsbA//exbB//setA//pgaA//ssuD//argT//gspF//nanA//hypF//ebgC//isrC//
MtlR_neg	sgrR//ydfN//yeaG//
MurR_neg	ebgC//sdhA//ydbD//
MurR_pos	gcvP//
Nac_neg	dctA//artI//rpmA//aspA//wza//pflB//ecpR//cydB//adiC//
Nac_pos	yafQ//lolA//ccmD//gltI//asr//lpd//mtr//gdhA//fhuD//fnr//sodA//znuB//
NadR_neg	rbsB//ampC//tcyP//moaA//
NagC_neg	nuoN//aroG//wza//rplU//acnA//slyB//waaH//lpxC//pagP//metI//yfdE//ytfE//ydhX//fucK//cusR//pspG//ulaE//mtlD//ulaA//iclR//pflB//hypE//marA//ubiX//phnJ//mtlR//argR//fixX//uidB//htpG//betB//uvrA//ryhB//
NagC_pos	paaF//nrfA//fliE//
NanR_neg	gspK//insD//tisB//exuT//torA//fecB//rseC//fliH//fucA//atoA//
NanR_pos	cdd//
NarL_neg	garP//rprA//qseB//patD//ssuA//ttdR//cysA//nhaA//umpH//pyrD//fumB//cirA//torD//amn//dsbA//ydfE//rsmH//fadL//fabH//cadC//lgoR//idnO//uspD//astE//aceK//evgS//flhA//cecR//ccmB//idnO//fucO//pyrD//agaB//gabP//nemA//wecC//pck//hisP//lsrF//hcaC//nimT//lacZ//talA//rbsD//hyaA//puuE//rpiR//fecB//narG//mzrA//uvrC//rsmH//ygiA//casE//sutR//nuoH//ldtC//hyfH//frdD//xylF//nanE//leuA//fliE//hyaF//yecR//fliC//fucK//yccA//metJ//trpC//garD//yhjX//csiD//fucA//yfaE//yhcH//frdD//ilvY//nrfB//idnT//ykiA//sbmC//rhaT//mhpF//phnC//agaB//tdcA//
NarL_pos	phoE//chbR//ptsG//aroF//paaZ//moaA//rpoS//zraP//argE//garK//recN//acrA//nuoG//bamE//dinD//emrA//gspJ//cvpA//paaI//csgC//ompN//grcA//rffM//fecI//cas1//nrdB//hlyE//ugpA//bacA//potF//dhaR//trpL//phnP//csgF//uxuR//feaR//nuoC//fepD//oppB//torC//fiu//phoP//gadB//
NarP_neg	ptsG//gspM//fabA//fruA//cytR//ahpC//ulaC//lsrB//rpmI//rnlA//puuR//accA//rfe//ygiC//agaW//sucD//sgbU//hokE//mdh//ptrA//sdhD//yjhB//slyB//flgK//glnP//fhuA//hlyE//idnO//fpr//ompF//pitB//hybB//sgbE//
NarP_pos	rtcA//csgF//gudP//flhA//rclA//codB//fhlA//metK//rpoH//yciE//yeaE//gadY//astB//dpiB//sdhD//nikA//gudP//cyoA//kdpF//hyfG//citE//nuoK//rsmH//flgH//ribA//kbp//argP//nanT//murI//yqjA//adiA//zraS//
NemR_neg	fhlA//malI//guaA//
NhaR_pos	ybfE//dinI//fliO//micF//rclA//yiaM//araD//
NikR_neg	prpD//gspC//rarA//zraP//trpA//phnK//
NimR_neg	zinT//iraP//
NorR_neg	slyB//
NorR_pos	pheT//cyoC//
NrdR_neg	sra//fdnI//nikD//alsE//creA//caiF//emrK//xylB//sbmC//
NsrR_neg	dinF//phoE//fnr//entS//metY//torD//znuC//appC//ccmC//gltK//phoA//uspA//aroG//hybB//cysG//wzzE//rbsA//nuoI//glcE//adiC//argD//tsx//gutM//adhE//tisB//oxyR//ybfN//frdD//cysP//ascB//cysA//yhdY//eno//mprA//ybaT//tnaA//cydC//yccT//yhbT//ybjN//accA//kdpA//cspD//tsx//sufA//yjjQ//fdnH//torR//fruA//gudP//yhjC//hflD//sdhD//murC//spy//ttdR//guaB//metJ//araG//degP//gyrA//umuD//lyxK//tnaB//rutG//sgbH//acrA//pnuC//yebE//prpD//tdcC//cysU//idnT//cbl//ulaF//yiaK//moeA//ppdB//gdhA//ompW//arsB//cheW//hcaF//
NtrC_neg	citC//wecB//ycjG//fhuF//flgD//fldA//
NtrC_pos	tauA//csgA//srlE//metC//fliO//rutG//fecI//gspC//borD//hycF//phnM//glpF//asnB//stpA//evgS//ugpQ//atoB//flgJ//rpoS//cysG//ccmD//yfbR//ppdB//flgB//relB//kbaZ//isrC//yjeV//fixA//higB//gcvB//yqhD//fumB//sdhB//fecI//puuP//ybhR//ttdR//narI//flgK//ssuB//ariR//phnP//accC//pspE//ruvB//aslB//garL//gpmM//
OmpR_neg	uidC//metQ//flu//ilvY//xylB//chbG//zraR//flu//mcbA//citX//psd//trpB//
OmpR_pos	bglB//paaI//tolC//gyrA//gor//feoB//murF//csgC//yiaJ//fumB//
OxyR_neg	gadX//uxaC//purL//lysC//creC//yjhB//mglB//cysG//emrB//ycjX//flgC//slyB//
OxyR_pos	fabA//omrA//nfsB//alaS//hdeA//yciE//srlE//ybbW//aceA//nlpA//ugpB//cusF//ydeO//rutE//fliI//ybhL//pck//gspH//tam//umpH//atoD//tfaQ//
PaaX_neg	ydeM//mngR//dinQ//ppiA//mazG//yciG//moaD//yeaR//ftsZ//ybdZ//galK//nanT//fliJ//cpxA//
PdeL_pos	purD//
PdhR_neg	yiaO//rbsA//yiaO//fadD//dacC//tehA//nanM//ppdB//zwf//ygaC//xylF//mdtD//uvrC//yfdE//gudD//purR//allE//yafO//ttdR//ynfK//caiE//hyfJ//aroG//pdeH//ygbK//metA//hypB//ftnB//folE//hns//sucB//lpxA//gcvB//ygeH//wcaA//frdA//
PdhR_pos	paaZ//ppc//ygeA//malE//pncB//
PepA_neg	tynA//pspD//yrbL//
PgrR_neg	umpH//yebE//nrdD//glgP//citC//ssb//obgE//pepD//
PhoB_neg	fliH//treB//rffC//feoB//hdeA//ibaG//xylH//pgaD//iraP//trxC//hha//aspC//
PhoB_pos	pgi//cheA//cspE//hypD//fimB//frdC//moaB//glgP//yafN//phnC//purB//glpD//slyB//sufC//puuP//hcaC//entH//rpmA//dmsB//gadA//glnG//yccT//glnP//uxaC//fhuA//gatZ//nuoM//hslJ//ynbD//mhpF//acnA//aroF//fadH//fdnI//recX//csgD//ykiA//ybhL//idnK//potH//gudD//rhaT//pnuC//ahpC//treC//astA//fliM//fliC//fliF//citD//acrR//fabI//mlrA//
PhoP_neg	hcaB//rplU//wcaA//rpsU//phoB//ubiA//wecE//rplU//gltB//fadM//fhuB//
PhoP_pos	ccmE//yjjQ//tadA//cysD//oppF//ryhB//ddpD//norR//tdcF//arsC//ymgA//carB//murG//gatB//rob//yhdW//grxD//yeaG//csgD//fecA//treB//hycC//phoE//nanM//mhpE//gltJ//fliI//wzc//fnr//yidL//puuR//flhE//ydcT//nuoI//fliF//hyfG//ftnA//astB//rutE//gltJ//cysJ//uxaC//sdhC//rseA//ugpB//slp//rbsK//yqaE//
PrpR_neg	trpL//
PrpR_pos	ddpD//uxuA//nuoA//sodA//
PspF_neg	rutD//
PspF_pos	fdnH//pheM//hns//glcB//metH//rseA//
PurR_neg	gcvP//ruvB//cysG//dsdX//tsr//srlA//paaA//puuR//nmpC//pqiA//chbF//rpmA//bglB//pstS//crp//puuP//gspF//cysK//ymjC//ygiB//cheA//gabD//mscM//yciF//fucK//ccmB//ydfN//gltB//phoR//intQ//asnB//
PutA_neg	umuD//glgA//
PuuR_neg	sgbU//ybbY//paaD//ulaD//hybA//galK//recF//
QseB_pos	slp//phoH//rclB//allD//
RbsR_neg	erpA//csrB//dsbC//ompC//hyaA//dsdC//yfdX//narL//
RbsR_pos	fliC//
RcdA_neg	hycH//glcC//
RcdA_pos	fadA//carA//gntU//rprA//phnI//udp//metN//
RclR_pos	hybF//lyxK//napG//
RcnR_neg	folA//torD//flgF//
RcsAB_neg	metH//treR//glpQ//glcB//hypA//acnB//
RcsAB_pos	ygbA//zraP//fbaA//ssrS//lsrA//sroA//prpC//nagB//ogt//artQ//
RcsB-BglJ_pos	ssuA//purN//rnlA//ryhB//cdaR//putA//bluF//garL//trpE//phnL//dmsC//acrA//hycC//leuA//dnaG//fabG//
RcsB_neg	agaI//modA//
RcsB_pos	mhpE//hybC//rclB//hisP//cusR//ccmE//glcB//rybB//yjbH//katE//recX//ybjG//amtB//lpd//gspO//lsrF//phnI//lamB//bioC//fliH//hycF//kdpA//guaB//
RelB-RelE_neg	gatC//nrdE//mipA//
RelB_neg	gadY//yeiL//ykgM//
RhaR_pos	nuoJ//citG//
RhaS_pos	flgF//potH//lacA//ddpA//gltL//cbl//
Rob_neg	fixA//
Rob_pos	glk//nhaA//frc//rnlB//nrfD//ihfA//hycE//ynbC//hycF//bdcA//gltI//lrp//rhaD//chbC//phnI//hydN//acnA//aceB//relE//yhbT//ampC//prpD//ccmH//yecT//metA//
RstA_neg	hcaD//tauB//yidL//rtcA//hybA//
RstA_pos	malT//tauC//setA//purR//wrbA//
RtcR_pos	lsrR//tnaC//
RutR_neg	hisP//sbcD//dnaN//yfdE//fliF//emrA//rbsK//chbA//glk//hyfR//caiA//evgA//fadD//csgD//xylB//
RutR_pos	ydcU//purK//
SdiA_neg	pepD//gspG//nohA//
SdiA_pos	dnaN//rutE//mtr//
SgrR_neg	micF//fhuE//uxaC//mhpC//ybjN//
SgrR_pos	rffT//nanA//yqhG//recF//
SlyA_pos	alsE//
SoxR_neg	glk//
SoxR_pos	gabD//rseB//
SoxS_neg	bioA//phr//
SoxS_pos	creD//pdeH//tauC//moaA//mngR//sroA//xylR//hyaC//phnH//ppdC//glmY//soxS//rnlB//yhiM//ybdN//relA//ppdA//dsdC//paaY//gspG//yfiR//hcaR//gltJ//yaiW//murC//metI//yciW//rbsA//pncB//pitB//lpxC//mdtC//fliZ//argP//ahpF//betB//csgA//fiu//
StpA_neg	mazF//qseB//gspM//phnC//nrfD//fucK//ymjC//
SutR_neg	metY//mglB//gcvP//sgbE//hyaB//
SutR_pos	evgS//
TdcA_pos	uxaA//hybA//sgbE//ldtB//ycjG//murE//oppD//
TdcR_pos	yebE//lysP//mdtF//fecR//rutB//ptrA//ftsL//
TorR_neg	skp//gadY//kbp//
TorR_pos	astB//xylF//dinG//cyaR//fliS//sufB//ynfK//tktB//fhuB//
TreR_neg	mazG//folA//
TrpR_neg	aslB//uspD//sroD//nuoJ//nikA//guaA//fliQ//purK//iscA//hcr//lldP//accD//
TyrR_neg	rbfA//yccJ//yneM//ung//flgH//galT//tauD//hyfE//ppiA//betB//
TyrR_pos	gadC//frc//yneM//
UhpA_pos	pdhR//
UidR_neg	higA//metL//leuC//acrB//
UlaR_neg	feaB//gspK//pgm//relE//phnJ//recC//yiaN//
UvrY_pos	tfaQ//dnaG//pqiA//dsrA//gloA//
UxuR_neg	tonB//mscM//nirD//yhiD//exuT//aceF//gudP//nrdA//exuT//
XapR_pos	ssuD//skp//
XylR_neg	arsR//
XylR_pos	flgD//dsbG//ybaT//tnaC//hybO//dcuR//
YdeO_neg	fhuF//hns//
YdeO_pos	malE//nrdE//oxyR//kbaY//fadB//carB//gadE//exuT//ssuD//tonB//alsC//chbB//pncB//gadE//fliG//inaA//csgA//pnuC//ryhB//
YedW_neg	casA//yoaG//glcA//flhE//phnK//
YedW_pos	nac//setA//bhsA//lacY//dgcC//yafO//argT//
YefM-YoeB_neg	wcaA//flgJ//
YefM_neg	metC//mgrR//
YehT_pos	fecD//
YeiL_pos	prpB//
YiaJ_neg	ybjC//rhaD//alkB//cpxR//betT//aldA//paaH//nohA//cas2//zraR//
YjjQ_neg	glxK//fucP//malZ//fucI//infB//yiaO//sbcD//uxaC//gudX//fecE//
YpdB_pos	feaB//
YqhC_pos	rhaS//murC//
YqjI_neg	artI//sbmA//
ZntR_pos	glpK//
ZraR_pos	ybiT//fliP//fliR//
Zur_neg	entA//ugpA//pdhR//uxaA//pheT//tsgA//
