#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	cysG//yfaE//
Nac_pos	dgkA//pgi//ilvY//cusC//ruvB//ydcS//fruK//yccJ//ydfX//purC//zraS//ygaC//
NadR_neg	accD//osmC//yeiL//rutG//
NagC_neg	purL//ftsQ//yafQ//fliK//pdeH//mhpC//hyaF//ccmD//nfsB//cpxA//acrD//asr//metE//fliJ//sufD//appB//aceF//mtlR//envC//ybdN//rbsR//betT//rnlB//frc//narH//zinT//trpB//ymjD//aceE//accA//add//creD//mhpA//
NagC_pos	glgA//yccT//acrR//
NanR_neg	ftnA//ymjD//xylH//manY//cysB//ydjM//sgbE//gpmA//yagK//dinG//
NanR_pos	aroM//
NarL_neg	ybhS//chbB//nrfB//glxR//bioB//gltD//murC//yjhB//hybB//acnA//pfkA//fimE//melB//glpF//rhaA//gatZ//rcsA//tauB//allB//xylG//rcsA//ssrS//nuoI//htpG//pgaD//frdA//fliC//oxyS//ydfN//hyaE//fliD//tktB//fepE//oppD//cyoC//aslB//mnmG//pgk//uxaC//tauC//ynfF//ycjX//acrA//cra//nrdF//acrD//sutR//ampC//tyrB//glnH//rnpB//osmY//citD//sufB//crp//dps//yidQ//napG//ttdB//fecB//rhaR//pagP//aldA//cysD//sbmA//pspD//moaD//pck//hyfB//hycB//astD//moaA//iscU//sucC//fnr//flgM//psiE//yegZ//ftsW//acrA//dinJ//hisP//pdeH//exbD//prpB//yqhD//narK//
NarL_pos	ptsG//hypF//mngR//asnC//cusF//mhpE//allB//norW//rbsR//yqjA//hyfB//patA//srlE//gabP//aceF//yhbT//serA//lyxK//creA//rutA//yecT//argC//dmsA//wzzE//setA//rutG//sucA//mraZ//fdnH//yqhG//cyoB//moaD//rtcB//paaI//ybhL//pdeH//leuO//potH//lsrG//bglF//lsrC//frdA//wzc//
NarP_neg	xylA//gntU//crr//hcaF//cysM//melB//amn//tktB//sufS//glxK//purR//araF//gspO//csrB//leuO//gspE//yjbG//ssuA//aroG//hyaA//ybhR//ymgC//pnp//yfdE//metE//flgK//rpoD//asnC//yafQ//hcaE//cysU//agaS//gcvB//
NarP_pos	recX//yhcH//efeU_1//glcE//gspO//ddpA//nikC//hycB//fucU//creC//gntX//tynA//ymgC//tehA//dsdC//araD//amtB//mioC//accC//ccmH//glpD//rnlA//pagP//glmY//gspE//recN//pnp//astA//ygaC//gfcA//phnM//torR//
NemR_neg	fepD//glnL//ybjN//
NhaR_pos	rstB//idnT//glpQ//eno//nemR//molR_1//puuR//
NikR_neg	paaG//metH//feoA//fliG//yafP//focB//
NimR_neg	cydB//phoU//
NorR_neg	dhaL//
NorR_pos	nmpC//rutR//
NrdR_neg	pgpC//yccT//prs//cpxQ//nuoM//torA//ddpX//tdcG//caiD//
NsrR_neg	nmpC//phnI//paaJ//ddpB//mnmG//hcaC//folE//ddpD//cadA//fixX//mazG//sufB//fliE//feoC//luxS//bdcA//dcuD//nuoF//ogt//yjjZ//ydfN//hisQ//fliM//psiF//dinJ//ydfX//mngA//evgA//nrdB//purH//entB//araJ//feoC//ydhT//rob//yjiY//hokE//nrdE//yhdZ//hyfD//ppiD//gfcA//glnG//wza//paaK//rutC//gspG//nuoC//citE//oxyS//nrdG//fliA//ygdB//fucU//paaF//nrdB//baeR//hypD//yiaK//ttdR//yecT//rseA//lldP//ybjG//mhpC//kdpC//ydfW//phoH//nanT//gspK//hybC//ymgC//uhpT//uidB//hybO//artI//tynA//fadL//ybhR//recA//gltJ//dsbC//tyrA//
NtrC_neg	mngA//ybjC//bglG//tktB//phnP//hisJ//
NtrC_pos	entD//zraR//glnB//glnQ//phnN//chiP//uxuR//pspE//glcD//potG//fliH//mscM//lacY//purB//crl//rbsD//hybC//mgrR//mngA//nuoB//glyA//trpR//waaY//nmpC//uxaC//fliQ//mhpF//acrZ//cecR//agaV//soxS//gatY//truB//lsrK//galP//ydhU//pgk//hypD//cysM//betI//tehA//chbF//aceK//ulaF//envC//flgC//yiaN//citX//focA//
OmpR_neg	iscA//yjbE//pspC//fixA//hemL//ldtB//cysI//paaY//araD//focB//fecA//tnaB//
OmpR_pos	hdeA//nusA//ampC//gspJ//purM//pflB//fhuF//metF//glnG//fliZ//
OxyR_neg	hypC//nrfC//nagE//ruvB//ydeI//gntU//potH//rarA//napH//fecA//cysI//oxyS//
OxyR_pos	malX//pheM//nuoI//gntP//rhaT//tauB//pstB//cysH//napD//bglB//gadB//ydfW//yecR//flgI//sufA//cpxR//trpD//fumB//patA//flgM//fucU//nikA//
PaaX_neg	seqA//xapA//grxD//ogt//argA//garL//chbR//intQ//nikA//sgrT//napF//ldtD//isrC//fucU//
PdeL_pos	lpxC//
PdhR_neg	nikB//astD//fabZ//sucA//ygeA//sdhB//uxuA//csgG//dacC//gspO//ydhU//kbaY//mhpD//cusR//fbaB//xylH//fabG//dpiA//agaS//tsgA//adiC//lysA//infB//isrC//guaB//yiaN//caiA//malK//iraP//ftsL//cynR//cyaR//exbB//ydfE//rclA//gadX//
PdhR_pos	deoB//dinF//dgkA//ulaD//alaC//
PepA_neg	lsrK//atoB//uvrD//
PgrR_neg	malE//cysA//purR//alsB//fucP//nuoK//nrdI//argH//
PhoB_neg	glcD//hyfH//hcaC//epd//napH//mcbA//fliH//tonB//ynbD//agaR//gspK//fixA//
PhoB_pos	lpd//dgkA//kbaZ//cysP//pstS//nuoH//fliM//fabG//yegH//ybaT//rpsO//glnA//manX//yibQ//zraR//rbsK//ydcU//malP//gabP//ccmC//cpxQ//araE//ddlB//caiT//tomB//gspH//pqiA//fadJ//fabA//tehB//agaB//sbcC//flgJ//yhhY//yegR//rutB//ulaG//agaB//tcyP//allS//ygiZ//alsE//cecR//purE//feoA//aroH//cynX//evgA//nemR//argG//dsdC//trpC//nemA//
PhoP_neg	ybbY//ydeI//yjbF//csrB//gdhA//gltB//rpoE//sroC//phnO//ybhR//hyaB//
PhoP_pos	ygiZ//nhaA//rseC//rpiR//gcvA//ssuB//wzb//glk//recC//feaR//nrfD//csgB//wzzE//glnL//nrdG//dctR//trpL//gapA//ygiZ//tpiA//thrS//fixB//grxD//ygeA//sutR//fepE//oxyR//rstB//fliI//yiaJ//paaA//ulaF//ulaE//dicC//puuE//entS//narL//rclC//gatA//ykgO//rbsR//tyrP//pgk//flgM//malE//nuoM//agaW//dsdC//
PrpR_neg	ppdB//
PrpR_pos	malM//omrB//fbaA//fadL//
PspF_neg	ybbY//
PspF_pos	fepD//entS//gspD//evgS//ybbW//oxyR//
PurR_neg	glgB//lysO//flhC//xylA//nuoE//yneM//lpxC//hha//mdtB//deoB//mpaA//paaE//cspI//yhdX//fliO//pdeL//yiiS//fliS//trpL//hypD//oxc//tynA//murE//fadM//malF//gudD//glnB//tauC//recN//fecD//yecT//
PutA_neg	fabG//flgC//
PuuR_neg	ccmA//mltF//waaZ//hyfB//psiF//thiQ//flgL//
QseB_pos	oppA//ugpQ//flhA//citD//
RbsR_neg	atoA//malZ//mzrA//sbmA//gatB//pstS//hcaD//cra//
RbsR_pos	flgF//
RcdA_neg	sroC//xapA//
RcdA_pos	psiF//wzyE//hns//nuoJ//tauC//mngA//hyfD//
RclR_pos	trpC//glmU//ytfE//
RcnR_neg	gcvA//infB//fixB//
RcsAB_neg	csgF//cra//argP//nimR//grxD//csgE//
RcsAB_pos	fucK//fixX//aceF//purK//bglJ//cspE//uvrC//ndh//metQ//uxaA//
RcsB-BglJ_pos	fliP//chbA//appX//arsB//glpT//intQ//sbmA//deoD//accD//manZ//rbsB//argE//deoC//galM//soxR//fruK//
RcsB_neg	argE//hmp//
RcsB_pos	fhuC//idnT//mngR//ubiX//fimB//puuA//tcyP//crp//cysB//ppdB//cueO//nagB//yoaG//fruK//purR//umpH//uhpT//csgD//potI//nohA//mlrA//tisB//hcaD//
RelB-RelE_neg	tsgA//citD//yjbE//
RelB_neg	yhdW//rsmH//dcuA//
RhaR_pos	ldtC//appC//
RhaS_pos	ahpF//allA//phoB//wecE//kdpA//ccmG//
Rob_neg	gspJ//
Rob_pos	ygiZ//ynfE//tsr//mtlR//agaB//thrS//pstB//btuB//glcE//hipA//argF//malQ//fucA//entS//uxaA//flhD//citF//uof//trpB//hypF//adiA//ddpC//modB//glgP//ybhL//
RstA_neg	hokD//trpL//glcF//ycjX//uvrY//
RstA_pos	phnC//yccT//cusB//argR//astC//
RtcR_pos	pepD//modA//
RutR_neg	dhaR//argP//pspE//tomB//yagK//feaB//ycdZ//uxuA//yjjQ//ulaC//uhpT//uvrC//nrdG//micF//pgm//
RutR_pos	aceK//bglG//
SdiA_neg	ydfN//torD//envC//
SdiA_pos	adiA//sodA//ygbK//
SgrR_neg	ccmE//nimT//glnQ//waaY//ymjC//
SgrR_pos	sroC//hyaC//nanT//casB//
SlyA_pos	tyrP//
SoxR_neg	bhsA//
SoxR_pos	seqA//ndh//
SoxS_neg	dnaG//serA//
SoxS_pos	dhaK//moeA//hycA//rob//ccmB//skp//mipA//metQ//ccmD//nagE//fadL//rffT//osmC//yqjI//relA//glmS//yiaJ//recD//crl//nrdB//ygbA//puuB//symE//ttdR//glpT//agaD//cusF//uvrY//yeiB//yjiY//cydB//yhcH//frdD//napC//recA//ecnB//bioA//rutD//
StpA_neg	metR//nhaR//hcaR//codA//nuoM//alsB//ccmA//
SutR_neg	sgrT//argT//lsrD//ycdZ//mhpC//
SutR_pos	codB//
TdcA_pos	chiP//cspI//malX//nhaA//uxaC//glcD//ygiB//
TdcR_pos	ompC//cytR//rffH//ddlB//fabG//rarA//dsbC//
TorR_neg	bdcA//pnp//malQ//
TorR_pos	focB//glgC//fadD//dcuS//cpxP//yiaN//ftsA//flgD//agaR//
TreR_neg	frdD//nfuA//
TrpR_neg	ydjM//ascB//glnB//hycD//yeaG//mngA//thiP//ftsQ//glnB//nuoC//add//leuC//
TyrR_neg	fecE//hyfD//lysR//gdhA//potG//dinD//rpoD//bamE//bioB//ybhR//
TyrR_pos	yccA//hcaF//hyfF//
UhpA_pos	dtpA//
UidR_neg	gspC//osmB//nrfG//yeaR//
UlaR_neg	phoE//gatA//fimB//feoB//hokE//phnH//rutD//
UvrY_pos	phoU//emrB//sufS//fadH//pgk//
UxuR_neg	fepA//ycjF//cusA//fpr//uidC//cecR//malI//araA//nagA//
XapR_pos	nuoF//cbl//
XylR_neg	cysA//
XylR_pos	ygbK//ydiV//hha//artM//mpl//astE//
YdeO_neg	melB//hycH//
YdeO_pos	ydfW//gspH//mdtE//malY//tomB//hcr//gspG//gspM//yiaK//rybA//wcaB//ecnB//fabI//pgaB//pnp//hypA//zntA//intQ//rybB//
YedW_neg	htpG//paaG//ssuA//tehA//moaC//
YedW_pos	napF//dnaA//yneM//cytR//cdd//cdaR//aceK//
YefM-YoeB_neg	cyoC//ydiU//
YefM_neg	araH//focA//
YehT_pos	bdm//
YeiL_pos	gatB//
YiaJ_neg	metH//ccmB//nirD//lpxA//dctR//lhgO//paaZ//srlD//argR//aidB//
YjjQ_neg	glpF//pitB//moaC//soxR//mdtA//rpsU//ddpA//cusA//dinF//rnlB//
YpdB_pos	purN//
YqhC_pos	ogt//garL//
YqjI_neg	ydcS//nuoN//
ZntR_pos	codB//
ZraR_pos	fliI//garL//cysW//
Zur_neg	rffM//sgrT//fixA//xapB//oppD//ftsI//
