#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	polA//yafQ//
MtlR_neg	baeS//bioD//trpD//
MurR_neg	dgcC//fliO//phnP//
MurR_pos	bioA//
Nac_neg	pspC//norW//yegH//phoA//ompC//nrfD//cysI//lgoR//hypB//
Nac_pos	ynbC//gatY//sdhD//sutR//argI//hycC//cyaR//appX//relE//nhaR//rimK//wecB//
NadR_neg	dtpA//paaH//ftsZ//fucO//
NagC_neg	glnK//nuoM//wzc//yjhB//ydhX//phnP//hyfH//deoB//fbaB//idnK//ccmE//phoA//ygiZ//dinI//gspG//purD//ydeO//recF//rimP//purD//yeaH//cdaR//rhaD//phnE_1//glmY//glnK//rtcA//aroP//prpB//asnB//aceF//phnK//csgF//
NagC_pos	ydhW//dcuB//agaD//
NanR_neg	flgN//gadB//flhA//torC//tnaC//hisM//putP//acrR//paaC//yeaD//
NanR_pos	rbsK//
NarL_neg	ynfK//nikC//yhbS//putP//serA//malX//artP//argA//relB//slt//lsrD//pncB//gspG//ynfH//deoA//fruK//fau//nirB//flgC//dhaL//motA//ftsL//nagC//rbsB//iscS//emrB//nuoJ//ybiT//dinF//gadY//pepD//phnO//bioD//marA//hycA//artQ//acnA//glcG//yciX//cysA//gnd//pspC//cynS//hyfG//citX//araC//fnr//napD//nanA//idnO//mntH//galM//nusA//lgoR//rutR//accD//gltD//ygiA//modB//hycF//lldP//cysJ//rnpB//glpB//fliN//bglB//murD//gnd//fecE//mdtD//ynjI//purR//sodA//cspE//artQ//murR//crr//malT//creC//grxD//marA//nrfB//frdC//gltK//ddlB//dcuS//mraZ//
NarL_pos	fbaA//glnK//aceA//thrS//ygaC//cydB//acnA//phnI//phoH//betT//artM//nirD//fucR//ldtD//fepB//cusA//agaB//fbaB//hyfE//guaB//phnJ//rcnB//gspL//rutC//agaR//aidB//ybhF//sufD//fhuC//yecT//ycjX//mngA//leuL//phnC//glcD//argT//hyfE//ompW//cynT//ycgZ//nuoA//eno//ibaG//
NarP_neg	metL//fabZ//emrA//astB//rcsA//oxc//nikB//ynbA//yhcH//fadM//efeU_2//fucK//rbsC//rutR//yiiS//narJ//hybD//nadB//pfkA//purH//ppdA//tyrP//araF//prs//gudD//carB//cusR//gabD//ubiA//ybfN//dnaA//omrB//prs//
NarP_pos	nanT//ptsH//csgE//chbA//yhhY//flgF//murG//ilvY//srlD//ccmA//fecA//yeiL//ascF//uxaC//pdhR//recF//tonB//acrR//manY//agaR//citG//znuA//allC//fliZ//flhB//umpH//argR//ttdA//hybD//rhaA//citC//sucC//
NemR_neg	dkgA//rutD//gadC//
NhaR_pos	rpoD//rtcB//marR//rbsB//ugpE//paaJ//yiaN//
NikR_neg	pyrD//moaA//nrfA//astB//hcaE//leuB//
NimR_neg	idnR//rbfA//
NorR_neg	araH//
NorR_pos	dhaR//flgM//
NrdR_neg	yhbE//ariR//frc//xylG//iclR//evgA//aspC//pyrC//fecR//
NsrR_neg	dmsC//ssuA//ptsG//glnL//araB//cheA//fadJ//emrK//rybB//ydhW//galT//wza//cas1//ydeN//fepG//moaC//hybE//citE//wzyE//dkgA//glgC//ybhF//fadB//gcl//lysO//arsR//torD//flgH//lldD//gcvH//ygaC//glgB//napF//chbB//gfcA//speB//galS//sdhC//narX//chbA//malE//rbsC//glpX//pgpC//yecR//fliD//sbmC//cusA//mzrA//csrB//cysC//dsdC//fadB//aroG//mngR//codA//rclA//napD//srlA//uvrD//cysJ//carA//micF//dgkA//folA//dinJ//efeU_1//nrfB//cas2//ynfG//tsx//uidB//rffT//tadA//evgS//cynR//fiu//lpxC//gntT//paaJ//argP//yebG//idnO//
NtrC_neg	nemR//ftsZ//iraP//mltF//iraM//osmY//
NtrC_pos	insK//pdhR//malQ//hyfI//dmsA//emrB//fliC//oxyR//ygdB//gcvA//gor//aceA//infB//fliE//pspE//caiF//cydB//ftnB//fabZ//mdtC//flgM//oppB//malK//ampC//phnI//mpl//rpmA//yfiR//cyoE//lsrG//tauA//glyA//ydhY//gpmA//ftsZ//gspD//dinG//uidB//sgrR//fepA//rclC//fdnH//artJ//mazF//ycjY//garR//nrdD//cynT//yciG//
OmpR_neg	speA//fadD//phnJ//add//ydeP//alkA//mzrA//ddpF//murI//ybjN//tauD//ttdB//
OmpR_pos	sbcD//metI//nuoA//entS//flgD//cspE//atoA//mdtF//norR//dmsA//
OxyR_neg	tam//nagA//chbC//wzyE//glnH//uspD//malM//obgE//yqaE//gspH//recB//tsx//
OxyR_pos	fliO//galM//ydfH//moaB//ynbB//yhbS//sroC//uvrY//rpoE//epd//allS//araE//ydfH//dnaG//leuC//bglF//ymiA//lhgO//tehA//acnB//lacA//paaA//
PaaX_neg	araJ//ecnB//hycC//mhpD//guaB//yjbG//phnG//yjbE//yjbH//rstB//tcyP//rhaR//alsE//tnaA//
PdeL_pos	ycjY//
PdhR_neg	ydfW//araC//glnL//ung//pgaD//wecE//pstC//pnp//malK//ybhL//kdpF//yjeV//dicB//cydB//gspO//paaJ//dnaA//gutQ//murP//tam//patD//gatD//cysD//znuB//rffG//tauC//mhpE//eno//nmpC//araG//yegH//cynT//rbsD//fliO//hcaD//nrfD//
PdhR_pos	ulaA//gspH//gatZ//cho//recC//
PepA_neg	nuoC//emrA//gltB//
PgrR_neg	pdeR//cdd//eda//alsA//ycdZ//nuoC//galE//rpmI//
PhoB_neg	aceK//psiE//cysM//stpA//yjbH//cydA//gadE//phoQ//ppsA//tauC//hyfE//yedX//
PhoB_pos	nuoB//kdpB//sfsB//ydhY//recC//rutG//ssuB//argG//ppdA//acrD//cyoE//cytR//ccmB//asnC//cdd//ulaD//lpxD//purM//araC//paaH//casB//yeaE//gltL//frdA//aspC//ssuB//citF//hydN//fepB//fau//hipB//fadR//yafP//slt//ubiA//gatY//cpxQ//motA//mngB//oppC//lysA//ribA//fnr//hcaR//yegH//ydfE//entH//rpmA//agaB//mpl//gltI//emrY//glnG//
PhoP_neg	ccmA//rnpB//gadX//sfsB//caiA//phoQ//hycI//gspG//nrdE//casA//cyoE//
PhoP_pos	cysH//thiQ//gabP//allE//stpA//nupG//nagC//potF//hycC//ssuC//dacC//phoU//sdhC//ebgC//csgF//prpR//ybjN//recB//fimB//agaC//allB//fliZ//lon//ydcT//sodB//fepD//trpL//fumC//nrfG//ddpA//entA//argP//acrD//uxuR//gatD//gltB//crr//casA//nmpC//paaA//ulaB//rybB//deoD//tauC//glnQ//nohA//grxD//hyi//
PrpR_neg	nrdB//
PrpR_pos	mqsR//glnD//soxS//frdB//
PspF_neg	betA//
PspF_pos	ygdB//yhjX//focB//ynbA//mltF//hybO//
PurR_neg	phoR//rcnR//pitB//rbsC//fliK//ptsH//puuC//fimE//mtlD//aldA//rutE//garK//ydcU//fliZ//csiD//prpB//wrbA//ymjD//ymiA//idnT//ycjF//rutA//infC//phnO//metF//nikB//cysH//dinB//deoD//nagC//gspI//
PutA_neg	astB//citX//
PuuR_neg	napC//ulaG//ptsG//emrK//napB//mgrR//lhgO//
QseB_pos	dgcZ//nemA//mgtA//rseC//
RbsR_neg	fliT//sgbH//ybaT//pspG//fecA//cydC//argH//yiiS//
RbsR_pos	ydfD//
RcdA_neg	ychF//metC//
RcdA_pos	argF//iclR//sgrT//bioC//lgoR//ryhB//rutE//
RclR_pos	dinI//cysG//ccmA//
RcnR_neg	fhuC//hyaB//galK//
RcsAB_neg	flgJ//flgL//yccA//glcE//gspL//infB//
RcsAB_pos	rhaD//fliO//cpxP//trpA//ydhU//purK//glnL//dsbC//malK//ttdA//
RcsB-BglJ_pos	setA//ydhY//yjeV//tauA//mglC//phnE_2//gor//ynfE//accB//fadM//mhpT//leuD//leuO//alkB//nirB//poxB//
RcsB_neg	ihfA//narX//
RcsB_pos	ygiZ//cyoD//agaA//agaV//relB//galT//cusS//aspC//ftnB//ryhB//murP//tdcC//treC//argI//aroF//pck//galS//murC//ycgR//ecpA//nmpC//galS//rpoD//
RelB-RelE_neg	gatB//hybF//galT//
RelB_neg	hycC//xylF//erpA//
RhaR_pos	ccmE//uxaB//
RhaS_pos	fliF//fliJ//dinB//gcvB//xylF//rpoD//
Rob_neg	serA//
Rob_pos	fbaA//gloA//yncE//nhaR//rarA//mlrA//gadB//ytfE//nimR//envC//mlc//metA//fliN//dpiB//fadH//fhuC//mdtC//ydfD//ugpE//mtr//nimR//alaS//fhuF//yfdE//leuO//
RstA_neg	sfsB//accA//ydcV//tehB//gltK//
RstA_pos	yoaG//glnB//trpL//gadX//tauD//
RtcR_pos	nohA//trpE//
RutR_neg	glgX//gatD//purE//icd//ahpF//tnaC//ubiX//agaV//rnlA//yoaC//betB//ygdB//gatZ//bglB//rcnR//
RutR_pos	yagK//glmY//
SdiA_neg	prs//ynfK//htpG//
SdiA_pos	lysR//nimT//purE//
SgrR_neg	thiQ//fecD//dhaR//murG//mdtC//
SgrR_pos	dicB//yhjX//seqA//phoQ//
SlyA_pos	ymgA//
SoxR_neg	dhaM//
SoxR_pos	dapB//nrfC//
SoxS_neg	pspG//ddpA//
SoxS_pos	lpxD//cvpA//sroD//fruA//uxuB//astB//fimE//ybbY//nanK//degP//narL//fdhF//fadA//fixA//cusR//glcF//nfo//fhuA//insK//uspD//mtlR//nrdE//prpE//treC//ydfD//alsE//mnmG//rimK//araD//emrB//napD//symE//yjhB//iclR//yafQ//hyfD//marR//dgcZ//
StpA_neg	psiF//ycgZ//acrZ//dpiA//glgX//emrY//fecA//
SutR_neg	gltD//ybhG//tauB//glxK//napC//
SutR_pos	hns//
TdcA_pos	galE//flhB//zntA//ttdA//symE//yciE//trpD//
TdcR_pos	soxR//citD//hycB//mhpB//mprA//ydeI//flgI//
TorR_neg	iraP//mntH//gntX//
TorR_pos	cho//alaC//tsgA//fur//hybC//potI//aspA//malG//adhE//
TreR_neg	glnK//murI//
TrpR_neg	ariR//envC//lysP//hemH//purL//hybE//higA//cynS//ppdA//ulaB//dinI//gnd//
TyrR_neg	gatZ//mtr//cusR//csgD//umuC//insK//yhhY//ybbW//ykiA//dhaM//
TyrR_pos	sulA//narJ//stpA//
UhpA_pos	lsrA//
UidR_neg	stpA//rsmH//marR//cydB//
UlaR_neg	garD//ydbD//betA//hyfF//erpA//grxA//paaZ//
UvrY_pos	yhbE//alsB//trpC//accD//wcaA//
UxuR_neg	nuoA//csgD//aroH//nuoN//ada//fadJ//purL//cysU//fruA//
XapR_pos	mazF//acrZ//
XylR_neg	ssrS//
XylR_pos	uxaC//moaD//mhpE//srlR//betB//ydeP//
YdeO_neg	hmp//fhlA//
YdeO_pos	uxaC//cysN//chbB//hycH//nemA//ilvC//yhcH//cpxR//cadC//uidR//oppD//fadD//eno//cynR//aidB//malG//malP//fiu//rstB//
YedW_neg	psd//yibQ//ribA//dinG//cysN//
YedW_pos	sdhA//araD//seqA//btuB//alsC//lsrG//metL//
YefM-YoeB_neg	recA//ruvA//
YefM_neg	agaW//ugpC//
YehT_pos	yjeV//
YeiL_pos	metC//
YiaJ_neg	slyB//rffM//yciG//dnaN//crr//mnmG//srlE//ndh//mtlA//fixA//
YjjQ_neg	casD//chbA//yhdY//pdeH//paaX//nemR//napB//rpoS//folE//ssuB//
YpdB_pos	rclB//
YqhC_pos	purR//yfiR//
YqjI_neg	ydeI//agaV//
ZntR_pos	dinG//
ZraR_pos	srlD//tyrP//melA//
Zur_neg	rpoS//ygbK//nrfE//deoB//mngA//betA//
