#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	appC//dhaR//
CecR_neg	aroG//psiE//yfdV//ftsI//murI//
ChbR_neg	creB//obgE//ppdB//csgE//umuC//galP//
ChbR_pos	hdeD//argI//gltB//fliS//metL//folE//
ComR_neg	uidR//
CpxR_neg	yafO//argE//cusB//ulaF//agaC//gcvT//oppD//poxB//arsC//paaG//araJ//ccmD//bioF//flu//codA//soxR//ynfF//dpiA//iclR//soxS//nfsB//dmsC//ruvB//ulaA//
CpxR_pos	phnK//thiQ//fliE//accD//lgoR//yjhC//hslJ//srlR//mzrA//hypD//rdoA//gatA//yefM//tsgA//pyrC//gloA//uvrB//puuP//sodB//mzrA//malY//dpiB//dicB//entE//dsbG//pqiB//ydfW//gltF//ybdZ//idnO//lysP//fadI//phoU//paaH//gabD//fixB//ssuA//ulaC//csgE//yccA//dicB//ycjX//yiaL//ygbK//fliJ//putA//
Cra_neg	mgtL//fucA//argI//fruA//ycjX//rimK//mraY//yccA//ydjM//ydiV//pgpC//carA//nikC//iclR//hslJ//bioD//codA//yjiY//paaJ//gspH//cynR//lysP//lysR//nanK//phoU//purH//rplT//dmsC//artJ//relB//paaC//rseA//tyrP//hyfA//fecA//ddpC//yecR//argR//rseC//hybA//fau//allA//ycjY//yafQ//galS//ynjI//entH//fepC//glnG//ydfW//hemH//cheW//dsbC//lrhA//sgbU//skp//lpxD//ydfW//hyfI//
Cra_pos	gutQ//cusR//pyrD//putA//sodA//metR//hdeD//galT//nrdG//ibaG//rstB//ftnA//tdcD//nuoH//edd//nupC//uspE//lgoR//motB//fucR//ybhG//nrdB//lsrF//
CreB_neg	gadF//mglA//rpsU//
CreB_pos	chbG//metY//
CsgD_neg	moeB//hybO//tyrP//yiaO//gltB//glcB//purA//rffG//murC//nfo//csgF//pheM//rbsA//bhsA//ytfE//
CsgD_pos	fucI//uvrD//cyoA//sbmC//yiaM//caiA//ada//agaB//nhaR//aroF//yrbL//fhlA//trpR//
CsiR_neg	wcaB//creD//fucK//tauA//glnQ//
CspA_pos	caiE//rstB//
CueR_neg	moeA//fepG//mhpT//ydeN//csgA//
CueR_pos	rcnA//katG//
CusR_pos	sdhC//purB//micF//tynA//crl//feoC//carA//glnP//murG//pgm//idnO//ydcT//
CynR_neg	rcnR//
CynR_pos	ddpC//nagC//mazG//
CysB_neg	gdhA//gltJ//yccJ//rplT//kbaZ//nirB//glgX//
CysB_pos	fepD//deoC//sbcC//btuB//ydcS//fimE//allD//alkB//prpR//mdtD//agaV//gcvT//yiaJ//hcp//ddlB//yneM//nrdE//yqhG//poxB//thrS//ompF//fliO//recX//ruvA//gspK//
CytR_neg	yfdV//wcaA//zinT//hybA//ampC//aslB//eda//alsE//garL//ruvA//dinI//flgM//acrD//
Dan_pos	prpR//waaH//dacC//ydiV//
DcuR_pos	ydeP//borD//nuoB//purD//trpL//fbaB//puuB//flu//lrp//
DeoR_neg	symE//dinG//malY//fliI//cdd//ddpB//
DhaR_neg	leuB//
DhaR_pos	ynfG//paaK//yafQ//
DicA_neg	araC//ddpB//ulaD//fliJ//ddpX//rutA//hyfB//nemA//
DinJ-YafQ_neg	cspI//gyrA//uspA//
DnaA_neg	ydbD//sbcD//ybdZ//prpB//torR//creC//acrZ//ulaE//flgE//argT//ttdB//
DnaA_pos	exbB//nuoF//glgA//gntP//gspK//dsbC//yafO//
DpiA_neg	artP//
DpiA_pos	exuT//ydhT//glpF//gadY//metN//wecC//purL//guaB//nuoJ//garD//
DsdC_neg	gadX//
DsdC_pos	cyoD//potH//
EbgR_neg	napG//metB//
EnvR_neg	appB//yqjH//
EnvY_pos	yqhD//cusB//
EvgA_pos	degP//manX//caiA//pgi//atoE//nanE//dnaA//arsR//fabD//ascB//fliS//dctA//yqjA//ftsK//molR_1//ptsH//pitB//lpxC//lsrK//
ExuR_neg	argB//recN//fdhF//fliQ//yafO//glpT//tktB//ttdT//uxaC//
FabR_neg	phnL//fhlA//
FadR_neg	ttdB//ydfX//cysU//metB//nrfG//uvrD//cdd//gatY//infB//kbp//ddpF//
FadR_pos	torR//yegH//allC//rseB//araD//yhiD//dps//tfaQ//moaA//sodB//yaiA//sucC//
FeaR_pos	nuoN//nlpA//
FhlA_pos	flhC//torD//gltB//glnB//ccmE//skp//nirD//yhbT//ugpA//luxS//xylR//phoA//ydbK//ynfF//ulaD//mntS//baeR//aroG//hslJ//aroF//ppc//flgK//ygaC//modC//tsr//ydeM//glnP//hyfE//napG//pstA//
FlhDC_neg	slt//crl//ycjX//napF//
FlhDC_pos	psiE//ddpA//nanM//mraY//flhA//glgX//allA//dnaG//gatB//gabD//luxS//rffT//glpD//flgE//metK//fecI//fliK//cydC//ung//mdtF//crp//ynfG//hycC//cysB//mhpB//mioC//hycF//nhaA//sgbU//tcyP//ppiA//gcvH//codB//glnK//erpA//seqA//fabG//dctA//gpmM//putP//leuO//narH//ydeM//garD//frc//paaX//gltJ//ybiT//xylG//narH//osmC//caiA//trpB//kdpC//araA//molR_1//nmpC//asnA//mdtB//rstA//cueO//cusA//nupC//yncE//purK//uxaC//nrdI//yafQ//rstB//bdm//hycD//norR//pdeL//aroL//accD//srlR//fepG//artQ//
FliZ_neg	nanM//uidA//dpiB//yeaG//katG//emrY//exbB//feoA//sufE//pgi//chiP//dgkA//moaB//katG//motB//flgE//ribA//metC//malM//glnD//cadC//
FucR_pos	cytR//fliI//fadR//ybjG//astA//lacA//yeiB//
Fur_neg	pdeR//entD//purA//yafO//ybdN//treB//araD//ygdB//moaA//yjhC//aspC//yhjC//aceF//sucD//ttdR//entB//ydeI//acnA//glpB//fabH//dctR//cspE//rffM//glcC//tisB//uof//rpmI//phnI//hisQ//hcaR//mltF//flhB//wcaB//inaA//nikD//allC//metY//rutB//ftsQ//poxB//emrY//hyfE//hha//mhpA//aspA//melB//ftnB//hycB//ydhU//pheS//hyfA//mglA//csiD//garR//napB//torR//phnE_1//oppB//ydfE//allA//glmU//putA//rybB//rplU//hyaE//ycdZ//hybB//phoU//sdhD//prpC//iscR//hyfR//efeU_1//pdeR//nuoM//uidR//phoP//phoH//rhaT//tsr//argF//hmp//nac//sutR//uspE//dgcN//lhgO//uof//yhhY//exuT//glgB//gltL//paaX//fepC//idnO//recX//hns//hycD//nanS//gutQ//lpd//yhdY//fiu//fliO//dcuA//ddpC//nuoK//gatD//hyfE//ygdB//ecpR//rffH//nohA//katG//emrK//
Fur_pos	narJ//fabI//fldA//ompN//recX//fabG//mzrA//yfdX//higB//fldA//phnJ//atoE//moaC//alsC//skp//xylR//ycjY//yfbR//iraM//zntA//lpxC//
GadE-RcsB_pos	rseB//ynbC//purL//gspE//garK//malY//nuoB//moeA//dsdC//
GadE_pos	nemA//caiB//mraY//cas2//putA//pck//ecpA//lrhA//hypC//dcuA//pspG//pgaA//yidQ//murI//ftsK//mazF//nupC//nrfA//lon//citC//cpxR//tdcA//psd//nusA//mngR//alsA//hybB//aceF//uidB//
GadW_neg	gspC//mazF//yebG//murE//ptrA//sulA//cysA//ybhG//yjhB//yccA//gudD//
GadW_pos	fixC//ydhT//fruB//dcuA//wzb//ccmH//intQ//aroG//pgaB//astB//gspL//
GadX_neg	cra//cysG//fecR//yegH//xylF//talA//
GadX_pos	modA//recD//dinB//fbaA//flgN//leuA//gltJ//ygeA//dcuR//ygiA//arsC//hdeB//leuA//relA//hyfE//cusA//cadC//prpR//ydeO//flhA//tam//malI//galP//yeiL//frdD//ycgR//setA//
GalR_neg	trpB//aroG//phnO//murP//purK//nadA//glpB//oxyR//phoH//tktB//
GalR_pos	mlrA//ecnB//napH//hycB//
GalS_neg	garP//fliT//ssb//phnP//leuD//nanS//hybO//hybE//prpE//rhaT//
GalS_pos	uidC//nimT//fabA//artQ//
GatR_neg	tauB//yccJ//metJ//argO//fadJ//malP//
GcvA_neg	pepD//rbsA//phnG//dmsB//
GcvA_pos	murI//pdhR//rseC//fecB//
GlcC_neg	sodB//
GlcC_pos	cynT//fabZ//mlrA//argB//ymiA//ampC//
GlpR_neg	nfsA//hycF//aspA//cysW//waaZ//nikR//fepA//mdh//ychF//
GlrR_pos	hisJ//fliT//gutM//yccT//cysJ//
GntR_neg	aroH//nanA//mraZ//insD//gspE//rbsB//malG//ydcV//gatC//astB//fabB//allD//
GutM_pos	entB//nfsB//fecC//flhD//osmY//yiaM//prpD//
GutR_neg	cadC//pflB//fruB//prpB//yjjQ//hyfC//argA//
HU_neg	focA//asr//mglB//manY//glnP//dkgA//bglJ//fliQ//
HU_pos	intQ//
HcaR_neg	yciX//
HcaR_pos	idnK//paaH//glcB//ygbK//seqA//
HdfR_neg	nuoI//modC//
HdfR_pos	metN//emrK//nanS//
HigA_neg	folE//dcuA//
HigB-HigA_neg	yeaG//nuoE//
HipAB_neg	ymgA//hcp//ynfK//cysM//ydhW//
HipB_neg	hokE//ydiV//astE//nrdF//leuC//ascF//
HyfR_pos	gatA//decR//aroG//tam//rdoA//glpK//flgM//hybO//ruvA//flgC//glpC//murI//
HypT_neg	glgC//mprA//norR//aroG//relB//
HypT_pos	hemH//malZ//ugpQ//cynX//aspC//entD//uidR//idnO//
IclR_neg	nrdH//fepC//dinG//lacA//
IdnR_neg	gudD//nagB//
IdnR_pos	glcC//gspG//cas1//creD//add//
IlvY_neg	glgX//
IlvY_pos	phnF//
IscR_neg	gapA//trpE//cydC//hdeB//sufA//fdnH//relA//glpT//yiaM//casE//idnR//ibaG//phoB//hdeB//pykF//argT//folA//aldA//recB//ogt//rclB//
IscR_pos	moaD//aroF//feoB//paaE//ssuB//murG//asnB//hyaF//lsrA//aroH//ydcS//
KdgR_neg	rhaS//ascB//
KdpE_pos	yhdW//yciW//kdpF//uxaC//
LacI_neg	nanK//ppiA//rob//
LeuO_neg	rybA//hyfE//mngB//
LeuO_pos	leuD//lpd//ada//yafN//csgG//malY//fhuA//ribA//yhjC//feoC//nrfA//dpiB//nimR//feoC//ndh//metL//araB//metI//
LexA_neg	leuD//ydfN//rhaB//ptsG//xylA//yhdX//puuA//fliH//carA//rcnB//fecC//fliO//yiiS//fliA//stpA//ftnA//ynjI//exuT//fiu//cysC//metN//srlR//nikB//exuT//nohA//crl//artI//napF//fabG//yefM//gatD//argR//murI//fruA//atoA//mntH//fixX//sroA//argF//nagB//grxD//lpxC//fepA//ybfE//pitB//accB//murD//nagB//sufB//tonB//sbcD//gyrA//hyi//nagE//araJ//rutC//argI//udp//dkgB//
LldR_neg	phnJ//efeU_1//patA//
LldR_pos	rplU//cspD//chbA//
LrhA_neg	accC//crr//
LrhA_pos	oxyS//nrdI//
LsrR_neg	flgD//cusC//fiu//dinF//nuoG//tyrR//nohA//ttdR//rpsO//
LysR_neg	flu//
LysR_pos	mngB//
MalI_neg	ssuB//glnL//glpB//
MalT_pos	erpA//rclC//gadW//iscR//pheT//csgC//malF//fadB//hyaF//mcbA//
MarA_neg	fliJ//sdhC//leuD//ssrS//ddlB//nusA//iclR//
MarA_pos	osmC//allC//ulaD//mglC//pspG//zraS//paaK//wcaA//intQ//putP//fixA//dinJ//emrY//hmp//trpL//gcvB//murF//lsrF//ydeN//cvpA//rpsU//fiu//cspE//alsA//caiC//accC//sbcD//narX//araC//modA//decR//
MarR_neg	yciF//yccJ//uxaB//
MatA_neg	ascB//ftsQ//nimR//csrC//hyfE//paaK//
MatA_pos	oppD//cysH//
MazE-MazF_neg	tdcD//chbC//pgi//
MazE_neg	lsrD//appB//glcE//
McbR_neg	frdB//
McbR_pos	fliO//gltD//ribA//
MelR_neg	argT//relA//feaR//
MelR_pos	yidQ//rpsU//hipB//
MetJ_neg	hybD//cpxR//csgC//flhA//purL//mngB//pspE//fliS//mhpD//leuO//carA//deoD//nuoI//yqhD//trpA//
MetR_neg	hipB//moaC//
MetR_pos	crl//fliN//sroC//fecD//
MhpR_pos	murI//sgrS//moaE//nuoC//cas1//araF//
Mlc_neg	acnA//dtpA//trpD//lgoR//tisB//ompN//ugpA//mraZ//fpr//cysA//
MlrA_pos	phnN//dsdC//chiP//purA//higA//nanA//hyfA//csrC//gltL//fecB//
MngR_neg	paaB//fpr//potF//
MntR_neg	citD//ilvY//hisP//ulaB//
MntR_pos	mdh//
ModE_neg	metE//wzxE//yciW//mglC//bglB//nemA//deoD//deoD//murG//ebgA//metR//fecD//hydN//alsC//mdtC//
ModE_pos	speB//purF//chbF//katE//kdpC//gdhA//frc//fbaA//metC//malE//yafN//rimK//ihfA//yqhD//norR//sufS//mazG//wzxE//exbB//uxuB//gltJ//ebgA//fadR//galP//uvrC//ydhY//fliS//nanS//tyrP//dhaL//grxA//
MprA_neg	cadB//nrdA//argH//rhaT//ybhF//pfkA//
MqsA_neg	sbcC//astC//dsrA//ttdB//ptsG//ccmE//nrfA//dhaK//
MraZ_neg	hipB//efeU_1//pqiB//ydhX//torA//pqiB//umuC//flgN//malS//hypE//phnE_2//fadE//idnT//flgI//ynfG//feaR//glpA//
MtlR_neg	waaH//cas2//chbG//
MurR_neg	puuA//malS//arsC//
MurR_pos	ynfH//
Nac_neg	lpxC//mqsR//znuB//rstA//rpmI//nusA//yiaK//focB//rpsU//
Nac_pos	micF//cyoC//trpR//obgE//tonB//cusR//ydeP//garL//phoR//ppdB//ddpX//yafO//
NadR_neg	allB//iclR//slt//ychF//
NagC_neg	ymgA//cbl//fecB//bluF//tyrP//ttdA//ynfG//flgD//glpD//yhdW//erpA//hcaB//gnd//trpB//bglF//ecpR//yiaL//ybiT//creB//sbmA//rbsB//yeiL//recC//ddpD//xylF//betA//gntU//srlD//gadY//bglF//rstA//ruvB//codA//
NagC_pos	nikD//gspF//mazF//
NanR_neg	pdeL//cadC//hyfD//gatY//umuD//ftsZ//hypF//fepA//tktB//pck//
NanR_pos	nfsB//
NarL_neg	srlE//fliF//hyaC//katG//icd//flgD//ycgR//ilvC//glcD//yjjZ//ybdZ//glnP//potH//cynX//prs//gyrA//mhpF//tpiA//pck//thiQ//ydbK//gntK//yfiR//rseB//cspI//rutB//lgoR//araJ//argC//dcuD//purD//ada//ycdZ//fecI//ybfE//astC//nrfG//garL//ribA//cysC//citE//nikC//ybaS//mhpF//aroG//ycjF//fucK//oppB//waaY//metA//uspE//manX//trpD//rnlB//argC//melR//nikB//tpiA//ftsI//hlyE//pncB//tdcG//fucI//serA//purE//yidQ//yidL//kdpB//yccJ//paaC//putA//amtB//narG//astA//atoD//xylF//fecI//pspC//gntX//asnA//yedX//wzyE//yjbF//nirD//frdD//sufC//ddlB//
NarL_pos	fecI//oxc//fimB//glnB//hybA//gabP//metR//rhaD//rffH//mntS//nadB//tnaB//srlA//mltF//tisB//narJ//hybC//micF//eno//mzrA//ydfN//citG//dpiB//phnP//kdpF//rpmA//glgC//glgX//rhaS//glcE//rclB//higB//alkB//fecI//iscU//galK//rffH//yhbS//cysI//rstB//rbsA//trpL//fliN//
NarP_neg	dapB//paaI//fdnG//hisQ//hybB//ftsK//accD//mtlA//ybhF//kdpA//moeB//gntP//ugpB//nanA//acnB//thiP//ddpC//csgG//uxaC//creC//melA//cas2//ymgA//alsA//cyoC//chbF//ulaC//mazE//acrD//sutR//hypC//gadX//fnr//
NarP_pos	dgkA//znuA//wecC//dinD//sucB//yhbE//csgD//lsrD//dgcC//prpC//lpxD//nuoE//nikC//mscM//flgC//znuA//mlrA//cysP//dicB//nlpA//nemR//cysH//tnaC//nuoL//dinB//focA//kbp//yoeB//hisJ//ydeI//hydN//nikR//
NemR_neg	cydD//nimR//yiaJ//
NhaR_pos	chbR//uxuR//rpmA//accA//asnC//fhuB//psiF//
NikR_neg	ryhB//casC//lon//tauB//sbcC//fadM//
NimR_neg	fucI//yfaE//
NorR_neg	yeiB//
NorR_pos	nikB//argD//
NrdR_neg	slt//srlA//creA//mioC//yncE//garD//kdpA//ybbY//gadB//
NsrR_neg	mpaA//mgtL//mlc//citD//yhjX//agaV//dsrA//ynbC//accD//argF//ygaC//cvpA//hypD//fhlA//dinB//yibQ//fau//galP//citE//sucC//flhE//gapA//lpxC//ttdB//ssuD//xylA//moaB//pagP//umuC//cusR//bdcA//cas2//torC//purM//yjhC//mioC//ydfD//yebE//fruA//cbl//csgF//fdnH//ydfE//metC//hydN//fadE//adiA//hycG//uof//gspK//bluF//narX//glxR//osmB//paaB//caiD//tpiA//tdcB//yfiR//caiB//ugpA//aslB//sgbE//phoP//ppsA//oppD//ndh//fadL//mgtL//dgcC//soxR//soxR//narK//torR//lldR//metK//fepB//pykF//dmsB//frdB//mglC//mpaA//ydhV//
NtrC_neg	rutC//mglB//cadA//ydbD//ttdT//leuD//
NtrC_pos	ydiV//fecD//caiA//relA//thrS//prpR//fliQ//phnC//metH//yeaH//gadY//nanM//ubiC//crp//fiu//cspI//copA//gadX//paaD//argT//nrfC//acnB//rpoS//fhuF//fdhF//rybB//ogt//carA//glgC//stpA//bglG//cysP//phnO//fadI//fimE//agaC//xapA//prs//aceA//accB//ptrA//puuR//gfcA//hypF//cas1//yefM//pspC//pheT//tsgA//
OmpR_neg	ygiZ//rimK//yfiR//yneM//moeB//hisQ//rseB//sodA//pspG//decR//cyoC//ydjM//
OmpR_pos	yhdW//yjbH//ygaC//micF//dinF//dgcN//amtB//uidA//arsB//ulaG//
OxyR_neg	cbl//prs//rdoA//ynfG//yebG//nuoM//soxS//flgC//emrB//ttdB//glcD//wecB//
OxyR_pos	cpxP//yiaO//murF//sufA//ybjC//yciX//gapA//yiaK//fucO//nrdF//psiE//fucI//rbsR//rybB//fhuA//acrD//rdoA//gspF//ygiZ//amtB//nrdI//araA//
PaaX_neg	trpL//betT//ebgA//uidC//waaZ//cusR//entA//ygiC//argE//pdeR//frdC//infC//nrdB//fliM//
PdeL_pos	hyfA//
PdhR_neg	leuC//yhdW//dcuA//gcvH//rtcB//metR//gapA//alkB//prpE//cpxP//pykF//agaC//tomB//yjiY//fadH//aceK//hyaE//flhD//baeS//dacC//hcaF//infC//lrhA//ptrA//rtcB//ynfK//phoH//yidL//lsrK//fhuA//norR//lsrA//csgF//uidA//ung//csrC//
PdhR_pos	mraY//psiE//galP//yhcH//flgG//
PepA_neg	ldtC//ynfG//malM//
PgrR_neg	focA//hyfJ//gspH//gatC//flgH//rffG//murC//fhuD//
PhoB_neg	prpC//agaA//ccmA//mprA//nikA//hyfH//yjbF//trpB//entS//fucK//fabH//napA//
PhoB_pos	osmC//lsrC//aspA//nuoM//csgD//cra//sra//waaY//yhiM//gutM//oxyR//bioB//atoA//astB//mglC//argP//accA//ycjF//mqsR//rplT//mdtD//ybhL//creC//argB//malS//yedX//aceE//seqA//exuR//citG//dsbC//acrD//tcyJ//moaE//csrC//glcE//fucO//metI//alsA//ydhV//yaiA//tyrP//flgG//cysH//gntX//ttdT//hcaB//ttdB//potG//rhaS//uidB//glxR//argB//
PhoP_neg	fdhF//rybA//slt//yhcH//paaX//waaH//nirD//nrdE//gyrA//mazE//citD//
PhoP_pos	ascF//thiP//ccmC//yafQ//glpF//kdpC//fbaB//nlpA//ydhT//tam//edd//metE//glpX//qseB//rpmI//ydjM//hcaE//cusB//cyaR//folA//recN//metQ//yqjI//fabH//gspC//ykgM//araG//nanA//glnH//yccT//ddlB//fau//gutQ//soxS//ygaC//rdoA//rsmH//uidC//nuoJ//yagK//ccmF//pheM//glmS//alaS//araH//ydcS//gcl//recF//
PrpR_neg	tadA//
PrpR_pos	kbaY//glpX//mdtC//betA//
PspF_neg	hybC//
PspF_pos	cpxA//copA//ddpD//mtr//trxC//flgG//
PurR_neg	sfsB//hyfG//fabB//fhuD//nuoH//prpB//fabH//caiF//yjbF//cpxP//cusS//phnF//trpR//ynfE//zntA//aidB//nrfE//tauD//yjiY//dps//yhiM//pgaC//metN//caiF//ftsQ//yhdW//ynjI//cheA//astB//bdm//ddpB//
PutA_neg	cyoE//nfsA//
PuuR_neg	flhE//tauD//ndh//garD//flhB//gabP//cysI//
QseB_pos	cyoD//phr//accB//potG//
RbsR_neg	fadH//phr//deoD//cdaR//hyfF//wecC//metH//rseB//
RbsR_pos	atoB//
RcdA_neg	lsrG//flgD//
RcdA_pos	rffM//manX//lpxC//treC//ccmF//aidB//caiC//
RclR_pos	wcaA//ymjD//flgE//
RcnR_neg	znuA//hcaR//napF//
RcsAB_neg	phnM//ddpB//manY//hypB//uvrD//fdhF//
RcsAB_pos	flhC//rutR//aceK//cspI//mlrA//zraS//rbsA//wzc//nuoE//safA//
RcsB-BglJ_pos	phnK//hypF//fliL//cpxP//yhdZ//cheW//appB//guaA//tnaB//paaH//entF//nac//nfuA//rsmH//ydcV//rhaA//
RcsB_neg	fabG//tauA//
RcsB_pos	idnD//rstB//gatD//rpoS//speA//phnM//tktB//cydA//cheA//fliP//safA//fes//ydeI//napB//sutR//rclB//fhuB//srlA//ftsW//phnO//skp//purM//sufB//
RelB-RelE_neg	gltL//sufB//agaD//
RelB_neg	phnJ//phnP//wzxE//
RhaR_pos	entE//csgF//
RhaS_pos	wcaA//fliA//lysO//sbmC//glpQ//sucD//
Rob_neg	alsB//
Rob_pos	fecR//puuC//wecE//lsrK//fliF//nikC//cysN//mnmG//ihfA//relE//umuD//grxD//purB//feaB//yiaO//sufD//xapA//phnD//gatA//glpA//aceF//fliF//metQ//baeR//tdcF//
RstA_neg	rseA//purB//motB//pgaA//recA//
RstA_pos	rpmI//paaE//cusB//nanM//htpG//
RtcR_pos	lysP//tktB//
RutR_neg	hyfF//setA//cusS//oppB//yjjZ//dmsA//bamE//uxuB//sbcC//ftsZ//citE//osmC//hflD//acnA//rhaD//
RutR_pos	glgP//glnK//
SdiA_neg	mdtC//mntP//ccmH//
SdiA_pos	fucK//hcaD//idnT//
SgrR_neg	wzyE//dmsA//sdhB//ccmD//borD//
SgrR_pos	lsrG//cysB//hcr//ydhU//
SlyA_pos	nrfG//
SoxR_neg	metR//
SoxR_pos	phnO//rcsA//
SoxS_neg	aroP//nfo//
SoxS_pos	ecnB//mazG//puuA//ymgA//moeA//ppiA//lexA//nirD//cysM//prpR//fepG//flgM//arsR//rtcA//tdcG//phnG//allE//mscM//cra//ssuC//znuC//torD//feoB//yhbT//lsrB//modA//symE//feoC//qseB//pfkA//rstA//kbp//nupG//flgG//glnA//sodA//cynT//ybaS//
StpA_neg	lsrK//osmB//sdhB//glnB//ygiB//hyfF//safA//
SutR_neg	trpE//dtpA//allE//casB//phnL//
SutR_pos	fhuF//
TdcA_pos	pykF//hcp//ddpB//yaiA//deoD//ssuD//araE//
TdcR_pos	relE//edd//ompC//glgC//astE//torA//mdtF//
TorR_neg	entS//glnB//ycgZ//
TorR_pos	rpiR//iraP//ytfE//hyfE//flgD//infB//rbsK//aroM//fecD//
TreR_neg	bioC//casB//
TrpR_neg	ycjG//soxR//ydbK//garD//truB//lysR//atoD//phnM//dicC//dicC//yidL//leuD//
TyrR_neg	citE//sdhB//phnD//rbfA//glnL//ymgA//fruB//gcvB//tktB//yafO//
TyrR_pos	ahpC//hisJ//hflD//
UhpA_pos	wcaA//
UidR_neg	yeiL//oppD//yiaK//micF//
UlaR_neg	uidC//wcaA//gatC//puuA//idnT//ompC//rcsA//
UvrY_pos	lysA//focB//adiA//mtr//phoQ//
UxuR_neg	ccmE//guaB//tauA//dnaG//fes//fabZ//csgE//gabD//fruK//
XapR_pos	cysD//murG//
XylR_neg	mraY//
XylR_pos	gadX//creB//emrY//fabZ//hybC//xylB//
YdeO_neg	malK//yegH//
YdeO_pos	citE//nrdI//ydeI//ynfK//napG//cspE//uxuB//argG//yhdY//malI//alsC//iscR//ccmC//ccmE//rbsC//nagB//dps//rtcB//gspE//
YedW_neg	ykiA//ybjN//fhuA//sulA//sbmC//
YedW_pos	mazF//yjhB//relB//ppc//malI//modB//csrB//
YefM-YoeB_neg	ung//dmsB//
YefM_neg	cynX//aroP//
YehT_pos	mhpE//
YeiL_pos	agaW//
YiaJ_neg	dmsD//marR//pfkA//folA//wecC//uxuR//nuoC//guaA//fruK//nuoE//
YjjQ_neg	bioB//yqhG//fliA//sufC//metY//agaA//uxaA//ykiA//tadA//dsrA//
YpdB_pos	isrC//
YqhC_pos	cytR//cspD//
YqjI_neg	ftsZ//ydeO//
ZntR_pos	hcaC//
ZraR_pos	crl//uxaA//chiP//
Zur_neg	araC//hycI//entD//uidR//hybF//uspD//
