#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	dinF//artQ//
Fur_neg	ydfE//sodA//fepB//glcG//sucA//purD//bioB//copA//fadA//edd//sufB//feaR//rutA//metQ//hycI//cysN//hyfB//aceB//araB//cusC//ftsQ//argB//dgkA//agaD//rplU//trpL//fucA//dnaN//rstB//glgB//rutD//csrB//mgtA//uidC//betI//ydhU//yqjH//rfe//marR//tyrB//fabZ//araB//uxuR//fucI//glcF//trpB//nuoH//obgE//emrK//grcA//efeU_2//torC//ppiD//ybdZ//tauD//aceE//glgA//yhiD//oppC//rfe//gspL//rbsB//alsA//icd//nikC//bglJ//nikB//mngB//rybB//aroG//dinI//ymgA//cra//tyrB//ugpC//sroC//manX//lsrC//glk//nrfF//cyoA//yhjC//hyfI//ssuD//dmsD//yeaH//ddpD//yfdX//ftsQ//pyrC//sra//motA//mdtD//aceB//phnJ//intQ//purD//nikD//pstA//fabA//rplT//cdd//kdpC//tsgA//pepD//cusR//ygbK//yiiS//malK//deoC//glmU//hlyE//ynfG//murC//flgD//
Fur_pos	gdhA//glmY//yibQ//frdA//rcsA//narI//cra//ada//folA//cysJ//cysI//frdB//fabI//yaiW//tyrA//yhbE//rutC//alaS//cadA//mqsA//tsx//
GadE-RcsB_pos	fliS//mlc//moeB//yjbE//hyaF//tisB//cydB//mraY//paaE//
GadE_pos	gcvT//gutM//cadC//tdcA//modA//cysJ//tehB//rbsA//adhE//ppc//fliN//flgJ//rbsD//mepH//pqiB//fucK//ygaC//sgbU//yhdX//metN//sufC//ihfA//nrfA//ttdR//yafP//rpsO//spy//malX//phnE_1//
GadW_neg	yqhD//yhbE//yqaE//manZ//ldtB//malE//ccmH//puuR//garR//cheA//recC//
GadW_pos	fimE//rhaB//agaR//agaI//dsdC//moaE//ribA//focA//paaB//puuP//csgG//
GadX_neg	hybB//kdpC//gudP//metY//paaG//mgrR//
GadX_pos	nusA//arsR//glxK//purC//amtB//agaC//gadF//nikB//lexA//dsbC//idnK//glmS//motB//lpxD//cusC//allD//rstB//seqA//pdeH//sdhD//ydfW//csgF//fur//ynfG//zwf//cydD//hybC//
GalR_neg	speB//accB//yqjA//metB//uxuA//ybdN//glpX//nikB//fadJ//deoC//
GalR_pos	mglC//rimK//marR//qseB//
GalS_neg	oppC//nrdA//fepA//csgE//rbsK//gspF//manZ//rffM//hycB//artI//
GalS_pos	znuA//sufB//nfsB//ftnB//
GatR_neg	accA//psd//kbp//rpmA//bluF//yiaL//
GcvA_neg	murE//yegH//entD//hyfB//
GcvA_pos	wzc//fur//glcC//argG//
GlcC_neg	fliT//
GlcC_pos	ycjG//purC//pspE//lldR//deoD//tdcB//
GlpR_neg	ykiA//icd//sdhD//hyfA//casB//yfdE//dinI//rpsU//lysA//
GlrR_pos	insK//yhdX//casB//ftsI//setA//
GntR_neg	purR//murC//sroD//nuoE//nimT//caiD//paaD//trpL//galT//grxD//uof//uvrA//
GutM_pos	tsgA//yeaR//umuC//tyrR//gspK//luxS//yhcH//
GutR_neg	gspM//ygbK//pepA//fucK//entH//malK//mhpD//
HU_neg	yjiY//hyfI//umuC//ddpX//yhhY//malK//entE//glxR//
HU_pos	fliC//
HcaR_neg	crl//
HcaR_pos	deoA//nagB//araE//fepE//kbp//
HdfR_neg	pdhR//mltF//
HdfR_pos	nanC//iraP//narX//
HigA_neg	puuD//fucU//
HigB-HigA_neg	purM//flhC//
HipAB_neg	wzzE//putA//phoR//gntX//rseC//
HipB_neg	pfkA//chbG//narG//sbcD//eno//gcvP//
HyfR_pos	uspD//dicB//nagC//pnuC//ycjY//crr//gntK//phnJ//psiE//allE//ccmA//yciX//
HypT_neg	flgH//betT//fadD//flhE//gltI//
HypT_pos	ptsG//ynbD//ompW//rstB//nrfF//leuC//ybhL//gatZ//
IclR_neg	gspC//ulaE//cspI//yafQ//
IdnR_neg	hycH//yhjA//
IdnR_pos	yoaC//inaA//lysA//nlpA//cusA//
IlvY_neg	dacC//
IlvY_pos	dkgA//
IscR_neg	hypF//gloA//astC//nuoG//erpA//mdtD//cydA//emrA//copA//torR//narK//pitB//metR//fadJ//torD//trpB//zinT//metA//acrR//argT//fecE//
IscR_pos	ybfN//ppc//fliE//puuC//mtr//fepD//wzxE//srlE//gadF//oppA//gcl//
KdgR_neg	rffC//uidA//
KdpE_pos	nuoE//araA//yecT//glnG//
LacI_neg	citE//deoD//melR//
LeuO_neg	nagE//sufC//sufD//
LeuO_pos	yoaC//carB//phnE_1//caiA//phoR//add//marR//hisJ//xylF//oppD//fhuA//argT//gfcA//lpxA//glnL//rseA//nuoI//rcnR//
LexA_neg	ynfH//ybfE//rhaB//cysW//glk//recB//nirD//cysM//atoB//ybfN//serA//ynjI//allD//nuoB//agaW//nuoK//norR//rhaT//hybO//hns//nrdF//slp//asnC//fadE//betA//ydhT//nfuA//purK//cusB//yeiL//yoaC//mgtA//galS//moeA//yeaH//ymgC//purB//yiiS//htpG//dmsB//dps//entC//mipA//flhC//nuoM//tauC//mqsA//rprA//nikC//malX//yqhG//ahpF//manX//moaC//ptsI//ttdT//idnT//alaC//rcsA//
LldR_neg	ydbK//aceA//fucP//
LldR_pos	rutR//nanE//galP//
LrhA_neg	gadW//bglF//
LrhA_pos	flgH//psiE//
LsrR_neg	yoaC//pfkA//psd//umpH//ssuE//mscM//fucO//fumB//ebgC//
LysR_neg	flhB//
LysR_pos	paaY//
MalI_neg	fadR//lrhA//ybhL//
MalT_pos	metJ//ttdB//dmsB//aroH//paaA//mhpF//cysK//tfaQ//flgG//agaW//
MarA_neg	argO//mpl//ynfH//phoA//narL//hcaD//wecB//
MarA_pos	metB//glnL//yciX//ssuC//dsbG//hycF//oppA//puuP//paaB//mhpC//murD//gatC//deoB//hybF//kdpF//copA//murG//agaS//paaE//fliK//ymiA//pspA//torC//yiaN//pspG//moeA//bolA//hybO//metQ//ygbA//fliT//
MarR_neg	flgN//flgH//yegH//
MatA_neg	mgrB//ymiA//dcuS//ryhB//fepE//fnr//
MatA_pos	rutG//nuoB//
MazE-MazF_neg	fadR//lgoR//fucA//
MazE_neg	malF//sgbE//recA//
McbR_neg	fau//
McbR_pos	acrZ//hyaC//caiC//
MelR_neg	narL//phnJ//ybdN//
MelR_pos	pdeL//napD//rcnR//
MetJ_neg	feoA//pspC//mglB//allC//yhcH//hns//cysG//ydeP//evgS//narX//napD//acrA//purK//lysO//ydhX//
MetR_neg	ugpE//paaY//
MetR_pos	dnaA//cynS//flgD//alaS//
MhpR_pos	argB//trxC//wcaB//hcaD//zntA//codA//
Mlc_neg	nikD//trpR//marA//yfaE//lgoR//fucU//folA//ompT//fliR//yfbR//
MlrA_pos	umuD//ftsQ//appA//argI//waaH//tonB//yhbE//malQ//tyrB//ulaC//
MngR_neg	mntP//csgG//xylR//
MntR_neg	frdD//hycC//infC//torC//
MntR_pos	purH//
ModE_neg	nuoK//tynA//araF//rutF//bglB//gatY//tdcC//fecI//cynR//caiE//gltL//arsC//uhpT//hycD//torD//
ModE_pos	hycD//yafQ//dtpA//fadA//ycjX//nrdI//araC//ulaG//pspB//rutG//yjjQ//mtr//casC//waaZ//iraP//gspJ//uxuR//narX//fliT//phnP//pspB//yiaN//fliT//argD//ascB//melA//nikR//yjbG//mazF//tktB//stpA//
MprA_neg	yqjI//gpmA//nuoK//mhpC//rbsD//nagE//
MqsA_neg	fucA//fucR//pspD//waaH//fliD//ycgZ//sufD//ybjG//
MraZ_neg	bioB//umuD//nrfF//leuC//murD//ybbW//gcvT//leuA//araJ//cysC//araA//cynX//araB//pheS//flgL//ugpQ//yjbF//
MtlR_neg	yciG//araB//mhpT//
MurR_neg	gutQ//gadY//ydiV//
MurR_pos	ahpC//
Nac_neg	rutB//phnC//ymjD//motA//gadC//ariR//creD//hyfF//yibQ//
Nac_pos	tyrA//fepB//phoE//ftsW//entH//ptsG//yhdZ//ydfH//nimR//efeU_1//glgX//hycA//
NadR_neg	uspD//nlpA//hcaR//purF//
NagC_neg	gltK//purL//sbmC//yegH//wrbA//hcaF//murF//fau//uidA//aidB//glnH//fruB//ygbA//recD//alsB//yjbG//yhbT//purH//yegZ//wecB//tdcG//entB//yeiB//ybjN//nrfB//fliR//fliS//gudD//envC//ssuA//crr//metA//purB//
NagC_pos	nfsA//gatY//exbB//
NanR_neg	lacY//dnaN//lysC//hcaB//mglC//yiaM//hcaF//nuoE//cusS//accD//
NanR_pos	narK//
NarL_neg	zraS//xylH//cas1//gatC//epd//glpF//seqA//purB//csgE//fur//ampC//lolA//ulaC//iclR//psiE//argO//rseB//rbsK//exbD//fhuB//fliF//pgaC//srlB//yiaM//gor//hycF//hns//rhaS//zwf//srlE//gatA//nusA//recC//ybhL//phoA//nuoG//mgtL//dgcN//hypE//adhE//ppdC//pdeH//rsmH//kdpF//yeaG//mqsR//sroD//sgbU//ydfH//lgoR//rutF//acrZ//pck//amtB//feaR//acrZ//cysN//yhjC//melA//marB//cpxR//cusR//ynfH//cbl//metC//mdtD//wecE//napA//tauB//chbF//moeA//paaD//hcaB//ygaC//cbl//obgE//paaG//mhpA//csgE//hipB//ddpC//metJ//metF//htpG//iscS//gutM//znuA//
NarL_pos	fecA//ycjX//recF//yhjX//hycA//ibaG//cusS//nikE//fadE//feaB//ybiT//ppsA//lacA//oppB//ompC//sucD//hflD//rtcB//rtcB//rcsA//gatD//cyoD//agaS//trpR//accD//atoD//ygbA//ynbA//xylF//rcnA//borD//uof//rutE//btuB//mdh//aroL//cydD//ydeO//metF//ssuE//yhiM//caiC//nfsB//
NarP_neg	asnC//hlyE//hydN//aroM//prpC//evgS//degP//nuoK//feoA//purE//moaC//fliQ//psiE//yfbR//evgA//hcaE//hyfE//cusF//dcuR//fucP//sgrT//torA//lacY//nrdI//rsmH//fldA//torD//ddpX//napC//oxc//srlA//yciW//malY//
NarP_pos	gfcA//osmC//ecpR//insK//arsC//cirA//chbB//ymiA//fucA//xapB//deoA//ybbW//rpsU//yfaE//flu//ygeA//uidC//rutC//casD//rutF//prpB//allS//puuD//cysJ//sdhB//flu//hcaF//nhaA//mtlA//aidB//murG//aceF//
NemR_neg	mscM//purM//lpxD//
NhaR_pos	nhaR//wcaA//yeaR//guaB//lsrG//fabI//borD//
NikR_neg	cheW//fruK//metR//yhdW//idnK//arsC//
NimR_neg	flhB//ibaG//
NorR_neg	ssrS//
NorR_pos	hydN//rutD//
NrdR_neg	cysP//kdpB//bioA//ydfE//lgoR//nirB//dcuR//ynfH//yeiB//
NsrR_neg	emrY//caiA//bioB//hdeB//thiP//fiu//nemR//acrZ//malS//fbaA//yecR//glgA//dmsB//metA//fixC//hybF//waaZ//narX//phnO//yqhD//ybbW//moeB//borD//ybjC//lpxA//thiP//araB//hyfG//garL//cspD//bdcA//narK//ulaF//phnD//wzb//ydcT//oxyR//arsC//hokE//yhjA//nanK//metA//tynA//fdhF//glcF//nfuA//ftsL//norR//casD//potF//alaS//metL//napB//fucR//glgX//yafO//ynbC//glpQ//mraY//gltB//yncE//rtcB//recN//fliH//dacC//mraZ//mgrB//araC//norR//cynT//flgB//fepA//yjjZ//cas2//fhuF//gspE//tyrR//focA//ymgC//kbaZ//mglB//znuC//narH//
NtrC_neg	yiaL//acnB//fadD//umuC//puuA//nirC//
NtrC_pos	hycC//accB//nuoC//ykgO//gloA//aroP//flgI//nikD//pyrC//nagA//yeiL//hyaD//acrA//napG//treR//bioD//seqA//hcaB//hycC//asnB//xylR//ulaF//napG//tdcA//rpmA//hyfI//glnQ//cdd//lysO//ompW//sgbE//sgbE//prpB//dapB//ykiA//carA//cysN//gadX//hcr//sbcC//treR//uspE//cydA//zraS//aceK//gatA//ilvY//yidQ//tdcG//
OmpR_neg	polB//cysM//citD//bioA//tam//hyaD//bglG//trpA//yjiY//uhpT//sdhB//pstS//
OmpR_pos	mgrB//atoD//fhuB//fes//nrfF//garL//acnB//argR//mdtA//idnT//
OxyR_neg	mntP//metY//ugpB//hyaC//yoaC//yibQ//yhbS//nadB//gltK//agaV//dhaR//dnaA//
OxyR_pos	nrfE//appB//hycI//yfiR//argA//alsA//metR//flgK//ycjY//gadA//tauB//fliJ//agaW//dgcN//glnH//yeaD//umuC//dicB//ddpC//flgH//bacA//phnE_1//
PaaX_neg	cirA//rclC//entB//asnC//deoA//ppsA//leuL//alsB//hcaC//pspA//fhuD//fliM//yecT//pstA//
PdeL_pos	ydfH//
PdhR_neg	caiE//phoE//flgF//rutC//hdeD//csrC//ulaA//argH//ftsL//uspA//ftsA//malS//cysH//rclC//oppA//kbaY//lsrB//glpA//nrdI//sdhB//cusC//gyrA//fliZ//fucK//ddpD//rseA//pspA//fruK//rutB//aceF//tauC//hyaD//metQ//yjbG//yjbG//ubiX//
PdhR_pos	gcvT//phoA//fliO//malF//purN//
PepA_neg	degP//gatZ//glpD//
PgrR_neg	gadX//yecT//frdA//potH//sutR//metC//hisJ//molR_1//
PhoB_neg	nrfF//rfe//mhpC//zwf//gcl//alaC//glxR//flgH//narX//sdhB//ydfH//glgA//
PhoB_pos	ydfE//rarA//argB//ymgA//hisP//ulaB//caiT//araC//sufE//yneM//hyfB//cheA//asnB//astB//phnP//puuB//nrdG//rtcA//hybD//cdaR//ycdZ//entD//amn//rffG//ulaC//treB//yhjA//add//fabD//hyfC//ompF//glpC//cynR//bacA//icd//mgrR//cysW//ygiB//nupC//kbp//ydhY//rbsB//hyfF//ssrS//pstS//fucP//moeB//phoU//ddpC//glgB//ulaG//ugpC//mglC//
PhoP_neg	paaI//flgA//sdhA//nuoN//glpK//creC//pck//nuoN//recF//yafN//truB//
PhoP_pos	rutF//rutC//wzyE//yciG//glcA//aroL//potG//ulaA//sbcC//creA//dcuD//yidQ//mdtE//ynbA//safA//lsrB//argR//metY//metY//yiaN//pspD//bamE//yjbH//metN//adiC//sucC//allC//glxK//metJ//purF//psiE//cydB//erpA//aroF//astC//fecC//ftsQ//fliH//araA//ydhW//chbF//hyi//metE//bioF//yidL//tynA//icd//acrZ//
PrpR_neg	aroH//
PrpR_pos	ycdZ//ybhR//alkA//dpiB//
PspF_neg	uxuA//
PspF_pos	leuD//csiD//sroD//cpxP//argH//glnP//
PurR_neg	codA//alkB//glcD//higB//bioB//cvpA//hcaF//marA//efeU_1//narI//rpsO//yeaG//fhlA//galE//yjhB//lhgO//hisP//allE//rtcA//nuoA//phnI//cirA//ydhX//ycgR//frdA//xylA//ugpQ//gabP//mhpF//feoA//rpmI//
PutA_neg	puuD//ydhW//
PuuR_neg	rffG//cysM//agaD//uvrY//ddpB//leuB//lysO//
QseB_pos	idnD//yciX//pspG//yfiR//
RbsR_neg	pgi//fruK//pncB//phoB//hypA//fpr//puuB//wzc//
RbsR_pos	hcaF//
RcdA_neg	cydB//murC//
RcdA_pos	torD//fliG//aceB//xylA//gudP//garL//ydhV//
RclR_pos	nuoJ//mgrR//glnQ//
RcnR_neg	polA//araD//fau//
RcsAB_neg	wzyE//sufC//melA//idnK//ftsI//rdoA//
RcsAB_pos	nanT//molR_1//ilvC//metL//ascF//dicB//marR//feoC//fimB//hyfE//
RcsB-BglJ_pos	yhiM//fepE//pspC//rpmI//prpD//xylF//gltD//aceB//ibaG//cpxR//dhaR//creA//ydfD//pck//ulaD//garD//
RcsB_neg	sdhA//yjeV//
RcsB_pos	recC//nikC//nuoL//recN//hisM//ydhW//yagK//uidA//gntU//puuC//cytR//yjhC//tpiA//nuoG//gltF//umuD//lpxC//ycjX//trpR//yhdY//yjhB//ynbD//dnaG//
RelB-RelE_neg	sroD//emrB//pck//
RelB_neg	uxaA//adhE//hybA//
RhaR_pos	ppdC//cysA//
RhaS_pos	gspF//uhpT//ccmE//puuE//norV//evgA//
Rob_neg	feoA//
Rob_pos	malF//pgaD//moaE//deoA//narJ//dgcZ//waaH//ubiA//sufS//galR//pyrD//degP//ccmE//bacA//motB//sdhA//higA//dinI//patD//tyrA//speB//ubiA//frdC//metB//pfkA//
RstA_neg	hyfG//leuB//appB//glmU//malY//
RstA_pos	moeA//glxK//metH//sbmC//higA//
RtcR_pos	relA//sbmA//
RutR_neg	dinF//puuC//crp//codB//rcnA//fdnI//fixX//cusR//ybdN//wza//rstB//caiE//bioB//tfaQ//yafP//
RutR_pos	yhiD//hyaC//
SdiA_neg	adhE//entC//uhpT//
SdiA_pos	fpr//ydbD//purR//
SgrR_neg	paaD//yfdE//rffC//fabD//yhiM//
SgrR_pos	pnp//rtcA//ndh//yhbS//
SlyA_pos	rffC//
SoxR_neg	lsrD//
SoxR_pos	ulaE//rimP//
SoxS_neg	sgbU//fepD//
SoxS_pos	osmB//focA//rhaD//gutM//hycD//cas2//emrA//phnJ//tyrA//ompC//glyA//yiaO//sufS//yhhY//appB//gadC//nac//fliT//alsB//fliC//araB//stpA//napC//cysW//frdB//cheW//nusA//bacA//acrA//cysH//yafO//prpE//potF//caiC//sbcD//ssuB//yqhG//sucB//
StpA_neg	aceK//malF//glnA//glcA//sucA//hycI//dsbA//
SutR_neg	fecC//mhpC//phnG//murI//allA//
SutR_pos	yhdX//
TdcA_pos	hyfA//ugpB//nrdI//phoP//leuC//yafP//osmY//
TdcR_pos	hyfC//garP//ttdB//baeS//aslB//adhE//argP//
TorR_neg	zraR//gltL//argF//
TorR_pos	ydeP//puuC//speA//grxA//glnG//tbpA//rpoE//ttdT//nadB//
TreR_neg	mtlA//hcaR//
TrpR_neg	ldtC//dnaN//marR//ygiB//narG//dinJ//amtB//glpB//dnaG//mhpA//rclC//katG//
TyrR_neg	nirB//fhuE//pstB//relE//yjhB//paaK//gyrA//safA//qseC//dinJ//
TyrR_pos	lsrA//ldtB//hyaD//
UhpA_pos	lyxK//
UidR_neg	dapB//nuoA//iraM//degP//
UlaR_neg	pqiB//ynfG//rpiB//wzzE//asnA//ebgC//ttdA//
UvrY_pos	nanM//metF//fadE//nirD//astC//
UxuR_neg	leuC//xylB//yccT//norW//hybF//moaB//sucC//gltL//nadA//
XapR_pos	ygiC//lsrD//
XylR_neg	mgrB//
XylR_pos	lamB//mtr//garL//yccJ//ahpC//betI//
YdeO_neg	mzrA//dgcZ//
YdeO_pos	yciE//ugpC//lsrR//tsx//mgrR//glmU//dnaN//prpC//infC//nlpA//ycjX//sodB//casB//cysN//gntT//ybbW//ycdZ//iscR//guaB//
YedW_neg	cbl//fbaB//aceB//lacZ//tyrB//
YedW_pos	intQ//ydcU//oppA//pheS//nrfG//purR//dmsA//
YefM-YoeB_neg	nuoJ//infB//
YefM_neg	hcaD//ydbD//
YehT_pos	nrdE//
YeiL_pos	yqaE//
YiaJ_neg	thiQ//ycjG//ugpE//lysC//aroL//nikB//fumC//fliP//agaC//mgrR//
YjjQ_neg	phnJ//lsrG//asnA//slp//napD//mhpD//lacA//paaH//umuC//sgrT//
YpdB_pos	yafN//
YqhC_pos	melB//ydbK//
YqjI_neg	asnA//yegH//
ZntR_pos	glcG//
ZraR_pos	pyrC//cueO//bluF//
Zur_neg	acrZ//pfkA//pqiB//rnpB//mlc//trpC//
