#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	paaK//entF//
BasR_pos	cpxA//xylF//nuoJ//speA//nikB//gcvB//bacA//ftsK//mpaA//alkA//mntH//
BetI_neg	paaE//argO//hcaR//skp//
BirA_neg	cydD//yiiS//bluF//pgaC//mhpT//
BluR_neg	flgI//accC//allC//rhaA//
BolA_neg	hyfD//flhB//
BolA_pos	recB//pqiB//
CadC_pos	argG//frc//metH//
CaiF_pos	rpoD//cusA//safA//ompC//ompT//epd//napG//fdnH//phnC//ydcV//
Cbl_pos	adhE//arsR//mtlR//glmU//gntT//phnH//mcbA//tadA//yjjZ//
CdaR_pos	ybjN//yciE//flgB//csgD//glgA//rbsK//nimT//mglB//tdcG//ssuE//
CecR_neg	fliE//hydN//lsrG//sgrR//csiD//
ChbR_neg	yhjC//pgm//dmsD//rcnR//tomB//bolA//
ChbR_pos	ycjY//ddpC//uidC//creC//nemR//molR_1//
ComR_neg	flgL//
CpxR_neg	ftsA//cyaR//hyaD//metR//entS//casA//fabB//arsC//malG//paaH//yeaH//mepH//gadE//cvpA//astC//cysU//fadI//ssuD//fecR//gatB//hyaC//kbaZ//ygiB//creC//
CpxR_pos	cadA//fruA//yegR//nrdE//yeaH//ribA//mhpC//rplU//nuoM//fecA//ybhF//ydhU//caiT//pepD//melR//yeiL//pdeH//ppc//fecR//mhpT//slyB//zraR//yhdW//tdcA//glcE//gdhA//csrB//copA//znuC//uidB//glgB//ygiZ//ynbA//hns//fadA//purH//rstA//ycjY//wzb//chbC//flgE//yqaE//feoC//ssrS//lysA//malY//
Cra_neg	gltK//hyaA//ycdZ//murP//fecE//yaiW//napB//glgX//molR_1//chbA//phoQ//ydjM//lsrG//csgD//cydA//focB//ydeN//ygaC//sufB//fucU//sroC//ttdB//eno//gadF//argD//arsB//ulaD//ilvY//rybA//cra//yhcH//trpC//srlA//sdhB//lsrR//caiF//ddpX//yneM//mhpA//ogt//hokD//cpxR//hyfF//araF//zraP//nemR//motB//yhdY//kbaY//fhuB//gapA//mscM//tsx//fldA//allE//purC//hcp//umuC//ymjC//
Cra_pos	cydB//fimE//rseC//paaD//yjjZ//hmp//idnT//glcA//leuD//xapB//rhaT//yiaM//fhuD//rcnB//modC//ribA//cyoB//phnJ//lsrK//lsrC//uvrD//ynfE//pck//
CreB_neg	cbl//lolA//modC//
CreB_pos	mazE//hipB//
CsgD_neg	mgtA//araH//folA//modB//creD//pqiA//kbp//cusC//asnA//nuoC//exuR//pgi//mtr//yiaK//higB//
CsgD_pos	evgA//trpB//uxuB//fepC//ftsI//sodB//hyfG//fucI//yqjI//guaB//patD//seqA//ycjY//
CsiR_neg	ydfX//oxyS//allA//pdeR//cvpA//
CspA_pos	araE//pspG//
CueR_neg	ppdB//gntX//phnG//gspH//fliT//
CueR_pos	rpoH//acrZ//
CusR_pos	bioF//mngA//crp//arsR//isrC//aidB//ftsI//ndh//dtpA//ydhT//ynbA//ulaB//
CynR_neg	gudX//
CynR_pos	citG//cadC//ydhW//
CysB_neg	tomB//ubiX//fabG//ompN//dinQ//fliC//caiB//
CysB_pos	gcvP//dnaG//agaW//mhpB//fabB//wzc//caiD//uspA//ykgO//luxS//rimP//napH//tdcC//pflB//efeU_1//hyfJ//casC//intQ//yjbE//lhgO//ydjM//hcr//tdcE//flhB//fliM//
CytR_neg	yjiY//aroH//araJ//arsB//fadL//recB//leuA//mntH//ydbK//fadL//lolA//nuoM//fruB//
Dan_pos	dmsB//fadR//yegH//pck//
DcuR_pos	pspA//nuoJ//ftsK//tisB//dcuA//narX//rpoE//flhA//ybhG//
DeoR_neg	xylR//rcnR//glxK//flgJ//accD//galR//
DhaR_neg	casD//
DhaR_pos	ydfW//ulaC//emrA//
DicA_neg	dsdC//bglF//araD//gntT//mngB//ryhB//acrZ//prpB//
DinJ-YafQ_neg	srlA//ccmE//csgB//
DnaA_neg	glpD//dapB//phnG//xapA//fnr//hyfR//ttdB//cysC//ppc//ymjC//allS//
DnaA_pos	ynbD//hisM//xapA//galS//hyaC//yfiB//yjbE//
DpiA_neg	sufA//
DpiA_pos	srlE//feoA//ppsA//ydhX//atoA//ddpB//hcaB//phnK//ydfN//malM//
DsdC_neg	tcyP//
DsdC_pos	nadA//hycF//
EbgR_neg	ariR//fliO//
EnvR_neg	fur//fepG//
EnvY_pos	hypD//higB//
EvgA_pos	bioD//trpE//ibaG//baeS//hemH//nuoA//hydN//ybaS//mqsA//rstB//umpH//ptsG//appX//metJ//ndh//pdeL//mgtA//dps//yjbG//
ExuR_neg	yjjZ//waaH//hipA//rimK//sufD//hyaD//phr//pstB//udp//
FabR_neg	ccmE//poxB//
FadR_neg	cysD//ribA//gntK//hycD//yciW//deoD//feoB//rseC//recB//manZ//ascB//
FadR_pos	tadA//ugpA//glnA//nuoA//pspG//pspA//zwf//sdhA//fabZ//cydB//sufE//iclR//
FeaR_pos	lamB//araA//
FhlA_pos	malF//nuoC//gadA//cbl//hypE//ydjM//lsrB//appA//uvrA//fadE//cusF//ddpD//glcG//fadR//fixB//gspC//hyaE//artQ//thiQ//creA//pgm//yiiS//mioC//ydeO//baeR//ftsA//hyfC//rnlA//sucC//lolA//
FlhDC_neg	hlyE//ydcV//zwf//ftsQ//
FlhDC_pos	leuB//ttdR//bglG//alsC//cysH//allE//ygbK//hypA//rybA//fliG//paaG//napF//yiiS//hyfR//exbB//agaI//fruB//acrR//phnE_1//malP//yfdV//rpmA//mzrA//dsrA//speB//dsdC//torC//talA//yjbE//cusS//ybfE//phoU//hybE//fliH//dsbC//ddlB//ssuC//galR//lyxK//ykgO//glnP//serA//acnA//hlyE//crl//mdh//codB//umuC//feoA//gltI//ahpF//flgG//ymjC//fliF//malS//potF//argD//mltF//ppdB//glgC//ygiB//gltL//cbl//mgrB//flhA//nrdB//yafQ//acrD//araF//ybhS//trpL//ssuD//casE//yafP//nmpC//ldtB//ydhV//uvrC//
FliZ_neg	fliR//rdoA//mnmG//flgD//ydhY//recC//uxaA//argC//fadB//iscS//qseC//argB//malE//ydfH//gltD//gatA//sbmC//feoA//uxaB//nanK//rffG//
FucR_pos	ccmE//paaX//lacA//fimE//ldtD//tisB//crr//
Fur_neg	eda//sbmA//cysA//flgI//glnG//glk//flhD//yiaO//prpE//rutG//ccmD//metJ//mgtL//pagP//ldtB//ybjG//wzzE//garL//recF//ygiB//yhiM//lsrA//purL//fdnH//phnD//mtr//csgC//gadC//ydhY//betB//phoU//entF//talA//symE//fadA//aceB//mgrR//gfcA//yfiB//soxR//evgA//tynA//deoD//yneM//exbB//hyfG//gltD//cytR//gfcA//dcuR//hyfG//fabG//sbmA//mscM//slp//phnJ//recD//torD//tdcF//dgcC//cueO//tyrR//moeA//hyfH//cysG//hyi//metK//flgC//flgL//cecR//glnG//dinQ//cpxA//dinJ//puuD//trpB//gabP//ykgM//flgE//cas2//mtlD//rcsA//nlpA//rhaD//fdnI//araH//pck//deoC//acnB//tauC//agaV//decR//mdtC//baeS//deoB//gspI//rutB//nagA//zntA//nikA//caiF//infC//fepA//mdtB//cusR//hyfH//exbD//nrfA//ompW//ndh//metR//gntK//fliZ//rpiB//lgoR//
Fur_pos	nanM//ftsW//hha//uxuB//zwf//aslB//flgK//symE//ybhG//melB//rdoA//ulaD//gabP//uvrA//lysP//udp//gcvB//nuoJ//malX//lldR//pfkA//
GadE-RcsB_pos	garL//ilvC//paaF//ydhX//recF//degP//glcF//astA//bglG//
GadE_pos	hycA//fbaB//mhpF//dinI//napG//ydhV//fadJ//torA//tbpA//purR//slt//glcF//cysP//bglJ//pqiA//ybdN//csgB//agaC//metL//fliL//fhuC//araG//chbF//cydD//ada//yjbG//ftsW//hybG//yegZ//
GadW_neg	fucP//murD//modB//metI//ybhS//tsr//sgbU//dacC//uspA//hipB//sodB//
GadW_pos	cydD//citD//tolC//ribA//fadM//glcA//hdeD//fliA//fruB//fecD//yiaJ//
GadX_neg	idnT//ychF//ydcS//phnP//btuB//mtlR//
GadX_pos	mscM//nanM//phnF//ynbD//glgC//gcvH//mlrA//mdtF//gudX//ybbW//metR//glpK//ybhL//fixA//nimT//rclC//nfo//ygeH//cyaR//ybbW//ydhU//cyaR//glxR//decR//patA//rpoD//bioF//
GalR_neg	fruB//cysN//amn//ldtB//flgF//ybiT//pnp//ascB//deoA//cysN//
GalR_pos	rsmH//uxaB//lolA//dsdX//
GalS_neg	murG//ilvY//dmsC//rpiR//yedX//hmp//rhaD//mqsA//mntH//asnA//
GalS_pos	srlE//agaC//nikA//yneM//
GatR_neg	umuD//ycjF//ybjG//guaB//nimR//yhdY//
GcvA_neg	fhuF//evgA//phnD//srlA//
GcvA_pos	malG//rybB//nikR//nrdG//
GlcC_neg	zwf//
GlcC_pos	ccmH//cspI//alaS//ygiB//deoB//folA//
GlpR_neg	allE//tdcC//amtB//tyrR//lexA//rhaR//bamE//lysR//cirA//
GlrR_pos	oxyS//paaC//add//malE//argO//
GntR_neg	dctR//ulaB//tcyP//yjjQ//galS//cysD//yjbG//fes//cbl//ulaF//alaS//norV//
GutM_pos	cydC//rpiB//mngA//rpmI//ydfH//metE//rffM//
GutR_neg	yegR//cysH//ybiT//mngR//malM//yciE//glxK//
HU_neg	envC//ccmF//omrB//oppD//rbsB//ugpA//sdhC//rpiR//
HU_pos	bhsA//
HcaR_neg	tcyJ//
HcaR_pos	manY//ccmD//fur//hyaD//glpT//
HdfR_neg	xylG//hycA//
HdfR_pos	ybjN//yfdV//hipB//
HigA_neg	yqaE//gspF//
HigB-HigA_neg	ydcT//metF//
HipAB_neg	pheT//recN//metI//ftsL//baeR//
HipB_neg	hokE//argD//yhdX//rnlA//hisQ//hydN//
HyfR_pos	yiaN//wzzE//isrC//lexA//yciF//manY//artP//agaV//acnB//yhbE//ruvA//fucR//
HypT_neg	dtpA//cysD//cusC//gntK//ydeO//
HypT_pos	cbl//lsrD//leuB//nagC//cusB//katG//dinF//rnpB//
IclR_neg	udp//mcbA//gyrA//rclB//
IdnR_neg	rstA//glcB//
IdnR_pos	acrD//rbsR//mglC//ydcT//nanS//
IlvY_neg	fecC//
IlvY_pos	rclA//
IscR_neg	slt//fucA//pstC//fliG//astD//prpE//yqaE//glgB//lldP//ykgO//mdtC//yqjH//marB//phnP//gutM//flgC//gntU//dgcN//alaC//stpA//pdhR//
IscR_pos	acnA//hcaF//ydfW//yeaE//rpiR//frdA//bioB//ynfF//lysO//recN//citC//
KdgR_neg	dapB//rplT//
KdpE_pos	cyoE//cheW//glnK//tomB//
LacI_neg	paaC//fecA//araJ//
LeuO_neg	ttdB//uhpT//mdtA//
LeuO_pos	ynbB//nuoI//ssuB//mlc//mdtB//poxB//phnJ//fucI//cpxQ//glpQ//exbD//ycjX//cydC//pgm//fliQ//hyaE//norW//leuO//
LexA_neg	araG//ynbA//cysM//bglF//flgI//ybaS//allC//rprA//tyrR//galE//fliP//nrdG//nhaR//nimT//entS//tnaC//relB//ybhR//fecA//gdhA//xylF//glgP//gntU//gloA//lpd//srlB//efeU_2//yafO//mazF//norR//sodB//frdC//yjbF//prs//purK//paaB//lhgO//fliH//hycI//leuC//glpX//rnlB//hcr//cheW//ygiZ//paaC//rfe//gdhA//phoR//fucI//dpiA//oxyR//paaB//rutF//ccmF//yccA//yrbL//aceA//mglC//
LldR_neg	adhE//erpA//inaA//
LldR_pos	trpC//nrdB//ccmB//
LrhA_neg	rutR//mdh//
LrhA_pos	purR//yeiL//
LsrR_neg	argF//tbpA//mdtC//hycE//ttdB//fepC//ycgR//dkgB//wrbA//
LysR_neg	malI//
LysR_pos	argD//
MalI_neg	glyA//exbB//dsbC//
MalT_pos	uxuB//aslB//ynfK//pheM//torR//rpiB//thiQ//frdB//nagA//yciG//
MarA_neg	dsdC//rclA//yfaE//ccmB//hokD//hipA//yqjI//
MarA_pos	rutE//rutE//yciG//fliH//yciW//rhaS//yefM//dsdX//glcB//rstA//acrA//flgB//ytfE//hypC//argP//mgtA//yfiR//yhjC//ydfE//dgkA//aroM//mepH//moaD//ccmA//ybfN//adiA//hisQ//gudX//wecC//fhuD//sucD//
MarR_neg	fixC//flgD//astB//
MatA_neg	appY//aceF//lysP//rffH//yegH//fepB//
MatA_pos	ddpX//pepA//
MazE-MazF_neg	fldA//rutA//rhaS//
MazE_neg	galS//csgB//pykF//
McbR_neg	ftnB//
McbR_pos	luxS//mlrA//hycA//
MelR_neg	flhB//araC//nuoF//
MelR_pos	ariR//gudD//yjhB//
MetJ_neg	arsR//paaI//iscR//xylG//hypE//gabD//yhdY//yccA//ycgZ//gspE//srlD//mpaA//frdD//polA//acrB//
MetR_neg	fabB//napA//
MetR_pos	nusA//ftnB//yecT//dapB//
MhpR_pos	pepD//rutG//ychF//rffM//yncE//lsrB//
Mlc_neg	fepG//hyaD//cusA//hybG//mhpE//pqiA//frc//yciX//gnd//csgF//
MlrA_pos	uspE//nikD//rnlB//ynbA//pfkA//tnaA//ompW//agaR//ydbK//mlrA//
MngR_neg	rbfA//glnA//patD//
MntR_neg	sodA//caiT//rpsU//ddlB//
MntR_pos	rbsR//
ModE_neg	glk//rbsA//osmY//lacZ//eno//galE//ldtC//rutR//tdcC//mzrA//yhdY//pgaD//argG//sgrS//thrS//
ModE_pos	patD//garD//nuoI//rutB//lamB//gatA//allC//truB//zntA//atoE//ybhF//cysA//hybA//yjjZ//dkgA//modC//pyrC//bdcA//astA//yiaN//znuC//argO//gadW//fabB//hslJ//dcuR//leuO//pgaA//iraM//mdtE//paaY//
MprA_neg	malP//arsC//truB//pspC//artJ//wecC//
MqsA_neg	gntP//rseC//aroL//nanA//dcuR//ftnB//ygdB//sucD//
MraZ_neg	araF//torD//oppF//agaA//argE//metL//ttdA//osmY//arsB//fucU//asr//pdeL//hybG//uxuB//dmsA//fadJ//rffH//
MtlR_neg	narL//sgrR//ynfK//
MurR_neg	hycC//yiaJ//oxc//
MurR_pos	narX//
Nac_neg	yegZ//tdcD//nimT//fadJ//recB//btuB//phnE_2//amn//rtcB//
Nac_pos	dtpA//yaiA//yeaG//asnA//ttdT//yqjI//uspA//narI//cra//cysE//rclB//gatC//
NadR_neg	mazF//garP//edd//decR//
NagC_neg	lpxA//entE//allS//gltF//tbpA//rpoE//nirC//cynR//hycB//citF//frdC//yeiB//lacY//phnH//yidQ//metI//yhhY//argG//cydD//fabZ//nuoM//ycgR//mhpE//ldtD//fliN//glcG//fabD//yhbS//araA//psd//cytR//rffH//malP//
NagC_pos	rpmI//efeU_1//fadM//
NanR_neg	slyB//flgB//prpD//yjjZ//murC//flgF//murD//sodB//decR//puuA//
NanR_pos	alaS//
NarL_neg	glcC//appB//gspE//zraP//dpiA//flhA//fur//dinD//entD//aroL//dinG//nanA//ftsL//nuoM//torA//mtlD//mngR//glnB//wecC//wecC//betB//rbsA//recN//gatD//crr//agaC//ccmB//cas1//acrR//ydhX//rpsU//cysD//dinJ//yjjQ//nlpA//glpA//rhaT//bioC//sbmA//glnA//rtcB//ascB//nikR//phnC//hyaE//yeaR//wzc//relA//ugpB//tdcE//aspA//cas1//cynX//pck//galS//citG//gadC//bolA//ydhX//ebgC//rpsU//napB//ttdR//gcvA//ilvY//ppc//glnD//gabT//yjhB//bhsA//fliP//trpR//purB//fadR//nuoF//mngB//nhaA//cysJ//arsR//sfsB//ydjM//sbcC//malP//garD//flhA//ccmD//cysA//
NarL_pos	hyaA//mdtB//yjbF//asnB//fecE//fabD//patA//fliT//leuB//mhpA//phnF//aslB//pstC//sucC//mgtA//ssb//lsrR//ygdB//fliN//deoC//flgC//metY//iscR//kbaZ//ydiV//hycD//nanC//citD//entH//malY//nuoL//tyrA//argO//yaiW//yqjH//yiiS//dsdC//ycdZ//mltF//rbsC//fliO//gpmM//uidA//
NarP_neg	recD//glgX//moaD//entB//ytfE//ddpA//fldA//emrB//gatC//ccmH//ddpF//ygdB//araE//astB//cyaR//ulaD//tcyJ//infC//leuD//agaS//frdB//yagK//murR//norV//uxaB//guaA//dcuR//yoaC//ybhG//hyfC//uof//glmS//nuoF//
NarP_pos	trpC//fadI//pspE//ydfD//cysM//allD//malI//ttdT//rffH//aroH//fepB//purL//nanS//ugpE//ahpC//narG//ddpF//mntH//bioC//rbsA//gntX//hyfA//hcaR//gspG//ydfH//sufS//ycjY//amn//seqA//adhE//lacA//hcaR//
NemR_neg	pspB//fliJ//bdcA//
NhaR_pos	malF//gudD//cdd//cynR//rsmH//ydeM//astA//
NikR_neg	waaH//mzrA//tdcA//lsrB//crp//dgcZ//
NimR_neg	flhA//wcaA//
NorR_neg	hycB//
NorR_pos	accB//pgm//
NrdR_neg	glpC//hipA//glcG//yqjI//carB//nuoF//serA//flgH//glpD//
NsrR_neg	appX//borD//dicB//yebE//hypD//gcvA//gutM//mngR//feoB//cyoD//flgK//pspE//umpH//fliI//cspE//fucU//fecE//nanT//yaiA//asnC//frdB//dmsB//polB//cyaR//glgX//ptrA//phnN//flgI//rpsO//ilvY//accA//ynfF//sgbE//aspC//ahpC//sucA//nmpC//leuO//fliH//fecA//hypD//wza//torC//ycgZ//wrbA//hcaE//malT//yegR//trpR//acrZ//gcvT//pncB//trpL//iscA//ydhW//alaC//nemA//galE//hypE//kbaY//fau//lysA//tbpA//trpR//leuA//bluF//fliD//astC//gadC//xylR//rffT//sufS//glnH//ompC//hcaR//flhA//uidB//glxK//yiaJ//malK//bioD//nlpA//ecnB//
NtrC_neg	ptsG//csgB//glcD//rutA//fadH//lpxA//
NtrC_pos	adhE//pgpC//potH//zntA//purE//phoQ//tnaB//ccmB//rhaD//rbfA//argO//agaB//entB//hybC//trxC//ccmB//yafP//dhaL//metI//insK//cheW//fliR//ddpX//mdtA//nfsA//hycD//gatD//pncB//torR//prpC//argH//accC//pspG//rimP//ybdZ//fabD//katE//cysM//ygbA//yegR//glgC//hslJ//ydfN//ybhS//rhaR//obgE//ybbY//fucU//glgB//
OmpR_neg	tolC//slp//moaC//pheS//nemR//yjbE//garP//csgG//hisP//phnK//argD//manY//
OmpR_pos	yegR//flgF//artJ//fhuC//hyfJ//pdhR//paaB//hyfI//rprA//ptrA//
OxyR_neg	lldP//znuB//pheT//yjbG//flgH//recB//nanM//iraM//hyfD//ybhS//puuP//rhaR//
OxyR_pos	dsbC//guaB//nirD//feaB//rtcA//mzrA//ygeH//ymjC//tdcA//arsC//astC//iclR//dinQ//hyaB//gadE//gadF//rffG//cysP//purC//fdnH//gadF//hybC//
PaaX_neg	ycjY//casA//yfdX//cysH//putA//deoC//fixX//glmY//zraP//cdd//fiu//yqhD//wzxE//wzc//
PdeL_pos	ddpB//
PdhR_neg	gutQ//ibaG//nac//tfaQ//dapB//uvrC//uxuA//ygiZ//rbsA//yiiS//mhpA//hybG//fdhF//fepA//nanK//nrfB//pitB//hyfD//prpB//rybA//yeaE//mhpD//paaK//crr//flgI//rutG//cvpA//nrfG//artJ//exbD//tehB//nikD//dhaR//tauD//nfo//cas2//
PdhR_pos	yegR//caiT//galM//tcyJ//ebgC//
PepA_neg	lsrC//hdeB//cadB//
PgrR_neg	fruA//pfkA//napH//hlyE//decR//patD//chiP//soxR//
PhoB_neg	gadA//cpxP//tomB//atoB//fnr//guaB//xylA//frdB//rpmA//mzrA//moaA//rpmI//
PhoB_pos	katE//rnlA//yqhD//htpG//rpoH//yfbR//dacC//dhaL//yhdW//araD//prpR//ompT//adiA//pepD//glpF//ygiB//trpC//feaR//cheA//umuC//nanS//yqhG//nrfC//allA//ygbA//fnr//gcvH//envC//zraP//cyoD//waaZ//fepA//higB//artQ//metI//uvrY//sulA//lysP//iscR//envC//arsC//agaV//agaV//nfuA//tdcF//tsr//leuB//rcnR//pdhR//moaE//rimP//uvrA//cynT//
PhoP_neg	narI//cyoA//hycH//metE//glpQ//adiA//ftsZ//idnT//cysU//fliI//fadL//
PhoP_pos	ydhV//yhbS//talA//pheT//yjiY//puuE//fdnH//malS//fhlA//fruB//gadA//ymgA//citD//alsC//napA//glk//hisM//fucP//ynfK//wcaB//psiE//frdB//rffH//yagK//gpmM//alaS//agaA//rsmH//hmp//hcaC//gapA//glgA//sgbE//napH//rcnB//pqiA//nusA//nadA//allD//murC//cusS//oppA//agaS//rplU//crp//csiD//putA//phnE_1//
PrpR_neg	glgP//
PrpR_pos	ydbK//citG//atoE//mtlD//
PspF_neg	srlR//
PspF_pos	accB//mioC//dmsA//qseC//yeaR//ulaE//
PurR_neg	uxuR//glyA//gadF//uhpT//flhA//malG//tynA//ygbK//glgB//potG//yeaE//bglB//dinG//hokE//nrdF//kbaZ//gltI//dmsB//purE//nuoH//yefM//recF//ttdA//fhuC//znuB//epd//yccT//gspO//alaC//ynfK//tdcF//
PutA_neg	malT//agaB//
PuuR_neg	bhsA//caiT//galP//tdcF//envC//recB//dinG//
QseB_pos	mlc//cynS//ssuB//yhbE//
RbsR_neg	fabB//nanC//pyrD//yiaO//rpoD//fabH//potG//gspF//
RbsR_pos	gspK//
RcdA_neg	bglF//pstC//
RcdA_pos	yfbR//napH//metA//gltD//cysC//ruvA//fimB//
RclR_pos	malQ//glmS//fimB//
RcnR_neg	pheS//bdcA//ddpF//
RcsAB_neg	pitB//baeS//marA//xylR//yfiR//ymjD//
RcsAB_pos	garP//hyfI//rbfA//melR//cusS//gabP//osmB//hyaD//betI//artQ//
RcsB-BglJ_pos	gudP//ybbW//cdaR//insK//zraP//thrS//kdpA//argH//csrC//melA//alsA//astA//feaB//csrB//glpF//malI//
RcsB_neg	atoE//aroF//
RcsB_pos	ychF//argI//lacZ//hyfG//gyrA//sucC//ykiA//rutB//pepD//xylB//higB//dapD//dpiA//oppB//ubiC//ydeM//yjhB//ydfW//ygeH//hyaE//pepA//murG//gcl//
RelB-RelE_neg	ydeI//cspI//gspO//
RelB_neg	oxyR//asr//alsA//
RhaR_pos	mdtE//glcD//
RhaS_pos	mhpC//phnD//glnQ//mglA//allE//purL//
Rob_neg	fucO//
Rob_pos	tynA//trpA//rcnA//pspA//glpD//cyoD//ompN//ugpE//flgL//manX//torA//csrB//waaY//dnaN//guaB//fhuA//hybB//flgE//gcl//xylF//ybjN//glnG//gor//argP//ftsI//
RstA_neg	malS//gatA//torC//gyrA//fepB//
RstA_pos	yfdE//hyfE//hycA//add//tomB//
RtcR_pos	frdB//hdeB//
RutR_neg	fliI//metJ//mazE//purC//mngB//frc//lldR//sroD//dicC//puuC//epd//ydeN//lolA//puuA//mioC//
RutR_pos	sucC//mdtD//
SdiA_neg	bioA//fimB//fliC//
SdiA_pos	mtlD//entC//iscA//
SgrR_neg	nupG//exbB//iraP//treC//ygiZ//
SgrR_pos	bolA//fliJ//nhaR//cheA//
SlyA_pos	fadI//
SoxR_neg	cyaR//
SoxR_pos	araB//araF//
SoxS_neg	pnuC//rstA//
SoxS_pos	idnK//yidQ//appX//wecC//hcaD//yidL//dgcZ//leuC//yfiR//dapD//ynfG//prpB//srlD//mcbA//entB//fumC//tcyJ//astC//mgrB//tdcD//gdhA//nrfG//cysP//nuoA//yoaG//xylB//pnp//nagB//paaB//rnlA//phnK//tdcG//fliK//pspG//ssuB//nuoF//patA//nikR//
StpA_neg	hcaE//gdhA//ybhL//uvrY//leuL//lsrA//feoB//
SutR_neg	cysC//dmsD//marB//creA//moaD//
SutR_pos	araH//
TdcA_pos	fliZ//bglB//narK//narI//ynbD//hycD//ynbC//
TdcR_pos	fldB//cpxQ//cysM//nikA//fecE//tfaQ//uxaC//
TorR_neg	fruA//yeiB//paaG//
TorR_pos	srlA//mdtB//ygdB//cpxA//nac//fepD//yhbS//ftnA//mqsR//
TreR_neg	pdeH//yhbT//
TrpR_neg	yafQ//recF//yiaN//trpL//creA//pepD//phnP//uidB//cheW//relE//dhaM//ssrS//
TyrR_neg	melR//hokE//srlB//frdD//norW//spy//uvrY//idnT//rbsA//efeU_2//
TyrR_pos	csgD//hycF//cydC//
UhpA_pos	acrB//
UidR_neg	puuB//tpiA//moaC//hybA//
UlaR_neg	sbcC//lpxD//znuC//fepD//ecpR//rtcA//lsrF//
UvrY_pos	fau//yafO//ttdA//chbC//purA//
UxuR_neg	gltK//uspA//cysI//galR//rnlB//araA//mdtC//dtpA//artP//
XapR_pos	ugpA//allC//
XylR_neg	luxS//
XylR_pos	purK//uxuB//paaH//focA//moaB//mdtA//
YdeO_neg	slyB//argT//
YdeO_pos	ymgC//csgF//yjhB//cspD//cydD//cynT//hybB//sgbU//csiD//argB//ftsW//bioF//metN//rbsK//uof//relE//galT//glxK//yedX//
YedW_neg	glnK//nuoL//phnK//napA//dicC//
YedW_pos	copA//hycC//rclA//alaS//ecnB//ycgZ//flgA//
YefM-YoeB_neg	purH//aroF//
YefM_neg	deoC//argC//
YehT_pos	flhA//
YeiL_pos	phnK//
YiaJ_neg	ulaF//yhjA//hokD//sdhC//cpxR//btuB//purB//yhhY//ascF//hycG//
YjjQ_neg	hyfF//hypB//mipA//fbaB//lpxA//bamE//ybbY//ulaA//araF//nupG//
YpdB_pos	phnG//
YqhC_pos	umpH//bacA//
YqjI_neg	ymiA//ndh//
ZntR_pos	yqhG//
ZraR_pos	talA//yfiB//fliP//
Zur_neg	potI//glgB//sbcD//fpr//fabH//nikD//
