#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ydhY//dinD//
CsiR_neg	ymjD//yhbT//yccJ//tyrR//yccA//
CspA_pos	pheT//pstA//
CueR_neg	ytfE//alaC//feaB//fucO//puuP//
CueR_pos	fixA//astB//
CusR_pos	hyfE//uhpT//sbmA//ung//kbaY//fadD//nanK//nikB//fliF//fruA//phoP//cas2//
CynR_neg	puuA//
CynR_pos	atoE//fabG//dkgA//
CysB_neg	rutG//phoH//iraP//hycE//hypE//fliM//fadE//
CysB_pos	glnP//ynfK//hycF//melA//ydhY//manY//fixA//gntX//entC//lamB//mhpA//lysC//rpsO//pgm//mlrA//pstC//recN//frdD//acrA//uspD//fadA//rfe//yeaR//fliP//sucD//
CytR_neg	rprA//tauC//lsrD//narX//araC//fucP//araB//ybhR//nuoE//glpQ//hdeA//gdhA//sbmC//
Dan_pos	cusB//xylB//ompC//bioA//
DcuR_pos	fadH//efeU_1//galE//glpB//aceA//caiA//sufS//tynA//truB//
DeoR_neg	ulaD//norW//tyrP//ptsI//katG//hyfD//
DhaR_neg	pheS//
DhaR_pos	alsA//folE//frdB//
DicA_neg	fliC//cysN//argP//prpB//glpQ//polA//mazG//sufC//
DinJ-YafQ_neg	rpsO//hypA//relB//
DnaA_neg	dpiB//yjjQ//paaA//ydeP//fumC//gdhA//serA//dicB//trpL//glyA//mpaA//
DnaA_pos	ftsA//yhiD//ydcS//cysD//glcA//mglB//hycH//
DpiA_neg	nfuA//
DpiA_pos	kdpA//cysN//gor//gatA//tdcE//flgF//puuE//hisP//dapD//creC//
DsdC_neg	cysI//
DsdC_pos	atoD//lacY//
EbgR_neg	yjjQ//feoB//
EnvR_neg	ppdB//uxaB//
EnvY_pos	malM//nrdF//
EvgA_pos	chbC//galP//melA//nuoL//hyfH//btuB//ampC//dmsA//iscR//gpmA//fhlA//xylA//pyrD//ybiT//rcnA//ydfX//crl//fepC//flhD//
ExuR_neg	hycE//ulaG//lsrG//yqhG//ynbA//casA//tyrR//hslJ//ogt//
FabR_neg	nikE//puuC//
FadR_neg	csgF//ymgA//aceE//gudD//fbaB//phnN//caiA//nrdA//yefM//ldtD//yeaH//
FadR_pos	dinB//ybjC//ubiC//prpC//fixB//cpxQ//flgE//citF//ykiA//waaY//fliK//ydfN//
FeaR_pos	lsrR//fbaB//
FhlA_pos	rbsK//fliT//fixB//pck//pdhR//malE//nagB//rseA//rcnA//uof//ygiB//cvpA//glcF//ugpA//malI//nrdE//nikA//casE//cusA//fliI//baeR//rseA//rbfA//fecA//ydfW//mlc//ccmF//lacA//emrA//xapB//
FlhDC_neg	ygaC//mraZ//nirB//fucR//
FlhDC_pos	fhuB//hycG//yiaO//puuB//frdD//hmp//yjhC//betB//aceA//ssrS//uxaB//hyfG//speA//thiP//ycgZ//purN//glmS//wzzE//alaC//narK//gadC//hisM//citC//pheS//hycF//aceA//yfbR//sufE//aspC//ybdZ//ydfH//dgcZ//caiF//infC//nikE//ugpC//fliF//glnQ//csgF//yeaR//agaA//malX//uxaC//ndh//rbsC//cysJ//rcnA//chbG//glcF//glgP//ruvB//nuoG//hydN//ybbW//ydfX//ychF//add//hdeB//norW//ssuB//dsdX//metR//mtr//deoC//flhB//artI//uidB//paaD//napH//gcvA//purF//ascB//ftnA//isrC//cadC//feoA//chbF//recC//
FliZ_neg	hns//malP//bioC//nfuA//cyoE//tcyP//ttdB//ccmG//nanC//cas1//ulaC//argA//cspI//hybB//cueO//prpE//hcaE//deoB//ascB//lsrF//dhaL//
FucR_pos	ugpB//hydN//allE//leuD//gltB//ldtC//hypC//
Fur_neg	agaC//sroC//feaB//aceF//ptrA//oppF//cecR//ebgA//fliO//frdB//sufC//cusF//adiA//codB//deoC//ppc//norW//dctA//gltB//ydiU//mhpE//melB//artQ//phnL//ygeA//glmS//torC//puuB//potH//xapB//mglA//fhuA//araG//dhaM//uvrA//sroA//phnP//sucC//exuT//modB//hycD//napC//rybA//bioB//ttdB//yciG//fliL//glcB//sufD//cysJ//sfsB//narK//dcuD//yciG//malG//ydfH//znuA//glmS//flgJ//rbsR//sroC//xapA//ymjC//codB//sfsB//sroC//caiB//mpl//malT//cydD//yhiM//gpmA//omrA//hdeB//nrfA//csgB//ahpC//crl//pgk//araF//umpH//entA//tnaC//paaF//fruB//alaC//ecpR//yedX//artQ//bhsA//iraP//fdnI//rutG//ascB//narJ//lacY//recD//fumC//hycF//hypC//galK//acrD//trpE//fliZ//mngR//fabD//iraP//nuoB//malS//yhjC//gltL//gspL//araG//casB//csgB//
Fur_pos	tam//napB//hcaR//artP//hycA//ppsA//ccmF//osmB//ubiX//hypB//creC//nanT//recA//wzxE//chbF//gspE//acrA//gspK//sroA//entC//decR//
GadE-RcsB_pos	recC//hydN//yfdE//gspF//ulaG//fucU//nrdD//nanS//citC//
GadE_pos	argA//dnaN//mhpD//mpl//gspF//creD//hycF//flgI//garP//nfo//fpr//hypB//hlyE//frdC//norV//cusS//fadH//fecE//mdtD//amn//baeR//appA//pnuC//kbp//tadA//cadC//agaC//gatB//aceA//
GadW_neg	dpiB//potF//rffG//ftsZ//pqiB//murC//artJ//malG//hypA//pyrC//ydhW//
GadW_pos	betA//citX//dhaR//entS//aceK//uxuB//mipA//hemH//aroG//fliD//phnK//
GadX_neg	fumB//sroD//accC//pspG//puuD//aceK//
GadX_pos	ascF//lrhA//mtlD//csrB//pnp//artJ//gspL//emrK//pflB//uidB//yeaH//sufS//fliP//sbmC//ycjY//idnT//fpr//rclC//prs//phnD//wzc//ompT//narG//paaF//dinJ//glnP//pspD//
GalR_neg	rffT//prpC//grxA//hdeD//thiP//phnO//gspF//gabD//paaE//nuoN//
GalR_pos	nemR//relA//aroG//dinB//
GalS_neg	amtB//oxc//micF//hdeB//dnaA//ydfX//hypE//ydfD//atoB//yiaN//
GalS_pos	purN//glpD//srlA//ydeM//
GatR_neg	ybdN//yhiM//phnD//kbp//mraY//cadC//
GcvA_neg	pck//deoC//cadA//deoD//
GcvA_pos	pspB//hycH//hypF//feaR//
GlcC_neg	ynjI//
GlcC_pos	rbsD//ttdB//ttdT//ccmH//nikC//chbA//
GlpR_neg	rnpB//ykgO//malX//yeaR//ybjG//hybA//fepA//fadL//yciG//
GlrR_pos	cydA//xylB//hha//flgL//yfdV//
GntR_neg	yhbT//mtlD//murQ//gabT//mtlA//ugpQ//cadC//dhaL//torD//aceB//hlyE//gyrA//
GutM_pos	gltI//rtcB//emrB//argD//carA//ccmB//nlpA//
GutR_neg	sgbU//gdhA//purD//lldP//appX//lldP//ugpB//
HU_neg	metB//recC//rpoD//pstB//casB//hcaB//murR//dsdA//
HU_pos	feaR//
HcaR_neg	xylG//
HcaR_pos	mdtA//soxR//psiE//idnR//nfo//
HdfR_neg	nirC//paaH//
HdfR_pos	envC//uxaB//nagA//
HigA_neg	yciF//fliT//
HigB-HigA_neg	ynfE//gadA//
HipAB_neg	focA//ydeO//glmY//pstA//glnQ//
HipB_neg	cysG//glnA//flgC//fhuD//tadA//dhaR//
HyfR_pos	artJ//flgH//uxuA//fpr//glmY//fecB//phoQ//cysM//tyrB//glcG//yebG//purE//
HypT_neg	napB//aroL//tnaA//gltK//glpX//
HypT_pos	ynbC//nuoF//osmC//yhjA//patA//cadC//fabG//hycI//
IclR_neg	sfsB//cysP//yqjA//glnK//
IdnR_neg	fabD//glnG//
IdnR_pos	ugpE//ftnA//recC//yciW//mhpD//
IlvY_neg	gabP//
IlvY_pos	pdeH//
IscR_neg	ddpB//purD//ddpD//uxuB//metY//ydfN//fecR//cirA//fadB//cheW//hyfI//purB//tpiA//uxaC//bglF//fliR//ppc//gpmM//zraP//psiF//accC//
IscR_pos	ybaT//dmsB//astD//iraM//dcuD//kbaY//yiaL//mdtB//ptsH//argT//ugpA//
KdgR_neg	nrdH//fixA//
KdpE_pos	gspE//hyfR//yegH//gspE//
LacI_neg	torD//fabD//gcvT//
LeuO_neg	acrR//rnpB//yidQ//
LeuO_pos	idnT//lacA//slt//fecE//ymgA//ppdC//sgbH//metF//flgA//hycG//ybfE//fdnH//glcG//lrhA//appB//yeaG//tdcC//mtlR//
LexA_neg	degP//bamE//xylF//mhpD//purE//nhaA//mdtD//uxaA//hycD//phnJ//malM//yccT//csrB//lysR//yiaJ//mazF//purM//exbD//entE//deoB//ldtD//yjjZ//araE//allS//pspC//ompF//hycA//ydcS//nrdG//gudD//pnuC//ydbK//artJ//chbA//pheS//glpT//yiiS//tsgA//cysJ//argE//mpl//yhiM//bhsA//mepH//prs//paaJ//wzxE//rplU//wzyE//nrdA//csgB//puuD//cydB//glcC//citE//ftsL//ptrA//ddpX//glnB//
LldR_neg	malZ//hybC//tfaQ//
LldR_pos	casC//ycjF//umpH//
LrhA_neg	galR//pitB//
LrhA_pos	dps//ybhF//
LsrR_neg	iscU//ygiZ//asr//folA//dgkA//feoC//sutR//cusA//ymgC//
LysR_neg	lyxK//
LysR_pos	mraZ//
MalI_neg	aroM//murR//ydeO//
MalT_pos	yiaL//csgC//fixB//qseC//dctR//lgoR//mhpF//ybiT//chbA//cysG//
MarA_neg	flgN//acrA//caiA//nrfD//degP//phnG//cydA//
MarA_pos	torA//agaD//gntT//flgG//accB//mdtC//phoH//fur//csgC//argB//yaiA//dsdC//hybE//phoR//ydcT//tsgA//tisB//tbpA//hslJ//hypC//sucD//caiA//murR//sodA//nrdG//acrB//phoQ//mntH//sucA//sgrT//flgM//
MarR_neg	omrA//phnP//araD//
MatA_neg	bolA//pgaB//acrD//nohA//higB//narL//
MatA_pos	oxyR//nrdE//
MazE-MazF_neg	metJ//gadF//nuoN//
MazE_neg	caiD//paaZ//argR//
McbR_neg	nrdA//
McbR_pos	hycI//gcvB//btuB//
MelR_neg	cas1//phnM//ccmE//
MelR_pos	nfsB//glnP//srlA//
MetJ_neg	dmsA//hemH//garP//ybbW//fucR//mdtE//ubiX//yiaK//flhD//yaiW//ycjF//hypF//dkgB//pspB//rybA//
MetR_neg	gspG//znuB//
MetR_pos	paaX//tdcE//rpoH//yfdV//
MhpR_pos	nuoJ//dtpA//zraS//wzyE//asr//nuoI//
Mlc_neg	yiaO//ycdZ//yfiR//yegR//cyoE//caiE//dpiB//flgF//astB//allE//
MlrA_pos	yncE//casC//frdC//yiaL//ddpC//umuD//envC//araD//fabA//bacA//
MngR_neg	lrhA//cyoE//entD//
MntR_neg	ybhG//nadA//napA//hypD//
MntR_pos	pdhR//
ModE_neg	efeU_1//aspC//flgF//cytR//lsrD//mgrR//hyfJ//evgS//cusA//melB//fldA//uvrD//ygeA//murC//wecC//
ModE_pos	lysA//oppB//gspI//bglB//napA//gspL//mhpB//leuC//gcvB//fliZ//yciW//cydB//srlA//mepH//cusR//ykgM//dgcC//agaB//ompF//relB//dinJ//hyfF//gspJ//gabP//recA//agaA//aroH//iraM//polB//metA//pspG//
MprA_neg	yjbF//mraY//mepH//osmY//artI//napB//
MqsA_neg	poxB//paaB//zraP//araG//nrfD//sroD//ssb//tnaA//
MraZ_neg	rcsA//puuC//cynX//sgbE//pgaA//mntP//bioB//csgE//rplU//uspD//yhdW//xylR//allS//tyrR//yhjX//idnR//hybO//
MtlR_neg	ddpA//gspI//ptsG//
MurR_neg	nadB//exuT//glxR//
MurR_pos	tadA//
Nac_neg	lsrF//pgk//malK//rhaA//rpsO//mgtA//ynfF//yfdV//idnR//
Nac_pos	cusF//metA//flhC//hyfC//mdtB//hybC//ynbA//amtB//fruK//tdcB//gatD//iscS//
NadR_neg	potI//phnM//ydcU//ptsH//
NagC_neg	xylG//creC//baeS//nuoG//allD//dcuS//frdD//astB//glk//garP//yaiA//fabZ//ptsG//speA//stpA//rob//soxS//isrC//lamB//yhjX//modA//gntK//artQ//feaB//znuA//nuoJ//slyB//yccA//frdC//yhbT//fhuC//fimB//yiaM//
NagC_pos	nuoJ//gntX//idnO//
NanR_neg	ftsW//galT//cadC//bdcA//ydiU//gspE//metN//paaA//pgpC//pfkA//
NanR_pos	nuoB//
NarL_neg	astC//infC//hisP//ydfH//rutG//nuoJ//ubiX//gspH//fepB//phoH//nemR//sfsB//nuoK//ybhR//fixX//fadD//bdm//cho//serA//fliL//gcvB//nanA//fumB//nlpA//fdnH//rpiR//glnA//uvrD//paaJ//nuoJ//dnaA//creB//wrbA//hypD//nfsB//fecA//mlrA//yqhG//tdcG//idnT//psiE//malZ//nagC//sucA//chbG//rplU//nanC//araA//kbp//pheT//zraP//bglF//icd//patA//flhA//nirC//mnmG//gspJ//ybaT//poxB//sfsB//rffG//torR//tsgA//hisJ//yjhC//rfe//torC//ygiA//malM//exbB//yagK//fliC//yhdZ//zraP//gspM//metE//citC//fhuE//malQ//dapB//xylB//artQ//pepD//dinG//bolA//yfbR//
NarL_pos	setA//dcuR//yciX//ccmF//rnlA//flhB//fecE//dapD//xylA//serA//pstC//fiu//glcA//fadE//rpoD//ompW//gspF//dgcZ//sucB//allS//yjbF//amn//cyoE//csgB//yagK//gnd//metH//astC//glnB//yeaH//modA//ybbY//argR//patA//kdpB//ccmD//nirB//ssuC//mdh//pspG//setA//nanA//fdnG//
NarP_neg	galM//mazE//hycH//ftnB//rplU//kbp//fabH//citX//mdtF//yedX//fixC//mhpT//gntU//fruK//lysO//fliH//entB//lyxK//arsC//flhB//citG//ulaA//mdtA//spy//ndh//metL//uxaC//ssrS//dmsC//argE//hflD//rplT//pspF//
NarP_pos	nikD//potF//fpr//nuoG//gor//astC//gatA//flgF//ulaE//aroP//rstB//cysG//ydbD//efeU_1//artI//sgbE//gudD//cheW//ycjF//glxK//gloA//atoE//ascF//wza//ynbC//bioA//ugpB//tnaC//ydeO//xylH//ssb//cbl//
NemR_neg	marA//murQ//lldD//
NhaR_pos	tdcG//yqaE//fliJ//hcaB//putP//fliG//appA//
NikR_neg	hyaD//pqiB//aroL//tsr//lsrC//ygaC//
NimR_neg	fepE//alsC//
NorR_neg	cecR//
NorR_pos	cynX//ecpA//
NrdR_neg	ygiA//fes//sucA//modA//ttdA//cydC//hycD//frc//ccmG//
NsrR_neg	flgF//evgS//glmU//ydhY//cysJ//moeB//glyA//mioC//mngR//hflD//tadA//idnT//ycjG//argR//aceK//potI//nupC//purM//hflD//sfsB//tyrB//eno//ftsA//fabI//lsrK//idnO//gspL//phnJ//glnA//gcvP//ycgR//mlrA//fadM//phnE_2//agaA//mqsA//galT//spy//oppB//agaI//rsmH//gntP//agaV//nuoF//phnK//cysB//mprA//ycjF//iraM//rpiB//treB//fepE//glgC//phnF//wcaA//ppiA//glmU//treR//yegH//araA//molR_1//rybA//napD//yidL//iscS//manX//yccJ//mtlR//poxB//gudX//dnaN//yhbT//prpB//frdC//hyaF//araD//pgaB//yhdZ//betA//ydcS//sroC//dmsD//yqhG//
NtrC_neg	omrB//rhaS//glnP//ygiB//dcuS//htpG//
NtrC_pos	recC//mqsR//hycF//dnaA//uvrA//ttdR//hcr//tauD//dgcC//metK//tsx//mhpA//yciF//alsE//hycH//cspD//frdC//potG//insD//lgoR//fliP//ycdZ//sgbU//yqaE//trpE//cysM//rseA//allS//yhdZ//rpmA//inaA//torC//hdeD//ddpD//tdcF//cho//cydC//fdnI//acrR//znuB//narI//creC//hybC//rffM//aspA//dsdA//nikE//nrdG//araH//
OmpR_neg	oppA//cysW//glmU//betT//ygiA//wzc//phnL//pagP//phnC//tehB//gntX//ydiU//
OmpR_pos	nrfD//mdtC//rimP//hyaF//ndh//araH//fliG//yciF//sufD//nrdI//
OxyR_neg	xylF//garK//metY//soxR//argI//yoeB//yhbE//acnA//lgoR//fecC//focA//pspD//
OxyR_pos	glnB//rutE//ubiX//bluF//yjbG//paaB//speA//mazE//bioA//amn//cdd//ybbY//cusF//nimR//relE//yfdV//prpD//gcvA//xapA//yebG//rtcA//ariR//
PaaX_neg	pgm//gcvA//trpL//narK//yebG//uof//srlA//sdhB//erpA//ttdR//fecI//dinD//dcuB//hyaB//
PdeL_pos	molR_1//
PdhR_neg	fepE//fepB//alkA//dtpA//paaY//malI//purF//gatA//phnP//sgbU//yeaH//treB//fliP//rpoE//psiE//focA//uof//moeA//purF//hcaB//ccmB//gutM//pgm//aroL//paaZ//rprA//phoQ//sdhA//mdh//fliC//pqiB//citC//yebE//cysJ//yccT//lsrF//
PdhR_pos	pspG//purD//dgcC//leuO//argB//
PepA_neg	psiF//asnC//wecC//
PgrR_neg	mngB//insD//csrC//fecE//glgB//yegR//trpA//tauD//
PhoB_neg	hisP//bioC//casA//yhjC//malP//metH//glgA//rpiB//yjbF//cadC//pstA//rhaA//
PhoB_pos	yeaH//paaB//nuoH//hyfE//gspL//ccmC//fucA//glpB//phnM//fhuB//iraM//rhaS//narH//paaF//pgpC//araH//ecpR//dgkA//rstB//mioC//potF//hslJ//dgcN//dgcZ//gspI//adiA//glnP//srlA//napH//ddpA//guaB//inaA//tehA//pyrC//gatD//eda//lsrG//fimE//lrp//cas1//nohA//lrp//ftsW//dacC//uidB//malS//hypA//malP//hdeA//ssuA//purF//trpR//yhhY//
PhoP_neg	znuC//xylB//mqsA//pagP//nemA//glcF//norR//sodB//hyfC//aroP//pgaD//
PhoP_pos	ftnA//cbl//mraZ//ompF//ytfE//phoR//csiD//uxuB//rstA//rimK//eno//emrY//htpG//rpiB//entA//uxuR//artI//gapA//lsrR//rpoH//folE//pck//glmU//wzyE//galR//casB//hyfC//kbaY//alkB//molR_1//lon//hyfD//leuD//hemH//infB//hyaD//ugpA//manZ//patD//cysI//sroD//glnP//xapB//acnA//oxyR//hcaR//gabD//ydfE//
PrpR_neg	fecB//
PrpR_pos	frdD//talA//hybF//mpaA//
PspF_neg	higA//
PspF_pos	paaK//rpoS//nanT//tyrA//nuoH//uxuA//
PurR_neg	araF//nrdD//cysB//tbpA//yagK//phnO//ascB//dcuD//metK//pheM//yhdX//uxaA//phnG//cspD//fhuD//speB//katG//hypB//speA//purA//gltJ//gadW//ydeN//ydcV//cyoB//yibQ//cbl//gntX//motB//iscU//icd//
PutA_neg	nrfD//rhaD//
PuuR_neg	araC//grxA//aspA//wzc//wrbA//higA//pnuC//
QseB_pos	ddpB//agaC//fruA//cpxP//
RbsR_neg	gltF//mdtC//tpiA//mdh//astC//ccmC//cusB//yoeB//
RbsR_pos	flhB//
RcdA_neg	lsrD//yeaR//
RcdA_pos	nrfA//tam//bglG//astC//ydeM//gfcA//cysI//
RclR_pos	sbmC//lsrD//dpiA//
RcnR_neg	mhpC//pstS//gspM//
RcsAB_neg	mgtA//ymgA//ytfE//malY//cusA//cspD//
RcsAB_pos	pspF//yjbF//lrhA//gdhA//glpA//bamE//malI//ychF//gatC//cysH//
RcsB-BglJ_pos	rseA//glxK//fucO//setA//fdnH//nuoH//leuC//torC//rbsC//gltI//cyoC//xapB//hemL//lldD//tomB//uxaA//
RcsB_neg	gnd//ygeH//
RcsB_pos	galK//moeA//nrdG//tdcD//galS//torC//xapB//ulaB//nemR//znuB//glnL//rffH//putA//ptsH//alaS//malS//mntP//rseC//thiP//uxaB//caiE//ulaG//lldD//
RelB-RelE_neg	relE//aldA//ymiA//
RelB_neg	poxB//ttdA//nanM//
RhaR_pos	lon//paaX//
RhaS_pos	ydcS//yidL//melA//agaV//sufS//yjhC//
Rob_neg	phoB//
Rob_pos	lhgO//rtcB//gutQ//pgaA//ygiB//yjhC//hycI//glpT//flgI//sufE//galM//nirC//fucU//mazE//flgA//frdD//znuC//murG//hcaR//hmp//aceB//gspE//sbmC//slp//grxD//
RstA_neg	fpr//artP//fau//modA//glnB//
RstA_pos	codB//purR//amn//purK//lyxK//
RtcR_pos	gspM//yccJ//
RutR_neg	ptsG//znuA//ccmA//tomB//ybaT//phoQ//slt//mprA//ybhR//gatZ//hyfF//hybA//mlrA//ydfD//potG//
RutR_pos	fliI//appB//
SdiA_neg	mraZ//chbA//yjbH//
SdiA_pos	fucK//ftsL//obgE//
SgrR_neg	ftsK//entS//fliC//glcA//yhiD//
SgrR_pos	rcnA//paaK//feaR//bioC//
SlyA_pos	srlB//
SoxR_neg	glnA//
SoxR_pos	ftsK//ssuE//
SoxS_neg	acnA//cysB//
SoxS_pos	ybjC//iscS//gadY//fliM//ssrS//mdtB//norR//dsdC//inaA//argP//glnH//hycH//ddpA//srlB//glyA//mnmG//evgA//rutF//omrA//mntP//caiB//srlB//pspE//rutE//yqjA//sufC//glpK//allB//acrB//nagC//napF//napF//nirB//yegZ//setA//argF//molR_1//fdhF//
StpA_neg	moeB//aroG//oxc//galS//hyaA//cusS//rpoD//
SutR_neg	narH//leuO//degP//mdtE//ydeM//
SutR_pos	gcvA//
TdcA_pos	cydC//speB//agaW//xapA//lgoR//nrdI//fruB//
TdcR_pos	dmsD//nhaR//spy//dacC//puuD//mpl//fadR//
TorR_neg	agaI//gntP//agaV//
TorR_pos	mgrR//ycjF//fliD//rutG//malI//tfaQ//glpX//ydcS//phoR//
TreR_neg	manZ//ssuB//
TrpR_neg	ygiA//rnpB//pqiA//gyrA//uvrB//srlD//fbaA//napH//glyA//yedX//lsrC//acnB//
TyrR_neg	emrY//fhlA//poxB//cydB//paaY//mglC//purF//ybiT//yfaE//yqaE//
TyrR_pos	idnR//cysB//hisP//
UhpA_pos	hypE//
UidR_neg	acrB//yiaO//csgA//hdeA//
UlaR_neg	rffC//hemL//lpxA//ddpC//folA//fadB//rcnA//
UvrY_pos	trpL//treC//uidB//chbF//norW//
UxuR_neg	purL//cadB//prpE//rcsA//lhgO//nlpA//ptsG//mltF//glnK//
XapR_pos	dnaN//amtB//
XylR_neg	galM//
XylR_pos	rcnR//lamB//frc//wecC//argB//yebE//
YdeO_neg	frdA//fucR//
YdeO_pos	ynjI//allD//pspB//hdeD//metR//ybjC//hyaE//codA//psiE//tdcG//fadE//lldP//insD//mtlD//rclC//chbA//tnaB//mtlA//gatY//
YedW_neg	uidC//paaC//ddpX//cynT//glcA//
YedW_pos	molR_1//hyi//yhjX//glnH//grxA//prs//hypA//
YefM-YoeB_neg	cydC//rimK//
YefM_neg	fecE//csgG//
YehT_pos	cadA//
YeiL_pos	dinI//
YiaJ_neg	aceK//cyoE//yhdW//fdnI//oxc//putA//rarA//glgA//rbsD//accC//
YjjQ_neg	yhdY//pgaC//kbaZ//lldR//fes//cytR//ugpQ//glgB//safA//rbfA//
YpdB_pos	mazF//
YqhC_pos	ycdZ//bhsA//
YqjI_neg	sodA//modA//
ZntR_pos	uvrC//
ZraR_pos	rarA//ulaA//potF//
Zur_neg	ibaG//mgtL//tam//gabT//nanM//srlD//
