#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	uof//psd//
Cra_neg	trpE//wecE//uidC//casB//fixB//sroA//dicC//ybaS//acrR//sulA//ynbC//nuoH//speB//cyoC//rplT//yeaH//ymjD//gadE//yfdX//tauD//gltL//ybbY//nuoM//dcuA//decR//dhaK//oppD//lhgO//rseB//nrfF//araC//fimE//ccmH//xapA//phnM//rpoS//luxS//omrB//kdpB//dgcZ//deoC//fucI//add//nuoH//ascF//cysU//yhbE//ddlB//malX//lrhA//amn//hypA//ssuD//tauD//seqA//fabB//metJ//dsbA//rtcA//
Cra_pos	entC//narX//glpT//cadA//yncE//ddpF//fliP//narH//hyfG//mdtE//galT//mdtF//uvrA//gcvP//yciX//ddpA//slp//polA//recD//mpl//purA//adiA//alkB//
CreB_neg	gspH//manZ//ampC//
CreB_pos	hycC//yecR//
CsgD_neg	murD//nuoH//ccmF//relB//pdeL//fadE//phoQ//paaI//srlD//gspE//yeaE//napD//pfkA//atoA//fliA//
CsgD_pos	dsbC//flhD//ydhT//ygiB//hybB//amtB//wzc//mdtF//fliP//hybD//csgB//nanM//tsx//
CsiR_neg	hyfF//metL//xylH//nmpC//atoE//
CspA_pos	caiT//hybF//
CueR_neg	yecT//wzzE//sucB//gcl//cho//
CueR_pos	trpB//flgF//
CusR_pos	gadE//fepE//moaC//gspO//araD//fucO//paaF//metH//nhaA//ulaC//yidQ//ftnA//
CynR_neg	gcvA//
CynR_pos	ulaA//nemA//hypE//
CysB_neg	zraR//lsrR//ddpF//rbsD//atoA//cas1//pheM//
CysB_pos	nimT//nuoF//mzrA//mltF//hyfJ//rffC//cynS//frdA//rybB//rffT//soxS//aldA//ryhB//kdpA//nhaR//metA//yhdZ//lpxD//frdB//yhhY//bdcA//ygiB//guaA//atoE//hyfH//
CytR_neg	purF//yecT//ugpQ//zntA//prpR//argB//gltK//uvrD//uhpT//cbl//dapB//cyoB//ynfG//
Dan_pos	glcB//mnmG//malF//fadE//
DcuR_pos	deoB//yqjI//glpA//idnR//hdeA//rarA//dpiA//yeaH//pspG//
DeoR_neg	pgaA//dacC//caiA//pgaA//kdpF//adiA//
DhaR_neg	nuoN//
DhaR_pos	bioD//metI//dmsB//
DicA_neg	slyB//citX//caiA//phnM//ynbD//dkgB//tdcB//dcuD//
DinJ-YafQ_neg	alsB//ydfN//fau//
DnaA_neg	flhD//mqsR//yhjC//puuC//yjbE//lpxC//emrA//ecnB//ynfG//ybdN//psd//
DnaA_pos	pqiA//lacZ//ybiT//talA//glpD//dsdA//fucA//
DpiA_neg	fliC//
DpiA_pos	glgP//yhbS//cysN//fliJ//mltF//gspF//gspO//uidR//xylB//gapA//
DsdC_neg	fadR//
DsdC_pos	pykF//alaS//
EbgR_neg	pagP//hcaD//
EnvR_neg	hcr//glxK//
EnvY_pos	sucD//ddpF//
EvgA_pos	xylF//hcaF//umpH//nirD//glnK//mngB//fumB//cusC//fadH//rstB//agaV//nanT//nimT//lhgO//feaB//gadB//kdpA//pheT//arsB//
ExuR_neg	ytfE//aidB//frdC//argP//gadE//yagK//agaD//tdcB//ygeA//
FabR_neg	flgA//yjiY//
FadR_neg	gatC//citE//ydfW//arsR//ybfN//ndh//norR//nuoF//puuB//nfo//cysU//
FadR_pos	paaE//ynfE//lexA//nrdE//ymjD//slp//uhpT//tdcF//fldA//kbaY//znuC//cynS//
FeaR_pos	nac//gabD//
FhlA_pos	mqsA//ychF//yeaR//tyrP//recA//wrbA//nohA//alsA//deoA//sucB//flgE//pspC//mazG//efeU_2//accB//lyxK//acrB//fhuA//rpoH//tnaB//agaI//crr//tdcB//ugpQ//gadE//entH//fecA//hyfF//tpiA//infB//
FlhDC_neg	ubiX//yaiW//yjhB//ykgM//
FlhDC_pos	cydC//uvrB//entE//yncE//relA//hyfI//csgB//nagB//ydiU//yegH//dnaG//cyoB//cysU//argD//phoE//nfuA//ytfE//ycgZ//allS//dapB//lsrR//napB//nhaA//focB//rutB//hyi//rffH//eno//fabD//dsbA//ptsG//artP//gspC//tauB//ynbC//patA//manZ//rhaR//gcvH//rclB//ppdC//ygbA//sulA//rffM//argI//cspI//paaJ//malE//glxR//ydbD//prpD//rutF//leuB//manZ//nrfD//ddpA//nuoN//phnJ//evgA//nrfE//ybiT//ndh//acnA//glgX//fecD//gpmA//tsr//sra//mlc//add//galT//hipA//ccmF//marB//gadY//mprA//galS//cyoC//
FliZ_neg	yciE//appC//gabD//leuB//paaH//entS//ygbK//yhbT//ydhW//manY//uidB//nrdI//wza//yecR//bioC//fucP//ompF//fliF//relA//melR//ssb//
FucR_pos	nusA//casC//iclR//intQ//ykgO//ycgR//paaG//
Fur_neg	mdtD//osmB//tauD//glnL//glpT//gdhA//gatZ//xylR//fabA//dcuA//nagE//umpH//gatB//cyoE//gabD//ecpR//qseC//codA//nuoH//zraR//ygeA//ygiA//tcyJ//wzzE//tsgA//rdoA//ybjG//gspG//phoP//aspC//putP//dgkA//glyA//idnO//codA//nagA//paaF//pgm//mdtF//codB//leuL//adhE//eno//oppD//rstB//csgE//mhpD//mazE//galM//marA//puuA//artI//fliS//nupC//zinT//mtlA//mipA//slyB//yjjQ//hypE//sgrR//lsrF//xylG//torC//paaF//argA//fliM//higB//cas2//dsdA//cpxQ//kdpB//metY//puuA//fixX//cysJ//rcnB//intQ//rpmA//ygiC//rpmI//ybdN//yedX//glnA//araG//mntP//ybbY//ccmE//artJ//efeU_1//ynfE//hybA//fliK//tsgA//rclA//yjbH//appB//argD//modA//ulaC//flhC//cusS//flgE//cusC//ssuA//astE//dinG//ygbK//yfdV//znuB//srlA//crl//yafO//fabG//rutA//
Fur_pos	dhaK//trpA//nikA//udp//chbG//carB//csgC//acrZ//ynjI//ulaD//yhdX//psd//murF//paaF//rutB//betT//idnK//nadA//glgP//entA//hycB//
GadE-RcsB_pos	leuB//argO//rutB//mhpA//casB//glcF//glcE//isrC//ompF//
GadE_pos	yafQ//sroC//aslB//ompT//wrbA//hyfA//nanK//ddpA//glpK//deoC//psd//argI//infB//folE//cadB//creB//cysG//ribA//mntP//purA//hcaF//gspF//glcE//hycI//yeaD//phnH//garR//rhaR//yqjH//
GadW_neg	asnA//fadD//yciW//purC//fepD//emrB//ycjY//napD//agaI//rfe//mpl//
GadW_pos	prpB//fdnH//nfo//mntH//hyi//pykF//fucU//metK//phoA//phoU//cynT//
GadX_neg	carA//sufC//hisM//hyfH//fhuB//fucP//
GadX_pos	recX//yccA//glpK//rclC//mhpC//tyrP//ddlB//fbaB//rffH//cdd//paaA//soxS//nemR//exbD//yhjX//dacC//betT//flhE//garD//ccmC//dsdC//phnO//soxR//purK//argE//rutG//cas2//
GalR_neg	paaB//yiaN//glpF//gcvP//nuoA//entE//cyoB//hydN//sucA//nuoF//
GalR_pos	garK//rcnB//leuD//rbsB//
GalS_neg	gadB//appX//ulaE//csgE//nrdH//hyaA//araA//ftsA//ulaB//recB//
GalS_pos	rplT//grxD//hha//hokD//
GatR_neg	zntA//mqsR//lexA//rdoA//lsrG//aceB//
GcvA_neg	ydeN//fadB//kdpA//exuT//
GcvA_pos	fabG//fruA//fruA//csgA//
GlcC_neg	iscS//
GlcC_pos	glcD//fliG//lrp//iscR//mgtA//murR//
GlpR_neg	alsE//osmB//ydcT//appY//sucB//sufA//hns//gltJ//ldtB//
GlrR_pos	mhpT//tpiA//lyxK//malM//rffG//
GntR_neg	fadR//manX//yeiB//gudX//nuoL//amtB//tdcF//appC//gyrA//napF//fixC//cyoE//
GutM_pos	sgrS//ppiA//rprA//codA//yhdW//rstB//ssuE//
GutR_neg	envC//yhjX//nimR//trpR//evgS//rutB//mngA//
HU_neg	rbfA//glgX//ppdA//mlc//cdaR//flgE//trpB//casD//
HU_pos	idnO//
HcaR_neg	cheA//
HcaR_pos	glnA//fecI//puuB//yccJ//hybF//
HdfR_neg	mraZ//crl//
HdfR_pos	rseC//trpR//yiaK//
HigA_neg	gspG//nuoL//
HigB-HigA_neg	ynbC//hybF//
HipAB_neg	mazE//gatA//yecR//nrfA//gudP//
HipB_neg	uspA//dhaR//kbp//rhaS//gcvA//ttdR//
HyfR_pos	mqsR//lyxK//ydeM//dgcC//narX//dinD//cydA//tyrB//narH//iraM//talA//cusF//
HypT_neg	tsgA//efeU_2//cydA//cho//evgA//
HypT_pos	rclB//rffC//copA//grxA//uof//lldD//napD//gabP//
IclR_neg	cysK//ydjM//ycdZ//yfdX//
IdnR_neg	uidR//ahpF//
IdnR_pos	ldtC//fabA//fecI//pstB//fadI//
IlvY_neg	dapB//
IlvY_pos	pncB//
IscR_neg	yoaC//tsx//zraP//ttdB//flgC//tdcC//lysC//ascB//tsr//hcaB//dicB//hycB//gspE//cyoE//dnaG//crl//nfsA//pgaD//melB//nadB//hha//
IscR_pos	pstA//leuA//yciE//mcbA//paaF//arsB//rcnR//rutB//gntK//gspJ//nanM//
KdgR_neg	potH//leuC//
KdpE_pos	gadF//dmsB//nlpA//ebgA//
LacI_neg	allA//flhE//rhaD//
LeuO_neg	tisB//narL//rhaD//
LeuO_pos	argE//ldtB//higB//yegZ//crr//citX//psiF//hybA//nrdG//dinQ//ppc//recF//cysM//malP//dinF//fliF//rpsU//crl//
LexA_neg	yhiD//fldB//chbR//kdpC//tam//mngA//ybhG//malT//yafN//hyaB//fepD//aidB//rsmH//astD//lacA//phoU//asr//polB//cspI//ppsA//rhaS//puuP//fur//ecpR//xylA//omrB//erpA//asnA//asr//nfuA//frdA//rdoA//nanM//csiD//yfdX//cspE//rutE//ygiB//ccmG//purB//yfiB//rseA//insD//nuoI//rutF//setA//ynfK//yeaE//nuoG//pspD//fepD//fhuC//yqjA//hns//cyoD//phoE//sucC//citX//metE//
LldR_neg	flgF//ydfD//artJ//
LldR_pos	gspH//murR//nhaR//
LrhA_neg	aroG//mazG//
LrhA_pos	mhpC//malK//
LsrR_neg	lsrG//yhjA//hybG//oxyR//ssuC//rutD//glnG//nohA//gltD//
LysR_neg	frdD//
LysR_pos	xylA//
MalI_neg	oppA//fucK//yiaM//
MalT_pos	insK//agaB//srlR//hyfH//rhaD//hybA//dinF//ydhU//fucR//aroG//
MarA_neg	paaG//gudD//ycgR//ynbA//yeaR//mdtE//murR//
MarA_pos	ybiT//yafN//paaG//tsgA//spy//tauB//rprA//puuR//mprA//fhuC//nupG//speA//wrbA//envC//torA//tcyJ//mtlR//xapA//infC//ahpF//ybfN//lamB//fecB//fhuA//hycA//oxyS//yjbE//yiaO//hslJ//cusR//ygeH//
MarR_neg	uspE//dsbA//gatB//
MatA_neg	fliG//ulaE//rtcB//ulaA//garR//fliZ//
MatA_pos	malI//infC//
MazE-MazF_neg	ssuA//gloA//yjbF//
MazE_neg	ulaD//rimK//moaB//
McbR_neg	nuoI//
McbR_pos	gpmM//ihfA//folA//
MelR_neg	glnQ//metN//gadW//
MelR_pos	aroG//sgbH//leuD//
MetJ_neg	paaF//yefM//crp//tisB//nirD//rarA//glpT//nrfA//glgC//eda//glpD//cyoB//astC//yfiB//flhE//
MetR_neg	yaiW//melB//
MetR_pos	uidR//nac//xylH//nhaA//
MhpR_pos	rffT//dsbG//mhpB//artI//pagP//yccT//
Mlc_neg	yciE//araA//mioC//uidR//pspA//glnA//dctA//fes//yhdZ//entE//
MlrA_pos	mipA//dkgA//potI//nfsB//sucA//exbD//fliA//ugpE//aroG//flgM//
MngR_neg	galE//wzzE//fhlA//
MntR_neg	fecE//dcuB//ppiA//tdcF//
MntR_pos	hemH//
ModE_neg	purH//creD//umuD//moaB//hisP//entC//yecT//ccmB//tnaC//mntP//fecI//gntP//mdtF//fliP//glcB//
ModE_pos	aceK//accB//dhaK//rutC//glpQ//yiaN//ariR//paaE//pdhR//dapB//idnD//mqsR//dsrA//fimE//lpxC//ybjG//iraM//gspF//flhB//rhaD//motB//fpr//metL//casE//nrfE//lsrK//idnK//murQ//leuA//fepD//kdpF//
MprA_neg	ydiU//fabI//aslB//ftsW//phnC//yjbE//
MqsA_neg	yjbH//argF//carB//entH//marB//yjiY//lpxA//copA//
MraZ_neg	oppB//yafQ//uxuB//ecpR//fumB//entF//rbfA//yecT//cyoA//moaA//agaB//lacY//ymiA//pepD//nupG//paaY//rutR//
MtlR_neg	fur//pstC//ydhV//
MurR_neg	seqA//rhaA//fadL//
MurR_pos	moaE//
Nac_neg	phnC//chiP//dicB//htpG//ymgC//waaY//cynR//exuT//cadA//
Nac_pos	fldB//tdcD//ybbW//torC//lrhA//prs//marR//xylH//ynfG//gcvB//gcvT//fliM//
NadR_neg	recX//hisP//nuoN//dsdC//
NagC_neg	iscU//garP//glnB//dinG//nfuA//agaS//sdhC//tisB//sdhD//puuD//yiiS//fliI//nikE//nirD//fadB//pyrD//pyrD//dsbC//ybiT//galE//melR//creD//oppF//uvrD//tadA//pgaA//rstA//cas1//treC//ydfN//yccT//lpxA//citG//
NagC_pos	ycjX//rimP//ppsA//
NanR_neg	zraS//edd//gatZ//gspH//ddpB//wecC//alsB//hokD//bglG//ygeH//
NanR_pos	ydhY//
NarL_neg	narK//waaZ//setA//sbcD//glpD//nhaR//feoB//xylR//glpF//ynbB//amtB//puuD//bdm//kbaZ//sufS//ydhT//ddpD//ppdC//pgaD//fiu//recC//pnp//cusR//grxD//mcbA//acrD//ftsZ//phoB//fimE//fecB//ygiC//treR//phoQ//csgD//sra//glmS//wzxE//chiP//rbsA//rutC//napG//hycB//setA//yciE//lsrK//pitB//hmp//yidL//gloA//bacA//nhaR//rutD//focB//ttdT//mazF//glcA//csiD//oxc//crl//ftnA//napB//sroC//sulA//alaC//nikE//rtcA//rffC//icd//sucA//lolA//putA//putP//fecI//argH//dinJ//fliH//hycE//modC//yccA//uidA//fdnG//fabH//ibaG//tynA//glcD//mraY//dpiA//
NarL_pos	yhcH//artQ//csgE//dcuD//ydbK//nuoJ//ldtD//nrdF//chbA//ydhV//artQ//alsE//omrA//hmp//nuoK//uidA//atoE//cysG//yoaC//exuT//hyaF//mltF//yidQ//ydbD//entD//fliT//chbG//dinJ//glcA//cydC//entH//malP//pfkA//nagE//metE//astE//citE//paaG//ldtB//dkgA//ogt//mglA//casB//
NarP_neg	pyrD//nikR//osmC//nrfA//infC//safA//ynbC//tsx//caiA//cysG//atoD//yefM//eda//ybhG//yqhG//yjbG//hybG//wzyE//ccmC//spy//araB//araF//acrB//treC//moaD//crp//ulaD//gpmM//oxc//dcuS//cirA//paaB//hha//
NarP_pos	wza//tauB//zinT//tisB//slt//murE//nrdA//kdpC//fecI//alaC//patD//mdtF//bglF//uspD//ydfD//speA//puuD//hydN//ycjG//galS//fbaA//araC//rffM//ynfE//phoU//fau//ynfK//hlyE//ugpA//mdtA//sulA//wcaA//
NemR_neg	epd//puuC//dapB//
NhaR_pos	thiP//hemH//purB//znuA//lsrA//ddpC//zinT//
NikR_neg	cysN//pspF//ydfX//hlyE//crp//rpoS//
NimR_neg	rutR//flgL//
NorR_neg	psd//
NorR_pos	ydhT//ygaC//
NrdR_neg	entF//sufD//lgoR//glpD//iscU//glcF//yqjH//cpxR//fbaB//
NsrR_neg	cysK//gabP//uxaA//ymgA//rimK//mntP//bioB//gadF//yidQ//rhaT//tcyP//idnD//gntX//copA//fadR//lsrF//ebgA//gntX//gspM//rseA//uvrY//ynfE//cyoC//gspC//agaA//folE//pfkA//gatZ//gltJ//hcaR//rhaD//lacA//mgrB//gcvH//phnI//lpxC//evgS//rutE//yrbL//hyfF//rprA//hybD//purM//lysA//hcaE//bglJ//slt//alaS//ynbC//fliD//sdhB//lrhA//fliD//ugpA//hns//agaV//manZ//xylR//bacA//hyfG//ygiB//paaA//aroL//glmY//lldD//sgrS//eno//ybfE//glyA//srlD//araA//atoB//araD//thrS//garL//csgC//gpmM//dacC//mraY//fecD//fbaA//yciE//tauA//
NtrC_neg	oppF//mntH//phnE_1//cysC//ykgO//alkB//
NtrC_pos	borD//fliD//emrB//mraY//fiu//zwf//purR//aroL//moeA//tehB//osmC//rhaS//mntP//skp//araE//gadW//fliC//malE//btuB//hisQ//modC//ydiU//ydeM//focB//fliN//yciX//xylR//zwf//paaI//mhpT//bglB//glpT//murI//paaG//ftsI//nanE//ulaE//ariR//mgtL//pspA//mhpA//higB//mngB//caiC//astA//oppC//ompT//dmsD//hyfA//
OmpR_neg	soxR//bioC//dkgA//ydeO//murI//nemR//flhD//uidC//srlE//flgA//yfdE//nagB//
OmpR_pos	ddpA//fliT//motB//tdcC//ydcU//nrfE//modB//leuB//ydeI//rseA//
OxyR_neg	hemH//gudX//bioD//nrfB//paaC//uidB//glgP//yeaG//mngA//lysP//ybaT//fdnH//
OxyR_pos	wecC//gltI//glcA//omrB//nuoL//hybC//ydcT//rpsO//hmp//exuT//rimK//cysK//tdcG//rffT//ymgC//yjjQ//ydhX//ydcV//kdpC//ybaS//glnQ//nikA//
PaaX_neg	udp//mdh//idnD//ydcS//fecE//argG//fadD//flgB//rffM//kbaZ//murC//melA//fes//fiu//
PdeL_pos	dicC//
PdhR_neg	paaB//pitB//fecI//hyfA//allA//fecA//relA//alkB//argB//fabZ//nhaA//tyrP//epd//baeR//purH//recC//nupG//cspE//yeiL//lacY//iraP//yhdY//wecC//hybC//argF//ubiC//alaS//crp//hisQ//ydfW//hha//manX//gntT//tynA//phoH//ftsL//
PdhR_pos	gntP//csgF//exbD//nuoG//phnP//
PepA_neg	nuoJ//uspE//gadX//
PgrR_neg	idnO//asnA//borD//dctA//evgA//purA//creD//argB//
PhoB_neg	lsrB//astC//dsbA//trxC//nuoG//tnaB//ompF//ubiA//frdB//pqiA//ccmD//rpoH//
PhoB_pos	fhuC//katG//lsrG//kdpC//tdcC//fepG//sgbE//mipA//folA//efeU_1//ssuC//ugpC//qseB//gloA//emrK//yeaH//dsbC//uhpT//ydcT//hemH//tehB//sgrR//pck//fucR//glcD//puuP//recX//moaE//rcnB//btuB//cysH//rnlA//fumC//ccmD//lldD//entS//tolC//agaV//ybfN//mioC//gadX//prpD//ydeO//wzc//flhB//eda//ynbA//ykgO//gntX//phnL//fdhF//ftsZ//pgaD//
PhoP_neg	gntX//araC//rob//nrfB//ddlB//idnT//nanT//ihfA//malS//entC//rybA//
PhoP_pos	pyrD//fucR//ycjG//chbC//dinD//rnlB//glpC//iraM//lysO//fumB//leuD//rclB//fepA//caiC//fabA//paaA//flgH//treR//nagA//ytfE//icd//mraY//atoD//gntU//paaF//ftsK//hemH//yrbL//cynS//bacA//nohA//moaA//dinI//dnaG//ddpC//mngA//dgcN//yfdE//malQ//ybfN//cheW//rpiR//lsrK//ilvY//acrZ//narJ//mdtF//yoeB//
PrpR_neg	insK//
PrpR_pos	chbR//melA//ygiC//mazE//
PspF_neg	uvrB//
PspF_pos	dcuS//wzc//citG//ugpA//glpA//ydhX//
PurR_neg	atoA//araD//hypF//purM//casD//casD//aspC//pspC//napF//rprA//mngA//hyaD//hflD//rstA//ompC//yccJ//malS//ydhV//chbG//dctA//nuoI//frc//creD//nhaA//ydeI//paaD//chiP//yedX//atoA//folE//ung//
PutA_neg	torD//rpiB//
PuuR_neg	cyoE//fhuA//dsdX//mraY//cyoD//hycB//rbsA//
QseB_pos	recN//rcnA//wecE//dsdA//
RbsR_neg	adiA//sufD//yoaC//mcbA//hyaA//gatB//uspA//ulaB//
RbsR_pos	fabD//
RcdA_neg	nanC//rpoE//
RcdA_pos	xapB//yqjA//yjbH//hycH//rtcB//srlE//tauB//
RclR_pos	fliN//tauB//aroL//
RcnR_neg	pykF//rstA//hycI//
RcsAB_neg	ptrA//torA//uspA//kbp//gatD//garK//
RcsAB_pos	flgI//pspC//metY//yqaE//nikE//csrB//frdC//cyoB//nmpC//caiE//
RcsB-BglJ_pos	metJ//mdh//lldP//rhaB//hcp//srlR//purB//appB//accB//gntU//flgI//metE//puuC//rdoA//tbpA//yciG//
RcsB_neg	umuD//ycgR//
RcsB_pos	ykgM//hisQ//moaE//phnP//glpF//rplU//bamE//idnO//araD//gudD//ddpF//allD//dinD//ybjN//gatY//xylH//hha//uof//feoC//csgG//cyaR//amn//sucC//
RelB-RelE_neg	rnpB//fixA//sroA//
RelB_neg	argO//ssuA//iscS//
RhaR_pos	evgS//motA//
RhaS_pos	nupC//uidC//hipA//artJ//gor//frdD//
Rob_neg	aspC//
Rob_pos	lsrA//emrA//srlB//moaE//rplT//cpxQ//exbB//argC//ydfW//feoB//dgcN//casC//entH//narG//rplT//ssrS//codA//hcr//yiaJ//luxS//entH//dinI//argB//entF//ada//
RstA_neg	rseC//yccT//bglG//ymgC//rutD//
RstA_pos	leuL//marB//cyaR//hypE//osmC//
RtcR_pos	hycC//dapD//
RutR_neg	ftnA//mdh//mipA//gspM//fhuA//garK//arsB//gltF//flgI//ptsH//hyaF//cytR//zntA//yegH//recD//
RutR_pos	acnB//nanK//
SdiA_neg	allA//nanC//paaA//
SdiA_pos	ttdA//cueO//yoaG//
SgrR_neg	phnK//allE//baeR//csgD//sodA//
SgrR_pos	fbaB//yibQ//caiD//tonB//
SlyA_pos	ssuB//
SoxR_neg	malK//
SoxR_pos	cysH//umuC//
SoxS_neg	arsB//ssuA//
SoxS_pos	accC//gapA//yafP//purB//ulaD//cvpA//paaG//pheS//adiC//stpA//hypD//ribA//fruB//melA//nikD//tynA//focA//bolA//fecA//nrdG//ydhX//tdcF//ryhB//dapB//rpoS//feaR//purD//uxaA//yefM//frdC//yjeV//glcD//lgoR//uxaC//cho//ulaF//thiP//tyrB//
StpA_neg	bioD//rnlA//rffM//creB//waaH//metB//ubiA//
SutR_neg	rutD//allD//hcaE//paaC//ddpC//
SutR_pos	mraZ//
TdcA_pos	gltK//zntA//pnp//malF//dinD//fecR//rpiB//
TdcR_pos	murC//ykgM//recD//hisQ//pgpC//flhB//melA//
TorR_neg	narK//hns//iclR//
TorR_pos	umpH//tbpA//purM//erpA//prpD//appB//cysP//nanT//nuoL//
TreR_neg	napD//wcaB//
TrpR_neg	pspC//narJ//idnO//sdhA//yqaE//agaW//molR_1//treR//rpmI//epd//purN//ymiA//
TyrR_neg	fliO//zraS//yjbH//glnK//rcnB//yegH//pspF//bioC//ydfD//hcp//
TyrR_pos	osmY//ybhR//gabP//
UhpA_pos	artP//
UidR_neg	napF//oppA//sfsB//putA//
UlaR_neg	rplU//yafP//idnT//tdcD//sgbU//dsrA//modC//
UvrY_pos	metK//rutF//deoA//ydiU//hybE//
UxuR_neg	fadB//yjbF//wza//gspF//rstB//poxB//ycgR//tam//uhpT//
XapR_pos	treR//qseC//
XylR_neg	fruA//
XylR_pos	hflD//citD//tolC//marB//nfsA//galK//
YdeO_neg	xylA//treR//
YdeO_pos	cusR//gspG//caiB//prpR//hycD//fdhF//uxaC//yegH//lacZ//nirB//yeiB//ydcS//glpF//lhgO//stpA//atoB//alsE//hypE//ddpA//
YedW_neg	gadX//fabB//ydhX//ssuD//nrfB//
YedW_pos	idnO//dps//fruA//aslB//galP//paaE//putA//
YefM-YoeB_neg	fliN//nrdF//
YefM_neg	glnH//mqsA//
YehT_pos	fliO//
YeiL_pos	ydeI//
YiaJ_neg	recD//lysP//lamB//setA//rhaA//ptsG//bglB//pqiA//fadR//ydeP//
YjjQ_neg	fhuD//ycjF//paaA//glpC//pgaC//yciG//gspH//flhE//nuoN//gadB//
YpdB_pos	cydB//
YqhC_pos	relB//treR//
YqjI_neg	aceK//treC//
ZntR_pos	metN//
ZraR_pos	dicC//araJ//prpD//
Zur_neg	dicC//prpC//slyB//katE//nanA//fucO//
