#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	cynT//sufB//
ChbR_neg	gspJ//metB//yjbH//lldD//yiaK//wrbA//
ChbR_pos	hcaD//ompC//caiB//potF//murP//garL//
ComR_neg	cheA//
CpxR_neg	guaB//fiu//atoA//hcaD//fucU//envC//bacA//gyrA//mgtA//yafP//yaiW//ebgC//uidR//fabG//phoQ//qseC//yagK//cas1//mgtA//tauC//glnD//rclB//malZ//idnR//
CpxR_pos	yafQ//cra//lsrA//yjeV//pagP//flhE//mcbA//cusR//phnF//ydfD//paaI//flgD//deoA//astB//cusR//trpE//ydfX//purL//tehB//yhjX//araC//galM//xylR//gatZ//oppF//chbC//ndh//yfiB//sufD//mtlR//purN//rffG//nirB//cyoD//mhpA//rtcA//eno//hybA//leuO//acrZ//chbA//oppB//lysC//mdtD//fepE//lpxC//
Cra_neg	ynbA//citD//cyaR//appA//agaS//argD//speB//rdoA//ychF//tcyJ//bolA//cas1//mngA//artQ//umuD//astE//rhaD//potH//hdeB//caiF//tauB//fiu//speA//ymgA//glgX//glnG//cytR//fimE//purK//alkA//lgoR//fnr//fumB//astB//flgG//uvrD//gltL//argO//galE//purF//yhdY//atoD//lsrG//ompC//rutB//modA//lsrR//rnpB//aidB//recA//rhaS//ydhY//cadA//prpB//hybC//yfdV//prpC//fhuE//decR//
Cra_pos	wecB//yeiL//nikB//rpoH//ftsL//emrY//cheW//yqhG//bglG//phnE_1//pgaD//lysP//flgL//narH//leuB//ascF//rpsU//gspO//ynfH//cytR//cyoA//cpxQ//ydfE//
CreB_neg	uof//pnp//hycA//
CreB_pos	mazF//rtcB//
CsgD_neg	insK//lldP//putP//galM//hflD//lon//hybC//pnuC//ynbA//agaB//rhaB//sgbE//fecD//puuP//prs//
CsgD_pos	eda//hypB//cysU//fadL//yccT//fixX//yaiA//cadB//evgS//ppc//mcbA//cyaR//osmY//
CsiR_neg	mqsR//allC//cas2//lgoR//ybjN//
CspA_pos	cysD//uspA//
CueR_neg	fabG//lsrG//cvpA//creC//caiE//
CueR_pos	ydhT//fliA//
CusR_pos	flhE//mglC//ulaC//ccmD//ybfE//treB//nrfD//ydhX//cpxR//ydbD//caiE//gspJ//
CynR_neg	phnK//
CynR_pos	malZ//malG//malY//
CysB_neg	gatZ//phr//ybbW//nagA//bglB//argG//glgB//
CysB_pos	recN//ycjG//creB//fucK//yjhB//gnd//puuP//exbB//yiaN//fhuF//ybbY//lrhA//paaC//gnd//lon//yfiR//yecR//trpL//malF//uxuB//efeU_2//hipB//hyfI//gudD//yeaD//
CytR_neg	ccmE//hyfB//exbB//nadA//gcvB//fliZ//tsx//moaD//ddpA//dgcC//hyi//glnB//dgcC//
Dan_pos	narG//fhlA//ytfE//dinQ//
DcuR_pos	dmsD//rybB//rpmI//grxD//lysR//treR//nuoG//phnP//potI//
DeoR_neg	yhiM//dkgB//phoB//gltJ//infC//csgG//
DhaR_neg	cra//
DhaR_pos	cysE//gcl//glpB//
DicA_neg	agaW//rclB//fliJ//rffH//argT//srlD//cysE//hyaF//
DinJ-YafQ_neg	rcnB//ccmG//cysW//
DnaA_neg	hycA//phnO//cirA//fucR//astD//phoR//rhaR//cheW//astD//torR//ampC//
DnaA_pos	galE//sucA//ygiZ//rsmH//flgA//gapA//ibaG//
DpiA_neg	hyfB//
DpiA_pos	glmY//pdeL//speB//murI//araH//malM//lyxK//uidR//paaC//tadA//
DsdC_neg	nimR//
DsdC_pos	slt//fliH//
EbgR_neg	folA//puuD//
EnvR_neg	arsB//chbR//
EnvY_pos	idnO//ygeH//
EvgA_pos	ccmF//dsbG//ptsH//gudX//fliT//malS//allE//nrfE//entC//hisM//chbG//ydhT//yiaK//cynS//yqjH//ygiZ//ccmH//purE//lacZ//
ExuR_neg	motB//crr//molR_1//phr//fau//thrS//fliQ//garP//cyoB//
FabR_neg	glpD//hisM//
FadR_neg	casC//citE//mtlR//fliI//fimE//yciF//glk//glpF//gspO//yiaO//flgH//
FadR_pos	feoC//csrC//cyoC//yoeB//cspI//recD//norR//cvpA//mgrB//uidC//dsdX//codB//
FeaR_pos	yjbG//nuoE//
FhlA_pos	pspE//gspD//uxuA//rnpB//glgX//nuoJ//metJ//fecD//nrdB//dinI//qseC//fepG//pstA//fabH//umuC//pepA//nrfB//potH//mpaA//nikD//cyoC//metR//ulaG//tadA//alkA//artM//hyfD//casD//nikE//rclC//
FlhDC_neg	aspC//cpxP//hyfD//wza//
FlhDC_pos	pqiA//dapB//infB//fucA//purK//cynR//dgcZ//rffM//rstA//puuC//cysI//wzxE//zwf//casB//alsB//fliN//paaD//ftnA//pyrC//garK//paaD//rpoS//alsE//rffC//pheM//yhbS//gntP//flgN//fau//pspB//fruA//hcp//mpaA//fruK//aceB//metY//yhdY//kdpA//fecC//cydD//udp//lexA//ydfX//prpC//agaV//tauB//ttdB//nanM//garD//omrA//hycA//lgoR//atoD//ribA//ccmA//amtB//dgcN//treC//puuC//hyfA//torA//lysP//gntT//ttdA//lldR//dcuS//ruvA//fliJ//lsrF//galK//bglB//phnO//rhaB//uidR//yfdV//iclR//iscR//ompF//
FliZ_neg	gabT//argB//glpX//ydeO//nupC//appX//chbC//uhpT//znuC//tktB//arsB//marB//dapB//lpxA//gatB//nuoK//yiaO//hyfG//wrbA//gor//ydhU//
FucR_pos	dps//lhgO//ecnB//bglJ//galM//betT//ssuC//
Fur_neg	ygeH//envC//yhbT//cyaR//dsbA//nuoK//yiiS//ompC//nimT//chbA//phoE//paaX//araF//purD//sucA//folE//glcA//wzyE//fliN//allE//paaH//murE//mdtD//ihfA//yeaE//aspA//aroP//fldA//wza//malX//cheA//cysD//metI//entA//osmC//trxC//pepD//wcaB//entD//gutM//malE//cadC//metH//pspB//araC//bioB//dhaM//yciG//cpxR//argF//hemH//hypA//bioD//phoP//hcp//sufA//lexA//malP//fabB//sucB//fumC//lysC//paaY//casB//rutB//phnL//aroF//galK//galP//cynT//sodA//kbaY//hybF//arsC//tyrR//ydfN//mhpT//puuE//ompT//evgS//chbC//flhA//speB//nrdB//ygeA//pck//agaI//nupC//dkgB//hdeB//gatD//accC//tnaB//yeiL//yebG//fliZ//torD//mntP//ssrS//efeU_2//rcnA//bioA//mtr//waaY//purR//dinJ//purB//bhsA//glgX//argP//pspB//agaI//dpiB//osmC//hydN//
Fur_pos	nuoK//xylB//uxaA//rnlA//flgJ//prpD//gspC//caiT//dcuB//focA//znuB//narI//prpR//insK//ykgM//ttdR//narG//yqjH//dacC//ccmE//yqhG//
GadE-RcsB_pos	gatY//wzc//yeiB//bamE//mnmG//ydeP//ydiV//rseB//hcp//
GadE_pos	torC//zwf//frdC//gspI//iscS//fadM//bioF//sra//astA//modC//hyfH//ygdB//yiaJ//agaW//galM//fldB//yqjI//fecE//bdcA//caiB//argP//tdcF//sufS//hyfI//cysE//ftsI//wzxE//adhE//pgaB//
GadW_neg	ugpC//pepD//ymjD//fliG//gabD//lamB//sra//mscM//cysJ//poxB//astA//
GadW_pos	yidL//glcB//ulaC//cvpA//sbmA//caiC//phoR//ydhU//accB//fepC//acrR//
GadX_neg	lrp//tdcB//metL//nikR//aceF//acrB//
GadX_pos	gltL//sucB//glyA//omrB//gspH//sroD//ptsG//ssb//gatD//lrp//ydcV//phnO//cvpA//ddpB//gor//hslJ//rffH//gspM//nusA//idnO//fixX//aceK//glnQ//ccmA//sroA//malS//ppiD//
GalR_neg	uspA//fliT//argB//wecE//ecpA//ymgA//citC//gatY//metH//fliC//
GalR_pos	uspE//hypB//ftsW//ddpB//
GalS_neg	rybB//lsrG//ampC//fdnI//leuA//glnA//lpxD//garD//yqjH//fepB//
GalS_pos	agaA//kdpB//trpE//ttdR//
GatR_neg	mdtE//iscS//stpA//yjbG//trpE//gspE//
GcvA_neg	rpmA//ycjY//feaB//hmp//
GcvA_pos	ycjF//yccJ//relB//agaV//
GlcC_neg	leuL//
GlcC_pos	tdcF//hslJ//fabI//ybhS//lldD//ydcS//
GlpR_neg	appA//fliO//ydfD//nuoK//nagE//citF//nikD//nlpA//torA//
GlrR_pos	sroC//malZ//pyrC//dicB//nuoH//
GntR_neg	nfo//hyfA//mhpB//flhB//nagC//araH//frc//agaD//argO//alsC//lexA//baeR//
GutM_pos	bhsA//fecI//mlc//yrbL//dgcN//fumB//baeR//
GutR_neg	truB//wcaA//cysB//glpX//gntK//feaR//caiB//
HU_neg	pepD//gntP//lexA//dicC//mioC//ftsZ//malT//ugpA//
HU_pos	nmpC//
HcaR_neg	ygaC//
HcaR_pos	cysP//fau//psd//oxyS//caiA//
HdfR_neg	wcaB//zraS//
HdfR_pos	mhpB//malE//pqiA//
HigA_neg	osmC//xapA//
HigB-HigA_neg	phnE_1//cysB//
HipAB_neg	tdcD//yjeV//glnA//waaY//uidC//
HipB_neg	dpiA//yciF//glpK//efeU_2//tfaQ//ssuC//
HyfR_pos	agaI//mdtA//yibQ//glyA//appC//znuA//purB//yhjX//fabH//hybG//ydiU//dcuD//
HypT_neg	decR//metC//csiD//uof//murC//
HypT_pos	tauD//ycdZ//bioB//flgB//flu//flgB//hycC//srlD//
IclR_neg	iraP//moeB//hybO//gutM//
IdnR_neg	araA//yidL//
IdnR_pos	gyrA//yciF//ybjC//cysJ//hyaD//
IlvY_neg	metY//
IlvY_pos	glcD//
IscR_neg	idnO//bioA//nanK//paaB//rclB//hdeA//entE//nhaR//betT//fliN//gltJ//cusS//ybjG//hyaE//artM//leuA//allC//ptsG//napG//ddpX//ymgC//
IscR_pos	hypA//hybB//prpB//yoeB//uspD//glpX//phnN//appB//hcaB//hyaC//caiF//
KdgR_neg	recB//cydB//
KdpE_pos	gabP//lpxD//ung//yegH//
LacI_neg	chbB//cyoB//hycH//
LeuO_neg	gspG//hyfB//alaC//
LeuO_pos	fliI//lsrC//putP//gutQ//astD//galR//purF//galK//moeB//fimE//hypB//ddpX//cadC//yqjH//lsrR//hisJ//nuoM//yjjZ//
LexA_neg	dmsD//rnpB//mhpC//rbfA//sroA//glgX//sroD//agaA//bioC//caiT//purB//yhcH//nuoH//gadE//dhaL//yrbL//napD//wzyE//sgbU//cho//ydeM//alsE//norV//nupG//dinF//flgL//rimK//dgcC//fnr//paaX//potG//fliC//sgbH//iscS//tcyJ//thrS//garD//fliA//murI//yneM//ppiA//gatC//uxuA//cyoE//yegH//gnd//alkA//hyfJ//yhbE//atoB//rffT//alaS//rpiR//sbcD//mzrA//dinB//wza//fabH//hslJ//
LldR_neg	casB//ppc//agaC//
LldR_pos	lsrF//rutE//oxyS//
LrhA_neg	aroP//artM//
LrhA_pos	ddpD//asr//
LsrR_neg	leuA//cspD//melB//tbpA//yiaL//cysP//alkB//hybC//cdd//
LysR_neg	appC//
LysR_pos	ygbK//
MalI_neg	yjbE//fbaB//nuoE//
MalT_pos	znuA//yfiB//insD//agaS//bioC//fepE//rpsU//exbD//ydfH//gntT//
MarA_neg	iscR//ybfN//glcF//hyi//rutG//melB//hypD//
MarA_pos	flgL//fucO//dsrA//ynfK//hybO//casB//cyoE//flgD//cusF//ybdZ//yiaL//mntS//tolC//guaB//fhuB//purH//mpl//bioC//ddpA//rsmH//tsx//mhpB//yjbE//cytR//mazE//hcaB//recB//psiE//yefM//thiP//lgoR//
MarR_neg	motA//recN//hycC//
MatA_neg	cyoA//fpr//intQ//mgtL//yegR//cho//
MatA_pos	paaD//acnB//
MazE-MazF_neg	yhdY//glgX//gspM//
MazE_neg	lpxA//pqiB//relB//
McbR_neg	bioC//
McbR_pos	ybjC//uidC//xylH//
MelR_neg	sfsB//rutF//artQ//
MelR_pos	cpxR//gatD//waaY//
MetJ_neg	mqsR//phnD//yebE//hmp//casB//cysD//truB//alsA//garD//nfsA//mglC//lamB//baeS//metE//udp//
MetR_neg	cyoE//cadA//
MetR_pos	ybiT//bolA//murC//hcaC//
MhpR_pos	rbsK//katE//gspD//cytR//cysG//dinI//
Mlc_neg	sbcD//edd//caiB//gatA//fliP//gcvT//caiF//entH//hybD//feoC//
MlrA_pos	alsC//oxc//yjbH//acrD//gspE//pflB//fnr//pykF//gadA//narI//
MngR_neg	fliK//cysA//araC//
MntR_neg	tomB//ydfX//rimP//araE//
MntR_pos	rarA//
ModE_neg	malX//hcaB//rsmH//hcaR//tdcF//narG//purN//arsC//yciE//yciX//allC//yjjZ//lldD//ung//cadB//
ModE_pos	garP//iscA//evgS//agaV//fecB//paaD//moaE//moaC//yccA//hcaC//fhuD//malY//exuR//pck//mhpC//ynfH//omrB//dacC//aceE//phr//paaD//bglG//nrdA//yoaC//rhaD//ynbD//hisP//murI//agaW//ompF//yegZ//
MprA_neg	entB//paaF//ygeH//csgF//fruK//glpB//
MqsA_neg	uxaC//hyaC//pheT//dsdA//mtr//glnK//oxyR//oppF//
MraZ_neg	yrbL//murC//dsdA//yfbR//cysI//fhuA//idnT//feoC//hisQ//mltF//hycD//ttdR//mglB//narH//ssuA//mraY//pdeL//
MtlR_neg	tcyP//nuoA//fixX//
MurR_neg	nrdI//asnB//bdm//
MurR_pos	paaH//
Nac_neg	entH//uvrY//ydiV//yegR//rhaR//cra//dpiA//gabD//nuoH//
Nac_pos	pheM//rstA//phnL//glcG//gspJ//cysB//dicC//nrdG//crl//hyaE//marB//nuoE//
NadR_neg	yafP//rpmI//nrdB//evgS//
NagC_neg	rseB//yiaK//umuD//lsrA//fliG//ssb//hybC//pepA//rnpB//yebG//nohA//fliK//dgcN//ulaF//narG//creB//yhdZ//nupG//ydhX//idnT//exuR//fes//fabA//higA//metA//grcA//caiF//gadC//fabA//sgrS//lon//rplT//pyrD//
NagC_pos	allD//cysM//gor//
NanR_neg	nupC//efeU_1//nuoF//rcsA//yciF//pyrD//fruK//pdeL//lacA//rutB//
NanR_pos	ssuA//
NarL_neg	gntP//yeaH//yjhC//focB//yeaE//pagP//phoH//tnaB//ydhV//exbB//yoaG//phnJ//ompT//glcF//cynR//cyoA//lexA//pstS//nohA//fucA//gnd//yqaE//tyrB//putP//ddpD//sroC//insK//allE//cyoD//rpsU//yhbT//creD//efeU_2//fliA//sufD//alsC//argE//higA//alkA//bhsA//narX//mtlR//gntK//lsrC//pagP//nupG//allC//pepA//gloA//gfcA//ddpD//paaG//srlE//yfbR//slt//rhaD//yhjC//ydeM//pfkA//cyoD//ynfE//oppD//yeaE//aroP//aroP//fadD//lysA//gadE//artP//fiu//sroD//sra//cirA//astE//sgrT//araG//hyfR//deoB//appY//yiaK//gpmA//flhD//ymiA//slt//malT//gspI//agaI//
NarL_pos	yncE//ybdN//ftsL//alsA//idnD//yfiR//hypD//oppF//argT//thiP//iscU//gspM//hypC//nanE//yfdV//sucB//dcuB//polA//astC//kbaZ//chbB//zntA//garD//carB//ecnB//tnaC//lacZ//yccT//xylH//cysG//purC//fixC//fliP//tbpA//waaY//hisM//ccmC//bglB//modB//slt//aspC//napC//mngA//
NarP_neg	araH//cyoD//cdd//metE//gcvA//fnr//aroF//asr//cydA//cheA//ulaD//nuoB//paaI//yedX//cas2//fadH//glpT//uvrB//glcE//sdhD//fadD//napC//uvrB//icd//oppD//ymjD//aceA//kbaZ//guaA//kdpF//fadB//ydhY//guaA//
NarP_pos	yhdX//ynbB//potH//sucD//rbfA//yiaK//aroM//cspE//mltF//cysC//grxA//ydhW//creB//flhA//ulaC//bglB//ftnA//phoQ//potG//ycjX//agaS//ccmH//yiaO//emrB//flhB//hcp//mdtF//yccT//phnO//galE//ascF//tauB//
NemR_neg	paaK//dgcN//ydeI//
NhaR_pos	ycjY//gcvP//qseB//dinJ//fepA//yiaK//ahpC//
NikR_neg	modC//nfsB//ynbA//cysI//fixX//yhbS//
NimR_neg	fecB//xapB//
NorR_neg	flgE//
NorR_pos	yfdE//erpA//
NrdR_neg	nuoJ//gltK//ydcU//appA//ydbD//tfaQ//galP//fepG//cpxP//
NsrR_neg	insD//setA//fliT//gabT//fadD//metK//deoA//fruK//rcsA//rcnA//pgi//patA//dhaR//ykgM//araJ//dnaA//ada//rob//yjbH//fixA//gpmM//tpiA//acnA//mqsA//cyoC//gspJ//ccmB//degP//hypB//yiaM//argO//garD//agaW//ompN//nhaR//frdD//gatD//ycjX//ymgC//yhbE//casE//bioF//narG//mdtB//dmsC//rutE//fixC//fliZ//phoA//fliZ//phoR//ompW//ygbK//nagC//phnC//truB//dsbG//xylB//paaA//modB//pdeH//folA//xylA//evgS//ssuB//zwf//fixA//ptsI//leuO//yebG//phoH//uvrY//gspO//ycjG//araD//glnB//ascB//ccmB//phnM//xylB//fabD//ybhR//ybfN//
NtrC_neg	cytR//gyrA//sufA//guaA//flgJ//bioF//
NtrC_pos	dcuA//phoB//fur//grxA//oppF//frc//paaI//gadX//fecB//marR//glcF//galE//lpd//umpH//rbsC//mazF//ydeN//putA//glgC//fdnI//gadB//gntP//mglA//emrY//dapD//mngA//wcaA//nfuA//yjbE//citE//artP//ykgO//rhaS//iraP//chbC//malY//folE//cyaR//marB//aceB//pstS//pnp//ccmH//aroG//rbsB//skp//yqjH//fucA//uof//
OmpR_neg	nuoE//ynjI//nhaR//hipA//glnQ//pqiA//serA//ssuB//rnlB//cho//purE//yaiA//
OmpR_pos	dgcN//ydfN//mazE//puuC//lysR//gltB//phnO//hybE//gutQ//dsrA//
OxyR_neg	tdcC//cecR//mdtB//alaS//sufC//adiA//melR//guaA//chbB//pqiB//cusS//sucA//
OxyR_pos	rprA//exuR//entS//tonB//mdh//pgi//wecE//obgE//znuB//paaA//ycjX//ydiU//glgC//yeiL//gntU//sodB//yccT//hcaF//ynbC//pstS//hcaF//paaI//
PaaX_neg	csgF//higA//fldA//bhsA//wzxE//malG//ynfK//fabD//rutG//gltB//pgaC//mgrR//rprA//moaE//
PdeL_pos	ssuC//
PdhR_neg	lrp//xylH//uidC//ssrS//tonB//bhsA//cysU//eda//aroG//fucP//ybhR//aroF//arsR//cysE//recA//wcaA//sucA//ydiU//ybaS//gatC//tdcB//csrC//hyfH//phnG//mgtL//nikA//yiaM//uvrD//frdD//fhuA//rnlA//tehA//glnQ//ddpX//accC//nikC//
PdhR_pos	degP//ykgM//gdhA//nuoN//degP//
PepA_neg	gudD//ygdB//copA//
PgrR_neg	hflD//paaG//nikD//melB//ygeH//flgH//potF//lpxC//
PhoB_neg	ygeH//ompT//chbF//puuE//fepB//pspB//sufB//csgB//aceK//manZ//casD//insK//
PhoB_pos	napA//moaC//pagP//nanA//glpC//gcvT//moaB//fecC//rsmH//glnL//fecR//malP//oppD//flgG//casB//fepC//uvrA//ptsI//ftsZ//norV//gntU//ubiX//entE//torR//rhaT//murC//cheW//phoH//lsrA//ftsA//degP//flgN//cheA//nusA//fliO//dcuA//ygiB//citX//yhhY//gspG//gltB//mngR//ykgM//decR//leuA//marB//tdcB//malI//gltI//srlD//ybdN//manZ//sufA//
PhoP_neg	fliF//xylH//dcuD//tam//yfiR//pitB//hyaA//ampC//cyoA//hokE//stpA//
PhoP_pos	gapA//yiiS//feoA//cpxQ//agaV//moaE//narJ//idnD//moaE//sucD//lolA//entB//hipB//uvrC//decR//nimR//sucD//pgpC//kdpC//fucU//ulaB//sufE//dnaA//ugpC//phnO//ftsZ//cas1//gltD//ppdC//phnD//chiP//mglB//yhdZ//folE//rhaB//iscS//ubiC//pspA//sucB//fliR//rbsC//ynbB//srlA//glpQ//oxc//ddpA//adhE//murR//
PrpR_neg	kbp//
PrpR_pos	sroD//fixA//napA//argP//
PspF_neg	ycjF//
PspF_pos	gspL//fabB//leuB//rutD//znuA//gudX//
PurR_neg	adiA//tdcC//fau//thrS//exuR//hyaC//caiE//dacC//aslB//srlR//treC//ynfE//patA//araA//glnL//yqjA//chbF//udp//pfkA//znuB//ftsI//yhcH//ynjI//waaH//paaA//yecR//safA//fdnI//pgk//fadD//dps//
PutA_neg	hyfG//dmsC//
PuuR_neg	ddpF//bioD//tbpA//crr//pstS//umuD//katG//
QseB_pos	flhE//puuA//malZ//yaiW//
RbsR_neg	ihfA//ygdB//alsC//ptsH//allE//iscR//fecD//ftsW//
RbsR_pos	fabA//
RcdA_neg	fimE//ccmD//
RcdA_pos	mazG//xylG//gadF//osmY//nanS//talA//hflD//
RclR_pos	dgkA//aceA//ariR//
RcnR_neg	agaR//frdD//entE//
RcsAB_neg	mhpA//napH//dsdA//ycjF//rstB//trpC//
RcsAB_pos	narI//glpD//flgJ//znuA//ppsA//ung//dsrA//micF//mtr//argC//
RcsB-BglJ_pos	rbsK//nikE//yiaO//fecE//nrdI//astD//creD//dcuA//yccT//pgm//mtr//asr//leuO//flgC//nrdI//mglC//
RcsB_neg	gspO//mzrA//
RcsB_pos	glnA//yfdE//mpaA//dapD//chbF//relB//fhuB//cusC//fhuD//purD//hycA//citC//gcvP//patD//dkgA//csgD//caiT//malP//aceB//murI//tyrR//yjjQ//kbp//
RelB-RelE_neg	nupG//qseC//flgL//
RelB_neg	tdcB//hcaF//lysR//
RhaR_pos	nuoB//agaS//
RhaS_pos	cysP//atoE//nuoE//phoH//efeU_2//arsR//
Rob_neg	ptsH//
Rob_pos	hisP//chiP//moeB//accD//argH//tdcG//ulaE//ybdN//mdtA//nuoK//fepD//ydbD//tpiA//glcG//dkgB//pstC//bioC//glpX//glpT//lysA//uxaA//folA//malZ//metA//hcaR//
RstA_neg	fixX//ycdZ//aceA//galM//hcaC//
RstA_pos	ybfE//fepB//ulaF//glgB//yhcH//
RtcR_pos	bacA//hyfC//
RutR_neg	iscA//sroD//tyrP//flgA//paaK//trpE//motA//rutC//pqiA//paaE//paaX//ldtC//mpaA//gatA//waaY//
RutR_pos	pheS//hyaA//
SdiA_neg	csgF//yeaD//rclA//
SdiA_pos	gntK//serA//pdeH//
SgrR_neg	xylG//gnd//ruvB//cyoB//argT//
SgrR_pos	alaS//psiF//paaY//hdeD//
SlyA_pos	mgtA//
SoxR_neg	cysG//
SoxR_pos	glgA//ydfX//
SoxS_neg	entF//dnaG//
SoxS_pos	exbD//purA//phoA//acrA//tpiA//appX//fadI//pck//atoD//yibQ//purF//rplU//pck//malY//ycdZ//fliG//gspL//fruB//ascF//stpA//crl//hipA//mgtL//rhaD//glcF//citC//tsr//ycjX//xylB//rutR//nikC//stpA//pnp//hybC//yfaE//yeaE//gadX//aslB//
StpA_neg	gltK//hyfG//cpxA//asr//crl//entD//cueO//
SutR_neg	entC//ydfN//dapD//fliE//yfiB//
SutR_pos	paaD//
TdcA_pos	xylG//cynT//acrB//ftsA//hns//cusF//ybaT//
TdcR_pos	fliL//efeU_1//purD//potH//hlyE//rob//ppdB//
TorR_neg	rseC//hflD//agaW//
TorR_pos	ppdA//flgN//mngR//xylB//deoD//flgH//frdB//astE//cusC//
TreR_neg	nrdH//yebG//
TrpR_neg	dctA//cspI//cheA//kdpB//hybC//pstA//glpD//ydcT//yjjQ//yoaC//gltJ//puuR//
TyrR_neg	oppC//argE//gntP//focB//hypA//ulaC//dinJ//hydN//ybbW//gltJ//
TyrR_pos	dtpA//pdeR//ydcU//
UhpA_pos	pqiB//
UidR_neg	hns//hyfG//rutB//yfdX//
UlaR_neg	pqiB//dhaR//ppdB//zwf//acrA//phnP//xylA//
UvrY_pos	betT//patD//ampC//araD//ycdZ//
UxuR_neg	flgF//nrfG//pncB//torC//speA//murI//kdpC//artM//mgtL//
XapR_pos	dps//puuC//
XylR_neg	ydfE//
XylR_pos	mdh//hdeD//leuA//gcvP//gatD//cysD//
YdeO_neg	napG//znuC//
YdeO_pos	cysU//bioC//higB//flhB//aldA//accD//ppc//rhaS//mnmG//cheW//flgH//tyrA//yhdX//crp//aslB//dgkA//zraS//ydeM//araH//
YedW_neg	nrdI//fucO//potG//xapB//accD//
YedW_pos	torA//bioD//rseC//pstC//mntH//ybjN//cho//
YefM-YoeB_neg	cyoC//pdeR//
YefM_neg	aceF//exuT//
YehT_pos	potG//
YeiL_pos	wcaB//
YiaJ_neg	paaX//exbB//acnB//exbD//paaC//iscS//rtcB//csgC//pykF//paaA//
YjjQ_neg	cpxR//ccmA//micF//speB//ssuB//purR//flhB//glcF//mdtA//creD//
YpdB_pos	dhaK//
YqhC_pos	ugpC//fliO//
YqjI_neg	pgk//garK//
ZntR_pos	cirA//
ZraR_pos	nikB//fliH//dsdC//
Zur_neg	ccmG//fabG//pspA//gntT//katG//lamB//
