#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	argH//aslB//
HU_pos	tdcE//
HcaR_neg	cueO//
HcaR_pos	pheT//omrB//phnP//astE//potG//
HdfR_neg	gatC//tcyJ//
HdfR_pos	nohA//cpxR//paaH//
HigA_neg	hdeB//leuL//
HigB-HigA_neg	gspG//uvrC//
HipAB_neg	acrD//ssb//moaA//glk//narI//
HipB_neg	rybB//ecnB//mhpD//alaS//tktB//emrK//
HyfR_pos	rffH//malY//leuO//dctR//ulaD//paaZ//asnA//metB//pyrD//mhpT//nfsB//ygeH//
HypT_neg	fldA//fabD//bioA//fbaB//sodA//
HypT_pos	yhiD//torD//rprA//dsrA//prpR//hycD//iraP//yfdV//
IclR_neg	baeR//cyaR//appA//fldA//
IdnR_neg	yfdX//yciG//
IdnR_pos	fadL//tktB//fnr//prpE//dtpA//
IlvY_neg	rutG//
IlvY_pos	gltB//
IscR_neg	galS//paaI//nuoC//ycjF//aceK//mraZ//caiF//cysU//recD//marR//fadI//gltD//rhaB//fabG//nac//polA//gdhA//sbmC//nadB//lpxC//hns//
IscR_pos	pspC//fadB//uvrA//galE//kdpF//flgF//baeS//fucA//crl//asr//fixB//
KdgR_neg	paaF//higA//
KdpE_pos	gabP//gadA//efeU_2//gabD//
LacI_neg	btuB//glpA//appY//
LeuO_neg	mraY//metE//dpiA//
LeuO_pos	gadA//nadB//mnmG//glcD//ymiA//uidR//gapA//nrfE//sbcD//rpsO//gdhA//dcuB//mdtE//narG//malQ//ybjC//dicB//rnlB//
LexA_neg	nrdF//fabB//glpX//hmp//hyfH//glcA//adiA//tcyJ//nikE//fucP//tisB//glgC//emrB//ydbK//hycA//ynfH//glnQ//malG//yedX//tsr//nrfB//uvrC//nuoG//wza//cecR//yafN//fpr//cyaR//isrC//trpE//norR//sodA//mazE//caiD//lyxK//pqiB//lyxK//purN//hokE//cusR//tadA//sodA//sodB//srlE//yiaM//umuD//srlA//fiu//phoB//katG//uxaA//pstB//phnN//glcD//lpxA//hcr//gpmA//aspA//zraS//
LldR_neg	paaG//galT//mdtD//
LldR_pos	glpA//nrdE//wrbA//
LrhA_neg	nmpC//glcD//
LrhA_pos	cadB//mgtL//
LsrR_neg	mtlR//nagB//phnH//srlA//fliA//hyaB//ybjC//ssuA//pgaB//
LysR_neg	hipB//
LysR_pos	glmY//
MalI_neg	ruvA//fliD//ycjF//
MalT_pos	cspI//rcnA//paaC//pyrD//ryhB//lldD//phoH//baeS//malI//ydiU//
MarA_neg	serA//tonB//lsrD//phoE//uidC//fliM//potG//
MarA_pos	caiF//puuC//ebgC//srlD//araH//dnaN//dinD//sbmC//fecC//baeS//rhaS//cydA//tehA//ftnA//molR_1//yiaJ//glnG//moaD//murI//aldA//yjbF//araB//purL//grcA//pstC//lsrK//hflD//dmsD//ompN//yhhY//aceE//
MarR_neg	oppB//pstS//pgpC//
MatA_neg	murG//patA//ycjG//baeS//yaiA//ccmF//
MatA_pos	aldA//araH//
MazE-MazF_neg	yidL//trpB//phnH//
MazE_neg	ssuB//hybC//yiaM//
McbR_neg	yhdY//
McbR_pos	mhpA//trpL//recA//
MelR_neg	allB//fliK//uof//
MelR_pos	yhdW//phoP//purF//
MetJ_neg	mraZ//pspD//hyaB//ugpE//ompT//fdhF//ugpB//ssuC//murG//phnF//lolA//arsB//ydbK//gnd//phnL//
MetR_neg	kdpC//malT//
MetR_pos	obgE//malK//xylG//fumB//
MhpR_pos	pspA//gabD//yjbH//yccT//aslB//nuoC//
Mlc_neg	fliZ//ygaC//hycB//sgrS//sucB//agaV//malX//ompT//rnpB//tdcG//
MlrA_pos	wza//fabZ//yhiM//acrB//yciX//dgcC//yoaG//ycgR//pheT//cysG//
MngR_neg	prpC//sra//exuT//
MntR_neg	gspL//lsrF//xylA//murG//
MntR_pos	emrA//
ModE_neg	glxK//malF//glpK//hypD//feoA//entB//ykiA//dcuD//garP//nanE//guaB//cas1//lpxD//pgk//spy//
ModE_pos	argR//argH//nuoB//mazG//ydbD//fucR//nuoB//ppc//leuA//gspE//isrC//dinG//uvrB//yoeB//phnJ//aroF//nikR//fnr//ssb//torR//nlpA//ddpD//murP//arsR//ddpB//tdcB//guaB//ilvC//entF//frdD//adhE//
MprA_neg	uidA//rpiR//uxaA//ybhL//mzrA//hypF//
MqsA_neg	csgA//bglJ//nrfG//nemA//skp//glpF//insD//pdeH//
MraZ_neg	mdtD//ddlB//guaA//hflD//mlc//frdC//garP//hokD//hokE//fucK//hybE//mhpB//ykiA//btuB//ybbW//gadE//metN//
MtlR_neg	mdtD//prs//hycF//
MurR_neg	nrdH//sodB//gapA//
MurR_pos	cpxP//
Nac_neg	ydbD//dpiA//yfiB//gatY//nrfE//nrfE//glmS//nuoE//leuD//
Nac_pos	fliK//gatC//srlE//garR//cpxR//frdD//cynS//ddpB//glcD//malG//kbaY//allC//
NadR_neg	nimT//hycC//hyfD//nrfG//
NagC_neg	lolA//nuoA//aroP//rhaR//mdtC//malQ//hns//agaI//gspD//ddpB//pgaC//mazF//chbA//wecC//ttdB//nrfD//ynbA//aslB//emrB//rbsC//gspL//lsrG//fadM//ycdZ//gyrA//sucD//prpC//aroG//recB//osmC//napB//idnR//cysI//
NagC_pos	glyA//flgF//hycF//
NanR_neg	argP//murI//paaI//ydjM//emrA//obgE//bioB//dpiA//yegR//yedX//
NanR_pos	hipA//
NarL_neg	fdnI//gltD//rpoH//cydD//cueO//cadC//polB//gloA//nadA//gadX//marR//sbcC//arsR//znuB//leuA//galS//metC//nikA//metF//flgK//emrA//nanT//phnN//gadA//ariR//lpd//nadA//xylB//yegH//murG//torD//leuB//higB//flgM//fhuF//glpC//yqaE//mepH//fecI//osmC//mhpT//focA//nanS//paaY//gabP//fepD//nikA//melB//purB//ybhG//gabD//argG//fliL//ftsA//metY//rimK//puuR//flgA//alkB//csgC//ddpC//ynfG//molR_1//ybdN//recC//glmS//mhpA//ygdB//oppD//flhC//narH//nanM//cynS//decR//citC//murE//fucK//hycG//tpiA//speA//znuC//metF//idnO//ydeO//ybiT//pspF//ycjX//
NarL_pos	phnO//malT//rcsA//polB//nagB//ddpF//cysA//pdeR//araH//fliT//ompC//fepG//narH//cysN//crp//artI//murD//lldR//hydN//flgE//malT//hyaF//moeB//cydA//emrA//cyoB//puuE//nrfD//nadB//ddpD//rnlA//metE//agaV//araB//potF//dsbG//ftnB//tdcE//gltI//yeiL//hybB//recF//ugpA//
NarP_neg	ymjC//metY//hycF//fbaB//rutD//sufA//pdeL//napD//mlrA//evgS//ldtD//gcvA//rutA//pnuC//ydhW//infB//nikA//dnaA//murR//alaS//cspD//tfaQ//narL//yqaE//hycH//pflB//pgaC//malX//micF//fixC//narL//folA//dgkA//
NarP_pos	mhpA//melR//araE//pepA//ycjY//oppD//spy//sdhC//nagC//cecR//paaX//gspE//prpR//ascB//tdcF//ascF//cysD//ycjF//glnD//entD//dinJ//seqA//fepD//lsrA//cydC//lysA//rseC//agaA//kdpA//hycA//fepB//nagC//
NemR_neg	glmY//ygdB//nanC//
NhaR_pos	alkA//uxuA//nrdG//adhE//ppc//pgk//ydcV//
NikR_neg	fucA//rhaD//dmsD//fecA//ssuC//cyoE//
NimR_neg	nuoE//dcuD//
NorR_neg	nohA//
NorR_pos	fldB//uidA//
NrdR_neg	citD//lolA//glpD//agaW//glmY//metC//acrD//hlyE//ymiA//
NsrR_neg	entF//hybF//hycG//tadA//yiaK//rffC//recF//pgaD//symE//csgF//csrB//rseC//ybbY//gntU//rbsC//gadX//bglF//pdeH//slt//rnlA//gspM//ppdC//argT//alsC//flgL//idnR//yfiB//alsE//flgC//murQ//xylG//ompW//infC//higA//nrdD//rybA//paaE//yqjI//ymjC//hcaB//allS//argE//uxaC//glgA//casE//cysC//folE//hycH//ulaE//glnG//fadJ//malZ//prpD//nemR//inaA//uxaB//glpQ//gor//argA//motB//metB//ybjC//cusR//phoE//agaA//yhdX//tam//lon//glpD//ynjI//crl//yfbR//dsdC//osmY//nanC//torA//deoB//gspK//tsx//glpD//fdhF//relE//gabP//
NtrC_neg	epd//dhaK//fliC//malG//ulaC//tdcC//
NtrC_pos	sufC//nuoC//argG//allC//kdpF//rbfA//nanC//arsB//fecA//csgB//ynfE//fadI//fepC//ppdC//efeU_2//acrD//fumC//srlB//nikD//symE//safA//fadE//ybbW//grcA//rstB//phnN//hybF//ssrS//argA//nrdE//trpC//fucP//casE//purA//grcA//hyaB//spy//ydeM//creB//metY//chbR//manY//pspB//cysG//intQ//hdeB//agaW//hypE//ynfK//
OmpR_neg	patD//hyaF//cysW//mngR//potI//hokE//ynfG//oppD//eno//ykgM//ydbD//rseB//
OmpR_pos	dps//phnM//marB//artQ//mraZ//uxaA//sgrS//tfaQ//uspA//lldP//
OxyR_neg	artI//garP//aidB//speA//ulaB//htpG//rbsC//yiiS//pstA//artQ//eda//fecR//
OxyR_pos	glnH//fdhF//hemL//gntT//ydfX//gadY//hyi//ulaF//phoE//uidC//yjbF//bioC//glpX//dinB//nrfB//gatD//ppdC//appC//aspC//molR_1//exbD//nadB//
PaaX_neg	gspM//flgK//fucK//casA//deoC//aspC//yecR//gspJ//wzzE//ugpB//ykgM//gltK//lpd//caiF//
PdeL_pos	ompT//
PdhR_neg	ssuB//fhuE//gspI//nanK//tnaC//folA//gor//yfdX//htpG//agaI//glk//gltF//folA//glpX//malE//osmY//hypF//fliI//lacA//acrR//sbcC//tbpA//yebG//fecC//dsbG//emrB//casA//zraS//metJ//truB//leuC//fbaA//tehA//ulaD//metR//trpL//
PdhR_pos	galE//rhaR//entF//katE//znuC//
PepA_neg	rpoS//fnr//rpoD//
PgrR_neg	ydeM//atoA//feaR//guaB//znuA//glgP//narI//dicB//
PhoB_neg	accD//purN//chbC//appY//appB//pqiA//ydfX//codA//gudX//ydfH//murE//glcG//
PhoB_pos	mglA//ldtC//leuB//nuoA//feaB//dpiA//nrfE//lpxD//baeR//tonB//yafQ//feoC//ebgA//talA//nrdA//gadE//hypE//yhbE//fepC//murQ//nac//rffH//yhdW//fepG//fldA//ydeO//nfsB//ydcU//norR//marB//fepD//tolC//sbcD//sucA//glxK//ssuA//polB//rhaT//cpxR//galT//yqjH//nfsB//mqsR//rpiB//mltF//hyaD//uhpT//flhE//garK//dctA//nikA//hemH//ydeI//
PhoP_neg	lgoR//flhE//yidQ//fadI//aroP//omrB//fes//gspL//tyrA//lamB//argD//
PhoP_pos	betI//gadY//hcaC//hycG//ydfW//ydeN//caiT//ppc//osmC//yiaL//rfe//appC//fecA//treB//nimR//fadI//nirD//thiQ//bioA//sbmA//aldA//lsrF//patA//casC//phnP//phnE_1//tolC//emrK//uvrC//ydfN//betA//ynbB//nuoH//gatA//phnD//mdtC//csiD//nemA//glnB//cysH//exbB//nuoC//ybfN//dinF//ydcU//nrdE//ptsI//nohA//
PrpR_neg	gspM//
PrpR_pos	torR//phnJ//codB//mgtL//
PspF_neg	kdpA//
PspF_pos	hybB//nuoF//dtpA//fliA//gadY//xylG//
PurR_neg	malY//moaC//sra//yfiB//iraM//phr//ftsW//garK//pgaC//argT//tsr//nhaA//yebG//tyrR//znuA//feaB//flhB//ydhY//gspL//dhaR//appB//dgcN//lexA//sgrS//slyB//tcyP//rsmH//hcp//pspF//allB//potG//
PutA_neg	fhuA//yiaJ//
PuuR_neg	hycC//decR//hyfD//hypC//gabT//yeaG//pheM//
QseB_pos	gltK//gntT//chbB//ynbA//
RbsR_neg	malY//evgS//pyrD//lsrA//ydeO//phnN//glnD//ycjY//
RbsR_pos	ftsZ//
RcdA_neg	isrC//idnR//
RcdA_pos	ilvC//nuoA//fdnI//atoA//flgC//appC//fepB//
RclR_pos	mpl//yjjZ//nfuA//
RcnR_neg	fadH//hdeA//argH//
RcsAB_neg	ygbA//csgG//codB//gpmA//ydhT//infC//
RcsAB_pos	pnp//csrB//alsB//acnB//cusA//ariR//fpr//ubiC//mhpA//ynbD//
RcsB-BglJ_pos	yhdX//ompC//fhuC//paaY//gudD//melB//nikB//gcvB//ccmA//tsgA//flhD//sgrT//torR//mhpT//rimP//rtcA//
RcsB_neg	csgC//baeR//
RcsB_pos	putA//yjiY//flhB//fixC//dinQ//hycA//bioC//hypF//tbpA//feaB//fliR//nagA//fruK//ccmA//nfsB//napC//ftsQ//argH//katE//nirB//ftsZ//ruvB//lacY//
RelB-RelE_neg	narL//ddpB//yibQ//
RelB_neg	eno//ppdB//phnM//
RhaR_pos	gspO//ibaG//
RhaS_pos	yegR//lldR//casE//ygiC//yccJ//phnP//
Rob_neg	entA//
Rob_pos	leuO//chbC//betA//betA//melB//hcaB//sucA//phnE_1//kdpA//tehB//astE//gnd//isrC//flu//mazE//phnJ//ydiU//pgi//mnmG//paaI//ycgZ//citF//nimT//acrZ//nrdB//
RstA_neg	yfdE//fruK//rhaA//galK//fucR//
RstA_pos	oxc//fepA//puuA//phr//tyrR//
RtcR_pos	lpxA//hemL//
RutR_neg	oxyR//efeU_1//gabT//ptsH//umpH//glnL//pheM//ycjF//yafP//rimK//mdtE//cheA//purD//garL//fliT//
RutR_pos	fucP//rprA//
SdiA_neg	phr//thrS//tauA//
SdiA_pos	hyfI//pgm//ccmA//
SgrR_neg	pitB//ynbC//nagE//fhuA//acnA//
SgrR_pos	wrbA//mdtA//glgB//entD//
SlyA_pos	torR//
SoxR_neg	moaC//
SoxR_pos	alsA//cheW//
SoxS_neg	marA//appB//
SoxS_pos	hcp//lpxA//rnpB//dgcZ//crr//ompW//fecR//slyB//uxuB//thiP//moaB//bdcA//phnO//lpxC//fumB//mioC//setA//argE//uxaA//napB//amtB//pheS//ydfH//appY//cyoA//purR//frdD//rprA//malQ//cas1//metL//bglG//argC//caiF//caiT//glmY//creB//sdhD//
StpA_neg	yhdX//appY//yoaG//patD//cueO//hypC//nadB//
SutR_neg	phnM//gabP//agaR//puuB//mntS//
SutR_pos	marB//
TdcA_pos	ybiT//ycjX//mltF//ykgM//cysD//lpxD//tdcE//
TdcR_pos	csgG//cyoE//kdpF//ppc//ecpR//rseC//relA//
TorR_neg	infB//dcuA//yafO//
TorR_pos	mntS//isrC//dnaG//rybA//ilvY//yegZ//glcA//hdeB//pstA//
TreR_neg	xylH//ugpC//
TrpR_neg	nadB//cbl//trpA//narI//lysA//hypD//sgrR//evgS//hybF//rpoH//yhdX//recC//
TyrR_neg	emrB//mdtC//trpR//fadD//agaW//yrbL//dcuB//kbaY//gspJ//melR//
TyrR_pos	lsrD//norW//nhaA//
UhpA_pos	cysK//
UidR_neg	fimB//hypC//yfiR//flhC//
UlaR_neg	cysB//fabD//hokD//fhuF//agaV//mioC//rdoA//
UvrY_pos	glmS//agaA//nadA//pagP//hdeD//
UxuR_neg	yfiB//uvrA//iraP//aroG//hypD//tnaC//dctR//oppD//katE//
XapR_pos	hybE//mdh//
XylR_neg	gabP//
XylR_pos	napG//ascB//hyfG//rnlA//fldA//glnG//
YdeO_neg	araG//treR//
YdeO_pos	ccmH//marR//ybjN//ygiA//ydfW//cysU//wecB//dcuD//nrdI//nanE//cysM//pdeR//mazF//glmU//glpK//fadR//ugpE//cydB//fepC//
YedW_neg	fhuE//xylR//cytR//ppdB//narH//
YedW_pos	qseB//ftsA//sucA//narH//murC//xylH//fhuB//
YefM-YoeB_neg	citC//prpE//
YefM_neg	hokE//dmsA//
YehT_pos	leuD//
YeiL_pos	mtlA//
YiaJ_neg	gcvT//gatC//rimK//flgN//lldD//arsR//puuR//nrdG//mnmG//metJ//
YjjQ_neg	ebgC//mdtF//bioC//lpxD//marR//yeaE//recC//araJ//moaA//tauB//
YpdB_pos	mhpT//
YqhC_pos	metL//cdd//
YqjI_neg	ygbA//norW//
ZntR_pos	torD//
ZraR_pos	rseB//casA//pgaD//
Zur_neg	chiP//hypD//dinG//argP//potF//flgM//
