#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	gatC//umpH//
CusR_pos	atoE//flu//frc//potF//mprA//feoA//marB//nanA//tdcF//dcuR//yeiB//cysN//
CynR_neg	nanM//
CynR_pos	astA//yhdY//ribA//
CysB_neg	acrD//ygiB//puuC//rcsA//copA//hipB//phoH//
CysB_pos	entE//ubiC//yebG//acrD//sufE//yjhB//prpD//chbC//mlc//puuB//borD//lexA//pgm//agaW//omrA//acrR//sufD//nikE//paaJ//recF//ftnA//araH//gadB//mdtA//nrfA//
CytR_neg	trpL//rhaT//srlA//hemL//tdcG//argO//omrA//potF//melR//mscM//sdhD//hyfC//rnlA//
Dan_pos	glmS//ecpR//nimT//xylB//
DcuR_pos	phr//treB//ybbW//carB//alaS//galT//gor//copA//ygbA//
DeoR_neg	chbA//mngB//caiD//mhpD//puuR//dps//
DhaR_neg	gor//
DhaR_pos	dgcN//rnlB//wcaB//
DicA_neg	fecC//adhE//lsrC//moaD//hisJ//ygiC//nfuA//cynX//
DinJ-YafQ_neg	ydeO//pstC//citG//
DnaA_neg	nfuA//nrfB//lysA//glcB//speA//rhaT//fliZ//ykiA//dmsD//ebgC//ydhW//
DnaA_pos	aceF//lon//agaC//ung//fur//cydA//glnH//
DpiA_neg	paaY//
DpiA_pos	icd//citX//yedX//metY//rbsR//napA//ydhV//lsrG//nagE//fliO//
DsdC_neg	fucU//
DsdC_pos	fadA//gutQ//
EbgR_neg	aspC//rhaS//
EnvR_neg	fecC//exbD//
EnvY_pos	asnC//ymjD//
EvgA_pos	gatZ//manZ//cysB//rpiR//dcuB//flgJ//modA//thiP//potF//trpB//trxC//hycB//waaH//gutQ//glnK//narG//lldD//glgP//ilvC//
ExuR_neg	copA//ygiC//putP//mdtD//mhpB//dsdA//tnaB//sucD//rclC//
FabR_neg	dapB//uvrB//
FadR_neg	rseA//nemA//sodB//glpQ//cpxA//gcvT//mtlA//sdhC//pspE//caiA//pstB//
FadR_pos	fadB//dmsC//yhjX//dinG//hyfG//nfsB//poxB//dinF//carB//moeB//cpxQ//phnN//
FeaR_pos	zraS//gcvH//
FhlA_pos	ssrS//entB//araC//fepA//kdpA//paaZ//alsC//pheM//ybjC//ybhS//agaS//nemA//tyrA//gntK//hybF//cyoD//uvrC//wecB//cyoC//dicB//yoaG//bacA//norR//ygeH//oppA//yeiL//pyrC//phoB//ygbK//fecD//
FlhDC_neg	hyaB//glgA//pspF//copA//
FlhDC_pos	ubiX//hyfI//pdeR//metN//ilvY//yqjI//fruB//yjbF//murC//astC//gspK//cysP//marR//gspJ//cdd//fliR//oxc//phoB//lpxC//rpoH//lldD//tauA//flgN//mzrA//ygeA//ugpA//agaA//phnH//allD//allE//ynfH//mglA//ftsQ//uvrY//uhpT//ppc//ribA//fbaB//argD//mdtB//nimR//ybjC//gltB//ppsA//paaH//isrC//dkgA//nuoI//hisP//hha//pgpC//potF//melB//ptsI//fepB//ppsA//yfdV//hycC//entS//metA//gspF//dhaL//manX//rutF//relA//atoB//nanE//fecE//pflB//hokE//moaC//acnB//metH//seqA//fadM//mntH//metB//srlA//
FliZ_neg	moaB//bglJ//hybA//ydcU//cadA//sgrS//pck//nanA//hybC//bglB//accB//yafQ//cdd//fabB//paaK//yagK//mpaA//hybO//tauD//hybF//rutR//
FucR_pos	yqaE//glgC//malF//nfo//xylA//ulaE//recC//
Fur_neg	cusR//hyfA//fabI//katE//ydbD//aspA//oxyR//aceB//araG//ttdA//ydhX//relB//paaG//fhlA//srlD//hybC//uidB//fliM//flgB//hybO//cysE//nuoJ//ydhY//ahpC//ftsQ//fliQ//hdeA//pykF//rarA//paaX//yeaE//ydcS//gspJ//yqhG//tktB//flhA//gcvA//yiaJ//ybbY//fecR//phoQ//norW//cyoE//araA//ygiB//argG//nuoL//bacA//tcyP//dinI//fucK//nimR//mglA//tdcC//tauC//caiD//alsC//frdD//ndh//ddpD//malT//mhpD//purA//ftsI//sucB//aroM//yhdW//deoD//csiD//lldD//accD//yhbE//gspC//adiC//rybB//infB//aceF//sgrR//hyfD//phnM//trpE//uxuR//mgrR//alsC//nikR//yciE//ddpF//argO//ulaB//gltI//betT//leuO//paaD//chbF//lsrA//yoaG//murD//fucA//gutM//glnG//hyi//nuoM//allC//flhC//pspC//gadC//sucD//agaW//fixX//folA//flgB//fucU//dsrA//rsmH//glgC//
Fur_pos	ptsI//purM//fdhF//cirA//ecpR//emrY//fliQ//narH//yiaK//asnA//cysM//trpA//fixB//ybjG//cueO//fabB//nimT//cysC//katG//lhgO//kbp//
GadE-RcsB_pos	napF//dcuD//hybA//mtr//bglJ//oppA//decR//yfdX//ogt//
GadE_pos	agaW//glnA//ynbC//fixX//treC//metE//mlc//trpD//cysN//fhuD//hisQ//rpsO//pspD//potI//slyB//iscA//cydD//pnuC//tsx//csgG//uidC//sgbH//ybdZ//fumB//cdd//cpxQ//tisB//cyoC//ydfH//
GadW_neg	bglJ//pqiA//spy//gpmA//fliF//edd//aceK//nfsB//fecR//yciW//aroL//
GadW_pos	sroC//prpR//cysP//mdtE//glnA//pfkA//gatZ//glnG//lysO//hybG//sutR//
GadX_neg	rbsC//uvrY//rpmI//fliN//csrB//tauD//
GadX_pos	hcaE//trpL//iraP//ygbA//iclR//csrB//dctR//entB//aceA//ymgC//mgrB//fepG//dnaA//phoU//recN//flgG//argP//glgP//fliQ//malI//murC//dinJ//fpr//hyfJ//tyrR//fdnH//glnL//
GalR_neg	rhaS//mazE//fepE//agaR//nuoE//sgbE//gntX//ybfE//gltD//purE//
GalR_pos	idnT//oxyR//lsrA//gadW//
GalS_neg	hydN//accA//gltB//hyaD//phr//mntS//fumC//osmB//phnE_1//hybB//
GalS_pos	gadA//iscA//napC//pheM//
GatR_neg	yebE//fliL//yafP//rpsO//crp//nuoC//
GcvA_neg	metH//ydfN//cydC//manX//
GcvA_pos	melB//puuC//mtlD//argO//
GlcC_neg	trxC//
GlcC_pos	arsC//hdeB//pheS//ynbD//ilvC//hslJ//
GlpR_neg	mazG//feaR//rstB//yjhB//purR//cpxQ//osmY//ybhR//guaB//
GlrR_pos	katE//qseC//zwf//glcD//hyaC//
GntR_neg	phnN//purN//sgrR//glpC//hipA//argO//rsmH//hisM//fepD//cas2//ddlB//srlR//
GutM_pos	phr//ybhG//argD//trxC//fhlA//fabD//napH//
GutR_neg	moaC//fhuC//sdhB//sdhA//aroL//cheW//sufB//
HU_neg	fdnH//dinI//uidR//accD//tsgA//mnmG//cho//rutE//
HU_pos	cydC//
HcaR_neg	ppiA//
HcaR_pos	yoaG//prpE//tynA//phoH//glk//
HdfR_neg	uidR//fabG//
HdfR_pos	yiaN//ryhB//flgE//
HigA_neg	add//fiu//
HigB-HigA_neg	wza//pck//
HipAB_neg	csgA//ynfG//oxc//sufE//gudD//
HipB_neg	iscU//metN//aroG//gpmM//tonB//dinD//
HyfR_pos	cusA//sgbU//chbA//ynbA//nupC//hcaE//appA//glcF//hokE//pgaB//hyfF//yhbT//
HypT_neg	nohA//ecnB//allD//yhjX//tnaA//
HypT_pos	wecB//cas1//ydhX//fucA//sodB//mngB//ampC//gcvP//
IclR_neg	narX//dctR//crr//gcvT//
IdnR_neg	caiT//yoaG//
IdnR_pos	phoA//agaS//galP//ygdB//oppA//
IlvY_neg	hyfI//
IlvY_pos	bioD//
IscR_neg	mazE//pspC//accA//yaiW//rpsU//atoA//ydhV//malT//hyfG//gatA//slp//fecC//ftsI//tpiA//hipA//glpT//psiF//yibQ//umuC//sbcC//gspK//
IscR_pos	caiC//flgC//rimK//paaC//asnA//fhuA//amtB//phnG//puuD//acrB//gspK//
KdgR_neg	entC//rutB//
KdpE_pos	lysC//rclB//tonB//metQ//
LacI_neg	fadB//tehA//rffT//
LeuO_neg	cusR//yqjA//ycdZ//
LeuO_pos	cysG//dcuA//chbF//rsmH//ycgR//pck//sdhA//casA//phnN//pgpC//mnmG//ynfH//metB//uidB//rpoS//cusA//waaH//wcaA//
LexA_neg	inaA//thiP//nikC//yafN//waaY//lpd//dhaM//paaA//fliD//yjbH//yoaC//fadE//ynbB//hypA//ydhV//iraM//pgpC//tdcG//araH//dmsC//nikD//rnlA//gudD//deoA//ygbK//yciX//ynbB//rbsB//lysR//mhpT//ybdN//dcuD//yjiY//gatB//dinF//gspO//rpiB//sdhD//metQ//lpxC//fucK//fecR//fadH//ahpC//iscA//gspE//bolA//yegH//hisP//rffC//malS//xylB//folA//yaiW//carB//dgcZ//wzc//mgrR//cynX//
LldR_neg	artJ//lsrR//mhpC//
LldR_pos	uspE//flhA//uidC//
LrhA_neg	artM//yiaK//
LrhA_pos	araJ//pheT//
LsrR_neg	flhB//uspD//aceF//yafP//fpr//cpxA//rhaR//hyfB//phoE//
LysR_neg	ybhG//
LysR_pos	paaJ//
MalI_neg	ruvB//nanE//fdnG//
MalT_pos	yhdY//torD//cyoE//yiaO//hemL//cysU//thrS//paaI//ccmH//dinB//
MarA_neg	rimP//hybB//dps//narH//hemL//yjjZ//nikR//
MarA_pos	hybA//phoB//glnG//mgtA//ydhU//cysH//idnK//artM//mtr//mgrR//rseC//btuB//yhdW//nfuA//gadX//lysO//yhjX//ybjN//kdpC//agaB//aceA//pepD//envC//xapA//fecE//rbsA//gspH//glpD//ybfN//dpiB//arsR//
MarR_neg	mglB//gadF//fumB//
MatA_neg	gspM//napB//bolA//malQ//tyrP//carB//
MatA_pos	pfkA//chbB//
MazE-MazF_neg	nrfG//yhhY//yjbH//
MazE_neg	treR//waaH//prs//
McbR_neg	napD//
McbR_pos	gfcA//ibaG//csgE//
MelR_neg	betA//bglF//hyaE//
MelR_pos	rbsA//dinF//exbB//
MetJ_neg	ssb//nikR//cusS//ompW//yhdX//lsrG//puuA//srlR//agaB//ecpA//cheA//atoD//tonB//glpK//malI//
MetR_neg	sufS//fdnG//
MetR_pos	gutQ//alsE//mazF//fecI//
MhpR_pos	ydbK//malQ//lysC//acrD//dgcC//yoeB//
Mlc_neg	cynX//ynfK//tdcA//bluF//hybG//ompT//fepD//flgK//frdA//rffG//
MlrA_pos	leuA//lamB//codA//yqaE//ssuB//isrC//ecnB//yeaD//prpR//dcuA//
MngR_neg	pyrC//astA//hybE//
MntR_neg	sgbU//amtB//astB//nmpC//
MntR_pos	glxR//
ModE_neg	uvrB//rstB//paaG//pqiA//puuP//ymiA//ftnB//fucP//cydB//mazF//tauD//ygbA//cusF//ydfN//rclA//
ModE_pos	yeiB//lysC//tauA//csgD//lpd//nanE//phoE//fadB//yagK//ybhR//hyfF//yedX//nuoF//flu//nuoF//lsrG//ribA//fhuD//ccmE//ynfG//yfdE//flgI//hycG//yqjH//fimE//hyfD//lysP//eda//oppC//mgtA//purA//
MprA_neg	cysJ//focA//stpA//fhlA//recD//fecA//
MqsA_neg	tnaB//flgK//alkA//gadW//nrfA//mhpF//yjbH//tauA//
MraZ_neg	yeaR//psiE//gntX//ebgC//paaB//tehA//cheW//gspE//sufA//nanS//mdtB//bioB//ynfH//pspB//fliI//sutR//dsbG//
MtlR_neg	flgH//pepD//csgF//
MurR_neg	dhaM//paaK//mngB//
MurR_pos	fruB//
Nac_neg	ydiV//yhjX//evgA//pgaB//sroA//emrY//ttdT//mdtF//ddpB//
Nac_pos	fadD//alsC//carA//agaI//mnmG//yjbG//hyfC//lldR//mgrR//malP//bacA//sbmA//
NadR_neg	nagE//dmsA//ymgA//yeaE//
NagC_neg	ybhL//hyaE//ygiZ//ulaE//dsdA//oppF//fhuF//metE//mhpD//sdhC//nfsA//fliO//uxuB//hisJ//mscM//ecnB//rutD//sdhB//fepE//yagK//crp//codA//yccT//bhsA//glk//gutQ//pflB//mpaA//phnO//pqiB//modC//fdnI//tonB//
NagC_pos	dsbC//acrZ//speB//
NanR_neg	fliC//gspD//yefM//fecB//glyA//nirB//glpK//ydiU//hha//fecR//
NanR_pos	uidB//
NarL_neg	phnP//ddpD//ykgO//mdtC//nuoN//mdtE//ldtB//cytR//ybdZ//paaG//gcl//appC//ycjX//nirD//ulaF//paaH//gspM//glnA//ynfE//pdeH//cyoA//fimE//exbB//galM//ycjX//aspC//mdh//torA//fliO//phoU//mcbA//gltF//agaB//ulaC//epd//tyrB//frdA//psd//ynjI//bglB//glgA//carA//yidL//feaR//dinB//sra//glcC//leuL//yiaK//garR//hmp//nupG//yccJ//galK//appA//ryhB//yiaJ//ydcV//leuO//glnH//manY//fimB//adiC//nohA//ybhS//feoA//nirD//argB//xylR//fliE//galS//mdtC//ycjG//nanK//araG//sucB//sufS//mtlA//fixB//phnO//prpR//galS//fixX//ygeA//zraP//xylB//rseC//
NarL_pos	moeB//emrA//puuB//uhpT//chiP//sra//tisB//tdcD//nanK//hcr//narX//aroH//gudD//asnC//ybaT//ssb//yncE//envC//yeiB//hcr//alsC//hdeA//narJ//ddpC//uspD//lpxC//chbA//uxuA//ppsA//fliG//potG//gadY//evgS//arsC//hybB//yncE//pdhR//wza//folE//oppF//hypB//ssb//tnaA//
NarP_neg	rsmH//tyrP//gcvB//cdaR//gltF//gloA//creD//znuA//araF//cyoE//higB//ssuE//argA//omrB//mraY//nfsB//aroG//cra//hybC//yibQ//caiD//nuoL//glpK//bioA//cadA//dctA//fhuD//recD//wecC//malK//mraY//deoB//cysK//
NarP_pos	oxyR//gspG//phnO//ydfX//feoB//mazG//bglF//wzyE//yidQ//gspM//marA//wzb//uspA//sroD//dmsB//garP//wrbA//yrbL//lldP//ygaC//accC//xylR//phnC//gspI//glgP//crp//ycgR//rybA//nanS//csrC//cspI//yccA//
NemR_neg	slyB//lolA//rnlB//
NhaR_pos	fdnI//kdpF//rffT//psd//nrdH//flgJ//moaD//
NikR_neg	mntS//fucR//ynfK//mglC//puuB//pgaC//
NimR_neg	crp//yfbR//
NorR_neg	caiC//
NorR_pos	relB//hcp//
NrdR_neg	nrfA//rffT//oppD//gpmA//gspJ//lrp//nagC//ybdN//cysB//
NsrR_neg	metR//gspM//flgG//wzc//hlyE//fliC//ddlB//lsrC//metB//cheW//ompF//ygiZ//fimE//gltK//rutB//ynbA//murC//sodB//gspK//fliM//glpC//acnA//codA//caiA//hyaC//gspI//entH//ydfH//araE//nikR//hemH//cvpA//sufE//ykgO//hdeD//purN//codB//ygiC//rpoS//rpsU//katG//gltB//cusF//tdcB//melA//alkB//feaB//bioF//tauB//fecA//pspD//sufA//nadA//prpR//rstB//gadC//alsB//rutA//fdnH//ftsW//phoP//talA//dinD//ugpA//rpsU//ynjI//fixB//ampC//bglG//cas1//soxR//asnB//argC//lsrA//rutC//ynfE//bioA//gudX//chbF//dhaL//argR//metR//pnp//
NtrC_neg	rutF//ilvC//fepA//iscU//dacC//aceA//
NtrC_pos	artI//rffG//recN//cra//hycF//yeiB//ptsI//nemR//gltL//gcl//dcuD//ydiV//rhaB//yciX//fepD//rpiB//nrdH//uvrA//murR//astD//hycH//paaD//nuoE//thrS//metQ//nirC//astE//lon//ulaA//uspE//argF//nuoK//rutD//cusR//ugpB//yfiR//hns//ompN//fabI//puuP//bhsA//mdtE//isrC//puuA//icd//ydbK//phnE_1//yhjX//prpE//
OmpR_neg	tauA//phoB//melB//fecD//yqjI//yneM//yfaE//hmp//ygaC//alkA//arsC//aroM//
OmpR_pos	fadI//tktB//cysH//gcvT//pdhR//nadA//glk//uspD//narX//phoA//
OxyR_neg	fbaA//dinF//glpC//yciW//appB//nrfF//nohA//hokD//infB//paaJ//fhuD//gcvP//
OxyR_pos	dkgA//cas2//cra//ydbK//melR//yeiL//dinB//cho//rbfA//ryhB//fliC//tyrP//glyA//mhpB//yhdX//obgE//cusS//flgA//glpF//argI//rhaB//sdhA//
PaaX_neg	phnE_2//yiaN//hokE//uidC//rutA//sgbU//aroF//bglJ//mgrR//fhuA//hipB//puuB//allD//grxD//
PdeL_pos	caiF//
PdhR_neg	cysB//ulaE//aceK//fhlA//ldtD//prpB//adiA//rpsO//dinG//yebE//ymiA//glnB//cyoB//ttdA//mazF//osmY//ruvB//glcE//sufE//astE//ynfH//flgB//luxS//dsbA//zwf//waaZ//ykiA//cyoD//ulaG//ygbA//creA//prpR//fliJ//dhaM//zinT//yedX//
PdhR_pos	baeS//ynbC//rutC//nanC//uidB//
PepA_neg	nanS//hyaF//patA//
PgrR_neg	glcB//sfsB//galK//hypB//hcaB//citE//sufE//caiC//
PhoB_neg	dgkA//tisB//fepD//yiiS//casD//leuD//mioC//galE//allB//wzyE//fadR//cysI//
PhoB_pos	yhiD//tauC//nusA//cyaR//ecpR//emrA//hypF//agaI//ulaE//ybbW//fliP//flgB//decR//sucC//trpD//yjjQ//gcvA//metQ//atoB//fliT//cydC//hycF//torD//glcC//gudX//nrfF//ydcS//gudX//bamE//mioC//phoA//fliH//grxA//crl//lysC//fldA//ulaE//tehB//phoA//dmsC//gadW//ybhG//glgA//osmY//zwf//trpL//cydC//pepD//nuoG//baeS//slp//bglJ//caiF//
PhoP_neg	nmpC//chiP//fadJ//kdpC//mlrA//atoE//pspD//astB//talA//xylA//fnr//
PhoP_pos	gatZ//gabT//fliT//gudP//metB//hcaD//ydeO//ptsI//hdeB//uxaC//cysI//nikR//galE//tehA//kdpA//mnmG//mepH//agaV//manY//yciF//yidL//pck//metB//yciG//entE//murD//glcD//hyaE//agaD//marA//umuD//metI//yrbL//fepG//entH//aroH//sra//entS//nikR//nuoC//glnQ//pgk//serA//csrC//rstA//nadB//fhuD//phnO//
PrpR_neg	borD//
PrpR_pos	mntS//poxB//idnD//pspF//
PspF_neg	gspD//
PspF_pos	mdh//fdnH//ttdA//entC//hybO//ymgA//
PurR_neg	accB//ycjY//sgbE//yafP//pspE//chbB//metI//yjjZ//gcvP//ybiT//hycF//dsdC//glpA//pstB//rbsB//ccmC//astE//glcA//srlE//chbG//yeiB//argP//nupC//yjhB//torR//hypB//mazG//rutG//dgcC//fhuA//pgaC//
PutA_neg	rbsA//waaH//
PuuR_neg	ydiV//ybaT//eno//hisP//nuoJ//psiE//narG//
QseB_pos	nohA//hyfD//fabA//paaJ//
RbsR_neg	tehA//ychF//frc//guaB//paaH//napF//fadM//hypA//
RbsR_pos	ribA//
RcdA_neg	zraP//puuD//
RcdA_pos	paaY//flgE//cusS//ccmA//grcA//metC//hycB//
RclR_pos	norR//metI//flgH//
RcnR_neg	csgA//pyrC//ydfX//
RcsAB_neg	ddpF//aroM//ftsA//yoaG//glk//uxaA//
RcsAB_pos	yhdY//wcaA//murR//metC//rhaS//deoC//glcE//umpH//flhA//exuT//
RcsB-BglJ_pos	treB//csgB//puuC//ppdA//sufD//frdC//gspC//murR//ynbC//pqiB//ppiD//kbp//fepC//rutF//fucP//fucA//
RcsB_neg	yfdX//fecI//
RcsB_pos	csgG//citD//cas2//glgX//ugpQ//wecC//agaD//kbaZ//yhbE//chiP//ugpE//ftsW//mdtB//rutD//phnE_2//dhaM//gspE//potH//ydfN//mdtF//ychF//sufC//fadR//
RelB-RelE_neg	fbaB//rhaB//ugpB//
RelB_neg	mgrR//alsC//cvpA//
RhaR_pos	aroL//iscA//
RhaS_pos	wrbA//fhuC//obgE//ymgC//zraS//higA//
Rob_neg	hyfG//
Rob_pos	ydeN//dhaR//umuC//pyrC//rtcA//dinG//yhdX//hycH//glmS//mdtE//wecB//ihfA//fepC//cysK//ddpX//pstC//yiiS//degP//ung//mdtF//fucI//rutC//gltL//fabB//astA//
RstA_neg	feoB//ccmD//trpE//xylB//hyaB//
RstA_pos	hcaR//truB//rutE//mioC//isrC//
RtcR_pos	gatA//uof//
RutR_neg	ldtC//hyi//bglJ//malY//purN//xapB//trpA//ydfW//arsR//sdhA//slp//argP//fucK//murI//pstA//
RutR_pos	rpsO//mglA//
SdiA_neg	cysJ//hcaD//nrfE//
SdiA_pos	hyfA//ppiD//aslB//
SgrR_neg	oppA//dmsA//cusS//dinF//lsrA//
SgrR_pos	uspA//iscA//atoE//nagE//
SlyA_pos	leuL//
SoxR_neg	hyfB//
SoxR_pos	ydhY//ndh//
SoxS_neg	psiE//iclR//
SoxS_pos	ynfH//ymjD//cysN//nrfB//hycH//cynX//stpA//galT//hcaF//crp//narK//modA//ecpR//allD//glpD//glnP//bdcA//rffM//yiaK//ybhR//hypD//ddpX//recF//sgrS//pepD//sdhA//ihfA//gudP//pspF//gspH//nrdI//nuoC//fixX//ybhF//zntA//glpF//dsbC//ilvY//
StpA_neg	cheW//yeaR//lpxC//ahpF//frdC//sbmA//ydiU//
SutR_neg	aroP//ppdB//malE//yhdW//glnP//
SutR_pos	phoR//
TdcA_pos	rseC//hemH//glcE//wecB//cysK//glk//ecpR//
TdcR_pos	eda//higB//ascF//gadW//lamB//hisP//malI//
TorR_neg	mazF//btuB//uvrC//
TorR_pos	yeaD//lyxK//hyfA//nikA//yhbS//aidB//ftsQ//metL//hybF//
TreR_neg	mpaA//fhuA//
TrpR_neg	yecR//garL//pgi//recX//rhaT//ung//purM//argO//argT//treB//srlB//mtlA//
TyrR_neg	fhlA//aceK//fliN//hcaF//lsrG//cheA//fucP//agaW//uxaC//pspD//
TyrR_pos	norV//ynfE//yhbE//
UhpA_pos	yjbH//
UidR_neg	gatD//srlE//ygbK//rseA//
UlaR_neg	garR//paaC//ssuA//pykF//dcuR//metN//ycgZ//
UvrY_pos	hypF//ssuD//csrB//lpxA//accD//
UxuR_neg	narI//ydcS//dmsC//fliE//yecT//hcp//narL//flgC//xylF//
XapR_pos	flgJ//asr//
XylR_neg	entC//
XylR_pos	ompC//sfsB//rplT//argO//ibaG//hflD//
YdeO_neg	rcnA//ycjG//
YdeO_pos	leuD//umpH//ydhX//glpB//mhpE//nikB//csgB//purM//sbcC//safA//murI//hmp//ptsI//cadC//pstA//hybG//nrfG//rffG//recB//
YedW_neg	ssuA//borD//paaF//agaD//entH//
YedW_pos	chbC//mgrR//lamB//caiA//iscR//qseC//mltF//
YefM-YoeB_neg	ftnB//oxyS//
YefM_neg	cbl//fhlA//
YehT_pos	fhlA//
YeiL_pos	hmp//
YiaJ_neg	fliC//ttdT//wzc//lamB//murR//lrp//nhaR//rffM//citF//potG//
YjjQ_neg	norV//phoE//nuoC//gntP//cysN//dmsC//hypD//fecR//borD//gspD//
YpdB_pos	glgX//
YqhC_pos	sgbH//glpQ//
YqjI_neg	ybjN//trpB//
ZntR_pos	metA//
ZraR_pos	bhsA//murF//slp//
Zur_neg	galM//yidQ//yciW//yhdW//bioB//nanT//
