#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	wecC//hybD//
Cra_pos	emrY//ydcU//nemR//hyaC//nrdE//marB//acnA//pspC//copA//decR//narH//baeS//ulaF//ynfG//lsrG//glcE//fabZ//xylH//nemA//glnK//murQ//dsrA//fliI//
CreB_neg	bolA//hydN//sulA//
CreB_pos	lacZ//fliL//
CsgD_neg	araF//gspK//purC//cysM//purK//fhuB//sufA//gltK//xapA//carA//focB//fadL//hybA//ulaC//glpB//
CsgD_pos	dsbA//ccmH//cytR//nlpA//idnD//purN//yedX//lexA//gfcA//ibaG//lolA//alkA//melB//
CsiR_neg	fadI//cspE//waaH//rutG//ttdR//
CspA_pos	gor//dhaK//
CueR_neg	bioF//tcyP//hydN//rhaT//recA//
CueR_pos	gdhA//dps//
CusR_pos	ygiZ//ydhU//sdhA//glcB//metJ//hisM//nagC//yeaR//ydeI//fbaB//lysR//yhjX//
CynR_neg	lgoR//
CynR_pos	fabZ//fliQ//ptsH//
CysB_neg	lsrG//citG//lsrB//fecE//chbC//yedX//paaC//
CysB_pos	uxaA//malG//iscS//leuA//glxR//cynT//yeiL//gltI//gatD//rbsC//yidL//ydiU//phnM//hcaD//wza//yedX//cbl//napC//yhbT//murC//kdpA//nuoK//glgX//phoH//cysM//
CytR_neg	sdhC//ulaB//leuA//fliR//accA//creA//hipA//agaV//guaB//ompC//entB//aslB//nfo//
Dan_pos	yciW//fliD//aroF//hcp//
DcuR_pos	gspO//purC//asnA//ompT//phr//pstS//oxyR//nrdG//leuL//
DeoR_neg	qseC//fliO//ttdT//gutQ//yhdY//napG//
DhaR_neg	lsrG//
DhaR_pos	napH//prpD//insD//
DicA_neg	metB//artM//putP//dsdX//yhiM//ybaT//csgG//gatB//
DinJ-YafQ_neg	casE//flhE//infB//
DnaA_neg	hycC//nrfG//yecR//ebgC//hycG//motA//cynS//idnD//nadA//frdB//sodB//
DnaA_pos	srlD//dhaR//caiA//fliI//manZ//uxuB//nuoM//
DpiA_neg	hybC//
DpiA_pos	cpxQ//hypD//ilvY//sufB//yeaR//tsx//glpD//pyrD//yccT//hybE//
DsdC_neg	lysO//
DsdC_pos	glxR//pstS//
EbgR_neg	tfaQ//ugpC//
EnvR_neg	ascF//glcA//
EnvY_pos	xylH//rclA//
EvgA_pos	hcr//ygeH//ddpX//wecC//purR//nuoE//fur//nanM//emrA//argD//gltF//yhdZ//trxC//mzrA//agaC//cspE//caiA//symE//murI//
ExuR_neg	modC//lexA//csgG//cadA//tcyP//kbaY//nanS//nagA//rstB//
FabR_neg	cusR//lldP//
FadR_neg	yhiD//kbaZ//mtlA//murP//nanS//htpG//ydcT//dctA//nrfC//ddpD//tdcB//
FadR_pos	ymjC//rutB//ygiZ//icd//oppD//narL//galR//nrdI//flgI//casE//appB//pykF//
FeaR_pos	fau//alsB//
FhlA_pos	pqiB//gntT//fucK//ygiC//allA//citX//dmsD//nikB//uxuA//yfiB//mtlA//agaS//creD//ccmE//yiaJ//tsgA//flgD//crp//cheA//cra//malM//zraR//mhpB//fecB//gabP//ariR//fucI//alsA//ychF//yiiS//
FlhDC_neg	mioC//trpC//nrfF//hybA//
FlhDC_pos	wzc//gutM//gabP//tauB//casA//fabG//phoP//ung//gcl//gatD//fepB//glpF//symE//dsbC//ymgC//puuB//cydC//sroC//hyaC//ydhY//malG//araF//wrbA//yjhC//cysE//bacA//fldA//rbsR//nuoK//phnE_1//moaB//ygiC//yhhY//feaR//xylF//rob//puuR//phnN//phoQ//agaV//fruB//entE//yhcH//yedX//hycG//ybbW//trpC//argP//fliN//hyi//citG//mtr//qseB//ptrA//higA//fadR//metQ//accA//paaX//lsrA//yhiM//flgA//cynX//phnE_1//frdD//pheM//ddpD//fhuE//nac//hyfR//phnE_1//citX//mdtF//pflB//leuD//flhD//sufA//cysD//
FliZ_neg	paaE//nrfG//fliT//sulA//hybG//iraM//gatA//gltD//erpA//acnA//epd//guaA//astD//glpF//lacZ//yhjA//kbaZ//dinI//lacA//fecC//fecI//
FucR_pos	gpmM//lexA//lysR//nanS//dnaA//gatD//sufB//
Fur_neg	hyaE//yhjX//crp//hybE//fliK//ppiD//oppC//ilvY//ugpQ//nuoL//oxc//recC//ycgZ//puuR//frc//yjbH//dpiA//narG//cyaR//mdh//focB//entH//yibQ//fdnI//cecR//paaY//dsbA//rutC//mdtF//acnA//ugpB//astE//chbF//pspA//ytfE//rbsC//srlA//ryhB//caiD//purD//nrdI//hyfC//araF//hybG//glnB//ppdA//casE//paaJ//glmS//osmC//tdcG//yjbG//yjjQ//nikC//moaC//moeB//fadJ//nuoJ//ycjF//evgA//fbaA//paaI//ulaF//rimK//iscA//dgcC//cynR//agaS//rbsB//entD//dpiA//bioA//nimT//uxaB//osmC//bacA//recX//waaH//umpH//caiC//lacA//nimT//tsr//hycH//bioF//hyaF//ariR//phnP//tadA//pspG//prs//ugpE//ybiT//dsrA//yebG//dtpA//xapA//cadB//yoaG//ecnB//lsrC//glpD//alsA//asnC//arsR//phnC//fliH//agaC//umpH//ptsG//hybA//frdC//nirD//sucA//yegH//
Fur_pos	ynfH//frdD//cheA//mazE//alkA//truB//allS//ugpQ//ygiB//marB//ycjX//hcaE//glpF//tisB//feoA//malZ//ydfD//aroH//gadA//yefM//hycE//
GadE-RcsB_pos	fumB//fliA//cytR//cadA//purA//rbsD//gadY//tdcG//oxyR//
GadE_pos	waaZ//yciW//iclR//flhA//phnF//galT//gadW//malS//trpC//rutG//phnC//dcuS//purD//tehA//yjhC//mqsR//efeU_2//aspA//yciF//yjhB//copA//yhhY//cusA//fabI//gspE//fliL//yfbR//ascB//nuoM//
GadW_neg	tauA//nikB//fliQ//ttdR//carB//cusA//torC//malZ//csgC//dinB//mntS//
GadW_pos	phoB//fadD//metJ//malX//hycD//metR//sroD//tdcB//purK//dinI//marA//
GadX_neg	wecB//slyB//citE//malP//idnR//nanC//
GadX_pos	torC//rnlA//ubiX//mioC//caiF//ada//gpmM//nikD//dsdA//omrA//yfiR//yeaE//mntH//cyaR//nanM//glcF//dgkA//dnaA//fdhF//ycjY//ccmG//trpC//wecE//nrdA//yeiB//mngB//flgM//
GalR_neg	pgm//ddpA//mdtA//accB//hyfJ//ycjY//phnM//yaiA//uxaB//marA//
GalR_pos	caiE//lsrB//lhgO//tynA//
GalS_neg	wzb//cdd//gudX//hmp//ybhS//copA//sbcD//yafO//fimB//alsE//
GalS_pos	glpX//omrB//hyfA//ddpF//
GatR_neg	cadC//nrfD//ppiA//obgE//cas1//tdcA//
GcvA_neg	hcaE//cyaR//flu//ccmH//
GcvA_pos	hyfI//pflB//entS//cysD//
GlcC_neg	nrfC//
GlcC_pos	dsdX//rpmI//yfdV//yciX//gntX//purH//
GlpR_neg	mraZ//purD//sra//murP//gspF//hypC//ydeO//phnF//sucA//
GlrR_pos	dgkA//yeiB//pgaC//nanT//lysO//
GntR_neg	sufE//tdcA//edd//adiA//norV//folA//pqiA//alsB//xapB//ssuE//ydeM//rtcA//
GutM_pos	norV//fliD//mpl//mscM//ychF//exbB//aceF//
GutR_neg	focB//fdnH//cueO//metE//zinT//glnB//ynfH//
HU_neg	ftnA//ulaD//garP//araD//pstS//fixX//gntU//uidR//
HU_pos	moaB//
HcaR_neg	osmC//
HcaR_pos	tdcE//thiQ//ybjC//tcyJ//flgE//
HdfR_neg	fucP//rseC//
HdfR_pos	rutR//bamE//bioB//
HigA_neg	hipB//paaK//
HigB-HigA_neg	betB//lgoR//
HipAB_neg	ygiC//ftsA//entC//epd//ymjD//
HipB_neg	serA//appB//infB//pheM//rcsA//dsbC//
HyfR_pos	hycD//leuL//fadD//norR//ftsA//dmsB//ccmG//flgM//nemR//mscM//pspD//flgL//
HypT_neg	caiF//mlrA//idnT//yqaE//yiiS//
HypT_pos	nrdB//mltF//tauC//waaZ//ccmC//ppdC//frc//gadX//
IclR_neg	artP//tbpA//metL//mntP//
IdnR_neg	hyfD//narI//
IdnR_pos	seqA//ykiA//ynbD//puuD//nadA//
IlvY_neg	nikR//
IlvY_pos	allE//
IscR_neg	fucI//nuoL//feaB//ycjF//relB//crl//ftsA//uidB//hypA//astA//pstB//oppA//nanE//ccmE//recA//flgG//crp//rhaD//sra//aceA//decR//
IscR_pos	mlrA//degP//tsgA//moaB//oppA//fliN//hyaA//lysA//potF//potF//dgkA//
KdgR_neg	ryhB//rtcB//
KdpE_pos	casE//bioD//alsC//dinD//
LacI_neg	argD//deoB//rplT//
LeuO_neg	fliC//mraY//speB//
LeuO_pos	garK//csgD//umuD//rhaR//napB//oppA//feoB//yefM//yhhY//narH//cysJ//fabI//gadE//lsrA//hipA//mpaA//ddpD//murD//
LexA_neg	tadA//tauC//yeaD//torR//dps//hemL//xylA//leuL//purA//mgrR//ydiU//mngR//lldP//moaC//gspI//obgE//glnB//fpr//hemH//trpD//psiE//nikC//dnaN//insD//folA//hlyE//gadB//trpE//csgD//osmB//mhpF//stpA//omrB//malT//cydC//yafQ//fimE//uidR//yiaN//ftsZ//tsx//nadA//iraM//intQ//nuoM//rclA//emrY//phnH//zinT//dmsA//argE//tbpA//ryhB//atoB//yafO//psiF//evgA//hha//phnP//
LldR_neg	gltK//yegR//dmsC//
LldR_pos	pepA//cysP//add//
LrhA_neg	phnG//csgC//
LrhA_pos	melB//asnC//
LsrR_neg	btuB//frdD//fucP//grxA//fabI//accB//fabZ//dcuA//osmY//
LysR_neg	ybfE//
LysR_pos	nupC//
MalI_neg	glpT//fecR//xylB//
MalT_pos	sucB//araE//nuoF//ymiA//ftsZ//modA//dcuB//mipA//gntK//puuD//
MarA_neg	sufB//dmsD//uspE//rimK//ycgZ//argI//sucD//
MarA_pos	araA//glxR//gpmA//phnM//fliG//mntH//tdcE//lsrC//mdtA//wzyE//astE//ssb//thiP//cynS//caiA//gspH//mprA//ldtD//fucI//ppsA//pspE//hcaD//ynbA//rdoA//pspG//murP//dinJ//emrB//frdD//modA//puuC//
MarR_neg	zraP//flgE//ymjC//
MatA_neg	agaW//psd//potI//hslJ//tynA//rbsC//
MatA_pos	ugpQ//flhA//
MazE-MazF_neg	ttdT//rcsA//hypB//
MazE_neg	ydeN//tdcA//eda//
McbR_neg	ygaC//
McbR_pos	glpA//insD//hyaE//
MelR_neg	mraY//ygbK//bioC//
MelR_pos	moeA//dinF//hypC//
MetJ_neg	ccmA//gspK//bioD//dmsA//sucC//ccmB//rhaT//focA//gcvP//paaC//yiaJ//cheW//acrB//cysH//flgM//
MetR_neg	sucB//gcvH//
MetR_pos	glpB//wcaB//ugpA//bioB//
MhpR_pos	insK//gltF//nanC//gntU//agaS//yjbE//
Mlc_neg	cynX//fabZ//gspO//idnR//ung//aspC//dhaL//skp//cusB//zraP//
MlrA_pos	metQ//pgaD//recF//sucD//ada//mdh//phnL//cynR//puuE//phnE_1//
MngR_neg	lsrB//yaiA//aceE//
MntR_neg	erpA//sufS//torA//ogt//
MntR_pos	relB//
ModE_neg	ptsG//udp//mngA//rpoD//pspA//rffH//uvrY//csgC//ttdA//csgE//cysI//appA//pdeR//yoaG//yjjZ//
ModE_pos	casC//iraP//deoC//cas1//ugpE//sdhC//cyoB//yefM//rplT//carB//dinF//nrdF//mazE//fadA//atoA//ebgC//nikD//tauB//carA//betT//hcaF//ynbB//fliQ//gadC//mgtL//paaZ//gabT//ygeH//deoB//paaE//paaC//
MprA_neg	ybjC//fldB//bglG//yqjH//iscS//dsrA//
MqsA_neg	rbsR//artQ//melA//hybD//cusF//cpxQ//allS//rpmA//
MraZ_neg	rseB//pdeL//wecC//purE//mntH//nagC//pykF//gpmM//fliZ//pgaA//kdpC//cusF//caiD//glpT//cecR//trpC//cynS//
MtlR_neg	wzxE//metI//gspO//
MurR_neg	ibaG//flgA//dsbG//
MurR_pos	ydcS//
Nac_neg	sulA//metK//ppdA//osmB//fliQ//serA//yafN//paaK//rhaT//
Nac_pos	galS//narL//gudP//ytfE//oppF//cynX//flgL//yiaN//melA//agaB//trpD//citG//
NadR_neg	yeaE//pstS//rseC//sgbH//
NagC_neg	nirB//nuoG//ihfA//hcp//mhpF//aceK//hyfF//yneM//degP//tauD//lldR//yhdZ//paaH//uvrA//ppiD//puuD//cpxP//galS//moaA//moaA//tyrB//moaD//pspB//pspB//ttdT//yjbG//entF//rutR//galR//malE//melB//hybE//yccJ//
NagC_pos	cysM//sodA//araF//
NanR_neg	yccJ//yjbH//glcB//ftnA//tauB//yjeV//sbcD//potH//leuD//yqjI//
NanR_pos	galP//
NarL_neg	ascB//napD//feaB//hcaE//trpR//ascF//hemL//araJ//ydiV//purA//yrbL//moeB//glcC//bglG//icd//dcuR//gcl//ydhT//yfiR//yeaR//acrR//rimP//ybaT//hycF//yiaN//qseB//aroF//malM//yeaD//ulaG//ampC//mcbA//sufC//ccmD//gntK//feoA//mtlR//gspM//citX//idnT//hyaC//mipA//mgtA//gltL//glgC//argO//ampC//cysH//ymgA//nusA//nfuA//mpaA//yedX//mhpC//ryhB//wecC//glnK//dpiB//xylA//hybD//ulaE//fbaB//sdhC//ftsI//codA//glcA//metC//phnD//wzb//pyrD//entB//kdpB//garR//hycH//glcC//phnF//mcbA//nuoI//emrY//hyfE//hcaD//gltF//uxaB//cadC//ssuE//fixX//decR//
NarL_pos	yfbR//uidA//kdpA//ftsL//yoaC//gabD//cadA//glgP//napF//phnO//acnA//mraZ//xapB//alsC//ulaC//araE//yhiD//idnD//leuC//lpxD//pepD//nuoM//cpxA//fhuD//dinB//lacZ//ebgA//rpoS//exbB//garD//ftsL//pflB//ydeP//fepC//gntX//fliA//gltD//fdnI//psiE//lysA//pdeH//xylG//ykgM//
NarP_neg	tnaA//ydbD//exuT//psd//ynfE//nrfA//trpC//chiP//xylR//fimE//alsB//udp//ahpF//gltB//fepE//fadJ//mnmG//paaG//trpD//ynfE//glpQ//hcaR//lsrG//ssuB//fdnH//hcaR//moaE//moeA//rhaD//cusB//pyrD//lyxK//dgcN//
NarP_pos	hemH//mhpD//mngA//purE//ccmE//hypF//ymjC//yqaE//lexA//uspA//hcaE//fliS//gabT//nadB//napF//rbsB//murG//ydfE//puuR//argI//gudX//cysI//fhuE//trpB//mzrA//ydeI//yhbT//hybA//polA//folA//lsrK//srlE//
NemR_neg	phoE//gadC//yfiB//
NhaR_pos	idnK//flhC//rpoS//lysP//tyrP//yiaO//hyaF//
NikR_neg	slyB//tolC//cysE//wcaB//fliA//sdhA//
NimR_neg	oppC//wcaB//
NorR_neg	hisP//
NorR_pos	entB//feoB//
NrdR_neg	tktB//pqiB//yibQ//gspM//cbl//astE//nuoB//hybB//alsA//
NsrR_neg	aceA//ihfA//qseC//lldR//sdhB//garK//rbsR//manZ//paaC//araH//nrdE//polB//yqhD//purE//yafO//glmS//trpD//dinB//aroH//ybjN//tdcB//nmpC//nfuA//yiaK//sbcD//agaD//melR//idnT//aceK//sbmA//malG//gadF//oxyR//galM//yjjZ//citG//caiC//fecI//gltI//aroH//gcvA//ybfN//idnR//lldP//rsmH//puuC//uvrB//gcvP//ptsG//rhaS//fucP//pgi//lgoR//symE//phoB//hydN//cysA//yqjH//nuoL//gadW//xapA//malE//feoB//cydB//ttdT//ccmH//frdB//nrfF//argD//yciX//yjbH//speA//dkgB//agaR//fepA//casC//insD//mraZ//ppsA//ymgC//purF//yqjH//malI//
NtrC_neg	dgcC//fucO//cadC//fadB//yecT//lysR//
NtrC_pos	mdtE//citF//efeU_2//hypA//yedX//hyfG//nemA//ydhX//glpQ//ybhG//phoU//nrfF//ulaB//araG//ydeP//pspB//cspI//sufS//nikE//flhD//nanM//ssuE//galP//hyaF//ydiV//zraS//hyaC//ycgZ//ygeH//srlD//bioF//hflD//malY//waaH//sulA//glpD//fadB//ybjG//idnD//murG//ruvB//ybhF//ymjC//betT//psiE//narH//yhjC//artM//fepC//
OmpR_neg	uhpT//cusB//nrdE//fliO//hns//mtr//entE//fruB//atoD//ydfN//relA//ydbK//
OmpR_pos	mgrB//rffT//flgJ//cspI//dnaN//ccmF//ybdN//tktB//ybbW//rpsU//
OxyR_neg	purK//mhpD//potH//trpB//flgK//gudP//ddpX//tdcD//dgcC//fhuB//ybhF//artQ//
OxyR_pos	dpiA//pgaB//yqhG//ulaC//ugpA//csgG//wzb//torD//relA//rutG//rutD//gadA//chbA//cpxA//ulaD//asnC//hcaD//paaC//frdA//gudX//mazF//entE//
PaaX_neg	hybC//erpA//pdeR//csgC//yaiA//tauC//sodA//gltB//ddpA//paaY//prpB//sodB//guaB//fadJ//
PdeL_pos	dhaM//
PdhR_neg	lsrD//putA//sgrR//lpxC//nanK//yneM//sdhB//rffC//torR//malY//tyrR//glmU//nuoL//fucU//cysG//yhiM//fucA//aidB//glpK//qseB//ecpR//glpF//glpQ//ybhS//mngR//yhdY//nikC//araD//soxS//xylB//gudD//ynfK//mipA//micF//sucB//ydhY//
PdhR_pos	yhjX//ydfE//ccmD//phnH//flgM//
PepA_neg	lysO//lyxK//agaR//
PgrR_neg	tnaA//cynT//melA//trpC//amtB//dcuB//cysN//yhiM//
PhoB_neg	glpD//kdpB//hslJ//dapD//ssuC//ndh//appY//flhE//cyoA//phnJ//lsrF//ygeA//
PhoB_pos	dpiB//yjbF//murC//pgi//casD//setA//fixX//astC//garP//exbB//ygbA//hycF//metJ//gadC//fhuF//nikA//creB//glcG//grcA//hyfF//glgP//fiu//ybhF//mntP//thrS//pdeH//cirA//cyoB//ydcU//sufA//talA//wecC//gspM//hyaC//pncB//lrp//rbsC//fadI//lsrC//metH//csgF//hybF//metF//malP//cusR//sgrR//nrdI//zraS//cbl//tauD//phnG//paaJ//kbp//
PhoP_neg	ttdA//rsmH//ydcU//ynbC//prpC//paaK//ydhY//yqjA//fruA//malT//uxaA//
PhoP_pos	slyB//uidR//malQ//paaZ//fliA//cecR//nfo//recF//fabH//rhaS//deoC//ttdA//lon//gntU//rstA//aroP//argB//ccmD//rbsC//malI//entS//aroH//hycA//ppdC//ydiV//cysM//uvrB//yjbG//adhE//torA//nuoI//entD//mioC//argF//mglC//flgJ//hyaB//gspO//yaiA//agaV//uidB//appY//cysI//hcaD//rpoS//cusS//deoD//mdtC//
PrpR_neg	yccJ//
PrpR_pos	phnH//malF//uidC//creB//
PspF_neg	purD//
PspF_pos	oppC//zraP//rffH//ppsA//ydeO//asr//
PurR_neg	gapA//gcvH//psd//glk//ldtD//mtlD//araF//creB//rhaA//nadB//truB//nuoA//thrS//puuA//glnG//prpR//ascB//rutD//ruvB//rutR//flu//mdtB//katE//ccmB//paaD//rutF//malI//iraM//pdeR//asnA//nikR//
PutA_neg	atoD//htpG//
PuuR_neg	hcaB//gudP//entD//mhpD//yjjQ//waaZ//metJ//
QseB_pos	ydjM//agaC//aspC//wecC//
RbsR_neg	osmC//yaiW//caiF//rhaS//tolC//glpB//gltJ//hyfJ//
RbsR_pos	cyoD//
RcdA_neg	ymiA//recD//
RcdA_pos	nfo//pgpC//trxC//qseC//ada//yeaH//nirD//
RclR_pos	trpC//hcr//oxc//
RcnR_neg	umuD//astB//hcaR//
RcsAB_neg	lsrG//bdcA//agaB//bioA//katG//yecT//
RcsAB_pos	lpd//gspG//fucU//dgkA//cysA//melA//uof//hycE//fdnI//hmp//
RcsB-BglJ_pos	cysN//lpd//gspJ//dpiB//mlc//nrfB//rhaD//yhjC//yjbE//efeU_2//rffH//setA//ynbB//osmC//agaV//yhiD//
RcsB_neg	rutA//manY//
RcsB_pos	ftsK//nrfB//tyrP//soxS//fabI//rybA//paaZ//astB//ecpR//rutF//allB//fliQ//glnH//moeA//katE//cyoA//hcaC//ulaE//envC//paaK//mzrA//rstA//chbF//
RelB-RelE_neg	wzzE//yeaE//ykgM//
RelB_neg	cynX//yiaO//leuO//
RhaR_pos	mtr//znuA//
RhaS_pos	rtcA//appX//malK//alsB//ycjY//dpiA//
Rob_neg	dacC//
Rob_pos	ymiA//phnF//efeU_2//fliJ//gor//uvrC//murF//focB//mcbA//oppF//relE//phnE_1//hycE//gatD//yqhD//hycA//phr//cysP//malE//fdhF//gltD//nrfD//omrB//psiF//yhdY//
RstA_neg	metL//glcG//accC//crr//patD//
RstA_pos	phnH//bdm//pgaD//sgrR//rnlB//
RtcR_pos	dcuD//nuoL//
RutR_neg	pheS//hyfD//ldtC//pnuC//argG//xylB//yiaN//hcp//moaB//dicC//narK//allS//ydhT//fliA//sodB//
RutR_pos	idnO//malQ//
SdiA_neg	hypA//ugpB//tsr//
SdiA_pos	moaD//iscS//rclC//
SgrR_neg	artP//metL//nrfA//recB//gabD//
SgrR_pos	manZ//yoaC//araE//psiF//
SlyA_pos	glnP//
SoxR_neg	puuB//
SoxR_pos	intQ//yeaD//
SoxS_neg	rstB//yfbR//
SoxS_pos	rutB//fepE//nac//gntK//uspE//hyfA//wcaA//sufC//yafP//hha//rsmH//cysU//gntK//zraS//rpiR//puuR//pdhR//nemA//ccmH//pgi//pgaB//flgH//ulaB//yjjQ//yecT//ddpX//ompT//xapB//ybjN//hcaR//rutD//iclR//feaR//ppdA//sufA//nfsB//sbmA//cdaR//
StpA_neg	paaG//kbp//dmsC//dnaA//prpC//sucA//tauD//
SutR_neg	yafP//nrfG//metK//dpiA//wcaA//
SutR_pos	metH//
TdcA_pos	gudP//ilvC//sdhC//bacA//yegH//uxuB//ddpD//
TdcR_pos	nagB//ruvB//cysP//purH//citX//entS//oppA//
TorR_neg	mntP//purH//hisP//
TorR_pos	rbsA//yhbE//wcaA//hypD//cdd//ugpA//dmsC//cirA//fldA//
TreR_neg	ptsH//rbsK//
TrpR_neg	metI//rstB//hyaC//cadA//yneM//argF//ldtB//rutD//sgbU//aroF//cynS//napA//
TyrR_neg	fliC//fixB//bdcA//malM//lpxD//mdtC//nuoL//mdtC//kdpC//truB//
TyrR_pos	aslB//crr//exbB//
UhpA_pos	nanT//
UidR_neg	nohA//rcsA//uidC//phnO//
UlaR_neg	puuD//ygeH//bioC//waaH//yciF//mgtL//rffG//
UvrY_pos	alaC//rseB//zraR//pnuC//phr//
UxuR_neg	yjhB//cheW//nemA//yhdZ//oxyS//chiP//gltL//mprA//flgC//
XapR_pos	nlpA//mlc//
XylR_neg	kdpF//
XylR_pos	phoU//tauC//ppiA//uvrD//malT//citC//
YdeO_neg	ftnA//ldtD//
YdeO_pos	hmp//ulaA//chbF//mpaA//yeaE//potG//nrdB//hha//rplU//hisM//mltF//feoB//bioC//manY//ssuB//mprA//ydfE//fecR//uxuR//
YedW_neg	puuR//add//ccmC//sucB//ydfX//
YedW_pos	cpxP//yhdY//fpr//emrB//hypA//nikD//nrdG//
YefM-YoeB_neg	lolA//tpiA//
YefM_neg	rcnA//acnA//
YehT_pos	potG//
YeiL_pos	mltF//
YiaJ_neg	glmU//cirA//yhjA//nuoG//nanC//yefM//aldA//alkA//yebE//inaA//
YjjQ_neg	nikB//glcA//intQ//fliR//nuoK//yidL//nupC//citD//efeU_2//yciF//
YpdB_pos	psiF//
YqhC_pos	ccmH//cusF//
YqjI_neg	yqjA//galK//
ZntR_pos	hflD//
ZraR_pos	glgB//glnH//hyaE//
Zur_neg	osmY//glnH//casE//ykiA//hycI//zraS//
