#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	ftsK//sroC//
CytR_neg	tonB//hcaC//dmsC//tynA//fliZ//yjhC//gor//cpxP//sgrS//glnK//argG//fpr//waaH//
Dan_pos	hypA//rarA//dinB//ymiA//
DcuR_pos	uidA//ssuD//uidR//hypF//tcyJ//bdm//motB//ydhV//prpE//
DeoR_neg	nfuA//napB//mqsA//creA//sbmA//ccmF//
DhaR_neg	pstB//
DhaR_pos	alsC//puuB//evgS//
DicA_neg	ybfE//cspD//nagC//serA//ydcV//alkB//lysO//mglB//
DinJ-YafQ_neg	rpiR//sufS//cysI//
DnaA_neg	mngA//dgcC//uspA//mlc//entF//phnO//araA//fliK//fbaA//paaD//pspG//
DnaA_pos	sufE//gutQ//aroH//ruvB//sgrT//manX//idnK//
DpiA_neg	dapD//
DpiA_pos	zinT//metA//feaR//pflB//glcD//glnL//ydhU//tsr//lldR//fixC//
DsdC_neg	fucI//
DsdC_pos	aroH//gudP//
EbgR_neg	fepD//fliA//
EnvR_neg	malY//hydN//
EnvY_pos	fur//yciE//
EvgA_pos	ssuA//amn//mioC//cusF//ydfH//ddpB//idnR//acrB//ulaC//pflB//yqjI//ydjM//cspD//mgtA//aroH//garP//flgN//rnlB//rffG//
ExuR_neg	oppD//mcbA//ubiC//ssuD//tynA//gspE//nuoL//malP//cysU//
FabR_neg	recC//hipB//
FadR_neg	agaA//gabT//rcsA//ppc//metF//relA//cysU//rpoH//ndh//gspM//ftsW//
FadR_pos	glk//dmsA//ccmF//dicC//mnmG//uspE//hcaC//yecT//ppc//nimR//cdd//bglJ//
FeaR_pos	yhjA//gadX//
FhlA_pos	relE//metR//zinT//hyaA//prs//phnM//phnO//hcaC//ttdR//yeiL//fliQ//yhbS//fecI//ynfH//atoD//pstC//napH//glgC//hybA//kbp//cas2//pflB//ybhS//gspH//yhiM//yecR//lolA//araJ//arsR//hcaR//
FlhDC_neg	safA//truB//uvrC//fliI//
FlhDC_pos	fixX//pykF//glpT//glmU//bioC//agaA//uhpT//nuoM//torD//lysR//nac//nanE//yccT//fliM//pspD//ubiX//caiT//zraR//ompW//xylA//rpmA//rclB//astB//murD//cynX//glpA//glpT//fruB//argE//yiiS//ynfF//aldA//tsr//prpB//dctR//feaR//purA//gudD//ychF//lsrF//mngR//sucD//prpR//gutQ//dctR//talA//araH//cecR//psiF//sbcD//sufD//ydhY//nirC//sroD//aroF//flgH//pykF//ttdB//hyfB//ulaB//glnH//gadB//gnd//lacZ//oppF//lsrK//rob//tdcB//cusR//fixX//spy//fucU//casA//cusA//fumC//lrhA//astB//argR//
FliZ_neg	ddpD//waaH//ygbK//paaY//metR//gntU//creD//yidQ//dgcZ//bdcA//csrB//pepD//yebE//ptsG//mltF//fixX//hycC//yciW//recC//melB//dnaA//
FucR_pos	seqA//sfsB//yebE//borD//nrdI//lysO//bioD//
Fur_neg	acrB//ynfF//hisM//hybC//argE//rutE//yfiB//agaR//pgaA//nfsB//hipA//symE//dkgA//nikD//mltF//feoC//ftsL//degP//metQ//srlB//dsdX//rprA//atoE//dcuD//dhaR//nuoK//allS//hybO//aspA//fucR//metC//fliL//rob//purF//yjeV//gnd//mhpB//ydiV//cytR//rutE//ppiD//phnE_1//phoQ//ybaT//gcvT//fldA//tdcE//glnL//cyoA//hyaB//ugpB//sufS//moeA//fliA//aceK//ddpX//pspG//yhdX//cpxA//csgE//fecR//dsdA//mtlR//decR//atoD//ybhF//gntP//wecE//guaA//mqsA//alsE//hyi//ldtB//asnA//rtcA//gatZ//fadJ//yhiM//cadA//nupG//hypA//fliC//nrdD//nuoN//ybbY//cysA//ddpC//yqjI//cho//nimR//fliC//yeaR//hyfR//dnaN//rseB//hycH//metL//pnuC//yccT//yedX//rbsK//argC//rstB//fiu//phnP//aslB//fadJ//rclB//phnE_2//fadD//mprA//ydeM//glmU//uxuB//dcuR//
Fur_pos	bacA//hcr//gltJ//garR//csgF//creD//chiP//rffT//cysA//dinB//citC//ymjD//bacA//wecC//puuD//nupG//oppA//hyfA//iscR//exuR//yhdY//
GadE-RcsB_pos	glyA//rtcB//garP//exbD//tadA//hyfC//fucK//rbsA//nrfE//
GadE_pos	mgrB//feoB//arsC//srlE//prs//artM//hdeA//bacA//fes//nrdF//rtcA//metC//gadA//luxS//xylH//lysO//fliC//cyoA//nuoA//hybG//gudD//gabP//garD//arsR//fabA//nhaA//nimR//fpr//nlpA//
GadW_neg	nrdF//mtlR//ybhF//osmY//mhpD//cyaR//tauC//talA//pgaA//purL//nrdG//
GadW_pos	mprA//ybjC//ftsI//ecnB//agaS//rpoD//kdpA//sgrT//hycC//creB//glpC//
GadX_neg	torD//pck//fliE//nusA//yoaC//flhD//
GadX_pos	sdhC//lsrB//ydhX//fixB//hcaB//torR//pgm//paaX//uidA//sufE//zraP//argH//nimT//metN//rclC//mdtB//bioA//sroC//yeiL//nuoB//modA//rarA//tdcG//melA//cheA//ybjN//ccmE//
GalR_neg	cspD//gapA//potH//ddpF//phnJ//ycgR//ccmG//malQ//gatZ//narH//
GalR_pos	dcuD//mgrB//pgaC//bhsA//
GalS_neg	pdeR//purE//hisP//mgtA//fhuA//glnA//nuoG//fur//tdcA//intQ//
GalS_pos	rutF//sufA//yeaG//potF//
GatR_neg	fdhF//ymjC//ebgC//fliN//cytR//mazG//
GcvA_neg	tfaQ//mdtB//cas2//hcaE//
GcvA_pos	chbA//rfe//appB//rob//
GlcC_neg	ulaA//
GlcC_pos	gabD//chbB//nusA//cusA//alsA//aldA//
GlpR_neg	yiiS//rutB//recF//moaA//torR//hybD//casE//uidC//flgJ//
GlrR_pos	phnC//ugpB//ppc//sufC//rffT//
GntR_neg	flgB//mngA//prpB//lpxD//icd//fadM//rseC//glgA//nrfE//rimP//mhpE//cysI//
GutM_pos	fumC//fur//uidA//ybjG//dcuS//fadR//malZ//
GutR_neg	narI//ygiC//lolA//pagP//gspI//malF//fepA//
HU_neg	hflD//chbG//ccmC//casA//dinB//ompF//yecT//dcuS//
HU_pos	yhjA//
HcaR_neg	ahpF//
HcaR_pos	cynR//katG//dsbG//cadB//ydfE//
HdfR_neg	cueO//appX//
HdfR_pos	hns//creC//fliT//
HigA_neg	metA//moaB//
HigB-HigA_neg	dgcN//nrfD//
HipAB_neg	potH//ynfG//dinG//galE//malZ//
HipB_neg	codB//flu//sbmA//mipA//lpd//nimR//
HyfR_pos	fhuD//fepE//xylA//evgS//fecB//hycI//mntS//nanM//hyaA//ssuC//glcC//casE//
HypT_neg	tcyJ//ydhU//metK//ldtC//yidQ//
HypT_pos	yccJ//gadX//mhpF//hypC//hokD//molR_1//fau//xylA//
IclR_neg	flhA//isrC//gadC//idnK//
IdnR_neg	argB//murR//
IdnR_pos	exuR//bglJ//gadE//copA//rpiR//
IlvY_neg	entB//
IlvY_pos	bamE//
IscR_neg	evgA//soxR//dpiB//cadA//nuoE//betB//pstB//yciF//araD//pspC//rcsA//mdtE//araA//csgF//fbaB//lldR//srlR//rpoH//citF//sufE//fadJ//
IscR_pos	treC//glgP//gfcA//fecD//xylF//torR//tdcC//ykgO//allE//ompW//bioD//
KdgR_neg	dhaR//rstA//
KdpE_pos	cysE//fabG//ynfF//ulaG//
LacI_neg	cadB//glnD//nrfD//
LeuO_neg	narJ//srlD//ulaE//
LeuO_pos	hybF//fepB//aslB//fepC//fes//ybfN//ycdZ//metJ//puuE//purR//nuoL//mltF//ssb//yecT//obgE//iclR//yciE//fadR//
LexA_neg	ydiU//uxuA//cysB//pnp//fliE//mlc//lldP//paaE//yibQ//katE//alsB//mglB//trxC//caiE//mdtE//wecC//flgK//feoA//intQ//tynA//nrdB//nupC//malF//fliS//cydA//tsr//mntP//ydiV//fecC//xylB//hemL//baeS//ftsZ//frc//hyaE//agaC//ygiZ//flhB//tnaB//cysJ//csgE//yhjX//ccmE//prpE//malQ//yhiM//argG//fliQ//modB//gcl//hyaB//casE//ccmH//tauC//nrfB//hdeB//hisP//yciX//hyfA//
LldR_neg	yiaO//ftnB//fimE//
LldR_pos	fepC//ulaE//murR//
LrhA_neg	slyB//dinG//
LrhA_pos	baeR//spy//
LsrR_neg	argG//srlR//aldA//fhuB//ydfN//trpD//bglF//lsrC//ppdC//
LysR_neg	yrbL//
LysR_pos	yqaE//
MalI_neg	adhE//serA//ssuA//
MalT_pos	psd//alaC//lacY//ppdC//trpD//ycjF//cysI//aroH//mgtA//yhjC//
MarA_neg	pheM//ynbA//dinB//argC//ygdB//pgpC//rtcB//
MarA_pos	yebE//eno//leuC//ddpX//aceE//citE//argD//dacC//hypD//mdtA//yfdE//yidQ//tyrR//gyrA//gnd//fepB//ynfG//norR//aroG//sufS//nirB//cysN//nupC//patA//araD//nikD//lpxD//gpmA//yjeV//agaS//tehB//
MarR_neg	lpd//cytR//ymjD//
MatA_neg	hyaA//crp//artQ//hcaC//agaI//dsdX//
MatA_pos	puuA//purK//
MazE-MazF_neg	epd//fur//sgbE//
MazE_neg	yqjA//uspD//nrfF//
McbR_neg	aidB//
McbR_pos	cyoE//psd//ycjF//
MelR_neg	glyA//ompT//pspA//
MelR_pos	yjjZ//agaV//dctA//
MetJ_neg	mnmG//hipB//glmS//glcD//uvrY//umuC//fecA//idnD//setA//torR//degP//fepD//dinB//nemR//uidC//
MetR_neg	moeA//hyfD//
MetR_pos	atoB//trpA//ftsA//ftsK//
MhpR_pos	erpA//yqhD//nuoH//yqjI//rpoS//ahpC//
Mlc_neg	hcaC//nanK//lysP//gadY//entF//gadF//mngR//hyfH//casD//fucK//
MlrA_pos	tyrB//pspG//fabB//yhjC//gltB//flgG//ariR//casD//paaF//yiaN//
MngR_neg	uspD//pspF//sdhA//
MntR_neg	lgoR//puuE//srlA//dhaR//
MntR_pos	rtcA//
ModE_neg	yciE//ygiC//hypC//cho//hypB//trpC//trpB//fliE//pykF//creA//gatZ//malF//fliR//phnO//safA//
ModE_pos	nuoA//flhA//atoA//ryhB//argR//ompW//yafP//treR//norW//potG//nanC//glnH//fabG//rcnA//araG//rpsO//fhuB//fliL//metF//cusS//narL//cynR//ccmE//tcyP//pheM//ssuB//dpiA//fhuD//ulaA//ydeP//exuT//
MprA_neg	hybE//napG//entS//rclB//csgG//gadB//
MqsA_neg	uxaC//yiaN//thrS//glpT//xylF//frc//ynbD//csrB//
MraZ_neg	rtcB//eno//yhdX//aspC//manZ//tonB//entB//hyfB//omrB//ygiB//yjhB//appA//casE//hns//csgA//dgkA//pspD//
MtlR_neg	molR_1//nuoH//pheT//
MurR_neg	yoaC//aspC//rpsU//
MurR_pos	tsgA//
Nac_neg	xylA//rnlB//araG//hypE//chbR//aslB//yeiL//ascF//gfcA//
Nac_pos	ascB//motB//cydB//murF//flgN//patA//yqhG//hdeA//ddlB//ssrS//phoE//idnR//
NadR_neg	gadA//murE//ptsG//malY//
NagC_neg	rhaT//hcaC//gatZ//hypB//moeA//entB//gor//pncB//ybbW//flgA//ddpC//mipA//ssrS//polB//hybA//rbsC//chbG//phnN//tauB//lacZ//ssuB//uvrY//gpmA//modC//treR//ftsZ//acrD//evgA//betA//fecE//glpA//leuB//asr//
NagC_pos	tsgA//ybjG//rnlB//
NanR_neg	fhuE//hemH//phnM//argP//astA//atoB//pnp//pstB//ubiC//leuO//
NanR_pos	bacA//
NarL_neg	uidA//znuB//mqsA//puuC//hycG//moaE//entD//purF//oxyS//ppsA//bioA//narG//fecB//glpK//glgX//marR//intQ//glmS//hha//mngB//purR//glpF//sfsB//gpmM//deoD//yecT//adhE//ubiC//fliO//cysC//manY//phnK//borD//pqiB//rutC//potG//mhpC//mdtA//ydhV//uxuB//nagE//rutC//gcvT//udp//ygaC//adiA//yedX//galP//emrB//bioD//cho//ycdZ//rhaS//lpxD//cusB//dps//guaA//pstC//rpoD//hybA//gadX//pgaD//uidB//yneM//rutC//ygiC//cusA//nupC//cpxQ//gspM//motB//acnA//nanK//moeA//phoR//yidQ//fnr//nusA//rclB//gntK//mazE//rhaR//yfdE//rplT//lamB//entE//fau//
NarL_pos	flgD//katG//yciF//prpE//fecD//yqjA//treC//idnK//cirA//qseC//recX//gloA//mraY//serA//cysJ//ebgA//nikE//fucI//paaX//ppc//mdh//fbaA//hdeB//hyaE//allE//spy//ftnB//nrfF//lsrD//trpB//gltF//phnD//rclC//nac//bioA//tehA//allC//glk//murF//appB//dkgA//hdeA//sroA//
NarP_neg	uvrA//tolC//acrR//purH//dmsC//yiaO//pnp//rimP//nuoK//yjhB//nrfG//uxaA//alkB//pheM//iclR//mgrB//mqsR//mtlA//caiE//pgi//ruvA//nemR//lacZ//talA//ynfH//cra//glmU//glnA//ppdC//recA//paaA//cysC//nrfC//
NarP_pos	putP//hyaB//fliQ//fucR//fnr//idnT//frdD//cydA//ydbD//dhaR//hyfJ//gpmM//nmpC//mglB//metI//adiA//potG//fixX//cusC//rffH//lsrC//fucP//malQ//recA//ycdZ//artQ//lsrA//mltF//lysP//hycB//garK//mprA//
NemR_neg	sufA//artI//modB//
NhaR_pos	yegZ//treR//lolA//umuD//speA//pqiB//rutA//
NikR_neg	chbG//lysA//nuoN//tdcG//yhdZ//mhpB//
NimR_neg	tauD//phoQ//
NorR_neg	recN//
NorR_pos	ygeH//flgD//
NrdR_neg	paaZ//gabD//yeaG//moaD//yhiD//lgoR//flgC//hyaD//uvrY//
NsrR_neg	metJ//tolC//tauD//setA//paaI//arsC//nuoE//chiP//zraS//ssuE//paaH//sufB//xylH//cyoE//cysJ//cydD//leuA//betA//ygiA//trpE//flhC//oppF//wecC//astC//yegR//gcvP//flgH//frdD//alsA//hdeD//fadL//nikR//rprA//nanM//csgE//tnaA//sroA//btuB//iraM//ldtC//rclC//lgoR//malX//entC//accA//yecT//lsrA//fdhF//ftsL//sodB//csrC//paaC//astA//cyoE//hcaE//mngA//cysG//mnmG//srlD//flhD//ynjI//ybfN//ynbD//yciX//acrR//nfsB//tnaA//pspB//uxuA//phoP//sufD//rseC//malZ//purR//dcuB//ydfD//rutF//gcvT//hlyE//lsrG//glpX//cspE//yegR//
NtrC_neg	casB//hycD//astA//flgB//creB//moaB//
NtrC_pos	dinG//feaB//gltF//yaiA//ydfX//phnI//narJ//cspD//pgaA//csiD//ecpA//argH//lhgO//grxA//caiC//cheW//insD//fliN//fadH//murP//recB//nadB//ygiC//phnH//mdh//dcuA//gapA//tcyP//truB//guaA//acrD//yiaM//entS//mltF//ebgC//argA//sgbE//pncB//chbF//lldP//ldtB//flgA//torR//umuC//caiB//hybB//idnK//pdeR//cpxA//
OmpR_neg	rseA//tomB//pnp//kdpB//yafP//malE//molR_1//rseA//lsrG//cynT//umuC//lsrC//
OmpR_pos	pheT//yhiD//gabT//metI//lolA//hmp//fucU//pagP//cysA//hypD//
OxyR_neg	purL//rdoA//pgaD//ada//dicB//murI//tyrP//mazE//hybC//epd//thiQ//entE//
OxyR_pos	bdcA//rclC//mcbA//bglJ//znuB//pspE//ydeI//dapB//napC//fhuB//marB//ybdN//bglF//ycgZ//psiF//rhaD//znuC//murF//gloA//umpH//yjiY//hybA//
PaaX_neg	nuoN//mtlA//ccmG//cysW//aspA//uvrY//rutF//ogt//gatC//glmU//ycgR//lysP//ftsL//bdcA//
PdeL_pos	rplT//
PdhR_neg	emrK//metA//bioF//dinF//pspC//uhpT//yebG//hybG//adhE//gspM//ynfK//mprA//tonB//gatD//yhdY//gadC//puuB//lysP//chbG//glxK//galE//malG//rbsC//fumC//patD//ydcU//prpE//sgrS//safA//phoB//pck//mltF//glpF//dhaK//nikA//ompT//
PdhR_pos	malG//ccmB//guaA//fnr//metR//
PepA_neg	ttdR//gcvB//cspE//
PgrR_neg	pgpC//yciF//potH//ttdR//mhpB//flgB//oppD//allA//
PhoB_neg	gspH//recF//putA//fliH//artJ//atoB//hyaF//ytfE//cirA//hybD//paaD//chiP//
PhoB_pos	hyaA//ryhB//yciE//nuoK//dtpA//tonB//uvrA//prpB//aidB//glcG//glpA//iraP//bglG//ugpC//csgF//ybbY//wcaB//pdeL//hisJ//narI//focA//rnpB//gspG//rstB//mazF//flgB//ydcT//ymgC//ybhL//ybjC//chbA//tehB//ygiB//gpmA//yaiW//hyi//ilvC//tdcB//csrC//cyoD//emrK//uspA//rstB//ybhG//tnaA//tnaA//ycdZ//cydA//mtr//rcnR//hcaR//glyA//ybdZ//
PhoP_neg	ychF//ydbK//gadY//recD//cysM//infB//tbpA//ahpF//putP//pncB//yiiS//
PhoP_pos	cysU//lysA//tdcB//deoC//yeiL//feoA//hha//yegH//rplU//ung//uspD//pflB//hemH//rpoD//zraS//dinD//hcp//ada//yhjC//spy//sdhD//casA//srlR//uxuB//ihfA//gltL//yfdV//cysC//pstC//pgpC//amtB//flgH//ssb//malM//phnH//carA//hycH//leuO//ftsQ//nanK//oppD//modB//ibaG//ssuD//ulaF//uvrD//bacA//prs//
PrpR_neg	cadB//
PrpR_pos	nuoM//hyfA//napB//tonB//
PspF_neg	ccmC//
PspF_pos	malP//trpD//paaK//nagA//argH//mqsR//
PurR_neg	moaE//mltF//iscS//idnK//waaY//znuC//zraS//glxR//ttdT//higB//ttdT//ddpX//dicB//ymjD//acrD//alsC//nagA//sgbH//nanA//tdcG//slp//ycjY//dapB//uxaB//tcyJ//bglJ//prpC//nuoB//pspB//sufA//nfsB//
PutA_neg	paaY//purM//
PuuR_neg	dcuS//araD//mtlA//tsgA//ybhS//treC//erpA//
QseB_pos	flhD//fliE//bamE//tauD//
RbsR_neg	garK//cydC//tcyJ//citD//hybD//ynbA//fliJ//hycC//
RbsR_pos	tsgA//
RcdA_neg	wzzE//xylB//
RcdA_pos	atoD//ptsH//exbB//motA//csiD//skp//dacC//
RclR_pos	rpoE//yhhY//waaY//
RcnR_neg	araG//intQ//dinD//
RcsAB_neg	hybE//malY//rutB//fucK//feaB//cynT//
RcsAB_pos	yfdV//ybjG//putA//ubiA//melB//yfdE//ompC//yibQ//nrfC//mepH//
RcsB-BglJ_pos	infB//asnA//mazF//pgaB//nikB//tdcD//artP//nrfF//napC//tktB//argR//araD//norV//moeB//araE//rseC//
RcsB_neg	ogt//motA//
RcsB_pos	wcaB//rsmH//sutR//nimR//ugpE//ftsL//ampC//arsC//oxc//higB//yebG//rpoE//psiF//hyfI//hemL//rffH//potF//glnB//hypB//emrA//narG//torC//cspI//
RelB-RelE_neg	oxc//creB//gcvT//
RelB_neg	lpxD//yciE//melR//
RhaR_pos	dinQ//uidC//
RhaS_pos	srlR//insD//lsrD//nrfG//ydjM//dsbG//
Rob_neg	luxS//
Rob_pos	gntX//cynX//ynfK//citX//bioA//tnaA//ada//ydeN//trpA//lsrB//phnN//dmsC//yiaK//hemH//purF//alaS//frdB//ccmD//zraS//csgF//stpA//allS//potH//gpmA//zraP//
RstA_neg	gatB//lacA//yhdX//acrB//dgkA//
RstA_pos	ybjG//csgG//manY//ruvA//efeU_2//
RtcR_pos	dcuR//paaI//
RutR_neg	fecA//frdD//icd//fadH//nrfA//dmsD//arsB//yegR//nemA//mqsR//fliP//hokE//fadA//rhaA//casC//
RutR_pos	citD//creD//
SdiA_neg	sbmA//yeaH//gntU//
SdiA_pos	phoR//rpsO//idnR//
SgrR_neg	norR//yciE//dcuS//ybdN//cadA//
SgrR_pos	nrfC//insK//edd//uspE//
SlyA_pos	ryhB//
SoxR_neg	inaA//
SoxR_pos	fhuC//osmY//
SoxS_neg	ymgC//paaB//
SoxS_pos	nhaR//yhdX//ydcS//fixX//torC//ynbD//dicC//hyfR//garK//iscR//mhpB//phnO//mngR//nagB//cueO//tomB//fliG//guaB//dsrA//dmsB//fucI//rpoH//srlA//napA//waaY//rclB//nfo//hypF//fliJ//ynbA//sutR//galK//dpiB//astC//bolA//nhaR//phoE//hyaF//
StpA_neg	yjjQ//fliH//cysJ//phnF//yegR//fliQ//rutB//
SutR_neg	rcsA//fruK//adiC//cysH//mntH//
SutR_pos	ygbK//
TdcA_pos	hybO//dhaM//sucB//ubiX//pck//kbaZ//pncB//
TdcR_pos	pdeR//flgE//zwf//phnO//alsB//ptsI//mazF//
TorR_neg	narI//frdC//aidB//
TorR_pos	frc//acnA//yfdX//cpxA//yegH//hycI//ynbC//ybjN//mdtB//
TreR_neg	nanK//ugpB//
TrpR_neg	atoB//uxaA//dsdA//rpmI//emrA//gspL//ydhV//malG//yqjA//fecR//ccmH//metF//
TyrR_neg	citC//fliS//fruK//uvrY//phoB//ydeM//serA//ttdT//hypF//tcyJ//
TyrR_pos	yafO//ybhF//glnA//
UhpA_pos	ynfG//
UidR_neg	dcuA//murI//hdeD//gadA//
UlaR_neg	insK//astD//nirD//fliE//tyrA//allB//argR//
UvrY_pos	tehA//araJ//yhjC//wecE//ynfF//
UxuR_neg	nfsB//glpX//uvrD//yhbS//mtlA//lsrB//entF//ynbC//fecI//
XapR_pos	sucB//moeB//
XylR_neg	flu//
XylR_pos	galE//cysM//ybjC//norV//ccmC//entA//
YdeO_neg	crp//tehA//
YdeO_pos	inaA//rprA//lpxC//bioC//add//hypC//ddpF//rseC//prpE//ydfH//guaB//chbA//uidC//oppC//glpB//pncB//ddlB//cusS//phnD//
YedW_neg	rnlA//yjbF//aldA//ydiV//hyfF//
YedW_pos	lpd//nagC//moeA//hycE//tsx//mltF//pncB//
YefM-YoeB_neg	flgC//trpE//
YefM_neg	hcaE//pepA//
YehT_pos	ychF//
YeiL_pos	arsC//
YiaJ_neg	purK//thrS//fadD//codB//cusA//gspK//astC//accB//tyrR//yjjQ//
YjjQ_neg	hydN//murR//lsrG//yidQ//lrhA//glnA//ycjG//arsB//cusR//dicC//
YpdB_pos	phnO//
YqhC_pos	lhgO//ybjG//
YqjI_neg	ompW//mhpA//
ZntR_pos	metI//
ZraR_pos	puuP//gyrA//nikB//
Zur_neg	hmp//yafP//micF//dkgA//mpaA//fabD//
