#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	gadE//glmY//
BolA_pos	sgrS//purM//
CadC_pos	hyaA//polB//astB//
CaiF_pos	yhbT//recX//yhbS//glnK//fpr//appX//lpxC//rutD//purA//entE//
Cbl_pos	galE//cysC//fabB//feaB//ssuC//galR//argP//ymjC//fliC//
CdaR_pos	iraM//dps//glnQ//lon//ymgC//rutE//gcvA//ompW//deoB//nrfC//
CecR_neg	fliJ//paaD//ppdA//mlrA//tdcB//
ChbR_neg	fadI//wzxE//fadI//gutQ//rstB//glcD//
ChbR_pos	slt//ykgO//gntX//citG//carA//kdpA//
ComR_neg	znuA//
CpxR_neg	exuT//hyfG//rcnR//gpmM//alsE//ynbD//nrfA//fimB//wzzE//kbaY//ddpF//lsrF//mazF//nanA//phnP//ulaB//ynbB//dsdC//mtlD//gcvH//dsdX//tsx//citF//leuC//
CpxR_pos	dsdC//rfe//gspO//yccJ//hycF//ydeO//araJ//nrdD//sucD//ebgC//dapD//metA//glnG//galT//fabI//bglG//pgk//flhC//fabA//fixA//tomB//chbA//fecD//allD//glcD//yiaK//ppiD//ydcT//dhaK//yefM//ymgA//ccmC//yccA//xylB//edd//bamE//lysP//yaiA//ldtD//mprA//hokE//prpE//rffM//paaD//hmp//tnaA//
Cra_neg	nagA//asnA//caiD//cyoE//gudP//sufA//sucB//ilvC//kdpA//xylF//cysC//ppc//casA//artM//slyB//yecR//trpD//pyrC//gltJ//casE//narJ//wcaB//gadC//ompC//garD//galE//fadA//crl//gspD//hypE//yjjQ//gyrA//rybB//fadM//fucU//aceE//aceE//rob//fliP//agaB//malT//rseB//cecR//yhbS//cysH//fliL//codB//ulaF//glcA//pnuC//dsdC//dinB//pnuC//glgB//ssuD//fliG//sra//psiE//mlrA//
Cra_pos	rnlA//ddpC//ftsZ//nupG//ybhR//fixB//ydfW//cydD//ompT//mhpA//aroL//ttdA//ssuE//pnuC//uspA//glcE//pdeR//fecR//cynX//ynfF//dhaR//malK//tynA//
CreB_neg	pgaB//paaG//sufC//
CreB_pos	fnr//rplT//
CsgD_neg	dsbG//mcbA//murC//artQ//mnmG//ldtD//cysG//gadY//dinJ//fepD//bioA//atoA//mzrA//murF//ynfK//
CsgD_pos	yedX//yegZ//fucA//hyaA//dinI//trpR//phnL//cynR//rutB//fecI//allB//nuoJ//frdD//
CsiR_neg	fecB//rbsD//nirD//fliA//ydfE//
CspA_pos	cusR//yqhG//
CueR_neg	uvrB//ulaA//argH//pspG//ygdB//
CueR_pos	eda//nanS//
CusR_pos	waaY//talA//insK//paaK//norV//cysA//slt//pstA//uof//cynX//yeaD//rutG//
CynR_neg	ybdZ//
CynR_pos	flgN//murI//napF//
CysB_neg	mqsA//yneM//gltJ//yjeV//glxR//cspE//glgX//
CysB_pos	dnaG//gltD//cusC//sutR//gltB//lysC//phnD//malT//ytfE//yidL//ycdZ//mraZ//metA//garR//nuoA//hcaF//dctR//ecpR//sufS//glmS//ybhS//fimE//osmY//pqiB//norR//
CytR_neg	mdtF//mepH//frdB//pheM//argF//bioA//yiaM//lpxA//hyaB//argF//phoA//chbG//araB//
Dan_pos	fabB//rcnB//yciF//idnD//
DcuR_pos	sucA//oxyS//ynbA//rstA//ydfE//pgi//pheT//hyi//glxR//
DeoR_neg	gor//aidB//ecnB//phnG//yhdX//sbcD//
DhaR_neg	focA//
DhaR_pos	lpxA//pykF//rffM//
DicA_neg	murR//torC//rbsR//galT//sufC//cyaR//fecE//tcyP//
DinJ-YafQ_neg	fabH//yqhG//cusA//
DnaA_neg	sodB//feoB//ydfW//cusB//purL//yccA//gcvA//frdD//nfsB//osmY//baeS//
DnaA_pos	cusS//yiaJ//amn//hyaF//relA//metA//araC//
DpiA_neg	feoB//
DpiA_pos	hokD//lamB//intQ//hyfE//nrdB//dinG//yhjX//pdeR//ttdR//oppA//
DsdC_neg	tdcD//
DsdC_pos	narK//leuA//
EbgR_neg	accB//phnG//
EnvR_neg	recN//hybC//
EnvY_pos	rpoE//hcr//
EvgA_pos	ydhT//nirC//dinF//cho//fliI//yciX//ttdA//napD//sucB//srlD//pgm//iscU//garK//gcl//yqjI//ccmB//frdD//yhjA//csgE//
ExuR_neg	garR//gabD//sfsB//accA//grxA//acnA//nlpA//rimP//sulA//
FabR_neg	tdcC//nrdA//
FadR_neg	trpB//nhaA//gatD//prpD//fabI//hypE//motB//putP//tolC//gloA//purH//
FadR_pos	ccmH//aceE//aroP//hmp//lsrA//fbaB//glmY//alsA//yjiY//ecpA//lsrC//ccmA//
FeaR_pos	ychF//moaD//
FhlA_pos	oppB//arsR//aroP//hyfG//mazE//emrB//fldA//cas2//glpK//alkB//glnB//aceB//mdtC//crr//argO//cysB//cheA//folA//melA//lon//yjhB//zraP//rimK//entH//nuoH//ugpE//metK//emrK//hcaD//feoC//
FlhDC_neg	fpr//fadA//trpA//puuD//
FlhDC_pos	gyrA//folA//nrfF//trpE//puuC//pheT//paaE//atoB//uidB//tisB//glpK//glnL//yafP//nagB//rprA//leuO//entD//ydhV//ugpQ//sulA//yeaE//ppdA//nupC//hycD//fes//sdhC//flhB//yiaO//asnB//ftsW//metK//hycF//ttdA//lpxC//allS//rnpB//gcvP//recC//mdh//sroD//crr//cyoA//lsrK//pagP//dtpA//yciW//fepG//argC//ftnB//hycC//gltF//chbA//csgD//fadI//nanK//araE//nlpA//nrfD//ccmG//ycdZ//ydhV//ecpA//pflB//fliG//fadH//yfdV//entH//ppdC//ddlB//uxaC//gadB//pstA//accA//glnQ//tauB//yjbF//ecpR//fadB//
FliZ_neg	rplU//garR//creC//betA//glnB//caiF//artP//mhpC//mpl//purF//amn//yidQ//rarA//dgkA//icd//yncE//exuT//aroM//purF//recB//treB//
FucR_pos	amn//mhpD//fliF//hypF//fepC//alaS//fadR//
Fur_neg	uvrB//aceK//purK//symE//thiP//yiiS//creA//creB//kbaZ//rpiR//yqhD//xylG//phoE//hycA//ydeI//malF//astC//asnA//cysD//guaB//yhbE//sroC//tyrP//rcnA//ptrA//moeB//ydcV//gutM//thiQ//glcE//nanS//nikE//tonB//mcbA//gltJ//lldP//ampC//torD//nrfC//cyoA//pncB//moeB//ycjX//ydiV//hcp//argD//fecB//aroF//iraM//allS//marA//gadY//hyfI//purB//ddpX//hdeD//tdcD//ppc//nlpA//arsR//hcaC//adiC//rutE//tauC//obgE//fecD//napH//ecpA//agaR//citE//rbsB//dicC//galK//pgk//csgA//trpC//rffC//znuC//nuoL//cbl//potG//hdeB//pgaB//pstC//wecC//hycC//ydiU//phnI//lrhA//ugpB//mazG//fumC//ydhY//cdd//relA//ppiD//lacA//polA//hokD//ssuD//nuoC//motA//araC//oppC//srlD//zwf//xylF//trpD//symE//phnN//lpxD//thiP//potG//folE//argR//
Fur_pos	torA//creB//araF//lysP//dhaK//nemA//ybfE//pitB//dps//rimK//agaB//glnK//aroP//marR//bglG//atoA//citE//ebgC//puuP//rhaA//idnO//
GadE-RcsB_pos	murR//xylR//rtcA//hdeB//sodB//leuC//bioA//htpG//fhlA//
GadE_pos	nrfB//fiu//yjjQ//wzxE//aroF//treC//argF//cyoA//fliD//chbB//inaA//hflD//metF//fldA//leuC//hcaF//argE//ogt//accC//guaA//nfuA//sdhA//cyoD//ddpD//umpH//purA//mqsR//ycgZ//kdpF//
GadW_neg	hybE//cbl//ycjX//tsgA//yhbT//uvrA//feoC//spy//ftsZ//allC//tolC//
GadW_pos	pheM//purL//glpA//mntH//speA//nikB//hyfH//ydhX//glnL//lsrA//araH//
GadX_neg	glpF//argT//bacA//lacZ//nupC//caiC//
GadX_pos	dcuA//ppiD//phoE//yccT//metH//appY//gatY//glxK//rbsK//ynbA//fabH//recB//metE//manY//trpB//cydC//gspE//thiP//exbD//yfiB//asnB//fliR//rbsB//gabD//phnM//polB//fixC//
GalR_neg	yeaG//creD//speB//hcr//ftsW//symE//fdhF//glnP//dinG//yccA//
GalR_pos	ryhB//hycH//sufD//gntX//
GalS_neg	tauC//pck//lacY//pgaA//yebG//rffC//puuA//fadI//mntH//gadC//
GalS_pos	ydiV//ascF//cusS//dinG//
GatR_neg	glgP//yiiS//yeaH//treC//malG//rpmA//
GcvA_neg	yhbE//metL//ybiT//pspE//
GcvA_pos	tdcC//phoU//hyfA//deoB//
GlcC_neg	molR_1//
GlcC_pos	guaA//ssuA//ybhR//ygaC//dkgA//yhdY//
GlpR_neg	yrbL//nuoE//yedX//kbp//mraZ//yqhD//feoB//gabP//yhdW//
GlrR_pos	pstS//hyfE//nikR//fumC//ahpC//
GntR_neg	casE//dinD//murG//ahpC//citC//znuA//pdeH//metR//hybD//yjbG//dcuR//gltJ//
GutM_pos	nadA//mdtD//allE//nuoF//rclB//fdnG//uidC//
GutR_neg	nuoI//infC//tyrP//astA//gatD//dgkA//srlD//
HU_neg	glcC//micF//ydfX//tadA//rcnA//ydhW//gatB//dgcZ//
HU_pos	glcB//
HcaR_neg	glmS//
HcaR_pos	ccmB//astE//rprA//dmsA//ppdC//
HdfR_neg	gnd//ygeA//
HdfR_pos	csgD//napF//entA//
HigA_neg	puuC//mipA//
HigB-HigA_neg	ybfE//ydfW//
HipAB_neg	tnaB//araF//yegH//lysA//gpmA//
HipB_neg	caiD//rbsD//emrB//glcG//uvrC//icd//
HyfR_pos	fliI//hcaR//dgcZ//btuB//napH//nikA//nrdB//paaJ//yeiB//malI//flgG//baeR//
HypT_neg	creC//fabA//cecR//garP//feaR//
HypT_pos	yiiS//sufD//mprA//ydbK//malI//melB//gyrA//lldD//
IclR_neg	yiaK//tdcC//rbsK//ygbA//
IdnR_neg	pheS//yhiD//
IdnR_pos	stpA//rybA//ung//lexA//galP//
IlvY_neg	cynX//
IlvY_pos	rpiB//
IscR_neg	cysN//edd//ssuD//purE//gspL//ydjM//argT//ebgA//gatZ//ptrA//ssuA//gcvA//recB//rutB//caiE//ttdB//yccA//garK//ynfK//kbaZ//mdtB//
IscR_pos	gltK//puuC//uspD//gpmA//ygaC//tpiA//nikB//nrdH//lrp//glmU//gadA//
KdgR_neg	nrdE//cueO//
KdpE_pos	puuP//znuB//fhuD//yrbL//
LacI_neg	glpX//bglF//poxB//
LeuO_neg	paaI//hybE//agaD//
LeuO_pos	sdhC//wzxE//moaB//artI//csgG//artJ//cysM//manZ//kbaZ//ccmA//yqhD//glnA//lsrB//gcvT//rtcB//fimB//aroF//malZ//
LexA_neg	metI//modC//focB//nadB//carB//murD//metE//ariR//ynfE//hyfH//betT//glcF//fabA//ompF//hyfE//uspE//hyfD//tsx//ssrS//yhiM//glmY//lldR//casD//gspG//qseC//flgI//hyfI//cyoE//acrR//glpB//yjhC//garD//tcyP//gspE//gatC//yaiW//bdm//gspC//mhpD//citG//tam//appY//fliN//hyfF//tktB//tfaQ//rstB//mlrA//sgrS//mngA//dinG//nfo//lysO//galE//malX//dinI//flgI//tnaC//fliP//
LldR_neg	purE//osmY//flgI//
LldR_pos	argB//evgA//fliS//
LrhA_neg	yhbE//oxc//
LrhA_pos	metN//dinQ//
LsrR_neg	araA//dsdX//gadF//mlrA//lexA//fixC//yiaL//hycA//uvrC//
LysR_neg	flgK//
LysR_pos	ariR//
MalI_neg	cusA//rutD//nikR//
MalT_pos	flgC//glgC//dpiA//dapB//mtlD//ecpA//flgG//cynR//ycgZ//cusA//
MarA_neg	fhuA//ydcT//moaD//gcvP//dhaK//slyB//hyfR//
MarA_pos	moeA//creC//betA//fhuA//dgcZ//nuoB//glcC//gspF//adiC//hyaA//hybF//ybhR//murI//fes//fliD//gatZ//phnF//trpE//exbD//agaR//garK//argE//glyA//ydfX//pck//yeaE//ahpF//hybD//hyaB//paaH//ruvB//
MarR_neg	lpd//hyfG//lamB//
MatA_neg	hydN//ynfE//dapB//gutQ//tauD//guaA//
MatA_pos	intQ//hyfH//
MazE-MazF_neg	cynS//rseB//rpsO//
MazE_neg	kbaY//rpiB//hybO//
McbR_neg	ariR//
McbR_pos	ddpF//ampC//ugpE//
MelR_neg	sodB//arsB//flgB//
MelR_pos	puuR//fliI//nuoN//
MetJ_neg	glgC//puuR//nikD//tdcF//narG//rob//hdeD//pdeH//yjhC//ssuB//nrdG//nrfD//sgrT//araE//paaY//
MetR_neg	ldtB//trpC//
MetR_pos	wzc//moaE//rhaD//acnA//
MhpR_pos	dhaL//setA//nagB//casC//rdoA//mprA//
Mlc_neg	uidC//ogt//ibaG//lsrD//nrdI//entB//hybG//yfdV//cas1//tnaA//
MlrA_pos	pheT//gfcA//rpsO//narG//yfdX//wzxE//yciF//acnB//uvrB//tdcE//
MngR_neg	oppF//hyfD//fumC//
MntR_neg	galE//ykiA//lsrG//araH//
MntR_pos	caiD//
ModE_neg	pncB//ygiA//aroM//cysG//gdhA//nikE//cysK//hycE//hyaA//csgE//araD//ygbA//ydhV//yjjQ//recD//
ModE_pos	manX//fadH//kdpA//pheT//mazE//agaW//fecC//yhbT//ssuD//hisQ//ftsA//phnG//nrfG//flgE//gatZ//nuoI//cysU//dmsB//hcp//hycE//ftnA//melR//crr//gntT//creB//purR//cysW//ssuD//cadA//ompF//erpA//
MprA_neg	purR//rob//uspD//nrfB//ddpF//sgrT//
MqsA_neg	appY//codA//accC//motA//gspK//wzyE//uidB//srlD//
MraZ_neg	ompC//cysH//hokD//dkgB//hyfB//cynR//ymjD//kdpC//ynfH//csgA//betT//lexA//lysR//yedX//xylB//rfe//fucA//
MtlR_neg	trpR//stpA//fepA//
MurR_neg	fliM//phnL//cheW//
MurR_pos	ydfW//
Nac_neg	nhaA//fucU//artP//yhdY//acrD//hyfI//melR//cdd//yeaR//
Nac_pos	yciW//ydfD//wcaB//sgrR//rutD//gntU//mngR//polB//fadE//cysI//hisJ//metL//
NadR_neg	manY//leuC//artQ//rpoD//
NagC_neg	csgB//srlD//gspJ//srlB//yibQ//purD//idnD//ynbB//gadE//chbB//dsbG//kdpC//ydjM//fepC//paaG//hisP//ftsW//narG//tbpA//mdtD//dgcN//murD//relE//metA//cbl//glpQ//yegZ//yebG//bdm//yhjC//hycA//caiT//speA//
NagC_pos	rutF//tauB//garL//
NanR_neg	rpsU//focB//idnK//gltB//slt//aldA//argP//guaA//rutF//hokD//
NanR_pos	gltD//
NarL_neg	yoaG//yhbE//deoC//appX//hisM//fucO//ydeM//cpxQ//dinD//gspE//modC//fadI//nhaR//puuD//glgC//rffM//sgrS//ycjX//trpB//feaR//sgrS//codB//yciG//hyfG//casC//ssrS//pck//yjeV//mhpF//bglB//crl//nuoB//gadB//chbR//fecR//alkA//fixC//gltL//ftsA//fadM//cbl//yhjA//kbaZ//arsC//ddpD//ilvC//mazE//yedX//gatD//gspO//acnB//cynS//sufS//ugpQ//bioF//citF//mpl//rcnA//efeU_2//mazF//nuoK//mzrA//rprA//mipA//cadC//fau//argO//uxaC//yjbG//pqiB//lacY//mngR//agaC//nanK//lsrF//gspD//fliN//tyrB//pgaB//nfuA//hypD//fadL//patA//rpiB//sgbH//araG//mqsR//
NarL_pos	artJ//yhdW//cynT//glpF//argA//mraZ//fepB//potG//ydiU//tisB//gloA//yafP//yhdX//nupG//rbsB//puuD//nuoL//gpmM//ydfN//hycG//hisM//malM//uidB//mhpB//fecB//malZ//recN//lpd//fhuD//ftsK//tdcF//leuA//umpH//malG//bolA//mdtE//gadW//lolA//purE//tolC//uidC//lpxD//pfkA//
NarP_neg	phoQ//rutF//fliG//argG//tsgA//glgX//inaA//nikB//tdcC//poxB//murD//mtlR//pagP//nadA//torD//flu//fucU//napC//trpL//sucA//tehB//rbsB//yefM//ddpF//fliG//glpT//fecC//nhaA//puuE//phnM//leuC//ftsI//dgcN//
NarP_pos	copA//cas1//ttdR//rcnR//ttdB//ulaE//gspF//sucA//emrB//argA//phoP//yciW//hypD//phnO//ydcS//fabZ//galK//slyB//guaB//ybhG//yegR//mltF//crl//prpB//garP//trpA//aroG//trpC//glpD//pgaD//fau//mgrB//
NemR_neg	wecC//pyrC//cas1//
NhaR_pos	csgA//yeaE//ompF//ybiT//yecR//tyrR//rseA//
NikR_neg	cheA//casD//ulaB//ompN//hyfH//argH//
NimR_neg	tolC//molR_1//
NorR_neg	dtpA//
NorR_pos	csgA//srlA//
NrdR_neg	ydcV//lpxD//patD//acnB//exbD//iscU//psiF//srlE//nohA//
NsrR_neg	cusA//fhuB//metJ//astA//cysC//ychF//ygiA//rseA//lysA//srlE//fucI//galM//glgP//recX//purE//nuoJ//malG//wecB//allB//guaB//adiA//hcaE//ygeA//pheS//prpB//caiB//fliQ//ymiA//gltD//ydfX//zraR//napH//psiF//rclA//entF//rhaT//ddpX//caiA//serA//rutG//pspA//uxaB//rbsA//ygeH//artI//caiE//nrdE//uidC//rimK//dcuB//glnA//fadA//ydhU//talA//dcuS//lhgO//yeiL//rtcB//cysD//nfsB//umuC//glnG//umuD//hdeA//flhB//deoC//metA//lldP//artI//tyrA//cyoE//fdnI//frdD//yjjQ//fhuA//fabH//lpxD//treR//ydfX//trpD//lacY//fabA//yafN//
NtrC_neg	dcuD//fucO//lsrR//yfaE//hcaC//mglB//
NtrC_pos	frdB//yecR//napF//bioA//zwf//acrD//yefM//agaA//gcvP//psiE//emrK//glnD//hydN//efeU_2//ftsL//frc//hyfB//lacZ//purM//polB//amtB//tsgA//yeaH//gabP//casA//rarA//tauB//epd//focA//paaZ//fbaB//recX//uidB//nuoH//ebgA//narL//fdnH//rsmH//gntX//agaS//nikC//slt//nagE//mntP//fbaB//pyrD//insK//alsC//glnL//
OmpR_neg	intQ//dpiA//ruvA//fliS//caiD//nrfG//rplU//polB//kbp//aroH//ynbC//kdpF//
OmpR_pos	adiC//ddpF//lhgO//yecT//cusA//ydfE//feaR//fdhF//tdcF//glcB//
OxyR_neg	trpC//bluF//hycD//srlA//gfcA//cadC//nanT//waaH//ccmD//ydeP//recN//fabA//
OxyR_pos	nfuA//cyoB//aroH//hcr//ygdB//paaJ//kdpB//phnM//modA//ccmG//ynbC//yjiY//sufB//araC//cpxP//sodB//yneM//nfuA//fliD//fadL//gadY//wecC//
PaaX_neg	argG//accB//gnd//nrfG//tyrB//cynS//yjbH//rpoH//sgbH//ung//purH//mhpB//feoC//cysH//
PdeL_pos	caiE//
PdhR_neg	btuB//hdeA//pstS//ycjX//manX//yqjI//emrB//kdpB//moeA//mipA//cueO//aceK//ttdT//norV//trpD//entH//malX//frdD//rutR//ogt//fabI//nuoM//ynbC//glnB//ung//dhaR//ydhY//ssrS//dicC//purC//pdeR//mgrR//appX//nanT//zraP//wrbA//
PdhR_pos	dinF//astD//dps//mntP//wcaB//
PepA_neg	cvpA//nrdE//yegR//
PgrR_neg	argD//ugpQ//envC//nfo//nagA//glgX//metJ//xylH//
PhoB_neg	hyfJ//yciE//cynR//casA//hycI//rpoE//gadA//argE//baeR//fucU//dsbA//hyaD//
PhoB_pos	hha//phoR//talA//fdnI//uvrC//mglC//nhaA//qseB//tonB//galE//bglF//rutF//mdtB//sufS//mntP//paaH//metY//cusS//dctA//dinI//cdaR//zraR//rpoS//nohA//rutR//fes//nrdA//yaiW//araE//dgcZ//nfo//atoE//argD//guaA//crl//puuR//fhuB//caiB//inaA//allE//pdeR//ynbB//acrB//entC//phoA//mdtB//rpsO//aroF//yjbE//bioD//rarA//rcnR//yciX//
PhoP_neg	yiaK//bioA//dinI//gltL//fucK//nagA//srlB//ydfN//torC//hokD//gltD//
PhoP_pos	paaF//fiu//cysN//lgoR//oxyR//hipB//mglA//ydeO//exbB//glcE//hmp//flgA//hcaD//nuoG//skp//hybC//argE//wzc//ftsL//cusB//thrS//murC//ugpA//lrp//cdd//flgL//rclB//flgA//metK//gapA//pgpC//nemR//udp//rpmI//malQ//adiC//ttdA//inaA//norW//hyfC//argD//ydhT//wcaB//astB//ykgO//puuA//dgcN//gspE//
PrpR_neg	mtlD//
PrpR_pos	kdpF//cynT//cusA//ydeI//
PspF_neg	hyaC//
PspF_pos	cysI//ccmH//flgA//hcp//nuoE//fliA//
PurR_neg	ybbW//micF//ada//cpxR//ubiC//dps//bdm//mpaA//dicC//yhbE//ybiT//pgaD//hyfG//puuP//modB//dsbG//rpoD//evgA//agaI//tisB//dicC//fadJ//pstS//hyaA//cysA//bluF//xapB//narX//ydhY//tyrR//dpiA//
PutA_neg	garD//gadA//
PuuR_neg	glgX//pheM//fliP//frdA//hdeD//cysK//umpH//
QseB_pos	pfkA//baeS//exbB//fhuD//
RbsR_neg	accC//glcE//aidB//rutR//uxuB//recD//yfdE//norR//
RbsR_pos	paaG//
RcdA_neg	recA//hycA//
RcdA_pos	nfuA//dcuA//nmpC//rutR//fadM//yfbR//wcaA//
RclR_pos	ppdA//dmsA//gatD//
RcnR_neg	tnaA//rutE//yccT//
RcsAB_neg	ygeH//metI//nrfB//glnL//mglA//citD//
RcsAB_pos	nrfG//oxc//fixC//nhaA//pagP//moaE//acnB//galR//pgm//fepE//
RcsB-BglJ_pos	tdcD//recX//norV//murC//ygeA//yafQ//intQ//tbpA//csgD//mlrA//ptrA//araJ//hns//nlpA//caiT//omrA//
RcsB_neg	folA//yeaH//
RcsB_pos	rbsK//yiaN//sodB//narK//gltD//ygeA//lsrA//rpmI//poxB//argE//cusB//paaD//ygaC//pqiA//ynbA//yciX//rbsA//iraP//gpmM//mglC//gntT//idnO//rcsA//
RelB-RelE_neg	gadX//mprA//fau//
RelB_neg	dmsA//argD//ycgR//
RhaR_pos	gpmA//pstB//
RhaS_pos	uvrY//glcA//citE//uxuB//csgB//ymiA//
Rob_neg	gabT//
Rob_pos	marA//motB//napA//yjbH//paaA//uspE//metC//ssrS//folA//lldR//glpD//leuL//gadB//sutR//idnR//tnaA//yjbG//dkgA//nikE//gltB//dcuB//csgD//bolA//pstC//ssb//
RstA_neg	crp//xylH//decR//hyfB//malM//
RstA_pos	yhdW//fimB//cynR//nuoA//araE//
RtcR_pos	kbaZ//agaA//
RutR_neg	fixX//glpF//iclR//rutD//fbaA//nfo//yrbL//gltB//yagK//ubiC//norV//yecR//frdB//baeS//glcA//
RutR_pos	add//fadA//
SdiA_neg	pheM//ybhL//fliK//
SdiA_pos	glpD//hyfR//nikD//
SgrR_neg	fliE//epd//phoH//paaZ//glnA//
SgrR_pos	fbaB//ybhG//uvrY//cyoC//
SlyA_pos	ccmD//
SoxR_neg	treC//
SoxR_pos	ftsK//ygeH//
SoxS_neg	ulaD//fur//
SoxS_pos	fucI//flgF//crp//potH//cho//glpQ//ybhF//ddlB//dnaG//pgaC//fixX//rbsR//iscA//pnp//tdcA//tauD//rclB//yqhD//cynT//deoA//gspD//mglC//glcA//ecpA//dmsC//ycjF//dinI//tyrB//rstB//umpH//xylG//ybhR//yciG//gcvH//gspG//micF//hyfR//metE//
StpA_neg	yjjZ//truB//dmsA//fixX//kbaY//pgaB//rcnB//
SutR_neg	gspI//alaC//hycC//flgM//cpxR//
SutR_pos	sgrT//
TdcA_pos	wcaB//nrfD//flgC//entH//fliO//motA//ptsH//
TdcR_pos	ygiC//ecpA//relB//phoE//ycjF//tomB//ptsG//
TorR_neg	cysH//phnI//nupC//
TorR_pos	nuoI//agaI//rhaB//gspF//sroA//gadE//ribA//ycjF//nadA//
TreR_neg	yhiD//dps//
TrpR_neg	pfkA//artI//fucI//ampC//nrfC//creA//flgL//gadF//galM//borD//ftsQ//mngB//
TyrR_neg	aroG//yegH//spy//ydhW//ugpQ//cspI//katG//srlA//gpmA//uvrD//
TyrR_pos	asr//dcuA//galT//
UhpA_pos	hybO//
UidR_neg	cecR//ahpF//ahpF//nagC//
UlaR_neg	rseB//fabH//agaA//argC//yciE//ygdB//fucR//
UvrY_pos	ppc//grxA//mipA//sgrR//emrB//
UxuR_neg	ybiT//dhaK//csgB//potI//flgF//efeU_1//decR//torD//phoP//
XapR_pos	ccmB//xapB//
XylR_neg	cadB//
XylR_pos	hypD//lacY//wecB//eda//fhuA//cadA//
YdeO_neg	arsR//oxyS//
YdeO_pos	hypF//allB//omrB//fliN//epd//accB//lysA//gntU//rhaD//agaV//nikA//phnE_1//garL//glgA//glpX//ulaG//oppB//paaH//alkA//
YedW_neg	tpiA//tsx//dinI//nanC//hybE//
YedW_pos	moaC//fldB//lpxA//ymjC//fadE//tyrB//aidB//
YefM-YoeB_neg	mdtF//rhaB//
YefM_neg	lsrA//sbcD//
YehT_pos	aroP//
YeiL_pos	lolA//
YiaJ_neg	lsrC//rpiR//idnO//fadE//narL//hybB//fhuC//glnA//oppF//potH//
YjjQ_neg	cbl//borD//srlB//setA//murG//fecC//ybfE//torR//mtr//recN//
YpdB_pos	rstB//
YqhC_pos	hycC//dinJ//
YqjI_neg	uxuR//creD//
ZntR_pos	cheW//
ZraR_pos	ttdR//malS//iscA//
Zur_neg	ykiA//cynX//fliR//tsgA//yciF//fruK//
