#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	pepD//ttdR//
CytR_neg	flgF//gadY//ybiT//potG//feaR//mepH//lsrB//wrbA//csgG//rhaT//paaH//pheM//hybC//
Dan_pos	malG//narH//yciX//yhdZ//
DcuR_pos	dctA//yjjZ//glcE//yjjQ//codB//fepC//puuE//ycdZ//frdB//
DeoR_neg	nikC//malQ//hyfH//hyfD//recN//dsbA//
DhaR_neg	yafO//
DhaR_pos	yebE//purH//yafO//
DicA_neg	ppiA//rstB//lhgO//hybG//leuC//hcr//exbD//cbl//
DinJ-YafQ_neg	waaH//gadA//sufA//
DnaA_neg	ybhR//osmB//gntX//yhbS//ssuA//fliJ//garP//deoC//sgbH//nupG//metB//
DnaA_pos	borD//nikA//lsrB//pqiA//rffG//dcuS//lsrF//
DpiA_neg	pheS//
DpiA_pos	ynbA//cynT//sbcC//argP//dsbC//flgI//yfdE//icd//phnP//uvrB//
DsdC_neg	lacA//
DsdC_pos	pyrD//ydhV//
EbgR_neg	bacA//hycF//
EnvR_neg	sroC//chbB//
EnvY_pos	srlD//bioF//
EvgA_pos	rbsD//ychF//caiE//nanC//paaY//fabD//xylF//iscR//evgS//gspF//argD//rplU//fepA//dctR//entB//leuA//rseA//uvrC//rpmI//
ExuR_neg	purN//moaB//ynfK//agaW//cdaR//lacY//rutA//deoA//gcvB//
FabR_neg	malQ//moeA//
FadR_neg	ompN//cyoC//phoR//paaE//sufA//bioF//fumC//creC//malF//ssrS//murQ//
FadR_pos	uidA//dnaN//grcA//sroD//accC//srlE//copA//fumB//acrD//ynfK//lsrA//yoaC//
FeaR_pos	modB//pepD//
FhlA_pos	fecC//betA//dmsD//glgB//deoC//rutB//metB//pstB//paaI//recA//dgcC//pspG//gntT//argA//ccmC//hslJ//purK//ada//malP//lrhA//pstS//pepD//hdeB//glyA//napD//mgrB//hyaF//lysA//hyaC//hybF//
FlhDC_neg	fpr//accC//lysC//idnK//
FlhDC_pos	ibaG//yeaE//gutQ//fldB//srlE//yedX//cysU//iclR//gntX//manY//ybhR//dcuA//oppA//metE//wzzE//appY//znuB//phnL//ydbD//fliE//ecnB//sgrR//ddpX//hybC//nanM//yegH//mipA//glnK//mlc//osmY//nuoH//tauD//gloA//rstB//mhpA//fixB//nrfD//eda//rnlB//ydhY//phnM//tpiA//artP//ybfN//fadM//gltB//aspC//xapA//rbsD//fumC//cra//glgB//crl//ycdZ//pgaB//flgA//hycG//napD//sulA//bdm//gcvA//gltF//ftsK//chbG//rhaD//nrdD//phnH//ppdA//norW//hybE//srlE//rhaD//frdB//gspI//gcl//aroM//fbaA//tyrB//
FliZ_neg	ccmA//pspD//nlpA//mhpD//fbaB//mnmG//tbpA//asnC//mlc//gspC//setA//argR//yciX//pdhR//flgM//gspM//yidQ//paaD//moaB//guaB//ydeO//
FucR_pos	skp//ppdC//metB//nuoH//phnC//gutQ//hyfE//
Fur_neg	astE//artP//cdaR//deoA//torR//chbC//mraY//ftnB//appB//astB//ulaB//fadR//appB//srlR//fucR//pyrC//ptsG//zwf//rutB//betB//fixX//rutB//melB//potI//fhlA//pitB//mnmG//garD//higA//aspA//dicB//tdcA//yiaK//fabD//ybdZ//nrdB//pspD//gadF//mdtC//soxS//narH//feoC//argP//truB//oxyR//flgE//fucI//yiaN//leuD//flhA//moaA//chbB//deoB//uspE//ccmF//hisM//glnG//omrB//lhgO//slyB//napD//fadH//yiaO//potI//ecpA//cirA//uxuR//ibaG//gcvH//citG//nuoA//ynfG//pspE//potG//cdd//osmY//casC//yciW//appB//fbaA//leuL//cirA//rffM//argR//hycH//gntX//fadA//oppC//rffM//edd//ycjX//gntP//ynfF//csgG//adiA//pepD//glcB//qseB//hisP//atoE//lrp//kbp//zraS//cysD//tsx//metR//flhA//flhE//purB//cusR//ybfN//ptrA//phoP//hipA//yqhG//
Fur_pos	wzb//xylH//ddpC//torC//hflD//aroL//decR//nanC//mdtD//uvrB//rhaS//codA//fliP//metL//phnP//accA//puuB//appX//aspA//yegH//leuB//
GadE-RcsB_pos	dgcZ//alkB//ccmC//pgaC//pspF//argC//ftsQ//yoeB//bdcA//
GadE_pos	ssrS//zntA//mntS//ygiB//ftsA//rtcB//glxK//phoR//dpiA//nuoN//yhbS//aroP//ppiD//pnuC//ydfN//citC//citC//phoQ//ppiA//ychF//dcuA//yebG//phoU//marA//dhaK//yoeB//ugpE//glcG//paaJ//
GadW_neg	fau//hycC//grxD//obgE//grxA//nrdE//mdh//dgcN//puuR//ydbK//srlA//
GadW_pos	phnP//fabB//yqhG//hycF//ibaG//nuoK//bamE//mlrA//deoD//alkB//ssuD//
GadX_neg	bioD//fumC//soxS//ydiV//treB//fnr//
GadX_pos	rtcA//hycB//hycH//phoQ//ycdZ//nfsB//flgN//yecT//fecI//hycH//aceB//araF//nfuA//atoB//hybG//nuoI//aroM//flgB//arsB//cpxP//uof//murI//dsbC//hdeA//lysA//rstA//rimP//
GalR_neg	narL//paaE//wzzE//uhpT//glnG//sutR//eno//modC//pdeH//rfe//
GalR_pos	pspF//hybB//dctR//csgF//
GalS_neg	nrfG//uof//lpxD//flu//glgB//pgaC//moaD//mhpF//rnlA//hydN//
GalS_pos	fabB//acrD//hcaB//yeiL//
GatR_neg	ybhF//sdhC//ydfD//nanK//yhhY//rffM//
GcvA_neg	gntP//fadJ//nuoK//murG//
GcvA_pos	mazF//astA//tktB//ydiU//
GlcC_neg	dkgB//
GlcC_pos	fixB//nrfF//dcuR//trpR//metF//mprA//
GlpR_neg	cydC//trpA//hybF//pqiA//hcaB//ydfX//glnP//ynfG//pspF//
GlrR_pos	oppB//lysP//gpmA//rtcB//araH//
GntR_neg	exbB//srlE//fliO//ada//nrdH//atoB//fabH//iraM//hns//hycF//motA//yoaG//
GutM_pos	htpG//cyoB//ompN//alsC//nanS//rhaS//cdd//
GutR_neg	wecB//allE//csgE//qseB//yjjZ//waaH//pfkA//
HU_neg	puuD//ybaS//ptsH//trpA//torD//ulaF//znuC//rutD//
HU_pos	cysA//
HcaR_neg	mtlD//
HcaR_pos	glnA//adhE//umpH//fliF//nuoL//
HdfR_neg	cheA//ccmC//
HdfR_pos	ddlB//lyxK//sufS//
HigA_neg	bioC//yjbF//
HigB-HigA_neg	artQ//metN//
HipAB_neg	glcF//flgM//rffH//lldD//zwf//
HipB_neg	ydfX//fixB//hyfB//agaB//metH//rpoH//
HyfR_pos	dsbA//deoB//paaF//focA//iraM//lpxC//bioF//psiF//agaS//mntH//soxS//thiQ//
HypT_neg	malX//bioC//rclB//adiA//pykF//
HypT_pos	glcB//ygiZ//rutF//nrfD//hflD//hyfB//lgoR//sbcD//
IclR_neg	cyoE//dcuD//napB//yqhD//
IdnR_neg	sodA//yeaE//
IdnR_pos	garL//yqhD//flhE//entD//ccmH//
IlvY_neg	mhpD//
IlvY_pos	ybhG//
IscR_neg	ybfN//mhpT//nanA//rcsA//exuT//acnB//caiE//nhaA//araH//purL//hyi//ygiC//mhpA//fhlA//garP//hslJ//treB//flgN//prs//narG//astB//
IscR_pos	pheS//pdhR//moaA//ppiA//deoB//nagC//lsrF//glcD//allE//mazG//dinF//
KdgR_neg	acrD//motA//
KdpE_pos	ppiD//ydhX//nrdF//mglC//
LacI_neg	cheW//cusR//cyoE//
LeuO_neg	ppsA//rpiR//yebG//
LeuO_pos	rnlA//pstA//ydhX//appX//lolA//csiD//dgkA//gspG//yjeV//ybjG//fhuB//phnF//adiC//nrfD//nrfG//setA//fadJ//puuD//
LexA_neg	rbsB//trpE//agaD//zraR//grxD//fldB//hyfC//paaJ//cspI//yafP//dacC//fldA//gadW//ftnB//recA//yfbR//bioA//srlD//mtr//efeU_2//hybF//cas2//glcA//ddpA//mgtL//cpxQ//hflD//tadA//fadH//malT//norR//yjhC//ptrA//mgrB//flgE//glnA//mipA//lsrG//tsx//dgcC//galE//mdtD//phoA//umuD//fur//bioF//waaH//marR//patA//sgbE//nuoA//mqsR//uvrD//phnE_2//yciW//pstS//emrA//micF//murR//
LldR_neg	ycjF//trpA//mtlR//
LldR_pos	phnC//aceB//dhaL//
LrhA_neg	ydeN//exuT//
LrhA_pos	ydjM//fumB//
LsrR_neg	glnH//cspD//hyfD//mazE//ccmH//wzzE//cyoD//nagA//puuC//
LysR_neg	pstS//
LysR_pos	cvpA//
MalI_neg	ydeP//nagA//ydiV//
MalT_pos	cyoA//puuD//entD//gadA//casE//fimB//ppiD//trpD//chbF//glcA//
MarA_neg	yiaM//sgrS//hcaD//hokE//csgG//fepE//sgbH//
MarA_pos	putP//focA//copA//appA//purR//nanS//acrR//yafN//fliZ//ariR//phoH//malQ//prpR//trpB//moeB//bglJ//yecR//sgbE//fdhF//pdeR//flgL//dhaL//sgbE//glnD//yciX//fecE//yibQ//idnR//ruvB//isrC//lsrB//
MarR_neg	ompN//skp//zinT//
MatA_neg	feaB//araJ//ftnA//pheT//glnH//nadA//
MatA_pos	dps//asr//
MazE-MazF_neg	rbsD//mcbA//fliM//
MazE_neg	arsR//fepE//cdd//
McbR_neg	ybdZ//
McbR_pos	fepD//malP//ybdN//
MelR_neg	mqsR//rffC//sgbU//
MelR_pos	fadH//mtlD//casC//
MetJ_neg	acrR//ynfK//cusR//hokE//gcvP//hcr//mdtA//degP//ybhL//feaR//gadW//moeA//bioD//ubiX//yafP//
MetR_neg	fliK//sufD//
MetR_pos	bglB//hybD//creD//spy//
MhpR_pos	gpmA//alsB//artP//gspK//ecpA//deoB//
Mlc_neg	torD//pstB//thiP//dnaG//ybfE//sroA//fhlA//yccA//tauB//modB//
MlrA_pos	yjiY//glpB//casD//ftsI//tpiA//glgX//astB//ldtD//zraS//yrbL//
MngR_neg	mglB//rutR//lacZ//
MntR_neg	rcnR//ddpF//dgkA//dpiA//
MntR_pos	nemA//
ModE_neg	gspE//nirB//ftsI//phnL//glgB//yegH//baeR//glpC//yeaD//hyfA//modB//marA//mdtF//aceE//aceF//
ModE_pos	ppdB//alsB//ydeO//narX//decR//hipA//agaB//tolC//rseC//grxA//lacY//napH//mdtB//creB//yiaJ//dcuS//xapA//ycdZ//gabT//ydeP//fdnI//ygaC//polA//flhC//lacA//mglA//lolA//yfiR//asnB//yeiL//asr//
MprA_neg	moaD//lpd//edd//zinT//ssuE//nupC//
MqsA_neg	folE//allA//purH//fepB//mglA//nimR//patA//ung//
MraZ_neg	creC//mtlA//hyfA//hyfI//mpl//gpmM//csgA//ppdC//dapD//ppc//metN//glxK//phoR//ydiV//rstA//ycjG//leuA//
MtlR_neg	betB//efeU_2//xapA//
MurR_neg	ftsZ//dnaN//malF//
MurR_pos	pgm//
Nac_neg	fabI//chiP//bdcA//cysW//lpxA//amn//ydeO//sgrR//wzzE//
Nac_pos	baeS//udp//crl//nfuA//rutD//bglJ//xylG//mhpE//murG//gcl//ftsA//hyaC//
NadR_neg	ddpC//glgB//uxaB//ynfE//
NagC_neg	yhiM//lpxC//psiF//gadB//atoA//gltF//frdD//phnJ//yjjQ//aroF//ygiC//marB//fldB//sbmC//narX//cynX//narI//glnL//nrdD//hcaE//trpL//gatA//malP//flhE//napF//pflB//dgcZ//paaE//nuoB//nuoK//pgaC//ycdZ//sdhB//
NagC_pos	nrfE//ygeH//ydfX//
NanR_neg	yaiW//trxC//xylA//ybaS//tynA//ydhV//ybjC//dsbA//nfsB//allS//
NanR_pos	sgrT//
NarL_neg	zraP//ynjI//yfaE//epd//motB//pyrC//fepG//cspD//aroF//caiC//gcvT//ycjX//nrfA//ecpA//ygiB//cydA//pspG//rpiB//aceB//ynjI//yoeB//bglB//malF//ppc//fimE//manY//carB//ddpB//gyrA//dsbA//bglF//xapA//citC//malY//caiF//yccT//murG//fliN//hypC//exbD//katE//ttdR//putA//uvrC//ebgA//pstA//mdtB//pgaB//csgF//lamB//lysO//agaD//nrdB//metA//aceF//prs//oppF//codA//leuD//paaB//glpA//atoB//waaH//lldP//mazG//garD//fepB//uspE//malG//ydhW//pnp//fdnH//ubiX//hcr//wcaA//phoU//ybiT//epd//hokD//dinB//glpQ//hipB//pgaA//fldB//tsgA//ruvA//glmS//
NarL_pos	cadA//yjjQ//mtlA//dsdC//tauA//hdeA//ddpD//fimE//yciG//dcuA//dcuB//gltI//gspD//glyA//araD//nemR//ibaG//osmC//dgcC//tauA//pgaD//yhdY//chbB//trpA//nikE//glcF//chbF//mhpB//phoQ//hypF//dmsB//talA//agaV//fucK//aroG//flgB//trpB//ybfE//malI//rpiR//hycG//astE//fecD//
NarP_neg	uidA//rpmI//galP//rpsU//acnA//umuC//sroD//fruK//phnP//uxaA//modA//entF//fadR//lamB//ybhF//yiaL//gatZ//nadA//cpxP//sucA//insD//citC//fruA//bluF//murE//tnaC//rutR//entE//nuoH//rfe//ycdZ//ung//xapB//
NarP_pos	ydhU//uhpT//bioD//nupC//casB//ulaB//phnI//phoR//yhjC//bolA//melR//dps//rutR//xylB//fdnH//metI//pstS//fhuC//fadL//mgtL//yeiB//mhpD//ygbK//lsrK//hcr//lacY//evgS//sbmA//manY//yneM//ssrS//nirD//
NemR_neg	molR_1//sufA//pspA//
NhaR_pos	hcaB//yoaG//creB//poxB//yhiD//napA//agaA//
NikR_neg	galM//wecB//rutC//napF//bioF//pdeL//
NimR_neg	flgM//fruK//
NorR_neg	bioF//
NorR_pos	iraP//focA//
NrdR_neg	phoA//ugpQ//dapD//astD//nfsA//ebgA//casE//gadC//rcnA//
NsrR_neg	ascB//osmY//emrA//ilvC//gadF//rffM//casD//paaK//grcA//ppdB//bdm//argR//cdd//mqsR//trpA//ecpA//ynjI//metK//ptsI//ihfA//uhpT//glnP//gspM//ybjC//hns//napC//rclB//aceF//deoC//molR_1//idnO//grcA//glyA//rcnA//ygdB//wcaA//fliL//araJ//nanC//lpd//hyi//pgm//uvrY//dctR//evgS//ecpA//napF//agaD//ydfD//uspE//citX//cysD//glpA//flgF//rutD//cbl//sutR//rutF//fes//ytfE//creC//trpD//yebE//bolA//yjbH//atoD//srlD//yjbE//yeaG//csrC//oxc//nikE//citG//fecE//potH//rarA//araB//ynfK//murE//exbB//amn//casD//sroC//
NtrC_neg	garP//ftnB//napB//uxuA//ndh//mhpF//
NtrC_pos	exbB//torA//amn//ubiX//metF//ydhY//crr//rbsA//alsB//luxS//cyoA//yfbR//pspB//ynbA//yncE//dctR//nimT//fliQ//emrY//dsdA//nuoG//gadY//mtlR//ydhU//safA//pgi//atoE//nuoF//dapD//rutD//gltD//glgP//gspD//yfdE//ulaG//accD//ddpX//ybaT//mipA//tadA//ampC//ydiV//crr//yafP//fliL//yfaE//rimK//fliL//nuoF//
OmpR_neg	ogt//appC//hycA//tsx//flgD//nuoF//nmpC//yaiW//yegH//fliM//csgE//metB//
OmpR_pos	hycF//hisM//fhuC//tnaA//xapB//lyxK//relE//nhaR//tauC//ddlB//
OxyR_neg	pspF//rpsU//gltF//gspG//cydA//fliO//casB//glmY//ybhF//mntP//pyrD//ssuB//
OxyR_pos	rhaT//setA//rhaR//araC//fes//alkB//ugpB//guaA//ygiZ//fdnG//mipA//ybfN//kdpC//hybD//ygiC//ychF//uof//gadC//rpsO//nikE//puuC//pck//
PaaX_neg	gfcA//emrK//gloA//gadB//frdC//ynbD//rutE//ygeA//ydbK//guaB//sdhA//xylF//nikE//poxB//
PdeL_pos	dgkA//
PdhR_neg	asnA//sufC//cyoC//ttdR//degP//ydfX//rpsO//deoD//flgG//bacA//hypF//leuC//hokE//hemL//bacA//safA//fepD//aroG//accC//nmpC//xapB//purF//mioC//bglF//nrfA//nupC//fliM//slyB//allC//mepH//sutR//ecnB//molR_1//aroH//ydiV//yeaG//
PdhR_pos	nanS//dps//fliK//tdcG//nanC//
PepA_neg	fixX//hokD//nikA//
PgrR_neg	evgA//uspD//gspH//murC//paaI//pspB//lrp//hokD//
PhoB_neg	hcaR//putA//bioB//osmC//hcaR//fdhF//xylA//thiP//yccT//hns//fadB//metL//
PhoB_pos	pgk//yhdW//napF//rbfA//pnuC//sroA//rhaT//chbA//malS//trxC//allS//ddpX//yecR//fadA//araJ//mngR//ynbC//dinJ//sufB//hyaC//purM//hypE//ttdT//obgE//iraM//mglC//trpL//hyaB//ydbK//oppC//hdeA//atoE//sodA//glnP//dmsD//ubiA//gntU//add//gatA//casB//deoA//emrB//guaB//gltF//cynT//fepD//yiaN//rutC//lamB//tonB//cusB//mdtE//ompC//
PhoP_neg	fepE//fabD//fldA//nrfC//yeaR//yhhY//sbcD//argD//aroP//ydeM//ydhU//
PhoP_pos	chiP//sucB//uidB//fepC//dinI//cdaR//dtpA//yeaE//yecT//ubiC//cbl//caiB//hisP//hha//ppc//nfuA//bdm//nuoE//pdhR//modB//sucA//yfdE//marR//wzxE//yccT//arsR//agaI//gspD//phnH//sgbH//ymgA//rhaR//rseC//rhaR//uxaA//ppc//omrA//yhbE//argH//garK//murG//dgcC//hyfG//metJ//tsr//mdh//znuA//citG//
PrpR_neg	oppB//
PrpR_pos	decR//feaR//yhjA//yhdW//
PspF_neg	allS//
PspF_pos	motA//phnH//fes//yfiR//pspD//rclC//
PurR_neg	sgbH//ptsG//mraY//araJ//manZ//malY//cytR//mglC//yegZ//cadC//nanC//hcaC//tyrA//iscA//rhaS//yegR//umpH//argP//fliZ//glmY//yafN//yiaO//tonB//phnH//aceE//nupG//appB//hyi//cusC//gadW//mazF//
PutA_neg	mazG//phr//
PuuR_neg	ptsI//ychF//zwf//nanE//marB//garR//cydB//
QseB_pos	rhaS//nusA//csrC//lsrB//
RbsR_neg	metE//feaB//mngB//uxaA//argH//dsdA//copA//dcuB//
RbsR_pos	agaD//
RcdA_neg	lsrK//paaJ//
RcdA_pos	phnH//allB//codA//gltI//bioC//hyi//ecnB//
RclR_pos	rpoD//dicC//nirB//
RcnR_neg	glnP//tfaQ//fliH//
RcsAB_neg	folA//hyaB//motB//flhE//murP//fliM//
RcsAB_pos	glxK//aldA//flgE//gltJ//yebG//yccT//ybbY//paaY//infB//aspC//
RcsB-BglJ_pos	fimB//sucD//emrA//yfbR//deoC//nrfE//tdcF//lysO//rdoA//phnC//ugpC//wcaA//hypB//ydhY//wzzE//sbmA//
RcsB_neg	fucK//pdeR//
RcsB_pos	uxuR//glmU//malG//ppc//bioA//fixC//araD//waaY//aceA//tauC//hyfR//glnQ//fruB//yebE//yciW//kdpB//mdtC//fucO//csgA//glnB//ahpF//grxA//cbl//
RelB-RelE_neg	flgA//argT//rimP//
RelB_neg	ycjG//rhaT//gadC//
RhaR_pos	citC//ynjI//
RhaS_pos	adhE//nfo//yeiB//nrfB//nikA//malM//
Rob_neg	rffM//
Rob_pos	ppdA//ycjF//nhaR//relB//cas2//phoB//asr//hycD//pgaC//yiaK//bioF//betB//hyaC//ddpF//dps//yoeB//nanA//mhpF//srlB//aspC//artM//yiaN//chbC//tyrR//artM//
RstA_neg	ygeA//lysA//ygeH//citD//gfcA//
RstA_pos	potI//btuB//dps//arsC//ydcU//
RtcR_pos	higA//osmC//
RutR_neg	cydC//ytfE//yccA//ppc//argT//sbcC//mtlR//wecB//mdtA//ppc//mtlR//bioD//fabH//cas2//pgpC//
RutR_pos	rtcB//ycgR//
SdiA_neg	hyaC//phnG//ytfE//
SdiA_pos	lpd//cydB//lexA//
SgrR_neg	puuA//araF//rstA//ssuB//tam//
SgrR_pos	ygiA//pykF//ulaD//higB//
SlyA_pos	cysE//
SoxR_neg	bacA//
SoxR_pos	yiaN//arsR//
SoxS_neg	gor//sufB//
SoxS_pos	purK//wzb//garD//mltF//dinI//ppdA//pykF//csgD//symE//srlR//lhgO//wrbA//lacZ//rcsA//acrA//malG//lpxC//ftsQ//mraY//moaC//araJ//alsA//moeA//rhaA//safA//hyfC//tehA//fadL//hlyE//hcaE//yegZ//ulaA//nhaA//lysR//yafP//kdpF//lacY//ygbA//
StpA_neg	rtcA//lacA//ppdB//fumB//nuoJ//tdcC//relB//
SutR_neg	iscA//dnaG//narK//phoP//sfsB//
SutR_pos	mraY//
TdcA_pos	flgC//gltL//ydcU//metY//nusA//ahpF//yciE//
TdcR_pos	ydhU//dctR//ycgZ//rtcB//gntX//yfdE//tdcC//
TorR_neg	motB//deoB//yhbS//
TorR_pos	ynfH//cbl//tyrA//nikA//ydcU//ppc//phnP//galR//speB//
TreR_neg	ymiA//flgC//
TrpR_neg	mpl//hycH//manZ//napF//fadR//ldtD//mlc//rhaB//iraP//cysH//nac//ulaA//
TyrR_neg	yjjQ//chbC//aroG//rtcA//ccmD//feaB//hns//yebE//metR//mraZ//
TyrR_pos	entB//pspF//gspI//
UhpA_pos	murF//
UidR_neg	yncE//galT//dmsC//fabI//
UlaR_neg	rhaA//marR//icd//torD//rimP//fldA//agaR//
UvrY_pos	phnE_2//lacA//nikE//yecR//ydeO//
UxuR_neg	tdcA//yegR//lysA//ppsA//hisP//potH//betI//recC//uxaA//
XapR_pos	glpT//cvpA//
XylR_neg	purF//
XylR_pos	rnlB//hcaF//rpsO//glcE//citD//cysU//
YdeO_neg	dsbA//gatZ//
YdeO_pos	dcuB//fliH//gudP//gudD//phoB//hyfH//nemR//yfdE//yciF//prpE//phoU//yidL//hybE//hycG//casE//nuoG//glpF//atoA//mngR//
YedW_neg	ydfW//treC//rutD//pspD//oxyR//
YedW_pos	phnL//tcyP//mntH//ycjF//waaY//nupC//rdoA//
YefM-YoeB_neg	ilvC//ymjD//
YefM_neg	nrdE//agaV//
YehT_pos	umpH//
YeiL_pos	nirD//
YiaJ_neg	mtlD//iraP//eda//glnK//bglJ//cydA//ugpQ//glmY//betT//gadE//
YjjQ_neg	dnaA//galS//metB//mazG//omrA//dsdC//creB//casC//nrdD//rbsA//
YpdB_pos	pspE//
YqhC_pos	bioF//appX//
YqjI_neg	atoE//tauA//
ZntR_pos	sdhA//
ZraR_pos	glpC//eda//focB//
Zur_neg	mdtC//nrfF//yhhY//nikB//metR//chbG//
