#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	flhC//tehB//
DnaA_pos	lsrR//purE//lrhA//aldA//exbB//adhE//adiA//
DpiA_neg	glpT//
DpiA_pos	hcaE//fiu//csgC//creD//motA//treB//cysN//artP//gatA//ascF//
DsdC_neg	yidL//
DsdC_pos	nfuA//nanE//
EbgR_neg	rbfA//fepA//
EnvR_neg	fadL//aspA//
EnvY_pos	bluF//speB//
EvgA_pos	yhiM//glpF//fadI//fhuB//sgbH//casC//grcA//yecT//alsE//malP//mhpT//rclA//araF//recB//glcD//motA//fecD//cspI//motB//
ExuR_neg	ssuD//rbsB//ydjM//ygiA//sdhD//motB//iraM//cysI//gadF//
FabR_neg	cusF//phoU//
FadR_neg	treC//mdtF//lrp//gutM//speA//uvrY//torD//purK//lysP//sodB//pstA//
FadR_pos	mazG//dcuS//fhlA//tonB//tyrP//sbmA//hha//agaC//hdeD//dinQ//yoaC//puuC//
FeaR_pos	glpF//ppc//
FhlA_pos	gspI//rffC//aroG//lyxK//hyaF//rimP//yoaG//ddpF//fliR//sgbE//sroC//entF//rutF//betA//malF//fliQ//hipB//ddpA//evgS//lhgO//fadI//lolA//potG//garD//gatY//spy//moaA//mioC//glnD//waaY//
FlhDC_neg	dgkA//feoC//fucA//gutQ//
FlhDC_pos	rbsC//dinI//arsB//yhdZ//mhpB//glnB//ybaT//uspA//glyA//hdeA//mglC//dhaK//fadA//phoH//pspE//potH//murI//potG//yjeV//ssuA//hdeB//ydfW//recN//gdhA//mdtB//ybhS//fadL//allC//adiC//gltD//cusS//dps//araE//argI//glnD//cytR//nuoF//murC//garP//nuoN//fruK//leuB//ybjN//hypB//nikA//glmS//ung//dnaN//phnM//alsE//bioA//fecI//ycjF//phr//srlB//iclR//mdtE//ahpF//hybA//galM//iclR//cra//mdh//ftsA//tcyP//hypA//dcuB//metH//cysI//mraZ//patD//dgcC//sufD//rbsC//nanK//wrbA//purK//soxR//
FliZ_neg	murQ//add//gabD//gspL//fepB//ynfK//phnN//pepA//mhpD//ecpA//srlA//metR//ycgR//fixX//ymjD//artJ//malS//nuoM//dnaN//fadE//dkgB//
FucR_pos	fixA//nrdG//caiA//tadA//sbcD//moeB//yhdX//
Fur_neg	pepA//cheA//fliF//ccmB//yoeB//tonB//moaD//uxaC//chbF//pdeL//ariR//rcsA//acnB//fliM//tdcD//focA//rclC//trpC//dcuA//fepG//ymjC//mntP//xapB//gudP//rbsC//puuC//soxR//micF//uxuR//pspE//lsrK//caiE//cynT//pagP//betB//ompW//tnaA//araG//yeaH//glgP//yjiY//patA//iscR//hcp//rfe//galE//rbsD//nrdD//uxuB//accB//moaA//fecB//yaiW//glnK//phnM//cynT//pyrC//fldA//mgrR//tsr//yciG//nuoE//betB//acrA//cpxQ//yafN//bluF//wzb//leuA//moaB//dinQ//fnr//iscR//araF//pspB//nrdF//fliR//modA//ygiB//mtr//recF//nanK//fliJ//fhlA//nrfF//ygiB//narG//tcyJ//frdB//uxaB//cyaR//tdcE//ydcU//tolC//deoC//waaY//artM//fabZ//dnaN//gatA//cadB//lacY//patA//ycgZ//bglB//araC//mlc//ygiA//ftsZ//sucD//nemR//cysK//sulA//betI//dgcC//
Fur_pos	fabZ//hycD//sucC//rutB//hyfC//ruvB//ubiC//nrdE//fadR//treR//lacY//patD//soxR//malX//pgk//fldB//dctA//flgJ//idnO//ilvC//rpmA//
GadE-RcsB_pos	puuA//galR//phnI//hypB//aroG//aceE//yedX//uspE//ebgC//
GadE_pos	dsdX//ribA//ccmG//gltB//malX//ydiU//chiP//hns//pepD//dcuS//hybO//cas2//phnE_2//yciE//fabA//nhaA//yidL//hyaD//tyrA//yjhB//napF//fabB//rpoE//gltK//argB//cyoC//rutD//marB//cynX//
GadW_neg	gspL//gcvB//ydfW//icd//narK//ldtC//tynA//ugpA//fruB//dgcN//hisP//
GadW_pos	phoB//galK//hycF//dpiA//sgrS//lacZ//kdpF//glnG//fucO//ybjC//mltF//
GadX_neg	potH//purN//dicC//eno//frdB//casD//
GadX_pos	flgJ//narX//ybiT//kbp//metY//nrfB//yccJ//ykgO//tehB//crr//prpC//astB//gspC//manX//cysP//gcvT//fabI//nikB//folE//tolC//yedX//slyB//nanM//rpiB//csrB//katG//yfaE//
GalR_neg	frdB//lysP//rutC//yneM//cyaR//yoaG//fliR//mhpF//prpD//iscS//
GalR_pos	guaA//mhpB//allD//malQ//
GalS_neg	mzrA//argD//allS//glpF//malT//hokD//dapB//entD//focB//nrdG//
GalS_pos	hdeD//ryhB//mtlD//ygeH//
GatR_neg	arsC//xylB//phnE_1//metY//nrdA//symE//
GcvA_neg	focA//ydfD//yegH//slp//
GcvA_pos	mcbA//ftsI//sulA//ymiA//
GlcC_neg	micF//
GlcC_pos	srlB//nikR//ynbC//marR//pflB//ulaB//
GlpR_neg	ynfH//guaA//ynbA//htpG//ugpE//gltI//yccA//rplU//aldA//
GlrR_pos	zwf//ytfE//garP//ihfA//recA//
GntR_neg	tomB//bolA//mdtE//paaC//ygbA//ddpC//dapB//wecB//feaB//tonB//gcvB//dctR//
GutM_pos	feoB//gadC//artP//rutF//ykgM//hycC//metL//
GutR_neg	modA//moaE//metN//modC//pfkA//gntK//hdeB//
HU_neg	ugpQ//hydN//alkB//tam//hycA//ymjD//patD//umpH//
HU_pos	yccJ//
HcaR_neg	tauB//
HcaR_pos	infC//hyfF//lsrB//flgM//phnD//
HdfR_neg	bolA//lpxC//
HdfR_pos	ybfN//puuP//leuA//
HigA_neg	yegR//dsbA//
HigB-HigA_neg	exbB//patA//
HipAB_neg	ddpD//mraY//creD//paaX//purA//
HipB_neg	ppiA//purC//narI//casD//aceF//gpmM//
HyfR_pos	patD//csgF//yncE//phoR//acrB//fhlA//acnA//xylG//trxC//acrB//gapA//malZ//
HypT_neg	purR//alaC//wzb//gudP//sroA//
HypT_pos	glcC//metY//ftnA//mdtA//mngA//cheA//glpD//ppiD//
IclR_neg	ariR//nirC//ldtD//ydjM//
IdnR_neg	fliO//hokD//
IdnR_pos	purE//gadB//cyaR//phnK//marB//
IlvY_neg	emrA//
IlvY_pos	arsB//
IscR_neg	hyfI//recB//glgB//flhD//metK//kbaY//aroL//sbmA//rpiR//ascF//lysC//fimB//fhuC//flgC//leuL//ryhB//dcuD//pgi//yiaK//insK//mdtC//
IscR_pos	gadY//fabG//alsB//murI//cysM//phnH//sufC//ssuB//ppsA//fecB//murR//
KdgR_neg	fepC//fliE//
KdpE_pos	fliH//ssuC//atoA//mgtA//
LacI_neg	paaA//srlE//ydfH//
LeuO_neg	flgK//ybfN//nanK//
LeuO_pos	ybjC//fiu//rutA//fliL//yccA//talA//nanE//tnaB//bglG//fliQ//glnQ//yccA//mlc//ulaE//phnD//htpG//manY//ddpF//
LexA_neg	hlyE//nanK//pqiA//fumC//ydeN//ttdT//accC//iscS//fdnH//pspA//ompT//cspI//ybiT//atoA//treB//ynbB//gntX//cynS//moeB//ccmH//yoaC//ykiA//purR//fadI//patD//cusS//csgE//relB//cirA//uvrD//modA//srlR//tnaA//lexA//flgE//fliN//yhdY//leuC//add//grxD//guaB//obgE//moaB//fbaB//uxuR//ugpA//fliN//rclA//dpiB//mhpF//yeiL//glnK//kdpA//tauD//alkA//dgcZ//puuE//ydcV//malQ//
LldR_neg	tnaC//fur//eda//
LldR_pos	malE//cadA//cusB//
LrhA_neg	hyaA//lysR//
LrhA_pos	moaB//rhaS//
LsrR_neg	purR//gabP//potF//cbl//paaK//omrB//yciW//hokE//fau//
LysR_neg	chbB//
LysR_pos	dkgA//
MalI_neg	nadB//nrfG//ydhT//
MalT_pos	tdcE//relA//rpoS//mraY//nemR//dinI//talA//acrA//ybiT//tdcE//
MarA_neg	metQ//fixB//tauD//yhhY//uidA//phr//feaR//
MarA_pos	dnaG//gadW//wecB//yidL//yjhC//ulaA//cueO//udp//cydD//mtlR//yjbE//gyrA//puuP//argI//prpC//ahpC//fliG//appX//lsrG//napB//tyrP//dcuR//yidL//astC//ulaD//puuR//sufA//yjjQ//malS//ftnA//ruvA//
MarR_neg	rpsU//ygiC//betT//
MatA_neg	ssuB//relB//astA//sgbH//ycjY//mazF//
MatA_pos	artJ//zinT//
MazE-MazF_neg	yqjA//rcsA//fes//
MazE_neg	ygiA//pgaA//ecnB//
McbR_neg	molR_1//
McbR_pos	rarA//fadA//narG//
MelR_neg	nagE//folE//glcB//
MelR_pos	fixA//astC//sbcD//
MetJ_neg	ynjI//lldP//murE//oppF//sdhD//sfsB//narH//fliN//cas2//modC//idnK//xapB//cysP//rffC//malZ//
MetR_neg	mtlD//hmp//
MetR_pos	oppA//ydfX//fucK//qseB//
MhpR_pos	dicB//yeiB//pagP//rhaS//asnC//yqaE//
Mlc_neg	hcaB//fliO//wzc//lacZ//chiP//torA//uidC//tnaA//tauA//tsx//
MlrA_pos	hokD//ddpA//ttdB//malY//lldP//oppD//recD//uxuB//fliL//lacZ//
MngR_neg	rfe//cdaR//emrA//
MntR_neg	pck//yfdV//umuC//rbfA//
MntR_pos	sfsB//
ModE_neg	setA//yjbE//crp//yegH//exbB//bioA//efeU_1//fhuF//lysR//ynbD//cysW//ppdC//rnlA//ndh//rffM//
ModE_pos	asnA//obgE//motA//glpQ//purM//pitB//bioF//fecB//gudX//fucU//ycjF//argR//xylG//safA//grcA//srlD//ribA//trpA//qseC//grxA//rpmI//mraZ//hisP//fliE//yciE//alsE//argH//glcE//gntX//appB//fbaA//
MprA_neg	kdpA//cysU//lrhA//nrdI//umuD//torR//
MqsA_neg	aldA//ubiC//yiaO//fruB//mdtE//epd//yfiB//ptsH//
MraZ_neg	iraP//mqsR//hyaD//fliS//ydeO//zraP//rseB//gabD//mlc//acrA//borD//hipB//hlyE//ppdB//oppD//bglJ//rnlB//
MtlR_neg	ynfK//acrA//putA//
MurR_neg	ydhU//umuC//uidR//
MurR_pos	nimR//
Nac_neg	norW//hcp//kdpB//gadA//ynfF//hyfE//flgL//cas2//ynfE//
Nac_pos	nanK//fadD//hisP//pnuC//frdB//cysG//sdhC//umpH//oxc//cyoC//glnP//pdeH//
NadR_neg	nanM//ruvA//fixX//phnL//
NagC_neg	gpmA//ykgO//sdhA//nanC//dapB//rtcB//cynX//fliR//ssuA//gcvP//nuoC//potI//flgK//mpl//ptsG//sufC//rpsU//iclR//ychF//fepA//glcC//flgN//garP//rffH//glpB//potG//prs//narH//glpX//idnR//sroA//ymgC//lsrB//
NagC_pos	purC//betT//spy//
NanR_neg	gnd//recN//wecC//lsrK//artQ//frdA//nanK//hycG//idnT//asr//
NanR_pos	ahpF//
NarL_neg	mdtD//gltB//sdhB//ttdT//artM//yhbE//nac//sufB//ptsG//ftsA//zraP//recF//metR//paaF//dgcC//purA//xylR//hemH//wecE//artP//ulaB//marA//rbfA//chbF//uxuR//psiF//rutR//udp//insD//ykgO//osmC//nagB//araF//nikR//puuR//ygeH//paaI//gadE//wzc//alsA//ubiC//ubiX//yagK//aceB//lpxD//yoaG//relB//recD//omrA//mazE//speB//ycgZ//ydeM//nadB//argA//fhuD//ftsL//leuA//yjbF//ddpA//metF//deoB//mlrA//ydhX//ybaT//ulaE//galE//sulA//ybjN//ygiC//hcaC//aroL//entE//citG//deoB//atoA//sufC//yciF//yfbR//srlB//malT//garD//mdtB//flgD//evgA//malP//znuB//
NarL_pos	gutQ//ydeP//hipB//uidA//atoB//btuB//gadE//fixX//malX//yebE//cydD//treB//glpF//xylB//hypC//ygiC//mgrB//leuA//ycjF//hybG//puuD//sdhA//narX//frdA//pitB//cusB//csgG//pgaA//flhC//ydfW//ulaG//ccmH//exuR//focA//ecpA//tyrR//srlE//tolC//recC//ugpE//rpiR//dapB//fepC//
NarP_neg	hyfG//phnM//ribA//hcp//tnaC//ynfG//fepB//creD//hyfD//ydcT//gabT//hypF//gloA//alsC//nrdE//glpF//gspG//fliO//cas1//purK//nrdI//pqiB//trpL//tehB//mdtC//psiE//fadB//napD//ihfA//rfe//leuO//cydA//citX//
NarP_pos	tadA//narL//tauD//trpR//nrfD//ppc//csgB//casE//crr//sroD//yeaE//rpmI//yjiY//dnaG//stpA//paaG//betA//yhdZ//fucI//fhuD//rhaR//hycA//fepB//agaC//gdhA//rclC//mgrB//hyfR//ugpQ//hcaE//astA//yeaR//
NemR_neg	cynR//rhaR//pagP//
NhaR_pos	nlpA//fadE//ldtC//gadF//recB//zraP//fadB//
NikR_neg	btuB//fliI//dcuS//yqhG//araD//rtcA//
NimR_neg	ftsI//allE//
NorR_neg	paaE//
NorR_pos	sufC//yiaM//
NrdR_neg	rffM//glcB//tcyJ//ykiA//tehB//galK//cytR//bglF//lldR//
NsrR_neg	casD//fliG//hcaE//sgrT//agaS//creA//spy//narH//rclB//zwf//mraY//oppB//nrdE//rhaR//hyfB//fdnI//cysA//ppiD//hisJ//yqhD//ugpC//sgrR//ygiC//fabG//dmsC//artJ//ubiA//pspB//yebE//glmU//uvrD//ydhU//pdeR//purB//hcaB//paaH//nrfE//lexA//yqhG//cusA//cusF//fepG//erpA//yrbL//narI//fliE//tyrP//mhpE//cyoB//fecI//katE//ykgM//rpsO//yhbT//emrY//flgG//agaB//rffG//hybO//flgL//mtlD//rffG//mngA//fabG//codA//bacA//argG//glgB//araD//ydcT//hybO//tdcB//udp//rplU//hcaF//puuA//ydbK//hyfC//citF//malK//yiaJ//napD//tdcE//
NtrC_neg	yeiB//recB//mgrB//ubiC//hcaB//fucI//
NtrC_pos	icd//lolA//yqhD//glpQ//carA//purN//dinB//caiD//yrbL//hybG//napD//gabD//hslJ//rclC//epd//creC//tehA//hyfH//dsdC//ssuD//mscM//galK//lsrD//hybD//pnp//hipB//ybhF//rhaR//flgM//phnP//gadW//fixA//nirC//entB//phnC//rpsO//hemL//ssuC//flgD//aceB//mhpF//argC//yeaR//chbG//torR//cyoB//mdtB//hcaB//fes//
OmpR_neg	oxyS//entH//rffM//zraR//cpxA//trpD//ada//asnC//gadC//kbaY//aroF//gpmM//
OmpR_pos	gspD//flhB//fabH//dgkA//appX//fabH//rtcB//ygbK//insK//ybiT//
OxyR_neg	trpB//ygiC//hcaC//bglJ//mdtB//hdeA//yaiA//yqhG//dmsB//ygiB//nimT//nuoC//
OxyR_pos	nrfC//agaD//casE//fixA//lldR//ihfA//glcE//ddpC//csgB//rutR//deoB//patD//fldB//gspF//lexA//cysE//hycF//fadM//molR_1//rutE//gspK//betB//
PaaX_neg	cbl//tauB//ccmG//araA//gcvB//moaC//uidB//fliE//nuoF//hyfG//ydhW//uvrA//dinG//baeR//
PdeL_pos	hyfF//
PdhR_neg	pgaB//tdcC//uvrD//hcr//sucB//citX//yjbE//rffG//gor//paaG//yfbR//oxc//pncB//araH//phnK//nusA//atoD//flgB//ygdB//ihfA//soxS//fau//ybhL//rbfA//appC//aceE//lrp//allA//phnP//ddpF//cynS//phoB//adiA//citX//pstC//ygdB//
PdhR_pos	higB//glnB//allB//icd//ydeO//
PepA_neg	malS//glgA//ybhS//
PgrR_neg	hemL//ymjD//rpsO//lsrD//treC//torA//paaG//yefM//
PhoB_neg	trpB//fucU//rsmH//ptrA//hcp//cyoB//infB//bioF//rseA//pqiB//ynfH//agaA//
PhoB_pos	oxyS//ribA//dinG//mioC//acrB//rstA//mglA//aceF//fhlA//cpxQ//dsbA//napA//emrY//setA//fliO//araB//guaA//gspL//mdtF//nuoG//fixX//ydbK//mpl//recD//agaW//qseC//purN//potF//ydeN//nrfE//fliP//tsgA//nirB//glgP//ccmA//uxuR//argH//glgA//yfiB//idnT//yciE//glxK//potI//ydbK//ptsG//nuoG//ubiC//epd//flgB//ung//gntX//flhB//carB//
PhoP_neg	rbsC//bglF//trpA//sdhD//phnO//tnaC//fau//safA//nadA//argE//mraZ//
PhoP_pos	polA//xylG//tam//yiaN//galS//hyaD//mngR//fecC//recN//cysB//emrY//ugpE//wecE//ftsA//hlyE//nrfC//acrA//nagE//ampC//yecT//yjiY//tyrB//cyaR//csgA//chbG//emrY//yhdY//mhpD//sdhB//galS//uspD//tdcD//dsrA//ybaS//eno//kbaZ//asnC//gcvB//cysH//hybB//artM//mtr//hycB//yeiB//mhpT//mltF//artI//mpaA//
PrpR_neg	entF//
PrpR_pos	pstS//yidL//torR//rffG//
PspF_neg	alaS//
PspF_pos	yrbL//argG//tktB//ygiZ//fabG//frdA//
PurR_neg	nlpA//pgaD//pgaA//nanE//gspJ//moaC//decR//xylR//puuB//bglB//glcF//csrB//yciF//rob//mgtL//moaB//ybjN//csrB//tcyP//dsdA//malG//nuoK//gspL//tolC//infC//ybjC//hyfC//pheS//nac//fabA//fucK//
PutA_neg	udp//cysP//
PuuR_neg	fhuD//dicC//tyrB//puuE//codB//yecT//fucR//
QseB_pos	sbmA//agaD//xylF//purH//
RbsR_neg	yfiR//napF//malE//ulaC//citG//amn//bglF//argD//
RbsR_pos	pyrD//
RcdA_neg	gspL//ydeI//
RcdA_pos	hyaD//yiaL//lamB//trpA//sbmA//ybhR//gspK//
RclR_pos	murP//cadA//creC//
RcnR_neg	prpR//phnL//gntT//
RcsAB_neg	mglC//puuP//aldA//metL//ygbK//hokE//
RcsAB_pos	gspK//torA//katE//ttdB//nikC//exuT//mgtL//cyoE//leuC//yjjZ//
RcsB-BglJ_pos	entS//ygiA//rpsU//yccA//yegH//sdhC//ugpA//fliP//treR//emrK//flhE//aceE//betT//hlyE//metF//entS//
RcsB_neg	gabP//rnlA//
RcsB_pos	thiQ//betA//aceE//gspF//acrZ//rclB//amtB//hycB//rbfA//narG//amn//leuB//xapB//sbcD//rpiB//mngA//nmpC//tfaQ//dinG//dmsB//mngA//yqjA//adiA//
RelB-RelE_neg	nuoC//glcE//cas2//
RelB_neg	ydiV//symE//kbaY//
RhaR_pos	ptrA//lysR//
RhaS_pos	tnaC//lon//mglC//recF//argT//rbsD//
Rob_neg	flgJ//
Rob_pos	gadE//glmS//chiP//envC//cysP//ptrA//nrfC//ptsI//ulaA//alkB//csgE//tyrB//phnJ//aidB//ydeP//hdeD//purH//speA//ecpA//paaF//glnB//entD//ydfD//sbmA//fadM//
RstA_neg	uxuB//trpD//mpl//tehB//mngA//
RstA_pos	purA//ppdC//slp//iscS//hybG//
RtcR_pos	caiB//gspH//
RutR_neg	puuD//uxuR//yeaD//mzrA//nrdI//emrY//dmsD//galP//modA//sodB//ppsA//ugpA//fliI//dinI//ybhF//
RutR_pos	entB//nrdA//
SdiA_neg	bdcA//argA//mpaA//
SdiA_pos	dacC//hyfR//betT//
SgrR_neg	katE//fucP//rplT//uvrY//gatC//
SgrR_pos	ydcT//rpoS//fpr//ydeN//
SlyA_pos	luxS//
SoxR_neg	sdhB//
SoxR_pos	exbB//rutC//
SoxS_neg	mqsA//gspF//
SoxS_pos	hybA//phoP//trpB//ccmF//sfsB//insD//gyrA//dpiB//hybF//marR//cecR//lhgO//higA//gatY//galR//fhlA//rybA//mtr//fhuC//uspA//cynS//rbsK//znuC//hyfA//fadI//yfaE//sufB//uof//ppiA//ydeI//ftnB//carA//ydcV//grxD//trpA//appC//nuoG//guaB//
StpA_neg	asnB//fur//ugpA//intQ//nikD//acrR//hisJ//
SutR_neg	cecR//rtcB//lgoR//glnB//zraP//
SutR_pos	ygiZ//
TdcA_pos	tadA//gspD//add//ung//ugpC//thiP//emrY//
TdcR_pos	pnuC//mdtD//fadR//narJ//ybdN//manY//yaiW//
TorR_neg	argP//waaZ//gltF//
TorR_pos	degP//ogt//ecpR//hyfA//oppF//fliE//glcC//uspA//srlR//
TreR_neg	malK//cysK//
TrpR_neg	ulaE//agaR//fimB//cspD//uidB//lrp//znuC//dgkA//rplU//allB//ulaE//ssb//
TyrR_neg	ymgC//isrC//yqjH//acrD//hcaR//ygeH//malY//allS//acrB//ydfX//
TyrR_pos	pitB//pstS//mhpE//
UhpA_pos	cysH//
UidR_neg	galM//gltD//amtB//rseB//
UlaR_neg	hns//argA//ftsI//cadA//appB//betA//nuoE//
UvrY_pos	gspC//yccA//gltL//nirB//hipA//
UxuR_neg	nfuA//flgK//insK//fliG//fliH//ydeP//cysW//potH//flhC//
XapR_pos	purK//dcuD//
XylR_neg	nupC//
XylR_pos	bluF//zntA//potH//glk//narL//gcvT//
YdeO_neg	yjiY//fliI//
YdeO_pos	ssuB//yegR//ftsQ//wza//alkA//pspC//paaC//chbF//ycjY//ybiT//araG//flhC//tcyP//dtpA//entH//glnD//allA//fecD//paaH//
YedW_neg	glmS//lldR//mdtD//phnN//nuoB//
YedW_pos	gcvT//murG//rnpB//alsA//hycA//tdcD//emrY//
YefM-YoeB_neg	phnC//lldP//
YefM_neg	psd//nrdG//
YehT_pos	ftnB//
YeiL_pos	tdcD//
YiaJ_neg	phoP//hokD//torR//nuoL//cysD//recX//potI//hcaB//oppB//yeaR//
YjjQ_neg	pstB//entS//ampC//putP//casB//appC//ydhV//ybaT//rbsC//uspA//
YpdB_pos	ftsW//
YqhC_pos	dkgA//creA//
YqjI_neg	yeaR//aspC//
ZntR_pos	ilvC//
ZraR_pos	efeU_1//pheT//sucA//
Zur_neg	moaB//tyrA//gcvP//malX//alsB//uxuR//
