#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:35 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/strict_regulons.txt
AccB_neg	fnr//hflD//
DhaR_pos	sbcD//puuC//ftsA//
DicA_neg	glnK//mdtE//wecB//hyaF//ychF//yqhD//uspE//recX//
DinJ-YafQ_neg	ynbA//dkgA//qseB//
DnaA_neg	serA//mglB//lpd//exuR//agaV//hycG//malF//trpE//hcaB//astD//uxaA//
DnaA_pos	iclR//yiiS//srlB//tynA//lysP//pgaC//mlrA//
DpiA_neg	tauB//
DpiA_pos	rpoD//tdcF//glnL//hcaF//glxR//ccmH//sroC//yhcH//nuoB//ppdA//
DsdC_neg	gspL//
DsdC_pos	yhiM//recF//
EbgR_neg	ulaD//exbD//
EnvR_neg	tnaC//yhcH//
EnvY_pos	phnE_2//purL//
EvgA_pos	yoaC//arsC//cysK//csgG//nfo//srlA//ung//rffT//idnO//hycH//ydcS//cysM//yciG//ppiD//wecB//gnd//glk//kbp//acrA//
ExuR_neg	arsB//hcp//rffG//fadM//fecI//nuoH//paaC//betT//katG//
FabR_neg	fucA//codA//
FadR_neg	paaC//tdcB//yneM//gntU//nhaA//cysD//ynfK//mprA//flhB//bglB//metH//
FadR_pos	rpsO//lacZ//feoC//mepH//truB//efeU_2//ugpA//hycE//kdpF//uidB//chiP//hydN//
FeaR_pos	flgE//phnJ//
FhlA_pos	malY//glyA//purC//baeS//nrdG//flgC//pykF//uidA//recD//gcvA//fadL//focB//cyoE//gpmA//iscR//dgcC//pepD//pspA//pheT//ulaD//lexA//cysI//phnL//purR//degP//ppdA//malT//ynbB//yegH//dsbA//
FlhDC_neg	fliE//nrfA//sufS//ptsH//
FlhDC_pos	prpE//gadF//glcD//fliJ//feoC//cysU//gspD//uhpT//rcnA//nikE//pyrC//truB//fliZ//ydhT//yhcH//rfe//pstA//wzc//yecR//iscA//atoE//malT//purL//uxuB//gadX//hyi//aceB//potI//puuR//amtB//gspO//ddpB//allA//murP//motB//gabT//fadD//setA//yeiB//nuoI//motB//rclB//pnuC//ydhV//ydeO//spy//lsrA//ilvY//rnlB//torR//ulaF//hns//ydhW//nikC//tdcF//napH//codB//dicC//asnC//nrdE//hypD//yhdZ//yegZ//recB//nusA//paaZ//ydcU//icd//ompT//ygeH//cysM//gpmM//ygiZ//yebE//hyfD//flgA//pqiA//ynfF//
FliZ_neg	rcnR//rclC//dnaA//arsB//modB//artI//aslB//ibaG//fumB//hybD//cusS//casC//ugpB//rclA//xylH//yjbH//hyfD//tcyP//hyfG//hisP//tauB//
FucR_pos	fixX//astB//fliN//malG//yccJ//cyoC//ddpB//
Fur_neg	flgJ//aceE//gltK//yjeV//fecD//yafP//csgD//yhcH//rimP//dctR//ynfF//fhlA//yjiY//ppc//lrp//yiaO//yjbH//ydfW//osmC//entF//ybdZ//rob//tktB//yafP//gltL//cpxQ//ecpA//safA//pspB//srlB//mglC//pck//deoA//ynfG//gadB//gspM//lldR//ybaT//ycjG//chbF//purK//trpR//hybD//nhaA//trpA//uxaA//gltD//ydbK//nagB//cusC//flgI//aroL//ccmB//appC//xapB//rnlA//nanS//glcC//hns//gltL//gatZ//hyfB//ftsQ//ygiC//aceF//artJ//sdhD//glgP//nanC//entH//glnK//tolC//narJ//bacA//evgS//ccmG//frdD//appY//wecC//fliD//alsE//sgbE//mdh//sulA//nikD//nrfA//ssuD//gor//melR//gadB//rbsC//gadA//srlB//tdcD//mnmG//fliL//ulaG//appB//nimR//kbaY//recA//chbB//pspD//accC//ftsL//bioA//glcG//wzzE//osmB//argH//betB//malQ//dmsB//fepD//potI//
Fur_pos	rstB//artI//rybA//purN//pgk//ccmC//ybjN//ynbC//cdd//phnL//napA//csgC//rbsC//nagE//ampC//norV//glnL//phoP//csgD//erpA//qseC//
GadE-RcsB_pos	ihfA//ddpF//entE//paaK//rbsD//bacA//hyaB//pgpC//tisB//
GadE_pos	chbR//fhuC//lacY//gltK//ruvA//mdtB//gspG//rclB//fadJ//mglB//recB//sbmA//paaI//gntT//ftsK//skp//hisP//tam//amtB//cpxQ//phr//galE//frdB//hcaC//malZ//csrB//ppiA//modB//bioD//
GadW_neg	casE//hycA//cysI//decR//fixX//wcaA//ybbY//ybhS//agaD//osmY//nagC//
GadW_pos	bdm//ddpC//yciG//tomB//pstA//moaB//caiE//cas2//puuA//higB//cysH//
GadX_neg	uidR//hyaC//hyfC//csgE//gspO//cusF//
GadX_pos	hybD//ykgM//cyoE//nrfD//nikA//yqhG//speA//allA//fixC//mngA//ygbK//agaW//dctR//ydiV//molR_1//hlyE//gatD//yqhD//recC//yfiB//ahpC//sfsB//cvpA//araG//rybA//nuoM//ecnB//
GalR_neg	ldtC//prpD//sdhD//cysD//malT//melR//pgaC//deoB//rpoS//srlD//
GalR_pos	ybhG//nanM//yfaE//nac//
GalS_neg	galM//mipA//murP//xapA//rbsC//mazF//znuB//hycB//narK//nmpC//
GalS_pos	nrfA//acrR//ddpB//metR//
GatR_neg	yciX//paaA//yhdX//glmU//pgaC//ulaD//
GcvA_neg	fixA//phnN//mioC//rutD//
GcvA_pos	murP//recC//fabA//entD//
GlcC_neg	yiaL//
GlcC_pos	infC//ydcU//nirB//ttdB//hycC//fepE//
GlpR_neg	narX//melR//dinJ//dkgA//fepE//prpB//citC//cbl//appX//
GlrR_pos	torR//rbsD//fliC//glpQ//araJ//
GntR_neg	deoB//flgH//dmsB//glnQ//yiaJ//fruA//prpR//yhdW//ruvB//nuoF//argG//dcuA//
GutM_pos	nuoG//pspD//hybA//ynfH//nuoK//pspD//infC//
GutR_neg	mraZ//artI//focB//ydiU//paaH//luxS//rbsK//
HU_neg	cytR//fliR//eda//ubiX//dctR//lacA//rimK//prs//
HU_pos	rhaA//
HcaR_neg	adiA//
HcaR_pos	gntU//btuB//yoaC//nemR//glnH//
HdfR_neg	napD//nrdA//
HdfR_pos	pgaD//hipA//codA//
HigA_neg	cheA//mazF//
HigB-HigA_neg	gudD//gudX//
HipAB_neg	cysJ//paaI//arsR//frdB//mhpD//
HipB_neg	murP//nikE//ttdR//gadB//metL//fadH//
HyfR_pos	caiB//pgaB//cusS//sulA//hemH//lldD//rstA//fucO//sbcD//mdtD//appC//astD//
HypT_neg	yidQ//cysW//waaY//ydbD//xylB//
HypT_pos	aroF//ygdB//acrA//glgX//ydfH//cynX//sbcC//ftnB//
IclR_neg	wcaA//glmS//iscR//ybfE//
IdnR_neg	katG//argA//
IdnR_pos	caiB//entA//modB//purM//mpl//
IlvY_neg	mhpT//
IlvY_pos	gatA//
IscR_neg	mntS//srlA//rpoS//paaG//dps//rpiB//dnaN//hybC//ydeN//exuR//yciX//sbcD//sufS//oppF//gntU//tyrA//flgJ//argG//psd//yaiW//nuoG//
IscR_pos	rbsC//cysP//gspC//znuC//argB//araA//rhaB//ynfH//ymgA//mdtB//ttdT//
KdgR_neg	mglC//fruB//
KdpE_pos	mngA//iscU//lrp//pagP//
LacI_neg	uspD//yjbG//allE//
LeuO_neg	wecB//uof//malI//
LeuO_pos	nrdH//gudD//fdhF//uvrA//metH//uidB//tehA//cysG//puuD//ycjG//lacZ//tdcG//trpR//agaW//rarA//ahpC//eno//yjbF//
LexA_neg	narX//allS//waaZ//ydhY//sucB//dapD//ruvA//metK//hypA//entB//mntP//yjhC//napC//yegZ//rimK//pspA//csiD//uxaC//metR//rplU//fliT//hyaA//uvrY//osmB//hycE//bglF//flhB//mtlA//lyxK//fixB//glpX//cydC//mgtL//molR_1//trpL//phnE_1//nfsA//ydeN//cbl//purM//leuO//sdhD//sgbE//nuoJ//flhE//yjbG//prpD//fruA//dinI//aroP//tehB//flgN//yafO//ahpF//allB//iscS//caiC//yjbE//ynbB//
LldR_neg	ssb//gatZ//hypE//
LldR_pos	rplT//rutA//rsmH//
LrhA_neg	katG//nikC//
LrhA_pos	flu//entA//
LsrR_neg	hypD//pdeR//murC//astA//pepA//mglB//caiE//cueO//nuoL//
LysR_neg	ftnA//
LysR_pos	prpR//
MalI_neg	xylB//astA//borD//
MalT_pos	ssb//nagA//iclR//pdeL//nrfF//focA//flgN//wecE//purB//argO//
MarA_neg	malQ//rsmH//metK//sdhD//hlyE//katG//iclR//
MarA_pos	betI//yegR//ycjF//mgtA//mpaA//phoE//gntU//rpoD//wzxE//motA//glgX//prpR//feaR//caiC//emrY//nuoA//mazG//nrfF//pdeH//caiE//hycD//dacC//fucI//emrY//glcA//ydjM//ssuC//yfiB//flgH//feaR//phoP//
MarR_neg	uxuA//tktB//purF//
MatA_neg	yhjA//dsdA//chbA//dmsA//iscU//hyfA//
MatA_pos	grxD//purE//
MazE-MazF_neg	alkA//alaS//hipA//
MazE_neg	ldtB//phnJ//cusA//
McbR_neg	cysU//
McbR_pos	ydfH//pck//gntT//
MelR_neg	appA//ogt//iscA//
MelR_pos	ybdZ//nrdA//argR//
MetJ_neg	glgC//dgkA//tonB//wecC//waaH//uxuR//fruB//metK//nuoK//ybhF//rutE//mdtA//paaF//artM//yfaE//
MetR_neg	codB//fadA//
MetR_pos	nrdA//idnT//oxyS//nanA//
MhpR_pos	csiD//gspK//hemL//mntS//ygiB//yiaL//
Mlc_neg	ilvC//gltJ//norW//dnaG//bhsA//hypC//crr//hokD//ydcU//cysM//
MlrA_pos	ykiA//treR//metI//sufD//fucK//araC//rpiB//lgoR//yciW//malM//
MngR_neg	trpL//bacA//dinQ//
MntR_neg	tehB//yccJ//rstB//yjhB//
MntR_pos	paaX//
ModE_neg	frdD//rtcB//uspD//cadC//mcbA//ilvY//malQ//garK//yfdV//sucB//gntU//aceK//purE//grxA//caiT//
ModE_pos	nuoB//aroP//sufB//slyB//pitB//artI//yecT//mntH//katG//rffH//argF//gltJ//pgk//rcnA//rpiB//relE//wecE//ftsL//ompN//hybG//prpR//nhaR//phnC//tehA//malG//nikR//cheW//adhE//murC//rstA//dgcN//
MprA_neg	evgA//udp//dmsB//trpD//sdhD//carA//
MqsA_neg	rbfA//yqaE//nanK//murR//bdcA//uvrD//gor//fimB//
MraZ_neg	wrbA//rdoA//casA//malI//fucR//pitB//glcC//chbF//nanK//crp//astB//gcvT//gutQ//yjjZ//nrfE//purN//gltL//
MtlR_neg	fdnI//ydeI//aceF//
MurR_neg	fepA//gapA//flgJ//
MurR_pos	gltK//
Nac_neg	nadB//fepB//asnB//mgrR//pstA//pnuC//hybE//gcvH//fbaA//
Nac_pos	rffG//citF//mazG//yhjX//appA//glnQ//bacA//znuA//artP//aldA//hyfI//yedX//
NadR_neg	lysA//cytR//puuE//puuP//
NagC_neg	narX//oppA//add//rpsO//treR//nuoK//ydfW//glpF//cysI//polB//ybhG//rstB//xylB//ybaT//norW//pgaA//ssuA//gudP//gntK//hyfE//nhaA//bioB//rclA//nagB//metB//melA//flhA//purF//sgbE//tauB//metJ//katG//waaH//
NagC_pos	cyoD//znuA//fucO//
NanR_neg	nemA//rplU//tsr//garK//trpR//wecE//citD//ynfK//wza//recX//
NanR_pos	dinQ//
NarL_neg	fadB//uspD//yqhD//yhcH//araJ//ftsW//argG//uidR//tktB//ddpX//erpA//yegH//pdhR//yjbG//hcr//hydN//galK//cpxA//nfsB//gloA//feoC//allA//phoH//acrB//yfiB//narH//sdhD//ibaG//yefM//glnK//xylG//hycF//mazG//puuB//phoR//hyfJ//crp//exuR//yebG//cytR//ulaC//ydcS//ompN//trpB//skp//iclR//narX//mltF//phnD//yjeV//relA//paaG//phnE_2//tehA//iscA//xylG//potF//lrhA//fiu//acrA//glmS//gudX//sbcD//fliR//sucD//fliN//gspM//pstS//zraS//tadA//mtlA//guaA//torD//cysJ//yhcH//hybO//oxyS//ydjM//rybB//creD//chbC//ldtC//moaA//atoD//wzzE//fepE//casA//
NarL_pos	chbC//leuA//oxyR//yfaE//fhuC//ymgC//hycE//allD//fliG//gltF//rbsB//gspE//ugpA//cheA//ppdC//gor//hybB//wcaA//evgS//ogt//paaY//iscU//osmY//cysB//ptrA//gspM//ampC//chbC//fadL//mngB//tdcC//artM//tcyP//glpX//dicB//pagP//hybB//yjiY//glpT//hslJ//accA//yqjH//prpR//
NarP_neg	nikR//phoP//csgA//nikE//ompN//mglC//dmsD//yhdW//mhpF//pstA//citC//yegH//acrD//omrB//fliC//cusS//focB//lysA//patA//mntS//cspE//murR//puuR//treB//yfiR//aspA//fur//cynT//hypB//oxc//cspD//gadF//leuA//
NarP_pos	gudD//fadH//fepC//emrK//nanC//arsB//gatD//relB//idnO//alsA//frc//phr//fucO//fdnH//patD//iscA//cirA//nfsA//rbsK//nimR//uxaC//hybB//focA//pflB//glpK//aceB//aceE//aroG//ynbD//yjiY//nmpC//dinB//
NemR_neg	ompW//yciX//dacC//
NhaR_pos	ftsL//bluF//gspD//fhuE//nuoM//ygiB//puuP//
NikR_neg	ptsH//ubiA//ycjY//lpxC//nirC//crp//
NimR_neg	hycA//ftsL//
NorR_neg	nirB//
NorR_pos	decR//nagA//
NrdR_neg	ccmA//nrdD//flhB//gutM//tsr//gudP//glnQ//ccmA//sdhD//
NsrR_neg	gudX//tyrB//hycI//feoA//murR//malE//rffT//rutE//alkB//cytR//ybjG//nrfA//pheM//ruvA//osmC//prpB//cysN//phnL//pgaC//nrdF//decR//chbF//cyaR//mhpB//tfaQ//mglC//ynbA//ryhB//araA//glcE//wecE//alsA//hycF//rutG//ddpB//dps//napH//glcG//ppiD//cusR//mhpT//cra//ruvB//hyfJ//asnA//ynbB//hisQ//ygiB//malP//hycH//nikD//inaA//ybaT//murF//fabD//yidL//fucA//gntP//uxuB//pepA//yaiW//glpX//motA//speB//arsB//mngB//alkA//fumC//accD//uvrY//mtlA//ygiZ//umpH//garD//flgI//dgkA//glgA//hcaE//fdhF//caiE//oppC//narG//symE//
NtrC_neg	nrfF//metH//ybhS//rutG//chbC//yeiB//
NtrC_pos	gltL//gutM//psd//lpxC//gpmA//fepE//hycH//tdcD//gloA//fliS//rprA//mglB//osmY//pspG//fliL//cecR//argF//ydhX//citC//nmpC//ada//tdcC//decR//manX//flgC//pspA//citG//astA//hdeB//sroD//gabP//mhpD//wzxE//cra//purE//ddpD//ymjD//hyfH//nuoB//ynbC//dsdX//ebgA//rimK//gspJ//rstB//bioB//chbG//iscU//feoC//
OmpR_neg	uspD//flgG//seqA//idnO//rpiB//ygiA//purK//nikA//paaZ//glnP//sbcD//feaB//
OmpR_pos	ugpB//agaI//glcC//deoC//ccmB//ftsW//mioC//gltJ//dmsB//nrdF//
OxyR_neg	metR//citD//hcaD//osmB//entB//idnO//rstA//ldtD//gntK//gudD//glmY//aslB//
OxyR_pos	ascF//mraZ//hybA//nrdE//pgaB//mqsR//amn//fadJ//agaV//gatZ//bdcA//gor//nagB//mntH//acrD//sgrS//nagA//mdtB//frc//yhcH//hcaB//lrhA//
PaaX_neg	allE//yidQ//ihfA//phnL//mntP//fhuA//yciX//cydC//flgF//fhuB//cysU//cydD//prpR//iscU//
PdeL_pos	ynbD//
PdhR_neg	fucK//aldA//dapD//sgbU//ygiZ//fliC//argG//glmU//mlrA//ptrA//yeiL//mqsA//thiQ//gor//dapB//ybbW//hisQ//ynfF//uidB//cpxA//dcuB//trpA//relA//accD//gadY//atoD//casC//creB//glnQ//galR//araJ//trpA//yccT//mdtD//ygbA//sgbE//
PdhR_pos	creC//pdeH//oxyS//ybjC//pdeH//
PepA_neg	melA//agaA//dsbA//
PgrR_neg	entE//araD//yjbH//pspF//ybhR//nanA//puuA//fliS//
PhoB_neg	lpd//ssrS//dcuA//cynT//mazG//gabD//nagE//araJ//hyfE//tfaQ//cysC//ampC//
PhoB_pos	hyaB//ftsQ//metL//umpH//ybhL//casE//tehB//patD//ompT//glmU//prpR//hcaC//yccJ//envC//lyxK//galK//mtlD//lrhA//sbcC//agaC//amn//icd//yciW//entA//ykgM//tomB//gcvH//qseB//bglJ//pspD//ybbW//ryhB//fucI//puuR//ppc//gspH//hyfA//nrfG//frdD//ugpC//recF//lacY//atoE//napC//gatB//chbG//gntP//garP//ybbY//hyfB//araG//ccmE//rpoE//
PhoP_neg	glpQ//dhaK//cysE//malQ//appY//yjeV//rhaB//ruvA//entE//cyoC//purB//
PhoP_pos	flgL//treR//icd//murI//glcC//galT//yeaE//rybA//cysU//moaA//nemR//ygbK//ldtC//accA//nupG//fhuE//lysO//ycdZ//lsrA//purA//gadW//aidB//ada//uvrY//flhD//nrdB//rfe//uxuB//rclB//fumC//yhdY//gspI//yfdX//hydN//ybhR//folA//glgP//oppB//yoaG//dsdA//hisJ//pdeR//lamB//dkgA//leuD//garR//fadB//phnI//
PrpR_neg	ycjX//
PrpR_pos	fixA//argR//argB//pheS//
PspF_neg	moeB//
PspF_pos	sdhC//mgtA//cusR//atoB//hcaR//casE//
PurR_neg	deoB//fur//gltL//rutE//flgN//ymgC//ttdA//ada//gadE//idnO//atoB//pgi//hokE//cysC//glnQ//astB//fliK//pspA//modB//aroG//rseA//nlpA//tsgA//yjhB//yefM//intQ//fadL//purH//yfiB//kdpB//tdcG//
PutA_neg	dgcC//ppc//
PuuR_neg	nuoN//yqjI//fecE//sucC//artM//uidA//rbsB//
QseB_pos	ulaF//rpoD//hycB//amn//
RbsR_neg	ulaE//ygeA//pqiA//lsrD//ecnB//accB//glpC//yhiM//
RbsR_pos	dgcN//
RcdA_neg	gatA//fliH//
RcdA_pos	rcnA//pspD//yagK//iraM//evgS//yciW//hisM//
RclR_pos	ftsL//fdnH//evgS//
RcnR_neg	ebgC//sufD//uvrB//
RcsAB_neg	ulaD//fabH//mlc//inaA//ygaC//aroG//
RcsAB_pos	fhuF//fliG//yjjZ//glnH//gspD//iraP//gadX//gspD//hypB//ygiC//
RcsB-BglJ_pos	ulaE//recB//luxS//fecD//fabG//leuD//ydhV//higA//rseB//gudX//gabD//uspA//creB//ebgC//ulaF//chbC//
RcsB_neg	wzxE//guaA//
RcsB_pos	ecnB//hlyE//ftsI//argR//pdeH//safA//feoC//nac//garL//mdtA//psd//sdhA//chbF//rbsC//gatZ//gntK//atoE//mtlR//rbsC//flu//psd//amtB//uidC//
RelB-RelE_neg	ppiA//gntT//hcaF//
RelB_neg	sbcC//astD//ugpA//
RhaR_pos	sufA//malS//
RhaS_pos	bdcA//setA//melA//tbpA//paaE//appB//
Rob_neg	sdhA//
Rob_pos	sucA//atoB//tnaA//udp//ydcT//fadA//tdcF//nikE//skp//entE//purD//pgpC//ynbA//cho//cspD//polB//sroA//artM//yhdX//ybdZ//ppsA//grxA//uxaA//yiaN//ddpB//
RstA_neg	phoB//ynbA//pstC//metJ//yhbT//
RstA_pos	uspA//gntU//wrbA//zraS//lrhA//
RtcR_pos	nrdA//yebE//
RutR_neg	purF//ybjN//rsmH//uof//phnJ//trpC//yafO//chbF//uvrD//ymgA//fliT//glcA//yhjX//araC//gadW//
RutR_pos	mntH//ptrA//
SdiA_neg	cpxP//dhaL//phnH//
SdiA_pos	rffG//dinB//nanM//
SgrR_neg	yfdE//hcr//sufD//metH//feoB//
SgrR_pos	appC//gor//murR//napC//
SlyA_pos	paaY//
SoxR_neg	ynfG//
SoxR_pos	yncE//dinI//
SoxS_neg	sgbU//rclC//
SoxS_pos	rpoD//murF//tyrA//tolC//tyrA//glpQ//pepD//motA//ecpR//gspD//lacA//mdtE//nrdI//hypF//nemA//metN//ruvA//pspE//flgK//rhaB//fliK//ruvA//spy//ydcT//btuB//fhuB//hcaC//moaA//phnD//asnB//iraM//sdhB//uof//dnaN//pstA//glk//pspG//fepE//
StpA_neg	phnD//mglA//nrdA//metK//wecE//creA//adiA//
SutR_neg	flgC//ppsA//thrS//garL//sdhB//
SutR_pos	dkgA//
TdcA_pos	efeU_2//ybdN//bdcA//yidQ//nupG//emrK//casA//
TdcR_pos	hdeA//codA//fhuF//cspE//atoA//tdcC//argR//
TorR_neg	pspA//chbC//gyrA//
TorR_pos	ftsW//caiF//purL//sodB//gpmM//wzb//recC//gatZ//yfdV//
TreR_neg	ynbD//intQ//
TrpR_neg	ompT//gspH//glgC//safA//yhcH//ftsW//gltL//bglF//flgN//nemA//nagB//malQ//
TyrR_neg	sbmC//flhC//ytfE//emrB//paaX//phoB//phnM//sulA//ompF//oxc//
TyrR_pos	fumC//chbR//gnd//
UhpA_pos	trpC//
UidR_neg	ttdR//yjiY//phoU//cusF//
UlaR_neg	bglG//flgG//glpF//phnP//uhpT//acrB//wecB//
UvrY_pos	ydhT//dctA//znuB//sucA//ebgC//
UxuR_neg	alkB//cysN//ttdT//atoA//lldD//paaI//crl//pspG//cho//
XapR_pos	nuoM//copA//
XylR_neg	lldD//
XylR_pos	rnlA//moeB//lldR//ftnB//ycjG//recX//
YdeO_neg	fhlA//rplT//
YdeO_pos	eda//nfsB//slp//hcaE//dgkA//gadE//araJ//yhdX//codB//yegR//ynbA//fliO//tcyP//nupG//katG//flgK//fdnG//leuL//fhlA//
YedW_neg	ydhX//rnpB//hdeB//araF//aspC//
YedW_pos	dcuB//copA//phoB//cdd//iscU//putP//treB//
YefM-YoeB_neg	yhdW//ssuD//
YefM_neg	marA//rffC//
YehT_pos	dcuB//
YeiL_pos	hha//
YiaJ_neg	xylG//xylR//casA//moaE//gcvP//ccmD//nupC//astC//phnL//gntU//
YjjQ_neg	nhaR//gadB//gadW//ddpC//iscR//argB//araB//hybG//aslB//znuC//
YpdB_pos	cecR//
YqhC_pos	murQ//murE//
YqjI_neg	tcyJ//galR//
ZntR_pos	yhbE//
ZraR_pos	bioA//spy//yciX//
Zur_neg	lacA//setA//ycgR//fabD//ddpA//alsC//
